` 	 past week stay Sutton Place Hotel downtown Chicago . attend medical conference location hotel , within walk distance & quot ; Miracle Mile & quot ; , downtown Lakeshore make perfect location . & quot ; stay many Chicago 's fine hotel , many typically price well level Sutton Place Hotel . never stay fine hotel Chicago . comparison , medical conference hold & quot ; Five Star & quot ; hotel , five minute walk distance Sutton Place . several room & quot ; Five Star & quot ; hotel guest fellow physician . fact stay & quot ; Five Star & quot ; hotel several time past , yet without question Sutton Place Hotel finer , opinion , respect . Sutton Place Hotel 's price one quarter & quot ; Five Star & quot ; hotel . place Penthouse Suite Sutton Place , perfect view , room spotless . room service attach restaurant / bar excellent . hotel offer business center guest able use internet free , allow leave laptop home . valet parking rate , hotel validation , good deal . would HIGHLY recommend Chicago traveler , business pleasure stay Sutton Place Hotel . 
 Jul 25 2005 	 Loved Area 	 husband meet friend Iowa 32nd anniversary Chicago . friend husband 's recommend Sutton Place say fabulous . read TripAdvisor rate # 20 , clue . hotel Nightlife Central . 's corner Bellevue Rush , ' ve never see many young people one place night . 20 - 30 , would place see . also TREMENDOUS restaurant within walking distance ... Morton 's , Gibson 's , Tavern Rush , Carmines , etc . quick bite Dublin 's afternoon land . Stephen , bellman suggest say soup great . ... everything else definitely lack . Dublin 's umbrella table , set sun go building , stare sweat sun ! Chicago restaurant later ... reserve corner room look onto Lake Michigan . yes , could see lake - building , part see top building ( 21st floor ) . say room small , dead - on , seem trend lately . love Pan Pacific San Francisco , room really small , love bathroom . would truly say Sutton Place 's shower , deep soak tub , Gilchrest Soames toiletry save give room average rating . bed comfortable , definitely , maneuver room . get iron board iron dress dinner evening , wedge desk bed . also , hair dryer - bring ! one room horrid . two setting : Frantic & quot ; ' m blow one hair head ! & quot ; high setting blow hot air hold two foot head , still burn hand . turn really not matter - humid , hair thing . one thing internet access - Wi - Fi , be $ 10.95 - 's ridiculous ! Whisky Bar hotel good martini , beware ... 's loud middle - aged woman , may hard time getting wait on . Friday evening join friend daughter live Chiago , eat wonderful restaurant ... Chicago Chop House . think Morton 's without glitz . 's old building walk stair get table . third floor ... tempt ask elevator , arthritic knee not stair well ! however , stair aside , food incredible wine list go forever . husband love beef one special , declare good beef 's ever life . sauteed catfish almondine sweet tender - melt mouth . make sure try Russ ' Potatoes ... homefrie onion rosemary - tremendous ! none we room dessert portion huge . Saturday boy go Field Museum view capture restore german u - boat girlfriend hit Mag Mile . must say ' m shop fool , not see store would buy clothe exception Chicos ( be Mag Mile ) . fun though go Tiffany 's drool , drop L'Appetito Deli John Hancock building gelato walk wilt ( heat wave - Sunday hotter Chicago Phoenix ' m ) .We lunch Cerise Le Meridien hotel ... friend build salad around $ 14 build Bento lunch box ( soup , small salad , petite entree basically scoop dessert ) - enough lunch . plan High Tea Drake , never make back . Nordstrom 's shopping area ( several different shop inside surround Nordstrom 's ) , find wonderful apothecary call Sabon ... lot bath butter , salt , soap make mineral clay Dead Sea ... whole weekend , item purchase . beware everything come glass , make last place stop , arm weary load ! finally ship thing home . web site be side Chicago , send catalog order - shipping definitely less . Saturday evening take friend first time see Blue Man Group - see three time - twice Chicago Vegas . , go venue Chicago . be much , much well . deflightful show highly recommend everyone . Saturday show , tapas Cafe Ba - Ba - Reeba , , good . well tapas include : Beef Empanada , Stuffed Crimini Mushrooms , Frisee salad almond , Garlic Potato Salad ( yum ) , course Sangria - several type . Sunday morning dawn humid hot ... meet friend park across hotel - host Gloria Jeans pleasant place sit people watch . lot lot people walk dog delightful wind push building . suppose live somewhere desert , might enjoy wind much ... come lake refreshing . breakfast Carmines .. frittatas huge , downside bring plain - jane white toast butter ... kind weird midwestern city ( farmer love bread butter ) .For anniversary weekend pretty great consider food friend , would definitely stay somewhere else next time . good friend Phoenix suggest Drake , girlfriend 's daughter suggest Sofitel . our room $ 219 night not think bad room price . friend drive Iowa , say not want stay downtown Chicago , stay outside Lincoln Park hotel around $ 89 / night include continental breakfast . 
 Jun 13 2005 	 Clean Friendly ! ! 	 nice stay Memorial Day Weekend . impressed cleanliness room extremely important . also non - smoking floor nice . wall little thin however . Saturday night listen cackle woman room next door 3:00 a.m . good time . not go spoil fun . turn service every night . room come equipped cd player not utilize . bed extremely comfy . able catch lot sleep . location o.k . 's 45 minute O'Hare train . convenient sightseeing ( like museum boat tour ) unless like walk alot . be always cab red line 5 minute walk away . hotel directly across street great restaurant like Gibson 's good margaritas town Blue Agave . oh , pancake house across street great breakfast , get early . line door 8:30 . staff , especially doorman , friendly helpful . fresh fruit complimentary newspaper await we lobby . nice touch . would stay itinerary include shopping Michigan Ave party rush . however , be look forward visit Navy Pier , museum , , stay close river . 
 Jun 9 2005 	 nice Clean Place 	 nice room 10th floor view city . room clean . twice daily housekeeping nice fresh set towel soap . ice deliver evening , sure ask full bucket require ice . nice place , nice room , nice bathroom ( deep tub separate shower ) . Location Rush ( Bellevue ) . lot eating / drink nearby . close Watertower place Michigan shopping . next time however , probably stay close loop area , preference . 
 May 18 2005 	 great choice Chicago 	 spend four night Sutton Place Hotel Chicago . choose five friend annual get - together primarily basis review read TripAdvisor . terribly impressed arrive -- small lobby , nothing special -- long stay , appreciate hotel . staff extremely well - train professional everything possible helpful . doorman , Gary Sykes , also highly professional -- delight ! location extraordinary . 's block west north Magnificent Mile within walk distance Lake Michigan , corner Rush Bellevue . west Bellevue wonderful brownstone townhouse . across front door Original Pancake House , breakfast every day offer crepe delight along usual . make location find vibrant street life dark , people eat outside , stroll , etc . four wonderful dinner three restaurant ( go back one ) within half block hotel -- Hugo 's Frog Bar , Carmine 's , Merlot Maple . restaurant , , professionally staff . can not go wrong Sutton Place . 
 May 15 2005 	 Pretty Lame 	 doorman good part hotel . inform us cd player room see cd 's sit car . also know go u2 show ask get United Center . that great moment . the rest ... four star . room really small . bed extremly comfortable . view splendid . bathrug fall apart give we one bathrobe . minor repair caulike need bathroom . cd player nice . lot business people stay . lobby small , dark bit strange . overall , comfortable stay . worth price ? not think . 
 May 4 2005 	 great place stay - never disappoint 	 whenever travel Chicago , usually stay Sutton Place Hotel . great place stay - nice , clean room nice add touch - CD Player , bathrobe , bathtub shower stall . staff hotel provide great service , alway accomdate guest need . convenient shopping tourist spot - near Michigan Ave Lake Michigan . 
 Feb 7 2005 	 four star ? ? ? 	 ok ... disclaimer start ... ' m new & quot ; luxury & quot ; hotel scene maybe do not much compare experience stay Sutton Place expectation . research month perfect hotel Chicago New Years settle Sutton pacakage 269 night include breakfast , parking , champagne strawberry , taxis . first thing notice arrival two elevator whole building ... bit wait time need get get . room keep clean issue , lie bed could feel spring ! ! ! could not believe ... request room service .... take care reasonable time . place order breakfast 9:30 breakfast promptly arrive room 2 hour later one hour later tell we would arrive . end ... Sutton may look like luxury hotel lack & quot ; detail & quot ; that s luxury hotel suppose shine . 
 Feb 5 2005 	 absolutely fantastic ! 
 Jan 18 2005 	 Sutton Place Hotel : Meet Expectations 
 Oct 12 2004 	 sutton great location 
 Jul 29 2004 	 not get better ! ! ! 
 Jul 16 2004 	 take Bad Good 
 Jun 27 2004 	 Impeccable Service Great Location 
 Feb 16 2004 	 Disappointed 
 Oct 23 2003 	 Great Location 
 Apr 20 2003 	 Great Hotel Limitations 
 Feb 20 2003 	 Location Location Location 
 Aug 17 2009 	 Eccellente hotel cittadino servizio impeccabile 
