Kicking 	 stay Wynn 3 night ( midweek ) , part package include round trip travel Newark Continental , upgrade panoramic view room , $ 700 per person . check quick 5:30pm ; request view Strip , room 54th floor ( 5432 ) , outstanding . entire wall opposite bed glass , fabulous view day night . room huge impeccable , bed , bed pillow fabulous , bathroom ( especially deep soak tub ) die . husband , sophisticated traveler , uncharacteristically silent 10 minute , blurt : & quot ; can not stay whole week ? will kick scream 's time check out . & quot ; would agree many extra charge Wynn , example , gym ( $ 30 / day ) . alternative : get exercise walk everywhere ; first get leg shape trip , pack comfortable shoe . another extra hit wallet internet use ( $ 16 / day ) . alternative : two computer printer Fashion Show Mall 's food court ( 3rd floor , next Currency Exchange ) : online check - in print boarding pass $ 5 . continental breakfast : Starbucks , across Strip Fashion Show Mall , place . ( mall open 10AM , Starbucks outside ( ground level ) open air cafe open arrive , blearyeyed , 7AM , delicious coffee muffin two cost $ 8 , less half pay Wynn ) . Grand Luxe Cafe casino Palazzo ( next door ) excellent reasonably price menu , huge portion will need share . favorite show : Le Reve ( Wynn ) ; get day half price ticket Fashion Show Mall ( near Starbucks ) , start 10AM . go early . 
 Great restaurant 	 good : restaurant excellent price fair eye . room layout nice . nice lengthy pool allow good swimming . room 52nd floor great view . bad : room could use touch uop 4,5 year . door close airtight - lead noise due underpressure different AC system . addition , noise come AC weekend ... could hear night club 52nd floor ! please note everything cost extra : - internet 14 usd/ day- Gym 30 USD/ day- Shoe shine 6 usd/ pair- ... aware book . might get great room rate , hotel pretty expensive . 
 not stay ! 	 resort joke . pay everything daily . pool towel rent , gym outrageous go . never stay . great shop though , concierge terrible , none resteraunt good . 
 nothing special robotic help corporate attitude . pretty look end . 	 3rd 4th stay Thanksgiving holiday . return hotel . kid stay Wynn , wife Encore . visually stunning service , cleanliness food quality disappointment - well use . another big corporate hotel . employee complain hotel cut back $ 100 birthday gift well perk . could see disdain work face . monotone voice expressionless face morning Terrace cafe manager checkout person take almost 45 minute correct bill $ 63 overcharge - place opposite hospitality last stay family . 
 Jul 25 2009 	 amazing luxury hotel w/ good food 	 amazing hotel ' ve ever stay @ Vegas ! check Encore , great night club , & quot ; XS & quot ; , need make reservation prior otherwise wait line , etc . the good restaurant Vegas @ Wynn w/ spectacular view & amp ; award wine dish ! love poolside next & quot ; Cabana & quot ; , relax husband play game via poolside ! go back Wynn every single time ' m Vegas without doubt ! 
 Jul 25 2009 	 Wynn - Great Hotel 	 husband , two teen ( 14 & amp ; 16 ) son love Wynn Las Vegas . connect room 5950 5952 . spacious , clean great view mountain , Wynn golf course pool . great bathroom ! enjoy directly across Fashion shopping center great place lunch . Wynn North end strip congested location . while see Penn Teller Beatles Love show , would skip . 
 Jul 25 2009 	 Anniversary hell 	 make feel like liar booking reservation . bad checkin expericence , welcome , assistance luggage . feel value guest , use name , even tell reservation front desk celebrate anniversary acknowledgement occasion . feel lucky get king bed even tho view roof . billing error , would stay even free . feel unwelcome 
 Jul 24 2009 	 good Vegas 	 stay salon suite . $ 700 night expect good . ` good FANTASTIC . world book suite challenge anyone find one good quality price . every single thing Wynn tower suit world class . never find anywhere US offer asian quality standard viste Wynn . 
 Jul 24 2009 	 Strollers ? what s ? ? 	 terrible - completely unchild friendly - dissapointe . 
 Jul 23 2009 	 worth every cent pay 	 upgrade room panoramic view pleasantly delight . every morning wake view mountain go bed beautiful light Las Vegas . buyer beware book room credit make sure keep record accommodate not proof . make sure use Wynn Card time get compe . comp great . buffet wonderful pleasure . food always fresh inviting . would stay blink eye . pool great fill young one . relax vacation . 
 Jul 23 2009 	 Wynn Parlor Suite - top notch 	 book Resort room Tower Suites Wynn Amex Plat FHR , include upgrate available - arrive check ( must wait 2 min ) staff apologise wait ! brough us iced water- Front desk staff say unfortunately Exec suite book ( would normally upgrade ) instead would put we next category room - parlor suite ! ! ! ( price Tower suite resort room ) assign room 3606 - entry leave half bath , wet bar decent sized fridge , sink etc . live room good size desk , sofas & amp ; chair , large flat screen TV & amp ; DVD , floor ceiling window golf course view . comfortable room . bedroom great view another flatscreen & amp ; usual great wynn linens.the bathroom - oh god ! ! - every girl dream come true - huge - separate sink area & amp ; dress table area - perfect get ready , Jacuzzi bath - full goody - bath salt , bach scrubber , bath pillow etc , steam shower , WC walk closet ! ! ok already decide could happily live ! Turndown great request ( also get request resort side hotel ) Newspaper deliver AMIn ( 6 am - 8 am similar ) free coffee & amp ; cake serve bar area near Tableau . nice coffee . Tower suit Pool area nice - main pool get busy nice quieter option . drink service prompt & amp ; soon arrive attendent set towel , water & amp ; find lounger suit requirement IMHO Tower suit worth extra due peaceful oasis offer - soon walk tower suit side notice difference , somehow calm & amp ; service prompt - front desk & amp ; concerge first rate , pool staff also attentive . also ( big bonus ) skip queue regualr front desk times lengthy . - go treat - plan 
 Jul 23 2009 	 WYNN BEST VALUE VEGAS 	 Wynn amazing , never stop update make everything new . stayed open , stay winter everytime go be like new hotel . spotless , be obvious trash filth tolerate . hate sound like nut everytime stay inspire perfection service cleanliness property , stay nice hotel strip not personality drive perfection Steve Wynn ! never personally meet man attention luxury , cleanliness detail obvious left property change immediately noticeable . ' m typical vegas guy , love buffet favorite year Bellagio go one year find change not anywhere near quality use . ask around find guy name Steve Wynn leave thing come clear . bellagio experience amazing first time leave feel first step offering everytime go choose treat , last time go mess topper guy cut open plastic package cook salmon slide directly bag straight buffet pan ! tacky ! ! ! ! lack attempt presentation . maybe think 's small thing be correct 's small thing add exquisite experience whether buffet , room , one fine eating establishment . stay WYNN PERFECTION ! ! ! ! 
 Jul 22 2009 	 fantabulous 	 good hotel ever stay Las Vegas , view spectacular , food incredible stay would want stay anywhere else . want respect whether money , place stay . 
 Jul 22 2009 	 Great Hotel 	 Wynn favorite Hotel Casino hand . complaint air conditioning , struggle keep room cool . sign email promotion website Red Card never pay $ 130 night . 
 Jul 22 2009 	 Best Ambiance Average Service 	 stay every 5 star star hotel Vegas ( standard issue room ) place fall short service . mean , expect 5 star service , may disappoint . stay get good rate ( $ 250 / n less weekend ) , otherwise Venetian / Palazzo . somehow get away put 5 star rating whole hotel fact vip room rate 5 star - duh . someone write AAA ! ? ! ? go hotel low expectation service really help experience . ' m huge fan Wynn 's hotel though . Bellagio amazing . Treasure Island great value , even way well service . the problem Wynn 's staff promise strict job security rapid promotion matter economy hotel . family stick together guest leave fend . trick nice yet stern , smile , go enjoy trip - leave 's line people eager stay - know that . everything else , however hotel somehow make lack service . mean really beautiful place . not stay price stretch - budget spend least additional 3x nightly rate fun . 
 Jul 20 2009 	 great good 	 first time stay Wynn .. usually stay bellagio MGM grande . room really nice roomy Wynn , thing go ... table cheap ... go bellagio cheap ! plus Wynn waitress never come around .. gambling hour half come ! ! guess cut back ! bellagio much well . 
 Jul 17 2009 	 Wynn Winner 	 first trip Vegas Wynn disappoint . hotel understate ... Vegas .... 's incredible attention detail decor amenity . could find nothing really negative say hotel ... not necessarily personal experience like Ritz Carlton Four Seasons , hotel size think satisfie . complaint ... lot sit area ( except machine ) . visit Bellagio well set guest able & quot ; sit around ' gamble . room : room 59th floor . clean . king bed . fantastic bathroom two sink vanity , plenty towel , lemongrass toiletry . two flat screen tv . casino : casino large noisy gaming facility . nickel slot , good luck find ! food / drink : good selection mid high price restaurant . love Stratta , casual italian place back casino . great bar perfect place kick back light meal . great bar B Bar , usual video poker machine bar , bartender awesome ! pool : large pool area , include one section casino supposedly topless sunbathing see evidence stay . Coffee / Breakfast : okay , one complaint . 12 buck coffee fruit salad ? ! oy ! ! spa : love spa agreement reviewer daily charge gym disappointing ( though use free day spa treatment ) .In summary - good experience . check -- - 40 - 49 floor hotel . ? asian guest superstitious number four ! 's call good customer service . go Steve Wynn ! 
 Jul 16 2009 	 Upscale Class Quiet Atmosphere oasis desert ! 	 upon arrive Wynn Las Vegas July 4th , check line small checking within 2 minute wait . hotel scream class , upon arrive desk inform room would ready 3 pm , expect , arrive 1045am . gave & quot ; Amanda & quot ; cell number , call promptly come back hotel 1 pm room ready . go room 35th floor face golf course . basic tower resort room gorgeous ! spotlessly clean , 42 & quot ; sharp Aquos flat - screen tv actual HD signal , beautiful view Wynn Golf Club Eastern portion Las Vegas . room 650 SQ ft , needless say plenty room two people . bathroom spotless twin sink , separate shower / tub separate toilet area . nice touch small LCD tv side vanity watch CNN whatever get ready morning . head pool , lovely pool . one Vegas ' good . large dumbell shaped pool , lot attentive staff , find chair easy . also offer free water , nice avoid 5 dollar bottled water charge many Vegas hotel . fitness center course 20 buck per day , people ... Vegas , every hotel 's fitness center 15 - 20 buck , nothing new . internet well 14.99 believe , Vegas strip standard . hint ... want outside room ! also eat Wynn Buffet , despite line definitely worth , spectacular food , basically like sampling entree various restaurant buffet form . desert spectacular . hint food , breakfast TRY PEPPERMILL north Encore , classic Vegas every way , portion huge , 9 , yes .... 9 egg omelette . gamble Wynn tad pricey , machine like everywhere else , expect table minimum hover around 10 - 15 dollar mark slow time , hot time around 25 . hotel ton restaurant not get chance try , look great . all , Wynn gorgeous accommodation , classy pool , spotless public area good customer service . room spectacular , can not imagine good suite . would hesitate stay , frankly can not understand anyone rate place poorly ! 
 Jul 15 2009 	 5 star ! 	 first nice , lobby pretty . pool nice ! restaurant surprisingly affordable ( well ) . bad . check process ridiculous . arrive around 11:00 . travel lot upset room not available . really not expect want go ahead check flight arrive . say would call cell phone room available . get call 2:59 pm . minute spare 3 pm check time . big deal thought would something soon since hotel large . secondly valet guy jerk not need help carry bag ( i.e . tip ) . ask , say could handle 1 bag left , direction complain not need help . now room . basic . well basic nice . large lucky enough get ridiculous salmon / pink room . obnoxious design well . basically large space middle room 2 bed along one wall tv far away see . random chair thing center . normally big deal Wynn suppose luxury nothing surprising nice . good party . dirty ! naked butt hand print window . not really care . also mirror dirty finger print . glass lipstick stain . suppose 5 star . call someone come clean room apology nothing offer . feel annoy call . honestly think wast money . room boring . staff downright rude ask change salmon room normal room . friend king room nice layout . bathroom spacious . pool however super nice charge want one kewl lounge chair pool . 
 Jul 15 2009 	 good take seriously 	 stay early July 2009 two panoramic view room , one face strip one face golf course , 54th floor . we arrive early ( 11.00am ) expect able check afternoon . expect request room ready yet offer similar alternative delight accept . note several reviewer find check process confusing . not understand - follow sign guest registration join one queue - difficult ? admit busy area let us realistic , 's BIG hotel . check staff efficient queue move quickly . the public area light , bright , airy glamorous . ' ve visit ( although stay ) several hotel Vegas ( Treasure Island , Ceasars Palace , Bellagio , Venetian etc ) gaming area much classier spacious . the bedroom excellent - large room , well furnished ( seat area , desk , large flat screen tv , etc ) , comfortable , great view ( try get high floor good view not worry - plenty elevator ) . great bathroom double sink , separate walk - in shower , TV . bedroom ( whole hotel generally ) extremely clean well maintain . quite bit noise even high floor . room golf view obviously quieter strip view room could unlucky ( ) someone room next return nightclub 4.00am - be look quite holiday not go Vegas first place ! hotel huge array dining option cafe ice cream parlour international fine dining every variety . breakfast buffet good $ 18.95 per person feel restaurant not quite deliver - good good would believe quite expensive . there excellent ( expensive ) spa well equip gym ( cost $ 30 per day 18 use - seriously annoy 17 year old son able use hotel gym USA ) .The main pool area large well lay - towel sunbed provide ( extra cost ) become extremely busy find difficult find sunbe late morning . second pool far side Cabana Bar 21 use . tell topless sunbathing allow surely would not want child see - ironic call & quot ; European Pool & quot ; Europeans bring topless ( even nudist ) beach Med . think real reason gambling area . cabana available rent main pool area cost $ 300 $ 600 per day depend day . seem lot take 6 people include soft drink , fruit plate , tv , reserve sunbed etc . Wynn like see classy hotel strip may well right . hotel car black Rolls Royce Phantoms , Ferrari Maserati dealership inside hotel shopping mall include like Alexander McQueen large Rolex store world ( size shop every model ! ) . great look unless be high roller will find approachable shop elsewhere . particulary like Forum shop Ceasars Place oddly name good & quot ; Fashion Show & quot ; shop mall directly across strip Wynn . include favourite restaurant , Maggiano 's . italian ( name suggest ) good food , large portion ( half portion enough people ) excellent value , good service geat atmosphere ( feel like New York Las Vegas ) .Overall Wynn good choice - clean , well equip , efficient , bright , modern - downside might feel 's bit pretentious arrogant , lot area reserve vip be big spender feel exclude like second class citizen . 
 Jul 14 2009 	 Great Luxury Hotel 	 first time Vegas go sister 's Bachelorrete party , four girl total . arrive check easy , call hand make sure could get connect room get . offer upgrade extra price , since room not connect decide . hotel breathtaking . realize beauty hotel much start visit other . however , must warn Wynn expensive . nothing cheap . air clean even though many people smoke inside casino area . decor modern not know go look first . kind maze inside , hotel worker helpful make easy find way . room immaculate ! room huge love bathroom vanity area separate area toilet . feel posh . downside view . huge glass window side wall see roof building . view Vegas light we . however , decision upgrade . service great . order chocolate strawberries sister suppose deliver room . call never receive front desk quick find bring room . check nightmare though . express checkout , want make sure nothing extra charge card . come 30min check time must wait line good hour . around noon line everywhere nightmare . overall though , trip great ! great hotel be willing spend . 
 Jul 14 2009 	 good hotel 	 stay one night get great deal hotwire . check process bit awkward . arrive early morning tell room ready least 3 pm ( check time ) . ask mobile number hotel could call room ready . give pass could use pool facility wait room . get call 2:30pm tell room ready . the room big awesome . washroom good , 2 sink , private toilet room , stand shower , bath tub tv bathroom . scale , shoe polish brand name toiletry . room clean LCD tv full cable . blind curtain room control via electronic button bed really cool . the pool sooooo good . various pool european style sun bathing ( guy love ) far pool . Black Jack table pool fun crow . pool family well .... private room pool rent additional $ $ $ $ tv 's butler service ... cool .. restaurant kind expensive , would expect 5 start resort . offer good food chef city . there golf course hotel ground well although use . tryst night club hotel wicke , one good night club Vegas . highly recommend clubber . deep pocket , large Ferrari dealership hotel drive pretty much model afford . able pick authentic Ferrari cap 30 buck , buy car next time . also high end shop like Rolex make spend money easy . I would stay hotel heart beat . would recommend hotel young people , old people , rich people fix budget people . 
 Jul 14 2009 	 Fantastic 	 hesitate Bellagio Wynn . property fantastic , think prefer Wynn . dedicate entrance Tower Suites Guests quiet service really much well expect ( personnalise , access 2 additionnal pool worth extra $ ) .The hotel huge never feel busy overcrowded . try several bar & amp ; restaurant , wait minimal . the location perfect . Palazzo right accross street , Bellagio 15/20 minute away walk . long walk way Mandalay Bay . good part remain Wynn Paris Hotel . we stay Parlor suite . much large expect see official picture Wynn website . fridge addition mini - bar , 2 dvd player , fax machine , etc.2 minor issue : internet access bit expensive ( $ 13 24 - hour , not include free wifi access ? ! ) car pick - up airport 5 - minute late . 
 Jul 13 2009 	 Classy 	 partner stay Wynn last Vegas 7th July several night . hotel beautiful , classy totally luxurious . arrive around noon , able check room straight away , eventhough check usually 2 pm . hotel huge , beautiful many restaurant , bar , nite club , beauty spa , gym , casino . stay resort room great view rom 21st floor . room huge , bathroom huge bath tv . pool area really nice 2 pool many private cabana , well bar poolside casino area .... drink deliver chair ! Eventhough hotel locate end vegas strip , walkway across street huge mall , every shop could need lot cheap place eat case hotel restaurant budget . love Wynn would definitely recommend luxurious place stay ! 
 Jul 13 2009 	 WOW 	 stay Wynn 5 night really lovely hotel . Thoughit not many shop / restaurant hotel thestrip , absolutely stunning plenty option placesto eat shop . the pool area equally lovely reflect different side Vegasand good place relax . we hire car Hertz base Wynn highlyrecommende . we room overlook strip view definitely worththe extra cost . 
 Jul 12 2009 	 Wynn simply great . 	 stay Wynn July 2009 conference . hotel 2 night . get good package deal Orbitz airfare plus hotel . request quiet room high floor light sleeper . however , check 6:00 pm Friday night hotel oversell room availability scarce . since hotel room leave high floor , upgrade junior suite high floor modest fee . quiet , beautiful room view Las Vegas strip . bed bed Wynn comfortable sleep soundly home ( well ! ) . since property 4 year old , room clean modern furnishing . can not wait stay Wynn ! 
 Jul 12 2009 	 Heaven Earth ! 	 Wynn Las Vegas - SAY ? ? ? ? ? ? Vegas every year last 5 year back NOvember . we stay Bellagio twice last two visit Wynn ! BEST strip - ignore comment say far strip - one walk anyway would want spend time hotel like luxor , new york excalibur etc etc already good hotel ? good hotel next door across road eg Caesars , Bellagio , Palazzo etc etcthe room pure luxury fantastic view , quality restaraunt fabulous , great club / bar staff gaming table friendly professional . make sure visit various show available . I honestly say - find anything complain Wynn stay home - want quiet night Las VEgas ? ? - honestly ! Las Vegas & amp ; Wynn city excite not sleep - that s look BOOK ! Theresa UK 
 Jul 11 2009 	 wonderful place stay - every way ! 	 sister , friend arrive Monday begin week 's vacation Las Vegas - style ! take limousine ride airport Wynn , first hotel stay Las Vegas . ' ve Las Vegas several prior occasion , would never guest Wynn . prior leave trip , have already pull information web Wynn . read lot review make judgement . know place would really love stay ! ! part trip Las Vegas , guest sister . would actually receive invitation Wynn come stay three complimentary night ( have visit Wynn April husband - celebrate wedding anniversary ) give comp play . invite another friend join . & quot ; unpaye guest & quot ; ( put ) , could see anything could say negative would unfair . thing stay Wynn go cost possibly money would lose gambling ... surely lose casino ! upon get close Wynn 's entrance , see gorgeous building , beautiful gardens artwork splendor . look say , & quot ; make something beautiful ! & quot ; be true - beautiful . enter valet entrance , amazed ... excited . enter hotel , find look like something fairyland ... 's magnificant light tree beautiful flower breathtaking . gorgeous ! proceed Registration Desk sister check room . ready , not expect , arrive right 12:30 . store luggage we would call deliver room . proceed area obtain player card friend . clerk kind go detail explain perk play new card . obtain sm . amt . point able receive complimentary buffet . ( know time cost lunch buffet - & quot ; pay & quot ; - right $ 25 . ) great ! know have play machine , earn first two promotional buffet easy . game fun ! find lot machine ready & quot ; pay we & quot ; . , keep pay ! ' ve never casino jackpot like casino . play $ 1 $ 5 slot machine majority time & quot ; & quot ; time . thrilled . sister hit quite jackpot , include & quot ; hand - pay & quot ; . pool money even hit Wheel Fortune $ 1195 ! friend love video poker also luck machine . after check back Registration Desk , sister get room , go Bellman deliver luggage soon . think room gorgeous . could see Encore leave view Strip distant mountain . love spaciousness room . huge . never crowd .. even three us luggage sharing room . bathroom large . enjoy walk - in shower large vanity area . great stay hotel also tv bathroom . guest in - room safe convenient ! ! color scheme pretty we ; love bright burn orange wall ... picture accented room well . ' ve read review guest comment thin wall never hear noise room . definately problem we . we stay Wynn three night not take time explore . large love spacious gaming floor . everything conveniently locate . could see entrance Masaretti Dealership beautiful . surprised would pay $ 10 tour ... return gaming floor . easy , problem - free checkout assistance friendly host . also find buffet have charge room ( first two promotional buffet use ) compe . saving wonderful perk player . three we play regularly various casino different location ( Las Vegas ) seldom pay room meal , not sure would stand Wynn . definately look forward return stay Wynn ' m sure will great stay . love ! move Bally 's really enjoy stay well . also staff wonderful employee assist every way make stay pleasant . room nice well . will also return stay future trip . 
 Jul 11 2009 	 Fantastic ! 	 Wall wall view strip , amazing bathroom , amazing bed , great tv ! ! Casino look great , unforgettable hotel ! 
 Jul 11 2009 	 another Smokey Casino another Sore Throat ..... 	 Wynn Resort total disappoint every department . smoke - fill casino ; lousy parking , inconsiderate player , music loud , noise everywhere - quiet , peace . you leave need take vacation , reverse . leave sore throat , deaf ear , horrible , horrible time - waster . money spend could buy wonderful trip Hawaii . let say : go Las Vegas not smoke , pretty dangerous . 2 hour casino equivalent 6 month passive smoke . mom die lung cancer not smoke . passive smoke kill smoke . 
 Jul 9 2009 	 still excellent ...... cut back ! ! ! 	 3rd year run . still beautiful hotel sister Encore even lovely . last year 2 tiny thing noticeable . use . Shower Gel Mouth Wash. oh cut small item . bear mind spend $ 2500 board food , go downstairs buy 3 small bottle mouth wash bottle shower gel -- cost $ 20 . seem nit pick . still would still go back , .... maybe try Encore one new hotel new City Center . decision , decision ............. 
 Jul 9 2009 	 wedding Wynn Las Vegas ! 	 husband LOVE Wynn . love restaurant , pool , casino , bar , everything . 4 5 time , recently try Encore ( like Wynn well ) . want share amazing wedding , anyone think get marry Las Vegas . coordinator Sunny , awesome . get marry outdoor courtyard , beautiful flower , handle everything well , take care . July hot , keep guest inside immediately ceremony , get marry sunset . reception Tableau , great , except get slice cake : ( Wynn make cake , beautiful , look like jewelry box . Tableau really nice , able 3 course dinner cake everyone open bar . Tableau , get whole back room shape like oval use , patio pool also use . we outside photographer reasonable . get Wynn photographer photo , use salon wax nail . outside person hair makeup . can not think anything else say , Wynn great . see photo ! thank ! 
 Jul 9 2009 	 Wynning lose Hotwire guest 	 first wedding anniversary ( marry 4th July last year ) going spend part Wynn Hotel Las Vegas . 5 star hotel choose Hotwire . , gambe whether get elegant 5 star like venetian overrated dump like Wynn . whole weekend plan begin end . when arrive 3 p.m. , Wynn clerk , Christina , say room ready . say room would ready . could ready 6 p.m. 9 p.m . explain dinner set expensive show attend . wife need time get ready . not seem care . , straight face , Christina try bully we pay additional $ 100 upgrade room face undetermined amount hour wait lobby . second take one . insult mind pre - purchase 5 star service Hotwire . at check , want get copy recepit show time check . Christina Wynn staff say could see one screen , make sure tell could print . , proof stay Wynnn Hotwire Wynn . unsulting check - in reflection 5 star rating . move dinner lose expensive show . what really infuriate wait lobby begin talk wait guest . hotwire guest ! know purchase reservation Hotwire personally talk . Wynn treat hotwire guest second class guest . then , go room wonder wait . room 5 star room . like 3 4 . know 5 star room . Wynn even come close venetian , true 5 star Las Vegas hotel . look like someone throw orange build tacky hotel around . even see trashy prostitute wait jon gambling table near parking lot entrance . after wife stop cry , try enjoy little time leave anniversary . despite Christina Wynn staff , manage ok time . however , never forget treat incompetent staff could care less quality customer service part 5 star establishment . 
 Jul 8 2009 	 truly incredible ! 	 LOVE hotel ! go Vegas bachelor party stay guy leave . 's hard describe plush hotel . get to see believe - Steve Wynn spare expense . the view room amazing not even strip . room nice well 5 * ' ve stay . the food around hotel totally flavoursome . nightclub Tryst unbelieveable . must go . the pool area paradise also great crowd . 
 Jul 7 2009 	 good hotel Vegas strip far ! 	 first time Las Vegas walk hotel , good one far ! room super clean modern . probably well view build Palazzo kinda block strip stay worth . service five star location really great . would stay anywhere else get chance go back . love ! ! 
 Jul 6 2009 	 fantastic start honeymoon 	 get amazing service hotel- upgrade high roller room twice big house large bathroom ever see . not eat restaurant pool area lovely everywhere clean new . staff could not bent ay backwards help we . 
 Jul 6 2009 	 Wynn Disappoint 	 first trip Wynn read several review ahead time . big worry paper thin wall everyone speak . speak husband disturb noise room around we club downstairs . 6th floor nervous not hear thing . bed linen amazing , good 4 night sleep ' ve ever get . absolutely wonderful . also read make sure door room close well security purpose . notice give little extra push make sure shut issue that . the & quot ; European & quot ; style pool wonderful . child atmosphere great . pool bar wonderful always someone take order food drink . even gamble pool . concierge great , . get us rental car could take trip Hoover Dam later help we book show ticket . friendly professional , even we & quot ; low roller . & quot ; know location hotel go prepared walk . far be willing make day , not seem bad . we please overall great time . 
 Jul 6 2009 	 Wynn ` ` hot '' spot strip ... even see Ellen ! 	 yup ! be true . seem Steve Wynn make place place stay strip . walk poker pit near Ferrari dealership happen spot Ellen get game . big deal ! 's Wynn ! room 26th floor overlook Lake Dreams strip . could not imagine floor high . great view ! word advice though ... help try get 27th floor high . 27th first stop express lift . word , 26th may stop time time go . picky ... 's trip advisor for . the casino far nice saw trip . busy weekend never trouble find favorite game . , issue pool . boy crowd . , holiday weekend everyone sure pack . even try get away craziness hit & quot ; Brazilian & quot ; pool like cram 100 people bath tub . way crowd . can not complain though . everything else perfect . wish would get & quot ; dress & quot ; clothe trip feel underdressed night . prepare , nightclub packed weekend crowd hall . , Wynn place ! 
 Jul 5 2009 	 would go back heartbeat 	 stay Wynn three night June . Vegas 10 year , unsure condition hotel Strip , much reading review decide would spend bit originally plan hope good experience . disappointed . room spacious good view Strip . everything -- furnishing , carpeting , finish , etc . excellent condition . bathroom spacious . everything spotless . pop button shirt ironing , call housekeeping request sewing kit . kit arrive within 10 minute probably less ( sorry folk , not check stopwatch ) -- efficient service large hotel . although not request , registration desk place room close elevator , appreciate joint problem prefer walk long distance avoid . room hall quiet . fitness center well - equip crowd ; pool area lovely even busy one could still find lounge chair . criticize anything would shower drain well stand couple inch water time finish shower . & quot ; complaint & quot ; come . Arnold would say , & quot ; will back ! & quot ; 
 Jul 5 2009 	 would stay anywhere else Vegas 	 second visit Vegas first Wynn say would consider stay anywhere else . wow , hotel ! place super plush . greet door really friendly helpful bellboy make we feel personally welcome hotel take care luggage whilst check in . we would book low cost rate via Expedia . enquire upgrade offer upgrade panoramic room top hotel floor ceiling window $ 25 per night . take offer wonderful room 56th floor . view good not bother go Stratosphere ! room absolutely massive pristine condition electric drape / curtain , tastefully decorate . completely gob smacked walk . huge hi - def tv , massive bathroom & amp ; sink , comfortable bed world luxurious bed linen ever ! feel really special ! breakfast evening buffet expensive plentiful high standard . we also meal chinese restaurant one evening reasonable equally good quality . the pool area something else ! honestly feel like paradise whilst relax . pool huge , fact whole area huge 's plenty space everyone - overcrowding . staff constantly around need cocktail ( wonderful ) also plenty ice water available free charge mister spray keep cool . I would say stay almost perfect apart follow downsides:1 . communal music terrible , thud , thud , thud - could do relax music particularly around pool.2 . play slot 1.5 hour see one waitress order drink , therefore drink . ( think drink whilst play perk Vegas ! ) 3 . double glaze perfect could music night even 56th floor . 
 Jul 4 2009 	 underwhelming visit ... clean hotel 	 pro -- -- -- , , clean . lovely bathroom product . friendly staff . easy get parking garage guest elevator . $ 75 food beverage credit come handy . quick check - in . reduce $ 150 per night security deposit $ 400 security deposit entire stay ( 7 night ) ask . argument debate need . upgrade room without ask $ 20 trick / bribe . con -- -- -- -location . far strip like . blaring music 3 morning hear room 50th floor . nice 25 hour door door journey . the hotel mish - mash style , eurpoean , oriental , ' other ' . result hotel not seem good energy good synergie ... pick style already ! entire party think ' Hmm , feel like poor relative Bellagio ' , hardly surprising . fact far prefer Bellagio . I get feel need put hand pocket every time staff member something answer question . pleasant turn event give review say need plenty $ $ $ $ stay hotel . mean high roller see plenty ' regular ' folk stay Wynn treat much respect receive good service people swanne round dripping diamond . the bed nice ' ve sleep nicer . linen nice high end expect . cafe Drugstore smell like burn cheese every time walk past - 's ? nice breakfast buffet several nice breakfast terrace cafe . overall pleasant underwhelming stay Wynn . , honest , little bland lack general atmosphere . hotel nice ( incredibly clean , ' ve already mention ) something miss - none we quite put finger though . would not go back glad pay low rate via Expedia - would less impressed pay . 
 Jul 4 2009 	 Superb hotel - faultless area - 100 % excellence . 	 UK stay four night , leave July 1st . ninth visit Las Vegas first stay Wynn . never stay anywhere else . marry american friend Scottsdale AZ , join we Wynn , say exactly . way Wynn exceed expectation . the restaurant superb - eat pick middle lower price one . Lunch Country Club especially memorable , even simple cafe excellent . bar & quot ; Parasol & quot ; become rendevouz location , stunning position outdoor terrace lake truly amazing light sound show every half hour dusk . day interior part bar bliss couple hour scorch Nevada sun around beautiful pool . our room huge floor ceiling window electically control net drape . bed outstandingly comfortable . bathroom also huge ( separate wc , something every place ) , enormous bathtub , use , free stand shower enclosure . say ? absolutely faultless . 
 Jul 4 2009 	 dreadful noisy smelly vile 	 stay Wynn June 09 show wife around Las Vegas . room ok ( roughly standard European 3 star ) , service poor overall . entire operation gear towards releive guest money every stage , hospitality conspicuous absence , three night stay , music club prevent we sleep 3am . two night , try complain , first try call reception ( give half hour hold listen Steve Wynn describe so - call luxury hotel endlessly whine loop markting pitch ) , finally getting dressed go reception find no - one assist . would expect prime function hotel provide guest ability sleep . , bed provide . ensure guest sleep , make impossible complain , appear something unforgivable failing . apart total insomnia stink cigarette smoke area ( even supposedly non - smoking area ) one lift ( elevator colonial friend ) cover vomit least two hour last night . seem hotel busy ' exclusive ' ' fashion forward ' resolve unhygienic unpleasant state affair . possible staff simply busy instal extra speaker amplifier club ( ensure guest asleep would remain much long ) fetch mop bucket . disgraceful . 
 Jul 4 2009 	 10 wonderful day Wynn 	 every aspect Wynn perfect , check departure . pool outstanding service could fault . wonderful room service twice day . if go Vegas make sure hotel take consideration . 
