far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Nov 25 2008 	 great trip rio casino 	 ok people , little skeptical first whether would stay ( rio ) read bad review site start look another casino stay . could not find anything 250 night .. give shot ... good experience Vegas long time .. not stay Rio couple year think , review , go tube . follow guy advise site give check counter person $ 20 credit card ID . work .. ask strip view high would work .. say will see , walla great room . 's treat worker . machine little tight , 4th day stay , get back $ 700 penny slot wife ... know people not write review good time place , bad time . well one write . everything stay awesome . not judge place review site . usually fraction people stay casino .. smoke bad . smoke bad every casino go . not matter go .. smoke bad old caino . shower go bed sheet will not smell like smoke entire stay . hope help guy look forward stayin Rio . oh one last thing , look every caino 's buffet go , noone compare Rio . ( even Ceasars ) Rio really good buffet Vegas .. know lot writing , , write unfairness bring Rio ... really nice place stay . Ray San Antonio , TX 
 Nov 23 2008 	 Room Breathe 	 will save good part visit end . strike immediately casino stick rest Las Vegas hotel . separate street away main drag , immediately catch attention . once arrive check , floor sheer size hotel room . big big : turn big entire house live . deluxe anything , sheer dimension make relaxing stay . when hoof main boulevard see casino , serious 25 30 minute walk . consider plus , keep brisk - pace peaceful without usual traffic even people overwhelm Vegas . the good part Rio , reason stay , someone 's advice back home buffet . buffet good world : many choice , many station , many theme , country , chef , could one possible begin ? begin must , going eat ! well eat night , way see sample one experience . not even try . attempt look everything available go make brain numb . imagine , rich oil sheik , would problem every night - one night life ! run 35 dollar well worth . brother cut Las Vegas , will stop Rio see 's call world 's good buffet . 
 Nov 20 2008 	 unpleasant experience 	 stay Rio Hotel around end October week day . order air flight ticket room online via Expedia . specifically say want smoke free room . when go Rio put we smoking room without even ask we first . go smoking room demand change smoke free room hotel would let we . say 1 . guarantee smoke free room even though explicitly state order via expedia2 . say vacant room we switch rooms.3 . insist happy arrangement leave . everything arrange already expedia leave hotel . so stay smoking room , full odor second hand smoke , one night . unpleasant experience . 
 Nov 14 2008 	 great time room excellent 	 hotel room nice . large marble bathroom area room huge also . comfortable king bed . would definitely recommend stay here . very friendly accomodate staff . the thing find check check confusing frustrating . way set wait line hour check people walk check line take immediately check . everyone line complain staff obliviously go . egentleman behind counter suit yawn talk phone . one area hotel need work . see couple customer conference irrate ! person run rest hotel can not possible one front desk . 
 Nov 14 2008 	 lovely hotel bad booking 	 never Las Vegas careful consideration choose Rio appear one big hotel . specifically ask king bed stand line 25 minute give key 2 bed queen room tell king available try back later oh way room will not ready 2 hour ! needless say never get king bed suite . room aspect turn fine EXCEPT fact lovely view garbage dumpster rudely awaken many time garbageman . oh well guess not expect get DEAL . food buffet restaurant ok pricey , slot tight coffee lobby horrible , least room receive clean . watch time share people give away & quot ; free & quot ; ticket mediocre show lure clutch . 
 Nov 13 2008 	 complainer place would make one 	 stay convention November 8 - 12th . upon checki non - smoking room available . room smell like stale ashtray ... especially try sleep bed , combine smell BBQ restrurant . smoker hater ... dad smoker live smoker ... gross hotel . finally get move next afternoon ... room overlook service entry back hotel . could care less view . could care however get 2 hour sleep night due garbage truck beep upon back slamming dumpster . go HOURS . break . awoke screache fire alarm go record voice blarre system check . go least 5 minute . deafen think may wet bed . food expensive good hotel . VOO doo lounge limit due private party unless want pay $ 20 cover charge . even hotel guest . wall hotel room may well tissue paper . hear everything ... write neighbor urinating . JOKE . hear every word guy besides discussion sport could hear guy across hall 's phone hear answer . could hear people bathroom . night long toilet flush , door slam , people mate . ridiculous . roadside motel , yes would expect .... $ 179.00 night room ... . nice thing shuttle hotel property ... least get away smoke little . food buffet impressive . amount yes ... taste ... . really picky person fine Hamptons Motel 6 's world . not even ask maid service , place beyond poor . people work nice though . try well actually feel sorry front desk one happy rooming situation . 
 Nov 9 2008 	 like ut 	 find Rio pleasant surprise . sure expect read bad review . problem check pleasant helpfully . receive room request , non - smoking . room clean bed comfy , plus lucke get strip view , beautiful site night . suite floor ceiling window , coffee maker , safe fridge . also mini bar , touch , front desk , tell we mini bar work weight move item , charge , not touch . the casino staff pleasant helpfully expection casino cashier , RUDE , loose change receive cash slot machine voucher , want bill lighten pocket REFUSED , plain REFUSED accept change give machine , could not believe machine even spit penny , petty , casino exchange bill , dumb . buffet excellent go appetite 1/4 mile food . find alot food alittle expense , Rio , instead walk across street Gold Coast , great buffet reasonalable price . time share people get go , ask 1 time go town tomorrow ..... answer yes , would keep walk watch chase we ... lol shuttle service great , fast pleasant driver halloween election , day prove exciting fun . do luck casino , tight machine . waitress wear skimpy outfits , wait staff dance mini stage , top bank slot machine , find kind weird , sometimes dance one watch , way male female wait staff . smoking whole casino fill smoke , make eye hear lung . non - smoking area . Rio alone , Vegas , Vegas want non - smoker business not , back smoke band casino . 
 Nov 7 2008 	 expect 	 request non - smoking room 6 weeks advance , check tell none available ( say alot people check ) give we choice smoking room handicap room , tell we come back next day would see could we , wait next day long line tell , nothing non - smoking available . we & quot ; dirty used & quot ; wine glass room bar . we also find men underwear bathe suit drawer obviously check . 
 Nov 1 2008 	 Okayso 's Bellagio ... 	 okay , nay sayer , you . hotel staff hospitable beginning . check fine . like vibrant energy throughout casino , although could not believe many octegenarian need drive cart oxygen tank - bizarre . Rio seem get lot . anyway , & quot ; suite & quot ; $ 190 okay . yes , light bathroom brightest , really matter much ? view window exterior breathtaking ; , , recommend visit voodoo lounge drink around sunset . one all - time vegas highlight . great photo op . gym small outdate , $ 22 seem reasonable . friendly staff . rest : seafood buffet awesome , pool adequate , although small side - what loud , european Sapphire pool steal valuable space we regular folk . vegas trend must stop immediately -- ditto Tao Beach Venetian etc . know , must forty . anyway , despite age , find cocktail server outfits & quot ; raunchy & quot ; another patron put . fact , wife think attractive outfit strip . guess , different standard vegas attire . anyway , check . not believe super negative hype many broadcast section . we , fine weekend getaway . , yes , Bellagio Pallazzo , be $ 300 either . get pay . 
 Oct 31 2008 	 could not find go - go dancer ` ` Raunchy '' Outfits 	 return 3 day , 2 night stay Rio would enjoyable visit constant annoying sale pitch Time Share sale people encounter front rear entrance well Hotel check - in area . talk guest annoy dodge people not able remember already approach tell & quot ; interested & quot ; least 50 time three day . hotel ; room 6th floor 20 story Ipanema tower unspectacular view mountain distance . room compe , not get upgrade room view Las Vegas Strip . room large room sofa , chair marble top furniture addition king size bed 37 & quot ; tv . bathroom average , small , marble tub / shower , two sink . carpet , wallpaper furniture clean good shape . bed comfortable . overall , would give room & quot ; A. & quot ; bad thing room . morning , room smell like BBQ meat ( bad thing ! ) . late night , room smell smokey , afraid smoke detector would come . air conditioner work fine ; need work smoke smell problem . , major complaint . unable find go - go dancer raunchy see - thru dress black thong underwear offend previous reviewer 18 20 year old & quot ; child . & quot ; would think would thing & quot ; sin city ? & quot ; . notice free - drink serve waitress ' wear outfit , maybe dance not busy . hotel / casino also discontinue nightly overhead Carnival / Mardi Gras show main reason stay hotel . Hotel Las Vegas Strip , provide free shuttel service 5 6 hotel Strip . shuttle easy catch , beat drive car crowd road . would definately stay , spite complaint . 
 Oct 28 2008 	 Nice Rooms whole hotel smell smoke 	 stay Rio 2 night October . overall ok ( service , ammenitie , etc ) find whole hotel ( include hallway room ) exception room , smell bit smokey side . the casino quite dark prove little lucky . the location good ( strip ) free shuttle service Harrah 's hotels strip ( Paris , Harrah 's , Caesar 's , etc ) nice touch ( even though shuttle come every 30 min . overall , bad deal price . 
 Oct 26 2008 	 over - rate 	 room huge , somewhat date . big problem thin wall . first next door family small child , literally bounce wall day night could hear everything . check , treat 6 wake call sound someone get sick . could hear people walk hall . feel like whisper everyone people would hear everything say . Rio nice enough place everything expensive .... stay strip less convenient place kind expect make concession keep come back not really give break . worth price charge ... get room big nice Orleans Golden Nugget lot less . 
 Oct 15 2008 	 Rio great room compe ! 	 stay Rio everytime hit Vegas ! last visit soooo disappointing . take away pool access create Sapphire Adult Pool . pay enter , although guest . slot machine remove . carnival atmosphere turn Rhythm Blues Concert . carpet sofa need clean . good part stay fact room compe five night ! 
 Oct 11 2008 	 worth money 	 husband convention work never Las Vegas , pretty excited trip . stay Golden Nugget Monday Wednesday Rio Thursday Sunday . Golden Nugget much clean & quot ; raunchy & quot ; like Rio . 18 year old daughter 20 year old niece we embarrase many time woman black lace mini , see - through , dress wear thong dance 5x5 round high floor around main floor hotel . far room go , 4 us room never 1 wash cloth 3 towel , alwasy call . carpet stain , bathroom counter stain , couch run - down look . whole room need update . impressed hotel feel Hampton Inn , usual hotel stay , would 100 % improvement . 
 Oct 7 2008 	 date 	 room big , bath area small 4 star hotel Vegas . shower date needed cleaning . casino one smokiest experienced Vegas - need burn clothesWe wedding - reason would ever stay staff helpful . truly property need update - pool furniture budget store 
 Oct 7 2008 	 good time ok time ! ! 	 stay Rio twice always enjoy . time good Vegas trip ever ( reason hotel ) . compe 5 night stay newly renovate Ipanema Tower . room great , room furthest elevator long green carpet hallway sister refer & quot ; Green Mile & quot ; . room ' roomy ' move around without trip one another . problem toilet flush call three time someone come fix . luckily , access friend 's room right hall . pool area always fun . not get see Masquerade Show Sky time . run certain day . Carnival World Buffet excellent always . much food choose dessert ! ! ! ! ! YUM overall , good stay Rio ! ! 
 Oct 3 2008 	 big clean room friendly staff ! 	 bad hotel experience EVER Flamingo , party move Rio . room big clean , every staff member encounter friendly helpful , get great rate . always give business Rio ! 
 Sep 19 2008 	 Vegas Baby ! 	 third time stay . change since last stay , : new seafood buffet ( one Vegas ) , Saphirre Beach , Irish Pub . 's bit strip , however , resort offer free shuttle Harrahs , Paris Cesars . ' ve never need go Voodoo Lounge night bring camera , be absolutely beautiful . see whole strip , plane landing take airport basically anything light . elevator ride pretty cool well , 's glass see everything . complaint room , rate reasonable bed comfortable . convention well run . everything average would recommend Rio friend . 
 Sep 18 2008 	 well 	 stay one night Rio business trip . first time hotel although Vegas dozen time . the hotel strip really walk distance strip . shuttle take car . casino unimpressive . many table open blackjack table ( none $ 15 ) . gamble always - fun Hard Rock $ 10 plentiful , music great dealer friendly . dozen restaurant Rio . eat previously Carnival World Buffet think good . time lunch Sao Paulo Café decent would expect casino coffee shop . dinner , eat Ago Hard Rock ( partly own Robert DeNiro excellent ) . although room list & quot ; suites & quot ; , bit exaggeration . separate bedroom ( least main tower ) ; large hotel room couch area hallway bathroom . bathroom big one sink hallway . room clean , bed comfortable , tv work ( HD ) could hear conversation next room connect door . the pool complex look pretty neat use . really spend lot time hotel . overall , much well choice Las Vegas . price , stay right strip great place . off - strip , well choice Hard Rock ( although currently go major construction ) . 
 Sep 13 2008 	 Rio Cutting Back 	 stay Rio quite bit . dissapointe time . yes room need update . big dissapointment cut back free entertainment . Masquerade Village always fun place , show sky Thursday , Friday , Saturday . use everyday . show also change seem gear towards adult . also good old show . also use parade go casino . go . bit inconvenience strip use worth fun place . seem fun go stay strip next time 
 Sep 12 2008 	 Lights 	 bring lightbulb want reading . 's good conserve energy least one bulb room reading.place get little shabby . 
 Sep 12 2008 	 bad Experience Hotel would never VIsit 	 check rio Sept 9th 3 night last nite invite guest . pay 75 dollar first two night , check give suppose renovated room ( Imanepa Tower RM # 676 ) , walk room dirty , bed like rock . call front desk see could get new room tell yes couple hrs . call back couple hrs later dinner tell could not move next day morning hotel full . find hard believe get maid say floor 25 % full . go front desk swiche we room . new room tower ( 977 ) yes bed well , new problem arise . take shower shower curtain be not large enough water flood entire floor bathroom vanity area . call front desk send supervisor look like & quot ; oh good & quot ; , tell maid change curtain mop floor . nothing trouble hotel room service , maid service , front desk . manager hotel attitude unacceptable . extremely unsatisfied check get much well room Treasure Island . never go back rio even invite guest , 4 star property , like 1 star . 
 Sep 3 2008 	 return 6 month good ! 	 take husband Las Vegas Labor Day weekend surprise . first , do not think could afford stay resort . get room popular weekend $ 300 ( great price compare hotel charge particular weekend . ) room huge . not know get away call ' suite ' , really big hotel room couch . not matter , room need . request low floor , do not wait elevator long . give we 4th floor masquerade tower . great view mountain , build ROOF lol . ok ! that s request . fair trade , consider never wait 15 second elevator . , could also technically see part strip ( Trump tower , Treasure Island , stuff ) . say , would definitely recommend people get mountain view room go close bottom floor possible . entertainment cassino UNREAL ! amazing ! singing , dancing ... cocktail waitress EVERYWHERE ! come wave , offer drink already order ! even get drink penny slot ! never offer drink penny slot ! see Penn Teller show , love . already huge fan , even , show pretty awesome , stay , see . Carnival Buffet great breakfast . every breakfast food sun . burger American Grill die . rub BBQ 2nd floor Masquerade villiage amazing . issue , barely worth mention . king bed , come 3 really fluffy pillow . husband use 2 pillow . pillow weird ... 1 pillow be not enough , 2 many . decide request 4th pillow , could 2 . request pretty late first night , say would put request , although 4th pillow show . big deal , like say , pretty late night request . bed first feel pretty outdated u sit . think sure would uncomfortable sleep , husband wake feel well rest ( hung ) morning . light bulbs bathroom do not work , still plenty light ( well , turn bathroom light , look kinda dark , second , get bright ... like warm ? ? do , bathroom nice bright ) . water pressure bathroom STRONG ! yes , true coffee maker room . fine we , since do not drink . lack coffee maker keep stay hotel , either plan get breakfast lobby , go 2 starbuck property , $ 3 grocery store buy Folgers single pack instant coffee . water get really hot really fast room , good ... instant hot water need ! arrive 3 pm almost line check . check line pretty long , go back room check phone . tip : u take taxi Rio airport , not take interstate ! cost we $ 30 get hotel use interstate , morning leave , driver take non - interstate road , $ 20 . shuttle harrahs property , do not start 10 ( sit 8:45 9:30 figure one LOL ) , take cab . $ 10 include tip go Rio either Paris , Caesers , Bellagio Ballys . ( 4 share intersection strip flamino , rio flamingo . mapquest . ) great time , go early March ! 
 Sep 2 2008 	 never 	 wife severely disappoint condition room Rio . coffee maker microwave . online ad state room least microwave one ad say coffee maker . problem dirty glass , wear carpet , dirt spot sofa tv color fade . price $ 169 per night , expect much well . never stay . hotel comparable $ 49 & quot ; strip & quot ; dive . 
 Aug 23 2008 	 Hotel Hell 	 horrible experience . staff unbelievably rude . ask money back buffet woman hand we money not even ask want go elsewhere ( sit we table stranger aske move waiter say walk away ) . view great .... like look roof parking lot . charge ten dollar day internet connection . understand make money pay $ 30 month internet . room O.K . worth money . House keeping keep room clean .... tip well every day . go wife seriouse girlfriend hope not shy secure regular pool crowd will not even able sit will go topless pool young pervert come hotel . oh , yah , will also pay $ 10 wife get breast gawk $ 20 get pool . wish could put word bad experience word never explain . 
 Aug 21 2008 	 Room need update 	 use stay Rio quite bit , first time back five year . really like large room , back Rio update . carpeting , bedding , upholstery furnishing worn room seem shabby rate charge . need upgrade replace mattress . if not mind well - wear , Rio offer large room addition bed ample space sectional couch , coffee table , 36 & quot ; tv , two - seat dinette table . bathroom set great shower / toilet / sink / counter one room , another full sink counter outside closet . light flatter will see . 's also mini - fridge in - room safe . video check - out fast easy . the pool area re - do . Rio add lot foliage sand beach area . poolside bar friendly bartender server . unfortunately , close good pool , one double waterfall , Sapphire Pool , adult & quot ; european - style & quot ; area ( be Vegas - talk topless ) . cover charge apply . the casino keep look good . look hip well - heel crowd , not . enjoy Penn & amp ; Teller 's show recommend it . I 
 Aug 19 2008 	 Rio Suites : big room great price ( long review try thorough ) 	 stay Rio Aug 9th - Aug 17th . overall , nice stay . pro : lot square foot price . room impanema tower 18th floor . View ok , A / c work Fantastic ! 105 deg F outside stay around 68 deg f room . Shower / bathroom adequate , two sink make easy multiple people get ready go . casino : table host pleasant eager help learn game ( casino 's tend ) . Saturday / Sunday seem heavy smoke , still less palm . do not see Carribbean Stud anymore , texas holdem table game . poker room : plenty $ 1- $ 3 limit table run minimal waiting . pr host friendly . restraunt : not take advantage restraunt . mainly eat & quot ; American Grill & quot ; burger $ 9.99 . drink bar club $ 12 . ( casino still free ) Rub BarBQ delicious . one meat platter enough ( eat briscuit one night pull pork another - good . Convention Center : huge ! long walk get . hotel enormous use convention center . shuttle : hotel strip free shuttle run Harrah 's casino 's ( Caesars , Harrah 's ) run half hour head : 15 , : 45 return 1 am think . ( take cab back couple time - time less $ 10 + tip ) hotel within walk distance Gold Coast Casino ( much ) Palms ( good time ghost Bar Playboy Club ) .night life : Voodoo lounge 52nd floor . favor go drink summer , wait midnight 's little bit cool . great view good time . lot single guy seem like even single girl . must least 3 bachelorette party Fri / Sat / Sun night . go sundown , feel though stand hair dryer . pool : three pool , usually least two open . water cool not look clean , everybody be sunscreen leave film top . Lot 's close : go Mt . Charleston ( restraunt suck ! ) go West Rim Grand Canyon - & quot ; Sky Walk & quot ; magnificient view , however , aware two charge ( $ 30 bus ride $ 30 go walkway , oh way , can not bring camera ! ( cell phone smart guy ) give $ 10 military , nice - 14 mile dirt road way fun drive rental car ( glad not mine ) take professional picture happy charge ( come great ended buying ) . not forget $ 20 parking fee well ( pile six people car - buy $ 100 photo package give four framed photo other usb card inexpensive say do = $ 100/6 people ) .show : take Zoomanity ( adult cirque ) NYNY . good time much acrobatic Cirque show know . late show 10:30pm ( be choose ) blast ! 
 Aug 19 2008 	 come short 	 start . get back convention Rio find disappointing research review read prior leave convention . first , check room find use condom floor edge bed . , notice experience coupon give we check - in last month expire . day 2 go pool find close 6 pm , one 3 pool close cleaning . hotel full capacity least 1 pool close every day week stay one day 2 pool close , good thing 105 + everyday would want cool , right ? decide try breakfast day 3 Sao Paulo Cafe service terrible . never bring condiment request , ask another table do . coffee deliver do breakfast service extremely slow , could tell short staffed . try meals cafe find hold true every time . room little hot water hour 6 10 pm daily basis . non - smoking room reserve 3 travel mate give guest assign smoking room discount explanation give . book 4 month prior visit . decide go bowl one night Lucky Strike Lanes tell leave midnight feel like close 2 hour early sign state . speak manager say alley slow , 6 10 lane run , people bar people shoot pool ? never advise reward center staff present player card shop restaurant associate Rio Harrah ' property 's would earn additional credit . find accident last day notice small sign one shop explain reward member get 10 % discount merchandise . decide purchase room movie one night & quot ; forget Sarah Marshall & quot ; picture quality horrid . occasion never track gaming table pit boss busy not get around lose shirt .... last morning room service come neighbor ' door begin pound 5 minute announce guest avail @ 5 , effectively wake everyone surround room . finally , request late check time booking check tell would problem , advise day leave . , day leave , advise front desk request tell would additional $ 240 stay 3 pm otherwise Noon . great customer service part since first time tell pay day stay mere 3 hour long . know time booking would book early flight home we . that say , would pick another hotel stay Rio . not crack plus , quite way strip everything . 
 Aug 18 2008 	 would stay 	 book room back April ( five month ahead ) arrive could even provide room request . wife spend six night double queen room . king home bring kid . much sleep wife week . get room safe work . call desk blow . till third time send repair man able fix . let go Las Vegas carry around thousand dollar pocket week ! ! ! ! ! ! charge extra use gym internet service provide $ 10 day . go check three phone call room charge . cell phone never use . get home realize repair man safe use phone three time call someone . think safe abviously . speak spainish clue . worker friendly , room clean . go Vegas every year never stay . 
 Aug 13 2008 	 Rio 	 REALLY fun time rio , LasVegas . my Grandchildren enjoy pool area ( 3 pool everyone ) especially beach pool could play sand . my granddaughter ( 8 ) also enjoy catch bead masquarade Sky show . the room call suite . actually 1 vey large room 2 queen size bed sleep sofa . refrigerator also include . Clean comfortableThe child much enjoy day ar Circus Circus day ride band $ 20 midway game $ 1 . many prize . yes find enjoyment elementary school age child LasVegas 
 Aug 8 2008 	 Rio Place Kids 	 check Rio forgot go Prefered Check Room check gold room . husband suggest one remodle room give room 13th floor Inpanema Tower . check suckere new dining plan ! basically get $ 200 worth food $ 180 . eat Harrah 's property send tab room . check ou suppose apply credit account . however host Prefered room check know nothing . platinum high player already get discount . food plan still need tweeke . our room Inpanema tower beautiful view Palms , Gold Coast distant mountain view . glad stay Inpanema tower overhear another man stay Masquerade tower say wonderful view new Saphire Pool , topless . taste maybe other . the Rio cater kid age . arcade bowling alley allow anyone age 21 9 p.m. we notice Rio long little show daily perform Thursday - Sundays start approx . 9 p.m . show get loud routine quite RISQUE ! ! something child see . act also catch glimpse Chipendales come fee grab picture grab alot whole lot : ) eat new Rub BBQ ok . staff friendly heavly tattooed food ok . service great . its nice strip tend little quiter table really expensive . see blackjack table less $ 25 10 a.m. we problem get drink , ask double enjoy three ounce liquid little more . the table staff friendly dealer pit boss socialable well . take advantage & quot ; free & quot ; shuttle back strip Harrah 's property . driver nice fun not forget tip . there couple pool outside big pool FREEZING ! ! even 105 degree heat must pump cold water pool . , hook Rio service quietness rather people straggle strip . plan vacation include child age 21 consider another hotel . 
 Aug 4 2008 	 Smoky uncomfortable 	 arrive waitel line hour tell non - smoking room entire hotel . offerre pay upgrade tell none available . room receive far bad hotel room ever . smell awful , stain floor furniture , bed one uncomfortable thing ever feel . could feel spring touch mattress . we complain move we another smoking room comfortable still smell . next day move non smoking room quite comfortable nice . the rest stay Rio fine . would reccommend mainly location , high price black jack table , smell smoke everywhere . plan stay Rio . 
 Jul 28 2008 	 another AWESOME time Rio ! 	 say ? Rio ! moment greet car valet parking till time smile face ( Mr. Church ) see we leave great time whole family . I could go Rio always choose stay , let put quick ' Pros Cons ' list , ' potential ' guest , judge yourself . pro : easy / fast / friendly Valet , check in / Check OutClean , spacious , room w / fridge & amp ; safegreat buffet/ restaurant / starbuck VooDoo Lounge , always , place party wifethe Casino easy navigate one end othervery intimate feel entire hotel , yet spacious enough crowdedgreat / Clean Pool areagreat / Clean Spa workout facilitiesvery attractive attentive staffcon : casino smell like stale smoke lot . time , mind , sometimes … blah ! table ' pay well . ' strictly gambler ' steer away RioDon ' touch anything mini bar might charge . son open fridge curiosity look thing inside everything touch practically end bill ( charge remove , course , still … be warn ! ) ' highly recommend Rio couple family stay Las Vegas . go trip see Phantom ( venetian ) disappointed show world fantastic , hike venetian shop , Wynn shop , Bellagio shop Caesar ' Mall ( recommend italian Pizza Spago ) , nice get back rest comfort Rio . 
 Jul 24 2008 	 room stain old 	 room Masquerade Tower . clearly one room update . paint ceiling bathroom peel wallpaper . several stain carpet couch . light bulbs around mirror not match one burn . bathmat stick bathtub tear dirty . mattress soft spring stick several area . decor date would expect hotel bill & quot ; exotic , uninhibited fun . & quot ; bring problem attention desk staff tell Ipanema Tower update room , none available we move . 
 Jul 23 2008 	 pretty good ! ! 	 stay Rio Suites Hotel week last May . overall great experience , room huge , clean cozy . nice shower , tv , also small fridge safe box . 's extremely luxury hotel , well average . World Carnival Buffet well worth money actually , one good cheap ( try Bellagio Planet Hollywood 's also , Rio 's good opinion ) .Bottomline : recommend ! con : Compulsory $ 200 deposit check - in , return not spend ( minibar , gambling , etc ) . little away Strip , take free shuttle ( never wait 15 min ) . 
 Jul 21 2008 	 Nice hotel do not expect get compe anything ! ! ! 	 hotel nice staff good expect play table game compe anything . base comp win play . plan full price everything . 
 Jul 20 2008 	 Misleading promo Rio 	 room spacious luxury touch robe , generic toiletry bare bone , & amp ; poor quality sound proof ( able hear 's room . ) gym fee $ 22 time want use ! plenty choose vegas , would not choose Rio ! 
 Jul 17 2008 	 Nothing Special 	 stay Rio July 7 - 11 group friend . friend accrue comp point get room free entire time . think pretty sweet deal . think overall place begin show wear tear . especially disappoint pool area . believe 's total four pool , keep one closed time , one open filthy side . course , sapphire pool good shape , pay $ 30 get bunch tired stripper sun bathe topless . top cover , expect wallet rape strip club . drink obnoxiously high . give drink coupon outside , not honor get . naive friend find hard way , run tab ( big mistake ) $ 200 couple bucket beer cocktail . the room not spectacular clean , bed comfortable . consider not Vegas stay hotel room , whole time , fine . not eat much hotel . late night sandwich Rub mediocre ; lunch Great American Grill pretty good . TIP : since hotel give fridge separate mini - bar fridge , take advantage go convenience store buy water / beer whatever . know ' m Vegas pretty much lose money , can not good conscience pay $ 3 - $ 4 bottle water get elsewhere 1/2 price . price , seem like stay airport terminal . I miss mobster Vegas . 
 Jul 14 2008 	 enjoyable clean 	 stay Rio 4 night . enjoy ' RUB ' bbq restruant much eat handfull time stay . theit international buffet fantastic . service kind fast ! crave desert right ! room 15th floor Ipanema tower . great pool night vegas skyline . room clean tidy . always bed bug check ( look blood spot mattresses- grim know ) clean whistle relief , sure understand . stay wednesday saturday , quiet friday night , guest abovve drop thing . real noisy hall anything . every smoke would seep non - smoking room , smell bacon morning , be bad . I like pool day , bum shut fountain wind come , understand ' well , want play little ; ) travel alone feel safe female . 
 Jul 8 2008 	 ok experience 	 stay Rio July 1st thru 3rd . first time stay strip . check nightmare . line room available . tell come back hour . , room . five room party ask keep close possible . " possible " next door . three hour three trip check get room . two Masquerade tower , floor , three Ipanema Tower , two floor , one much . whatever , deal . room nice large dressing area clean . complaint room , anyone . amenity great . ' gamble Rio ' comment , well table seem every time son sit front slot machine , . figure . shuttle strip nice get back nice . half group gave take limo Harrahs , half wait 45 minute shuttle could get . eat McFadden ' twice love . eat seafood buffet , enough . pool look great ' time go … bummer . overall , Rio fine prefer strip probably ' stay . ' glad try though . 
 Jul 1 2008 	 stay 	 intend stay Rio . stay year ago remember positive experience . time book room host hotel World Series Poker . first problem : check go assign room find service . take time nice housekeeper service room . ( tell somehow computer clean . ) second problem : Rio room coffee maker . hotel ( many ) stay refrigerator coffee maker . tell furniture design accommodate coffee maker . inquire desk one could place room get negative answer . third problem : room service , slow . took one hour 15 minute deliver expensive coffee . third problem : really casino problem crap table $ 15 $ 25 table -- little rich . single double deck blackjack table unusual rule handicap player usual , i.e. , one two deck table pay $ 5 bet $ 25 get blackjack allow & quot ; double down & quot ; split hand . $ 25 table & quot ; normal & quot ; Vegas rule open many tell obviously try push player onto other . everyone say Vegas hurt gas price -- Rio hurt numerous reason . intend play WSOP stay Rio . 
 Jun 25 2008 	 will not stay 	 Stayed Rio June 17 - 19 . second time ' ve stay . room large clean Ipanema Tower . get night free Harrah 's mailer would still recomend stay unless gambling . definitely not pay lot room choose place not gamble Rio ! never see anyone win slot table minimum often 15 $ more . the Rio Flamingo line Harrahs Gold card member check , look expedite checking . try eat San Paulo restaurant one night first time life walk order food table next we complain loudly long wait food , find hair salad wrong order . wait 10 minute waitress come we seem like go least hour chance food go iffy ( total speculation part , ' ve plenty casino restaurant life will bet make right decision walk ) hand , eat lunch American Grill great service food ( meal compe check desk - manager snatch room we give somebody else ) Rio shuttle Harrah 's property , pay money room lot well choice Rio . also stay Flamingo Go room . way well location gamble well - small room though . 
 Jun 23 2008 	 practical 	 friend 's comp , able stay hotel . hotel suit spacious . amenity include mini fridge basic . pay internet 11.99 day . really suck . pool ok . beach pool side small . pool small . casino smoky . every time pass , stunk cigarette smoke hair clothe . housekeeper service quite fast ask additional towel . buffet big usual menu . nothing special serve Starbucks ( pay separately ) . be far strip . usual cab fare 20 dollar go fashion mall . show corny guess find thing amuse . hotel ok . stay better one . 
