move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Jun 2 2007 	 3.5 star 	 stay one night town conference Columbia . staff superb , friendly helpful early check extra room ammenitie . seventh floor room small , face brick wall window ; clean , comfortable well appoint . common area bit worn probably due update . overall , good stay would visit room rate $ 259 . 
 May 10 2007 	 definitely stay ! 	 great hotel , bit expensive usually go , well worth . definitely stay again . when arrive , front desk staff member actually take time move well room ( big bed , nice view ) length stay . 's comfort hotel staff actually go way make feel welcome ! find room clean comfortable , nice come home long day explore NYC . wall mount flat screen tv nice touch ! one thing : next trip think will arrange car service take airport end stay . car service arrange hotel almost half hour late ( make difference flight catch ) $ 60 expensive other ' ve use . 
 Apr 27 2007 	 avoid jackhammer Avenue 	 return three day stay Avenue Hotel recommend relative Manhattan native place business client situate Upper West Side relatively & quot ; quiet & quot ; neighbourhood . request quiet room health issue . place 7th floor face courtyard assure quiet . room fine , clean pleasant decor , king bed sumptuous comfortable , large flat screen tv fridge mini bar . arrive late afternoon Sunday . Monday morning 7.00am jackhammere begin continue without break throughout day 5.10pm . go rest afternoon find impossible , ask room change . show another room 5th room bed small decide wait see . 4.30pm decide move . place 10th Floor end build exactly 7.00am next morning , noise jackhammering begin although marginally less loud continued day . mention checkout . apology noise allowance room rate might nice touch . generally find management , concierge desk staff unresponsive almost intolerant . apart bus boy friendly helpful , general mood ambience place lifeless grey . one check we see new room improvement . want buy food early flight LA next day ask refrigeration available store food overnight . offer fridge rent night $ 10 . complete feedback card response . overall , would stay neither recommend we Manhattan base relative . 
 Apr 21 2007 	 Best Kept Secret New York 	 recommend hotel , affordable price range . great experience ! clean well - appoint room , bright bathroom space everything . highly recommend hotel . - Marilyn . 
 Apr 21 2007 	 Decent hotel 	 good : nice , spacious ny standard cozy room , nice modern decoration , good bed , huge flat tv , convenient location , two short block metro station , reasonable price , bad : though upper west side Broadway 77th corner residential elegant character neighbourhood . safe box room . breakfast . though decoration hotel nice hotel sometimes wear atmosphere . service ok , treat one hundred guest hotel ( serve quest fast possible = without spend much time ) , feel low pay employee ( necessarily inefficient impolite ) work hotel . conclusion : Room 4 , hotel 3 service 2 . perfect hotel difficutl find well one price range . 
 Apr 19 2007 	 Great Hotel . Great Location 	 great hotel Upper West Side . good location ( near cute shop , good gourmet / speciality food market , good restuarant , overly crowded area - like Midtown , close action . ) nice room great shower really comfortable bed . room small , everything NYC . really nice rooftop deck chair - bring drink , cigar , etc relax friend take nice view Manhattan . friendly accomodate service . parking garage next door around $ 25- $ 30 24 hour . everytime go ny , stay . great , reliable place . 
 Apr 16 2007 	 Outstanding ! 	 date : April 10 - 12th , 2007reviewer : trip advisor member , va beach , valoved hotel ! room compact yet comfortable . the bathroom everything need sleekand modern feel . front staff helpful theconcierge give we wonderful recommendation . would definitely stay . subway two block away able toget anywhere city . negative 11 year old turn service belgium chocolate advertise website . 
 Apr 10 2007 	 much hospitality 	 stay hotel fraught problem . hotel cancel reservation , not room ready , give we conflict information parking . Noone greet we door . one bath towel two guest ; request second never receive response . room small ; many not closet . staff routinely say & quot ; & quot ; saying & quot ; yes & quot ; might easy . Hospitality seem staff train provide . 
 Apr 7 2007 	 great location . 	 room comfortable spacious enough two people . bed really comfortable load pillow . front desk staff helpful friendly . one drawback room poor light entryway / closet area ... impossible see inside closet keep suitcase main area room . 
 Mar 15 2007 	 Fantastic 	 stay dozen hotel NYC area Avenue far good . arrive 4:00 pm Queen / Queen suite ready . view not plan staying room . bed AMAZING ! ! ! want go home bed ! restaurant bar hotel , across street wonderful little diner ( Broadway diner ) offer food one person could think eat . Big Nick 's around corner also good option late night slice . hotel UWS neighborhood feel . subway two block street 79th . take # 1 way downtown never problem get anywhere time . hotel staff wonderful accomodating ! advice .... interested staying & quot ; Las Vegas & quot ; area NYC stay Times Square . want get TRU NYC feel ... opt AVENUE ! ! 
 Mar 12 2007 	 want W never 	 great location Upper West . nice lobby . room small average , even NY ( though bit big , maybe room small ) . room clean , though sometimes oddly shape . service uneven . restaurant , bar . cloyingly sweet scent many ( though ) room . front desk know , ask room smell . want Upper West , fine , provide time . want great service , really service , well stay elsewhere . 
 Mar 11 2007 	 2nd time - still happy 	 stay husband two teenage boy . upgrade double / double & quot ; suite & quot ; - really large room sofa desk - still , upgrade nice . very nice room decoration . large flat screen tv near bed small one black marble tile bathroom . 15 year old announce move watch show ! great location . great stay . 
 Mar 4 2007 	 good first timer 	 return 5 night stay New York . this first time NYC think make great choice hotel first visit . we book Thomson City Breaks uk.our room 12th floor face uptown . way view view balcony 16th floor . room good size Plasma TV , two good size bed coffee maker . bathroom good size clean . Ave locate within good walking distance Central Park , Subway access also well locate good walk downtown want walk big breakfast ! hotel keep clean staff polite helpful . neighbourhood also great feel like part it . I would highly recomend hotel great location , good room polite staff . never NY good starter hotel get swing thing . 
 Feb 28 2007 	 Great Place Stay 	 travel New York husband & amp ; son February 23 - 25th . room 6th floor view front hotel . room two double bed . decor modern & amp ; nice . thing first walk room one throw pillow odd stain put outside clean women cart come back lunch new clean one replace bed . negative thing would say room rather , however 11 year old plasma tv cartoon network , etc make . stay hotel Manhattan depend stay cable channel different . bathroom robe nice water pressure great ! would definetly staty , would get large room bring son otherwise room size would fine husband & amp ; . location great , central park also make Mickey Mantle 's restuarant close . Lincoln center shopping center close , subway , restuarant , store . also staff great son slight cough wait lobby husband park car really want give medicine ask staff could get spoon kitchen medicine advise restuarant kitchen room service Manhattan diner across street ( food good ) , know bellhop took run across street get plastic spoon could give son medicine think hey that s go extra mile ! ! ! ! Anna -- Buffalo , New York 
 Feb 20 2007 	 third time 	 go New York regularly business always book Ave . 's on77th Broadway Amersterdam , great neighborhood eat shopping . 's two block Filene 's Basement , dozen restaurant bar within short walking distance , close museum near subway stop . bed linens marble bathroom cool . staff incredible . book car airport not need flag cab midtown rush hour . need lobby size Grand Central Station ? 
 Feb 20 2007 	 decent hotel 	 get spend 3 night Ave Hotel . overall , stay pleasant like room ( standard king ) . room decent size - plenty big one person probably would fine two . room quiet hear street noise ( 8th floor ) .The bathroom also nice -- tub clean well - light shower good water pressure . bath towel huge bathrobe also comfy . get turndown service every night think housekeeping staff good job . say , room perfect -- entry light room break whole time pitch dark first get room feel way around room find light switch . ( subsequent night , turndown service leave light issue . ) less happy front desk staff / concierge . seem like go way helpful friendly . example , catch 7 am flight LaGuardia Sunday morning ask help Saturday evening get airport next morning . say go bell person concierge duty early Sunday morning could not help get cab . offer call limo service go charge $ 50 make sound like option ( say thank ) . unhelpful staff , think pretty decent hotel . 's short 2 block walk subway location convenient . 
 Feb 6 2007 	 Great Neighborhood Hotel ! 	 nice hotel Upper West Side . ' ve always stay Times Square worth stay , decide try something different . neighborhood residential street hotel right Broadway Amsterdam Columbus Avenues block two away plenty restaurant bar shopping . subway 2 block take right heart midtown . the staff superfriendly , always greet smile & quot ; hello & quot ; . arrange car airport transportation , suggest dining option overall make stay enjoyable . promptly bring we ice bucket call one . the room good size ny standard . 2 double bed plush comfortable . flat screen tv wireless internet nice touch . quiet , , noise either adjacent room outside . one coolest area outside porch overlook city 16th floor . go smoke cocktail overlook West Side . if be look little quieter place still convenient New York City , definitely check hotel . 
 Jan 23 2007 	 Favorite 	 stay hotel less 10 separate occasion , prefer season due pricing . very reasonable season rate double busy . my favorite room among standard corner room , since much large lot window Broadway north , Northwest view . on one occasion disappoint room give , since small w/o desk . I lucky another stay bump deluxe suite terrace upper floor , standard room rate reserve . snowstorm view spectacular , ceiling floor window great . it would ' ve even nicer travel alone trip : - ) room always clean , big fluffy pillow crisp fresh cotton cover comforter . I family neighborhood would often use mountain bike stay day never hassle bring bike upstairs , friend family visit , matter hour day night , never hassle question , like staff mind business , could good could bad , depend security need suppose . I prefer webtv available keyboard room , since change wifi must laptop you.besides coffee room , morning coffee free newspaper available lobby , evening piano player sit play hour . room service actually Manhattan Diner directly across street diner definitely favorite diner city open 24 hour , able special order birthday cake baker site one day notice , $ 40 fabulous lemon coconut cake , Steaks lamb chop something may consider diner , awesome room service OTA great meal overprice room service usually be . there place call BIG Nicks across street Broadway another 24 hour joint 2 side one pizza joint burger joint , novelty spot enormous menu good local burger find , Amsterdam Ave host stre eatery 's bar many site close , museum planaterium , beacon theatre , lincoln center , also Marina 79 th stand riverside summer cafe bar underneath highway overlook hudson river amidst marina riverside park must see non -wint month . one area 's unique worthwhile to - do 's , 's architecture turn century ( 21st century ) old aura europe , block Zabars H & amp ; H bagel , H & amp ; h eat store daytime bagel hot probably good world , neighborhood also rare use bookstore broadway , 81 - 82 st . , neat store book shelf outside $ 1 , pick pc game less $ 5 occasion . great neighborhood Ave . May 5 star experience , 's modern & amp ; clean actual decor upscale money make reservation corner deluxe rooftop suite terrace glass window spectacular , 's bit demand 's fantastic room 500 - 600 night last check . be one thing plan die spend weekend room summer month august birthday ... also across street Belvedere Hotel 's little lobby NYC gift shop 3 computer internet access inside shop 
 Jan 18 2007 	 Great Location comfy room 	 perfect location great hotel . room small stylish hotel quiet ( elevator ! ) zabar block great morning snack , diner across way good , great neighborhood bar 75th Columbus call Dive 75 , park block away . definitely would stay . 
 Jan 15 2007 	 good NYC hotel location 	 picky hotel . every hotel Central Park Upper East West Bryant Park NYC . , OTA good deal location , accomodation overall great . anyone be live NYC visit know large city , even good hotel fallout little problem ... 's humid , large city , old building constant remodeling . price quality location OTA one good . want stay ny residential neighborhood shop restaurant , minute away Central Park - place ! staff always nice family ( ' ve stay 5 time ) , guess be nice people , rude either . bed clean , sheet nice , flat screen tv , soundproof room ... great breakfast diner across street awesome restaurant Amsterdam dinner . love OTA ! ! ! 
 Jan 14 2007 	 always Ave ! 	 second stay Ave two year . go back mostly neighbourhood hotel terrific . although room small ( get upgrade time , normal sized ! ) , far well average NYC hotel . bed great , 's easy sleep night staff friendly . the highlight trip recover camera thought lose - safely hold fabulous housekeeping staff ! would recommend Ave anyone visit NYC , even be first time . 's easy get around , room clean add Manhattan experience ! 
 Jan 3 2007 	 think great 	 husband know NY well . stay Pierre $ 500 night , trust , room size quality similar Avenue ! OTA 's room actually large . the bed comfortable , room quiet . yes , heating system loud , able turn remain comfortable night . room clean . two crib request set ready go . view terrible , suspect ask room view book stay , would probably get it . the terrace 16th floor lovely definitly worth visit . you can not beat neighborhood . UWS safe . , also find parking street ( 9 ) save we close $ 40 - 76th Broadway - less five minute walk . this hotel deal - 's steal . want staff fall assist , place . want good quality room good price great location , good place . 
 Dec 28 2006 	 lovely stay 	 husband stay wedding night Dec. 9 , 2006 . room great quiet . bathroom huge awesome marble slate feature . problem call front desk day leave , dec 10 , luggage cart , one show . do not know room sound - proof could hear anyone hallway room next door . peaceful stay bed linen great . would stay . 
 Dec 18 2006 	 Pleasant Stay 	 stay hotel ( first time ) weekend . far hotel rate go City Christmas - can not get anything ' decent ' less $ 300 base review read price book hotel 3 night . pleasantly surprise - know every room must different , good lighting bathroom ( window ) room enough chair ( 2 double bed ) . hotel good location 2 block subway stop get mostly anywhere City easily . location hotel walk outside door huge crowd common hotel midtown . would definitely stay hope price come ' off season ' . 
 Dec 5 2006 	 never claim Aman resort 	 Ave nice little hotel overall residential section Manhattan . claim provide ultimate luxury like many hotel , overuse term . reasonably price hotel middle large city - expectation must appropriately adjust . standard room small , excellent sound proof extremely comfortable bed . look like website photo . service friendly , effusive . unfortunately , today world , excellent customer service luxury . surround block upper west side tourist area , minimal nightllife restaurant beyond coffee shop . little research reviewer would likely cull many negative opinion . need area , would return OTA . 
 Nov 16 2006 	 Decent luxury 	 stay week hotel choose mainly friend live area . neighbourhood lovely feel like local . however first time NY might want stay downtown close touristic attraction . say take cab ( 20min depend traffic ) sub ( line 1 79th go direct canal / w.broadway ) almost daily SoHo . really easy . cleanliness room okay . sheet towel change daily . superior room 7th floor face Broadway . room tiny bathroom even tinier ; sink , toilet showercabin . bed bed comfortable flatscreen tv huge . coffee machine room , not use . bathrobe nothing special ( mention website ) . safe room handy . however use small case lock store reception store passport small item . minibar small room two vend machine icebox 12th floor . not noisy though sleep earplug . firestation 79th might hear . staff nothing write home . actually ask move big room staying week . eventually many attempt tell we manager inform would contact we . needless say never hear back . run easy , Riverside Park Central Park block away . gym amsterdam/79th allow non - member well . would go back ? maybe want stay area . lot shop nice restaurant pay $ 300 night decent . luxury comfort would choose something else . busy schedule group friend go time . 
 Oct 29 2006 	 decent upper west - side option 	 stay week October . excellent location want stay part town . plus & quot ; Seinfeld & quot ; neighborhood feel fact away chaos midtown . minus mostly mediocre restaurant ( although plenty ) , little nightlife . hotel comfortable modern , staff friendly . staff , however , extremely young seem student try make extra money rather folk seriously look get ahead hotel industry . two ( day 19 ) doorman spend time try pick even young look girl front desk . think comical , look polished staff , prepared disappointed . also note bar lobby , type place would lend meet traveler . I stay Lucerne Excelsior past . Ave . comfortable two , lack charm . excelsior good room overall , disagreeable staff people . lucerne great staff lot charm ( one good restaurant area ) , number room odd configuration , i.e . door suite might open bedroom ) . like restaurant hotel area , Avenue good ... great . 
 Oct 26 2006 	 Buyer Beware ! luxury experience . 	 October 21 , 2006we book hotel month advance base web page advertisement . rate 3 half star hotel . photo penthouse room ammenitie offerered website ( plasma screeen even bathroom , Nooooo ! ) reserve 500 plus dollar night , seem special . expensive husband 's birthday . when check room turn need thorough cleaning , ie , light switch , closet door , dresser drawer bathroom door smudge dirty . lampshade crush , mildew shower stall ceiling , stain curtain , chip furniture . wre Frette bathrobe , european pillow , belgian chocolate . clean thing offer another room see small general condition room . request turn service twice . came leave generic chocolate , advertise belgian chocolate , weather card leave bed intact . try speak General Manager Sunday , neither concierge matter . leave polite letter ask attention detail four day stay start . letter go unheeded . stay turn generic experience . hotel W wannabe without substance . location good far luxury hotel experience : Buyer Beware ! 
 Oct 17 2006 	 great location spacious clean modern room 	 NYC eight time , try different hotel different location , think well far . be locate two block behind Natural History Museum Upper West Side , 77th Broadway . residental area 's full great restaurant good shopping -- even Filene 's Basement . subway easy couple block away . place stay want get away tourist midtown relax life like local . pay US $ 375 deluxe room 11th floor ( case everywhere NYC , high go , expensive , quieter room ) thoroughly enjoy . bedroom large NYC , bathroom , well appoint . exceptionally comfortable King size bed comforter flat screen tv wall . plus usual robe slipper . breakfast , not bother we . get turndown service complimentary candy ' gift ' leave daily room welcome card management . felt really value . it be worth note , case , book room ' cheap ' travel website , get low , small standard room . go hotel 's reservation system select type room , floor want . also guarantee reservation , arrive late flight like important . past , make online booking , arrive NYC hotel find room give away switch across town another hotel . overall , great experience . try Ruby Foos dinner : fabulous pan - asian dining experience half block hotel . 
 Oct 8 2006 	 great hotel great area 	 Read great review hotel lead us book . 1st trip NYC although hotel great friendly neighbourhood feel slightly way major tourist attraction walk 20 block get anywhere near need . room great , clean , nicely decorate robe coffee maker Godiva coffee nice touch . bed one comfortable ever sleep always bonus end day pound street Manhattan ! Maid service great , bell - boy really friendly always greet we smile offer help . reception staff however quite snooty , not helpful check - in like make customer wait around whilst chat . good hotel want comfy bed friendly area . 
 Sep 22 2006 	 great little hotel UWS 	 stay Sept 2006 business event Time Warner Center . tuck away Upper West Side , pretty impressed experienced . while room small , every amenity could need - plasma tv , comfy bed , desk chair , iron board AC . room clean ready upon arrival . only little concern ... 1 . desk clerk little brusque ( ask room # ) .2 . AC get pretty bone - chilling ! 3 . stainless steel sink bathroom annoying . other , I d highly recommend hotel ! ! ! 
 Sep 22 2006 	 nice 	 stay hotel back June , ( take write review ) . impressed location ( quiet great diner across street ) . far Zabars Central Park . room clean , bathroom nice , bed comfortable sleep . problem service , hotel staff pleasant , see might issue . pay 268 night , think bit much , location lack roach , guess worth . stay Superior room 12th floor , great view . sure ask room one high level , get rid street noise . 
 Sep 12 2006 	 great hotel brilliant location 	 spending month choose , hotel hope . room fresh clean , bed wonderfully comfortable . one big plus public balcony 16th floor . staff helpful pleasant . excellent location 3 block Central Park good area , mean could combine sightseeing relaxation . ' m sure believe negative review . 
 Sep 12 2006 	 get standard NY hotel 	 arrival quiet uptown district . lobby give great impression , pianist intimitantly play baby grand . staff seem nice . go 10th floor room , view elevator little diconcerte filfthy carpet large bleach ( ? ) stain it- pleased say last day appear company replace . room fine , new decor , clean , ' well use ' . small ( not expect large room NY ) view room residential block- view place crash . there manhattan diner across road corner broadway , reasonable super large breakfast ( impossible complete ) . close American Museum Natural history Central Park , take 25 minute walk doen broadway Times Square . good sleeper would worth consider hotel downtown , distance mean quiet night cheap price restaurant . I think get stung bit private car hotel airport cost $ 70 ( cost we $ 58 yellow cab ) .I probably would stay , hotel fine , think preferential location Greenwich , Chelsea . 
 Sep 3 2006 	 Great Location Decent Rooms Abominable Service 	 arrive hotel hour ago long Sunday work ( bah ) . call ahead make sure room would available give review read . look like poor review target . frustration 1 : arrive check , hotel staff overcharge credit card room ( charge 5 night instead 2 ) , likely bring overage fee kicking card highest possible APR . ask speak manager , inform standard procedure . irritate thing explicitly ask make sure room charge 2 night , use corporate card therefore use personal card ( due forget amex SF ) wait amex send way . frustration 2 : add frustration , finish express displeasure , inform room available . 6pm Sunday night . ask , tell hotel running water Saturday therefore difficult clean room . ' m glad arrive Saturday . frustration 3 : tell wait room available , give bag bellhop go grab cofee . come back , bellhop leave bag laptop lie middle entryway hotel , anyone could stolen . , quite unhappy hotel , spite room nicer expect . plasma screen , high quality , nice , room good view city . for comparison , come Library hotel . tired Midtown look change . comparison , Library Hotel small room , much nice atmosphere overall . addition staff library incredibly friendly , always attentive , truly joy service . miss already regret switch hotel mightily . PS : carpet really filthy . 
 Aug 27 2006 	 really good hotel 	 love staying hotel . staff hotel really nice . give we map recommendation restaurant . hotel room small clean . room get plasma screen t.v . new york stay inside room lot . go around town sight seeing time . hotel pool . would definitely stay Avenue hotel agin . 
 Aug 21 2006 	 average good 	 choose hotel room suppose little large . 2 - bed room & amp ; 2 we , business acquaintance , could hardly find place luggage . not bad , housekeeping . week , 3rd day almost check . tub not clean floor vacuum . Numerous & quot ; thing & quot ; stick sock ! repeatedly ask housekeeping , never come . light bulb . always short towel . restaurant premise , refer we across street . ok breakfast , stay away fish dessert ( couple day old ) . doorman great , helpful , polite . front desk people poor . make request housekeeping , act like not understand want - English not problem . visa bill come , charge twice - later correct . wonderful neighborhood , love . Beard Papa be across street good cream puff ever H & amp ; H Bagel 's street well . on next trip NYC fall , look hotel neighborhood , would stay pinch . oh yes , elevator - 4 - extremely slow & amp ; staff ride , get several floor cart . 
 Aug 6 2006 	 Good Hotel Money 	 stay hotel past week NYC business . usually stay midtown Westin Hudson . ' m extremely picky hotel hesitant , great review would read , think would give try . could not beat cost . location hotel great . love neighborhood . find thing eat relatively simple . din across street good . great market across street . wonderful fruit healthy snack go . subway super close put right midtown . cab little difficult catch front hotel , bellman put lot effort hunt one down . the staff extremely friendly responsive . not problem , whatsoever . the room pretty good . bed nice . robe nice , . good Starwood property . furniture setup weird . desk chair . request one , bring one . red velvet pillow bed weird spot get switch . also stain carpet . , thing good . definitely area need work , overall , satisfied . I stay . neighborhood improvement chaos midtown . 
 Aug 4 2006 	 Ave Hotel Highly Recommend 	 stay Ave 7/31 thru 8/3 . pay less $ 200 per night superior room . room worth price . comfy bed linen . NYC room small , Ave provide good storage space never felt cramp . art deco bathroom good shower . GREAT AIR CONDITIONING ! heatwave never problem . staff friendly , even work change carpeting room . location quiet . limited traffic siren noise day . block Central Park ; ton restaurant bar Broadway Central Park West . ' Cesca 's outstanding 75th Amsterdam . Evelyn 's nice cocktail ... let give couch ! ollie great chinese dumpling . b subway line 81st Central Park West . 1,2,3 72nd broadway . really nice hotel many aspect highly recommend . travel lot would easily come back . 
 Aug 4 2006 	 ok price good location 	 fairly good size , comfortable room . get view face ventilation shaft , pleasant . carpet dirty , fine . corporate rate make competitively price . 
 Jul 26 2006 	 last time will stay ! 	 stay Hotel last five year . normally use hotel twice year business trip always impress everything one could want boutique hotel experience . this last experience keep we ever return suggest friend business associate . moment arrive till time check , encompass incompetent staff could make decission management duty . because stay often begin know room always request something exposure . always get request confirm time booking would get request . never question service repeat business referral . recieve request put room face alleyway matchbox size . object selection tell pay $ 100.00 get want upgrade . 11:30 night retire awful , dirty room discuss morning . this hotel tired could use face lift . light bathroom eventually fix floor seem never get vacuum . third day , housekeeping never come clean room call 5:30 . finally chance speak manager , little empathy experience comment experience problem work . would thought sure would try make happy offer something nothing come forth . beware traveler hotel . reduce one star . also prepare carry bag curb , bellman present . 
 Jul 24 2006 	 great bedroom excellent value 	 sure book hotel read review website , glad do . I spend week single complaint make ! really good value : fantastic location , compact room comfortable clean -most all- quiet , Manhattan great plus , helpful staff . it probably good hotel bed sleep ! recommend hotel other would definitely go back . 
 Jul 6 2006 	 Great Value ! 	 second guess whether post review fear may hard get reservation future hotel become popular . love hotel definitely stay hear . visit NYC every couple month stay number hotel . hotel far great location , modern touch luxury , great price . the neighborhood great 's touristy like midtown seem mostly consist local . hotel two block subway , locate near lot market , newstand , cafe , theater , etc . , 10 minute walk Central Park . interesting shop restaurant along Columbus Ave , two block away hotel . also , bicycle rental shop right across hotel event anyone want take ride Central Park . although fire dept . right near hotel , hear siren stay . stay weekend , highly suggest walk block 77th towards park visit big outdoor flea market hold Sundays . lot great buy interesting thing browse . travel kid , big public playground right near hotel . hotel nice clean . lobby good size 's crowd enter leave . doorman / bellhop help we bag come hotel leave , okay since sometimes hassle 's easy catch cab Amsterdam Street Broadway . check - in quick easy . desk staff efficient . nice touch lobby piano player concierge ( use , still nice touch ) . overall , would say hotel comparable W Hotel Lexington Avenue , much intimate well price . the room great . large W Hotel room , big plasma wall mount tv , nice bedding , nice roomy bathroom . room face brick wall , great , also end world . still able get wind window quiet . room bathroom also clean . water pressure good . first arrive , two light bulb , replace time return hotel , make room well lit . check - out normally 10 am , hotel allow we extra hour 11 am . give we plenty time get ready , pack - up vacate room , check - out . bellhop gladly store bag day out . by mistake , leave dress room check . help housekeeping manager housekeeper , able find send . grateful , also happy service excellent help issue . contrast previous reviewer , expect pay return shipment item since one accidentially leave hotel staff nice enough help even though probably busy thing . think $ 3 shipping charge nominal service staff . highly recommend hotel stay whenever travel NYC future . 
 Jun 26 2006 	 Good Upper West Side Option 	 Good Upper West Side option -- ' ve also stay Lucerne , Excelsior ( rude staff time ) Milburn . superior room 6th floor face Broadway -- lot light . large bed pillow v. comfortable . big plasma tv . bathroom actually room cosmetic ( rare NY ) . Shower , bath . great water pressure . Maid forget item day -- one day coffee , glass bathmat , another day shampoo , soap towel . Carpet could use steam cleaning . front desk staff exceptionally helpful . two block 79th St. subway station . b'way easy spot get cab . one quiet Manhattan hotel ' ve ever -- never hear another guest 's tv conversation . small terrace guest nice way start end evening . small beef : leave robe room housekeeping charge return . cost hotel , free $ 3 shipping would ' ve nice touch . 
 Jun 21 2006 	 impressed Upper West Side 	 get back night Ave Upper West Side . end hotel usually stay work ( Dumont ) book pleasant stay - upgrade room Panoramic Balcony deluxe room might something ! ! room pretty small - Manhatten that s pretty normal , nicely decorate , clean comfy bed . hear NOISE - huge deal - able sleep without ear plugs New York enjoyable experience . nice , small bathroom . fav feature balcony - warm sat get back dinner room service breakfast ( deliver fantastic Manhattan Diner across road ) morning . would stay - would like check non balcony room ! ! 
 Jun 20 2006 	 Fab hotel 	 Hi stay part honeymoon trip , bit reluctant due review prob ! ask booking could keep plasma room we honeymoon , say could not promise would try . sure enough arrive guy reception lovely ( piano player lobby nice touch : ) confirm big note room say & quot ; move people room ! ! & quot ; . 6th floor , room back hotel face wall first bit disappointed first wee actually feel quite cosy , peaceful quiet big city ! room decent size , coffee promise , extra chair bathroom also clean fab shower . terrace also nice chill interesting view side city usual NYC sky line . love Upper West Side , hotel 2.5 block subway 4 5 stop times square , central park block away . really nice neighbourhood , nice chill , feel totally safe . highly recommend Viand Manhattan diner breakfast dinner . hotel use Manhattan Diner across road room service takeaway place quite happily provide sauce plastic cutlery . staff place really nice helpful . first night guy Viand happily give we good tip see . find problem staff , even provide umbrella one really wet day ! overall great location , hassle hotel , would happily stay again . Jen x 
 Jun 4 2006 	 fairly nice 	 nice , clean hotel reasonable rate NYC . Manger knd attentive need . room adequate size large flat screen tv . vend machine work properly . would stay . 
 May 19 2006 	 great find ! ! ! 	 Needing hotel Columbia University graduation wife check hotel . aside fact could not locate Broadway side , great find . somewhat & quot ; sticker shocked & quot ; NYC price find well worth money . clean , comfortable room , comfortable bed , fine hotel staff ever encounter , delightful roof - top balcony relax morning coffee - newspaper session experience shall forever remember . 
 May 2 2006 	 mixed bag 	 check ( Sunday night ) tiny room dirt bathroom floor . ask floor clean extra chair . someone come mop floor , push piece debris around still floor leave ( problem need sweep vacuum ) . flushed toilet overflow . call ask different room . tell standard room available , could move room would pay $ $ . four hour later many phone call , still extra chair toilet still flush demand speak managment . horrible front desk agent check we inform we lo behold , standard room available . move next room sink not work . point 11 pm , angry . upgrade we free . large room much comfortable , standard room pretty tight two people . ( live manhattan many year write NY guidebook , familiar hotel room size , yes , know room Manhattan tend small , still think comparatively small . find hall clientele & quot ; sketchy & quot ; reviewer ) . plus : great locationquiet roomscomfortable bedsnegative : Customer Service ! clean ( stain carpet , dirty elevator , bathroom floor ) .lots kink work outcould not get wireless work . because plus give hotel two star instead one . would stay saw year positive review management , hotel hit miss worth risk ruin evening . 
 Apr 26 2006 	 Fabulous hotel 	 really enjoy stay hotel ! ! location excellent , near subway ( time square ten minute ) far enough away able relax long day . also near Central Park , ten minute stroll . neighbourhood situate nice , really feel like lve NY local ! great place sit people watch would definately recommend Manhattan Diner across street . food service excellent , portion huge ! ! try chocolate cheese cake ! room service hotel also come fab . staff hotel , whole helpful , friendly accomodating . find couple rather rude disintereste know avoid ! check smooth left luggage service available check . pianist play lobby day evening nice touch . speakng lobby , lovely big comfy couch sit also pay phone internet access reasonably price always computer free . safety diposit box also avaialble reception charge . now room . our lovely , clean , bed extremely comfy . room quiet , hardly hear street noise noise ever neighbouring room . good sized walk cupboard store clothe bathroom fair size , nice modern decor throughout . flat screen tv bath robe although cd player turn chocolate really not bother we . also coffee maker provide . real issue housekeeping bit hit miss . come everyday sometimes would ten morning day would not till four afternoon . find slightly inconvienient big issue . however , aside , fantastic hotel would not hesitate go back recommend other . there bar restaurant issue we plenty place near venture refreshment room vend machine . really recommend go hotel , especially tourist like oureslve . enjoy ! 
 Apr 22 2006 	 Loved Hotel 	 stay two night Easter weekend can not wait go back . ' ve stay 2 Upper West Side hotel Ave definately good . room large modern . staff excellent . ' ve also stay Times Square area can not compare feel quiet residential area . will really feel like be live NYC . location also close bus etc ... go everywhere . love hotel ! ! ! ! ! 
