great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 May 8 2009 	 nice showing sign age 	 parking check great . usually hard time get multiple room take care , . Front desk friendly , much well usually get Vegas . get nickel dim however - $ 3 unlimited local call ? not people mobile phone ? bad far additional charge go Vegas . also pay whop $ 30 roll away bed . room upgrade charge & quot ; standard & quot ; room . view terrible . mine strut roller coaster parking garage . still hair shower go room , also art elevator rip , wood veneer door fall apart . bad , good safe location . 
 May 2 2009 	 good value reliable 	 be look stay 5 - star luxury , not . say NYNY Las Vegas equivalent Honda Accord . stylish , nothing fancy , perk , nice feature , reliable worth value . I stay compare many time similar value - style resort Vegas , impress overall cleanliness property . room good shape , everything order , nothing room break . furniture decent , offer clever feature store clothe make life easy come late night , tv decent one . the bathroom well keep , decent size type property , everything need . housekeeping service prompt attentive ; front desk pack usual helpful . good news figure lobby , be easy hotel navigate , unlike monster town . NYNY may good location , be look relatively nice place without waste money , be still right across pedestrian walk MGM Grand , next door MGM Grand . excalibur direction good value , place go get out . the vibe NYNY change , may type place , want place sleep not want grossed surprised , reliable hotel . 
 may 1 2009 	 Good Location nothing special 	 stay New Yorker Tower , Park Avenue Room type 12 floor . great view sunset mountain ; room face strip . nice large window overlook pool back side hotel , not mind . stay 4 night , toileterie replenish one time . not expect personal item return ; find sock bed ! one set elevator room quite walk . lot place eat near hotel , Chin / Chin breakfast buffet , Fornaio , America , Gonzalez gonzalez -- get sick eating . average hotel , nothing brag . 
 Apr 28 2009 	 totally blah - would not stay 	 stay recommendation friend - arrive Vegas mid - evening , plan dinner hang strip , one friend fly early next a.m. two we want hang pool evening flight . we Park Avenue deluxe room - large , definitely feel old use . really disappointed complete lack amenity deluxe room - water bottle room purchase , fridge , nothing . room also loud hallway noise , even though suppose non - smoking floor , entire casino pervasive smoke smell . check - in horribly slow . pool area seem afterthought - crowd , loud music blaring day , rollercoaster fly overhead . guess noise bustle New York ! 
 Apr 27 2009 	 enjoy time New York New York ! ! 	 Hotel , like everything Las Vegas enormous . deluxe Broadway room excellent size easily accommodate 5 we . many hotel Vegas would take 5 we without make we book 2 room . view rollercoaster noise problem . barely bed close night . pool lovely . plenty place eat within hotel hotel nearby . location good . feel like good end strip . bus run continually strip get 24hr pass . definately worth go right end quite walk . hotel far airport 5 we well value take taxi shuttle . overall pleased choice hotel . 
 Apr 24 2009 	 bit let 	 much look forward stay hear / read good thing . turn 8 hour drive Reno bit tired probably tolerance run low wait twenty minute reception despite see alot staff behind counter talk , get serve lady rude smile anything , anyway get key head room difficult find many wing different lift . when get room bit repulse see hairball ( quite large ) floor tired worry , room service think leave cleaner vacuum next day - no still get back day activity . finally go downstairs tell man reception quite nice pretty blase . know 's hairball could ' ve pick put bin price pay stay cleaniness well . anyway feel over - price hotel would not stay . 
 Apr 22 2009 	 ok like poorly light room dirty furniture small pool 	 Booked hotel business comparable other ( Monte Carlo , Excalibur ) price range . would prefer Bellagio / Caesar 's $ 300 night . location ok . room hallway dark , furniture room stain dirty , bathroom outdate - last time stay hotel / resort slide shower door ? one visit pool find uninvite crowd . basically , slab concrete fill water . open chair , easy access pool chair surround edge . talk anyone know , one bad pool Vegas . would recommend location anyone , much well option strip . 
 Apr 21 2009 	 Decent hotel nothing special . 	 typical vegas , strip hotel . nothing special , nice . great location , $ 5 table ( like big hotel ) be cheap like gamble will go somewhere else . eat one restaurant , breakfast buffet pretty good reasonable price . 
 Apr 20 2009 	 Nice vacation 	 stay NY NY 7 night blast . check - in little slow due computer problem , desk clerk professional accomodate room request . tipppe $ 20 profficiency . second time 15 year come home gambling money go . would reccomend hotel anyone stay strip Vegas . hotel staff friendly accomodating . 
 Apr 18 2009 	 Good Value Easy Location 	 family 5 stay April 14 - 17 2 room 1 suite ( wife ) standard room ( 3 boy ) . book USAirways vaction great deal basically pay flight room free . the location easy get airport also easy get around plan drive around . room water damage along window low floor room view . irish pub great sit we almost private room 2nd floor . duel piano bar fun also . also eat America good . in middle trip take overnight trip Grand Canyon , stay check NY NY take overnight bag ( get room free sense check ) would stay especially location value . 
 Apr 18 2009 	 good value option strip 	 stay one night Vegas part 10 day trip US , pick hotel value , location , New York ! disappoint . we book Park Avenue Deluxe room strip view upgrade skyline room $ 15 extra , seem excellent value . room spacious spotless , 30th floor nice view MGM Grand airport . we also dine Hotel / Casino Il Fornaio lovely good value . Suspend belief could think genuinely NY italian restaurant ! ' Il Fornaio Panetteria ' great option breakfast pastry also . 
 Apr 17 2009 	 Nice . great Value Money . 	 nice place strip , top 5 . price , highly recommend . room clean , people friendly . awfully crowded , though . still , nine fine Irishmen good place grab brew strip . group couple beer patio overlook strip ( get early camp , space go ) . also , in - N- Burger behind NY NY , great cure hangover . 
 Apr 17 2009 	 New York New York get right ! 	 stay 4 night April , compe 2 night twice four - day gap . visit great . friendly service , fun slot good place eat . book nonsmoke King Park Avenue Room without problem . room clean feature flat - screen tv albeit small side , extremely comfortable bed marble bathroom . room also quite spacious compare other stay Strip . time next roller coaster , seem run night long ( ! ) get use rumble noise , however , reasonably tolerable . minor downside nice stay . restaurant choice , try Broadway Burger lunch ; impressed ; time get food - 20 - minute wait & quot ; fast & quot ; food joint - fry burger cold . philly cheesesteak sandwich delicious still hot . also try Jodi Maroni 's , sausage bun place , good spicy would like . eat America one morning breakfast - check MAP ! ! really cool ! food pretty good , great . good place Sirrico 's pizza . order pizza make , $ 16.50 large - took room eat . one good pizza - ever ! want eat ESPN Zone go really good food , private screen watch hockey game . unfortunately , could not get prime time . casino fun drink bring quickly , even though busy . check time bit slow efficient nonetheless . charge $ 3.00 per day & quot ; resort fee & quot ; , really use phone . get charge even not use . really enjoy stay New York New York . also walkway away MGM Grand 2 - minute walk Monte Carlo , save dough get McDonald 's breakfast ! see Zumanity okay ( give 2 1 ticket room ) . see Mystere Ka like much well . 
 Apr 16 2009 	 reasonable strip hotel ..... 	 first time Vegas stay - good price room spacious . hotel look date tired section - everything need update . ( room update ) room view coaster even though could hear issue scream make we laugh . room expectation cleanest stay . bother we sleep little . restaurant hotel terrible - mexican basic Il Forniao far expensive quality food service ( food tasteless ) . well MGM Mandalay Bay want decent food . ( pf chang Outback also good food get view across strip . ) Belagio buffet well ! bar ok , nine fine Irishmen freindly atmosphere Time square great fun . casino great unlike hotel waitress service always around want drink . would probably go back NYNY , would like stay somewhere else , nothing major wrong hotel , right price ! 
 Apr 15 2009 	 great place stay budget 	 Great theme hotel generally good people want nice place decent price . book skyline room upgrade well room ( Park Avenue believe ) . standard room , spacious . bad thing smoking room non - smoker . many restaurant hotel , something everyone . tip : Excalibur next door day , eat buffet privilege $ 25 . nightclub NY , NY Rok , look around day / night find someone handing pass skip line reduce cover . show Zumanity . sure get ticket early . Coyote Ugly also NY , NY . cover 10:30 . initially seem pretty weak almost embaressing , stick around show entertain ( dance like movie ) . large arcade top level fun rollercoaster . $ 14 one ride . pool not huge , 's cute good enough trip . the casino fair size . long be gamble ( not matter much ) serve free beverage . ny , NY south side strip far walk Wynn , Fashion Show Mall , Venetian , etc - definitely doable . hotel also attach MGM Hotel street walkway .there apparently mandatory $ 3 / night phone charge give local call free use phone room . advertise travel voucher post registration never charge . 
 Apr 14 2009 	 good around stay 	 stay ay NY NY Park Ave room . nice clean , pretty small . view Excalibur roller coaster . check little slow , overall service good . pool area small nothing special . food court area nice , especially pizza place . open late , usually grab piece pizza head bed . piano bar fun whole casino good vibe . casino small enough learn way around good 's 3 can not think straight . MGM across street huge hand . easy get turn around , even sober . vallet service good , employee hotel friendly eager help . locate pretty far south strip , several casino shopping area close . overall good stay would recommend NY NY . 
 Apr 13 2009 	 Average Hotel 	 husband return long weekend Vegas , book New York price Southwest Vacations .. upgrade Marquis suite room large clean , however old appearing .. Vegas several time usually room new looking refurbish .. room like say clean , bedspread , carpet , bathroom let alot desire ... enjoy large jetted tub , feel good leg walk day ... rest hotel casino fine , smoking eat pizza place , ( good way greasy ) eat american restaurant open 24 hour .. meal good , .. casino small enough learned way around first night .. great stay .. would go back New York -- probably .. like modern room ... people work super nice ... big plus .. oh also go Anthony Cools Paris , not think ever laugh hard .. recomme show .. serendipity restaurant also good huge portion die mojito 's ... love twist sister drink Diablo 's yum yum .. 
 Apr 12 2009 	 Perfect stay - free upgrade 	 wife & amp ; go Vegas Southwest 50 % flight special never . lot research trying find good place stay we . Vegas 3x stay ny , NY . keep mind look , open option . bottom line though NY , NY website free room upgrade offer would allow we overlook strip . could not pass , price location hotel along strip . MGM Grand across street , place buy cheap day show ticket , take advantage final night . see Beatles LOVE , Elton John & amp ; Blue Man Group 3 day Vegas . tremendous show . alot walking , 3rd day take advantage bus . roller coaster NY , ny run time due high wind . , overall , great stay ny , NY stay . 
 Apr 11 2009 	 good location enjoyable stay 	 stay hotel 3/4 - 8/4/09 . check do not take long - book broadway ave deluxe room - room spacious ( think block recently refurbish ) clean , bathroom , good , powerful shower . view brick wall next tower - call reception upgrade room view would least $ 15 per night decide would strip stay - mean room quite dark natural sunlight , always nice get outside ! stay 6th floor , comment would constantly hear lift go , even though close . order room service one night , reasonable price get lot money ! rollercoaster worth , also ride stratosphere brilliant , see great view tower there . the hotel good location , opposite MGM facility within hotel good lot see . go see Zumanity , Cirque de Soleil show base hotel ( guest NYNY get 2 1 ) , excellent . also make use deuce bus get strip , big hotel within walking distance ( tip - take comfy shoe refreshing foot spray - could do long day walk ! ) .would definately go back , although might also try another hotel different scenery - MGM , Mirage Venetian favourite . 
 Apr 10 2009 	 not use website book room 	 book hotel recommendation find could booked room thru discount site $ 40 night cheap , even link new york 's reservation page . Rang hotel find room book ( view ) could guarantee ( e - mail confirmation booking point room view might available , even though book four month advance ) birthday gift wife , tell room might available day check . cancel room , pay extra $ 40 room might even get . e - mail hotel hope might get answer willing pay extra $ 200 week stay could guarantee room view . guess still wait , folk spend money elsewhere stupid give $ 200 ( lady phone tell book discount room ) God know hotel service like . big tip book thru discount website link hotel reservation page great deal . 
 Apr 9 2009 	 worth every penny lose slot ! 	 book hotel see past trip Vegas . real nice ambiance decor . Bar Times Square blast course cost . Vegas . eat breakfast Il Fornaio last day fine preferred breakfast America . eat ASPN Zone watch Canucks game good time . chicken ceasar wrap great . we spend lot time slot even Deal Deal . gentleman sport bet quite helpful . never try table here . on arrival line . put we room two double bed . ask king . call tell full try next day . strip view could see roller coaster . yes could hear stop around midnite care . go Vegas not plan get bed early . next day call around 5 pm happily move we new room even well view . move easy pack thing walk new room . issue happen . little disappointed pool . big hard find chair lay . big issue we always lot . besides want great pool area would go Mandalay Bay Tropicana . the truly negative thing say $ 3 per night phone charge . frankly need phone pay extra fee rather frustrating . know other well ( Excalibur ) less . still include phone . guess way future still not like it . all enjoy NYNY . nice elegant . enter casino area go elevater allow see majority casino floor . helps look around quickly see thing get they . make sure hit Margaritaville Flamingo , Freemont St , Coke World different floavor around world . beware flavor ...... 
 Apr 9 2009 	 stay nearly flawless 	 stay three night busy weekend ( Spring Break / CMA Awards / Final four ) Broadway Deluxe room . second trip Vegas ( last time Monte Carlo ) . room large two enormous bank window . great view east / south - MGM Grand Excalibur . also , coaster right outside window - noise never problem . love view day night . room significantly large friend Parkway Deluxe ( 1 small window ) .We eat America ( L B ) , Gallagher 's ( ) , Il Fornaio ( b ) inside hotel . good great service . avoid Coyote Ugly unless like cattle condition - crowd , chair , loud music . duel piano bar great - always packed . try Rok Vegas , ESPN Zone , Irish Bar . pool complex good . hot tub good , sporadic drink service . gift shop / convenience store great - reasonable price champaigne , etc . take room . small issue checkin - line long ( 10 minute wait ) room ready 3:30pm . casino good - many . hard find $ 5 table anytime weekend - tell completely depend crowd - might slow weekend . the spa small nice . the overall resort large , pack much every space get crowd - like resoirt strip . pretty tired dodge people everywhere try walk . , nature Vegas beast unless find slow weekend mid - week trip . 
 Apr 5 2009 	 Clean Tidy well locate 	 stay 3 night July ' 08 . would recommend . clean tidy safe . room high quality . perhaps expensive hotel strip not look get room expect . staff extremely helpful especially front desk provide we anything need . 
 Apr 4 2009 	 NY NY Las Vegas good fit us 	 wife , son ( age 17 ) , stay 3/31 4/03 . second stay NY NY 6 month . not afraid ask desk need . attendant post far right side registration desk help we hotel information even print map blast direction local business we . wife use MGM player card table slot machine . good gaming luck NY NY . black jack table $ 10 minimum . eat asian buffet , patio restaurant , fish chip stand . good . many review mention comfortable bed . fine last visit . nightlife fun . grab drink walk bar front bar front enjoy variety . nearby hotel offer slightly well rate . stay find worth . plan return Summer midweek special . 
 Apr 3 2009 	 great wow 	 return usa trip . New York New York Hotel Las Vegas , great hotel . check quick , line . Park Ave , deluxe room . room spacious clean , bathroom . view Monte Carlo Hotel swimming pool . could also see roller coaster , could hear , good . 2 negative , hotel wall paper THIN could hear everything . mean everything couple next door .................................... 2nd negative enough people serve food area cause long line , apart everything else good , 
 Apr 3 2009 	 Average 	 Valet service quick professional , check painless go quickly . hotel room nice , nothing blow away . little time spend room , complaint would reception tv terrible . spend time Casino couple restaurant hotel / casino , everything pretty nice . little pricey food drink especially Vegas . real complaint would stay . 
 Apr 2 2009 	 great room good fun fun ! 	 able check noon upgrade marquis suite well worth extra $ 55 per night . couple huge positive room : 1 . hot tub could fit three people want almost must long day walk strip . 2 . 32nd floor great view top floor elevator skip first 20 25 floor awesome ! room clean nice job fixing room everyday . great Bose sound system dvd play wish would would know would cool watch movie system . also fridge stock pop water CVS street . wireless internet available 14.99 per day bit steep . 
 Apr 1 2009 	 great stay money 	 ' ve play NY NY many time never stay get discount room figure would give shot . overall not like facility much MGM , certainly good hotel . check quick give room upon check 11 am . ask room end corridor keep noise minimum accomodate . room decent , top luxurious mean , quite comfortable certainly clean . also quiet Vegas room ' ve ever stay . hear outside noise ( helicopter , siren etc . ) little inside noise -- -nothe get hotel . I find bartender , dealer , waiter etc . etc . accomodate . NY NY like place lately layoff folk leave seniority good job . find service everywhere excellent.while eat America twice . one dinner one lunch . meal excellent . also try 9 fine irishman lunch good also stand America . be go pool scene , not . be simple . one small hotel pool Strip . certainly acceptable quick dip lie sun not expect much action . 
 Mar 29 2009 	 Park Ave Deluxe room deluxe . 	 stay NY , NY March 25th-28th book air hotel package Airtran Vacations . package include Park Ave Deluxe room , meet expectation website description . say 400 sq ft , bathroom door almost hit toilet could barely walk bed combination entertainment center / wardrobe ( closet ) . 15th floor view parking garage , roof pool press face window way leave . good view people roller coaster go whiz though . clean furniture nice , shudder think size standard Skyline room . also , ask would interested upgrade , ask preference , except smoking , check in . also , booking include 20 % discount couple bar nine five Irishmen Restaurant $ 20 free play , could not find info reservation . luckily itinerary manage get Free play , say charge food beverage room discount would reflect final bill ... nope . hassle . nice helpful working , not expect time waste trip . also , know 's Vegas , food drink expensive . not deal restaurant NY , NY . good bet go next door Excalibur buffet . ( buy day pass $ 25 . ) drink cost $ 6 bottle beer $ 7 Bloody Mary . go Coyote Ugly Happy Hour , 2 beer 2 shot Jack come $ 20 ! ! ! 's legal drink sidewalk , go 3 block mini mart buy 24 oz can $ 3 walk strip . ( mini fridge room would stocked . ) hang NY , NY play penny machine take every advantage free cocktail . be poor cheap understand cost living city , price casino outrageous . get marry 5 year ago nothing like . 
 Mar 29 2009 	 superb stay 	 first visit Las Vegas , want hotel & quot ; Strip & quot ; comfortable without break Bank . long flight LGW get taxi straight airport hotel . arrival someone take baggage say would send room check . check desk busy take long we get check , check staff friendly helpful . our room & quot ; Broadway Room & quot ; 25th Floor superb view southern end Strip . room large two comfortable double bed plenty space . bathroom , although large well equip soap , shampoo etc . room clean tidy . internet access availalble either wi - fi cable charge . the hotel everything could want , Casino , shop plenty place eat drink . use Casino evening although busy never problem find something suit we . eat Irish Bar also ESPN Zone bar several occasion food good . the hotel short walk bus stop Strip & quot ; Deuce & quot ; service take anywhere along Strip $ 3 $ 7 buy day ticket . in summary , relax stay superb hotel complex . 
 Mar 27 2009 	 Excellent Hotel Good Vibe Casino 	 stay 5 night March 2009 . upgrade tot Park Avenue Room roomy bed comfortable . Century Tower 21st Floor lift quick efficient . eat Gallaghers Steakhouse Hotel one several . quite simply good Fillet Steak ever taste . use pool excellent especially weather warm , 3 spa pool , waitress service , DJ play music . casino although big Strip great atmosphere always buzz Coyote Ugly , ESPN Zone , Village Street , Rok Las Vegas New Center Bar . stay dissapointed 
 Mar 27 2009 	 reasonably price great location see sight 	 stay New Year 's Eve group friend . book room online take advantage extra night promotion advertise website . rate reasonable week 's stay , consider New Year 's Eve . actual nightly rate New Year 's Eve steep ( pwere hotel Las Vegas ) free night promotion night 's rate average out . there four us sharing room . opt Broadway Suite 4th large 7 room . room ok pretty small 4 people . request rollaway bed one party , twice arrive . ask upon check still bring call Reception yet remind they . the room clean basic , spend lot time need . breakfast include eat fantastic all - you - can eat buffet hotel Vegas ( great champagne brunch buffet Flamingo good buffet town , without doubt Rio .... have never see many variety food available ! ) plenty restaurant , cage fast food chain within hotel . 's easy pop downstairs quick bite eat , ice cream even drink one many bar . the hotel load see . Vegas hotel like resort . New York New York really well theme many little detail really add feel New York time . interior hotel really well design replicate street monument New York . build part hotel replica famous building ... Chrysler Building , Statue Liberty , Empire State , . visit main hotel Vegas , think theme - wise , New York New York one effective along Paris Venetian . New York New York great base sightseeing everything could need explore Strip . be within walk distance Mandalay Bay , Luxor Excalibur one end Strip ( even famous Vegas Sign nearby ) direction walk distance many hotel include Paris , Bellagio , Planet Hollywood , Caesars Palace , . MGM Grand , directly opposite New York New York , link walkway andcontain monorail stop within hotel . easy get around hotel . I would recommend hotel look reasonably price hotel quite centrally locate Strip . great place explore Vegas . 
 Mar 26 2009 	 Great Hotel ! 	 call ahead time let know extra person staying room , arrive prepared room person . call housekeeping , friendly quick give we towel etc . good restaurant bottom hotel , open 24 hour , great come back late night munchie ! bar fun expecially live band playing . convenient coffee shop , souvenir store etc . location little way centre strip , still surround fun hotel lot . jump taxi good way get around bus extremely slow . overall , great comfy stay ! 
 Mar 25 2009 	 room renovate 	 stay last night New York , New York . want stay Venetian Mandolay Bay read Trip Advisor smell . walk two hotel reviewer correct , make sick pump smell . hide cigarette smoke think . people stay ? 26th floor New York , New York room new carpet , bedspread nice sheet . bathroom nice . room dark . forget reading room . like cave due couple light energy save bulb . want room anyway , suppose gambling . pool open fine . plenty room everyone . check tv room -- two second . people stand line checking ? ? one person line front check - in . stay . please give we Wi - Fi room Free . year 2009 -- pay connection absurd . 
 Mar 25 2009 	 Loved Hotel 	 hotel amazing . first room not sort view ( parking lot ) move we great room next day . would move we right away want stay floor friend . staff wonderful - especially front desk . ask hour pharmacy , front desk person call determine hour . 100 % . 
 Mar 24 2009 	 would recommend hotel 	 stay NYNY 9 night ( second trip Vegas ) mid March 2009 find hotel great . check breeze book Broadway Deluxe room strip view . room quite large bed comfortable . bathroom nice reason exhast fan mirror always fog . Maid service sufficient room always smell fresh . reviewer mention wall thin 9 night rowdy neighbour 1 night - hardly major inconveniance . hotel lot choice eat great shop . casino large enough get lose always find slot machine position roulette table . dealer friendly make gambling experience fun even lose . drink service gambling sometimes slow tip well would keep come . overall would recommend NYNY - end strip close many hotel ( MGM , Excalibur , Luxor , Monte Carlo Tropicana ) regardless stay walk navigate strip stage . major tip would give people plan gamble NYNY partner hotel ( Bellagio , MGM , Mandalay Bay , Mirage , Luxor many other ) sign player card straight away - tell roulette dealer third last day three day table slot play able receive 2 night nine free , $ 50 voucher America restaurant $ 20 free slot play . sign first day positive accommodation cost would compe . check breeze Bell Service quick friendly . 
 Mar 22 2009 	 ok . 	 outside hotel gorgeous , NYC skyline , continue look inside . travel March Break , might part problem . room ( upgrade since run one book ) , right next bunch college guy annoying ! grant , can not blame hotel nrighbour , however wall thin . could hear conversation , could hear phone ringing . also , annoyed realise mornig checking , hotel guest get 10 % meal couple restaurant inside hotel . eat restaurant 3 time , neevr mention ! overall , nice hotel , not like service receive , really thin wall . however , give credit credit due , interior back hotel amazing ! like rebuild NYC inside hotel little shop store . blow away ! 
 Mar 18 2009 	 stay strip next time 	 first time Vegas completely amazed ! ny , NY almost end strip , 's lot walk right across street MGM havea monorail stop ( ride , trust ) . hotel huge hotel small town girl , little overwhelmed . room nice sized believe decorate either dark blind person . sound picky anything loud ! , be Vegas spend much time room ? awesome view mountain . pay extra strip view really , like say , spend much time room ? check brief , not take long . People casino nice busy though , order drink , prepare wait long time get ! go America restaurant one night , good decent meal , go 11 pm ... layout hotel pretty easy negoitiate little bit time ! corner w/ Excalibur one side MGM . overall , good time . would stay ? yes want experience strip first . TIP : Vegas go see Blue Man Group Venetian ... well worth ! 
 Mar 18 2009 	 great hotel Comfy bed Great Service ! 	 get back Trip Vegas March 9 - 13th . boyfriend never Vegas not really sure stay . book vacation WestJet vacation great job give we lot different hotel option great price . choose New York New York look hip , fun , decently price . arrive Vegas 10:00pm 10 minute wait check - in . check - in lady nice get we check promptly . even upgrade we Park Avenue Deluxe room free . ( book Skyline room ) get ask for - a non - smoking room King size bed . stay NyNy Tower room 1110 view amazing . old kid would not suggest ask far walk room elevator , boyfriend physically able walk perfectly fine find long walk elevator room . our room great . clean , shower work well ( good pressure ) bed EXTREMELY comfortable . not sleep well . mandatory $ 3 night fee telephone come handy make many phone call get show ticket / time / reservation . could not find extra pillow call housekeeping bring we extra one along extra towel within 5 minute make call . GREAT service ! two thing not like room . 1 . shower not drain well . not get back Ottawa realize actually purpose try get conserve water . ( end soak foot be shower basically ) 2 . room overlook rollercoaster would hear lot rattle metal yell rider . not unbareable mean , may nuisance people . hotel lot great food option really try keep NY theme . casino really smokey hotel always seem really busy . the night check call desk see late check - out would possibility . allow we check - out twelve noon even though check - out suppose 11 am . flight leave 11:30pm night long day want check late possible . upon check , luggage need put aside bring Bell Desk deal quickly store away safely . fast friendly . upon check - out wait 3 minute lady check - out counter simply ask name tell we could keep key souvenir , thank we stay . . simple fast . my boyfriend fussy traveler satisfy bed comfortable enough fall asleep , room clean feel safe throughout stay . pleased stay New York New York 
 Mar 17 2009 	 great location value . room questionable . 	 stay spa suite . bed uncomfortable could hear everything go around we . huge tub surround mirror great , highlight . 
 Mar 17 2009 	 dissapointe 	 go NYNY October last year ( 2008 ) , dissapointe . walk casino , centre cordone construction work , could hear loud hammering noise . go Vegas experience casino , previous visit really like NYNY feel tell booking ( rang book ) .We two couple , rang book request room close . arrival long check , tell room tower different floor , ok although request . room date although everything need . compare room Luxor Treasure Island , previously stay similar price , room nowhere near good . unfortunately , friend room strong smell smoke , rang say smoking room want non smoking room , tell not smoke . room change follow day non smoking room . the bar restaurant ok , feel bit rubbish could hear construction work , also block view whole casino . pool area small good other strip . location wise , ok , although future would stay near Bellagio . 
 Mar 13 2009 	 Outdated room 	 go Vegas last June stay MGM . trip decide want stay somewhere different , go New York New York good rate receive . not expect New York New York nice MGM , yet still disappoint general . check - in long draw , seem person help we clue . upgrade Park Avenue & quot ; deluxe strip view , & quot ; grateful , base & quot ; upgrade , & quot ; never would want see Skyline Room . Park Avenue set strange manner . armoire seem way big room oddly place . also , closet . bathroom tiny . bed incredibly uncomfortable , linen something might expect find rundown motel . not understand do room renovate seem outdated . big complaint fact housekeeping show around 3 pm day . everyone party early - riser , room always vacate early , yet would come back around 3 pm find housekeeping come fix room . glad not warm enough sit pool pool area look disappointing , especially compare other strip . positive hotel - 24 hour essential shop great place get everything need . hotel overall incredibly clean well - maintain , restaurant Chin Chin good . basically , kid would recommend hotel family friendly vibe , look decent hotel good price , would definitely suggest go MGM instead . 
 Mar 11 2009 	 4 Star Hotel 	 Cleanliness : averageservice : give average review due one issue . receive free Zumanity ticket room , charge . wait line charge remove , even though suppose compe automatically . feeling & quot ; automatically & quot ; never happen whole thing kind scam . otherwise , everyone helpful friendly . also , $ 3 per day phone charge joke . location : bad ... 's kind end strip . value : average . room : big complaint . decor date . fan bathroom , vanity outside room . iron makeup mirror light work . bedspread visibly wear threadbare . pillow bed general low quality . also , near elevator nice , could hear night long . the restaurant casino overall pretty good . fun place hang , would stay . 
 Mar 10 2009 	 Big Changes New York New York 	 always seem end New York New York go Vegas evening atmosphere , live band Big Apple pump Rock Roll , look walk thru central park fun place party . start stay hotel go Vegas . big shock Novenber 2008 wife birthday , Big Apple go , Central Park go replace machine boom casino evening- full blow rap music new club open . stay place else . 
 Mar 8 2009 	 follow 	 nice rep New York New York read review take time find . receive email call . sorry happened say would make sure clerk Manager would address would brought meeting work Customer Service . offer comp room next trip ask offer guess random . want hear . thank . 
 Mar 5 2009 	 would choose hotel service 	 room okay . housekeep excellent job . however desk understand word service . take Dad -his first trip . book room two bed , smoke . arrive midnight tell room available two bed upgrade room king bed , non smoking strip view . state one bed would work say would give cot . consider cot upgrade ! besides phone hour later ask cot . one apologize . business know happen ! tell would move we 9 11 next day . call next morning 10 desk tell not room move 1 pm 3 pm ! slight lack communication desk person night not want deal anymore . put manager guess -there room available immediately . guest get really upset go manager anything happen . quick note- strip view worth it - window small climb around furniture see anything . standard room floor ceiling window decent view . buffet breakfast small restaurant first morning would definitely recommend . selection limited price high . would absolutely recommend America restaurant . service amazing food excellent . casino small , crowded noisy due night club . table quiet . I ask late check willing pay tell come back day due depart . tell would cost $ 50 $ 65 . go back day departure tell & quot ; not day departure & quot ; ! oh rate would place $ 60 $ 119 . guess day departure tell sorry ( least get apology ) late check out ! total lack communication service . quite frankly , room high quality , Circus Circus , 4 Queens , Venetian Stratosphere well service . next time stay different hotel . 
