after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Mar 8 2007 	 Functional Value 	 stay Holiday Inn Kensington Forum 4 night March 2007 . book Priceline reduce rate . perspective , hotel provide comfortable , efficient home base we . arrive USA early morning , wait room available . check room leave luggage go explore wait . return hotel time tell , tell wait . 3 visit desk , receive room . one man quite rude unhelpful process ; one lady particularly kind even . access room 14th floor , pleasantly surprised . opinion large London ( home notoriously small hotel room ) english quirk . operate light , must insert room key holder near door . finally locate hair dryer desk last morning stay . bed comfortable fridge add bonus . room bath clean . 24 hour room service , restaurant , tavern hotel although sample hotel food . business center email capability 2 pounds/30minute , open weekday . good part hotel close proximity Gloucester Road tube stop ( Picadilly , District , Circle line ) Paul bakery across street tube stop - home good hot chocolate ever . sum , would not pay rack rate hotel , reduce price 's efficient , functional place stay London . 
 Mar 5 2007 	 overall good 	 check quick easy . least 6 staff check people delay . room clean tidy although little small . ok though . bathroom clean . in - house movie expensive drink bar ( unexpected though London ) . staff pleasant helpfull hotel well siruate within minute walk tube . suggestion find many coach party . one day stay quite delay breakfast two party descend time . cook breakfast well prepare although buffet style hot occassion go . many hotel stay food rarely hot . 
 Mar 4 2007 	 's expect 	 stay Holiday Inn choose base review site . find hotel clean , quiet , comfortable . would pay rack rate room , quite attractive discount price . bed comfortable , empty refrigerator great place store food beverage . although room fourth floor , noise - proof quite impressive , could barely hear street noise Cromwell Road . elevator fast , entire hotel clean , upkept feel . luxurious , certainly good value London . 
 Mar 4 2007 	 good hotel close everything 	 stay Holiday Inn Forum one night . pay GBP 108.00 affordable price hotel posh area Kensington . Forum Holiday big high rise right across street , another Holiday Inn , albeit much small tends confuse people look 2nd location hotel . arrive hotel , park rental car beware parking GBP 30,00 night . check quick efficient . room small clean everything okay except wireless internet keep go every 5 minute . colleague breakfast GBP 10.95 find nothing special . go Starbucks one block away nice breakfast less pay . subway ( Underground station ) also block away downtown London within 15 minute . Harrods 25 minute walk . , many Holiday Inns hotel worldwide , affordable good room customer service always one two issue keep chain affordable good place stay . 
 Mar 3 2007 	 ideal location 	 good functional hotel . situation great tube major museum . great 30 minute walk lovely peaceful area London Stamford bridge football ground . hotel reasonable facility doorstep wide choice travel one stop tube High Street Kensington . room good although one smell smoke despite smoking floor . staff helpful hotel bar pleasant . overall great situation London . get high floor fantastic view . within easy reach could want peaceful area shop food outlet . 
 Feb 28 2007 	 Great Hotel 	 stay September 2006 find hotel perfect base ideal neighborhood explore London . westward face room 17th floor , see couple beautiful sunset window , share wine cheese ' purchase Waitrose supermarket block away Gloucester Rd Sainsbury supermarket two block Cromwell Rd . other mention , room small , bit big room cruise ship , ' immaculate , small refrigerator , well appoint bathroom vanity full tub shower . air conditioning work flawlessly , use every day . also , want heat something buy store bring back restaurant , 's snack room microwave 25th floor . there ' also decent fitness center 1st floor internet access business center ground floor . however , ' good internet café one block away Cromwell Rd . ' far less expensive . drink lobby bar , two mediocre glass wine cost we 13 GBP ( Turning Leaf cabernet -- - see bottle sainsbury half price ) , ' return . neighborhood upscale beautiful , ' convenient access Tube Gloucester Rd stop block away hotel . ' outstanding steakhouse call Black Blue block away Gloucester Rd , patisserie Paul , one get decent croissant hot chocolate breakfast , across Tube stop Gloucester Rd . late night snack ' Tesco 24 hour market Gloucester Rd . Paul Black Blue . find good restaurant dinner near Piccadilly Circus , Leicester Square , South Kensington , close Tube . tip get hotel Tube stop -- -- ' one block walk Courtfield Gardens Rd . happen go Cromwell Rd . , turn leave Ashburn Place walk one block . entrance hotel parking lot right reach Courtfield Gardens Rd . at average cost 104 GBP per night , ' get nearly good deal several reviewer site able get , total quality experience , feel receive decent value . definitely return hotel subsequent trip London , look well deal next time . 
 Feb 25 2007 	 average stay 	 room bathroom clean . hotel average good . find staff unfriendly . 
 Feb 24 2007 	 outstanding value expensive town 	 stay hotel 6 night , wife explore central London extensively . hotel clean , convenient tube , internet cafe , local dining price range style . reviewer remark , room small , design purpose bathe , watch tv , sleep . fridge convert previous infamous honor bar ( use charge item move ) BYO refreshment , suitable store cup yogurt sodas . hairdryer reviewer could not find locate bedroom countertop , bathroom . nice touch availability power plug USA 110 volt , Euro 220 , well UK 220 appliance . all , hotel excellent value ( $ 75 / night Hotwire ) , perfect we need place clean sleep . be look authentic english charm , go elsewhere . well - maintain , practical accomodation , highly recommend . 
 Feb 22 2007 	 's 2 star business place well . 	 long journey , look forward allegedly four - star accomodation Kensington area hotel . unfortunately , arrive , find 2 star good , least comparable 4 star Stateside . ' ve stay 3 - star boutique major US city far superior place . clean enough , lack basic way . the tv tiny desktop model . fridge self - service ( call room service stock want anything ) barely functional , not chill soda buy . ice machine 25th floor -- not actually contain bucket transport ice back room . slide - door bathroom , hair dryer , common amenity like shower cap , shampoo , etc . absent , & quot ; luxury & quot ; body product available Dove liquid soap ( budget drugstore line good ) . like say , clean , though bit shabby . overall , bad , certainly 4 star . able read review first , would certainly save $ 60 per night stay hostel , instead ! 
 Feb 21 2007 	 Great Location Hotel Money 	 relentlessly search many small hotel BB London lousy reputation high price , end book room 3 adult thru Hotwire $ 119 per nite 6 nite , Feb.7 - 12 . location South Kensington excellent Gloucester Road tube station around corner serve 3 main line -- District , Circle Piccadilly . easy get part city quickly . hotel 27 floor high rise since 7th floor , really not get spectacular view hope . flip side , could not complain , arrive 10:30am first day town , actually able check right room instead leave bag go sight see . wonderful unexpected surprise excellent start first day town . front desk concierge helpful knowledgeable . bathroom room immaculately clean . empty refridgerator room snack , 110 plug desk -- handy Americans also blowdryer , iron / ironing board provide . negative thing say room , sofa / chair pull single bed third adult , absolutely 4 inch end bed desk order pass go bathroom . immediate area around hotel extremely well service least 3 internet cafe , grocery store next tube station , well several nice cafe restaurant . ask nice italian restaurant nearby serve pasta pizza excellent service run 10 + gbp per person . Patisserie Garfunkle 's also cafe well rounded menus nearby . also , wonderful pastry shop ( can not remember name ? ) light breakfast across street tube station -- excellent bread , pastry , hot chocolate , coffee . starbuck , KFC Burger King also right across tube although eat . can not comment hotel restaurant food never eat many choice nearby . can not say enough price , quality , location convenience hotel area . hotel excellent we would definitely recommend stay . 
 Feb 17 2007 	 Fab Location 	 return 2 night stay 2 teenaged girl . good point excellent location really close tube tube good line lot change . also get good price room thro priceline 47 pound per night , hotel clean well run . bad point room really small especially like we 3 room . ask could anything big tell ! would recommend would stay price right ! 
 Feb 15 2007 	 typical Holiday Inn 	 two friend book 2 night stay Holiday Inn Kensington Forum take tour England Wales . location good location near tube minute cab central London ( 12 pound ) . overnight flight US arrive Gatwick 0830 Hotel around 1030 . despite travel night assign room give room key , room clean . prepay room Hotwire ( good price $ 120.00 US dollar per night ) previously request room 3 bed 3 male want bed prepare pay upgrade . advise charge would total 60 pound try charge 120 pound upon checkout . although small room expect Europe , room 3 bed hotel considerably small standard size US hotel room . much bed practically side side zero room move . advice get room 3 bed 3 adult travel together . impossibly small . avoid food hotel restaurant ridiculously overprice . visit small place street cabby eat . also nice bistro around corner good food moderately price . hotel staff cold indifferent- impress all . overall , hotel typically would expect Holiday Inn . look basic lodge good price london- place . look bit comfort well service , look elsewhere . 
 Feb 11 2007 	 good choice trip 	 10 year old son return week 's stay hotel . although way would prefer small , authentic english hotel , really could not beat combination price location ( book priceline $ 79 / night ) . arrive 10:00 A.M , non - smoking room available we 7th floor . high floor would nice view , eager check , freshen , start explore readily take available room . room two twin bed small pull - out sofa . room bathroom clean quite adequate . water pressure water temperature bathtub great ( ' m bath junkie ) . housekeep nice job day pleasant return immaculate , restocked room day . my 10 - year old really like energy save feature require key card leave slot near door light stay . leave take key card , light automatically shut minute . use mini refrig keep drink snack , enjoy coffee hot chocolate provide . check - in offer pre - pay breakfast buffet 11 pound day . ordinarily would pass , son able eat free pay adult , buy . end eat cereal day way care english breakfast item continental breakfast . next time purchase cereal , milk , plastic bowl @ nearby grocery store save money . information hotel 's website tv information channel suggest internet access available purchase room . available room expensive ( 6 pounds/90 minute ) use lobby area . really would like able check e - mail upload photo pajama room . the walk Gloucester Rd tube station quick easy . remember take right exit station . go left , end side hotel entrance walk way around . would definitely stay hotel future . 
 Feb 8 2007 	 two day break ! 	 reading reveiw hotel doubt stay . place fantastic , 27 floor , stay teh 4th quiet , clean short walk hotel bar . ask high room ignore think ! food great , breakfast bring room , although pricy well worth . although get strange phone call room service 1 am , wrong number think ... hotel 1 minute walk Gloucester Road tube station district , circle picadilly line , excellent see London , ( use oyster card , see web site ) .... hotel great going use .... thank holiday inn ... 
 Feb 3 2007 	 well - locate good service 	 ' ve stay , be surprisingly well locate , behind Gloucester Road tube . spite size , find service good - speedy check - in , rapid response break toilet 11 pm . may rather anonymous due enormous size , be clean , well - maintain helpful view . 
 Jan 26 2007 	 Nice hotel price 	 stay Holiday Inn Kensington Forum 1/17/07 - 1/22/07 . last minute trip visit London , cheap last minute fare . Bid last minute priceline rate $ 80 / night X 5 night approximately 6 day prior travel . come Hearthrow redeye , arrive hotel around 10:20AM . tell confirm prepaid room via priceline , room available . ask book nonsmoke double room high level possible . tell check 2pm . go sightseete tube , come back around 3pm . got 19th floor room face east ( toward Harrods ) double bed request . the room small , clean . excellent Europe standard . everything good working shape . nothing say room & quot ; priceline & quot ; room . room smallish 15 ? tv ( hate blink PAL 24FPS tv ) . also work small ( quiet ) fridge , come handy . bed decent , run . sheet clean . bathroom clean . housekeep good . never wake ( although tv loud morning ... ) room keep clean , restocked cup , tea , etc use . minibar , extraneous charge . location good plan take tube . walk distance ( 5 - 10 minute ) v+a museum . 1 block tube station ( Gloucester ) . direct line Heathrow airport via Picadilly tube line ( 4 pound one way , ~6.5 pound zone 1 - 6 offpeak 1 day travelard ) . would not bother take Heathrow express , take another tube taxi go backwards hotel , besides cheap straight tube stop heathrow . big Bus tour stop 1 block away ( use ) . 2 tube stop away Harrods shopping ( Picadilly line ) . 1 block away many restaurant , Tesco express supply ( handy ) . Minimall Boots pharmacy , Whole Foods type ritzy fullservice market , coffee shop , etc . would recommend Patisserie ( food look overprice , pastry dry ! ! ) . want danish croissant , get & quot ; Paul 's & quot ; next door . food overprice everywhere due $ pound conversion course . be US , think 2 - 3x average price convert US dollar . would recommend Holiday Inn Kensington Forum location , price ( via priceline ) , cleanliness . 
 Jan 22 2007 	 decent room good location 	 stay hotel , one night , location ideal night Royal Albert Hall ( 25 odd min walk distance away £ 5 taxi fare ) .like previous reviewer , find hotel , would expect Holiday Inn . clean , well maintain , fixture fitting good condition generally pleasant enough room . bit small side notice two trying get ready rush get past ! booked hotel website pay £ 74 night ( breakfast , vat inclusive ) . price , get expect , pay , would disappoint . as also say , location excellent , near tube station , plenty deli eat place nearby supermarket snack want room . we issue check check . although email confirmation room prepay , check staff insist " back office " ' actually take payment want we pay again . their system also get confuse actually book ( think one room 2 night instead 2 room one night ) try take another payment we ! ! finally getting sort confirm could pay check out . fortunately , later check bank confirm hotel already take full payment . check , staff try take another payment , try take normal room rate discount rate ! ! finally sort , sheepishly admit previous day , swipe credit card room guarantee , deduct £ 30 deposit . consider ' tell we time , would consider theft ! ! however , spend total hour checking , want get go get necessary assurance card would deduct correct charge . oh final gripe … . despite book get agreement late check , check staff ' bother log system result cleaning staff try boot we early ! ! ! despite incompetence check staff , stay area , would make hotel first choice ensure ' pay £ 80 . would look alternative . 
 Jan 19 2007 	 10 good day 	 take two teen London 10 day Christmas leave college fall . two room continental breakfast part package go - travel extended agent room rate . read site extensively hotel feel would resonable . exceed expectation . room , handicap access room due crowded season , actually great choice , bath large , light fill update fixture . room keep clean extended visit.unlike review , trouble staff , concierge , desk . quite tour airline crew stay , line desk occasion . gift friend tardy due boxing day hotel provide complimentary bottle wine . we eat 7:30 every morning line . continental breakfast cereal , yogurt , fresh fruit ham cheese well maintain . london expensive eat , make one two meal day.the hotel attractive safe area close hotel hostel . excellently position take advantage tube , find good way get town . system set oyster card least expensive way travel , daily cap less cost multi - day transit passes.there variety price place eat immediate area , food cost always high- eat mostly pub , beer scotch reasonably price always ! local waitrose take away also good budget option weather . 
 Jan 19 2007 	 generally good minor exception 	 stay 1 night January business . pre - booked & quot ; executive & quot ; room , £ 80 thought sound good value . prove good value regular room advertise extras justify & quot ; executive & quot ; tag . complimentary water chocolate provide room seem large standard one . the kettle switch well water boil shower head holder break unable adjust direction spray well . these minor quibble , be thing make difference pay extra & quot ; executive & quot ; room . my general view hotel modern , clean comfortable . staff come accross cheerful helpful . I eat Tavern Bar attach hotel . Fish & amp ; Chips good quality , although think £ 9 bit pricey side . I would certainly stay ( convenient location ) would not bother tempt & quot ; executive & quot ; room . 
 Jan 15 2007 	 current top london pick 	 stay alot london hotel last year one good value money right . usually get 70 GBP per night vat inclusive , priceline lastminute website . top - secret description one easy peg 's one high - rise hotel area . the room clean comfortable . decor modern , bathroom lean nice , bed comfortable . push twin bed together make king , apologize . lobby look dated bit impersonal , restaurant not look like anything special . Usualy not breakfast . wonderful place eat around corner , include reasonable Thai place , ASK , grocery store arcross street , across street Gloucester Road tube station give great access tube system . location great , hotel wonderful , price right , really hard beat right . 
 Jan 10 2007 	 good location great deal priceline 	 hotel convenient location , block half Gloucester Road tube station . also many helpful bus line within two - block radius hotel . neighborhood , full many hotel , grocery store , pub , Starbucks . our room neat clean problem . arrive hotel transatlantic flight 9:30am let we check room right away . extras like sewing kit room ; however , sewing kit , toothbrush , etc available concierge ask . our amazing deal priceline include breakfast , many place neighborhood grab breakfast reasonable price heading day . overall good experience would certainly stay good rate . 
 Jan 9 2007 	 worth Considering 	 one large Holiday Inn hotel London therefore one frequent deal offer . comfortable room large bed limit space often case London hotel , find location excellent . short walk Gloucestor Road tube station ( especially realise hotel 's main entrance lie ) . good connection city via Piccadilly line Circle line . 
 Jan 8 2007 	 Thanks Tripadvisor exactly expect 	 book hotel read review website . travel son age 10 , ask double room extra bed . inform hotel would arrive late night turn round haft past two . give we call & quot ; family room & quot ; . disappointment get room extra bed infact sofa ready , time night quite inconvenient . open sofa - bed underneath sheet blanket occupy whole room desk mean go toilet clyme son 's bed ! sofa bed make third person consider far cup , glass towl unless require extras personnel . good side hotel clean , people helpfull , Consortia restaurant good even quite expensive . breakfast good child help english breakfast even include . please remember advertise restaurant open till late quite true , late 10.00 pm . 
 Dec 30 2006 	 american overload 	 stay Xmas New Years room , location , etc expect price pay . not expect hotel choc - a - bloc Americans . Holiday Inn stick hotel mass space 30 hotel London ? totally fake english pub bartender expect tip , mean hand little silver tray practically beg tip . obviously do cater gullible Americans bar . room perfectly comfortable great view , although wish high floor . breakfast good value long fill day , lot offer 
 Dec 29 2006 	 Cleanest Hotel ' ve ever stay 	 book travel Priceline Vacation Package special ... hotel GREAT DEAL $ 77 US per night far clean hotel ' ve ever stay ! staff courteous friendly super accomodating . bedroom small ( room Europe ) bathroom good size exceptionally clean . location great next tube . would definately stay would recommend anyone ! 
 Dec 18 2006 	 Lovely Hotel Fantastic View 	 come back weekend break Holiday Inn Kensington Forum highly recommend hotel like hotel clean fresh feel , quiet stay view make ticket london eye surplus requirement . I arrive 12 o'clock , two hour early advertised check , problem check . quite obviously large choice room available female check receptionist manage find non - smoking twin room view london problem ( floor 16 , room 1628 , anyone be interested want quote room number order get view BT tower leave across london ( see accurate london skyline shot candid photo section ) way assume Hammersmith . interesting day dazzle christmas time night . friend barely watch television room -that indeed 18 channel , four foree language - although would watch move wallpaper window idea . the previous review accurate , regard presence airline crew ( AA case ) early - bird mentality cleaning staff . 8 am sunday morning tad early ringing room doorbell , though large hotel forget put ' do disturb ' sign . fair , though , clean staff people hear room - first stay london hotel ! tiny pedantic complaint could possibly make 1 . not really seem function air vent bathroom bit sauna use shower , 2 . sugar coffee making facilite seem leak teabag one mug , make bit sticky - teeny tiny complaint otherwise faultless hotel , sure later , complain would restocked we teabag etc question . for two girl stay London , security system mean keycard holder use lift guest floor welcome one . local area hotel feel safe , even night . breakfast , instead end Patisserie , see other recommend , London , let alone Kensington , good value . friend one pancake syrup , two orange juice , one tea , one smoke salmon scramble egg english muffin £ 8 ( $ 15 approx ) total - price one discount breakfast hotel ! incidental item Tesco Metro Waitrose gloucester road , 100 metre hotel . ( also open top ' Big Bus Tour ' stop road feel like particularly touristy visit capital - italian ticket seller , get chat really friendly may give discount give we ! ) starbuck gloucester road hotel ground floor lounge cafe sell starbuck range open least 11 pm . wait staff really friendly dutch ( ? ) waiter serve we offer completely remake friend 's coffee ask water syrupy strong , question . often book hotel price disappoint choice arrival . disappoint choice time , definitely see try get bargain stay future break London . 
 Dec 17 2006 	 Great Hotel . 	 hotel fantastic value money . book website . deal stretch Friday 15 Dec til Sunday 17 Dec include full breakfast dinner first night . dinner first night voucher offer reception . 3 course dinner voucher give we 2 course free drink . breakfast evening meal fantastic . problem resturant breakfast get busy wait table . wait worth .... although part deal would pay 17 pound breakfast . location great . real handy Heathrow City centre . London magical Christmas time top weekend . check - out clear small drink bill give wrong voucher Dinner .. nice touch think . well recommend hotel . 
 Dec 10 2006 	 Excellent location room far hot 	 book two night lastminute.com ' Mystery hotel ' reception staff freinedly helpful , request quiet room give room 17th floor face rear hotel quiet expect central london ! room small ! hardly walk round bed without walk furniture . bathroom clean modern slide door ( enough room standard door would hit wardrobe ! ) room facility list include fridge come handy . main complaint heat room . even heater turn like oven . window open whole time make little difference . hotel ideally locate London easy access Gloucester road tube station . not pay overprice hotel breakfast . try ' Patisserie ' recommend another tripadvisor member reasonably price way tube sation . number place get breakfast near hotel atmosphere well value hotel . overall good experience sure hotel deserve 4 * rating . nothing set apart good 3 * hotel would stay price right due excellent location . 
 Dec 10 2006 	 good value good location 	 return week 's stay Kensington Forum . let start positive . location ideal get around London . minute walk Glouster Street tube station bring we Picadilly Circle / District line could Harrods minute switch another line anywhere city record time . hotel conveniently position near couple grocery market , restaurant , pub musuem . room adequate clean . fresh linen supply , not expect extra like shower cap , sewing kit shoe shine . lobby bit bland , offer plenty seating wait . room could well light view low floor . as part package , continental breakfast include cost . enough food choice coffee tea , juice , pastry , toast , yogurt , cereal assorted cold cut please every taste . additional cost could full english breakfast . believe reception area offer discount coupon , ask . fridge room make sure plug . notice next day purchase yogurt still temperature . one pet peeve ... lack information . ask couple question regard bus direction desk staff seem uninformed area . huge problem , would assume one employ huge chain part training would geography . that say , could check 2:00 arrive quite early morning , need somewhere store luggage . storage room attendant nice quite knowledgable . question , would recommend ask . hotel offer laundry service need take advantage . bag locate closet , price list . ask send clothe . two pair jean wash total 10 pound . could buy new pair jean price . however service quite efficient ; pant bring back day . all expect base price would stay ... know know . couple thing wish list would high floor view , well lighting room , well informed staff . 
 Dec 5 2006 	 not turn a / c warm autumn 	 Booked Lastminute.com 's Mystery Hotel offer like previous reviewer pay £ 321 4 night pretty good part London . hotel clean , modern well - run , partially - sighted wife really appreciate lovely bright light fitting . room modern clean , , everything work bar kettle replace brand new one 15 minute . there also room adapt people disability check wife ( carer ) approve description hotel bumpf . we problem - tell £ 9.95 breakfast voucher sell reception ( £ 16.90 otherwise pay Forum room first floor ) have day two ; slightly patchy face cloth supply , one time no - one maintenance reception would answer phone , biggie - despite warm London autumn record , a / c switch ( work heater ) room always hot . least open window noise Gloucester Cromwell road loud . which lead us - location , hotel 's good feature . be hundred metre Gloucester Road Tube ( metro ) serve District Piccadilly line ; latter go direct Knightsbridge , Harrods , Piccadilly ( shop , Fornum Mason , Ritz , Wolsley , etc . ) Leicester Square ( movie theatre ) . many good London museum easy walk away along Cromwell Road . the hotel passable till-11pm brasserie ( sample closed breakfaster approach 10 am ; forum open till 10.30am ) adjacent tavern ( sample british no - smoking inside public space law not kick 1 July 2007 ) excellent eatery nearby ( Millennium hotel plus check garfunkel Ask Pizza / Pasta adjacent Waitrose mall well other Gloucester Road ) plus 24 - hour Tesco supermarket , waitrose supermarket , KFC , Burger King . 
 Dec 2 2006 	 stay - will not regret it- great price - great location 	 book double room Lastminute use secret hotel booking system . pay £ 144 two night late November exclude breakfast . ( would definitely use secret hotel way ) .I can not say anything bad stay hotel . arrive quite late day check - in extremely quick member staff deal we polite , friendly efficient . give standard double room 27th floor top floor . view spectacular , could see load Londons landmark include Harrods - beautifully light Christmas . the room everything would expect 4 star chain hotel . clean , average size London hotel tea / coffee make facility tv etc . worth money pay . the Hotel location absolutely perfect sightseeing shopping . short walk Natural History Museum Albert Victoria Museum , 10 minute Harrods Knightsbridge shop . near tube Gloucester Road right beside Hotel . locally area great , load lovely place eat shop . Tesco 's opposite tube Waitrose equally close , perfect breakfast etc . eat fantastic steak restaurant call Black Blue - good steak ever taste . there two Holiday Inn Hotels Kensington , nearby probably nice hotel confused booking . however , reviews site refer Holiday Inn high - rise monstrosity think unfair . 27 floor hotel look individuality boutique - forget ! overall , money , location , piece mind know go clean comfortable , look far . I fussy trawl internet look London hotel , goodness know brave enough book secret hotel room . regret would definitely recommend . 
 Nov 28 2006 	 perfectly adequate ; excellent location 	 stay 4 night - November 22 - 26 average rate 75GBP night exclude breakfast . good London IMHO . room 5th floor tall bunker like hotel building face Cromwell Road . view good south room surprisingly large , small refrigerator , desk , TB double bed . bathroom 4 piece ... quite adequate . clean service promptly every day fresh linen towel . black - out curtain excellent . I will pass minor issue tips- room appear disco .... consequently Friday Saturday night bother thumping musis . also get low rumble traffic . earplug sufficient mask problem.- breakfast outrageously expensive even 30 % discount offer time check - in . turn eat instead nearby cafes.- Gloucester Road tube short walk away direct line Heathrow . convenient.- hotel main entrance hard find - exit Gloucester Road tube station , turn leave onto Cromwell Road , walk past mall Waitrose sipermarket take first leave . Cross street keep walk past hotel loading dock area . entrance right three quarter way block . - good internet cafe opposite site Cromwell road hotel , east large italian restaurant.- November excellent time visit London - summer horde tourist , lot time wander around sight problem get discount ticket show . 
 Nov 25 2006 	 Good Location 	 get back 7 nite staty hotel . location great , aroung corner tube . room small , clean , bathroom spotless . get good rate $ 90 nite thru hotwire . nice frig room , buy juice croisant morn local store store . , nice experience . 
 Nov 25 2006 	 solid hotel great location 	 also book hotel Lastminute.com , 4 * star & quot ; secret & quot ; hotel promotion . boyfriend stay 4 night book hotel one night find hotel ' m book read good review ( positive time ) decide make second booking three night . unfortunately not able book king size bed second book quite afraid moved twin room first night . arrive hotel receptionist ( pleasant chinese girl ) greet we smile confirm reservation . tell we would problem find king size non - smoking room view ( requirement mention reservation lastminute ) we . say could handle smoking room view even twin bed . call manager help lady give we room 4 night top floor king size bed , view scent smoke . could not satisfied . room quite small size expect hotel London not really bother we . view could possibly well London Eye Big Ben horizon . bed comfy , bathroom clean modern . shower pressure bit low 's price pay top floor well worth ; - ) instead minibar empty fridge come quite handy beverage , doubt would milk minibar ; - ) tea coffee making facilite iron board great bonus expect room . the staff friendly , smile always greet we . also not give hard time , not fake anything ; - ) location hotel perfect . 100 metre tube . 3 line & quot ; Gloucester Road & quot ; station , one take directly piccadily Circus Leicester Square , one go London Bridge Tower Hill . less 20 minute will heart London . downsize hotel see cost breakfast , price £ 15 full english breakfast £ 10 book advance . definetely find something cheap meter hotel . could not spoil overall satisfaction hotel . not sure 4 * rating stay great suprise need meet 100 % . 
 Nov 21 2006 	 2 4 star 	 agree previous review . also book Lastminute Top Secret Hotels . description ' ideally locate 4 * hotel panormaic view city ' sound perfect . actually get 2 * experience view ahotel across street . we book double room receive confirmation . arrival allocate twin room call enquire change tell record request double room non available ..... click ..... room uncomfortably small tired . minibar toiletry bathroom . disappoint ' 4 * hotel ' , husband point - 's Holiday Inn , expect ? advice would spend extra pound stay somewhere nice ! 
 Nov 20 2006 	 Shabby room basic faciltie - way Four Star hotel 	 book hotel lastminute.com ' top secret hotel ' service .... wish not . see hotel list & quot ; modern hotel , ideally situate Kensington - 4 * - London & quot ; please avoid ! check - in allow 2 pm , get reception 220pm deal lady ' Laura ' badge . mention book lastminute.com say 2 room available . ? ! , twenty minute allow check hotel 900 ( be nine hundred ! ! ) bedroom 2 available . obviously Holiday Inn 's customer less important other ... even though book double recieved confirmation Laura decide give we twin . thank . room ( room 1702 ) pokey , drab stuffy . flush toilet not work produce trickle water . fridge mini - bar , toiletry bathroom except refillable soap dispenser screw wall . acceptable hotel bill 2 even 3 star , way 4 star hotel . basic , uncomfortable hotel . 
 Nov 19 2006 	 great place stay London 	 husband stay double room six night month Holiday Inn Kensington Forum . initially , disappoint small size room , adjust , time leave , wonder initially concern ! room immaculate bathroom wonderful . everyone mention , location perfect sightseeing . purchase 7 day traveler card $ 42 US arrival Victoria station , allow we unlimited use tube / bus system . pay several time , plus , easy scan card deal ticket . also save we $ 6 Thames cruise Greenwich . our Hotwire price include breakfast , several restaurant nearby , hotel reasonable coffee / crossaint deal . so , get good price , would not hesitate stay . mention another reviewer , many airline crew stay hotel , airline crew minimum standard hotel contract , be pretty good sign hotel ok.enjoy London trip - can not wait return ! 
 Nov 10 2006 	 wonderful Value ! 	 wonderful value great hotel convenient spot . travel alone feel safe comfortable . room small 's way U.K. immaculate ! good shower , comfortable bed . 2 people room will not able leave suitcase open took need next day . able stop take nap get tired Tube station , grocery store , restaurant drugstore literally around corner across street hotel . 's plenty neighborhood . Harrod 's good walk street 's load see walk . Victoria & amp ; Albert Museum Science Museum also walk street . the conceirge great get van Heathrow day come home . 17 pound well worth . drop right airline hassle . would definitely stay . lot pilot & amp ; stewardess come go . friendly , accomodating . 
 Oct 30 2006 	 Great Standard Hotel 	 book Hotwire able get hotel $ 85 / night . admit , way go ( either use Priceline Hotwire ) unless book part package . not expect provide breakfast Hotwire / Priceline booking ( see previous post ) . fact save least $ 100 / night compensate get breakfast elsewhere , mention well overall dining experience . room fairly small , expect outside North America . want able importantly room : - clean- quiet- bathroom appear update recentlyThe hotel location great . block away tube , be still zone 1 , make convenient get central area sight . couple supermarket close , V & amp ; museum . neighbourhood upscale , safe walk around hour . be travel couple , necessarily look romantic hotel , one close everything , comfortable , good choice . London extremely expensive , be able find good deal priceline / hotwire score hotel , will not disappoint 
