rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Mar 28 2008 	 teeny room nice staff 	 stay mandeville acouple week ago work . 's nice hotel wonderful area london - feel good part . immediate neighborhood wonnnnnderful - marylebone area , central feel everything . end big walk around tourist center london , everything walk distance be hearty walk , hotel . also tube convenient.the hotel nice . staff incredibly nice , friendly , helpful . room small . know ' m annoying american complaining room , live nyc ' m use small ! small . foot around bed desk squish basically . , honestly problem , , totally fine . cosy even . shower kinda awesome . two people would trip . decor nice , except overwhelming curtain . , , still nice , lobby nice well . would stay , definitely , could spend time ' hood . 
 Mar 25 2008 	 fantastic experience 	 stay easter weekend 3 night love minute enter building till leave easter monday . very friendly check - in room ready upon arrival 1 pm ! room big expect , plenty room city trip , room much sleeping place . room street side second floor , even , street busy noice level acceptable , problem there . we english breakfast book deal wait 20 minute wait could enjoy continental buffet well , real problem . hotel full little queue saturday morning restaurant full soon , sunday already smoother . everybody good help soon possible . concierge helpfull well . bar quiet evening ever special friendly staff . the treat stay afternoon : book Men 's afternoon tea treat well good . really something ( immediately skip evening meal ) since weather not good thing make stay pleasant , full score ! easy traveller every single person hotel friendly helpfull stay perfect . 20 th stay London finally find hotel want go back , soon well . thank Mandeville , keep standard ! ! 
 Mar 21 2008 	 Great Hotel 	 come back 3 night stay Mandeville . hotel situate short walk form Oxford Street ideal shopping . breakfast continental surprisingly good . staff restaurant excellent . room standard one little small . also surprised tea / coffee facility room . overall enjoy stay . 
 Mar 10 2008 	 great ! ! 	 stay Mandeville one night treat away girlfriend . got good internet deal low expectation . hotel really surprise , staff pleasant efficient , twin room small expect breakfast good . outside noise front hotel , put fabulously central location . 
 Feb 24 2008 	 good location London ! 	 stay 5 night love moment check in . staff helpful room gorgeous funky little bar , location hand winner . block Oxford street Bond St tube station , surround major restaurant area - making perfect stay . we already plan next trip back Mandeville . 
 Feb 12 2008 	 Good Hotel Great Location 	 stay Mandeville February 2008 , attend meeting near Oxford Circus , hotel within easy walk distance central London . check - in efficient , standard room clean . back hotel , quiet , bed comfortable sleep well . room good short stay . room desk chair , easy chair , wardrobe good amount hang space generous supply hanger , bathroom small modern spotlessly clean . stay lot luggage , room could cramp , true many London hotel , fine small suitcase . breakfast good , though service bit slow , quite expensive . coffee excellent , make fact cook food cool time arrive . check - out efficient , staff pleasant . decor generally modern , though lift look though 1950 's slow . much fast use stair even upper floor . would certainly stay long could get room back : suspect front hotel busy noisier , confirm receptionist . location beat price expensive comparable similar London hotel . 
 Feb 4 2008 	 Good Location ... 	 go London fairly regularly location hotel really important we . book Mandeville pretty near Oxford Regent St etc . quiet , clean quite individual decor . firstly , disappointed although porter / doorman lobby , one offered help we room bag ( especially 2 lift go different part hotel cause confusion .. ) anyway , eventually find room astound small ! ! actually find easy get change one time not enough room around bed we ! ! bathroom nice teeny ! not get glass bathroom door ? ? ? ? friend stay twin room fairly decent size . ridiculous feel like hotel try cram many room possible . shame overall effect hotel quite trendy , clean , well appoint could good boutique type - not quite make . ( also , room not tea / coffee facility bit mean consider price ) . not book breakfast book room plan change go downstairs want light breakfast coffee tell room ! 
 Jan 23 2008 	 Great Hotel 	 get great deal expedia hotel . excellent location - 2 minute walk selfridge & amp ; oxford st . highly recommend . 
 Jan 22 2008 	 nice surprise 	 stay Mandeville Hotel 4 day , 3 night ( 17/01 - 20/01/2008 ) .service personnel correct friendly . room , elevator bathroom indeed small nicely decorate - design . we small problem room : lot draft come window result bit chilly room . luckily solve use little heater room airco ( warm lot ) .english breakfast ok - quite lot choice able order anything extra menu without extra cost . I would go back hotel would opt big room bathroom . 
 Jan 15 2008 	 Wierd smell ! what s area paint horrific red ! 	 odd hotel opinion , Rooms nice clean small . reception area pretty good . issue dark , narrow corridor get room bizarre area next elevator paint blood red . need pass area several time always unsavory smell . third stay hotel ( good value location ) horrid smell bad & quot ; feng shui & quot ; strange bright red part hotel mean will not return . 
 Jan 13 2008 	 Pleasant stay problem 	 return two day stay Hotel . staff pleasant helpful hotel spotless . upgrade deluxe room room fine bathroom extremely small . we turn away bar large party . good pay guest . the hotel ideally locate Oxford Street shop . we would probably stay 
 Jan 8 2008 	 average delusion grandeur . 	 OKish London Boutique Hotel , reasonably friendly staff , well decorate . would return . 
 Jan 4 2008 	 lovely Mandeville ... 	 great hotel look clean , classy accommodation funky edge ... location hard beat ; good selection restaurant shop Oxford , Bond Regent Streets stone throw away . hotel bar definitely worth visit greet friendly , knowledgeable staff ... pleasant change hotel boutique category . upgrade deluxe room super bathroom walk shower separate bath . I already plan return trip Spring . 
 Jan 3 2008 	 Good Experience 	 stay Mandeville Hotel Christmas great experience . book hotel recommendation friend , little hesitant due many mixed review website . staff hotel could nicer accomodate . location nice , right Oxford Street near Selfridges & amp ; , quiet due location rear St. Christopher 's Place several cafe , pub , restaurant nearby . the room rather small , comfortable neccesitie . would definitely recommend hotel other , despite mixed review . 
 Jan 3 2008 	 Fantastic Hotel 	 hotel fantastic décor , modern funky quite dark colour choice – love , although may everyone taste . we normally visit London shopping theatre – hotel ideal that . it 5 minute walk Oxford Street fantastic choice restaurant practically doorstep . all staff encounter extremely pleasant helpful . one thing mention size room , opt simply standard room although love décor – find small . say , use hotel two day stop fly Singapore , huge suit case we generous amount shopping do – little room we manoeuvre . however , visit London , would stay Mandeville , price seem good enjoy high standard accommodation hotel provide . 
 Dec 29 2007 	 nice 	 central location tuck alley pretty difficult find . hotel decor nice staff friendly . small cosy room husband . portable water soapy though , not even dare drink ! overall nice experience . worth stay . 
 Dec 3 2007 	 Unique Hotel 	 friend husband book hotel 40th birthday know would love decor individuality . arrive Friday afternoon throughout entire stay hotel staff friendly , respectful happy accommodate we every way . room small beautifully design , downfall tea coffee make facility room . overall great hotel would definately stay . 
 Nov 20 2007 	 Pleasant Surprise 	 give many varied review hotel gave try sometrepidation , pleasantly suprise . book one bedroom suite do not quite look like picture hotel website , well present , well equip comfotable . do not experience trouble other really please location . 3 minute Oxford Street inone direction close Marylebone village , plenty good resaurant every corner . cafe road unexpectedly modern fresh good coffee great muffin great place start day . really great place stayand would recommend other give try . 
 Nov 18 2007 	 great hotel West End 	 back one night stay Mandeville Hotel base upon experience , would recommend unreservedly . reception staff polite , attentive friendly . large , well equip room , noise traffic night hotel 's fault . choose continental breakfast excellent . wide range choice ( fruit juice , cereal , fresh fruit , yoghurt , croissant , delicious roll , cheese , ham ) plus tea coffee . a full english breakfast available ( extra cost ) alternative continental breakfast delicious glad pay extra . staff first class general surrounding nice .In summary , hotel first choice come London . excellent quality value money . 
 Nov 16 2007 	 beautiful boutique hotel 	 stay Mandeville Hotel tour Italy 10 day absolutely wonderful . room beautiful toiletry Penhaligon 's White Company . ( love much buy store bring back New York ) . people reception desk helpful concierge excellent friendly . location could perfect . close fine restaurant cafe wonderful store like Selfridges Marks Spencer . stay hotel 10 year ago recognize ( elegant ) . definitely back hope return family member next year . way , lovely art museum call Wallace Collection minute away . must ! 
 Nov 16 2007 	 Joke 	 live Marylebone boiler break heat hot water 4 month old baby decide get hotel room couple night since -5 degree ! ! reception pleasant , rest place indeed HokeyFirstly , scald shower morning . something wrong plumbing think room , 412 , endemic throughout building . call maintenance came tell shower another time - many people shower time cause problem . since , hotel area book , choice , continue stay . problem happen later . take shower every couple minute scald hot water would shoot tap jump away water get burn . secondly , call room service ask something menu , example , pitcher tap water , yes death bring glass water . food portion small , chip cold , impressed . thirdly , main lift break take secondary lift use set small stair get room . big deal unless baby , baby carriage , lot luggage .... finally , flat screen tv brag ad soooo small . could not watch tv bed . also , tea kettle room promise . need tea kettle boil water baby food ! ! anyway , know get bc family colleague stay hotels area read tripadvisor review helping choose place stay know hotel sub par . unfortunately , hotel area availability ( know ! ) Jurys Ford around corner cheaper much comfortable ! Stefan hotel manager give 30gbp per night shower issue that s equivalent bucket water niagra fall 
 Nov 13 2007 	 Misleading 	 spend evening hotel 31st . specifically book & quot ; deluxe & quot ; double room website state ' separate walk - in shower & quot ; . alas ' separate walk- shower ' find , find rather cramp bathroom . 's nice hotel , feel little cheat ( Londoner small room ) confirm unfriendly , chaotic receptionthat ' Deluxe & quot ; room . even send email since , response obviously return customer part vision . one thing , Lcd TV 's rather pointless really see stand 6 inch away . try watch pay per view movie bedbut give like sit back row Wembley . also opt afternoon tea , look great let waitress 's ahd know idea tea , serve cold without let brew . well avoide , especially know 's London , could hotel equivalent Aberdeen Angus Steakhouse . 
 Nov 3 2007 	 Good Location 	 stay one night Mandeville room comfortable , bit small , excellent location . lot cafe , restaurant , bar literally doorstep , close tube theatre . find service good , friendly helpful . excellent bar , Mandeville cocktail gorgeous highly recommend . on downside breakfast bit sparse , great deal choice , could better especially price . 
 Oct 31 2007 	 lovely location shame food 	 take mum London see show etc book Mandeville special rate Bookings.com . location Hotel fabulous , five min walk Oxford Street wth Marlybone High Street shop nearby . cost £ 7 Taxi get theatre , £ 10 station central . the hotel meticulously clean modern , kind rococo meet Starck design . reception staff , fact staff , friendly , helpful polite - even check early grumble . our room double , small nicely decorate , two petite double , one disabled access , tiny bit small double . bed comfy room boil even window open . noise level minimal , average corridor toilet flush etc . book table restaurant although staff try hard , badly organise food service reflect price . wine expensive calibre offer - would suggest lovely though surrounding may - get walk Wigmore Lane well choice value . breakfast extorionate wait far long - coffee shop close open morning well value . would book stay rate offer - good service feel well look . 
 Oct 29 2007 	 bad service miserable cause location great ! ! 	 stay Mandeville last time visit London . business - trip , company 's HQ close Mandeville . young , single woman , treat poorly staff . guess not look & quot ; important & quot ; enough . review , seem hotel not appreciate young guest . the doorman ignore , ask luggagestorage , actually make feel embarrassed ask . strange experience ... wait 20 minute seat breakfast , finally seat completely ignore staff . everbody around get whatever want ( raise hand , make look like pupil ) fifteen minute actually go pantry get juice , coffee etc . advice order breakfast . definetely worth price ! interiours location great , think bit old ( 25 ) treat respect ! 
 Oct 28 2007 	 thrilled mandeville 	 take chance Mandeville review seem ok , location good , price ok suppose offer . my feeling leave hotel service spotty . sometimes excellent - sometimes WAY . room really nice . junior suite , large mean , comfortable . bed firm , bed nice , bathroom hip . storage room , save armoir - ish type thing , since stay week , really not allow we unpack properly . drawer . live suitcase week , not enjoy travel . bathroom , cool looking , room put & quot ; thing & quot ; . everything go back toiletry bag morning night.staff good bad . one concierge - ian - fantastic . other not know restaurant , direction , etc . grant , london big city , ask well know place / restaurant city fellow talk clearly not hear place talk . odd hotel price range.the bar fantastic . cool decor . one bartender , milan , make stay extremely fun . stop night nightcap , always remember want drink , etc . other , night italian friend not work disintereste act bother make drink.the experience food hotel learn room service available 7:00 . departure date , leave hotel 7:00 coffee option . imagine business traveler , try get morning , would struggle this.location fantastic . other say , minute bond street station ; restaurant , shopping , pub everywhere , nice walk mayfair . enjoy london , stay mean unpleasant , would stay madeville . money , perhaps little , well service available london . 
 Oct 23 2007 	 lovely hotel great location 	 stay hotel night recently . room really lovely comfortable nice feature . quiet ! bar staff nice , small quibble would reception staff bit disorganise / not friendly . location hotel absolutely fantastic . within 10 minute walk Bond st tube station , oxford street beside wonderful street ( james st ) fill variety restaurant .. french , italian , spanish etc . 
 oct 22 2007 	 Pokey room great location grossley overprice 	 great location great bar , otherwise little recommend it . room small swing proverbial cat , bathroom well past designer well .... boy pay nose late booking . 
 oct 9 2007 	 Accessability value 	 wife stay 3 night September find hotel clean , tidy well manage . location excellent ( Marylebone ) discover London , breakfast satisfactory tariff reasonable , give cost london accomodation . room acceptable albeit small staff helpful . review 7 8 hotel region unable get prefer one acceptable substitute . want reasonable good accom . heart London affordable price good choice . 
 Sep 12 2007 	 eventful stay Mandeville hotel 	 search internet hotel Bond Street area come across Mandeville seem cheap consider star rating . personally prefer small hotel feel personal large hotel become number rather person . on arrival hotel , greet helpful man red coat door . show check desk wait okay , give room number card receptionist point lift tell floor go . ask question get abrupt answer , feel person behind desk could not wait get rid I . the room pleasant . settle find thing work phone reception promise pass comment maintenance . man arrive door pleasantly suprise knew name ! tell tv working ( unplugged ) could not access internet lap - top . maintenance chap helpful showing use internet change computer setting . on thhe first morning , wake lot foreign voice outside door , upon investigation appear cleaner . on second day decide visit bar hard meeting , serve spanish sound chap find pleasantly make drink much enjoyablethe rest stay uneventful . I would recommend hotel friend colleague hotel enjoyable . 
 Aug 30 2007 	 good staff ! 	 okay , quite ago stay hotel , recently begin write review Mandeville Hotel never leave mind . the hotel nearly full book last minute trip London . end fairly small room , quiet bed extremely comfortable , compare one Greece , sleep like baby night . also find marble bathroom quite nice nearly large bedroom itself . each morning eat breakfast hotel . excellent coffee nice selection fruit , cheese , meat , cereal pastry , along large ' hot breakfast ' menu care anything else additional cost . the hotel wonderful location walk around shop , restaurant tube . evening return hotel , stop bar nightcap . first night bartender remember name drink send could barely sit ! nice barman ! overall , find staff gracious friendly , doorman help bag taxi , front desk check we , concierge help restaurant concert reservation . sure Gary still , memorable eagerness make sure enjoy . great guy ! say downside would roomservice wine selection , knowledge , not bad . the next time ' m London will not hesitate second book hotel ! 
 Aug 29 2007 	 good location bit pretentious 	 book last minute.com get double 2 night £ 238 . hotel really perfect location nr lot small cafe restaurant al fresco dining , couple min walk Bond St tube Selfridges . room small other less money . nice decor . tea coffee . small bathroom dodgy hot / cold control tap shower also intermittent pressure , shower also flood bathroom can not shut bathroom door properly . 8th floor- nice light also quiet . staff- reception brusque concierge helpful . professional hear criticise client openly . all- good spot , room improvement bit ponsy . 
 Aug 24 2007 	 Donnie Darko hotel always good 	 not like give hotel good review , ' m afraid word get , will not able get room good price anymore , must give credit 's due . get rate around £ 130 / night include continental breakfast , Aboutrooms.com . hotel website also special price , not include breakfast , be £ 15 dearer . someone tell always try ring hotel direct well rate , not work . rang , tell cheap room book , offer much dearer room . decline , succesfully book cheap room online . not like , think reservation line central location , hotel . maybe be commission ? 's handy location , behind Oxford Street , 5 minute walk Bond Street tube station . get hour Heathrow airport one change tube , pound , save big money taxi / other train . immediate area around hotel full lovely restaurant , serve kind food . hotel 's restaurant nice , look Donnie Darko rabbit / alien thingy corner ! anytime ' ve stay , 's & quot ; superior double & quot ; , hotel call . always lovely condition , immaculately clean . bed big comfortable , time , even nightly turn maid , check room , fix bed , leave we two little mint . one complaint would tv small , maybe 19 & quot ; , even , 40 & quot ; plasmas . also , range channel not great , everything else good , not really mind . marble bathroom also great condition , spotless , great , nothing put room quick manky bathroom . time , experience shower rise / fall pressure , not much , plenty power overall . room always nice quiet , much sound neighbouring room get . time though , electric hum noise come wall behind bed , bad enough request change . the staff , experience excellent . always say hello go reception , helpful . ' ve stay several time , every time , be good , leave feel book forget , not need spend hour pore Tripadvisor website hope not book dump . , would say genuine 4 star hotel , see good price , book enjoy . 
 Aug 23 2007 	 not love not hate . 	 first , book twin room end double , might travel agency , although claim 's hotel mess up . my big problem hotel : ) paperthin wall - could clearly hear people adjacent room , b ) size room - not enough room 2 suitcase floor open , c ) lack basic small table lie suitcase - room - toilet brush ( ! ! ! ) toilet door could close ( ! ! ! ) , ) lack free internet access room - charge 5.50 pound per hour average cost internet cafe around 1 pound per hour . provide free wireless access reception , one use internet sitting midst people carry suitcase come go . wireless signal tight , one could not go room without lose . e ) selection breakfast tiny , although admit pastry tasty . sometimes staff take forever bring coffee well toast one order - imagine would make warm . toast never warm ! f ) staff warm friendly ( exception ) . seem think need carry way would match hotel 's excessive design , uncomfortable stiffness . ( unless spanish think , since staff ) . 
 Aug 20 2007 	 want go back ! ! ! 	 mum spend 2 fantastic night hotel . admit couple minor inconvenience let fly straight head staff make . decor lovely bright throughout hotel . do not worry glass bathroom door - not clear people can not see . evening maid provide weather forecast next day along chocolate lovely touch . spirit little pricey 50ml ( double ) measure . find one 2 drink strong enjoyable though maybe staff serve measure feel approximate 50ml . we eat DeVille restaurant fantastic meal . quiet preferred . 2 course £ 18 3 £ 23 ! ! ! lamb veg slice potato cherry parfait coat white dark chocolate . yum ! ! superb food , presentation , service , atmosphere great price . highly recommend ! also recommend Waggamama 's ( turn leave outside hotel reception , right light see leave ) . experience . like one big canteen . place always busy clearly popular . service quick turnaround good place leisurely meal certainly enjoy lunch . try duck leek dumpling . good thing taste . reasonable price approx £ 7 per dish . the location hotel brilliant . 5 minute stroll Bond St tube Oxford Street lot . go back hotel simply staff wonderful . could fault single one . special mention go Richard , Kenny Antonio . I can not praise hotel staff highly enough . 
 Jul 27 2007 	 great hotel great location 	 book hotel use airmile stay overnight live earth concert reading review ! 1 night cost £ 50 decide stick hotel hope thing change . arrive 10 am , way normal check time , problem , without ask , room make ready we straight away . wonderful since 5 am ! room small , similar size one stay early year Waldorf . however QUIESTEST ROOM ever STAYED LONDON , OUTSIDE NOISE NOISE GUESTS . fantastic night sleep . would highly recommend , particularly room , 806.The downside slow lift lack tea coffee make facility . highly recommend 
 Jul 18 2007 	 Stylish well locate Hotel 	 recent comment website , surprised negative comment service hotel find staff extremely welcoming , helpful efficient , particularly excellent doorman ! room good size part London ( Deluxe double ) , exceptionally clean stylish . downside lack iron / trouser press tea / coffee making , live night 2 ! location perfect , nice quiet part London , away lovely restaurant cafe Marylebone village . have book 1 night go see show Piccadilly Circus decide walk , 15 - 20 minute nice walk lovely shopping area . regard price bar , yes agree , expensive pay £ 18 2 large g & amp ; Ts , , London ! continental breakfast inclusive package , superb , definitely plenty set day out . overall , please Hotel would definitely return . 
 Jun 27 2007 	 Loved Mandeville 	 back stay one night Mandeville return . check prompt soon lovely bright airy corner room every convenience need . hotel lovely quiet road short step Oxford street . concierge helpful recommend restaurant nearby dinner lovely . we return hotel . 
 May 30 2007 	 lovely hotel great location 	 wholeheartedly agree review post 27 2007 . lovely hotel previous comment baffle I . the hotel ideal location - taxi Kings Cross take less 10 minute cost £ 5.60 . couple minute walk Oxford Street Bond Street Tube station . several bar , cafe restaurant local area . the room pleasantly furnish modern - look exactly like picture hotel 's website . Toiletries White Company provide . air con work well - room initially warm air con soon sort . mini bar room service , cost extra . not tea coffee machine provide unusual - coffee room service cost £ 3.00 . stay room comment quality breakfast , believe cost £ 15.00 . instead go french deli road breakfast . also try restaurant bar . the staff helpful always greet smile . concierge go run street pour rain flag taxi , next day come straight away help we bag . I get good deal internet rather book directly hotel - pay hotel 's ask price would probably expect little , otherwise fault hotel . 
 May 27 2007 	 Superb - Shocked expect terrible stay . 	 book one night go theatre mother . request First Floor room use lift . read review wish have not book , contrary check check , stay perfect . reception staff curtious gracious carry bag stair . room superb , facility . bed blissfully comfortable . evening rain consierge run Wigmore street hail us cab Shaftesbury AvenueWe take bottled water read thi facility refreshment room . do not touch mini bar would never anyway , expect price exorbitant anywhere . real negative room little warm would like . we would return hotel . location beat 3 minute walk centre Oxford Steet staff Mandeville delightful . 
 May 21 2007 	 Style substance huge attitude problem 	 stay one night Saturday , eat restaurant spend small fortune expensive bar . Decor funky room clean 's thing place get go it . room extremely small , not problemThe service level hotel quite frankly appal . start ok check , go downhill fast . restaurant staff absolutely hopeless . one example order side vegetable meal not arrive , remind get four time amount order . take several attempt get order take first place , tell waitress ' do not really know , food usually work bar ' . well least honest ! staff quite poor english language know problem London , really much . breakfast joke . no - one explained system work request everything least twice . orange juice run 9.45am ( breakfast run 11.00 ) , apple run finally pineapple . sit stick hand air endlessly every single bit breakfast ( include basic tea coffee ) also appear new staff tour go . point stare various group young people bring decor discuss . to add insult injury , go walk round area ( fantastic location can not disagree ) enter hotel stop man uniform simply say & quot ; yes ? ? & quot ; block way reception . looked say ' what be ? ' raise voice we rudely say & quot ; guest ? security check - benefit & quot ; . later find 's manager . think say . leave feel angry treatment . hotel really think something special , ' m afraid . 
 Apr 29 2007 	 Lovely Hotel - exceptional level service 	 also read poor review hotel already book rather worried arrive . however stay great , staff could we . attentive accomodate . amazing decor hotel general although room small ( often boutique hotel ) design high level . reception staff friendly well bar , restaurant concierge staff . I would recommend hotel anyone certainly stay soon . 
 Apr 25 2007 	 much well anticipate 	 read many quite damning review ( particularly regard staff ) book pay hotel expect bad . however minute concierge open taxi door arrival , time find we taxi departure treat utmost courtesy friendliness staff . we offer upgrade room decline . room allocate , mention reviewee , small . however functionable , clean , well decorate maintain perfectly adequate couple night . sure upgrade room big . the big selling point hotel location , want near Oxford Street fantastic . close enough unload shopping day ! also many bar , restaurant , cafe , pub etc within close proximity , spoil choice ! reason friendly courteous approach staff meet would definitely return . 
 Apr 19 2007 	 pretty decent stay 	 wife stay one night . pick hotel location , yes excellent location . reception staff bit cold alright not bother . porter concierge make , helpful nice . the room small , even though book superior double ( would liked see standard double ! ) . Decor wise , can not fault . bathroom tiny though shower nice lot hot water . the bed quite uncomfortable though , back ache follow morning . we eat hotel , preferred wander around area find nice eatery . say would actually stay hotel , location spot room clean quiet . 
 Apr 18 2007 	 Nice Hotel 	 girlfriend stay Mandeville three night early March , enjoy stay . location perfect , nice area plenty shop , bar , restaurant within walking distance . also short walk Bond St tube station , wheel luggage street fairly easily . hotel clean , staff nice . review glass door bathroom true , little weird problem long 's first date . room pretty small expect problem price location . leave coat room checkout staff helpful shipping back US . would recommend hotel other would stay . 
 Mar 26 2007 	 People beware * please Read * 	 may already read review bad hotel ... 's true . I partner go London call romantic break , , ' wait get hotel fast enough ! ! ! ! ! ! seeing pay £ 300 2night upgrade offer arrive another & amp ; £ 50 ' sNot even Tea coffee room . room décor clearness say could fault . but still worth price ! ! ! young couple appalled way feel discriminate , young couple bee aware ! ! ! felt look nose themone night ask concierge could get we taxi tell we romantic restaurant could book we , oh 's reply & quot ; taxi get side restaurant not know ' good & quot ; shrugged shoulder walk Rude ! ! ! ! also warn price drink barMartini & amp ; Lemon Vodka & amp ; coke- £ 19.00 staff apart doorman cleaner polite . breakfast wait 20min get seat , seated left , basically stick arm like school serve ! ! ! ask tea , coffee toast , partner ask full English still wait 40mins later waiter ignore we walk pass . but yet old couple offer manger want full English ! ! ! ! ! also staff shout manger get rubbish continental second morning ! ! ! ! ! say please stay clear ! ! ! ! ! ! ! 
 Mar 20 2007 	 Apalling Attitude 	 hotel definite attitude problem ! maid bellboy efficient , polite friendly , reception staff ; dear lord ! obnoxious attitude . they make feel welcome slight , give cold reception belong . room small shower constantly go hot cold enjoyable , lock bathroom door . get show table morning , yet contact . one bring we tea / coffee ask twice . take half hour arrive . food rather poor too . the bed room comfortable concierge help direction etc hotel brilliant location - Oxford Street . however , would book hotel definitely value money . reception staff absolutely appalling . review right . whilst hotel positive , not weigh negative . not ignore review visit like , really poor hotel standard think deserve . 
 Mar 2 2007 	 great hotel 	 stay one night mid week daughter . Got reasonable B & amp ; b rate via lastminute.com twin room . reception staff friendly efficient check check . arrive early , room ready able check straight away . room fine , clean , nice furnishing reasonable size . Buffet breakfast good - plenty staff duty attentive coffee re - fill etc . good range fruit , cold meat , cheese pastry etc . location fabulous , staff friendly helpful . would certainly stay would highly recommend . 
 Mar 1 2007 	 superb hotel great location 	 partner book 3 night directly hotel , last minute booking , think would pay full price room . however , call make book reservation staff able give discount rate standard double room . get , lobby clean beautifully decorate fresh flower . gentleman check we helpful ' see room hand happily take we quick tour room available . see standard double 8th floor really great view London . understandably ' overlook Nile something magnificent , Londoner , live street level , ' always great city view . bit small good enough . also show jnr suite , gorgeous deluxe double offer £ 25 , upgrade . GREAT TIP : ask room 412 be book deluxe double . ' corner room much large deluxe double nice view old church across street . stay pleasant staff helpful . unlike review none staff rude aggressive . another great TIP : lobby doorway pink dresser , lead seem like secret passage ( red carpet red decorative highlight ) sumptuous lebanese restaurant & quot ; Levant & quot ; .It ' associated hotel access lobby ( less adventurous , front entrance side building . ) ' like ambiance hotel bar , give go . also see hotel decide anticipate smoking ban London 1st July , ban smoking throughout , ' another good reason sneak Levant shisha ( perfume tobacco pipe ) .I think good understand review always take pinch salt ( hey ! probably even one ! ) people leave tend different taste expectation . many aspect review negative , ' great time would recommend hotel everyone . 
 Feb 22 2007 	 terrible attitude 	 check problamatic staff able find booking . check take 20 minute room charge mini bar bill - minibar room ! ! room ready arrive wait bar , tell remove luggage bar area manager - extremely rude . perhaps room ready cloakroom / porter arrange luggage would bar . the hotel room small glass bathroom door little embarrassing sharing room friend . the air conditioning break room freeze cold . also constant bang system night , much sleep . whilst drinking bar , small group people adjacent force leave one party smoke pipe . however allow smoke cigarette ? ? ? therefore suprise bar rather dull lifeless . I would never stay hotel . 
 Feb 21 2007 	 disappointing waste money 	 hotel disappointment arrival departure . hotel staff ( exception concierge ) rude unhelpful . General Manager downright rude unpleasant , guest staff make uncomfortable time . bar lovely look lack ambience whatsoever , drink overprice . restaurant beautiful look not bother eat - food bland kitchen provide acceptable rare steak - abissmal , help bore incompetant staff . problem room malfunction a / c - expect help maintenance staff . advice go somewhere else . 
 Feb 21 2007 	 Steer well Clear unless Enjoy treat like 2nd Class Citizen ! 	 stay hotel suppose memorable . advertising sister hotel Pendley Manor Hotel Tring ( incidentally gorgeous fantastic service ) promise lovely stay . ! weekend ruin almost immediately upon arrival . whilst waiting check go DeVigne Bar get drink sit ( two party pregnant wish rest journey ) . sit , become aware General Manager bark order another member staff . become apparent extremely upset luggage ( consist 6 overnight bag ) bar area . two party stand move approach General Manager aggressively growl - quote – " move luggage – upmarket hotel – want luggage bar " . abruptness , rudeness complete lack tact offensive thought would easy find another hotel would charge leave one , would left straight away . bear mind bar empty luggage cluttering walkway see luggage problem . indeed , tell could take luggage bar would do . every time see us incident sneer we make everyone feel incredibly uncomfortable . we stay " Memorable Occasion " deal admittedly good price . however , evening meal DeVille Restaurant poor scratch " four star hotel " . pay full price would disappoint . staff DeVigne Bar also rude . adjourn meal , order ( overpriced ) drink include two coffee practically reprimand order restaurant . sister feel like naughty school child know well . despite , hotel décor beautiful majority staff include check - in staff concierge credit otherwise shameful hotel . travel around world stay many different star hotel – many much luxurious never ever treat offensively obnoxious people . would recommend hotel bad enemy – unless course like treat like second class citizen – experience ruin otherwise fun weekend would never come back hotel . 
 Feb 21 2007 	 Nice Decor Shoebox ! 	 try get reasonable rate hotel try book direct tell one superior left pay extra get deluxe another £ 30 . nearly fall choice hotel , think would try hotel booking firm online . next day , hey presto get superior room breakfast £ 10 cheap room price online telephone reservation . the hotel great easy get location , good cafe , good bar restaurant around quick Tube journey tourist nightlife wish . room nicely finish good quality furnishing fitting , small ................ enough space get around bed side bathroom like downstair cloakroom ! aside note finish hygiene excellent . downside , drink look like complimentary bottle wine leave ! £ 17.50 half bottle ! ouch unwary . ( good range shop locally sell much cheap ) breakfast good service poor . run around guest pay extra top hotel room breakfast , whilst left feel second class least 4 trip waiter / waitress past us wave get attention order toast tea ! , money pay complain . 
 Feb 19 2007 	 Lifeless shell obnoxious staff 	 hotel decor lovely look deceive . General Manager rude obnoxious . even point imply friend good enough stay hotel . staff unorganised dismissive . hotel bar restaurant lifeless overprice . waste money hotel . 
 Feb 13 2007 	 great location shame staff ... 	 hotel lot go - great location , surprisingly good restaurant , decent room superb concierge service . however , rest staff generally abysmal . book B & amp ; b rate , challenge , dining room . book detail able & quot ; prove & quot ; rather plain overpriced breakfast already pay . word apology anyone , mind . bar rather strange , expensive not serve drink midnight , even be resident ( ' ve never hear ) . despite 's great location , would not stay would recommend two concierge find job hotel , deserve well . 
