trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 may 14 2009 	 love stay Hudson - would not pay rack rate 	 love stay Hudson . love know be right . love huge flower pot . love peek - a - boo shower . feel New York stay , add ambience every part trip . that say , stay get great deal . every insult also true . not think could even sit toliet overweight . , favorite , last time charge $ 19.95 something ... not check . okay , sure , except really not take anything eat anything , etc . not care enough call remove charge , be something still remember ... last time DH go lovely nighttime walk . college ? 's charming neighborhood hotel hip fun . New York hotel market crazy could lot bad picking hat . 
 May 12 2009 	 wonderful 	 book priceline bid website .... read trip advisor review .... prepare worst ...... not know people stay review present hotel stay ! good pay full price room stay another day ! moment check service excellent ..... non smoking room ... 8th floor kingsize room yes small NYC ..... not spend much time room ..... clean shower loo .... yes compact .... seperate glass wall shower curtain modesty ...... use bar / night club cool yes drink expensive .... $ 30 two .... funWe breakfast ... excellent ..... $ 58 two well worth itMy husband lose cufflink find send we ..... rush room leave safe open ... load cash ... passport jewlry nothing touch .... say ? New York long cheap place city ? still worth visit great hotel ...... try enjoy ! ! ! ! ! ! 
 May 10 2009 	 tiny Room - Great Location - Poor Service = expect NYC Hotel ! 	 queen room totally agree review room small . bad except bathroom . tall person stay , could sit toilet without knee hit wall ! location great . 1 block subway , Near Central Park . service great . second day , leave one washcloth . get back room 10 pm , call ask one . say would send right . 30 minute later - call . finally arrive - almost hour original call - deliver towel - washcloth . third day repeat second ... except time leave washclothe . trendy . got $ 120 Priceline , well worth cost . 
 May 7 2009 	 great location smile staff clean small room 	 escalator take dark trendy Lobby lounge . sign - check - in desk face . concierge desk right . note : good place child since lobby convert lounge night course , escalator . staff wonderful - allow early Ck - in ( 11:00 ) Easter Sunday additional day book . young woman arrange room 4 day . wonderful since need shower change Sunday dinner 1:30 . room ( 1808 ) small frill , clean . accustomed live small space ( boat / rv ) be great couple . store bag bed . fact bathroom small reminded boat own . ( see photo ) internet extra cost $ 10 per day . fine since get room Priceline & gt ; $ 100.Location superb - Metro line Columbus Circle across street Time Warner Jazz Lincoln Ctr . there complimentary breakfast , next door Europa cafe b'fast food sandwich . 
 May 4 2009 	 location fantastic friendly staff 	 great hotel fantastic location especially first time visitor NYC anyone want stay midtown . great location near park columbus circle subway get everywhere . staff really friendly efficient . lobby fab . bar gorgeous bit pricey ! downside room quite small . 
 May 4 2009 	 friendly staff perfect room occasion 	 service hotel unbelievable . explain special occasion fiance celebrate upgrade bedsize also give we high room river view . absolutely wonderful . agree many reviewer rooom quite small , find cozy small . find anxiety provoke nicely set . lighting hall perfect . weird thing window room bathroom , although curtain could closed . may ideal extend stay New York , short stay think would perfect . 
 May 3 2009 	 lobby location good room small 	 Lobby lounge trendy good , however room look old small . internet extra cost 10 $ per day . hotel close Central Park Time Warner building . there complimentary breakfast . service average . 
 Apr 30 2009 	 Hudson great - really enjoy stay 	 booking hotel put various review ; say tiny room , noise factor , dirty , however know people hard please other take chance ! stay 4 night Mum love hotel ; location perfect Central Park , 5th Avenue Columbus Circle tube nearby . think hotel gorgeous look beautiful furniture , ' outdoors inside ' feel great , lively bar drink / dancing . also roof terrace huge outdoors space seating , bed lounge helpful staff . room small find perfect we ; not think anyone go ny chill room ? clean too . I would definitely return ! 
 Apr 28 2009 	 want somewhere purely base place great ! 	 read review Hudson prior trip slightly concerned go like ! minute walk door know review probably people expect far much hotel . staff friendly accommodate ( ask high floor could enjoy view ! ) . yes room small , yes bathroom small side big need room ? NYC see inside hotel room ? would agree people say Hudson could lick paint overall great experience . subway literally around corner - not afraid , people helpful ! noisy people suggest , may unlucky stay , 4 night could not hear thing apart couple siren , people expect stay middle Manhattan ! ? go stay NJ problem ! thing would say would nice breakfast include plenty place close ! would also nice A / c room 90 degree weekend ! would also nice WIFI include , think $ 10 day top bill bit steep . stay want somewhere base , 's place take young child grandma great ! 
 Apr 26 2009 	 great location hotel great 	 up - side : 1/2 block Columbus Circle , subway station , Central Park . walk everywhere UWS , Central Park , Broadway show . check - in / concierge / bell staff pleasant , charming chatty . get good deal Hotwire 6 night stay . on down - side : bar scene ( especially wknd ) loud 6th floor courtyard room . room tiny ' ve ever stay anywhere world . bathroom small anyone 5 ' 6 & quot ; could not sit toilet without bang knee wall . also , shower stall ( tub ) glass wall face bed might appropriate traveler - lover yes , friend and/or family ! room bathroom dark could not apply make - up . call Maintenance 3 time fire detector room hang wall wire one ever come fix . 
 Apr 23 2009 	 completely overate 	 arrive late evening - bellboy , rude check - in staff . bar noisy could not even talk check - in staff understand . Asked get top floor room - superior room , large broom closet . bad lighting , tiny , bouncy bed . terribly noisy , even though top floor . certainly would never go back - decor substance - build last . value money , even New York term . 
 Apr 23 2009 	 would stay 	 stay 4 night bathroom small husband sit side ways.cleane good loo roll do not clean room say would yhe next day go home . tip grat deli corner outside reasonable great food.try red eye good steak . 
 Apr 22 2009 	 nice staff slick lobby HORRIBLE HOTEL 	 lobby cool . restaurant bar fun . staff pretty nice . everything else : HORRIBLE . hall creepy dark make feel sort unsafe . reach room , get bad . if misfortune ever put room 549 Hudson hotel RUN not WALK find accommodation . face hideous noisy view air shaft generator . hot air blow vent even put air conditioning , shoot temperature intolerable 85 degree . plus , ' m vehement nonsmoker put smoking floor . soon realize , go back lobby politely ask change room tell nothing else available . wake 2 am gasp neighbor second - hand smoke unable fall back sleep rest night . upon checkout , make displeasure know manager -- , like rest staff , seem nice enough NYC standard -- compe free night one Hudson 's Deluxe room . honestly , terrible time not think could bring go back -- even free . 
 Apr 21 2009 	 Tiniest Bathroom Ever ! 	 hotel hip trendy . will feel like be nightclub hotel . room nicel decorate clean . size decent NYC hotel . however , bathroom whole story . actually sole reason recommend hotel . absolutely tiny . rather petite woman , could use restroom without leg hit wall . tall friend stay horrible time reason . top , well travel someone know really well shower show room . 
 Apr 20 2009 	 Excellent hotel ! 	 stay Hudson March 2009 one week great . agree negative review , great time Hudson . sure stay hotel prior make reservation , totally worth . room ( Superior ) small expect review , plenty room stuff ( go bath ) . interior foom bath nice stylish . go design architecture lobby , bar , library etc . Everythig look perfectly stylish . another point seem get negative feedback music . , agree . first , music hear lobby elevator . second , music loud ( not believe review talk & quot ; disco noise & quot ; ) . third , hear music lobby hallway room . contrast , room super quiet . another thing really like Hudson location . be couple meter away Central Park go run couple time morning . addition , find Hudson excellent start point discover city foot . staff lobby also friendly helpful , e.g . good advice concere run good . the thing get negative feedback price everything extra like drink , breakfast , lunch etc . , many cool nice location immediate neighbourhood ( check bar / restaurant / cafe 9th Avenue ) , not really affect I . I highly recommend hotel would go sure . 
 Apr 18 2009 	 happy experience 	 stay four night March . 25 minute queue book staff chat behind counter seem notice guest . area hotel gloomy . bedroom small wall - hung television could cause bruise . something would repeat voluntarily . 
 Apr 16 2009 	 well visit drink staying 	 stay Hudson wintertime visit hotel several time drink . decor bar area restaurant fabulous , perfect place go martini mingle / people watch . far stay , besides excellent location block Central Park , room TINY ! ! anywhere ny well size , ' ve find & quot ; trendier & quot ; place usually especially small amenity room feel old , spend money common area . well come drink . 
 Apr 15 2009 	 get expect 	 party 9 average age 60yr stay 4 night easter break . bit apprehensive reading review need worried . room small - yes , actual size give hotel website surprise - long go room anyway . able hang clothe , store suitcase , use bathroom shower fairly easily - sure tall people leave review problem . request high floor room noise apart street noise get NY hotel . staff great , front desk , concierge , bell hop doorman - help every time query . pricey eat drink hotel Flame diner corner 9th ave serve great breakfast rest menu look good , open 24/7 . good irish pub restaurant street ( coliseum ) serve good food drink kennedys around corner 57th st great value money dining room back bar . ideal location Columbus Circle subway corner Central Park next street . 
 Apr 13 2009 	 shame handy location extremely small room would go back 	 picky traveler mean , feel strongly , compel write review never write review . think stay hotel , not . people say room small , exaggerate . book hotel 100 night plus taxis Priceline , come 133 night . feel good deal time , consider location great , near Central Park Times Square . however , time add 55 dollar night parking fee , 10 dollar internet room size , deal . room accommodate 1 person walk around time . bathroom small sit sideways , knee hit wall . shower course also tiny , can not move around without rub shower curtain wall . room filthy , could clean . closet small , put luggage , put luggage around bed can not walk around bed . someone sit desk , get luggage , etc . bed low ground , hard comfortable . coffee pot refrigerator room , iron , hair dryer little iron board , good luck find spot iron . bathroom counter space , good area hair / makeup . room sound proof , kind noisy , could hear neighbor , people walk hall street noise . lobby really beautiful , unique , get floor , paint dark gray yellow lighting dark , great idea safety 's sake . check in / out always huge wait . staff pleasant enough , get one . bring issue small room staff , respond tell hotel room suppose & quot ; cruise ship & quot ; feel , please . sadly , good thing say . next time would stay city and/or pay well room , somewhere else . also , would use Priceline either , would say 3 1/2 star hotel , even close . 
 Apr 13 2009 	 Great Location 's 	 pretty excited stay Hudson give location funky website . arrive early check - in finish paperwork front desk staff able leave bag hold . hotel reception area / restaurant amazing ambiance . beautiful ! room : hated ! definitely provide bare basic . believe room 964 . 5 - 7 inch ( barely ) walk space bed surround wall . view window great although keep closed , distinct draft keep shiver night since close main street , LOT street noise disturb . mattress hard uncomfortable . bathroom cute - cramp ! literally sit toilet angle side since enough space wall toilet sit straight . decent location hotel like good night 's sleep therefore , will not stay give hotel average rating . staff excellent . really want recognize aspect hotel although not satisfied room , service enough keep content without complaint . 
 Apr 13 2009 	 problem overall cool hotel ! 	 first time US awe everything anyway . get hotel look fab ! room face Hudson river clean big enough we . want stay inside NY anyway ! ! 7hr flight want nice shower shower head would not work , go front desk say would send maintenence . next day nothing . go back apologise upgrade we big room ! although view inside hotel ( i.e window ! ) room great size . order room service although slightly steep price one stay food service porter fantastic ! ashame partner 19 time could not get drink brilliant bar / club that s US law ! overall hotel look amazing , service great would definetly recommend anyone . central thing ... walk broadway etc . taxi journey . 
 Apr 13 2009 	 good location .. 	 stay hotel two night . location great . standard room tiny ( expect realize quite small . ) suitable 1 . however contain everything would need although room tv working & amp ; clean would expect , go reception complain & amp ; issue deal promptly . bar great restaurant nice - food tasty filling . , hotel quite good value find internet deal . 
 Apr 12 2009 	 atmosphere Hudson dark room tiny uncomfortable . 	 family stay Hudson three night . guest room small . one full size , uncomfortable platform bed small desk ( large enough work ) . television mount side wall make watch television bed difficult . one side bathroom separate bedroom sheer curtain . entire bathroom approximately 3x7 ft include shower area ! . outlet scarce , charge cel phone laptop simultaneously challenge . positive note , concierge quite friendly helpful . Hudson definitely single family hotel . 
 Apr 8 2009 	 funky hotel great location tiny room 	 stay one night - last night fact ! great location near Times Square right park . funky trendy good atmosphere . however , room really tiny although everything need . big complaint noisy - could hear street bang clanking - maybe heating system night . earplug even , annoying . however , pay $ 100 Priceline fantastic good hotel good location . would not choose stay , get priceline would upset . 
 Apr 6 2009 	 be busy deal little problem 	 small hotel room ' ve ever see , ' ve London Tokyo . break phone room , go lobby complain person ( long wait ) faulty tv heating system -- phone , . fix phone , later enable put hold and/or transfer call someone 's voice mail 30 minute , finally get human phone tell busy deal phone heating system . oh -- mention paper - thin wall ? want know exactly next - door neighbor use toilet , place stay . mention spectacularly overprice wine bar ? waitress big - time attitude ? 
 Apr 5 2009 	 hype rudeness substance 	 stay husband Hudson NYC business meeting . 2 night , bad experience ever hotel . attend morning meeting try check hotel we . 11am , refuse check say name not reservation ( make assistant ) . name . offer show passport well , refuse . tell call , try already meeting could not answer phone . ask would hold luggage day wait return , first say . throw bit fit finally agree hold luggage , boot onto street wander around 5 hour waiting return . several hour later finally able take break call & quot ; authorize & quot ; reservation . return hotel around 5pm finally let check , give apology . tell snooty woman front desk not aware need bring along marriage license travel . room tiny , hobbit use toilet , bed highly uncomfortable , bad part bang clank mechanical system would kick random time throughout night , render sleep impossible . combine high rate , snobby unhelpful staff , price everything skimpy service rank hotel worst ever experience . would not stay last hotel NYC . 
 Apr 1 2009 	 Great Value $ 225 less 	 contemporary hotel everything need . room tiny , notable efficient use space luxurious touch . public space hotel plentiful , well equipped business . unlike many bargain hotel New York , one look nice , great linen pleasure come back to . one nit would wait staff breakfast : exceed amount attitude . would think rather ( fail ) serve coffee , tend rope swanky club . all - in - all , great value . 
 Apr 1 2009 	 good value great location 	 hotel fantastic option look New York fairly tight budget , willing ' rough ' youth hostel , chance less reputable hotel . the con room small . however , boyfriend stay four night comfortable enough . not room unpack really , minimal storage , long stay would not recommend , short stay great . room nicely do , clean . also quiet , despite party downstairs bar hour . the location could not fault . minute several subway station , walk central park , far midtown . manage walk nearly everywhere . hotel also trendy . various bar , fact hotel popular lone , stop feel like cheap hotel make feel far expensive really ! service excellent also help maintain trendy feel . would reccomend hotel couple - young old , family ( provide get big room ! ) have careful planning long stay , plan sharing room someone significant really cosy ! 
 Mar 30 2009 	 Frustrating . 	 really want like hotel - delightfully bizarre . staff time helpful ; other , much ( like trying change $ 100 , lone front desk clerk not access cash drawer ! ) . bar quirky fun , though sometimes off - limit due private party ; get , may anywhere sit . everything room expensive - breakfast buffet cost twice rightfully . room 1/3 cost typical midtown room ( via Hotwire ) - 1/4 size . internet access not work . heat unnecessarily full blast hallway , mean A / c room . unfortunately , HVAC unit smack head bed , be compressor - base system ; kick periodically night , would jar awake . hotel cry bit management well channel effort well - intentione staff . stand , would recommend young people substantially interested good time low cost sleep comfort . at & quot ; regular & quot ; price - like ' ve see quote ( $ 300 ? ? ? ) - forget . 
 Mar 29 2009 	 great bar - shame room ! 	 bar Hudson fantastic - really lively bit hot spot - love one gripe one night , even guest hotel , really struggle get bar apparently list . consider hotel home home whether holiday business think pretty poor service . thankfully eventually let come speak bouncer friend meet we allow . madness - point bar hotel allow use ? ( SATC fan think bar Samantha ditch Smith disappear upstairs Richard ..... ) room tiny enough room walk around outside bed - plan shopping not go lot room store - warn . stay hotel NY not get much square footage money - room ridiculous . need somewhere collapse bed soon open door hotel ! bathroom really small - unless size zero go struggle turn around know - stay room friend anyone partner - able see shower thank glass wall bathroom .... ok not mind show bit shrink violet among we ! gym tiny well keep theme hotel room - would not bother - take trainer go run park instead . breakfast good - serve darken room night enjoy bar one notice ! would recommend friend clean , great location lively bar want space try somewhere else . 
 Mar 28 2009 	 excellent location ! trendy designet Hotel ! 	 design point view excellent hotel ! ! ! worth visit admire interior design ! room tiny comfortable , boyfriend an staying week fine . ny spend least time hotel . hotel bar / club busy saturday / friday . People city come fun . recommend check ! overall , good experience , definitely come back ! 
 Mar 26 2009 	 pretentious tiny room 	 hotel pretentious standard room tiny ! manage fit everything quite cleverly ( include room suitcase ) , average build could trouble move around . nice room go free wifi breakfast feel value low . 
 Mar 25 2009 	 unusual hotel staff go extra mile . 	 stay overnight hudson way home Hawaii . meet Mike door give we lovely welcome straight away organise bag take room , nice arrive quite late evening quite tired . upon enter hotel lime green escalator think maybe make mistake wrong . upon enter reception check deal friendly staff offer complimentary upgrade room within minute . yes room small stay maybe standard room small . room well equip clean comfy bed overnight stay . quickly pop restaurant eat lovely meal cook Chefs open kitchen . not realise book St. Patricks day next morning . ask could store bag check iout normally 12.00 , reception advise could leave bag room 1.30 go enjoy St. Patricks day parade really helpful give we little time walk 2 block 5th avenue watch parade amazing . ( plan trip NY time year try March 17th ) upon check get ' slow ' queue , notice wait long move along think really nice . hudson normal Hilton / Hyatt etc . individual hotel staff encounter friendly helpful . would stay ? ? definalely yes , although 50 's feel probably suit 30/40 age group . 
 Mar 24 2009 	 tiny convenient 	 stay night Hudson hotel though room tiny , location ideal great trip . room clean properly , since bit dusty representative ok , service coldly courteous opposed enthousiast . would probably return . 
 Mar 22 2009 	 trendy hotel great location 	 live NYC almost twenty year usually stay Washington Square Hotel Greenwich Village . book Hudson find fantistic rate $ 149 night frigid MLK weekend January . have hotel drink , know bit scene , hotel , definitely disappoint . arrive , staff extremely pleasant , actually upgrade . room , huge , much large one have book . room hip modern term design , might find heating noisy . live NY , familiar noisy water heat old building , , likely find noisy . , $ 149 , hotel steal ; $ 350 night , may find much . return night , lobby turn loud nightclub , due two popular lobby bar . either like not , room high floor problem noise lobby . drink Library Bar , expensive , hotel NYC . also , would great offer free wireless ; $ 10 per night . , term location , right Columbus Circle Central Park . never live neighborhood , pleasant , central place stay long weekend . would happily return . 
 Mar 21 2009 	 's Bad rest Reviews Suggest 	 wife decide take short break New York , first time away kid want make sure good time . booked hotel use Priceline 's & quot ; name price & quot ; get room $ 110 ( + fee ) per night happy ... start read review pan place oblivion . expect worst pleasantly surprised find bad all . yes dark inside ... wear sunglass inside , be idiot , not wear sunglass inside , be fine ! yes pricey grab drink bar eat ... eat , be like 's much choice . yes staff young ( restless ? ) find everyone really friendly helpful doorman concierge checkin staff checkout staff ... even maid be seem really friendly always say & quot ; Hi & quot ; pass , although not really stop chat . yes room tiny unless be grossly overweight plan spend time New York pine away room ( case really help ! ) ... room perfectly fine . yes bed low ... erm ... ' m sure problem ... can not get bed little low ground average bed , probably not travel unaccompanied ! goodthe exceptionally small room surprisingly well lay lot nice little touch either make seem large add overall usability room . e.g . ipod dock speaker , mirror wall ( nudge , nudge , wink , wink ) , LCD tv build mirror wall , window bathroom bedroom ( allow lot light get make room feel airy ( word ? ) .The room cleanthe room controllable responsive heating systemnice little nook closet , big enough fit medium suitcase , open fold standThe hotel modern pretty classybathroom stock fancy shampoo soap ( use ) Location great , 15 minute walk Times Square , 3 minute walk Central ParkThe BadNo get away room small still functional comfortable short visitThe window really sound proof ... 14th floor 6:30am hustle bustle outside clearly audible ( , asleep probably would not notice ... ' m early riser ) HVAC noisy , every time kick seem like every component inside unit behind headboard jump 2 inch right flap open randomly ( RECOMMEND - turn heating not come often ) mini bar extortionately price ... $ 4.50 small bottle water ... luckily plenty shop close stock food drink outside think might tempt eat / drink roomhigh speed wireless internet available $ 10 day ... hotel insist charge still ? freebie . although pleasant , concierge misinformed couple thing ... e.g . want purchase New York Pass ( get access ton attraction include main one ) low price ( pay $ 99 2 day definitely get money 's worth ) , however , ask concierge could buy one Circle Line Cruise place ( Pier 83 ) tell good place get Times Square ... consequently not time get Times Square , grab ticket get Pier 83 10 am cruise ... turn ) place Times Square main office 1 ticket leave sale b ) walk past main office ( Gray Line office 47th 8th ) way Times Square walk back c ) could buy ticket Pier 83 thus make 10 am cruise ! ! ! UglyNo show stopper ... bad stuff ( ) minor inconvenience nothing would make want stay ... say , be marry big fat lass big fat lad , mirror wall window main room shower could little putting ... luckily window curtain side close protect eye mirror wall , either close eye turn light ... happy person enjoy ride ( excuse pun ! ) would happy stay Priceline push general direction . 
 Mar 21 2009 	 tiny reliable 	 swinge cat would major challenge ( well , impossible really ) standard room Hudson , always stay be work New York 's fun buzzy , bit daft . food lovely , staff great concierge good indeed . hot water shower let one occasion . New York hotel tricky ; know be get . 
 Mar 18 2009 	 bad expect 	 read reviwe think book real dud hotwire . price pay ( $ 108.00+tax ) well worth location clean place rest head . rate come one room , upgrade two bed would additional $ 120 . could get another room cheap . decor funky , cool . 
 Mar 17 2009 	 Cool small 	 much well hotel NYC Hudson . place complete fire trap terribly dark black . get get decent hotel . 
 Mar 13 2009 	 Scary Spookhouse Ride 	 Hudson less hotel dark , rough fun house ride design impostor Philipe Starck . flicker two - foot high gas torch mark entrance . flame crack surround concrete soviet - style mausoleum façade . walk sideways front glass enter - confuse everyone - ascend shoulder - wide three - story escalator green - light low beam lobby entrance . lobby practically unlighte panel faux dark wood . pleasant tee - shirt staff attitude corporate - enforce peppiness . know will call 15,000 decibel pulsate bass make way ventilation room several floor . Lurch small crowded elevator hope find right button pass floor . manage see button dark , may partly cover textured wood paneling . creep narrow charcoal - paint hallway , back crimp anticipation lie beyond door room . animal instinct serve well . room - panel cell , sheathe dark fake wood paneling . drop small valuable . find dark corner . everywhere else Hudson , ornamental lighting actually impair vision . Mr. Starck , maker bath faucet blow mold plastic good , manage backtrack ninety year progress light design since Poul Henningsen develop efficient , soft illumination ; Starck 's weird ornamental fixture manage provide glare without illumination . watch bathroom ! toilet 16 inch wall . not bang shin way kinky glass shower ( please not ask ) , will smack head tile sit pot . Owww . Better slide bottom bed get right side wall - mount tv wait separate shoulder . now 1:30 call front desk get turn Pink Floyd concert bar . operator say & quot ; problem & quot ; , hotel manager speak bar manager . nod 25 minute later spite noise , hotel security desk call inquire complaint . another five minute later , front desk call back inquire whether noise level well . be two morning . punishment noise complaint ? thank call . speak desk manager person follow day , tell , enthusiastic handshake , substitute room available hotel vacate fourth floor buffer floor would speak bar manager … kind Hotel keep guest awake loud night club music ? ! poor staff - probably artist , writer , grad student , actor - ask timidly & quot ; enjoy stay & quot ; start apologize answer come . room merely small . walk - in closet . whole place dark unbearably loud . exhausting . course stay . think ' m kid , go see evening ask see room . 
 Mar 9 2009 	 Great Hotel 	 stay August / Sept 2009 read review . worry noise staff . great time , room ting expect super clean modern , staff friendly helpful . noise room . Hudson great bouitque hotel close everything , walk everywhere ! 
 Mar 4 2009 	 great atmosphere tiny room ! 	 room bed get shower / toilet , one literally squeeze self ! exhaustive day , late check - in 2145hour equally early check - out follow day , collapse bed . expensive hotel frill US $ 460 bed steep ! noisy place subway New York ! would look elsewhere cheap less hot spot future . otherwise desk agent great , put anticipate long distance phone call dispite challenge pronouce name ! 
 Mar 3 2009 	 tuck away Trendy Tiny 	 would 2nd time stay Hudson New York . pick 's location , trendiness time stay , price . room 1 night stay $ 279 , include 2 bed large bathroom . 's lounge / club downstairs lobby level ton fun Friday night , great crowd super music mix . oh , breakfast room service world ! order 4 different thing 4 us superb ! 
 Feb 28 2009 	 Beat Tired 	 really want like hotel . still & quot ; edgy & quot ; & quot ; hip & quot ; lobby friendly staff , standard room really wear need help . yes really small like cruise ship design Euros small people , bad need refurbishment . Mattress beat think give we rash bed bug . door way bathroom need attention . Mirror crack . hallway musty smell well cigarette smoke despite & quot ; smoking & quot ; floor . really bad experience . need tummy tuck face lift . hotel need re - newed energy back . 
 Feb 26 2009 	 fabulous hotel perfect location 	 recently stay Hudson Hotel good friend . New York 5 day shopping sight seeing . little bit concerned hotel read review room tiny dark everywhere . when arrive staff friendly room lovely ... yes small believe amount time spend perfect . location amazing subway station end street Times Square block short subway ride away . dark inside part ambience hotel . we not eat restaurant many place eat use bar . Saturday night turn nightclub great atmoshere people even come street drink party 's nice . overall would highly recommend Hudson hotel city break . 
 Feb 25 2009 	 like 	 room small room , prepare like will not disappoint ! bed pretty small , linen good enough . room shower room ( bath ) spotlessly clean . lot noise street , New York ! service : one incident maid take white top room accident , never get back not follow staff not seem care . go roof terrace wait 20mins get serve ( nice wait , though ! ) feel hotel unique - dark ( although room light bright ) . nice , funky , trendy , fresh feeling . location great , right near subway right near central park . 
 Feb 25 2009 	 great locationnice room shitty bathroom 	 next central park , within walk distance time square , almost everything village , great locationLobby hallway hip , stylish , terribly well light warm , go Starck territory . room 4 plenty big enough , elegant clean . AC incredibly loud ( least can not hear noise street ) .bathroom : pressure shower faucet , bathtub clog hair . Yuck ! 
 Feb 22 2009 	 hip happen substance 	 arrive place really not think hotel - bizarre entrance escalator reception . tout place see see - ' m sure ... be expensive small room ( pay $ 469 per night new year room marginally big bed ! ) . say location fabulous bar impressive . go back probably stay somewhere cheap less pretentious 
 Feb 19 2009 	 totally cool experience 	 wife come new york 50th birthday , thank wife choose stay Hudson , make trip memorable experience . immediately enter building notice unusual cool place , report dark moody quite true disturbing . the music / furniture / fitting / bare brickwork/ wooden floor really blend together create relaxed feel place . without hesitation , staff , young extremely courteous , check we allocate room . after cocktail library room first ( awesome ) go room ( queenstandard ) compact really nice.3 night later though , due slight problem heating room ask another room upgrade deluxe studio 23rd flr superb , get one high , view great space move about . room service quick efficient , supper breakfast good . the restaurant creative menu busy stay . all would hesitation come back Hudson New York . 
 Feb 18 2009 	 Modern Hotel 	 first see hotel outside look nothing special , flame burn night weekend . go yellow lighted escalator reception prepare amazed design . picture attach review , aware corridor dimly light . free vend pool table , great pass away hour . as traveler state , basic room small . move around room . book three room last upgrade twice big . excellent location , 5 min walk Central Park . issue room safe attach anything , could locked something away , burglar could walk safe ! ! ! explain reception , usual process drive way nothing could unless room , stupid ! ! anyway , multiple room use safe another room . 
 Feb 17 2009 	 hip 	 one wonder phillipe Starck watch Tim Burton film festival design public space hotel . strike look -- , dark . Hallways cave - like . light front reception area resemble inside movie theatre feature show . good luck try read -- even see face companion -- seat lobby , unlike reviewer , shock small size room -- dimension accurately portray firm 's website , ' ve stay small room Europe . room clean , stylish , ( somewhat surprisingly ) quiet . snug , configure way make computer work even read practical , unless one bed . Style often trump rather facilitate function here . the hotel probably ideal party - hearty 20 something , enjoy throb hip - hop music play elevator night , old people enjoy light space well elsewhere . 
 Feb 15 2009 	 location great yes room small 's NY 	 like reviewer agree room small , know read trip advisor review . along small room , couple thing could improve stay . escalotor street level break , not clear get ... use lift . gym equipment break toilet gym level . breakfast expensive choice / range get . can not fault location . first timer NY love location hotel , walk many thing find area safe easy get to . although room small comfortable , clean , quiet toiletry good quality . besides not room sleep . they also make good use small space manage get . although suggest pull curtain bathroom , can not see bedroom ! sure nightclub area reception pump Monday night . ! 
 Feb 4 2009 	 Cave Coffin Jail Cell Dark Loud Terrible Burn money instead ! 	 think Shawshank Redemption bad day . ever wonder would feel like lie closed coffin ? spend time cave bunker ? another way describe hotel room would say must feel like throw trunk Yugo stay night . avoid place cost ! aware describing room one step standard . shudder think basic room might like . run far , far away . hotel use b Fordham University dorm , audacity charge upwards $ 180 terribly uncomfortable stay inside drawer . pit . breakfast also insult $ 27 + . stay away ! would fun burn money . 
 Feb 2 2009 	 tiny room poor air con 	 stay Hudson January disappoint . regular visitor ny expect good thing hotel frankly not see anything good . room tiny mean tiny . yes , would not want spend lot time hotel room NYC expect able move freely around room . bathroom dreadful knee touch wall sit toilet ( short - 5 ft 2 ) . every night keep awake antiquated plumbing air con system clank night . heating come random time leave room boil hot . really could not think anything nice say hotel . 
 Jan 31 2009 	 chic youth hostel 	 hotel combine lot extreme : perhaps cool atmosphere hotel ; bad front desk service ; insult bar markup ( $ 9 Corona beer ) ; small room ( literally queen size futon take floor space ) ; wonderful patio quiet private feeling interior ; cheap room NYC ; noisy out - of - date steam heater . choose poison . like design , would . like service marble bathroom absolutely stay away . 
 Jan 29 2009 	 fall apart 	 poor Hudson Hotel need refurbishment - fall apart . I spend four terrible night Hudson Hotel . first night -window broken - freeze cold . second night , new room , air con would turn - bake hot 5 am maintenance came turn . third night air con would turn -8C outside heat inside , maintenance come turn . fourth night hot water , shower cold water ( colleague room different floor ) check . rightly place Hell 's Kitchen hell . staff lovely , hotel bad . 
