great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 Apr 8 2007 	 Great Hotel great location recommend family 	 stay Holiday Inn Kensington ( 100 Cromwell Rd ) 4 night early April 2007 . family 5 kid age 7 , 5 2 . trawl limited amount hotel accommodate family 5 come across one . offer us suite split level perfect need . enter standard sized double room ensuite spiral staircase leading room sofa bed , t.v . , table chair etc . , transform kid sleep area night . allow we space mean lip read T.V . 8 p.m. sleep child bed beside we happen previous hotel ! hotel excellently locate opposite Gloucester Road tube station road National History Museum . lovely garden back brilliant kid run steam straight breakfast morning . breakfast great anything want tap self service - even make toast toaster find bit tedious ! not eat meal hotel witness people look acceptable fare . ice machine outside lift floor handy . leisure centre basement . T.V . good usual channel kid choice CBBC CBeebees . movie could date choice kid movie could order impressed . Waitrose across road open til 9 evening small tesco around corner open 24 hour . also starbuck illy across street . pizza place burger king garfunkel within walking distance . would definetely recommend hotel family . week Easter seem lot family stay addition . suite work 300 euro per night 5 we include breakfast . give great location use garden think worth every penny . would definetely use hotel next London . 
 Apr 5 2007 	 Nice Stay HI Kensington 	 return week 's stay Holiday Inn Kensington . positive side : location terrific - right across road Gloucester Road Underground . nice victorian facade building , unlike concrete highrise Holiday Inn Forum right across street . quite good service nearby well - waitrose grocery store great , various restaurant , Starbucks , couple patisserie handy breakfast not fancy pay £ 13 per day breakfast . also , plenty ATM 's , local pub , boot store , even Burger King KFC really can not without . first night , HI leave we fresh fruit plate room . wonder everyone get member Points Rewards program . room fine - typical HI two bed . would prefer one king , offer . bathroom roomy UK , though tub / shower bit narrow . underpowered hairdryer locate dresser drawer room type hold button continually operate pretty annoying unexpected . least locate front mirror . garden - face room request . not know honored request get lucky . rear garden pleasant , would imagine street face room noisier . seem bit noise Saturday night otherwise reasonably quiet . window open inch nice fresh air . minibar cold provide small amount space personal item - well nothing . ice machine floor , occasionally go another floor ice machine empty . 's tray electric kettle instant coffee , tea , milk sugar . companion say instant coffee almost good Starbucks free . tv maybe 10 channel - plenty UK news , sport , drama , soap , kid show , CNN . pay £ 8 / day internet access tv not laptop like we . 's little keyboard , awkward , serve internet need day . 's also internet access laptop not know rate . mention , not eat breakfast use restaurant room service . handy safe room well . housekeeping adequate , though would like fresh cup / glass day . towel type discourage theft . negative side : bill incorrect two item check . try charge we laptop access use one day tv access , also try charge we item minibar use . credit , remove charge dispute . another con expect might charge phone call ( even local one thise case ) , would prefer card room make clear advance . not ask . think unprofessional . generally , nice stay Holiday Inn Kensington . great location , typical HI room . check bill leave , great time London ! 
 Apr 5 2007 	 great location 	 stay group 4 school friend . share two twin room . front desk ensure room close . one room front one back . equally clean comfortable . 2nd floor not experience traffic noise front . not book breakfast , eat one cafe nearer Harrods - great value ! overall would rate hotel friendly , clean comfortable great location get Heathrow - great location museum Harrods foot anywhere tube via Gloucester Road tube across road . pay 100 GBP one night weekend think excellent value money . concierge helpful look bag check check . problem . 
 Mar 30 2007 	 Great Stay 	 great stay Holiday Inn Kensington . consierge helpful . save we alot money tell we take tube airport ( Heathrow ) early morning . work great . dinner restaurant last night great . great location across step Gloucester Road tube walk Victoria & amp ; Albert museum ( love ) . take two Grey line / golden tour pick lobby Holiday Inn Kensington Forum across street . room back garden ... quiet except door bang everytime neighbor go reason . clean room , decor fine . Temp AC good . great trip ! 
 Mar 24 2007 	 Quad room great location 	 stay Kensington Holiday Inn ( confuse high rise Forum across street ) twin 13 yr old mid - March . difficult find reasonably price room London accomodate four people , quite pleased find hotel , nice area . booked month advance get Entertainment card rate 88 pound , though rate seem go considerably . also try AAA rate . location terrific , right across street Gloucester Road tube station , bus stop ( # 74 bus go Harrods ) , Waitrose grocery store buy banana water room Cadbury chocolate take home . Paul 's Patisserie across street delectable pastry . organic pizza next door Paul think disappointment . hotel room quite adequate four we , nice size bathroom , though not spend much time room . find staff friendly , accomodating . ask extra towel , cup , hot chocolate , bring within minute . room quiet garden view . advise , even use international phone card , charge 40 penny fee use phone room . use phone lobby instead . also , american pay credit card , charge pound dollar , get well exchange rate . capital one card know charge 2 - 3 % transaction fee every charge . also , not bother use traveler 's check , use atm instead -you will get much well exchange rate . find bank offer free ATM withdrawal go abroad . ATM machine Gatwick airport , get money flight . take Gatwick Express Victoria , take taxi hotel , come 8 pound . check , go see & quot ; thirty nine Steps & quot ; , whole family love . overall , pleased stay hotel , complaint , would definitely stay 
 Mar 17 2007 	 good stay 	 stay one night March 2007 . large room two double bed fine , though hair dryer not work properly . room back hotel , not notice traffic noise Cromwell Road . location excellent across road Gloucester Road tube station . Booked Holiday Inn website rate include breakfast . decide take breakfast morning , charge final bill , ( gold star hotel one , not ask ) . 
 Mar 5 2007 	 okay hotel 	 nothing really say place . bathroom smell abit like sewage gas walk . tub looked clean last occupant well . location , though , great . locate near Gloucester Road Tube Station well V & amp ; . 
 Mar 4 2007 	 Excellent location 	 book hotel two month advance use Hotwire . price could beat $ 89 US dollar night . stay six night . waitrose , grocery store , right next door empty fridge usage room . internet cafe Cromwell road right across street reasonable rate . walk sit PC . pay finish . street coin laundry dry cleaner . Tip , laundry expensive . two different front load washer 3.60 4.60 pound . basically $ 7.20 - $ 9.40 load US plus detergent . dryer cost 10 penny 3 minute runtime . go around corner laundrymat large grocery store call Salsburys . purchase detergent food Waitrose . underground station close next Waitrose . one last tip , enter hotel back front Cromwell street . make sure cabbie take proper hotel . another Holiday Inn 100 Cromwell . address hotel right front . cheer ! 
 Feb 5 2007 	 okay 	 Thought hotel ' okay ' . not seem atmosphere . fault location breakfast good agree lovely room overlook lovely garden , unusual London . probably would stay . 
 Feb 3 2007 	 good value good location -- good kid 	 stay two young child . pick hotel 100 metre Cromwell Road tube direct rail line Heathrow . tube station bite tricky suitcase manage . several supermarket take way within minute walk sightsee hop bus stop 2 minute walk away . room clean time 2 queen size bed bit squashy , spend much time room anyway . room overlook lovely garden courtyard . could complain price . book 2 week advance Holiday Inn website 80 pound per night . bargain London Hotels accomodate family . 
 Jan 19 2007 	 Excellent Hotel Families 	 use hotel stopover go Olympia Horse Show see Sound Music . there six us party , friend two child we . hotel exellent location , across road underground ( Gloucester Road ) . book two duplex room consist double bedroom upstairs sofa bed downstairs . I would definately recommend room , plenty space 2 adult 2 child . room modern , clean pleasently decorate . arrive room set nicely accommodate party . friend advise reception room smell stale smoke . within minute cheery lady arrive air room leave note apology . breakfast buffet style food good quality plentiful fast efficient service table . reception quick concierge helpful . this hotel ideal family clean , modern child friendly . definately use . 
 Jan 1 2007 	 great stay 	 stay one night , NYEve 2006 ( , wife , daughter ( 3 ) son ( 5 month ) ) .location : totally , totally fantastic . opposite Waitrose , opposite Gloucester Rd tube station , close great museum , lovely villagey feel , lot great place coffee fantastically atmospheric meal ask pizza restaurant across road - really good family - atmosphere , NYEve meal . room : family room consist 2 double bed travel - cot . room fine & amp ; bathroom clean nice . specify non - smoking booking hoteldirect : stank cig could not bother complain , fool we . pay £ 140 inc full breakfast 1 night . corridor indeed boil . staff : interesting . rather unfortunate manner one reception staff check arrive 11.30 ( admittedly early ) : : would really like check 2 ' ve get two small child . receptionist : Poopph ! will lucky . maybe .... not get 2.01 , wait bit ..... end room ready ask 1.30 , prove friendly , especially take little boy meet . poor deal slight stress would seem . staff 2 : ask Marmite breakfast . first waiter : zero comprehension . second waiter : bring marmalade . forget . 's british thing . unavoidable , yet annoying , incident : fire alarm go 215am - ish . god loud . like idiot end pyjama freeze bottom fire exit . nightmare ! helpful doorman pushchair . no bottle opener . Mini - bar predictably ridiculous , price - wise . £ 2.50 coke . decide eat £ 5 note instead . but ... ' m pick many quite small negative . really great time . stylish comfortable bar , even kid , room fine , fantastically fill delicious breakfast . , brilliant location . would certainly stay . 
 Jan 1 2007 	 consistently good Choice 	 third time hotel always reliably expect . location terrific want across road tube neighborhood lot restaurant , museum shop ten minute foot radius . hotel quiet , particulalry ask garden facing room . room decent size London book ahead use hotel web site 100 pound breakfast . room get bit wear adequate roomy London . breakfast lot choice serve tired room character . staff friendly accomodating . plan stay opportunity ! 
 Jan 1 2007 	 great 	 -book hotel website ( 4 - 6 week can not remember ) rate 122 - 123 pound / room include vat - we already pay full payment come hotel check , ask deposit 50 pound / night . either deposit cash credit card . anyway , will give back check use facilitiesnot include room rate.-this hotel near tube station ( Gloucester Road ) 2 - 3 min . blue , yellow green line passed.-we request stay room next ( think connect room ) face garden view get 3 room - bedroom perfect ! ! -for bathroom , do not like shower attach wall fortunately , water flow hotel strong warm hot enough - toilet roll well holiday inn regent 's park - it be quiet night - one thing , ice machine front lift break -there post office near hotel also bank , tesco , starbuck , kfc , burgerke etc . -all , give 4 holiday inn kensingtoni recommend ! ! 
 Dec 26 2006 	 great hotel 	 son stay Holiday Inn Kensington 1 night November ' Video Games Live ' production Hammersmith Apollo . arrive 4.30 pm room yet ready obviously disappointing offer complimentary drink whilst wait . also 2 family wait room not bode well stay . room ready 40 minute later get room , pleasantly surprise great 2 double bed clean . I book Holiday Inn via telephone charge 111 1 night + 17.5 % vat think reasonable deluxe room price behind reception desk nothing like ( 250 deluxe room ! ! ) .Apart wait room , would definitely recommend hotel around corner Gloucester Road tube station advise people re Holiday Inn good rate . 
 Dec 23 2006 	 Love Kensington area good hotel 	 return week holiday inn kensington.the positive : location : 1 minute tube , lot shop restaurant ( recommend Organic nice pizza pasta Paul cake bread . nice well keep room , good bed , quiet ( garden view ) nice lobby good breakfast , 15 pound , get include room price , go Paul cafe . the staff nice.the negative : poor air condition , noisy effective , cold , fixed , completely , old bathroom , need remodeling- urgent . hair dryer- old stop work every minute . overall would stay , love Kensington area . 
 Dec 21 2006 	 fantastic base explore great garden view 	 group friend stay , go event Albert Hall nearby . quick check , room ready 2 pm ( bag leave safely concierge ) . downside whole experience first room first give smell overpoweringly vomit , staff quickly re - allocate us room , even though , suspect , fully book . the whole hotel light , airy comfortable , staff incredibly helpful polite . breakfast treat , set we day . bar night lively safe , facility washroom clean well look after . our twin room spacious , lovely view back garden . peaceful quiet , sleep long many month - bliss , unexpected London city - center hotel ! ! will definitely come back , next time bring child London sight . great value , real find . 
 Nov 18 2006 	 favourite English Hotel - London Good 	 stay many time work times pleasure review October 2006.the hotel make row georgian Town house make one Oxford Road opposite Waitrose near junction Gloucester road . the room vary good magnificent planning weekend , join priority club get someone call ahead number , check 1.30 every chance upgrade , nice , get ask time . we standard room time , comfortable , 2 double bed cable tv ( limited channel ) .The hotel restaurant magnificent one fine hotel chef Britain , evening meal superb ( kid eat free ) bar snack & quot ; good value & quot ; cheap ! breakfast pricey full greasy english available one bistro 's nearby Sunday morning real occasion everyone eat cafe 's reading paper glugge endless coffee top up noon . thehotel lovely garden really summer thing obviously opt hot tub . good tip tourist ... 1.30 Saturday 8AM sunday local street parking free , entire weekend cost whop £ 3.50 park people carrier outside Kensington Forum , 30 yard hotel in . Location - hotel itIt 's Circle line 30 yards station Gloucester road . also picadilly line . for foreigner mean will not spend entire budget taxi 's Gloucester road great link toHeathrow , Harrods , Leicester Square ( Theaters ) Oxford Street ( shop ) Picadilly Circus , Knightsbridge ( Harrods ) Tower Hill ( erm , tower ) sloane Square ( shop ) Earls Court , Notting Hill , even Green Park Palace . on nice day walk Oxford road , past museum ( free ) Albert Hall Albert memorial , park rotten row emerge Buckingham Palace , Mall Whitehall take Trafalgar Square , Whitehall Westminster house parliament side Thames , 40 minute stroll . at night , area around hotel buzz activity without loud loutish 's fine , be nice place wander around . last place tourist go home Camden Lock , take northern line Camden ( zone 2 ) , turn right station walk 100 yard market , another 200 yard Camden lock . Camden always whay Carnaby street pretend 60 's , Punks Posers , grebs , Skins teddy boy hang one huge human salvador dali abstract . on Sunday , electric ballroom home someof thebest party clothe get . nowhere Britain come close Bangkok night market , trust , ' ve shop both . back hotelyes look bag free get early ( 6 record let room 8 ! ) yes leave bag check , not pay not worth fiver need get ! shop around rate , book direct use Lonsdale travel ( tell work consultant Royal Mail ) pay £ 80 weekend night - room rate - breakfast . enjoy 
 Nov 13 2006 	 Great Hotel Perfect Location 	 pleased hotel , location could well museum attraction within walking distance . underground station across road make whole London easy get here . staff helpful room average . advice breakfast include price room , £ 13 per person , however lovely cafe ( paint pink ) across road good value . 
 Nov 13 2006 	 delightful hotel family 	 child holiday short break London lucky find well hotel price range . word caution first - two Holiday Inns Cromwell road almost opposite - one high rise monstrosity , rather attractive , five floor build opposite side road , really delighteful hotel . modern , clean , attentive staff , good food lovely garden ( complete old Church ) rear ground . one particular problem London hotel try find family room standard bedroom bunk bed sofa bed throw afterthought . hotel two option - a duplex room two floor bed -settee large single room two queen sized bed . duplex room excellant child teen thay may comfortable bed - settee . room overlook garden clean comfortable . check - in quick easy , staff come across helpful couteous . ice machine floor Gym one low floor . breakfast serve - yourself buffet plenty choice remarkably good food freshly cook reguarly replace . parking available ( price course ) position hotel another bonus - road natural history V & amp ; museum , short walk harrod opposite tube station . downside corridor clearly aim & quot ; hottest - possible - hotel - corridor - in - London & quot ; award . ( many London hotel like ? ) .but overall , could recommend hotel highly represent superb value money . 
 Nov 13 2006 	 great stay 	 ( family 3 ) stay hotel Oct 4 night . book stay direct Holiday Inn web site , due review would read , happy outcome . ( lot cheap thru travel agent Aus ) start minor hiccup . flight land Heathrow 6 am , catch Heathrow Express train hotel 8 am . sadly we ( tired 8 year old ) tell could room 2 pm , wander Hyde Park kill time fresh air . mid day dead foot 30 odd hour trip , plonked self lobby waitie . long give room , find use security card enter , another family relax bed ... could bad have interupted people thing ... * laugh * sorted give room floor ( 2nd ) two double bed lovely view garden . room large clean mini bar/ fridge tea & amp ; coffee make facility . Bathroom shampoo & amp ; , also note say need anything else ask . have take everythihg we , ok.only small problem front desk staff seem struggle english language . really notice try make phone call need assistannce - hard we get point across . location wise , hotel great little spot . walk mile every day , see soak surround would even think far have go . there be lovely little restaurant / cafe ` sort opposite , call & quot ; Patisserie & quot ; . eat breakfast day also couple evening meal tired venture far . also , stop ' the Big Bus ' tour , be nice close . ( would suggest anyone holiday London tour get cover much ground hop ever like - 's valid 24hrs ) great stay - yes , get back England , would probably stay Holiday Inn Kensington . 
 Nov 11 2006 	 great hotel - great location 	 Holiday Inn Kensington meet expectation . stay 9 night October 2006 . second trip London spoil first trip able stay Mayfair . time around travel grandmother great - aunt 80 's . find room two double bed close tube station . find room two double bed big challenge London hotel really deliver . mention Glouster Road tube station right across street ! one problem stay check - in room ready . arrive around 1pm tell room ready since check - in 2pm . let we store bag go little restaurant get something eat walk around bit return little 2pm . room still ready ask sit bar area . several people wait room like . 3:30 go back desk explain point 26 hour want lay . within 10 minute room ready . sure work way complain trick . prepared room ready . Front desk staff friendly helpful . grandmother lose wallet second day . front desk clerk let use computer business center free could look telephone number credit card company report steal card . think especially nice since could well tell use internet access room pay for . I book Executive Room 2 double bed request room face garden / courtyard request grant . also plate fresh fruit deliver room first day nice . room , spacious London standard . quite big room US pretty darn close . room absolutely spotless every day . initially stock room two - 2 towel , 2 glass , etc . quick call housekeeping get problem fix need rest stay . one note refrigerator room . small , mean small , space personal food item . fit 2 can soda pop . everything else attach sensor move , will get charge . also hairdryer bit strange hold button make stay . make difficult use go across street Boots ( see description ) buy small travel hairdryer 6 pound . worthwhile purchase I . we eat hotel expensive -- even breakfast something like 15 pound per person approximately $ 30 usd . however , good restaurant nearby . eat breakfast every morning Patisserie catty - corner hotel ( bright raspberry color paint front ) . little cafe fresh squeeze orange juice fabulous . little pricy 2 pound glass well worth . morning pastry , oj , coffee 3 bill 15 pound . staff friendly last day manager serve we french toast good - bye treat charge . directly across street Garfunkels . spectacular place decent food - kind like tamed TGI Friday 's restaurant lot americanize food menu . also nice italian restaurant ( can not remember name ) block half Cromwell Road . turn right hotel door -- can not miss it . also Waitrose mall / arcade directly across street sell grocery -- perfect grab snack food take along day . also small Boots store ( like CVS Walgreen 's US ) pick kind medicine toiletry might need . small boot store perfectly functional . Glouster Road tube station directly across street handy -- 3 line run get almost anywhere London quickly . contain Piccadilly , Circle District line . be go 3 day , recommend get travel card prior arrival . make life much simple . I would recommend hotel anyone . may cheapest be worth every penny . neighborhood almost always bustle never feel unsafe , even dark . be look clean , comfortable ( bed comfortable hard brick ) safe place stay , Holiday Inn Kensington be look ! ! 
 Nov 11 2006 	 great hotel great location 	 one reason choose hotel review TripAdvisor . finish four night completely satisfied - helpful staff , modern accommodation , fantastic location . request garden duplex busy Cromwell Road , none available check . thought would move not double window drape keep room quiet even rush hour . stay duplex two adult two teenage child . plenty room great time . good location lot restaurant great access transportation - Underground stop across street . little Thai Taste west hotel Black Blue past tube station excellent food reasonalbe price . we definately stay return London . 
 Nov 7 2006 	 good stay Kensington 	 husband stay Holiday Inn London Kensington 2nd November 5th November impressed . we book direct website get advanced internet deal cheap website . arrived check straight away room hour step train Euston . room pleasant surprise complaint review . huge bed , large bathroom good shower , little sit area , mini bar tea make facility . view window ( front 6th floor ) do not come look window . room clean , sheet towel ( towel change every day ) . service excellent , reception feel little standoffish honest meet twice - check checking go smoothly enough . do not take breakfast £ 12.95 per person way expensive instead frequent small cafe across road superb . compare cheap hotel London place fantastic , budget hotel extent - 5 star luxury think people expect far much . nothing complain , service bar great need help direction ticket concierge helpful .I would recommend anyone go London stay , area lovely , close tube 3 line honest come London stay hotel spend every minute pay money get luxury want . think great ! ! ! 
 Nov 3 2006 	 Room size quality vary extremely 	 family 4 stay hotel back summer . hold post review able first contact Holiday Inn . seem majority folk post great review read review will find we negative experience . hope email explain . beware ... quality size room size extremely different . stay hotel two different time check 3 different room . first 3 night stay , wonderful room overlook garden . overall room clean , mold bathroom tile air conditioning questionable . we check back trip country give Room 417 ... disappointed last room . room face street small keep luggage bathroom pack light ! next day able change Room 419 next 4 night . room face street bit big pale comparison original garden view room . mattresse large box spring ( queen mattresse double boxspring ? ) discolour tear . yuk ! air conditioning work well room . toilet room pain flush . staff standoffish well . hotel great potential 's premium location . tell disappointing stay bad room large garden view room experience . book club room guarante garden room ... go , otherwise beware ... room substandard size quality . use Holiday Inn Elite point 5 8 night stay hotel . not know play type room give . manager hotel never respond hotel writing stay . thi credit , Holiday Inn issue 15k point account complaint file . would stay ... . experience disappointing chance . indifference staff not help . positive review far number negative review lead suspect number good room far number bad room . good luck . 
 Oct 30 2006 	 close everything good value London 	 spend final 4 day August 30 - September 2 , 2006 ) England trip London , stay Holiday Inn Kensington . family room , 2 double bed . room clean , smoke free prove quite quiet well . room face Cromwell Street , give option , may well go non face room . we special , whereby breakfast include , cover two adult two child ... good way start day ... good food , great , fill . price around 100 pound per night ... bad breakfast include . close tube ( subway ) - across street , walk distance Kensington Palace , various museum , even theatre district walk . would recommend Holiday Inn , would stay back London . 
 Oct 30 2006 	 great weekend break nice hotel 	 stay hotel October 27 - 29th . hotel great base tour London . close Gloucester Road tube station , approximately 100 m Hotel . plenty eat place nearby , include ASK , Garfunkels , Indian Restaurant Pizzerias . waitrose 24hr Tesco need anything travel . room Hotel good fine two adult two child . breakfast good plenty choice available . nice garden rear property adjacent hotel bar . whilst weather reasonable garden available evening , summer sure would nice child . enjoy stay . 
 Oct 26 2006 	 nice last time stay . 	 last stay hotel 2 year ago impressed location facility offer . return week three night break rather less impressed time . obviously , location change . ideal . close tube station within walk distance local landmark , restaurant shop . however , feel hotel decline somewhat since last visit . firstly , room leave little desire . clean would like . dusty corner , mould mildew bathroom threadbare carpet . also , breakfast basic limited choice cereal fruit greasy cook option . hotel busy wait staff continually hover , snatch dish plate underneath moment put cutlery . obviously want get we quickly possibly could get next family . finally , return home several itchy insect bite around ankle arm ! . say sure get hotel , especially none rest family , precaution everything bring back go washing machine hot wash ! ! ! warn ! ! ! ! 
 Oct 24 2006 	 Fine get room ! 	 check time give 3 pm . arrive 4 pm finally get room 5 pm . give complimentary drink bar wait , delay inconvenient mean plan rest day disrupt . little apology offer inconvenience . room good two double bed expect facility . air condition moderately effective . breakfast mostly good , although dining area rather small crowded . have accept delay proper apology , & quot ; average & quot ; rate Holiday Inn . 
 Oct 17 2006 	 Great Place Price 	 wife return week England ( 10/7/06 thru 10/14/06 ) . stay pay room Windsor 5 night stay hotel 2 night . book hotel base review user forum fact expensive . first , little apprehensive select Holiday Inn always notion & quot ; cheap & quot ; hotel . however , nothing could idea . other state , beat location . foot , minute away top London attraction tube stop ( Gloucester Station ) literally across street . handful restaurant choice Tesco ( Grocery Store ) right well . eat one night Fish Chips place ( great ) last night Green Door ( pricy ) . room nice comfortable A / C ( air cool fan system ) . mini fridge small space item , hairdryer trouser press . high - speed internet access available additional fee ( get 24 hour bundle package well rate , still around $ 24 U.S. ) . bed comfortable shower decent water pressure . eat house restaurant , give review . staff nice helpful . contrary another recent review , bell staff help we bag door bring room promptly . complaint would room bit narrow , particularly bed desk . sat desk , hard get bed 's location . addition , shower / bathtub also narrow handrail stick bit . nevertheless , manageable . would definitely stay long period time . 
 Oct 12 2006 	 good ..... 	 stay 10 Sept - 15 Sept 2006 - yes true review say hotel , great location , good size room , close tube tourist attrction ( would hard beat ground ) . feel family group ( 2 adult two child age 4 7 ) little let service side may give budget family room . arrival struggle foyer luggage tired children concierge look . help offer . book clerk say bag would take room , wait 20 minute action go foyer pick ( luggage move ! ) room decent size need rennovation , carpet thread bare mattress need replacement , support result body roll centre require police rescue sqaud extract morine . room face courtyard experience annoying traffic noise . yes , would stay ( recommend hotel ) , hotel staff please apply London hospitality holidaying family business suit ! 
 oct 9 2006 	 H.Inn Great location 	 stay hotel consecutive weekend October 2006 . room spacious find clean . first stay courtyard view room quieter , however ; window keep noise street side long keep close . location convenient underground right line heathrow major site central London . local restaurant pub highly recommend small coffee house west side Gloucester , south underground station . food coffee excellent less expensive Burger King / KFC chain . sorry , never get name place . open late evening well . only warn bar fridge automate lot space inside personal use . overall good choice traveller . 
 Oct 7 2006 	 Executive Room ( ) 	 book stay Holiday Inn website . lose first booking enquire know . make another booking soon confirm charge twice . we arrive early hotel . get pleasent welcome reception . staff look like want lack customer relation . enquire checking room available we . wait 2hours get room . book executive room look forward lie freshen travel morning . get room cramp , side bed stain look like sick , someone else hair pillow . go take shower take slipper provide clean hair they . we ring reception obviously happy room . manager come we within minute tell we hair get linen wash room stain test bed safe sleep . move another room much well . big improvment first room allocate . bar hotel lovely , bright spacious marble floor comfortable couch chair nice relax in . the location hotel excellent around corner tube shop nearby . our stay overall okay apart problem start . 
 Sep 27 2006 	 home away home 	 recently return extend overseas trip . first time London & amp ; read numerous review Trip Advisor various hotel London concerned read old tiny room & amp ; small bathroom , 3 we travel together , wife & amp ; plus 24 year old niece . anyhow , read great review hotel , book line get 14 day advanced purchase rate ( book month ahead ) .this rate turn excellent room rate,95 pound per night , per person rate , great location close Gloucester Road Station ( South Kensington ) plus convenience , include laundromat & amp ; internet cafe close by . if stay extend stay ( stay 10 day late April & amp ; another 4 day end May , leave Rome ) advisable get courtyard room available . the room & amp ; bathroom occassion big ( believe ) London Standards . my wife & amp ; share double bed & amp ; niece double bed bed comfy & amp ; heap room luggage ( lot 4 month trip ) .We problem A / c although 2 night become bit noisy around 1 am.all staff exceptional cleaner up . nothing much trouble Cosmopolitan Staff reception , make stay even enjoyable . would not even bother look another hotel ever return London . this place we & amp ; ! tip , stay London least week , make sure buy oyster card station underground soon arrive . it work lot cheap buying daily ticket plus way not wait long line buy daily ticket , drive mad . also warn postal charge UK expensive , 5 1/2 kilo parcel Australia cost 70 pound ( boy hurt ) .If go Paris wait till post , pre pay international 7 kilo box ( make ) cost 36 euro , equate approximately 25 pound ( big difference ) .enjoy stay home away home hotel . oh forgot , use site gym occassion well , really good & amp ; convenient . 
 Sep 18 2006 	 Great Location Great Price 	 stay hotel one night begin 2 week Europe please Holiday Inn Kensington ! location fantastic . right across street Glouchester Tube ( turn leave leave station walk corner , will see leave ) , convenient . drugstore , post office , Starbucks , ATM bakery within block . supermarket also street ( leave hotel , turn right walk approx 1/2 mile ) . room clean roomy 4 adult . request receive nice room back face peaceful courtyard . toilet get stick couple time wait min , try flush work . able walk Harrod 's department store also Buckingham Palace hotel ~ wear good walking shoe ! careful cross street since hotel busy street . check , double check make sure will not hit car ! otherwise , highly recommend ! ! 
 Sep 14 2006 	 absolutely fantastic 	 Unbelievable value , location , size money . long fun trip end four night London HI South Kensington . stay HI Kensington Forum last visit London time find triple room , HI KF provide . thrilled find HI SK ! say enough place - location perfect , right Piccadilly line Gloucester Road stop . starbuck , Waitrose , patisserie , KFC , Tesco , various restaurant close . Tesco 24 - hour . hotel exactly like Holiday Inn state would - make amazing Europe ! bed comfy , bathroom awesome , tv local british station . not eat restaurant , instead go Waitrose pick breakfast item . 
 Sep 11 2006 	 Location Location Location ! ! ! ! 	 wonderful hotel awesome location ! Holiday Inn Kensington everything hope . family 4 ( 2 adult 2 teen ) great time London Aug 9th – 19th . hotel kitchenette , make due tight budget . bring we snack , plastic dishware collapsible nylon ice bag large enough hold milk , drink , snack , etc . every morning eat cereal room , make peanut butter jelly sandwich head full day fun adventure around town . dinner , eat restaurant purchase dinner item local market eat room . nice Gloucester Tube Station across street . make get around London breeze . hotel clean employee friendly helpful . purchase 6 - day London Passes online go London . great buy ! able fill day good London ' site sound without worry cost activity . friend recommend use ATM London . great advice … there ATM machine London , include Heathrow Airport three corner near Holiday Inn . ' thinking book hotel , ! ! ! 
 Aug 24 2006 	 Perfect need 	 family four ( 2 kid ) stay Holiday Inn Kennsinton one week August . location great , short walk Glouster tube station , serve Picadilly , District , central line . room clean , comfortable , lot pillow . standard room 2 full size bed view garden area , request . extremely quiet night . quiet hotel ever stay . staff young , friendly helpful . arrive 11:00am could check yet , bag put separate area away lobby . get bag grab jacket , staff person make sure right tag right bag , watch access luggage . make feel good know not let anyone room look whatever piece luggage feel like . post office exchange bank right next door . post office sell phone card use call us/ overseas need . much cheap calling room . cell phone work UK . access / out network . Tesco right across tube station open 24 hrs , like 7 - 11 . full service grocery store call Sainsbury opposite direction . much cheap buy food Tesco Sainsbury take back room eat eat hotel . hotel straight shoot Heathrow . get Picadilly line right Heathrow . need change tube line , picadilly stop Glouster tube station . fear push luggage tube station around town , see everyone . buy week pass tube station zone 1 2 , take major site much less expensive buying pass day . go everywhere pass absolutely trouble . change many tube line get around fine . need buy separate pass get back airport outside zone 1 2 . would recommend would stay . 
 Aug 20 2006 	 book first place ! 	 family 4 originally book hotel stay London due many positive review site , decide stay Thanet Hotel instead look charm atmosphere . get Thanet , find unacceptable . luckily , able get back Holiday Inn Kensington , even get take advantage cheap last - minute rate . stay lovely , minor problem . while originally book room 2 double bed , none leave , take suite , number 211 . suite 2 level , good - sized bathroom queen bed upstairs , large living area sofa bed downstairs . queen bed extremely comfortable , sofa bed . fact , one night , end sleep 3 queen bed sofa bed depression middle 2 girl keep roll . hand , great much space , aware stairs upper level low quite narrow , suit everyone . room , include bathroom , clean nicely decorate . air conditioning work beautifully , despite London heat wave . child also really like room , little snack ( presumably tea ) provide cost . one minor thing bother lack bedspread quilt bed . ( go hotel website , show bedspread , none room . ) duvet cover . top sheet , either , although duvet cover white appear spotless . ' m sure clean , little off - put I . the light switch also bite tricky figure , keep turn light place not mean . in - room internet give we little trouble well , possibly Mac instead Windows - base pc , staff extremely helpful get we connect without much delay . other reviewer complain street noise , even though room low floor street side hotel , never bother we . breakfast selection ( include rate ) quite large , much good , although would not recommend egg . include large selection good pastry , cereal ( 3 kind ) , toast , fresh fruit , cheese , yogurt , . able go day small snack lunchtime eat breakfast hotel . hotel garden , could see breakfast area , gorgeous . every time ask help , staff courteous , friendly , quick respond . location hotel can not beat , next time go London , will book Holiday Inn Kensington straight instead wait last minute ! 
