Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Feb 15 2008 	 bad service ever ! 	 simply bad luxury hotel experience ' ve ever . hotel beautiful , management front desk idea treat guest . refuse bring package arrival come Fedex check - in ask want bring . yes , please . never show . call morning show say yes right away . wait almost hour go show without key item . one package await show arrive back use put note housekeeping return management send office checkout . never arrive back course . also lose $ 350 sample completely different package spend last two week try get return email call manager actually duty . will not even go room service issue detail say leave MAIN ingredient salad , disgustingly snooty ask remove bill . absolutely unapologetic . place treat 's guest like garbage . would not pay $ 39.95 stay . 
 Feb 13 2008 	 grand good location 	 get back stay Palace wife past weekend . know go old hotel small room , not sure location , skeptical whether would like hotel . must say pleasantly surprised . hotel grand . lobby much pretty expect . big crowd checking arrive front desk handle smoothly efficiently . room large anticipate . king size bed , flat screen tv . , lounge chair desk sufficient work . bathroom small , since know go , not problem . definitely way one person time could bathroom . bed comfortable room quiet complaint . meal hotel breakfast buffet . buffet nothing spectacular good . addition usual scrambele egg , bacon sausage , blintze , waffle , pancake etc . nothing complain . restaurant buffet serve however spectacular . room remind much serve buffett Alvear Palace Buenos Aires . matter common area hotel ( guest room ) remind Alvear . location hotel work nicely we . close walk distance convention center , china town , good shopping . positive experience . negative comment either wife give concierge two package already seal fed ex form fill ready go , concierge charge 5 dollar hotel 's feed ex pickup . think formal charge basically put package mail kind chintzy nothing worth complain . would stay . 
 Feb 1 2008 	 charming weekend stay 	 husband stay Palace weekend getaway . stay several time , first time . the lobby common area beautiful , location great -- right Market St. , block Union Square . we upgrade suite separate living room . bed comfortable , 2 plasma TVS , spacious , clean , complaint . would happily stay . 
 Jan 26 2008 	 Beautiful Common Areas Room Details Lacking 	 Palace Hotel beautiful grand common area . staircase marvelous original granite step ornate balustrade . day walk stair enjoy timeless beauty - also warm drafty room . spectacular atrium room breakfast , lunch tea . sure bring credit card though , & quot ; Tea Two & quot ; $ 100 . room nice high ceiling , great crown molding , cornice , etc . room simply tastefully decorate . contain king bed , chair ottoman , desk , bench , large flat screen tv , frig iron . spot duvet cover carpet . mattress little firm , pillow lackluster . dvd player would make nice addition . the bathroom small insufficient counter space . magnify mirror hair dryer include . shower head great . toiletry include uninspire shampoo , conditioner , lotion , shower gel , bar soap . bathroom exhaust vent run constantly could turn - connect light switch . noise annoying , make drafty bath time . bathroom floor come complete black hair 5 inch long remove stay . bottled water replenish - nice . evening turn - down come sweet . apple complimentary front desk day , good coffee morning . I believe thermostat pretend . matter high temperature set , room never become warm . fan could turn - adjust low , medium high . room drafty , since weather outside rainy cold , make impossible ever get warm . gap window frame half inch , breeze come , along street noise . sound like siren right window 6th floor . nice heavy drape could closed - want room dark daylight hour ? ? ? draft also come around door frame . there soundproof whatsoever . privy every word speak every & quot ; activity & quot ; neighboring room . even know throat clear . mean , course , privy everything go room . upon arrival , lamp plug break - sit several foot would plug - mean obvious housekeeping - yet leave way . lack attention detail carry stay . room service menu room - one request send . rusty metal panel bathroom ceiling steam would condense , drip rusty brown water onto toilet seat - create somewhat unpleasant image . internet $ 17 / day parking shock $ 50 / night . yike ! ! room service hamburger beverage come $ 30 deliver . the Palace location surround lot shopping dining . walk distance Chinatown , Ferry , etc . pay attention be walk though , block wrong direction certainly change tone quickly something disconcert . overall impression Palace beautiful hotel . would pay attention detail , could fabulous experience , instead average . 
 Jan 23 2008 	 Excellent Hotel 	 husband stay 2 night weekend getaway . love centrally locate hotel . 's easy walk distance Chinatown , Union Square , shop Ferry Building . BART station right outside hotel , convenient come airport . hotel room little small , great shape . consider old hotel , well maintain . problem & quot ; thin wall & quot ; review mention . tip : take BART SFO instead taxi . 's 1/2 ride $ 5 . unlike $ 50 taxi trip . 
 Jan 22 2008 	 disappoint 	 husband surprised weekend getaway SF , book we Junior Suite Palace Hotel SF . upon arrival , & quot ; upgrade & quot ; since room ready yet . room end # 798 , 2 room nice ... first . go evening way back room notice people room next we leave room service cart . cigarette butts empty cigarette pack table . open door room immediately hit disgusting smell cigarette smoke . room non - smoking smell like early , know folk next door . call lobby take cart away . call ask want new room . midnight , think smoke come interior door join room , say . custodian come spray freshener air purifier run 20 minute . stuff towel adjoining door , open window , go sleep . next morning still smell like smoke - realize smell come ventilation vent ceiling . custodian tell room next we smoking room , not . would put smoking room next non - smoking room share ventilation system ? anyway , check soon could . valet bring car , notice back wall parking garage . be like bumper fall , dent paint miss . security guy take information tell Director Security get touch we week . excited stay Palace ; be lovely old building lot character great location ... never go back . 
 Jan 18 2008 	 Praise Palace 	 stay Palace first leg San Fransisco Carmel trip , 4 night -- love location -No car need -- 2 teenager pool great -- great location -- walk shopping , cable car , Embarcedaro -- cabbe SF Giants game walk back ( instead wait cab ) ... bad walk .... away enough hub - bub make pleasant .. check Union Square ... nice visit .... would not want sleep ! hotel : room superior book AMEX Vacations -- good value -- spacious , service great , housekeeping superb . maybe be use family stay hotel .. nice luxury well keep hotel history -- not make like anymore ... walk patissrie coffee croissant .. block four Seasons fine hotel upscale shopswill definately recommend 
 Jan 14 2008 	 nice hotel great location 	 stay Palace SF week Christmas New Year 's year great time . stay standard room really comfortable bed , flat screen tv , wire wireless internet , good mini - fridge amenity . take advantage hotel 's service particularly impressed exercise room pool . although somewhat expensive ( $ 69 / person ) , jazz brunch Palm Court Sundays well worth rest hotel 's food also good reasonably price . no real complaint except perhaps locate little far core tourist stuff like Cable Car line frankly not see problem . will back sure ! 
 Jan 10 2008 	 Great Location . 	 can not fault location , meter BART station easy get airport . room nice , facility would expect standard hotel . breakfast vast , little expensive . would definitely recommend . 
 Jan 8 2008 	 can not wait go back 	 love everything Palace Hotel . location superb . ' ve stay part San Francisco , far favorite location proximity great restaurant , transportation , convenience heart city . room lovely beautifully keep . bathroom old - fashioned ambience , modern amenity . concierge service first rate . I would recommend hotel anyone want big city ambience elegant hotel , close & quot ; action & quot ; . 
 Jan 6 2008 	 ok 	 stay hotel time business . recently notice get tired ( room / common space ) . service also go downhill . December , upgrade suite notice ; dirty carpet , broken tile , iron work , movie old tv . food expensive ok . 
 Jan 5 2008 	 good location nice hotel luxury 	 Hotel great location public area spectacular . room spacious adequately furnish carpet would call decoration ( magnolia white emulsion paint ) fixture fitting room ( picture , lamp , etc ) & quot ; luxurious & quot ; . service hotel courteous fine . avoid expensive ( beautifully decorate ) bar service rather surly , consider amount spend 2 glass wine . 
 Jan 1 2008 	 Holiday Inn ` ` Luxury Collection '' Awaits 	 Complete Holidome ubitquitous $ 10 brass hotel lamp pleated shade , luxury hotel circumstance . place go long way ( long time ) grand lobby interesting architecture great hotel make . room small , furnishing tawdry , 's noisy seem family . lobby become register tourist trap rest close completely renovate sound - proof . 
 Dec 27 2007 	 old Nice 	 ' ve stay Palace number occasion . service well average every time . room nice . always clean . public area attractive well maintain . 
 Dec 26 2007 	 Fantastic hotel let silly thing ! 	 fantastic hotel , excellent service parking EXTORTIONATE $ 48 night ! ! ! internet service $ 19 day ! ! apart room , hotel , staff fantastic . hotel clean comfortable would 100 % stay heartbeat ! ! wouldt take car ! 
 Dec 18 2007 	 Grand Old Hotel 	 spend weekend San Francisco want hotel close BART station . decide fly SFO want walk use public transportation SF holiday traffic . choose Palace Hotel locate directly across street Montgomery BART station . lovely old grand hotel european feel . walk past ornate busy bar efficient check area well helpful concierge service . room adequate , although bathroom could use renovation .... little counter space , plastic shower curtain tub , poor ventilation . bed bedding comfy next time would make sure room efficient blackout curtain . keep voice , though . hear conversation side room , clearly improvement need make . breakfast ornate , gorgeous room lovely plentiful . dining room entire hotel decorate tastefully holiday . enjoy able walk Union Square , shopping area Market Street , MOMA . improvement , Palace could become .... palace . 
 Dec 13 2007 	 nice old hotel ! ! 	 book online get GREAT internet rate . hotel classic old one great location . high ceiling , good bedding , nice view city . not expect & quot ; spa & quot ; hotel similar solid one -- Fairmont , St. Francis , etc . have brunch main dining room buffet extremely well do ( big buffet person ) . would love stay . valet parking bit pricey ( $ 45 ) , room cheap enough overcome . 
 Nov 25 2007 	 Bad Service ok room 	 room fine , service definitely 5 - Star . majority service receive unhelpful completely non - existent . go get car hotel garage , tell have 15 minute . guy leave never come back . 35 minute later walk garage attendant get we another 15 minute wait . also go concierge desk help find place ship wine buy trip help bell hop idea tell we go . also charge $ 17 / day internet access seem completely top , opt go coffee house street . be look upscale service place go . hotel definitely understaffe , be look decent room good location 's bad spot . 
 Nov 12 2007 	 great Stay ! 	 make change Omni hotel base purely price . able get standard room 169 night 2 night go town see Cal vs. USC Football game . happy stay ! first , also anniversary , check , courtesy card half dozen chocolate dip strawberry .... good ! enjoy pool , sauna , spa currently reparie . service amazing , everyone helpful friendly moment arrive . use room service several time , time food great . the room small stay , enough two we . bathroom great shower , soap shampoo average quality . bed king size comfortable , sheet blanket could probably update little . overall nice stay great hotel , much cheap many competitor . 
 Oct 27 2007 	 Okay 	 Hotel stay simply okay - defiantly traditional five - star , possibly four - star . Historic , yes , need renovation . hotel service , however , outstanding . 
 Oct 24 2007 	 Nice Hotel thin wall expensive 	 hotel nice . stay conference , less concerned price vacation . pay , would say pricey side ( $ 400 night ) . actually , would not pay much room . the room nice , clean , king bed . location hotel great ... within walking distance Union Square , soma , Ferry Building . overall good stay , except patron room next door wake middle night ... say ... getting know one another ... know mean . 
 Oct 23 2007 	 Great Hotel Grand style yesteryear 	 get great deal property Hotwire.com . first time SanFrancisco idea stay . certainly lucke property . room impecible - little small luxurious . Marble Bathroom - King Size Bed - Big TV ( LCD ) impecible service . pool spa beautiful . location perfect - right Union square . get good deal you re laugh grand hotel 
 Oct 10 2007 	 Loved Palace ! 	 love stay Palace . check easy quick . room 6th floor face New Montgomery . room well appoint clean . standard room bit small high ceiling really open small space right . perfect 2 people . concierge helpful . complimentary bottled water leave every day . pool / spa / gym complex nice . always bowl apple front desk . coffee paper available every day . City Guides free tour ( city ) hotel one morning , take . really give insight history opulent hotel dignitary stay year . I must say really hesitant stay Palace previous review . glad say problem . city easy navigate Union Square area . purchase 3 day muni pass not even wind use ( ride cable car ) walk everywhere feel safe even though lot homeless people everywhere go . 
 Oct 10 2007 	 nice stay even room small today 's standard 	 choose Palace due 's location near people visit . overall , pleased stay way check check . & quot ; drawback & quot ; hotel originally open 19th century , room , least one stay 5th floor , tiny today 's standard may feel bit crowded . believe modern room big hotel least 350 square foot . room small bathroom tiny . still , everything work nice far room concern . room include : free bottle water , robe , usual ( blow dryer , iron , small tv ) . service polite professional . morning coffee newspaper provide . eat hotel restaurant . lobby nice place relax finish coffee paper . location , other mention , somewhat less wonderful standpoint homeless wander street pretty regularly . still , stroll nearby street night would say fearful , prepared people dig trash can hold cup pretty common . also , 15 minute walk touristy - sight , like Ferry Plaza Chinatown , rather tough two mile walk big draw San Fran , Fisherman 's Wharf area . nice indoor pool jacuzzi . unfortunately , jacuzzi order second day two day stay . bit disappoint second time last couple month Starwood Chain hotel stay hamper break hot tub . oh well .. triple room rate $ 259 / night plus $ 36 dollar tax king size bed room . note charge : use debit card , even VISA Mastercard logo , charge room , hotel charge extra $ 100 dollar per day incidental . apparently , tell money credit back 15 30 day . check - in use credit card pay debit card check avoid charge . car know parking charge . summary , couple look nice place expect stroll sight staying room , Palace fine . base size room , would suggest party 2 compare room size place first . . 
 oct 9 2007 	 Loved Palace 	 book last minute hotel boss . amazing . old world class , lay back . restaraunt amazing dining experience . want luxury , try Palace . 10 minute walk Moscone Center . 
 Oct 4 2007 	 touch class somewhat depressing downtown area 	 begin honeymoon Palace hotel ......... wonderful tradition , tastfully decorate , world class hotel overall . the room bit small expect major city - wonderful high ceiling crown molding make room seem large great ......... bed heaven ! hotel staff friendly helpful people ever encountered.one drawback stay , go business work week , large population homeless people san francisco - find begin early , mean early morning bang drum resemble type music raise money passerby businessman / woman way work - think parade first loud ! distract annoying ! 
 Oct 1 2007 	 Beautiful Place ! 	 tag along business trip husband stay - impressive ! quite pricey though - good thing could expense ! room quite large - exquisite - excellent service great breakfast . would highly recommend ! 
 Sep 27 2007 	 Palace fabulous ! 	 spend many many hour online try book right place 5 day reunion three childhood girlfriend . Palace Hotel turn exactly looking ! spacious room door spa / pool / hot tub / sauna , friendly bar premise , wonderful concierge ... thank , Debbie Lew ! ( thing would like would big bed , , not sleep much good time . ) location terrific transportation doorstep , within easy walk distance museum , Union Square , Chinatown Bloomingdales . lobby dining room stunningly beautiful . entire staff , doormen desk staff housekeep friendly beck call . highly recommend Palace Hotel try stay next visit San Francisco . 
 Sep 21 2007 	 trip Palace 	 Palace Hotel cool place . grand elegance appear history . location great we . within easy walk distance Ferry Building . staff great room clean comfortable . two thing know . wall thin . folk next door decide watch tv 11:30pm , could hear every word ( get 4 am flight ! ) . also , charge keep car valet garage $ 48 per night ! not tell possession vehicle . beware ! 
 Sep 5 2007 	 quiet 	 abeautiful hotel , great location , peaceful , quiet nothing complain . room service good staff nice helpful , really enjoy : ) 
 Sep 4 2007 	 Grand hotel shopping district 	 Hotel grand old property near Union . Square shopping district . contemporary hotel grand old hotel historic background . room overly large beautiful . stay numerous time . restaurant fantastic bar offer friendly service good selection . would recommend anyone visit San Francisco . the disappointment would service . property well keep really not go extra mile friendliness service compare similarly price hotel . stay honeymoon night not even acknowledge . however two prior hotel stay Hawaii honeymoon go beyond ackowledge . 
 Sep 2 2007 	 par luxury collection 	 stay palace one week end August 2007 . hotel room small extremely plain . book deluxe room size high floor . not know ask pay . really want big room instead go pay . bathroom also small . use stay Marriott Hyatt 's . pro provide water daily USA today . however , coffee maker room coffee lounge often empty . con room white pale yellow inviting . temperature high floor never get 76 degree . know hot keep check thermostat . wall incredibly thin hear & quot ; everything & quot ; . also clean staff seem come early 730 8 morning . tv maybe 12 channel internet expensive ever see 18.00 per 24 hour . 5.00 internet cafe 's right around corner use net . concierge effective also nice . big test hotel 's service & quot ; luxury & quot ; class caliber problem arise . manager seem want help let know thing take care . would stay hotel especially since many nearby much well . 
 Aug 29 2007 	 way Overpriced Need Renovations 	 return week 's vacation northern California . stay 3 night Palace Union Square . book Hotwire rate seem good $ 169.00 per night call 4.5 star hotel . would give hotel anymore 2 star . top room rate charge $ 48.00 per day parking plus use internet another $ 18.00 even wireless . taxis everything else push almost $ 300.00 per night , make seem way overpriced . hotel , location great aside , go . room 12 X 12 closet . little armoire fit hang item . addition travel infant . could walk around room luggage stuff . bathroom small well . big area paint peel ceiling room unacceptable call 4.5 star hotel . add standard high usually stay Four season comparable 4.5 star figure price worth make mistake twice . 
 Aug 28 2007 	 Lovely Hotel Expensive Phone call ! ! ! ! ! 	 former San Franciscan , always want stay gorgeous hotel . finally get chance ! room nice , quiet . honestly , not encounter much service , familiar area city , not require help navigate . room fairly austere , high quality , comfortable . may sound odd , air conditioner quiet air feel clean . the Pied Piper Room Maxfield Parrish mural , rich wood interior miss . go drink live SF , well time return home . truffle french fry rock ! hotel Financial District , aware weekend lot restaurant immediate area close , limited hour . concerned coffee ( believe , concerned coffee ) starbuck half block away Montgomery , place call Specialy 's 3/4 block @ Montgomery & amp ; Mission . coffee , pastry , know excellent cookie bread . side Market St. New Montgomery , another starbuck well Peets Coffee , Tulley 's coffee Crocker Galleria . if stay hotel week , consider lunch Belden Lane , small street Financial District several great restaurant ( french , Spanish & amp ; italian ) . be warm , eat outside . Belden Place 4 block hotel , awful Union Square , oddly , much good fare . on bad news hotel .... $ 17 PER computer/ PER DAY internet service . , come on -- something wrong hotel caliber tech saavy SF charge internet ! not wireless ? ? ? 17 minute long distance phone call $ 47 . cell phone reception room great , make important phone call tune $ 47 . send fax business center grossly expensive ( ' m sure , think $ 8 per page ) , woman business center less pleasant huffy - puffy attitude . , beautiful hotel , good location , importantly , good public restroom city . 
 Aug 24 2007 	 Beautiful Friendly 	 wife arrive conference weekday . doorman bellhop great arrive , throughout rest stay . sprinkle single around everyone well worth money NY area would got nothing . concierge helpful fill good idea know restaurant want go make reservation . seem know people call restaurant great job . this grand Hotel keep wonderful stained glass ceiling furniture like lobie great . our room perfect extremely comfrtable bed bath expect high ceiling one find great old hotel . housekeeping staff keep room immaculate . Excellent Location transportation easy walk all . tip : good crab cake San Fran Pub downstair meat enjoy . 
 Aug 21 2007 	 charming great location 	 Palace Hotel beautiful . husband 2 daughter spend 4 nice night splendid hotel . location great ! 's short walk incredible shopping , chinatown great restaurant . moment get car , service nothing short great . take care bag car proceed check - in . reserve one bedroom suite , turn quite nice . little nervous noise , aquaintance stay Palace say wall bit thin . inquire desk noise assure we would problem room . suite great old world charm . room clean ( although sofa living room need good cleaning ) king bed extremely comfortable . bellman unload luggage respective place , show we room welcome we hotel . problem room give we king instead 2 double daughter nowhere sleep . immediately call front desk , quickly apologize mixup say would send two complimentary rollaway . rollaway bring within 10 minute call fit perfectly livingroom , since room quite large . the concierge service nice , helpful recommend restaurant make reservation give direction . steakhouse hotel ( Maxfields ) decent , overly great , not want walk restaurant outside hotel walk day long . order room service daughter couple night husband could go , enjoy ( love eatte room watch High School Musical 2 ) . front desk correct , room relatively quiet . mixup bed work great , since give husband daughter privacy long day tourist . daughter find long hallway bit & quot ; spooky & quot ; , enjoy well . will definately stay , return San Francisco . 
 Aug 16 2007 	 Nice hotel good location 	 stay Palace Hotel 3 night find nice hotel . clean , staff helpful , pool exercise area nice . lap pool , young daughter still enjoy . start 2 ' 8 & quot ; go 4' . we pay stay , since part trip business relate . ' m sure would stay , pay . not coffeemaker room room service pricey . three small breakfast coffee first morning , cost we $ 60 , not . room service charge , plus 15 % gratiuty add automatically . mini bar also pricey . 8 ounce bottle soda one day cost $ 4 . need caffeine morning without coffeemaker , caffeinate soda option . the room , nice plenty room spread . daughter could watch tv evening , husband work desk sit area . the concierge helpful . leave early morning SFO airport planning take taxi . tell would cost $ 45 trip , get downstair check , bellhop tell we towncar available $ 50 , take . ride towncar worth ! fun taxi ride stay , relax trip airport wonderful . 
 Aug 10 2007 	 high expectation ... 	 high expectation hotel , certainly lobby garden court room spectacular look . however beautiful hotel mar surly standard service . on arrival reception staff brusque unwelcome mininal communication . first room ok , disappointing low floor & quot ; backside & quot ; hotel -completely opposite request . ( though understand , request can not always meet ) .A second room slightly well eventually upgrade junior suite follow day . there large wedding take place evening arrive consequence impossible get quiet drink . reception suggest altenative request room service -however room service going take 30 - 40 deliver 2 soft drink ( mini bar empty ) .Having arrive Saturday evening , try order brunch follow morning , tell fully book . we suggest might take brunch another hotel , 7 am message phone saying could accommodate we 11amBrunch $ 64 pp restaurant staff insistent pay picky daughter want one pancake . become increasingly jade point , ask see manager . he new & quot ; learn rope & quot ; eventually arrange we accommodate garden room brunch , $ 12 charge pancake . however lose & quot ; slot & quot ; wait 30 min . brunch excellent , hot , fresh , lot choice . concierge seem busy , mildly impatient . the hotel offer recompense way slightly later check time accomodate flight complimentary breakfast final morning , however leave feeling would & quot ; battle & quot ; little thing . despite experience would give hotel another try surrounding lovely . we may unlucky - and everyone deserve second chance . 
 Aug 9 2007 	 nice place change could make great ! 	 two room Palace three day . room nice great bed soar ceiling , lack basic become standard average quality room . example , coffee maker . coffee morning near front desk , two day three guest line wait pot refill . we order tea room service . charge tip come $ 20 pot tea wait 45 minute deliver . the bar , however , lovely mural Pied Piper Hamlin miss . the Garden Court lovely , give almost completely restaurant almost abandon one , therefore feel comfortably hang around . bad . Garden Court treat lobby make true public space , would really make grand hotel come alive . instead , feel bit sterile ... like grand day past . I say staff friendly helpful . 
 Aug 6 2007 	 Hit Miss San Francisco 	 stay Palace Hotel mid July 2007 . fair bit homework booking , via Trip Advisor source , hotel San Francisco seem perfect . exclude due ongoing refurbishment work , eventually figure Starwood usually safe bet seem good price . originally ask high floor suite get allocate suite third floor available . choose Palace part pool daughter , 4th floor . turn able walk pool single flight stair right outside room convenient . pool usually quiet kid . change room bit basic offer usual spa - style luxury might expect . life guard , would appear , rule restriction . two room suite exactly luxurious ever stay look tired old fashioned . flat screen tv computer ' make San Francisco yet . room small two double bed quite cramp bedroom . also bite soft taste , usual starwood " heavenly bed " , $ 900 3 night suite fairly price . bathroom small bath shower . large wardrobe , safe minibar available tea coffee make facility pay $ 17 day internet access ridiculous get free MacDonald ' road ! room quite noisy thin wall , rattley air - con traffic building work early morning , take ear plug . expect hotel service quality . example , arrival ask housekeep extra robe , miss hotel service directory thing . wonder arrive yet ? another bizarre thing turndown 5 pm day ! hotel well situate Union Square shopping access tram bus . doorman helpful staff encounter indifferent constant queue concierge . eventually use order car airport get wrong . garden room pretty open lunch breakfast . would think could open part lounge evening . lunch food good , however wait staff totally forgetful disorganised get order mix , leave we wrong meal . try japanese restaurant hotel nice enough though spectacular . " famous " Pied Piper bar busy noisy ' lounge relax drink game . 
 Aug 6 2007 	 Nothing special 	 platinum american express member well gold starwood member . choose stay palace choose lead hotels magazine american express give member . although upgrade suite receieve platinum perk feel hotel really par come service . travel alot say hotel staff little make feel like come back . one friendly inviting , bell staff extremly rude drop one duffel bag floor one bell cart need use . 1500 louis vuitton bag ask put floor would go take . said & quot ; well need cart & quot ; attitude procedde drop bag . ton great hotel area Renaissance ( smiliar grand look palace right ! ) W Ritz carlton . do not recommend hotel . decor room be not much either warm cozy although tried make look classic traditional do not work , color wall add insult injury . 
 Jul 27 2007 	 Peaceful Hotel Chaotic City 	 decide stay Palace mood generic , business hotel conference hold . want stay place remind another era , history elegance - disappointed . beautiful dining room amazing ceiling cozy Pied Piper Bar , pretty staircase near elevator , 14 foot high ceiling room - definately generic business hotel ! ! room small face interior extremely peaceful . bed comfortable noises night . bathroom nice size clean . feel alot peace hotel . even though be old , room not seem old though nice detail large window , closet , etc . I change hotel reservation 5 time ' m picky know make right choice choose Palace ! 
 Jul 25 2007 	 wonderful stay Palace 	 stay Palace Hotel july3 - 7 , 2007 , think wasa wonderful hotel . get AAA special rate $ 159 . per night adeluxe , preferred room . offer include room upgrade available . far know receive upgrade . room elegant thought bathroom big ( maybe isbecause often stay Marriott Hilton property . ) . really pleased find bathroom window . 6th floor inside room everything quiet . hard realize middle busy , noisy city . little hesitant staying comment Tripadvisor thin wall . twice , hear water run either room next door perhaps upstairs . twice hear someone hall . noise expect hear hotel . none noise loud . really wonder anyone room next . one morning leave room , check find " Privacy please " sign door room either side . find hotel staff bellman desk clerks maid even concierge friendly cordial . one day leave room , maid come hall room cleaning get supply . acknowledged ask . seem ready engage conversation encouragedit . concierge wonderful knowledgeable . busy every time pass . actually stop get information one , act like importantperson wait day . one day breakfast , ask one restaurant employee question hotel history . know answer question suggest might check employee lobby area . go way admire furniture fixture . look see restaurant employee . ask one fellow employee looked find give answer . I think bed nice . probably would prefer mattress tiny bit firm , think moderate level soft firm problem . glad find alarm clock room bed . however , use except see time . use wake - up service morning need certain time . service great . hotel , find service sometime early late calling . Palace , " right time " .The hotel public area luxurious . other mention , hotel excellent area public transportation . use BART MUNI walk lot place . enjoy small refrigerator room easy walk Bristol Farms ( grocery store ) San Francisco Center get thing put refrigerator . take BART back hotel ' want walk back grocery . walgreen ' also couple block away . there homeless people around part keep bother anyone walk street . find area safe , even dark . one night go play Curran Theatre walk 5 - 6 block back , come back around 11:00.a.m . first block crowded people , last , everyone disappear . I car pay parking . computer , ' worry connection fee . I would consider stay Palace . would consider even rate around $ 200 night . seem rate lot hotel San Francisco . really like areaand room . trip consider several hotel . would cost Palace doubt would nice . regard negative comment Palace Hotel ( hotel ) , think lot could avoid people would check hotel website get information call hotel ask question . perhaps would many surprise . people might say ' time . would say interesting sure time write negative comment gripe everything 
 Jul 24 2007 	 Palace right price . 	 Stayed Palace come away regret . hotel centrally locate Market Street . 5 minute walk Union Square business district Embarcadero . staff pleasant . room stay large importantly clean . gym modern 8 aerobic machine along free weight . indoor pool look invite unable take dip . rate 109.00 , night , purchase call Sheraton , good deal . complaint pay internet access . ' cheap ' chain motel give free internet access can not high end ' hotel ' give service . definitely consideration go back San Francisco . 
 Jul 23 2007 	 Nice Hotel bit boring 	 return Palace long business trip July , hotel nice , exciting . room decent bed comfortable . room face Market , become problem several day trip , construction start late night . front desk assist room change . second room receive , inner room , really dark small . would bummer stay room seven night ; however , quiet room two night . photo review first room face Market . gym average average . cardio equipment really old . pool area nice . concierge , two female staff member really rude . one gentleman work concierge desk give great advice ... however , stay away female staff . mean , rude , never smile . like old grand hotel intend spend fair amount time lobby , place . want flat screen tv , free internet service lobby , nice cardio equipment , friendly concierge ... go elsewhere . nice , great . would stay starwood point ... W street well new Westin ! 
 Jul 19 2007 	 great location cable car streetcar BART 	 stay three night Palace use reward point . little concerned less stellar review . well , please Palace . public area beautiful . get slight upgrade large two double bed room could well fit rollaway . room well maintain nice bathroom . wide , majestic hallway . Montgomery St. BART station literally outside door hotel - convenient fly via SFO OAK . streetcar stop outside ( take Alcatraz pier / Fisherman 's Wharf , etc ) . cable car station block away . TIP : not queue end cable car line ( could huge line ) - go block two cable car route wait cable car come ( not totally fill end station ) . SOMEWHAT AGGRESSIVE want wedge way car may appear full . check first see car open spot running board ( BEST place ride , hang rail ) .Breakfast hotel king ' ransom - literally dozen place within second hotel breakfast . be well bet . 
 Jul 19 2007 	 Location Charm ! 	 husband , 4 year - old - daughter , stay superior room ( # 406 ) July 3 - 8 aaa rate $ 129 night . pleased location service would spend $ 200 night . mention previous post , location awesome , especially intend use public transportation . BART station streetcar stop right . either walk take public transportation activity San Francisco . area feel safe city area could feel time . always homeless people visible Market , disturb we . room face entrance hotel ; noise hear hallway ( mainly morning early evening ) , street . noise interrupt sleep . think room simply nicely appoint . mini refrigerator room appreciate . two bathrobe hang closet bottled water leave day . pool wonderful relaxing , staff desk helpful . check - in desk often busy , wait never five minute . concierge extremely busy helpful enough ; however , nothing recommend stuck superb . one small irritation internet service . husband never could get wireless work , neither front desk business center send could help . fact , business center claim ' help completely separate service ( front desk send husband help ? ) . frustrate , pay wired connection room rather also pain use slow . since hotel charge $ 13.99 day use internet service , ' think would helpful up - to - date . , enjoy stay Palace think rate pay deal get ! 
 Jul 11 2007 	 Great Location - very clean 	 stay one night conference .. know rate $ 259 room $ 43 park . location terrific room fancy , clean comfortable . would stay could get low rate . my room number 350 ... along outside near street fairly noisy next time would book room inner hallway . the Pied Piper Bar comfortable nice place wind long day meeting . hotel historic beautiful , modern luxury kinda like ! staff valet attendant doorman check people kind helpful ... know make guest feel home ! 
 Jul 7 2007 	 overprice okay hotel . 	 250 - 300 dollar / night room , expect way . grant lobby gorgeous , spend time anyway . location convenient though , near Union Square Market Street . big problem total lack value money pay . room okay , really 4 5 star claim , plain old standard room . room size small , bed linen like sheraton sweet sleeper type , pay stay sheraton . bathroom new , small towel & quot ; hilton & quot ; feel . amentitie good either . also charge arm leg park . decent place , really family though . would pay max 150 dollar / night type place . worth opinion . 
