hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 May 1 2008 	 sleep cloud 	 husband recently visit London stay lovely botique hotel return visit . experience even well first stay , welcome return home . staff wonderfully attentive , without cloy , welcome drink serve lounge , totally relax fire , use business center catch e mail etc . lounge also serve tasty canape early evening . staff truly able obtain reservation place wish dine , show wish see ; make clear truly pleasure help . location hotel put easy walk cab ride everything . the room lovely always delicious fruit tray upon arrival really exceptional feature bed . good sleep rest ever travel ! ! ! ! sheet linnen cloud - like . bath exceptional contain everything need complete restful stay . look forward another return visit 
 Apr 16 2008 	 Exemplary Accommodations 	 London final destination trip return home U.S . casual business trip take wife along two employee . meet attitude sincere graciousness hospitality . hotel staff friendly eager assist matter question challenge pose . overall atmosphere top notch room outstanding . private lounge relax rallying point group provide conversation and/or access high speed internet . honestly think single constructive criticism would contribute company 's performance . back encourage other enjoy experience whether London business pleasure . 
 Apr 16 2008 	 definitely live lofty expectation . 	 read previous review trip , wonder Hotel 41 could exceptional describe . happy say deserve praise high rating . room expect , comfortable tastefully appoint . bed heaven end long day . would like free internet access room , business center convenient always available . housekeeping staff great job make sure will miss hotel room ' ve return home . what set hotel apart staff . superb group cater need . everyone friendly without feel forced . the location not perfect late night activity 's pretty quiet buckingham palace road dark . time , be probably safe place London . everything short walk away , Victoria tube station around corner , whatever can not walk easily reach underground minute . 
 Mar 31 2008 	 Excellent 	 always stay 4 5 star hotel do many year . this hotel beautiful , small , homely , old english gentelmen club . our room beautifully decorate black white bed pillow wonderful . they everything need room . bathroom beautiful , staff genuinely friendly knowledgable well groom . the breakfast room great , also quick room service meal arrival wonderful . the location great behind Buckingham Palace . it imagine British Boutique Hotel look like . yes exspensive London exspensive city hotel moment pay top dollar anything good London . it wet cold tourism day get back room want leave Mr. Chow dinner . just great . 
 Mar 30 2008 	 outstanding hotel ..... 	 stay weeke March 2008 celebrate birthday - husband book surprise definitley disappoint . hotel fabulous worthy 5 star status . stay executive king room outstanding . birthday cake champage room , lot extra little touch fresh fruit , bucket ice , little bowl olive . 3 plasma tv 's room , include 1 bathroom ! really go way make feel home . bed huge comfortable . turn night leave little bottle lavendar mist pillow . also put little card top bed next day 's weather forecast leave fresh towel bathroom twice day . say enough personal touch . greet name enough ensure enjoy stay . well without make feel uncomfortable . expect , hotel great location . Buckingham Palace literally doorstep . excellent hotel surpass expectation . recommend enough definitley go back soon . book hotel confidence . disappoint . 
 Mar 30 2008 	 Fantastci ! 	 boyfriend stay 41 Hotel last night totally live great reputation ! though bedroom little small mare experience . staff lovely friendly unlike 4 5 star hotel stay stuffy snotty ! ! ! 
 Mar 30 2008 	 Hotel 41 	 husband stay Hotel 41 one night celebrate birthday . although hotel nice find soulless , overprice poorly locate evening entertainment . food drink prohibitively expensive - bloody Mary cost £ 15 not even come stick celery ! tea £ 8 . positive note bed exceptionally comfortable . 
 Mar 15 2008 	 Amazing Service Fabulous English Charm 	 planning first trip London quite overwhelming . part town stay ? amenity important ? make choice , easy , count Tripadvisor community . not Tripadvisor , would never find amazing hotel . locate Buckingham Palace Road , perfectly situated see city . prior arrival , contact amazing manager , Chantal . meet every need stay . personalized service specialize . greet doorman know name . take elevator beautiful room mahogany wood , fireplace , library , beverage , snack much . enjoy breakfast morning . honor bar fabulous , although staff butler never allow we carry drink room ! room beautiful black white marble . bowl apple fill hallway . housekeeping turn service impeccable . room air condition ( common London ) important experienced week warm weather . every question always answer , every need always meet theatre ticket child care dinner reservation . 41 hotel truly amazing ( recently list Travel & amp ; leisure 's good 500 hotel world ) . 
 Mar 12 2008 	 live expectation 	 Hotel 41 deliver excellent service . meet front door manager help we check offer we free drink snack wait get room ( early ) . staff attentive , offer advice place go thing see , every need cater . ' romantic turndown ' service order optional extra fab - rise petal candle leave room , along chill bottle verve clique champagne ( service come free order via ' our offer ' section hotel 's website - lot thing choose , would recommend look ) .The room lovely - tastefully decorate black white . room feel tad small go cheapeast option executive double . long leg may trouble use loo room type 's hardly room loo bath - be tall not problem we . the hotel really good location , minute walk Victoria tube station , need use taxi 's . park next Buckingham Palace really close - nice walk around park Sunday check out . I would recommend hotel fancy bit luxury . book one anniversary - normally not splash much free extra ( i.e . champagne breakfast would cost £ 25 pp per day would book regular section website ) mean turn really good value . 
 Feb 17 2008 	 Loved ! love ! love ! 	 stay mother sister . perfect hotel & quot ; girl & quot ; . morning breakfast well restaurant breakfast . take request tea / coffee/ toast addition small buffet nice offering . breakfast every morning offer egg , sausage and/or bacon , potato , fruit , roll . walk London , breakfast essential starter . plus time difference wake hungry . the hotel pricey , look package deal . include breakfast , one dinner restaurant , fresh flower room , bottle lovely wine . although view , room large London hotel . bathroom small , luxuriously appoint . shower ceiling torrential desire . nice change flow regulator many hotel instal . separate bath , heated tile front sink , small flat screen , blue subtle lighting accent . the staff good point hotel . eager engaging . remember really try meet need . concierge procure wait line type ticket several attraction price regular ticket . one hop on / hop tour bus operate next door . gift shop across tour bus stop exchange money favorable rate hotel . hotel Europe ever stay good exchange rate . find gift shop window back exchange ! walk palace -- hotel block basically . walk distance green park , plenty shopping within walk distance . the day leave see two grand carriage footmen horse leave Buckingham Palace Mews pick dignitary . quite site ! reviewer note small hallway low ceiling , come , London . must work exist structure . hotel 41 do amazing thing space have . the library type lobby cozy . Plunder pantry free night ( believe 9 pm ) usually stock nice food . set area breakfast . bread cheese , salad , often chicken , turkey , roll meat offering . Chips potato salad , etc . usually fruit . enjoy breakfast hotel , would lunch late touring . back plunder pantry cozy surrounding bed . rarely eat actual dinner . make every attempt pay rack rate . homework find deal . hotel luxurious feel suburb location ! like say : Loved ! 
 Feb 17 2008 	 everything say 	 lovely hotel good location , stay one night . fireplace room good staff . very expensive eat . really nice hotel . 
 Feb 13 2008 	 Special Hotel 	 husband two daughter stay hotel one night celebrate husband 's 50th birthday . moment arrive staff wonderful - welcome friendly service receive faultless . lovely greet name every occasion nothing much trouble . book hotel back review Tripadvisor would hesitation recommend - somewhere special personal standard service would hard beat . 
 Feb 10 2008 	 's undeniably good 	 Hotel 41 manager staff praise high level service set . upon booking be provide true silver service , wife want take hop , hop bus get acqainte withthe city . upon mention one staff , lovely girl immediately organise ticket promptly show we meet bus main attraction worth visit . at Hotel 41 , certainly make wife feel welcome relaxed . retaurant / library / check - in quaint warm friendly . also breakfast serve fantastic . room first class every amenity could possibly need holiday something think not need provide . I also need arrange suitcase send back Melbourne be well overweight luggage . organise reception luggage send unaccompanied . not much staff , upon return hotel be inform luggage send complete detail time . amazing quality hotel first class staff . the location right opposite Buckingham Palace near Victoria Station great location get around . suggest sightseeing access hop , hop bus 's great way get bearing make way around city . this one hotel definately continue stay visit London . also iwant thank staff make stay amazing holiday break make wife feel comfortable . 
 Jan 25 2008 	 lovely Formal hotel 	 stay whil course london , 23rd Jan 08 . formal place , staff lovely , nothing much trouble . lovely friendly young man welcome door , another member staff take resception . room lovely , clean . everything need there . and nice selection breakfast . I fault place . 
 Jan 25 2008 	 ok ... 	 stay double one night . Loved feel place - relax luxurious . service first class attentive staff friendly helpful . especially like executive lounge butler pantryIssuesI book double without breakfast hotel web site good rate guarenteed £ 199 without breakfast ( extra £ 25 ) plus vati saw offer Hotels.com city break hotel £ 224 include breakfast afternoon tea ) plus vat - get afternoon tea cost well dealI email hotel ask take ths offer email response would cancel reservation hotel book hotel , com . when come be not double available offer - available dearer room - suprise double leave hotel have book one ! phone hotel explain situation lady say would investigate phone back - not even though ask mobile numberwhen get hotel check explain ask whether sorted say £ 199 booking . ask whether could offer brush aside - lady neither offer city break deal offer investigate - get feeling do not like interfere booking system . could not bother persue - however expect proactive level serviceother minor niggle - particuarly problem happen 5 star hotel ? - welcome letter manager - nice touch welcome back - ' nice see ' first visitI ask web site favourite fruit none roomthe room fine - noise road , view issue eg could not turn light bed bed bedhead jammed light switchthese minor thing jar expectation high do not think ask / query thing . one ever say everything ok , feedback , feeling be not wonderful herebreakfast nice scramble egg pipe hot - cook next door £ 25 think expensive wasOverall lovely experience particulary good value one probably woudnt stay , especially room 
 Jan 10 2008 	 could disaster … 	 travel London mother Christmas 2007 holiday season , promptly get sick flu ! could make real travel disaster . fortunately , though , Hotel 41 staff swung action make Mom comfortable . ended & quot ; staying & quot ; much trip , 41 's club - like atmosphere make pleasure . meal delicious varied , surrounding luxurious far fussy , staff friendly accommodate ( sympathetic weather ! ) . concierge desk truly go beyond , juggle schedule event around energy level stay close contact make sure not overdo it . I could not recommend hotel highly . truly become home away home two - person family , will definitely back … san flu next time , luck . 
 Dec 31 2007 	 friendly personalised service 	 look service give smile , surpass expectation , place . stay Christmas lovely time . hotel take well behave dog , allow share holiday dog . room well appoint spacious . lounge great place relax fire day walk around city . good place tourist good business facility see . ( even though Christmas , keep touch client ) . excellent transport link close travel dog , two prettiest park London short stroll away . we travel London frequently stay 5 star hotel . 41 good . return , recommend property highly . 
 Dec 20 2007 	 London club 	 look hotel room last minute , highly influence previous TripAdvisor review property . seldom feel quite comfortable eventual choice . & quot ; 41 & quot ; gem place , near Victoria Station geographically close old school London club ambience - think Boodle 's White 's contemporary twist . staff , without exception , friendly efficient . manager greet we check receptionist show we room . return evening , stop Executive Lounge nightcap port honour bar ( complimentary ) cheese fresh fruit . cheese bed suppose give nightmare . 41 dream . 
 Dec 16 2007 	 Wonderfully Relaxing 	 previous slightly disappointing stay invite back lovely manager , Andrew , hotel could prove we . ! room beautifully comfortable elegantly appoint . moment arrive , every member staff attentive without go top . Andrew make every effort ensure enjoy stay another member staff , Ashley , also deserve mention kind attentive we . ' plunder pantry ' idea wonderful post - theatre snack sit drink front fire beautiful library superb . breakfast superb ( go buffet , brilliant ! ) relax time . would definitely return previous stay obviously blip . establishment day , mark manager deal problem Andrew deal perfectly . stay , be worth every penny ! 
 Dec 15 2007 	 Perfect Vacation 	 hotel close Buckingham Palace , right across Royal Mews . room first book small , way small 5 night stay . stay 2 night upgrade 2 story conservatory Suite wonderful . price astronomical special occasion worth . ceiling glass absolutely beautiful . breakfast morning ( include ) wonderful service top . hotel small ( ceiling hall low , kind claustrophobic ) . unique place do black , white , wood red touch throughout . close tube 's couple nice pub within walking distance . highly recommend place romantic getaway . 
 Nov 26 2007 	 41=100 % 	 Hotel 41 definitely deserve five - star rating . entrance situate right next Reubens ( actually , Reubens , 5th floor ) , private , key - card access . fact , part Red Carnation / Reubens hotel chain . 5 - minute walk Victoria Station directly across Mews . find room lovely ; surprise we upgrading room additional charge . two type robe , full - length mirror , flat - screen tv , everything shampoo , conditioner , body lotion , toothbrush & amp ; toothpaste , hair - dryer , iron , iron board , lemon & amp ; water , miscellaneous ammenitie plus complimentary & quot ; Plunder Pantry & quot ; well demeanor staff put boutique hotel top book . oh , another thing complimentary free pass gym nearby -- LA Fitness Center . there question 41is pricey side , thing consider , think get pay . certainly surprise end - price tack - on additional charge not know booking . like breakfast -- food hot delicious fresh . also complimentary computer , not necessarily bring one , newspaper welcome drink -- choice champagne , wine , juice , whatever . staff treat like want treat genuinely interested guest , even remember name . room extremely quiet peaceful . night bed turn , even put small water candle bathroom . single female traveler , ask perfect place centrally - situate , safe , peaceful . ask manager whether be well book online phone , say internet well price . ' low fare ' guarantee find price well one already , honor low price . surprised see somewhat negative comment traveler concern 41 experienced top - rate service , attention , andsatisfaction . however , 41 certainly cheap weaken american dollar , price per night turn . think , though , budget . able splurge hotel room , always find way save fund eat cheap travel via Tube -- even Heathrow . one day stay , stay entire morning early afternoon instead fight crowd outside . ' hang around ' like make whole stay even moreenjoyable give we bit mileage pay . 
 Nov 19 2007 	 good hotel ever stay ! 	 boyfriend take hotel surprise anniversary honestly say good hotel stay . do not get negative review list sure people find something complain ... ( maybe hotel .. ! ) treat amazingly throughout - fault service . make feel like nothing trouble enough make stay special . the room king room fire place . Granted be not big room , London would not expect . furniture decor gorgeous everything could think provide room - include 2 type bath robe I - pod deck . there honesty bar free snack avaliable day encourage take . I can not say much love place moment try convice boyfriend take we back time long .. ! 
 Nov 18 2007 	 satisfied overwhelmed ..... 	 normally stay Lanesborough London however follow great review Hotel 41 Trip Advisor think would try it . hmmm , nice enough not quite see make other site estatic . staff good know rareity London . food Library Bar good fairly high price . Superior Room book quite small nicely furnish . tv reception poor remote backing battery keep slip . mention staff quickly bring another not work either . tv reception poor not really matter anyway suppose . breakfast Hotel 41 ( Library Bar really another hotel next door / part building ) involve order menu suppose mean get cook next door . omlette quite nice probably hot started journey cool time arrive - quite 4 * service . I may stay business want save £ 100 Lanesborough , probably . 
 Nov 18 2007 	 Outstanding Boutique Hotel 	 return spend one night Hotel 41 quite simply superb ! could fault hotel staff attentive , polite professional . gorgeous large modern bathroom good bed ever sleep . everything spotlessly clean - wish could stayed week ! ! ! 
 Nov 12 2007 	 beautiful hotel 	 stay hotel one night November fantastic second arrive . hotel staff excellent make we feel welcome relaxed throughout stay . stay 5 star hotel sometimes feel uncomfortable snobby attitude hotel staff know book hotel discount rate wealthy guest . far case hotel 41 . give complimentary champagne checked take beautiful room overlook buckingham palace . room immaculate mordern facitlite would expect . shower incredible ! breakfast inlude tell could room extra charge . simply fill breakfast choice hung door go bed time want arrive . next morning bring room exactly time order - delicious ! location hotel perfect , minute walk victoria station underground . also lot resturant surounde hotel offer lot choice want eat . praise hotel enough well worth money treat we . would definately stay . 
 Oct 24 2007 	 love hotel ! 	 hate London ! go Hotel 41 make worth ! hotel good London . staff friendly welcoming room home home . lounge area great chef pantry honesty bar great touch . need go London go Hotel 41 ! 
 Oct 17 2007 	 true oasis 	 stay hotel 2 year ago previously write review base stay , say think value vs. price worth , overprice caliber hotel purport , TOTALLY retract negative comment . stay last visit London could not stay fine hotel . price comparable luxury hotel London actually get return tremendous , begin warm welcome friendly extremely knowledgeable staff , welcome glass champagne array snack , invitation join canapés drinks evening turndown service candle , robe slipper lay . 's true oasis rush central London . will not regret ! 
 Oct 16 2007 	 get pay ? 	 start room spend time . interesting picture normal ( non suite ) room . quite small limited space side bed virtually storage space clothe . one night would major problem long - pay price live suitcase ? bathroom picture must suite much small great shower , bath small two ! 's silly thing like travelodge style tea coffee tray ( perhaps go radisson ' ve stay see espresso machine ) delay get champagne room dreadful view- thing detract suppose 5 star . the outside area amazing - yes feel like private club oasis calm away normal London . service generally good . sure concierge concept . give list several place would like go dinner one available early time . overall great experience - not look sock drawer ! 
 Oct 7 2007 	 Loved ! love ! ! Loved ! ! ! 	 Think say ! spend 5 glorious night 41 would return without reservation . be like guest english estate . staff superb ! ! arrive Scotland , train , birthday . check offer glass champagne comfy couch -- check - in , imagine ! ! moment heaven . dinner library return room find cover red rose pedal -- red heart bed -- cake , bouquet flower , red float candle entire room ! Andrew Frederic wonderful ! ! breakfast day relax -- every whim attend ! can not wait return ! ! 
 Oct 7 2007 	 Hotel 41 deserve accolade 	 amazing experience London ! hotel remind Kimpton , comfy bed great amenity . staff ( Sofie great ! ) good make stay parent 's stay fantastic . could not warmer accommodate . would definitely select hotel London -- location could not convenient tourist activity . 
 Oct 1 2007 	 Sheer Pleasure 	 book 41 birthday weekend . stay many 5 * London search personal touch 41 plenty . moment arrive make feel special . black white decor perfect deco lover . atmosphere private club rather hotel , peaceful classy . room stunning , gleam clean , fabulous bed Egyptian Cotton crisp inviting say nothing comfort mattress ! Breakfast Lounge every whim accomodate discreet love service gorgeous staff . always know name really feel part & quot ; family & quot ; pass through . every member staff know greet warmth . few little negative , wrong type room allocate , soon deal feel little uncomfortable trying upgrade , case . fruit room although advertise include , rectify later mention . little niggle really want focus whole experience beautiful anything right rectify apologise straight away . a wonderful birthday cake left room , lovely surprise , full eat box carefully journey put lovely hessian bag , wonderful touch like make special experience . this hotel like remain anonymous level interaction may much love pamper make feel special , stay 41 return soon , spoil hotel may lovely else would get service level ! ! go treat without hesitation ! ! ! 
 Oct 1 2007 	 impeccable 	 41 impeccable . moment step door feel enter private residence . excellent decor combine traditional elegance twist . black white dominate bedroom , lounge ( think elegant private Library ) 's large conservatory style roof , repeat theme add discreet bit animal print . young polished international staff provide finely tune personal service . I not want emphasize smallness room property -it happen huge part charm . guest room provide everything imaginable . spend 20 minute aquainte immense list turn & quot ; gift & quot ; special bath elixir , relax pillow spray , lengthly pillow menu ( list go ) cherish pet fortunate enough travel along , 41 special meal , signature bedding , welcome basket , numerous treat companion . request large evidence self explanatory & quot ; Whatever / Whenever & quot ; button phone . back room , heavenly bedding ( bed ) , fireplace , small writing desk , two chair cocktail table , hefty stack great magazine , simply good map list local attraction ' ve see , small ice bucket slice fresh lime lemon alongside bamboo skewer ( great touch ) . place iPod Yay ! speaker tuck corner ! bathroom well stock lovely smell Blenheim bath bubble soap , nice big soak tub rain shower tub separate shower , heat towel bar load fluffy towel everywhere ( amazing many hotel miss item give 2 large bath towel pair hand wash cloth ) . lovely ebony wood fit closet also provide every need , desire , luxury . arrival young lady check we provide we pre - dinner welcome cocktail small nibble room unpacked thing . return hotel dinner greet scented light candle , fluffy robe , faux fur bed throw - can spoil we ? ironically check - in ask celebrate special occasion stay say & quot ; & quot ; -I can not wait return special day see 41 mind & quot ; special & quot ; occasion ! Breakfast serve Lounge ( guest room ) attention detail continue . A.M. food choice fresh fruit , berry compote , gorgeous baked good , juice , numerous cereal ( organic ) , cook english breakfast , la carte menu . Phew ! know life like across street castle . 
 Sep 30 2007 	 worth every Cent 	 Hotel 41 expensive hotel 4 night stay beyond expectation . room excellent / fantastic , everything require make stay enjoyable include . attention detail thing level service practical yet suffocate . the lounge fantastic place escape relax . the location perfect . you spend alot money hey ! one rare times final product far exceed expense pay . well do ! ! hotel photo represent actually get . 
 Sep 28 2007 	 great hotel 	 Fantastic hotel - shame one night . staff friendly efficient feel completely relaxed pampered . pot tea bring ot room arrive come lovely pastry ( welcome surprise ) .The concierge even manage get we top ticket top show 2 -3 month waiting list . the location great . would definitely reccommend . 
 Sep 27 2007 	 wonderful home away home 	 spend 7 wonderful night Hotel 41 first week September celebrate 41st anniversary . hotel staff make stay well could ever hope . chantal staff make fun , relax stay . long day see sight London always real treat return 41 . moment walk private entrance feel like return home , safe secure . room luxurious comfort wonderful bed . free wireless internet fast flat panel tv pleasure watch . request make take care quickly always smile . morning breakfast great relax way start day . wonderful food conversation staff plan day . we find location ideal . close Victoria Station Tube block Buckingham Palace St. James Park walk . see Wicked theater 5 minute walk hotel . lot shopping din option close hotel . it far good hotel stay ever experience anywhere . really look forward next trip London stay 41 . 
 Sep 13 2007 	 none compare 	 return month - long trip bookende travel 2 stay 41 . great ecperience . firstly , staff exceptional . friendly , attentive load fun . sassy Chantal lovely Daphne Antoinette , well care coddle . accomodation well appoint luxurious . bed dangerous enterprise comfortable could hold hostage . superb ammenitie wonderful touch fresh ice lemon every evening along well stocked always open pantry plunder . Meals superb , staff could efficient lovely . new home London . thank everything . 
 Sep 11 2007 	 's people make hotel wonderful ! 	 leave Hotel 41 today . stay perfect . staff & quot ; energy eagerness please help beyond expectation . room typicaly european size lovely appoint . fluffy towel ever ! enjoy gem . would definitely stay Red Carnation Hotel . 
 Sep 4 2007 	 wow ! 	 love spend day London stay many hotel , non however surpass wonderful experience 41.chantal staff attentive every detail . the room great , although everything luxurious make feel relaxed home . we please find 41 , not need look anywhere else , can not wait next time ! 
 Aug 28 2007 	 Fab Fab Fab ! ! ! 	 wow - amazing find hotel turn ! discreetly locate next door big sister Rubens , hotel offer attentive , yet unobtrusive level service seldom find . area tastefully furnish really feel like home home . find staff without exception extremely welcoming , friendly yet utterly proffesional - nothing much trouble . masse fluffy white towel lovely room , gallon hot water , breakfast ...... ooooh breakfast amazing . small perfectly design hotel attention tiny detail make great place stay . can not wait go back . 
 Aug 23 2007 	 Hotel 41 GREAT ! 	 stay Hotel 41 London good decision ever make . moment step onto property , make feel important people world . entire staff pamper we . grant every wish . good part able completely relax let someone else tend need ... make we afternoon tea arrange ticket London Eye . bottom line , want true personalized attention , hotel 41 place stay . keep mind , though , expensive . 
 Aug 20 2007 	 Gorgeous Hotel ! 	 without doubt good hotel ever stay . beautifully clean well look , room gorgeous stylish staff polite , interested keen service . attention detail fantastic food delicious ! stay wedding night follow night fly honeymoon . arrive room 1 am . light dim light candle lovely red glass place throughout room . petal scatter everywhere , include heart shape petal bed ! classical music play bottle veuve clicquot ice ( book sparkle weekend include bottle champagne - never know hotel serve veuve clicquot part book deal - class ! ) . perfect end perfect day . also book breakfast part book deal happily serve next day room - room service breakfast , experience , always extra case ! even wedding night hotel fantastic would , doubt , highly recommend ! 
 Aug 7 2007 	 say ? 	 's nothing significant add want reiterate yet another couple find truly nice hotel . polish lovely glow , furnishing staff . people work hotel nicest helpful encounter . hopefully , Hotel 41 continue epitomize London style grace . 
 Aug 6 2007 	 swish 	 wife use Trip Advisor last 2 year , ' join ' decide post review ' relatively ' recent travel . we stay Hotel 41 early April 2006 . actually overnighte way Paris spend five night return London . the Hotel staff simply lovely . spend wonderful couple night Windermere Lake District , think impossible experience kind gentile , personalise luxury encounter north , prove wrong . the room , service , location etc , like positive review hotel indicate nothing much trouble . service truly extraordinary . for instance , travel UK well part two week home caribbean , quite bit luggage , therefore enquire manager 41 would alright keep majority luggage go weekend jaunt Paris , know would return spend rest vacation . simply problem , enable we travel relatively light ( light wife travel ! ) weekend . we one issue return back home exist / extra charge credit card - fact reservation / security deposit - forgot remove , sorted promise come back would upgrade we inconvenience . upgrade offer , find hard put another hotel ahead 41 choice accommodation London . 
 Jul 29 2007 	 home away home 	 take daughter fro 10th birthday Europe first time . thank friendly staff hotel . come back anytime visit . thank apple every day . thank take good care we . last day see carriage queen across street . thrilling get glance right hotel . homey personal . bar piano great nightto end evening . 
 Jul 27 2007 	 Best Hotel London 	 reason hotel vote high 100 Greatest Hotels world . can not say enough good thing hotel . wife stay wedding anniversary great experience . the good feature hotel staff . everyone go way make feel welcome . Chantal Antoinette exceptional , friendly responsive need . morning breakfast really great many thing choose . Library nice quiet area relax . free high speed internet locate room room arer nicely decorate . room tad small bad say say something . hotel restaurant connect hotel Rubens bit pricey travel connect B Bar . food service b Bar absolutely great . hotel locate near Victoria Station take Gatwick Express walk two block . central area attraction big plus . can not say enough truly amazing hotel . highly recommend anyone look perfection ! 
 Jul 11 2007 	 Loved Hotel 41 	 fabulous hotel . concierge extremely helpful , library sit room nice refuge . room nice , include Bose speaker Ipod . turndown service include soft slipper robe , lavender pillow spray , chocolate , candle . location great well London tourist . highly recommend hotel . maybe family , definitely couple , family old child . 
 Jun 27 2007 	 wonderful stay 	 impressed hotel . staff extremely helpful , polite professional . book dinner Library Restaurant staff food excellent . room extremely well equip - everything umbrella stapler ! turndown service include soft slipper robe , lavender pillow spray , chocolate , candle . thoroughly enjoy whole experience , despite cost , try visit . 
 Jun 17 2007 	 good . 	 book hotel last minute - pleasant surprise . expenseive would usually pay - worth every penny . staff ever helpful suite everything could think . hotel well locate business West End shopping - back . 
 Jun 10 2007 	 brilliant small hotel good service anywhere .. 	 wife spend 5 day 41 May . select hotel extensive research disappoint find . book Unique Small Hotels website work fine . the service simply outstanding . staff excellent Resident Manager , Chantal brilliant . bring breath charming energy efficiency place simply work hard make feel really welcome - wife 's birthday occur come back dinner find room sprinkle rose petal - chantal touch bring we back . the hotel small clubby seem attract cross section guest across age group - old gentleman club feel - nice intimate atmosphere feel know 1 2 day placeWe Executive King room yes - agree previous review room , whilst beautifully decorate comfortable bed ( issue black white decor ) slightly small side , bathroom great plumbing wonderfully effective England . Executive Lounge great place end day pound around London compensate largely slightly small room . breakfast great include room rate , real benefit . location fine - 3 minute walk Buckingham Palace Victoria Station / underground beautiful 10 - 15 minute walk Birdcage Walk WestminsterNo - 's cheap ( London ) lack site gym , want stay large 5 star monolith 's - us- would rather 41 . 
 Jun 2 2007 	 location ! 	 one - night stay return tour UK , wife . due sort problem Expedia 's reservation system ( think oversell ) , upgrade junior suite . wow ! two story ( though 6 ' 2 & quot ; ceiling top story ) , gas fireplace , sit room , super bathroom separate tub & amp ; shower . this location block Victoria Station one direction , Buckingham Palace direction . be several story busy street , hear street noise . the hotel nicely decorate . feature sitting room , double reception area breakfast area . enjoyable , , nicely decorate . look like 15 ' ceiling allow room split two story , suite . the street noise relatively cramp feel hotel ( narrow hallway , short ceiling ) real drawback notice . overall , top - quality hotel desirable location . 
 Jun 2 2007 	 Great Service ... 	 spend 5 night Hotel 41 lot research ( especially due positive review site ) . will not rehash everything be already write pro 's con : pro : - Service EXCELLENT , mean bend backwards polite service anything could ask . ' ve stay many great 5 Star hotel ( ' m write 5star Madrid ) employee Hotel 41 good ' ve encounter . can not say enough good thing staff work hard make guest comfortable . request meet almost instantly via whatever / whenever button phone . fast almost freightene ! one employee , Chantel particularly charming enjoyable meet . - food also good breakfast bed well do every morning . ( include rate ) . Plunder pantry also nice touch night . bbar excellent reason open weekday . neutral : - location - right near Buckingham Palace really middle & quot ; & quot ; much London . neighborhood basically residential walk block two . fly Gatwick , hotel walking distance Gatwick Express Train godsend go back forth . actually show within easy walk distance hotel - Billy Elliott - wonderful.- Size hotel - feel like enter private club however miss big hotel feature like spa gym ( although free gym passee LA Fitness street ) con : - room . room ( executive King ) nearly drive crazy . upon enter room first time instant reaction make mistake choose hotel ( level service staff make stay say enjoy stay overall ) . maybe need well room category something photo post online make room look much big welcoming really . although room everything could ask ( include great water pressure even IPod player ) much crap decor extra furniture bump something trip across room . feel like rickety old cruise ship 5 - star hotel . although everything clean , , feel & quot ; old & quot ; charming . hope someday renovate slightly modern less cluttered decor . black white seem charming first 5 night slowly start lose mind .... not think will ever get vase dry BLACK rose perch atop fireplace mind ! 
 May 9 2007 	 love small charming hotel 	 love hotel expect . service personal staff everything could help whatever need . four we two room room lovely small fireplace sit area nice bathroom everything could ask . son room little bit small nice . room 4101 son 4102 . little thing really make lovely like light float candle bathroom night turn bed speak bed well 3 week trip two pillow big fluffy duvet sleep well . stay 4 night - whenever go back London hotel choice . 28 room want personal service alot charm place . love - not go wrong choose hotel . book read review - people give bad rating must stayed different hotel . not say enough hotel excellent . 
