Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Jun 18 2008 	 Super hotel - great location 	 hotel superb location , great suite , good staff , good buffet breakfast . average rounder . would definitely stay . 
 Jun 10 2008 	 wonderful experience 	 perfect hotel group New York City newbie . within walk distance Rockafeller Center , Times Square Empire State Building . also close Grand Central Station make easy get anywhere else city . the front desk staff always friendly responsive request , every hour day night . housekeeper thorough . breakfast buffet good , somewhat limited selection . complaint : find pull couch bed pretty uncomfortable ended sleep couch , pull bed . read review comment long delay wait elevator . problem . 
 May 30 2008 	 Gem Times Square 	 return 5 day trip two child age 12 8 . hotel excellent location , room spacious comfortable , plus point complimentary breakfast buffet , much choice , staff friendly give good service , concierge great help . would definitely stay . 
 May 29 2008 	 Quiet well - locate big room 	 big room ( consider NY average ) , clean , quiet near matter Midtown . 
 May 28 2008 	 Fantastic 	 book 4 night stay 22 nd May wife . book city view suite locate 26th floor . room fantastic , clean , plenty space , well equip kitchen ( use ) one comfiest bed ever sleep . include breakfast great plenty choice attentive friendly staff ensure everything keep well stocked . the location hotel , mean within walk distance thing . 5th avenue shop 5mins , Broadway similar stroll direction . Taxi 's always available outside , be fun well value purchase Metro card unlimited use subway bus ( 7.50 usd per day ) . fantastic value great service . return would recommend hotel anyone travel Big Apple . 
 May 19 2008 	 great choice Midtown 	 stay Sunday night really enjoy Residence Inn . location excellent hotel seem quite new large , well furnished room . bed extraordinarily comfortable flat screen tv great . bathroom tiny NYC 's expect . they allow we check 1 pm efficient . try speak Concierge restaurant desk unstaffe . front desk person friendly uninformed . get $ 189 rate Marriott site day stay . price , steal ! 
 May 14 2008 	 great choice 	 must agree review . stay recently wife 8 year son , long weekend . could not ask well experience .Breakfast much well expect , lot choice . very central location . will top list next visit . 
 May 12 2008 	 homely Manhattan Feel 	 2 day spend ny since time spend commuting , choose location would accessible major ny hotspot .. hotel perfect ! ! conveniently locate ( Christmas ) feel home ... typical Residence Inn brand , kitchennette whole place feel like luxurious Manhattan studio rather hotel .. simply wonderful . the staff lovely atmosphere similiar closely knit family .. vibe wonderful .. totally recommend ! ! 
 may 10 2008 	 enjoyable stay 	 enjoy week stay . review correct : perfect location close everything , clean , comfortable bed , good breakfast , Tuesday night soup / salad perfect , 3rd floor lounge lot cozy space , gym small well equip , laundry facility ( $ 2.50 load w / free detergent front desk ) , never wait 2 minute elevator , wakeup service , around meet need . delis , restaurant , grocery store around corner across street . 29th floor view Chrysler Building , Bryant Hotel ( pretty night ) , Radio City Music Hall sign board , 6th Avenue lead Central Park . attach picture 5/4/08 Bike Race : view 29th fl street level 
 May 8 2008 	 great place stay NYC 	 husband & amp ; spend Friday & amp ; Saturday night hotel April 2008 . great place ! large room , NYC standard , great location . also , clean lot towel . kitchen full refridgerator , sink & amp ; microwave . think coffee pot use kitchen - NYC ! ! 2 block noise & amp ; congestion Times Square . subway station 1 block away . extensive buffet breakfast include - great family . lot family would stay child . lounge area use . 
 May 7 2008 	 Excellent Hotel - live expectation 	 back stay Residence Inn , Times Square . decide book reading review TripAdvisor also excellent rate receive . hotel ideal location , 5 min walk Times Sq , 10 min Rockefeller Center , etc . hotel exceed expectation . room large kitchenette facility ( especially fridge ) ideal bonus . spotlessly clean well soundproof . 19th floor could hear occasional noise street traffic . despite various message tell we busy elevator weekend never encounter problem . complimentary breakfast excellent ( great choice healthy healthy item , hot cold ) , especially week morning seem much great choice weekend . only disappointment complimentary social hour seem Mon - Wed , despite still say website also Thursday . apart , would definitely recommend hotel hopefully stay next trip NYC . 
 may 6 2008 	 great hotel excellent location big room good breakfast 	 stay hotel three night great experience . room - rather suite - pretty big compare hotel NYC , full size kitchen . use coffee machine , though , work perfectly . comfortable bed , nice flat screen tv free Internet . also enjoy free breakfast good variety different food - actually not really understand room kitchen long breakfast good . 
 May 5 2008 	 Lived Rave Reviews ! 	 mom stay last week . great location . block Time Square Empire State building . one block Bryant Park look place rest foot peaceful fast pace city great people watch day . staff friendly room impecably clean . reason give Excellent rating pull bed uncomfortable . might ok little kid adult need cushion . feel like sleep directly spring . fortunately king bed share . book King two Queen bed make sure check prefer two queen speak . stay Marriotts business breakfast top notch compare other . could lower price maybe $ 50 would never empty room . stay ! ! 
 May 5 2008 	 Great Hotel 	 great hotel . perfect location find good value hotel weekend NY . four people give we large room really comfortable king bed pull sofa . ( $ 359 + + ) plenty towel bed immaculately clean . great kitchenette large bathroom . well free breakfast - morning excellent buffet - casual cosy library type room 3rd floor . the staff really helpful - give late check guard luggage whilst squeeze final hour shopping relax 3rd floor whilst wait evening flight would prefer . free wireless internet thoughout hotel great reward system . excellent round ! tip theatre goer - normally ' ve queue tkts Times Square day ticket often poor seat still expensive .. time use broadwaybox.com - discount code show go wuth code box office choose seat . five row front Phantom Majestic $ 66 ! fantastic ! ! 
 May 1 2008 	 Great Hotel 	 hotel wonderful ; spotless ( fairly sized ) room , great service , good food , convenient location . perfect tourist want see Time Square ; able walk right . great stay would reccommend almost anyone . 
 Apr 29 2008 	 Great Value Great Staff Great Location ! 	 wife family wonderful visit Manhattan fortunate read review Residence Inn book 3 room four night stay . originally choose hotel good review , location , compt breakfast . however , treat like vip 's early check - in , terrific 28th floor room view super helpful staff , start desk manager housekeeping . every staff member cheerful greet we & quot ; good morning & quot ; & quot ; hello , 's stay go & quot ; . one thing interesting room layout , two room great layout plenty light , view , adequate washroom space , one room lay way allow little light , less view cramp washroom space ... luck - of - the - draw guess . location hotel also great intend catch major site , walk like true New York tourist . 
 Apr 28 2008 	 Smart Central 	 Residence Inn Marriott Times Square conveniently locate Midtown , near Bryant Park five - minute walk Times Square / Theatre District . room feature kitchenette full - size fridge , microwave , dish , cutlery , etc . , comfortable bed sofa convert bed . small lobby crowd time wait elevator , despite hotel relatively small ( 350 room ) . arrive early afternoon ( Friday ) , tell return 4 pm room not early . return 5 pm long lineup wait check retrieve suitcase check bellman first arrive . the free breakfast much well would expect & quot ; free breakfast & quot ; : scramble egg , hash brown , sausage patty , fruit , pastry muffin , cereal , yogurt , assorted beverage . although single traveller , could see place good value couple family . convenient location yet relatively quiet away hubub Times Square . 
 Apr 28 2008 	 horrible 	 shockingly poor service . ' ve stay nice room Holiday Inn ExpressIf willing pay rate , stay nice hotel - Sofitel , Radisson , Ritz - Carliton . 
 Apr 27 2008 	 Perfect ! 	 ' m glad pick one among Marriott 's line . take two week back & amp ; forth . location perfect - right corner 6th Ave ( Avenue Americas ) & amp ; 39th St . room small side ( find NYC hotel anyway ) , perfect two . breakfast serve good quality . Loved definitely return . whole 5 - night stay ( price particular segment high side , worth ) pleasant ! 
 Apr 21 2008 	 great hotel perfect location ! 	 second time New York first stay city . travel Mom sister need room would accommodate three us reasonable price . room perfect King size bed queen size sofa sleeper . kitchen come handy able stock soda , wine necessity . bathroom big enough one closet bit small manage . room rate include buffet breakfast daily offer hot cold food plus self serve beverage area . Dinner also offer quite good breakfast . staff friendly helpful although give incorrect information two occasion . location hotel perfect ; 2 block Time Square Macy ' . walk everywhere ' walk several subway stop within 1 - 2 block hotel . I would highly recommend hotel would definitely stay . 
 Apr 21 2008 	 great stay Residence Inn 	 can not agree excellent review hotel ! never book hotel without check Trip Advisor first , certainly let time . the king junior suite perfect -- comfy bed pillow , couch chair , immaculately clean . even negative other cite issue we . bathroom may huge , shower excellent water pressure plenty hot water , vanity drawer cupboard storage . ' m sure anyone would need . hotel post warning elevator leave VM weekend breakfast buffet rush 8:45 , know may wait elevator time . nonetheless , not wait minute either weekend day , even prime time . buffet great -- ton choice hot cold item . , ' m sure anyone complain respect breakfast . give would pay much similar hotel room NYC , breakfast basically free . food replenish frequently staff quick remove use dish keep table clean . all wonderful leisure weekend New York City would definitely stay Residence Inn . 
 Apr 17 2008 	 great place stay near Times Square 	 Residence Inn great place stay want near Times Square / Bryant Park . room large NYC standard request room great view ( ) . 's nice city couch small kitchen room . staff hotel friendly helpful Residence inn great feature like free wireless internet free full breakfast . caution would 're use stay four Seasons Mandarin , may hotel . decor plush , be still nice . honestly , Residence Inn well lot 4 even 5 Star hotel ' ve stay NYC . room large , clean ton ammenitie ( include flat screen tv ) . , bed comfortable . would recommend Residence Inn anyone travel NYC , especially go spend day , be nice extra room feature offer . 
 Apr 16 2008 	 can not wait return ! 	 can not begin rave hotel . travel lot business pretty high expectation hotel . bit letdown previous Residence Inn , bit wary . location : Perfect ! locate 6th Ave near garment district . Bryant Park street . Times Square within walk distance . want take train , take leave hotel next block . room : queen suite . perfect husband , 9 year old . fridge come handy microwave . everything clean kitchen . sofabe comfortable son . linen fine comfy . 29th floor nice view esb Chry . building . room quiet not hear anyone floor . travel child , bring binocular street watch ! bathroom bite small , typical NYC hotel . water pressure fine . impressed large towel . service every day replenish towel . breakfast : great ! rave enough . get early . become bit crowded 9:00 . 8:00 - 8:15 day . nice variety food . even soy milk ! , food everyone 's palate - egg , yogurt , pancake , etc . service : Outstanding . honor early arrival . even though checkout 11 , hold bag 6 evening we sightseeing . Paola helpful air carrier lose luggage . send bag fill essential tell experience . Richard , evening concierge , give we great tip restaurant close Times Square . food : Tasti Lite across street . take cash . great take restaurant deliver . worth note Big Bowl Noodles Yo Sushi . good food resonable price . also corner store close pretty cheap , . also sell normal fare front desk . pretty surprised cheap bottle water front desk ( $ 2 ) compare Times Square ( $ 4 ) .note : room comfortable , check 3rd floor . lounge tv lot chair relax . lot family come visit we hung . would grab drink bar hang 3rd floor . spacious , not feel like cramp lot people . overall : return . really love hotel . staff friendly helpful . remember us site . hotel safe secure . believe hype one . great hotel , great price , great location . even though go NYC leisure , not mind stay hotel hanging . would reccommend hotel anyone . NYC expensive get poor service . , scrimp price service ! 
 Apr 8 2008 	 great trip 	 read review Residence Inn sound like sort hotel . want central Times Square main attraction perfect . staff helpful concierge organise ticket downtown loop Empire State Building great join huge queue 9.30am go straight lift . city tour well worth money provide we lot information cover 24hrs use two day really enjoy could quite cold open deck bus glass like roof impede view , sit downstair bus view restrict look sight . room 22nd floor 2211 great view look across onto office block important day . consider middle Manhatton quiet surprising guest meet room look onto Hudson River find aware traffic noise . room well equip kitchen everything could possibly need wish cook ' m afraid break use kitchen choice restaurant amazing . din room table , seat area good sized flat screen tv.towel change daily plenty , toiletry also replenish daily hairdryer superb . Breakfast provide good choice cereal , porridge , fresh fruit , yogurt , juice , bread , roll , pastry plus usual cook item . tea coffee available day nice touch . could fault Marriott look forward go back stay future . 
 Apr 7 2008 	 Great Hotel 	 , wife , 7 12 year old daughter love hotel . location great . block Broadway / Times Square . the room ready early check 10:00 . clean look new . use many hotel amenity include restaurant bar look nice . we 31st floor good view city . request particular view happy get . also quiet . the staff friendly helpful . ask hotel clean everything work love hotel . free wireless internet also nice bonus . 
 Apr 2 2008 	 Great experience 	 check 2/23/08 . arrive ask room face Empire State Building Bryant Park , lady front desk , tell would upgrade we charge 3 window view . go back bring tray dry fruit nut take room . min walk room , call see satisfied room . can not ask well service ! room spacious , refrigerator , microwave , etc . impressed . bathroom small , clean , important . think hotel great location . walk distance MSG Time Square . 
 Mar 29 2008 	 New York City 's Finest ! 	 recommend hotel every individual know travel NYC . location hotel incredible . ( close major tourist attraction subway line , beat trail enough not get catch chaos ) splurge 2 night hotel move NYC good money ' ve ever spend . hotel 's service great city ( know NYC -- good service hard come ) . comment , book hotel online , have write would like room view , possible . hotel upgrade room moment walk ( time would forget would even make request ) . & quot ; social time & quot ; evening , actually mean buffet food ( select item . one night spaghetti salad , next soup salad ) . although dinner menu serve Mon - Thursday , amazing buffet breakfast available daily . say enough fantastic clean , spacious room great service ! spend year life New Yorker , final two night amazing city , hotel , make re - think leave . never hesitate stay Marriott location , three ' ve visit past year nothing amazing ! ENJOY ! ! 
 Mar 28 2008 	 good choice ! 	 return first visit NY . week research , choose Marriott Residence Inn . junior suite little crowd enough room , husband 13 yr old daughter . positive include great location , useful kitchen , early check , great complimentary full breakfast . negative include sofa bed comfortable , bathroom small side much drawer space . would upgrade next time one - bedroom . overall , pleasant experience feel make right choice . 
 Mar 25 2008 	 Home away home 	 stay Residence Inn last month . comfortable , room spacious . highlight free buffet breakfast ! ! ... especially since weather outside freezing ! ! wish doorman though .. help bag . great hotel person frequent visitor newyork .. first timer ! ! ... concierge service evident ! ! 
 Mar 25 2008 	 Loved Residence Inn 	 family love Residence Inn . everything inn perfect . room clean comfortable . love kitchen room . deli 's close buy grocery item keep room desire . location perfect we breakfast buffet wonderful . highly recommend hotel . 
 Mar 21 2008 	 Great Hotel 	 Residence Inn Times Square generally great hotel 4 night stay attend Big East Basketball Tournament Madison Square Garden . staff friendly time helpful . request early check honor . ask corner room , available . room 6th floor clean spacious consider New York City . wonderful fridge microwave unheard NYC hotel . location excellent -- less 10minute walk Theater District , Times Square Madison Square Garden . one good thing hotel hot free breakfast include room rate . buffet always well stock plenty seating . worker exceedingly nice . courteous helpful go way take care you . only two thing keep give hotel excellent rating . bathroom extremely small . barely able close door inside . issue concierge . oppose employee , people interested help . seem tune help request center around situation make money . inquire time half price ticket booth Broadway show open , concierge know . ask go organization 's website check , say not one . walk lobby computer find ! ! ! appreciate fact Residence Inn free computer customer . aside , Residence Inn Times Square fantastic property price . werecompletely satisfied check check . top notch property would recommend anyone plan visit NYC . dollar go far , usually case New York . completely comfortable stay . 
 Mar 17 2008 	 good ! 	 get great deal hotel website . winter sale . 209.00 great rate consider room well 300 . room quite ready arrive , upgrade we large corner room 3 window . ( 1402 ) great . new appliance , good bed , , comfy couch . water pressure bit slow , big deal . mention city 40th bday , next day , concierge come door deliver comp . bottle champagne balloon . impressed meant alot . breakfast buffet morning great INCLUDED price . Eggs , sausage , belgian waffle , homefreis , cereal , different muffin , roll cereal .. worth . go 9 tend get busy . lobby area great relax . Fireplace , nice , comfy chair couch . large area , never feel cramp . stay . perfect TImes Square area . less 5 minute Times Square Broadway . Cna't wait go back . staff kind professional . 
 Mar 7 2008 	 could not ask well ! ! 	 well start ? boyfriend plan 5 day trip 5 month advance originally book different hotel . however check site 2 week traveling find poor review make decision change Residence Inn . opinion make good decision ! arrival hotel staff fantastic ... give we choice room top middle bottom floor ... naturally choose high room turn give we unbelivable view Empire State Building ( problem elavator morning ! ) .Family member even comment friendly staff phone speak we England . room clean comfortable bed huge extra comfy , perfect come back long day sight seeing ! bed towel change every day well dish clean floor hoover . breakfast include fresh large choice include muffin , bagel , waffle , fruit egg sauage bacon ! . location perfect one block 5th Ave , Times Sq Broadway ! end stay give late check problem ! everything hotel help make trip ... perfect ! ! 
 Feb 29 2008 	 place ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 talk get money worth . place pay 244 night 5 night . big room 2 we excellent view extra pillow , blanket , need front desk make sure evrythe immediately . breakfast roomsss big view plus breakfast eat buffet much stuff like egg , pancake , sausage , crossiant , bagel good stuff plus .. negative housekeeping take long come 9 5 room get do . t.v . big flat shower well long day nice water pressure good temperature bathroom big . love hotel . mention location excellent . everything take like 5 mintue get hate walk far hah great . will save money do not take taci nothing . 
 Feb 28 2008 	 pleasant experience 	 extensive online research , book King Suite hotel mother / daughter weekend teenager . trip delay one day due Nor'easter New England staff hotel kind enough rebook we great rate without penalty . upon arrival warmly greet & quot ; upgrade & quot ; corner room 27th floor nice view . room exactly picture previous review - wonderful bed w / extra pillow , nice kitchenette small functional bath oversized dual showerhead plenty hot water . third floor lounge enormous peaceful place grab cup coffee complimentary newspaper ( include nytime ) . breakfast selection good mention early review even well Monday weekend . easy walk Broadway , Macy 's , Rockefeller center , etc . front desk housekeeping , staff accommodate . problem elevator quiet weekend fairly early . must add room quieter expect NYC awaken one night ambulance siren . would highly recommend thishotel business traveler small family plan make hotel choice future visit . 
 Feb 26 2008 	 great experience 	 ' ve stay budget hotel , boutique hotel high - end chain ( office footing bill ) , one good , good , place ' ve stay New York last decade . when arrive long , aggravating day travel , nice lady reception upgrade we large room view ( be never happen we ) give we complimentary snack . room great -- immaculately clean , spacious NYC comfortable . really convenient kitchenette room ( store water buy nearby market delicious treat buy Bleeker St. ) . not kid yet , think would great option family b / c end would save money free breakfast , pull - out couch room kitchenette snack / reheat last night 's leftover lunch . we like place much , ' ve book room next trip May . 
 Feb 21 2008 	 Good Hotel good location 	 generally find Residence Inns good , exception . room clean , quiet comfortable ( main requirement ) . Room modern although small ususal Residence room . nice breakfast include room rate . good location - couple block Times Square - feel safe walk back hotel young family . 
 Feb 20 2008 	 last time .... perfect ! 	 Location perfect , staff pleasant helpful , room large clean . price , not get much well . 
 Feb 19 2008 	 good deal great location 	 use Trip advisor Reviews help select Residense Inn Marriott Times square pleased result . the hotel great location Times square , could easily walk theater din . we stay room 1606 great view Empire State Building . room clean large enough comfortably handle three people king bed pullout sofa . also nice fridge store snack drink . the include hot breakfast nice bonus . we plan stay hotel would highly recommend . 
 Feb 19 2008 	 Agree positive review hotel 	 stay five day impress everything hotel - would definitely go back . good thing super free breakfast , really nice area breakfast\reading\relaxe , location , really comfy bed friendly staff . get around elevator problem busy time ask room low floor use stair . only disappointment price drink bar - 14 $ glass red wine ! 
 Feb 3 2008 	 Disappointed 	 book hotel 7 month beofre arrival , View King room . arrive hotel put exception studio low floor ( cheap room ) tell view room . yes , view top surround building street . furniture room wall , door etc severley scratch chip . bed comfortable , bathroom small functional . paper thin wall . disgusting breakfast ok . not ok fact three staff tell view room clearly not . fed questioning go enjoy rest New York . end stay ask another female night manager view room shock horror , tell not one . manager credit apologetic , provide refund difference . also find happen many people clerk front desk seem upgrade people view room without check , hence view room person arrive later day / night none leave . I understnad lot happen , lie many staff understand find appalling . first tiome problem Marriott brand never stay warn , make sure get pay . 
 Jan 31 2008 	 business traveller avoid hotel 	 hotel another time square tourist attraction . business traveller need internet access hour work , hotel provide 1 k speed net access , control vpn access ( sometimes work , sometimes not , go time due limited speed ) . not need internet access hotel ok , , stay away 
 Jan 30 2008 	 really Top Notch 	 hotel prove perfect choice four night city ' sister 's trip ' . three we find room workable pull couch though not use kitchen , extra area give feel space . location fabulous , though ' Times Square ' quite way away . everything spotless appointment look replace - curtain . linen , etc . seem brand new . though real lobby , lovely library - style space breakfast serve , charming relax public area could ask . staff welcome helpful - delightful - nearby simply Pasta Bryant Park Grill restaurant great choice lunch dinner . I would go back heartbeat ! 
 Jan 30 2008 	 absolutely Ideal ! ! ! 	 stay 22 Dec Jan 5 . month month research , book 2 room ( 2 adult 4 teen ) . without doubt pick brilliant hotel . the hotel spotlessly clean , bed BEST ever sleep . yes bathroom small , know beforehand review . prefer clean bathroom big one . we teen ( 18 & amp ; 15 ) sleep sofa room , not complain , obviously fine . yes elevator slow 9.00am , great incentive get breakfast 8.15 . instead people whinge , get touch early , fit day . the staff could enough assist , request carry instantly . loved location , close Times Sq ( yet never hear noise night ) , 1 block subway , Bryant Park , close Maceys , MSG , ESB.Do not hesitate book Residence Inn , even 12 night still could not find fault . 
 Jan 28 2008 	 great location Great Service 	 nice little hotel , great location . stay two night , perfectly fine hectic schedule weekend . room nicely decorate new upgrade bed , comfortable . ' m native New Yorker still thing city ' ve take time notice , nice view Empire State Bldg . breakfast good , however stay weekend , get early hotel full . staff friendly helpful . Yuliya especially nice appreciated attention detail . complaint . 
 Jan 27 2008 	 another great Marriott experience 	 stay 3 night could not fault anything . great room kitchen area view Empire State . friendly , helpful courteous staff . excellent mid - town location good value money . would definitely stay . 
 Jan 27 2008 	 Loved Residence Inn ! ! ! ! ! ! 	 stay Residence Inn Dec.28th Jan 4th , great time . 3 we 12 year old son , husband . say every review bed sooooo comfy , want leave , son think pull couch ok . room decent size , clean , bathroom bit small not go New York spend lot time bathroom . hear sound room corridor . experience problem lift two occasion , late go breakfast , go 8.45 problem . breakfast good , great selection everything suit . the location perfect , Times sq 5mins , Bryant pk across street ice skating brill Macy 's Hearld sq 10 min away . I would really love stay , plan trip October price looking doubled pay , personally not think worth $ 539 per night , really mind pay $ 399 peak $ 209 peak night . staff friendly also . 
 Jan 23 2008 	 Fantastic ! 	 ( couple teenager ) stay Christmas 2007 , lovedit ! ' ve month long trip USA , absolutely good hotel stay . 23rd floor , andthe ( small ) problem elevator extremelyslow peak time . the staff excellent , breakfast wonderful - idea anyone would complain selection quantity . every single day ample selection amount . go evening social hour one night eight night stay , good , . plenty washing machine dryer laundry room , bed comfortable , teenager claim sofa bed fine , . excellent location , subway close , skate Bryant Park fun . request get view Empire State Building , too . would absolutely stay . 
 Jan 8 2008 	 great stay ny - Dec 07 	 stay residence Christmas 2007 love hotel . bed comfortable ( & quot ; high & quot ; wife like ) provide extra pillow towel request . also put we high face esb request . hotel still new , facility excellent condition . room nice size nice little kitchenette / breakfast bar . perfect . great view real sense among skyscraper bargain price $ 200 - book direct via website . idea 3 * tripadvisor definitely 4 * we . mind wait bit patiently lift . 5 minute wait leave hugely popular breakfast buffet finish - peak time , everybody use lift something give ! sign lift advise people come early , , like people come late like - know would bit wait - problem ! reason give hotel 5 star noise element . woken heating middle night - extremely noisy . perhaps mis - set , still ... secondly toilet cistern noisy , include next door . thirdly , neighbouring room door close , like room . major factor spoil stay , since incidence , be something work . location great : two minute classy Bryant Park 5 minute Times Square - perfect combination ! one tip , Bryant Deli / Market next hotel excellent lunchtime & quot ; buffet & quot ; take - out . lucky put . still fresh quality high . uninitiated , charge pound take combination like . excellent value . eat Bryant Park watch skater , always take room heat microwave necessary . would definitely go back recommend hotel everyone ! 
 Jan 8 2008 	 great location good extend stay 	 stay five week Nov - Dec 2007 . hotel location excellent ; round corner Broadway , less ten min ' walk Macy 's , two minute Bryant Park , five min Fifth Avenue , ten min ' walk Port Authority ( good want take day trip Woodbury Common shopping mall - highly recommend ! ) . hail taxi outside hotel not difficult 's subway station right beside . room 35th floor quiet view north 6th Avenue Bryant Park . comfortable bed ever sleep - exaggeration . bathroom small clean nicely appoint ; shower excellent also bath . room safe , iron board & quot ; proper & quot ; iron . 's laundry basement cost dollar per wash per dry - wash powder 's available free front desk . dry cleaning service good - day delivery price not bad . broadband internet access available wireless could bit slow . issue room would stuffy ; way open window centimetre , get fresh air bit difficult . kitchenette huge fridge dishwasher ; useful could do & quot ; hob & quot ; ring saucepans - not make aware available request . 's 24 - hour deli corner block next hotel . also get hot snack hotel bar second floor ; be tiny nice pool table . 's & quot ; hospitality hour & quot ; evening Mon - Thurs , snack , soup , salad serve guest . breakfast really rather good - selection hot food like sausage , bacon , potato , french toast , waffle , pancake , oatmeal ( skip egg nasty ! ) , well pastry , bread , cheese fruit . would advise get breakast early get bit hectic 8.30 , particularly weekend . reviewer point , single big problem hotel elevator system . getting lift either direction 8.30 10.30 difficult - wait ten minute occasion . appear lift not even service seem two always use breakfast time . Front desk service arrival stay fine ; however departure encounter problem . absolutely flexibility regard check - out time ; request checkout 2 pm tell 11.30 late else would pay another half - day . despite fact pay thirty night already ! also , manner male concierge leave lot desire ; quite odd hotel concierge ' ve deal . doorman / porter pleasant polite . nice stay - Residence Inn iron wrinkles service ' ve doubt will get five - star rating prolong stay . 
 Jan 6 2008 	 Great Location 	 return three night stay Residence Inn find comfortable place convenient location . could walk hop subway anywhere Manhattan easily . room partial view Empire State Building layout comfortable three us . staff friendly helpful . issue though - bathroom moldy smell never go away smoke detector carbon monoxide alarm would go . informed desk say would fix , continue reoccur finally take apart fix . frustrating late night long day . the Inn provide breakfast daily light supper week . Thursday night not provide anything fail give notice would happen . apology give - less bad , sad response . this would one place might might consider depend information available time .. 
 Jan 5 2008 	 Residence Rocks ! 	 first night year lovely Residence Inn Hotel . compare , search . hotel comfortable , incredibly well locate reasonably well price . glorious shower , comfortable bed hearty breakfast . location spectacular- almost across street Bryant Park New York Public library , two block Times Square short walk Rockefeller Center . view Empire State building magnificent . fabulous dinner Becco Chelsea neighborhood , delivery Virgil 's wonderful croissant Le Croissaint Shop next door . one great blessing trip able let little 4 7 year old daughter rest nest . never stay anywhere else ny ! 
 Jan 5 2008 	 really impressed 	 recently return first visit New York wife 2 young child . would first like point respect excellent staff meet - porter , housekeep reception staff . busy time year ( Christmas New Year ) felt welcome value customer . our room ( 1808 ) spacious bathroom - may disabled room . sofa bed permanently make still plenty space . kitchen area handy baby . staff come room make crib brilliant ! magical view Empire State Building ! read many review prior travel regard complimentary breakfast . perhaps low expectation , find breakfast plentiful satisfactory quality . the location hotel terrific . literally 3 minute walk Macys Herald Square . 2 minute arrive Empire State Building . Madison Square Gardens also close . Times Square 10 minute walk away . nearby Bryant Park beautiful Christmas Decorations Ice Rink erect . nice surprise find middle busy city . 
 Jan 1 2008 	 great hotel value locationfamily four request 08 room 	 stay Dec 23rd 31st 08 room two teenage kid look 06 12 room small four we . Sergio bellman suggest 08 room make happen we ! 08 room look Empire State Building handicap accessible room wasat least 25 % large standard room cost we more . this large room necessity we one teen sleep sofa bed ( comfortable comforter put top housekeeping provide we ) teen sleep twin sized blow bed fit sofa bed L shape kitchen ( granite ) counter . small room bed would fit . room 5 foot sofa bed king bed sofabe pull . small room enough room pull sofa bed almost touch end bed . we pay $ 169.00 / not . lead Christmas pay $ 311.00 / nt . pros:1 location good . extremely quiet location ( garment district nearer Bryabnt Park ) less one block BDFand V train block thick thing Times Square . train within block . we ride subway 8 day never feel location inconvenient anywhere travel travel city well Queens , Brooklyn New jersey.2 . room common area super clean brand new looking ( 2 year old ) Breakfast light dinner reception serve 3rd floor beautiful , warm lounge tv . , table chair many upscale decoration sofas well,3 . great value . breakfast huge free . waffle , french toast , sausage , egg , oatmeal , bread , yogurt , danish , can fruit , fresh fruit , granola , cereal , juice , coffee , tea etc dinner reception one night meat veggie lasagna nice salad bar.4 . 12 room floor make quiet floor , hardly ever hear noise outside room . 5 . large window ( 2 room ) open bottom want fresh air.5 . kitchen full fridge micro , large kitchen sink nice L shape counterspace daughter sit makeup son husband get ready bathroom . this huge time saver we morning . beautiful wood cabinet ( lot storage cabinet ) granite counters.6.cooktop available request large crockpot room ! not use anything else leave 10 hrs time ( timer ) fill water put humidity air . 7 . good , large fitness center .... precor , treadmill , bike wieght ( weight machine . ) tv bottled water room.8 . super comfortable ( ) Simmons pillowtop bed , sofa bed need duvet comnforter quite comfy 1 teen 2 small children9 . everything room perfect working condition , lot outlet large flat screen TVCons:1 . 1 bed ( either queen king ) room . also sofabe room2 . little clothe storage 4 people . one small closet one3 drawer small chest tv sit 2 small chest 2 drawer next either side bed . large window sill front window become shelf rest clothing ! 3.dure full occupancy , elevator ( 4 360 room ) slow time fill capacity times.4 . breakfast hard keep time full capacity . find food avail either early closed ( 10 am holiday ) 5 . conceirge fair good .... friendly expcept hispanic woman night outgo knowledgable basic , ie . direction , general restaurant info , TKTS discount booth locate etc.6 . separate bedroom ( one rrom ) get double cost DoubleTree Guest Suites Times square.7 . middle action Times Square within minute walkAll , hotel great choice traveler , brand new look room common area offer good value hotel find . definitely stay must 08 room 4 we comfortable . breakfast light dinner reception make great value eat one nice meal day sometimes another light meal night . bar also available 3rd floor never go . sport enthuisast , game watch bar TV brkfst / dinner reception lounge 3rd floor . usually quiet enough turn & quot ; game . & quot ; 
