small 	 hubby take advantage mile night away kid . location amazing right middle 5th ave shopping , ton restaurant , walk distance many area u enjoy walk , hello nyc.the room r small doubt r modern , clean , quiet . U hear people hallway . I see room fancy NYC hotel r rundown noisy bliss . staff r nice . parking indoor lot ( right side ) 46th 5th 6th ave u get discount stay hotel . 
 Jun 20 2007 	 nice staff major issue 	 one major problem hotel : small ! great one two people room , four people room cramp . barely enough room fit luggage . two elevator , take 10 - 15 elevator get we , , stop nearly every floor . also , check go room , much surprise ... another family ! room , somehow family tell room well give key room . staff extremely nice well helpful , although often lot confusion mistake make . location good ... close time square rockefellar center . hotel okay ... turn lot deal think pose inconvenience . come New York hotel , right ? 
 Jun 11 2007 	 fantastic location 	 stay 5 night - first time New York - location great walk Central Park , Upper West Side , Rockerfeller Centre , Empire State Building , United Nations , Chrysler Buillding , Times Square Grand Central easily catch subway Ground Zero Liberty Island . room huge well equip spotless . great able grab breakfast - juice , coffee , danish , fruit , yoghurt leave early begin day sight seeing . particulary appreciated coffee English tea available reception 24 hour day ! would stay regain energy - New York exhaust fantastic experience . 
 may 27 2007 	 great location 	 arrive around 2 pm . bell boy Randy , greet we cab . room not ready store luggage we . reception area little small one check ok . breakfast area opposite check . usual continental breakie bagel , toast , fruit cereal pasterie . one thing love hot cinamon bun offer breakfast .. get little busy may wait couple minute table . hotel fully book . low level computer free internet servicewhich great checking email . also use airline webcheck day able print boarding pass . room small . king bed . night table end room either side bed . end bed wall unit , nice tv , 3 drawer closet hang thing . an iron iron board room . enough space 1 person walk thebe wall unit . hot thankfully air conditioner work beautifully . also small desk corner chair one side bed . bathroom also small full size tub shower . good strenght shower nice shower head . sink small can not really put toilletrie . room keep nice clean housekeeping staff friendly need something get . hotel great location . easy walking everywhere want go . block subway use couple time . even thougheverythe small , would stay . pirce point great . plan spend little time room not need restaurant , bar , spa , workout room etc happy choice . photo website hotel true . 
 may 22 2007 	 find something else 	 request non - smoking room give smoking room view dumpster , A / c unit , brick wall . hotel book could move we next day . ask new room , front desk staff say not notation request move . apparently night manager write wrong room number . stay smoking room another night . finally , change room third day . thank goodness bring travel candle . breakfast not great , 's complimentary might well take advantage . deli next door good paninis pizza joint across street also good . bar directly across hotel kid , may want request room away front get pretty loud . staff show kind concern interest us housekeeping lady , & quot ; bellboy & quot ; , . store luggage and/or hail cab us smile . 
 May 15 2007 	 great thing come small package ! ! 	 book hotel week away family member . hotel compact new . reception get little awkward negotiate luggage pleased room quality fitting . breakfast include consist continental style serve area opposite reception . staff incredibly kind , thoughtful service exceed expectation ' budget ' hotel . location , Location , Location - say - walk everywhere ! perfect ! strongly recommend hotel plan explore ! return ! 
 May 7 2007 	 Great Location 	 think hotel great . everything new , clean need . small , do not expect total luxury , location perfect . walk everywhere , lot sight walk distance hotel , example , empire state buidling , rockefeller centre , flatiron building , grand central station , bloomingdale , macy 's , central park , etc , etc ... warn , do not accept traveller cheque payment . 
 May 1 2007 	 Blink will miss 	 stay HI Express 5th Ave 31 March 07 April really lovely time . front hotel narrow look like squeeze 2 building . say 22 floor , stay 1804 lovely room , small suppose adequate 2 we . importantly clean look brand new . breakfast typical HI fare , cinammon roll , fruit , cereal pastry , bread juice , complimentary . tea , coffee hot chocolate available lobby 24/7 . find staff pleasant helpful , time ask something prompt deal . elevator little slow , never real issue 18th floor ( be stair be bother ! ! ! ) internet service lot attraction leaflet come useful . room safe safety deposit box available reception , use . hotel situate central location always feel safe return hotel dark . not think 2 * rating justify , would rate least 3 * . always select hotel carefully , always use Trip Advisor choose accord fitness purpose , will need happy trip . not go ny sit admire room , swim pool , run treadmill , home , pay extra hotel thing ? ? ? $ 180 per night , far cheap rate could find include breakfast , bargain NY room price sky high . clean , comfortable , excellent rate , central , customer service free breakfast , book everyone else find . be british like use rip anything designer label definitely not miss trip Woodbury Common Shopping Outlet ( www.premiumoutlets.com ) . take bus Port Authority ( 1hr , $ 36 ) shopper paradise , 220 designer outlet sell discount clothing , take suitcase credit cardyou will not believe eye will not ever want buy thing back UK . PRIMANI however ! ! ! ! fun 
 Apr 27 2007 	 Perfect Location 	 location hotel really wonderful centrally locate almost anything want . worried room might small fine . bed comfortable bathroom nice . breakfast buffet plenty choice get hook cinnamon roll . make point come early every morning every day , nice warm . would definitely stay would recommend friend . staff helpful . arrive check - in kindly keep bag we go , also arrange taxi airport check - out . 
 Apr 25 2007 	 Excellent every way 	 hard remember Holiday Inn Express good everyway . room small side experience room New York City hotel . everything room spotlessly clean . bathroom large walk shower bath tub may issue . however see photograph case room ( King Leisure ) . room 18th Floor view alley way . want room & quot ; view & quot ; sort would request room front hotel . front desk staff could polite , friendly helpful . room safe front desk safety deposit box free charge . extensive continental breakfast include price 24 hour tea coffee provide lobby . breakfast consist selection fruit juice , hot cold cereal , pastry , bagel , hot cinamon bun , toast etc . lobby area double breakfast room also place eat take food . get busy noisy time reason would suggest first / ground floor room unless really need one . business centre basement consist computer , print photocopy machine . area stand information tour etc . hotel within easy walk distance midtown attraction many bar restaurant area . late flight NYC front desk store luggage locked room , get receipt luggage show get back . use Holiday Inns lot one excellent everyway . 
 Apr 14 2007 	 great hotel near everything 	 go New York business pleasure great choice . room care comfy modern huge bed nice LCD screen . offer free wireless 's even pc use not laptop . room small side apparently hotel room NYC small . while small space well use plenty room king size bed really comfortable , especially 8 hour flight ! hotel near everything short walk Times Square Theater district . staff friendly ( rare NYC ) room spotless . be fairly new hotel give plenty fluffy white towel . good bit free continental breakfast . enjoy hot cinnamon roll , bagel , muffin lot goody . also healthy choice good . I horrify find boyfriend book 2 star hotel soon change mind . like good 3 even 4 star small without facility big hotel . spend little time hotel will not miss pool etc . I would highly recommend hotel ! enjoy stay ! 
 Apr 14 2007 	 stay tour group teenager 	 stay hotel part group 37 . group 8th grade student chaperone . great hotel purpose . several tour group time , see reviewer disappoint number teenager . since purpose , not bother we least . the room indeed quite small , although find clean bed comfortable . bed actually bit firm . group , 4 us room - 2 adult 2 teenager . cramp ! 1 person walk furniture give time . wait quite time elevator come peak hour , may full . 2 elevator 22 floor . daughter walk 17 flight stair room arrive elevator ! location hotel excellent . 17th floor not hear outside noises night . one member group 5th floor report hear trash truck night . always feel safe , even late night . overall , would highly recommend hotel location cleanliness . aware may share hotel many tour group , suspect may case throughout New York . 
 Apr 10 2007 	 Miserable 	 Holiday Inn Express Fifth Avenue bad property stay numerous trip New York City , . positive comment make hotel location . good midtown location . lobby tiny , barely enough room front desk one bag , one try walk . approximately 21 floor two small , slow elevator . unfortunately , number teenager stay hotel think play elevator great pasttime . elevator also always work correctly , almost strand member housekeeping staff floor . arrive room , kick large bag dirty linen side even enter room . room claustrophobically small , even New York standard . far small room ever stay , anywhere . almost room walk around bed . closet . entrance room tiny hall open door way , walk bathroom , close door . bed soft lumpy , like sleep lumpy marshmallow . two star . find much well accomodation , similar price , similar location , even three star ny look . business traveler travel NY regular basis , stay countless hotel NY . one bad ( $ 10 less number three star ) . 
 Mar 21 2007 	 Soft Beds 	 new hotel must first say clean fresh compare many NYC hotel stay . staff friendly accommodate . however , must also say room relatively small -- six floor . closet , armoire drawer unpack . would difficult long stay . big problem fact bed soft . sure ' ve sleep one soft , sleep difficult . location great go theatre . 
 Mar 14 2007 	 Holiday Inn Express - clean NeatWell - runGreat Locaction 	 ok , everything relative hotel room New York City . room 2 3 time would normally expect pay . room probably half two third size use . nasty choice . fortunately oasis hotel nyc.the hotel clean basic light color wood throughout . kind like hotel do ikea furntiure . hotel 's footprint relatively small floor 7 - 10 room per floor . front desk breakfast area come door . service efficient ; promptly call lose luggage deliver hotel . the room small , clean , everything appear relatively new . flat panel television music choice available also . also bottle water Pepperidge Farm Mint Milano cookie desk . sure think every room status Priority Club Holiday Inn have . you within walk distance Fifth Ave shopping , Rockefeller Center , St. Patricks Cathederal . obviously shortage thing . plan take family NYC go stay . stay confidence . 
 Mar 11 2007 	 check hotel travel room 	 arrive long trip find hotel double booked room . two child great start . stay twin ( book suite ) 2 night move booked room . get someone britan complain anything do . staff ok grummpy , new yorker do not smile . sofa bed awful need lot spare quilt pad . room cold night hole wall fan plug . newspaper deliver even though suppose tp get . great shop across road , sell need eat . location great view window tower block look like sweat shop go , rat run around rubbish throw various widow etc . new york great see careful underground . would stay america much trouble get imigration , one smile , cattle treat well . service add even service bad . new york bit rip . big attrction really empty shell . take NOTE MR MAYOR get tourism act together could well . 
 Mar 9 2007 	 clean enough 	 good location expensive room not clean smell horrendous . glad one night . 
 Mar 7 2007 	 Holiday Inn Express- highly recommend 	 stay Holiday Inn Express 1st-5th March 07 , location hotel ideal , 5 min walk Times Sq , load deli 's around hotel , plenty choice eat . room small nice kingsize bed enough room 2 we . breakfast bonus , cerel , toast , bagel , yoghurt , tea coffee available 24 hrs breakfast bar . highly recommend hotel would def stay . : ) Carol , Ireland 
 Jan 28 2007 	 nice new great location 	 stay one night past weekend would definitely stay . good value ! drive park nearby garage honor dicounted rate hotel . everything hotel new .. small . lobby efficient . serve complimentary breakfast basic ceral danish . room nice amenity , really build two people . towel fantastic bed great . key location ! ! close everything ... theatre distict , great restuarant , Rockerfeller Center etc . think , much time spend room ? really want great location , reasonable price . 
 Jan 13 2007 	 great hotel great location great price ! 	 partner spend Christmas New Year hotel thoroughly enjoyable stay . it heart Midtown couple block Times Sq , 5th Ave Rockerfeller Centre around corner along host attraction shop ! Grand Central Station short walk away . as hotel : large comfortable kingsize bed room coffee make facility , cable tv ( free movie channel ) , free Wireless internet every room fantastic shower . facility modern , good quality great condition . continental breakfast lobby area eat , help .... cinnamon bun heat lovely ! also coffee / tea make facility lobby area throughout day . also not fancy venture dinner , order takeaway room different place ... stay couple night pizza , pasta burger - expect huge portion ! ! equally load restaurant option near hotel . New Year eat Churrascaria Plataforma Theatre District ... brazilian restaurant bring different cut meat table throughout meal choose want ( sirloin , flank , chicken , sausage , lamb , ribs etc ) - fantastically cook . we would definitely return hotel location second none point hotel feel like budget option . 
 Jan 10 2007 	 good location 	 room small , clean . small expect NYC . nice mattress room simply comfortably decorate . absolutely view speak . room face street , fairly noisy alarm go constantly night . , second night next door neighbor return 2:00 rather loudly , proceed put together something hallway sound like metal pipe clank together . since 6 room per floor , ' m fairly certain everyone floor must heard rudeness . also , hear 3 voice . not know fit 3 people tiny room . barely enough room king size bed room ! bathroom clean update . love free wireless . People front desk friendly helpful every time speak . would stay , really place sleep . absolutely atmosphere charm . 
 Dec 22 2006 	 Fabulous ! 	 ' ve stay twice , recently December 2006 , quite happy . would hesitate visit . hotel relatively new , conveniently locate clean throughout . coincidence , stay room stay ( king room ) . room small quite liveable , bed comfortable . hotel 22 floor 6 room per floor , not worry much hallway noise . room high enough not even hear street noise . someone mention sheer window curtain . can not speak every room , mine , vinyl black - out curtain , somewhat hide behind drape . almost not find , there . the hotel staff friendly . on - site restaurant fancy amenity ( Holiday Inn Express , ) , happily without clean , comfortable NYC hotel room not cost arm leg . 
 Dec 18 2006 	 excellent stay ! 	 Location fantastic ! within walking distance big site midtown Manhattan ( Rockefeller , St. Pats , Moma , Times Square , Grand Central , Empire State , etc ) . deli 's , pub , & amp ; convenience store block . room small immaculate . Crisp , white linen bedding . cable tv nice touch pay HBO movie channel . Bathroom newly renovate boast tile shower wall granite ? floor & amp ; sink . Shower water remain hot always nice . blowdryer also come handy . tip : forgot pack toothbrush & amp ; paste , hotel supply . ask . the good part hotel staff . never meet cordial pleasant front desk ( Shaniqwa ) willing help direction answer question . front desk always acknowledge we walk past . even clean staff make point say hi hallway elevator . tip : need ride straight airport , front desk arrange car get . car part hotel , whop $ 45 , get straight airport without hassle hail taxi take dread bus / subway . driver come 10 minute early get we time . con : site laundry website claim . laundromat 2 block away . . stay EXCELLENT.Bottom line : not turn 2 star rating , receive 5 star service . highly recommend hotel . 
 Dec 11 2006 	 Hotel Ok - Good Location - Price Issue 	 wife bless opportunity get mid - town area city xmas weekend see show , tree , etc . could find hotel mid - town area not book remain available hotel choice $ 500 / night limit since could book many month advance . choose hotel base tripadvisor review . locationthe hotel locate 45th street 5th 6th avenue . excellent location we since want thing area - i.e . Rockefeller , Broadway , central park , shop 5th . walk place bad even cold temp . number store restaurant 45th restaurant row 50 - 51st far all . ROOMWe King size bed room . room small NY small read - 's small . face alley street noise problem . orange security light alley shine window night - offer shear window jimmy - rig solution block . room clean - bathroom clean well . room small LCD tv room – pay per view family movie extend stay . also dresser closet several hang article . room ok 2 day stay . SECURITY AMENITIES property seem safe people walk area times night due location . staff seem nice problem check . hotel offer free internet breakfast morning - bagel , toast , juice , coffee . parking thing like parking on - site driving . hotel tell park block away ' Central Parking System ' parking lot 46th 5th 6th voucher $ 35 / day . park walk around block hotel . drive city December , get city hour 2 - 9pm - good luck . traffic horrible area please plan route hotel carefully - may want verify direction use rely gps - need know make right leave since avenue prohibit turn 6 pm season . drive pay 300 - 500 / night depend season - park car walk - hotel feel bad charge rate well parking service - maybe problem , maybe other - hope help make decision . always drop party front hotel parking truck street certain time pull - in opening front hotel - 's find space - park walk garage . CONCLUSIONAll - hotel mini - version regular Holiday Inn Express chain . be come December - pay Waldorf rate room not expect special service anything good 2star hotel . 
 Dec 4 2006 	 Loved love LOVED 	 pleasantly surprised property , say least . book last minute quick overnight trip city , not expect much . second time NYC ever , really lucke . hotel one clean ever , staff extremely cordial helpful . course- location- goodness . close Times Square , Fifth Ave . , Park Ave . , Central Park , Theater District , everything else ! see everything want see less 24 hour . definitely stay again- can not wait already recommend everyone office well family ! 
 Nov 13 2006 	 Great Location 	 Great Central Location , Friendly Staff , Rooms small time spend much go around job . stay suite , one king bedroom sofa bed small lounge area . sofa bed be not exactly comfy ok . hotel free breakfast great budget get bagel bacon egg next door buck . would stay book early get good rate early book 
 Nov 10 2006 	 hide gem price NYC 	 wife reluctant stay 2 , 2.5 star rate hotel thrilled hotel . CLEAN , friendly , great location , free internt access , computer use , fax , free breakfast . good though reasonably price price New York . new hotel choice . 
 Nov 1 2006 	 Ideal New York Hotel 	 ideal hotel New York visit . almost 5th Avenue . 5 minute walk Times Square , Rockefeller , Radio City , Grand Central Chrysler . 10/15 minute walk Empire State , Central Park , Bloomingdales & amp ; Tiffanys . safe street feel ok even walk around night . hotel staff always friendly helpful . despite room 3rd floor front hotel quiet restful . room fairly small perfectly adequate amount time anyone spend sit room visit ny ! everything room easily usable room walk around ( even use ironing board ) . whole hotel exceptionally clean . Breakfast add bonus - self service buffet eat much like . Tea & amp ; Coffee also on - tap day ( & amp ; night ) reception area . I would certainly choose stay future visit New York . 
 Oct 22 2006 	 great location sight 	 stay Holiday Inn Express five night 10 night cruise . whilst Holiday Inn Express not luxuriousness cruise ship , clean comfortable breakfast adequate , cereal , toast , pastry , tea / coffee . first visit New York City feel safe walking around area even evening . hotel close everything , Empire State , Times Square , 5th Avenue Theatre District . plenty food outlet convenience store step hotel snack take back room matter eat premise . free wireless internet access bonus keep touch home . despite street front room 45th street , disturb outside noise . great little hotel see sight New York City . 
 Oct 12 2006 	 great location - nice room 	 arrive 2 pm tell one room ready . still wait 4 pm end take ready room alternative floor family . that aside hotel great location room - actually get - nice , small . the staff seem helpful enough complimentary breakfast great . a decent palce stay - great value . 
 Oct 5 2006 	 tiny room great location 	 let us honest . New York hotel room tiny . hotel different . room would perfect . little cramp wife along trip . part reason 's hard move around room enormous tv , equally large piece furniture hold . two people can not walk front bed , be much room bed open suitcase . room digital cable hook enormous tv , not see everyday . all upgrade thing Holiday Inn put Express line hotel : soft linen , soft towel , showerhead , cinnamon roll . hotel great location near Broadway . not mind cramp quarter , be great place stay . 
 Sep 15 2006 	 Great bed quiet 	 great hotel within walk distance Time Square , Grand Cental Station , shopping Empire State Building . subway station within 2 - 4 block direction . bed great shape bathroom clean . room small unpack bag become much well . disappointment cinnamon roll morning . muffin , juice , bread , fruit , yogurt cereal . ' ve well breakfast Holiday Inn Express hotel . bed , linen location well worth . 
 Sep 13 2006 	 great location ! ! ! 	 nice hotel : clean , comfortable location really great . room kind small , go NYC remain room ? would also recommend Sette italian restaurant close hotel . 
 Sep 4 2006 	 great hotel value mid - town Manhattan 	 book hotel read favorable mention spring Arthur Frommer 's & quot ; Budget Travel & quot ; magazine new value hotel Manhattan . splendid location Fifth Avenue walking distance Times Square match high comfort amenity room . room plenty refrigerate air offset NYC 's mugginess . 's excellent value would stay again . the reception friendly , welcome accommodate . continental breakfast include room rate couple area improvement . first day banana , fresh fruit apple . emphasis sweetroll , croissant high fat food , though cereal instant oatmeal offer . container cool cold boil egg , already peel , look untouched . see thing serve H.I . Express Hartford two week later , lead wonder corporate formula . finally , coffee weak , surprising development give availability good coffee NYC . sum , though , fine establishment show result hard work attention detail . 
 Sep 1 2006 	 oh Gosh Good 	 really Great Hotel . Lovely Check - in . chose hotel really great review amazed . free internet access basement great free continental breakfast everymorning . 1 minute 5th avenue 5 minute Broadway . could not got well money . 
 Aug 22 2006 	 good would stay 	 staying August 18/19 2006 , please hotel . yes , room kind small , well manageable . guess expect middle upper Manhattan . Times Square couple block away , bit away great sleep night ! bed excellent king - size , nice pillow & amp ; sheet , clean room & amp ; clean , new feeling bathroom . fixture elegant & amp ; classy , tv flatscreen LG ton channel . although bit pricey ( $ 169 ) , book day via HI Express website . check we around 3:15 , cordial process . breakfast buffet nothing write home , absolute essential ( cereal , milk , juice , croissant , etc . ) hallway , reason , air condition , bit warm waiting staff walk , room good a / c unit . overall , 4 star , would recommend anybody place . good experience consistently HI Express , US & amp ; abroad , tend look first chain . 
 Aug 9 2006 	 well adequate 	 Holiday Inn Express New York City 5th AVE perfect purpose ... include frill . location great , room clean ( although small like Manhattan room ) , continental breakfast , free local call , in - room water bottle snack come much handy . my complaint request early check - in know have 8 am record . even get 8 am not seem though accomodation make , not actually check - in 4 ... pain . 
 Jul 5 2006 	 good deal will back 	 spend 4 day night visit NYC fiance 2 kid 06/29 07/03 . hotel clean well appoint . stay room 2 double bed . room small space tight , especially 4 people not spend much time hotel really not matter . staff pleasant respond well request . last day staff allow we store luggage check last minute shopping . hotel minute walk distance Times Square , Rockefeller Plaza popular attraction mid town . location can not beat price . be look hotel view , 8th floor room back side . could see alley office build 30 foot away . the continental breakfast typical well stocked help we get way day . number restaurant near hotel plenty minute away Times Square . not NYC nearly 20 year impress overall cleanliness city . everyone polite we great time . ' m already plan next visit ! highly recommend Holiday Inn Express ! 
 Jun 23 2006 	 ok stay 	 usually stay H.I . express business , would trip , point use stay night wife head caribbean honeymoon . my first impression - hotel locate right fifth tiny little new yorkishstreet . lobby small . my reservation - always reserve King bed , double . plead explain stay Holiday Inn 30 - 40 + time year , change room King . room ready arrive , put luggage storage untl check later evening . room - small ! room nicely appoint , cramp . need place crash , would suggest . family lot stuff ( like we ) , go somewhere else . room seem unlimited digital cable satellite tv nice . noise - kid play elevator run around make racket 11 1 . impressed 7 am flight catch . might stay business , would reccomend leisurely trip . note : lovely italian restaurant right beside hotel almost make stay we ! 
 Jun 14 2006 	 family 	 family ( 2 teenage boy , wife & amp ; ) get back trip ny . first 2 night stay @ HI Express . general - 1 - 2 guest - probably bear stay save money . otherwise - worth . property new & amp ; nicely appoint - everything work - breakfast fine . past beware . ask early checkin - front desk say would call room ready - check bag & amp ; go lunch . call - head back hotel - check 2:15 - still room . crowd lobby - laundry folk take large cart towel lobby run several folk - include . 2:45 folk checking - get back line - get desk little 3 ( checkin time ) & amp ; room ready . checkin card room 1404 , front desk person say 1404 , something wife hear make question 1404 indeed correct room - yes desk clerk . get bag make 14th . room prop open clean . tiny room - unpacked . notice fellow downstaris give we one wrong bag . take downstairs - get correct bag - come back - try key - not work . call front desk & amp ; ask room suppose - say 2104 . explain situation @ front desk - say would need move . explain ask would pack we & amp ; move we - next time desk clerk come back & amp ; say could stay room & amp ; would bring we key work . get towel need cleaning lady & amp ; set . come back Yankees game - key not work . it go like 2 night . plan stay 5 - move Hilton @ Times Square . try reduce stay 5 night 2 - front desk clerk say would pay full price 5 night - might able work pay $ 50 / night . reservation documentation - nothing sort - show - say would speak manager . not one onsite & amp ; would not one site 10 next monring . way speak someone try resolve . call customer service Holiday Inn & amp ; get straighten ( speak 4 different folk & amp ; escalate ) . room small - take average man 's shoe - lengthwise bed - touch cover bed - much space bed . single person - even couple & amp ; one bed - would work . clean - folk generally courteous ( though less helpful ) - good location - family - even save money . 
 May 22 2006 	 cool little hotel 	 spend 3 night hotel , May 18 - 21 , extremely satisfied . true , room small lay fashion make seem large small anteroom area open door not feel bed 2 foot away . bed extremely confortable staff accomodate ; request extra pillow promptly fill . room extremely clean shower great water pressure . complimentary continental breakfast nice add touch good pastry , bagel , etc . , well cereal , hardboile egg , coffee , juice milk . we go New York least twice year primarily theatre location ideal . 's easy walk Times Square midtown location yet 's relatively quiet night allow good night 's sleep . we would recommend hotel anybody look comfortable , clean place stay reasonable ( New York ) price . 
 May 14 2006 	 great little hotel 	 1st time NY book short notice . hotel much well expect consider price include adequate breakfast . staff pleasant helpful , room reasonable size great shower room facility . the big plus proximity 5th Ave Times Square , restaurant , store , subway etc .. would definitely stay 
 May 8 2006 	 Excellent hotel 	 hotel excellent , two we come new york give king size room sapcious new york . bathroom huge shower cubicle could fitted four people ( although not try : ) breakfast brillant bun , croissant , cereal , coffee etc even 9:50am breakfast suppose finish 10:00am still stock witrh food drink . the hotel staff brillant help every way especially tell direction place . would say thing would stay hotel put ' privacy notice ' door go bed bacuse maid come round 9:00am knock door unless notice hang door overall would say go new york stay hotelP.S . location excellent , round corner times square , top rock , 5th avenue etc 
 May 1 2006 	 disappointed 	 friend stay hotel 4/28 - 4/30 & quot ; mom 's weekend & quot ; . husband Priority Club member always great service Holiday Inn 's / Crowne Plaza 's . trip however change . try check hotel 3 pm check time room ready 3:30 feel though waste day sit lobby . finally reach room ( reserve 2 double bed room ) give 1 king bed room call front desk let know , said & quot ; couch pull & quot ; . acceptable us change room reserve , late check wrong room , aggrivate . kicker come Sunday morning 9:15 someone bang door , answer , housekeeping ask check ! ! ! SOUND asleep ! never life happen hotel . make matter bad , lay back 4 minute later knock . time ask time check say 11 am , show Privacy please tag , affix door tell knock ! ! . outraged call front desk receive apology . say , enjoy every Holiday Inn ever stay mainly cleanliness great service , never stay one would recommend anyone . 
 Apr 30 2006 	 can not find fault 	 really pleased stay . room third floor spacious New York incredibly clean . despite smoking room linen air smell fresh . love supersoft kingsize bed . bathroom really well stock shower large enough two people excellent water pressure . staff meet freindly helpful . location excellent . really can not find negative experience apart be not view room ( 3rd floor ) breakfast bit feed frenzy small lobby . definately stay perhaps next time try get room higher see kind view . 
 Apr 30 2006 	 good value Holiday Inn 	 location value , can not beat . basic , clean safe accommodation . easy walk distance great sight , round corner Times Square . want luxury , be sightsee want decent place stay , be perfect . 
 Apr 26 2006 	 Great Price / Great Hotel 	 stay 3 night 4/20 4/23 . yes room really small hotel clean , bed comfortable , free wireless fast , breakfast morning helpful / kind staff . arrive 1 pm room ready check . also request high room give 21st floor . we 2 teenager 2 mom share one room . since know would small pack small suitcase use drawer room . wish area hand clothe . maybe 7 item max fit closet . other mention elevator slow . experience hotel 100 % sell . elevator crowd . if stay need store bag last day make sure get early . tell we run storage space ( small closet stairwell lobby level ) . 
 Apr 15 2006 	 Good Value Holiday Inn Express 	 recent visit NYC , stay Holiday Inn Express cost excellent location close Broadway show . although room small , hotel room clean , breakfast include , staff exrememly helpful . store bag day check - out provide direction need . not mind small room tall , narrow building , great value NYC ! 
 Apr 10 2006 	 Great Bargain 	 spend 3 night family 2 adult 3 kid one double bedded room . pay $ 179.00 / night thru Holiday Inn Express website . fantastic rate hotel location . 2 block Rockefeller Center , St. Patricks Cathedral , Times Square . much shop many dining choice around . super service . everyone hotel friendly helpful . CLEAN - CLEAN - CLEAN . hotel brand new nothing complain . felt safe comfortable . if negative size room . cramp , average NYC . front desk reception aisle literally aisle way , seperate breakfast area buffet bar . sometimes difficult maneuver hotel either side 's narrow . 5 - 10 peoople lobby area 's crowd ! forget though -- go enjoy ! 
 Apr 9 2006 	 Clean Comfortable would book ! 	 thoroughly enjoy stay Holiday Inn Express NYC . Mother , sister stay weekend birthday celebration please . great value price . free continental breakfast right way start day city location outstanding . walk distance Fifth Avenue attraction , Times Square , etc . clean , great shower comfortable bed . not hesitate book . perfect hotel weekend shopping trip city . 
 Apr 2 2006 	 love location 	 husband two young son stay December love . safe excellent location . literally situate Fifth Avenue Times Square Rockefeller Center . able walk everything . even walk Museum Natural History , Central Park , back Fifth Avenue hotel . would definitely stay would highly recommend anyone , especially travel child . negative small room slow elevator minor con compare great advantage stay . 
 Mar 27 2006 	 small elegant room little closet space awesome deal 	 pay $ 190 night price hotel complete steal . inside totally renovate new modern other mention bed comfortable tv cable great . find staff incredibly friendly responsive . without ask , provide large subway bus map . tell hotel make point give good service perhaps help keep word mouth drive business . internet access free great . 's ice machine every floor , room ( king bed , 16th floor , face street , away elevator ) quiet . the thing would say room small , perhaps main room size king bed plus 4 foot side . fine single traveller ( expecially since bed comfortable ) might bit crowd couple probably intolerable more . the thing know closet space EXTREMELY limit . one foot worth hanger space . anything need fold clothe put drawer . other , really nice hotel price sub $ 200 , price NYC usually mean run fleabag hotel . as other say great , safe location near 45th 5th . 
 Mar 21 2006 	 St Patricks Day NYC 	 Holiday Inn Express thee hotel stay New York city mid - low budget hotel clean & amp ; modern . staff helpful friendly . hotel great location Times Square & amp ; 5th Ave . make ideal St. Patricks Day celebration ! ! ! 
 Mar 15 2006 	 Decent hotel great price ! 	 stay business extra night vacation 5 night February . everybody mention positive include nice room ( although ) small great tv channel selection , good breakfast . would definately stay location price can not beat . one small problem , month later resolve . bathrobe go missing room ( probably take away sheet ) get bit run - around staff management compensation . many many phone call remind , get $ 100 refunded credit card . want give $ 100 credit next stay , say not satisfactory . anyway , resolve faith restore great little hotel ! 
 Mar 14 2006 	 Super midtown hotel ! 	 husband spend weekend Holiday Inn Express must say pleasant experience . check efficient friendly although small reception area . room tiny , like cruise ship cabin without motion sickness . everything fantastic though comfortable bed , cable channel like home , nice marble bath ( mine tub shower combo ) great soundproof window open fresh air . room fine weekend not know would put couple big suitcase lot clothe stay long . breakfast good breakfast room crowd . would stay price right . 
 Mar 2 2006 	 back 	 great location - Fifth Avenue & amp ; less 20 minute walk load tourist site ( Empire State Building , Central Park , Times Square , St Patricks Cathedral , Rockerfeller Center etc etc ) . room small everything could want ( comfy bed , coffee making equipment , iron , alarm clock .... ) . breakfast sure leave till last minute finish 10.00am sharp stage Sunday stay cereal leave . complaint would could hear lift motor room although not loud enough keep we awake wait five minute time arrive . would stay - exception would one expensive hotel special come cheap rate : ) 
 Feb 24 2006 	 good simple worth price . 	 stay weekend 2/17/06 . friendly staff . clean room . small two bed NYC expect . great price wary charge . get receipt morning additional charge top prepaid room . Staff take care . decent continental breakfast ... beware milk adventerous . location lot selection quick food . would reccommend cheap frill stay . 
 Feb 23 2006 	 great location price 	 stay Holiday Inn Express weekend February 4th friend . AAA rate , taxis , $ 165 . location perfect room spotless & amp ; comfortable . read couple review beforehand say elevator slow & amp ; lobby cramp . ! 25th floor never wait long elevator . lobby , much time go spending ? breakfast cold bagel coffee , could fill boil egg , danish , yogurt , waffle , hot cold cereal . hot coffee tea available 24 hour day , well free local paper . can not say enough value quality hotel . definitely go back next year girl weekend NYC & gt ; 
 Feb 15 2006 	 irresponsible staff slow room preparation 	 lose paper prove pay travel agency . unwilling refund deposit although obviously problem . irresponsible bad attitude . untrained staff . janitor clean slow occupy elevator time . wait hour get room although make reservation . not professional overall . RECOMMEND HOTEL . 
