good 	 room clean pretty big NYC standard , tv , hair dryer , additional blanket first necessity available . negative note : see several reception staff , friendly , generally prepared give information sort . overall purpose tourism main need reasonable confy room , be right place . 
 Jan 1 2007 	 overall Good value : Lots Space Outdated Decor 	 many thank previously write review - help decide stay December , 2006.the Murray Hill East Suites locate easy walking distance Grand Central Terminal ( 4 , 5 , 6 subway line ) far Bryant Park ( b , , F , v line ) . one bedroom suite sofabe living room king bed bedroom . tv room . full kitchen ( refrigerator , stove / range , diswasher , coffee maker , pot pan , dish , silverware ) . bathroom large , still decent size . obviously apartment one time , therefore , quite spacious hotel , particularly NYC hotel . Decor outdate , furnishing comfortable . room face 39th Street get street noise , bother , bring earplug ask room back . room face 39th St. good view Empire State Building ; bellman say room back Chrysler building view . room ground floor ; would want one . find front desk bellman / doorman helpful pleasant . sofa bed make get , housekeeping bring linen towel 30 minute . if be look concierge service , on - premise restaurant bar , room - service , spa faciltie , luxury , hotel . not need thing , look comfortable surrounding large amount space reasonable price , consider hotel . good value ( average ) moderate - hotel level . 
 Dec 18 2006 	 fantastic find middle Manhattan 	 spend 5 night Murray Hill Suites December extremely impressed whole set . initially think apartment / suite cheap option hotel room Manhattan December reflection well option round ; room huge ( big apartment use live ny ) , couch chair , dining table chair , load closet space small serviceable kitchenette well stock utensil . bathroom small tidy well maintain . moment arrive ( late Fri night ) check follow Wednesday find staff ( concierge , reception housekeeping ) extremely friendly helpful . room quiet . ' ve read people find front face room noisy - face front , 39th St - middle New York City say noise minimal . also like huge window provide lot natural light . delis liquor store block away perfect walk Grand Central . can not recommend place highly enough make first choice future trip NY . 
 Dec 13 2006 	 great location - easy walk 	 four we ( 2 couple ) stay studio suite 1004 1001 7th 10th December . total cost include ( lot different ) taxis 693usd per studio 3 night . room big comfortable small kitchen ( microwave ) , large double bed pull bed / sofa . decor , though ' 5 star hotel ' perfectly acceptable . it first time NY , love prime location withe easy walk distance Empire State Macys ( 10 min ) , Fifth Avenue ( 7 min ) , Grand Central Station ( 10 min ) , Rockefellar Centre ( 15 min ) , Times Square / Broadway ( 15mins ) Central Park ( 25 min ) . never need use cab , well , quite difficult get . there plenty supermarket shop diner within 5 minute walk direction . consider crazy cost hotel area , time year , Murray Hill East suit great value opinion suite much spacious suitable hotel room ( variable quality ) .One slight downside surprising lack internet access , though Kinkos corner 2 minute away . we delight MHS definitely return 2007 . 
 Dec 7 2006 	 Loved Murray Hill Suites 	 Group three lady stay 5 night Thanksgiving 06 . NYC several occasion , stay various hotel . decide apartment option feel would get space money , . spacious one bedroom apartment . $ 300 per night three we , really good , intent purpose property hotel , hotel check - , concierge daily clean maid service . would agree review furniture little date , functional . we well equip kitchen fab store juice snack . day room clean , towel change dish put dishwasher . staff friendly nice . request deal promptly . book apartment www.apartments2book.com service professional , would hesitate book stay property again . the area nice , quiet around corner grand central chrysler building . excellent supermarket around corner , diner opposite street internet cafe corner . 
 Nov 21 2006 	 love NY 	 2nd trip New York aware accomodation come cheap Manhattan . 1st time backpack girlfriend 2001 stay Vanderbilt YMCA also neighbourhood Murray Hill Suites . time travel husband 10 month old tow Vanderbilt not go make grade time . Murray Hill Suites hotel , service short - stay apartment , room consist kitchenette ( fridge , kettle , stove / oven utensil ) , dining table , lounge area , bathroom , 2 BIR , bed bathroom . reviewer complain room - service , stay room kitchenette expect room service ? eat time late nite snack breakfast room . doorman absent frequently , either full - time service attend doorman business , bother ' m happy open door need , always someone help luggage require . the Suites good location tourist , 39th Lexington think 3rd ) , need grocery go 3rd supermarket almost every block . cafe Suites diner , corner , Starbucks corner Au Bon Pain 3rd . Grand Central nearby would walk day take Subway anywhere . one weird thing , get room 1st tme pillow bed mess , either throw clean ( paranoia ) someone use bed . next daythe doorman randomly walk room without knock seem suprise see we ask we request move room . though normal roomsafe concern valuable . we room overlook street bed right near window , traffic outside sound leave window open not distract . aware doggy day care near factor we . think Suites offer value money manhattan accomodation cheap especially ideal place make breakfast / snack , store drink etc save money . 6 night pay gross $ 1400 $ 1900aud . 
 Nov 14 2006 	 wonderful location decor little date 	 staff accomodate . arrive early able check publish time 3 pm . decor little date , however room clean . there 24 hour doorman expect . overall , think represent good value , not require lot service not offend old decor , would highly recommend . 
 Nov 13 2006 	 excellent wired business traveller 	 UPSIDES -- -- -- -- -- -- -The Murray Hill Suites good area ( 39 Lexington ) . lot reasonable restaurant nearby . even market around corner handy small kitchenette room . the room good sized junior suite . table chair - small kitchen area , sofa bed nook - small bathroom - modern good water pressure etc . good closet space small room safe ( suitable laptop ) .The hotel also provide basic toiletry . if look central location good space downsides not bother - could place . otherwise would suggest find location . DOWNSIDES -- -- -- -- -- -- -- -- -- wall paper thin - use city noise , may find challenge get sleep . sure ask even number room face courtyard ( 39th ) quite noisy . able hear verbatim conversation people hallway . also , look high speed connect , wifi room etc work room - forget . tell modem - phone room next bed small cord - guess work bed awful connection . basically modern business traveller - place . also , expect order room service work - forget - room service offer . need go around corner get take out . the hotel clean - quite old looking , actually key slot recordkeeping seems do manually . first clerk friendly keep wait put paper slot . second clerk however friendly professional . just comment - actually leave hotel intend departure . travel agent put somewhere line business class hotel . FINAL comment -- -- -- -- -- -- -- -- -- -- -- -- -It okay hotel - & quot ; wired & quot ; traveller . must note able get room less amenity look . 
 Nov 8 2006 	 Excellent business traveller 	 ' ve stay time year . do not expect full - service hotel . 's . excellent short - term service apartment though . if need base NYC day , even couple week , be clean , safe well maintain . ' ve always large room small kitchen , mean ' ve able fix breakfast head morning . there ample deli , Kinkos Grand Central around corner . ' ve find staff helpful , overly outgoing . 's bar restaurant - be look somewhere practical 's great place stay . 
 Oct 29 2006 	 great family place convenience 	 choose location much research tripadvisor forum . price # 9 Murray Hill East half cost tiny NYC hotel room . 3 room apartment room enough sleep family comfortably . love space location great normal NYC activity . like 24 hour diner , Scotty 's , step away . mostly quiet even sleep window open , street noise not distract . decor , be mention outdate place clean well - maintain daily . king bed bedroom extremely comfy pillow . ' ve since order Fossfill pillow home ( yes , look tag ; , not steal pillow ! ) would definately stay . beat , cramp small hotel room kid anyday ! 
 Oct 29 2006 	 good location long - term tourist 	 lot go Murray Hill Suites — excellent location near Grand Central Station recent conversion apartment building hotel . mean guest living room area , kitchen , dining space , desk , sleep space rather bed chair . day , size make real difference . suite also attractively decorate . impression , however , conversion complete , hotel operate automatic pilot . people desk pleasant professional ( fair , one person new job ' know much computer system ) . internet access consist dial - up service room ( mean use telephone — do anyone anymore ? ) wireless lobby ( mean " see connect someone neighborhood " since hotel ' provide anything . ) end go Kinko ' corner pay email service . $ 300 per night , expect sophistication . People might spend time room day know doggie day care center nearby . dog start bark arrive around 8:00am end owner pick 6:00pm 7:00pm . ' problem unless want take afternoon nap . I would recommend hotel leisure traveler want comfortable base sightseeing , expect service arrive . 
 Oct 12 2006 	 Loved Murray Hill East 	 return wonderful visit New York City . Stayed Murray Hill East Suites . ( two woman , 4 girl age 16 , 12 , 6 5 ) stay one bedroom suite . plenty room compare New York City hotel . bedroom two double bed sofa make queen sized bed . like review find furniture wear . room could use new mattress bed spread . rest place fine . not spend much time room anyway . location great . quiet great neighborhood . Grocer corner . ' m sure going miss we stop every day purchase powdered donut chocolate milk . kitchen nice . heated leave over . think employee extremely friendly eager help we question request . ball go Grand Central Station catch subway . get pretty good . couple block street . Scotty 's diner around corner great food . great time . can not wait stay come back NYC . oh , room front building could see Empire State Building . 
 Sep 25 2006 	 absolutely love 	 arrive , give we upgrade 1 bedroom suite $ 2 extra / night . which great consider ther us 2 female could literally sleep 6 people room . the price great , location great , room always clean able save great deal money kitchen . we cook time ... give we budget .... shopping ! ! complaint would definately stay could get price . 
 Sep 20 2006 	 Great Place stay 	 get back trip New York stay Murray Hill East Suites . the hotel right middle everything ... Grand Central Station , Empire State Building , Times Square within walk distance like walk . the room cleanthe staff friendlyand one less expensive hotel Manhattan ... everything expensive anyway . I stay not want take taxi everywhere went think something centrally locate would good . but get know subway system quickly , would probably stay somewhere cheap Brooklyn take Subway center town . subway run round clock get almost anywhere need go . plus New York pretty safe city 
 Aug 23 2006 	 ideal choice family 	 family 4 return 5 - night stay Murray Hill East Suites . exactly expect work extremely well we . previous poster mention , furniture little worn date , everything comfortable suite surprisingly spacious Manhattan . 1 bedroom 2 double bed , sofa bed living room , full kitchen dining area . Times Square 10 - 15 minute walk , Grand Central Station nearby . supermarket around corner , able purchase juice , cereal , milk snack , essential hungry teenager group ! staff courteous request extra towel kitchen utensil meet promptly . I would not hesitate stay . price unbeatable ! 
 Aug 21 2006 	 Loved ! 	 stay East 39th Street Murray Hill East Suites Dec 05 absolutely love place . much self catering affair know stay , however kitchenette well stock living room bedroom big enough 4 adult stay without fall . spend 4 day walk Manhattan honestly say room clean , warm , quiet good place could want first visit . want fuss go hotel meal provide everything cater . want eat get feel New York stay . definitely great choice fault staff room . would definitely stay . 
 Jul 7 2006 	 good place price 	 stay hotel three / four day stay . little beat path , NYC walk lot take taxi . get theatre district / restaurant area $ 6.00 subway Grand Central Station 5 block away . never feel unsafe area fine . room clean , bit worn , pay $ 250 one bedroom sleep 4 people fairly quiet . siren close . one TV LR , never room much need . cable well , channel scramble , big deal , sleep shower . got extra towel request maid wervice fine . 
 Jul 6 2006 	 bad staff ever 	 room large expect , definitely 1 - star service recieve . one guest party leave shirt behind bathroom , however call back next day inform thi housekeeping staff nothing find room . 
 Jul 2 2006 	 Good Place not cater 	 return NYC stay 3 night Murray Hill Suites . , good place stay regular folk not require lot special attention want clean hotel room conveniently locate New York City . room 9th floor , equip small kitchen refrigerator allow we buy grocery eat room . room clean . air conditioner work fine , although ' m sure would suffice 100 degree weather ( mid 70 's low 80 's stay ) . curtain cover air conditioner , bit strange , shut blind leave curtain open , give full air conditioning benefit probably need , New York quite humid time . bathroom towel little worn , everything clean maid service good job every day washing dish , replace towel , etc . hotel employee courteous . exercise room , although small , nice , overall fine place stay . room quiet last night & quot ; Loud Family & quot ; move next door we . kid holler top his / her voice act one floor . outburst happened , quell fairly quickly ( not know complaint patron , one minute hell would break loose , 2 minute later , dead quiet , stay way , next outburst could come hour later . ) could also hear conversation quite clearly another room air grate bathroom time , since not spend lot time room , instead prefer explore NYC , major problem . wife get discount job American Airlines , price $ 119 night + tax , great New York City . stay . 
 Jun 6 2006 	 Perfect Place Stay ! ! 	 stay Murray Hill East Suites East 39th Lexington NYC . amazed , suite cost $ 170.00 one night place amazing . room huge NYC hotel , bed clean comfortable , nice firm loveseat room , small , totally functional kitchenette . kitchenette clean totally stock - plate , cup , wine glass , silverware , pot pan , dish drainer , dish cloth . bathroom small , totally workable clean - huge shower . everything clean tidy . the staff great - small number staff member - staff really get know people stay . small , nice gym basement . hotel mostly residential neighborhood , noise level minimal . number great cheap restaurant either 3rd Lexington along reasonably price grocery mart corner . since hotel suite - lot family stay noise level early evening sometimes average - place silent 7 pm time . furniture suite well use , however make place feel like home hotel . hotel anyone want $ 500 night NYC hotel experience , however want clean , comfortable , good price place relax - place go ! 
 Jun 3 2006 	 great room great location 	 daughter stay Murray Hill East three night wonderful experience . room huge clean . small fridge kitchenette convenient restaurant leave over . large closet eliminate room clutter . end day look forward return room busy day sight seeing . street noise can not unusual New York enough keep we awake . can not comment much staff never need involve never problem . location convenient short walk Grand Central Station . wonderful experience already plan return hotel return New York . 
 May 8 2006 	 terrible Cooling problem 	 , Murray Hill Suites . be nice enough , although luxury place . ok neighborhood . give one - bedroom suite . room , hallway everything 90 degree . turn cool unit air conditioning , leave suite hour two , come back still stifle . ask downstairs . & quot ; oh , cool set building , can not change & quot ; . & quot ; be boiling & quot ; , say . & quot ; Open Windows & quot ; , suggest clerk . & quot ; open get stifle & quot ; , say I. & quot ; well , give fan & quot ; , say unhelpful clerk . . sweat * * * . ' m spend $ 300 buck night room air conditioning , be hot inside NY nightclub Saturday night . advice : endure hot temperature , come on , water 's fine . expect little , well , climate control $ 300 nightly fee , look elsewhere . shame . 
 Apr 29 2006 	 good value NYC 	 two woman stay five day Hotels.com booking ( 159 / night junior suite ) . staff helpful even room ready noon get . reviewer correct room need update spacious comfortable . towel however really need replace . stickler fluffy towle may want bring . staff keep room clean even wash dish leave sink later . location great , bus run Lexington Third Grand Central four block . although 39th problem noise . also use fridge stove reheat leftover , bonus travel budget . look five star hotel something comfortable convenient Murray Hill Suites work well would hesitate book . 
 Apr 28 2006 	 need lot work 	 wait 30 min chamber maid start / finish room - see we wait hall still take sweet time . carpet stain , kitchen clean , bed bed bug , window not well insulate one would hope , wall thin . bathroom newly renovate small , could barely turn around full circle . front desk people not friendly , one make eye contact generally not offer help we - even peruse map 10 minute front . bit lazy not care - job minumum . 's bad place stay , bit dark run . ' m sure 's great deal family since cook lot meal feel home . be single marry - much relax exciting place NYC spend time . 
 Apr 28 2006 	 nice room Great Price Great Location 	 get good deal Priceline not know expect . staff friendly helpful . would hail cab we need , helpful rush hour peak time . room clean quiet . suite nice fiancee want go bed early want still watch late game , could want . location great .... short cab ride many attraction walk distance Grand Central subway . highly recommend traveller budget . 
 Apr 26 2006 	 Bad Experience 	 room need remodeling . week noisy try get sleep . gentleman work night front desk customer service need intensive training . definitely not know treat guest . 
 Mar 24 2006 	 ok finally room 	 get murray early room available yet . wait 30 min check time . room still be not ready . 20 min later front desk give key say go check room ready ready ! finally ask upgrade . luckly room ready . get room jr . suit happy room . large compare room I ve stay raddison lex . clean . check day great . I m orlando i m use whistle cab . come new york usualy someone work hotel help catch cab . door man tell could catch cab . 5 cab passesd go back hotel complain . doorman ask catch cab . make airport hair . 
 Mar 23 2006 	 almost like home 	 ( wife , husband , 2 child ) return week - long stay Murray Hill East Suites ( MHES ) . could not ask hotel well suited need . can not imagine anyone thrilled MHES , suppose depend want . if look classic hotel experience ( lot fawning staff , big heavily - decorate lobby , glass - enclose elevator , hotel bar & quot ; usually turn & quot ; mediocre overpriced restaurant ) , MHES ( apartment buile ) probably place . , hand , not mind chocolate mint pillow every evening , like staff friendly ( over - the - top ) , like plenty space , reasonable price want near , middle , Times Square , can not well mhes.our suite adequately - sized living room / dining area , complete sofa sleeper , love seat , desk dining room table . kitchenette adequate full size gas range , refrigerator , dish coffee - maker . also request fry pan microwave room service , promptly deliver . separate bedroom two full - size bed comfortable mattress ( recognize taste vary widely ) . bedroom alone size one would expect typical suburban hotel . bathroom small , clean . overall , bad could say decor room , keep spotless crack cleaning staff ( will even dirty dish not get first ) , somewhat date ( worn ) . mention quiet ? next elevator never hear they . the location perfect we well . Murray Hill area residential midtown Manhattan neighborhood , MHES easy walk ( less mile ) UN , Chrysler building ( actually 4 block ) , Grand Central Station ( 5 block location nearest subway ) , Empire State Building Times Square . 's D'Agostino grocery store 1 block away Duane Reed Pharmacy 2 block . eatery neighborhood numerous mention , favorite Dining Concourse Grand Central Station , provide lot not - so - typical option . probably big endorsement come kid ( age 10 13 ) , would easily give one docent - lead tour museum downtime hotel . lastly , could tell , neighborhood safe . return hotel Broadway show 11:00 pm seem safe Madison , WI , hometown . in short , Murray Hill East Suites provide near perfect match room quality & amp ; service need . return New York , first place will look accommodation . 
 Mar 20 2006 	 great area . great room 	 three woman stay one room never fight bathroom ! size great . location fabulous . try Sam 's Place dinner - good reasonably price . definately stay ! 
 Feb 27 2006 	 great hotel 	 stay 2 night . clean room , friendly staff room spacious . well worth money ! great location . would absolutely stay . 
 Feb 12 2006 	 great place great price 	 room spacious , clean great price . 3 adult woman trip . staff helpful direction suggestion . drive city hotel easy find . park nearby garage walk take taxi every place need 3 day . back . next time might even take family . 
 Jan 28 2006 	 truly good bargain New York ! honest assesment 	 travel New York non - profit board director 1/23 - 1/27 limited budget . commercial real estate business company usually put we Peninsula Four season little nervous little place , serve charity board , group need watch $ $ .We walk nice elegant lobby Murray Hill Suites . doorman welcome we take luggage give key Room 407 , 1 Br Suite 4th floor face 39th St . really suite - a living room , dining area table , separate full kitchen utensil , dish , coffeemaker full size frig . decent size bath plenty towel , good toiletry hair dryer . bedroom alone size typical NYC hotel bedroom space great . Lot 's closet space iron iron board family 4 - 6 could easily stay room . price ? travel person buy plane ticket package deal room Orbitz , person , airfare 3 night , $ 602 per person . calculation , take airfare $ 100 night - could not believe , especially since Benjamin 50th lex , 3 week prior 5 time price ! use site lot travel recommendation travel business read review , stay . previous review complain supposedly outdated decor say come on . furnishing nice traditional , well keep - more like something would see well - to - do great aunt 's house . sure not Room Board , fine . noise , like Times Square - this quiet residential area access lot restaurant , grocery store , Starbucks ( 2 within 1 block- use WI - Fi access ) . favorite eat place we Sarge 's Deli 37th 3rd-3 block 3rd ( hotel 39th middle block 3rd Lexington ) -a lot like Carnegie Deli - but without hype . great menu ' ve 70 year . Grand Central Station 3 short block north - we take train new one day day meeting - it easy . so sum good bad : GoodVery clean , Safe ComfortableExcellent locationattentive StaffFitness CenterLaundry Room site- dry clean 3 door down2 tv 's SuiteCoffee Maker + CoffeeDishes , Microwave ( request ) Iron Full Ironing BoardSafe valuable RoomLot 's drawer closet space & amp ; plenty hangerscopie Menus local restaurant room Doorman good suggestion tooPriceBadNo Broadband Service- pick weak signal , ultimately take laptop StarbucksStreet Noise- light sleeper , NYC hotelschecke in-39th one - way go west , drive , parking - even check , challenge - may go around block couple time . folk tell we drive . tell we parking garage couple block away , $ 30 buck night . arrive via Taxi problem . I close say want pure luxury , will not fit bill , well - keep , clean safe alternative , can not beat place . guest see hotel well - dress range 20 something couple business people family . top 3 star range great place business traveler . definitely return ( unless company foot bill Four Seasons ) great place family ! 
 Jan 21 2006 	 Murray Hill East Suites 	 enjoy 2 room suite small kitchen much . Sooooo much room -- definitely not feel like New York . think get room priceline -- can not remember . anyway first room smell terribly enamel paint . asthma ask different room . somebody complain room smell like smoke switch . not think smell like smoke . altho seeme3d like various people small complaint room switch completely totally pleased . kitchen really cute room size bathroom . much closet space goodness ! think 10th 11th floor . keep window open listened taxi honk every morning . enjoy get pizza deliver ! seem like much well room would get boutique hotel east side near NYU . interesting bakery / catering place across street , diner 1/2 block away , couple italian restaurant small convenience store within 1 block . take cab Zabars Feline 's Basement across street bagel shop block . 
 Jan 2 2006 	 convenient clean 	 ' ve stay Murray Hill twice past year . ex - New Yorker , love Times Square , residential / normal retail part town . Grand Central block away , restaurant & amp ; deli place . room clean comfortable . Decor not modern ( think aunt upper east side ) love extra space dining room table . 's perfect place business trip - easy get almost anywhere city . 
 Dec 27 2005 	 great place stay family 	 recently stay Murray Suites 20 - 22 December three small child three adult . two bedroom suite perfect fit family . rate room $ 105 night two night priceline , however one bedroom king without pull - out couch . manager duty , see family six lobby instruct we upgrade would 40 dollar additional night . part hope free upgrade , part hope free parking . ( not happen ) room complete kitchenette microwave available 8am-4pm . 
 Dec 24 2005 	 truly great find ! 	 return 5 day Murry Hill Suites wonderful experience . staff friendly helpful . housekeeping service great job maintain room . supply we lot towel , sheet , blanket pillow . tip generously . decor nice . king bed excellent . queen mattress couch bed could update . noise level NY City fine . location within walk distance lot attraction . since transit strike , lot walk ! like quiet , relaxed modest style business . even Ray reservation helpful rate , direction , place see , special need , etc . surely stay Murry Hill Suites whenever visit NY City . truly great find ! thank ! 
 Dec 19 2005 	 Great Place 	 teenage daughter stay Murray Hill East Suites trip New York July . need fantastic . , be Ritz , large room / suite clean nicely furnish . love live dining area relax long day sightseeing . bathroom recently renovate , fully equip kitchen fabulous . staff friendly , feel extremely safe . location also plus . three block walk Grand Central Station could get we anywhere city . also numerous restaurant grocery store nearby . needless say , would definitely stay . 
 Dec 18 2005 	 Loved Murray Hill East Suites 	 love location . rent one bedroom suite . spacious , course outdated decor could redone ( clean well keep ) $ 200.00 night holiday season find hotel well location ! within walking distance Time Square Rockefeller Center ... staff top notch ! allow we late check ! manager helpful well ! would stay ! nice lobby ! think well pleased hotel business family trip ! 
 Dec 12 2005 	 Fab apartment 	 sister stay Murray Hill Suites stay Manhattan . one nice apartment stay . kitchen really well equipped , even dishwasher . apartment really good size bed huge . maid service daily , mean clean apartment lot fresh towel . apartment also quite good fitness centre wear walk around Manhattan . 
 Nov 24 2005 	 return ! 	 like place return . give excellent 3 star hotel , way well expect . book one bedroom apartment thru apartments2book everything go smoothly . stay 6 day include Sunday marathon weekend price high city , less $ $ nearly every hotel room 6 . even though busy , experience problem . check - in / check - out take 5 minute give we extended check - out due later flight departure . room spacious clean . the housekeeping staff polite unobtrusive . kitchen help we save money reheat leftover . Daniels Bagels couple block away Patsy 's Pizzaria bit walk well worth . tend use hotel merely sleep quarter like explore , place comfortable spend couple evening inside reading , plan next day , etc . be pretty low maintenance not require lot help not lot interaction staff , , courteous . negative think 8th floor apartment doggie day care play area roof . couple morning wake call excited dog morning romp . since dog , really not big deal , may annoy people . , pleasant experience . 
 Nov 15 2005 	 Loved ! ! ! ! ! 	 stay Murray Hill East 2 friend impressed ! ! ! friendly staff ( nice door man ) super clean room ! ! room huge nice view Empire State Building ( window face right way ) . Grand Central within walk distance able get around problem ! would definitley stay ! ! 
 Nov 2 2005 	 impressed w/ price 	 stay friend recently . Thought would splurge little location - nice , fairness . plus : find front desk staff unhelpful generally unpleasant , one person time , always wait forever ( NYC ! ) . also , room leak sink go bathroom floor . well definitely absolute lack soundproof ; wake panic one night think someone getting kill hallway , reality , someone laugh . hotel city not figure concept cut noise travel irritate hotel guest ? ? guess impressive thing , really , price . would stay ... mention also need seriously redecorate update style ? 
 Oct 31 2005 	 Terrific Place stay 	 former NY'er go home visit frequently least week time . hate hotel look apartment apartment - like accommodation . get travel deal Orbitz could happy . much well place stay previously , name never go back find Murray Hill ! ! one bedroom suite - huge , place obviously use apartment building sure would not mind live apartment like ! love bathroom ( be big one home ) nifty art deco light . bathroom white green green theme continue throughout apartment . dark green carpet bed linen also green hue . look shiny new modern , place . look large , comfortable , CLEAN , convenient accommodation , can not beat place . the kitchen dishwasher , basic pot pan ( new clean job ) . toaster microwave . coffee pot small since week husband drink lot coffee buy large coffee pot 2 large mug . big deal we . bring coffee coffee pot filter . we never reason call front desk anything check breeze . doormen charming , housekeeping staff pleasant . since ' m NYC , familiar neighborhood ( work area many year ) ton store , short walk Grand Central , , ' m love ! back ! ! ! 
 Oct 25 2005 	 great bad 	 three woman travel together , book last minute heckuva time find hotel $ 300 would give we three bed two bed rollaway . finally find Murray Hill Suites use Apartments2Book get suite one big bedroom ( two double bed ) sleeper sofa living room . price seem good $ 209.the suite quite big NYC standard . galley kitchen decent sized NYC standard . bathroom little tight . Closets galore . two tv ( one bedroom , one living room ) . squeaky clean . towel thin side . my big disappointment location nothing special . feel safe , could see top Empire State Building living room window -- cool -- otherwise hotel nondescript street immediate neighborhood particularly vibrant overly prosperous look . stay Times Square much fun . , ride city bus walk see neighborhood prosperous - looking , wee bit jealous folk stay neighborhood . try neighborhood next time . each morning walk two block excellent bagel place -- Daniel 's Bagels 3rd avenue -- plenty drug store , grocery store nearby . tell good restaurant neighborhood , eat lunch dinner neighborhood happen time . be Lexington 3rd give we great access north south bus , longish ( four block ) walk subway -- ' m spoil stay much close subway past . good close subway Grand Central ; problem get anywhere there . Street would probably consider quiet NYC standard . definitely apartment build prior life . real apartment building feel , hotel feel . Exterior date -- 1950s ? wait check - in painfully long one desk clerk duty . never see one person front desk 's probably common problem . # 3 line walk , clerk slow line grow least ten people wait . have snafu check - in . give key 307 , unpacked , fall asleep sofa wait two travel companion arrive . awake two Kiwi woman open door give room . call front desk clerk tell suppose 208 . say key 307 already unpacked , would please put woman 208 , relent say would & quot ; fix & quot ; computer . however , travel companion arrive , give key 208 walk Kiwi folk . Kiwis figure , tell try 307 , front desk say would fix computer . check clerk give we bill # 208 . huge deal , not understand mix - up difficult cure . we problem get adequate linen sofa bed . 
 Oct 17 2005 	 Murray Hill East - very solid experience 	 wife return weekend NYC . stay Murray Hill Ease Suites 39th Lexington 3rd Ave . truly enjoy stay . room large l - shape efficiency wall window , contain living room setup ( couch , chair coffee table , tv ) small kitchen w/ fridge , sink appliance queen - sized bed . ton closet , small average - sized bathroom . room 's decor bit outdated , clean neat . hotel seem like small apartment building hotel . pay $ 170 / night Priceline feel like bargain . staff courteous even give we extend checkout time last minute . Murray Hill area relatively quiet NYC standard plenty restaurant , bar , coffee shop close . hotel restaurant bar , negative , not faze we least . seem like would affordable option family , look bunch ammenitie romantic hotel , would probably well elsewhere . would definately recommend Murray Hill East would not hesitate stay future . 
 Oct 13 2005 	 amazing price - clean ! - awesome location - well deal NYC 	 ' ve NYC quite bit w/ lot friend live . usually stay Omni Berkshire Lucerne . Murray Hill East good hotel money ' ve ever stay . huge room , clean awesome location . 's 4 star hotel though linen towel little threadbare spotless ! ! ( good solid 2 3 star ) Kitchen clean every day . ' m public health bit freak cleanliness - really really good . quiet street , near mexican embassy . 3 block Grand Central , 4 5 ny public library . easy walk Theater district uptown . I understand people problem .... front desk not great . helpful direction dining recommendation not even Zagat 's look restaurant info . overheard guy say A / C not work another say give key room occupy . problem . great family , great value clean ! will stay ! 
 Oct 10 2005 	 good choice good price ! 	 stay Fri - Sunday trip great choice ! booked & quot ; name - your - own - price & quot ; website . list 2 - star hotel much well ! checkin fast easy . strange 2005 hotel & quot ; real & quot ; key door old - school elevator amenity mostly modern . tv Remote basic meet need fine . the room clean comfortable . room suite , kitchen area complete dish / oven / stove microwave available request- short trip make use fridge sink . surround neighborhood tree - line quiet location overall . drawback short walk near subway- Grand Central 3 - 4 block away ( 42nd Lexington- hotel 39th lex 3rd ) . otherwise , would gladly stay ! ! 
 Sep 28 2005 	 Great Place Stay ! 	 large room , especially money city . room ( importantly ) great . small kitchenette stove fridge ( microwave ) , large dinning area , living area ( comfortable couch chair - small tv , be not room much , fine . ) large bedroom area , decent view , lots storage , average bathroom . Serivce standard . minus ' hallway tight dark , elevator little slow . great location , minute foot Grand Central , nice , quite neighboorhood . street vendor sell good 1 block away great , dinner abound within short walk . stay ! 
 Sep 28 2005 	 feel like home away home 	 front desk professional accommodating . overall hotel clean suite spacious nice . 
 Sep 26 2005 	 convenient comfortable 	 stay many hotel midtown Manhattan homebase . suite roomy comfortable -- business traveler , enjoy able spread work desk make living room office . kitchenette convenient nice grocery store around corner 3rd make even easy eat cheap . drawback kitchen lack microwave . good price per square foot will find ! first floor room actually betray apartment origin large unfurnished patio . doorman prompt courteous , staff friendly knowledgeable . Grand Central Station near subway station -- be unfamiliar area , look subtle entrance directly Lexington Avenue cross 42nd right . save half block . able easily walk Flatiron theatre district ( 20 - 30 minute ) . immediate dining option mediocre ( Saga Lexington good help disguntle ) . 
 Sep 25 2005 	 love kitchenette ! Quiet NYC ! 	 hotel great . king size bed , pull sofa . also small kitchenette come handy left - over , water bottle . front - desk people nice check - in check - out go smoothly . everything clean . 
 Sep 11 2005 	 Poor Service 	 book 3 adult . ( 2 bed pull couch ) . arrive linen pull couch . tell front desk say would take care someone bring sheet pillow . trust go visit town . get back 4 am , still linen pull couch . tell front desk STILL linen . inform leave . apparently hotel enough linen supply guest . needless say restless night . want sleep without sheet pillow .... hotel . 
 Sep 1 2005 	 quiet large room good location 	 good price good quiet location . nothing fancy . room small kitchen area room back build super quiet 10th floor . couple good bar around corner . check Black Sheep beer . 
