awful 	 bed hotel worst ever sleep hotel . feel like super cheap mattress pillow bad , . open air window bathroom bedroom , shutter , ok not want privacy . service good , nothing important comfort , especially bed . exhausted lack sleep make trip less enjoyable . pay $ 48 PER DAY park . would stay mid city , know . way much money low quality . 
 Fabulous Hotel 	 reading review , little skeptical visit . say , could not wrong . customer service great top notch . room Great . big enough three people . great city view . stay 32nd floor . bathroom make little weird slide wood door wooden shudder , still maintain privacy . definitely stay . downside hotel parking . cheap parking ANYWHERE around hotel . business center cost $ 6.95 per minute .50 additional minute . needless say , do not laptop , able get online . 
 Jun 21 2007 	 ten year may hate love ! 	 W Lakeshore definitely everyone . say , want wake one beautiful view around , hotel consider stay Chicago . stay W Lakeshore numerous occasion inevitably memorable stay one not come back hotel work . otherwise walk lobby seem everyone intent party pretty disconcerting work . record , W fan . enjoy unconventional room , plasma tv , assortment strange stuff sale ( W Teddy Bear ) room , electronic music elevator , trendy bar staff - seem model material . addition W Lakeshore two thing really add experience . view Lakeshore drive previously mention gym , fill every type equipment overlook lake - ask well workout . one thing take getting use W 's bathroom . shower Lakeshore hotel simply & quot ; drop & quot ; water . 's trickle , be decent flow not come pressure . also , bathroom window main room , guest really optimal setting . Beats W Dallas though , not door bedroom bathroom . be another review ! warn - decide stay be go non - business hotel everyone look good , people drink lobby , elevator play techno , corridor purple light sell condom teddy bear room . look forward W 's - 's sea change sameness Marriotts , Westins Hiltons always wonder expect check . 5 rating maybe 0 someone else , beat consistent , boring 3 book . 
 may 22 2007 	 Rated W Hotel 	 recently stay ( May 2007 ) friend & amp ; find hotel nice highly over - rate . hotel homepage ( spg.com ) rate category 5 hotel & amp ; website rate 4 * * * * ; find hotel 3 * * * good . use Days Inn & amp ; show complex , break everything room include mirror hang 1 screw , airconditione constantly break ( & amp ; loud ) , door handle , fridge , require repair , 2 adjoining room & amp ; neither room & quot ; maintenance free & quot ; ! windows old & amp ; many break - even miss glass ! ! real issue hotel advertize & amp ; promote free coffee & amp ; danish / bagel morning early riser & amp ; smoker , welcome read paper outside cute little terrace lobby , come refill charge $ 4.50 coffee ! ! ! Turns & quot ; free coffee & quot ; 6.30am ! ! ! ! restaurant lobby excellent food , though loud right lobby wall seperate it . one thing peeve we advertize hotel 's bar upon arrival find extrordinarily lacking & amp ; appear build thought without effort decorate . also , not food licence ( ? ? ? ) drink without even peanut , let alone able order appetizer , matter could not even room service bring we something . hotel 's brochure could use radical editing ! plus side however , concierge wonderful & amp ; able get 4 girlfriend Oprah Show standby ticket really make trip . also bed extremely comfortable & amp ; Bliss Spa premise lovely wonderful staff . the view lake beautiful wonderful location would think & quot ; high end chain & quot ; would spend little decor & amp ; quality . 
 May 17 2007 	 Great Hotel ! 	 great hotel , hip & amp ; fashionable . service outstanding . concierge excellent . service A1 , everytime walk hotel open door . room cool , 42 & quot ; plasma tv , big King bed , cd / dvd player watch movie . radio bed cd player . hotel computer room PC 's printer fax . pool work room . trendy bar . security excellent , need card work elevator night security guard elevator , allow guest . hotel overlooks lake Navy Pier block Michigan Avenue central . also gay , lesbian , bi , transgendered friendly hotel . go transgendered girlfriend one bat eyelid . 
 May 7 2007 	 W Lakeshore way go Chicago 	 companion stay W Chicago -- Lakeshore 3 night April 2007 conference . fantastic time . accomodation wonderful -- room overlook Lake Michigan , beach Navy Pier . love W chaise lounge relax room watch high - def LCD tv . bed luxurious comfortable hard time wake attend meeting ! also , bathroom make differently shutter , neither we complain enough privacy . fact , appreciate could watch tv curl hair . service great . housekeeping keep room spotless supply plenty towel . find one member staff snooty unhelpful . yes , staff tend young side train respond request cheerfully promptly . negative give hotel Wave Restaurant . try Saturday night thoroughly disappointed . one right mind place restaurant middle popular hotel lobby / bar . dining experience loud food horrible . two save grace staff infuse martini . overall , W Lakeshore great hotel . however , stay away wave . 
 May 6 2007 	 Nice hotel cool lobby 	 typical W hotel , , we , make LOT fun . be get great , hip lobby lot stuff go time . good restaurant , right within walk distance lake Michigan Navy Pier . Mag . mile not far ( several block ) , little trek ... be young not mind walk lot , doable . room fantastic . bed , always wonderful . view good , well . overall , find good deal , would recommend . little pricy though . 
 May 5 2007 	 Felt like need martini hand time ... 	 stay W Lakeshore week business . room nicely appoint -- bed shower nice , sufficient storage space hanger week . bathroom need fan . the price internet access room seem steep ( $ 14.95 per day ) , however connection good experienced disruption . the wall room thin . could hear neighbour people hallway clearly ( particularly talk phone use tv ) . inter - room soundproof need address . the cardio equipment good , weight room mediocre . go run one morning along waterfront ( step hotel tunnel go beneath lake shore drive ) find heavenly . the restaurant wave wonderful tapas food service good . decent wine list , overall restaurant pricey . lunch also good , expensive side . the hotel location seem little isolated main strip Michigan Avenue , 10 minute walk along Ontario Street . , however nice brunch place call West Egg Cafe serve lovely crepe omlette reasonable price . also Chipotle Starbucks nearby . 
 Apr 26 2007 	 good hotel though taste 	 W Lakeshore follow usual formula W hotel : ' ambient ' music lobby lift , stylish decor room entirely convincing attempt chic designer feel . overall , feel like huge great hotel conglomerate - Westin - try little hard hip . say , place stay 's get plenty favour . room comfortable appealingly non - stuffy ( though ' m sure design innovation particularly practical ) . be also decent fitness centre pool . location - next Lakeshore Drive - not especially memorable , 's short walk ( 10 minute be amble ) North Michigan Avenue . overall , hotel probably fail provide kind luxurious boutique - style experience marketing claim , perfectly good base explore Chicago , assume get decent rate . 
 Apr 23 2007 	 worth 	 smoky smell lobby ... 15 minute wait elevator ... holier - than - thou staff ooze fake attitude ... either gold platinum member starwood three year . wife one day stay hotel - hate . location & quot ; lake & quot ; - still involve cross Lakeshore Drive access . hotel ( Drake ) Lakeshore address much charm . this place former Holiday Inn - certainly tell ... 
 Apr 22 2007 	 never 	 book & quot ; marvelous suite & quot ; business plan ( printer fax room ) , due requirement work hotel . check abominable ; reception desk adjacent WAVE bar ; need shout communication . 5:30 pm Saturday , lobby pack people ( spill bar ) .All hallway dark ; suite see well day : much furniture nicked scratch ; cd player work ; one reception concierge desk know use Sirius radio ; printer fax ; bathroom filthy ... month scum around outside glass shower enclosure ; plastic flange bottom glass shower door dark brown scum . after unpack , start flip & quot ; coffee table book & quot ; .... single edge razor blade inside cover , along brown cover ( separate ) little white dust . two request ( person ) reception desk remove ignore . leave book open day Sunday : housekeep nothing ; Monday , room service take breakfast tray , ignore razor ; housekeeping service day , either . I call manager Tuesday morning . apologize , send clerk ..... razor remove day ( day # four stay ) , bathroom clean . printer fax : engineer leave message hotel would purchase install printer fax would need pay PRINTER FAX UNIT . explain manager confirmation email hotel , five day arrival , mention printer fax ( pay business plan ) ... say email & quot ; glitch & quot ; hotel long offer plan pay ! concierge suggest use wifi hotel & quot ; relax & quot ; business , use business center . all , disappointing stay , especially since suite cost $ 505.00 per night . rate , one ask bathroom clean scum , repeatedly ask drug paraphenalia remove , etc . furniture poor shape ; read room difficult lamp unusual design . good side , bed extremely comfortable ; wide screen tv living area work fine , bedroom tv could recieve many station signal . bedroom curtain ( & quot ; black type ) could roll two day row .... make dark environment try work . room service restaurant food good ; coffee maker room , however ( concierge stated & quot ; guest mind pay room service coffee & quot ; ) . need Chicago telephone directory ; none place room ( concierge ) & quot ; guest seem use & quot ; .... send local directory area around hotel ... helpful business need . we never stay , another W hotel . attitude staff condescend , well abrupt . starwood hotel review property closely . never complain , , hotel stay 20 year ; consider stay hotel well acceptable . 
 Apr 15 2007 	 like might well option 	 stay 3 day condo paint . great location Chicago , though bit isolate public transportation . buzz strong , especially summertime bar sundeck . plan spend time shopping Mich Ave , okay , plan activity city , would try find another location . example , Loop City Centre W , think much well property , Seattle W.Other , minor thing bother , like shower flood entire bathroom floor , though might function long shower anything else ( thank great showerhead ) .The design touch mishmash : showerhead note great . rock hallway ? much . might B & amp ; stereo , also great , could tell corner cut room furniture furnishing . room great deal personality ' ve . 
 Apr 15 2007 	 day Inn 	 day Inn , spend $ 5 convert . 's bad W ' ve stay . lobby bar look reasonably ok , theroom poor quality . seventy stipple - paint ceiling , chipboard wall thru hear everything anything neighbour . other mention , bizarre serve - hatch kind thing bathroom mean limited privacy . housekeep poor - no - one bother clean room one day ; day ' tidy ' oppose ' clean ' . complain get night free , decent , ultimately , premium be pay W brand worht 
 Mar 20 2007 	 W Lakeshore Chicago .. great hotel good location . 	 Loved W ! good location , spend extra cab drive get . room little small , bar fun fun people night . friendly responsive staff . overall great experience . 
 Mar 19 2007 	 wonderful experience 	 stay W 4 night . pretty neat hotel . yes wall little thin St Patty 's night & amp ; sleep great ! bed comfortable , pool average . hip , alot 20 something good time . 2 boy we ( 12 & amp ; 9 ) think verycool ! Bellman even give waterbottle , game & amp ; yoyo check . park Millenium garage advice forum save $ 40/ night valet . go rate $ 300 , pay $ 120 Hotwire opinion terrific value . advice : get great rate worth ! find Chicago friendly tourists- really great city ! GREAT People ! 
 Mar 18 2007 	 obvious hotel use Holiday Inn 	 first time stay W Hotel certainly hope Lakeshore indicative W Hotels . arrive check night yell hear people party lobby . know W & quot ; hip & quot ; chain , put check - in area quieter spot would much ask . room nice soundproof . ( awake one morning amorous sound neighbor also hear everyone come home late night traipse hallway . ) decor please nothing special . expect $ 300 night , room view . 's obvious layout ugly exterior use Holiday Inn . bathroom small window opening main room . open closed shutter , i.e . soundproof . love much time privacy nice . on plus side , staff helpful friendly , room , lobby hall clean , mojito bar excellent ! location ideal weekend Chicago , close lake , Michigan Ave , etc . with hotel Chicago offer , though , would stay unless price less $ 140 night . 
 Mar 16 2007 	 vibe content 	 tell W Hotels try specific vibe - - W Lakeshore succeed generating deliver vibe . however sometimes substance sometime none . check - in delightful ; elevator hip Cafe Del Mar Hotel cost tune ; hallway lakeview room - socialist . enough convert old concrete structure hip asipire hotel - ! small room ; paper thin wall ( endure 30 minute intermittent alarm first morning adjoining room 6:30am ) ; small bathroom ; inexplicable lack privacy shutter slide door bathroom ; dust everywhere ; low ceiling ; bit shabby furniture yes , $ 25 dollar snack . price - bargain ..... pool good . even though fathom ( ! ) sign pool state single person alone use pool - hip , single executive wanting recreate ? ? ? ? food restaurant - nice ! tasty ! good service ! room service - well - one bathrobe provide reserve 2 adult ; towel take away replacement leave ; eerie 2nd bed turndown turndown service do ( spooky someone room often ) . somehow value ! flash substance ...... expensive .... may go back since great deal .... 
 Feb 27 2007 	 56 150 hotel Right 	 W lakeshore average hotel 56th ranking would give .All review .. negative .. W Hotels hip / cool one loud ... loud .. registration desk / conceirge desk middle disco impossible kid ( kid hear ) horrible staff experience good one front desk mgr daniel , security guard damion , evening doorman . , room service waiter excellent .. negative .there alot ... besides noise , hallway , guestroom , quiet place anywhere .. housekeeping come room regardless sign otherwise intrusive , 10 key YES TEN KEYS make able get change lock .. one desk clerk tell we obviously fault .. even though security staff ( twice let we room could not get we key provide ... finally take front desk mgr room could not get work .. lock change .. would stay ... room need rehab tell .. good enough $ 300.00 pay .. extra charge bill be substantial City bed tax 15 % expect 45.00 tax , fault add .. 14.95 internet ( chain free ) , movie 12.95 ( instead 8.95 ) 800 phone call cost we 16.00 3.00 bottle water .. $ 40.00 drycleane suit , pay 5 star hotel price Hip Days inn quality room experience .I ' m hotel business , hotel recognize stuff happen nanywhere .. , correct matter .. W stand WAcky .. probably 54 well hotel chicago .. go somewhere else .Location might good summer winter good choice either .. 
 Feb 22 2007 	 w whatthe ? 	 2 night stay trendy W. could see Navy pier attraction window tell staff not safe walk night via tunnel . trap ... hotel registration desk middle Eurotrash bar . loud techno thump one expect complete transaction . not dress causally , will certainly feel place . wear earplug rooftop lounge not expect quiet drink anywhere hotel . room hall cool , hope comfortable well . 
 Feb 6 2007 	 poor service poor quality poor experience overall 	 outset , W Chicago Lakeshore lack appeal Starwood 's W Hotels everywhere else . staff incredibly curt . make visibly obvious request may -- simple wake - up call -- inconvenience they . the communication hotel 's front - end staff poor well . ask disturb check get long flight want nap little bit . surprise disgust , housekeeper walk right room without much knock door . claim tell guest room . hotel insist buy dinner restaurant -- wave -- evening ( WONDERFUL , actually ) .The design hotel poor . another reviewer mention , formerly day Inn ( less quality hotel ) . , infrastructure thin need repair . entire conversation hear adjacent room . management concerned assistance guest regard . fact , mention , manager say , & quot ; well get adjustment yesterday ; want we ? & quot ; appal speak way . want reservation carry plan ; look nothing special . audacious overly obnoxious manager behave way . & quot ; Whatever / Whenever & quot ; hotel like & quot ; Nothing / Never . & quot ; three night type experience ( plumbing work correctly , housekeeper ignore & quot ; disturb & quot ; sign door , enter room guest present , noise adjacent room , audacity management ) , relocate W Chicago City Centre . experience highly enjoyable make inconvenience Lakeshore . return , will head straight City Centre hotel ( Intercontinental Michigan Ave . , seem incredible ! ) .last thing mention decoration room : expect window -- shudder ! -- lead bathroom main part room . awkward design , say least . 
 Jan 15 2007 	 ok Stay W 	 stay W Lakeshore one night January 13th . would agree previous post pro con . view indeed fabulous . love could work healthclub overlook lake . hotel totally hip trendy , although say overly impressed Whiskey Sky bar . personally like lobby bar much well . also , hotel smell fabulous location great . downside , think wall little thin . could hear everyone open close door hallway . also not really care shutter window shuttered door concept bathroom . leave much desire privacy . thing worth mention , also mention , nickel dime death . ' m use mini bar price high , $ 6 small bottle water ridiculous . breakfast two la carte restaurant ( room service ) $ 40 tip . say though , due great location plenty nearby dining option outside hotel will not break . everyone deal staff great could get decent rate would stay hotel . 
 Dec 31 2006 	 try make mind 	 really , try hotel decide . third trip family kid think coolest place earth ; pool word & quot ; wet & quot ; bottom , fluffy bed techno beat play backdrop whole experience ... much cool well .... . not like dark hallway , feel though dark place something hide . frankly , might . hotel new stretch imagination ; comfortable . check time , guy late 40 's checking & quot ; girl & quot ; mid 20 's front . strike unmarried even , affair ... would hotel would want make happen ! place full mojo . bed comfy , service fine view lakeside lovely . try . 
 Dec 21 2006 	 ridiculously outstanding ! 	 stick Chicago day due huge storm Denver - book room Starwood Preferred Guest moment enter lobby , know experience . exceptional customer service staff . small touch notice W ... real person instead record wake call ... staff note name indicate could call personally need ... attentive concierge great suggestion ... turndown service request .... wonderful . hip , trendy lobby scene - rooftop bar little crowded small , view 33rd floor likely stunning . since travel alone , far prefer & quot ; Living Room & quot ; lobby bar . less clubby . well people watch . 23rd floor lakeview room feature luxurious shower - deluge ! perfect weekend could spend regular , boring , chain turn adventure remember . absolutely , stay W Lakeshore . 
 Dec 18 2006 	 recommend hotel 	 spend night W Chicago Lakeshore enjoy . stay W San Francisco , idea expect . staff pleasant , room comfortable ammentie nice . $ 300 night regular rate , would choose another hotel Chicago , steal get Hotwire . price , line four star hotel , understand complain posting . like room / bathroom design bed excellent . concierge helpful pleasant . 
 Dec 13 2006 	 disappoint 	 daughter make reservation hotwire , sure exact total , around $ 150 , would , upset pay usual room charge . read review sure hotel would great , little different , good .this used day inn , look like , cheap hotel try make look elegant hip , fail . good bar , not go look invite view . location good want go Navy Pier . indoor pool , small side , hot tub . comfortable bed , plazma tv . bad , small room , city view roof top , black ceiling room , drab color , even enclose closet , rod , would find day inn . Bathroom , enough water pressure , enough hot water , color grey one wall red , enough lighting , pocket door save space , add wood shuttered window opening bathroom bed area , could open side , might think trendy , . hallway dark side , small rock place side , entire length hall , different , not see do hotel . doubt anyone would say want stay rock hallway . get really tick bottled water room , feel hotel place water room complimentary , W charge $ 3 small bottle , $ 6 large version . hesitant make coffee room , sure go charge fee also . coffee morning downstair $ 3 , good thing . stay numerous hotel Chicago , money one disappointing . lot well look hotel city , service offer money . would say will not stay second time . 
 Dec 12 2006 	 love W great time 	 ( 36 ) girlfriend ( 32 ) stay 3 night friend we ( age ) couple ( mid 50 ) like hotel . of course style hotel hip modern , love , that s one reason go there . the stuff friendly , room nice , bathroom nice location also nice . I read review people complain internet stuff like - not nothing , holiday trip . not use internet . also people say review alot stylish , hip young people stay hotel . couple travle we 55 year old also like hotel much . the lobby nice also modern . I would defently go . 
 Nov 28 2006 	 trendy nothing impressive ! 	 visit hotel husband business . w definitely live reputation trendy young hotel , however accomodation truly comfortable & quot ; luxury & quot ; .. lobby also double bar / lounge , full young hip people almost every night week . 's great place hang fingertip . hotel relatively central within walking distance Navy Pier Michigan Ave . room however cool average really rather small . bathroom slide japanese style door , work sometimes . bathroom shower , tiny . must say bed comfortable , however wall paper thin . could hear neighbor 's every move night long . additionally wireless internet huge let business traveler . summation visit Chicago purely party fun hotel would great choice . 's young , fun great place meet people . however , business . able sleep , small accomodation not give room work , business environment conducive work . hope help make great decision . 
 Nov 28 2006 	 ` ` '' n't ! 	 overprice . would terrible not price compete hotel & quot ; get , & quot ; not . hallway swarm clean crew seem spend morning talk . third try make room key work . bad : wifi room , concierge report plan provide . 1990' - era dsl available exorbitant price , course . phone call booking yield assurance wifi.however , even decide travel past use dsl , can not send email use mailserver , amateur administer network block port 25 misguided attempt thwart spammers.add problem crowbar mark many door jambs hotel whose time come clearly go . hotel gladly pay 12 dollar croissant . one . one thing , croissant size silver dollar . staff good - looking , view lake michigan wonderful . not let detail convince spend money . w trendy surface , fray around edge , nothing underneath.and not drink voss water read itty bitty price tag . 
 Nov 28 2006 	 great people hotel overcharge basic 	 another great W Hotel experience . every staff member encounter pleasent . party 2 adult 3 - year old . chaise king - bed room perfect child 's bed . enjoy breakfast restaurant fun drink lounge . complaint shocking price & quot ; little stuff & quot ; $ 5 child 's apple juice . 
 Nov 20 2006 	 beware ! ! ! Bait Switch ! 	 arrive late exhausted epic day flight delay arrive W 's Lakeshore 's check - in tell room book long available . give we $ 10 tell we find taxi W Chicago City Center . specifically choose W Lakeshore location , lake view pool , shuffle we hotel offer none perk , outrageous . beware ... may also victim bait switch . w staff unapologetic , mainly interested push we door . ask speak hotel manager , tell busy , someone would call morning . one . will never book W . end stay Park Hyatt . give top - notch service , great room , hear W treat we , send complimentary bottle wine delicious cheese course room . felt utterly welcome relaxed ! rough night , ' m happy not end stay W. look really cheesy cheaply construct . guy wear big gold chain sunglasse night , pose , preen giant suv hotel main door . inside , expect pound music lobby area . W may guarantee room reservation , offer complimentary blasting music night long . impossible talk regular volume . front desk attendant basically shout we . room low floor , plan club night . 4 word advice : stay another Hotel ! 
 Nov 9 2006 	 great time ! 	 friend mine decide whim need take mini vacation find comparable rate W. staff friendly , designs- super hip , hotel room nice clean . can not comment enough sweet stay . location hotel block shopping restaurant miracle mile . take cab ... problem get point interest . three evening town , spend one full evening mingling enjoy lounge bar hotel . def . nice leave hotel good time . overall , one relax stay ' ve hotel . highly recommend hotel look good time treat kindly . 
 Nov 3 2006 	 will back ! 	 husband fly South Florida meet two good friend NJ celebrate 31st birthday Chicago . weather suprisingly gorgeous , ( high 40 's low 50 's ) make short walk Magnificent Mile W pleasurable . hotel seem like place . arrive midnight Friday lobby live w/ look like afterwork crowd bar . Everytime stepped elevator feel like party , least lounge . music loud overbear many post site . hotel would recommend bring child , well suitable anyone range 23 - 40 enjoy party scene . room nice , bed linen comfortable , bathroom adequate ( yes Bliss product total plus ) . light dim ( type lighting make look flawless ) get nerve , enough make want stay . back lobby- perfect casual lounging take full advantage free wifi sip cocktail . barmaid extremely friendly come part lobby take order , not even get go bar . find great restaurant Rush St call Heaven Seven ( hi Mike ! ! ) serve good GUMBO ' ve yet taste . endless collection hot sauce w/ sort crazy name . also great breakfast menu . Sears Tower totally disappointing check list thing Chicago . however , corner Sears Tower like ride Universal Studios . wind corner something fierce- could not even get cab door open , really strange since not windy anywhere else . mall Water Tower Place great . good boot collection ' ve ever see Lord & amp ; Taylor 's . good deep dish pizza hand , Giordano 's . ( Pizzeria Uno- original- not carry menu franchise Uno 's , not happy hour menu 's either- opinion- worth visit ) . find cool irish Sports Bar w/ great drink special call o'toole . place call West Egg seem like great breakfast spot- wait 25 min not eat . menu look great tho , price right . tip copper cowboy Magnificent Mile take pic , definitely one memoir book . take 10 min cab ride Funky Buddha Lounge , blast . great place meet local tell place check . Navy Pier nice . feel obligated go since W directly across , Forest Gump impersonator front Bubba Gump restaurant , not near highlight trip -- although ferry ride around Lake Michigan make great pic . free trolley travel around . ask concierge schedule save alot time cab money . friend take train Midway say really easy figure . take cab O'hare run we approx $ 40 w/ tip . depend time year go ( weather permit ) 's lot see within walk distance W. last night check Whiskey Bar 33rd floor , extremely dark small . smoking permit , not smoke , 's place since 's small cigarette smell linger . last , definitely least , visitie Chicago Public Library . 10 floor ! ! ! library enthusiasts heaven ! ! overall , love Chicago . exactly picture , full culture diversity proud local flourish art . can not wait go back check Bucktown Old Town . 
 Nov 3 2006 	 nice stay Hip Trendy W Lakeshore 	 great hip trendy hotel . like W hotel bar ( Whisky Sky ) big scene . stay week quite . must say impressed level service ( expect less review ) . room clean ; amenity include daily newspaper , toiletry Bliss spa , robe , hairdryer , comfy bed comforter & amp ; pillow . full business center 7th floor equip MACs pc . great view Lake business center . view room city view ; guess 's get book online booking agent . run one snooty concierge , provide adequate info . overall great stay . next time try get appointment spa ! 
 Nov 1 2006 	 Fantastic Hotel 	 admit read review , slightly hesitant stay W Lakeshore . live hype usually surround W hotel - awesome . staff incredibly nice accommodating . help us cab suggest place visit other . come go night , bartender make wise suggestion . get back around 2 , not crazy like people suggest early review . yes people lobby prevent we make room . room beautiful - save black ceiling - indeed make difficult apply make . supply make mirror see close . bliss product incredible . friend actually buy travel kit sell gift shop , love facial scrub . bed comfy cozy get night town . overall great experience go back Chicago definitely intend stay . 
 Oct 30 2006 	 Fine line 	 fine line hip cheesy line draw right middle hotel . feel like stay Saturday Night Live skit ... Night Roxbury meet Deiter uber hip German . try hard hip try , not hip . 
 Oct 30 2006 	 nice 	 really like hotel . I book company stay tradeshow McCormick Place . sound nice good location . read review , worried might trendy group , everyone really like , president sale manager sale people . good location shopping restaurant . room swanky . modern , fun decor . employee courteous . see family , would not bring kid feel adult atmosphere , fine - need sometimes . my complaint would would prefer lighting bathroom - big deal . 
 Oct 30 2006 	 Uber Trendy ! 	 Uber Trendy hotel ! will see review compare set Sex City , be correct . however , Ritz , not . like traditional hotel , not stay follow reason : bathroom lack privacy 's shuttered window ; room dark stark lighting ; hallway dark mood lighting ; lobby party central ; lobby common area smell like spa awhile , 's bit nauseating ; hotel shop overprice junk little sundrie ; phone book room 24 hour day 's boom boom boom techo music common area . upside ? wonderful location , comfy bed , nice in - room flat screen , terrific personnel will feel like be cut edge hip be stay ! 
 Oct 29 2006 	 unique experience 	 find great internet rate hotel quick overnight stay Chicago . idea location within walk distance Navy Pier walk beautiful ! room small , adequate interesting decor . the food dining room pricey exactly kid friendly . 
 Oct 24 2006 	 enjoy stay 	 stay W Lakeshore recently support friend run Chicago Marathon . pay room friend use Starwood point book two room . room excellent view , one lake / navy pier one city . room clean trendy . bed extremely comfortable . bathroom nice . must admit slide door bathroom shutter window favorite . lot privacy . travel someone comfortable ( spouse , sibling , etc . ) would fine . lobby area active . resemble night club feeling . check friday DJ play lobby lot beautiful people around . think fun great go far drink people watch trendy setting . staff excellent really try please every need . service top notch . hotel sure gear towards young crowd really enjoy stay . location excellent ! 
 Oct 17 2006 	 great autumn stay W 	 town mid - October ' 06 one - night stay celebrate special occasion happy whirlwind stay W Lakeshore . accumulate SPG point use Saturday night visit , book several month advance online . check , friendly desk person ( one three duty accomodate afternoon rush ) honor last minute request upper floor room , also also make one lake view -- without ask ! Sweet . admit , since use starwood point rather actual dollar , half - expect potentially noisy low level room blah view ... well , shutterbug travel companion pleasantly surprise wind even - number room 26th floor -- quiet corner unit end hall , offer sprawl perfect view Navy Pier environ . though guest room particular hotel tad small W 's ' ve visit ( nod property 's day Inn past ) king room compact bathroom well design tastefully decorate . rain shower head over - sized plazma tv definitely appreciate , fave ammenity ( ) room 's & quot ; Heavenly Bed & quot ; - sleep great - AhhhhhFor ( like ) enjoy walk , bustle Michigan Ave close hand - block west W 's front door . neighborhood surround hotel also offer several nearby conveinience , include Ohio Ave tunnel Lakeshore Dr , offer quick access lakefront run bike path ( beach ) . also close : starbuck , White Hen , nice italian deli . Interpark public parking garage door west , ( enter Erie ) rate $ 30 / day $ 15 - 20 W 's valet rate . for hip , relax , scenic , well - situate place stay Windy City , give W Lakeshore try ! 
 Oct 10 2006 	 well expected 	 return two night stay w base previous review , not sure expect . say pleasantly surprised . check - in line bellman courteous prompt . room small tastefully decorate clean . would prefer queen king bed , none available . plenty lighting room bathroom need , wife feel bathroom privacy adequate . perhaps fortunate , upon turn night , hear noise , somewhat noisy ( terrible ) air conditioner . we feel somewhat & quot ; old & quot ; hotel ( 43 ) , intimidate let get way . Thought see - thru wall public & quot ; w.c & quot ; wave scream . W ever stay , can not offer comparison other , , be look different hotelexperience , W place . would definately stay well give W 's try . 
 Oct 10 2006 	 way top 	 four woman early thirty east coast west coast , stay long weekend W. hotel good rate Hotwire book non - smoking room two double bed . the problem begin arrive . difficult tell even check many people party lobby , could not even see check - in area ! ! know hotel always accomodate preference smoke / nonsmoking , assure phone room would non - smoking one we pretty serious asthma . however , tell room available two double bed set - up , except smoking room , take it . the room , dark . many previous review note lack good lighting , black ceiling not help either . air conditioning unit loud keep smell smoke room . bathroom really lack privacy since & quot ; shutter & quot ; door hollow . shower , however , nice , fan bathroom clear steam . also problem customer service . one could get train schedule we ( could figure time take blue line back airport ) ask wake - up call 8:00am , get two call : one 8:15 one 8:30 . would like note able change room last night stay ( Sunday night ) non - smoking room , need make fuss front desk order ( know many guest leave hotel morning ) . like location hotel able walk many place . however , give problem , would stay . 
 oct 9 2006 	 place business visitor . 	 stay 2 night trade fare Navy Pier . location great walk Navy Pier , go hop cab get , becfuase one way system , end go couple block oppoite direction , mean probably cost take time get hotel bit away . although across road Lake , one big , busy , ugly road . hotel like night club hotel , opposite tranquil escape hard day work . single scene , , full convention type people , beautiful young people - sort vibe expect . room nice , would defo stay . 
 Oct 5 2006 	 worth 	 room upscale , facility upscale , hotel populatednot much guest , rather rove patron lobby upstairs bar . scene hot bar , hotel need keep non - guest floor . during day place calm , work night party place single scene . 
 Sep 22 2006 	 ' W ' stand Worst Service ever 	 group we stay W lakeshore weekend sister 's bachelorette party . choose package deal suppose include luxury suite bride 3 friend , limo transportation club , special vip treatement Le Passage . instead , get suite one king bed ( 4 people ) , BUS , bouncer Le Passage act though idea talk . obviously would never recommend bachelorette package . addition , checking take forever , staff unfriendly rude , hotel decor overrate . thing like stay Bliss product bathroom ! 
 Sep 20 2006 	 .. price / hotel level 	 Chicago hometown never use know much Chicago hotel room . however , ' m DC , travel often Chicago get choose hotel . favorite remain Sofitel ( design / amenity ) Sutton Place ( location / amenity ) . love travel typically go least 4 , 5 star hotel . take boyfriend W well , be W W NYC pretty nice . recall last time leave hotel leave W. OK , review : long weekend , book spectacular room overlook navy pier / lake . GORGEOUS VIEW be , place wan stay . room look pretty , CLEAN . rug need vacum duvet cover dusty top . bathroom design look ultra chic , horrible lighting , girl ! never experience bad lighting small bathroom anywhere ! not know manage get poor afraid put makeup know would look like . also , shower door stand . note door water run entire bathroom .. ridiculous design . shade room exceptionally difficult pull cover brilliant sun come great view like 6 am . bottom line : beautiful design require quality thoughtfulness make practical . servicewise , order hot water late night friend 12:30 thursday night . call 3x order get cup hot water deliver almost full hour later ! Suffice say , boyfriend cke Sutton Place early friday . say friend mine particularly enjoy spa , Bliss though can not comment . also , admittedly feather bed sheet ultra comfy . Chicago local , would also add W lakeshore good location visit . ok navy pier will short cab ride MI ave shopping / rush st./food . want see , well stay somewhere else . 
 Sep 16 2006 	 Paper thin wall 	 every W Hotel cool . although couple thing make particular stay average . front desk guy somewhat useless . blame hire young people not ingrain sense sophistication . ' m use professional individual . room cute except wall paper thin . 's big complaint . could hear phone ringing - first think one room . side room , could hear couple talk regulary . make nervous since be like speak loudly . promptly move another room request . probably will not stay . come find next day client hotel old Holiday Inn ! make sense . 
