great 	 huge waste money ! think Starwood Hotel would nicer end . first night ok , little could heat cool room comfortable . could leave air keep fresh air circulate blow head night turn suffocate room dead air . fine line AC heat . expect bed would caliber Heavenly Beds Westin . ! bed awful feather bed pad crunchy . exactly want lie . feather one thing , feather quill another . make bed super hot thick , hot duvet use . San Francisco , Siberia . bit overkill . second third night get pleasure listen yappy dog night long dog not bark owner busy yell . wall thin cheap could hear every single word conversation room next we . call complain dog , lame story owner not suppose leave animal unattended come get send bagel coffee breakfast apology . thank , sleep would preferable bland cream cheese send bagel . call 3 time complain dog bark . give option move , pack family move idiot can not leave dog home . Dogs not baby , can not tote restaurant store . need stay home . disappointed W allow people bring dog ruin everyone 's sleep . lose business good . will back Westin . 
 Aug 20 2007 	 forewarned well ? 	 reserve W week advance look forward three night stay reportedly upscale location . know would arrive late call hotel advance , even though room guarantee credit card , sure give away room . upon arrival discover book night ( midnight long drive ) going put we hotel within walking distance . ever completely exhausted walk street bellman luggage cart ? upside stay excellent location , St. Regis ... would highly recommend . compe room parking .. W try make amend . late checkout St. Regis hike back block necessary due meeting obligation ... graciously arrange St. Regis . upon re - arrival room yet ready ... leave bag bellman take we . room W pale comparison St. Regis , although comparison issue . actually fairly well appoint modern furnishing , comfortable bed , nicely update bath ( glass countertop , stainless sink , etc . ) . view rather exceptional . there phone book room , map hotel , emergency evacuation map room ... phone seem standard button mark dial different service . typical hotel traveler find item oddly absent . phone issue especially frustrating & quot ; W & quot ; book take flip figure call ... dial ' 0 ' forget ! location superb , W stand . across street convention center next door museum modern art . shopping cable car line short walk hotel . easily get Fisherman 's wharf back Ghiradelli Square late evening line . this family location however . travel teenage son business meeting uncomfortable lobby area basically bar lounge . find necessary enter door close checkin desk valet entrance avoid pass single orient atmosphere . a room decoration fall headboard fortunately hit unoccupied pillow dinner ... real topper annoyance . room service fair , coffee good find overpriced quality food . we give complimentary cracker , fruit , cheese plate gesture first night 's stay receive write in - person apology offer assistance . in sum , comfortable arrangement would recommend ... stay St. Regis pretty good exchange booking problem ... would recommend family . 
 Aug 14 2007 	 extremely Bad Customer Services 	 god . can not believe ' m write bad review W Hotel . guess ' ve spoil W Hotel ( W Montreal BEST ) .. start ? bed - guess one big disappointment W BED lack ? W know W Bed ( Fluffy White Cloud bed sink ) get room SF business trip , think bed typical , fluffy type bed . not think much , since not stay W awhile , maybe change bed . actually look mattress , Sealy Beautyrest ( Starwood ) . W Signature Bed make Simmons [ -- ] talk front desk , supervisor assure W Bed ( Simmons ) , change mind tell Sealy mattress . guy room setup tell Sealy W Bed old version process update new W Bed ( Simmons ) within next 3 week . offer add feather bed make feel well . sure , call W SF ask W Signature Bed , guy confirm room LATEST version W Bed ( Simmons ) . well ... going buy W Signature Bed SF . guess will not buy anymore . wish stick one story , maybe will not mad . CUSTOMER SERVICES -- XYZ Bar - call twice arrival arrange & quot ; happy hour & quot ; gather XYZ bar , one call back . -Doorman - there one front door Sunday , couple luggage hard open door drag . -upgrade - no upgrade ( ' m Business Preferred Guest ) say sell , somehow able upgrade co - worker room even check . -Bed - they going give free point ( enough half day stay - how generous ) & quot ; Bed & quot ; situation . nothing account yet . -Room - there water drip bathroom , say bathtub upstairs not work , be leak bathroom . ahhh -- -I feel much well . ' m sure sound like real drama queen . hope one go thing ! time check many complaint , front desk person say credit account additional HALF day worth point ( half day point ... idea ... actually want stay w half night ? hope never stay W ? ) 7/24/2007 - call back hotel front desk find never credit account additional point ... manager say call back couple day follow individual . never get call back . point , ' m sure really want point stay W Hotel again.8/14/2007 - call back hotel , speak guest relationship manager , explain complaint . extremely nice listen blah blah blah . say follow staff , credit account additional point . update point hit account . maybe give 2 star ! ? 
 Aug 10 2007 	 W SAn Francisco 	 cool hotel true W brand . W San Francisco situate perfectly business convention purpose straight across Moscone . be also good home base want shop , tour , visit Museum . public space stylish Lobby attract good look -- young -- local -so 's nice mix tourist , business people , city dweller . property definately gear towards pretty specific age interest group ( sophisticated mostly mid 20's-40 's single couple w/ kid tag along ) . 's hang chill music dim lighting . room bathroom attractive , comfortable , well thought , bit small even SF standard . still completely enjoyable property great fun decent value weekend wonderful city . 
 Aug 9 2007 	 wonderful 	 use try true W fan , stay W 's ( Montreal fantastic ! Honolulu fun ! ) W San Fran , say stay W San Fran last . the hotel great vibe great location , think let go head . room small , poor value price . fact , hate first room much ( right fire station Howard ! ! ) use upgrade move suite . initially impress new decor ( apparently renovate floor floor - pan asian - whimsy alot fun ) , realize quickly 's alot glos much substance . the new room also terribly noisy - due street noise & quot ; ambient & quot ; ( say thump ) hallway music . clean service sporadic poor - sheet stain check , take three call get another pillow , last day clean ! ! disappointing return room midnight find clean towel messy bed . service front desk ? non existent . long line check . attitude bell staff . ridiculous valet fee ( 46.50 ! ! ! ) . overall - not bother . chic well hotel San Francisco dollar . w not measure ! 
 Jul 21 2007 	 W Hotel 	 Pool outside patio great bar . love hotel . always try stay San Francisco . know could see Bloomingdales sign window box recliner room ? food get well since last stay good . 
 Jul 11 2007 	 Loved W 	 daughter stay June - July 2006 , wonderful ! soon arrive upgrade we big room high floor spectacular view ! 's great location , central everything , close Market st . order room service twice , good quick . great value money . fantastic place visit ! 
 Jul 7 2007 	 typical W 	 W good W 's city . stay several though SF version nice , not think measure W standard . pricey , location small room . little dirty compare W 's , awkward . 
 Jul 4 2007 	 ( ) Wild W 	 stay SF W half dozen time , initial honeymoon period , start get annoyed sure will stay again . the location accomodation always great . convenient downtown , convention center , Ferry Terminal , location right , although another reviewer write , stylings W imitate much seem run - of - the - mill , still find accomodation comfortable . 7 year ago , hotel could find design , least dozen within block , obvious lacking . flat screen tv , coffee maker room , wireless internet room . kicker $ 45 / night parking , cool - than - thou attidue front desk . despite frequent visitor SPG prefer guest , afford love prior arrival . try book & quot ; ajoining & quot ; room 3 year old , 3 call general manager go unanswered . email hotel get negative canned response & quot ; Welcome Coach & quot ; , respond subsequent email voicemail message . eventually , give & quot ; guarantee & quot ; room configuration want , upon check , give room low possible floor ( opinion , spite ) .The restaurant good breakfast , note previous review , valet staff helpful . in short , competition town many place look like updated & quot ; W & quot ; , would think W would work bit hard please . 
 Jul 2 2007 	 well place Price SF 	 impress . price stay much well place . lobby tiny bar area . nice layout . hotel price grand entrance - . room cute small . food XYZ , seem brag lot , . filet migon tiny ( small usual filet ) gourmet . raviolis practically empty inside not much flavor . $ 8 water bottle ridiculous . may add not even touch $ 8 pringle anything mini bar matter . overall , not bother . lot chic far cheap . would not mind pay hefty price getting pay . way $ 50 day valet crazy . park car street secure garage $ 18 . good Luck ! 
 Jun 28 2007 	 Sexiest Hotel San Fran 	 Flew San Fran girlfriend long weekend trip visit friend attend wedding near sacramento . enjoy business trip W LA , seek W San Fran first . pleased report W deliver well . hotel beautiful downtown tower , 30 story tall less 10 yrs old . classy look exterior ( stone ) great location 3rd across street moscone center , metreon , sfmoma , yb garden . hotel sexy vibe - lobby cool lookingfurniture , spa Bliss , female guest [ -- -- ] good looking , bar scene XYZ W Cafe strong . say despite reserved king bed room , first night good could double / double room , however move we proper room second night move luggage day . interesting thing notice room pretty similar king bed room great cd player cordless phone , double bedded room traditional hotel phone way play cd 's thedvd player television . inconsistency surprised . night bar nearby , order room service- chicken tomato pizza 2002 pinot . come 25 min . excellent . dissapointment fact high speed internet cost $ 15 / day room . however , free wifi lobby . hotel like obviously young tech savvy clientelle- get program , free wifi way go . enough BS . 
 May 31 2007 	 Nice hotel so - so location 	 boyfriend stay W San Francisco two night last week ( actually live miles hotel ) work put big conference . hotel room nice . corner room 10th floor provide okay - spectacular - view . room look like picture ' ve see , will not post picture . the W San Francisco lobby bar trendy , enjoy XYZ bar lot . nice layout decor , though - expect - drink food cost arm leg . the location W San Francisco exceptional . apart SFMOMA Yerba Buena Gardens , ' m sure much else nearby . suppose ideal business traveler , come San Francisco leisure , would much prefer stay different neighborhood little life / culture . say valet staff exceptional - though note due fact problem car return valet ( window bust - mean bust ! ) . take care everything we make experience painless possible , definitely appreciate . this first stay W hotel , can not compare other within chain ; however , would definitely consider stay W , especially another city hotel might sport well location . would recommend hotel get room $ 200- $ 250 night range ; be pay $ 500 night ( TripAdvisor list average cost ) , think be much well look around . 
 may 26 2007 	 Mediocre good 	 stay several W Hotels , decide book stay W San Francisco vacation . room cost $ 500/ night completely unremarkable , especially hotel chain pride excellence . room small , cramp , need complete update . furnishing old heavily wear , bathroom small date , nearly pristine show picture . ask move different room , happily move , bad . bellman tell soon start remodeling room , like 8 year . service okay , remarkable . side , bed room comfortable , hotel lobby , bar restaurant up - beat lively vibe . overall , stay bit dissappointment , especially give recent previous experience Starwood property . would reccomend stay St Regis , block away , sure dissapointe . 
 Apr 14 2007 	 Chillout San Francisco 	 stay week business , April 7th -14th . moment step checking , service second none . staff friendly totally sincere , change travel lot business . the hotel well situate Moscone convention centre main shopping district downtown San Francisco , immediately next door SF Museum Modern ArtThere small gym , spa rooftop pool hot tub , tastefully arrangedthe business centre functional , staff helpful . room well equip , descent size , pretty standard room , cd player dvd player . in short superb high end spec . hotel , suitable business , family holiday , etc . weekend break . 
 Mar 20 2007 	 Fabulous Hotel ! 	 stay W Hotel thsi past weekend ( March 16 - 8 ) , happen St. Patricks Day weekend ! excellent time . first time stay W San Francisco , although cocktail lounge bar before . we stay & quot ; Fabulous Corner Room & quot ; 24th floor . room average sized , comfortable bed pillow . bathroom average size well , nice . modern contemporary furniting throughout . nice view city , although not great . look Museum Modern Art , right next door . opposite side might well view , possibly ocean view . we order room service twice . although little pricey , service prompt food good . would order ! try restaurant , pool , Spa . however , frequent bar lounge often ! good selection drink , bartender Clay excellent . good cutomer service skilll . try martinis . good although remeber name . concierge helpful night well . recommend awsome restaurant time make reservation . first night go Frisson , Finacial District ; highly recommend ! second night sushi Ozumo , near Embarcadero . , excellent place would recommend anyone . we great stay W. Hope stay soon ! 
 Mar 5 2007 	 Great W Property 	 small hiccup , ' m glad report hotel uphold W standard excellence . upon check - in ( take bit time actually ) show room 31st floor . although corner room , 1/2 size standard room b / c top hotel , building 's structure literally cut room . call speak Gerrard quickly move we beautiful corner room 14th floor . really amazing ... even give we $ 100 food voucher trouble ! use night later XYZ.We complaint room - bed , shower , bath tv / dvd wonderful . would like see well pool - guess SF sunbathe scene . hotel simple walk Union Square even chinatown bit . take cab wharf Haight . surprisingly , somewhat difficult find cab ... plan accordingly . 
 Mar 2 2007 	 wary ! 	 stay four night business trip impress size room etc . however , find rather foul stain ( female stay along make mark like ) duvet cover , obviously wash - tell hotel staff rectify receive apology etc . really acceptable hotel aim top tier fairly disgusting . check bedsheet climb bed . 
 Mar 1 2007 	 business traveller 	 positive side , great hotel perfect location Moscone Centre . be bit far Union Square convenient though . staff helpful friendly , service excellent place immaculate well maintain . however , unless like thumping house music lobby new age music elevator lobby 7 morning , may . minor inconvenience make little less business - friendly chain , closet insufficent room hang clothe coat hanger . sheer convenience across road Moscone , will probably go back rate reasonable compare nearby hotel class . tourist , would pick something around Union Square . business traveller , would not first choice need somewhere besides convention centre . 
 Feb 25 2007 	 Good Hotel - everyone 	 wife stay W San Francisco Feb 12 - 17 business . hotel good , flaw - mostly service - relate . ' ve stay many Starwood property , first stay W.We use BART system SFO International Powell Station . ride cost $ 5.15 , 's 4 - 5 city block station hotel . we check around 8 pm , ' not busy . process reasonably fast , particularly friendly . say right thing , get feel talk robot , person . as SPG gold member , upgrade 30th floor corner room . nice , little small side . bed probably one good hotel bed ' ve ever stay . comforter really nice . banquette corner nice place sit review paperwork ; would often look window enjoy view . 's lot nice little thing like W Music CD player , Etch - a - sketch , current magazine ( like Wired ) . one bad note room -- noise . Eventhough not adjacent elevator , still hear operate throughout night . difficult sleep first , get use eventually . maybe obvious thing point glass window bathroom door . be completely transparent like regular window , be translucent like frosted glass : be something . refer attach picture sample . say know people appreciate , people . bathroom fine . concierge service disappointing . wife ask book tour Alcatraz , simply provide website address book . assume internet access not even offer book we . think odd . ask breakfast recommendation , give two : XYZ Cafe Mel 's ( 3 block away ) . terrible . the XYZ hotel restaurant . service terrible ; server grumpy , slow , not bother ask food . food bad . not bother go back dinner . the W Cafe Lounge okay . get friendly service , become hot spot night . there lot great place eat San Francisco , would not waste time XYZ . want really nice dinner , would suggest go Ame , St. Regis , one block away . the hotel conviently locate across street Moscone Center , right next door Museum Modern Art ( MOMA ) . hotel 6 block away Union Square , 10 - 15 minute walk . overall , think hotel good would recommend hotel business traveller . room nice , little noisy . service disappointing time , not normally rely hotel service , worry . probably would not recommend hotel first time tourist , anyone want privacy bathroom either ! 
 Feb 18 2007 	 ok great 	 Stayed W early February . check fine , request non - smoking room , put smoking room . could smell smoke deodoriser . room nice , large , great air / heating , furniture start show sign wear tear . fast internet connection . room service needsa lot work , menu selection tiny . an ok hotel business , convenient attend conference Moscone center . try St regis next time though . 
 Feb 6 2007 	 try St. Regis 	 stay 3 night early January mini holiday . check easy ; late arrival receive immediate attention . valet service prompt entire stay . room lovely ; spotlessly clean beautiful view bay . ( ongoing construction threaten block view future ) . find usual amenity W - Bliss product , two soft robe , blow dryer , mini - fridge , coffee maker range dvd rent downstairs . work order . sick stay find whatever , whenever service fantastic need Tylenol 2 A.M. not want leave hotel find drugstore . note , really need quiet night 's sleep disappointed hear noisy , intoxicated guest hall Fri./Sat . night . addition , every morning maid let door slam go room across hall make impossible sleep . concierge service slow . ask direction one woman say print . wait side help guest 5 minute ask & quot ; need ? & quot ; music play throughout hotel offer trendy , nightlife ambiance W know , yet Sunday morning music blue light hallway give hotel garish feeling . yes , location next moma great walk Union Square , next time will stay St. Regis . 
 Feb 4 2007 	 hectic lobby ; quiet room 	 love room -- one cool corner room fantastic view Bay Bridge extremely comfortable bed . charming window seat lack noise , real urban oasis . . . . . .where desperately need regroup prepare hustle bustle lobby . quite scene Saturday night , good bad depend mood . get hotel require lot effort . check - in procedure busy front desk intense ( design prevent fraud , fine , really problem husband use credit card pay room even though hotel point go account ? ) . pick car valet service seem like chore overcrowded drive - through . all would unbearable warm attitude staff -- feel somehow cool subject rigor . 
 Feb 2 2007 	 Awesome usual 	 like W hotel , will love one . stay 3 night experience great food XYZ , free room upgrade , great service . would stay sure . also , allow pet . hotel immaculate also . the pool area small nice . rooftop area nice windy -- sure bring jacket . hotel step Museum Modern Art -- wonderful place visit . 
 Feb 1 2007 	 W get ' d ' 	 two word describe experience : annoying disappointing . let elaborate . evening Saturday 27th , first night , one guest 25th floor two male visitor conduct extraordinarily loud rude conversation hallway startle we deep sleep . call management complain one come handle matter , eventually get step hallway politely ask two guy keep . point mock request close door call front desk . prior security finally appear , two male apparently leave one last insult door ' stupid queer ' follow derisive laughter . great tone sleep . encounter belligerent potentially dangerous drunken outsider hallway ' spend $ 300 per night annoying . late appearance security disappointing . add insult injury , next morning 's overprice , tasteless cold egg omelet breakfast perhaps bad hotel meal ' ve ever . hotel may perfect uninitiated traveler nightlife crowd , , base experience , doubt ever stay hotel chain . 
 Jan 26 2007 	 Fantastic Weekend - Incredible Service ! ! 	 amazing stay W SF . stay W property . hear hip unique unlike hotel . contact concierge desk week prior arrival . Meagan fantastic making reservation airport pick dinner spa reservation . email intinerary us day arrival . we large , upper floor suite well appoint spacious . order room serivce time , bit pricey ( expect ) , food good quick room . room show bit age clean . decor modern unique hotel . city view amazing ! service Bliss spa great . immediately take treatment . locker room attendent helpful . treatment general manager introduce make sure take care of . we eat hotel gourmet restaurant XYZ . food service great . we definitely back stay W ! ! 
 Jan 26 2007 	 W could possibly stand worst heck ? ! ? 	 attenede 2007 Macworld conference decide say W Hotel , San Fran first W reputation , second location . flight change arrive 1 day early W staff accomodate help settle room , unfortunately want bill entire stay credit card upfront big deal except fact $ 2000 4 night . much money want sure stay effortless relax . quality would expect Starwood hotel much less example , shower bar rust , spot curtian . call front desk ask change area gym put hold know hang call . hvac system make loud clunking noise 3 am night , someone come fix look wall state way sound . mention room size partially take CRT television ? look luxury not spend money , go St. Regis right street . 
 Jan 26 2007 	 whatever Wherever whenever Waste 	 original reservation lose , re - booked , charge full rate $ 429 / not instead correct rate $ 259 / not . room small , & quot ; whatever , whenever & quot ; service useless , staffunknowledgeable ( not even know pool changingfacilitie ) , overprice item water ( $ 8 - 14 / bottle ) , rate $ 429 / not still bother pay $ 3oranges $ 3 / each bagel morning ( even complementary coffee ) . Shower rod rusty shower curtain stain ( see photo ) - unacceptable hotel class price . even worse , could not fall asleep 7 am first night due noise faulty AC unit roof . to day , multiple contact W , yet correct rate original reservation honor receive refund many problem experience . Starwood Gold Preferred Guest ( ps : not even receive preferred benefit late checkout , room upgrade , etc ) , probably last W stay ever . starwood really lose edge property sub - par experience , . 
 Jan 22 2007 	 Fun New Year 's 	 stay 12/31/06 NYE ... even stay point upgrade we room w/ beatiful bay view ... already plan NYE , stop W 's party comp'ed we ticket ( charge $ 90 / ticket ) well present look like people good time . downside bar tab mistakenly attach bill take 30 min address try leave . love location place though . easy 2 - 3 block walk major SF shopping dining hotspot .. 
 Jan 16 2007 	 good partying 	 hotel great party young people . bar really cool hotel look modern . style , since bit cold dark , sure many people enjoy view . even buy thing room 
 Jan 10 2007 	 average friendly staff 	 room need renovating order remain four class hotel everything else par . the gym good tread mill jog . Bliss great service one complaint : get facial , really not want staff try force product . everywhere , different spa , different recommendation . course , recommend product speak badly product presently use . irritate want relax . 
 Jan 6 2007 	 bay view disappear 	 W San Francisco remain one favorite hotel notice problem time . ' ve stay W property around 5 time now . when greet front desk upon arrival , clerk always pleasant , time probably 4 group people check time ( around 4 p.m. Friday ) . problem everyone stand near front desk hear every bit everyone else 's business , include room number stuff . kind uncomfortable , ' m use professional check - in environment w.upon get room , upper floor room designate bay view . well , bay view disappear fast new big building build downtown San Francisco . one high - rise particular block huge section view be use not awhile . couple year ago , & quot ; city view , & quot ; nice , especially holiday nearby park close Metreon light . the room always nice W hotel always signature smell inside , wonderful . idea fragrance use ( tell one clerk Bliss Spa site indeed signature scent sell anywhere property ) .this first time ever notice thin wall room W. either room next past unoccupied people extremely quiet . time , could hear actual conversation room next uncomfortable say least . one bad thing ( good , depend look ) hotel often & quot ; party & quot ; type hotel , number 20somethings noisy . be late 30 , be begin get kind annoying . : - ) hear lot door slam lot loud laugh hall time like 3 a.m. stuff like that . the Bliss Spa site nice staff excellent ... helpful friendly have give plus . some drawback ridiculous price honor bar room . $ 5 Reese 's peanut butter cup ? kid ? soda machine anywhere property . call & quot ; whatever whenever & quot ; number hotel tell could order room service want pepsi something similar . Ugh . order breakfast room service one morning pretty standard fare ... good certainly outstanding unique way . overall , 's nice hotel can not beat location . room could use tweak though . not even sleep timer tv , would not hurt W begin invest plasma tv . want consider upscale yet stick old television set , kind strange . bathroom well - design nice . probably stay W 's quite fine property use year ago . 
 Jan 2 2007 	 good Stay may try elsewhere next time 	 husband stay W 7 day . initially , find difficult communicate make sure noted staff need late arrival late checkout . even though call several time , double / triple checker ! , seem indication record . upon arrive late night , W live cool clubby atmosphere . XYZ bar disturbance nice crowd evening without overwhelming hotel enviroment . w hotel staff young 20 's bit pretentious . w , say . room & quot ; upgrade & quot ; room mean , high floor . king size bed small & quot ; real & quot ; king size . room small bit worn . nice feature cushion window bench overlook great view bliss product room . tip hotel cleaning staff day leave little note receive bath product . go Bliss spa hotel , see 6 pack goody get room sell $ 25 ! Bliss . well worth little extra add tip day . everything hotel expensive ... voss water bottle go $ 8 . recommend find close Walgreens , many around area , loading munchie water . also liquor store nearby 3rd Mission ( across street ) stock spirit . hotel locate within 5 minute walk Market Street , main street get virtually bus . area quieter Union Square 10 min walk get Union Square shopping . 2 block away Metreon movie theater . overall , W location great give activity . oh .. park $ 45 . plan rent car touch day , move car soma parking garage , 3 minute away , $ 20 night parking . valet W park car anyway . problem garage close daily 11 pm . highly recommend buy PASSPORT Muni system . hard find get Union Sq . right Hyde - Powell cable car turn around . also , buy Muni map $ 6 Walgreens give information need get around muni system . overall , enjoy modern decor 7 day miss homey traditional style hotel like Hyatt . W hotel hall elevator wait area dark lounge music play 24/7 . even limit . hotel look like need update . location , window seat , bath product compensate . may return try Westin St Francis Union Square . right hustle bustle . 
 Dec 24 2006 	 Uber Urban Hip ... relaxing ! 	 took we long try W San Francisco ? ! love , ' ve stay LOT San Francisco hotel past year . from check - in check - out , staff wonderful w promise ( include staff Bliss Spa , probably employ W ) . corner room like mini apartment , great bed , plenty window seating ( little couch comfy pillow ) , big bathroom quality amenity , big desk w/ nice chair , great attention detail . hip addition include personalize wake - up call , Bliss bath product , window plantation shutter , cd / dvd player play W 's up - tempo lounge music upon arrival . common area great , -- make never want leave hotel . super - cool tiny treat lobby ( holiday season ? ) : one afternoon hot cocoa , later night s'mores bar , next day hot mint green tea extras add ( clove , orange peels , sugar chunk ) .great location heart SF , easily walk lot art , shopping , touristy place , bay , many great restaurant . cab ride rest popular place / neighborhood usually stay $ 10.the big negative W San Francisco : almost 50 buck per night park car . come ! 
 Nov 21 2006 	 Ground zero night life entertainment 	 mood mellow yet powerful . scene young hip . food drink every young urbanite dream . room modern , refined . music play enter new dig . bose wave radio fridge full snack , alcohol , fun stuff include . location perfect . be look stay & quot ; scene & quot ; lay , post . be worth every penny . 
 Nov 11 2006 	 Second visit- still underwhelme 	 previous visit W May leave little uncertain take almost hour get room check ( room not ready , redirect another room occupy ) . Staff seem young , disintereste customer service , interested look cool . this last visit better- staff still pretty inconsistent request . bell staff great & quot ; whenever & quot ; staff reliable concierge helpful . example , call Monday cancel We d spa appt . transfer spa , one answer . Asked & quot ; whenever & quot ; staff relay message cancel appt .... never happen . room great , always clean . great bathroom , water pressure , deep tub . housekeeping seem top everything . I would suggest move wall sconce side window wooden shade could open way . if go SF business , will probably stay W could not justify spend $ $ stay otherwise . 
 Nov 7 2006 	 get Nazi Germany ? ... oh wait bar W 	 service bar , downstair XYZ , bad experience several year functional alcoholism . weekend stay probably one busy weekend San Francisco year , USC UCLA area play football game Stanford Cal , respectively . management brilliant idea staff two bartender location serve 300 - 400 people come bar scene Saturday Night . one friend ( attractive girl one would expect might get immediate attention bartender ) ask much long would take get drink already wait twenty minute . exact word , & quot ; well wait long mouth [ -- ] . & quot ; unfortunately pepper spray give propert retort . complaint manager fall deaf ear see manager good chuckle offend bartender complain . suggestion , be going go : Stiff everybody tip steal glassware make exorbitant price reprehensible service . other room pretty small well appoint modern touch location little far south Market . 
 Oct 16 2006 	 disappoint 	 recently stay W San Francisco really disappointed . fiance celebrate engagement arrive tell room book unavailable promise we move second night . give small room two double bed . one hotel contact we move Finace inquire , front desk staff rude tell note file move we sometimes overbook room room not confirm ( clerk tell we marked file see Fiance go back behind curtain hide ) . threaten escalate situation , find room move we ( take 1/2 hour switch ) . ask concierge assistance medical situation never return call ( promise information ready check ) . bell desk slow eager assist anyone . room significantly small ( live area bathroom ) W Seattle nearly nice . save grace , Westin chain , bed great restaurant / room service staff good 
 Oct 11 2006 	 really enjoy hotel ! 	 fun hotel ! never stay W hotel , might suprise . hotel pretty much embody W brand concept . expect , location awesome ( right next shopping / dining ) . checkin flawless give room unbelievable view 25th floor . room nice , satelite radio , cd player , etc .. also great big window seat could stretch peer great view . overall room great ( upgrade next year 7 year old , still good shape ) .As service -- common area cool , & quot ; chill & quot ; music play dark , sort club like atmosphere . concierge ( W refer Whatever / whenever ) top notch . anything , ask ( like get we fully book resturaunt , find ENT doctor lickety split , etc .. ) . be quality conierge , W pride that . now , 's parent might get little freaked . 8pm , large lobby area scatter lot cool seat arrangment ( W call Living Room ) change club . , say go dinner come back hotel 10 . open door hotel fully pack ( beautiful 20/30 something ) & quot ; live room . & quot ; DJ play chill type music . large bar full , hop . people mingle , eat ( XYZ resturaunt ) good . overall , busy . like -- may . summarize , go one night talk local club . ask & quot ; be stay W ? & quot ; proceed go back Hotel party . take want -- be another door enter skip nightly party . be fun professional . love go try stay W whenever city ' m one . 
 Sep 11 2006 	 thin Walls Small Rooms date decor 	 husband 's company select hotel location annual trip . overall experience okay . however , wall thin could hear neighbor flush toilet , cough , take shower , radio , phone conversation , tv , radio . good experience extremely tired long day walk . room small high price pay . bathroom small . one fan & quot ; modern & quot ; decor , base 4 hotel stay San Fran impress dated decor . the plus service laundry cleaning housekeeping . base good point comment , would definitely return hotel . 
 Aug 29 2006 	 will back 	 Service W second none , large hotel make we feel home treat we well , overall feel intimate . staff friendly food brilliant . Martini Bar great , lively comfortable completely unpretentious . give we house car go dinner booking make . concierge make great recommendation treat well place send we . we 4 day await FedEx package ( husband leave driver license home ! ) incredibly helpful contact FedEx get update we . arrive let we know soon walk lobby door . Liked location , like hotel , love San FranciscoWe will go back 
 Aug 25 2006 	 Decent hotel small room 	 wife stay W July 17th 20th . W 's gimmic kind trendy & quot ; New Agey & quot ; sort way . room small window seat nice spot look city . bathroom fairly large well equipped . pray not drop contact something hallway light funky blue light really barely navigate elevator . majority staff knowledeable quite eager serve . eat XYZ Cafe please quality food service ( even though compare restaurant neighborhood price quite high ) . W locate southern end Financial District , short walk Union Square & amp ; Park ( home Giants ) across street Moscone Center . location nearby something interested W would decent choice San Francisco see sight well choice . 
 Aug 22 2006 	 date scene 	 Love W Seattle , SF W small date . room tight , decor need update . many great hotel SF really worth stay . horrible worth . 
 Aug 9 2006 	 great hotel ideal location ... 	 husband stay W Hotel July 27 - 31st . soon walk hotel , immediatley please modern trendy decor along aromas Guava . smell good even order candle ( Bluewick - Guava ) . front desk helpful allow we check early room upgrade . spectacular view Bay Bridge city ( although smog make less visible time ) . Ray , morning / mid afternoon concierge , helpful . recommend two great restaurant - Osha ( Thai ) locate block away Le Colonial ( French / Vietnamese ) within town . Ray also arrange car rental drive Napa Valley address issue / question stay professionalism . suggest future visitor rent car stay San Fran . due parking rate . cost effective rent car daily ( range b / w $ 39 - 59 ) pay $ 45 parking fee . rental drop pick hotel , convienent . room clean , quiet comfortable although bit small . enjoy location , away busyiness Union Square ( , homeless people ) though within walking distance . great walk market area eat dinner . Farmer 's Market Ferry Building well worth visit . find Fisherman 's Warf touristy . really enjoy tour Super Sightseeing Tours . choose combo tour include Muir Woods , Sausilito , Alcatraz - well worth go . overall , stay W WONDERFUL ! negative happy hour / evening hour XYZ , feel untrendy walk seat area / entrance hall due hip people drink martini listen W music . would nice seperate area socialize rather center hotel , especially want sit relax long day . time , difficult talk concierge due high volume music people talk . besides one negative , truly enjoy visit W Bliss product room bonus . 
 Jul 8 2006 	 San Francisco cool 	 San Francisco business last minute decide stay extra day . stay another hotel know business - friendly price , convenience ( company would not pay anything else ) . book starwood prefer guest program get great rate corner king room . arrive early morning expect simply store bag , delight , room ready . early check - in minute leave , pleased hotel . room huge comfortable . criticism , be lot 20 - something run around late night -- lot great bar club area apparently w something base hipster wannabe hipster . also , beware bottle Voss water night table - charge $ 10 . matter room rate , complimentary . 
 Jul 7 2006 	 Good HotelNice Location 	 W Hotel chic , modern trendy hotel good location . pricey , room nice , clean well maintain . however , housekeeping servicesneed improve since bother even put back place closet iron board use night . night experience XYZ restaurant well worth money . recommend hotel . 
 May 30 2006 	 expensive nice 	 great location expensive . would think starwood member would get well deal . definitely visit club restaurant outside hotel well meal service . get room away elevator noisy . parking $ 20 + rip ! 
 May 20 2006 	 w expensive good 	 stay business trip day get to say great . arrive really late around 1 am give smoking room ask non - smoking one sorted minute . room corner room great view . bed massive , workdesk quite good nice couch sort thing one window , nice relax . comfy room say . bathroom really big , sort seem differentiate great hotel regular one . amenity nice . roomservice burger mighty fine internet connection ( cable ) really fast . check people really friendly location great . 's strip club next door sort thing , moscone center close , 's superb mexican restaurant close , IHOP , Mel 's Diner etc ... good location . hotel waiter rather beefy wear tight clothing bit ... erm unnerving be not friendly , breakfast absolutely awesome . 
