love 	 Loved ! one favorite hotel 's stay Chicago . great room , great breakfast , great location . everyone come contact pleasant . lobby beautiful . room nicely update - breakfast delicious . hopefully get chance stay future defiantly recommend friend . 
 Dec 21 2007 	 Service Smile ! 	 live close Chicago want spend overnite downtown area , enjoy fine dining , show , etc city offer . we choose Embassy Suites Hotel price location . first stay , will not last . time arrive left staff pleasant , ask , could , etc . we reserve room line , king suite , separate living room include manager 's complimentary cocktail reception full cooked order breakfast mere price $ 119 per nite ! amenity unparalle price heart Michigan Avenue North area . price vary depend arrival date , still rank one good stay money . Jan Terry 
 Dec 9 2007 	 Great Location open bar ! ! ! 	 book room Hotwire $ 109 night weekend ! arrive around 5:00 Friday find open bar two hour , snack ! ! great location , within walk distance Millenium Park , must see travel Chicago . room clean roomy . complimentary breakfest nice help cut cost weekend . 
 Nov 18 2007 	 great location ! 	 book hotel Hotwire get incredible rate $ 89 . hotel excellent location , 2 block Michigan Avenue . walk take CTA bus go wherever want . room little bit small , everything need . living room area queen sofa bed , desk tv . sink , mini - fridge , microwave oven good sized bathroom . main room ( separate area ) 2 double bed , another washstand mirror , second tv . complimentary breakfast offer every morning cook - to - order omelette , plus cereal , oatmeal , scramble egg , pancake , waffle , yogurth , fruit , bagel , pastry , muffin , toast , bacon , sausage , milk , coffee orange juice . complimentary drink snack afternoon , never get time . thing not like elevator . really fast , take 3 elevator get room parking garage . 
 Oct 31 2007 	 Satisfactory 	 Stayed Embassy Suites Downtown Lakefront October 17 - 20 . excellent location . lot street noise decent view Chicago River could see Lake Michigan try . room adequate ; small Embassy Suites ' ve stay . king bed use sofa sleeper pre - teen . kind lumpy , , hey , be sofa sleeper . nice frig keep beverage leftover . Bathroom clean seem well - worn ; would suggest dark grout future . receive welcome basket Hilton Honors member ; nice touch . breakfast busy efficiently run server spectacularly friendly . hotel worker helpful always congenial smile . trouble business center computer internet access remedie fast personal attention well . elevator steroid ; fast ' ve ever see . reason give property 3 & quot ; star & quot ; ( would probably go 3.5 could ) think room overprice . overall experience positive , think would shop around next time ' m Chicago well rate . even subtracting & quot ; cost & quot ; complimentary breakfast ( fair factor ) feel pay rate comparable fancy hotel . eligible several discount , none available particular week . also , even though room adequate , little date ( kind cheap carpet furnishing ) wall tad thin . guy next door party go although not boisterous could hear clearly wall . , would stay could score reasonable room rate . 
 Oct 23 2007 	 free drink 	 girl weekend Chicago see we book suite Embassy Suites Downtown Lakefront base husband 's recommendation . check , Manager 's special full swing . free drink lobby / atrium 2 hour ! snack include ! ambience relax yet fun invite atrium give chic vibe . we great service reception , concierge service little extra like fork deliver room late one night . breakfast staff welcome humourous wait line make order omelette morning . the hotel 's location perfect - w / in walk distance Navy Pier boat tour , Magnificent Mile shopping resto . theatre district cab ride away far . aside break pull ( useable care ) , hotel offer everything could ask . even consider price ! ! 
 Oct 9 2007 	 stinky shower curtain many elevator high rate 	 hotel nice enough , bathroom smell like musty locker room . business associate 's bathroom smell exactly mine , ' m convince 's hotel wide problem . layout good 's plenty room . bed comfortable clean . thermosat take forever cool room , midnight . also , ask cancel room Chicago Marathon go street around hotel close . say sorry , customer service book average . car park garage take three separate elevator get room , bad news ' ve get kid luggage . help around get luggage valet , stay risk . 
 oct 9 2007 	 Embassy Suites redeem ! 	 ' ve bad bad BAD experience Embassy Suites past , major trepidation book hotel Chicago physician ' conference . experience totally change mind ES.We arrive middle heat wave cordial bellman wonderful front desk folk . since stay 8 day , figure would ask corner room upper floor view & amp ; see would comply . ( book special convention service approx . $ 200 per night - especially cheap , decent give go time . ) convention soon start Chicago Marathon next weekend ; quite full , willingly accomodate we . window look Wrigley & amp ; Tribune building along partial lake river view . our room clean comfortable - standard ES sitting room , fold - out sleeper bed , small kitchenette mini - frig , & amp ; comfortable king bed . corner room , think bit space friend standard hall room . complimentary hot breakfast good = quite crowded unless go early . swim pool small size hotel , use every day 2 kid never 6 people include we , fine . overall plus : FABULOUS LOCATION ! less 2 block river , couple block Navy Pier , 2 block Michigan Avenue , walk distance Millenium Park . nice staff - go way helpful . also - one hotel ' ve stayed allow kid hot tub ; definite plus girl . area ok : room could use bit lighting - tend rather dark . water pressure shower really low ( 12th floor ) . also , price room , one would expect internet include cost - additional charge . however , business center 3 computer use free . overall , would stay moment - especially kid age 3 6 . 's family friendly experience great . PS - be marathon , route go right hotel watch people run window . kid love . 
 Sep 27 2007 	 MUCH FUN ! 	 two word : Elevator race ! amazing time ! 4 elevator sky lobby superspeedy ! rapid fast ! 
 Sep 11 2007 	 great fun great location ! 	 stay Labor Day weekend . great location . within walking distance navy Pier , Fox & amp ; Obel 's grocery , many restuarant . even PJ Clarkes premise . line free breakfast , move quickly food great . even skip line interested omelet station . free drink night nice . glass red wine take back room . room - bed pillow wonderful ! would love home . room spotless . fancy room time , clean spacious . would definitely stay , plan ! ! 
 Sep 4 2007 	 Great Hotel Great Location ! ! ! 	 stay Labor Day wknd great time ! arrive early ( 11 am ) plan ask place store luggage room ready . delight , tell we could check already ! room nice , 14th floor huge corner suite beautiful view River . breakfast really nice . hot food buffet , cold cereal , assorted donut / bagel , cook - to - order omlette area well . happy hour free drink appetizer , not around . walgreen around corner would get bottled water every morning . location great ... walk distance everything .. Navy Pier , Michigan Ave , John Hancock Bldg , etc . stop free trolly step away hotel . definitly back . 
 Sep 3 2007 	 one good experience / deal ! 	 return 5 night stay Embassy Suites love every minute ! location great , walk distance Navy Pier , Magnificent Mile well within block Walgreens , Fox Obel ( really nice gourmet food store / market ) , Dominick 's ( another supermarket ) . check around 6 pm request high room view ... get room 15th floor ( 17 floor total ) & quot ; partial & quot ; view lake ... mean can not see _ entire _ lake window ... still great view ! Manager 's reception allow free , unlimited drink ( alcohol , juice , soda , etc ) finger food ( potsticker , crab cake , egg roll , meatball , veggie / dip , etc ) breakfast buffet pretty much eveything ( make order omelette , fruit , pastry / bagel , juice , sausage / bacon , french toast , pancake , etc . ) . suite roomy separate bedroom sink tv living room kitchinette ( small sink , microwave , mini - fridge ) sleeper sofa , business desk / chair , separate closet . great family ! last , service wonderful : friendly helpful staff request speak manager duty feel part stay & quot ; satisfied & quot ; . , would definitely stay ... especially Hotwire price $ 109 night . plan see Chicago , would advise even rent car parking / traffic hassle hotel good location . 
 Sep 1 2007 	 pleasant surprise 	 never stay Embassy Hotel , welcome surprise we . practical place stay especially family kid . room clean , neat , big . room comfortable king bed sit area pull bed . 2 tv 's microwave mini fridge . there additional 2 sink well . towel well provide . carpet couch look bit worn . u view Lake u catch firework Wednesday Saturday 9/9:30pm . never hear noise disruption day night , sleep pretty well . breakfast good , long line crowd , go early . staff encounter professional , friendly helpful . room service good , portion big , could share . parking expensive ( + - $ 39per day ) - option self parking , think u pay every time u get car . also park structure opposite hotel think u use . be drive entrance use Illinois street , one way . get confusing- u can not park infront hotel Columbus . walgreen around corner . hotel exceed expectation . probably stay . 
 Aug 26 2007 	 clean comfortable ! 	 stay 3 - day weekend August . perfect family 4 2 teenager . clean extremely quiet . never hear single sound room ! partial lake view/ city view 12th floor . quite experience kid . weekend , hotel full capacity , never wait elevator always quick arrive . love extra space sit area separate sleeping area . close enough Navy Pier walk take free blue trollie . able walk Gino 's East , Giordano 's , Hancock Building , American Girl Store , Mellenium Park ! negative side , free breakfast crowd 9 am hard get table . find get early want get table breakfast . pool also small large hotel . parking garage outrageous $ 34 per day . ( park car 3 day walk everywhere ) weekend expensive , feel worth ! 
 Aug 25 2007 	 great Stay ! 	 August 20 - 24/07 2 adult . get hotel hotwire $ 109.00 per night 4 night . take train Midway State get cab raining otherwise walk block . take train Grand Midway return . the room quiet , bed wonderful air conditioner quiet ( light sleeper ) . get room top floor city view non smoke 2 double great view nice building river run building . room clean comfortable microwave fridge , 2 tv living room area . room lack bath tub one could really enjoy long bath old soak tub shower work great . this hotel clean nice lobby area lot table breakfast coctail time . the elevator fast . the breakfast well ever free cook order omlette egg , lot choice , excellent start day , really really good . coctail time also nice touch every evening small line wide choice drink limit . also snack also good . enjoy good start evening plan . there AMC theatre bowling right around corner go movie big storm even know happen . there resturant PJ 's attached hotel one good hamburger ever have . value wise hotel get 5 star great breakfast free drink snack . love Chicago ! ! 
 Aug 24 2007 	 well bad 	 Embassy Suites Chicago Downtown / Lakefront trading reputation . fair bargain price , 's bad city stretch . the location excellent . the facility somewhat shabby . room , wallpaper peeling , bathroom tile crack dirty grout corner , ceiling fan slightly noisy airplane propeller , air conditioning unit hummed -- loudly -- night long . street noise lobby noise problem . room build around atrium bottom bar , reception , front desk , etc . 's also bar hotel , open onto atrium , serve 4 a.m. great , be party . terrible , be try sleep . my non - smoking room , technically , non - smoking , since room atrium share ventilation system , get listen neighbor , get inhale second - hand smoke . 
 Aug 22 2007 	 fantastic location great family friendly staff ! 	 ( mom 2 boy , 11 6 ) stay Embassy Suites Lakefront 8/12 - 8/19 , book via Hotwire . could not happy choice , especially price . the boy awe 12 - story atrium fountain lobby , dramatic . also love glass elevator feel like amusement park ride . little key trouble first day staff great getting fix . this hotel great location plan go Navy Pier -- 2 block walk . , be 2 block west Michigan Avenue catch bus shop ( lego store Nordstrom mall fun kid ! ) . plus , bowl alley movie theater , around corner actually Embassy Suites building . great rainy day , ! room nice -- 2 double bed east view , decent view Lake Michigan . 's build hotel lake see lake around side build . ' suite ' section pull couch -- kind hard comfortable - end sleep 2 bed , comfortable . also second tv , table , mini - fridge microwave . also laundry facility available . breakfast crowd Friday , Saturday Sunday ; weekday bad . evening reception short line ( 5 min . ) drink ; 's price pay free guess , go couple time . pool quite small -- be like one lap lap pool . go twice , not crowd . the bellman , concierge , front desk staff truly great . clean staff anxious get room . even order room service one night prompt hot . overall -- great value money ! may Ritz family friendly stay Chicago , would definitely recommend Embassy Suites ! 
 Aug 18 2007 	 Modern Great Service Worth every Penny Expensive Town ! 	 stay property business , stay many Embassy Suites . ... thought know expect . atrium , guestroom sitting area , wetbar , etc ... upon entrance lobby pleasantly surprise . this property put modern / trendy spin think & quot ; traditional & quot ; Embassy Suite - Style Atrium . lots glass , modern fountain water feature , candle , gray tone use , cubist decor / accent w / a bit asian flair throw . night light go , take even cool vibe . the room feature marble counter top . view vary - city view . room CLEAN , large . service impeccable - check height rush time - BUSY move we fast , courteous . the manager 's cocktail reception breakfast morning add perk give bang buck compare price Chciago downtown hotel - definitely stylish hotel worth money . 
 Aug 16 2007 	 Ideal hotel we 	 find hotel good location - within easy walk distance Navy Pier Lake ( actually Lakefront though ) , river Millenium Park long walk Sears Tower museum area . find hotel quiet - sound come room problem noisy guest corridor often happen . overlook road find noisy . Love Embassy Suites two room - family four 's great extra space . stay four night ( Sat / Sun / Mon / Tues ) unlike reviewer , time queue free breakfast . problem slowness toaster . not use Manager 's Reception never see long line either . two sink seperate shower always useful third kitchen - type sink two room along small fridge . unlike fridge holiday one completely silent . everywhere clean . loved hotel love Chicago . would definitely stay although be cheap ! 
 Jul 17 2007 	 expect Embassy Suites 	 originally book another hotel come upon Embassy Suites price . embassy close want 4 people room ( 2 adult , 2 kid 4 & amp ; 6 ) thought would nice large room . everyone hotel nice , bed comfortable , bathroom working order . breakfast good , line Saturday long cook - to - order item . hotel close Navy Pier , shopping mall Lego store lot restaurant . negative : one room key not work ( biggie , happen ) . go get new one , need husband 's ID since name account . room window open inch crank close . go call maintenance phone not work well little could heard loud static . Maintenance come , close window test phone . phone fine , line would need work phone company departure . would need phone call valet car hotel issue not upset . maintenance guy check see could switch room , place fully book . offer free movie two night stay . walk city little bit , time settle night . husband get early seminar offer set alarm . not clock room . call almost inaudible phone clock . one bring quickly , however volume not work stick high . much wake request alarm clock . get kid settle . could hardly get bed sofa . take husband pull work . think sofa look little strange kid sit . however , set well could comfortable sofa bed ever hotel ( good luck ever get thing back ) . turn movie kid watch little bed . free movie . well movie TV . try call , could not hear static . figure late enough go sleep . 3 am morning people next door come hotel room . could hear every word say not even loud . glad not stay much long . follow day movie tv , get bill charge one movie watch . line drink nightly manager reception long not attend . 
 Jul 6 2007 	 July 4th experience 	 stay July 3 - July 6 , 2 adult , 1 teenager 1 preteen . read lot review hotel know expect July 4 holiday . place full , family kid .... like we . time wait elevator ( particularly July 3 big firework ) breakfast unpleasant due overwhelming amount people . say , staff handle thing well , obviously deal type crowd feel good job . show room key enter hotel July 3rd firework keep horde people streaming shoreline . thing quiet quickly due clientel family . room 2 double , non - smoking . clean spacious , city view . Stayed Hilton point . room ready 3 pm find compatable room we could check immediately . do use pool , small crowded . lobby area spacious , nice , drink one afternoon leave crowd arrive free drink snack . the location hotel perfect . 4 block actual Navy Pier enterance , 2 block Mich. Ave . go movie one night AMC low level hotel , also bowl there . at eat Grand Lux nearby ( good ) also like Banderas Dicks last Resort Dockside ( also close ) .would recommend family , adult trip like Hilton Suites upper end Mich. Ave stay last summer . 
 Jul 1 2007 	 Nice Hotel - Complaints 	 actually make last minute decision spend saturday night downtown chicago . go Priceline.com bid 3 star property $ 90.00 get room hotel . normal rate $ 250.00 night feel like get great deal . could not get well value anywhere else . this actually nice hotel right heart city . close kind shopping , resteraunt , bar . hotel lobby beautiful large glass atrium . staff friendly efficient . room nice one bedroom suite nice view city . would highly recommend hotel someone city weekend . & quot ; suites & quot ; include seperate sit area couch t.v . would perfect set family vacation . feel one nice Embassy Suites ever stay . room include free breakfast buffet , comparable resteraunt . this really great property would hesitate stay . end day since pay $ 90.00 night probably good value ever find . normal rate $ 250 night would seem little steep , get reduce rate online would definitely recommend property . 
 Jun 21 2007 	 thoroughly enjoy stay Embassy Suites Lakefront 	 family return 5 - night stay Embassy Suites Downtown / Lakefront Chicago . enjoyed every minute stay hotel . stay , suite clean , everything work order plenty room three people . clean kitchen sink , microwave mini fridge extremely useful convenient , extra vanity sink bedroom . bed warm comfortable , saggy . sofa bed comfortable sofa bed experience . staff , include reception desk , valet , bar staff , food service housekeeping staff professional personable . give one sense really enjoy work . even though reserve room lake front view , reception staff find room partial view without additional fee . complimentary breakfast far usual danish coffee . 's medium sized buffet complete egg , bacon , sausage , pancake , french toast , cook - to - order omelet , pastry , cereal bar fresh fruit . evening Manager 's Reception complimentary alcoholic non - alcoholic drink full bar great way start evening . location Columbus E. Illinois fantastic block walk Navy Pier river walk along Wacker Drive . would definitely stay . 
 Jun 4 2007 	 great hotel ! 	 Pros - wonderful staff beautiful decor Corner suite great rather rambuctious kid Breakfast buffet evening manager 's reception couple block Navy PierCons - Pool small side hot tub closed self - park take 3 elevator get roomsall great place would definitely stay ! 
 Jun 1 2007 	 Quiet well locate hotel 	 disappointment advertised & quot ; lake view room & quot ; -- view lean WAAAAAYYYY coke head side looking window . aware ( thing matter ) hotel couple block away lake room afford view . even one bill lake view . otherwise , hotel quiet clean . modern style , copy W theme popular wiht lot glass stainless steel . room large . cocktail reception free drink nasty little buffet snack ( know , egg roll chip , usual cheap cocktail reception food ) night . breakfast buffet also free well thn get lot fresh fruit omlet make order . hotel within easy walk distance tourist downtown shopping , lake , various tour plenty restaurant . lovely stay . 
 may 29 2007 	 Great Memorial Weekend stay 	 4 teenager 2 room . excellent stay . request 2 room next . arrive 11 am Saturday Memorial Day weekend . one room available say would get room close possible . end room next door great . great pull bed not expect would great . excellent location Navy Pier Watertower Michigan Ave . shopping . would stay visit . 
 Apr 26 2007 	 Conference / Business Stay 	 stay Embassy Suites 4 day conference April 21 - 25th . generally speak room nice spacious . front desk staff ( staff encounter ) friendly help request . use concierge , comment service . like complimentary breakfast much . large selection item , nothing taste really good . problem find table though . think elevator fairly quick require long wait cram bunch people . annoying thing elevator take 3 different elevator get self park area building . take 2 elevator walk large lobby area get street level . hear strange thing come vent room . sure close person ' room , somewhat uncomfortable hearing emotional breakdown sit living room area room . also quite bit street noise bedroom – especially rush hour . sort thing affect sleep , ' definitely 12th floor . thing ' sure hotel much , think people might want know . the location hotel good safe . 10 minute walk Navy Pier 5 minute Michigan Ave . , stay go fairly well – would stay good rate . 
 Apr 15 2007 	 busy weekend caveat 	 reserve room usually reliable Embassy Suites anticipate leisurely weeknight stay spot close restaurant , shop Navy Pier . fail anticipate hotel overrun spring break kid family , strain ES staff limit , evidence mob scene breakfast encounter recent Friday morning . 8:30 go downstairs find hundred people food line , patiently wait complimentary breakfast . unfortunately staff seem minimal , dirty dish , empty drink container jam table everywhere . would think hotel book solid , might anticipate crowd like , case . nudged couple oblivious post breakfast coffee sipper seat quickly eat egg become cold search place sit . leave room ( comfortable , stained rug coffee packet ) soon head lengthy wait elevator bag . valet fairly quick car , $ 39 overnight charge come wash & amp ; wax . be Dallas , know downtown parking charge seem excessive . , try somewhere else next time be visit wonderful city . 
 Apr 4 2007 	 Paper Walls 	 love eavesdrop , hotel ! get listen ' brian ' call buddy 3 a.m. night partying , also get serenade next guest ' child . ' nothing like " New York , New York " rouse bed 6:30 a.m . mind , people ' overly loud — just normal noise . also get hear maintenance man roto - root toilet next door midnight . , ask ? serious plumbing problem section hotel . toilet — which ' even secure floor — service three time three day . , ' big eater . I ' see undeserved rave breakfast manager ' reception . send reception wait room , ' ready 7 p.m. arrival . ( excuse , apology ) ' something ratio 300 guest 1 possibly inebriated bartender ' sit right , really , ' love stand line 30 minute eat drink below - average fare lobby reek chlorine ? ( quote 8 year old : " pancake taste icky . " seriously , bad kid ' eat ? ) hotel breakfast rush happy hour , stand outside room look lobby . ' see huge throng hotel guest cue " free " Miller Lite , gritty , overcooked , foodservice egg . may find think early , simple time , say soviet toilet paper line , maybe kill floor Chicago ' ' hog butcher capital ' day . ' tip save we time trouble : walk one block east Illinois Fox Obel ' , GREAT gourmet market liquor store . corkscrew ice bucket room reason . seriousness , hotel ' fine ' spite problem . lake view pretty . room clean . sofa bed good , small . location convenient . service , ' eh , ' exception bell staff uniformly great . pay $ 149 / nt . , seem reasonable overall Chicago . ' see rate post high $ 200s , place simply ' worth price . 4.0 rating ? uh , . base design hotel , think must build reputation businessman ' special . cater family crowd , transition half successful . pool obviously one - lane lap pool ' overcrowded kid , large bar area become pancake central kiddy . ' basically Comfort Inn Suites fountain glass elevator . love CI & amp ; , ' expect . another note , hotel appropriate people afraid height . hotel 12 story room lobby open atrium border clear plexiglass along ' hallway . ' see one young boy terrify drop . something consider . 
 Apr 3 2007 	 Great Familys 	 stay St. Patrick day weekend parent , read review trip advisor . suit large sofa bed comfortable enough . 3 people breakfast include good value money . suite clean , comfortable could see glimpse Lake Michigan building . ( & quot ; Lakefront & quot ; little mislead great view ) . little noisy night ( particularly sleep living area ) give St. Patrick ' night perhaps expect . location excellent , right beside die river green event , easy pick Navy pier trolley . restaurant PJ Clarks ground floor well worth visit . 
 Mar 26 2007 	 Place Aces ! 	 will not repeat good thing state hotel . wife last week convention nonprofit live reputation present Tripadvisor . only additional comment . floor 10 14 washer / dryer . $ 1.50 wash $ 1.50 dry . washer floor 10was service time visit sign look like while . one plus side , elevator take sl level room fast elevator ever experience hotel . convenient . the concierge great , give we wonderful tip great italian meal one evening . all , excellent stay ! 
 Mar 24 2007 	 Best yet 	 arrive Embassy Suites long train ride detroitonly find Expedia botch reservation ( be aother review ) . phone Expedia almost two hour ( counter front desk ! ) , front desk staff offer we free cocktail , dinner tired hungry child , assist we book replacement hotel- even guest ! even offer return morning free breakfast instead pay eat elsewhere . force stay elsewhere one night return Embassy Suites two nights- terrific stay ! room spacious well - appointed- show sign wear other mention . beautiful soar lobby- kid think coolest . awesome cocktail happy hour -FREE ! ! could not believe ! without doubt , fantastic location , beyond staff area , great , family - friendly room . can not say enough ( two big hotel snob ! ) 
 Mar 23 2007 	 pretty good 	 stay night , arrive midnight . bell service smooth excellent , checkin . however , order & quot ; build - a - bear & quot ; package , forget , manager promptly send call . room clean funcitonal , elegant . nice view lake , also . appreciate bible room , though ( place Gideons something ) , not think 's hotel 's place , make feel uncomfortable . room service excellent , though expensive , give late checkout- even later checkout without hassle . Checkout smooth well , order loading car . later , think forgot watch- call hotel send security go throught entire room , call back ( not find .. point try . ) , extremely functional pratical , could use elegance . 
 Mar 3 2007 	 Loved Embassy Suites Lakefront 	 stay end August 2006 . hotel wonderful . beautiful view Lake Michigan suite . complimentary breakfast cocktail hour day one good thing stay . definitely cut price eat . staff helpful courteous . get around Chicago much easy use public transportation system . get 5 day visitor pass $ 18 . else get deal like ? would stay . 
 Jan 30 2007 	 Super - happy Embassy Suites Lakeshore ! ! 	 could not ask well location . within walking distance everything ! ! walk hotel Orange Line ( arrive @ Midway Airport ) , great ! service hotel outstanding . first two night low key hotel , attention detail staff great . second two night Bears beat Seattle one game away Superbowl . crowd amazing , yet service level maintain . extremely impressed . ' the negative observation swimming pool . small lot kid . would not let kid go many kid small area seem like lot cold ... good thing not Chicago swim anyway ! ! price , one nice hotel ' ve stay one good view city . will back -- 
 Jan 30 2007 	 GIve hotel try 	 nice room decor clean . breakfast get crowd . tip -- go early ! care construction noise Saturday morning . hotel well locate ( close Michigan Ave ) staff pleasant deal . would go back . 
 Jan 19 2007 	 great location 	 think great location downtown Chicago . many thing step away . ( AMC Theatre , Starbucks , Jewel , Walgreens .... ) really awesome bar ( LUCKY STRIKE ) bowling alley lot pool table huge couch watch game . AMC door escilator . Valet parking little high , ( $ 39 per night ) downtown suppose go rate . huge free breakfast .. definately back ! ! 
 Jan 10 2007 	 Agree - well 	 's over - rate . many thing order 's funny . broken lamp check ( swap new one immediately . ) ceiling fan work ( not offer give we another room , stand - up fan never deliver . ) another light bulb desk lamp third one burn stay . gym equipment break entire week Christmas . bathroom people 's hair three day clean . Manager 's reception over - rate . line long enough time get one drink two hour . breakfast nice get 7:30 . otherwise will fight crowd . really , plenty place stay vicinity . take money elsewhere . 
 Jan 9 2007 	 good deal expect ' pay ' 	 $ 120 / night 5 people ( breakfast include ) , undeniably excellent deal . location prime , room well - design comfortably hold entire family . free cocktail evening nice & amp ; nibble decent ( unfortunate sea styrofoam cup , however ) . however , much vaunted & quot ; cook order breakfast & quot ; chaotic , unpleasant ordeal morning . feel like cattle wait serve trough . insufficient seating , entire environment reek make - shift disposable ( ugly fold table / chair , ugly plastic tray , miserable waste styrofoam cup ) .dread breakfast pandemonium would cause hesitation whether stay hotel . shame , much hotel good thing offer . 
 Jan 5 2007 	 great place stay kid 	 stay Embassy Suites location 3 night Oct . first time Chicago think great place money . take kid see King Tut exhibit make full weekend Chicago 's great sight see . hotel easy walk distance Magnificent Mile , Navy Pier always cab outside wait destination . take blue line O'Hare ( hotel tell we stop get get stop hotel cab ) . free breakfast cocktail hour great , especially travel kid . also buy snack wine grocery store across street store room fridge . room little worn comfortable . definitely would go back stay hotel . 
 Dec 26 2006 	 Great Hotel 	 large clean room . fantastic breakfast ( get crowded sometimes ) . location close Magnificent Mile Navy Pier , able use free trolley quite often stay . family 5 , pull - out couch great comparison roll - a - way bed hotel . friendly efficient service . pool real large , kid enjoy . overall great stay . 
 Dec 11 2006 	 great location rate amenity ! 	 great location ! two block Michigan Ave , nearly everything else . travel toddler , choose Embassy Suites separate living / bed room , refrigerator , microwave . complimentary full breakfast evening cocktail bonus . rate $ 50 - 100 less standard ( amenity - less ) room nearby major chain , no - brainer stay . recommend south face room good view since overlook parking lot directly high rise . check in / out breeze . book nonrefundable , prepaid rate online minimized check - in time . ask late checkout Tuesday allow stay 1pm . take super convenient Orange Line train from / to Midway Airport ( $ 2 / person ) . easy half mile walk near station hotel , even teen temperature . free Navy Pier Trolley pick / drop across street hotel . also across street Starbucks , Dominick 's grocery , Un - cork ( large liquor store ) . may also choose neighboring restaurant . it be mean deal breaker , state review , take two elevator get street level room . one set elevator get street lobby , set get lobby room . elevator exceptionally frequent fast ascend / descend . not recall wait 5 second hit up / down button . 
 Oct 26 2006 	 great hotel kid and/or Chicago Marathon 	 Embassy Suites Downtown Lakefront great place stay kid and/or run Chicago Marathon . property great location . easy walk distance short cab ride Michigan Ave . shopping , River North dining , Navy Pier , Grant Park , lakefront museum . I walk start line , less mile away . Embassy Suites great family . 2 bedroom suite give family extra space . inclusive breakfast also nice . the hotel clean new feel . elevator fast . unfortunately , need change elevator go street level . there Dominick 's grocery store starbuck across street . high end Dominick 's . also , adjacent movie theatre . 
 Oct 6 2006 	 Nice Place Weekend Getaway 	 husband stay Embassy Suites , Chicago Downtown Lakefront 2 night , September 22 & amp ; 23 , 2006 . centrally locate , within walk distance sight want see . arrive well check able go right room . room clean spacious . bed little firm ... pillow top would comfortable . thoroughly enjoy cocktail reception cook order breakfast . staff courteous friendly . use concierge service book evening reservation Comedy Club problem , happy help . would definitely stay . 
 Sep 16 2006 	 would return 	 book two suite family 5 people Hilton group hotel two night : September 7 8 , 2006 . son HHonors Gold vip status week stay many Hilton property family vacation . good even excellent experience hotel , include Hampton Inn 's , Embassy Suites Hilton property . the Embassy Suites Lakefront Chicago hotel satisfy . arrive early evening six large bag bell man bother offer help . carry bag front desk ( situate high floor ) check , carry bag 17th floor room ( use another elevator ) . people check offer help bag either . our suite situate top floor technical floor . result continuous noise technical installation make almost impossible sleep . room view building , nice lakefront view advertize . flight London leave 8 pm ask late check ( 4 pm ) , possible payment half day room rate . furthermore pay internet connection . hhonor Gold status guarantee we good available room free internet ( Embassy Suites ) obviously get hotel . the manager reception buffet breakfast ( include rate ) ok , enough room accomodate everyone ( many people leave food drink room ) . probably due private event take place hall occupy large part space available . we would never go back Hotel rate far less standard Hampton Inn . 
 Sep 6 2006 	 well 	 stay hotel weekend . hotel nice , good other stay Chicago . on plus side , hotel close Navy Pier , Millennium Park , Michigan Avenue . manager 's reception ( free drink snack 5:30 - 7:30pm ) always treat . breakfast also offer pretty nice selection ( decent free meal Chicago ) . view hotel room nice . could see lake river , instead side building . pull - out bed couch also decent couple night ' rest . I would recommend stay & quot ; Embassy Suites Hotel Chicago Downtown & quot ; instead location though . staff Lakefront location not friendly helpful ( particularly concierge , ask restaurant recommendation ) . room also not clean . layout Lakefront not nice either . lobby lounge feel crowded relaxing & quot ; Downtown & quot ; location . reviewer mention , take one elevator lobby walk across lobby second elevator order get room feel little strange ( especially long day walk around city ) . 
 Aug 1 2006 	 Loved love manager reception love breakfast 	 stay Embassy Suites 4 day love . clean , staff helpful pleasant . LOVED make - to - order breakfast manager 's reception . line get long get breakfast early enough bad . kid love everything also . 
