Fancy 	 spend christmas vacation always await everybody . come make trip destination come major task select hotel , suit budget also great leisure time , thus make trip memorable worth spend money .so decide make trip New York wife always plan go . game big job hotel , search many site , come good portal make online booking . hotels2stay.net . choose opt NewYork HILTON GARDEN INN TIMES SQUARE , , First would say really remarkable stay hotel .The hotel serve service full .e Hilton Garden Inn Times Square 's seat area include fireplace feature red , brown yellow decor . black white portrait New York City display throughout hotel . Pigalles restaurant serve french cuisine . complimentary coffee serve morning restaurant . hotel 's fitness center feature cardiovascular equipment open 24 hour . hotel include two workstation complimentary wireless internet access complimentary printing . bathroom include Neutrogena toiletry curve shower rod . in - room safe laptop compatible . complimentary newspaper deliver guestroom . accommodation include coffeemaker , room service available . the Hilton Garden Inn Times Square locate New York , N.Y. , one block Broadway . hotel Theater District Midtown Manhattan . Blue Line service 50th Street subway station two block hotel Times Square two block away opposite direction . Radio City Music Hall shop Fifth Avenue three block hotel . wife make romantic stay Hotels , definitely thankful Portal make stay wonderful make booking cheap rate compare site .Good Job do hotels2stay.net ! ! love make booking . thank service put Hilton garden . 
 Perfect Location 	 original booking another nearby hotel fall last minute , lucky get hotel low price week leave home less week Thanksgiving . 5 - night stay , Hilton Garden Inn turn well choice : free internet , 15 story ( elevator reasonably fast ) , large room refrigerator microwave ( Evolution King ) , desk , chair still room move around . bed pillow comfortable ( mattress adjustable firmness ) . easy walk distance Times Square , theater , great restaurant , subway stop . rate competitive , choice future . yes , hear street noise even 11th floor back building - fire station quite close - New York - city never sleep ! ( helpful hint : laundry 1/2 block east 49th Street laundry pound : $ 7.00 7 lbs ! price laundromat waste time ! ) . 
 convenient location attentive service 	 stay hotel room two queen sized bed . ( be rarity New York , handy family . ) room nice comfortable . granite counter top bathroom bar area . also microwave oven mini refrigerator room , great . grocery store across street drug store nearby . ice soda machine floor . also provide free wireless internet . four day switch room . first room 2nd floor overlook air conditioning unit quiet . second room 8th floor exactly , loud street noise . get really good rate , 's good place stay . Pigalle restaurant , attach hotel , average food . 
 Good Hotel Smokers 	 would give hotel three four star , fact even prepay reservation , give smoking room request non - smoking room . effort make staff compensate ( put air purifier room give we free breakfast voucher ) appreciate , one - night stay still result clothe reek smoke one us allergic reaction poor air quality room . hotel fine arrive much later 3:00 ( non - smoking room request honor ) care room permeate smell stale cigarette . ( also end need use debit card charge incidental never purchase . still wait refund five day later promise would charge . ) realize experience might typical -- make stay poor one we . 
 Good - Complaints 	 come NYC wife two kid need hotel room two queen bed wife hate sleep double together - small comfortable . HGI one hotel could find two queen bed room . moreover , get add cache Hilton Honors point . find hotel clean fairly large room NYC standard . staff 100 % , although not use much . be one thing : Times Square frenetic ' m much throng tourist deal price reasonable , , bed good . hotel 8th Avenue , one long block main action Times Square , think 's plus . recommend hotel without reservation . 
 Perfect place 	 husband love time spend hotel , near Broadway could walk everywhere want . book evolution room , great , big comfy , really nice great view . love stay . 
 Feb 24 2009 	 great location 	 two room connect , bed comfortable . staff helpful , use business center downstairs . hotel grocery store next door use day . hotel convient everything . clean great place stay NYC . 
 Feb 24 2009 	 Location Location Location ! ! ! 	 recently stay HGI Times Square 5 night , family 5 3 teen . I spend month review site prior finally book trip , main be not disappoint choice hotel . will start con , ! : request high floor follow reading report site noise , unfortunately place 2nd floor ( 1st UK ! ) check Friday afternoon holiday weekend . noise fire station close hear not problem . hear subway weekend often , although wake 2 morning ! however , Tuesday morning subway get back normal , track closure repair holiday , rumble train clearly feel wake daughter early hour . would definately demand high floor return NYC . small con request ( month ago ) adjacent room , meet . floor although room 10 door apart . fortunately young 13 issue , however can not believe could manage 2 room next door ! .Now pro : many ! ! ! location : - 2 minute walk ............ Times Square / Broadway / Subway station / local bar rest . restuarant : - although technically ' next door ' food amazing . not cheap , well worth money . staff excellent , service excellent , quality top . eat breakfast twice , dinner twice , lunch . thing stop we eat time expense 5 we ! although attach hotel , take alcholic drink bar back hotel . therefore would recommend utilise fridge ! staff : - staff polite helpful time . would avoid ask staff arrange theatre ticket extrememly pricey . tell ticket Broadway show would $ 169 much cheap go direct theatre purchase . room - Beds comfortable ever sleep , would love take home . room good size 2 bed . fridge useful . use microwave good idea . coffee maker - excellent . bathroom bite small perfectly adequate . heating / air con work well . previous reviewer mention noise ice machine - do not hear not opposite noisy next stand next . room clean thorougly every day towel replace etc . room clean high standard , public area . coffee : - free coffee every morning Starbucks - excellent . would recommend food emporium ( come hotel turn leave ) 2 second away purchase toast bagel etc croissant morning , collect coffee - result cheap brekkie room Shop - well stock ( bit pricier local deli ) open 24 hour ! amazing trip location really big bonus point walk hour ! ! ! please hesitate contact directly require information . 
 Feb 23 2009 	 great location 	 love hotel , really central , great service . little noisy hear underground train , convenient worth put . great restaurant next door ! 
 Feb 23 2009 	 fantastic location modern clean room fantastic service free internet ! 	 stay Hilton Garden Inn , TImes Square last week whilst visit site ny . hotel perfect want , easily accessible Times Square , clean , modern , well - equip room helpful staff . hotel lobby modern offer flatscreen tv , nice lounge area , shop internet facility free colour printer . staff friendly , happy assist visit way- consierge available every day 6 pm . word warn : look basketball ticket broadway ticket , consierge bump price contact include mark - up , 's good search internet get good deal independently . basketball ticket ( basketball awesome ) , save $ 100 . e - mail ticket us hotel via ticketmaster . the reception desk also offer free cookie daily , ! 
 Feb 19 2009 	 Brilliant . 	 Faultless . nice staff , location envy other , excellent room would expect Hilton . seriously hope HGI Times Square not let many positive review affect future stay doubt . keep good work ! 
 Feb 17 2009 	 great hotel great location 	 hotel perfect location beside Times Square , bus tour departure point short distance Central Park . hotel staff fantastic , problem sort issue instantly . one occasion clean towel , phone guest service within 5 minute give 3 towel . however hand , room front hotel particular issue noise . do not know hear subway train frquently througout day / night . apart noise issue hotel fantastic , would recommend anybody intend stay New York ! 
 Feb 11 2009 	 Excellent ! 	 love stay , excellent ! little worried first sure expect . arrived late night get check right away . front desk extremely friendly helpful . room nice , clean . decent sized microwave fridge . other complain noise , small amount due fire station next door hardly bother . perhaps depend side building face . 6th floor face 48th st noise bother we . lobby 24 hour free internet service little convenience store also 24 hour . toilet even flood one day came immediatly fix right away . ever come back new york city , would definitly stay . love ! ! 
 Feb 10 2009 	 Living HGI Times Sq . 	 take get around writing , want share experience HGI Times Square overwhelmingly positive one . weekly business traveler 's hard , impossible , find well deal - clean , quiet hotel close subway small nice exercise room modern cardio equipment ( unit 's tv screen ) . many close dining option ( course , be Manhattan ) room spacious ( NYC ) , tidy , comfortable . there plenty entertainment close , get village part town simplistic give proximity train ( cab move quickly South 8th Ave ) . be also bad airport ( ~35 min non - rush hour time ) .But make hotel stand 50 week stay last year guest service . moment walk , every week , greet nicely , bag retrieve , check room less two minute . I honestly could not find negative hotel ( hence choice keep stay ) - nice home away home tenure Manhattan . 
 Feb 9 2009 	 great Stay Times Square Area Hotel 	 hotel locate one block away Broadway 48th St. it easily accessible hotel Eighth Ave lot great thing here . room comfortable staff go way say hello help way can . the front desk staff great keep entertained night there . my room look Eighth Ave , exception Firehouse next door noise could hear . the internet access good tv selection good well . only 5 min drive NY Penn Station less 10 min drive Javits Convention Center . this hotel popular group business traveler . there business center locate front lobby small store usual luxury . the restaurant good preferred Hilton Member get free breakfast include stay day . I would stay . 
 Feb 8 2009 	 definitely stay 	 wife stay four night . great stay . every single staff member helpful friendly . hotel theatre neighborhood , block Times Square . several subway station within block two . easy get Lincoln Center Natural History museum . ' complimentary Starbucks coffee lobby morning . room king bed . comfortable easy chair ottoman good reading light . room small refrigerator microwave . wireless complementary . minor complaint : loud couple move next door last day could hear . 
 Feb 5 2009 	 Great Hotel City Break 	 boyfriend stay Hilton Garden Inn Times Square 1 week January 2009 . would ( ) recommend hotel friend . location great walking sight , also really close Metro . staff always friendly helpful . king evolution room pretty big , 14th floor get pretty decent view building . room look like photo traveler upload . business centre ( free use ) really useful look thing internet check email . basically , great hotel . 
 Feb 3 2009 	 great location clean friendly well appoint 	 5 night first part 2 leg US trip . its location excellent , new NYC , get Airtrain subway airport pop 2 minute walk hotel lobby . sweet . first impression : well porter keen ! time clear front door guy bag trolley ! cynical Brit say ' 's want tip ' .... less cynical US traveller say ' that s good service ' .Check efficient explain we property free Wi - fi ' business centre ' free internet pc use . . spend time ' business centre ' wisely check vital matter importance like sport score back home . room spotless . King Bed , microwave fridge , tv , write desk chair comfy chair footstool . Bathroom be not massive adequate . if problem hotel slam door ! oh madden . however , fault hotel , fault thoughtless guest stay . hotel read $ $ spare ..... get new door hinge do not allow idiot guest let door go slam shut mighty force ! visit NYC , would stay . 
 Feb 3 2009 	 Fantastic Location 	 return 5 night stay Hilton Garden Inn Times Square reviewer mention great location one block Times SquareBest BitsWalking distance Rockefeller Centre , Central Park , Bloomingdales , theatre & amp ; 5th Avenue - Saks etc . staff : polite friendly - abigale reception kindly recommend restaurant obtain we copy menu & amp ; be work try guess age Donald bell man ! room : bed comfortable room fridge microwave nice touch , room flat screen HDTV ' room clean tidy Restaurant : Pigalle really handy breakfast dinner , reasonably price hand land dinner without venture far . bad BitsRoom : minor point , room next main air - con vent near ice machine ( ) tend make racket eventually may get use it . the Loft Lounge : bit weird , ' find ! ! really ask , ' detailed Hilton website may need bit explore find ! overall really enjoy stay HGI would recommend hotel . 
 Feb 3 2009 	 bed would fit suitcase ! 	 return first visit NYC . amazing time . horrendous journey flight cancel re - route get awful feeling ' what hotel go like ? ' . well need not worry , welcome huge smile . room give 5th floor view street much big have expect 2 queen bed . could take home pillow comfiest ever , know seem strange comment bed amazing city NY fab ! shower great . staff speak friendly . the hotel fabulously place main sight subway , be great little irish bar couple door . return city , hope sometime soon definately stay again . if find near Times Square breakfast check Ellens Stardust Diner , great food staff happy ever meet ( certainly time morning ) singe dancing table , favourite west end / broadway musical tune - fabulous ! thank Hilton Garden Inn ! : ) 
 Feb 2 2009 	 beat hotel / location 	 honestly not negative thing say stay ... location incredible , subway , show , restaurant , nearby . yet , block away noise & amp ; light ... give chance recharge . plenty ' small place ' eat beat path resonable price ... 8th/9th near 50th ( hell kitchen ) great food . theatre within walk distance .... tkts booth broadway show discount nearby well . ( plenty show 50 % ) .Room spotless good size NYC ... microwave & amp ; fridge plus . bathroom average size clean well . great free internet connection . friendly staff . starbuck coffee / tea available every morning downstairs near lobby ... also cost . , stay Hilton Garden Inn perfect ! offer website , incredible room rate ... plus ! stay ! 
 Feb 1 2009 	 Excellent room 	 hotel perfect base see wonder NYC . room excellent size clean . staff poilte helpful . great time , would definetly stay . 
 Jan 29 2009 	 Deceiving 	 ' m look Trip Advisor hotel remember stay Hilton Garden Inn back January ' 06 . accord website , open November 2005 , claim new hotel . wrong ! actually former day Inn , comparable HGI . draw website look nothing like actual hotel . hotel old . lobby bright open , upper floor extremely dark . wall door ( tall ceiling heavy ) cover chip paint many shade shade gray . room extremely small . hotel rather noisy overall , allow we hear couple & quot ; get intimate & quot ; night . staff rather rude , especially gift shop , cashier accidentally push dad $ 20 knick - knack , break , force we pay it . the breakfast also standard HGI . hotel attach separate restauarant ( remember right ) cost extra . overall , fan Hilton brand almost hotel - one ! Mr. Hilton buy decrepit day Inn slap new sign , attempt deceive hotel guest pass real HGI . many well choice New York , stay away one ! ( anything change past 3 year , please let know write retraction try delete comment . ) 
 Jan 27 2009 	 excellent many way 	 hotel one block Times Square one block subway . would hard well location . true area busy sound traffic , emergency vehicle subway detract visit - add enhancing & quot ; flavour New York & quot ; . eat place around largeish supermarket yard away . staff great moment arrive time leave . bed great room reasonable size well equip . price right , stay . 
 Jan 22 2009 	 Decent Hotel Great Location 	 get good rate hotel familiar location previously stay nearby two different hotel visit NYC . stay numerous Hilton Garden Inn location various city across nation good experience , figure read review TripAdvisor could not go wrong stay NYC . big fan Times Square , general , hotel close enough far enough removed not want deal crowd . pro : Location - Times Square , Theater District , shop eat within walking distance . location fantastic hail taxi twice ( take we Greenwich Village ) four day . walk everywhere else . be avid walker , though , walk 3 - 5 mile / day may easy everyone . Front desk - friendly quick check - in ; nice customer service ' ve long time . security - night , security person wait slide door check make sure everybody come key room hotel . greet we smile night . refrigerator room - love able keep bottled water fresh fruit snack room . con : room average - sized seem pretty cramp due much furniture . bathroom rather small ( especially two woman travel together ) , good enough . would recommend two people per two - bed double room , though . cleanliness bit questionable . surface everything look okay , not look closely . behind bed dusty ( find drop cell phone behind bed ) . bathroom lack ventilation fan , condensation shower form ceiling ( evident look stain spot ceiling ) . think 's time bedspread room replace , , okay . pille spot white bedspread evident , though . if room face Eighth Avenue , prepare endless fire truck siren fire station corner next block . day , get use , may problem people sensitive noise travel child . in honesty , think hotel 3 - star hotel , friendly helpful employee convenient location , give 4 - star rating . would stay find great rate like past visit . 
 Jan 22 2009 	 Great Times Square hotel ! 	 great hotel ! 's affordable comfortable . definitely glitz glamour 5 - star hotel city . however , location , comfort , quality outstanding . room large ( especially NYC ) , good service frontdesk bell staff , breakfast great ! ' m sure 's standard gold hhonor benefit receive breakfast use connect restaurant - delicious ! can not recommend hotel enough . stay ! 
 Jan 20 2009 	 Nice Hotel 	 Fist staff hotel outstanding . everyone nice extremely professional . actually able check 10 , 5 hour normal check time . want leave bag bellman go sight seeing room ready let we check . room clean , water pressure great ( well home ) , small fridge microwave room nice . great view ok request room view . negative say door room loud close , could hear every door floor maybe even one every time close ( 5th floor ) . loud , aware closed door quietly people would think , quite loud 's noise 3 . notice noise outside world room . would stay second . 
 Jan 15 2009 	 Nice hotel 	 Hilton Garden inn nice hotel good mid - town location . hotel room good size amenity list hotel website . on day arrive , delay significantly run non - smoking room , place smoking room , smell like - obviously clean thoroughly , clearly underlying smell smoke . next morning , speak reception people immediately move we another room offer we free breakfast inconvenience - great . new room much well little big , great . the breakfast ( free ! ) excellent , lot diner round fine . location good visit theatre general sight - seeing , although be great deal nightlife nearby . prefer little south towards Chelsea . I would definitely recommend hotel . 
 Jan 14 2009 	 good location 	 HGI - Times Square bad hotel . dislike : room quite small cramp . 4 people , get quite crowded . bellman - bit pushy . like : Location , location , location - 's near restaurant , grocery store , drug store , catholic church , laundromat , theatre district , subway . complimentary internetcomplimentary breakfast Gold Hilton Honors Members Pigalle Restaurant ( attach hotel ) hotel good family microwave mini fridge . free warm cookie front desk counter every evening . I commend housekeeping . wonderful worker ! ! Front Desk worker - really nice . 
 Jan 13 2009 	 Great Place stay 	 great hotel . two minute walk Times Square fun excitement . across road Subway . very clean . great room , comfortable everything need . small shop onsite . great diner right opposite . very warm , helpful friendly staff . Donald one Porters great guy . Felt safe walk Times square night . we love place stay without doubt . dont think , IT.YEAHHHHHHHHHHHHHHHHHHHHH 
 Jan 11 2009 	 stay ! ! 	 stay Garden Inn New Years Eve 08 6 night . young couple want central hotel . certainly get ! hotel 2 block Times Square , convenient ! obviously New Years Eve noisy night , not seem hear . open window hearing noise realise well room soundproof . reception staff helpful bellman friendly , will anything help know much ! toilet back arrive room , flushed , leak floor ! however phone reception ( 10.30 pm ) send someone fix brilliantly . halfway holiday , fix maid brilliant . one thing : order Mee Noodle Bar , who s menu back folder . possibly bad thing ever eat . chicken noodle soup water noodle , duck like something strangle put tub ! horrendous . lot little delis road , sell absolutely everything could want ! also tiny shop hotel handy . safe room good , air con good , little noisy ! point make fire station . get use , first night 's alarming get wake siren , nothing like fire engine quite funny hear ! 
 Jan 8 2009 	 great location reasonable price 	 Excellent check mention trip neice 18th birthday , get give voucher breakfast next morning . room decent size , clean fridge microwave . bathroom adequite lovely shower . the bed fantastic , soft soft . the pillow like big marshmallow . hmm lovely ... nice touch complimentary tea coffee lobby morning . sure time start finish . very helpfull concierge . little tip Theatre , TCKT reduce price tcket stand not open monday also much show monday evening . would recommend eat Trattoria Trecolori around block . food excellent reasonabley price service variable dependant waiter day . 
 Jan 3 2009 	 Great Hotel great location ! 	 hotel great ! be close enough Times Square withoutreally truly , yet block madness Times Square . nice , clean room , nice bathroom ( thesmall side ) , nice hotel personnel , clean staff tothe front desk , everyone polite helpful . thing ask problem . nice restaurant next door , great breakfast . near good restautant , deli 's , shopping , theater , . close several subway . would definitelystay , room much nice other ' ve stay NYC . ( ' m picky hotel room ) 
 Jan 3 2009 	 Nice hotel well locate 	 stay New Year 's Eve use Hilton point stay . helpful Hilton not blackout date use point . location : Eighth Avenue 48th 49th . subway one half block north 50th street . location generally good . short walk Times Square plenty restaurant Eighth Ave . sombrero acorss street quite good dinner . rite Aid street near 50th open 24 hour . check - in : smooth . despite check 8PM New Years Eve , get request meet King room , high floor , near elevator . Hilton Honors membership , get coupon free bottle water . room : comfortable . 300 SF , decent size NYC . nicely lay flat screen tv , microwave , refrigerator , coffee maker . wireless internet available free room . bed pretty comfortable . service : good . despite hectic evening , everyone friendly helpful . make sure always key hotel require show key get room . amenity : restaurant bar first floor . little pricey drink . also rooftop bar . go outside hotel enter 48th street . not go private party go evening . business center first floor free use print . hotel parking garage $ 30 day park . , be pretty good NYC.Overall quite pleased . pleased general could score free room New Years , hotel great well . room clean comfortable . fridge nice touch since could pack leftover dinenr keep cold next day . there one minor hiccup . police close parking garage security reason due New Years preparation apparently not tell hotel staff . call hotel , actually send one security guard try negotiate officer get garage . police willing budge . hotel staff arrange park Hampton Inn two block road parking rate . certainly unforseen issue , staff work make right . 
 Jan 2 2009 	 nice property stay away phone .... 	 stay property 2 night HH Reward give Queen beed 7th floor , face elevator janitor room . expect lot noise never problem . the room nice location central Midtown , albeit area bite rough side . the downstair restaurant , Pigalle , offer breakfast , lunch dinner service always pack . good duck confit ! first day call recepetion breakfast hour tell end 11 am . five 11 instead go breakfast dine rin area . next day find breakfast service end 11.30am , disappointing . since visit overseas try careful use cellphone make several call friend NJ . get folio almost get shock . hotel seem charge around $ 2 minute phonecall .... can not believe hotel today justify cost . overall , nice hotel recommend visit purpose big apple . 
 Jan 2 2009 	 good value nice hotel 	 nice hotel central location . room good size . bathroom rather small , Manhattan hotel price range , never find big . staff friendly problem . area perfectly safe ( hell 's kitchen / theatre ) . not understand people still knock part Manhattan fear crime fact much safe say downtown Houston , LA , Seattle , San Francsico , Chicago probably citie state . Disneyland , real part real City . 
 Jan 2 2009 	 absolute diamond ...... 	 stay christmas 23rd 29th Dec 2008 . fantastic . great location , comfortable modern room . staff friendly enough help . would recommend hotel freind family without hesitation . 
 Dec 25 2008 	 great location not feel safe night 	 location everyplace want go hotel great . able walk almost everywhere want go . the room nice big . bed comfortable . even able supposedly adjust firmness bed . try not really notice difference . the staff always really friendly right need anything . someone every night check room key anyone allow elevator . we NYC March stay center Times Square . feel lot safe Hilton one . last time not bother we till early morning hour . tourist everywhere . time not feel comfortable walk back hotel 11:00 pm . even though hotel good employee friendly would probably stay hotel . would stay Hilton feel safe come go night . 
 Dec 16 2008 	 Good Rooms Location - Great Bell Man 	 stay Jan attend trade show Javits Center . hotel locate block times square . book hotel directly hotel 's website get good deal . surprised walk large room ( ny standard ) , well furnish impeccably clean . room microwave addition basic amenity . good breakfast place opposite hotel . sight see bus stop meter away hotel several shop area . I particularly amazed bell man walk we room . take good 10 minute show we room always happy help whenever question city . courtesy professionalism staff exceptionally good NY standard . I would stay hotel find good deal . 
 Dec 15 2008 	 Clean Quiet 2nd Floor 	 Read review week choose hotel . nervous tell check - in second floor report noise . problem - even ask family noisy say . hear feel train bit , not even noticable first couple time . must depend sensitivity level vibration & amp ; noise . live child , ' m sensitive . Room clean modern . the restaurant good expensive state . staff friendly - negative one rude person front desk ask change $ 100 tip . open drawer see money ( think not know could see talk receptionist ) say none rude manner . later ask another receptionist change tip say ' you not , nothing ' say - ' yes , want early person would not even simple thing , rude ' . say sorry wanted name , not know tell could probably figure really want to . other one incident - problem . wonderful stay feel safe area child - important . 
 Dec 12 2008 	 Love NY 	 start review , absoutely love new york love hotel . hotel 2 block ago broadway ideally locate broadway , times square subway station around corner . when arrive hotel , greet politely check quickly efficently . room 8th floor thought would view back build alley way etc . pleasantly surprise locate front hotel face main street , nice could see activity go outside . we stay New York seven night 8 day love evry minute . hotel put free tea coffee reception every morning serve starbuck coffee . woudl recommend Juniors Restuarant breakfast , two street hotel serve mean breakfast many fill up want . intrigue grite breakfast find whip egg white , nice , say experienced ( know significance see Cousin Vinny ) . go see Mary Poppins Broadway fantastic would recommend get ticket station soon possible queue get really long ! ! ! go everywhere New York , would recommend go Empire State Buildling see view , view Rockfeller Centre well get amazing view central park . I boyfriend get New York Pass , card entitle enter statue liberty , empire state building lot different attraction free . get 2 day pass $ 90 use attraction . think save $ 100 . website New York Pass would recommend want see sight new york . all subway safe use use get ferry staten island century 21 store do not feel unsafe time get new york pass , free book give give subway station need get visit attraction . I love New York coudl happily stay long , would recommend Gallaghers stakehouse near broadway like steak ! ! ! want opt cheap option , get pizza takeaway papa john 's really nice good chinese takeaway opposite hotel , get 2 soup , spring roll , main meal $ 12.00 , beat that . I sure love new york much another tip buy present near hotel nearer get times square empire state building price seem go ! ! ! happy holiday place never sleep ! ! ! ! 
 Dec 9 2008 	 stay look quiet room 	 spend 2 month read review review choose hotel 6 night stay NY . disappointed pick one . advertise sound proof . loud place ever stay ! ! ! 11th floor end corridor still unbelievable . fire station street . do not know call out stay way wake every night make heart jump ! ! like middle action film . say anything hotel already high floor . I m 20 first time ever purchase ear plug sleep tablet ! room comfortable plenty room . noise room pretty high could hear next door tv , shower , sink toilet . endless . room service terrible . although food lovely restaurant . rang ask 2 champagne glass meal say send glass bedroom . fair enough food arrive 2 glass water ! ! make sense . order starter main course metal dish come keep warm waiter say take another room go . microwave room think would ok rush starter . plate big microwave end cold dinner . we book hotel month advance . two expensive night we last two - hotel decide renovate lobby . selling point we do christmassy . lobby close prior warning land apon scafoldde one morning . say customer price drop ! ! could done lot well money spend 
 Dec 9 2008 	 Top stay Hilton ! ! Wallop ! ! ! ! 	 stay thanksgive weekend 27 - th 1st Dec find hotel great place stay . Group 4 we make wellcome would deffo recommend hotel other . block away everything need ( Times Square , Central Park 5th Ave ) stay 14th Floor outside noise thus sleep like log ! ! ! ! . bed comfortable room good size New York nice flat screen tv . shop great Woodbury Common outlet must keen shopper ! ! ! would deffo go back ! ! ! Wallop ! ! ! ! 
 Dec 5 2008 	 ... 	 husband stay hotel 5 day August 2008 . everything perfect . guy lobby friedly help we find good price private car go ay Beeyong Port . clean room good location . ' m go reservation August . ' m change thiw hotel 
 Dec 5 2008 	 Best Bet comfort - location price 	 spend Thanksgiving week Hilton . use t.a review hotel live . travel agent picky stay . even slightly low rate Marriott Marquis , however go Hilton location versus busy time sq area - make right decision . room good size abt 300 sqf , nice micro - fridge coffee maker . complimentary starbuck & amp ; tea lobby 6a-10a . walk distance theatre , subway -2blks , time square 5 blk . nice walk hotel walk wall people would times sq . drug store across st nice food emporium 1 blk away anything , step away , Hurley 's Saloon 47th nice bar - restaurant - great service w / Paula Belfast . social across St , nice place drink . Seeda 's Tai restaurant 50th st good food . would work hard find bad food ny , skip chain place ! bed comfortable , noise level ok early morning hear car honk etc . view 47th St 6th flr . room clean well everyone come contact friendly helpful - management good job hotel . can not go wrong Hilton Garden Inn 
 Dec 4 2008 	 great hotel 	 great stay Hilton Garden Inn Times Square . Met friendly face reception fullfille request room high floor put we top : - ) Bellman take luggage & amp ; show we room . impressed & amp ; show we work air - con / heating , check tv & amp ; fridge working & amp ; give we info hotel . gym 2nd floor , serve free coffee reception morning & amp ; also business centre reception . omg , point bed sooooo comfy ! one comfiest bed ever sleep & amp ; adjust suit hard / soft like . room nicely decorate fridge & amp ; micro & amp ; flatscreen tv . location near Times Square & amp ; Broadway . subway station locate near , load great bar , sight & amp ; restaurant . can not fault stay & amp ; def would not hesitate stay . 
 Nov 30 2008 	 great hotel 	 friend visit New York several time agree good hotel stay . location great . honest , visit NYC always want travel around minute walk Times Square much 5th Avenue . also subway station 2 block away travel downtown . plus , fine food emporium 30 second away handy snack . the staff incredibly helpful friendly , especially Gregory Security Stephanie , concierge . Stephanie book lot restaurant we even get complimentary Prosecco hotel one they . the room lovely , good size . twin room two double bed , fridge , microwave , plasma tv , desk chair enough space open 2 large suitcase . bathroom not huge big enough need . clean nicely decorate though . stay hotel New York similar price tiny room desperately need redecorate real treat . you also free internet access 5 pc reception free starbuck reception ... plus home make cookie reception every afternoon ! Chris Noth ( big Sex City ) even stay arrive highlight holiday ! go back definitely stay recommend hotel friend family . 
 Nov 29 2008 	 simply Perfect NYC 	 like , be likely drive insane look good hotel NYC holiday . great news .... be search ... ' ve find . return 2 night Thanksgiving holiday stay Hilton Garden Inn Times Square . hotel PERFECT location visit New York City . corner 48th 8th , hotel within couple block Times Square Rockefeller Center ( ice skating fun Rockefeller ! ) ... talk lazy 5 - 7 minute walk maximum . since have never NYC , originally worried hotel would & quot ; far & quot ; everything , definetly . pleasantly surprised close / short & quot ; block & quot ; NY ! anyway , honestly imagine would want stay anywhere else . pass Greyline Hop on / Off Bus tour ( highly recommend least 1 day stay ) , main location diagonally across street hotel . the team location simply second none - truly mean . moment arrive ' ve get taxi load luggage leave - treat high level courtesy care . customer satisfaction obviously top priority . check - in effortless . arrive 8 a.m. gladly store luggage we . phone we let we know room ready , sightseeing , actually hold luggage day , return . reserve King room huge . bathroom well equip quite large . love bed bedding . fact , ' m actually consider purchase type mattress time replace home . desk chair insanely comfortable - know 's weird comment , chair really awesome . room also wonderfully convenient microwave & amp ; refrigerator ( difficult thing find central location NYC ) - great money saver . room locate 7th floor never hear street noise . lovely view courtyard nice high rise . important note also never wait 20 second elevator - since crowd Macy 's Parade , really say something ! find good deal actual website use AAA card membership . taxi Newark $ 70 . could happy stay Hilton Garden Inn Times Square , look forward stay next trip NYC . 
 Nov 26 2008 	 amazing experience 	 friend stay 5 night . 2 room friend heavy smoker seperate floor smoker work great . the room spacious comfy - little glitch bath plug sort instantly without fuss . also big birthday leave lovely little present room make stay enjoyable . the staff go extra mile help fab time location great - right near everything also safe area . go across store block along late evening feel perfectly safe . a comfortable stay . 
 Nov 16 2008 	 exceed expectation ! 	 stay Friday , November 14th . hotel staff far exceed expectation . stay bachelorette party attend not want drive home . live hour north NYC , not want worry drink drive catch last train time . book hotel Hilton 's website location price . not sure expect , cheap small room . wrong . room huge NYC standard full size sofa pullout , king size bed , armoire contain mini - fridge , microwave , coffee maker , dresser , spacious desk . plenty room move around . though bathroom small , clean , nicely tile , decent amenity . staff also friendly helpful . make feel right home give coupon free bottled water , ask need anything , give internet access code without ask . everything perfect ! good thing next day go check . little hung dire need coffee . use zip check service hit button phone connect front desk . Natalie ask need bellman taxi . tell really need cup coffee ask kind . say regular cup lot cream sugar . ask come right . get desk , cup Starbucks wait , free charge . shock impressed ! recommend hotel everyone know . can not wait stay ! 
 Nov 14 2008 	 Perfect Location ! 	 perfect location right next Times Square 10 minute walk Central Park . staff friendly helpful room comfortable . slight complaint extremely noisy air conditioning system sound though wind tunnel . apart great hotel . 
 Nov 11 2008 	 good location 	 hotel good location , around corner Times Square . initial glitch get non - smoking room book first night deal well charming young woman reception . eventually ( next day ) give room 14th floor , bit view city . room fine : adequately sized furnished . breakfast something behold . ground floor restaurant teeming , lot people walk street queue . look chaotic , staff manage pretty well . however , chance ' sit shoulder shoulder stranger , take get order . enough . however , nice lunch there . hotel room New York quite expensive , one reasonably price – give location . wi - fi complimentary – well do Hilton , unjustifiable charge hotel make major irritation we . Staff seem friendly , whole enjoy stay . 
 Nov 9 2008 	 Great Hilton family hotel 	 staff friendly proactively helpful check - in . walk room , every staff person pass offer pleasant greeting . room ( 1523 ) spacious , clean nice view - look firefighter 's memorial plaza . within step hotel Starbucks , small grocery / deli drugstore . like Italian , rec have Ciro Trattoria across street corner . try shrimp parmigiana - will not sorry ! check rate Expedia , Travelocity Priceline book Hilton.com - low rate far . 
