pleasantly 	 pleasantly surprised hotel . Found Tripadvisor not dissappointe . find good rate hotel 's website travel site account AAA discount . room big expect ( NY standard ) appear renovate recently . staff friendly helpful . luxury hotel mean extremely nice price . subway 1 block away Central Park 3 block . would definitely stay . 
 skip look luxury 	 stay Lucerne Thanksgiving . will make simple : use luxury hotel hope find inexpensive gem UWS sadly disappoint . use mid low range chain , might pleasantly surprised . luxury hotel definition . like choice neighborhood - ave - also permanent home least several long - term resident grandfathere NY rent control law , not surprised smell cooking see small family live one room . opinion , slice New York life add character , rather give hotel air flop house , highlight drab , institutional hallway , cheap blanket , grimy shower curtain , unhelpful cheerless staff , general sense disease ... sum : recommend anyone accustom 4 5 star hotel . 3 star good , less take account permanent resident situation . 
 lovely hotel comfortable great location 	 Beautifully restore tastefully decorate hotel . standard double room queen size bed spacious , comfortable welcoming . staff friendly helpful . great location upper west side - stone 's throw Central Park ( pleasant walk park ' museum mile ' ) . subway downtown 2 minute walk . Breakfast not include room retrospect glad give we chance sample breakfast new cafe diner 4 day stay - none 400 yard doorstep ! 
 Jan 2 2007 	 Fabulous friendly ! ! 	 wait trip 2 year - go 40th birthday celebration sister law . plan Christmas shopping , walk , drink coffee , wine sink atmosphere ! ! first time we NYC ! ! arrive hotel book straight away . initial thought room small view speak , chat lovely people reception , move we big room overlook Amsterdam . room comfortable warm experience much noise - 7th floor . nice Martin nice , breakfast early evening glass wine although load place locally eat . hotel really close Central Park Natural History Museum . subway 1 block away brilliant . fantastic time hotel staff brilliant helpful advice first time ( definately last ) NYC . would stay , far enough away upper west side really busy central part Manhatten , load character want go back ! enjoy ! 
 Jan 1 2007 	 room comfy suite 	 third visit fabulous . previous occasion junior suite , quiet . available converted executive king suite . room give we luxury king high room floor . non - suite room bed directly next entry door , door well isolate crack . result , disturb light come corridor , plus noise . 's also street noise , due fact slide window not close well . first night get use decent sleep . big thumb personnel everything help make feel ease . time skip adjoin Nice Matin restaurant , breakfast New Wave , nearby Broadway . 's small wonderful neighbourhood din friendly waittresse . time play old Stevie Wonder song fit right . area many good local restaurant , be always difficult make pick wish could eat 7 time day . can not wait back . 
 Dec 19 2006 	 Hotel Lucerne 	 really great hotel - clean , efficient , comfortable . great location , 3 block Central Park & amp ; really nice residential area lot restaurant & amp ; bar around ( EJ 's luncheonette around corner great breakfast , shake , burger etc ! ) ideal want escape mad , busy tourist area NYC & amp ; recharge battery evening , subway station end block reach place really easily . great stay & amp ; definately stay . 
 Dec 6 2006 	 give Lucerne try .. nice money 	 Great Location , Friendly Staff , room large expect NYC hotel . down - side need new carpet yesterday . besides , enjoy stay lucerne . room service NiceMatin restaurant average . would stay would recommend . 
 Nov 26 2006 	 good round 	 Location great , bus stop directly across street subway close . lot restaurant close ( recommend Sarabeth 's ) . good escape end hectic New York day , sleep sound every night - noise street keep we awake . room spacious , clean comfortable . would stay Lucerne without hesitation . 
 Nov 25 2006 	 wonderful hotel still talk stay ! 	 recently stay Lucerne Hotel upper west side . every staff member extremely friendly helpful . first stay New York leave feel leave dear friend . we pleasantly surprise one afternoon guest appreciation event . look forward next visit . 
 Nov 16 2006 	 Loved Lucerne 	 ' ve NYC 3 4 time business last year grow tired staying crowd Midtown , decide stay different area time . learn Lucerne -- -- -- .com choose stay hotel read positive review tripadvisor . pleased experience - hotel quaint , old building 's clean staff pleasant . room 721 , great double - room two double bed . Upper West Side nice change usual touristy area . great dinner Coppola 's , cozy , charming italian restaurant be across street hotel . be look luxury , Lucerne place , be look clean hotel character 's also reasonably price , place . definitely return . 
 Nov 16 2006 	 comfortable clean 	 live area around 25 year , leave California around 14 year ago , still come back visit regularly . last remain friend area , whose apartment use stay , sell home leave city . , decide stay hotel old home turf business pleasure tip NYC.It 's nice place , reasonably well keep touch class term cleanliness , style , lobby , staff , nice litte gym , excellent service , robe , umbrella room , good bed , good pillow , free New York Times ( USA Today ) every morning ( even Sunday Times ! ) , good wireless internet service flat fee per stay . would recommend hotel other probably stay . explain build northwest corner 79th Street Amsterdam Avenue one good non - touristy residential area Manhattan -- refer & quot ; upper west side & quot ; . two side build face street , two side abut adjacent building . stay suite ninth floor ( twelve plus penthouse ) two queen bed face 79th Street . noiser inner side build ( north west face ) , since face south , get good deal sun . since ' m New York , traffic noise -- cut signifcantly good window ( open , way ) -- not bother we . originally offer we room fifth floor face west , tell noticed face west , must 6th floor face dark light well . side , however quieter . the stay without minor problem . , list : 1 ) drinking glass always replace clean one , 2 ) suite insufficient workspace even though little kitchenette , really good place two people sit eat . one desk chair sitting room ( also loveseat tv ) , could sit little desk . try bring small easychair bedroom , would not fit doorway . suppose could ask anther desk chair , not . 3 ) tv remote ( two tv suite ) need new battery could replace guest ( unless guest happen packing set Alan wrench ) . call battery replace ( $ 5 tip ) think little suspicious first place , since remote bad . particularly think suspicious guy send two new remote receive another call servicing room , another room need new remote . service fast , however . 4 ) fridge room not work ; quickly replace stash ( tell one staff member ) around 20 spare fridge . another $ 5 tip reward fast service . hmmm . 5 ) take flat rate option wireless internet service ( $ 11.95 , believe ) cover whole stay , incorrectly expire twice . hotel make good promise keep flat rate ; go hassle set account time expire . course , thing like always stop work least afford time ! , despite little list problem ( nitpicker find problem pretty much & gt ; & lt ; hotel ) , think reasonably small manageable . thus basic recommendation hold . 
 Nov 13 2006 	 nice place - great time 	 Found Lucerne TripAdvisor like look , brother book four night September 2005.use home base venture foot point interest Central Park Battery Park , include Ground Zero , Empire State Building , Wall Street etc etc , let tell - next time rent car . long , long walk even two fit young guy , plan ahead be old infirm . the area great night , huge selection place eat drink , sport bar theme restaurant etc . also convenience store across street need . staff friendly , place clean whistle , room perfect size ( two double bed , bathroom , tv , coffee maker ) problem lack fridge , cold beer Amsterdam , not drama . great place plan return March 07 . 
 Nov 7 2006 	 elegant hotel thrive neighbourhoor 	 stay NYC marathon weekend could not tell staff probably stretch capacity . a faultless check - in Thursday coincide complementary afternoon tea ( ok Earl Grey plastic beaker really try ! ) front house staff civility . hotel little tourist track thing like big 5 Ave shop absolutely great Central Park , Lincoln Centre Natural History Museum . room ( double queen 11th floor ) big enough three adult staying service every day housekeeping . the fact be beat track one redeem feature not feel restaurant around place tourist $ . downtown cab convenient subway ride away . local restaurant recommendation would Sarabeth across street , EJ diner two block fantastic bakery little Amsterdam serve organic produce . the hotel also lay pre - marathon snack leave early Sunday morning show attention guest . one word warning though be budget allow myriad NY taxis top room rate , occupancy , tourist sale tax add $ 200 final 4 night bill . 
 Oct 24 2006 	 great family neighbouhood 	 return four night stay Lucerne hotel . stay double superior room two child age seven ten . hotel excellent , staff helpful friendly , room size adequate we especially sleep . good part Lucerne 's location love UWS especially Amsterdam Ave - many shop restaurant .Our child feel really home nice see local child come go school . fantastic breakfast good enough Eat ej' . for quick cheap typical New York breakfast try Zabars . subway two minute walk away walk central park , natural history museum Columbus circle want take city . planatarium Rose space center highlight trip . the negative trip Jekyll Hyde club Sixth Ave , food expensive poor quality entertainment rubbish . we would definitely stay Lucerne . 
 Oct 18 2006 	 great stay wish less expensive 	 Chicago . stay Columbus Day weekend . lot research website other . Narrowed Lucerne Affinia Manhattan . Affinia Manhattan $ 50 less night . go Lucerne feel neighborhood feel proximity Central Park make $ 50 well . I think right . we pay avg $ 350 / night 4 night . seem expensive par course check hotel . overall great stay . ( wife ) stay standard ( small ) queen room . everything clean good condition . staff helpful polite . our first room view brick wall build next we . call front desk ask well room . reception need minute check available room . call back minute later well room . Bellhop come room new key take bag room . great service . room 6th floor overlook Amsterdam Av . Bathroom clean maid service fine job . go Nice Matin ( attach restaurant ) breakfast one morning 20 % hotel coupon . excellent breakfast . look like lot local there . the neighborhood upper west side get busy , tight feel . lot small business restuarant line Amsterdam Broadway . though base review area expect area upscale . not get impression . kind dirty ( much NYC ) . area pretty lively late night . restaurant bar active . 10 min walk Park . 3 min walk Subway . would stay unless find real good deal elsewhere . would give 5 star little less expensive . 
 Oct 13 2006 	 Great Stay 	 top notch hotel . location beat . Upper West side , 79th Amsterdam . busy time , area , hotel calm spotless . area eat list . dinner ocean grill , 78th Columbus , one block , tremendous dinner well present . Tuna grill world . also eat Coppolos , across street hotel . great Italian . subway stop one block 79th Broadway . safe easy figure map . need stay near Times square . breakfast easy , coffee shop every corner . and usually get coffee roll / muffin , world coffee , Columbus 80th . bad coffee stay . everything need within walking dsistance . believe choice available . stay near Times Square past , new favorite place stay . one complaint room bit small , able book double , hotel full . 
 Sep 19 2006 	 Great Stay 	 stay three night Lucerne Hotel Aug. 15 - 18th ( room 1223 ) . room much big anticipate clean . husband , two teenage boy enough room feel cramp . bed real comfortable , maybe comfortable sleep later plan day . across street good deli breakfast also italian restaurant good reasonably price . wasa couple block subway find convenient . the staff friendly accomodating . hope go back next year would definitely stay . choose hotel previous review Trip Advisor . 
 Aug 8 2006 	 wonderful 	 stay Lucerne whenever New York . accomodation excellent location perfect , want make special note recent trip July . travel husband , two young boy mom 84 . still active , mobility issue . begin say thoughtful accomodate doorman staff mom . Everytime come go ( often day ) , go way make sure comfortable , help taxi , always make feel like like special guest ! addition , conceirge hotel able get we fabulous ticket show short notice . wonderful time always enjoy come & quot ; home & quot ; hotel . L. Wadsworth , Tampa , FL 
 Jul 24 2006 	 great neighborhood nice hotel 	 go NYC year , particular need trip meet Lucerne good price . 's distinctive old building great location 5- 10 min stroll various subway line 10 min walk park . double room ( 1010 ) corner room nice view 79th Amsterdam . decent bathroom average bed ( picky ) . pleasant staff , pretty lobby chic restaurant downstairs . choose mainly neighborhood two favorite NYC restuarant : Sarabeth 's Isabella 's . many great restaurant try area Zabar 's street . 's must , H & amp ; h good bagel Manhattan . place near 80th st Broadway . one special note : ragingly good air conditioning summer ! keep cool hot week year thus far . I would happily stay recommend picky parent , 
 Jul 23 2006 	 good choice first visit NYC 	 choose Lucerne base Trip Advisor review family 's first - ever visit NYC good choice . stay 3 night July , 2006 . hotel clean find desk staff bellhop friendly helpful . neighbourhood appear safe clean . subway station within block take we Yankee Stadium , Broadway Theatre District , Statue Liberty , etc . nice / Matin restaurant downstairs good sufficient choice restaurant nearby , plus handy 24 - hour drug store across street . negative comment would make room small ( normal NYC ' m sure ) , fair amount street noise come close window ( , normal NYC hotel ) time leave train station bellhop 15 minute struggle try flag cab - reason not appear cab want take fare Lucerne , plan leave little early want take cab . would definitely stay Lucerne visit NYC , especially since situated quieter , residential neighbourhood far south Manhattan . 
 Jul 9 2006 	 good place stay 	 read review Lucerne TripAdvisor , decide book . overall hotel good minor problem ( seem occur daily basis ) stay immediately rectify friendly staff . problem include leak initial room give , tempramental tv lack hot water one morning ( seem central boiler problem ) . say problem immediately tend reporting staff courteous make lot difference . our room clean , good size quiet . room service good even early hour morning tourism desk lobby helpful ( although chair desk would not go amiss ! ) .The location hotel good get away crowd Times Square feel brave ' 1 ' subway station virtually opposite hotel . choose take taxi around work expensive tip etc . good local restaurant abundant around hotel although not chance visit Nice Matin . overall would probably stay rate comparitively good manage time . 
 Jul 8 2006 	 nice hotel upper west side 	 wife stay hotel June 30 - July 4 2006 . hotel nice , staff nice , location good . dissapointe not good view street . read almost review site point comment . consider hotel average clean . room spacious enough . stay France believe NYC room pent house . the staff nice . wife rarely require talk staff anything . independent maybe dependent may think staff could well . Breakfast Ottomanelli Brothers full service meat market cucina . store friendly atomosphere guy behind counter really take care local guy appear well ( homeless regular ) . make sure enough eat put little extra Tupperware container . can not say enough . breakfast ( two egg cheese roll ) fantastic nice sit watch people go eat breakfast . breakfast resonably price ( cost wife $ 9 eat ) fill . lunch dinner high price day save breakfast . the NiceMartin nice kinda expensive food recieve traffic noise unbearable . hotel nice plush lack great view ( downer we ) . 
 Jul 3 2006 	 nice hotel Great Location 	 family 4 stay hotel last summer . beautiful deco build nice location . short walk block subway , surround restaurant ( little italian place across street nice ) zabar around block . short walk Central Park concierge helpful show route museum . drawback room small . 4 people room end climb bed get bathroom room put 4 large piece luggage . even hotel charming location nice would not hesitate stay . 
 Jun 17 2006 	 Charming Hotel Lovely Area 	 husband two kid stay deluxe queen suite Lucerne 4 night . request receive nonsmoking room , appear room near also nonsmoke . although room across elevator look 79th St. quiet -- New York street noise not bother hardly notice air conditioning . room clean bed comfortable . plenty room 4 we make good use refrigerator microwave . hotel staff friendly helpful . location upper west side great family base explore city . Central Park short walk away area around hotel nice walk around evening . feel safe hotel neighborhood . 1 line subway block hotel lot good restaurant shop neighborhood . Zabars H & amp ; H bagel block away . overall find Lucerne pleasant , clean comfortable would not hesitate stay next time visit New York . 
 Jun 4 2006 	 ideal location clean comfortable 	 husband stay 2 night Memorial Day weekend . able book rate attend scientific meeting Columbia U make relative bargain . convenience subway bus line real plus . Central Park close , especially enjoy variety nearby restaurant delis . room quiet , large . bed comfortable everything clean smoke - odor free nonsmoking room . would stay without hesitation . 
 Jun 4 2006 	 Lucerne Location 	 stay Lucerne 10 night Mid June really impressed . decent sized room two double bed , four people could share . bed comfortable , room clean bathroom generous size include full bath . staff attentive friendly , hotel reasonably price room service menu . also 20 % discount breakfast Nice Matin restaurant next door . although relatively quiet area Upper West side , hotel close subway 79th St. red 1 line , connect directly Time Square . couple block walk Central Park , Natural History Museum Museum mile side Park . many good reataurant walk distance , & amp ; r 's great Pizza slice Haru upmarket Sushi & amp ; Sashimi . would recommend Hotel would go back chance . 
 Jun 1 2006 	 luxuy acceptable 	 main problem Lucerne request non - smoking room , get one -- 2 smoking room . room smell strongly smoke , especially bathroom . get home , suitcase clean clothe not even wear trip smell like cigarette smoke . problem seem lack maintenence . gap bathroom ceiling , thing like switch plate grout dirty , furniture little dingy . one day water shut afternoon . three people staying room ( yes , reservation department know . . . ) day give towel glass 2 people always get third set housekeeping cart never seem leave hallway . room overlook rather noisy bar Amsterdam Avenue , yell scream bar 's patron street bother we one night . never stay New York , not anything compare Lucerne , definitely would not call luxurious . postive side , staff lobby great . doorman concierge extremely helpful friendly , make disappointment . room also plenty space 3 we . 
 May 30 2006 	 Great Escape 	 Fiance spend couple night Lucerne last week May 2006 wonderful stay . we suite 12th floor offer great view . staff friendly accommodate room comfortable . also get , feel great value . pay approx $ 430 per night suite include 2 room ( tv , one even computer console ! ) , small kitchenette microwave fridge seperate bathroom . compare room stay later week Soho $ 546 pn half space kitchen . there breakfast include price get 20 % discount breakfast Nice Matin resturant adjoining Lucerne . use 1 morning although food nice , ( albeit little pricey even discount ) service much . forgot order , leave we wait table generally give impression disintereste us customer . the hotel within walk distance Central Park Museum Natural History . also short walk 79th Street subway great get around . residential district although bar resturant , not expect chaos Mid - Town Soho / tribeca . if go Lucerne , check zabar , deli corner Broadway W 80th street . great place grab breakfast people watch . , great place stay . 
 May 24 2006 	 Loved Lucerne 	 return stay week Hotel Lucerne . wonderful week ! hotel staff could well ! arrive , find shower hot water . next day , staff move we wonderful room . staff friendly accomodate , even hold umbrella rain would arrive . one doorman literally run street flag cab . service ! neighborhood great walking eat . bagel sandwich nearby deli fabulous . Breakfast Nice Martin great ! transportation easy , subway block away taxi always available . , staff fabulous say thank . make stay watch son graduate Columbia truly memorable . stay hotel New York , would highly recommend Lucerne without doubt . 
 May 23 2006 	 ideal location great staff wonderful service 	 Lucerne Hotel amazing find . location could not well . two minute walk subway line take quickly Lincoln Center , Columbus Circle , Times Square . near Central Park Museum Natural History . good , delightful Upper West Side neighborhood wide array restaurant price range choose . ( especially recommend Cafe con Leche inexpensive delicious Cuban / dominican food . ) staff hotel outstanding . one good run hotel ever encounter . would love know technique manager use motivate employee . day day observe bellman , room cleaner , concierge , front desk clerk go way way provide friendly efficient service guest . room exceptionally clean comfortable bed . expect return hotel whenever visit New York . wish know Lucerne Hotel year ago . recommend great enthusiasm . 
 May 3 2006 	 Great Hotel 	 stay Lucerne three night April first visit New York City ask quiet room get exactly . good sized double 4th floor . view non existant , not come NYC view Hotel window problem . room ready arrive early get extra view shopping time city . hotel close subway get city centre quickly easily . restaurant around Amsterdam Broadway . certainly go next time visit NYC . 
 Apr 19 2006 	 get well every Time ! 	 husband & amp ; stay Lucerne second time Valentine 's week . strand NYC blizzard experience ! strand stay Lucerne WONDERFUL ! 2nd week - long stay keep get well ! would recommend Hotel other ' ve stay ... inc . Plaza ! ! 's rating ! ! 
 Apr 6 2006 	 Loved Lucerne 	 husband stay N.Y.C . many time never child . we choose Lucerne great location wonderful review site . pleased say great choice . it walk distance Museum Natural History Central Park . hotel understate unassuming . staff professinal intrusive . room small side . the closet dresser large manage problem even 2 kid standard double room . our room bathroom clean ! ! Kudos housekeeping staff ! nice restaurant connect hotel . we breakfast receive 20 percent bill . there great restaurant litterally around corner hotel call Bettola . we wonderful gnochi light delicious mini pizza . notice many family child check out . my complaint stay room warm . we turn heat completely crack window open . my husband prefer small boutique hotel . I think almost always well large hotel Lucerne exception . 
 Apr 4 2006 	 Felt home upper west side 	 research on - line tour book , fortunatley decide stay Lucerne . book three month advance , ask basic queen bed room . since not one available , bump Junior suite price . check - in , bump yet Queen suite price . Suite ? Sweet ! everything want . want non - smoking , room probably never expose smoke kind . want quiet room , certainly , double - pan window black - out curtain . bathroom big modern , great water pressure . course room spotless feel new . bed firm comfy . lot convenient extra : iron ironing board , robe , umbrella borrow , nice sized closet , microwave , refrigerator , coffee maker , alarm , hair dryer , fancy hand soap . thing would want - perfect world - would big tv soft bathroom tissue . , complain . everyone polite helpful . location safe convenient . restaurant next door , Nice Martin ( still pronounce correctly ) , fresh food . vacation stay B & amp ; B , become picky . please Lucerne . 
 Apr 4 2006 	 Great Little Hotel 	 return 8 day New York , stay Lucerne . first trip New York find stay Lucerne perfect ! lucerne great location we need trip . easy access area , subway one block away . Times Square 5 stop away , Lincoln Centre $ 5.00 cab ride . many great restaurant within walking distance , good deli ever experience , Zabars ! reason enough stay Lucerne . make sure find way Zabars , disappointed . Queen Suite , tiny living area , seperate bedroom , good we travel two daughter . friend join we day , room King Suite , finish much nicer big , much pay . room glass wine ! staff extremely helpful always attentive . would hesitate recommend Lucerne , restaurant area ... sure try sarabeth breakfast , course Zabars picnic lunch ! happy travel 
 Mar 19 2006 	 lovely Lucerne 	 Lucerne live expectation . service brilliant . husband break coffee jug room , report within minute replace free charge . the bathroom little date small room large New York standard . lot good restaraunt area , try Manhattan diner corner 77th Broadway great breakfast love Bello Sguardo two door hotel Amsterdam . staff hotel helpful friendly exception one surly doorman . 
 Mar 8 2006 	 Good Staff Lucerne 	 Lucerne well locate . reasonably quiet NYC.Zabar 's , harry 's Shoes nice eating place within block . subway bus nearby . staff hotel oblige facility small . room really like european one . double two bed room small chair corner . Bathroom stall shower well fit good towel two people could time . fortunately alone could use one bed paper work stuff . bed comfortable . would say would three star Paris . good restaurant Nice Matin next hotel get discount breakfast . also dinner food excellent table small close together . also put meal hotel bill must pay separately . convenirnt company account . good stay would return . 
 Mar 6 2006 	 upper west side focus 	 do tourist New York choose Lincoln Center activity time , want neighborhood feel hotel rather & quot ; excitement & quot ; midtown . use site guide take queen suite quite glad . extra room ( second tv ) make stay much convenient . nearly double space . heat system sit area noisy , though bedroom one quiet . request quiet room receive ; interior upper floor room limited view , quiet , request . upper west side neighborhood enjoy . walk Lincoln Center nearby restaurant . concierge suggest Isola dine regularly right ; authentic , cozy , reservation need Wednesday night . time place NYC feel like small town feel like local . 
 Mar 5 2006 	 friendly medium sized hotel 	 stay two night Lucerne rate highly . arrive snowstorm , mid - morning , able check room immediately - first sign really helpful friendly service every one staff meet . not large international hotel service business traveller , provide excellent value . room overlook internal courtyard quiet ; reasonably sized well equipped . overall , hotel return NYC . 
 Mar 5 2006 	 Lucerne Hotel NYC - Great Value / Location / Service 	 wife , two adult child , spend week Hotel Lucerne vacation NYC Christmas 2005 . service wonderful - entire staff friendly helpful . feel like truly interested service guest make we feel much home . the hotel ' set Upper West Side make convenient several tourist must see location ( Central Park , Lincoln Center , Columbus Circle , Hudson River ) without noise crowd Midtown elsewhere Manhattan . small , moderately price restaurant everywhere within walk distance hotel . subway Times Square Downtown less 5 minute away . surround neighborhood residential feel , enhance experience hotel make access essential service ( drug store , laundromat ) convenient . the room , although small , typical NYC hotel , comfortable nicely decorate . hotel also redo guest room make even nice , although well appoint present time . we plan return trip NYC fall definitely stay Lucerne . 
 Feb 25 2006 	 Perfect refuge snowstorm 	 stay Lucerne February 13th - 15th . due arrive 12th airport close could not happen . hotel staff wonderful difficulty travel assure room would wait arrive 13th . give quiet double room two window - one face Broadway Amsterdam Avenue . front desk staff warm friendly bell staff . area front hotel clear snow walk not much trouble . 5th stay Lucerne less 2 year 's place will stay NYC . 
 Feb 22 2006 	 Lucerne hotel 	 great location , safe district load restaurant close . room fairly small exceptionally clean . Tip - not book room second floor ; noisy , near road city never sleep . request another room different floor , execute immediately problem . overall staff fine , no - one outstanding , little brusque expect . would return , yes . 
 Jan 23 2006 	 good hotel 	 stay weekend Jan.13 - 15 , 2006this hotel well keep clean . its locate good safe area , near bus train . walk distance restaurant shop . I enjoy stay complaint staff housekeeping . 
 Jan 16 2006 	 Lucern Right 	 get back New York . first trip . choose Lucern excellent review hotel . upper west side . away tourist area , cab ride subway necesssary site see . hotel safe , comfortable clean . everything great limited service hotel . pay $ 210 per night . pharmacy across street . 1 block metro Zabar 's Deli must visit . everyone New York friendly . hotel also 2 small block Center Park Museum Natural History . restraunt area also good . nice stay area good , non tourist food . enjoy ! jane 
 Jan 3 2006 	 Great Stay 	 book Lucerne reading review site not dissapointe . double queen suite room quite large . bathroom limit counter space , desk sit room use sort vanity table . work fine . room clean service great . check bag we first day , look around . room ready 3:00 . 8th floor not problem hear street noise curtain draw . think location great . ' m glad not stay Times Square area . go first night crow , immediately leave . enjoy small resturant shop Upper West Side enjoy get taste real New York Neighborhood . subway short block away use frequently . walk Central Park Natural History Museum . transit strike occur last morning visit doorman manage get cab everyone wait get city . would highly recommend hotel . 
 Jan 2 2006 	 good experience Lucerne 	 spend 5 night Lucerne & quot ; junior suite & quot ; pleased . junior suite small 2 room loveseat chair one , bed . be somewhat plain comfortable , clearn , ( away street ) quiet . staff friendly helpful . also eat three time ( dinner , breakfast twice ) associate restaurant Nice Matin find average ( service bit inconsistent ) . Upper West Side neighborhood pleasant ( ' m big stay mid - town ) . price mid- $ 200s ( except New Year 's Eve day ) , good get value NYC . 
 Jan 1 2006 	 long value 	 stay December 26 - 28 , 2005 . modest hotel upper west side , rate $ 330 time 3 people & quot ; suite & quot ; come close well hotel mid - town . staff great usual , room large NYC standard . old HVAC system , work whim , sour stay room temp alternately go cold hot . the ajoining resturant , Lucerne provide 20 % breakfast discount , still suffer poor service . Marybeth 's , one block away , far superior . 
 Dec 11 2005 	 Nice hotel . great staff . 	 great hotel . big room NYC . queen suite , 2 room plus bathroom . hotel staff great . even print plane boarding pass would not wait airport . good feature hotel concierge , Gunther , point we great restaurant place see . stay Upper West Side nice , be really close Central Park hotel block subway , get anywhere . would definitely stay . 
 Dec 4 2005 	 great perfectly acceptable 	 easy decide whether right hotel , traveler answer no . the first issue hotel 's location , 79th Street Amsterdam Avenue . Upper West Side , nice neighborhood , mixture apartment building , restaurant , little shop , , be probably convenient base operation tourist . business family area , location ideal ; otherwise , be probably go waste valuable time get back forth stay here . the second issue room : clean small . much room luggage , bathroom especially tight . ( think would help instal shelf counter bathroom people set toiletry ; end balance thing towel rack . ) staff quite polite . fellow vacuuming hall 11:30 P.M. , stopped soon ask . turn gum account check - out , eventually straighten everything , not think purpose . there bustle restaurant downstairs ( call Nice Matin ) , try it . if get room good price , discover someone put , be fine : be clean everything work . probably traveler ' first choice New York City . 
 Nov 24 2005 	 great hotel beautiful helpful staff 	 husband stay Lucerne New York November . upon check , say give we remodel room . beautiful extremely clean . bed comfortable . issue street noise pretty loud - leave a / c heater fan , act white noise good job filtering noise . 3rd floor . go back hotel next time NYC . 
 Nov 22 2005 	 small comfortable 	 stay Lucerne one night , business . clean hotel , bed comfortable , bathroom nice fantastic water pressure shower , nice lobby , good restaurant , polite bell staff . Gilchrist & amp ; Soames product bathroom ( love ) room actually smell nice ! however , group find room well other price . compare , double west side building little big quieter room window face north , corridor elevator . ( 4 room compare , not know 's true floor , be worth know room small - like , barely walk tv bed ! ) know someone stay frequently , request specific room number . Lucerne well name ; way feel like european hotel american one . 's minibar Zabar 's neighborhood grocery store right around corner 80th . 's convenient Central Park long walk Times Square , 's subway stop corner . oh , Nintendo GameCube game room ... uh ... kid . 
 Nov 21 2005 	 good hotel stay 	 Stayed Lucerne 3 night November . although expensive side , could fault standard service helpfulness staff . professional , obviously well train extremely welcoming . make feel really value guest . room absolutely fantastic great view neighbourhood Hudson River . also clean . locality safe much quieter midtown . 's also residential area give real american flavour ! one thing stand arrival back quite late , doorman politely check name list security reason , well think idea . could not routinely afford stay say 's good hotel ' ve ever stay real bonus first trip US . 
 Nov 19 2005 	 Excellent ! ! ! 	 stay Lucerne ( Nov. 18th 2005 ) Friday Night . first John desk say room would ready around 1 pm . not get 2 pm like John say worth wait . room 317 remodel beautiful . king suite . hotel great & quot ; safe & quot ; neighborhood , walk distance bagel shop , Zabar 's great cheese , pasta , bread etc . comdey club 2 block away , drug store , & amp ; liquer store across street . restaurant hotel also good . drive right westside highway exit 79th street . also short cab ride & quot ; Carmine 's Italain Restaurant 91st broadway . ( $ 5.00 ) could take cab Rockefellar Center $ 10.00 & quot ; Met & quot ; Opera also short ride . highly recommend hotel ! ! dave 
 Nov 18 2005 	 Mediocre standard 	 go business trip New York November 14 - 15 , thought would give Lucerne try rate , compare mid - town hotel normally stay , 30 % less review positive . location fine one know New York still beat track somewhat within easy walk distance great sight . however great neighbourhood lot shop restaurant . arrive optimistically hope would find New York counterpart Knightsbridge Green Hotel stay London . TA review comparable room rate . regrettably say find Lucerne disappointingly mediocre certainly inferior kg . admittedly , nice show upon arrival willing doorperson check - in clerk much . room basically functional absolutely nothing average . room New York small ( mouse would probably hunch back ) clean creaky floor . without light dark wall view , first not mind figure would quiet . wrong . one door not hear open close hallway . could not hear street traffic boy could hear inner hotel hall traffic . betweeen elevator seven room away mine chatter housekeeping staff 7.30am not think get nap lying morning . bathroom look fine nice amenity however one wrestle temperamental shower head could not decide scald freeze . AC / Heat unit unbearably noisy turn . bed however comfy bar window open four inchesto let air . there mini - bar coffee / tea make facility room . one say one like low one 's standard go New York New York enough enough . room $ 300.00 night plus taxis would barely acceptable anywhere else even one pay HALF amount . this bargain even New York will not rush stay . 
 Nov 9 2005 	 Best Deal satisfy 	 look NYC Hotel well hotel find sell well $ 400 due NYC Marathon Election Night Eve . find rate online $ 300 queen . good review online etc . Got Hotel upgrade KING Exec ! even ask - wow . party group also upgrade without ask . lobby clean decorate professionally fall season . room clean , carpet seem new . view 301 another hotel / wall good , view . room large NYC bathroom clean nice product . flatscreen tv unexpected treat . Bellman , Doorman uniform professional . 1 night , picky customer happy choice would return similar circumstance recommend . 
 Nov 6 2005 	 great place stay 	 choose stay follow review post tripadvisor first ever stay US . hotel staff live expectation . area great resturant shop . Central Park , Natural History museum Hudson River close . 79th Street well serve subway bus . bonus get 20 % discount breakfast Nice Matin . one tip use bus well subway , get see building also people helpful direction . 
 Nov 2 2005 	 Loved Lucerne ! ! ! 	 thank trip advisor ! ! ! little nervous head New York first time , rely Trip Advisor lodging , Lucerne disappoint . New York , October 2005 , 4 night . review accurate . extremely nice , quiet service top notch . even leave money accidentally , find still return end day . feel belonging safe . impressed room service , even arrange shoe perfect little row . room even bigger imagine . location wonderful restaurant , Nice Matin , great ! definitely stay trip back . can not imagine anything nice money . lot bang buck ! ! 
