good 	 Novotel London West prefect location travel around London , hotel good link Heathrow . access car ideal m4 close large car park site , excellent value car park London . the room spacious lovely modern décor add cosmopolitan feel hotel . surprisingly city location close main road peaceful night sleep , could hear hustle bustle rare find London . new restaurant bar area ideal business traveller leisure traveller big improvement hotel . stay number time Novotel London West must say service also wonderful would recommend hotel . 
 weekend Novotel London West 	 clean , tidy modern . friendly helpful staff . meal ridiculously expensive poor value money . would definately recomend tuna salad Shame since let hotel . 
 hammersmith good hotel 	 Hotel room nice improved shower wifi , new restaurant much nicer modern 
 Oct 27 2006 	 pleased stay 	 pleased 4 night stay Novotel . large , modern style build hotel appear good condition throughout . conveniently situate short walk Hammersmith Tube station good link central London via Piccadilly District Lines . although quite number shop in / by Tube station , hotel residential area little way either shop restaurant immediately close by . our bedroom 8th floor , almost far end lift . hotel large , actually quite long way . room slightly small side would probably expect London nevertheless adequate enough . slight complaint lack storage area luggage . well Kingsize bed , also bed settee fold either one two single bed . wife 12 year old daughter us important consideration us booking . breakfast include price three we . serve buffet format include good spread hot cold item . last two night also eat hotel evening . food good , well present decent enough value money . the hotel staff almost either french Polish . without exception provide good level service generally friendly . enjoy stay Novotel would certainly consider stay next return London . 
 Sep 19 2006 	 nice stay Novotel 	 check long flight , hard time find way entrance ( end drag suitcase long flight stair ) give non - smoking room . go back get switch smoking room , find not room internet access woman front desk tell could switch , internet access , would pay surcharge & quot ; executive room . & quot ; could not bother move point , end go sightseeing ( hotel quite convenient tube , district line ) .When get back , manager switch room one internet access without charge , think nice ... beyond , rest stay quite nice . Standard Novotel room , nice enough . problem all . Breakfast seem little price , sandwich room service quite good ! overall , not snafu checking , would rate stay much well ! 
 Sep 3 2006 	 Loved Novotel 	 girlfriend spend short weekend break . room stay spaceous clean . staff always smile go way ensure pleasant stay we . definately would go . anyone Novotel read , would like say thank pleasrable stay . 
 Aug 19 2006 	 stay Globus Tour 	 Room book GLOBUS travel . room good expect . Hammersmith Tube close . one Pub nearby enjoy & quot ; Queens Head & quot ; . give try . complaint : Exercise Room advertise site 5 pound charge . breakfast decent . would stay . 
 Aug 14 2006 	 absolutely fantastic 	 Booked hotel Superbreak.com 3 night stay bed breakfast , husband 12 year old daughter . absolutely faultless . short walk tube station . room decent size spotless , anything ask deliver promptly i.e . extra cup , milk , towel pillow . breakfast fantastic . pick fault not enough storage space clothing . would go back - definitely . 
 Aug 1 2006 	 Frequent Traveller 	 stay 1 week July 2006 Farnborough International airshow . satisfied . opinion 's good 3 - star hotel London : - room 15 sq . m. , big room 3 star London . -There airconditioner room , important outside +32 - 33 C. - Varied breakfast ( will take full english one ) fruite , hot dish , cold snack . -Very frendly staff.-Iron - desk iron room.- Underground station nearby ( 5 min . walk ) little bit far center ( get attraction use tube ) , time well accommodation less money . use travel agent stay 70 GBP per room . 
 Jul 31 2006 	 ok stopover centre London Heathrow 	 end place hotel book ( Hammersmith Express Holiday Inn ) inaccessible gas leak King Street . grateful Novotel still room available 7:30 pm . check friendly sympathetic . room spacious ( novotel family friendly place full family ) particularly appealing , stain carpet , smoky , listless decor . buffet breakfast poor overprice offer GBP15 ; service area rather surly . bright side : air conditioning work , shower great , roomservice food tasty ( fantastic procsiutto sandwich ) , sheet pure cotton . close Hammersmith tube station , easy take Piccadilly Line Heathrow . prefer much well price express holiday inn area , partly include price fantastic breakfast . 
 Jul 25 2006 	 expensive 	 stay 2 adualt + 2 child . make reservation room+sofa bed almost 200 pound night.got 11 pm , give we standart room instead ( pay 50 pound standart room ) . get back reception , lady even apologise , say probebly mistake give we corect room . , 11:30 pm , get room.it hot outside aircondition poor . call house keep twice get answer 630 room cool maximum ? ? ? ! ! ! answer expected.the service good , polite , food great . good breakfast dinner.the kid love hotel . think ' ve pay much hotel nice . 
 Apr 8 2006 	 convenient stopover hotel 	 stay April one night alternative stay Heathrow Airport hotel . Hammersmith Picadilly tube line , hotel 3 - 4 min easy walk station . respect , hotel ideal . also accessible road , right next Hammersmith flyover . I feel originally room slightly mis - sell . book internet room double , single sofa bed . turn , room give , Sofa Bed single bed . either mistake , use ' form word ' make room appear attractive actually . check carefully , perhaps phone , bedding arrangement really matter party . be relatively modern hotel room fairly generous London standard , price similarly . stay awful west - end fleapit money , gripe contextualise . there gripe , however . fairly standard Novotel stuuf many respect ( right modular plasticky bathroom ! ) . previous reviewer say Tea & amp ; coffee sachet absolutely right , can not think much else wrong . 
 Mar 25 2006 	 standard slip since last march 	 visit Novotel Hammersmith w6 Thursday 23rd March 2006 London Disability Conference . I also visit last year think venue fantastic , however year seem massively lacking term quality service offer . the main conference room extremely cold air - con high . at coffee time , table forget hot jug find waitress corridor bring we . at lunchtime never even side - plate end eat paper serviettesthe sandwich dreadful , something like mushroom dry bread , avacado cheese leach strange orangey liquid dry bread pepper dry bread . most send back uneaten , explanation food bad - although conference organiser say problem . in afternoon repeat performance hot jug 4 rear table get miss , waitress apologise brough jug in . upon leave enquiry reception dispute customer check book room someone else despite single traveller know even person be . it hardly inspire confidence fantastic look hotel past prove exactly fantastic venue . this year visit felt sadden dissappointe , travel disabled person event , year really sadden place slide go downhill past 12 months.i say staff good wait etc desk behind scene snag seem let whole place down.hope imnprove good venue please novotel raise standard . 
 Mar 13 2006 	 Terrible room . 	 stay hotel business March 06 two night . the whole room remind old static caravan ... poor quality ' 4 star ' hotel . good breakfast staff polite expect . ' ve stay many Premier Travel Inn MUCH well . 
 Jan 16 2006 	 attentive service . 	 husband stay hotel Saturday night , 1 night b / b . say staff give we first class service , include driver Hyde park Cars , take we destination . room modern decent bed . we also great view , courtesy lady desk , change room check . minor criticism room 2 teabag small tub milk . howver , go Reception quickly replenish . first time ever never take toiletry unfortunately 1 phial shampoo one shower gel - enough pair we . however , ask , sure could plenty more . the food high standard wait long serve afternoon , inspite several event go . Staff take stride . likewise breakfast time really pleasant . husband ask would like hot chocolate , without ask , really make birthday . ! hotel 4/5 minute walk Hammersmith tube station . stay long , plenty place interest , within short distance , tube , foot bus , hotel . unfortunately afternoon go tube problem , journey bus . also good transport staff assist visitor . 
 Jan 3 2006 	 dirty night away 	 book hotel Hammersmith business choose Novotel purely location , great nearby office several company . visit London pleasure though , steer well clear . the check desk poorly staff finally get check greeting cold script . room functional , though comparable one roadside ' travel tavern ' business hotel . worry though hotel 's poor standard cleanliness . reach room decide make cup tea . pick kettle , find full ... water cold , old coffee ! put suitcase stand unpack , process look . notice behind suitcase stand thick layer dirt wall ... fossilise pair someone else 's sock . much else wrong , will summarise . short room dirty , toilet flush break next morning wake 5.15 people room next door . not especially loud , wall thin , neighbour get early- ( unless foresight bring earplug ) .If really need stay central Hammersmith , consider hotel get great rate , tolerate bit grubbiness go bed late get early . 
 Nov 5 2005 	 ` ` not forget Prozac '' .... supplementary 	 well , go back Novotel West London day previous visit ( see & quot ; not forget Prozac ) revise opinion respect : plus point : * room warm colour previous one - make big difference . * dinner restaurant - absolutely excellent food , simple , carefully cook high quality ingredient , cheerfully competently serve ( 11 pm ! ) , good value . minus point : & quot ; smoking & quot ; room absolutely stank tobacco . the bar joke . walk drink counter wait line behind table service . & quot ; system & quot ; service consist ludicrous snowstorm post - its . 20 minute give up . the invitation desk room - text manager directly problem - produce standard automate response action - 's point ? 
 Oct 29 2005 	 not forget Prozac 	 place ( pay ) car park - bonus London - easy get motorway . Checkin look bit robotic - everyone identical uniform - reasonably pleasant efficient . I suspect reason place high rating room - frankly depressing . wall ceiling spray - on Artex type stuff . overall colour scheme dull , dull , dull , especially dingy pastel bathroom . remorselessly minimalist / rational furniture utterly charmless . glare drabness soon walk door tv turned switch lurid offer pay porno . hateful . soothe , cheerful sanctuary room . mattresse ok nothing slick platicky matress surface sheet - find lie bare mattress morning . yuk . pillow rubbery unyielding . Neckache beckon am.the cheap plastic bath unpleasantly narrow - not think Kate Moss could submerge one . shower ok bit hard figure out . the room wifi Orange france use BT Openzone account extra charge ... 's real plus . the foyer / restaurant area spacious cheerful guest seem prefer hang bar restaurant - wonder why . the food good , good value , proficiently cook cheerfully serve . really excellent breakfast buffet ( not know make good tea though ) .overall : french minimalism take slightly inhuman extreme , soften lot cater quality . ok one night stay get reduce rate ... hardly home home . 
 Oct 23 2005 	 Novotel fine ! 	 stay one night confererence hold hotel follow day . conference facility excellent . for huge hotel find service polite prompt . room clean modern double bed sofa bed . bathroom spotless although find design sink little strange . breakfast excellent reasonable ( London price ) £ 6.95 full english buffet plus fruit , muffin cereal etc . all good stay would stay . 
 Oct 3 2005 	 cheap luxurious 	 stay 2 night May 05 . front enterance impressive , design welcome large coach party , main reception desk one floor lift . as previous reviewer note , impressive foyer get room know novotel , well be ok actually like Novotels , room large , light clean although overall design beginning look little date now . breakfast next morning excellent attentive service wide range hot cold choice . only downside near tube station 10 minute walk away inside small shopping centre - make thing slightly confusing 
 Oct 1 2005 	 personal view 	 stay one night Bed Breakfast hotel Shortlands saturday 30 - 7 - 05.i pay airmile stay . I 4th floor right corner build good view two side . the room spacious good lighting , tv remote various foreign channel include french , german foreign one . there Playstation attach pay fee reception ready play weak link quiz game unfortunately would not work [ refunded fee ] .The bathroom spacious shower always like bath , shame . 
 Sep 3 2005 	 Great Hotel 	 pleasure stay 3 night . room pleasant , refurbish recently . breakfast decent spread selection cold and/or hot breakfast . staff also friendly helpful . however , parking hotel 's carpark free guest . charge £ 1 hour . overall , enjoyable stay . 
 Aug 14 2005 	 not Understand not Higher League 	 ' ve stay twice last couple year always find excellent . get really good rate breakfast twice unlike many hotel , single room large , bright spacious . staff really helpful , even book company first viist book wrong night , sort without hassle extra cost . reception area bright food good . complaint . 
 Jul 4 2005 	 location good everything else mediocre 	 like lot reviewer , choose hotel go concert Hammersmith Apollo . location great - easy walking distance . would probably stay though . stay friend check separately . get , friend already check . front desk check , completely invalidated friend 's electronic room key . front desk people seem distracted check - in check - out , even though guest wait . air conditioning drip point spot carpet directly underneath unit soak squishy time check . shower / tub floor elevate several inch bathroom floor , high tub wall , nothing show wall inside hang onto . make get precarious . good side : gift shop nice , concierge helpful ( front desk even helpful pointing concierge locate ) location great purpose . whole though , worth money . 
 Jun 23 2005 	 Near Apollo 	 stay one night go gig . bad hotel . desk staff bit surly . book we girl decide fill leaflet display . room pleasant enough 8th floor . everything ok neighbour arrive 1.20 decide music exceptionally loud . tempt ask move hubby already snore head . Betwen noise noise much quieter open window listen noise street . eventually fall asleep glad get home quiet night kip . would stay would complain next time . 
 Mar 13 2005 	 fantastic hotel 	 agree previous reviewer - hotel excellent show Hammersmith Apollo . be get fantastic shop lobby ( sell newspaper , sweet etc ) , restaurant bar . plus be also internet access think cheap 5 pound 30 min .. fine need . room spacious -I stay two night twin room witha friend . one double bed sofa bed . one downside bathroom door not lock properly , one bad point . breakfast great also complimentary newspaper guest every day . ' ve stay much bad hotel Hammersmith , lot money ! also great rate internet . definately return hotel future london trip ! 
 Feb 3 2005 	 average aspect 	 stay Novotel Hammersmith July 2004 husband . pick hotel rate . the hotel average aspect ; breakfast , service , cleaning , etc . say furniture room look cosy , would like spend week hotel ... 
 Jan 26 2005 	 Perfect be go Hammersmith Apollo ! 	 not fool previous 2 star review - hotel fine . boyfriend stay 2 night last weekend going see awesome Velvet Revolver nearby Hammersmith Apollo . venue 5 min walk hotel tube- perfect ! much conference hotel feel like guest without nametag , room spacious , shower great ( strong water pressure ) , staff courteous breakfast , regardless previous picky reviewer say , fine . not Ritz , place lie head night London , 's good value money ! ! recommend ! ! 
 Jan 20 2005 	 nice stay . 	 stay Novotel West hotel , Hammersmith 2 night April 2003 . hotel typical Novotel , big room amenity . location great want visit London 's attraction tube station block away arrive London Heathrow 's pretty easy use tube . front desk alright although bit cold pleasant deal . 
 Jan 14 2005 	 great tourist 	 wife stay Novotel Hammersmith 2003 first trip London . extremely convenient due proximity Underground . staff attentive concierge helpful assisting solve travel arrangement . hotel dining room clean . pub bright staff lot fun . would definietly stay . 
 Dec 2 2004 	 first 	 hotel good location Apollo Theatre nothing else recommend . outside building drab room even bad . stay nice student accomodation . foyer reasonably present part hotel . even find lift incredibly slow . previous review state room clean . . find hair bath well stain towel ! late book sure similar money Hilton nearby Holiday Inn would far superior . Hilton even early book internet discount would first choice next time . 
 Dec 1 2004 	 good 	 stay month find review accurate . staff friendly helpful , many lack full english language skill pain , usually enough staff around find help . when arrive hotel lobby , ground floor one level , might mislead think room nice .... butonce room will realize Novotel . mean standard room , bed problem . group many people bed desparate need throw replace . very nice buffet breakfast good area . 
 Nov 29 2004 	 barely 3 star ... 	 recently stay Novotel less impressed accomodation service . room shabby ( group several different room book similarly undesireable ) , bed hardly comfortable staff far helpful . agree previous poster breakfast ... disgusting ! top , phone technical difficulty never take care use pay phone lobby . 
 Nov 26 2004 	 Typical Conference Hotel 	 stay 2 night past week take London sight . hotel large middle business district not much charm inside . hotel connect conference facility obviously see great deal business traveler . service minimal good . stay 2 child night ask bed make . addition , mini bar nothing , iron yellow goop bottom ruin husband 's silk shirt safe not work . classify 4 star hotel would say worthy 3 star classification . breakfast buffet probably bad entire trip coffee hot , egg sit long rest item seem come box can ! business conference facility convenient . tourist would recommend look elsewhere . 
 Nov 9 2004 	 mediocre 
 Oct 22 2004 	 good location Apollo Theatre 
 Oct 21 2004 	 Good Value 
 Sep 16 2004 	 good hotel 
 Jun 23 2004 	 need refurbishment 
 Feb 25 2004 	 happy enough 
 Feb 18 2004 	 good quality 
 Feb 7 2004 	 Loved Novotel London West Hammersmith 
 Jan 5 2004 	 great stay 
 May 22 2003 	 Loved Novotel London West Hammersmith 
 May 22 2003 	 Unbedingt nach modernisierten Zimmern fragen 
 May 22 2003 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 13 2009 	 Une grosse usine très mal entretenue 
 Nov 2 2009 	 Desinteresada atención al cliente 
 Oct 30 2009 	 bon rapport qualité prix 
 Oct 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 30 2009 	 Bon confort 
 Sep 3 2009 	 Gutes Hotel für Städtereise ausgezeichneter und ruhiger ( ! ) lage 
 Aug 27 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Jul 29 2009 	 per Londra non malissimo 
 Jul 15 2009 	 Décevant 
 Jul 1 2009 	 éviter de toute urgence 
 Mar 24 2009 	 ? ? ? ? ? ? 
 Feb 16 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 4 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 19 2008 	 Hôtel conforme à la chaîne Novotel 
 Nov 9 2008 	 estancia normal en este hotel . 
 Oct 22 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 19 2008 	 ? ? ? ? ? ? ? ? 
 Aug 7 2008 	 Wunderbar 
 May 21 2008 	 Buen Hotel 
 Apr 10 2008 	 une honte 
 Feb 25 2008 	 Bon hotel mais un peu loin du centre ville 
 Jan 26 2008 	 Et le service ? 
 Jan 25 2008 	 Pas terrible 
 Dec 10 2007 	 Trato agradable 
