Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 Jun 26 2007 	 okay perfect description 	 stay two business colleague . New York book solid due convention , could either stay Beekman $ 395 someplace else $ 800 . responsible thing stay Beekman night . the staff friendly initial arrival , confusion room . clearly good reservation system will find large chain . give we one room , promise 2 later . return , try get 2 we share room . needless say , let know acceptable , back give we two room . smart part try put 2 business people room . the room clean , decent sized NY standard . bed comfortable , passable night . big flaw room air conditioning unit . either not work well noisy room . none we get good night sleep . at checkout , confusion payment room get sort properly . overall , probably still worth save company $ 1,500 , place would seek . 
 Jun 24 2007 	 good stay 	 stay Beekman february five night one bedroom suite reasonable price . the suite big ( size small apartment ) spotless clean . kitchen fully equip , room second tv , ... staff friendly helpful . location good tourist business . absolutely recommend Beekman . 
 Jun 23 2007 	 surprisingly good Manhattan 	 wife stay Beekman Tower studio suite queen bed kitchenette , 16th floor ( suite B ) four night , start Saturday , April 14 , 2007 . cost ( AAA discount rate ) per night $ 207 , 189 , 225 , 207 , chronologically , come 828 plus 132.79 taxis ( total 960.79 ) . surprisingly good place stay , consider Manhattan lodge normally offer price . the location hotel reasonably good ( centrally locate north south , though central east west ) , nearest subway station 10 minute walk away ( 53 St. & amp ; 3 Ave . ) . area relatively less bustling , feel safe , fine restaurant choice within minute ' walk . build lovely , 26 story , Art Deco tower , bar top floor offer wonderful view . note , though , buy drink strongly discourage partaking view , private party often render bar / observatory unavailable general public , two , tiny drink leave one feeling light - wallete $ 20 . three elevator small lobby yield wait time minute . staff encounter visit knowledgeable , competent , rather friendly courteous ( big city standard ) . although , discover go check could complimentary newspaper deliver suite day , someone mention could request it . the good - sized suite ( roughly 16 x 16 foot ) , live room / bedroom area tv , coffee table , sofa , two night - stand queen bed , clock / radio , large dresser , two window could open - though difficulty , roughly 3 x 3 foot closet safe operate key . bathroom modest size ( roughly 5 x 8 foot ) , almost counter space one large cabinet sink , tub shower full - flow shower head , typical U.S. midlevel hotel towel & amp ; toiletry , include body gel , lotion , soap , hair drier , ( pleasant surprise ) condition shampoo regular shampoo . kitchenette ( roughly 7 x 8 foot ) include small microwave , small fridge , utensil , plate , etc . , counter two stool , sink , range . amenity suite function properly time stay . fine view East River U.N. hear sound neighboring suite almost street noise . the negative comment wish pass computer available check print boarding pass heat room almost uncontrollable within suite ( warm ) . either look air - conditioning , could find , work ( recall ) . keep window open . 
 Jun 23 2007 	 even give free would never stay 	 picture internet actually really hotel room . request one bed room high floor suite room , room give 9th floor 26st floor , bathroom small ( many hotel , never see small ) . service good , . make unhappy angry , request 3 person room , one queen size bed one sofa bed , actually give 2 person bedroom . tell set sofa bed first night , , forget , even requert sofa bed , STILL try forget . service really respect care custome . really bad experience , even give one change free stay . sorry , would give change . 
 Jun 15 2007 	 could well 	 hotel room roomy upkeep lacking . room airconditione sufficient cool room summer hair dryer room ( feature expect american hotel ) .The roof top bar nice , worth visit . 
 May 26 2007 	 start awful improve later 	 stay hotel mid April 6 night . at begin give smoking room incredibly stinky barely could breathe . also freeze though window close noisy ( car , truck ) , dirty towel hair toilet . it also pretty small ( tv inside closet open door block entrance bathroom ) complain reception say sell can not anything night , try move we another room next day . in meantime , housekeeping lady come , replace 1 towel ( ! ) spray spray smoking help 10 min . since impossible stay room , spend half night walk street sit lobby , complain every reception shift horrible experience . the next day manager come indeed move we non smoking , clean , quiet big room much nice view stay room rest trip . the stay room much well , minus always housekeeping bring new soap / shampoo though one room . luckily , also bring soap shampoo ... overall , room old rug woren toilet seat also seem like need replace . the location hotel ok great - 1 min . walk UN , be around 49 th 1st Ave mean 15 min . walk 5 th ave , 10 min walk metro . 
 May 20 2007 	 Loved Beekman 	 lovely one - bedroom suite , come tidy little kitchen . would comfortable staying month ! great exercise room , staff extremly accomodate . ton good place eat closeby , still away tourist trap mid - town . short walk Grand Central , UN , Waldorf , Saks , many site . can not wait go back . 
 may 5 2007 	 spacious clean 	 husband take short weekend getaway NYC , find great deal one suite Hotels.com . although 4th floor , great view city , impressed size suite . tall ceiling , three large window line one wall . lot open space living room . furnishing old , tasteful . pleasantlysurprise kitchen , not get much use two night . hotel staff friendly -- major problem . problem noise . Rooftop restaurant dessert drink nice , incredibly impressive . nice place stay , decent location . hotel 5 block 5th Avenue . 's bit walk nearest subway . 's NYC -- -you expect walk unless plan take taxi everywhere ( get quite expensive ) . negative : heater would not turn room . ... leave couple window crack open temperature fine . bed hard side -- really comfortable we . would recommend hotel suite family couple long vacation . look good deal / decent spacious place stay would place . look luxury amazing view , find well hotel stay NYC . 
 Apr 30 2007 	 good 	 wife spend pleasant long weekend Beekman Tower hotel . request quiet high floor give 24c near top build small balcony bedroom living room . suite clean well - furnish . service excellent although lobby inadequate handle traffic peak time front desk , efficient courteous , perhaps understaffed height check - in / check - out time . even , staff courteous highly professional cope situation . location pleasant immediate area seem safe & quot ; residential & quot ; , rather longish walk short taxi trip centre shopping theatre district . short , good place stay certainly recommend not need within shout distance Times Square . build interest excellent image historical reference find [ -- ] 
 Apr 27 2007 	 exremely impressed beekman tower hotel 	 arrive 19th April 5 night . deal quickly give key room 19th floor . advise hotelthat 10th wedding anniversary husband birthday , give we complimentary bottle wine fantastic view room ! room big kitchen area bathroom etc , yes , slightly date love clean , spacious cosy . end window open quite warm , however weather late 70 's 80 's anyway .We walk Time Square / mid Town around 15 min , infact walk mostly everywhere , get taxi , bus ( metro card ) Ellis Island , China Town , Tribecca , Ground Zero etc , good location . each more either breakfast United Nations cafe opposite get bagel juice ' to go ' little shop next cafe . on day leave , experience major problem shuttle service ' blue bus ' . pre pay holiday . renowne totally unreliable - learn friendly dooeman , unforyunately not bother come collect we the'traffic bad ' ! ! hour later transport , doorman quickly arrange hotel car take we . dollar leave , kindly let we dollar till payment visa - do unless emergency . we get airport safely time - warn not use shuttle , story one many . anyway , highly recommend hotel , bother fine different one go , great way - finally view cocktail bar great , really worth visit . 
 Apr 23 2007 	 Beekman Tower - Bang ! ! ! 	 arrive Beekman Tower aroun 2.00pm local time , swiftly check room . fortunate upgrade piece luck make stay little bit special - give exact room would pay expect . this make review even positive believe experience stay vast majority traveller relate to . we east wing , 10 yard away main building . room fine , one large double bed , small kitchen ( possibly World 's effective toaster ) bathroom although little date clean rather pleasant . for week stay never much noise street interrupted sleep honest feel really home immediately little studio , far nicer sterile Hilton Hotel room . as diabetic , find little bagel shop 1st Avenue sell sugar free cake could describe delicious . 's really pleasant hotel , slightly old world like be cheap . can not really recommend high - stay will disappopinte : - ) . 
 Apr 9 2007 	 bad place - clean 	 bad place price - nyc damn expensive - get great deal travelzoo hotel - quiet location ( least weekend ) - walk distance ( be not mind walk ) - clean ( mold , bug ) - maybe rug little worn , price ny - live -- small function kitchenette room big moneysaver folk budget -- front desk treat we nice , even budget website reservation -- bad place price 
 Apr 8 2007 	 Nice hotel especially price 	 nice , clean hotel curteous helpful staff . room queen size bed , full bath , pretty good sized kitchen next room . little dated , clean room decent sized , especially city . neighborhood fine , could walk Rockefeller center 15 - 20 minute . bit walk metro stop ( 5 - 6 block ) , issue rain . could also easily catch taxi 1st Ave , directly front hotel . small grocery right across street , great since kitchen , large drugstore , pizza place , deli within 2 block . overall , nice stay , especially impressed nice price ( get $ 150 / night , great caliber hotel Manhattan ) . 
 Apr 8 2007 	 Great Value 	 book last minute overnight Priceline $ 139 , not hear Beekman offer accept . upgrade toa huge suite 22nd floor complete great view , outdoor patio , kitchen , dining room , 2 bathroom 3 closet ! be accustom overprice , TINY NYC hotel , welcome change . although place could use update , would rather live furnishing yesteryear pay low price day ! bed comfortable , shower pressure weak . one minor complaint : husband want use room 's Wi - Fi , call downto desk instruction , woman speak not knowwhat talk . learn Wi - Fi use cost $ 10 per day -- major ripoff . , pleased . rooftop bar great . 
 Apr 6 2007 	 good hotel ok location 	 stay Beekman end March 5 night . room stay spacious comfortable . location ok , attraction within walking distance . 
 Mar 28 2007 	 Great Value location 	 book Beekman 5 night incredible rate area Manhattan . room one bedroom suite kitchen well equipped . comfortable accommodation although little tired . the Top Tower bar / restaurant , worth visit evening 360 degree view across city . expensive drink , ! Nations Diner across 1st Avenue must breakfast . excellent choice vegetarian , load eat reasonably price . set day . the metro nearby trip field ; China Town , Little Italy Battery Park ferry Liberty Ellis Islands . also walk main shopping area . however , instead always head west , go 1 block east river . wonderful view across Queens south Brooklyn . all highly recommend . 
 Mar 22 2007 	 great hotel great price 	 husband take trip NYC celebrate birthday first wedding anniversary . find Beekman online get price $ 139 / not Travelzoo . happy hotel- book studio suite , love huge kitchen bedroom . bathroom small , terrible . everything spotlessly clean . bedspread curtain bit date , nothing ordinary . kitchen nicely stock toaster , pan , silverware , opener , dishwasher , dishsoap , towel , plate , glass wine glass . lot drawer several large closet room well . the front desk staff friendly check - in easy . check noon last day leave luggage day . take car service airport hotel evening . cost we $ 65 get JFK airport hotel , take trip nice Lexus towncar , friendly driver . recommend ask front desk car service need transport airport . problem trying find hotel first night . taxi driver do not know , do not cross - street . probably go past 3 time find . sign hotel small . take cros - street , address ! 's great location sightseeing . 2 block UN , little thing , subway far away . lot walking feel good location see everything . lot store food nearby , well fed . definitely stay chance ! 
 Mar 14 2007 	 well expect 	 return week stay hotel . everything excellent , large room , five window studio apartment ! extremely quiet , overlook garden side part hotel . one room corridor everything silent apart gurgle heater room warm switching remedie . clean , fresh , fluffy towel every day , fresh stock toiletrie tea coffee provide daily . full size gas cooker good size fridge freezer . handy deli , Nations cafe ( good cheap breakfast ) open six late , wine liquor store frequent bus almost everywhere . would certainly book go . 
 Mar 13 2007 	 Superb Value 	 get great deal hotel Travelzoo offer please see room huge actually rather nice . location ok , 15 minute walk Grand Central Station 7 minute walk nearer subway . bar top hotel good nightcap one night , stunning night time view Roosevelt Island etc . defintely recommend . 
 Mar 9 2007 	 Great Place stay 	 husband & amp ; stay Beekman Feb 27th four night . initially disappointed fact stay ' annexe ' main hotel , ( building , different entrance door ) pleasantly surprise , one bedroomed suite excellent , spacious , good size living room , small adequate kitchen , good size bedroom well stock bathroom . spotlessly clean , maid service every day , fresh towel linen daily . yes , 10 - 15 minute walk 5th avenue , return hectic day , relief get back quiet neighbourhood - remove hustle bustle city centre . Views Top Tower spectacular - even bar extremely expensive ! moment walk hotel door , staff friendly extremely helpful . would DEFINITELY stay - though notice rate soar since book . well do Beekman . 
 Mar 4 2007 	 Superb value money 	 partner stay Beekman 6 day January 2007 first trip NYC . hotel accommodation city come cheap find hotel offer one bedroom apartment 5 night £ 400 could not say . 's true interior not design Philippe Starck , , 's Times Square ; hotel offer space , value money decent location . room fifth floor view another building back garden neighbour . room good size sofa , table chair , well equip kitchen living room along bedroom en - suite . not think decor date , look like number Marriott 's ' ve stay , warm , floral colour , nothing offensive . reviewer mention , Top Tower good spot cocktail two , not eat see food look pretty run mill price charge . location - wise bit walk heart Manhatten , walk Times Square 20 minute . would recommend get travel pass use public transport . week 's ticket $ 26 give we access bus underground . 's bus stop directly opposite hotel take straight across Manhatten , easy ! finally certainly look like Beekman 's low rate discover many hotel fully book night . however hotel never feel frantic appreciated come back peace quiet 1st Avenue excitement day NYC . 
 Feb 26 2007 	 good hotel soso location 	 fine hotel , room facility good could use remodeling . Old Microwave , old stove . room clean nice space choose one bedroom unit . disappointing issue : 1 bedroom floorplan indicate main room living room sofa bed would share bathroom would stay room . actually bathroom inside main room , third friend come , would go room time need use bathroom . hotel 3 oclock check time policy . full , wait untill 3 oclock check . bit odd check 12:00 check 3 pm ...... location , 3 avenue nearest subway , mind aveue New York large mean lot walk get nearest subway . friendly staff . nice bathroom shampoos soap provide . 
 Feb 13 2007 	 Pleasant stay Beekman 	 return lovely 5 night stay Beekman Tower . ( negative first sorry ! ) thing not get good start check however . unfortunately - although request high floor booking agency ( lastminute.com ) , email hotel separately request , give cold room low floor possible - floor 2 ! suite nice , terrible view ( brick wall one side , 1st Avenue frost smeared window ) bathroom bedroom cold - even heater . report disappointment reception , advise could anything next day . sure enough , return next day find move new suite - 17th floor city view ! happy grateful new room , way reception staff handle situation . location hotel fine . previous visit NYC , stay midtown ( Waldorf Astoria , Roger Smith , Carlton ) , - although Beekman little way - bad . nearest subway station - 51st Lexington - far ( 5 minute walk - depend fast ! ) . pain be tired cold drunk ... get taxi ( ) ! diner grocery store across road , McDonalds ( ! ) starbuck couple block away . United Nations build bout 2 - 3 minute walk away . be 2 - 3 block away midtown , everything be . the view & quot ; Top Tower & quot ; restaurant great . not eat , drink / cocktail one evening , relax enjoyable . get room service one night ( Top Tower restaurant ) food nice . staff - include doorman , cleaner waiter - professional pleasant throughout visit . I never get time use gym ( ! ) facility hotel , comment . room / suite spacious , clean nicely decorate . nice big ' living room ' complete sofa , coffee table dining table , plus nice size tv . bedroom good size comfortable large bed ( tv ) , nice clean ensuite bathroom . 2 good size wardrobe - one bedroom one ' hall ' - plus iron ironing board also supply . kitchen equip fridge freezer , microwave , coffee machine coffee , sufficient cutlery , plate , etc . although Beekman describe & quot ; business hotel & quot ; , think would suitable type traveller ( although probably good family young child - though suite size could plus point family ) . overall , would recommend Beekman Tower large room , friendly / helpful staff amazing Top Tower view - ' out - of mid - town ' location may issue traveller . 
 Feb 4 2007 	 Nice stay Beekman 	 return 2 - night stay Beekman Tower teenage daughter . rate fantastic even though location block everything , definetly worth . ( book king - bed studio suite Affinia site $ 102 / night . ) take advantage close proximity UN go ona tour Friday afternoon . pick - up snack convienience store across street kitchenette store ice cream juice . room bite old - fashioned , clean . first , think bed would not comfortable , sleep well . would recommend double king bed twin bed ! water pressure shower powerful . would stay , try another well - price Affinia property . 
 Jan 13 2007 	 enjoy Beekman 	 great location . walk distance anywhere . nice staff . 
 Jan 12 2007 	 lovely place stay ! 	 stay two adult daughter absolutely love place ! long time travel arrive 9 pm greet friendly staff , polite refreshing . particuarly doorman . check swift one bedroom suite clean high standard everyday maid always leave extra smellie three we . great cafe road already mention , serve huge selection breakfast choose . ( U.N Cafe ) Top Tower cocktail lounge wonderful view city night . cocktail work six pound well worth view . waiter helpful friendly . location okay not mind walk , times square 15 - 20 min . grocery store road handy . ( also friendly ) 's little pet boutique road nice thing , gentleman own lovely chatty . suite huge spacious New York standard , plenty cupboard space walk wardrobe . kitchen great stock extra need . not hesitate stay already plan return time year . BEWARE- arrive La Guardia airport approach taxi driver ( yellow cab ) offer we whole deal whop $ 80 inc . tip claim would wait queue yellow cab long time . actually wait 10 min cost we $ 30.TIP - empire state building night virtually queue ! go 8 pm , not miss view fantastic . 
 Jan 12 2007 	 great hotel ! 	 hotel great ! book arrangement Netherlands New York city trip . we one bedroom suite really great . separate kitchen ( dishwasher ) bathroom nice . bedroom nice , bed comfortable . we room 2nd floor . could heardly hear noise outside . the staff great helpful provide us toothpaste deodorant suitcase not arrive time do . we really recommend hotel you . we breakfast Nations cafe across street , food great ! 
 Jan 6 2007 	 great value wonderful neighborhood 	 yes , room little worn around edge , else Manhattan ( one safe neighborhood city ) one bedroom suite Christmas / New Year time frame $ 270 night ? hotel sell November major renovation plan -- mean big price increase future . anyone want focus midtown upper East Side wonderful choice . customer service superb . housekeeping staff wonderful . always look Beekman Tower apartment New York ' m guest city . 
 Dec 7 2006 	 friendly staff/ great location 	 arrive Beekman Hotel quickly check hassle . doorman receptionist friendly welcoming soon room . one - bedroom suite kitchen . first impression tidy bit worn look . suite set differently see internet bathroom bedroom . bit disappointed mean 13 - year - old stepson would need walk room bathroom . also sofa bed pull block pathway main door . ' bother change stay 2 night . kitchen dishwasher , fridge / freezer , cooker hob , toaster sink . nice touch ice cube freezer ready drink ! cupboard find saucepan fry pan , plate , cup glass , chop board also leave one dishwasher tablet , wash liquid cloth . cutlery knife though maybe need ask downstairs . ' use kitchen all . the bathroom tidy clean except look like blood splatter wall mirror , slightly disappointing . range toiletry good ( also notice sign reception say could also get deodorant contact lens solution require . ) bedroom adequate size enough room one bedside cabinet . also tv cabinet closet safe inside . breakfast Nations café across road hotel . food really nice service superb – heartily recommend it . the location hotel great away main hustle / bustle easy walk Times Square Central Park . heating room bit sporadic – first night heating stay early hour , find stifle , second night quite early . we ' use hotel facility second morning go restaurant top hotel watch sunrise ( restaurant open ) 
 Nov 29 2006 	 great hotel great rate ! 	 second time new york city want steer clear toruisty part city ! ! stay raddison martinique broadway first time around nice hotel price size room little high expect new york . extensive reasearch time around book several different hotel cancel due multiple bad review . finally book beekman tower rate time # 38 300 hotle . get great rate travelzoo @ 159 night ! get first room show we okay size previous stay @ martinique room hot ask could relocate . upgrade we without hestitaition suite seperate entrance . room amaize , outdated , size cleanlyness great . housekeeping also great . never disturb always nice clean room come back . huge kitchen equip full fridge , sink , dishwasher stove . room also dine table . two room per floor great travel friend also upgrade share floor we . herd little outside noise . complain street noise , know city never sleep right ? ! ? ac work great queen suit always nice cool room come back . want stay heart attraction really place . mood walk city really soak like new yorker place . walk EVERYWHERE ! ! even walk hotel central park , tiring , great expeierience would not trade anything . walk thing subway line 4 block lexington ave connect line believe line run yankee stadium catch game . staff pleasant contact seperate entrance room do not really much contact . restaraunt top tower great view drink kinda pricey . coke like 8 buck . would recomend hotel second time around do not want environment tourist place . would also reccomend see site besides time square , eat great restaraunt tribecca call tribecca grill . awsome restaraunt , tad overprice , environment restaraunt worth price . partially own robbert denero make difference . also sport fan Mantels awsome place eat . right across central park everything yankee fan could dream ! ! also little grocery store right across street owner awsome ! ! even yell hubby cause go to carry bag ! ! lol ! great ! want really expierience like new yorker place ! ! might also add beekman rate high waldorf astoria ! ! 
 Nov 28 2006 	 would return 	 stay Beekman Thanksgiving day weekend . agree review . people nice . room clean ( think clean staff award ) ; furniture scuff outdate , suite big . one bedroom superior suite 18th floor . small , definately big . living room pull couch good size , actual bedroom queen bed small , kitchen tiny , cook not matter . location great , could still walk Rockefeller center plaza times square . restaurant top floor Beekman definately worth go least drink . love restaurant , atmosphere nice beautiful ! ! nation cafe across street great breakfast , go 4 morning row . convience / market also across street open 24 hour come handy . really like location . read hotel New York , room small tiny $ 300 + , guess beekman good size room , although ' ve stay 1 + bedroom suite would never stay regular room 2 kid . pay 279.00 night plus tax . compare hotel guess good rate . like fact allow pet stay nervous . room smell like dog , not dog bark night . see dog turn ok , problem .. would go back . 
 Nov 24 2006 	 good location decor hotel need help 	 stay one night November 2006 . enjoy close midtown short taxi ride Union Square . loved & quot ; Top Tower & quot ; - would definitely receommend go drink ( whether stay hotel ) . staff relatively friendly helpful ( little slow check ) . general , hotel fine one night , decor hotel totally beat . feel like grandmother 's house , circa 1954 . flower bedspread matching curtain , puke greek carpet , dark green furniture outdate . bed one uncomfortable one ever sleep . price hotel good , guess one night fine . would not necessarily recommend stay extend stay . couple hint - ask staff hotel high floor . 2nd floor lot street noise , especially morning . also little kitchenette , bring food / drink want . sure ask extra blanket pillow . one extra pillow one extra blanket ( hole ) closet . two pillow bed thin cover . 
 Nov 24 2006 	 Loved ! 	 husband stay Beekman Halloween holiday find pleasant.we place suite 7th floor huge spotless . grant could decoration vamp maid service excellent could not fault cleanliness room . the receptionist always friendly courteous helpfull u need advice good way see sight eat etc . the Nations Cafe across road serve fabulous breakfast - choice value money . all would definately return Beekman next time go ny . location perfect u do not want right madness city close enough walk sight . 
 Nov 15 2006 	 Quiet Oasis 	 daughter recently spend 2 night Beekman Towers . find secluded oasis midst Manhattan chaos . service impeccable , room clean comfortable . although flashy , upscale hotel , find quietly refresh classy way . would certainly reccomend facilty traveler look quiet facilty away hustle bustle city , yet still close enough convenient major attraction Manhattan . 
 Nov 15 2006 	 Love neighborhood 	 hotel old little noisy . forget . much well hotel NYC . love neighborhood . block away lot nice restaurant . fill New Yorkers . tourist . people reception helpfull friendly . guy door well . really understand make feel home . 
 Nov 13 2006 	 dissapointe 	 stay Beekman Tower Suites 5 ngiht begin November . when book agent request non - smoking room non - smoking floor , also email hotel direct request book . when arrive , check smoking room smoke floor - stank soon lift door open onto floor ! room well air middle night exhausted collapse night request change morning . the next Day man reception say would find we another room ask return day out . when ask return lunch time tell give room away pack ready move ( everything room pack apart tooth brush ) .I tell room would stay one in . after refuse accept find we non smoking room non smoking floor . the room clean comfortable lot niggly thing need fix room , old run down . loose tile kitchen floor , curtain not close , broken toilet fixture etc . the wall thin , could hear neighbour come every morning 5 am continue partying . the coffee machine room great get Kettle make tea bit trauma well , get end . we 1 meal Top Tower restaurant , view great food nice although get order . mean piano player night every night well ( proudly tell reception check ) note music night . I choose Beekman review stay would want recommend anyone pleanty well place stay city . it feel get anything do fight holiday . 
 Nov 10 2006 	 good value young famlly . 	 stay 5 night Beekman August & amp ; good experience . husband , 2 child ( age 4 & amp ; 2 ) , Mum & amp ; share one bedroom apartment ( husband & amp ; share sofabe lounge ) & amp ; find cooking facility ( breakfast & amp ; dinner mostly ) big cost - saver . enjoy beautiful dinner Top Town restaurant & amp ; service spectacular . Ahmed doorman helpful , organise car service child restraint airport transfer . decor date & amp ; bed quite uncomfortable , remarkably quiet & amp ; feel extremely safe , even night . laundry service & amp ; mini market conveniently situate across road handy small child . 
 Nov 7 2006 	 Disappointing 	 book suite Beekman use get ready wedding hotel wedding night . visit hotel booking check suite seem nice , although obviously show nice suite , book subpar room . I book Queen Suite Quikbook . upon arrival , direct entrance street - exactly expect . key not work . wedding dress flower tow , obvious wedding , room would not . John bellman quickly take care get suite main building , pleasant helpful get stuff room . the suite much small expect . also warm - AC work well . become obvious bridal party , hairdresser makeup person come sweat , especially suite crowd . open window cool place off . the day wedding 60 fairly humid . return room wedding find AC turn , heat crank high ! unbearably hot ( kill wedding night romance ! ) . staff promise we portable air conditioner never arrive . make fan . get sleep end check early . disappointing , look forward romantic morning breakfast bed . the room outdate need renovation , especially charge $ 300 night . also utensil provide kitchen - run deli get plastic knife fork . also , room service provide wine champagne - run liquor store get celebratory champagne . I ' m NYC not mind location , though may off - put residential area . M50 / M27 crosstown bus across street , connect tourist area subway stop get around town . all , disappointed Beekman . heat unbearable , not get special treatment tell wedding - bottle champagne flower would nice touch . 
 Oct 24 2006 	 Deceptive Website 	 since please one bedroom suit Beekman , book studio queen suite website one night stay . dismayed find small double bed room small hold queen sized bed . room would adequate one person , small two -- small enough difficult get bed . complain , tell queen suite may either double queen bed , clear website . room significantly overprice . 
 Oct 21 2006 	 Fantastic hotel - great value 	 stay Beekman week end September , thoroughly impressed moment arrive . book rooom lastminute £ 125 night , excellent value get . understand reviewer pay much room quite impressed beekman , little dated class big 5 * hotel , get cheap rate like , really fantastic value . having read review site , ask checking could room high floor , avoid street noise , get great view . staff unbelievably helpful , go way get high floor suite ready we , even though mean upgrade we extra cost ( book studio suite , upgrade full suite ) . would definitely recommend , view room fantastic ( see pic attach ) . suite big flat ' ve live London - really amazing , spotlessly clean , huge living room dining area , full kitchen , bedroom bathroom , load storage space - handy shopping ! decor bit date , hotel probably need refurb , consider price pay , happy . ' m sure refurbed would least twice price . we really like location , neighbourhood lovely , not feel busy touristy . lot great bar restaurant right nearby 2nd Ave , would definitely recommend Pescatore , decent italian restaurant less 5 mis away , along reviewer . 10 min walk Mid - town , less subway Lexington , handy . also , be new NYC ( ) , ask reception map , hardly ever put useful ! cocktail Top Tower resaurant , worth view ( although not really well room ! ) , bit ' cheesy ' , date . not eat though - quite pricy , many great restaurant nearby not seem worth it . all fantastic stay , really can not fault Beekman Tower - staff great , really could not enough help , price pay , far exceed anything expect . tip NYC first timer : ' top rock ' observation deck top Rockefeller Centre fantastic - much less busy Empire State Building , huge roof area top open , much space . view amazing , build ( inside & amp ; ) incredible . also , not miss Anish Kapoor Sky Mirror installation infront Rockefeller centre moment . for fellow Woody Allen fan , definitely go Elaine 's restaurant upper east side , feature manhatten various film , really great service , nice ' homely ' food , although bit disappointed see man ! also , Riverview Terrace Woody Diane Keaton watch sun come togther Manhatten block Beekman Tower , Queensboro bridge , great photo op ! shopping , can not well Century 21 ( opposite WTC site ) - amazing high end designer clothe cheap 's mind boggle . 
 Oct 13 2006 	 comfortable hotel residential neighborhood 	 return 3 night Beekman Tower . tired spend $ 300 night midtown hotels room size cell , inhabit seemingly thousand fellow traveler . hotel offer lovely respite intensity NYC , residential neighborhood , although location near UN may ideal need midtown . however 49th street , far enough uptown . cab readily available hour . little suite like apartment complete living room , couch , tv , complete galley kitchen , bedroom bath . clearly need renovation , however immaculately clean , complete high end toiletry . nice sized fitness center , staff unfailingly helpful polite . feel extremely comfortable , would return , especially stay one night . $ 250 night , great weekday value . 
 Oct 6 2006 	 good hotel good location 	 stay Beekman tower end tour holiday take we Boston thru New England onto Niagara Falls get train New York . mainly sightsee New York want reasonably price hotel convenient location . Beekman seem fit bill theory surpass expectation reality . we impress friendly helpful staff . pretty good location - convenient subway ( 10 min walk ) . 10 20 min walk many point interest - 5th Ave / Broadway / Times Square / Central Park . 1 bed suite ( include separate kitchen / longe area ) 9th floor . kitchen fridge / freezer , dishwasher , microwave . would give hotel excellent rating ( rather good ) room ' new ' feel - look slightly ' tired ' could benefit re - decoration - although fair , everything clean tidy . can not comment food hotel eat breakfast dinner - many good restaurant nearby . ' Top Tower ' cooktail bar 26th floor excellent - good view friendly staff . would defintely stay again . we book thru Skoosh ( first time try ) - everything handle well - good price room - far cheap book direct hotel . 
 Oct 3 2006 	 spacious dig NYC 	 stay Beekman tower 4 night April 2006 . walk distance many restaurant seem lot local internatioinal visitor ( be next U.N. ) area . room basically 1 bedroom apartment separate living area ( include sofa bed ) kitchen . luxurious , clean absolutely everything need - desk , coffee table , 2 tv , 2 closet . we could not get radiator work quite right , ok window open . not need call hotel help we , regulate temperature opening closing window ! nice breeze entire stay : ) hotel kind quiet area noise not issue . it not super close major attraction , central everything . Central Park one day , Yankee stadium next , nightclub Meatpacking District , play 42nd street ( Awake Sing ! excellent drama ) , shop Chinatown . next visit , will hit museum maybe Shea Stadium : ) love convenience sandwich little market across street ( could not find restuarant open late Sunday night near hotel ) , indian restaurant block away . drink bar top floor , enjoy view . we book last minute pay $ 300 / night Beekman Tower steal price $ 200 . 
 Sep 30 2006 	 Bad 	 horrible experience here- stay Affina hotel think great deal . clear update place long time . carpet dirty burn mark . room smell old like smoke . convenent subway . bad light rooms- feel like cave ! 
 Sep 27 2006 	 word -- appalling 	 spend two horrible night Beekman United Nations General Assembly , time hotel pack also choose hike nightly rate $ 409 ( tax ) . put East Wing , part build separate entrance . open door ground floor junior suite almost knock stale smell . room particularly clean . next thing strike noise . room back onto main air conditioning system , produce level noise normally hear cramp berth passenger ferry . go front desk remind have request quiet room . & quot ; one leave 1st Avenue be horrifically noisy , & quot ; admit woman behind desk smile . sleep well first night . sleep even bad second night low sheet small bed keep ride toss turn . could not even seek relief restaurant next morning although suppose open 7 , get 7.45 still shut & quot ; staff problem & quot ; . door open shortly afterwards first thing see two staff argue . staff problem right . total bill two night two mediocre breakfast $ 1,000 . never return decrepit hotel , need major renovation complete change attitude . 
 Sep 23 2006 	 go Beekman Go ! 	 trawl countless hotel review , Beekman Tower hotel appear good balance quality cost . happily report wife dissappointe . everything live expectation . pleasant good size room ny , handy little kitchen boot ! clean good condition . rooftop bar great sundowner view city . location slightly beat track , close UN building , be easy walk Lexington Ave metro station . ( 4 5 block ) .Great stay round . room low floor therefore view ( stare wall adjoining building ! ) . would suggest request room high floor will spend lot time room . 
