first 	 stay Bryant Park Hotel quick overnighter friend . room gorgeous , bathroom beyond amazing , amenity offer first class . after run around city look fun place go , end Cellar Bar mad not come early ! music great , crowd fun , staff nice funny . only downfall & quot ; late night & quot ; menu -- food obviously microwave , else expect 3 a.m. ? 
 Nov 27 2007 	 great location good room facility nearby . 	 ' m sure add much , nevertheless ... hotel great location . Bryant Park subway equi - distant Times Square & amp ; Grand Central , close excellent public transport well location 5th & amp ; 6th mean easily hail cab downtown . Bryant Park lovely hold ice - rink winter concerts/ film summer . direct vacinity also improve recent year , nice delis patisserie near hotel . good , hotel limited facility . trendy bar ( nightclub ) chic restaurant . quite well known , necessarily want/ need hotel . the room good size New York ( read standard US standard ) mod con . easily set laptop , plug i - pod , flick telly mooch around bath robe . also surprise like decor - look rather cool website think work well real life . indeed , make great ny apartment stay . the downside , think , lack basic hotel facility . real communal area . return 5 pm last day collect lugage ( check early ) tell bathroom . describe farcical conversation Front Desk , man guard lift non resident , allow visit bathroom nightclub . ( point clearly bathroom find restaurant open 5.30 , guard man say could visit till .... ) .i half hour wait car service spend sit window ledge lobby . lobby functional ( checking ) , look great , realistically , would like seat coffee . room location matter great would suggest well many boutique counterpart . facility matter , would suggest elsewhere . personal note , would recommend friend know NYC , would send Mum Pierre . 
 Nov 25 2007 	 Bryant Park Hotel -- Perfect ! 	 Bryant Park Hotel good NY hotel ' ve ever stay . bryant contemporary look feel . room bathroom large ' ve experience NYC hotel . hotel immaculate , lobby , hallway , room , bathroom ; fingerprint around doorknob / lock light - switch see . front desk staff friendly accommodating , & quot ; & quot ; kind way , sincerely , like really enjoy people job . location hotel , right 6th , across Bryant Park , perfect - close enough center thing without noisy middle , daughter feel completely safe neighborhood . drive city , get reduce parking rate garage 4 block away - close one would nice , $ 22 24 hour nice professional staff well , walk worth . room rate , vary search online - hotels.com work good we time . 
 Nov 25 2007 	 stylish hotel amazing bed bathroom ! 	 hip hotel , snooty . great location right across beautiful Bryant Park New York Public Library . 's gorgeous historic building Fifth Avenue . interior completely modern stylish . famous painting build Georgia O'Keeffe . 's call & quot ; Radiator Building Night . & quot ; love guestroom overlook Bryant Park . comfortable bed , big flat - panel tv , great sound system , ample closet space , lot window . even sound machine cover noise city . bathroom incredible : great big tub long bubblebath , separate shower invigorate water pressure , fragrant Molton Brown toiletry , thick towel , even view city brushing tooth ! 
 Nov 23 2007 	 great location that s . 	 husband jusy return four night stay Byrant hotel , choose read rave review trip advisor . the location fantastic room well lay well serviced etc . would reccomend hotel snooty attitute quite staff make uncomfortable , hotel relax one see certain age dress certain manner . 
 Nov 22 2007 	 not live hype . lack attention detail . 	 choose hotel recent long - weekend trip NYC base multitude 5 - star review numerous site , unanimously praise attentive service room amenity hotel . bright side : valet attendant bellman live expectation , main shower head heavenly , room seclude corner 16th floor fabulous view Times Square . provide noisemaker , bose alarm clock , iPod speaker device , flat - screen tv , fax machine , basic hair dryer , nice roomy safe . also provide plastic - wrap Rubbermaid mat shower reassure sanitary reason . location fantastic , subway entrance door , much close appeared map . room furnishing bit sterile appeared website , room spacious impeccably clean . disappointing : several front desk attendant give snooty vibe , person call desk . hand - hold shower head poor water pressure lot mineral deposit , make nearly useless . bed uncomfortably hard total opposite luxurious - ask mattress pad add super - thin layer sheet help much . ' entertainment planner ' keep wait hold forgot question twice , time get back info regard jazz club , become late make show . lighting bathroom inadequate , main light block makeup mirror poor design . temperature control room imprecise we wake adjust several time night . iPod would fit tight connection port speaker box , flat - screen tv misconfigure everything stretch pixelate . ( big deal not travel NYC couch potato , show lack attention detail . ) provide 4 plastic - wrap q - tip think nice touch , bother refill go . first morning , rudely awake loud noise walkie - talkie right outside door - right around 7am - despite ' do disturb ' light . regard gigantic palatial bathroom ( ' killer feature ' ) , mention within last month , stay Soho Met Toronto , boast bathroom identical configuration , love look forward experience . ( look like four season one . ) however , Bryant Park 's version fact slightly inferior copy - heat floor , much poor lighting , non - functional hand - hold showerhead , clumsily - place sink faucet , plain tub faucet instead hand - hold . definite disappointment despite acknowledge enormous dimension midtown Manhattan . sometimes 's size though . so , recap : snooty / inefficient service , lack attention detail , disappointment everywhere . would recommend ? reluctantly due great location spaciousness - not expect anything mindblowe money okay . 
 Nov 14 2007 	 Perfect weekend perfect hotel 	 travel agent past 30 year , always look hidden gem . location perfect . staff wonderful . ( special thank Chris - manager , Paul reservation , Loretta accounting- talk many time arrive -i feel like family ) . Justin Lloyd excellent bellman -with load information . please keep mind 2 woman travel kid - age 11 15 LOVED . past weekend little cloudy rainy taxi available . able walk ( subway ) everywhere . ( subway station three door ) .Three year ago stay Plaza think great location -- beat far . Bryant Park charming right across street . PAX -great deli food- street . room spacious , neat clean . special thanks & quot ; hidden & quot ; maid room 1502.try Da Nico 's Little Italy great food affordable price . take subway train F SOHO enjoy new shopping experience . little Italy great Chinatown purse overwhelm bargain . purse great anymore look fake -- paste those . do not take word -- next time planning trip NYC -try great little hotel . ( big lobby -- stay hotel lobby Manhattan . ) Bryant Park Hotel -- -- see 2008 ! ! ! 
 Nov 3 2007 	 Bryant Park Hotel Sublime Contemporary Style 	 one place stay visit Manhattan New York , Bryant Park Hotel situate next New York Public Library , 5th Avenue chill well think park space equal good city world , Bryant Park . hotel house 1924 American Radiator building coat black volcanic colour wall hair gold trimming gothic style rooftopThe Bryant Park Hotel operation come action moment reach entrance , helpful staff take luggage welcome establishment . upon entry , enter small lobby , design sophisticated knowledge interior design contrast dark wall red furnishing , compliment extremely well . reception desk staff , dress black smart uniform greet welcome smile guidance upon check in . to go designate room , walk dimly light walkway LCD tv screen show late fashion show fashion magazine neatly lay flip . enter darkly light music accompany background music elevator , intensify mystery expect reach room . stay junior suite let tell , identify hotel boutique , term space room compare well large traditional hotel room ever likely visit . however , far comparison go , interior bright , airy hardwood flooring , quality minimalist practical comfortable furnishing , sumptuous bed bed make high quality material , large LCD tv Bosse CD player . bathroom lot lighting , marble , large mirror , lot counter space , walk glass door shower lot towel various type use forget complimentary bath robe slipper . the Bryant Park Hotel facility also include world - renowne fashionable Koi restaurant sushi fusion asian cooking , elevated experience term taste bud also late designer outfit compliment decor ambiance . also Cellar Bar dark cavernous space , upmarket club , maintain attractive staff serve great cocktail supply fusion music rock rnb Hip Hop classic pop . this hotel design masse , truly sophisticate fashionable artistic elitist among we know sublime contemporary style come upon , Bryant Park Hotel . 
 Nov 1 2007 	 fab hotel - great location 	 hotel good small park manhatten mid town right need explore city . hotel individual really cool feel , clutter , room simply fit stylish . great bed , cotton , bathroom huge bath power shower . junior suite , good lounge area , plasmas wi fi stuff expect - ! staff discreet helpful , cellar bar great , book privately quite often . Hilton , Marriot , bed box fan give miss . 
 Oct 25 2007 	 Amazing Location - Funky Hotel - Great experience 	 great stay Bryant Park Hotel . we New York 4 day , want place central possible - really could not do much well ! probably gather website - Bryant Park Hotel trendy , red - light lift , funky music Lobby , doorman look like bouncer ( though pleasant ) lot subdue lighting . 's thing - would think carefully book . be even & quot ; late - night party menu & quot ; sushi White - Castle ( amongst other ) guarantee appeal hardcore party animal . ' m pleased say however not mean hotel noisy night . the staff great , though 1 2 Concierges meet particularly helpful / knowledgeable . however front desk staff make , help we online airline check - in , print boarding pass , look luggage have check , let we use fitness centre bathroom freshen flight ( 9 pm have spend day checking morning ) generally helpful . also be two room service day , many big - city hotel day . even third service request one day nice . room great - modern LCD TV 's gorgeous , well equip bathroom . minor niggle free internet access , hotel charge US $ 10 / day service . 's outdate guy ! also - breakfast pretty pricey , would recommend amazing patisserie 3 door away ( front hotel go leave ) excellent pastry & amp ; coffee . location wise - brilliant , corner 5th Ave & amp ; 40 - 42nd St , walk Times Square 5 minute , Rockefeller Centre 10 , Grand Central 10 , Macy 's & amp ; Saks 10 . plus be within 10 minute walk nearly every major Subway line . can not much well ! love hotel , girlfriend already say will back stay Hen weekend year time ! 
 Oct 21 2007 	 Fantastic Hotel / Service Location ! 	 stay Bryant Park week ago wish still ! NYC time , far good hotel indeed location . greet slick friendly staff check we quickly could enough help we throughout 4 day stay . we stay Deluxe room excellent , minimal top quality every way . luxurious feel bathroom Molton Brown product load space throughout . hotel extremely quiet particularly central Mid Town location , craziness outside . Hotel 's Cellar Bar great place start evening great service . in term location could not well , walk distance Mid Town sight sound , subway station 30 second away easily get around rest Manhattan , front lovely Bryant Park . overall could fault anything , excellent trip , NYC excite ever , Bryant Park Hotel simply spot , definitely go back . 
 Oct 16 2007 	 great location great hotel 	 stay three night october 07 love hotel . ( junior suite -2201 ) nice spacious ( tho bathroom need bit storage rack ) , room clean fresh light airy , staff extremely helpful courteous . use concierge rest book good job get table nobu short notice . overall highly recommend . ps : ask high floor room overlook park 
 Oct 7 2007 	 new favorite hotel NYC 	 new favorite hotel NYC . room spacious , relax quiet great view bryant park . hotel great location tourist much within walk distance . the staff always smile every service exceptional . the Koi resturant delight sushi fan . I would disapointe stay anywhere else . 
 Oct 4 2007 	 elevator like tiny bordello otherwise thumb ! 	 first foremost , order room service pancake . know , sometimes be early , be starve already late , think , & quot ; oh , bad pancake ? be like $ 99 ! least okay ! & quot ; wrong wrong wrong ! dinner service ( Koi ) zillion time well , though portion small side . the hub check toddler day Fashion Week end . staff nice whole time . let tell something though - not book room locate front hotel day Fashion Week , whenever be set up / take something park . crazy noisy . ' m use city noise , will definitely bother folk not . someone comment sound machine room seem cheesy , be reason - will drop knee weep gratitude need ! grant , fourth floor right park , action right there . I like Molton Brown bath amenity , not replace second day , bummer , 'cause hey - Molton Brown ! perhaps be shelf Molton Brown sale bathroom , conveniently enough . bathroom huge amazing : marble everything , deep tub , rainspout shower , whatever call . I find amusing hotel sell sex toy not stock room ; call someone bring stuff , seem like would awkward . scad free magazine elevator wih title hip ' ve never hear . security pretty good ; flash key order get upstairs . elevator hilarious : tiny , dark light red , club music sound like be play tin . room spacious lovely . get room level standard , feel like junior suite sit area big foyer . , staff seem genuinely pleasant always helpful nice interact . great hotel , somewhat splurge . 
 Sep 18 2007 	 favorite ny hotel 	 stay Bryant Park Hotel 10 day April special occasion stay since 5 time . favorite NYC hotel . front desk personnel handsome man open door take luggage sweet accomodate housekeeper incredibly helpful professional . room chic modern include nice little extra like privacy button right next bed choice fall asleep sound ocean wave soft rainfall . room beautuful view Bryant Park . bathroom large sleek rainshower head , deep tub wonderful Molton Brown bath product . bathrobe soft LIGHTEST hotel bathrobe ' ve ever wear . know wear hotel bathrobe 's heavy uncomfortable would rather wear nothing ? robe want buy . wonderful japanese restaurant classy night club right premise . love hotel location , look feel , mostly wonderful , happy professional staff every department ! 
 Sep 14 2007 	 Book hotel today . 	 year stay many lovely hotel Manhattan feel little jaded . yet , mention Bryant Park Hotel feel giddy excitement . hotel new love . hotel absolutely perfect . staff , service , amenity , location , room , design , be perfect . Rumor Leonardo DiCaprio stay here . Hmmm . top , brilliantly redesign Bryant Park sit across street beckoning morning coffee , succumb . 
 Sep 14 2007 	 Super Weekend 	 need tell much fun stay Bryant Park . every single employee encounter nicer last . many time stay NYC , perhaps enjoyable . would hard give name good employee , nice - doorman people registration concierge . would love return . K L 
 Sep 12 2007 	 Fantastic Stay great Location Money ! ! 	 can not say enough staff hotel . really make feel welcome extremely attentive . , room spacious large bathroom . rare New York City standard m.o seem small , small small . room Ipod docking station , flat screen t.v comfortable bed . price , can not beat would absolutely stay . block Broadway Times Square property tuck away side street quiet peaceful . ' ve stay trendy spot Hudson staff definitely sport attitude . find . hide gem definitely return bryant next trip New York . 
 Sep 6 2007 	 Loved ! 	 spend 3 night end July . everything place awesome . room - modern , great bathtub plasma screen tvthe staff - friendly helpful , timesthe location - across bryant park , really nice , right near subwayI really complaint , would definitely stay heartbeat ! 
 Sep 2 2007 	 Heart Bryant Park 	 yes spend many hour search good hotel deal ny , first time . worried right area especially female travel alone . arrive BP late Thursday night ( come London ) pre arrange massage room . Fab ! go straight sleep mean awake nice early able go across park see John Legend play summer park show . great atmosphere . hotel room definately big enough ( standard room ) bed amazingly comfortable . do not hear noise bar ( worry arrive ) . everything need , staff extremely helpful friendly . could book 4 night 5 stay Casablanca , also great kind wish could stay BP whole time , probably well single 30 yo woman , hotel well family / couple . also love pax food shop corner , great get breakfast go sit park ! great experience hotel would love stay . way , pay $ 295 pl tax per night time year good enough compare 4/5 star hotel . 
 Aug 30 2007 	 Perfect location great value 	 although ' m familiar New York price , hotel seem reasonable 4 * midtown Manhattan : pay approx GBP125 ( USD240 ) per room per night ' Superior ' room ( book package via Expedia ) . sure be always competitive seem base review . price get great location : obviously midtown Manhattan convenient ( Villages Soho South , Central Park North , Broadway theatre Madisson / Park Avenue shop doorstep etc ) hotel 's big advantage Bryant Park , one New York 's fine . well manicure , cultured calm , largely due spillover city 's beautiful public library occupy eastern end - 's great retreat time day . Apart benefit location , hotel also lot style : historic skyscraper ( Art Deco ) paint black gold highlight ; hip young crowd cellar bar ( maybe young ? ) ; attentive friendly staff . room great partly get lucky - window open onto terrace area table chair ( floor , 14th ) . room ' Superior ' category ( low ) good enough size ( may feel small without terrace ) amenity would expect modern 4 * : flatscreen tv , luxury toiletry ( Molton Brown ) , bathrobe , minibar ice bucket etc . , rate hotel highly . staff great - responsive request almost always friendly ( be special New York ! ) . great midtown location charming park immediately opposite ( reduce noise level , also special New York ) . , room rate represent great value . 
 Aug 25 2007 	 Favorite Manhattan Hotel ! ! ! ! 	 visit New York City least year wish know hotel soon ! hotel stay Waldorf Towers , St. Regis , Marriott Marquis , Ritz - Carlton Central Park . hotel top ! love location - right center Midtown , LOVE LOVE LOVE Bryant Park across street . entire park wireless internet , four refreshment kiosk serve breakfast , many lunch snack selection include delicious hot pastrami rye signature salad soup , smoothie , many coffee selection , etc , etc , old fashioned merry - go - round , four acre beautiful shady landscape park complete spray fountain plenty table chair everyone find seat somewhere peaceful oasis center noise , bustle madness Manhattan . since hotel across street share peaceful feeling - approach door hotel ( always attend fun friendly doorman go way helpful make feel welcome -and always remember name ) immediately begin feel calm effect shady green park provide lucky street Midtown . like find special escape every time return hotel . now room - WOW - junior suite , huge , gorgeous decor hardwood floor , floor ceiling window ( ceiling 12 foot high least ) huge huge huge terrace , bathroom unbelievably huge shower big enough two people , tub might big enough three people ! wonderful Molten Brown toiletry , fabulous bed pillow - amazing room . could go . location , room , service attention detail make hotel exceptional value - highly recommend ! oh , dark elevator techno music cool trendy touch ! enjoy wonderful gem ! 
 Aug 23 2007 	 Fantastic hotel service 	 stay Bryant Park week tourist think one good hotel ' ve ever stay . staff incredibly helpful welcoming , front room spacious phenomenal view Bryant Park location perfect visit Manhattan . the nice touch really make stay , luxurious bath shower incredibly helpful concierge / entertainment planner ( thank Marco ! ) recommend genuinely great place go every day . the thing not like internet room - in - build browser bit old check email use kiosk couple door down . I doubt feel hotel would suit - feel like trendy bar - young couple stay NYC first time perfect next time ' m New York ( business pleasure ) will definitely stay . 
 Aug 21 2007 	 Trendy hotel 	 great location , beautiful interior . stay twice tourist NY June 07 NY business not think set business traveler . call 6 a.m ask iron left room 7 iron yet . internet conncetion bad one help . could not check email 2 day . tourist first time love , everything great . 
 Aug 21 2007 	 great experience 	 customer service hotel excellent . reservation staff professional , friendly attentive detail . Entertainment Planning / Concierge also helpful take care request . room spacious , clean , high - tech , quiet . Cellar Bar great spot late night drink - hip . location hotel one good city - would definitely go back . 
 Aug 15 2007 	 wonderful ! 	 book block room Bryant Park daughter 's wedding . everyone thrill spacious room ; beautiful view Park ; high tech gadget good central location . easy walk theatre , Museum Modern Art , Fifth Ave . shopping . thank kind concierge staff put wedding frenziness . know guest return Bryant Park future New York visit . 
 Aug 6 2007 	 definitely worth money ! ! 	 stay many hotel , give one high rating . end busy day New York City , look forward return hotel . trendy calming , peaceful , clean , minimalist furnish style . fun , professional doorman offer personal greeting door welcome we back . hotel comfort want - amazing hot shower , deep soak tub update electronic . bed sheet amazing ! ! highly recommend ! ! 
 Jul 31 2007 	 Great Location Midtown Trendy Spot 	 great place stay midtown Manhattan . excellent room , friendly staff , spacious room compare place . trendy modern atmosphere , fashion magazine lobby , etc . I would definitely stay future . Restaurant Koi great , Cellar Lounge hip dancing / late night drink . 
 Jul 25 2007 	 Perfection Park ! 	 Bryant Park Hotel oasis inside city . locate next beautiful Bryant Park Midtown , get great location , amenity premium brand hotel comfort ambiance boutique hotel . picky come hotel one get get top mark across board . staff friendly , courteous ball . room ( stay Junior King Suite ) beautifully appoint , extremely spacious pack great Molton & amp ; brown amenity , gorgeous towel great bathroom fixture . wood floor welcome relief typical dusty carpet get hotel . room quiet ; never hear another person either side , top , bottom , hallway . room design minimilist approach ( meaning will not find heavy , ornate furniture ) , compliment overall aesthetic perfectly . NYC hotel tricky sometimes even well know one disappointing . Bryant Park Hotel perfect anecdote anyone tired big , convention - style hotel leery small unknown boutique hotel . would highly recommend plan stay . 
 Jul 24 2007 	 Excellent Boutique Hotel 	 Hotel Hip trendy without top . excellent friendly staff . room lovely cool clean really nice bathroom ! great bar restaurant . beautiful park opposite hotel great fro coffee danish morning . central thing - you walk 5th Ave , Rockafella , broadway , times Square Grand Central Stn . definitly stay . 
 Jul 23 2007 	 good hotel New York ! 	 LOVE BRYANT PARK ! husband stay hotel weekend wedding , perfect . location - right Bryant Park view park , library , beautiful skyline - fantastic extremely convenient , staff wonderful helpful , room spectacular ( include bathroom skyline view ) - lucky book one terrace park . thank Bryant Park make wedding weekend wonderful ! 
 Jul 22 2007 	 Bryant Park Hotel – Great Location . Great New York Value ! 	 stay Bryant Park mid July 2007 two day business trip NYC . enjoy hotel much ; probably similar other review . ' give comment . locationyour two block Times Square ½ block subway . could convenient . park transform seedy place 80 ' terrific amenity . unfortunately , swayed review request room face park . big mistake , would terrific view overlook park . also , Monday night summer show movie park . Monday hotel " Sir Love " Sidney Pointier . terrific scene . roommy room nice well detailed . sure standard , $ 295 / night rate location please . enjoy sound machine room , whatever noise totally block . Slept well . Staff & amp ; AmenitiesContrary review , find staff friendly . attitude . give direction need service demand . liked much fitness center floor five without charge . New York . amenity terrific . SummaryAll enjoy hotel much . felt terrific value would definitely stay . hotel would work well business trip weekend New York experience . 
 Jul 22 2007 	 almost perfect 	 love hotel . room clean contemporary great view Bryant Park . bathroom gorgeous . perfect location . find staff friendly exception people work Cellar Bar . 's rude , really friendly either . bar start getting crowd around 11:30 - literally come take barstool we . little put . realize probably want clear bar area , stool first place ? sit nearly 2 hour . complaint noise . 4th floor overlook park around 4:30 noise unbearable . ' m even sure since not get look , sound bottle break trash truck believe . seem window open even though . be use live city , maybe would ok , get good night sleep all . if not noise bar stool thing - would give hotel excellent rating . would probably stay , ask room face street time . well worth money . 
 Jul 12 2007 	 cool clean close . 	 stay independence week teenage daughter , love . staff always smile treat like celebrity - extra tip get long way . when check , bell boy give we tour room - iPod dock , stereo , safe , sound machine , do - not - disturb - light etc . , box chocolate card hotel manager . leave room morning , maiden would clean room - would come back afternoon shopping bag rest go - come back later evening , make bed tidied room . , 's service . maybe be ' m danish , wooden floor minimalistic style make we feel home . room spacious clean - especially compare NYC hotel , ' ve stay . elevator dark ? rather , teenager like red light disco music dance every time ride elevator . hear street noise ? 's Midtown .... not much 7th floor view side , . hear Bryant Park show outdoor movie monday night ? sure , go see movie local . lobby really small , can not sit anywhere meet friend ? use trendy bar downstairs great park across street instead . oh , be free newspaper outside door every morning , bring , be breakfast park - buy fresh fruit , bagel , juice , coffee , omelet , pancake etc . several place next hotel ( besides breakfast hotel restaurant get boring day ..... mension expensive ) .The problem ..... problem occur every hotel , ever stay ...... night hawk . yes , fellow traveller ( know ) , come back room 3 o'clock night , be cool bring party room noisy waken rest floor . way , never hear noise night club cellar bar . will stay ? will not stay anywhere else ! 
 Jul 11 2007 	 amazing PLACE 	 Bryant Park Hotel good & quot ; people watch & quot ; place , atmosphere alone come back . elegant truly fantastic . staff nice terrifically helpful . could not imagine come nyc stay hotel . mention place good location city ? dissapointe & quot ; hot spot & quot ; . 
 Jul 7 2007 	 Perfect though bit trendy 	 Bryant Park Hotel ideal midtown Manhattan location , everyone friendly helpful , room clean modern . can not go wrong important point well cover . course , pay . 4th July week get call junior suite $ 359 / night . one big room ' m sure call suite , bright clean room . decor trendy minimalist . bare wall , Molton Brown toiletry , Toto toilet , safe , coffeemaker . not ask one probably would sent one , 's midtown 's coffee everywhere . discover take complimentary newspaper we , could buy coffee read paper across street Bryant Park . maybe good could not make coffee room , would nice option . we never notice problem people go bar downstairs , setup Friday morning concert ( Norah Jones ) park across street not silent , not bad . stay 3 night even though security people make sure guest could use elevator , would think might start recognize we check . course be dark ( ) elevator , maybe could not see we . anyone enjoy Rocpool Reserve Inverness would likely like hotel too . would go back ? yes , price right . be everyone would actually like warm welcome atmosphere well cold trendiness , not think ' ve stayed anywhere midtown like well . 
 Jul 6 2007 	 Hotel great shame staff 	 read mostly good review site , decide overlook review superior unhelpful attitude staff - really wish have not ! room comfortable good facility great bathroom great location . staff professional helpful , feel badly let three thing happen . we choose hotel understand web site room bathtub , back problem important we could relax walk around city . arrive allocate room without bath . ask change another room next day , pleased , tell staff would move we whilst go . return , clear staff next shift inform move partner do not passport ( although room secure credit card ) make wait 10 - 15 minute whilst security come could escort room . get room partner look passport security man say ' matter leave without see ! woman reception deal we curt unhelpful . incidentally , overheard member staff make uflattering comment another guest feel completely unprofessional ! return hotel last night decided visit cellar bar 10.30 pm . wait bar , bar woman came say ' sorry closed ' , despite fact people drink bar . leave watch another couple come serve . complain staff desk explain film Bryant Park trying stop people use toilet . feel poor excuse need ask see door key . clearly depsite dress not cool enough pretentious ' hotspot ' ! check present bill $ 300 price give reservation . point , despite copy correct bill sign arrive , woman desk argue we deny bill incorrect . change bill reluctantly phone reservation correct price confirm . take two attempt unsure . complain hotel return UK . pleased manager take trouble call we offer upgrade complimentary night 's stay future visit - 's way would go back would not reccomend hotel anyone else . 
 Jun 27 2007 	 nice stay shame noise 	 louder average pipe music reception , staff wear trendy , designer - black uniform , Braynt Park nightclub feel usual hotel . no expense seem spare fitting room , Bose sound system , iPod dock , plasma tv put way ahead hotel . shame bit money not spend bit sound proof via window . mention previous reviewer , summer attraction park opposite create bit racket . return room 10.30pm ( Monday ) greet highly audible noise outdoor , free film screen outside . fortunately , film end 10.45pm maybe wooden floor room serve heighten echo . however , noise siren , garbage truck like wake several occasion give 7 am . maybe be provide earplug room - pity not find untl leave ! room bathroom certainly big enough , high ceiling boot . Breakfast ( include ) restaurant downstairs certainly good ( cheap , though nice firm be pay ) .only 2 small elevator serve floor . get bit busy around peak time , andhad let go couple time already full . would take stair suitcase bag . overall experience hotel good one - could not fault cleanliness helpfulness staff . not think would justified cost staying though not company pay . 
 Jun 17 2007 	 great room beware Friday morning noise front 	 spend two night 11th floor junior suite Bryant Park . cheap , certainly clean , comfortable great bathroom / walk shower Molton Brown accessory . Great Bose radio cd player , well still IPOD dock speaker , also unit play soothe sound ( birdsong , wave , water , thunder ) help one sleep transatlantic flight . however : 1 ) $ 600 night , wireless internet access free.2 ) beware stay front room Thursday night summer . every Friday morning , ABC bring concert park directly opposite , lead we disturb 2 am unload truck , 6.30am sound check , loud country music 7 am . give IPOD TV ; give prepare business meeting . the check - out answer colleague ask quiet room place front happen every Friday summer ... rather miss point . offer upgrade next time - ' m sure one . nice hotel , good location , pretty view , comfortable room otherwise . 
 Jun 12 2007 	 Modern Clean Awesome ! 	 first time stay Bryant Park Hotel ( 06/07 ) excellent ! lobby / check - in area much small hotel comparable price , sufficient . red & amp ; brown decor gorgeous & amp ; front desk staff extremely helpful & amp ; friendly ! superior room 10th floor modern & amp ; clean , huge bathroom , large tub , comfy bed awesome pillow & amp ; great robe ! ! quick , inexpensive meal , recommend popular Cosmic Diner ( 8th & amp ; 52nd ) , good food , hearty portion , noon rush weekend feel somewhat Soup Nazi - ish . hey , be New York ! 
 Jun 9 2007 	 Love Bryant Park Hotel ! ! ! 	 Bryant Park Hotel great place stay location close Rockefeller Center , 5th Ave . shop overall midtown site . live NJ stay whenever feel like city enjoy club NY experience . financially possible , stay Bryant Park suit great view Bryant Park ( 2 bathroom ) suit flat screen tv bedroom living room . ' ve stay room 20th , 21st , 14th 16th floor . keep mind room unique even terrace overlook city ! decor quite modern , be look traditional hotel stay . model fashion executive stay Fashion Week easy access Bryant Park fashion show . bed comfortable , bathroom fantastic separate shower large bathtub wish nice , hot bath long day city , staff great accomodate need special request . love bathrobe ' m hook Molton Brown bathroom amenity find Saks Fifth Avenue Molton Brown store midtown Manhattan . the minibar well stack favorite spirit - albeit somewhat expensive . bring iPod enjoy iPod stereo system bedroom . room service food hotel standard include sushi roll , chicken dish basic american cuisine . this fantastic hotel , cater desire modern decor ambiance & quot ; hot spot & quot ; set fabulous night NY ! ! 
 Jun 3 2007 	 Bryant Park Hotel excellent . 	 wow , great hotel ! pay $ 299 room large perfectly furnished . great bathroom well ( size Molton Brown product ! ! ) . unlike W - hotel usually use - clean kept ( W Times Square always room fithly damage previous guest ) . staff super friendly competent . NYC hotel go forward . be much well , ' m willing forego SPG point ! 
 Jun 2 2007 	 large room ; fabulous location 	 Bryant Park Hotel terrific choice one - night trip NYC . ? 1 . great location : especially good be take train town travel light , . easily walk hotel Penn Grand Central Station . also great right across street Bryant Park beautiful spring day -- perfect place take break read book cup coffee.2 . spacious comfortable room enormous bathroom , tub shower . deluxe room one mid - level floor , lot sunlight . bed extremely comfortable , iPod player.3 . security . show room key time get guest elevator . what would change ? 1 . room decor . bare white wall feel dorm room , without even poster add little visual interest . traditional tan / cream marble use bath not seem match rest decor.2 . complete lack lobby . not even remember chair reception area . ' m quite sure would sit wait someone ; maybe restaurant ? one - night stay , not much chance assess service , ' m inclined go back . 
 Jun 2 2007 	 great hotel ! 	 wife decide spend long weekend NY Bank Holiday . last time stay Algonquin nice room tiny . give jet lag quite bad come UK , decide spend wee bit could nice big room lounge . pay £ 270 night Junior Suite prob ever spend hotel room . however , really money well spend ; room massive , bed comfortable , obligatory plasma wall good terrace . really good size afford great view park 19th floor . the hotel chic . use restaraunt try cellar bar definitely good place New Yorkers go pose . location hotel pretty much ideal park really spot : attractive , green , compact welcome oasis amongst sky scraper dot around mid town . would defintitely recommend hotel spend quite bit luxury . 
 May 29 2007 	 great surprise ! ! ! 	 stay Bryant Park Hotel first time -- reason ever try another hotel . huge new bathroom , clean , quiet , , good part , comfortable bed ' ve ever experience ( room $ 400 / night . sheet luxurious pillow die . great location -- across park centrally locate . not opportunity try restaurant -- maybe next time . much interaction front desk doorman great ! definitely return ! c 
 May 18 2007 	 LOVE hotel ! 	 ' ve stay Bryant Park Hotel business five six time past two year , can not imagine stay anywhere else NYC . stay last night . absolutely love . bed great get great night 's sleep . bathroom huge . shower great water pressure , hand hold nozzle well overhead huge shower head . room ' ve stay really comfortable . one time , upgrade Junior suite , large living room home ( pretty large ) . last night , stay Deluxe View room ( think 's call ) big . big flat tv wall . people work hotel really nice . everyone always really friendly . last time , meet Greg , Doorman cover NY Post , support Obama , use support Hillary Clinton .... really friendly helpful never stop smile ... morning , get ready , hear music come park . check 8:45 , ask go . Front Desk person say Rascal Flats ( spelling ? ) perform Good Morning America free concert Bryant Park . say every Friday morning . cool ..... will back . 
 May 9 2007 	 great modern hotel 	 fantastically smart modern hotel , great location . ideal youngish couple etc , service good need . probably hotel everyone like ' traditional hotel ' , personally room important thing we , 10/10 room Bryant ( although get upgrade junior suite terrace ) 19th floor . huge bathroom , egyptian cotton sheet , Pod dock , great tv , room clean twice day , ( want ! ! ) do not try restaurant , cellar bar chic . overall would recommend 100 % . 
 may 8 2007 	 Perfect stay perfect location 	 return week Bryant Park Hotel . room quite nice , minimalistic , clean . bed absolutely wonderful . KOI Restaurant great ! ! ! Cellar Bar ! ! ! staff really friendly helpful . highly reccommended ! ! ! ! 
