3 	 book 2 room superbreak disappoint date room especially bathroom . friend room even bad dodgy electric although tv report not work one acturally go fix it . we ask soap would think would provide ! shower curtain rail place head , shower stuck body ! bar expensive 4 drink cost £ 18 ! however restaurant good helpful staff . when go breakfast queue horrendous , waithe good 20 minute ! although breakfast ok . no way 4 star hotel ! stay . 
 Jan 25 2008 	 Great hotel 	 read great review hotel , decide book anyway . ever glad . arrive 10:30 fully expect leave bag check later . much delight check we right away . the room good size London , bed comfortable hotel accomodate request king bed , high floor , garden view . review complain tv station , well sorry go London watch tv , save money , stay home watch BBC America . the hotel restaurant pricey dinner , however full english breakfast include great . within short walk several nice pub , Euston Station Marks Spencers simply Foods anything else want . the location great , nice walk British Museum , well worth visit free ; good walk Oxford Street Regents Park . all would recommend hotel anyone visit . 
 Jan 16 2008 	 great location 	 ' ve stay Thistle Euston several time year , go back Kennedy Hotel . time never problem , always good clean room , clean bathroom , nice hot water . last time stay , ill able help get doctor . not charge checking day early either . location good , couple block Euston station around corner two tube stop . lot bus Euston road Regent Park block away . lift hotel stair hallway mobility issue , make sure room past step . 
 Jan 1 2008 	 Exceeded Expectations 	 ( family 4 ) stay Thistle Euston Dec 25 - 30 . hear lot negative comment quality mid range accomodation London , bit apprehensive . , room great , front office staff welcome . hotel quick 2 - 3 minute walk Euston Station well connect . , convenient well . deal include full english breakfast . breakfast menu lot variety quite good . the negative rush breakfast room ... bar also basic . 
 Dec 13 2007 	 ... 	 stay course book work . since get take list . room corridor dirty date . feel safe night . take ground floor room - window barely secure ( wire , odd screw piece wire ) mine look onto park bush . anyone could got worry leave stuff night . food average . only stay must , get cheap deal need near station ( stay other close much well ) . 
 Nov 30 2007 	 stay dozen time ! ! 	 ' ve stay three year good sign . odd occasion ' ve unable get , ' ve suffer . arrive Euston 9.30 , drop luggage way minute . always request room overlook park , south face tall tree , would not believe . excellent breakfast well . book weekend wife get full treatment . good value London ! ! 
 Nov 21 2007 	 clean safe good amenity great location 	 not know expect reading review , Thistle Euston turn great . double room , # 317 , lovely . Decor nice , shower excellent ( hot water problem ) , think room size average London hotel . room come nice amenity , esp . european hotel : hairdryer ( can not find , look desk drawer ) , safe , iron ironing board , clothesline tub , tea coffee service ( electric kettle , instant coffee packet teabag , plus daily Walkers biscuit ) . ( case be wonder , hotel also provide towel , shampoo soap . ) Breakfast also expectation . room include full english breakfast , serve buffet - style restaurant . hot food pretty typical buffet - i.e. , average quality - big selection stuff : dry cereal , fruit , cheese , bread , porridge , pastry , etc .. be quite possible eat enough not even need lunch ( advantage expensive London ) .I also think service good . never problem rude unhelpful staff , although hotel quite busy wait line several time . staff accommodate every request , include make reservation we . the complaint : * bed rock hard . like firm mattress , way beyond . * wall thin , bad hotel . earplug , problem . * problem keycard several time ; keep de - magnetizing . service desk always helpful this . overall , would definitely stay , would recommend anyone . location fantastic - block Euston Station . 
 Nov 16 2007 	 Come stay Thistle Euston : 	 Room service include English favourite - bean toast , cheese toast ... iron coat burn nylon jumper transform ordinary white shirt modern street wear ( model numerous London vagrant - catwalk view available window room ) room security - room service tray collection intermittent remain outside room beyond 8 am booby trap anyone enter exiting room nightfree tv service limit 5 terrestrial channel ( even freeview ) - enhance selection porn pay per view 80 's moviesdécor circa 70 's ( possibly 1870 's ) hot water demand - water system ignore request similar manner staffstaff multilingual - except EnglishVery quiet neighbour - board and/or condemnedlively neighbourhood - 24 hour mugging , vandalism , call girl , & quot ; saunas & quot ; provide discern travellerif could give hotel rating terrible would . checkin staff not care checkout slow - try stand line 40 minute pay would centre London Hilton . I would rather take chance sleep rough stay . 
 Nov 15 2007 	 good location 	 stay 2 night whilst hen night . hotel location excellent , close Euston , 10 min bus west end , close Camden etc . breakfast great hangover - could want . the room clean little small - fab shower . if window open would quite noisy . also seem lot oof child play hide seek round corridor morning - great hangover ! also hotel bar expensive service pretty crappy - slow service , lime corona etc etc . I would stay weekend london , book event company get good deal - would not pay £ 100 night hotel - like £ 70 . 
 Oct 24 2007 	 ok nothing 	 hotel ok . public area fine little date . arrival tell non smoking room leave stay smoking room . corridor room long need decoration . room clean , date ( reckon early 1980 ! ) obviously smell smokey ( know bother people ) . woudlnt choose stay , request work put . 
 Oct 23 2007 	 comfortable enough 	 reason choose hotel close proximity Euston Station fact would carry bag far arrive London . hotel class 4 star , room quite small average . comfortable enough , not feel like four star hotel . staff friendly accommodate public area neat tidy . 
 Oct 21 2007 	 Thistle Euston Nickled 	 Hotel offer wi - fi internet access usable laptop ( co. ok have wifi laptop yet ) even use cost & gt ; $ 12.00 one hour must purchase card front desk . boot hour lose remain time . additionally , book 3 night however conclude business 2 day check person reception confuse ( native English speak ) rather testy ask ensure bill correct 2 night vs. 3 . might expect anything London EXTREMELY expensive even mid - grade 3 star hotel . 
 Oct 14 2007 	 Shabby 	 Thisle Euston advertise 4 star hotel , part e.g . reception room give certainly . desperately need decoration , air conditioning noisy . room small , bathroom adequate . certainly 4 star standard even though price pay . additionally anyone approach hotel foot Euston Station direction dark , badly light street derelict park situate half way along . 
 Oct 7 2007 	 little positive 	 experience Thistle Euston hotel start 7 pm day mean check call ensure would forfeit room late arrival . first mistake end talk operator / receptionist limited grasp English result finally hang particularly sure whether call interpret confirmation request offer room someone else . sense foreboding finally arrive hotel . whilst first ' visual ' impression hotel good reception public area decorate high tastful standard wish first impression stay constant theme ensue two day . however public area perhaps area hotel impress perhaps keep queue 40 min arrival one receptionist clear coach party group much time appreciate public area . finally serve rather bad temper receptionist could not quite seem able handle double barrelled name therefore ask several time whether sure book Euston Thistle several thistle hotel London . eventually find reservation walk depth hotel feeling extremely patronise extremely exhausted . allocate room fourth ( top ) floor trek endless stream corridor finally reach room . room can not say whether unlucky whether whole hotel similar room allocate . latter case unsure manage justify 198 pound night price tag turn buy room bed , hard manage convince body even try succumb sleep , bathroom filthy state arrival tap , offer low pressure drip attempt run bath , finally television work . attempt positive room contain several feature although way redeem prevent somehow think check hostel . include iron board , telephone , kettle , safe trouser press . however worthy completely seperate paragraph attitude staff . whilst encounter one ' customer service orientate ' team member experience rest staff rude almost unacceptable standard bad temper . attempt stay short writing book give two example . first night become thirsty therefore run tap see dark cloudy water come call room service tell unable bring room could pop get could bring credit card . second unforgivable example morning call room service ask hot water lemon individual reply flatly kettle room not worth bother want lemon go hot water mini mart nearby . whilst establishment potential great hotel personal view completely fall 's face attitude 's staff seem total disrespect customer . 
 Oct 5 2007 	 would stay 	 sister book 1 - night stay Thistle Euston , early train catch Euston follow day . whilst booking , request 2 single room discount rate Superbreaks website , pleased check - in upgrade 2 double room . room smallest double room ever stay , completely equip , even iron ironing board , tea coffee make facility . ensuite bathroom also small , provide everything need , include even retractable washing line . the double bed sister 's room somewhat hard , uncomfortable night whole , bed fine . slight problem noise nearby Euston railway station - could hear tannoy announcement first part night . breakfast standard buffet fare cereal , roll , egg sausage . fruit salad certainly skimpy , orange juice taste like cheap orange squash artificial sweetener . otherwise , breakfast adequate would probably suit visitor England , Europe States . 
 Oct 2 2007 	 fantastic stay 	 return couple day Thistle Euston . hotel average never experience incredible service . lovely hard drag away hotel go back home . on arrival check Deluxe room small , outdated depressing . go back Reception speak lovley lady ( Katy think ) helpful apologetic give we upgrade big room overlook park . Paul help we bag organized bargain Theatre ticket we . pleasant understanding . staff friendly utmost help we . negative point .......... long que Breakfast do not go hungry ! great time London . ( ask Paul Katy need anything ! ) 
 Sep 16 2007 	 great overall hotel 	 hotel look like nothing outside inside really beautiful . the reception staff really helpful bar staff really nice . the bedroom stun really clean . bed comfortable did't want get it . the resturant beautiful , dinner great . its presantation good filling breakfast edable ' ve well . so hotel overall nice . the good thing bus stop around corner bus go directley piccadilly circus westminster big attraction . walk train euston station short wall hotel great arrive depart . 
 Aug 29 2007 	 clean really 4 star hotel 	 probably get wrong room . hotel not look 4 star hotel eye . room size good forniture bed date would recommend hotel anyone . the room clean bathroom mauldy date . bad experience . will not surely go back . 
 Aug 19 2007 	 Basic Hotel 	 Hotel Thistle Euston particularly entice location London 's attraction within easy reach tube . expect basic accomodation , nothing fancy . morning rush breakfast room intimidate : be crowded , 's line , room noisy . say , London 's hotel room expensive , be unwilling spend considerable amount per night room , . 
 Aug 8 2007 	 Pays money take chance 	 book hotel part theatre package ( train ticket , hotel , ticket chicago ) princley sum £ 375 2 night half board . I say honesty worth every penny , room clean , service good ( free paper morning ) , coffee tea make facilitys room , room twin good size overlook little park , half board consist full english breakfast , cereal , juice etc really score point though , food , cheff knock beautifully present plate portion substantial , staff attentive long wait 3 courses.i like grub bloody good moan par , however stuff excellent good choice dishes.the thing find small amount fault tv room bit ropey picture , staff grasp english langauge leave bit desire bar price extortionate ( £ 2.30 half biiter £ 3.75 pineapple lemonade , needless say drink ! ) apart pleasant stay reasonable price . ( way ........ Chicago brilliant ! ! ! ! ) 
 Aug 2 2007 	 Great Price Great Hotel 	 stay double room three night , overlook park . room big enough two people stuff . clean , bed good big . good location , next tube , quiet neighborhood . overall great experience , definitely stay . 
 Jul 24 2007 	 Cosmos owns 	 stay two night Cosmos tour . first assign room first floor way back go byzantine series hallway stair get room . normally never complain management twist ankle plane ask reception change room stair hallway . give attitude reception assign room second floor . stair hallway ! room bad size London clean . continental breakfast standard bread yogurt coldcut . pay $ 200 + room , be overprice . 
 Jul 24 2007 	 Thistle Euston - Mediocre good 	 Thistle Euston hotel special . I stay single room , actually reasonably sized ( single , anyway ) . however , air conditioner not work ( 4 request , bring fan ) , mattress really need replace decade ago . lumpy -- lean . part near wall good 2 & quot ; thick rest , head bed good 3 - 4 & quot ; foot ! people tour group vary room quality . room whose air conditioning could not turn , thus freeze time ( offer trade , prefer cold hot ) staff helpful either ... say , 4 request get fan . & quot ; complimentary newspaper & quot ; deliver 2 4 morning . twice go request extra towel , clean staff forgot -- would take old one room , leave clean one all . the event staff well -- meeting room reserve , snack , plus coffee + tea service . we request coffee + tea bring 5 6 time ... first time , & quot ; ok , right back & quot ; . , half hour later & quot ; oh ... not know suppose ... hang , will go get & quot ; . hour later & quot ; coffee 's still brew ! & quot ; , later & quot ; oh , order stuff , nobody be place order & quot ; ( point tour guide show order confirmation say anyway , be order ! ) . finally , 1 hour later , & quot ; oh ... 's weekend , event manager 's , equipment locked room , not key & quot ; .and , 2 hour later ( time have buy individual cup coffee tea bar , long , long since finish ) , & quot ; ya go ! can not bring coffee , 's big thing hot water teabag ! & quot ; 
 Jul 15 2007 	 bad 	 stay one night Euston Thistle . wife pay £ 70 double room ( breakfast ) . hotel nice clean , location good . nothing special hotel , quiet clean 
 Jul 5 2007 	 give Thistle miss unless someone else pay 	 send hotel British Airways due flight cancel . arrive around 11 pm armed BA voucher assure prepay book . arrival staff clearly knowldge arrangement warn BA send traveller west London hotel expect . cue another half dozen begin drip small queue form . staff seem concerned take stride find room everyone man charge professional handling situation . one first wait around hour . idea rest crowd . check bar usual half room half hall , bland , souless bar would passed except circumstance time . young lady behind bar ( Polish , think ) brighten place friendly attitude choice beer poor overprice , London word . finally get room ( 49 ) find endless narrow corridor bar level appear dozen number door virtually next either side . alarm bell sound head clear room go Tardis . incidentally not expect anyone get bag either , see 3 peoply reception area work cut unexpected popularity hotel . enter room confront appear small hotel room see long time return stay 3 other around Britain boast less star . do not wish boast bathroom back home space . anyhow , twin bed Tv teamake faciltie make room 's compliment . bathroom something else . boasting time seriously large cupboard . however everything clean general feel build date . return desk spy room rate £ 193 single £ 211 double . least someone sense humour . move sign bar least half cut will not seem bad . stay Ttravel Inn Dundee previous week £ 60 apart rubbish restaurant , everything big well modern deserve critiscism . mention view . directly outside window step lead dingy basement obligitory rail ( think requisition war effort 1941 ) dark ugly street - no Torquay hotel view . eat assure room service available 24hrs day , telephone -- phone -- -and phone -- -- nothing . around 0100 go reception . still lot people sit ( possibly BA reject ) young , quiet chap concierge desk , take order personally bring room 20 minute later tell sorry busy could pay . slightly stunned pay make mental note get receipt morning . next morning awaken bright early sound housekeeper scurry around outside rummage store locate side wall 2 foot head . breakfast available restaurant hotel okay . kind get personally cook bed breakfast fraction price , buffet style , stuff prepare early , type . do not know standard London hotels reason service sector business London seem think charge top rate everything ( hotel , food , taxi , drink etc whilst provide take leave , favour type attitude . make exception many foreign staff employ industry late . , part , make genuine effort not seem bear grudge work low pay industry home grow counterpart adopt . general note , proprietor large hotel chain Britain try equivalent abroad , Dubai example , service premium price comparison , hang head shame come back retrain staff provide top quality facility service acceptable price , would brit continue roll accept shoddy poor value home . would recommend hotel - not likely mainly dull atmosphere , price room . staff reasonable job well place less money . 
 Jun 27 2007 	 average overall 	 overall pleasant stay hotel . deluxe room second floor . although particularly big clean , powerful shower tea / coffee make facility . the air conditioning work fine , safe tv . pleasantly surprised see Sky Sports 2 3 available channel bedroom really appreciate . true , restaurant basement little date . quite frankly breakfast perfectly fine . bacon meaty , sausage contain herb fair size . staff also reactive . complaint would forget put tea spoon table . there also bar large tv screen not use look quite nice area . finally , bump manager checking . look extremely smart greeting guest come corporate function , seem proud hotel . in summary , around 100 pound per night could go lot wrong elsewhere . 
 Jun 18 2007 	 horrible restaurant 	 really dread book hotel business ( choice ) , Handy Euston really hate date gloomy basement restaurant bizarre menu expensive wine . ' m definitely going eat elsewhere next time even though meal pay . also breakfast terribly crowd hectic dismal location . turquoise decor ! ! room extremely noisy occasion stay recently . 
 Jun 5 2007 	 reasonable 	 follow advice previous review get cheap rate hotel website book Hidden Hotel section lastminute.com . pay £ 120 deluxe double instead £ 169 . 1 night meeting next day . room ( 221 ) absolutely tiny find difficult believe deluxe room . mini - bar complimentary toiletry extremely basic . many year since HCMIA ( even tho ' never actually work hotel indstry ) can not see justified description price . plus side , check - in friendly efficient . offer choice paper wake call . bar reasonable place meet colleague beer hit town . gutte discover one colleague upgrade executive King suite , sound absolutely fantastic ( pay rack rate book single room - £ 169 ) , upgrade not full have pay full whack . another colleague book bogstandard single room £ 104 ( NHS discount ) ' upgrade ' double deluxe like little shoebox . bed feel hard sit , extremely comfortable get good night 's sleep . sheet beautifully clean , towel soft fluffy . water pressure not great , shower fine , interesting effect shower light droplet spotlight directly - quite pretty ! room initially look bit dingy , view room opposite , mask net filthy ( not smell least ! ) , carpet soft furnishing clean . the room quiet ( well get 1.30 ! ) , get noisy whe people start get around 0600 put tv , shower etc . not breakfast ( take stuff ) , look reasonable . checkout - wise big queue , concierge go line ask people anything pay , extra would post bill , queue ! lobby large - ish , clean quiet ( cosmos coach party ! ) . bellhop wandered periodically , pick leave blow street . good camaraderie staff observe duty , pleasing see . in summary ; reasonable . ask upgrade pay full price room . frill hotel perfectly acceptable pit - stop overnight . 
 May 20 2007 	 business pleasure 	 stay thistle business trip - two night midweek . hotel check good - stay book organise company easy really - turn , tell name get room key - everything pay ! room MILES away reception floorboard creak fusty smell get bad arrive room door - open find ' cell ' - triangle shape room small double bed ( set single person ) tiny bathroom - clean tidy.the restaurant lovely - typical hotel restaurant full loan business traveller ! tourist restaurant entrance street anyone use . food fantastic - three course meal service great - even think ask pineapple juice top lemonade nearly get pint apple juice ! first morning decide breakfast room complete menu hung door know - instruct 2 am ! breakfast arrive look like prepare 2 am - food cover cling film - ' fresh ' crossiant stale ! minge ! second night meal impressive - food good service slow almost rude staff seem far ' busy ' deal dirty plate serve next course . second morning breakfast much well - food fresh yummy busy table be not clean quick enough etc . check smooth busy try get 15mins spare otherwise late meeting ! haha ! overall , average book hotel tourist purpose would dissappointe ! travel train st pancra least 15 - 20minute walk hotel - bag suitcase like 25mins ! 
 May 16 2007 	 not know moaning 	 husband book hotel surprise . apart we , also brother sister - in - law , two daughter party . book hotel , husband read review post website . dismay see awful review , email hotel order try alleviate problem guest suffer . ask upgrade room standard deluxe . room floor , room not face Euston Station . on arrival hotel , lot cosmo guest litter lobby travel case , obviously wait coach , not find problem . whilst booking , Manager approach , say receive husband email , do everything ask . even upgrade room price . husband mention awful review ' Tripadvisor ' email , Manager look , tell surprised comment five year , never hear complaint noise come train station . we find staff helpful friendly , especially Manager go way give we everything request . brother sister - in - law 's room face park , large nice seating area . room , along neice bedroom small faced central courtyard area . view not particularly nice , not care , sleep . bed extremely comfortable , not hear thing night . Absolute bliss . room clean power shower fantastic , certainly wake up . my thank also go conciege , extremely helpful . spend evening Camden Lock , leave way late find restaurant eat . come back hotel , ask conciege order takeaway we , even provide we plate , knife fork . even send delivery driver room food . polite , friendly could not enough we . all - in - all , hotel may luxury 4/5 star , staff make . finally breakfast excellent , staff extremely helpful friendly . can not fault hotel one bit , would certainly come back . 
 may 14 2007 	 great hotel price pay 	 book hotel 1 night stay via last mintue.com ( secret hotel ) pay £ 79 double room ( room ) .The hotel 3 min walk Euston Square tube station 25 min walk Leicester Square , we good location . our room small clean good bathroom - bath shower . Reception Bar area also clean staff meet friendly . we would return hotel right price . 
 Apr 30 2007 	 warn stay . 	 absolutely disgraceful . Booked Thistle Bloomsbury transfer due overbooking . promise four star hotel Executive room . blag . awful , unfriendly disorganised staff . room stick time warp seriously need new furniture . homeless hostel appeal . do favour walk right past one . 
 Apr 25 2007 	 London ' noisy hotel ? bad customer service ? 	 London ' noisy hotel ? stay Thistle Euston one night early week definitely one night many . business use meeting room hotel one day another meeting plan next day . service provide staff relation meeting room entail good complaint . however , hope experience overnight stay serve warn business leisure traveller alike . travel quite lot throughout UK work also love travel abroad holiday ' stay huge number hotel , include several central London think realistic expectation . know traffic noise continual London guest may disturb etc etcUpon check ( slowish ok ) colleague ask quiet room . tell hotel full room noisy good sound - proofing . way last check think somewhat odd room allocation could change . anyway , decide one night go . first room 405 . wish ' camera take photograph view Euston station platform add review ! station announcement could hear clearly within room . however , think ok train stop run need fairly early next morning ' able get enough sleep . room quite cramp – sort shimmy sideways past bed clean enough , plenty hot water safe large enough take laptop etc . overall , pretty bland bathroom fitting antiquate . breakfast average restaurant cramp . after meal drink bar evening retire bed . oh dear ! around 11.30 pm still considerable noise station tannoy train well car go ramp station car park . phone reception ask another room . tell hotel full two minute later could another room would better . pack stuff , get dress go reception collect new key . time give room 201 . fry pan fire spring mind … .although directly opposite station around corner noise station still clearly audible . stuff cotton wool ear pillow head eventually 1.30 manage get sleep . room 201 , though , right opposite lift next door staircase hardly help . anyway , 4.40 awaken loud , huge coach park window . leave engine run . cosmo use hotel office hotel lobby . the noise coach clearly wake whoever next room also treat television . sound - proof exterior window inadequate adjoining door room ( lock ) 2 cm gap bottom . never come across flimsy interior door hotel . usually kind double door . next door ' alarm call 5.45 hear loud clear room – although clearly nobody either room would ever need thing ! course people start use lift , traffic noise increase , delivery van kitchen begin arrive station kick back three hour sleep get . say colleague ' room face interior yard unaffected noise many room hotel must badly affect . stay numerous station airport hotel never experience noise level extent . thistle group invest money decent glaze address flimsy state door room . addition unacceptable sound - proof , unimpressed attitude reception staff . complain politely allocation room off - hand response quite remarkable . spell full would make report unbearably long , essence , apology , grudge 10 % reduction room rate ( eventually ) comment " worried " corporate business go elsewhere future " priority " ( infer mean Cosmos customer ) . thoroughly miserable experience . obviously follow complaint Thistle directly , needless say , corporate business go elsewhere future . advice anybody consider stay hotel business pleasure go elsewhere . ' nice bit London , really must stay round Euston , try Novotel perfect well soundproofing staff appear customer service training ! 
 Apr 17 2007 	 pass one 	 hotel mainly use Cosmos tour . whatever pay room , fellow resident pay half package tour . lobby puny elevator constantly jam group 40 come hotel tour bus . front desk extremely unconcerned issue may bring . would guess jade long line crowd deal daily basis . include breakfast offer basement bland unappealing . motif remind we old hospital cafeteria . room small ( else new , London ) . could hear neighbor argue next door . ask bag take room leave hall , since wait hour delivery . front desk say , ' of course put room ' . come back hotel four hour later , bag hallway , room . the area town little edgy . would pass one . 
 Apr 13 2007 	 expect 	 see regular price quote stay 4 * hotel , expect much get . judge review seem unusually bad experience , find room , accord booking & quot ; deluxe & quot ; , small little natural light . bathroom OK morning find look like medium sized cockroach wait greet . ' m pretty sure not bring ! breakfast good restaurant basement window rather odd layout decor . check try charge newspaper , arrival tell would complimentary . , acceptable price pay ( £ 105 night ) not plan stay . course key make fuss time be happy be give want hassle stress free stay not feel like complain unsmile staff reception . 
 Apr 11 2007 	 Great Location Poor Service ! 	 location hotel perfect stay central , however service less perfect . staff talk foreigner do not understand we . creepy , preverte phone call one night complain reception , not undertstand say end could say maybe phone number get mix ! ask concierge book us taxi , tell we could hail one street walk ! service expecte 4 star hotel deeply disappointed . needless say go back ! ! 
 Mar 25 2007 	 First Time London 	 two problems:1 . view room not great . not spend much time not make much difference , major let another traveler.2 . hotel 's restaurant specifically dinner time . Breakfast , include room , fine - no problem whatsoever . dinner , pay , disorganized pizza taste like hot cardboard . okay , enough that . so check Sunday process smooth efficient . ( like use travel agent not play credit card game front desk . ) room good single traveler couple intend share bed . hotel set accomodate business traveler . room quite snuggle friendly ( read : tiny ) american standard . be neat tidy maid service every day . tea set hide tv request morning paper . the concierge useful . book trip Sunday night tour Paris Monday morning manage get seat ( stay tune Paris review later ) . tour pick hotel 6 am - half hour breakfast start - and find breakfast box take room . also arrange wakeup call make sure map direction attraction . the hotel conveniently locate near Euston rail station , pretty major train station London Underground British Rail . be use Underground get around town will need walk block . the Thistle Euston neat , clean , well organize front desk / concierge , nice quiet . would stay . 
 Feb 27 2007 	 great short break 	 boyfriend book hotel night away London . book lastminute.com secret hotel not find name hotel book get cheap rate . however could tell blurb lastminute book Thistle get £ 60 deal rather pay £ 90 - definitely worth ! read review site go expect mediocre 3 star despite official 4 star rating . say pleasantly surprised feel experience lot well other . we deluxe room ( 429 ) request quiet room - contrary many review room large sofa area . also overlook little park rather Euston station quiet . think smoking room ( not request ) ashtray coffee table . however not noticeable smell not want move . bathroom clean shower lovely ! thing would say room surface look quite plush new small detail not update recently - one tatty look window frame behind net curtain whole time not even notice ! staff reception polite helpful look bunch flower quite happliy we go check hotel . reception area swish not expect first walk outside hotel quite shabby looking . balance have rather nice inside though ! location hotel really good - Euston underground 2 minute walk line straight Leicester Square . also able park free street outside weekend great central London ! careful leave anything show car though . overall impressed hotel - probably mostly not expect standard . would definitely return . 
 Feb 15 2007 	 Great New Year Night ! 	 fiance stay hotel new year eve really enjoy . choose close euston station , literally 2 minute walk ! room comfortable clean tv tea coffee make facility . comfortable bed . clean bathroom bath shower . ice machine corridor fill sink ice chill champagne return ! staff friendly helpful bar reception . breakfast basement lovely cook english breakfast , pastry , bread roll , fruit , yoghurt , fruit juice , tea coffee . buffet service nice start day . room seem look station platform might noisy , not stay one can not really comment , observation.overall complaint . reccomend hotel short break london see sight due 's fab location next euston station great tube link . 
 Jan 31 2007 	 would recommend hotel good friend 	 think average hotel . compare hotel Japan ( Japanese ) , facility little worse use . example , wish fridge room . however , price guess fridge much expect . location good . could get Eusron Station 3 minute foot several station within 10 minute . convenient visit big sightseeing sspot London . 
 Jan 14 2007 	 clean 	 line review hotel , problem fairly neutral . plus side convenient Euston station , 3 - 5 minute walk even luggage . despite report , street lead well - light pass enough building include another hotel worry safety . deal quickly efficiently check - in ( check - out matter ) smart , welcome reception area . restaurant close whilst can not comment food although room service menu look ample reasonable price . double room clean comfortable clean serviceable en - suite . however , small double room ever stay anywhere world . reckon main sleeping area 7 ft x 12 ft ( 2.1 m x 3.6 m ) bathroom also small . tv minimal channel selection tea / coffee make facility really . combine size room limit facility within room hotel see say 's way 4 * . however , place comfortably rest head whilst tourist bit London would lot bad . make sure book one discount website ensure not pay full whack ; would far less complimentary pay hotel 's rate . 
 Dec 6 2006 	 clean basic accommodation 	 book 3 night stay visit friend live area . twin room - small clean small , clean , modern bathroom bath / shower . bed lovely new look duvet / cover sheet . towel warm nice touch plenty hot water . room quiet ( courtyard side face street ) pleasantly decorate old fashioned small . kettle , tea , milk shortbread nice little treat . the staff friendly although sometimes communication difficult one speak English first language . the negative : uncomfortable mattress rock hard pillow . friend call , front desk take forever answer telephone not answer sometimes make make arrangement bit difficult . not try use business facility can not comment internet , etc . the hotel convenient Euston station . although not eat hotel food look quite average many option area . lobby bar busy - great smoking ban public place summer . I would stay visit area reasonably price . 
 Dec 5 2006 	 Decent noisy hotel 	 stay Rm 358 , large well - decorate room big bathroom . obviously part suite ( locked ) adjoining door bedroom ( perhaps lounge ) suite next door . in term decor Thistle average nothing wrong room whatsoever . problem noise . door throughout corridor bang loudly wake every morning 7 am maid start move around . could also hear people room next door move around watch tv.the location fantastic get Euston station , couple minute walk . however , would not advise single female even walk short distance night road poorly light rail station building along one side small park . not feel safe all . the breakfast usual Thistle fare , plenty choice . I would recommend hotel someone look convenient base crash sight - see London . remember take ear plug ! 
 Oct 30 2006 	 Flea - pt literally 	 not fault , really . courteous immediately move superior room , be get away fact get bite flea first night hotel unwanted guest home . this 4 * stretch . 's dingy backstreet beside station , 's cheaply decorate amenity decidedly second - rate . avoid , tripadvisor ! ! 
 Oct 6 2006 	 Basic convenient 	 stay one night wife leisure break . very close Euston Station , arrival point close 3 tube station Euston , Euston sq Warren St. Reception bar area fairly basic warm inviting . Staff seem ok check efficient although charge food never final bill . Room wasok pay view park Railway ! venture restaurant evening make quick exit . 1970 's decor , unfriendly staff , olive appear serve numerous previous occassion - avoid ! okay convenient price pay I m sure well hotel price . 
 Sep 16 2006 	 horse box hotel 	 room disappointing , 2 meter wide , 4 long , walk around bed get side challenge well train person , bathroom small hardly possible turn inside . window sound proof construction work throughout night . a / c working room temperature night 33 Celsius ! price 2 rooms/ 2 night Deluxe room 1372 $ ! ! lousy hotel , far expensiveif room pay advance would flee . 
 Sep 12 2006 	 comfy bed rather wear bathroom 	 book deluxe twin / double room Thistle Euston stay leave son college . got good rate compare rack . location ok - ish , convenient tube , easy find street parking available . first impression nicely appoint reception /bar area . room clean , although view station yard un - openable window minor disappointment . enough tea bag two cup , replenish overnight . cost broadband internet connection 50p / min daylight robbery ! bed extremely comfortable sleep well . however bathroom tiny , low ceiling even though 5 ' 7 & quot ; squat get shower . fitting also aged worn , extractor extract . clear evidence breakfast available , except in - room service grand sum around £ 12 / head + £ 2 tray fee would charge full English ( tray fee ? ? ? ) . would recommend breakfast Euston station @ £ 3 / head . use hotel restaurant evening menu uninspire eat Tottenham Court Road ( excellent italian price Thistle 's room service breakfast ! ) . return hotel , drink hotel bar surprise soft porn channel play large screen tv bar - make conversation wife one - sided affair ! one lift order make long wait check . leave hotel discover car rear windscreen vandalise , along another car street . entail 5 hour wait lobby glass company come ( never come ) . time , hotel staff unattentive , offer little help allow we make freefone call help line , use metal cosh dustpan remove glass ( thank due autoglass ! ) . overall , price pay , ok , would upset pay ( £ 90 ) . would describe 4 * . ibis road similar feel , low price , street parking , new bathroom fitting ( stay twice ) . 
 Aug 18 2006 	 ok well place money 	 stay business trip . reception staff pleasant queue , tell upgrade luxury room - great thought room look big London hotel stay decor date . bathroom tiny air conditioning not work . problem air con UK hotel ? ! room warm could not open window due noise outside not get good sleep . fan supply however help bit . breakfast deliver room request good although coffee way strong . average hotel good location need refurbishment number area . 
 Jul 31 2006 	 Unfriendly Staff old hotel 	 stay hotel business recently would envisage will stay . come expect Thistle hotel - date overpriced . I book double non - smoking room , arrive offer smoking room . good start . also arrive late order ham / cheese sandwich coke . come £ 9.20.i also order watch movie last night ( Jarhead ) , channel would show break . phone reception extremely impolite & quot ; expect we ? & quot ; attitude . regardless , charge £ 6.25 room ( twice ) ; ( third time phone ) tell would removed bill immediately . not , next morning still . presuade receptionist checkout mistake , recount whole story again . I would never stay hotel . not make mistake . 
 Jul 28 2006 	 hot ! 	 stay Thistle Euston one night business recently overall not good . the staff friendly helpful restaurant bar good . however single room clean furnish well small cramp bathroom even bad . bad thing room however air conditioning ( break 2 month ago ) fan room stifle & amp ; traffic noise Euston Road prevent window open . all place ok , well hotel especially price . 
