Great 	 sister , mother , sister - in - law end stay hotel book priceline.com naming price . book room priceline.com , single bed , would work we , call hotel ask upgrade room two double bed , trouble time . call two day leave make sure set reservationist say still fine two double bed upgrade fee . when arrive , wait almost hour check - in & quot ; glitch & quot ; priceline.com reservation . apparently reservationist suppose upgrade room 10 room two double bed entire hotel . manager , Chris , come straighten everything , although say go & quot ; take care & quot ; person tactful I . they two , small , elevator reach hallway , dark narrow . amazed bellhop fit baggage cart elevator ! end take stair multiple time wait long elevator . we please see hotel step Time Square make convenient get everything ! personally , think good thing hotel . we need ice time find almost amusing not one ice machine entire hotel ! call room service every time need ice ( complementary ) .there fridge room , store leftover employee fridge , inconvenient . check leave , leftover make back we . think put different spot . oh well , Little Italy husband back home . overall , experience hotel average . main reason would return location . , would recommend hotel long people know pay location basic amenity hotel . 
 Skip . 	 book room two people third party website . Room confirm appropriate two adult ... & quot ; king , queen , two double . & quot ; hotel give we room one double bed say want second bed could pay extra $ 200 . reservation third party site non refundable , definitely feel like bait switch . try get sort , hotel staff extremely unhelpful ( fact , could not even get ahold anyone - get transfer least 4 time becuase one would pick keep getting kick back main operator . ) frequent traveler NY guarantee far well hotel far bettter price , vicinity . skip one . 
 Jan 7 2009 	 NYC ... Good Stay ! 	 book age ago NYE NYC solely base price location ! read TA review nearly change booking leave Oz however ' m glad not . stay 5 night ( 27th Dec 1st Jan ) 5 week 4/5 star hotel elsewhere thought hold own . yes be true ... small room , slow lift , random housekeeping , ' porno ' hallway light hey be NYC not come amazing city dwell negative hotel . 's great location right Times Sq , funky expensive bar downstairs ( every time order 2 drink come $ 20 matter choose drink ) , free net access , cool tv 's , comfy compact bed neat decor room . we stay room 915 frend 921 . 915 corner room luxury small hang wardrobe mate envious ! ! also near lift could little noisy . Renos Floor 10 seem stop xmas look like nearly finish . if extremely fussy , overweight , tall , claustrophobic like moan not stay . may suit family oldie either give pump bar scene Aspen lounge . if get good deal , like comfy bed want heart NYC offer perfect short stay ! NYC highlight .... junior 8th pancake Breakfast , walk sight , stay near start hop on - hop bus tour close subway . PS would also recommend Soho rather 5th Avenue / Macys shopping ! 
 Jan 6 2009 	 hotel brill not know rest ! 	 would recommend hotel anybody , arrive leave fantastic . Yeh room small , would bother see city shopping . sleep . small room trust could move , ideal 2people . Decor gourgous , location good , literally walk hotel turn right Times square . oh wass hair dryer room . alot people complain lift do not let bother always busy , not bad , oviously alot people go top explain thing , say moan thing . anyone book go , not worry ball impressed . 
 Jan 3 2009 	 stay away ! 	 stay sloppy every way . Booked Priceline , rate 3.5 star . would say be close 2 . room dingy box wallpaper peeling , bathroom tile crumble . supposedly recently renovate property , room pretty bad shape hardly modern amenity -- even hair dryer ! Staff seem overwhelmed , time front desk someone complain something . thing be get go location , many hotel choose , stay bottom list . 
 Jan 2 2009 	 Excellent Location - step Times Square 	 recently refurbish . excellent location close Times Square . room bathroom great however albeit little small travel couple lot bag may bit tight squeeze room luggage . lift small ( 2 ) one always break . free internet access computer room also handy . thing note bar right downstairs play really loud music load people almost every night stay partying suggest ensure room one high level music not disturb could hear 4th floor . Irish Pubs right next door across street also great feed ! 
 Dec 5 2008 	 Tremendous Value 	 husband book hotel www.quikbook.com . feel need mention booking site well not pay advance economy really helpful since would prepay 4 night plus tax . good ! anyway , let rave location fresh look hotel . yes , room large NYC hotel room , every amenity need 4 night . plus , thrilled able book brand new hotel , fresh towel , linen , bed $ 175 night Times Square . need save penny return rate $ 300.location could beat , staff friendly , love new feeling hotel . 
 Nov 21 2008 	 great Stay stay 	 excellent Stay . arrive , room not ready upgrade large room - mean big - NYC standard - excellent . this boutique hotel - expect small luxury hotel complete fantastic bar , great environment retro modern lobby . would stay stay . 
 Oct 24 2008 	 GREAT stay stay Hotel ! 	 stay stay Hotel week great time ! book Quikbook.com receive amazing rate large room . highly recommend pay little extra large room - would not call large definitely comfortable . sure would want small medium room . lobby cool , hip decor , light seat area . aspen , bar , open soooo fabulous . be like Montana lodge middle New York City . super cool light mosaic wall , wood - slat ceiling , antler bar fabulous unique chair seat throughout . back , awesome antler - chandelier - work - of - art dining table . service experience front desk bar fabulous . can not wait go back ! complaint elevator extremely slow small . 1 working - definitely need get elevator run ASAP.Location supreme , 1/2 block Times Square . definitely stay ! 
 Oct 21 2008 	 HATED keep away worst service ` ever GET 	 hotel call 4 star hotel , deserve less 2 star . recently stay stay hotel nyc . always book hotel ny always satisfied service value property , time upset . stay hotel bad service ever experience , staff always angry , like service . arrive assign small room instead medium book . come downstairs tell desk person call derek not like room offer check not like . want speak manager say manager available . argument move medium room . room nice , partially refurbish ( use quality inn ) servibar , nice decoration . later want cash 100 usd traveller check would take . refuse exchange , never happen . housekeepers rude keep knock door morning even disturb sign . later , ` want clean room 3 pm . staff say rude , rude , never say hello , even say hello people entrance come . experience hotel ny fantastic , love empire , night , jolly madison , carlyle ( course ) , sheraton ny , time , six columbus many , stay hate wil never , never return . let know , sell hotel , really bad travel experience . thank . Claudio Carrera , [ - ] 
 Oct 15 2008 	 Disappointing Stay . 	 stay , stay one small medium room . small room tiny , quite comfortable one person , medium sized room adequate two people . room clean nice however extremely noisy especially first thing morning house keep staff work . hotel two elevator , yet one work due construction go hotel . elevator incredibly slow crowd - end take stair majority time . main issue hotel fact place charge card first arrive well excess total cost stay . query , staff member slightly rude tell charge would reversed check . incredibly disappointed arrive home case . follow hotel tell could 7 -10 day till charge reverse – annoying . 
 Oct 13 2008 	 great location false advertising 	 place great location ( right near Times Sq broadway ) . room nice small clean . pay double bed 3 night room nice two we . one tiny elevator wait forever 4th floor - walk problem . might problem stay 8th floor ! ! issue place ( leave friend fuming ) charge card 3 night soon check inflate pretty much one extra night ( lady desk say incidental ) . call , front desk lady sound impatient tell charge clear check . get , go speak lady tell account zero charge put tell never give debit card . however , fail realise regardless , still take $ 981 money use clear whether debit credit card . take account straight away ( check bank money back ) put friend 's card money time . check yesterday , split cost two credit card . however , today friend check bank account , still $ 981 card actual charge $ 450 . call , say would take 7 - 10 day clear load crap give money went back account almost instantly switch first night . already charge portion . to clear false advertising book place say pay checking . planning stay reading review , sure plenty money debit / credit card first check . apart issue , rest stay pleasant . 
 Oct 8 2008 	 middle 	 wife recently stay Hotel Stay participate NYC Avon Walk Breast Cancer . hotel right middle everything Times Square make super easy we subway anywhere need go meet walker nearby shuttle stop come go walk . hotel still renovation , make noisy time , bar lounge area 's build look like will cool be complete . as other note , elevator slow take awhile weekend , , be step ! rarely issue . Times Square , hotel room bite noisy evening weekend . noise major city bug , request interior room . hotel staff also friendly accommodate concierge even send we personal note upon check make available anything need . also receive fresh fruit munch cool . pleasant experience recommend hotel anyone want middle NYC . renovation complete , lounge bar area fun place hang . 
 Sep 30 2008 	 terrible stay well name 	 unhappy stay . not know come name appropriate choice stay otherwise would charge due 24 hour cancellation charge .... never hear anything ridiculous life . travel US 6 pm day cancel . however , tell quite rudely Tom Manager would charge therefore stay . guy get job hotel let alone manager beyond . remember last stay , nice irish man Manager understand good service . hotel nice inside apart terrible look construction site next hotel . believe add new restaurant . quite noisy dusty time . room small , suppose 's New York , tastefully design . however , miss something feel like comfortable hotel room like Hilton Marriott even small boutique property stay . housekeeping staff receptive request front desk personnel personable lovely talk . might return option price right .... expensive standard ! ! ! ! ! 
 Sep 24 2008 	 great location 	 complete stay hotel ... 157 W.47 Street Super location , 1/2 block Times Square . formerly Quality Hotel , result renos way , way distract stay . room clean quiet . center hotel , hear street noise . one 2 elevator use , due mention reno , ' m sure reno 's progress service . would stay ... yup . 
 Sep 24 2008 	 bad experience ! ! ! aware 	 horrible experience . travel agent already pay room hotel still charge credit card $ 2000 dollar . realise went use creidt card decline ! ! SHOCK . take $ 80 worth phone call , 4 hour 2 day worry clear problem . get apology . ask telephone call pay not . rang manager 3 time leave message response.room small- could not fit 2 suitcasesone elevator break morning departure ! ! ! 7th floor . good thing location . however hotel area would pay extra avoid hassle ! ! ! 
 Sep 21 2008 	 clean 	 girlfriend stay Sept 12 Sept 14 , girl weekend shopping trip . hotel clean . be currently undergo renovation . elevator slow , stair steep narrow . place stay health problem , i.e. , knee , back , due stair . use many time due elevator , one elevator . room stay small , clean . I would say small 2 people . ( ny , person come stay room , definently something wrong ) . room queen bed , basically take entire room . also , include one robe room . not use , nice see . also hair dryer bathroom , quick call front desk , brand new hair dryer , still box , w / in 5 minute . bathroom clean , small , two people could not fit time , unless someone shower . realize NY , space issue . well , show motel . apparently , room & quot ; suite ' standard , lucky enough peek one neighbor 's room , shocked difference . since room small , relaxed one night lobby . quiet , & quot ; happy hour . & quot ; like proximity hotel , close Grand Central , Broadway show , Times Square , subway , NY be always close many restaurant . bar restaurant hotel , 's small convenience store door down . the staff friendly helpful . check Sunday morning , able & quot ; store & quot ; luggage safely , since not plan leave later day . all , nice & quot ; stay & quot ; stay . hopefully , renovation complete soon . 
 Nov 21 2009 	 stay change ? 
 Nov 10 2009 	 buono stanze piccole 
 Oct 30 2009 	 Hotel soit - disant trendy ... il mieux ! 
 Oct 26 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 11 2009 	 Hotel qui se la pète ... 
 Oct 7 2009 	 Hotel Molto Centrale Vicino Times Square 
 Oct 3 2009 	 Muy bien ubicado 
 Sep 24 2009 	 Situación privilegiada 
 Sep 13 2009 	 Génial 
 Sep 7 2009 	 Ottima posizione 
 Aug 16 2009 	 Un muy buen hotel . inmejorable ubicación . 
 Jul 27 2009 	 superbe 
 May 24 2009 	 Comodo molto fumo e poco arrosto 
 May 17 2009 	 Bien situé 
 May 8 2009 	 Un hotel moderno con una ubicacion perfecta 
 May 3 2009 	 Está fenómeno 
 Apr 30 2009 	 New yorkNew york ! ! ! ! ! ! 
 Apr 22 2009 	 Super emplacement 
 Apr 11 2009 	 Superbe hotel 
 Mar 26 2009 	 Hotel perfecto en cuanto ubicación 
 Mar 16 2009 	 Haben jede Minute genossen 
 Feb 26 2009 	 tre bien situé 
 Feb 25 2009 	 Se tornerò NYC sicuramente sceglierò di nuovo lo Stay ! 
 Dec 22 2008 	 nice stay 
 Nov 27 2008 	 Excelente Ubicación 
 Sep 30 2008 	 se vuoi trascorrere la tua vacanza aspettando l'ascensore 
