COLORBLIND 	 Prior trip whether business pleasure go Trip Advisor view late review hotel stay trip . enjoy read review see other feel certain hotel frequently find recommendation restaurant locate near hotel . recently look review Darlington Hyde Park ( DHP ) London recent trip shock read negative review partner person color advise people color stay dhp.i person color discover DHP Trip Advisor web site stay DHP four five occasion past two year direct response find site even though travel agent make suggestion time familiar dhp.during visit always treat utmost respect courtesy . time feel slight inkling distain perceive negative treatment towar race . fact entire staff reception , dining , housekeep fantastic least . besides convenient location five minute walk Paddington Station two tube station , cleanliness entire hotel , bright attractively decorate room , quality breakfast outstanding attribute hotel staff care considerate manner . I fortunate consult business allow opportunity travel around world stay hotel every class . travel London either stopover point specifically holiday visit DHP hotel choice . in past recommend DHP colleague friend . visit last week highly recommend Darlington Hyde Park anyone . 
 great location great staff bit noisy room 	 stay 6 night Darlington Hotel . location perfect , easily hop bus tube travel London . travel mostly bus : 15 minute Notting Hill Oxford Street . perfect ! first stay room 10 . room quiet fresh , not much daylight . ask room street side hotel . staff helpful put we room 203 . room lot big , two nice seat relax day walk , bathroom much practical . disadvantage room bad ventilation ( night could hot room , even window curtain open 10 degree c outside ) noise outside ( window open fresh air ) wooden floor ( hear upper neighbor walk toilet ) .However , really enjoy stay : nice breakfast , spacy room , cleanliness really friendly staff . definately worth visit another time ! 
 Mar 13 2007 	 Excellent value London 	 stay 3 night mid - week suite . spacious seperate lounge area sofa , desk Flat Screen tv , bedroom nice another FS tv never time watch . bathroom ok good supply fluffy white towel hot water . everything clean small fridge useful Harrods goody ! plenty hang space iron & amp ; board wardrobe handy too . breakfast lovely staff pleasant staff come across London . location great - Paddington area seem bit grotty superb location get around . find good restaurant pub quite close - bit research go . the negative - many ' m pleased say . bed comfortable floorboard not squeak bad would give place excellent every way two thing - annoying real put . value money place could not beat can not everything . I would stay base Paddington . 
 Mar 13 2007 	 Fantastic Stay Darlington Hyde Park 	 book Darlington Hyde Park reading review Trip Advisor . want stay father book twin room . surprise delight arrive upgrade family room double room . team Darlington helpful friendly really enjoy cook breakfast . recommend friend stay Darlington great . convenient Heathrow Express . fault Darlington Hyde park . 
 Mar 12 2007 	 highly Recommend Hotel 	 visit London year stay different hotel , general location , time . Darlington far , nice place stay past 5 year . stay triple room , toddler we perfect - room airy , spotless , bed comfortable , hotel ' public area clean bright . staff friendly obliging . sorry stay long . definetly make return hotel recommend friend want stay London . 
 Mar 1 2007 	 Loved Darlington 	 good location , . accommodate pleasant staff point free coffee check return collect luggage later afternoon . excellent cook breakfast . excellent bedroom facillitie good bathroom plenty hot water . would definately stay visit London . J & amp ; B North Yorkshire UK 
 Feb 24 2007 	 lovely hotel 	 stay one night Darlington Hyde Park Hotel . hotel far enough away train station quiet , yet close enough walk luggage ! hotel clean smartly decorate . room low ground floor incredibly quiet . room large spacious white fluffy towel bath room clean well . we find staff friendly polite . breakfast serve light airy room , low ground floor . food plentiful . after check , staff allow we leave suitcase hotel day , train left evening . would reccommend hotel . location good price excellent value London . book late deal . 
 Feb 20 2007 	 great reasonable priced hotel 	 overall stay hotel good . staff helpful breakfast worth get bed . handy transport link various train station airport . bathroom huge everything need . room well set . would stay recommend friend . 
 Feb 11 2007 	 top location 	 arrive dark Friday night still easy trip Paddington Express Heathrow couple minute walk station . within 20mins walk Oxford St could use tube not fancy walk . plenty place eat / drink recommendation guide previous guest nice touch . friendly staff front desk breakfast . excellent base visit central London . 
 Feb 11 2007 	 Great Hotel Convenient Location 	 stay November enjoy . convenient tube ; walk distance Paddington Station . great since take express train Heathrow 's two block away . also walk Central Line . great indian restaurant around corner . book one bedroom suite great rate use Londontown.com . highly recommend hotel . 
 Feb 5 2007 	 Excellent Hotel 	 book triple room get 3 single bed exactly want . room spacious clean . bathroom clean fresh good sized bath . breakfast excellent . full continental bacon egg ( singular ) cook order . location also excellent one block Underground variety restaurant . hint use internet .... internet cafe close much cheap connect internet via hotel . hotel staff excellent , receptionist even go cold rain get we cab one call fail show . 
 Jan 26 2007 	 Nice Place 	 Nice hotel . clean room , low level . hi def LCD tv nice . negative little noise Underground ( could faintly hear train travel ) . great part town . first time London happy area . lot restaurant wihin walking distance . 
 Jan 24 2007 	 Welsh traveller 	 pleasant helpful staff . good sized clean room facility info require . quiet night despite main road . ideally site within minute walk Paddington station . fantastic full english breakfast good clean surrounding . breakfast staff helpfull attentive . highly recoommende . 
 Jan 21 2007 	 London Home 	 's mixed feeling finally post review Darlington Hotel Hyde Park . husband stay hotel numerous time , never review ' m afraid many people find . recently stay Darlington Jan 7 - 14 . make clear Darlington luxury hotel . room small . narrow hallways small lift not always work . stay many hotel London , one far friendly coziest . even though staff different every time stay Darlington , always friendly helpful . room clean . bed comfortable . breakfast good - full english , cereal , etc . hd tv room satellite . location fantastic . walk Oxford Street shopping district less 2 mile . Paddington Station couple block away . arrive Heathrow , take Heathrow Express Paddington walk hotel - 's great ! ! Paddington convenient four tube line run station . look forward next opportunity stay London home ! 
 Jan 11 2007 	 good experience ! 	 try book room new year eve everywhere fully book , pleasantly surprised size room although sister get small room . facility clean , good breakfast , friendly staff help . location near paddington plus would like convenience centre yet live right middle . also situate middle budget hotel etc remember get exact address try get taxi ! 
 Jan 8 2007 	 small room still recommend 	 stay Darlington 4 night late November 2006 . solo traveler expect single room small . , 39 year professional leisure travel ( approx 150 night per year ) , small room ever have . that say , still like property . 2 thing important hotel quiet clean property ! single room back hotel quiet , even window open crack . , hotel spotless top bottom . the breakfast offer good selectioon serve basement breakfast room friendly staff , , spotless . somewhat concerned location , Sussex Gardens busy road . , since hotel set back , fear unfounded . location convenient , 2 block Paddington Station , Tube Heathrow Express , several bus route . would recommend good value London . 
 Jan 8 2007 	 Excellent Hotel 	 stay 6th Dec . hotel comfortable , calm spotless . close Paddington Tube Station mean accessible . feel risk walk around area ( 61 yr old woman ) city / town need street wise . would definitely stay 
 Jan 5 2007 	 Positives negative Darlington 	 stay Darlington 4 night ( actually Jan 2007 ) find clean , comfortable spacious room . staff terrific one young woman extremely rude . also book triple room list & quot ; family room & quot ; 170 pound / night checking say ( rude front desk woman ) charge 105 per night per room . either & quot ; family room & quot ; two room . case two room share bathroom - okay challenge person . tea service one room ask second tea service teenage boy one room - say quote & quot ; absolutely ! & quot ; remark take completely aback . one person picture would much satisfied . breakfast wonderful serve spotless basement breakfast room beautiful skylight . laundry facilities property one two room refrigerator . hotel close paddington station , positive , actual neighborhood locate really destination london - much residential . 
 Dec 23 2006 	 Pleasant stay Darlington 	 Accomodating staff . nice double room lot light enough space . bit noisy night traffic , nothing earplug can not cure . bathroom small good enough . breakfast well similar hotel . 
 Dec 13 2006 	 Loved Darlington Hyde Park Hotel 	 come back tonight London . stay 2 night hotel , real gem . clean staff pleasant . great breakfast . 5 minute walk Paddington Station . great value money . would definitely recommend . 
 Dec 10 2006 	 good city centre hotel 	 good hotel tourist business , clean , great location . smart reception friendly staff . breakfast good . like B & amp ; b good value central London 
 Dec 8 2006 	 comfortable stay 	 excellent stay - staff friendly helpful . room small modern comfortable - not need stay room much time city though ! delicious breakfast , close Paddington station - highly recommend . 
 Dec 7 2006 	 good value negative 	 stay DHP three night find hotel pretty good value . two we stay GBP100 per night inc VAT full english breakfast . the room decent size london standard clean find tv little small ( far bed ) volume pre set low level . bed small double ( standard queen size ) mattress bit soft liking . previously mention find room little warm open window . safe work ( ) .as location 5 - 10 minute paddington little long lancaster gate . find sussex garden little quiet . get dark london 5 bit wary walk even 7 evening . would recommend hotel single lady traveller intend walk tube station night . overall average experience , recommend budget traveller . however next time would prefer pay little get neighbourhood . 
 Nov 30 2006 	 cute hotel odd location ! 	 spend 4 night Nov. 2006 Darlington Hyde Park approx . £ 89 /night , incl . VAT & amp ; breakfast . overall , would say be pretty good deal London , caveat -- esp . be solo woman . main caveat location , 5 minute Paddington tube , Sussex Gardens Road . convenience store , cafe , pub restaurant nearby small grocery within walking distance . Sussex Gardens odd street , however : be veritable hotel & quot ; ghetto , & quot ; , literally , dozen hotels B & amp ; B be plop one . main road Tube well - populate , area around hotel dimly light quiet . single woman walk back dark make nervous . ( overall , consider London extremely safe city ; live Washington , D.C. safety conscious . ) check smooth . room ready official check - in time . ( note will request payment check . ) lift , hotel strictly non - smoking . 's also immaculate , always staff nice people — they remember every evening -- nice touch be travel solo . Clientele mainly british : staid couple , single , couple family young childen . meet one couple U.S. -- give hotel sort Euro feel -- good way ! Breakfast ( include ) serve pretty conservatory sky - light . nice waitress show excellent attention detail , fan serviette , full creamer , etc . , every table . self - serve continental feature tea , fresh stew fruit , apple orange juice ; dry cereal ; milk ; roll ; jam . also order white brown toast come nice toast rack . tasty poach egg ; can mushroom bacon good , £ 1 latte mediocre . I double room , would way small 2 people . 's nowhere put stuff except closet , live suitcase . room immaculate entire stay ; be also well lit , desk desk chair , 2 nightstand , large - ish TV w / remote ( 6 - 8 channel , sound , irritatingly , keep almost - inaudible volume ) . closet enough hanger one person . 's ( free ) safe , small fridge , 2 open - able window . shower nice 's heated towel rack cute Soames toiletry . tub deep , beware -- be difficult get , even ; vintage sink separate hot / cold faucet . room overheat , although control thermostat . heat entire time open window . be noise sensitive , beware street side , be loud . electricity control room keycard , can not get hotel without key card . major caveat : hotel safe , note , area not good . Paddington lack amenity ( boot ? ! ) hotel street , , not - well - light . peep hole door , find disturbing . also , clock radio . ' m sure hotel ordinarily provide clock / radio , case bring travel clock make sure cell alarm work . otherwise , ' look pretty good value step B & amp ; b , ' investigate Darlington . 
 Nov 12 2006 	 Comfortable Good Location 	 Darlington locate four block Paddington Station , near restaurant pub . the staff friendly helpful , room spacious clean , bathroom well - keep . though room face street , hear street noise . security measure also comfort : resident must use key card enter several door , ground floor well floor . pleasant visit , especially consider price . return . 
 Nov 9 2006 	 cellphone 	 first sorry english good .i hotel 3 night room ok good average . day hade leave put cellphone power charge , come back room clean cleaner cell phone room think majic call manager ask clean staff hade leave hade time call police.just inform 
 Nov 5 2006 	 great Stay + Great Price 	 return 7 night stay Darlington . clean room , comfortable bed , friendly staff , good breakfast conveniently locate near restaurant , tube station , bus stop Paddington Station . 86 £ night would recommend hotel everyone definately stay . 
 Oct 30 2006 	 DHP Great Base Short Break 	 second time ' ve use DHP short city break . room clean comfortable , bathroom well appoint . desk staff restauraunt staff pleasant & amp ; polite . cooked breakfast excellent . location 5 minute walk Paddinton tube & amp ; rail station , mean be 15 minute heart West end . 's pleasant residential area , issue walk back hotel night ( normal precaution ) . although cheap room available London , get pay , case DHP , get well worth extra pound . certainly hope return next rip London . 
 Oct 28 2006 	 good hotel good experience 	 stay 3 night , last week September , Thursday Saturday night room 3rd floor , face street . comfortable bed good pillow ( hard foam kind ) . think hotel well renovate ; clean well maintain . staff easily accessible , 24 hour day . courteous helpful . room spacious enough bathroom good size large bathtub shower . weather unusually warm humid ; leave window open night air . street noise , wear earplug night . hotel quiet . daily breakfast substantial include yogurt , toast , cereal fruit . hotel one many small B & amp ; b type , row Sussex Way . be 2 block Paddington Station , Hyde Park lot transportation . London St. next corner several pub , market newsagent get need . first trip Europe / London hotel location work well we . would stay . 
 Oct 27 2006 	 great choice London 	 will agree review . comfortable hotel good location . sure , be central London , tube ride away . the room bath good size modern . breakfast room treat good amount assortment food nice skylight . front desk staff helpful friendly . we feel safe . the beef would road noise busy street outside . since bit warm , try keep window open , end close turn fan drown noise keep we cool . other , recommend place highly base explore London via bus tour tube . 
 Oct 22 2006 	 enjoyable 	 stay 5 night end August find handy visit London . room low ground floor 3 window opening stairwell . consider , room airy bright well maintain . breakfast lovely staff helpful . small fridge room much appreciated hotel bar facility cold drink hot day sightseeing welcome . drink machine hotel would handy . the hotel 6 7 minute walk Paddington Tube Train . station 3 pub , 3 restaurant , 2 takeaway food store 2 convenience store . also feel safe walk area , even night . would stay hotel . 
 Oct 22 2006 	 Excellent Family Room ! 	 stay Darlington Hyde Park 3 day mother , sister daughter . ' ve read good review hotel everything well expect . Family Room 4 people consist 2 conveniently spacious room two small closet clothe clean comfortable bathroom . like room decoration , . simple dreary . every corner room something refine . every staff kind friendly . location excellent Paddington Station user Big Bus ( London Sightseeing Tour Bus ) stop also walk distance hotel . know London hotel price level hotel definitely one class ! note ! careful use safe . not close door safe personalize credit card ! ! 
 oct 22 2006 	 ideal base 	 ideal short break London . find good real life review read Hotel . clean homely , hospitable management staff - would stay . M.H . Winchester , UK 
 Oct 17 2006 	 comfortable 	 stay Darlington six night . room reasonble size plenty storage . bed , bed linen , towel good quality . bathroom decent size . room extremely clean good repair . location convenient . ( find ride bus often Underground . ) breakfast good . love love love English bacon . staff - front desk staff woman serve breakfast - excellent . laundry room wonderful convenience . charge three pound wash - detergent include - one pound 30 minute dryer time . iron iron board laundry room . coffee maker room consist electric kettle , limited instant coffee room . overall , nice hotel provide good value money . 
 Oct 15 2006 	 great hotel good location 	 Based Tripadvisor review , book Darlington Hyde one discount website . nervous , cause first time do , work great . husband , daughter family room ( 3 -- Room 17 , ground floor ) web discount rate 105 pound , incl . breakfast VAT 6 night late September . although another hotel book stopover night later early Oct , like Darlington much cancel , come back ( hotel rate 120 pound ) room : huge ! double single bed , comfortable . clean . also , small couch sit area , well desk . bathroom incl . shower / tub good size . pleasantly surprised . room in - room safe use credit card program , small fridge -- nice small grocery store Paddington Rai Station get fruit , carrot , wine evening , lot small fruit / convenience store area . on arrival Paddington Stn ( Heathrow Express -- worth money ! ) , know hotel , line get taxi , gentleman organize share ride , advise we walk ' towards line tree ' cause close . indeed , advertized , really 10 minute walk hotel even drag along bag , easy walk . the location great . arrive mid - morning , room check not 3 pm . store bag hotel ( convenient luggage storage ) , bite eat walk Hyde Park ( 10 - 15 minute easy walk away ) spend afternoon , waundere along Serpentine . find easy get around -- Paddington Station ( tube ) convenient ( another closeby tube station , close construction ) . bus also easy -- # 7 take we British Museum . tourist double - decker bus -- take first day orientation -- right well . there lot restaurant pub within block hotel . go Sawyers Arms first night pub food , another night ASK Italian -- within 5 minute walk . hotel also brochure place vicinity guest recommend . ATM nearby well . the hotel 's breakfast room ground , lovely skylight never feel like basement room . lady serve attentive , choice continental ( yogurt , roll , cereal , grapefruit salad whole fruit ) English ( bacon , sausage , egg , tomatoe , mushroom ) . daughter say hot chocolate well ! use small self - serve laundry , though little pricey compare laundromat Canada , convenient able load ( wash dry ) hour one evening . all , exceptionally pleased hotel , would highly recommend family . 
 Oct 2 2006 	 ' ve well 	 spend 6 night ; comfy , luxurious ( in - room safe ) ; tad small , able Tai Chi room . great location , near Paddington Edgeware Rd station , Hyde Park , Edgeware shopping area . price bad ( $ 160 / night ) . staff quite helpful : notify have blow circuit breaker , man literally RAN stair fix . 's even wash machine detergent . stay ever go back London . 
 oct 2 2006 	 wonderful 	 two stay day could not fault lovely hotel . staff friendly attentive , breakfast delicious great selection healthy option fresh bread roll . room elegantly set lovely furnishing . ideal location London - handy everything walk every where . we would highly recommend wonderful hotel definitely return . lucky get special rate internet . Sue Mike Ryan , New Zealand . 
 Oct 2 2006 	 great hotel reasonable London 	 book last minute business trip Lonon pleasantly surprisedjust short walk Paddington set nice row house . very pleasant helpful staff , especially arrival breakfast . nice get breakfast include nice toomy room spacious comfy bedroom face main road shut window finewould definitely stay 
 Sep 26 2006 	 agree reviewer 	 book two room 3 night September . everything great . staff friendly helpful . breakfast delicious fast . room clean decent sized , small opinion . nice sized clean bathroom . be locate within 5 min walk tube station many budget price restaurant , pub , grocery store . our room face street could hear traffic night not bad . lot motorcycle loud vehicle street noise not bad expect . advantage room face street get nice breeze open window , not think would much breeze rear face room . would definitely stay ! 
 Sep 15 2006 	 reasonable run - of - the - mill accommodation 	 Darlington set amongst row similar look hotel Sussex Gardens . five minute walk Paddington Station Heathrow Express make quite convenient air traveller . people hotel friendly eager make stay comfortable . breakfast well manage convenient add overall value experience . London know large room . Darlington exception . double room clean modern convenience . brother book single room nearby size large closet . quieter room back away Sussex Gardens , may also little small wonder cheap price reserve small room ? ! 
 Sep 7 2006 	 LOVELY HOTEL 	 stay 5 night 10th August . easy find u catch Heathrow Express airport , jut 15 min trip walk 2 block Sussex Gardens Darlington right . liked fact front door lock unless u access card buzz . hotel block front door open anyone wander in . staff friendly , happy oblige map , umbrella wine glass bottle opener room . suite separate lounge nice . bed little old spring u could hear move u sit apart really nice room , period decor clean . breakfast restaurant downstair nice waitress helpful . english second language friendly remember personal detail ie : type coffee etc . great location walk Paddington station Edgeware station , 10 min walk Hyde park Harrods around side abouit half hour walk along Edgeware road , Regent st Oxford st , basically really central . totally love stay def return . 
 Sep 5 2006 	 comfortable 	 stay Darlington pleasant experience . staff pleasant , room clean spacious , breakfast hearty . hotel 's no - smoking policy much appreciate . 
 Sep 4 2006 	 Great Location Good Hotel 	 husband stay hotel last week upto Saturday . room 206 ( second floor right next lift ) . good size good amenity include tv tea / coffee make facility safe . Bathroom could revamp clean room . good Breakfast . proximity hotel Paddington station Heathrow Express big plus . stay pleasant one however could hear every step take guest room top due squeaking floor board . annoy especially morning since wake we early intend ! 
 Aug 16 2006 	 great location comfy 	 daughter stay last weekend really enjoy . room right size , clean , comfortable . include breakfast also excellent . definitely stay next time London . 
 Aug 15 2006 	 great hotel air con 	 great size room , great location great staff . downfall 36 degree heat london , room air conditioning . would like mention manager assist upgrade small fee could get large room check 9.30am morning . arrive 23 hour flight bad cold could not deal walk around london 36 degree heat 5 hour . manager accomodate friendly . include b / fast great . could fault hotel except lack air con often London get temperature ? ? room fan provide relief . would definately recommend hotel location , price , facility service excellent . 
 Aug 10 2006 	 good location bit shabby 	 Darlington great location . quick walk Heathrow Express Paddington Station . unfortunately room get pretty old need renovation . addition , room air - condition July heat open window meant room , noisy . breakfast however fantastic - easily one good breakfast would . be want somewhere stay night move onto somewhere else would recommend Darlington . 
 Aug 7 2006 	 great hotel . highly recommend 	 spend week Darlington Hyde Park July 14 - 21/ 06 ( middle heat wave ) . would nice air conditioning , able sleep comfortably use portable fan room . find location convenient - 5 minute 3 block Tube Paddington Express . room ( 103 ) large nicely decorate 3 set large french door open overlook street . suspect one good room hotel . large bathroom extra large bathtub . breakfast excellent - everything make fresh order plus cold buffet . clean everywhere staff helpful . good , price reasonable - 87 Pounds include tax breakfast ( book hotel 6 month prior ) . location great Hyde Park nice neighbourhood easy access Speakers Corner , Marble Arch , Kensington Gardens Paddington train tube station . would highly recommend hotel . 
 Aug 4 2006 	 Great Hotel 	 stay 2 ocassion July . middle heat wave provide fan ocassion . first stay give room face inner courtyard noise problem open balcony . second stay give room face street next elevator , public telephone reception entrance . honest problem noise sleep well . hotel staff helpful . breakfast good indeed girl serve nice . hotel even laundry room use guest , plus we travel 10 month old baby . be bit pricey operate washer dryer price include detergent softener . bathroom clean . room include mini fridge safe box . location superb Paddington station block away . Hyde Park also near enjoy walk baby . definetly stay . 
 Aug 1 2006 	 good location hot noisey 	 stay Darlington Hyde Park Hotel two separate night July 2006 2 week apart . night happen middle heat wave effecting southern England . unfortunately neither room stay air conditioning , mean leave window open chance get sleep . would fine , except room face street traffic street night long . Suffice say good sleep either night . on good side , however , hotel staff polite room impeccably clean . shower good water pressure , safe room nice bonus . finally , hotel 5 minute walk Paddington Station , convenient ; Paddington major underground station also express train Heathrow airport . instead spend 60 pound 40 minute cab ride airport , spend ~20 pound 15 minute express train ride . want travel around city sight seeing , Underground minute away . also , room rate pretty good . second night stay small room first night , fine we since need sleep ... 89 pound ! ! be almost unheard hotel room London . I would recommend DHPH long need air conditioning keep window close . otherwise will hot keep traffic noise . 
 Jul 24 2006 	 Darlington get 5 	 London expensive crowd , hotel work great we . come 2 - week german / Poland trip , need place stay one night near Heathrow Paddington zip around site day . hotel easy walk Paddington , Heathrow Express end . lot restaurant shop area 's easy connection Underground . room 3 adult huge , large far 2.5 - week european vacation . amenity could want , typical lovely rowhouse street . highly recommend hotel . 
 Jul 13 2006 	 Excellent Hotel 	 stay Dalington Hyde five day June . everybody friendly accomodate hotel help we number way . able book family room , accomodate 3 4 people . family three , large room . we four people , room still spacious comfortable . room locate ground floor face back hotel , away street noise . also , room locate directly breakfast room , young kid disturb guest afternoon / evening playing room ! bathroom clean , hotel overall , London hotel large . hotel provide rather good selection soap / shampoo etc . really common Europe . also , hairdryer instal bathroom , almost hotel England , normally Continent . bed european sized , comfortable . room include small hotel sized fridge safe . breakfast nice good number choice . breakfast room bright cheerful waiter accomodate nice . see guest arrive breakfast end serve time still able receive good selection everything , include fresh tea coffee . hotel a / c hot June . open window turn room fan help . hotel washing mashine dryer hotel guest use . neighborhood around Hotel good London ( work class , seedy ! ) . feel perfectly safe child . restaurant recommendation area mid - range restaurant , one try , good value England actually rather good . Paddington Station close able get Westminster Station 20 minute . also use one double - decker sight - see bus stop Paddington Station . Hyde Park close entrance close Darlington Hyde lead small playground ! perfect day museum kid ( parent ) . overall , already recommend Darlington Hyde friend would come . 
 Jul 11 2006 	 love hotel ! 	 partner stay end May . train station 5 minute walk . arrive hour early check time hotel hold bag go hop - on hop - off double - decker tour . ' excellent value ! London , general , expensive think hotel worth cost . make arrangement directly hotel able get good deal . excellent place dine within walking distance . purchase ticket show Garrick theatre dine afterwards one italian restaurant . cab fare ' bad get around many tourist attraction nearby . go Portobello road shopping coffee . hotel also pamphlet excursion . go Stonehenge tour company pick we front hotel . side ' get transportation directly back hotel . hotel exceptionally clean excellent , quiet location . large room nice , however , air conditioning . luckily , hot , muggy day last night . otherwise , would difficult get sleep heat . 
 Jul 7 2006 	 OK 	 stay Darlington mid - June 2006 . suite 4th floor , sit room noisy street side , bathroom , bedroom quieter backside . room ok - not big , , other say , somewhat shabby , clean . London hot time , make room sometimes swelter . air conditioning , open window let lot street noise . would want regular room face street . fan , ok , never really cool . 2 day , elevator not work , haul go 4 floor - fortunately work transport luggage . staff friendly enough , location convenient bus , underground , train transportation . ton hotel restaurant area , hotel brochure list 10 nearby restaurant supposedly recommend guest - we try couple , ok . beware , however , Paddington area attrack low life , hassle street ; one restaurant recommend hotel 's brochure , one punk come , start hassle , eventually punch run . careful . overall , give high price everywhere London , Darlington ok money . 
 Jul 4 2006 	 ok stay well price 	 stayed Darlington Hyde Park one night end June . room back hotel small . photo show review room front face street . room nearly big . foot walk space bed build desk . bathroom also extremely small . however , definitely clean staff friendly . a / c , room fan . Breakfast include , do not believe & quot ; egg cook order & quot ; . ask egg white due dietary issue , told & quot ; , kitchen busy & quot ; . overall , ok , stay 4 night Hesperia London Victoria price much big , A / C , pool workout area . Darlington work budget hotel , think search find well price . 
 Jul 3 2006 	 Darlington Hyde good get 	 review right hotel ' gem ' . excellent location , helpful staff , incredible breakfast , nice room .... previously stay area Hyde Park Paddington Hotel aka bad hotel London Darlington comparison , however price ? ? ? Darlington highly recommend ! 
 Jul 1 2006 	 highly recommend 	 excellent tourist class hotel . clean , spacious room . friendly staff , good breakfast , excellent value money . suggest request room back hotel road outside noisy 24/7 . 
 Jun 27 2006 	 Superb budget hotel 	 stay one night end holiday . everything excellent - staff friendly helpful , whole hotel clean , breakfast good charming room basement . room small ( expect ) fine , french window open - real bonus we . budget hotel expect huge tv egyptian cotton sheet bed . restuarant recommendation nice touch . we big difference budget hotel friendliness helpfulness staff - freshness cleanliness hotel . find noise problem could room location . would definately stay . 
 Jun 25 2006 	 large clean room 	 ( family 4 2 teenager ) return Europe . spend 3 night Darlington . find room large clean . bed comfortable . lot street noise front hotel , none back . breakfast large satisfying . London heat wave ( 87 degree several day ) . hotel air condition room . luckily room fan . room unbearably hot dark . location fine -- row hotel 5 minute Paddington Station . near large street ( Euston ? ) many middle eastern restaurant . Cafe Maroush ( Lebonese ) delicious pricey ( not London ? ) . Monkey Puzzle , street ) nice pub outdoor picnic table barbeque night . 
 Jun 25 2006 	 Darlington Hotel Great Place Stay 	 spend 2 day Darlington Hotel , Hyde Park , would highly recommend short break capital . staff friendly helpful , mum twin room 4th floor , lift , bed clean comfortable , towel big fluffy , downside , warm , window open , 24 hour noise London , fan room also fridge safe . breakfast really nice , help buffet cereal , roll , yoghurt , fruit fruit juice , cook breakfast include price , hotel convenient , 5 min hyde park , paddington lancaster gate tube , 15 - 20 min walk Oxford Street / Notting Hill , find 2 street restaurant close , highly recommend ASK , pasta , , salad , pizza chocolate brownie cheesecake ! ! , would hestiation choose stay . 
 Jun 23 2006 	 Darlington Hyde Park Wonderful ! 	 wife stay Darlington Hyde Park May . select Darlington Hyde Park thorough research - particular TripAdvisor become standard travel review - live expectation . hotel clean upscale . staff friendly , professional , informative go way accommodate need - stay . room clean quiet , although small side compare US stds , suit need well . in - room refrigerator safe plus , location proximity Paddington Station . Darlington Hyde Park serve excellent english breakfast . would definitely stay . 
 Jun 13 2006 	 clean hotel friendly staff 	 plus side , hotel clean , staff friendly helpful - especially breakfast staff . look forward breakfast every morning sunny room limit cook- to - order menu - they well breakfast Europe ! bathtub nice deep relaxing day sightseeing . location good- take 15 minute get Paddington tube station Heathrow Express . Paddington tube 10 minute walk hotel . Paddington many stair 70 year old mother negotiate , relieve Lancaster Gate tube station 10 minute walk 1 set stair . negative side room cold - regardless temperature thermostat set , towel warmer not work , safe would not accept 3 american credit card lock , twin room ( 2 twin bed ) bed top sheet blanket could warm time . room face noisy street use earplug . leave room key slot inside door work electricity . carpeting bedding appeared shabby . enjoy hot tea biscuit room every afternoon . 
 Jun 9 2006 	 worth 	 owner family member leave teh positive prior review ? room rather large , bed small uncomfortable . list 4 star , furniture look liek take cheap motel . tv tiny ( would even take something small camping ) . nice location , literally 100 hotel area . 2.5 star hotel 4 star price . Whiel teh hotal air conditioning , room , wantto try cool open window hear loud sound teh busy street border hotel .. stay Hilton Paddington much nicer . 
 Jun 8 2006 	 excellent stay ... 	 stay 4 night end May find hotel quite nice . yes room small side expect . hotel clean staff friendly helpful . room locate front hotel get road noise morning heavy curtain issue . breakfast serve room downstair get choice english breakfast , continental egg cook order . lady wait we frindly great mood day . btw : english bacon excellent , much well get state . the area around hotel nice quiet many pub restraunt within block . hotel brochure highlight top restraunt area pick traveler . try indian restraunt find good . well , couple block hotel Victoria Pub find good steak ale pie . well , Paddington Station Lancaster Gate short walk get hit different tube line . downside ? ... wash clothe provide sure take ..... iron avalable room one locate laundry downstairs ..... wi - fi 5 pound hour 10 24 hour . as whole great trip although mention forum , London quite expensive town due exchange rate we Americans . smoking allow everywhere make hard sit inside pub long . jeff 
 Jun 3 2006 	 brilliant place stay 	 first trip use web base review tripadvisor truly say tripadvisor say like . even check number review writer give we good feedback Darlington . Darlington Hotel cut review Sussex Gardens . close Paddington Railway station perfectly place variety eat shopping venue . Hyde Park Oxford street comfortable walk distance A40 highway London road . stay 5 day May 20th 3 day 23rd May . stay room 108 back hotel nice quiet room 303 3rd floor , lift . room keep spotlessly clean . breakfast full english breakfast include price r87gbp two people . management reception always pleasant accommodate . security superb . would highly recommend use Darlington base explore London . definitely go back next trip London . 
 Jun 2 2006 	 Disappointed 	 book hotel reading review , disappointed get . hotel indeed quaint , staff friendly ( always knowledgeable ) , room large , location great catch city transportation . however , could hear every step guest we take ( get 6 ) window old , leak cold air noise . sheet inexpensive type bit scratchy . guest get bath towel hand towel - if want , pay . hotel set wireless , otherwise tell computer we use . however , internet café couple block away . breakfast room bright cheerful food average , ( egg cook order ) basic . first trip London , maybe hotel , would pay money quiet room comfortable bedding modern facility . 
