fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Oct 24 2007 	 aging gracefully wrinkle . 	 family stay RC SF 3 night , October 20 - 23 , 2007 . several year since last stay , curious see hotel age . review property follow . the RC SF locate Stockton St. California Pine mid way Nob Hill . impressive look structure entrance handsome lobby area locate fourth ( street ) level hotel . construction ongoing corner California Stockton , appear unconnected hotel ( eyesore ) bother . arrive around 1 p.m. check front desk painless . 2 room reserve , Club floor executive suite nearby club king room . suite ready occupancy , king . room locate 8th floor actual location club lounge , though think RC classify 7th 9th club floor well . elevator 8th floor via key access open directly lounge area greet warmly club concierge . stay club floor RC know drill . light breakfast , lunch , tea , dinner dinner serve serve appropriate time coffee , tea , soft drink , beer , wine cocktail available day . rate run $ 150 night standard room , generally find worth money . always good variety sandwich , crudités , cheese dessert RC SF , menu selection never seem change much stay . still , pleasant space popular gathering spot . lounge & quot ; child friendly & quot ; make bit active part stay . bothersome really , active . suite typical RC " executive " configuration . door open small foyer closet half bath . foyer open living room desk , love seat 2 arm chair . window provide view of … well , much . ( stay RC SF several time several different floor never view much anything except building . ) balcony , window open 3 inch allow breeze . glass panel door sheer curtain separate living room bedroom , nice sized find comfortable king bed . dress area bath ( separate tub shower ) behind bed . suite clean fairly well maintain . pull carpet bit tear fabric , nothing bad . bed , furniture extremely comfortable needed updating , feel . new flat panel TV ' present living area bedroom . wireless internet $ 12.95 day available , somewhat slow . bathroom bit cramp poorly lay , think , serviceable . good water pressure stay . the RC SF nice spa usual service available . also good fine dining restaurant par RC property . talented harpist lobby bar afternoon excellent sushi chef evening . house car available trip within mile hotel . big substantive complaint stay noise level room . know other site make remark . window appear orginal equipment ( recall property open 1996 ) great deal insulation . great deal bleed street noise hour day night , annoying . picky . service hotel start great go downhill . quite impressed Valentine , club concierge , front desk bell staff ... Jason Joel front door especially nice helpful . however , staff member lobby lounge outdoor patio terrace bar ( second floor courtyard ) weak . several server lobby bar stand around chat one another , good job watch floor . still , service lobby lounge stellar compare patio outside terrace bar . attempt enjoy spectacular afternoon cocktail could get anyone wait . finally ask drink pass staff member ( apparently work patio ) tell " go upstairs lobby bar get drink " bring back . odd , think , people eat ( inside ) terrace restaurant . certainly level service expect RC . also disappoint servicing room . leave early one morning return 4 p.m. find neither room clean . call front desk inquire room would clean , tell ask " early " service . huh ? , picky comment . sure Mr. Roa ( respect respond post site ) admit , however , fine detail separate 4 star 5 star property . interest full disclosure , admit fan RC chain stay dozen property around country . ( Pentagon City Cancun 2 favorite . ) frank , though , prefer Huntington Hotel San Francisco . street top Nob Hill California . small , independently own , wonderful view room front California ( Grace Cathedrial park , bay visible distance room high floor ) well keep ( although , fairness , somewhat date ) room . impeccable service . club floor , big 4 bar restaurant compensate clubby wonderful . plus , even though favorite room front busy California St. , much quieter due heavy , insulated window . would stay trip , book late property full . so , RC SF age since open mid 90 ' ? fairly well , think , exception note . give solid 4 rating . take care noise problem work bit service issue , 5 . pleasant stay . hope helpful informative . safe travel everyone . 
 Oct 18 2007 	 Nice Hotel 	 hotel nice service average . room furnishing also nice . think bed okay comfortable place . shower pressure terrible need correct . price food drink line . staff overly friendly nice enough . 
 Oct 16 2007 	 horrible Check Hotel Great always 	 still stay hotel want share experience other not make mistake . stay establishment several time rank favorite San Fran . Omni JW Marriott though tie first place though , must say . the room great . exactly would expect Ritz . comfortable , clean , Inviting . check - in another story . request early check early flight tell would note . fiance celebrate 5 year aniversary together might add check process almost come end ..... sit hotel lounge area 3 hour ! ! ! first offer bottle water time progress sit ' stew ' nothing offer . kind bartender eventually came offer we drink observe frustration . eventually , give key room mention , try call past hour room ready ? ? ? sit right ? ? ? understand something like could happen , honestly . horrible experience . tear eye time get room sheer frustration . I want make something clear though . staff wonderful , severe breakdown communication amongst yesterday . word wise , take early check grain salt . seem people take reservation actual staff communicate . 
 Oct 14 2007 	 almost perfect - noise exception 	 good : check - in : arrive noon delighted find room ready we . room few five minute enter hotel . room size / appointment : room generously size decor undated elegant . enjoy large flat - panel television . gym : good selection weight , treadmill , elliptical machine , many attach television . water cooler fill ice water slice orange cucumber . Delicious . locker rooms shower impeccably clean well appoint . check - out : despite busy day check , hotel able accommodate request leave hour later schedule check - out time . the not - so - good : noise : initially place courtyard - face room ( number 460 ) . beware – though room face courtyard , ' still noisy . room sit across maid 's station , mean experience fairly constant yelling / ice bucket fill / garbage bag shake / door slam early morning conclusion turndown service . inform hotel issue , hotel 's credit , immediately move another room . shower / tub : review express , bathroom well - appoint Bulgari product , combine tub shower hotel caliber anomaly day . water pressure shower head could well . overall impression : ' probably stay , ' bring earplug next time . 
 Oct 2 2007 	 Ritz Carlton lose Edge 	 problem start Checkin . 3 pm PST .. room ready . able check , room type request grant . reservation make several month prior note contact room could grant . upon check room , bathmat fray never change 4 night stay . hair find tub bathroom . disgusting . never remove several cleaning . travel ALOT not tend picky , problem . 5am wakeup call register day checkout . vigilant , would miss flight back East Coast . think twice make reservation . potentially let . 
 Sep 19 2007 	 Jackhammers outside Ritz 	 long - time Tripadvisor reader frequent guest Ritz hotel , think post . though stay Ritz Carlton , work office building opposite . notice last week ( since Sept 5 ) construction crew tear sidewalk outside property along California Street . my colleague & amp ; remark , & quot ; wow , imagine romantic stay Ritz wake 9 am jackhammer . & quot ; although construction along side property , jackhammer loud hear office window shut . ' m sure management team deal appropriately . would inquire jackhammer book stay . look like could do soon ? attach picture take Sept 19 , 2007 , 3rd floor building . yes , jackhammer loud . I would like say ( one happy occasion ) lunch outdoor cafe , wonderful experience . food delicious staff good . Service Ritz brilliant . 
 Sep 17 2007 	 one good city hotel anywhere 	 stay Ritz San Francisco baby 2 year old wonderful experience . lovely suite great view . travel frequently say hotel one beautiful ' ve every stay . room service fantastic . provide child - proof kit nice touch . definitely go back ! 
 Sep 4 2007 	 true Luxury Amazing Service 	 SERVICE : want experience true 5 - star service , visit San Francisco Ritz - Carlton . many year profession customer satisfaction research administer report feedback thousand customer satisfaction survey , interview , focus group . lead many , many customer service improvement team various industry . ' ve never experience customer service perfection . every employee five day hotel exceptionally friendly , concerned , knowledgeable , poised , extremely well - train . keep try find flaw present staff number request challenge . pass test fly color . rate package : hotel expensive . however , compare main rival , Four Seasons , Ritz less expensive . highly recommend check hotel 's website package . try get many service include room rate possible every extra service use expensive . booked & quot ; Bed Breakfast & quot ; package include $ 55.00 per day /per room credit breakfast , valet parking ( least 50.00 per day ) , free internet access - 13.00 per day . package rate $ 429 feel good deal hotel . TIP : get package , likely provide letter registration explain / confirm package rate include . recommend read carefully . website tell internet include package . detail letter hand register . also , check hotel 's website frequently rate change quickly . hotel get enough booking time period , rate may fall package offer service less money . go stay hotel could not get guarantee king bed room Club Level . however , day arrive , check website & quot ; Bed Breakfast & quot ; package offer $ 429 . think great deal cancel reservation 4 - star hotel stay Ritz instead . PUBLIC area : gorgeous luxurious - - like traditional furnishing . ritz traditional well anyone . be beautiful yet avoid stuffy . really enjoy spend time public area hotel . ROOMS : one area wow , room . luxurious , large , every thoughtful ammenity place finger tip . traditional decor , however , understate point almost bland . color scheme pale yellow , gold , taupe white trim ceiling - - pretty much everything one color -- monochromatic . furnishing top notch , however , room definitely luxurious feel , comfortable , quiet immaculate . bed wonderful feather bed mattress . nice , chain - 3 4 - star chain , provide similar bedding stand much perhaps past . want clear dislike anything room , lack & quot ; wow & quot ; factor . , however , matter taste friend see room love it . I like room laptop safe , flat screen tv , DVD Player . mini bar actually item want . well stock product high quality - - albeit expensive . not mind pay quality convenience afford I . ROOM VIEWS : hotel situate room provide panoramic view S.F . also room face hotel 's courtyard . aware go hotel problem . would happy either since street view great . BATHROOMS : hotel open 1991 . today 's standard , bathroom ( room ) small large new hotel . , however , luxurious . apparently large suit separate shower bath tub . tub large usual although huge soaking tub hotel provide . right visit Ritz - Carlton , stay 4 - star hotel . marble bath hotel enormous soak tub shower separate . 's anything wrong 5 - Star Ritz , 's 4 - star competitor quickly close gap area rate competitive . Bulgari bath ammenitie wonderful . rarely notice travel ( 100 night year hotel ) really like even buy gift shop ship home . FITNESS CENTER : well - equip fitness center floor one hotel . usual equipment small indoor pool . treadmill cross - trainers individual tv headphone provide . men ' locker room great marble everywhere nice wood locker . steam bath great ! Shower gel , shaving cream , conditioner , shampoo , huge towel , etc . provide . spa : hotel small spa . TIP : want get spa treatment , would book much advance possible treatment room limit . overheard two telephone conversation guest unable get massage everything book . VALET : use hotel 's laurdry / dry cleaning service three time . expensive , laundry in - house great job quick ! turn laundry early one morning back 1:00 2:00pm . location : hotel excellent location Nob Hill . be block everything - - although one reviewer say , will walk steep hill get back hotel . overall , give hotel excellent rating . recommend highly 's one good luxury category - - especially snag great package like . four season may whistle bell - - well high rate , Ritz wonderful way . 
 Sep 3 2007 	 Perfection 	 every Ritz quality ! stunning hotel , peerless staff , superb room . location good , near downtown Union Square without middle much activity . anyone would wonderful stay . 
 Aug 29 2007 	 absolutely first class 	 stay last leg honeymoon . we stay club level absolutely worth extra . quite possibly good hotel stay in . the room sumptuously appoint , service unbelievable food presentation ( six every day ) world . not even hint stuffyness staff refresh . the staff make we feel special . even chauffer drive restaurant one night . club level get dedicated concierge good we . every time reserve restaurant we , unbeknown we , tell restaurant honeymooner get good table . this hotel absolutely fabulous . pure , unadulterated luxury special treat , can not recommend highly enough . I totally sell Ritz Carlton group . 
 Aug 27 2007 	 good hotel experience ever ! 	 family stay 5 day far good hotel ever stay ! moment pull hotel time be wave farewell , king ( queen matter ) ! single member staff unfriendly , talk great customer service training ! anyone , like , think customer service die 20th century not stay Ritz - Carlton yet . it staff member 's personal goal make sure everything need try hard satisfy every way possible ! really go beyond would expect hotel resort , regardless pay . we stay Club level tell money well spend . travel toddler 8 - year old , not easy get go eat three time day , food Club Lounge perfect we . five food presentation every day indescribable ! great breakfast display lunch afternoon tea follow caviar light dinner display top decadent evening dessert presentation . say presentation , really mean beautiful arrangement artistically craft food creation appeal eye taste - bud . the pool / spa wonderful treat spend almost two hour everyday . 1st level spa ( way 4th level main floor ) like peaceful retreat mostly noisy bustle city around hotel . fill scented candle soft music , really get full relaxation need . locker room elegantly appoint bath necessity could ever need . the room nicely decorate bed bed soft . bathroom spacious Bulgari product definitely nice treat . luxurious bathrobe slipper ready we day even small size kid ! even roll - away bed order soft comfortable . as location , close everything . place walk distance hop one & quot ; House Cars & quot ; get whisk away luxury place want around city . great complimentary alternative take taxi 's everywhere give tip , would taxi well . wife really enjoy drive dinner brand new Mercedes - Benz S550 do quick call Hotel pick right outside restaurant . talk VIP service ! decide walk destination ( quite often ) , prepare walk steep hill . expect almost anywhere San Francisco 's big surprise . actually find bit fun , challenging time , run hill push stroller ! really big deal even be shape like be . we definitely go stay pretty much Ritz - Carlton available ! 
 Aug 26 2007 	 stay Ritz ! 	 stay Ritz one night recent business trip . last minute , husband join experienced hotel business traveler romantic getaway . the Ritz score well count . business hotel , conveniently locate near financial district . business center servie ( though pricey ) vast , quickly get need . wireless connect quickly stable - though one computer could connected internet . romantic getaway , Ritz nice . work birthday , hotel staff help husband surprise good chocolate - cover strawberry ' ve ever along champagne . also delicious dinner room , bed extremely comfortable . service excellent front well . honestly , little relaxed business trip ! sometimes stay high - end property overrate ... Ritz , however , earn name one - night stay . 
 Aug 20 2007 	 fabulous stay ! 	 stay three night mid August husband four child . three room sixth floor ( two connect ) . minute arrive meet wonderful politeness helpfulness . concierge extremely knowledgeable helpful recommendation make we dinner fabulous . bed comfortable sleep long ! room spotlessly clean large bowl apple scatter round hotel help . couple sour note - breakfast great rather expensive price pay . also , son massage spa . sign slip afterwards add & quot ; therapist service & quot ; . assume tax sort , also give therapist tip . afterwards discover & quot ; therapist service & quot ; fact another way say & quot ; gratuity & quot ; ( 20 % ) . point staff mention service already include pocket extra tip ! deduct bill discover . say , though , great stay wonderfully locate central hotel . comfortable perfect family . hill keep fit anyway shop fantastic ! one word caution - make sure book ticket Alcatraz get . not , last time visit could easily buy . seem new company take sell quickly . tout around sell ticket want four time face value , prepared pay . 
 Aug 14 2007 	 trust place stay 	 stay Ritz Carlton several occasion . time stay club / concierge level floor plus : nice large area relax , coffee , breakfast item a.m. , snack , cookie , cheese , wine , beverage . employee encounter throughout hotel go extra mile nice - real plus . room traditional decor , relatively low ceiling seem pressure shower tub little low - attribute old building . great amenity - hook IPOD bose speaker unit room awesome . good towel , robe , shower amenity , make mirror , modern iron board - top notch . parking fee ridiculous mention review . location bad - sophisticated central lot thing downtown SF . 
 Aug 5 2007 	 worth money 	 stay hotel two interconnect child terrific time . hotel maintain right balance professional service friendly approach nothing much . staff make difference therefore would highly recommend stay . location good steep hill problem park expensive $ 75 night plus tax ( use Mary 's car park two block East $ 32 night total ) . however cable car take almost door . spa great although pool cool quite shock . overall , great hotel . ( look Fairmont hotel tired pretentious bad location . ) 
 Aug 1 2007 	 Wonderful escape 	 husband leave teenager escape City celebrate birthday . arrived greet warmly . horrific day look forward get room asap could unwind . briskly walk car straight lobby . greet least two three hotel employee somehow already know name . stay club floor room worth extra $ 100 . room beautiful recently renevate ( ? ) . club staff definately ensure pleasant stay . food lite yummy drink make Johnathon perfect . Francisco Crystal also make sure stay perfect . Crystal even get we last minute reservation Aqua birthday dinner . thank Ritz - Carlton make birthday relax , fun overall pleasant experience . can not wait return . sorry not photo believe room # 823 . end quiet . 
 Jul 30 2007 	 experience perfect 	 loooove looove love Ritz Carlton product , especially look forward stay twice year visit San Francisco . many thing adore property change unfortunately important thing slip . visit , reservation make directly Hotel two month prior stay . call direct order book specific room -- like much past -- room approximate corridor offer similar view . difficult request due size property number room fit description- first choice available , hope exterior view restrict budget . also request two dinner reservation visit . arrive Hotel check , inquire location room tell interior facing . request ideal . ask young woman front desk special request say could accomodate Hotel quite book . ask might high category room Suite available . unfortunately , tell option . happy sitaution , still happy one favorite place succumb headed room . thing go along usually ... lovely flower , pleasant staff , well maintain facility , nice display food drink ( Concierge Floor ) expect top notch Ritz Carlton SF experience . day two hoofing around city day return hotel get ready Dinner message regard Dinner plan - the RC mistakenly make 8:00 P.M. Dinner reservation evening . 5:45 P.M. Concierge contact restaurant unfortunately unable accomodate we . concierge suggest option - we take suggestion , phone we back notify we opening 6:45 . unfortunately since Saturday night option limit . quickly shower headed Dinner . return dinner Concierge greet we ask everything . tell restaurant pretty nice atmosphere food okay . inquire eat rest stay tell dissappointe thing breifly detailed room situation , miss reservation , etc . state & quot ; experience perfect & quot ; & quot ; contact future could assure would taken care & quot ; . Hmmmm - can say stunned ? think ' m sorry hope would enjoy food might cover tactfully . enjoy remainder evening think wow - do happen ? true , & quot ; experience perfect & quot ; frequent traveler fully well know . not think line utter staff member circumstance let alone one especially since ( ) answer question . People make mistake , call mistake . irk willing overlook less flawless stay . one mediocre visit would prohibit future one . hope hiccup . figure place seem understaffed ( turn service occur well 10:00 P.M. ) , dirty plate glass everywhere especially Morning cocktail Hours . lastly request late check something could accomodate . big deal certainly expect $ 600.00 night . 
 Jul 21 2007 	 enjoyable stay 	 arrive home stay Ritz Carlton San Francisco . truly wonderfully run hotel every amenity provide . misstep beginning address not . arrive 3PM checkin tell room quite ready check back 20 minute . check back tell would another half hour least . point offer drink lounge even glass water surprise . upon arrival room 4PM delight find large comfortable room lovely view toward front . point forward service truly Ritz . we breakfast package take advantage next morning . 37.00 Buffet way steep offer seem affect anyone except we . tell could go buffet part package later learn 55.00 credit allow pay difference . another little misstep otherwise wonderful experience . french toast regular menu wonderful suggest skip buffet go ala carte instead . the hotel Cable car stop right corner buy either day three day pass ride since 5.00 way . check Concierge buy three day pass get cable car . use system go around city work perfectly we . parking pricy 59.00 night ( yes , 59.00 ) garage street 32.00 go day use cable car . lovely experience would highly recommend hotel . 
 Jul 17 2007 	 pure class still friendly 	 stay number Ritz - Carlton hotel throughout States whilst travel business . long favourite hotel chain , hotel San Francisco one well ever experience . the staff delightful , extremely friendly helpful . concierge service superb . give we restaurant recommendation dinner two night run , restaurant absolutely first class . also advise take particular wine tour Napa , one good excursion ever on . our room extremely spacious comfortable , rare occasion use room - service , quick efficient . Lobby Lounge evening feature & quot ; cool & quot ; jazz singer pianist , ideal accompanyment nightcap retire . all superb hotel offer perfect balance efficiency friendliness . 
 Jul 11 2007 	 treat exchange rate allow ! 	 exchange rate offer $ 2 pound luxury that s merely pricey rather unaffordable splash great . we basic room package food can not comment food . room large spacious , bright , large flat tv good big bathroom 2 basin . excellent tea coffeee maker big wooden case door welcome hard day shopping sightseing . a tray chocolate farewell message last night nice personal touch . great location near Union Square shop , cable car stop right outside chinatown round corner . swimming pool whirlpool spa enjoy we daily never busy . a later checkout 1400 readily agree without hassle , unlike many hotel strongly resist request stay beyond 12 make feel unwelcome . concierge helpful , ask find Armistead Maupin sign new book - find within minute send map location newspaper article previous day . top mark speed helpfulness 
 Jul 6 2007 	 Top Notch ! 	 second time husband spend anniversary Hotel . book bed breakfast package dinner reservation Dining Room . come service greeting Ritz Carlton unbeatable . upgrade we one bedroom suite huge comfortable . anniversay leave we chocolate flower pedal bed . nice touch ! even free town car guest bring anywhere city . dinner fabulous expect breakfast morning great . I understand could like place . get pay , simple . clientele chic even see well behave child . we make annual event on . thank Ritz ! 
 Jun 30 2007 	 Perfection ! 	 host daughter - in - law 's baby shower hotel work event coordinator period time detail . whole staff hotel extraordinary , coordinator , reception desk , concierge , housekeeper , valet bellman ! facility beautiful well maintain . staff warm , gracious welcoming . room large comfortable . the spa rather small adequate . luncheon delicious staff anticipatory guest ' need . Sunday brunch amazing ! absolutely delightful weekend hotel would hope another event . recommend Ritz highly ! 
 Jun 27 2007 	 nice five star 	 visit San Francisco twice year usually stay four star hotel like Grand Hyatt Argonaut Fisherman 's Wharf . decide time would try Ritz everyone seem talk . check Friday stay till Monday . upon drive entrance hotel , valet quickly open door ask we whether wanted use hotel 's parking service park public parking lot not far hotel . liked not automatically assume want pay $ 59 / night hotel 's parking service . ultimately decide use hotel 's service 's convenient give San Fran $ 59 / night not bad . we check front desk everything go smoothly . everyone greet smile & quot ; hello & quot ; . interesting little bothersome entire stay one bother find name , friend come room book . Hmmm .... state early , Club level great . food available nearly day . really not go meal not want . fact , would probably pay $ $ $ 's similar food . prosciutto salmon breakfast caviar foie gras dinner ! could ask ? ! limo service also great . Hop ride anyplace city . not understand reviewer upset tipping , 's way folk make live . take cab have cost much tip . 's big deal ? room large compare hotel ' ve stay . bed comfortable . amazing thing well window insulated noise outside . sure due renovation . however , could hear folk walk around hallway talk loudly , not happen often . security seem good . one time leave door slightly open security knock let know door open . bad . all pleasant stay . worth money ? sure since get 90 % service amenity four star hotel . 's nice see wealthy live ( vacation ) . 
 Jun 14 2007 	 Old Money ... 	 common area lobby hotel beautiful , ' m sure suite . however , standard room could not help think rich , old relative house not touch since 50 's 60 's . Lot 's & quot ; fuzzy & quot ; upholstery , pillow drape , etc ... bathroom standard , shower / tub combo ( though Bvlgari product nice ! ) . ' m sorry , far ' m concerned , 2007 , hotel 5 star , charge $ 500 night standard room , without separate shower tub . also , lady , please warn & quot ; salon service & quot ; . book pedicure spa ( , way , incredibly screw reservation dept . ) . $ 125 lead upstairs , one regular hotel room bed take replace 2 & quot ; grandma chair & quot ; , hand remote control t.v . , tell could change channel want . ? next 45/50 minute sit uncomfortably upright receive pedicure , bowl water foot poor manicurist keep run bathroom change , think could not possibly Ritz Carlton . forget spa chair aroma therapy ! type temporary arrangement , yet nothing say , price certainly adjust . ( oh , & quot ; considerately & quot ; add 17 % tip total . case forget guess ... ) highlight hotel without doubt service . everyone hotel extremely gracious willing help . doormen exceptional . 
 Jun 12 2007 	 Tacky Incident Marred Stay 	 stay Ritz Carlton San Francisco April 30th May 5th . people mention , hotel beautiful staff polite cheerful -- 's everything would expect world class hotel . maybe 's make happen seem tacky . common spanish name , wife call hotel one night switchboard operator Ritz Carlton say , & quot ; guest employee ? & quot ; not really mind consider one spanish speaking staff Ritz San Francisco , bother question -- & quot ; guest employee ? & quot ; -- would never ask caller ask speak , say , Ted O'Reilly Rebecca Schwartz . fair fair , treat equally . contact Ritz suggest retrain operator staff ask simply & quot ; ( blank ) guest ? & quot ; leave & quot ; employee & quot ; part . Ritz send generic acknowledgment receive letter , otherwise response . 
 Jun 5 2007 	 place ! 	 hotel refuge city ! come door , be good ! ambience staff make location second none . suite guest , take advantage exclusive happy hour fantastic breakfast overlook city ! choice , swing , truly wonderful hotel ! 
 May 29 2007 	 wonderful oasis bustle city ! 	 spend 2 night Ritz San Francisco Memorial Day weekend holiday . overall , fantastic experience . greeting enter grand lobby area ( smell fresh flower truly wonderful ) , beautiful room , truly enjoy experience . pro : excellent room service & amp ; food item offer ; top quality bath room amenity ; friendly staff ; Fitness Center ( fruit - infuse water , steam room , pool -- need say ? ) ; bottled water provide valet take car out . con : would preferred separate tub shower , think due limited space city , need do way . special order water cheese , room first arrive , take 2 phone call get ( miss request item , lemon ice ) . also visit spa , 10 minute late get , think work . also , valet attendant nearly give another couple rental car ( ! ) , random . not husband arrive scene second later , someone else would drive car ( sure car arrive ) . 
 May 29 2007 	 Great stay 	 extremely comfortable hotel wonderful staff . admit couple issue room , quick resolve staff , overall , kind efficient . club floor especially nice term access snack drink extra staff . also enjoy excellent dining hotel 's Dining Room superb dinner Terrace Restaurant pleasant Sunday Brunch . make great long weekend getaway . beware - part package , breakfast parking include rate . otherwise thing quickly add quite bit total bill . hand , expect city hotel caliber . 
 May 12 2007 	 good service ever ! 	 fortunate stay Ritz Carlton May 5 9th . hotel truly beautiful - elegance understatement . main fact keep remember service hotel . surpass Ritz Carlton fortunate enough visit . polished , professional individual . one employee walk past without say & quot ; Good Morning & quot ; . simple task make one smile . entertain large group staff good make sure everything go smoothly . say food die ...... enjoy Sunday Brunch , lunch dinner weekday breakfast , good , nothing go back . service ambiance would return . room perfect , enjoy suite 5th floor , construction outside window , room great - spotless , fully stock anything one might need . good location different site , right cable car line , not walk distance , courtesy car available close place , simply tip driver . recommend beautiful hotel . feel special ever . TX1 
 Apr 18 2007 	 Excellent service elegant surrounding 	 drive Cab airport really unprepossesse area Market St ( Four Seasons ) , relieve reach Nob Hill Ritz . thoroughly elegant , city hotel , also excellent friendly service . spacious junior suite negative comment would shower bath separate . we like location - easy get place 2 minute walk pick cable car . in term dining , room service first evening ( jet - lag ) delicious buffet breakfast main restaurant always include superb array fresh fruit A1 latte . one evening eat Ritz 's signature restaurant ( Dining Room ) . 's french style Pacific twist . find meal good ( service attentive ) flavours sauce somewhat heavy - handed time . however , petit four dazzle perfect selection ever gorge anywhere ! also , good - sized indoor pool , great bonus we , include young son . I would thoroughly recommend hotel position city . 
 Apr 17 2007 	 one good ! 	 spend exhilarate three night property early April , combine business pleasure . book room Club Level , absolutely outstanding . everything property , location , amenity , food , service ( especially ) exemplary . upon arrival , everyone know name , treat respect thoughtful , sincere consideration . the Club Level way go - food available day long , 6:30 9:30 pm , thereabout . gain nearly four pound guest - offering irresistible delicious ! dinner reservation night , could pass great hor d'oeuvres dessert . Believe , choose hotel Four Seasons , Ritz in - room coffee maker , Four Seasons . price level , expect . kudo front desk Club Level concierge . everything could please . also grateful kind bellman arrange ride hotel Escalade dinner date & quot ; Quince , & quot ; cab difficult find . regret money pocket , able tip great kindness . place stay San Francisco , afford . 
 Apr 16 2007 	 Fantastic Beautiful love 	 beautiful hotel . could ask anything well . food , room , people staff nice dedicated making stay perfect . go San Francisco , make sure place stay . 
 Apr 7 2007 	 favourite hotel U.S . 	 staff Ritz really good . extremely friendly helpful , great sense humour . room nice , gym great . neighborhood around hotel great walk around soak San Francisco setting . 
 Apr 1 2007 	 love Ritz ! 	 family love hotel travel San Francisco place stay . ( family four ) stay Concierge / Club level moment arrive awe . staff make we feel welcome genuinely sad leave . example , room not ready , ( long tedious flight Australia could rather perplex due tiredness , cranky 7 year old son need sleep etc ) huge meal provide we free sit Lounge fire place drink wine relax boy , room worth wait ! 2 double bed comfortable bathroom massive large bath separate shower stock beautiful Bulgari toiletry . toiletry constantly replenish we come handy month long vacation water / tea coffee supply replenish daily . daughter 's 10th Birthday go Teddy Bear 's Tea enjoy fabulous show Binky clown child receive gorgeous bear souvenir . end day , Sara organise plate goody staff guest sing & quot ; Happy Birthday & quot ; magnificent Christmas Tree . pool another big bonus beautuful hotel hotel 's proximity China town ( agree reviewer 's comment oriental pearl - do not go ! ) Union square . union square full pre- Christmas activity yes , unsavoury character ( thank goodness kid not see man fabulous time next pole - you fill gap ! ! ! ) shop unbelieveable full amazing bargain ! food drink available lounge excellent quality staff always make child feel welcome , even 8 would come hot chocolate cookie pajamas husband would snack dessert wine . business centre free use . top everything else , even run famous movie star / director New York always stay Ritz Club level 's discreet staff attention detail . really could go ... will not ! favour stay there - you regret ! 
 Mar 26 2007 	 great hotel poor business traveler 	 stay business trip middle February . hotel excellent , price room , expect service one commonly find average hotel day - namely , complimentary wireless internet reasonably price business center . find wireless internet $ 14 day business center cost $ 7 10 minute usage . certainly people stay Ritz afford price , however opinion basic feature include complimentary . recommend hotel business traveler . 
 Mar 13 2007 	 relax attentive 	 real treat entire family . never want thing . the concierge service fabulous . 
 Mar 7 2007 	 Restaurant Recs 	 Ritz terrific hotel restaurant recommendation need update . consierge send so - so Sushi place call San Raku awful chinese place call oriental Pearl . city thousands japanese chinese restaurant think Ritz could well . 
