incredible 	 bad possible thing happen we hotel . not discover spa morning checking . almost cry . incredible . please , go soon check . would amazing way end day day Beijing . the bed firm linen amazing . sleep well age . also bad get early go Great Wall . concierge arrange English - speak guide driver take Wall ( anywhere ) much money . even though not get sleep much well worth it . we also want Peking Duck Beijing guide book recommend & quot ; make China & quot ; restaurant hotel . bit skeptical usually hotel restaurant suck - maybe be USA . notice lot hotel restaurant Asia multi - starred really superb . anyway - Peking Duck & quot ; make China & quot ; phenomenal . everything else menu . also get couple really spicy dish awesome . Beijing enormous . thought could walk Forbidden City , square , reality not close . taxi cheap . one day cab like 30min like $ 3.also , pollution Beijing disgusting . really can not see two block . the Grand Hyatt one nice , comfortable hotel ' ve ever stay . great place come back explore Beijing . 
 Oct 21 2007 	 Hyatt Beijing shine 	 expect truly first class hotel bieije , theHyatt earn & quot ; 10 & quot ; every respect . location -Just large underground high end mall . also , 15 - 20 minute walk Forbidden City & amp ; Tieneman Suare . less 5 minute excellent Beijing subway . the staff attentive earnest . food good , although expensive ( like hotel ) . bed totally comfortable - AC work like charm ( outside air muggy polluted ) .We use travel agent ( Klahani travel Maui ) book room- get $ 184 rate - very low high quality hotel . Beijing China truly fascinating - must go . 
 Oct 16 2007 	 wonderful Hotel- restaurant over - rate 	 true 5 star hotel Beijing good location ever . we stay hotel 4 night grand deluxe room huge- highly recommend . location hotel brilliant- 10 minute walk tianaman square forbidden city ; 5 minute main shopping street . the hotel attach high end shops- chanel , LV , Burberry Toni Guy etc link directly huge shopping mall . warn price 30 % expensive UK.My problem hotel over - hype restaurant especially make China really disappointing- service food great expensive 5 star hotel Beijing . instead go chinese restaurant Peninsula Hotel- Huang Ting amazing- highly recommend everyone . in short , hotel well locate Beijing huge modern rooms- stay clear restaurant- make China ! ! 
 Oct 6 2007 	 Grand Hyatt - indeed grand hotel highly recommend ! 	 business trip Beijing July client pick hotel . 's great location , connect mall amenity would want . hotel grand upscale . staff courteous speak good English . 4 night well appoint room . room service prompt too . my stay almost perfect , honestly . thing day departure , leave hotel 6:15 a.m. really early flight morning . give Gold Hyatt Passport , front desk suggest breakfast could delivered room 6:00 a.m. without additional charge ( buffet breakfast include room rate normally room service , see ) . really delighted . Breakfast deliver time time check , front desk insist charge . explanation , agree cancel charge . show slip ther internal communication process staff handle issue politely , appreciate . despite , still feel probably one good Beijing hotel ever stay . highly recommend . oh , way , time permit , try exquisitely - prepare chinese cuisine hotel 's fine - dining restaurant & quot ; make China & quot ; . chef prepare duck dish ( especially appetizer & quot ; brasie duck slice & quot ; mustard ) heavenly manner ! : - ) thank read review hope help . 
 Oct 3 2007 	 one all - time favorite 	 can not say enough hotel . room incredible . pool exercise area incredible . food local Sunday buffet incredible . go back Beijing , definitely stay here . it locate top shopping mall couple block Forbidden City . great location walk around Beijing . be look something far , hotel great job arrange trip tour group personal guide . 
 Sep 25 2007 	 Excellent stay excellent well - locate top rate hotel . 	 excellent experience . stay business wife join . check - in fine . Limo arrange hotel airport $ 50us someone meet flight gate , bring we custom , limo hotel . reverse departure . excellent experience . room spacious fine view high floor ( exec level ) . two bottle water supply day tap water city drinking . AC excellent ( hot August Beijing ) . breakfast excellent expensive . discover slightly small breakfast exec level floor lounge include price fine . lounge open day evening coffee , cake , tea . good meeting place business . pool kitschy . taxis abundant . location superb near forbidden city middle class shopping street two block away well main pedestrian shopping street ( car ) , dept store , shop etc . take taxis pretty much everywhere abundant throughout city ( go anyway ) inexpensive . hotel attach office building complex luxury apt . brand new concrete glass . walk block & quot ; China & quot ; .Booked standard tour Wall via hotel concierge . concierge desk somewhat harry level English varied . terribly well inform city tour ( surprisingly ) friendly try hard . Chancellor Germany 100 person staff , guard etc . make interesting time . saw work breakfast room exec lounge . interfere service stay . there upscale mall attach hotel eat couple time . fare vary mediocre fast food superb Szechuan restaurant reasonbly price full local ( presume ) . great steak restaurant right outside hotel block excellent duck restaurant , mongolian restaurant score other include dumple shop , fast food stall ( centipede , octopi , scorpion well prosaic item ) .All excellent stay would recommend hotel . 
 Sep 19 2007 	 Excellent Hotel ! 	 fabulous hotel , amenity one could want . locate close Forbidden City , also attach major mall great store place eat . mall also drugstore grocery store pick drink , food store hotel room . location hotel great , clean staff extremely helpful . pool fantastic ! go every morning workout gym take swim . 
 Sep 16 2007 	 Great Hotel 	 stay Hyatt 4 night 7th-10th Sept think great . book club room access club lounge free drink food 6 - 8pm . basement pool amazing , staff wonderful location central . there large shopping mall underneath hotel easy access night food market , would hesitate recommend hotel probably well stay -- -until move Grand Stamford Hong Kong . 
 Sep 11 2007 	 5 star hotel customer serivce 2 star 	 Beijing : Grand Hyatt Beijing Hotel : & quot ; Disappointed service & quot ; date : 7 Sep 07 12 Sep 07Reviwer : LLF : SingaporeBefore trip Beijing boss , search online hotel Beijing , choose Grand Hyatt Hotel believe hotel provide we good pleasant stay business trip Beijing . quite disappointed service staff . incident 1 ) Monday ( 10/9/07 ) morning , wake find ankle swell big like egg size , go great wall sunday , come sprined ankle , think minor twise apply oil ankle . first thing come mind see chinese physician . call concierge help , tell would like see chinese physician , staff tell be not near hotel , request check , place near go ? tell check , half hour , reply . brother msn , tell happen , quckily contact Singapore friend work Beijing , friend 's wife come fetch see chinese physician . luckily treat early , leg still swell , do not think walk take flight back Singapore . incident 2 ) Tuesday ( 11/9/07 ) night , dinner boss Grand cafe , order set meal , menu state server steamed rice choice soup , soup do not serve . afternoon set meal serve soup day , sure come soup . ask one waitress , forget serve soup , mumble boss walk . boss do not hear say , finished dinner , soup do not serve . quite upset service , chinese dress casually , do not give damp ! kind service 5 star hotel provide ? even though 2 incident spoil impression hotel good service department . the Housekeeping staff good , do not wear high heel suit friendly provide good service . the room always neat clean , come time empty rubbish . tell need ice rub swell ankle , immediately send even ask take care walk slowly . olympic come soon , kind unpleasant service , think foriegner come stay hotel ? please polish serivce ! next trip Beijing , consider whether stay Grand Hyatt . 
 Sep 6 2007 	 one good Beijing China yet quite international 5 star 	 stay Grand Hyatt Beijing 25th 30th August family vacation cum business trip . put family room double twin room combine kitchenette living room . I stay St. Regis Peninsula city . incentive stay:1 ) hotel perhaps good location top hotel Beijing round . right doorstep wangfujing , main shopping artery ( also tourisy ) right modern mall food court , restaurant quick access underground train station . Peninsula 15 min . walk Wangfujing 's heart though mandarin name address suggest also close St. Regis way make sense save 5 - 15 min . ( depend traffic ) business district paramount.2 ) among new hotel show clean modern interior . Peninsula old building despite recent refurbishment , age shows.3 ) room generously size 900 + sq . ft . 2 bedroom . price pay , quite pleasant surprise . even request see standard room , find size certainly compare Peninsula spacious expensive cramp St. regis.4 ) unlike reviewer , find finishing Grand Hyatt quite acceptable . precise say top hotel Hong Kong New York , not cost even remotely much . quite content dollar stretch far room quality concerned.5 ) hotel full spa health club facility 2nd basement level . gym among good equip city hotel gym ' ve encounter worldwide . large indoor olympic size pool nice touch swimmer like I . I agree decor pool area rather kitsch top boil personal taste suppose . would go another way keep pace rest hotel 's minimalist signature Hyatt feel understand designer go though good faith approve it.6 ) Taxis plentiful nearby wangfuje outside hotel lobby . Beijing , big deal . Discentives:1 ) service still unacceptable . mainland chinese culture service year definite improvement note , especially lead 2008 Olympics , still significantly short world standard . while , staff except foreign expatriate management bother greet we make eye contact routine basis . 5 star establishment , point need polishing . in regard , St. Regis do far well . 's Beijing branch quite standard St. Regis ' , compare Grand Hyatt , see must spend lot effort coach staff.2 ) housekeeping floor quite bad . bedsheet properly do day despite repeat request travel mate 's personal coaching housekeeper . unfortunate incident call duty manager get expedite housekeeping come room tidy though since morning return around 4 + pm . perhaps bad point ( though ) housekeeping replace use shampoo , shower gel bottle etc . , even bother place use bottle neatly leave mess bottom bath tub . clearly mark lacklustre service hotel , much less 5 star . make point check many room occupy level note occupancy less 50 % stay . reason poor housekeeping service.3 ) hotel move provide little touch make true international 5 star experience . thing like fruit petit four etc . small tea awaiting come back room lay bedroom slipper evening turn absent.4 ) hotel room still use cathode - ray tube tv . St. Regis Peninsula move flat screen . accept norm top hotels.5 ) kitchen largely show fridge . stove area provide pot , pan , cook utensil provide available request hotel staff . quiz odd arrangement , floor manager shrug walk off . all , still believe Grand Hyatt among good room term quality size ( bar tv stay family room , non - functioning odd waste space call kitchen ) gym excellent like need get exercise stay sane stave pound . location also hand well big 5 Beijing . however , service serious need improvement make hotel international top hotel merely 5 star facility rating . my recommendation would location , comfort room primary concern pack meeting schedule holiday whole day want good amenity rest relax , Grand Hyatt good choice ( long not stay 10th floor rather disappointing housekeeping staff ) . service matter , pick St. Regis . 
 Aug 23 2007 	 Disappointed service ... 	 give positive review good location , book Grand Hyatt 3 - night stay see sight Beijing , August 4th-8th . to make thing easy , hotel concierge , arrange hotel car greet we airport drive we hotel . however , upon arrival airport , nobody wait we . call hotel , 10 minute later , driver show meet we . still walk another 10 minute get car . upon arrival hotel , tell room ready ( arrive 2:30pm ) . hold luggage , tell we come back hour . go attach shopping mall , late lunch . come back 3:30pm , tell room still ready , come back 30 minute . wait lobby area . 30 minute , go back check - in counter , room finally ready . receive room key , go room -- however , request non - smoking room , room put we full smoke smell . call front desk , ask another room . take another 20 minute someone come take we another room . finally , arrive room suitable . however , clean , towel toiletry , slipper robe , plus room unvacuume . call housekeeping , 15 minute later , arrive make room . time finally settle room , dinner time ! waste time try get room ! , stay fine . pool nice , breakfast buffet good . attach mall convenient , location can not beat ( however use taxi go everywhere ) . however , 5 - star hotel , disappoint first impression horrible , really ruin first day Beijing trip . hope get together hoard people arrive Olympics next year ! 
 Aug 12 2007 	 Pleasant Stay Grand Hyatt Beijing 	 hotel nice condition . room 11th floor window facing fountain front . room nicely appoint . two robe - one terry cloth soft cotton . room decent size shower jacuzi tub . one colleage room near elevator say closet beware . pool site see - kind feel like La Vegas . two colleage try spa say massage & quot ; life alter & quot ; ... like deep tissue . get nice manicure . fitness center one well see . nice equipment lot . good weight provide sport drink free . the & quot ; make China & quot ; restaurant great western breakfast - load day walk city . italian restaurant ok , wine rediculously expensive . traditional chinese restarurant great -really enjoy meal . hire tour guide car concierge visit great wall ming tomb 100 % satisfied . advice : visit Mutanyu section instead Bitang section ~ GO WEEKDAYS . 
 Aug 10 2007 	 genuinely nice hotel ever stay 	 friend spend weekend Grand Hyatt agree splash . realise splashing would cost £ 50 night ecstatic . our trip better glitch hotel 's computer system not register request triple room . could offer we room promise offer we upgrade suite equivalent around £ 10 night . suite roughly three time big apartment time ( Tokyo predictably small ) two amazing bedroom bathroom large lounge . naturally spotless , state art amazingly comfortable . the good thing hotel definitely , however , gym ... kitte multiple brand - new machine genuinely pleasure work . pool huge , imaginatively decorate surround little jacuzzi shallower pool . as indicator luxe hotel , walk revolving door last day George Clooney happen walk ... can not guarantee will spot visit guarantee disappoint Grand Hyatt . 
 Aug 10 2007 	 Wonderful Hotel - Fantastic Service Facilities 	 Grand Hyatt wonderful hotel great location right heart Beijing . oriental Shopping mall doorstep , wanfuche shopping short walk away 10 minute walk Tian'anmen Sq & amp ; Forbidden City . room ' clean well lay . love leisure facility probably good hotel pool ever see . staff exceptional high level service . expensive Beijing , relatively cheap compare western hotel standard . 
 Aug 3 2007 	 pretty good ! 	 Grand Hyatt Beijing locate busy part Beijing , oriental Plaza wangfuging locatedvery close . however , mean hotel busy room type always avaliable . stay three time hotel due price LOCATION . cheap China World weekday , locate close busy shopping tourist area . room standard hyatt style , goose duvet , Alo Vera / Rosemary / Mint toiletry , soft bed , Panasonic TV 's , etc . family suite two bedroom , kitchenette 6 bottle complimentary water , plate , fork , spoon , bowl , chopstick , Fortress refrigerator / freezer , Longde electric water kettle , teamug ( eww .... old ) , glass cup , etc . well equipped . however , bad part Grand Hyatt annoy we much keep ring door bell , ( three stay ) : 1.luggage2.water3.utensils4.complimentary food5 . smoke dectection6 . ( MULTIPLE TIMES ! ! ! ! ! ) Minibar tableware additionslist go ! simply annoying make stay kind annoying . the health club okay . not clean anything like . pool , reviewer say , nice , large , etc . pool look pretty tropical , dirty . however , board help swimmer . pretty nice . , not follow RULES ! pool rule say everyone must wear swimming cap . however , ONE wear swimming cap . delete rule instead . breakfast @ make China EXCELLENT ! besides continental breakfast ( buffet style ) , could order breakfast specialty , include pancake , waffle , dumpling , french toast , wonton , noodle , congee , etc . good thing ... not cost additional $ $ $ make order ! main reason breakfast good . overall , Grand Hyatt Beijing good hotel tourist people business . 
 Jul 30 2007 	 Hyatt worth money 	 stay Hyatt first last night trip ( university housing middle night ) . first piece advice : make sure take chinese character Hyatt , none taxi drivers airport speak English . go [ -- ] click & quot ; map direction & quot ; print map english chinese character - useful ! ! first stay , allow we check - out 3 pm since not need go university . second stay , show 9 desperate get away university housing , let we check 10 . time , room beautiful , time appreciate flexibility check - in / check - out time . Hyatt western price , easy worth . wireless internet work perfectly . mini bar sparkle water . help we get taxi ( write card destination chinese character ) . loan we umbrellas . easy walk site hotel , like forbid city also wander around residential street . one thing surprise we : not think make China anything special . read good review , go first night . fine , nothing special . 
 Jul 24 2007 	 good choice 	 stay 2 room suite Grand Hyatt 5 day . room good standard upgrade club arrival ( benefit probably less cost - would hotel ) . hotel impressive frontage , lobby spa pool area amazing . the hotel use foreigner local still reasonable amount chinese . staff good speak pretty good english . help we get need nothing positive thing say whole experience . eat Grand Cafe one night fine lot expensive meal take outside hotel ( would expect imo ) . club laptop use 20 min time . breakfast club adequate evening offer pretty sparse use much . return would chose eat restaurant downstair . the location real bonus want walk forbidden city Square . plenty shop place eat within walking distance . 
 Jul 8 2007 	 great pricy Grand Hyatt 	 stay 2 bedroom suite Grand family 4 . hotel clearly 5 - star category hotel , reach Four Seasons level . facility beautiful love outstanding pool fitness facility . open 24 h. downpour Beijing , pool lifesaver kid . staff helpful friendly . arrive long flight room yet ready , offer use locker room shower refresh , wonderful feature since locker room truly outstanding . the breakfast buffet include room rate ( later ) , think overpriced limited selection . stay asian top hotel much well selection breakfast . not think would worth pay buffet separately . upon checkout find charge breakfast 2 4 people family , even though specifically ask reserving room . discussion , staff take extra breakfast charge bill . high speed internet room expensive . the regular rate hotel quite steep , special weekend rate family . rate available website , call Hyatt directly . hugely discount rate , available weekend . allow we stay hotel great price large suite . the hotel location good get . within walking distance forbid city , Tiannamen square Wangfujing shop street . hotel locate complex seriously upscale retail , bonus market well well . we eat lunch dinner Hyatt , cafe latte inferior quality inflated price . Zoe 's small western - style restaurant around corner good western food , excellent coffee , ditto service half price Hyatt . our stay Hyatt good value weekend rate would hesitate recommend hotel anyone . 
 Jul 2 2007 	 's say already 	 terrific hotel . well located . great room . terrific service . like buffet breakfast . entrance mall convenient , particularly since lead main shopping area . one could argue doens't feel like be China ... anything , actually reflect China 's wonderous development . 
 Jun 25 2007 	 great ! improvement many detail since 2005 	 reviewer note , great hotel definitely one good -- possibly good -- Beijing . instead duplicate positive & amp ; accurate description -- large room , luxurious decoration , impressive pool , good service -- want update previous review note problem 2005 . stay Grand Hyatt late 2005 find nice lacking attention detail . pleasantly surprised time find almost annoyance improve . first , bed use , hard . ! bed luxurious comfortable . sleep amazingly well , every single night , even jetlag . 2005 , hear lot noise outside , time room perfectly quiet day night ( perhaps help back side hotel ) . also , 2005 , note variety minor imperfection room , misalign shower door unpadded carpet . time , fine . short , hotel seem well ever reservation recommend highly . one reviewer note breakfast buffet good enormous buffet Asia . experience , 's middle road -- nothing write home , certainly adequate well many . la carte breakfast menu , prefer , well menus place buffet . the restaurant hotel vary quality . make China fabulous , fresh , delicious Beijing style food , Noble Court Cantonese restaurant impressive . Dinner Da Giorgio truly first - rate italian ( even special black truffle taste menu ) , approach par top restaurant US , apart adequate limited wine list . Grand Cafe , 24 - hour restaurant , adequate predictable . patisserie nice although focused dessert would prefer . not go Redmoon ( Japanese ) . one important tip make China Da Giorgio make reservation morning ; small justly popular , unable get either one last minute . service hotel excellent . be quite par good japanese hotel ( guest almost nobility ) , well hotel us.four final tip enjoy Beijing : ( 1 ) sure take guidebook address card address chinese everywhere . taxi driver still understand English , even name & quot ; Grand Hyatt & quot ; ( pinch , ask Metro stop , & quot ; Wanfujing & quot ; ) . ( 2 ) get tourist area explore hutong ( traditional residential / market alleyway ) . find wonderful place walk west Forbidden City north around big loop . ( 3 ) get hotel reserve car service airport . cost significantly taxi ( ~ $ 70 instead ~ $ 13 ) , easy , clean , roomy , air condition , safe ( cab not seatbelt ) , come personal assistance baggage checkin airport . ( 4 ) take subway least time . ride multiple time fast , efficient , safe , clean , cheap ( $ 0.40 central area ticket ) . navigate english problem central line . will need good map exit subway , course ( recommend Lonely Planet & quot ; Best Beijing & quot ; useful guide great map , fit pocket ) . 
 Jun 21 2007 	 look pool ! 	 amazing ... simply amazing .... okay stay hotel ' ve enjoy , maybe think even nice .... hotel definately deserve 's 5 star rating . great food around , include room service . pool look like something Las Vegas hotel ... pretty swanky . service top book . 
 Jun 1 2007 	 truly elegant 	 Asia luxury hotel well anywhere else ' ve Grand Hyatt exception . spend 3 night September . bargain compare hotel Europe state . pay around $ 300 / night large suite separate living / work area . floor ceiling window view Forbidden City . what like hotel variety restaurant hotel location . love Royal Court dim sum ( champagne brunch dim sum great - ate menu - roll cart - literally roll restaurant plenty Veuve Clicquot along ) . make China hip restaurant lobby level serve update / modern version traditional dish . great bok choy ! hotel locate within 5 minute walk tiannaman square forbidden city . hotel locate upstairs shopping mall fine mostly useful forget sundry item home . the pool fantastic ! 's locate basement level cushy , large , gym . locker rooms spa - like . pool incredible - really large grotto - like wall little hiding place waterfall . lot lounge chair lie . 
 May 28 2007 	 extraordinarily good 	 stay begin end China trip , much enjoy . location superb tourist , close Tiananmen Square Forbidden City , attach shopping mall surprisingly good inexpensive casual food option , close night market . ( unfortunately , location good business traveler - mile Beijing 's office tower , since traffic bad , take 30 - 40 minute way husband get business meeting . ) stay two different 1 bedroom suite , quite nice . kitchenette fridge microwave dish two . linen fantastic , bed extremely comfortable , bathroom spectacular . eat main restaurant ( make China ) cantonese restaurant ( Noble Court ) . neither restaurant bargain , extremely good ( make China well atmosphere , Noble Court well food ) .I book 410rmb day trip great wall ming tomb concierge desk - expect big tour bus would pick people several hotel herd we hill , thrilled trip three guest Mercedes minivan . tour guide mention Hyatt important account company , roll well car ( tour guide extraordinarily engage knowledgeable , impeccable English - ' m willing bet company roll well guide Hyatt , ) .We truly appreciate place road week , stay hotel interior country , small room , hard bed , tired facility common . check Hyatt , already note computer system store luggage , deliver suite five minute arrive & quot ; welcome back & quot ; . level service attention detail spectacular - nice way recharge long trip back home . 
 may 17 2007 	 great location fine staff 	 Hyatt 's location beat , connect large shopping mall near wangfuje pedestrian shopping street . 's also convenient metro , although taxi cheap , be important one might think . the staff also top - notch , decent english ability throughout lobby . request Herald Tribune bell desk , start show room evening , addition morning China Daily . the weak spot Hyatt room , although quite adequate , match hotel price range . bed comfortable , queen , king , small tv rather flat panel . room well light , shower stall leak , tv next door could heard wall . Nicer room new hotel price pay - could not find well online rate reviewer mention . still , location make Hyatt worthwhile . compact breakfast buffet offer decent selection quality would expect price . however , like spicy food , not miss make - to - order green bean breakfast pancake . business center offer internet terminal sky - high 3 yuan per minute ! despite shortcoming , Hyatt top location . spend pricey breakfast , make dinner quite decent restaurant mall 's food court nearby Quanjuede Bejing Duck restaurant . shopping , save trip Friendship Store ; try Artisans ' Mansion Wangfujing St . 
 may 15 2007 	 great place impress someone 	 see hotel last time stay Beijing , look impressive . check staff super . recommend upgrade show room . love ! everything nice . hotel certainly grand . location perfect , near lot fun thing . underneath hotel entrance major shopping mall . can not convenient ! hotel also provide house massage girl really nice : ) problem encounter near ATM several block away ..... , great experience . internet connection good . and get to see huge pool area ..... super nice tropical look . one good ' ve see . really enjoy 's unique look . felt almost like Hawaii ! oh restaurant popular . try get walk 2 time .... luck . make reservation ! 
 May 10 2007 	 good overrate 	 visit hotel May chinese public holiday family . take grand deluxe room great family vacation since separate living sleeping area also feature small kitchen . otherwise room nothing special . standard even still standard tv . also due face another building room pretty dark least quiet . a big disappointment breakfast buffet serve food every day comparable Hyatt breakfast buffet . small side . side , swimming pool great kid ! choose hotel location true benefit . walk distance forbid city tiananman well right next wangfuje Rd set top shopping center . general , third Hyatt hotel stay China ' m pretty sure last time ... least leisure . not anything wrong also not excel anything . pricey not deliver satisfactory result . hard describe word emotionless sterile good describe get money . service also average staff seem train well . next time choose different hotel , ' m sure . business traveller however , basically need everything function well spend much time hotel , Hyatt might bad choice . 
 May 8 2007 	 Grand Hyatt - great experience central hotel 	 really enjoy stay Grand Hyatt . everything excellent staff could enough we . room nice extremely well appoint comfortable bed . choose upgrade executive lounge find well worth money - beautiful breakfast lot choice , coffee , tea , soft drink nibble day cocktails fantastic hor d'ouvres 5 - 8pm night . the pool basement see believe facility well use husband . the hotel walk distance Tiannamen Square Forbidden City huge bonus . limitless taxi available outside hotel journey doorman make sure driver know destination . the concierge service second none give we fantastic advice need it . underneath hotel extensive shopping mall lot restaurant shop . particularly like baker could buy delicious sandwich take we go day . all great place stay particularly good get back calm hotel evening hustle bustle Beijing . we would definitely stay . 
 May 7 2007 	 's Foreigner ! 	 girlfriend stop Beijing New Years . choose Grand Hyatt central location , 5 star standard . count , Grand Hyatt could fault . after chaotic flight Australia Qantas manage lose luggage ( many passenger ) , warmly greet Hyatt 's reception staff , speak good English . helpful understanding plight ( i.e . change clothe , New Years Eve , -5C temperature ! ) , contact airport help secure belonging follow day . while choose upgrade room extra $ 20 per night , room large clean , hotel 's interior befitted & quot ; Grand & quot ; Hyatt name . lagoon pool surreal , see believe . make sure dip every day . hotel amenity would expect 5 star hotel . concierge service provide manner assistance require , include make restaurant tour booking , write destination chinese taxi driver . keep card ever get lose Beijing - helpful . the hotel 's location fault . close Forbidden City Tiananmen Square , right oriental Plaza shopping mall . despite other may say , saviour we without luggage appropriate clothing dining New Years Eve . we spend New Years Eve Noble Court restaurant within hotel , lovely dinner . gather hotel bar see would win prize New Years . every time non - chinese sound name draw hostess , cry & quot ; 's Foreigner ! & quot ; rang throughout bar - much mirth Westerners stand around ! drawback Grand Hyatt check - out discover breakfast arrangement quite expect . room rate include breakfast , later tell available make China restaurant . none 4 day make China open breakfast , hotel staff direct we Grand Cafe breakfast , whereupon void inclusive breakfast charge time ( much high rate make China ) . happen several guest well , although manage negotiate discount breakfast , provide sour note upon part . our advice therefore beware breakfast , otherwise enjoy hilt otherwise lovely base chaos 21st Century Beijing . 
 May 7 2007 	 Modern hotel good location 	 first time visitor Beijing take parent lifetime holiday want everything perfect . fortunately realise large scale Beijing , decide stay right middle city . wise choice . travel anywhere take forever , stick traffic jam . hotel within walk distance number main attraction , traffic look bad particularly pleasant day , walk good option . Tiananmen Square Forbidden City approx 15 minute walk . the Hyatt also adjacent subway station , never manage try . new line construct , become useful open . the hotel incredibly impressive , set elevated plaza one Bejing 's main thoroughfare . like modern appearance inside hotel . Grand Suite room extremely large , unfussy extremely well equip . think type room particularly good value money , come Club access well . however , disappointed learn internet access charge 3rmb per minute maximum charge 120rmb per 24 hour . typical hotel , extras expensive , food drink quite frankly extortionate . large bottle mineral water 88RMB . glass average wine , 100rmb ! other note pool absolutely stunning , unlike hotel pool ' ve ever see ! shortlist choice Peninsula , end choose Hyatt purely cost . get far well deal Hyatt far well equip large room . visit Peninsula twice , afternoon tea ( disappointing ) excellent meal Huang Ting restaurant . food drink actually cheap Peninsula , whilst service Hyatt good , would say Peninsula edge . two hotel 10 minute walk one another , mean stay Hyatt cheap room eat cheap Peninsula ! would definitely go back Hyatt comfortable room , club lounge , pool convenient location . will eat elsewhere ! 
 may 6 2007 	 place stay beijing ! 	 stay family four . suite ( i.e . 2bedrooms , 2bathrooms , kitchen , living room , 3 tv ) see attach picture . minute walk , feel grandness hotel . yes , little expensive , get pay . want 5star hotel area beijing , pay . advantage see ability book suite 4 we . staff friendly . hotel amenity include : amazing indoor pool ( bring swim suit ) , fitness center , complete business center , conference room , attach shopping mall , many restaurant . also , hotel provide complimentary bottled water day . hotel locate 10min Fobidden City / Tianamen Square . tour transportation ( airfare , train tix ) could book thru hotel ( obviously expensive ) . breakfast , buffet western asian selection . omlette , waffle , juice station . also eat two restaurant . restaurant & quot ; make - in - China & quot ; great menu Peking duck seem speciality . make reservation place tend fill quickly local tourist . restaurant generic 24h dining option food good , great , since eat long flight america fine . overall , 5star hotel service great , room nice , location can not beat . 
 Apr 18 2007 	 truly Lovely Hotel 	 originally book another hotel Hostelworld $ 30 night eventually arrive find one hotel speak English , record booking bad , nearly 12 pm freeze cold night , room . we people usually stay five - star hotel . but Grand Hyatti warm welcome problem suite nice ( two bedroom , two bathroom , living room kitchen $ 200 night ) decide stay whole four day . it central within walk distance Forbidden City Silk Market . also giant mall lot cheap food court . also another mall street level food stall . the hotel swimming pool fabulous . look like disaster , end love four day Beijing , 
 Apr 14 2007 	 Solid Location Mall 	 hotel modern centrally locate Beijing 's major sight . also attach oriental Plaza shopping mall additional restaurant quite upscale . also eat make China restaurant recommend previous reviewer enjoy different cooking station behind glass . 
 Mar 21 2007 	 Great Grand Hyatt 	 stay Grand Hyatt March 11 - 18th . family 4 ( 2 kid ) , stay 2 - bedroom suite . room wonderful 2 bathroom , 2 bedroom , living room , small kitchen , office . always clean . service reception prompt excellent , everyone speak English . eat breakfast one lunch . Service Restaurant good . Breakfast ( Buffet ) otherwise overprice feel ( $ 25- $ 30 pp ! ) , food excellent . pool definitely miss ... least look , fitness room large , clean , full date machine . nice mall Hotel , lot ( cheap shopping ) , 3 bakery , grocery store , drug store , many mall - type restaurant , plus subway station . within 10 minute walk Forbidden City Tianmen Sq . , plus couple great shopping street corner hotel . negative hotel come 14 year old think hotel not & quot ; child friendly & quot ; , mean not full family . explain major hotel major city mean resort type hotel . however , obvious clientèle business , go season . one Note , level luxury believe available Internet ( broadband ) offer free . would definitely stay get B & amp ; b rate 
 Mar 17 2007 	 Awesome Hotel Great Service 	 stay family suite ( 2 bedroom , 2 bathroom , kitchen , living room ) 2 kid requirement hotel . thoroughly enjoy people , hotel amenity . everything excellent . kid , use pool play area low level . also , hotel attach great mall grocery store . always people available help question . couple tip : book family package include daily gift kid , may call get item . hotel not seem know item list Hyatt 's web - site rate . give second day . also , rate include breakfast , well hope eat hotel ( appr . $ 80 family 4 per day ) , know 15 % service charge tax ( $ 24 family 4 ) still show bill . 
 Mar 15 2007 	 Great Location 	 hotel great location could easily walk Tianamen Square Forbidden City . concierge patiently hand write request cab driver , none speak English , could get place place . room nice lobby bright cheery . good restaurant second floor , pricey China . 
 Mar 5 2007 	 never want leave ! 	 stay 4 night business trip - 3 night suite executive floor 4th night standard room . quality hotel live initial impression gain first drive impressive fountain enter enormous lobby . service excellent ( staff speak good English ) food amazing ( highly recommend make China , italian restaurant 2nd floor Cafe buffet , comfortably dine alone ) . , make reservation make China advance , popular . room modern , tastefully decorate , comfortable bed great shower ! interestingly , hardly difference bedroom suite standard room . I one day explore Beijing book guide tour via front desk 11 pm night prior tour ( cost : CNY 460 ) . ' m glad , tour great value guide , John , informative . see Tianenmen Square , Forbidden City , Temple Heaven Summer Palace , stop lunch ( good chinese food cater western palate ) . 12 us tour , collect 8.45am drop mini - bus 6 pm not worry thing - perfect be unfamiliar Beijing limited time . 
 Feb 23 2007 	 wonderful ! ! ! ! 	 hotel well ever ! let say familiar palace . rare nothing criticize : nice staff , discret luxury marvelous swimming pool ! 
 Feb 7 2007 	 Excellent hotel 	 excellent hotel - wonderful staff service . basic room small , adequate five - night stay . bathroom well appoint large shower separate bath . room service quick quite respectable , although menu tad limit . overall wonderful experience . 
 Feb 1 2007 	 good hotel Beijing 	 stay two night walk major sight - Forbidden City , Tiananmen Square etc . high quality - service , sleep room , bathroom , restuarant . make China restaurant excellent food shopping mall food court downstairs . 
