Dorchester 	 ouir second time Dorchserter get yo room bottle champagne . show around room make feel welcome . 
 Jan 3 2007 	 like great traditional english pudding ... 	 move follow several disappointing stay Mandarin Oriental across park . Dorchester homely , personal feeling find corporate chain like Mandarin Four Seasons . service friendly faultless moment arrive . room service provide good range well present dish service quick , friendly efficient . the common area hotel well maintain extremely traditional , highlight afternoon tea Conservatory ( make sure book ahead ! ) . bar smoky due poor ventilation cease long overdue smoking ban come year . there great choice dining option tradition Grill cut edge oriental cuisine China Tang . the room ? overly large price generous enough always upgrade sumptuous suite space important ( considerable ) budget permit . feel like fall period drama - stainless steel black marble sight ! want cut edge , Metropolitan 100 yard away want indulgent , comfort luxury amazing service Dorchester feel like home minute arrive . 
 Nov 8 2006 	 Best London Option 	 arrive well - know dorchester follow hard week - long slog Europe marketing trip , look forward brief ( one night ) relax stay top - bracket property head Japan . 6 pm check - in bit chaotic , lobby first floor beautiful , finally conduct turn pleasant room , slightly marred stain carpet collection hair bathtub . take 2 call almost 30 minute porter bag deliver , despite assure upon check - in would & quot ; bring immediately & quot ; . look forward bath , put call housekeeping bathtub clean , 20 minute one show . another call 10 minute wait , perspire maid finally arrive mutter breath whenever beeper belt go , clean without enthusiasm . bathroom fixture could use good polishing , work . comfortable bed , good good room service breakfast . however , bill overnight laundry 5 shirt underwear tip scale 300 pound , seem tad high , say least . on Saturday , look eat lunch hotel head Heathrow , present main court tell ( expect ) empty room fully - book high tea would look elsewhere . request help get light lunch initially result baffle stare , ultimately hotel bar recommend alternative . Dorchester 's bar write & quot ; one good hotel bar & quot ; London , look gin tonic price 18 pound ( include bottle tonic , extra ) , thud eurotrash music , strange menu expensive snack bordello decor , place . sloppy wrap curry chicken salad one drink set back 50 pound , outrageous price considering . one could better Savoy Claridges price . 
 Oct 10 2006 	 good hotel London . 	 Front building wonderful , renovation good , service spot would expect . however ! ! move 3 time get non smoking room , smell old cigarette everywhere . final move , wake Sunday morning smell cigarette smoke , come adjoining bedroom door . take hour check take correct security number credit card . 
 Sep 11 2006 	 flaw 	 central location , splendid building ( recent renovation , although prefer old Grill bar modern taste ) luxurious room . dinner grill good memorable , quality service drop . service bar great , wait staff especially bad breakfast Promenade . Breakfast also less quality past ( especially bread ) neglect meal ( like many hotel ) .The spa ( ok destination ) look clean ( use towel empty water bottle everywhere ) . report several time reception effect . the hardware ( public area room ) certainly back , problem software ( poorly train young waiting staff replace old distinguished staff ) . 
 Sep 1 2006 	 great ! 	 partner two night stay Dorchester end August . impressed checking service include receptionist show we around facility room . room second floor . room exceptionally spacious bed huge . bathroom decent size deep bathtub . ( mobility problem may able lift leg high enough get ) little disappointingly , room overlook aircon unit / kitchen ? however , view go London spend time look window . new bar beautifully do although price definitely London/5 * price ! promenade gorgeous delight either breakfast/ afternoon tea late afternoon drink . our stay inthe Dorchester good . stay Lanesborough Ritz last year Dorchester fare execptionally well ' our place stay test ' ! 
 Aug 29 2006 	 Lovely Afternoon Tea 	 large group we go afternoon tea Sunday Dorchester . arrival hotel impressed surrounding decor . warmly welcome show table , look beautiful- china fine daintiest see ! choice tea quite bewildering finally decide Dorchester Blend disappoint . firstly serve sandwich , much could eat . try variety fantastic ! next come peach Vanilla desert- follow warm scones- delicious ! selection pastry quickly refill try them- tasty ! offer everything , although second cake rather full . ambience lovely , piano play throughout even lady restroom impressive ! 10/10 enjoy immensely well rest party- would love go ! ! ! 
 Aug 15 2006 	 Afternoon Tea overprice . 	 June , wife go Dorchester Afternoon Tea . sandwich good , dessert average whole affair overprice . service slow , server disappear end someone else . beautiful setting , , , man necktie , wonder carry 4000 mile ... go elsewhere next time : 
 Aug 7 2006 	 wonderful tea Dorchester 	 want take parent London day treat . comfortably use nice thing life , ' m - budget important . however , want take see Buckingham Palace smart tea afterwards . use Tripadvisor read review lot nice London Hotels tea eventually settle Dorchester , mainly review say staff Ritz condescend guest . want parent feel special , unworthy ! good bit flag taxi announce ' the Dorchester ' driver - parent surprise ; never . drop outside doorman help we . staff inside courteous discreet - snobbish , disintereste over - the - top . sit ( tea area right inside lobby area ) beautifully decorate huge comfortable banquette big old - fashioned chair . cake stand , silver plate cutlery tea - strainer , linen cloth napkin Limoges crockery table arrive . immediately waitress come see ok say would give we ( twice not ready . ) thing throw another waitress immediately offer champagne , parent accept happily , think part deal - not choose champagne tea another six pound would buy later . anyway , tea fantastic . buy little sandwich crust cut - five kind - bring . unfortunately eat many pear stilton one sound revolt nice several . , time warm scone ( plain raisin ) arrive wrap napkin , feel little full . cake arrive , real treat . gold leaf beautifully present taste lovely . offer , eternal horrified regret decline . waiter tail keep top tea , think great realise fourth top add boil water get weak weak . Bangkok tea fabulous ! service good surprised find have two hour . leave , think would go look end room see ( let us face , not go every day ) cocktail bar catch Dad 's eye ... know love cocktail offer one . cocktail beautifully prepare barman Dorchester . fantastic feel special . leave , lady behind bar offer we top - up . mum be always one joke ask free . yes , say ... another , free , excellent ! time leave feel would lovely day surrounding , decor , ambience ( everyone else look crashingly wealthy though tea Dorchester sooo tedious dahlink ) perfect . ' m really glad choose hotel ( not many place world see ! ) would back flash . fantastic 
 Jun 28 2006 	 Perfect always 	 .As regular Dorchester must comment superb service provide time time . on late visit , celebrate friend birthday , inform arrival upgrade , show room turn beautiful park suite . to make sure make invite friend join we lunch suite . the six us wonderful lunch look Hyde Park go afternoon matinee theatre . the staff always extremely polite attentive , stay three four top hotel London past year dorchester firm favourite highly recommend . 
 Jun 24 2006 	 Grand Dame Grand Brittania outrageously overprice 	 4 night stay wife ( leave kid Chicago Grandma ! ) vacation- exec king set we back $ 3500 ( room , tax , service ) . full breakfast include , thank American Express FH & amp ; r program . reasonably spacious room toward back ( read : quiet ) hotel- two closet entry foyer- spacious bathroom his / her sink , separate bath shower . also bidet provide we least several minute amusement . the Dorch east end hyde park , across Park Lane . brisk 5 minute walk HP since can not directly cross Park Lane ( unless death wish ) unless walk south pedestrian underpass . Green Park Hyde Park tube stop close , 5 min walk hotel . otherwise , much immediately around dorch- 5 min walk Shepard 's market ( small , socioeconomically normal enclave middle otherwise outrageously posh Mayfair neighborhood ) Oxford St hideously barricade US Embassy ( not get start ) . Kensington ( Harrods , etc ) good 12 - 15 min walk- least cut Hyde Park lovely flower garden along southeast edge . have tea Dorch- $ 135 / two people . unbelievable English , readily voice disdain loud , tactless Americans , allow constantly ring cellphone tea ! shockingly inappropriate , ask ugly american . meal general ridiculously expensive , especially give overall mediocre quality . eat Grill China tang- unbelievably pricey . give multitude superb restaurant London , pretty much limited breakfast . the clientele interesting mixture arab , tourist , englishman wear tophat ( Royal Ascot horse race happen ) . low - key Americans usual tourist thing jean casual clothing- definitely stuck not feel particularly ostracize . one ever hassle we , except tried unsuccesfully cut back door hotel & quot ; shortcut . & quot ; bad . service fine- outstanding though . call concierge desk middle day go unanswered time . Maid service excellent- discrete , fast , thorough . check check go fine- get bill right first try pretty much . overall , service comparable Ritz Carlton , Four Seasons , good Peninsula . summary : although location consider great , would suggest Dorch actually little bit beat path , particularly like able easily walk ( within 5 - 7 minute ) restaurant , lounge , shopping , etc . outrageously expensive hard - press say really worth spend much hope would quintessential english experience , especially constantly ring cellphone breakfast tea . would stay elsewhere go back . P.S . selfridge far superior harrods- less tourist WAAAAAYYY less emphasis brand . example , want buy tea Harrods , really buy Harrods brand . go selfridge though , will ton choice , one selfridge brand . selfridge ' foodhall impressive Harrods . similarly , selfridge also amazing array clothing , electronic , book , etc . Skip Harrods- selfridge much entertaining productive shopping experience way few people push . 
 May 31 2006 	 Beautiful Hotel 	 stay Dorchester last week really beautifully appoint . room however , expect top hotel , quite small . linen beautiful , bed comfortable , size room lack view disappointing . look really ugly top roof . tub , deep bathroom fairly large everything seem fresh clean . generous toilet paper fruit plate price , able expect . never eat hotel price astronomical conversion usd . lounge area seem bit stuffy staff part , especially front desk personnel friendly helpful . might consider stay , careful put - will either delight disappointed . course , celebrity sighting- Lionel Ritchie lobby . 
 Apr 16 2006 	 genuine article 	 Dorchester seriously good , genuine 5 - red - star London hotel . lovely , immaculately apply room , faultless service , superb ambience . whole place warm friendly almosphere . afternoon tea Promenade delight , food good find anywhere , include Ritz . room service breakfast excellent , location , Hyde park across road , Oxford Street ten minute walk away , theatreland short cab ride . anyone look superb , traditional , top - rate London hotel need look Dorchester . 
 Apr 10 2006 	 absolutely fabulous 	 get back stay wonderful hotel . check check stay nothing short perfect . room generous size , absolutely immaculate . staff real pleasure . hotel definitely deserve 5 star rating . stay numerous 5 star hotel around world without doubt would rank amongst well . finally find hotel choice London . 
 Jan 31 2006 	 Shame decor 	 go Grill Room time . I enjoy tranquil surrounding 3 course meal £ 38 include service . very good value money.when go October disturbed find closed refurbishment . I go back recently . what do place ! wall cover garish Rob Roy figure , supposedly highlight new Scottish influence menu . Alas mean old fix price menu go come menu almost twice expensive . there long desert trolley hand menu 6 dessert £ 8.petite fours coffee long include course add 12 1/2 % service charge bill . the food less interesting say vastly overpriced . so go back there . so think go get anything special Grill Room , well bill . alas long venue shall visit . 
 Jan 24 2006 	 Trouble payment truly awful service . 	 tea sunday afternoon dorchester . embarassingly bad , really , truly , appalling . Basil Faulty could do well ! especially upset idea . stay many time dorchester 's sister hotel business , mainly Principe , Milan . always find delight . respite mindless business travel wonderful friendly staff . gorgeous big old fashioned room truly awesome spa pool top floor . however , even fabulous surronding , , mind , staff make difference good great hotel . the Dorchester obviously believe this . the staff arrogant , unpleasant unhelpful . previous reviewer put well say , staff regard guest bother . would concur completely . at tea , treat bunch annoying idiot . bother staff . imagine , spoil , want tea serve ! nearly £ 40 + per person tea , would hope might make small effort ... not count . upsetting afternoon . 's make feel . after glass champagne , ask tea serve . would like sandwich bring table roughly time tea , tea cold . not happen . ask hot tea tell way . third time try get tea get ask gentleman / manager service stand bring it . we order water , never appear . get , physically stand infront waiter ask . guess ? yup , never appear . trick ask everything three time , arrive . actually really clever bit find someone ask three time ! elusive obviously word learn quickly ! ask scone arrive . ask ! Hurray , blip service . go fine . well .... . scone arrive warm wrap lovely white linen napkin . sadly time butter , cream jam arrive , scone cold . finaly insult try pay . bill arrive promptly . duly hand switch card pay . man come back inform everyone table , card acceptable - not take solo card . point switch card . go away . come back loud voice inform we authorise . ( get home check balance online , wipppe overnight ! ) unlikely , ' m old stay many hotel , bother stuff . technology always rely on . so hand Visa card . swipe , return slip signing . return , , say card authorise . Deja Vu ! even though slip hand authorisation code , say authorise . I want leave point . become bit belligerent annoying keep repeat loudly card authorise . ask sign slip back , give cash . would give cash receipt , even ask sign piece paper saying say receive £ 50 cash . would . guess ? yup . pay twice , pay cash , visa card indeed charge . time write , 100 % sure charge switch card well , bank inform take 3/4 day debit go through . I spend whole morning sort payment small amount money . eventually contact hotel , G.M. , ( general manager ) assure sort . , defence , charming , good word . phone back , assure card credit , credit cash pay . may , end pay . however , still feel , happen first place . call yesterday sort , Food Beverage Manager take care . not . hence bounce GM . ( go top 's problem ! ) advice . go somewhere else . Claridge 's fabulous tea . staff friendly , courteous charming . sadly Dorchester , even charming GM , deserve hard earn cash . 
 Jan 1 2006 	 incredible 	 always amazed people find something criticise Dorchester . ' ve lucky enough stay three time every visit exquisite : beautiful room , furnish classic , English country house style . incredible , incredible bathroom . amazing food . wonderful service . like sleek , modern room , probably will not like Dorchester . 's chintzy frilly , furnishing oversized upholstery florid . 's style hotel 's USP - every visit make feel like step back time around 1910 . spotless 1910 , hasten add . I ' ve always room overlook Hyde Park , perfect . room luxury . 's be central London hotel , surround shop office . guess room might less perfect view . request park view bother you . the room not massive - unless suite , case be huge -but certainly not mean . bathroom make anyhow . staff absolute professional take time make sure wonderful stay . would expect pricey hotel . be town special occasion , fine place stay . 
 Dec 18 2005 	 good .... ! 	 stay 4 night October / November say disappointed . hotel great location . love walk find great tourist place around . lucky enough upgrade DEluxe King Room great . heap room , roomy bathroom HUGE bath comfy bed . the staff gorgeous , nothing much trouble . bit issue printer , fix ... even though mean replace computer .... ! ! ! would recommend hotel everyone , although not cheap ( $ 900 AUD p / night ) really worth every cent . 
 Dec 3 2005 	 Fabulous - worth every penny ! 	 fiance take Dorchester celebrate engagement . fantastic . service , food , atmosphere .... could not fault thing . opportunity , not think twice not miss afternoon tea ! 
 Nov 30 2005 	 gorgeous hotel gorgeous staff gorgeous George Clooney .. 	 stay long weekend surprise husband read review first would gone . I do not know stay Dorchester perfect , lovely , helpful staff , amazing food huge bed bathroom ... even well bump George Clooney LIFT ! ! ! dorchester wonderful afford go right ! ! 
 Nov 16 2005 	 good hotel Bad hotel . seriously bad . 	 dorchester classic example hotel . level service poor . first , upon check , lecture room not ready ( yet check - in time ) though request early check - in , also call Heathrow pick - up arrange hotel let know way ( conversation confirm room ready wait ) .security horrible . drunken hotel guest wandering floor hour , ring loud doorbell ( enhance jet lag ) . call frint desk let know awoken four time ( ask security camera ) give simple apology . okay , room . around $ 900 US dollar per night , room 0 10 value . bed comfortable , sheet pillowcase starched point almost stand . bathroom nice honor bar well - stock . tv horrible two volume , seem : sound really loud . back service . though inquiry rude ( travel time genuinely like people work hotel ) attitude Dorchester guest unwanted bother . location good , great . many well - situate hotel city center . fitness room fair good . small , poor tv , age equipment . finally , hotel smell . smell ... old ... like grandmother 's house 's either infirm tend get old care . this good hotel . take huge sack money require stay go elsewhere . 
 Nov 1 2005 	 great bath tub room luck draw 	 stay Dorchester two night , courtesy BAFTA award . front desk staff not accommodate . show room say bit shocked . hallway dismal claustrophobic . room unremarkable . view one small window roof sandwich alcove exterior hotel . word view light come room . carpet dirty basically furnishing feel worn . ask front desk could switch we another room say . offer pay difference upgrade say . settle basically spend time room asleep wonderful big marble bath tub . visit two room hotel . one far bad . absolutely gorgeous . suppose 's typical old hotel room vary much . could think crummy room stick gorgeous one could . say location great concierge one nice ever come across . would , however , stay Claridges street around corner . great hotel . 
 Sep 19 2005 	 good London . 	 afternoon tea well Ritz , even though squat low chair . round well . spa first rate . good barber excellent hairdresser . the security ham - fiste . pretty obvious aware can not make , ' talk ' blue . Kinda strange first , recognise ( visit ) OKed . take Doorman , actually make quip go pull cab , say & quot ; know go & quot ; .What expect bombing superstar guest , security get toe . 
 Aug 17 2005 	 Afternoon Tea - addendum 	 wife afternoon tea Dochester would echo plus point previous review . however , disagree ' pastry ' . exquisitely make ( apparently in - house ) much delight tastebud eye . truly marvellous experience . 
 Aug 10 2005 	 Afternoon tea 	 2 friend go afternoon tea Dorchester last Friday . debate length Grand Dames hotel pick . review TripAdvisor help we ! arrival please sumptious surrounding - tea take foyer , long wide room foyer glamorous bar end . disturbed coming going . decor grand , carpet deap could feel shoe sink . table set spaciously apart sit top other . table next piano player play mix ballad light classical . bone china cutlery quite modern design . friend 30 young . average age mine - mid-40s - 50 . near full , still exquisitely calm peaceful . the tea menu amazing - fine early Grey ever . friend adore darjeele . fresh leave . come sandwich - finger style simple delicious filling : chicken , prawn , smoke salmon , egg , cream cheese cucmber . waitress graciously place selection plate , come back - could much want . come warm freshly bake scone ( 2 ) , clot cream delicious home make taste blackberry strawberry jam . plus fresh pot tea clean cup . then disappointment . expect English cake cream cake - sort typical classic cream Victoria sponge etc . come dinky continental patisserie , obviously make house . chocolate cover one cherry inside lovely . english classic cake sight . dinky macaroon pointless , couple mousse type patisserie not enjoy . big disappointment . notice everyone exactly cake table . the staff grace pleasantness personify , offer second everyhte . disappointmet cake take edge off . one friend avid afternoon tea goer . rate surrounding Dorchester well see . stick foyer . one let cake ! say even though Ritz 's surrounding grand , still edge cake . bill £ 81 3 . Cheaper Ritz - cares 's treat ? big bonus . arrive 3.00pm . leave check watch - 6.00pm ! yet feel 1 hour ! calm , relaxed , lovely , time melt away . quiet hush patron , gorgeous surrounding , calm service staff mean time melt . feel incredibly relaxed good value - real treat . many restaurant lunch £ 27 head would allow sit 3 hour ! one rush we - definitely get get , need table another party . one oddity : seat . wing chair , friend pregnant couch , friend large stool . guest . comfy pad antique stool . love ! overall , wonderful experience repeat would recommend . really really want english cream cake classic cake not care sandwich , scone , surrounding piano playing ! 
 Aug 8 2005 	 poor choice 	 stay time second London bombing . disappointment . hotel undergo extensive refurbishment , worker everywhere . check - in , hotel attempt put we smoking room initially make fuss object . attempt charge we high rate guarantee reservation . fortunately , print reservation solve - except try re - institute high charge check ! date decor date clientele . patch luxury hotel - Four Seasons road much nice room friendly staff . recommend , will not go back . 
 Jul 25 2005 	 almost excellent 	 stay Dorchester late May 2005 . book standard room LHW - website . checked upgrade large deluxe room , nice room overlook Hyde Park . love room : large good bed , sit group large bathroom . room spacious . in - room entertainment system genious . service employe provide one good Europe . atmosphere hotel casual good . order food roomservice , portion among large generous ever see hotel business . even catch sight Goldie Hawn Mickey Rourke hotel lobby . however , return hotel one night approach man security rude way ask could help something . make kinda angry , not accept treat like establishment Dorchester . tell duty manager general manager , promise handle proper way . . overall , satisfied , would really recommend Dorchester anyone truly appreciate good service luxury . appreciate little extra recommend Claridge 's . favourite hotel London . 
 Jul 14 2005 	 wow ! excellent service fabulous food beautiful room ! 	 far good hotel ' ve ever stay vacation . service top notch . food restaurant room service wonderful . would highly recommend stay . 
 may 26 2005 	 beautiful hotel surprisingly bad service 	 Sad one receive poor standard service beautiful luxurious hotel . my problem occur leave hotel - service stay wonderful . staff attentive , room luxurious , atmosphere stuffy stifle . unfortunately , online booking system encounter error book room . despite receive confirmation one price , tell have charge another . necessitate phone call hotel , advise would honour original confirmation . great stay . Met friend US Ireland . check - out bill incorrect due aforementioned ' problem computer system ' . find annoying stood cashier desk whilst wait sort . , leave merry way . that evening , return home , realise leave two item room hurriedly depart . jacket ring . phone immediately report . retrieve jacket , ring . call several time check status ring . advise find unlikely find . seem rather unsatisfactory response write letter general manager . however , realise partly error part leave room . meanwhile , receive reply ring , receive invoice £ 340.00 , take credit card ( three week check ) . error . pay bill departure . due ( ) system malfunction , take another night accommodation credit card . absolutely appal retain credit card detail charge without knowledge . since endless call hotel manager express dissatisfaction service , yet one gesture goodwill make except rather lame apology million member staff ( manager ) . still re . know be consider wonderful Dorchester 3 member staff per guest , however mean maintain complaint next impossible . I suppose visit later year another reunion , ' m loathe , despite wonderful time May . consider cost stay dorchester compare 5 * hotel London , appal bad service . 
 Mar 25 2005 	 Favorite Hotel World 	 else say ? dorchester favorite hotel world . combine beauty , elegance , outstanding service surprisingly friendly unpretentious attitude . whenever arrive , welcome repeat visitor , front desk note manager ( fruit sweet ) room . rare occasion something amiss , simply take care problem good cheer . cite one example , one trip television go fritz . determined would take little fix , offer move suite . demur ground move thing probably not worth trouble , offer buy drink ( fun ) bar relocate possession precisely spot , drawer , nightstand , etc . new room , . beyond great service , 's wonderful location near Hyde Park Mayfair ; room beautifully furnish classic english style ; bathroom elegant spotless ; excellent restaurant ; even good health club excellent spa . 
 Mar 15 2005 	 fabulous experience ! 	 husband stay Dorchester Hotel February 24 - 27 , 2005 . wonderful experience day . staff totally helpful ... make we feel like special guest indeed ! request deny . food ( especially breakfast ) excellent . especially love bar .... music , interesting people - watch great drink ! stay deluxe King room impress fabulous linen , etc . location Mayfair perfect walk everywhere . beautiful Hyde Park right across street flower begin bloom ! 
 Mar 5 2005 	 Service beyond expect 	 would like share story example wonderful service Dorchester . 2am first night wife awaken sound room . though someone drag something across floor dropping periodically . last possibly ten minute stop . second night , awaken sound similar time . call office slightly 2AM report noise ... perhaps could ask people room bit quieter . brief pause , manager come phone . & quot ; one room you . & quot ; ask could meet hall outside room minute . within 5 minute two people move we new room 2:30 morning . room high price suite absolutely gorgeous . additional charge upgrade remainder 6 day stay . ask none never forget well treat one great hotel world . 
 Feb 25 2005 	 gorgeous decor fantastic knowledgeable staff 	 friend pop hotel bar cocktail . service wonderful ( £ 11 per drink would hope ! ) cocktail lovely . serve lot nice nibble ( aka snack ) lounge singer piano player perform . as leave , ask concierge tube station close . ask line need , able tell station ( save change tube line ) impress around . 
 Jan 28 2005 	 magical experience 
 Jan 10 2005 	 close perfection . 
 Oct 18 2004 	 thank debbie show we real london 
 Jul 30 2004 	 special hotel indeed 
 Jun 23 2004 	 Top Quality top service 
 Jun 15 2004 	 luxury abound 
 Jan 11 2004 	 Dorchester Hotel London ' the Leading Hotels World ' 
 Nov 3 2003 	 experience Royal Treatment ! 
 May 1 2003 	 luxurious escapism 
 Mar 30 2003 	 Amazing 
 Oct 28 2009 	 Londres quero voltar 
 Sep 28 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Sep 8 2009 	 Große Klasse 
 Aug 21 2009 	 Pas mal ... 
 oct 2 2006 	 Exceptionnel 
