fantastic 	 stay 4 night thanksgiving . hotel absolutely fantastic- room super clean spacious everything high quality- bed really comfortable bed nice soft . bathroom also really nice- big complimentary toiletry great- neutrogena get replace every day . staff sensational- know answer question get place , good deal shop , stand parade etc . even flyer 3 different price option go traditional thanksgiving dinner . bugbear someone knock door attempt come room 9 am day leave ask check out- seem ridiculous hopefully change future guest . stay though without hesitation fantastic time . 
 Jul 1 2008 	 Great Hotel Great Staff 	 book hotel price location turn much . series issue get hotel , arrive check 12:15 p.m . know not room available go leave luggage go , convienent check . know hotel sell night , know might possible . add confusion , hotel Property Management System morning , use paper list check guest . ask room , room 2 double bed , Irene , front desk associate tell none room available . call housekeeping check status room . tell could put room tell double room . tell way double check computer , issue let know . room correct , beautiful . refrigerator microwave , great HVAC system , nice bathroom great shower comfortable bed . room clean crisp contemporary design . stay great staff really make difference . hotel General Manager , know easy would say , & quot ; ' m sorry , room not available & quot ; , especially computer system , Irene outstanding take care we . would definately employee would want hotel 's Front Desk ! 
 Jun 27 2008 	 Fantastic ! ! ! ! ! ! ! ! ! ! ! love ! 	 stay 6 night HGI love . bed comfortable , bathroom good size location brillant , stay next trip . 
 Jun 24 2008 	 Solid Choice 	 stay one night . typical hotel room nyc term size i.e . small sufficient one night stay . use point stay can not comment value substantially few point many choice . find location convenient , staff helpful , overall enjoy stay . 
 Jun 17 2008 	 wonderful Hotel Great Staff 	 daughter spend two night hotel would return heartbeat . hotel clean view Empire State building outstanding ! staff excellent . especially , irene front desk , answer question , give terrific suggestion friendly helpful hour . Mikael work hard deliver bag anything else request . thank make stay stress - free ! 
 Jun 15 2008 	 neslte flower district 	 nice hotel tuck away building . not watch , might drive even walk past . inside , greet small lobby , friendly desk staff . room 17th floor comfortable . room independent system , deliver cold air hot day . room clean bed make drift away . room service deliver promptly restaurant fry even still hot crisp arrive . housekeep front desk good demand guest . half New York problem pick phone quiz staff thing area thing hotel . 
 Jun 5 2008 	 HIGHLY RECOMMEND 	 hotel great day 1 . Great & amp ; fast service- ask extra towel braught 15 minute . excellent room.-the bed comfy , flat screen t.v , lovely bathroom , clean . EXCELLLENT VIEW ! ! new york , hotel view wall another building not see much room amazing view price . Location- chelsea getting fix little little busy time square may get one not comfortable new york yet . times square downtown block away . time square like 8 block downtown take subway block . subway right block . right next 8th avenue ton restaurant . 98 % recommend . 
 may 30 2008 	 Good Hotel 	 always sceptical hotel review feel people see forum get back write bad review feel aggrieved way result many write good review . check hotel good review different . hotel advertise 3 * hotel , significantly cheap 3 * service excellent , room service excellent standard every day photo 's other leave show average room . room little small ideal 5 day sightseeing tour . arrive 8 am - 5 pm weekday wholesaler sell flower shrub ( Chelsea ! ) open ware street - lovely . arrive 8 pm shutter street look rough not worried . absolute value money sightseeing visit . get hotel - get skytrain main line station , get ticket Penn Station £ 3:50 pp , get taxi rank Hotel £ 4.50 , plus one dollar tip pushy taxi porter move case 3 foot : ) get taxi could cost upto £ 40 - £ 45 depend traffic - get one go back Sunday afternoon that s cost we 'cos jam . all centre New York ( Times Square ) within walk distance Empire State Building 5 - 10 min walk Hotel . 
 May 18 2008 	 Location location location nice 	 newly midrange hotel area Chelsea , precise Flower District . hotel 28th Street would describe rather quiet Manhattan night time . location great , several subway line within minute foot legendary Macy ' , Penn Station less 10 walk min . away , Madison Square Garden farther Empire States Building . lot restaurant shop around incl . supermarket . twin bed room 22nd floor small common Manhattan suitable 2 person , especially modern bathroom tiny ' much space several luggage . small wardrobe , iron set , microwave , empty fridge , working desk free internet flatscreen tv . lobby tiny , , size modern building , 8 room per floor . unfortunately , 2 elevator also use housekeeping . expect wait time . ' small fitness room basement coin laundry breakfast buffet could plentiful city , lot alternative . would certainly return hotel . 
 May 17 2008 	 great european standard much US property 	 book hotel want try hotel Chelsea ( normally stay Benjamin Marriott East Side Midtown ) . room small newly renovate . downside : onsite parking ; two elevator entire hotel time day night wait elevator also elevator make countless stop reach desire destination ; tv cable come old - fashioned box cryptic message use ; business center happen bad cell signal / wireless range order use laptop wirelessly ( print ) reach outside vendor security code possible wireless signal frequently drop ; breakfast adequate wait - staff almost pushy without helpful . ( trouble get silverware napkin ) . hotel new stylish basic / no frill . 
 may 16 2008 	 Great HotelGood Value 	 stay hotel little nervous base review construction outside unfriendly staff . stay opposite . staff friendly helpful . room small , good size New York City . room 15th floor quite . location perfect . block center time square close show want see . 
 may 14 2008 	 back Hilton Garden Inn 	 get back stay Hilton Garden Inn Chelsea . have fab time , room & amp ; bathroom clean & amp ; spacious . would reccomend everyone stay , there s office fax , copy etc do not use holiday . Free Wifi . every day replace bathroom Neutrogena supply . room fantastic & amp ; awsome view Empire State Building . blind open 1st night . room 2307 ! 7th floor . the front desk staff helpfull & amp ; friendly . breakfast $ 15 dollar do not eat hotel coffee free morning grab 1 leave morning . there suggestion reception walk downtown get Staton Island Ferry instead get bus subway . walk park Grenwich Village Soho past ground zero & amp ; St Pauls getting ferry . walk everywhere day & amp ; felt get see lot tour bus . 
 May 2 2008 	 Great Hotel 	 Good Hotel W28th - Hilton group - good standard - new & amp ; modern - friendly staff - wifi free room - good value NYC 
 May 2 2008 	 Happy HGI chelsea 	 love stay HGI chelsea , location perfect , away crazy crowd time square far enough not convenient , two subway station close . the staff friendly helpful even call get we limo way back airport , highly recommend . 
 Apr 30 2008 	 Great Hotel 	 hotel absoluty fabulous . price reasonable NYC close virtually everything cheap cab ride away . drawback get glass wine room .. sell expensive bottle front desk . hotel staff friendly helpful . 
 Apr 24 2008 	 Hidden Gem 	 stay Hilton Garden Inn Chelsea last weekend , say pleasantly surprised . read review , still bit concerned price pay ( $ 160 ) seem good true . book stay hotel website , search kayak.com finding offer good deal . hotel set back sidewalk , nice . lobby modern inviting , room incredibly clean , bed ridiculously comfortable . swear , one good night 's sleep ever ! Minimal noise street , even window open . oh , top , shower great water pressure ! , great hotel definitely stay ! 
 Apr 16 2008 	 still good good 	 stay hotel 6 week Xmas return another week April . hotel room still clean overall experience still good . one really bright spot Breakfast room unfortunately change . food fine service poor . week male server seem interested anything else serve customer . service get bill meal otherwise individual work need order meal hatch cook cook give meal . overall still good value pricing definitely go popularity . would still recommend please get new people Breakfast room ! 
 Apr 12 2008 	 Great Value Chelsea 	 hotel great value . brand new ( open Fall 2007 ) property , everthing date function properly . room well equip include flat screen tv , microwave oven , refrigerator comfortable bed . window thick shade keep light sleep past dawn . tv hook local cable network , get 100 channel ( case can not find anything Manhattan : ) ) .Location good , heart main tourist business area , advantage , since less congested area . easy walk Penn Station Harold Square Macy 's ; several subway station within couple block . adequate workout room business center . Hilton Garden Inns full service hotel , lobby small restaurant open breakfast . the staff helpful . the negative property room small even Manhattan standard . fine alone significant , would little tight two friend sharing room . 
 Apr 10 2008 	 pleasant surprise ! 	 hotel pleasant surprise . room simple , clean spacious New York . be decorate trendily , plus . bed soft comfortable . wireless free - huge bonus ! plus get free bottled water hhonor member . wine reception daily lobby . definitely stay ! 
 Apr 9 2008 	 stay 	 great hotel . stay April 3rd April 7th . room big plenty space unpack luggage ... small size closet dresser . in - room microwave fridge really help well . hotel sell stick handicap accessible room . room much big room ( friend stand regular room ) bathroom come tub . stand shower water splash everywhere . make sure request room not handicap accessible ( not need ) .The hotel staff friendly . lobby beautiful . use room service available . gym first floor well business center . bed comfortable room come HD flat screen tv . also CLEAN . big concern please clean entire hotel be . the hotel also close everything . make right hotel , next street 7th Avenue . make right 7th within 3 block , front Madison Square Garden . walk block Time Square . suggest pizza parlor corner 7th 28th also one 8th 28th . price thing like water snack hotel expensive McDonald 's corner 6th 28th deliver well pharmacy 7th 28th . this really great hotel stay . 
 Apr 4 2008 	 wonderful Stay Chelsea Garden Inn 	 nice stay hotel March 28 April 2nd , 2008 . room recently update trendy decor . bed luxuruious ! ! room clean . plus location proximity ( within 1/2 block ) 1 2 3 subway . step subway system take Penn Station ( next stop ) , Time Square , Central Park . hotel locate 28th street right wholesale flower district . street local shop fill plant flower ! lovely . we marvelous stay would recommend hotel . obtain great price per night Priceline.com 
 Mar 26 2008 	 Great Hotel 	 stay March 12 March 16 2008 . can not say enough hotel . get excellent rate book hotel website . hotel walk distance Penn Station , 5 min Empire State building , 5 minute Macy 's , 15 min walk Times Square . right flower district look window look street colourful flower shop . subway close , couple girl 's small city though subway would confuse complicated , truly good way get around city ! hotel room small much time really go spending room ? bed linen really comfortable . thing dissappointe housekeeping . change towel daily never clean bathroom entire time . pretty tidy people anyway not like make mess floor never sweep , mirror never clean . environmmental inititive change sheet request really great still expect bed make Duvet throw back rumpled sheet . pay rate list rigfht website would say something , like say , barely room . check quick staff really nice helpful . get back room hungry foot tired go ask front desk good place order pizza . recommend great place we block away hotel great thin crust wood - oven bake pizza . die ! bad can not remember name ! would recommend hotel everyone ever make back would stay ! 
 Mar 24 2008 	 hide Gem- grand hotel cosy 	 hotel open mid 2007 still unknown many cabby . come lot fanfare grand hotel bring . simple elegant new hotel , offer crisp , neat , clean comfortable experience . it locate 28th 5th & amp ; 6th Aves 2 min walk Subway . internet free bed comfortable . room 22nd floor great view Empire State Building . hot breakfast average . hotel pricey still many brand name hotel ( hotel NY ridiculously price ) .I forgot laptop cable room . call hotel keep front desk pick . 
 Mar 20 2008 	 Good Quality 	 hotel new , clean good standard . 's 28th Street , short walk Madison Sq Gdn Penn Station . room okay size , massive adequate good price . pay 100gbp Hilton website . I miss in - room safe elevator bit slow neither major hassle . staff friendly helpful . would stay watch penny . 
 Mar 13 2008 	 surprisingly good hotel 	 stay two night business , book hotel base previous review . guess ? review correct ! place not over - promise - 's 5 * luxury hotel , everything clean , calm well care - for . room good size ( Manhattan standard ) . look newly fit - out . bathroom clean new - shower lot power . quiet night . breakfast easy go friendly . would definitely stay - $ 299 rate pay good value business travel perspective . 
 Mar 9 2008 	 great location 	 great rate compare hotel area . room clean new . tiny cozy flat screen tv -nice size bathroom nice staff . location great -- -near Penn station - various subway line either direction street ( 28th ) . Neutrogena product - lot hot water good pressure . comfy bed . 
 Feb 29 2008 	 clean nice feature 	 new favorite area - place newly renovate 's clean . room refrigerator , microwave , flat - screen hdtv HD cable tv channel guide . free bottled water room , free high - speed internet ( wire wi - fi ) . printer access lobby . fresh baked cookie evening ! 
 Feb 29 2008 	 Perfect Convenient ! 	 husband & amp ; stay see concert MSG . short walk Garden Penn Station . room large tiny either . window room , get PERFECT view Empire State Building . ( pretty cool ! ) tv flat screeen hdtv load channel . poster one complaint slow elevator ... must get lucky time wait long .. ( although weekday ... ) glad decide stay ! 
 Feb 27 2008 	 small affordable convenient 	 book two night stay HGI Chelsea booking system work . travel counselor receive great agent rate $ 94.50 night . first time stay Manhattan please ! hotel staff helpful . knowledgeable area help we great deal . hotel clean new ( love new property ) . television feature least 200 cable channel . pleasantly surprised discover . hotel also close Penn station helpful since take train Philadelphia . pay $ 5 cab fare . stay HGI Chelsea great overall . would definitely stay . 
 Feb 10 2008 	 central location 	 well , summarize : - room quite big Manhattan , usually hotel room ver small- hotel seem recent renovate , everything nice clean- sympachic personnel- good breakfastHowever , room noisy - even 18th floor- street trafic wake 2:00 first night , second night neighbour bit noisy . insulation could well . , sensitive noise , maybe good place . might know Manhattan noisy time , include night , difficult actually find noiseless central hotel . I might come back ask room even high floor . 
 Feb 8 2008 	 great Stay ! 	 get ticket Martha Stewart show need hotel close . place brand new , clean , friendly well locate ! room small microwave , coffee maker fridge . order room service ( provide local restaurant ) great meal REALLY reasonable price . also buffet breakfast - also good price . - want explore Chelsea , fashion district shop Macy 's place ! 
 Feb 6 2008 	 Great Business Hotel Choice 	 great new clean hotel northern border Chelsea - convenient Penn Station midtown Manhattan . lobby nice staff extremely attentive . room typical New York term size , lovely . King Size bed , desk , flat screen tv , fridge microwave . free wireless hi speed internet room major plus . hotel restaurant serve breakfast . try , Whole Foods 2 block away . I definitely stay due location cleanliness . nice hotel choice business traveler . 
 Feb 4 2008 	 nice hotel 	 nice stay 15 minute walk time square5 minute empire state building . sometimes staff bit unsure try get leave day early unsure credit card etc . the problem room constant noise air con system hall day night loud . overall nice hotel big tv , comfy bed . its also great room fridge microwave . 
 Jan 28 2008 	 Perfect Stay 	 need quick weekend getaway Philly - decide NYC choose Hilton Gardens , base review ... disappointed ! location great we , since destination 28th street - able walk block Penn Station hotel save we cab fare also place we ' right ' side island . ( i.e . be go spend time uptown , be still good location might able find something close ) hotel seamless check - one complaint list ( slow elevator ) issue we entire weekend . room comfortable - space move around bit nice size bathroom sweet HD flatscreen tv huge selection channel choose - even microwave fridge locate room , swing bodega get thing help u cut cost late night snack etc . the one minor issue heating system - room unit work great - much set auto keep room 70 ( go 20 degree night ) ... problem room reach 70 , unit would shut breeze outside would trickle now - off unit , would slowly chill room , set unit heat . - minor thing one might annoying bit sensitive temperature . strongly recommend hotel - great space 2 people explore city ... 
 Jan 22 2008 	 around Great Hotel 	 book Hilton Garden Inn base review hhonor reward stay . entire staff helpful check entire stay . front desk breakfast , everyone greet we smile eager help . even hook we great view Empire State Building ( room 1907 ) .The room big enough clean . full cable tv , channel HBO . along refrigerator , microwave free Internet mean provide everything need . bathroom clean provide place hang store personal item . location good , although much immediate area . within block great restaurant , short taxi ride away anywhere might want go Manhattan . also within walk distance art gallery Chelsea fun activity weekend afternoon . 
 Jan 22 2008 	 Fantastic Hilton NYC 	 Dave : January 18 , 2008reviewer : Guest , Dallas , TXIf be look great , reasonably price hotel heart city , ! comparably price local hotel Chelsea area 100 time well ! brand new hotel offer workout facility , free WiFi , HD tv 's , comfortable bed / pillow , great restaurant , 24hour pantry , microwave fridge even warm cookie evening ! 's 24 floor building , get great view 's well insulate street noise issue . staff friendly helpful , place awesome ! be within 15min walk Times Square , 5 min Madison Square Garden close many place eat / drink . be halfway Central Park Finacial District , easy access train / bus . stay another hotel 1 block away none amenity , Hilton $ 50 - well worth ! can not miss facade hotel , stick like sore thumb neighborhood ( good way ! ) , find ! will regret stay ! 
 Jan 15 2008 	 all - round good quality - excellent value 	 stay NYC , considerable research find suitable central hotel . & quot ; cheap & quot ; ( i.e . sub- $ 250 ) hotel seem get dreadful TripAdvisor review ... apart one . so , slightly puzzle , book . disappointed ! location may partially explain price : 's sort - of dead zone seem undergo significant rebuilding . , despite fact street away bustle 34th / Broadway intersection . be never far anywhere midtown , 's real problem location , frankly excellent . breakfast fine , service fine , room reasonably large , comfortable , good bathroom ... free internet access ! , little complain . sure , not 5 * luxury , be astonishingly good value price . would stay ! 
 Jan 9 2008 	 satisfied hotel 	 read positive review , decide book hotel , . disappointed . room big enough , even we , family four , travel two teenager , bathroom large , convenient microwave fridge . think hard find negative thing find may miss safe room , one day come back 4.40 p.m. housekeeping not yet make bed . all happy , even use simple fitness room , please extremely friendly helpful staff . subway corner , comfortable bed , nice view esb ! 
 Jan 7 2008 	 Nice Hotel - Near Perfect 	 New hotel great room price NYC . staff exceptionally friendly . really enjoy morning chef , all - around great guy . would clearly say back breakfast order avoid confusion , may even bring food waitress busy . fellow make feel loved job ! 
 Jan 3 2008 	 good stay money 	 family stay two day trip NYC . location convenient penn station subway . since mind walk , walk almost every place go city . the room size modest , expect NYC space tight . however amenity want hotel ( mini - fridge , microwave , coffee maker , hdtv , etc . ) . bed comfortable , soft pillow microscopically thin come morning ( good side sleeper ) . room temperature keep 70 degree even though change set 64 ( New England use colder temperature late December ) think room bit hot . the staff friendly accommodating . quickly send extra box tissue ( allergy season ) ask . breakfast buffet staff also pleasant friendly . we problem check check . 
 Dec 26 2007 	 Great Place ! 	 brand new hotel right heart Manhattan . convenient location . super clean fresh , room nicely size Manhattan . hotel staff friendly welcoming . highly recommend hotel , will not disappoint . 
 Dec 24 2007 	 Functional 
 Dec 10 2007 	 comfy good deal 
 Dec 5 2007 	 far favorite NYC Hotel 
 Nov 19 2007 	 tidy convenient 
 Nov 12 2007 	 Perfect 
 Nov 8 2007 	 Perfect 
 Nov 6 2007 	 Good Hotel Bad double charge 
 Nov 6 2007 	 Semplicemente perfetto 
 Nov 13 2009 	 Immer wieder gerne 
 Nov 8 2009 	 buono 
 oct 23 2009 	 intachable 
 Oct 15 2009 	 Excelente ! ! ! 
 Sep 24 2009 	 Gran dirección . 
 Sep 17 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 28 2009 	 Hotel centrico buenas habitacione de espacio justo desayuno genial 
 Jul 23 2009 	 Excellent rapport qualité / prix pour New York 
 May 2 2009 	 Da non perdere 
 Mar 10 2009 	 satisfait 
 Dec 19 2008 	 Giudizio positivo su ... 
 Dec 1 2008 	 ? ? ? ? ? 
 may 30 2008 	 Davvero una buona scelta 
 May 2 2008 	 provare per credere 
 Jan 17 2008 	 hotel muy recomendable 
 Jan 17 2008 	 buonissimo rapporto zona / qualità / prezzo ! ! ! ! 
 Jan 15 2008 	 Ubicación Limpieza Funcionalidad 
 Jan 8 2008 	 très bon hotel 
 Jan 5 2008 	 Hôtel neuf donc très propre et confortable mais dans une rue très moyenne 
