good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Nov 19 2007 	 nice west side hotel 	 excelsior traditional decor - wood paneling reception even elevator . the atmosphere ' residential ' - service helpful . need change room , accomplish efficiently - outcome nice , small suite room upper floor , back hotel ( lthe location arrangement right -and worth pay upgrade rate ) .Nice breakfast buffet - egg omelet cook order -- plus wide array meat , cheese , bread , cereal , juice , fruit . plus , tea coffee go ! ( room - service . ) staff helpful reservation car return airport well . all around , excelsior comfortable accomodate ! 
 Nov 18 2007 	 Great Location ! 	 hotel excellent location Upper West Side stone throw Central Park . past stay hotel uptown find experience somewhat claustraphobic time . excelsior locate peaceful typical ' well ' Upper West neighbourhood lovely coffee shop delis . Uptown short five minute taxi drive away . hotel clean comfortable although room huge , ( like NY hotel anyway suppose . ) reception staff helpful pleasant ( trip advisor comment rude staff prove stay ) . criticism , hotel bar relax evening although bar within walking distance . would stay . 
 Nov 13 2007 	 good value New York 	 book hotel part package ebooker special birthday occasion . on arrival upgrade park view room large comfortable room two king size bed . air con helpful August . situated west 81st good 20 - 30 minute walk 5th Ave Central Park pleasant walk . metro station across road get Times Square less 5 minute . we also use uptown loop sightseeing bus get hotel ( stop Natural History Museum ) . sightseeing tour excellent beginner New York - enjoy downtown loop night tour get ticket Empire State Statue Liberty ferry include price . back hotel - staff little standoffish generally helpful . breakfast expensive money much well spend little delis nearby . overall good value hotel - not think find room size central location unless pay mega buck ! 
 Nov 10 2007 	 Excelsior Hotel - Excellent Location ! 	 husband stay one week excelsior lovely time . & quot ; package deal & quot ; room fourth floor back instead street side quiet night ( good trade - off ) . room keep clean air conditioner window breeze . location superb : short walk Central Park many restaurant along Amsterdam Columbus Avenues . Metro stop corner . would like hot pot room . use breakfast room special room second floor hotel sleep . hotel may bit cheap everything NYC expensive . excelsior moderately price surprise . alarm clock room not depend wake call . 
 Nov 10 2007 	 not ever stay Excelsior Hotel NYC 	 stay Excelsior Hotel NYC come city NYC Marathon . disaster ! book wake call marathon morning - never come ! single guest hotel ( run marathon ) get wake call . hotel staff unapologetic simply say & quot ; bad , accident happen . & quot ; return hotel finish marathon find hot water ! ! staff unapologetic say hotel busy could not expect get hot water ! much argument send verify actually hot water finally offer another room . could go atrocious service rude staff encounter hotel , two example probably sufficient . write letter complaint general manager - get response . obviously lack service start top . 
 Oct 25 2007 	 nice location small room 	 hotel ideally locate group we attend event across Park & amp ; handy local restaurant Columbus & amp ; Amsterdam Avenues . staff OK & amp ; outside building appear undergo rennovation , not cause disturbance . cost $ 275 night . ' ve stay near centre Manhattan past , place far enough relatively peaceful , eat restaurant full local night , still close enough action . room small & amp ; tea coffee make facility & amp ; free internet . room ' ve stay NY tiny & amp ; 's Starbucks equivalent every corner not major hassle . 
 Oct 14 2007 	 Loved ! 	 Excellent hotel ! extremely clean beautiful view American Museum Natural History . an excellent choise want stay Upper West Side . 
 Oct 14 2007 	 Gem Upper West Side 	 nice hotel tranquil , safe areaAcross street fron Museum Natural History , within walk distance Central Park , nice restaurant Columbus Ave , Central Park , subway bus station .Godd shop like Filene´s Basement , Circuit City , gap victoria´s secret nearby BroadwayRooms big comfortable cleangreat breakfastA good price / quaility relationship 
 Oct 7 2007 	 Nice hotel 	 get back NY Friday . Stayed excelsior 5 night . bit worried negative comment regard staff . however , not bad . not bend backwards overly friendly pleasant enough . the room clean . Maid service evey day fresh towel . the room pretty stuffy though , air con noisy leave night . as everyone else mention location great . subway leave hotel along corner . Natural Histroy Museum Central Park close by . we walk Broadway breakfast day , couple good diner reasonably price , Manhatten Diner lovely pancake . to get Broadway turn right come hotel 2 block down . would go back Excelsior 's clean , good location surround neighbourhood feel safe . 
 Sep 14 2007 	 Excelsior Hotel ... true Upper West Side experience ! 	 writing review excelsior Hotel painful want hotel . gem ! locate UWS right across Museum Natural History justthisclose Central Park . top floor room museum/ park view . staff helpful room really quiet , really comfy , really clean . know stay whenever begin yearn beauty slow pace UWS . 
 Aug 22 2007 	 top notch friendly service location ! 	 excelsior hidden gem . beautiful , pre war ( ? ) build right across American Museum Natural History million dollar view Manhattan . quiet neighborhood , accessible public transportation taxi , well Central Park . staff , include general manager friendly courteous . room clean , comfortable tastefully decorate . sad leave . already recommend place several friend colleague . 
 Aug 13 2007 	 Great Value Great Hotel 	 great experience excelsior . room spacious clean , bed comfortable . hotel staff great . book month ahead , really get great value price pay Hotel . convenient location , right next Museum Natural History Subway Station right corner , 81st Station - take stop . trouble get around NYC convenient location . great restaurant Columbus Ave , Central Park right across street - could not ask well location , especially since 2 young child . easy get cab time well . the staff overly friendly helpful . concierge service excellent . would definitely recommend Hotel family young child . 
 Aug 8 2007 	 European Hotel UWS Manhattan 	 return week Excelsior Hotel Manhattan . hotel great . european style , old world look . clean nice . staff friendly helpful . hot humid town , thank God A / c ! ! locate right across street American Museum Natural History & amp ; plantetarium . great location restaurant , subway , museum & amp ; Central Park . room small , able move around . small closet & amp ; bathroom . queen size bed , comfortable . Desk & amp ; one night stand . tv satellite cable , not watch much tv . shower good pressure temperature . overall would say probably good hotel ever stay NYC ! highly recommend ! 
 Jul 27 2007 	 Great Location . . . 	 start say get rate $ 190 per night room ( 1 bedroom , 2 double bed , 2 adult 2 child ) , price , okay . see frequently charge , feel compel report problem encounter . room look clean , unpleasant odor . ( husband suggest disinfectant . would say cat pee , try hard believe disinfectant instead . ) air conditioner could not muster oomph actually cool entire room . someone vacuuming head wake we 8 a.m. Sunday morning . and other report , front desk staff dreadful . town weekend attend baseball game , notice subway train intend take not seem run weekend , ask front desk possible take subway corner station Yankee Stadium Saturday . say . ask good way get weekend , desk clerk say sure one many brochure concierge desk could tell we . he have lose point rudeness general uselessness even answer not ultimately prove wrong . ( yes , take subway station stadium , even weekend . game great , way , except perhaps people Tampa . ) front desk get question guest , make answer seem much malicious stupid . and writing & quot ; New Yorker , & quot ; would say ' ve find New Yorkers outgo helpful people world . child joke every time stop read subway map city , passer - by ask be look offer help . perhaps next time ask suggestion good hotel Upper West Side . 
 Jul 25 2007 	 Great experience - unprofessional 	 arrogant staff , unprofessional experience , great time ... book suite directly hotel . arrive check , havoc store . we give key room , go , key not work . go back downstairs bellboy accompany we room -- try key , still not work . use master key let we room ) small suite b ) people 's thing ! ! ! ! obviously mess room . go back lobby , give key another room -- key still not work . take multiple trip up / down figure correct key correct room . unprofessional -- apparently ' system glitch' . Staff refuse bring extra item like extra chair , unaccomodate unfriendly arrogant general . room stuffy small minimal window outside . expensive type service ! even complain manager phone post - visit , compensation adjust lack understand poor visit . WOULD RECOMMEND . 
 Jul 24 2007 	 Fantastic Trip New York Excelsior good ! 	 read scathing review site , little apprehensive upcomming vacation New York , stay hotel & amp ; low expectation would experience .... could wrong ... ! right moment check Special need baby son Travis , husband & amp ; receive high level service & amp ; hospitality Staff Excelsior .. give free upgrade Suite ( even though Hotel full ) ask nice room & amp ; price smile ... stay , desk staff go way helpful , answer question quickly & amp ; politely .. member staff ( Breakfast room & amp ; Lobby ) remember we quickly & amp ; make fuss son time see we , add freindly atmosphere experience New York ... suite comfortable big fluffy robe wear & amp ; clean & amp ; restock fresh towel day .. housekeeping staff even tidy Travis 's cot & amp ; regroup soft toy ! couple minor gripe ... 1 . Coffee / Tea maker room , starbuck two minute walk hotel , husband go & amp ; get take we day get Travis ready go ... 2 . bar restaurant evening ... LOADS within block two much problem ... breakfast hotel twice ( $ 19 full american breakfast , fresh cook ) nice , plenty place outside want something different want spend little less .. location great , half block Central Park & amp ; right Natural History museum .. subway two minute hotel , walk park nice prefer , need carry Travis 's wheelchair 81st street subway due lift . also please New York taxis cab able take wheel chair , ride two tired walk .. ! good thing Hotel peaceful day sightseeing shopping .. pass many hotel travel & amp ; never find one restful location . do not worry visit hotel , great time , nice staff & amp ; . 
 Jul 20 2007 	 great hotel even great neighborhood 	 spend week Excelsior could not happy choice . 8th floor two large window overlook park - like ground Museum Natural History . queen size bed nice linen , large closet electronic safe , good - sized bathroom . place clean housekeeper excellent job every day . the hotel within block subway stop 81st Central Park West crosstown bus stop right front hotel . Central Park right across street subway stop four five block direction 81st Riverside Park walk along Hudson River . I eat breakfast room ( $ 19.50 ! ) last morning storming outside please get explore neighborhood diner , coffee shop , bakery . favorite within sight 77th & amp ; Broadway . Manhattan Diner ( 24 hrs . ) favorite waiter service number breakfast special $ 6.75 . Big Nick 's across street ok breakfast excellent cheeseburgers pizza huge menu stuff . Europan Bakery / Cafe excellent pastry cook order breakfast . H & amp ; H Bagels Zabar 's couple block Broadway . as other mention front desk staff not friendly not really interact much . obviously perfect & quot ; dress like big city hotel staff & quot ; part training manual not get section & quot ; make guest feel welcome home & quot ; . also perfect & quot ; look busy computer someone else wait & quot ; routine . say , love stay not dampen enthusiasm . will definitely return ! 
 Jul 16 2007 	 perfect we ... 	 ' ve stay excelsior three time within last year , everything perfect . front desk always pleasant efficient ... ' ve always able check early . 
 Jul 7 2007 	 great hotel bad service 	 hotel room great . problem room well maintain clean . breakfast room really nice . , however , experience rudeness front desk employee other report . recall see crack smile one week stay . judging report , something hotel management take seriously hotel good location much potential careless employee ruin reputation . 
 Jul 6 2007 	 Location location location 	 review , take plunge stay Excelsior . staff aloof , borderline snobbish overly helpful , understand New York , get . half nice , half marginal . 's way . room clean spacious New York standard , nicely decorate . upscale hotel decent price city . will not disappoint . however , place small child . LOCKS WINDOWS ! ! ! literally , anyone could fall right 12th fl . , guard , nada ! strategically place luggage , kid doggone tired , would not think get night , not room daytime . Airconditioner , . beat location ! ! ! ! Museum Natural . Central Park , literally across street . subway , outside door ! would stay , location ! overall good value ! walk Funky Diner eat , food excellent friendly ! Taxi $ 10 one way heart Times Sq . , nice stay away hustle . 
 Jun 30 2007 	 even bad 	 leave item behind excelsior call asked send . would believe snotty . continue give difficult time 8 email - finally send Credit card # travel World never time treat rudely . 30 year whenever inadvertantly leave something behind , Hotel always graciously send cost me- courtesy . recommend anyone support kind business attitude . find hotel treat respectfully guest ! thumb WAY ! unforgiveable treatment guest . 
 Jun 18 2007 	 pretty good ! 	 good hotel . bit pricy , be expect NYC . Thefirst time , August 2006 , upgrade one bedroom deluxe suite . staff friendly . thing not like stay 2006 , toilet break , tookthem many hour someone come fix . stay 2007 , run many electronic electricity go . luckily , fix within 10 - 15 minute . 
 Jun 17 2007 	 Perfect Location see real NY 	 mum stay hotel 3 night whilst long weekend trip . need hotel perfect would stay . room clean good condition . light bright good air conditioning . bed comfy linen clean good condition . bathroom small good facility well maintain . couple conversation front desk certainly & quot ; frill & quot ; not stay hotel charm amazing service , location reasonable price . location really perfect . subway 3 minute walk away lot bus nearby take town . go theatre couple night feel safe travel back hotel use public transport .central Park 3 minute walk away . think clincher , be overwhelmed tourist . area residential local diner really full local ( favourite Cafe 82 ) go shop , delis ( try zabar ) bar . felt experience real ny.i would say hotel perfect people want somewhere nice sleep want explore city time . want slightly away ( still able get ) main tourist sight - would rather step find Central Park door step , battle tourist Time Square . 
 May 26 2007 	 Good Location Big room many frill 	 excelsior far ultimate hotel experience , get job do . need room ASAP New York hugely overpay stay , suite fabulous view love area . live New York desire stay touristy / business - orient Midtown , be important real neighborhood near friend close subway stop . hotel option Upper West Side somewhat slim Excelsior fit bill . however , service strong suit staff small . Decor standard colonial stuff , nothing special . room clean big NYC standard . would gladly stay pay much less ! 
 May 1 2007 	 # 1 Hotel NYC 	 stay hotel several time find quite amazing people complain ? ' ve stay almost everyroom available seem quite neat & amp ; clean .. rate great ! location great ! front desk may need little tuning , hey would not ny without little attitude ... lol ... would stay long visit NYC 
 Apr 29 2007 	 Nice Hotel 	 hotel within walk distance Central Park Museum Natural History . unfortunately , not time see museum . location excellent . ton wine flower shop well restaurant bakery area . hotel remind Titanic . decorate old opulent style . room 15th floor , view nice . room clean linen clean enough hygienic , one could say immaculately clean . shower mold , window area filthy . also dusty . room large enough , bathroom , remind new bed breakfast . carpet wallpaper appear brand new . bed comfortable . would stay , would not pay lot room . opinion $ 250 night . pay less stay Hard Rock Orlando , place immaculate . 
 Apr 13 2007 	 nice place ! ! 	 stay Excelsior 22nd march 26th march travel Canada . originally book Helmesley Park Lane due many bad review swap Excelsior . slightly perturb pulled outside see scaffold interior welcome night staff reasonably friendly . initially could not find booking find another name ( partner ) . suspect single room originally look shocked tell 2 we . however check booking immediately sort problemwithout bothering ! show room 906 , clean , fresh , light airy 2 large picture window open onto alovely view natural history museum gardens , museum city skyline crane neck leave little could see central Park ! also great bathroom window open , clean , fresh plenty fluffy white towel available . great water pressure . bed queen , comfy well stock big pillow fleecy blanket well quilt top sheet . face onto street admittedly noisy window open noisy themain street stay Paris , Havana , Toronto , London major city visit would not sacrifice view . do not use hotel catering stay comment , however problem safe tocall maintenance sort . miserable bloke really , much actually laughable do not allow rude attitudeto reflect upon staff helpful courteous . use house dry cleaning iron service partner suit , assure would back time theatre date hadto call chase subsequently tell would not back 8.30pm ( winter garden theatre 7.15 formama Mia ! ) . however call reception sort be not charge full cleaning price . would recommend dry cleaner area ( least 2 second away hotel ) . see lot local use lot cheap hotel service . general area location thishotel faultless , subway one block away literally hundred local place eat serve everything mexican chinese steak tofu ! find Columbus good street . agree person mention dog walker , literally hundred local walk dog shape andsize . day start see face ( canine human ) great nice residential area . also ask direction occasionally people really friendly glad help , even share taxi ride Friday evening raining ! overall great time NYC , good birthday present ever ( small consolation fro turn 30 ) would recommend hotel other check lot site feature get good price also check hotel . 
 Apr 6 2007 	 Nice Room ! 	 group girl stay hotel girl ’ trip ( 5 girl ) NYC mid March-2007 . book suite 5 girl ( 3nights ) nice mainly room super clean . bathroom , bed floor clean . bed super comfortable room spacious enough 5 girl language . would definitely stay hotel come back NYC . staff kind helpful . outside hotel renovation care . care room go sleep look like definitely good choice . hope review help . 
 Apr 6 2007 	 Worst Service Experience EVER 	 would like say live NY 5 year UWS year . last year move SF , still come back visit sister fam UWS . collection hotel usually check come , excelsior one . although , stayed find Avenue fantastic cheap . nevertheless , find Ave sell weekend decide book room Excelsior . already aware room hotel reminiscent stay Grandmother , okay , plus room could find here . so , enter appalling customer service experience ever : enter hotel sister ( laugh talk approach desk , desk clerk phone ) await get phone barely look sideways still phone curtly state , & quot ; Checking ? & quot ; reply yes , slightly surprised tone lack attention , simply rudely say , & quot ; Name & quot ; .... & quot ; Spell & quot ; chat phone look computer side . & quot ; Credit card & quot ; next word mouth believe , word quote , far , word utter ....... besides overheard conversation phone regard Jesus busy week , something wash foot tonight ...... put card counter oppose handing , rightly , putt lack attention inconceivably rude action attitude . tell bother , say , & quot ; think bit rude chat phone try check room pay . say make flight arrangement must done moment ..... sure jesus fit flight arrangement day . mention hear discuss Jesus bathe foot , flight arrangement .... say religion important . point must add , sweet distracted man talk Lord . sound like gossip celebs phone manner speak quick , sharp fill bitterness anger totally shocking . complete room confirmation ( still phone ' gabbing ' ..... deaf , make ' flight arrangement ' ) say , & quot ; really , rude & quot ; ..... , last ditch attempt make story real say person phone , & quot ; call back .... hold seat & quot ; .... come on , give break . begin lambaste sister throw credit card ..... happen ... sister look like guy real ? tell think rude , worked not think listen even hear sister say ... maybe bad day ... rail not do anything wrong ..... obviously work must something go . proceed explain would appreciate ... & quot ; welcome , sorry need phone get information & quot ; .... variation theme . * ( p.s . pay chunk change 1 bedroom suite ) tell , shocking service ever ... get name , Joseph , name . walk away recognize play incongruent pop radio station rather loudly throughout lobby . putt experience nervous enter lobby upon return tonight , really work man .... additionally , check tomorrow ( p.s . hotel be not worth anyway ) , tell everyone know never come . stay away unless medical emergency prevent . 
 Apr 3 2007 	 bad nothing special . 	 Flew back last night 7 night Excelsior . mixed feeling hotel pretty much concur last reviewer . good point : hotel comfy room clean although rather date decor wise . location safe - 's residential district people tend local walk dog ( spot breed cruft ! ) hustle fro work . state many time , location great central park , Museum Natural History ( across street full day trip child . excellent IMAX presentation late Rover moon landing , impressive planetarium ) Metropolitan Museum 10 min stroll accross park 5th Avenue . housekeeping staff great - 9 yr old daughter vomit quite spectacularly lift one evening mortify could not nicer . honest not find desk staff rude unhelpful - perfunctory . now bad : 10th floor find noise level street quite intrusive , especially early morning . lack facility frustrating - tea coffee make facility , bar ( can not really take kid bar hopping evening ! ) food except breakfast risk first morning - weird , stuffy dining room like victorian front parlour window , cost ridiculous $ 20 cook breakfast $ 16 continental ! $ 75 ( inc . tax ) breakfast every day really feasible family four . lot place along Columbus minute walk away 2 tea , 2 juice , 4 pastry piece fruit average around $ 24 lot . door man concierge quite amusing - trip help case even not want help . opportunity watch action half hour whilst wait airport shuttle - move case 20 foot street desk visa versa warrant kind tip get beyond . ask concierge theatre ticket Mary Poppins , provoke sharp intake breath much talk difficult get hold . eventually say could get $ 118 , phone theatre direct get 4 good seat follow night $ 50 ! overall pretty average hotel probably would not return . last visit stay Holiday Inn Martinique 34th St. Broadway , nothing special close midtown action ( across Macy 's ) quieter suprisingly . 
 Apr 1 2007 	 great location ruin dirty room unhelpful staff . 	 Lobby look great , room small expected size New York . great location near park , subway , Nat History Mus , local shop restaurant . room filthy , heating terrible , constantly turn , open window fresh air , carpet stain . bed suppose queen size tiny . rarely receive third towel request one . staff not seem enthused help anything matter . next time , will go back big chain type hotel bother look unique hotel charm personality be hit miss . excelsior miss . 
 Mar 28 2007 	 Pity staff 	 return 6 day stay hotel . first positive - location superb - right Central Park subway 2 minute away . great restaraunt nearby - isabellas fantastic EJ 's great breakfast lunch . peaceful ( quiet ) night expect New York ! room reasonable size keep clean every day . read review poor water pressure - 10th floor absolutely problem apart arrive water one morning hot water . fix pretty quickly . we agree staff - interested chatting help guest . stay many hotel 5 star bed breakfast be find bad far staff attitude concern . inconvienience rather pay guest . ever ask direction subway advice restaraunt . pity let hotel . one word warning - use concierge service . misfortune book car , advice , get Newark Airport . thank goodness leave good time driver get completely lose way airport - 45 minute journey turn 2 hour journey hell ! ! aircon car ( warm March day ) driverwho completely fail grasp need get we airport time . ( finally get minute gate close - apology ) never stress life - completely ruin end holiday- never use service - warn ! ! ! would stay ? change staff definetely yes - however despite location prefer treat respect give pay ! ! 
 Mar 23 2007 	 Dirty smelly 	 stay excelsior many time - primarily great location reasonable price . time ... not worth . room dirty , bathroom dirty , pillow lumpy ... , bad , whole place smell ! throw open window time enter room . top , people front desk RUDE . never stay excelsior . 
 Mar 21 2007 	 Superb Location 	 return morning 7 night stay find lot well last year stay stay Times SquareIt peacful step Metro onto 81st Street room superb , two double bed 's two us share room clean everyday fresh towel day , already send e - mail staying place next year another shopping trip Big Apple . no tea make facility room already know take travel kettle love Englisg cup tea bed morningA real 10/10 Hotel 
 Mar 15 2007 	 would return tomorrow ! ! ! 	 return New York partner . first time we love ! ! Sooooooooo please choice hotel location great ( Central Park noisy night ) well close subway within easy walk distance restaurant shop . hotel nicely decorate kind chic french decor . room bathroom clean keep white towel fluffy ? ! plan go breakfast end continental style breakfast hotel morning selection great good value . would recommend hotel anyone whole trip great value . enjoy ! ! ! 
 Mar 6 2007 	 pretty disappointing 	 wife stay Excelsior December , 2006 . be beautiful part Manhattan , near park , convenient subway . 's good news . book standard room & quot ; California queen & quot ; bed . bed suppose 60 & quot ; wide get narrow enough difficulty sleep . wife measure width standard double bed . complain people front desk , pretty rude . interaction front desk also unfriendly ' ve ever encounter suppose nice hotel . 's bad place physically nice well locate , people run real problem . would not stay would absolutely recommend . 
 Feb 20 2007 	 location great ... 	 book one bedroom suite divide french door hotel web site two night travel baby . upon check show standard room , suite . & quot ; upgrade & quot ; suite refuse room . sure feel like hotel pull fast one ... divide door clearly picture web site . suite divide door work great baby , priority . tv bedroom poor reception , sofa need recover . overall decor date . bell maid staff nice enough . great UWS location convenient parking . sarbeth good enough eat good breakfast place . would stay suite aspect , much nice place stay less not care suite . suite important , make sure get pay . 
 Feb 18 2007 	 lovely stay - highly recommend 	 get marry New York October 2006 choose stay excelsior hotel special occasion . room nice clean wonderful view park . reception staff serviceminde help we great tip restaurant club . breakfast may bit pricy worth since chef nice friendly . sort person make feel good rest day . location hotel also really good , close shop , restaurant central park , still nice quit area . bit interesting much less tourist town . 
 Jan 12 2007 	 first visit N.Y.and excelsior hotel say ... 	 30th wedding anniversary last year , decide visit New York trip miami , first us New York , course Hotel , hotel tick excellent box we , location right , gentle liesurely stroll times square major attraction , central park close absolute pleasure visit , find hotel staff extremely helpfull area . sure visit place first time basis , may like , try visit imagination , hotel , New York etc , one undecided stay , wonder go like etc , say good holiday desicion ever make . never encounter problem whatsoever , add together New York visit , believe will not dissapointe either , people , place , fantastic , whole day every day , visit local irish bar less 50 mtrs away hotel every night , meet chat many local New Yorkers , fantastic problem ...... like good thing end , day pass one day close return , ( well that s look ) certainly back N.Y. hotel . it good expierience ever never forget . all good we , look forward see soon . Colin & amp ; Linda 
 Dec 27 2006 	 great location great stay ! 	 hotel excellent . love upscale neighbourhood location , fantastic city view . walk distance lot great traditional NYC restaurant , delis , pizzeria easy cab ride locale near midtown . this first time NYC happy safe nice hotel stay . room decent size always keep clean orderly . window ( open ) provide fresh air lovely view park city . we enjoy walk area extreme proximity American Museum Natural History spend 6 hour explore ! contrary review , find hotel staff friendly helpful need . problem booking . book Expedia call confirm reservation hotel show we check day early . since time would paid penalty no - show , confirm Expedia ( everything fine end ) hotel . end speak manager confirm error part , provide email confirmation apology mistake . everything work fine end , wonder would happened not bother check hotel prior check - in ? still , absolutely great play stay ! 
 Dec 3 2006 	 Great Experiance ! ! ! 	 Great Hotel . awesome room 10th floor overlook park , huge fine . bed comfortable , room clean nice white tile bathroom accent raise decorative tile . excellent location , 1/2 block Central Park subway stop corner . & quot ; museum mile & quot ; short walk across park . great value ( NYC ! ) . 
 Nov 23 2006 	 great position go back 	 love hotel , great room , 9 floor front overlook park , 2 double bed , room good size , always keep clean , great position , 5 minute walk central park , subway end road , 10 minute time sq , another subway line 10 min walk away , starbuck end road breakfast , irish pub around corner . location hotel excellent , find nice get away hustle bustle times sq , somewhere bit quieter recharge battery , ( nice walking park ) start next day , hope go back one day.will post photo get sort . 
 Nov 21 2006 	 great location second visit 	 husband book first weekend away without child . second time New York , first . great hotel , bit worried reading comment staff find helpful chatty . room fine , clean , good maid service . great location , perfect walk hustle bustle midtown shopping , central park , onto hotel . lovely fifteen minute walk give chance wind . great subway , end street . Amsterdam street one street away great bar trendy restaurant . try Dead Poets Bar friendly chat good company . isabellas good restaurant , book weekend . suffer time difference like perfect location stroll main shopping 5th Times Square , set half seven coffee breakfast way , window shopping way ( lovely little boutique gift shop ) , get main shop time opening . good hotel second stay feel confident finding way around want shop . bar restaurant surround great . 
 Nov 17 2006 	 Loved Excelsior plan stay . 	 NY many time , always stay family . however , since trip graduation gift granddaughter , want stay hotel . small property european feel , right alley . love residential feel neighborhood , proximity transportion . room small , 2 big window keep feel claustrophobic . 
 Nov 5 2006 	 lovely relax hotel 	 stay Excelsior October 2006 . want somewhere hustle bustle NYC yet close enough able walk madness Excelsior provide . room stay ( 915 ) medium size clean comfortable . staff extremely helpful pleasant could say bad word hotel . would definately staff . find fantastic cafe couple block Broadway 82nd call Cafe 82 would recommend . area hotel lovely - National History Museum opposite , Central Park 2 minute walk away subway also 2 min walk away . convenient everything , yet relax time . highly recommend ! 
 Oct 28 2006 	 Great Place great neighbourhood 	 stay recently 2 night . booked room ( # 1602 , 1604 & amp ; 1606 ) top floor - great view Nat . History Mus . skyline too . room small medium smallish clean bathroom . everything need , irn board , safe , etc . mini bar never use anyways . bottle water complimentary cost $ 3 decent size bottle . window open air view . if one critisism would whole place hot could not control room temp individually . staff fine , not need service much pleasant enough . area excellent - two street Amsterdam line bar restaurant easy walk home . subway corner 81st take place easily . can recommend highly - get good deal UK Purely America £ 70 per person . 
 Oct 23 2006 	 excelsior good ! 	 thoroughly enjoy stay Excelsior Hotel . charming hotel charming neighborhood . location across Natural History Museum convenient well subway stop one block away able get around quickly . check - in quick uneventful . able check early . room quiet back hotel view picturesque terrace Upper West Siders . pretty tiled bathroom great , closet space large bed comfortable . not understand bad review . stay two night want stay . Lunch Ocean Grill ( try scallop ! ) great ! try ! 
 oct 22 2006 	 lovely hotel excellent position 	 return short holiday New York . second stay city first Excelsior . alittle apprehensive reading visitor 's review pleasantly surprised . arrive 4 pm receptionist extremely courteous . advise we upgrade park view room extra charge . spacious twin room 2 double bed . subway 1 block away problem get downtown . shop day relief get back beautiful neighbourhood . stay daughter never feel uneasy walk area night . there many great restaurant area within walking distance , Isabella 's fantastic ! excellent location . clean hotel . would recommend hotel ! 
 Oct 11 2006 	 beware Excelsior 	 beware Excelsior Hotel New York ! reader ' review lousy service straight point . need cancel reservation change plan . call reservation department plenty time cancel , tell since book room hotel 's website , way could cancel reservation website . ( every hotel reservation ' ve ever make never silly policy . ) reservation agent refuse cancel reservation . tell could not cancel reservation online not password website , never password website , none email hotel would go spamblocker , impossible obtain password order retrieve reservation . reservation agent argue argue , ask make reservation first place . finally , ask & quot ; refuse cancel reservation ? & quot ; argue grief , finally grudgingly say would . ever deal agent , beware . say name & quot ; Daisy . & quot ; , will double check credit card statement make sure hotel not charge . also , call hotel operator , keep hang . originally book Excelsior base friend 's recommendation , never stay . not advise , either . 
 oct 9 2006 	 Love City Hotel 	 one bedroom suite comfortable clean . find one front desk staff helpful friendly . bellman doormen friendly helpful ! ! ! concierge / giftshop clerk occasionally . beware order show ticket ! ! pay hefty fee popular show . pick ticket theatre box office face value $ 110.00 per ticket charge $ 170.00 per ticket . tell $ 60.00 per ticket charge ask General Manager next day tell we broker fee refer we back concierge . we stay eight night able get one coke pop machine first night none . machine basicly empty product full time . interest staff follow . morning checkout pack left thing bed dresser go friend breakfast . return 10:15 find housekeeping room clean move item bed floor . check time 12 noon . go front desk express concern tell could nothing want would connect housekeeping . love location Hotel would stay could reccommend . pricey basically service ! ! ! ! 
 oct 9 2006 	 Loved hotel 	 love hotel . clean , even balcony room pretty . would recommend hotel highly . try Big Nicks breakfast far away good food good price . 
