Nice 	 hotel Great Location , especially watch Macys Day Parade . pay extra room parade view view great not really think worth price charge price matter 5th floor 30th floor . room small New York expect . hotel small lounge , many night full seat leave . staff friendly , however other . hotel right Times Square , close shopping , show , central park . planning trip New York suggest stay someone Time Square , many hotel along Broadway 7th Ave want . overall hotel Nice hotel Great , go back try another hotel Times square . on side note ! LOVED NYC ! like Sex City make sure book Sex City tour City Tours ! great ! 
 Satisfactory - Excellent Location Broadway show 	 's good hotel good value great location see broadway show . 's 8 block walk ( actually short time - wise ny ) . expect crowd busy new york theater sidewalk part experience . parking $ 42 per night hotel . front desk little slow accomodate . Beds Bathroom clean comfy . room 2 double bed great friend . got great rate priceline , usually book www.spg.com get pretty close $ 200 . 
 major fault spectacular 	 hotel provide good service ; room thoroughly clean concierge give good advice explore New York city . room serve purpose ; comfortable bed , tv variety channel , twin standard room spacious enough two people , bathroom everything else also great . big wooden desk thing next window pretty useless though ! not use gym restaurant , busy explore city - look fine . location legendary , especially night walk Times square matter 30 second ( run ! ) also subway station major line close proximity hotel ; manage explore 5 borough bit effort - . good thing hotel , view phenomenal . look room ( 38th floor something ) honestly make feel empty . club room , see New York holistic perspective , square outline central park visible . find annoying hotel definetly offer breakfast weekend , mean , ! eat local cafe flood tourist , available table . my final observation hotel like city within city ; 24 - 7 literally thousand people hang around lounge , walk main entrance . many people , kind feel like another number ! 
 need stay area - try another hotel 	 last two business trip city year , stay Hilton New York . decide try hotel . will not first ( second third choice ) go forward . the check average . room , though , smell strongly cinnamon air freshner . reason - previous guest smoke bathroom housekeeping try mask smell . receptionist helpful changed room right away . room small Hilton ( price ) . not enough room put dresser right front bed 's corner near closet . therefore , tv corner well . desk width room near window . dislike wireless internet short cable use . not able sit bed work . room hot night temperature not work . bathroom decor bit shabby size small . bed comfortable though . I like cafe lobby free interet access . pay handle fee collect package business center . also pay use gym , annoying . in , nother really wrong hotel - average . right price , maybe woudl stay 's price Hilton - would choose Hilton . 
 Jun 10 2009 	 great location ..... nice Rooms 	 daughter spend week find room small 2 double bed , desk , nightstand dresser . need ..... not spend much time room . air conditioning put much cool air want call promptly receive fan take care problem . everyone check check great . hotel bar bit expensive nice quick breakfast muffin , lunch salad glass wine evening . would go back ...... location fantastic ! walk almost everywhere ( see 3 show ) . subway right next hotel , Central Park , Times Square , etc .all within walking distance . 
 Jun 9 2009 	 Perfect Location 	 daughter arrive hotel 9:30 . serve immediately request early book - in . tell 12:30 would early . excellent . room ready early state . yes , room & quot ; compact & quot ; problem . much time actually spend room ? bed comfortable . period day annoyance rectify result request small fridge . usually $ 25 / day complimentary due problem . hotel sell . lot school trip book . lobby always busy . location marvelous . ten minute Times Square , ten minute Central Park . right subway line access easy . suggestion : get really good city map ( front desk ) map travel . subway pass , unlimited daily use , $ 7.50 . go 3 day , buy unlimited weekly pass $ 25 . research head NYC not waste lot time try figure go . prepare lot walk . prepare marvelous holiday . loved hotel city . buy large pretzel . eat Street Vendors ! ! ! ! 
 Jun 8 2009 	 great location everything else average 	 stay husband two son weekend June 6 & amp ; 7 . check inefficient , wait line 20 minute check . tell bag , drop early day , would wait we room , . call desk , said & quot ; confusion & quot ; bag , way . wait hour , go back lobby speak front desk . say could go retreive bag want , direct floor . go search bellcap fifth floor , find bag , take room 11th floor . room pretty small , overall clean bed comfortable . fan bathroom , probably account peel paint around door ceiling ! previous guest 's receipt / bill copy leave dresser room , make slightly suspicious thoroughly room clean ! room coffee good . probably would stay . 
 Jun 7 2009 	 good location terrible room 	 reserve two room ( one parent one ) . room extremely uncomfortable . travel Europe many time although room small tie . Sheraton 's room space move around . everthing tie impossible two adult comfortable walk around . chair room , except desk chair ( desk ) .Both room ' air conditioning work properly . call front desk able change room hotel book . night hot uncomfortable . wifi room charge regular internet use . I never stay ... ever ! hotel area , option , stay away Sheraton Hotel Towers . 
 Jun 4 2009 	 Excellent service 	 despite busy lobby , check fast easy . room ready early not leave bag bellman lunch date . go well stay , great experience happened check . realize leave expensive personal item behind , staff go way search room find . wing way back via Fedex . grateful people go beyond make sure belonging return . thank much staff Sheraton New York Hotel Towers , especially Ingrid , Joan Jorge ! ! ! 
 Jun 4 2009 	 great hotel definitely stay ! 	 Bidding $ 110 / night Priceline 4 - star hotel , not skeptical would get taker , Sheraton NY accept , quickly run check review . scared . check , could not pleasantly surprised ! front desk extremely friendly , get we 2 double - bed vs. 1 king get problem . room clean enough ( altough Plaza Hotel ! ) , bed super - comfy , shower water pressure / temperature perfect . great view ( , anything without view brick wall NYC good view ) . housekeeper great job courteous , concierge extremely friendly helpful - recommend great italian retaurant call Tramonti 46th & amp ; 8th . location convenient - short walk Times Square , Central Park , 5th Ave , Theater District , many major subway line get anywhere city . the downside wi - fi room $ 9.95 / day , access free downstair Link Lounge , computer available check email browse internet . another downside Room Service ridiculously expensive . hotel 's room service not ? besides , would stay hotel room be NYC ? many eat choice outside door . overall , great stay . would definitely stay ( Priceline price ) anything $ 200 / night , would definitely recommend anyone ! 
 Jun 4 2009 	 unbelieveable service ! 	 get cheap deal via Priceline room . ( $ 117 ! ) . need stay additional night ask manager could anything direct rate . ( ' m Starwood Gold . ) . unable offer well rate publish , offer room upgrade , bottle wine cheese platter . genuinely want anything could within company parameter make corporate constraint . REALLY care take opportunity delight customer . succeed ! experience great customer service Starwood , exceptional ! thank Jorge ! 
 Jun 3 2009 	 unbelieveable view convenient ! 	 thrill stay hotel ! lucky obtain king bedroom amazing view Times Square ! hotel situate block north Times Square wonderful loud , bright , crowd . yet , still super convenient Times Square sit directly metro station . room much large anticipate NYC . comfortable king - size bed huge flatscreen tv ( lot channel ) good workspace need use laptop , etc . room also coffee maker complementary Starbucks coffee nice luxury hotel force order room service buy Starbucks coffee lobby . bathroom small , uncomfortably small . plenty room store toiletry , extremely good lighting , magnifying mirror . housekeeping average , decent job cleaning . definitely try obtain hotel future trip NYC ! 
 Jun 2 2009 	 ton hotel area- stay elsewhere 	 husband recently ( May 2009 ) stay Sheraton two elderly aunt . front desk people rude , although get check early- refuse honor request single queen bed . go room aunt room would unlock . clean person let change . leave room check us room lock . security people come check situation say lock need new battery- would happen go get lunch . return 3 hour later find nothing do upon another call front desk find supposedly recollection issue . gem come them- & quot ; can not stay room reserve ? & quot ; ... ummm ... excuse ? mean pay two room get one ? mention also aunt 's belonging room would get ? say no- fix . finally fix lock 12 hour first report issue receive new keys- even apology . addition , room dirty- coffee stain wall . recommend hotel . good thing coffee barista well ever had- ridiculously nice ! ( work Starbucks ... ) location amazing , choose somewhere else value business clean room properly . 
 Jun 2 2009 	 Wonderful Place Stay ! 	 go NYC girl 's trip May 23 May 27 . stay Sheraton New York Hotel Towers . third stay hotel . first stay August 2007 , second stay December 2008 May 2009 . usual , wonderful stay ! arrive hotel 1:15 p.m. check - in breeze ! employee hospitable kind . room ready arrive . put 47th floor view Central Park river . BEAUTIFUL ! ! also give access Club Level enjoy delicious breakfast friendly helpful staff . room clean arrive . housekeeping staff clean daily room always neat tidy return daily . bed extremely comfy day walk shopping ! hallway quiet allow good night 's sleep . concierge hotel helpful . look restaurant near theater pre - theater dinner . reservation make we concierge . food delicious ! ! hotel centrally locate many site within walking distance . Central Park Times Square nearby . Fifth Avenue two street hotel . walk Carnegie Hall , Rockefeller Center , Empire State Building , Radio City Music Hall . can not wait fourth trip New York City ! stay hotel . 
 Jun 2 2009 	 Exceptional . friendly accomodate ... 	 excellent accomodation . staff welcome , courteous helpful . great experience . perfect location girl night . room clean comfortable . great time . thank Sheraton ... 
 Jun 2 2009 	 Fantastic Location good round hotel . 	 stay Belvedere , Milford Plaza , Travel Inn , Novotel Vincci Avalon would rate New York Sheraton one good . room Avalon big decor well location Sheraton spot . easy access everywhere easy find . simple check service , long queue staff pleasant helpful . room small side unusual new york , bathroom also small . only negative point would bag check service expensive , $ 3 individual item , case , coat , carrier bag etc . prove expensive us party 7.We eat hotel breakfast $ 27.50 , expensive we . my son use gym . $ 10 one session $ 20 stay . impressed facility . I would definately stay sheraton . 
 Jun 1 2009 	 Perfect Location ! ! 	 mom stay May 23 May 30 . room small realize heart Manhattan really not small . enough room two we . 16th floor could not hear street noise . within walking distance three musical see . even street fair Sunday right outside hotel . would say stay location not expect much . come people ... New York City .... much time expect relaxing room ? want nice quiet vacation .... go Maui ! ! 
 Jun 1 2009 	 Perfection ! 	 wonderful location , incredibly friendly helpful staff , clean room , $ 110 night use & quot ; name price & quot ; Priceline.com ! $ 35 taxi ride La Guardia ( tell cabbie take 53rd 7th ) . bellman arrival ( James ) inform we Clintons stay several time , whether like Clinton 's , fact hotel good enough President Senator mean good enough : - ) seriously though , room clean modern . major channel flat screen LCD tv include Showtime , plus large selection pay - per - view movie . mini - bar room also . Room Service also available . almost 24/7 . high - speed internet available $ 14.95 per day . room good A / c , although little tricky find control . call front desk ask control , hide inside box grill back desk area ! see review say room warm , think traveler probably not go trouble find A / C control assume room not A / c . not worry comfortable room . good shower ' ve month ! staff help we even flight cancel arrive day late . hold room we give we exact room request : King Bed , Non - Smoking . line check ( & quot ; reception & quot ; ) room key within minute two . room not refrigerator ask one available . said & quot ; sure , problem & quot ; one plug room within 10 minute . normally charge $ 25 fridge need keep medicine cold keep baby item ( baby food , milk , etc . ) charge . front door hotel see light Times Square tree Central Park ; location great . Broadway theater , Rockefeller Plaza much within couple block . hotel & quot ; theatre distract & quot ; literally hundred restaurant area , well unlimited shopping . several diner / deli street hotel 24/7 , convenience store . not worry forgot something drug store within walk distance hotel . Met NYC museum close . buy unlimited Metro Card ride subway bus want . subway stop block south ( 49th street 7th ) get anywhere Manhattan , Brooklyn , Queens , etc . hotel wonderful every way . hope stay soon ! 
 Jun 1 2009 	 extraordinary place 	 stay hotel pleasure time check time leave . staff sheraton nice pleasant . room spacious clean . problem ever . location hotel perfect go sight seeing . great time around . 
 Jun 1 2009 	 great weekend great hotel 	 pleasure stay Sheraton New York Hotel & amp ; tower . reservation process easy painless . staff arrive professional , pleasant , courteous . not wait could check room ready clean . stay great , hotel great convenient location . different option check make life easy ready leave . would recommend hotel anyone look stay nyc.the fact parking garage right make easy , need carry bag around city . one downfall , park pricey ready wait little car bring , nothing hotel , say , willing pay price wait car right . 
 Jun 1 2009 	 Great Location 	 Hotel 7th Ave Times Square Central Park , great . reception helpful finally arrive long delay , travel toddler give we big room cot would fit comfortably parent give room next door perfect we . breakfast Hudson bite pricey everywhere go NYC food expensive . room lovely clean , bed towel change daily . bathroom bite small side everything work could not complain . lobby always busy great Wifi . 
 May 30 2009 	 Sheraton meet expectation ... 	 stay NYC frequently , expectation reduce knowledge many hotel room city tiny , outdated , overpriced . fortunately , walk away happy stay Sheraton . LocationThe Sheraton 's location excellent explore NYC . hotel step away Times Square , Central Park , major subway line . roomthe king room comfortable . additionally , large room NYC . decor OK , nothing write home , nothing really complain about . cleanliness : everything relatively clean . issue one towel hair it . misc : far could tell , valet parking . garage building overnight fee $ 40 - 45 range privilege . high speed internet pricey around $ 14.all , comfortable stay would return price right . 
 May 29 2009 	 Excellent ! 	 staff nice helpful . able check - in early ( 1:30 pm ) . get handicap - accessible room GREAT ! bathroom giant ... almost big rest room ! step theatre district sort sight - see hotspot . room clean ! get great deal room would DEFINITELY book , stay day . anything long day , would recommend find apt sublet , etc . 
 may 28 2009 	 avoid cost -- HORRIBLE HOTEL 	 stay dump Tuesday night honestly say bad Sheraton chain . SPG Platinum member stay SPG property world . club level , 46th floor room TINY -- even NYC standard . a / C blow luke warm air type really can not adjust . bathroom also joke size open door part way able get in . what blow away though Club Lounge . not bottled water .. bottled water ? give break . overall dirty flea bag hotel would avoid like plague . not stay . period . the good thing say good location Sheraton across street not dirty . 
 May 28 2009 	 dust ? tick . dirty carpet ? tick . old sock ? Tick . 	 first hotel stay book via Priceline ( ' m mention feel something room give ) . thing not get great start - checking give little ( little ) lecture customer loyalty not use Priceline book direct Sheraton . room ... well , step lift , whole floor grubby , word - heart sink . room . dust ! unhoovered floor ! old sock ! ( yes , really , look photo ! ) . anyway , complain transfer lovely room 6th floor . seem like two different hotel . suggestion would , get room be happy complain . 2 star first room , 4/5 second ( take consideration pay £ 75 night ) . 
 May 27 2009 	 stay great ! 	 decent hotel relief travel . Priceline pick , Parent 11 yr old . two night , May 23rd & amp ; 24th . 44th floor , two double bed . first walk see long check line not prepared fast move . give busy holiday weekend , staff quick , courteous professional minute key . Joy check we check we super pro . room small clean ( small dust mini - blind , nothing else notice ) . bed * * comfortable four pillow per bed . two bath robe shampoo , lotion , hair dryer , nice towel , etc . flat screen tv . Carpet clean staff industrial machine clean room leave . note : room NYC $ 250 go small . however , room comfortable two . four might bit tight . 44th floor , quiet , still hear cab honk distance nothing keep awake . adjoining room close door relatively quiet & quot ; click & quot ; instead usual room shake get cheap construction . fact , voice side faint muffle barely hear . AC / Heat mostly fan noise , noisy compressor notice . switch fan weather cool . location great - walk central park south , time square . 5th Ave shopping , Rock center , etc . cab seem everywhere , pedicab also fun everywhere . lot place eat breakfast , lunch dinner . even swamp tourist world , staff extremely helpful patient usual tourist question restaurant . give busy , outstanding attitude . if check hotel still need store bag , $ 3.25 per bag fee day . pretty reasonable since storage locker cost way not safe . I believe check - in 11:00AM check - out 12:00PM 
 May 27 2009 	 expect bad . received little well expect . 	 book hotel Priceline $ 120 per night Memorial Day weekend . read negative review TripAdvisor , get little nervous 4 star hotel hope would disappointment . send email hotel state concern request room 2 double bed high floor . send email twice ask response confirm request never receive response . call hotel take request . check 11 pm wait line approx . 2 minute . first , gentleman check we able fuffill request room 2 double bed not even acknowlege even make request advance . look second time ( assume disappointed look face ) able get we handicap room 2 double bed 24th floor . room bathroom large expect read review , could handicap room . carpet pretty old stain . bathroom fairly clean , toilet still residue bowl . furniture scratch one lamp shade crack . beds linen clean , feel important part ! 2 safe closet ; one not work lock already . call front desk someone take look lock safe someone room fix 30 min . maids clean room first morning , leave we additional coffee give we 2 large towel , compare get 4 large towel room check . call front desk request coffee bring we within 30 min . request late checkout 2 pm last day fuffille request little coax . overall , not disappointed hotel , would rate high 3 star hotel . 
 may 27 2009 	 great priceline pick 	 booking Priceline recent NYC visit , specific location NYC .. want Midtown Central Park . Bid 90 dollar , get 2 great room Sheraton New York Towers ... pay Starwoods AMEX card , present Starwoods prefer card check .. renovate room , high floor , clean , small ( old Americana Hotel build 1960 's ) good thing Sheraton ( Hilton ) patent bed .. comfy . pay rack rate , would dissappointe .. 100 buck night ? ... thrilled ... good round location NYC ... 
 May 26 2009 	 well expected read review 	 hotel great location . bed bit soft taste , air conditioning could work well ( 80 outside would like bit cool room able get ) . room could clean bit well , linen bath clean . size room bath fine NYC . although would rate 3 star . staff courteous hallway quiet night , make easy get good night 's sleep . book Hotwire check easy ( although bit crowded check - in ) . get 11 , bag check free go Top Rock ( Rockefeller Center ) lunch nearby deli . lot great delis nearby ! travel NYC Amtrak , $ 6.00 plus tip taxi ride away . also make frequent use nearby MTA ( NYC subway system ) , lot walk . hotel close Broadway theater , Rockefeller Center , Times Square , Central Park . SoHo Battery Park easy convenient subway ride . trip birthday present 14 year - old son . great time . 
 may 26 2009 	 Ultimate customer service 	 stay Sheraton New York Hotel tower truly get treat like belong . desk clerk , bell captain , maid everyone else make feel want . call home away home . accomadation excellent location terrific reason keep come back superior customer service . even become friend GM Sean Verney . always believe success organization start top sean prime example Sheraton good . make feel like part huge family . give try . will not disappoint . 
 May 25 2009 	 Tale two hotel ... 	 truly seem come Sheraton New York Hotel Towers , truly depend room get . , like many reviewer tripadvisor , book Sheraton Priceline $ 100 night run right site read review . quickly make nervous read ! realize book Priceline not guarantee specific room bed type . first thing email reservation staff hotel request king size bed room newly renovate floor . get email back less 24 hour state request note . when arrive 2:30 pm , wait roughly 3 minute small line work 's way reception desk . gentleman desk mention request king bed high floor ( renovate one ) room # 3433.the elevator quickly arrive walk room , fully anticipate negative experience like many reviewer . walk door start inspect room . yes , room small , NYC . bother size , although experience many other experience site . room HOT ! like warm , hot ! ! grant roughly 68 degree outside check , reason warmth room . actually , read reviewer explain situation . anyway , open window call fan arrive less 15 minute . room relatively clean , although find old sock closet appear small patch mold ceiling bathroom . carpet clean room appear renovate large flat screen , comfy bed , restoration hardware piece bathroom . $ 100 impressed receive . hotel staff informative , get free wifi lobby , room expect read review . many mention bug , mouse , paper thin wall site . see hear anything ordinary room . location FANTASTIC ! ! ! subway basically 15 step door . walk Central Park , Times Square , etc . staff recommend great place eat even help we find place buy sock wife pack term fashion , comfort ... big mistake ! , pay FANTASTIC . pay full price , may disappoint . pro : Location , great staff , fast elevator check in / out process con : could little clean room hotel . also , not much , hotel always seem packed convention hotel . 
 May 24 2009 	 Location good 	 hotel great location , be really positive feedback give . although call ahead request early check ( early afternoon appointment get ) tell problem , arrive , tell room available . once get room later , carpet dirty dingy , shower curtain obvious mould make bathroom smell bad . ask evening curtain change next day housekeeping even write reminder note next morning . course , not do time get back room evening . next day , bath towel room . call 5:50pm ask get . hour 3 phone call later , towel arrive . end borrow one friend also stay hotel order get showered dinner reservation 7:30 ! stay Sheratons , definitely bad stay . would not go back . 
 May 24 2009 	 bad Ready bad 	 hotel get away anything . nobody desk care problem room . room mix . decent , ' ve never room , even pay top rack rate , not show wear tear - defective plug , internet , miss hair dryer , chip furniture , , bad : age - old , archaic crappy box heater air conditioner . go get deal . location hotel . drink price twice high irish Pub half block away . 
 May 22 2009 	 Excellent Stay - would Definately return ! 	 friend plan ' girl long weekend getaway ' NYC end hotel Priceline ( $ 120 / night ) could not happy stay ! early flight hotel 8 am - room available ( not expect one anyways ) leave bag day . read other review expect $ 3.25- $ 3.50 per bag pleasantly surprise pay ! checkin give upgrade junior suite ( 4 girl extra room definately appreciate ! ) . housekeeper leave we extra soap / shampoos - would love know buy shampoo / conditioner ! 's fantastic ! conceirge knowledgeable recommendation question - go Azalea 's dinner quick walk away . free internet lobby great . reasonable breakfast - great grab muffin / juice go ! overall stay excellent - staff encounter pleasant helpful . would absolutely return ! 
 may 21 2009 	 Great Location Great Rooom Good Service 	 book Priceline $ 120.00 , great price ! pretty much everyone enountere wonderful , especially Concierge , go beyond ! also front desk extrememly accommodate , arrive fairly early morning though not able check , store bag free ( usually 3.50 bad 6 bag ) give complimentary upgarde Junior Suite 30th floor . room fantastic , lot room , nicely decorate amazing spa product . issue bathroom quite small . breakfast hotel not cheap , good ! time grab pastry .. ! be amazing ! location coud not well ! Broadway 2 block centre Times Square 5th avenue . end 3 night stay reluctant leave go home . 
 May 17 2009 	 even worthy 2 Star ! mold 	 bid hotel Priceline list four star . even close.we request king size bed upon check , room queen . inform check agent relunctancy , since reviews terrible Tripadvisor , promised put we well room . & quot ; well room & quot ; one , two adjoining door . could hear neighbor phone watch Law & amp ; order . room foul stench , likely air bathroom . hard describe , sour , vinegarish odor stem shower courtain . fan bathroom , everytime flushed toilet , clanked 30 second ! ! upon complain , front desk offer move we follow day , mean breakup day , return hotel room switch . waste time - city 3.5 day ! 's short list rest problem encounter : - mold bathroom ( major health concern ! ) - filthy blind air vents- filthy stain carpet wallpaper- enough lighting room- thin wall poor window insulation- old complimentary coffee tea/ cream dissolve fester top- incorrect time set room clock- dirty tatooed prostitute loiter lobby lounge - almost get stick elevator- poor customer service HOTEL MANAGERThe hotel manager offer we $ 100 credit upon check . good ? flight catch ! share list concern , roll eye cut mid sentence , blame housekeeping . point , clarify Sheraton Hotel FOUR STAR , THREE STAR . need back training - starwood member treat , behaviour opposite value starwood . I would never bid three star hotel - Priceline misrepresent hotel . motel Harlem would well experience . 
 may 16 2009 	 average hotel 	 want get nice hotel New York . notice many reviewer use Price Line get hotel around $ 120 . want stay hotel base review , think put high rate might get true four star hotel great review like Sofitel hotel . put $ 186 . Price Line give Sheraton Hotel Towers . lobby look really good . apparently recently renovate . lot computer could use nice look bar . room good view . overlook Times Square . bed soft appear old . bathroom small , water pressure shower weak . carpeting look like need replacement . staff friendly . overall , hotel prime location , certainly four star hotel Price Line rate . would probably stay . 
 May 15 2009 	 comfortable convenient mid - town location amenity expect ' m travel . 	 spend one night , room spacious many ' ve Manhattan hotel , well appoint , comfortable . , pleasant experience . 
 may 15 2009 	 Great Location Great Service Great Price 	 book hotel Priceline . name price Midtown East hotel 4 star . get Sheraton New York price $ 111 night . immediately go tripadvisor concern review . since non - refundable reservation , hope well experience tripadvisor user note . check easy line . inform Starwood reward member ask high floor give 39th floor , Starwood Preferred Guest floor . room king size bed , 42 flat hdtv panel , looked update last year . wear tear room , minor . room clean . extra plus coffee maker starbuck coffee Taso tea . ask late check tell problem . check easy , line . service good , nice doorman concierge staff . AC work fine . problem elevator . comfy bed nice linen . nice free wifi computer lobby . location unbeatable ! would recommend , especially get good deal . think issue hotel could seem understaffed major conference go room fill . clearly go hotel seem empty , problem user mention issue stay . get good deal , highly recommend ! 
 may 14 2009 	 people speak right 	 come hotel 9 night stay expect much , especially read review . can not say majority opinion place either adequate worse completely base . hotel lobby hallway make place look like 4 star hotel , optimistic review wrong . disappoint entered room . find 9th floor room assign extremely tiny , even Manhattan standard . bathroom . $ 14.95 daily rate in - room internet seem little stiff well . offer free internet access lobby , always convenient way . hotel process instal mini - bar sensor system , would ask pay extra in - room fridge . seem hotel favourite school group , floor overrun night room fill teenage girl . thing hand night enough complain call front desk , thing happen next night . good feature place location . be right Times Square Central Park . 3 different set subway line choose within short walking distance , several restaurant ( overprice ) nearby . find little quieter midtown New York , especially compare Times Square . 
 may 14 2009 	 Satisfactory - could bit pzazz 	 read lot bad review place , since not actually choose ( gift someone ) bit worried not actually bad . we make mistake book not enough night - staff reception sort accommodate - even give extra room cheap rate . also ask room high floor room good view give trouble . the room / bathroom spacious enough two double bed ( one bed couch would well perhaps ) clean . little tatty place not expect busy hotel room pristine ! view excellent - north - face 7th Avenue side 28th floor could see glimpse Central Park river - great ! could hear bit traffic noise hey - busy city ! free wi - fi lobby area never trouble access . laptop could take seat check email much want also free workstation dot around also connect printer . busy breakfast / dinner time 7 am trouble . the location excellent - 7th Avenue subway literally right door give easy quick access rest city . fly JFK take air train Sutphin Blvd ( near Jamaica Street ) jump onto ' e ' line - hotel 1 hour hassle cost $ 7 each . a people site complain ' left - luggage ' charge not problem . unlike hotel place professional . bag label give receipt . attendant day serve feel quite secue . $ 3.25 per bag per day not unreasonable . one good tip - , like we , check early day fly evening go last day city come back tot eh hotel shower ( completely free ) leisure club downstairs . will even give towel soap ! however , stay number high - end hotel bite ' wow ' factor . hotel not particularly bad bland unremarkable . cost would hope bit know person book hotel probably not get good rate ! 
 May 14 2009 	 Customer Service - outdate 	 commend manager staff facility forget Customer Service business -- even NYC . experience difficulty original reservation give complete disgust , connected manager . surprise ' get expect rude hardliner response . ask would give opportunity set thing right . though already make tentative reservation competitor next block , hear . accept generous offer 4 comfortable night property . Kudos Mr. S. V. ( certain post name ) assistant . " shall return " . 
 may 12 2009 	 hotel class 	 moment enter get feel welcome front desk young lady call Helen make check - in simple . friendly smile attitude make perfect start . accomodation excellent clean . extra dollar Club lounge superb breakfast evening snack good value . term location Sheraton could not well . five minute leave Times Square Theatreland five min right central park ... great place stroll Sunday - - afternoon . everything within walking distance . 
 May 11 2009 	 Hotel give Sheraton line bad name . 	 thing bad condition room include : * saggy bed * mold bathroom * dirty carpet * poorly function ac rude uncare staff . seem hear complaint definitely immune they . I know trouble , time check , witness argument guest front desk attendant unresolved issue room . first feel guest rude understand frustrated must be . Save , not stay Sheraton Hotel tower NY . PS post review discover site . 
 may 11 2009 	 much well expect ... 	 husband & amp ; stay Sheraton NY Hotel & amp ; Towers May 3 - 8th . get really good price Priceline 's Name Price feature -- $ 115US / night . course read bad review Tripadvisor , worried . email Sheraton one week arrival request room high floor & amp ; tell concern regard poor review ' ve read . early arrival ( 8:30am ) , room ready we , expect tell we will not one 12noon . receptionist nice & amp ; offer store luggage go breakfast & amp ; stroll Times Square room ready . come back 12:30pm & amp ; room ready , get room # 3606 2 double bed . room good size , big certainly enough room 2 adult . bathroom small clean . really like complimentary toiletry , make Bliss . not hear much traffic noise due fact 36th floor bring ear plug case , 'cause know NYC , city never sleep ! could hear housekeeping morning not early bother we . safe room work , call maintenance & amp ; someone come right away could not fix . end use safety deposit box lobby store passport extra cash . inconvenient since would go lobby anyways , get cash safe box heading . check - out easy convenient use video check - out . overall , really pleasant stay . none complaint read . would definitely recommend Sheraton NY tower especially get good price like . 
 May 11 2009 	 good value priceline price 	 get hotel priceline blind bidding process price pay definitely worth - location right middle midtown convenient central park , broadway show ( Mamma Mia show theatre across road , Shrek Musical & amp ; Letterman / Late Show studio one block ) various subway stop within 0 - 4 min walk hotel . the room spacious comfortable huge bed , flat screen tv good view 7 th avenue towards Times Square . bathroom nice fairly clean selection nice toiletry , although water pressure shower not great ( 24th floor stay previously low room pressure fine possibly relate ) .One gripe charge leave bag bag storage hour last day although Sheraton prefer member - website indicate service free hotel . 
 May 11 2009 	 's location hotel 	 be look see good amenity not review read . that say hotel fantastic location want explore Manhattan . easy walk Theatre District , museum , Central Park , shopping , dine Hell 's Kitchen , see Times Square many must see location . we stay three night one night Hotel Intercontinental Barclay . barclay litlle big nice Sheraton 's location superior . only real service experience bellman location . barclay friendly give we good recommendation restaurant etc . need parking rental car town wedding CT.It not control hotel still cheap parking Barclay , control hotel . easy access subway . if dont't plan spending alot time room wnat easy access Manhattan 's appealling attraction go priceline bid $ 109 - 129 thrilled ! 
 May 9 2009 	 Comfortable Stay 	 stay hotel three night . hotel room adequately appoint . comfortable king size bed enough space store thing . however , bathroom small , barely enough room keep toiletry handy . clean , spotless . inner shower curtain could use change . central location ideal walk several major attraction . area feel safe day night . hotel turn suit need especially get good price Priceline . book room advertise rate , would pricey get . 
 May 6 2009 	 Nice Stay surprise 	 stay Apr 25 - 28room # 1005after win bid hotel Priceline $ 110 ( great bargain ) , quickly start read numerous review hotel @ tripadvisor . worrying report pest , send hotel email outlining concern . get reply assure comment true . check - in : arrive @ 5 - 6pm ish , 1 person front us lineup . check - in fast . room : pest , yes carpet old definitely need replacement . room small would expect city ( hey Manhattan ) . thing clean . see mention wood curtain blind . yes , would hear people open / closing door talk right outside room not really hear anything sleep time / early morning . maid clean room early morning around 9 am never hear shout . there be also Sheraton Time Squared right across street ( seem like construction go ) . would definitely recommend Sheraton one since exactly location . transportation : walk 5 - 10min would get time squareor Take subway ( hotel top station ) overall nice hotel 
 May 6 2009 	 pleasantly surprised 	 husband read TripAdvisor review Sheraton book Priceline expect worst , pleasantly surprised walk . room clean modern , albeit little small . location terrific - outside Times Square , spare we crowd , close enough walk Times Square , Central Park , ton attraction . subway stop right next hotel , convenient . 
 may 6 2009 	 good stay ever ! ! ! ! ! ! ! 4/30 - 5/3 	 hotel well ever stay plenty . staff respectful pleasent . do not want nothing . anything need get . clean food GREAT ! ! ! ! ! RETURN .. thank best TIME ever ! ! ! ! ! ! Teresa 
 May 5 2009 	 Impressed 	 ' ve stay hotel many time time different experience . never fault location , first time felt welcome . club level always enjoyable excellent staff . room feel clean past remodel lobby definite improvement . miss restaurant serve breakfast lunch . 
