good 	 girlfriend spend one week New York celebrate 30th birthday spend four night Carlton remain three Surrey much well choice every way ( see separate review ) . give competition New York hotel price range , would recommend stay Carlton again . Pro 's : - Location , close pretty much everything include two subway line make transport e.g . Grand Central point south ( Union Square , Financial District ) easy- Quality breakfast in - house restaurant Country- well - price ( ny standard ) Con 's : - small room ( deluxe room ) - quantity breakfast ( breakfast include package ) - charge we $ 50 three minute US long distance phone call- Lack customer service . front desk bell boy service expect hotel standard ( give price tag ) . check , ask help luggage point elevator . friendly staff maid porter would always say greet kind manner little chat . 
 Dec 4 2006 	 Nice hotel lack character ... 	 2 friend stay Carlton Madison Avenue November / December 2006 . really nice hotel , room stylish really clean . room clean really high standard everyday . fresh sheet everyday , clean towel robe . ipod dock room play music room , nice touch . newspaper delviere outside room every morning . third trip NYC personally would stay far downtown , hotel definitely midtown would rather uptown honest . someone first trip city would definitely recommend stay uptown . 42nd street 52nd street would suitable someone familiar witht city . think hotel lack bit character , 8 day not feel ever get personality place . that s good way describe , feel bit soul - less . , enjoy time , door staff really good conscierge really knowledgeable . 2 complaint - request room view Empire State building not get get , confirm email would one . also day check drop statement room service order etc ... ( 9.30am 12 check ) charge credit card give swipe arrive . wait see wanted pay , want pay cash , think bad . 
 Nov 30 2006 	 nice 	 hotel well standard , quite luxurious . lobby stylish ( marble , chandelier , velvet upholstery ) also little overdone . room 's decor nice ( real cotton linen , canopy detail , good lighting ) room feel rather cramp . also ton add - on charge ( mini - bar welcome basket , none - of - which free ) . also , staff professional particularly gracious . expect something truly classy , disappointed , look something cut normal , will like . 
 Nov 26 2006 	 fantastic hotel 	 check trip advisor always book trip new york hotel great review . find staff helpful courteous give we umbrella wet , book us cab , change room request . hotel great location near flatiron building also empire state really great base . room expect city hotel huge cosy spotlessly clean need make stay comfortable . would highly recommend hotel 
 Nov 25 2006 	 great hotel fantastic staff ! ! ! 	 & amp ; 3 friend stay Carlton November 3 night . as soon arrive hotel give wondeful welcome one doorman take bag & amp ; accompany we reception . arrive 1.45pm , check 3.00pm , one room ready & amp ; say would another ASAP.Rooms nice , plenty room , clean & amp ; nicely decorate . bathroom really good size , bathroom room massive . nice toiletry etc .... make difference hotel helpful & amp ; friendly staff , especially doorman , always cheerful & amp ; happy help . we not eat breakfast hotel ask doorman recommendation , tell we go coffee shop road hotel . enjoy breakfast every day , good , cheap food & amp ; really friendly staff recognise we time go . coffee shop turn right hotel , cross road , 200yds right . 
 Nov 24 2006 	 Thanksgiving Day Carlton Madison 	 find great deal Travel Zoo hear good review fellow event planner . book mother impress , . ? 1 . elegant2 . good look hotel block3 . great price - less $ 300 deluxe room4 . nice bathroom5 . thick walls6 . great interior decorated7 . quieti stay 4 5 star property though many chic , usually room small bathroom tiny . case hotel . 
 Nov 14 2006 	 Fantastic Location Comfortable Hotel Unprofessional Staff 	 stay hotel eight night towards end October . first problem suppose upgrade delux room check note happen . agree reservation manager prior arrival . travel almost twelve hour not bother insist . guy check we terrible , scruffy appearance ( buy shirt fit ! ) abrupt . poor start look fantastic place stay preceeded room 4th floor . room fantastic . roomy nicely decorate . one particular night akse Consierge recommend italian Restauart near . huge mistake . walk far get taxi back hotel discover direction give we wrong ( wrong number wrong ave ) . clown ! 's good job see return walking feel like lenght Madison ave cold night . advise reservation manager inconvenience cause listen nod approriate time . light note request ice / towel / newpaper delevered room within minute . keep good work Housekeeping ! location fantastic hotel comfortable . thing find annoying unprofessionalism stafff apartent lack concern problem raise . offerd $ 100 meal restaurant hotel decline accept . would stay would rely staff direction help would not expect much smile . 
 Oct 31 2006 	 great location comfortable 	 lovely hotel beautiful lobby comfortable room . 's great location see New York , walk distance Empire State Building Madison Square Gardens . would highly recommend stay hope come back soon ! hop - on hop - off bus tour city great value easy way get around , get ticket hotel concierge . 
 Oct 12 2006 	 Fantastic hotel 	 Fantastic hotel nice friendly staff . room also nice . 
 oct 9 2006 	 Great Hotel - stay 	 real gem hotel neatly locate Park Fifith , nearby park , subway station , great restaurant / coffee house within short walk . arrive wee hour find staff helpful ready late arrival . check - in fast smooth room excellent . the bed comfortable , hotel clean clean clean , bathroom right size amenity . we one small problem try get drink dinner much tout champagne bar - utterly ignore although empty - bartender busy phone call . stood leave say would make drink - 15 minute . say thank stop front desk let know service par rest experience . tell champagne bar lease space hotel control service . also quickly graciously give we $ 50 credit room bill . anything hotel could make thing right , . love back often . 
 Sep 15 2006 	 great time ! 	 read review base upon decide give Carlton Madison try . actually extremely impressed level service friendliness everyone encounter . staff always seem great whole time . lobby beautiful definitely read . restaurant also seem popular , although not eat , place pack whole time . hotel seem great spot well easy get anywhere city . , great place stay least $ 100 less night place previously stay . check . 
 Sep 11 2006 	 okay .... great 	 Stayed Carlton Madison four day second weekend September . queen room small - 12 x 12 foot bathroom 's 4 x 12 foot . expect 's New York . location lobby great , room start look weather - break window ( could hear street noise night ) , peel wallpaper , water damage ceiling bathroom chip damaged drywall . stay fine , really bother non - existant bellman door staff reviewer rave . beware bellman name Allan - although tip retrieve baggage storage last day - gall watch wife carry luggage stairs street level ... get ... stand 10 foot away - stand open door hotel ! ! recommendation , 2 year ago stay Sofitel - huge ROOMS , GREAT SERVICE , price ! ! ! 
 Sep 5 2006 	 wonderfully comfortable bed 	 stylish hotel , good location , comfortable bed , perfectly clean . reservation room safe , several attempt fix , remain broken duration stay . 
 Sep 5 2006 	 Jewel Madison 	 check pretty late greet warmly front desk staff .. unfortunately reservation find book party ... nervous point , since first time New York City . young gentleman like angel ( Dean ) front desk clerk keep we worry free tell we go okay will take care everything . go ahead call expedia time know good hand . get resvervation check we beautiful room .. stay front desk friendly helpful agent Dean make we feel like stay ole freind 's house ... VISIT ! ! ! ! 
 Sep 2 2006 	 go back Carlton ! 	 see hotel Travelzoo , check trip advisor comment . reason get deal 2nd floor contruction . stay one upper floor notice construction worker get floor elevator . major chain hotel , not expect choose hotel . drink bar insanely expensive . eat restaurant . LOVED location want stay tourist trap Times square . close midtown shopping 33rd , lot deli neighborhood , subway line . bed comfortable , room spacious - city standard . view window . lobby beautiful service make we feel special . city 4th enjoy great weather , little rain . offer loan umbrella run donut coffee . not expect kind service hotel price around $ 120 night . first place check go back NYC . 
 Aug 27 2006 	 great service room food value . 	 hotel great find . reasonable price ( New York standard ) , short walk NYC 's good shopping , attraction restaurant . service flawless . room small , comfortable , charming , clean . travel NYC quite bit hotel one good accomodation experience . love . absolutely go back recommend friend & amp ; family . 
 Aug 23 2006 	 Comfortable 	 Modern , pretty lobby , helpful bellman , quick check in / out , clean modern room , good A / C , really quite ample guest . we think doorman tell we would get us cab facilitate we get theatre time take time squander opportunity -- -we walk instead wait . , personnel quite consciencious helpful . I not reservation confirmation number check , tell would need provide order guarantee quote rate . check - in delay due , ask use computer access email retrieve confirmation number , business center want charge $ 6 half hour usage ( need 45 second worth ) . think new definition ' chinsy ' , next morning front desk somehow locate confirmation number point become moot . 
 Aug 20 2006 	 love 	 put alot research book hotel . read review think hotel receive compliment . take chance book week stay sister . first trip NYC . arrive hotel immediately greet Doorman . check go room fabulous . go concierge desk one approach front desk help direction . tara front desk spectacular , take street map give info need . WOWed service . definately come back hotel . 
 Aug 20 2006 	 fantastic hotel ! 	 second trip Carlton . two year ago hotel start undergo construction , husband go holiday ! thrilled see renovation complete ! HOTEL BEAUTIFUL ! lobby sytlish impeccable . sleek modern , feel like stay Ritz Carlon ; Carlton ! ! room also nice . view not good ( book discount rate ) ; however , clean completely new . bed comfty bathroom pristine . hotel staff : wonderful well - especially Topher Stetson ( conseirge ) ! really want see & quot ; Jersey Boys & quot ; town overnight . topher score we premium seat evening without blink . really make trip ! negative parking garage ( part & quot ; own & quot ; hotel ) . right next hotel convenient . easy get careful parking . however , go retrieve car checking , find someone take two drink cooler use long roadtrip . fyi : leave valuable car ! creep we find cool top open iminus two soft drink water seat ! ! highly recommend hotel . 
 Aug 5 2006 	 Great Hotel 	 Carlton Madison wonderful hotel . lot research , able get great weekend rate deluxe king room Travelzoo [ - ] $ 204 per night . hotel offer excellent value money . location : location convenient . Madison Ave 28th 29th Midtown Manhattan . subway stop one block east hotel Park 28th . within walking distance ( block ) Empire State Building Grand Central Station . Times Square theater district $ 10 cab ride . lot dining option shopping nearby . relatively good neighborhood feel safe walking time . arrival : upon arrival hotel friendly uniformed doorman valet open door offer assist luggage . friendly never stuffy rude . lobby amazing hotel size : soar ceiling , tranquil two story waterfall , ultra suede padded wall , beautiful well - keep comfy furniture lounging . hotel lobby décor modern warm . check - in : check - in quick efficient . Ethel friendly make feel welcome long flight drive LGA . arrive early afternoon around 12:30 pm 3:00 pm check - in time . request room view Empire State Building due construction neighboring building time , tell view would obstructed anyways . offer wait ( force ) till 3:00 pm room view decline ask room available immediate check - in . problem . second later , room key hand . Ethel also take time explain various amenity hotel service think nice . room 529the hotel shape like " J. " room outside J face street interior room ' much view . want view , try Mandarin Oriental Trump Hotel personally ' much difference room view . hallway bright airy yellow muted tone wide easily accommodate two people pass . tray room service hallway whisk away within reasonable time period . room nicely decorate neutral yellow tone beige gold accent clean upon arrival . room large New York standard , actually roomy . stay New York hotel ( supposedly 4 star ) door bump bed . canopy king bed comfortable , overhead read light , flanking nightstand , alarm clock radio I - pod docking station , armoire cabinet housing TV , safe , iron , drawer , limited hang rod space . also small bench foot bed write desk snack basket . desk offer small workspace though business type . bathroom equally plush marbled tub / shower combination , marble sink area plenty counter space toiletry , toilet area side . water pressure excellent building age hot water supply responsive . usual shampoo , conditioner , lotion , face bar , soap bar excellent size use Penhaligon . ice maker guest floor must request room service . first night ice request , literally take two minute put phone knock door . second request follow day however , ice never come . wait hour ( ahem ) decide leave . upon return , ice eventually . disappointing . concierge inquire ice follow day apologize ice deliver incorrect room . service / Amenities : Concierge , Stetson , helpful offer great suggestion dining direction . Bella Napoli italian eatery excellent pizza street Madison . hotel restaurant , Country , adjacent hotel seem beautiful pricey chance eat . every time arrive back hotel , greet name front desk staff , doorman , concierge . great job . also 24hr business center two computer internet access printer attach rental $ 5.95 15 minute , fax machine , ATM . great touch print boarding pass airline check - in free ! ' little thing count . hotel guest also entitle complimentary use nearby gym ( forgot name ) . inquire learn pool case wonder . checkout : bill deliver night checkout door . everything order . hide charge surcharge . check also available tv decide check front desk thank staff . everyone extremely helpful friendly would hesitate come back Carlton Madison . excellent hotel rightfully Travel + Leisure ' 2006 World ' Best 15 Watch List . 
 Jul 19 2006 	 Excellent Hotel Excellent Deal 	 look place stay Fourth July weekend trip Manhattan , pick Carlton base review read website . review wrong . Carlton deal compare similarly rate hotel Manhattan , good review well - deserve . before arrive New York , e - mail hotel request room view Empire State Building . grant request ( 10th floor room spot - on view ) , upgrade room queen - sized bed king - sized . as see picture take soon walk room , clean nice . bed comfortable hotel bed ' ve sleep ( even comfortable bed home ) . iPod dock / alarm clock nice touch since iPod ; able charge trip wake music . ' ve read review complain room temperature , room perfect even though 90 + degree outside ( can not vouch winter room temperature ) . room service pricey , not bother able find plenty good place eat nearby . love coffee tea , check Keko Cafe street Madison 30th Street . 's small , slow - pace cafe , coffee tea fantastic . neighborhood quiet despite Midtown ; far cry previous experience stay hotel close Times Square . staff courteous helpful . one point trouble set new code in - room safe . call front desk immediately send someone Security room show set properly . , love stay Carlton recommend , already plan return Manhattan month ' m stay Carlton . 
 Jul 10 2006 	 outstanding every way ! Carlton Madison 	 boyfriend recently spend 3 night Carlton Madison say enough venue staff . funnily enough choose particular hotel base on - line review , find compel write glow review outstanding experience Carlton . the hotel beautifully decorate room ( Manhattan sized ) lovely every detail , would enough bed bed luxurious comfortable . admission customer service stickler fully believe often difficult thankless job , folk service industry - - service patron choose venue - - Carlton staff - - - EVERY LEVEL , clearly subscribe theory . say enough staftt hotel , front desk , concierge , doorman , bellhop , room service wait staff restaurant staff . superb one , without exception ! would highly recommend Carlton look excellence venue , food , staff . hope travel partner amazing mine trust hotel experience wonderful ! 
 Jul 8 2006 	 comfortable little small 	 lovely hotel beautiful . walk , large , airy atmospheric lobby hotel beckon . staff friendly helpful . room small side . comfortable luxurious bathroom . upgrade double king room . view back hotel pretty non - existent . overall , would rate hotel highly location , price pleasantness . 
 Jul 8 2006 	 stylish excellent value money 	 Ritz Carlton refurbish fairly recently room fantastic condition , beautifully furnish bad size New York . room 2 double bed , give son plenty space . room tastefully furnish Art Deco style , lot opulent fabric drape ; also true bathroom . beautiful , thick , top quality robe available use . air conditioning quiet efficient , definitely need room would stuffy without . safe not work , annoying , use safety deposit box reception . try repair room safe within 5 minute report fault unable . repair man tell safe upgrade floor floor , hopefully will not happen . lift always work never wait minute ( understand sometimes problem hotel NYC ) . hotel 's restaurant trendy come want eat advisable book advance could get table . all hotel employee come contact extremely helpful , polite knowledgeable . doorman arrange return airport taxi , turn luxury air condition limousine , really chuff . request 2 bed room non - smoking , provide problem . the hotel 's location perfect need . 5 minute walk Empire State get early beat queue . couple subway station nearby , make easy get Financial District , Chinatown , Bloomingdales , Central Park , etc . there cheap eatery around . really love Bagel Maven food friendly service , 10 minute walk . all - in - all , excellent stay would definitely recommend . 
 Jul 5 2006 	 Excellent hotel .... 	 sister stay Carlton Madison Avenue stay New York . twin room , spacious , well - furnish clean . bed probably ' the ' comfortable bed ' ve ever sleep ! ! criticism bathroom tiny comparison rest room - little squeezing , be fine . clean , everything working order . water pressure shower amazing .. , room great . the location hotel great - couple block away Empire State Building , Macys , Manhattan Mall , Broadway etc .. lot within walking distance . Time Square , Greenwich Village , Soho , meatpacke district cab ride away - be far , be always load traffic NYC , make sure take account . whilst ny : -Go Woodbury Common - fantastic outlet village pick real designer bargain , be kind thing . get Grey Line Coach one street Time Square . take hour / hour half get , cost roughly $ 38 return.-do Downtown open - top bus tour . run Grey Line Coaches . tour guide fantastic . fun informative , take round ' need see ' sight Manhattan.-Try catch Broadway Show . sister see Beauty Beast Lunt Fontaine Theatre . brilliant , would recommend people age . want catch Broadway show , go TKTS day want go get discount ticket . course not really want fork $ 100- $ 150 . sister pay $ 56 ticket , right front . view amazing ( orchestra ticket ) .-if be Sex City , SATC tour - 's brilliant load fun . , $ 38 worth every penny . not afficionado cult series enjoy tour . last 3 hour be take past main sight feature series . stop various place / shop / bar etc featured series . -get Staten Island Ferry . 's cab ride away hotel , free ! ! see Statue Liberty . will not see close , get decent photo ! .eating - sister eat hotel restaurant , room service twice . time , food great , pretty expensive . lot restaurant deli walk distance hotel , be probably well go something eat . we eat Dos Caminos Tribecca Grill whilst NY . restaurant pretty pricey , well worth visit . personally prefer Tribecca Grill ( Robert De Niro 's restaurant ) - food great ! ! want good breakfast , try ' tasty ' deli 5 min walk hotel Madison Avenue . 's cheap serve great food . staff hotel great , particular doorman guy Concierge . Topher Patrick Concierge fantastic help pretty much everything . ask advice Broadway show , dinner reservation tour city - be helpful . all , ny fantastic city abundance thing . Carlton great , reasonably price hotel central . building work go nearby , really affect view window ( noise etc ) , hinder holiday way ! 
 Jul 2 2006 	 Excellent Choice 	 return New York , daughter stay hotel . everything average .... service excellent .... room adequate ..... location ideal , want close everything , middle all . the one thing would say ( perhaps 's standard thing States ) ... morning call room service coffee ..... perhaps , basic tea / coffee make facility room would appreciate . we eat dinner hotel one evening ..... good . I would recommend hotel anyone visit NYC .... would certainly use ... 
 Jun 27 2006 	 beware construction site ! 	 account construction site north side true . aim spend night enjoy NYC lie - in morning , not place . sleep construction work begin . I would also agree say hotel 's main feature lobby : rest pretty uninspiring . living room suit large featureless . personally , could understand rave review breakfast . room gloomy food average . 
 Jun 11 2006 	 Carlton treat Us like Royalty 	 discover bedbug neighboring hotel ( Manhattan Red Roof Inn ) , sister go hunt find new hotel 6:00 a.m. rainy Saturday morning . look many overbooke shabby hotel , happen upon Carlton . desk manger , Annisa , sympathize situation show we three different room . three room roomy , clean , well - appoint . mention Annisa want see Color Purple tell concierge start investigate we . really impressed dedication customer service . request help ticket , make business assist we . concierge , Topher , joy work . hunt wonderful seat Color Purple also take time research variety restaurant near theatre we . Color Purple phenomenal , definite must see ! ! ! bellman front desk personnel , employee Carlton treat we like royalty . accommodation clean comfortable . little bit way much expensive hotel , well worth money . great place , would stay . 
 Jun 8 2006 	 Fantastic 	 would like say huge thank staff wonderful hotel . pick hotel other review good . arrive hotel midday able check straight away . room lovely plenty space picture website . the staff extremely helpful could not enough you . in four day do not experience problem definately book again . from experience II recommend hotel enough . 
 Jun 7 2006 	 ok 	 back three night Carlton Madison . disappointed hotel give many positive review site . beautiful lobby , excellent Country restaurant reasonably good location , think hotel average well certainly average feature list . staff interact pleasant.1 ) room bathroom small - yes , even NY . bathroom door clear sink millimeter . shower curtain ( another reviewer note ) industrial look noticelable mold . closet small enough hanger hang properly - bump back wall turn angle . alone make size workable would hesitate recommend two people.2 ) free Wi - FI case & quot ; get pay & quot ; . signal fluctuated & quot ; Low & quot ; & quot ; Low & quot ; essentially useless time.3 ) 6th floor room north ( 29th Street ) side building loud night construction go immediately across street ( start 7:00 ) . sell & quot ; Empire State Building view & quot ; check - in ( mention construction ) , right angle , view ESB . 4 ) although book non - smoking room , room smell heavily smoke upon check in.5 ) recently remodel hotel , room carpet look wear dirty . also stain desk chair . comforter nice enough sheet low quality hotel charge kind rates.6 ) room safe inoperable duration stay.7 ) one hotel call room service get ice . overall , not think hotel terrible can not see stay many alternative price point . 
 Jun 4 2006 	 Loved Carlton Madison Avenue 	 enjoy stay . room little small , clean comfy . choose hotel base tripadvisor.com review . thank review . 
 Jun 3 2006 	 promise need little work . 	 friend recently opportunity stay . native new yorker embrace spend night city fun . hotel prove good choice , minor exception . room plusher , trendy nyc hotel boutique feel . size decent nyc standard request popular & quot ; Chrysler Building view & quot ; grant . lobby lovely staff accomodate . minor issue - there noticable stain carpet well desk chair 's cushion . obvious remedie long ago . another issue unsightly , mention gross mold grow shower curtain . friend seem mind opportunity stay many nyc hotel never see moldy shower curtain ! bring issue manager 's attention checking . apologize send personalized email . hope correct issue next guest . another note , priviledge dine hotel 's restaurant , Country breakfast . restaurant crowd manage seat we promptly without reservation . boy lucky ! food absolutely delicious service impeccable . maitre doll - he go way help recover night 's celebration . lovely hotel . expect nicely appoint room , friendly staff wonderful restaurant choose dine onsite . 
 Jun 1 2006 	 Biz traveller find underrate 	 go base price review board . one previous reviewer particular mention construction finish , hide gem ( something like ) . right . construction do really impressive . staff helpful . room spotless although small , ' ve small NY room . lobby beautiful neo - ny style instead old world charming . membership great health club couple block away . forget ID instead head back room , staff call ahead say come . wireless room partner not . room different since 's old building . know many people like come site sometimes skeptical not . high bar mere fact ' m take time write tell place enjoy . 
 Jun 1 2006 	 simply well ! 	 husband treat 4 night stay gorgeous hotel 50th birthday present . well present ever ! prior arrival husband email hotel request room overlook Empire State Building . speedy check - in , go allocate room find rather small , dingy view overlook dark courtyard . husband immediately approach front desk give another room . one also small still view . Hubby go front desk inform room view book , not mind wait next day , would accomodate . start superb service staff Carlton . next day allocate we room spectacular view Empire State Building , also upgrade we King size room ( much big even plush ! ) extra charge . room safe order , staff give we use safety deposit box , without charge . staff friendly attentive , special mention go Patrick , concierge always smile useful tip we . nothing much trouble ! also , female security officer help we daily young lady sort room we ( Anel ) deserve special mention ! Anel even extend last day 's checkout time could enjoy little vibrant city ! already plan return trip ! Rita Ogden 
 May 3 2006 	 Great Hotel ! 	 stay Carlton Easter long weekend April great experience . concierge , Topher name , suggest great brunch place book reservation we . pleasure talk helpful ! Miguel Hesus also big help . take care luggage arrange transportation airport . friendly genuinely nice people . bed room unbelievably comfortable , sleep complaint ! room clean , beautiful bathroom well . free wireless internet acce great plus ! great come back room long day walk shopping ! great location . book Expedia 's flight + hotel package , highly recommend option . overall , amazing experience , definitely come back ! -visite Toronto 
 May 3 2006 	 choose hotel regret ! 	 choose hotel base Tripadvisor review . more happy choice ! central location , near subway ( local stop - express ! ) walkable restaurant . ( Mexican Ixta East 29th , superb food & amp ; service - slightly pricey , Heartland Brewery Union Square ) courteous staff , bedroom fine , clean comfortableA couple minor poiint : tea / coffee make facility size & quot ; queensize & quot ; - comfortable bit small ? ! would hesitation recommend stay . 
 May 2 2006 	 ' ve find new hotel ! 	 ' ve stay overprice ' boutique ' hotel New York year till never satisfied becuse rate ' ve pay . stay Carlton usual accomodation sell absolutely delighted find . hotel beautiful staff wonderful . young man door particularly nice . not time dinner restaurant , fill people , seem popular . come rate half pay past . , ' ve find new hotel ! 
 May 1 2006 	 home always want 	 result work do apartment , pleasure check Carlton Madison almost one week . besides shortening commute ( # 6 Subway one block away ) , treat royally amazing staff Carlton . ( co - op Doorman never make feel welcome ! ) quiet restful sleep , start day amazing Almond Crescent coffee deliver room Newspaper . opulent bathroom , wish good - day way wonderful vibe New York neighborhood make time away home luxury vacation . return beautiful lobby work , greet Carlton Family , tempt plop one comfortable chair , order drink soak energy space . Hmmm , maybe re - do floor ; give five day good life Carlton ! 
 Apr 29 2006 	 Great Time 	 stay Carlton think great hotel . space beautiful neighborhood lot great restaurant . staff wonderful everyone group . value excellent . 
 Apr 27 2006 	 best time ever N.Y. thank staff Carlton ! ! 	 make we feel like king Queens soon step cab front hotel . single complaint , price reasonable , room service great even help we get show did'nt even know about . we back next time N.Y .. thank keep good work . 
 Apr 24 2006 	 great deal amazing design 	 great price ( $ 300 ) hotel phenomenal design service . love restaurant room service ... staff genuinely nice , expect NYC hotel . location great business , close subway walk distance Union Square . great dinner Country great little italian place call Truilli . nice neighborhood seem rise . would definitely return already recommend friend . lobby one cleverly design restore antique hotel . 
 Apr 24 2006 	 simply fantastic ! 	 Carlton Madison Avenue prove amazing get away hustle bustle city . stay Carlton recent renovation , pleasantly shocked walk door . recently add entire restaurant lobby adorn waterfall restore Tiffany 's glass dome ! beautiful . restaurant serve meal 5 - star restaurant could provide , price fitting . waitstaff friendly fast , provide pleasant dining experience . the room extremely comfortable , large NYC hotel , bed plush comfortable be like sleep cloud ! room keep clean bathroom refill every day . quiet provide great escape city 's noise . enjoy beautiful decor- really make feel home . even stock Bose iPod dock we technological type not go anywhere without iPods . forget charger , save day ! addition , find employee friendly accomodating . check - in quick pleasant , check make simple program could access tv room . the location perfect ... walk distance Empire State , Chrysler Building , Times Square , Grand Central , short cab ride major theatre district sight - see area . overall , love Carlton plan stay soon possible ! ! 
 Apr 24 2006 	 great find ! 	 must pass place thousand time past thirteen year live New York , never stop notice husband take Country anniversary dinner . food exceptional , service simpley ok . end stay night LOVE hotel ! bed comfortable ! pillow case feel like satin face . decor remind small , modern Waldorf . front desk person check we friendly , wish get name , rest staff great well . 
 Apr 24 2006 	 would not stay anywhere else ! 	 hotel amazing . minute walk door , feel like celebrity . Carlton absolutely beautiful , staff helpful time . outside city , perfect stay hotel wonderful staff . room beautiful , service impeccable , could ' ve sleep forever bed ! ! far nice hotel ' ve ever stay , would recommend anyone ! ! 
 Apr 24 2006 	 woderful ambiance 	 Carlton do fabulous renovation . lobby spectacular public room . quiet room super bed amenity . location perfect nedd staff helpful . 
 Apr 24 2006 	 Loved ! 	 beautiful property , renovation fantastic . staff could not friendly lobby amazing . love food Country well . , be great value - check secret get . 
 Apr 20 2006 	 pricey overall quality 	 classy dark hall already give indication follow room . spend total three night Easter . book room month advance leave completely different choice compare initial booking , include smoking room clearly indicate preference non smoking one . hotel undergo complete renovation , room small dark . moreover , get bite ( three different room ) insect , turn flea . indicate management hotel , helpful enough move we different room , express doubt concern experience hotel 's hygiene . might simply unlucky certainly busy holiday period NYC , state record , hopefully , great improvement hotel 's condition . addition , regrettable hotel staff aim his / her personal profit assist client ( get different misleading indication reception bellboy concern transportation hotel JFK end pay difference 20USD ! ) . finally , hotel rate / category , pitty internet access charge quite high price . 
 Apr 13 2006 	 good Business Travelers 	 would recommend hotel business traveler . as soon enter hotel , stairway checkin desk . escalater elevator help luggage lobby . each morning , ask & quot ; refill & quot ; toiletry ( shampoo , etc . ) . housekeeping automatically replace empty one full one . the restaurant hotel terrible service . definitely worth price . when check , need leave luggage bellhop return later day . take least 30 minute ever get luggage . mention need catch train , might still wait ! would recommend hotel . 
 Apr 12 2006 	 Location Location Location 	 spend 3 night Carlton wife 30th birthday . apon arrival greet tell room ready , great news arrive morning expect drop luggage . room small clean view window excellent . clear view Empire State Building . after quick shower walk ( 4 block ! ! ) ESB onto Times Square etc . as stay short not spend much time hotel staff could not helpful . lobby massive want quiet 5 min take seat relax . idea traveller budget , get coffee etc Dunkin Donuts corner start day sightseeing . final joy ask taxi back airport , sort limo transfer ! ! cheap preset taxi fare $ 45 airport . would book next stay , planning later year . 
 Apr 12 2006 	 flawed gem place 	 & quot ; Characterful & quot ; term euphemistically use something be quite scratch , can not help forgive otherwise . Carlton thing . we stay 27th March 2nd April impress friendly courteous staff without obsequious . find room , Deluxe Queen , 11th floor , adequate little small side ; read review NY hotel general , would probably say big expect . Bathroom nicely appoint , small 2 people detail not quite would expect place lavishly decorate public area . I breakfast dining area , former chef , say whatever come kitchen ( sneeky peek dinner service ... ) would disgrace Michelin star restaurant . really good . evening Prix Fixe menu $ 85 per person 3 course + Petits Fours coffee seem outstandingly good value ! ! ! eat Mexican ( Ixta ) East 29th chinese next door . wonderful place highly recommend . 28th Street subway 1 minute great deli leave past restaurant eat sausage ( cheese egg missus ) couple buck piece . Magic ! would , ( ! ! ) , recommend Carlton would definitely stay . Anthony , be read , room 's sorted mate ! ! 
 Apr 9 2006 	 absolutely fabulous 	 4th visit NYC far comfortable enjoyable - hotel fantastic service offer hotel staff second none . one thing let hotel restaurant . breakfast room service neither pleasant experience . tip , not waste money ! 
 Apr 9 2006 	 worth 	 live New York always try find nice hotel room good price boyfriend come town . stay Carlton Madison time worth extra $ 40 usually try spend . book hotel 's website $ 239 night . stay regular room 6th floor ( room 612 ) . bed perfect , furnishing nice ( dark wood , good condition ) , bathroom awesome small shower great water pressure . little loud construction old church 29th street . room service must . food little expensive , good . come huge heavy wooden tray set middle bed . complaint front desk service . upon checkout screw bill still try fix computer . not understand go . also , ask bucket ice take 3 phone call finally get . 
 Apr 6 2006 	 go back 	 stay Carlton Dec 2 night . great location , nice cozy room clean pretty bathroom . local coffee shop block away great ! italian restaurant across street decent get ny late . close subway . walk good shop . room face trash pick bit loud . write email Hotel GM assistant write back apologize ! wow ! go back weekend stay again . Nice Personal touch ny rare . 
 Apr 3 2006 	 Perfect place stay 	 fiance five night stay 28 March 06 . nice room , small ( adequate ! ) expect Manhattan , anyway much time spend hotel room ? bed pillow sooo comfortable . excellent location , subway one block away , time sq 10 - 15 min walk . stroll Union Square nice little place eat . ny several time definetely stay . lovely bathroom . Mon - Sat free newspaper give room . turn - down service available . concierge helpful go way assist . perfect place explore NYC . 
 Mar 30 2006 	 love 	 would recommend hotel anyone .... stay 4 night end March . we lovely room 5th floor , decent size clean nicely decorate . lobby gorgeous . real find ! hotel good location ... close Macy 's Empire State Building . warn room service expensive ( small glass orange juice cost we $ 10.15 ! ! ! ) .The staff friendly helpful . make use concierge service book airport transport etc . 
 Mar 28 2006 	 ideal spot 	 stay 3 night March , 5 couple , room small view clean comfortable talk friend room seem vary size couple room suffer noisy air - con unit hey base , staff helpful hotel overall smart . location ideal 15 min walk Times Sq . breakfast @ Jimmy ' coffee shop 164 Madison Av reasonably price good . rock fantastic , must visit . 
 Mar 27 2006 	 Loved Carlton would definately return 	 stay Carlton 10 day March . hotel expect review read - surprise , great . agree everyone say bed comfortable - good ever sleep - comfy pillow right , bad neck ache like normally get sleep away home . the location hotel great , far empire state build 10 - 15 minute walk Time Square - much less pedestrian traffic near hotel good thing . great location , could walk anywhere want , subway close - staff friendly helpful - would definately recommend friend would return go back New York . 
