RCA 	 nice place stay Central London price .. 2 - 3 min walk Lanchaster Gate Tube Station .. 
 dirty . 	 Paddington Hotel & amp ; Royal Court Apts building . review also post Paddington Hotel Tripadvisor page : recommend anyone right mind stay hotel - period . even though conveniently locate tube park - 5 - 8 minute walk , hotel go major renovation hotel . renovate room . friend stay two night , want cancel reservation entirely would not allow . would charge we 1 night stay cancel reservation . stay 1 night , will charge two night - twist sale positioning . frustrate , stayed require 2 night cancel third night make completely new reservation somewhere else . hotel room disgusting , kitchen room . room dirty look like roach probably infest place . hotel staff welcome either . willing move we big room pay ridiculous rate , ask see first . horrified upgrade room . well room . save money , time worry whether hotel room turn okay book somewhere else . would not stay - would not recommend anyone unless clean act - staff & amp ; room quality . 
 Jul 23 2007 	 Superb Staff - Great Neighbourhood 	 choose hotel review price ( Holiday Rooms , efficient ) . location convenient , minute Lancaster Gate Central Line . registration quick Receptionist adorable , helpful competent . time see 2 - 3 people Reception . review expect room wear , pleasantly surprised find , clean paint . room stand alone fan welcome hot time London night . kitchen basic utensil ( hob , microwave , fridge , sink , table , chair , cutlery , plate , pan ) prepare meal . tin - opener cork screw / bottle opener miss . though Colbeh Restaurant short walk away ( Porchester Terracce ) , bother eat . load restaurant nearby , pizza chic . the hotel lounge adequate . hear WiFi provide generous seat would pleasure surfing web . unfortunately floor corridor crack could hear step we , though voice . the next day ask get Indian High Commissioner Rupi , Receptionist , info print , map prepared get plus ... send room . , service , not know ! staff time nice , welcome ready give 300 % . would return ? certainly yes . 
 Jul 13 2007 	 love ` ` friend '' Royal Court Apartments ! 	 experience Royal Court Apartments wonderful . room clean nicely decorate ( update ) . location breeze get around town . nice , safe neighborhood . staff ! say ? treat like ROYALTY ! much fun . whenever return hotel , greate enthusiasm kindness leave good cheer . especially love Christiano could not concern treat we wonderfully . thank ! Margaret , Lynn , Dana & amp ; Kayla New York ( everyone 's favorite Americans ! ) 
 Jul 12 2007 	 Know booking 	 & quot ; hotel & quot ; mixed bag . location , near Paddington , good rail Heathrow Express ; within 100 yard Kensington Gardens Lancaster Gate tube station . also small kitchen faciltie would probably welcome . the place pretty scruffy corridor room although bedlinen clean . much fitting room need reapir tv need tune replacement . we book advance double £ 65 room - only ( surely could stayat Travelodge ? ) pay £ 50 deposit . however pay balance try get £ 24 , refuse . also see someone get walk - in rate of£185 , even London seem lot place like . also overhear family checking , settle bill ask discount account & quot ; rat & quot ; 
 Jun 28 2007 	 great location ! 	 first London hotel plenty room two we . luxury hotel US standard , look place crash take many London sight attraction possible 5 day . really fill bill ! bath small , expect , bedroom , bed ( 2 twin ) exceptionally comfortable whole place clean daily cleaning service . fresh towel bed change daily . big advantage another room small refrigerator microwave could store milk , juice , ham , cheese , etc . breakfast small meal picnic nearby Hyde Park . huge saving London extremely expensive . also use room store empty suitcase since bedroom small . make several local phone call various type information free . also couple internet cafe way Paddington tube train station relatively inexpensive convenient . Paddington grocery store essential need . hotel staff happy help , English first language . question , however , look info internet , print give . happy help way every time . safe neighborhood conveniently locate near 2 different subway ( tube ) line ( Leicaster Square- gate Hyde Park , Paddington ) well Paddington Train Station . get almost anywhere Central London breeze . would definitely return hotel ! 
 Jun 13 2007 	 Perfect Location Single Traveler 	 8 - day London visit March 2007 , find Royal Court Apartments extremely affordable , perfectly locate , comfortable , quaint . book via Expedia rate slightly well on - line competitor . many London mid - range price hotel full kitchenette include fridge , one main attraction sell point , fridge , gas / electric stove . Kitchenette stock glass , plate , silverware , pot , pan , knife , myraid essential kitchen ammenitie active homecook . much cheap purchase grocery / ale / water / PRET sandwich , etc eat regularly . room fourth floor face Gloucester Terrace , noise level bad somewhat light sleeper abroad . room quaint , slightly outdate 20 year , bad way . expect four star living space , rather safe , comfortable affordable location expensive UK city . bed always clean , bed firm , bathroom decent size even someone like 6 ' 4 & quot ; . water - pressure unusually strong 4th floor old convert victorian housing / building structure . stay London complain hotel carpeting , floral - pattern wall - paper , weak tv reception ( 9 pm several channel begin German Language programming prepare : ) , awkward stairwell inter - connecting / uneven hallway , etc , want save money live actual arrangement spend carefully area Royal Court Apartments allow do . perfectly locate near Paddington Station 45 second Lancaster Gate Tube , RCA also convienent night bus take LG Islington stop inbetween . 15 minute walk Oxford Street via bayswater run parallel Hyde Park ( also 1 minute rca ) . Portobello Road tube stop direction head west , nice get way well weekend street fair . lastly , find staff /front counter staff friendly helpful . please understand Brit counter staff different NYC counter staff , nothing personal traveller , minor cultural difference traveller must understand take offense staff gush visible love affection . job work hard hotel people service day day . strongly recommend Royal Court Apartments Gloucester Terrace base money save , convienence location big city , good live comfortable atmosphere engage stay . 
 may 18 2007 	 Perfect need 	 daughter book studio apartment 6 night . although lidt wear use , place really perfect we . ' ve try reasonable price hotel hostel London , favourite . location fine , 5 minute walk Lancaster Gate Tubestation Hyde Park . weather good , one walk park 10 15 minute Marble Arch Oxford Street . room clean , clean beyond reproach ! ! clean towel everyday staff helpful¨.this place London future , provide course book reasonable price . 
 May 16 2007 	 Great traveler budget . 	 husband stay Royal Court Apartments 4 night . & quot ; hotel & quot ; appeal we kitchenette know would save we ton money . I must distinguish difference run - down dirty . hotel clean . , may appear way run - down - furnishing , carpet , wall - paper , etc . old . clean staff excellent job could happy . kitchenette room small large sauce pan , fry pan , cook prep material , microwave , two burner , small oven , papertowel , dish soap , small fridge - anything would need basic cooking . the hotel offer free wireless internet access lounge . lounge quite nice people sit laptop browse net , however , since room street level near lounge , able access internet room FANTASTIC ! tv room BBC channel two german channel . bathroom basic , suited need . the close tube stop Lancaster Gate . close Lancaster Gate Paddington . near hotel Hyde Park beautiful . many small neighborhood grocery store , near Paddington rail station large store Sainsbury Local . staff pleasant . please overall encounter staff member . note - get oyster card tube travel ! far cheap way travel offer reduce rate paper ticket travel Zone 1 , pay max 4.60 pound per day . purchase card almost tube rail station many local store sell well . 3 pound deposit card return turn card upon departure . 
 Apr 18 2007 	 two two ! 	 hey , Oranjeboom . write review Royal Court time last year , base first experience stay . promise , write another review ( though sure long - winded . stay tuned ! ) .to begin , little worried would & quot ; studio & quot ; opposed & quot ; apartment & quot ; first time around . newly marry wife . keep score home , stay last year , girlfriend . please not alert Vatican ............ say relieved find & quot ; studio & quot ; , small , top floor ( last year 's & quot ; apartment & quot ; first floor , inner part building , not view ) , give we view building we Hyde Park . old church steeple feature many photo . first day , seem like entire top floor . Midweek ( stay 10 day ) , Mom Dad 3 kid come noisily stair use hallway indoor track facility . tempt yell door like angry old man bellowing & quot ; get OUTTAHH YAHHHHD & quot ; , , help new wife , manage keep control . guess event could file & quot ; luck draw & quot ; .As point first review , place near two tube station , individually give access area line London . problem get around . definitely big plus Royal Court , since Paddington area ( Hyde Park ) , pretty lame . search nightlife , well plan evening well , since many tube line stop around Midnight , not want get stuck take Black Cab home . miss last train night inch one night , cough £ 25 get home via Black Cab . not know current exchange rate USA merry old England , be 2 1 ( dollar pound ) , 50 buck ! Tip London traveller : Buy Oyster Cards extend stay . save big buck individual tube fare ! staff pretty cool last year , one guy especially friendly . take advantage & quot ; safe deposit box & quot ; leave iPod american dough . problem . housekeeping staff good , although think old staff look wish die fiery death . sum ? love suit fine . friend get we room Chicago last weekend wedding present Hyatt downtown , although grateful gift , could not see point blow much money place sleep shower . could use money many thing . if like , want functional place go home end day roam around , RCA place . local Sainsbury 's ( Paddington station ) , work well build kitchenette save big money eat ( mention beer cider ! ) buy bean , Stilton cheese ( 88p ! ! ! ) Kingsmill bread carry never go hungry . if look place bolster social status , , describe early review , & quot ; dainty traveller & quot ; , place you . travel accomadation , good , subjective affair , assess intention well choose Royal Court port call . want affordable ( ultra - expensive London , place steal ) place stay , clean comfortable , without frill , place . look prop room service , brag in - law lavish accomodation trip London , might want look elsewhere . stay twice , can not think well place stay London . plan book another London trip road , Royal Court definitely first choice . I hope choose RCA London stay enjoy great city much last two visit . safe , enjoy ! oranjeboom ! 
 Jan 25 2007 	 basic nice 	 arrive hotel 1.30 a.m. 20th January . reception area nice could see renovate bright look nice . receptionist swift check - in smooth . show room ground floor ( nr . 57 ) . room renovate could se stain wall paper uneven floor . floor carpet every room except bath room bathroom big , could one person time . double room consist hallway lead one bedroom double bed , 140 cm wide . ensuite bathroom shower . direction find toilet shower , living room kitchen TV . bed firm , like . wake several time night hurt much . husband hand like firm . all basic cooking equipment . although could need tea towel , cut board , fry pan corkscrew . the tv - channel many ' get sharp picture they . the morning sleep first nigt discover give one small towel . complain two fresh towel every day . another good thing room quiet . ' hear traffic stay . it also near tube , Lancaster Gate mnute walk ' Central Line reach Oxford Street fast . we would recommend hotel anyone ' expect nothing clean basic apartment hotel near city . 
 Jan 19 2007 	 ok 	 stay Royal Court Apartment 3 night 11th Jan . first visit London reference point compare , however money pay place much good enough nice b & amp ; B continental europe say London 's expensive . stay 3rd floor , bedroom clean , floor somehow thin uneven corridor , hear room clearly whenever someone be walk around . bathroom acceptable clean except first day arrive ( see hair previous guest ) , really small , everything pack bathroom . shower good . true closed lot facility esp . tube station option cheap eating , also bus directly oxford street etc . morning stroll nearby park also pleasant . guess not complain much money pay , want say save lot money decent hotel order plan full evening activity ( theatre , cine , restaurant heap pub ) , exactly . 
 Dec 20 2006 	 Clean Friendly Excellent Value Money ! 	 good points•clean tidy•Cooking Facilities room•friendly Staff•Great Location ( next Paddington Station Lancaster Gate tube ) bad points•some might consider date décor•No in - house restaurant ( cooking facility room next door wonderful neighbourhood eclectic selection cafés restaurant ) .I normally use Priceline booking Hotels ( unless need something specific ) generally use quality hotel , grab bargain love extra element surprise . anyway , ' able secure anything cheaply seem London fully book , unusual Christmas time . anyway , ' usually one pay odd Hotels generally find clean tidy ' much difference , ' rather pocket difference pay small fortune walk plush lobby . I find Hotel [ -- -- ] pay £ 50 night go review website , ' sure make review either good quite poor , bad Hotels price brand . the Hotel market apartment hotel whilst ' use , small cooker , microwave , sink , etc . , room . would imagine would come extremely useful staying week , could cook quick snack breakfast use otherwise overprice often terrible hotel restaurant . find room incredibly clean even reassuring smell clean product although whilst décor somewhat date room small - ish ( something expect London , although hotel range large room people ) pleasant experience , walk distance Paddington Station Lancaster Gate tube , excellent value money friendly staff boot ! 
 Nov 23 2006 	 good value 	 stay theRoyal Court Apartments 4 day , good proce conveniently locate Paddington Station lot shop resturant closestaff friendly helpful , room tarriff reasonableroom little bit tatty run nothing detract much convenience value money 
 Oct 25 2006 	 great location 	 Basic perfectly adequate tourist hotel good location- 10 min walk Paddington tube station . reception staff polite organise minor repair ( light globe , unlock safe ) efficient manner . 1 br suite quiet clean decor tired . bed comfortable bathroom compact ok . stay 7 night able cook meal kitchenette basic utensil etc . bad value money London- 2 star would stay . 
 Oct 4 2006 	 Better have expect 	 4 night , nice , rat , but , nothing strange . 1 thing , never i´ll read review hotel ( thing nice anothe person really bad ) , night firgtene find rat , happen ? , Notting . everything fine . staff ? work hotel . , , polite friednly , make job , make complaint , would thing customer hotel , hotel diferent . if oportunity come back London , don´t mind come back hotel . 
 Sep 21 2006 	 good standard family apartment 	 book three room apartment Royal Court Apartments weekend parent , brother boyfriend . short notice ( day ! ) cancel previous reservation hotel read horrid comment website . apartment spacious , bed clean hard / soft , line area sofa , tv set kitchen , great cook fry - up morning store drink fridge . interior apartment wee bit date , nothing flash sure , clean , shower work great privacy three separete room two bath room . phone business , pay £ 200 per night ( website early quote expensive price ) , bad five people London ! word warn though : stay , around 20 - 22 degree London room already quite warm , therefore must hot summer month ! ! 
 Jun 19 2006 	 horrible experience ! 	 sheet towel clean , room dirty , elevator disgustingly dirty . beg get promise additional bed . tell 1 double bed 2 twin bed enough 6 people ! furniture rip torn . 78 degree outside call ask turn heat room ! floor creak loudly walk across room . carpet full stain filthy ! prepare leave 11:15 a.m. ( check time 11 ) knock come door exactly 11 tell we time leave . never , ever stay terrible place money . extremely cheap might willing live , excuse . trip stay apartment Rome Paris wonderful great location great accomodation much less money . could not wait leave . 
 May 1 2006 	 great spot 	 stay 3 day friend run marathon.we originally book 2 studio arrival recieve 2 bedroom apartment turn well group.the decor quite dated room spotless clean every morning towel replaced.the kitchen facility ample fridge come handy keepin beer cold ! minor problem incur lack air conditioning ( stuffy night ) squeaky floorboard location great staff friendly 
 Apr 7 2006 	 lovely place stay Isle Wight 	 partner stay 3 day February 2005 . take car ferry Southampton Cowes , Sandown easy find appartment . honest do not look like much outside get tour owner , gobsmacke ! appartment lovely , everything could possibly want ! bedroom lovely 4 poster bed , bathroom huge jacuzzi bath ! kitchen living room great even front garden bit ! pay £ 150 break include ferry first time visiter Island impressed ( even winter ) ! ! ! island gorgeous , sandown peaceful interesting village ! can not wait go back Island Summer thoroughly recommend accommodation future visitor 
 Mar 15 2006 	 living 	 daughter live hotel apartment 3 month , price pay location great ! see 3 room well other , clean fresh towel everyday . as mice , careful food not make available , come room , simple , old victorian mansion character . the decor not 2006 price job , staff friendly helpful , lobby lounge undergo refurbishment right look smart . lift , yes bang start get we room everyday 3 month , also always make we laugh , bad . reach London easily - lot foot . miss place move . 
 Mar 10 2006 	 Excellent Location Decent Quality Worth ( Budget Traveler ) Price 	 stay hotel March 5th , 2006 - March 9th , 2006 . stay ' single ' room . state excellent location , rather close Paddington station , make 's short coming especially budget traveler . room clean clean daily . wallpaper peal one location . tv not get many channel , not London . kitchen kind smell , not something clean part housekeeping . bathroom expect budget hotel Europe . ' breakfast ' not include rate , pay one day almost 4 pound get toast cereal . would stay ever visit London . 
 Mar 2 2006 	 yike ! ! ! 	 stay hotel May 2005 lady trip London mom , grandmother aunt . first trip London not high expectation travel around Europe know expect room different home Canada . never could prepared hotel . three bedroom suite kitchen . although location awesome , nothing else hotel good . elevator break , antenna tv hold together Band - Aid ( ! ! ) , carpet gross - stain not know - appliance kitchen old ( 25 ! ! ) . never gross disappointed life . needless say , check hotel hour arrival . every hotel go look room feel sorry we stuck dive want help we . unbelievable amount hotel around Royal Court visit London stay away hotel ! ! ! 
 Jan 25 2006 	 would come back ! 	 fine.my husband spend 4 night ( jan . 12 Jan. 16 2006 ) quiet hotel . hotel construction didn´t get studio book didn´t really bother we . come home late night leave around 10h morning didn´t spend much time within rooms.we 2 single bed another & quot ; living room & quot ; couch , tv table 2 chair . also put sugar coffee table room clean . ensuite bathroom freeze cold tiny . one modern bathroom , tile break , tiny sink pressure shower well . clean , new towel every day . room furnish old style that´s typical british . overall , worth money offer easy access london . even sightseeing bus ( big bus company origional sightseeing tour company ) bus stop end road . staff friendly . departure day could leave luggage extra cost . whole hotel look like new lounge room renovation look good . would come back . 
 Dec 10 2005 	 please ... never stay ! 	 stay apartment 25th 28th March 2005 . 4 people get two room ... two different room ! one soooo small 2 people could hardly sleep ( plus , small bed ) : call studio , place underground nobody hear something bad happeneing . one , palace ! big enought appartment : room , bathroom big living - room kitchenette tv useful thing . , lucky one appartment ... hand , clean though thank God see mouse ! staff friendly ( ) . careful woman breakfast ( build front hotel ) : rude we ( rest people ) complain reception ( next day , kind friendly we ) . good thing location : be front Kensington Gardens Hyde Park go walk Oxfort Street ( take 15 minute ) .despite problem change room solve , will not stay problem since first moment . clean , good come quality price . get something well around . 
 Oct 26 2005 	 beware ! 	 interior bit shabby room clean enough thought ' bad . would never recommend friend stay since purse get steal … there one door lock think rather insecure … 
 Oct 18 2005 	 Mouse crawl baby crib ! 	 spend three night Royal Court Apartments October 15th October 18th . first couple night nice size studio kitchen third floor . nice bathroom cute view . not really clean though come . cat dog hair kitchen floor table , hair bathroom bedroom carpeting heavily stain . think ok . last night , staff find friendly helpful , show we different room across street turn small unattractive , dive basically . Next give we studio ground floor , nearly nice one third floor ask change room loud people next door keep baby awake . next room ok , nothing write home . chat quietly baby sleep crib hear scratchy noise . husband get see ugly brown mouse try climb baby 's crib . could take rush reception area immediately move we nice studio third floor . , see five room course week - end . ok , really 's great location , within walk distance Hyde Park great sight .... 
 Oct 7 2005 	 Price Right 	 mother stay Royal Court Sept 27 - oct 4 , 2005 wonderful time . price right location . less 5 minute walk Paddington Station bus service , alot great eating establishment area choose get studio kitchen could pick food store ( ) fix . small studio apartment second floor . mouse see run food shelf food store Paddington Station . speak English problem speak understanding staff . travel around world learn slow stop listen understand staff understand . yes , work hotel carpet hallway could use cleaning change . studio clean bed sheet bathroom room clean daily . room kitchen , responsibliltiy wash dish read notice cabinet door change fee staff clean dish . would stay . friendly staff make worth stay along location ! 
 Oct 6 2005 	 egad dump ! 	 good thing say place fridge room work location stellar- around corner Lancaster Gate Paddington tube stop . twin room tiny even tinier bathroom- sink tiny wash one hand time ! AC satellite TV ( three four channel get rabbit ear ) . bed ok , squeak even merely twitch . wall paper two eras- top half 30 's low half 70 be peel away . street noisy hour corridor dank narrow . lift frightening- never sure would get alive . flea mouse experience other , thankfully . stay part London , will pick different hotel many other around block . 
 oct 4 2005 	 great find 	 little leery place read many non flattering review ... ever pleasantly surprised . find Expedia 50 GBP/ nite twin studio kitchenette . room quite big big bathroom ( something common London ) . decor date room clean , bed comfy . locale great ( 1/2 block form Hyde park / Kensington garden ) close bus tube stop . front desk staff helpful available answer question . would recommend friend look forward stay again . MKCanada 
 Sep 27 2005 	 find mouse room 	 stay Royal Court apartment week last October . everything clean double studio apartment fine clean , staff seem correct ok , one day find mouse room trying relax watch tv , not know 's ussual England find mouse ' m spanish , find mouse really , really disgusting . go reception middle night pijama tell mouse situation , ` polite , keep wait long time reception unlit manager come , tell situation , say rude & quot ; come , not worry ! 's mouse tiger ! ! & quot ; told & quot ; yeah , be something expect find room pay ! ! ! & quot ; , give another room night first floor & quot ; redecorating & quot ; new room really dump much small bad mine . really rude not even mention discount pay correspondent prize night . next morning tell get rid , wan not sure everything place leave . thank god di not time comfirt mouse not really get suitcase leave apartment next morning . 
 Sep 16 2005 	 do not even consider booking 	 read review site choose hotel someone post & quot ; Lies , internet Lies & quot ; consider book hotel price location it . lie internet lie always truelocation - wise : excellent , Paddington 2min away hotel make Heathrow airport 20min ride away ( Heathrow xpress ) . also bayswater front leg , hyde park 30secs walk Lancaster Gate tube corner make 1min walk top . cleaniness - wise : disgusting ! ! ! disgusting ! ! ! room dirty . Bitten flea daily , towel change stay maid bother clean dish small kitchenette . however discover blanket sperm dry ( mean noone actually bother change / wash previous occupant ) luxury - wise : hotel ( building ) around 200yr old . basically 8 victorian house stick together way remind maze . least load fire escape save ceiling fall yous head . room style remind 30's-40 's industrial England maybe touch nice victorian wallpaper outdate . someone please rennovate hotel ! ! ! staff - wise : brilliant guy helpful except maid do not speak english indian / pakistani receptionist hard understand . however somalian spanish girl work night brilliant extremely helpful . two honest tell we & quot ; hell take decision stay ? & quot ; would recommend hotel anyone will not even pass street ever again . we reservation 7night , make four night till ask move another hotel rcahotels.co.uk cheap , clean true 3 * * * hotel around corner Royal Court Appartments . I would consider hotel excellent backpacker bussinessman holiday maker ruin stay London unless want stay centrally . 
 Sep 14 2005 	 Avoid ' Royal ' Court 	 find one last Minute Hotels , price seem good true , give list amenity , include health club , laundry facility , etc . none amenity . room cramp , clean , noisy ( work crew hammer 8 day ) . staff baffle , often baffle . we share room mouse , work night . only reasonably convernient location , cheap price , fact room motivate we maximize time see London keep we sane . 
 Aug 7 2005 	 Lies internet lie 	 dad book hotel online ; hotel look nice picture , get hotel , lobby small dirty check - in staff could speak english properly . speak france . check go elevator wich sound like would break every time move . corridor tiny carpet dirty . get room , smell , floor level room dirty dusty . bathroom dirty fixture fall wall . internet say satellite TV , rabbit ear could get three channel . bed uncomfortable smelled . sleep fold bed every time move , bed close . net also say AC not . room hot stuffy night street light right outside room window . street noisy times night . next day move another hotel immediately ( name Copthrorn Thara good ) .if , try avoid . 
 Jul 21 2005 	 Mouse house RCA Paddington 	 stay 2 night RCA Paddington Hotel first 2 night London September 2004 . book research on - line , include picture . neighborhood similar , sure building . location great , close Paddington , Kensington Gardens , lot great restaurant good neighborhood . not know hotel own numerous location , remodeling , address get refer we across street . common area room bite dingy run . room 2 twin bed instead one assume would get . front desk staff bit unapproachable , not ask anything else . awoke nights sound mouse , first night nightstand bed , next night head bed ! needless say not sleep well . love convenience location neighborhood , sad leave room accommodation next night . 
 Jun 2 2005 	 Royal Court Apartments home ! 	 's graet kitchen facility hotel room . microwave let sample many curry dish available refrigerate section market fridge invaluable . stay RCA 9 night early May 2005 . , second visit . mouse ground floor room move staff upgrade , 2 room suite high floor . ' m convince mouse result construction go large lounge . walk without reservation pay $ 85 . night . outstanding central London ! rca half block Hyde Park / Kensington garden Lancaster gate tube station . half block food store , liqour store 5 minute walk Heathrow Express Paddington station . love staff RCA . Good humor , helpful professional . always stay RCA . 
 Mar 8 2005 	 Good Deal London Budget 	 husband travel London frequently business pleasure . current US exchange rate , one hard - press find hotel London & quot ; budget & quot ; US dollar price . property step well quality hostel , certainly worth , consider two block Lancaster Gate Tube Station , Hyde Park , short walk Paddington Station ( London - Heathrow express terminate Paddington ) . hotel one two star american rating , staff helpful , make effort room clean ( even dish do ! ) day . rennovation go Sept 04 , main hallway drapery / furnishing bit run - down . plentiful hot water old bathroom , towel clean abundance . breakfast , decent studio kitchenette ( ask one large studio first floor ) . use large US chain hotel , probably comfortable site . impress client friend opulent surrounding , place stay . would rather spend US dollar London attraction , real budget consider good choice . -D.C. , Philadelphia PA 
 Mar 1 2005 	 cheap dig RCA 	 may good value , room ( studio ) extremely tiny cramp . second day overcome noxious sewer gas room , give different large room problem . location terrific , kitchen outfit well ; apartment really clean- dingy , pretty tattered usual problem water pressure . also think may money taken- fault not use safe . think well & quot ; deal & quot ; . 
 Dec 1 2004 	 not go near 	 bargain London hotel scene , prove . book one night near Paddington Station , regret pay place could even modicum comfort . tiny room cooker sink corner , lumpy single bed give creep wonder clean , tatty decor , overpower stench cheap air freshener . top - hope be eat - toilet bowl not properly clean last guest scrub brush . fortunately spend evening arrive back drink could bear lie bed . even , wake 6 am , showered , attempt shave dribble water come tap , get . awful , awful , awful . not go near . 
 Nov 7 2004 	 flea can not believe review ! 	 stay 30th oct 5th nov believe reviews hotel . find cosy , great price location fantastic . even dish we clean room even though late leave one day . bed comfortable , microwave , 2 ring fridge fantastic , save we money eat time . right around corner lancaster gate tube short walk paddington minute london sight . truly beautiful hyde park also literally around corner spend many lunchtime walk around enjoy one nice inner city park I ve ever see . we book room find review honest little worried , fear soon dissapeare upon arrival . staff genuinely helpful , although strange system dropping room key lobby go collect arrive back see room i d card , although one less thing worry lose london.the room relatively quiet london street , although get traffic , 5 night good sleep can not recommend hotel enough look cosy hotel great price location . come back : ) 
 Oct 21 2004 	 rather seedy 	 stay Royal Court Apartments 16th-19th October 2004 . although apartment threadbare need maintenance modernisation , represent good value 's central London location . apartment clean everyday clean towel supply . pretty quiet good night sleep comfortable bed . would not recommend want luxury , want central location low price o.k . 
 Oct 20 2004 	 get flea bite ! avoid place ! 	 Room dirty check leftover food leave rotten refrigerator . toilet tissue everywhere floor . bad , get flea bite . say convince stay hotel . I London several time know general hotel standard . £ 70 per night without breakfast , could get well room elsewhere . 
 Aug 18 2004 	 good value 	 come back stay Royal Court Apartments . read review little worried . however , excellent value money furniture wear look new . clean plenty towel soap etc . staff helpful polite . location excellent close Lancaster Gate Tube . close Hyde Park would certainly stay . 
 Jul 6 2004 	 Disappointed 	 get apartment internet ... wish have see review first ! nothing like picture display various web site . location great , staff friendly try good help ... accommodation sub standard . arrive first room , horrify ! place dirty , dank extremely depressing . bathroom like broom cupboard decorate mould . walk round London hour decide could stay room , even mean lose money find alternative . speak friendly member reception staff , give key alternative room . whilst brilliant , hundred time well . clean comfortable , although still date . worth gamble could certainly ruin stay London . pound , find much well accommodation . would avoid like plague .. 
 Jun 16 2004 	 spacious clean - consider price ! 	 13 month old baby get sick like one previous reviewer . room pretty spacious kitchen properly equip . clean room daily upon request even twice ( lot dust come open window . good : room quite ( window backside ) . meet sister live London surprise silent city . to make long story short : price really recommendable . would definitely go save money other pay apartment shopping Oxfort street . 
 Jun 13 2004 	 Satisfactory stay 	 wow . sound like people awful experience . stay perfectly fine ! first , say booked location , list 3 star facility . 's , 's 2 star place . people complain room freeze , cooking ! keep window open time keep temperature manageable . room threadbare side , trouble shower ( tough time stabilize shower head , hot water want shower odd hour night ) . in - room phone comission . , go early morning , wait outside 5 minute buzz back b / c front desk attendant away . room clean every day , not find bathroom cramp ( full bath + shower ) . think room spacious , couch couple chair . promise kitchen equipment . staff helpful . clean room good location good price . would definitely stay ... read review , probably would still stay . 
 Mar 24 2004 	 Reviews prepare .... bad 	 reading review , scared . place bad . room tiny , matress leave achy back next morning . room clean , staff friendly , shower great decent microwave & amp ; fridge room . experience unpleasant . 
 Mar 8 2004 	 hyde park would comfortable 
 Feb 15 2004 	 place horroble 
 Oct 13 2003 	 avoid like plague ! ! 
 Oct 12 2003 	 Royal Court OK 
 Sep 19 2003 	 Feral . 
 Sep 11 2003 	 good one time ... 
 Aug 14 2003 	 CLEAN ? ? CLEAN PIG STY ! 
 Jul 29 2003 	 would stay 
 Apr 26 2003 	 careful belonging ! 
 Nov 25 2009 	 Residence carino pulito ed accogliente ... Consigliato ! 
 Nov 22 2009 	 bon rapport qualité - prix 
 Nov 16 2009 	 Super Lage - aber Achtung bei der Buchung 
 Nov 11 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 7 2009 	 consigliato 
 Sep 22 2009 	 Genau Richtig als Basis für einen Londonbesuch 
 Aug 21 2009 	 bon rapport qualité / prix 
 Aug 18 2009 	 Bien 
 Aug 12 2009 	 bien placé 
 Aug 6 2009 	 Pas mal 
 Jun 23 2009 	 speriamo che finiscano presto rinnovare le stanze 
 May 9 2009 	 Muy buen hotel 
 Apr 24 2009 	 Jederzeit wieder 
 Apr 7 2009 	 Ottimo rapporto qualita ' prezzo 
 Apr 4 2009 	 Un buon sistema per conterne costi del soggiorno 
 Mar 16 2009 	 Ottimo rapporto qualità / prezzo 
 Mar 12 2009 	 Génial ! 
 Feb 26 2009 	 Céntrico fácil de localizar económico 
 Feb 26 2009 	 Parfait ! ! ! 
 Feb 21 2009 	 Parfait 
 Feb 6 2009 	 für einen mehrtägigen Aufenthalt London ideal ! 
 Feb 2 2009 	 Buena opción para conocer Londres 
 Jan 19 2009 	 ? ? ? 
 Jan 19 2009 	 Excellent rapport qualité / prix / emplacement 
 Nov 23 2008 	 Excelente relación calidad precio 
 Nov 19 2008 	 comodità e praticità buon prezzo ! 
 Nov 9 2008 	 desastrozo 
 Nov 1 2008 	 Hôtel très pratique et très bien situé 
 Oct 9 2008 	 Giudizio più che soddisfacente per il royal court apartment 
 Sep 14 2008 	 pasable ...... buena situacion 
 Sep 11 2008 	 Estancia agradable 
 Jul 7 2008 	 très bon rapport qualité prix 
 May 7 2008 	 Muy muy buen hotel 
 Apr 29 2008 	 splendido soggiorno al RCA 
 Apr 23 2008 	 Excepcional calidad - precio 
 Feb 16 2008 	 Hôtel fonctionnel et bien placé 
 Nov 20 2007 	 Apartamento Royal Court 
 Nov 4 2007 	 Tres bon choix 
 Nov 3 2007 	 un hat 's trotzdem gefallen 
 Nov 2 2007 	 estado 3 vece volvería al mismo sitio 
 Sep 24 2006 	 Literalmente comido por las chinch 
