everything 	 stay one person , hotel great choice . husband say would absolutely stay ..... long . stay 2 night Thanksgiving 1 year old 2 year old room WAY small 4 we . room stay ( 611 ) much big queen size bed . however , room size aside , hotel great . locate close Subway 6 line . staff friendly helpful . lobby nicely decorate leather couch fresh flower attach restaraunt nice . serve great breakfast croissant , bagel , juice , yogurt , fruit , etc . price , FABULOUS ! find deal internet pay $ 139 / night . however , NYC kill taxis : $ 12.34 / night State tax $ 8.17 / night city tax $ 3.50 / night Occupancy tax . 
 Apr 18 2007 	 great deal great city ... 	 decide find cheap hotel room on - line last minute New York trip . Park South Hotel come & quot ; three star hotel & quot ; available great $ 170 rate . stay , ' m sure agree 3 star ( maybe 2.5 ) nevertheless , happy room & amp ; service get & lt ; $ 200 . price get nice , quiet queen size bed , free wi - fi , free continental breakfast morning . green line also half block front door ! need stay New York City less $ 200 , would gladly stay Park South . 
 Apr 17 2007 	 fantastic mid range hotel ( u will not find well ny ! ) 	 stay hotel 4 night great stay . could ask nice room get complimentary free upgrade tell room small , nice front desk . cleanliness really high standard crisp cotton sheet , beautiful fresh towel nice little toiletry . also get free newspaper every morning . hotel really lay lot special touch free complimentary breakfast 7 - 11am , fantastic - selection yummy fresh pastry , real orange juice , hot drink buffet style eat much like . also permanently stock bowel hershey chocolate front desk ! take laptop get free internet access , otherwise really nice business centre basement ask use . one street e 27th really nice restaurant call Blue Smoke , jazz venue underneath hotel also jazz Friday Saturday . subway corner street Duane Reade ( convenience store ) entrance Park South . 's DVD library use , ask see list front desk . also small gym . finally , read review comment staff friendly . definitely experience one porter really helpful constant question public transport . recommend PATH train ( pick 23rd 14th ) take shopping centre New Jersey call Newport ! really great hotel come highly recommend good central base go town . literally walk New York . 
 Apr 17 2007 	 great hotel - especially price 	 spend age find hotel rate high review mix - see one get good rate site - $ 199 standard twin room 2 bed - room average size ny - ( stay NY time similar London size ) big enough 2 friend - seem newly decorate - great shower - twin bed room large double price - saw clean good sized room ask 2 bed . room face back dark thsi mean quiet - room face street NY noisy - hear much noise room breakfast great continental serve till 10am- staff helpful - great location close uptown shop / museum also easy go downtown boutique bars/ restaurant - subway stop meter away hotel door . would recommend stay - business centre use internet check restaurant etc- dvds borrow feel like & amp ; bar/ restaurant look great - always full buzzy - always eat try food . Les Halles french / american brasserie around corner hotel buzzy good . restaurant tip - always book ahead Sat night - try 15 place full left till Sat morning try themcuba - 222 thompson st great - buzzy smallish live music cigar man great food - 5ninth bar / restaurant 3 storey brownstone townhouse garden meatpacking district LIttle West 12th - near Buddha Bar - also Mai House good Viet / french beautiful decor - cocktail etc great stay especially good value - stay mid APril 2007 . 
 Apr 11 2007 	 Lovely Hotel 	 visit Park South Hotel December 2006 Christmas Shopping trip . hotel fantastic , lovely big room , large bed plenty towel dress gown . staff could not helpful give we resaurant recommendation tell we far tourist spot away book helicoptor ride . hotel centrally locate , everything within walking distance , nice restaurant situate nearby . hotel bar restaurant fantastic lovely meal last night . would recommend anyone stay hotel offer fantastic weekend holiday rate , great area great facility . 
 Apr 5 2007 	 room need Better Light ! 	 nice little hotel , regular room small , superior room ground floor nice , clean roomy . elevator extremely small . room dark , need light . 
 Mar 27 2007 	 Great Value Money Good Location 	 Park South hotel 28th Street , New York , ideally locate anyone want take sight sound city . stone 's throw subway station 's easy get ground . subway line take right heart city - plus 's easy walk almost anywhere Manhattan . for price ( pay US $ 215 tax ) 's great hotel . room huge particularly charasmatic , plenty space navigate bed not feel cramp . , though , room ( quite small ) bath tub , complimentary toiletry nice . bed comfortable , little noise outside guest . tv reception little fuzzy , not go New York watch tv , not really bother . breakfast continental selection meat / cheese , bread , croissant , cereal , fruit yogurt , tea / coffee / juice . perfectly edible good enough set morning . weekday complimentary paper leave outside door . apparently business centre fitness room th ebasement , though could not actually find . sure have ask would show . staff friendly helpful , leave luggage service need check way advance onward journey . all , would recommend hotel traveller want fairly decent base camp , not want pay ridiculous price . 
 Mar 19 2007 	 highly recommend 	 ok upgrade Junior Suite - room BIG , comfortable , huge bed , good bed linen , large sofa , coffee table etc . service acceptable . complaint one bath robe instead two ! ! be bad ! great breakfast throw subway station 1 minute walk . 
 Feb 21 2007 	 great base NYC trip 	 okay , front desk staff not effusive might , breakfast little limp , staff helpful professional , room spotless bed supremely comfortable . week NYC whether business pleasure , be great little place come back exhausted end day collapse room hour , blast power shower head back again . perfectly place middle Manhattan , right next subway line yet beat track would recommend would definitely go back . 
 Feb 3 2007 	 nice little hotel 	 nice little hotel great value . fancy room good shape service good . recommend hotel . 
 Jan 20 2007 	 preferred hotel stay NYC ! 	 become fan little hotel NYC , stay 3 time last 6 month ' m NYC business ! reasonable price pay ( around $ 200 standard queen room , book early enough ) , get really clean room , firm bed , excellent towel & amp ; toiletry , free ( wire ) high speed internet , morning newspaper , & amp ; tv w/ DVD player ! price extremely reasonable hotel Park Avenue NYC . extra perk include Black Duck restaurant ( amazing food , typical snooty NYC service ... think part & quot ; NYC charm & quot ; ) , fantastic Copper Chimney ( India food ) next door . front desk staff always cheerful friendly . think guest may mistake New Yorker charm & quot ; attitude & quot ; & quot ; surlyness & quot ; - say , loosen ! say enough good thing hotel . one minor thing sell quickly ( small property ) ' ve go much pricy hotel ( $ 300+/night ) book late ! 
 Jan 15 2007 	 great little hotel 	 terrific hotel price . tiny room good location , pleasant staff great breakfast . travel NYC every 4 week would definitely stay 
 Jan 9 2007 	 absolutely bad service 	 staff hotel seem attitude problem . front desk staff unhelpful somewhat indifferent 3 week stay , could one expect stay 2 - star category hotel class . happen long business trip contract hotel , otherwise would left one night . bad come right check -- soon charge credit card get money 21 - night stay ( good sum deserve least ' thank stay ' type thing ) , become even ruder instant . tell leave something need go back quickly fetch . receptionist check practically screamed & quot ; mean not clear stuff check - out ? ? ? -- go back housekeeping ! & quot ; exact word . much obvious fuss , say need take copy passport let back ( already one file check ) go back steal something ( want steal towel ashtray , well could done proceeding check ! ) . finally let back another staff follow accompany grab bag ! absolute bad hotel absolutely bad staff probably never receive proper training deal simple guest ' request . never step back hotel advise anyone plan stay expect face rude staff . 
 Jan 2 2007 	 happy stay 	 stay New Year 's Eve positive experience . hotel great location plenty within walk distance plus subway station block . room typical NYC size clean tidy . not take advantage free continental breakfast check seem decent . room normal size towel bathrobe big bonus . downside thin wall could hear guy next room laugh whatever watch tv not big deal . NYC , great deal . 
 Dec 29 2006 	 nice 	 room spacious , although clean . Good Bathroom nice product . the thing get inner room hear air conditiong machinery . girlfriend sleep earplugs problem ( except 1st night due jet lag ) .Location good , be underground right corner . breakfast nice . staff nice . I 
 Dec 29 2006 	 nice stay 	 hello , really enjoy stay hotel 2 night Dec 26 - 28th . Booked Quickbook - 1 qeen $ 149 / night . clean hotel , nice room ( bit small , half closet really ) . onlty 2 night issue . complaint - room warm even heat view . pleased hotel price pay . arrive 1:15 pm get room within minute check ask room away elevator front desk accomadating . ' m light sleeper noise bother . always use earplug hotel matter ' m stay . buy pair drug store around corner . hotel offer discount parking streeet 20 / day . subway 1/2 block convient . lot restaurant neighborhood . breakfast good . complaint . place look like 's brand new . would recommend . 
 Dec 26 2006 	 nice hotel good breakfast 	 stay five night Park South Hotel really like . location pretty good subway stop 1/2 block away . breakfast good warm , fresh bagel alongside slice meat cheese . glass wine one night bar , great . hotel staff helpful time speak , lose post unfriendly staff . problem room ( # 201 ) right elevator , noisy . think pipe make noise first couple night , realize elevator . tired jam - pack day explore bother we sleep . simply would stay room ajacent elevator . overall , nice place , would stay . 
 Dec 5 2006 	 love 	 hotel old world european feel . subway close , price reasonable , room large comparison Midtown / Times Square , lot good restaurant area , great service , cool bar double free european style complimentary breakfast buffet morning . go NYC least twice year work although little bit trek totally worth . 
 Nov 27 2006 	 total Delight ! 	 wife simply perfect stay Park South room 714 Nov. 22 24 , 2006 . everything perfect ( except Thanksgiving Day weather lovely facility help make rainy day- even great free dvd lending library ) . reservation desk ( online telephone easy totally nice deal . check instant seamless , room spotless housekeeping great , bed wonderful soundproof one could ask everything 100 % odor free towel linen among well encounter . room not huge , adaquite bathroom wonderful . breakfast buffet wonderful quality variety hour generous real ( 7AM 11am ) set good believe . door staff bell staff fabulous business center lifesaver forget laptop . check suitcase ( charge ) keep afternoon check dropping picking not take 30 second total . every member staff encounter cheerful courteous delight ! wonderful hotel great location staff nothing reflect credit hotel . stay several hotel Manhattan price range simply league quality service wise . acceptable , Park South complete delight back ! course look forward return try dinner ( two ) Black Duck ( set breakfast buffet lovely venue ) . even nice follow note thank Park South staff perfect totally delightful stay 
 Nov 26 2006 	 lovely hotel good location 	 recently visit hotel twice - four night one night - pleased . one first visit queen size room quite small . would recommend get king size room , upgrade second visit . however , room well appoint bathroom lovely . the price pay include excellent breakfast bagel , meat / cheese , pastry , cereal , fruit , tea / coffee juice . real bonus expect go breakfast day . the business centre offer free internet access . I notice review negative comment regard staff . experience could not different . staff deal friendly helpful , even check 2.15 . complain anything , would bar open late enough . arrive 11.30 pm already shut . 
 Nov 11 2006 	 bad staff ever 	 first impression good . entrance hotel smart corridors/ room tastefully decorate . breakfast include rate good -lot choice good quality . 7 be though , not know thing good later morning . the thing spolit stay hand attitiude rudeness staff reception . anytime make enquiry , make feel unwelcome . enquire tea / coffee available hotel , tell use deli road , worst complete disinter reception pyjama disappear room . I probably would not choose stay unless room rate good , could not refuse . 
 Nov 11 2006 	 Great Location 	 booking hotel , avoid room 108 cost . room back onto extremely noisy A / c unit foyer , people pass constantly . sleep room one night move second night trip . offer compensation , despite voice dis - satisfaction city pride go beyond come customer service . the reception staff hotel extremley rude helpful . infact , rude New Yorkers come across . great location good continental breakfast . room clean although small . 
 Oct 24 2006 	 Good Hotel 	 stay hotel three night . Superior Room small two double bed . internal View face wall make room dark even sunlight . Closet small inadequate . upside clean modern bathroom , tv dvd player ( 200 + dvd 's select ) , continental breakfast ( good choice include room rate . ) subway nearby transport require sightseeing attraction . use cab time . 
 Oct 17 2006 	 room ok ; staff rude unpleasant 	 room fine , although small . staff unpleasant , even rude . front desk unhelpful . bad experience ever . 
 Oct 16 2006 	 good room value New York 	 stay five night begin October book superior queen . pleasantly surprised room - large well furnish . 2 double bed good quality bed linen . fridge , coffeemaker , safe tv dvd . also free wireless internet - however hang space reduce make room desk . ( also free computer access basement include use printer ) bathroom small clean great range good quality toiletry , plenty towel bathrobe . we room service one night Black Duck find food excellent . breakfast adequate , good variety bread - nothing exciting save bother go look somewhere eat . hotel pleasantly decorate print old New York . small library lobby book New York dvd could borrow reception . staff unobtrusive efficient stored case last day without problem . location : right beside subway close Park Avenue . however need use subway , bus cab location mean quite far main shopping area attraction . mean journey involve change train could take quite . far walk time uphill towards midtown . conclusion - good small hotel amenity ( ) large expensive hotel , bit far main tourist area . good value New York 
 Sep 27 2006 	 large Room NY 	 second time stay Park South Hotel positive negative . positive room average large room stay NY . also offer free internet ( cable ) room clean decent standard . on negative side area hotel situate great . street dirty hawkers street arrive via Park Avenue . bit disconcert bit intimidate use live big city . one strange thing breakfast . fairly limited choice cereal pastry put cook meat cheese top plate . vegetarian good ask cheese etc meat give odd look . overall look hotel outside Times Square large room clean okay wow factor large hotel chain . 
 Sep 18 2006 	 exceptional hotel money 	 hindsight wish spend full 10 day visit New York hotel . stay first 5 day remainder Milford Plaza ( regretfully ) . room ( Room 511 ) small double side hotel . view , mean traffic noise either . adjacent Black Duck Restaurant venue breakfast and/or dinner . breakfast continental buffet plenty ! clever light restaurant evening much candle small glass tumbler . give classy feel place together live jazz Friday Saturday night . dinner two occasion well impress standard food . bed sheet change daily , free newspaper internet access , helpful staff .... could go . criticism lack closet space room . 
 Aug 25 2006 	 ok 	 hotel pluse minus end , would say meet expectation price range . on plus side : clean , recently renovate room , comfortable bed , quiet ( room overlook rooftop noisy ) , air conditioning work well , luxury toiletry , good locationOn minus side : Superior Queen room TINY , full length closet - hook wall half length pantry like cupboard , coffee maker request , furniture sitting desk chair bed - use desk chair one else get around room without get - unless cross bed ! , housekeeping always forget something - toiletry , towel , facecloth . . . front desk staff unapologetic cool . service average , friendly welcome , concierge . ok short non - business stay . 
 Aug 21 2006 	 Nice Noisy 	 actually nice hotel nice room bathroom . not really think room tiny reviewer state . agree breakfast buffet great restaurant . stay 4 night begin August . main problem half hotel overlook rooftop cover compressor airconditione / ventilation / heating . not sleep even earplug . first second floor ask move we 7th hope noise level would lower , luck . obviously familiar problem . sleep airplane , will fine . , definitely ask room away side . may also summer problem AC . despite enjoy stay . 
 Aug 10 2006 	 lovely hotel good value hotel NYC 	 spend four night Park South Hotel June 2006 . pay around $ 200 / night queen size room ( double UK standard ) disappoint . room good size , clean , decent shower nice toiletry . look somewhere merely sleep planning spend much time room size room perfectly fine . room nicely decorate bed comfy . aircon unit whilst little noisy ( irritating probably use used get air con unit hotel room ! ) keep room cool . continental breakfast great , plenty choose . staff really helpful friendly . hotel well locate midtown , 10 minute walk Empire State Building , subway station end block make great use . would definitely recommend use subway , cheap easy use save lot time energy , especially day NYC . downside hotel first room ( can not remember room number floor reception desk quite near reception ) locate right next generator noisy . ask reception could move room none available ( arrive 9.30pm last room leave ) . however say would move we quieter room next day would move bag leave room . little sceptical lo behold next day return hotel move size room couple floor . could still generator ' m guess could probably room anyway . impressed generally quality hotel price . would definitely recommend anyone similar budget appear hotel similar quality NYC lot expensive one . 
 Aug 9 2006 	 great hotel reasonable price ! 	 family four adult stay hotel three night August , 2006 . room ( double - double ) generous size expect big window , bathroom bite small . hotel look newly remodel , however slight musty smell first enter room . overall , everything exceptionally clean comfortable . since stay 100 + degree heat wave , concerned air conditioning work great .... get cold midwesterner like ! add plus inclusion well average continental breakfast , coffee maker room , small empty fridge use free charge . staff friendly helpful , location perfect we ... step away Park Avenue subway . would definately stay . 
 Jul 30 2006 	 terrible customer service ! ! ! ! 	 Park South Hotel New York city 28th street bad customer service ever experience . claim offer 24 - hour cancellation option prior arrival . however , call 8:30pm evening , adamant ' late " ( accord person phone , call 3 pm apply ) . charge . explain ( accurately ) never tell call 3pm … just 24 hour prior arrival … and ' arrive 9 pm day check ! ! ! say , " bad . " ask speak manager he / she could call tomorrow … definitely less 24 hour . ask manager ' name ' give one . sad , Park South Hotel New York make money . traveler never stay hotel ! ! ! low rating ever ! ! ! ! 
 Jul 22 2006 	 Staff responsive 	 stay three night partner teenage son . room small , clean bed great . spotless bathroom ( ' m picky ) also small . small people not care . since allergic feather , ask replacement duvet , came immediately remade whole bed , featherbe ( not realize would slept it- would make sick ) . staff lovely . continental breakfast also nice ; great value . pay $ 207 three adult Quikbook . 
 Jul 22 2006 	 great hotel ! 	 hotel great ! clean comfortable . continental breakfast terrific . would highly recommend hotel . 
 Jul 20 2006 	 great place 	 good , clean quiet hotel decent price ( $ 175 ) stay 4 days- problem internet access little spotty , big deal . Continental b - fast boring , . staff pretty cool . 
 Jul 11 2006 	 definitely average 	 recently return hotel think good . stay fancy place , hotel trick quick weekend . friend share room two double bed plenty space . although dresser , small closet build drawer able use . otherwise , leave thing suitcase , fine couple day . room look though recently remodel : bed wonderful duvet plenty pillow , bathroom beautiful white tile everywhere , new fixture pretty crimson wall . night , turn service maid would come turn bed , fluff pillow , put velveteen bag chocolate pillow , draw shade . ( wonderful day pound street city come back ) . daily breakfast fantastic -- many type bagel , english muffin , toast , granola bar , nutri - grain bar , croissant , danish , muffin , cold cut , cheese , cereal , yogurt , boil egg , fresh fruit ( whole banana , orange apple ) , juice , milk coffee . could leave hungry try ! staff helpful accommodate need . hotel also lovely bar restaurant -- Black Duck -- well review Zagat Survey . neighborhood , favorite NYC , good . cafe 28 couple block away -- great salad food bar , well bakery gourmet item . several interesting look indian restaurant nearby , although not try . 4 , 5 , 6 close hotel N , Q , R , W subway block 28th . great value $ 200 / night . would definitely return . 
 Jun 27 2006 	 Happy Experience Park South 	 get back good three - night stay Park South Hotel . quite happy hotel pretty much respect . hotel stylish , minimalistic decor without top . size room fine , especially NYC . location good esp enjoy Gramercy Park / Murray Hill area . ton restaurant within block -- many indian ( hence nickname , & quot ; Curry Hill . & quot ; ) . subway 1/2 block away . free continental breakfast great ( till 11:30 morning ) ! agree reviewer front desk clerk no - nonsense ; def & quot ; cool & quot ; side . still , problem . include small fitness center free computer / internet access small business center low level . nice bathroom soaps / shampoo . got good price Quikbook ( $ 200 / night ) . recommend . 
 Jun 25 2006 	 cheap worth low price ! 	 wife spend 3 night Gramecy Park hotel Memorial Day week - end 2006 . last minute get away , want frugal expensive city . primary motivation behind decision book hotel . pay $ 185 night extremely reasonable Manhattan . stay Park South Hotel , wish spend money well hotel . the room unbelievably small even New York City . peer around room attempt locate closet , finally realize none . leave clothe suitcase hang wear day hook extend wall . past midnight arrive usual New York airport delay , we bit hungry . know city never sleep , ask person tiny front desk ersatz lobby restaurant might open hour , warmly helpfully tell we walk Third Avenue see open . thank . unfortunately , one place serve food 1:00 A.M. Friday night section Manhattan . eventually go 24 hour grocer buy munchie eat . although bathroom great shower & quot ; rainfall & quot ; shower head , miniscule place put toiletry . also use suitcase store toilet article . bathroom particularly clean , frightening look stain wall . air - conditioning room work first arrive , seem hotel decide turn night . thus , room uncomfortable sleep . Ambien help we get rest . try use work room morning , discover one treadmill , one step master , one weight machine . wife allow usurp treadmill , work . however , air - conditioning basement room , almost pass heat exhaustion . positive side , hotel restaurant cute live music . subway block away , visitor could get go quickly . however , inclined take time , wife would switch hotel . yet , three day city , want waste holiday look another hotel . recommend Park South Hotel . bright color , nice towel good shower head excuse ridiculously tiny room , closet , lack service , general grunginess . Park South Hotel one step basic hotel might suffice 20 year old . 
 Jun 21 2006 	 Nice Hotel 	 sleep hotel 3 night . situate well ( subway station near hotel ) . hotel clean , nice decoration . hand room little bit dark . otherwise room pleasant . the staff competent nice . problem bathroom , evening person come repair . room clean day . restaurant nice , breakfast good . the last day , reception confirm flight company . guard luggage morning , call taxi drive airport , afternoon .. good stay . recommend hotel . 
 Jun 20 2006 	 great value 	 come back 4 night stay Park South Hotel Murray Hill : would recommend heart beat . $ 182 night ( great price NYC ) big room , two double bed . bed excellent , linen bath product . breakfast include far away well ever encounter continental breakfast : include hard boil egg , selection meat cheese , yummy pastry , fresh fruit , well two dedicated staff keep refill throughout morning . front desk staff friendly helpful . downside lack closet space location bit beat path : discover , though , could walk couple block west jump direct train Times Square theatre district . oh ! hotel air conditioning work amazingly well , important since first heatwave season . 
 Jun 9 2006 	 Nice hotel comfy bed friendly staff yummy breakfast ! ! ... 	 return trip NY stay Park South Hotel seven night . really convenient get around Manhattan . subway line within yards hotel mean not worry cab . the hotel staff friendly make we feel really welcome provide we advice get good deal excursion . small problem toilet , get block , staff immediately upgrade we large room rest stay . room keep really clean air conditioning pretty good . the breakfast also good . great selection bagel , croissant , pastry , muffin , fruit , cereal , tea , coffee fruit juice . plus , be chocaholic , keep huge bowl little chocolate reception , much appreciated energy - boost ' ve walk around city . if visit ny , would hesitation return ! 
 Jun 6 2006 	 nice hotel 	 Group four girl shopping trip NYC location important - good central hotel . be quite near Empire State building 's good landmark be try make way home ! breakfast include price - eventhough 's Continental ( cook pancake like ) , massive amount food choose - bagel , different type bread , cereal , yoghurt , tea , coffee , etc , etc .. room clean always nice tidy get home evening ( mean feat give amount shopping bag mount day ) . lovely little bar / restaurant open evening cocktail reduce ' happy hour ' often nice way relax evening head dinner . not eat restaurant can not say like . overall , would much recommend hotel great base stay ny . 
 May 30 2006 	 stay enjoy insult humiliate 	 room adequate money location good , customer service non - existent fact , employee rude outright insulting . morning check , request copy bill . front desk associate , tell could receive copy bill , could even review . important tome business trip submit expense . employee continue argue , ignore . decide leave let accounting dpeartment follow - up billing later . as walk two three foot away front desk , employee loudly say , " Stupid b * % ^ $ ^. " turn around , walk back desk , say shocked hear . try maintain calm demeanor , give front crowded lobby guest , embarrassed amount attention . employee say talk become belligerent . repeat could say whatever want speak . clearly , good frame mind insist speak hotel manager . the hotel sale manager come front desk make situation embarassing stand next employee ask problem ( , front large group guest ) . say would handle situation . I add day prior , ask borrow umbrella tell go corner store buy one . I return Park South Hotel . unfortunate hotel room fairly decent prior reviewer mention , plenty hotel New York good customer sevrice . 
 May 21 2006 	 Fed ... 	 ' ve stay Park South 6 7 time primarily due location perfect need . unfortunately , ' m going look elsewhere next trip Gramercy area . room decent price , ' m feed unprofessional incompetent staff hotel . upon last stay , executive King room reserve . enter room two double bed handicapp accessible . tell front desk executive king ! ! wow . another employee tell request & quot ; Must King & quot ; even though reservation exec King . stupid . ask restaurant reservation city , woman desk say : & quot ; want make reservation ? & quot ; understand NYC know butt - kissing , staff downright rude . only bellman recognize previous stay , one lone bright spot staff . would figure would something system ' m regualr guest place something . the room decent , probably good deal less $ 200 hotel include nice buffet breakfast , anymore would not . many property city courteous helpful beyond expectation . will find aggravation place good reason . 
 May 12 2006 	 Mice Room ( four Times ) 	 mouse room FOUR time . move another room room exterminate , move back ; mouse crawl table ( usually night time . ) mouse try get little bag chocolate Park South hotel use leave bed . long p ; ut chocolate bed simply mice . switch room 5 time sleep different hotel one night . front desk people not nice . get big room stay long period time . stay weekend , suggest sleep somewhere else . whole staff could believe happen four time . fourth time , Marcello Munoz general manager stop reply issue . reason occur many time company put one full month . promise general manager promise ( compensation ) fulfil . unhappy . 
 May 9 2006 	 Nice hotel 	 nice clean comfortable room excellent price . restaurant downstairs good . stay 1 night , can not comment 's location . room not small expect . 
 Apr 26 2006 	 nice place 	 nice place , clean , helpful officer , good breakfast ton choice , even borrow dvd internet room . highly recommend . 
 Apr 24 2006 	 wonderful stay ! 	 read hotel travel magazine , read positive review decide book stay Park South . husband ( two daughter ) spend four day three night Park South -- wonderful expect . appear ro problem reservation arrive -- immediately take care rest stay without glitch . room nice size , clean well keep . yes , bathroom small , experience nonchain , unique NYC hotel . really -- not big deal ! bathroom keep really clean , -- big deal ! hotel great find , would highly recommend anyone want stay neighborhood area , way bustle usual main area city . everything walkine distance , sacrifice none convenience near main avenue . also wonderful breakfast buffet every morning great touch , much appreciate able start day leisurely fashion . great find ! 
 Apr 20 2006 	 Loved Park South 	 stay Park South Easter . room clean , linen towel quality excellent , room individual heat AC control . convenient 6 subway line . good dining area . would highly recommend . 
 Apr 19 2006 	 room without view .. care everything else near perfect 	 pleasant surprise ! ! ! hotel great value . criticism . check - in check - out pleasant efficient . room well appoint maintain reasonable size ( nyc ) room 2 double bed . ask quiet room , nyc , mean room back face another wall window .. be ok quiet sleep like log comfortable bed . bathroom nice size lot towel soap etc bathrobe . internet connection provide room . problem laptop accessing internet phone front desk within minute get call person talk problem fix problem . breakfast good lot variety juice , bagel , muffin , fruit , coissant cold cereal set bright cheery restaurant main floor . newspaper leave door morning . finally concerned somewhat way midtown theatre upper manhatten site usually attend . problem ! ! 28th street green line station one - half block away give easy quick access Times Square atc . highly recommend 
 Apr 9 2006 	 good place stay 	 hotel call 4 - star , be would expect AA - rate 4 - star hotel UK . say , be comfortable , staff friendly , be excellently situate Mid - town Gramercy could not close local train 6 line . do not expect large room , small , well appoint nicely supply . Cupbaord space minimal least contain safe iron ironing board . fre continental breakfast plentiful varied well worth take advantage . broadband internet access free -- ask borrow lead reception , 24 - hour use business centre basement -- printer photocopi available free charge ( doorman let ) . staff friendly helpful . doorman / bellhop let leave back even ' ve check book limo / car JFK ( handy via midtown tunnel close - by ) little cost taxi ( much less traffic - heavy time day ) much great comfort cab . all , good place stay . 
 Apr 7 2006 	 wonderful hotel ! 	 husband also stay room 708 ( see recent review ) -- yes , room small ! however , not mind size room hotel great respect : decor amenity modern , stylish , clean ; staff courteous professional ; continental breakfast fresh delicious ; location terrific -- 1/2 block subway surround amazing Indian & amp ; southeast asian restaurant ( try Chennai Garden ) ! would happily stay , would recommend anyone look NYC hotel . 
 Apr 4 2006 	 Trusted Staff 	 stay Park South Hotel . use hotel room safe . today someone call tell forgetten jewelry , credit card , money inside safe ! ! ! ! costume jewelry , insignificant amount cash ! ! call , tell everything leave arrangement mde send next day air ! ! amazing ! ! nice small hotel , close New York City 's garment district , room adequate size newly furnish . also free european breakfast day last 10 day . hotel gem , location great . midtown Gramercy Park . thank Park South top hotel call guest report valuable leave ! Karen V . 
 Apr 4 2006 	 arrive disappointed leave satisfied 	 boyfriend stay Park South Hotel NY 17th Mar 2006 - 21st Mar 2006 . already read review Trip Advisor prior travel prepared expect - case small room , comfy bed , non - existant closet space , nice boutique touch good breakfast . however , expect room small . literally , open door , bed ( queen size ) right . front we . barely walk two step bump . room put suitcase grant , three time size boyfriend 's , 's point . closet space actually make gasp loud point room boyfriend could pass without brush past one another . grant , bed comfy , room nicely decorate flash LCD tv dvd small . sleep night nice - still winter NY , room cold keep bit heating room sooo small , end feel suffocated night . luckily , follow day , realise still could not find safe ( room suppose safe ) , call reception say would move we afternoon . pray would get upgrade , see cheekily ask upgrade even check - in ... seriously doubt . newspaper morning lovely touch , sure enough go downstairs breakfast , lovely . quite possibly good hotel continental breakfast spread ... quite compare ! staff lovely , every one befriend boyfriend talk anyone everyone meet ! day 's shopping , new room turn ... grade , touch big , due 's location within building . not care , time could actually rest suitcase floor . obviously , slight extra space safe , thing go - not get nothing free ny - closet space even laughable , television long flat LCD screen old rounded style . still , end happy room - expect first place , room . Breakfast continue pleasant every morning , staff courteous professional facility perfect . free dvd nice touch - complain DVD player breaking , buy replacement tv promptly next morning ... yes , guess , flat screen LCD tv ! ! leave happy . oh way , beware room 708 , room 714 , door much pleasant ! , could pay buck get luxury room ! 
 Mar 30 2006 	 hide gem 	 boyfriend get back spend 3 night Park South Hotel . impressed hotel wonderful experience . book Standard Queen room 7th floor . room small stand - up shower bath make aware reserve surprise complaint . want something spacious superior sized room additional $ 80 . everything , inside outside room keep clean bed comfortable . cable tv , in - room iron safe nice bath product bonus . not problem temperature control reviewer find heating easy adjust maintain . Breakfast , include booking , cold buffet enough variety sustain we late afternoon . location great , close Park Avenue quiet street subway stop corner . $ 150 US ! definitely stay Park South next visit highly recommend other travel New York City . 
 Mar 28 2006 	 great find ! 	 size room , Park South Hotel compromise absolutely nothing ! stay 3 night , service impeccable ! jump 6 train , anywhere matter minute - convenient ! , also , eat dinner consume cocktails hotel 's Black Duck . phenomenal ! highly recommend spot everyone ! 
 Mar 27 2006 	 Great Weekend Escape ! 	 stay hotel find great deal , price well around . return real gem . room small , yes , functional immacuately clean ! bathroom spotless thick , luxury towel amenity . small restaurant great , romantic live jazz band glass wine . free breakfast awesome plenty everything , deli meat cheese excellent , muffin danishe ! complaint room stifle hot night . window crack unit a / c coolest setting . 30 be outside , could life we figure heat come ! call front desk immediately bring fan help immensely . noise traffic ( even window crack ) . subway station block . eat Copper Chimney dinner indian food first time ! wonderful time can not wait return ! 
 Mar 7 2006 	 Nice find 	 travel NYC week stay every month , always look next cool , hip hotel reasonable rate ( Hotel Rivington , Maritime , etc . ) . decide stay Park South little reservation ( not hear anything good bad ) . pleasantly surprised choice . hip trendiest hotel NYC , & quot ; scene & quot ; also accompany hotel not present either ... good thing . location convenient Park Ave . S. Union Square area , hotel tuck block quiet street . room sizable NYC , , clean ... bathroom spotless . room decor basic non - hip , nice . staff nice enough , though upon check notice give third floor .... street face room . ask traffic noise problem , could move high floor . staff responded say & quot ; New York City , expect come & quot ; .... offer move , consideration issue . reason ' m give hotel excellent rating . room end quiet way . anyway , good hotel not seem & quot ; radar & quot ; many trendy traveler ... yet . would characterize nice boutique Marriott . 
