great 	 good location step euston station . fall pretty much endless .. starter staff rude unfriendly , heating work room absolutely freezing , tv work even though 15minute policy get problem solve time stay free .. even 3days several complaint tv never fix hey guess not get stay free . clean staff must say friendly helpful walk room willy nilly even knock .. catch towel twice . stay Ibis UK must say ibis worst ever . 
 Perfect location 	 book online get rate £ 63 night double room , room . less 50 metre Euston . room adequate short stay spotlessly clean . staff helpful . difficult ot fault , hot night air con sure summer . 
 excellent value money london 	 stay total 5 night break 3 set stay . since 5 us-2 adult 3 kid , take 2 double room . book everything online take fully prepaid option rate quite cheap day . room clean , comfortable , nice shower get pay . Centraly locate - near Euston Euston St Pancras station brlliant get around London . lot nice eatery around hotel breakfast good value money especially prepay . kid breakfast free good . interconnect room somehow trouble allocate we despite repeat request . finally inadvertently put set one night persuade open connect door . room modern other . last night think problem plumbing / sewage one room water would not go . front desk littls shortstaffe always long queue buildup checkin checkout even enquiry . but would consider major get room thing fine hotel promise do - give good value comfortable accommodation Central London book online get good rate - I even get couple night 60 + pound per night per room consider steal London ! 
 Aug 14 2007 	 great weekend deal 	 exactly say tin . partner ( 22 25 year age ) stay weekend . book hotel internet get weekend deal £ 162 , good price London . usually stay hilton seem get pricey late high standard past . however breakfast include £ 6.95 , day one nice especially bread , serve full english , crossant , fruit juice , coffee etc . arrive hotel little early friday ( 11 am ) decide see whether could check . reception extremely friendly polite , exactly like phone rang chek confirmation everything visit . could check still clean room put bag hold area side go look around local area arrive back half past twelve check straight away . room little date good condition , hotel currently go refurbishment see one look excellent . brand new Phillips flat screen television room show usual channel news . towel change daily could request need . tea coffee supply room . shower bath . hotel bar open till 1 am morning also order snack etc throughout day resturant open . sky sport bar downstair movie sport package purchase room . location hotel . enterance Euston Station Underground across road . underground line northern victoria . west end quick ride northern line . local area plenty Oxford Street , king Cross Museums walk distance . also walk Covent Garden 20- 25 minute . hotel recomende partner . 
 Aug 9 2007 	 Aggravating 	 hotel basic acceptable . breakfast obstacle course small dining room . main problem book procedure online reception staff . one specify type bedroom require online . want twin room offer double arrival , twin smoking ( allow ? ) non - smoking twin . take half hour sort pay advance . leave another tussle reception tell have underpaid despite pay agree amount arrival . sheet not change . hotel really need teach staff relate human being ( English ! ) rather computer . also , one sit lavatory side - saddle - toilet roll holder way ! 
 Jul 28 2007 	 Basic Clean Quiet Good Value 	 Ibis Euston good overnight stop central London . clean room . good facility . convenient location . Adjacent Euston station , ideal stopover 5 minute walk lot decent pub Camden Town . eat breakfast include room rate really pleasantly surprised . fresh bread croissant would put 4and 5 star hotel breakfast table shame . unexpected bonus ! staff friendly efficient check - in check . 
 Jul 26 2007 	 bad start finish 	 whole process book hotel check leave awful experience . change booking rang amend date . soon receive notification charge show . call emailed get positive response . eventually get sort . booked room night early check fly Oz . arrived greet ' you show last night ! ' despite confirm arrival information phone email . rude unhelpful staff moment arrive . room tiny , dirty blood stain / mark wall . poor ventialtion terrible street noise . departure rude staff limit command english inform us rate charge wrong pay suppliment ! . would advise anyone think stay look around well hotel near room rate never worth hassle . 
 Jul 23 2007 	 ok London 	 hotel idealy situate 50 m Euston train station easy access capital . it basically no - frill hotel basic facility . room quite small need updating . hotel bar restaurant seem ok , although fancy drink get back hotel late night / early morning luck bar close around midnight . in general , hotel not bad London really . be relatively cheap , be clean , busy , safe locate close tube . would go back ......... keep budget main concern . want well quality stay need pay . 
 Jul 23 2007 	 good value money ! ! ! ! ! ! ! ! 	 stay Saturday night Ibis Hotel Euston say get good value money pay . we look low budget accommodation , pay 72 pound night ( breakfast include 7 pound ) say impressed . usually London difficult find good hotel disappointment - free Ibis perfect we . the reception helpful polite , room clean , important toilet clean , breakfast great serve till 12 location perfect hotel close Euston tube station . you also use ironing room 2nd floor new iron provide make handy option . complain make hair dryer like kids toy , travel wife / girlfriend /partner planning go fancy night make sure bring hair dryer ..... would decently go back ibis next time will travel budget . 
 Jul 16 2007 	 Great Reasonable Hotel London Tourists 	 fine stay Ibis Euston . hotel within sight Euston underground station , also serve Britrail station , make handy base outing London , . Euston Square stop around corner , five minute walk . 's ten minute ride underground , say , Picadilly . far - enough busy center town plan use underground get anywhere . , 's & quot ; town & quot ; anything . 's relatively - quiet neighborhood flat , shop , office building ... wall - to - wall indian restaurant , look pretty good ( not go , though ) . price pay ( 140 US night , ibis 3 - night deal ) , can not beat city expensive London . this second ibis ' ve stay , find expect : clean , comfortable , business - traveler friendly ( wifi ethernet internet access , generous desk space , good size - room , 24 - hour check - in 24 - hour food service , plus full restaurant bar ) . pretty - much exactly one stay , know negative factor case . , be go to confidently count something book room , be good able count someplace clean , functional , professional staff . the problem encounter breakfast : be hard know overwhelmed understaffed . visit one busy weekend imaginable London ( Grand Prix , Tour de France , Live Earth concert , Wimbledon happen ) , place cram gill ... ' m inclined cut slack . , breakfast kind mess , lot people wait around thing refill ( cutlery , juice , coffee , milk , glass , bowl , name ) . staff look like genuinely try keep , everything ultimately refill ( eventually ) , not run hot food item , seem like could literally count nothing come tug dispenser . beyond , complaint would room bit noisy ... could hear people hall pretty easily , though third floor , outside noise noticeable . , would recommend Ibis Euston reasonably - price hotel London whatever people need want . 
 Jul 10 2007 	 cheap simple ok 	 look something cheap , clean acceptable accomodation London Ibis Euston recommend fellow worker mine . hotel good location , 1 min Euston underground station . room clean reasonable size , little 80 's style , absolutely acceptable . room not noisy bathroom ok well . reception little bit slow , check take quite lot time , think avoid ' rush hour ' ( around officially check time ) , alright . breakfast pretty good , recommendable ! 
 Jul 5 2007 	 quite good expensive Ibis 	 stay price London hotel go roof Wimboredom Tour de France £ 95.00 reasonable option . increase price occupancy increase bit disappointing ibis one thing always admire lead return fix price . room good size , comfortable quiet . frill approach also apply breakfast . would go back say disappointed seem go away usual policy price . stay Ibis hotel many city example Ibis 's Berlin , Dresden Munich offer much well value money , good point view value money . pay much hotel Britain ? 
 Jun 29 2007 	 close tube ! 	 priority book hotel London : price , clean , location near tube . Ibis Euston meet three . tube literally block away . room clean easily accomodate 2 people luggage . price fine term London hotel rate . & quot ; air conditioning & quot ; fine early June . room quiet . safe room . front desk staff totally unhelpful internet policy / availability terrible . overall fine base explore London affordable price . not expect good service ammenitie . 
 Jun 24 2007 	 good location value money 	 stay hotel 5 time , annual xmas shopping trip london friend , hilton , room decent size 2 people ( tonne shopping bag ! ) always book hotel directly london hotel bad price , main draw hotel location , litterally round corner euston station . easy get , access train , tube taxi without hassel . bar food area entrance level , good service reception staff , 
 Jun 24 2007 	 good location 	 stay 4 day April 2006 . like location right next Euston Station . near main attraction good walk get reasonable amount time . room basic , no - frill , job . internet available lobby 2 computer ( fee ) .Food so - so , eat breakfast ... would recommend hotel look fairly cheap hotel good location do not want / need lot extra . 
 Jun 21 2007 	 central location budget 	 stay 2 night boyfriend mother , disabled . great location want near Euston station ( handy , like , travel Manchester ) want central location will not break bank . fairly basic , one would expect , comfortable enough want bed night . Breakfast include , plenty place e.g . wetherspoon station close not wish pay price hotel charge . food evening hotel perfectly edible , although obviously many restaurant London could go - go boyfriend 's mother tired travelling . the bar area nice good selection drink comfortable seat . obviously be central London , can not expect peaceful night 's sleep , business guest get quite early clatter around , overall happy stay - got pay acceptable . 
 Jun 17 2007 	 go ! 	 ' ve stay twice would highly recommend branch Ibis chain . well price large hotel 's doorstep Bloomsbury right next Euston rail / underground station . also favour fact hotel relatively quiet location 's main Euston Road . public area good order bedroom well design , air conditioning , double glazing , reasonably sized en - suite . internet available via multi - media set - up room - even not laptop - extra cost . , restful night 's stay . excellent , plentiful , well price buffet style breakfast . staff reception quite friendly helpful . Ibis ( present time ) 15 minute guarantee sort problem stay ! ! 
 Jun 3 2007 	 clean no - frill option good location 	 pay £ 76 room call hotel directly day ( friend wedding enjoy much do not want leave early get last train home ! ) book online rate £ 60 though . I think reasonble clean room comfortable bed , warm shower tv within 20 minute central London attraction . room pretty similar chain Travelodge , day Inn etc bit & quot ; modern & quot ; look . Breakfast include available 6.95 ( continental ) enjoy well breakfast cafe similar money . good option someone be not interested pay extra luxury hotel bell whistle , £ 76 rate be not good value try book online . 
 May 29 2007 	 Great Location 	 numerous stay London expensive hotel never live expectation decide try chain hotel visit . the hotel great location within 2 minute walk Euston Station , Euston Underground 5 minute king Cross . cost stay 2 night really good well , good value money . hotel nothing fancy room clean , bed change daily bathroom also clean shower could upgrade . hotel set back main road not get much noise either . the staff friendly helpful amenity within hotel fine . would recommend hotel anyone want somewhere stay London not price , dirty beat track . 
 Apr 19 2007 	 good hotel . great rate 	 price location , still think hotel great London . I ' ve stay time ( review ) want say breakfast price reduce ( £ 6.95 , bargain cook buffet ) find great curry place Drummond Road . Raavi Kebab superb . unlicensed , dirt - cheap badly design ( look closed , be ' ve never ) food great . good vegetarian place stretch place Drummond Villa opposite ( average ) two meat stuff well . not romantic good , particularly be business . could said hotel well . 
 Apr 3 2007 	 Basic 	 hotel book last resort nearby Premiere Travel Inn Novotel fully book . this hotel basic , bit like school trip kind accommodation . room two twin bed pull together thedecor cheap make Travel Inn seem 5 star clean . room adjoining door though cupboard open , occupant next door hear open open face eachother disbelief . ' m young woman 5 month pregnant happy security lap . reception appologetic arrogant offer put smoking room .. ' m pregnant ! take someone go lock door . wake underground train morning ( something not happen Travel Inn Novotel loud ) . get hairdryer reception mirror plug hair . breakfast fine want light breakfast ie coffee toast . evening meal Prezza Euston Road great pizza pasta dish . 
 Apr 1 2007 	 good value excellent location 	 acceptable accommodation , sensibly price , although buffet breakfast little expensive . location handy anyone use Euston station . you know be get Ibis , hotel meet every expectation . staff friendly helpful . 
 Mar 6 2007 	 quiet room back 	 checkin ask quiet room give one back second floor . quiet enjoy good night 's sleep . even weekend discount , breakfast expensive buy . place Euston Station across road . walk British Museum , five minute , eat breakfast Great Court . IBIS plain , simple , moderately price hotel . fine quiet . 
 Feb 26 2007 	 Basic Clean Chain 	 ibis low end Accor Hotels brand ( basic Formulae 1 ) . Ibis Euston right next Euston Station cheap ( London ) , clean , functional hotel - especially well situated travel London train north midland . within short easy walk hotel access tube line , Euston Station , wealth fast food newsagent stand . the hotel basic , clean functional , let face , London really need go spend much time hotel . bar cafe / restaurant site ( although not use ) . room clean TV , coffee make facility , double bed , extra single bed , air conditioning , modular shower room consist brilliant walk - in shower , small sink cramp , usable , toilet . nb . shower room wall thin , bed partner use shower toilet .... would well turn tv ! ! bed clean adequately comfortable , high quality , check first give old room ( stayed & quot ; new wing & quot ; ) .There frill ibis , well couple night rather week two 's stay . ibis cheap , simple clean - Perfect budget weekend away ! 
 Feb 21 2007 	 decent stay 	 stay two night week . room ok , exactly ibis . unlike Ibis stay Bern bar operate around clock edible snack . decent think rather tasty breakfast . overall , decent stay . 
 Jan 1 2007 	 stay must - - - look around first 	 ' ve stay Ibis Euston 2 occasion , mainly business bit pleasure stay go weekend . see ( price location - wise ) one might choose stay Ibis Euston , far service room quality go , Ibis Euston fall mediocre . weekend brunch so - so . might well go bagel stand Starbucks front Euston Station . occasion stay , attitude front desk indifference . real interest , especialy let know iron ironing room stain damage white linen blouse black goo ( result iron clean regularly ) . half dead response & quot ; oh really ? will someone look & quot ; . Ughhh ! ! ! tip use hairdryer ... none room , however get one front desk . literally - get front desk ... make sure ask one shower not go front desk drip wet hair . like say - stay must ... personally avoid . tip : also nearby Premier Travel Inn . bit expensive , waaayyyy well . 
 Dec 15 2006 	 Excellent stay good 	 regularly stay away work London hotel last time stay couple year ago . impressed time level service . usualy hotel full , check last minute . three night stay excellent start finish . staff consistently friendly helpful . room improve - stay new block ( lift leave reception desk oppose old block opposite reception desk ) .I ' m actually write review last night staying room . excellent interactive web service - £ 10 24 hour gain full access ( ) fast internet movie . apparently ' special ' offer ( perhaps bit like travelodge ' special ' offer go 3 year ) . work late last night take advantage late breakfast serve 12noon . little basic , croissant , pastry etc - good coffee juice - wanted . , excellent stay clean comfortable hotel good access tube . highly reccommende someone stay several London hotel . good . 
 Dec 2 2006 	 good value 	 pick hotel location . go Ibis website , surprised find 3 day weekend special unbelievable 54 pound night . hotel clean ; room small terrible bath decent size . think great value convenient northern line tube station . would definitely stay . 
 Nov 21 2006 	 Excellent value money 	 husband return three night break Ibis , London Euston ( 17 - 20 November 2006 ) . book direct Ibis website pay £ 162 stay , take advantage & quot ; third night & quot ; offer ( two night £ 144 add third night £ 18 ) . although rate include breakfast continental style buffet available £ 7.50 per person ( take ) . exit Euston Station Left Luggage ( right hand side leave platform ) come immediately front Ibis . check hotel seem little long wind receptionist also cover phone room within 10 minute get train coulnd't grumble . room size average chain hotel ( compare Travel Lodge , Holiday Inn Express , Premier Travel Inn etc . ) clean comfortable . complain anything hotel would room hot adjust climate control dial seem make difference could open window let air . room make morning clean towel tea coffee supply replenish . little concerned hotel centre London use tube station Euston across road could centre London around 10 minute . pleasant walk Bloomsbury get we centre around 15 - 20 minute , make hotel 's location extremely handy . past stay good 4 star hotel ( Thistle Charing Cross , Chesterfield , Mayfair , Berners , Oxford Street ) would hesitate return Ibis future represent excellent value money . 
 Oct 12 2006 	 nice place 	 stay 4 night partner ( 5th-9th oct ) get away birthday impress , unlike previous night Manchester Ibis . nice travel distance ( 2 min walk ) Euston load place eat like Burger King & amp ; Harry Ramsdens Express Marks & amp ; Spencers food , also handy shop like boot . stay 4 day use tube alot suggest get weekly pass , come Oyster Card easy touch n system . I would deffinatley stay , although get lose trying find , one road run directly another ! ! 
 Sep 27 2006 	 guest ? 	 arrive hotel , assume reasonable friendly reception staff , actually interested guest . none . head reception team unfriendly ( def . dismissive ) one member staff ( Mr . ... ) across stay reasonably rude ignore guest front desk , pretend busy random paper work , treat guest liar . would listen interested information anyway . resulted repeat everything + one case despite proof payment try make poor person pay , receive copy something see twice people check , take extra time read . much rudeness arrogance guest never experience . room superficially clean housekeeping supervisor ( likely sub - supervisor ) rudeness carelessness beyond description . in opinion , guest complaint officially , problem - hence obviously dirty wall soap box glass ceilling problem nobody seem see nobody complaint far . wonder much pride 3 take job . thumb however dutch receptionist , polish receptionist reception member , dress polo shirt . present people job like excellent job . 
 Aug 25 2006 	 drop standard 	 repeat visit . normally excellent option London . staff attitude change . efficiency replace rude , abrupt arrogant service . also confront construction work noisy . ( indication booking ) pity good value hotel London . will not stay 
 Aug 22 2006 	 great location value money . 	 stay Ibis Euston 6 night course London . the hotel conveniently locate near Euston station , Oxford Street underground station mere three stop away , plus stroll day ! lot fast - food chain restraint like Mac , Burger King small indian food takeaway . Marks Spencer simply Food couple min away walk too . the room clean , modern small ; bathroom bathtub fine . service fine well staff reception . two pc 's reception area internet use fee . an english breakfast would cost 7 GBP , worth ! overall pleasant stay . 
 Aug 17 2006 	 good value CONVENIENTLY situate . 	 one good value hotel London many year . straightforward , clean , modern , unpretentious , well - site motel ( garage parking underneath chargeable secure ) . Adjacent Euston mainline station London Underground station . Leicester Square within 15 minute tube -- heart theatreland -- good connection main tourist site . breakfast typical Ibis buffet -- good adequate rather extra special . room compact ( well many London hotel ) air condition , standard bathroom . decent bar area foyer . efficient check - in . why pay extortionate price elsewhere luxury will not time appreciate ! 
 Aug 6 2006 	 reasonable Hotel Good Location 	 find hotel local Metro ad , advertise GBP10 per night period interested , place reservation . imagine surprise rate pay end rack rate . hotel manager & quot ; kind enough & quot ; & quot ; force & quot ; offer 2 4 night stay emailed clarify point , end pay GBP20 less , give pricing London , guess average rate GBP70 night sound reasonable enough . next , forewarn hotel air - conditioning , though advertise ' climate - control ' room , absolutely idea mean . airconditioning seem ground floor lobby comfort reception , guess lucky weather none hot ! room bathroom ok , rather small . enough space wife walk around bed without knock feet . Wardrobe rather pathetic tuck awkard corner room near window . fridge either , go breakfast wish pay like GBP7 eat breakfast since way could store milk room . staff also rather friendly helpful , though tendency start service room early morning , prepare someone budge room sleep late ! save grace could think hotel location , right across Euston station around corner Euston Square station , thereby make convenient spot move around . my conclusion : one fussy accommodation basically look place rest night , hotel might suitable . anything may find well alternative search hard around . 
 Jul 30 2006 	 great deal central London ! ! 	 attend conference London June 1 - 4th ( travel budget 500 EUR include flight ...... ) , choose Ibis Euston read review site . positively surprised , since room bathroom clean ( tiny expect ) offer comfort find U.S. motel . room keep simple , decent shape ( especially consider price location ! ! ! ! ) . Euston station right across hotel underground stop within short walk hotel ( i.e . access underground line ) . check check hassle whatsoever . thing bit inconvenient one electrical socket room ( none bathroom , either ! ! ) . though water cooker coffee tea , unplug T.V . boil water . , however , room hotel general ( reception area , restaurant , etc . ) perfectly fine . would definitely stay ( price can not beat get ) would recommend anyone travel budget . 
 Jul 22 2006 	 okay - great 	 good thing Ibis Euston convenient location next Euston station . next well relatively good price London hotel . room bed small , wardrobe also . breakfast exorbitant nearly seven pound , particularly appealing , either ( dry egg , old fruit , unappetizing bread ) . bar expensive uncomfortable . blatant stinginess overlay service amenity . , take breakfast elsewhere , go outside pub , prepared scuffed shin crowd little bed be okay . 
 Jul 18 2006 	 Convenient 	 room bit tired grubby , though bathroom clean . very convenient Euston 2 min walk ( look unsigned back door ) , St Pancras 15 min ( 10 min front entrance reopen ) King 's cross 15 min . plenty tube link Euston Euston Square . price hiked , tell reception , ' lot event week ' . agree early comment small room , also hair drier , pen / paper toiletriesbreakfast ( extra ) good - lot variety , available wide timespan unlike hotel . would return , passable convenient . 
 Jul 17 2006 	 could lot well 	 2 star hotel reasonable opinion would take much make 3 star . the location excellent tube hotel clean . my gripe really breakfast . the plate like saucer , unless get early food cold toaster joke . I go get hot food twice , first time ok , second time everything cold consequently inedible . the toaster burn one side side still white . there problem 2 coffee machine put right immediately . in retrospect would well cross road get breakfast underground problem could easily rectify management thus make hotel reasonable . I would recommend hotel would eat future . 
 Jul 16 2006 	 good value London 	 give exorbitant price London , Ibis Euston great value . situate within walk distance Euston station , hotel modern convenitently locate . little put could offer comapnion double want twin . tell call ahead get twin room book website offer option . the room adequate clean . tea coffee mae facility fairly generoud selection tv channel . bathroom fine except toiletry staff obviously top show gel dispenser ! . think good value London . 
 Jul 10 2006 	 great service London standard 	 ' ve arrive first trip London ' m happy Ibis Euston hotel . ' ve book double room , 2 week addvance justa day arriveal faxed get back answer confirmation reservation . overall , hotel good price . room bit snall compare country ( rate star ) , clean confortable . Bathroom ok . will use service , sure ! 
 Jun 22 2006 	 great ' stop ' Hotel 	 can not count number time ' ve stay Ibis London Euston . every time travel city stay hotel convenient . fall train hotel . the hotel basic ( bar * * expensive ) 's typical Ibis accommodation - ie . sparce generally clean . fair number nice place eat Euston road not eat hotel 's resturant breakfast ok ( great ) .there 's Orange France Wifi network work every room ' ve high cost ( £ 6 / hr ) put say least . room piggy back open network outside hotel ( obvious security caveat ) . 
 Jun 8 2006 	 great last minute ... 	 great value last minute travel plan London . easy access Euston Station Euston Square Tube station . add breakfast room reasonable price excellent food . 
 Jun 3 2006 	 acceptable last - minute find 	 price , reasonable hotel , locate right next Euston tube stop rail station . room nothing special , everything seem reasonably clean relatively quiet . similar Motel 6 , not go find amenity , good place crash night . nice indian restaurant neighborhood well . give fact make last - minute reservation bank holiday , pleased find reasonable place good rate . however , would choose another option look room multiple night . 
 Jun 1 2006 	 Great Value Central London 	 stay visit London , hotel room spotlessly clean , friendly staff good value restaurant . excellent value central London ( £ 70 per room per night weekend ) 1 minute Euston station . 
 May 26 2006 	 ok 	 go three day London 8 year old son . problem hotel . staff nice , room basic , clean . bed not great , bit lumpy stiff ( not room twin bed , have request ) adequate would say . book online month ago get room 79pounds night . Euston Station next door great food court pick breakfast . overall , good budget hotel . Neil ( Cork , Ireland ) 
 Apr 30 2006 	 Smelly room ... 	 stay hotel way back conference Durham . get room 280 . enter room ... awful awful awful smell , like rotten meat , rotten fish , rotten something alive . open window go walk . 2 hour later enter room smell strong . go menager tell problem room , London smell ( ? ! ? ! ? ) 10 min arguing finally convice come take breath room : ) come acknowledge smell tell since day , simply live . , insist detergent use clean bathroom smell ( haha : ) . point collect luggage declare would spend night lobby . angrily pass way elevator time lobby receptionist hand key room 265 . big room definitely smell . Phew , least know London smell bad . reserve hotel one night stay May incident promptly cancel reservation . 
 Apr 22 2006 	 great price 	 hotel excellent location , within block major tube / train station . room clean spacious , include bathroom . even though twin room , plenty room 3 we sit room . also hot pot boil water coffee tea provide . rate excellent London . probably rebook return trip London ! 
 Apr 4 2006 	 Good Allrounder 	 outside congestion charge , reasonable price secure parking good access quick escape A40 / M40 . make lot sense stay , 5 minute walk euston station . 
 Feb 13 2006 	 basic clean 	 basic room clean comfortable lot bad Londonwould like hairdryer though ! 
 Feb 12 2006 	 Perfect visitor London 	 ' ve spend weekend London sightseeing Ibis Euston perfectly locate purpose . expect nothing functional travelodge type accommodation pleasantly surprised high standard service . room exactly would imagine . bed dress table area , wardrobe / cupboard , tea coffee make facility , tv etc . bed comfortable . compact shower room . the reception area nicely decorate bright colourful . the thing stand friendly helpful staff , seem really care enjoy stay . one person would like single exceptional service Alex . book we check we . whilst book we take time find stay check remember place plan visit ask enjoy . would nice touch small hotel large busy hotel amazing . we will definitely stay next time want weekend break London would recommend hotel anyone look clean comfortable accommodation London . 
 Jan 6 2006 	 Excellent 	 get good online 59.96 offer room find excellent . clean , good bathroom , food drink available , almost Tube Station quiet area good sleep . tea coffee facility make room . 
 Dec 9 2005 	 good night 's stay 	 one night 's stay Hotel Ibis Euston , leave impressed . reserve room online not make note opening hour . hope get hotel 8.30pm train severely delay , worried might get late checkin . try phone hotel explain ask late checkin time , phone call cut short lose mobile reception train . finally arrive much later , discover hotel 24 hour , , despite , friendly efficient staff put message account say could check later on . the decor room unusual , perhaps would everyone 's taste , everything spotlessly clean fresh . sheet spotless everything well lay . normal tv refreshment provide . bed comfortable aid good night 's sleep . the room nice , comfortable temperature - refresh change , find hotel room uncomfortably hot . thermostat provide temperature not taste , one room within reach bed - nice touch . continental breakfast reasonably price large selection food provide , hot cold . breakfast hall busy , service quick plenty seating provide . one small annoyance could not find toast , see someone else must available . the checkout process quick painless , staff friendly helpful . fairly large queue people deal quickly effectively . 
 Dec 2 2005 	 Excellent Value reliable chain 	 arrived long flight , check 10 am room wait . room clean , comfortable affordable . problem staff , helpful . very close Euston Station see Queen leave station . have back since already please . 
 Nov 9 2005 	 Excellent value money 	 group friend stay two night recently . great choice . book onlineand get reasonable room rate £ 59.95 per night . hotel conveniently locate beside Euston Station , couple Tube stop Leicester Square . see get ibis hotel not character anything , room clean relatively spacious shower excellent powerful ( important long day London ! ) . eat drink hotel , restaurant bar look pretty unexciting plenty food option station eg Marks Spencer Simply Food , Starbucks , bagel bar etc . overall , hotel excellent value money would hesitation stay recommend . 
 Oct 20 2005 	 good value sure recommend 	 good value good location . facility fine , room clean fine ( nothing special , functional well other might get price ) . would recommend hotel , issue : evening meal restaurant really good - bland tasteless , lot buffet food dry unappealing . salad bar small tiny selection . breakfast fine , however . my account settle company , hotel lose first fax send account detail , etc . say second third acceptable different reason . continuity , finance department ask different thing time . front desk staff rude aggressive try help sort thing . end , gentleman sort charm , understand problem Night Manager 's attitude past . finance department ask use hotel back forth take hour sort out . so , pay eat every night , be worth go . Hope helpful 
 Aug 10 2005 	 expect price pay 	 70 GBP ( pound ) know go fancy hotel great service . stay Ibis hotel always happy . stay ibis exceed expectation . arrive 7 am hope maybe could checkin early . surprise check able accommodate we . front staff cheerful helpful . internet ( 2 computer ) lobby although not use . room small completely identical size furniture French Ibis hotel . surprised bathtub - nice hot pressure shower we . night quiet fact silent . room clean . good thing location . Shortcut ( Euston tube exit near Left Luggage station ) make literally 2 minute door door . Drummond Street near station / hotel wonderful Indian . would skip hotel breakfast - inside station many cheap fast foodie type place coffee place close ( enter station hotel ) . Marks Spencer Food Hall train station buy picnic type food want . hotel next time stay London . price beat ! 
 Aug 8 2005 	 great location good value 	 stay IBIS Euston 8 day last two week ( get back ) . since decision go Ibis Euston part base review think post review . travel parent two room . room spotlessly clean . bathroom sort cylyndrical section one corner room , quite functional clean . hotel away Euston street wasvery quiet . the staff -- eastern european -- quite nice generally leave alone . hotel seem mostly use business people -- not see many tourist there . the hotel not seem hidden charge -- make long distance phone call room andget charge reasonable price ( night call Edinburgh cost 40p ) . two coin - operate internet desktop lobby . although not advertise , seem half - a - dozen room desk room convert surprisngly comfortable single bed . * * helpful we child we . location quite nice -- half - minute walk Euston station & amp ; tube ( Euston station -- contrast king cross block away -- much quieter nice ) . restaurant -- normally breakfast Euston station food court ( 10 fastfood type place include Ritazza -- nice coffee joint ) . another 5 - 6 food place courtyard station . walk distance British Library well British Museum . 
 Jul 19 2005 	 enjoy Stay 	 Ibis Euston short walk Euston Station make easy connection Manchester well easy access Tube . find room adequate . folk dancing , manage quite well space available three night ( long stay , might well space ) . bathroom bite small , prove functional . find room quiet locate inside courtyard ( view unless air - conditioning equipment excite ) . AC use time . neighborhood around hotel nothing special , Tube station Euston put rest London within easy access . front - desk staff cheerful helpful . London , price hard beat give location . overall , enjoy London stay Ibis Euston . 
 Jul 10 2005 	 pet welcome 	 one reason love Ibis hotels sister chain accor group fact bring dog we . the room stay decent size , huge bed Daisy take immediately , perturb sleep bed . friendly staff , clean room , dog welcome , really need hotel somewhere rest end busy day . poeople complane small room try St Giles tottenham Ct Road , somewherei stay business . good money 
 Jul 9 2005 	 's Ibis 	 's Ibis , be like Ibis ' ve stay . 's luxury , pleasant , slightly bland . stay near Euston early - morning meeting big advantage Ibis Premier Travel Inn quiet location , away Euston Road . review site show sub-£100 hotel London grotty advantage stay Ibis ( Travel Inn ) 's . can not expect something grand kind money London . 
 Jun 12 2005 	 disappointing 	 read pleae review Ibis , choose stay short business trip London . hotel pleasant lobby , not fool . room tiny , uncomfortable bed , white uninspiring room , barely room move bathroom bright light sunglass need . worth pay little extra Thistle road ' ve stay . 
 Jun 10 2005 	 Perfect place couple night 	 want spend 4 day / 3 night London daughter ( 9 ) visit city make shopping last april , could'nt find decent hotel decent price . eventually , french , decide book room hotel french ibis chain regret it . obviously , de luxe hotel , clean . room correct , 2 bed , tv set , air conditioning . bathroom & quot ; futurist & quot ; large shower , also clean . People nice welcoming . free spare room luggage . situate near Euston station , direct Oxford street station . also bus go Oxford circus , minute . location perfect visit major site ( zoo , Camden , Oxford ... ) .The & quot ; bad & quot ; point food . dinner , never come back afterwards . well meal pub ! 
 May 29 2005 	 great price Excellent location 	 recently stay 3 night Ibis Hotel Euston price right location excellent ! ! 2 block ( aprox 1min walk ) Euston Underground station . everyone hotel front desk helpful . room small compare american standard , clean . ( private bathroom . ) would reccomend staying would stay . ENJOY ! ! ! hope helpful 
 May 12 2005 	 well expect ! ! 	 outside station clean friendly . business people none less good . 
 Mar 5 2005 	 good quality affordable price 	 Ibis Euston hotel great value money . many London hotel price poor quality room - room good size , clean , comfortable . hotel also conveniently locate central London - close underground station major tourist destination Oxford Street within walking distance . overall rate hotel average . hotel exactly claim - affordable accommodation good standard . like stay spend £ £ meal , theatre etc . easily pay two three time much room inferior quality central London . hotel reputation good value money wise book ahead time . note north american reader , read one early review hotel window not screen . never find UK hotel screen window ; be do UK not no - see - ums like . 
 Jan 20 2005 	 Nice hotel 	 stay Ibis Euston hotel 4 night , May 2004 . hotel locate next Euston tube rail station location good , central convenient . room small without many amenity always clean . front desk always busy helpful way . breakfast nothing special , find Starbucks 2 minute away many grocery store inside Euston station . great choice tight budget . 
 Dec 20 2004 	 good value money 	 location : good ; room : tiny CLEAN ; breakfast : good ; price : consider central London ( 2 ' walk form Euston Station 5 ' walk Euston Square ) week - end price nearly bargain . to SUM , be search nice hotel good price be look ! 
 Sep 26 2004 	 bad ... 
 Sep 20 2004 	 good 
 Aug 23 2004 	 good value 
 Jul 28 2004 	 good choice London 
 Jul 17 2004 	 good value 
 Jul 6 2004 	 okay 
 Jun 29 2004 	 watch Ibis London Euston 
 Apr 10 2004 	 can not beat Price 
 Oct 2 2003 	 oasis cental London 
