wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Dec 9 2008 	 great location 	 excellent hotel , good location close london bridge station , southwark cathedral . funky room great breakfast . good oasis city stay . 
 Dec 9 2008 	 four Stars London Bridge 	 go london frist time half term stay london bridge , could fault hotel , good staff , lovely room breakfast much could eat . sure book . 
 Nov 29 2008 	 Great Hotel ! 	 stay London Bridge Hotel 3 night great way begin trip England . hotel small botique hotel nicely do . hotel staff helpful take care detail . would definately stay hotel . 
 Nov 24 2008 	 Excellent 	 smart hotel excellent location . easy find close underground . staff greet we smile feel welcome . room tastefully decorate super - clean bathroom . breakfast superb staff work hard ensure food replace replenish necessary . would recommend friend anyone look good base city . 
 Nov 23 2008 	 Great Location ! 	 six night London Bridge Hotel . reception friendly helpful cheerfully agree make arrangement early morning trip airport several day later . room clean , small , even european standard . en suite bathroom perfect . furnishing new flat panel t.v .. bed soft double , large enough two adult . night , room quite due outside noise . place nice , certainly good value despite hefty room tariff . location good sight seeing , would recommend hotel . across street London Bridge tube station - get anywhere London location . 
 Nov 22 2008 	 - ten Ten ! 	 daughter return weekend stay book roomsnet.com 's hard imagine price pay could stay anywhere well . hotel situate close Southwark Cathedral short walk tube Borough Market .. check straightforward , reception staff ( other come across ) extremely pleasant helpful room spotlessly clean everything need - include air conditioning actually work ! bed comfortable bathroom excellent .. Breakfast , include price pay , serve downstairs restaurant cater taste . apart hot drink toast bring table self - serve wide range item choose staff constantly replenish . check Sunday morning able leave bag safely hotel ready leave evening . we certainly would not hesitate stay - hotel 's web - site give favourable impression facility staff experience find justify . 
 Nov 19 2008 	 Excellent Hotel Breakfast 	 stay one night 14th November 08 . hotel clean well decorate . want one night stay excellent breakfast get . service good anyone not give hotel least average score ' ve either get money sense fussy . like hotel shoot stay London site close . impressed.with stay . Taylor 
 Nov 17 2008 	 worth 4 ... sure . 	 want write review Hotel think current 3 rating little harsh . whilst would not necessarily give 5 , 4 definately fair representation , would say . firstly , would say usual requirement box check : * comfy bed * Modern & amp ; clean bathroom . * modern decor bedroom . * flat screen satelite tv etc . however , three ( main ) pro 's hotel ... 1 . ) Great Central Location ... close London Bridge Tube Station , make tube stop easily accessible.2 . ) room stay seem well sound proof , quite crucial give close proximity tube line . light sleeper distrube night / morning all.3 . ) great breakfast ... although understand normally pay seperately , include part deal room . recommendation ... book & quot ; LateRoom . Com & quot ; get room competitive price compare London Bridge 's website price , rate also include breakfast , would ' ve ( recall ) somewhere region £ 15 per person ... worth check book agent . although , would say worth ringing morning arrival ( ) confirm whether allocate double twin room . want double allocate twin room ... happen problem change double room late notice extra charge either . point worth note . 
 Nov 15 2008 	 careful online booking cancellation ! ! ! 	 book room hotel online reservation system . unfortunately , cancel travel plan want cancel room well . four day prior plan arrival cancel room reservation system . not receive confirmation reservation fact cancel , try cancel . immediately get reply system , reservation already cancel think everything fine , even though still e - mail confirming . however , get phone call hotel day suppose check . try explain situation clearly error online reservation system still charge one night . might perfectly nice hotel definitely never try stay . 
 Nov 13 2008 	 nice hotel 	 Nice hotel . arrive early offer smoking room available ( although not smoke ) not want wait room ready . wait 15 minute room ready . pleasantly surprised quality room , Room 305 , , plenty hot water fresh clean sheet . view window London Bridge . stay one night . pleasant staff . would stay without hesitation . 
 Nov 12 2008 	 easy find 	 hotel stay easy find . catch train Gatwick London Bridge hotel 80 metre station - excellent drag luggage around ! room spacious lovely bathroom staff helpful . easy walk tube also plenty bus available station . breakfast include tariff great , plenty variety . we find nice pub around corner call & quot ; Bunch Grapes & quot ; enjoy excellent meal . friendly service great atmosphere . would definitely stay . 
 Nov 9 2008 	 Excellent Hotel Location 	 Date 31 Oct 2008we stay hotel 3 night Deluxe Package excellent value , room clean tidy plenty space complete tv DVD mini bar . on arrival room available early problem concierge call case take we keep arrive back trip around Borough Market 2 minute walk away miss . all staff come contact fantastic always smile face , polite seem train high standard . keep good work London Bridge Hotel return . 
 Nov 6 2008 	 quality hotel value money 	 arrive late saturday night & quot ; problem & quot ; quickly show room clean well present late evening return & quot ; buzz & quot ; get back good level securityexellent full english next morning everything red hot nothing much trouble staffoverall pleasant experience would recommend anyone 
 Oct 30 2008 	 Disappointed 	 return 2 night stay London Bridge . book usual search review satisfied treat ! ! couple week arrive , check review honest thought change another hotel not honest review . check smooth give card entry room third floor . greet dust sheet along corridor , smell paint workmen repaint ' tongue groove ' boarding along corridor . time booking process advise decorate would ongoing . breakfast ok really 4 star standard ; cereal , croissant , fresh fruit salad ( awful ) usual bacon , egg , hash brown , baked bean , mushroom , tomatoes . could order boil / poach egg omlette extra cost . last morning go breakfast 9.50 find door lock . knock one waitress open door advise we breakfast finish ! say yet 10 replied ' have forget clock go back last night ! ! point still least 5 min breakfast finish offer apology confusion let we . bacon leave , egg , hash brown tomato ; no - one ask we could get we anything . request omlette , due lack anything else , luckily available . positive note , room good size bathroom large bath . Stayed City Inn September , opinion , London Bridge long way go reach standard . 
 Oct 29 2008 	 please hotel 	 husband stay 2 night weekend delight hotel . date good London hotel ' ve stay . usually room like shoe box lucky walk around bed , along faded decor etc - hotel . room not massive get space spread outthis hotel clean , find staff friendly central spot right next tube . hotel undergo update yes smell paint , corridor quite narrow lady work bedroom step around cart , bed etc . a previous review mention seat right next guest breakfast true . not mind morning would object happen evening meal . find choice food breakfast excellent plentiful . 2 floor hotel seem closed renovation , concern future hotel fully occupy might crowd breakfast . shall see stay . 
 Oct 27 2008 	 absolutely loved ! 	 thank positive review hotel receive Trip Advisor , choose London Bridge Hotel place start european holiday . we stay 5 night ' impress hotel , particularly respect location price ( London ) . feedback regard hotel : - beautifully appoint modern room plasma television- large marble bathroom ( shower bath ) - immaculately clean- extremely comfortable bed pillows- window open , one upper floor , ' much noise ( much surprise ) - buffet breakfast absolutely fantastic staff top relatively quickly – egg bacon pastry , cereal fruit . absolutely wonderful start day.- 1 minute walk bus stop train station- walk distance central London ( 20 – 30 minute walk ) - internet available fee- elevator , room easily accessible via stairs- room air - conditioning heating controls- booking handle directly hotel fast efficient , check - in- staff helpful informative - food outlet ( include restaurant ) vicinity – check opening closing time banking ! - couple door take - away food shop , whose rubbish collect doorway walk past lot , stink . walk past – ' affect hotelWe would definitely go . London Bridge excellent . 
 Oct 26 2008 	 disappoint 	 arrive 11 30 early check decidedly frosty reception staff , prepared left bag go explore area . Borough high street glamorous location fact 's downright grotty . return hotel 2 45pm tell receptionist quote & quot ; well one room leave , 's smoking , fourth floor painter renovate moment smell paint hopefully will finish tomorrow & quot ; . simple welcome would much nice . say would prefer something different tell would check house keeping . eventually offer room first floor rather grudgingly . room adequate ; first floor corridor litter dirty bed linen 3 30 afternoon ( already mention another review , pay attention . ) room small , bed uncomfortable , base one bed extremely stain . reason housekeeping leave clean spray bathroom ; big deal know top everything else really bug . speak bug one supposedly clean towel major bug squash . try guy positive really hotel make thing easy . early review mention glow term concierge ! well ! ask would reccommend good place eat lunch saturday afternoon . recommend pub call George Borough High Street go imagine horror find , reach pub three police van get we around twenty police man run towards pub enter . turn black comedy stage . way snack hotel unless want room service believe room depress enough without eat well . concierge fail tell we ( accidently stumble last day ) number really nice cafe lovely pub near globe theatre leave London Bridge face south side river . earth tell ? oh way bar hotel weekend , least . concierge apparently aware tell bar close reply , quote & quot ; oh ! ! & quot ; one could gotten drink lobby . use word lobby loosely , really mean little area front reception concierge desk , exactly conducive relaxing nightcap . oh god forbid one need toiletry shampoo shower gel instead thing housekeeping leave cleaning spray . really laugh otherwise would cry . could tell breakfast room two staff would place right next poor unsuspecting couple , say right next really mean gap table . oh could go will leave thing note ; check elderly gentleman check we . receptionist ask enjoy stay ? poor man seem quite upset say fourth floor & quot ; appal smell paint cable everywhere , disappointed hotel & quot ; say London wonderful usual , ( go least year ) wish could say London Bridge Hotel can not . next year be go back Hilton Metropole Edgewear Road , street ahead . 
 Oct 26 2008 	 Attentive staff . 	 choose hotel locality near Old Vic Theatre search tripadvisor review . I like hotel staff attentive . bed springy room well equip clean . breakfast fill , beware bake bean might cool ( hot ) . 
 Oct 24 2008 	 mostly good ! 	 give Room 110 overlook kind air / con vent make constant noise . luckily bring along ear plug ! bed see well day lumpy . want request another room husband exhaust 24 hour flight happy stay put . other problem room spotlessly clean , concierge friendly helpful location excellent . word warn though . fish & amp ; chip shop corner . stay away ! end throw meal bin . try Marks & amp ; Spencers simply Foods London Bridge Station good sandwich salad . 
 Oct 21 2008 	 enjoyable stay London Bridge Hotel 	 husband recently weekend trip London way back Paris . much enjoy stay London Bridge Hotel . find river - side location delightful change previous trip London . impressed liveliness neighborhood , especially Borough Market , nearly across street . room comfortable , lovely bathroom superb television . view not much , also not spend lot daytime room . find breakfast delightful pleased include room price . well do . 
 Oct 20 2008 	 great hotel 	 room nice . view , room much , not matter . location great . weather beautiful able walk Tower London , also walk along river evening well Boroughs market . like away crowd area yet easy hop Underground want go attraction . get back airport Underground easy well . would definately stay hotel . 
 Oct 20 2008 	 Fantastic Hotel 	 stay hotel October 12 october 18 . good thing say hotel ! arrive 12th , room ready check fast efficient . stay hotel girlfriend London see city everything make city great . the room superior double everything need . comfy bed , wish excellent since everyday come back hotel tired day 's walk . breakfast also great , wide range food , help get trough day light snack lunch . in term location , hotel situate opposite London Bridge Station , wich also underground station serve 2 different tube line . great we , since able get everywhere want short period time . also great arrive London via Gatwick take express train Gatwick London Bridge Station take we 15 - 20 min . the staff also friendly concierge excellent , help we anything would need . to sum , great hotel ideal vacation London . people hotel might ideal , since be locate near business center night lack sort animation even restaurant not many area . like , love quiet hotel rest day sightseeing , without doubt good hotel stay . 
 Oct 16 2008 	 First Class Service London Bridge Hotel 	 hotel centrally place numbet attraction Tower London , Tower Bridge , HMS Belfast City Hall . two minute London Bridge Station , represent really good value money . hotel modern decorate high standard . bedroom good size large comfotable bed plenty wardrobe bathroom space . staff friendly , helpful efficient . breakfast room busy day stay , staff quick clear table , find space people sit , keep breakfast buffet top bring tea , coffee etc . good selection food breakfast cook good . enjoyable stay would recommend hotel anyone . 
 Oct 12 2008 	 impressed 	 overly impressed hotel . book non - smoking double room internet arrive late Saturday night inform hotel full available smoking twin . small claustrophobic extremely uncomfortable bed . well equip – need two iron board two iron , well trouser press ? ? hotel convenient location tourist sight would pretty noisy weektime train . breakfast basement buffet – nothing special , expensive include room rate . overall , reasonably price hotel ok one night would return . 
 Oct 10 2008 	 Amazing Staff ! 	 amazing staff ! London London Bridge Hotel last stop honeymoon . arrive hotel check - in upgrade available suite send chocolate fresh fruit manager . thoughtful man ! staff general wonderful . thoughtful helpful . loved closeness London Bridge Tube station make really easy get anywhere , include , Heathrow . unlike review , not street noise . view , , beauty comfort room far outweigh . would totally stay highly recommend ! 
 Oct 8 2008 	 Style smileJ 	 modern hotel south river , close Borough Market & amp ; attraction South Bank minute away . London Bridge station & amp ; tube close part London accessible . the staff courteous & amp ; approachable . need disabled facility & amp ; provide request . Room Service prompt & amp ; food freshly prepare & amp ; delicious . in - house restaurant & amp ; two other associate hotel close by . our overall experience excellent . sorry could stay long & amp ; already book return visit . 
 Oct 8 2008 	 Excellent Hotel 	 arrive hotel greet professionally courteously reception staff . room clean quite spacious London hotel . disappoint upon see room requested room river view , upon query reception quickly ( within 5 min ) offer another room , unfortunately still river view however appear slightly spacious . hotel situate right next London Bridge underground make easy get . hotel also include superb cook breakfast morning - however little disappointed last day breakfast start 0700 leave 0630 . would definately recommend hotel would stay . 
 Oct 7 2008 	 Quality Professional Establishment 	 Booked hotel base location previous review . greet polite professional staff reception . room small well present , think professional rather homely , well equip bathroom . breakfast basement good selection , dare say , polite professional staff . hotel conveniently locate London Bridge Station London Bridge nice walk along Thames Tower Bridge . , find fault , location also downfall . mainline station area around hotel , want well word , naff . be get room view . minor quibble . stay London would definately choose hotel . 
 Oct 5 2008 	 Concierge Location Excellent 	 stay London Bridge Hotel one night . flight get switch around arrive hotel early morning instead close afternoon check time . friend look bad wear , get tell could leave luggage would not check we check time 2:00 . international flight 8 hrs , haul luggage figure platform train station need ride scary thing quite experience . hope would find room we , front desk , intention even check see could work we . however .. although front desk sadly lack customer service friendliness , concierge amazing ! begin tell many time bother ask question thing we without complaint . utmost friendly helpful made feel bad asking . two man particular help we . wish get name intend write hotel let know amazing front desk could take tip . old gentleman .. old mean , old .. gray haired short man another young man brown hair glass .. helpful . tell we exactly stop go site , type ticket buy underground save we money .. extrememly helpful . room good . bed comfortable , hard sleep bar next door Friday night music loud .. overall , good experience hotel ever desire go back London ( do not ) would definitely stay ! 
 Oct 2 2008 	 great place stay 	 husband stay London Bridge 6 night first visit UK . handy transport within walk distance several London 's big attraction ( eg Tower London , Tower Bridge ) .It clean comfortable , breakfast great . we find staff helpful , concierge friendly able give assistance . all , great place stay give we wonderful introduction London . would certainly stay again . Sue Geoff , Brisbane , Australia 
 Oct 1 2008 	 disappointing 	 manage get good deal one night alpharoom look forward stay read review . however , must say disappointed . upon arrival allocate room first floor . walk along corridor room , dodge clean trolley dirty laundry pile everywhere . bear mind not check go 4 pm expect see ( especially hotel large ) . arrival room discover allocate smoking room specifically request non - smoking one . return reception tell non - smoking room available either take wait clean . tell happy discussion manager allocate upgrade room top floor . room not much big normal room entirely sure warrant extra cost not look like anything extra see standard room . everything ok room 6.30 next morning , wake loud hum noise right outside window , discover vent hotel 's restaurant situate right outside window . sample hotel 's breakfast ( thankfully include room price not worth price demand otherwise ) put noisy vent morning worth . , choose hotel 's easy access tube line 02 thing truly live . rest disappointing will not return . 
 Sep 29 2008 	 Great Hotel 	 stay London Bridge Hotel 2 night , think hotel excellent , room small everything need . location good , 2 minute walk underground stop Westminster Bond Street . get daily ticket cost £ 5.60 day . breakfast also good , keep we go day . definitely back hotel we next trip London . 
 Sep 24 2008 	 Read fine print Website 	 Booked Executive King room 4 day base glow review Tripadvisor . experience less satisfactory due follow problems:1 . new wing Executive Deluxe room reach elevator lobby . customer must take lobby elevator first floor , drag luggage half dozen step , round corner , step reach another elevator go deluxe executive room . alternatively , customer could use elevator back door near Gym could get working room card . time , card able call elevator even sit empty one floor above.2 . room rate include free internet connection . connection password good 24 hour . everyday ask new one provide work half time.3 . service breakfast slow inefficient . line long wait hostess check name , mark printout list , guide guest seat , go get coffee toast take care next guest . 4 . make sure know free . read fine print Website read . hotel charge we extra local call even though Website say local call free . protest extra charge , first hotel clerk deny room rate include free local call . contact manager , say local call free call cell phone . hotel Website differentiate fact . think receive fair value money rate 400 buck night . 
 Sep 21 2008 	 Great Hotel 	 stay London Bridge 4 night Aug . near tube station make access hotel easy anywhere city . breakfast good concierge helpful . room little small ( Europe though ) bed little uncomfortable . area little quiet night 's locate business district easy access tube do not matter . 
 Sep 11 2008 	 London Bridge Hotel highly recommend 	 stay elderly mother mobile ideal . close station . selection restaurant attach hotel - lovely food ambience one excellent pianist evening . also restaurant bar street . hotel nice , well run clean good breakfast . staff friendly helpful also excellent source local information ( even sort problem immediately arrival mother - diabetic - realise left medication home ) . really good place could go semi - mobile mother 80 's ( 50 's ) enjoy . local market good . Ideal Tate Gallery South Bank ( Hayward gallery etc ) . would like stay . 
 Sep 3 2008 	 Best London 	 travel London 3 time year good hotel ' ve stay distance . it be great location ( round corner Borough Market ) South Bank . the staff friendly & amp ; helpful ; room , funky spotless , huge London standard ; breakfast excellent . I definately stay next time ' m London . Bob 
 Sep 2 2008 	 Perfect base sightseeing 	 stay London 4 previous occasion sight see weekend please London Bridge Hotel read high rating tripadvisor review . previous stay several thistle hotel group Russell hotel - ok poor comparison hotel . I request twin bed room travel daughter , book via expedia offer good rate ( £ 110 - 00 without breakfast ) . hotel situate away theatre central attraction previous hotel use well worth stay . arrive 14:15hrs room ready , ( ready 14:00hrs ) , unfortunately wash change public toilet leave luggage concierge tell may take another hour . side . room meticulously clean standard room much well expect - necessary anyone upgrade . definately return later year try breakfast next time , ( £ 9 - 95 per person ) . 
 Sep 2 2008 	 London Bridge Hotel - AAAAA * * * * * 	 anyone not good experience Hotel must catch bad day ! two night stay everything excellent . we previously ask early check possible . nothing promise , tell , dependant availability room , although explain could leave luggage concierge room ' ready , O2 2:00 pm . arrive 11:40 , receptionist check we hand we key straight away - room ready . 317 , third floor . room certainly big enough two we , ( sometimes wonder people want say room ' too small ' ? ) , bed enormous comfy . room immaculately clean well equip ( good size flat screen tv , full size iron board , hairdryer , tea coffee make facility , mini bar , etc . ) nicely decorate . another great thing ? - quiet ! notice overlook back London Bridge Road window ( could see top ' Gherkin ' ) could see mainline train pass behind building opposite , worried little - could not hear . little noise night guest adjacent room pass along corridor , comparison hotel stay London elsewhere amazingly peaceful ! full breakfast Londinium restaurant also great - set we nicely day ahead . staff cheerful helpful . the hotel 's position near Tube Rail station , Southwark Cathedral , Borough Road Market , course , Thames make easy get excellent base touring . also find great italian restaurant , Strada , whilst walk along side Thames towards Tower Bridge London Bridge . all great hotel reasonable price ( husband ) would recommend without reservation anyone . look forward next time visit London definitely book stay London Bridge Hotel . 
 Aug 31 2008 	 love hotel 	 do not normally write comment feel london bridge hotel exceptional high standard . reception staff truly professional nothing much trouble .the concierge mine information pleasure speak to.the cleaning staff faultless . dining room breakfast superb use hotel base visit attraction plus theatre lion king well position plan . hesitation use hotel 
 Aug 28 2008 	 wonderful experience ! 	 wife stay London Bridge Hotel eight year old daughter couple night recent bank holiday sightseeing trip London . although stop tripadvisor.com read people positive opinion booking , want write another review say great hotel really be . on arrival greet couple extremely happy welcome member staff reception .... always nice long day travel . immediately upgrade standard double room one deluxe double room book couple hour early permit 2pm check - in time . daughter allow sleep room extra charge also enjoy include breakfast morning extra charge . request rollaway bed promptly cancel enter room find huge kingsize bed wait . the room clean well decorate beautiful fixture fitting - everything furnish finish high standard . high ceiling large , long window ensured room not feel cramp air conditioning nice plus city feel little muggy - even not blaze summer . More breakfast .... good selection hot cold food - continental English help buffet - style basis . table nicely place greet morning cheerful restaurant staff , seat immediately offer tea coffee toast . food top up / replace frequently ensure full selection offer matter time turn 7 10 am . breakfast extremely nice way start day miss especially include part booking . People right say hotel well position explore London . although tuck away , right outside bus station side London Bridge Station ( noise nuisance ) , one change tube Waterloo ( take Jubilee Line Westbound Bakerloo Line Northbound ) heart West end time . book one London Tour Bus trip London Dungeon stop around corner , manage save cost tube ride back hotel time ! concierge helpful knowledgeable .... not afraid ask ... hotel happy securely store bag end day check morning . all , great trip top pleasant stay London Bridge Hotel .... could stay long return next month . Kai & amp ; Lisa . 
 Aug 26 2008 	 Great Stay 	 book room via Skoosh cost £ 86 include breakfast Saturday night bank holiday weekend . the hotel easy find London Bridge station , literally two minute walk . room clean , bright reasonable size . nice modern feel air conditioning ; flatscreen digital tv ; free bottled water ; mini bar tea / coffee make facility . also fan , iron hairdryer wardrobe , along extra bedding . our bathroom bath overhead shower . Shampoo , soap shower cap provide ( though conditioner need ! ) .breakfast provide 11 am Saturday . serve affair continental option full english breakfast option . Coffee / tea toast bring table request . thoroughly enjoy breakfast . note include breakfast booking would cost £ 14.95 . , pleased stay think location well whole experience hotel offer great value money . 
 Aug 18 2008 	 comfortable accomodation London 	 spend long week end London , London Bridge Hotel . hotel website truthful : surprise room quality service . heart Southwark District , offer confortable accomodation leisure business . recently refurbish hotel charme historical building , great location allow move train , underground foot . personnel cooperative prompt assisting , also 5.00 morning . very good ratio quality / price , expecially use special fee . 
 Aug 16 2008 	 wonderful freindly super efficient hotel 	 45 year work stay many London hotel . say quite simply well ever use . sure much expensive hotel meet hotel 's standard price simply well . charm helpful staffsuperb room little extra touch one would expect much expensive hotelsgreat food freshly cook HOT ( even room service meal ) important personally - air conditioning really work really control within roomI would surprised anyone disappoint hotel 
 Aug 16 2008 	 Clean Nice Great Location 	 greatly enjoy hotel . stay three night friend mine weekend . London get every attraction friend want see . fly London City easy take public transportation hotel . room like brand new . clean good size London room . really not anything could complain room . even bathroom decent size actually room move . if get good deal ( London ) try get hotel . tube right across street close big thing see either walk river take public tran . staff nice helpful feel like pretty safe area overall . 
 Aug 15 2008 	 fantastic hotel location . 	 stay London Bridge hotel 2 night family include 2 child age 13 12 year . excellent location 2 minute walk tube station yet quiet night allow good night sleep . room clean , good bed en suite . breakfast excellent good choice hot cold plate . friendly attentive staff . good hotel , stay several visit London . 
 Aug 12 2008 	 Great Hotel -ideal location 	 Husband & amp ; come back second stay hotel -with another 2 book later year . the facility excellent & amp ; good value money . ideal location O2 arena & amp ; central london . we use room service couple time -a good experience unusual london hotel ! staff friendly & amp ; helpful . we book online & amp ; get good rate hotel 's website . 
 Aug 12 2008 	 perfect city stay 	 work two top three hotel management school world last twelve year , ' m probably term demand customer ... however , stay London Bridge Hotel sheer delight moment walk door till wave goodbye concierge . welcome guest service general relaxed , friendly efficient , room tasteful , quiet beautiful bed bathroom , breakfast buffet succulent range fruit , cereal well ubiquitous cooked breakfast , course , location could not well . inner city hotel doubly impressive . many thank staff London Bridge Hotel keep great work ! ! 
 Aug 11 2008 	 modern clean comfortable great location 	 book hotel GTAHotels.com get fantastic rate £ 90 twin room breakfast . without repeat much people say , hotel staff friendly polite , concierge . first room smoking level ( mistake hotel ) change room less 2 minute ! room small modern trendy artwork , comfortable bed . Nice Miller Harris toiletire magazine - Style ! small problem sink rectify within 5 minute phonecall reception . superb service ! around corner tube station stone throw Borough Market . dining room classy softly light - always good morning follow late night ! breakfast great . choose hotel proximity o2 arena . highly recommend ! 
 Aug 11 2008 	 Fantastic hotel 	 ' fault hotel would recommend anyone . great location , comfortable modern room , fantastic breakfast , friendly staff , superb value money – hotel definitely hotel choice London . 
 Aug 9 2008 	 wonderful stay London Bridge 	 last weekend partner go London break also get marry . ( two us couple witness ) book London Bridge day due get marry find kindly upgrade we luxury room super king bed , champagne , fruit chocolate , lovely surprise ! everything else London Bridge excellent , clean , comfortable , delicious breakfast friendly staff . definitley return next trip London . 
 Aug 7 2008 	 clean comfortable friendly 	 good location 2 min . walk tube station . room big luxury clean comfortable facility . staff friendly find breakfast treat set day sightseeing . lot place eat drink night within 15 minute walk along Thames river side . highly recommend quiet comfortable clean place stay . intend return future trip . 
 Aug 7 2008 	 Superb Hotel 	 hotel ideally situate 02 arena , across road London Bridge Station . recently refurbish high standard . room modern well equip safe , hairdryer , iron , iron board , tea coffee make facility , minibar , air - conditioning large lcd tv . room spotlessly clean quiet bed extremely comfortable . breakfast buffet style , vast plentiful array food . really set we whole day not need eat evening . side would say price drink bar , expect London hotel plenty bar , pub restaurant within walk distance along south bank river prefer . would defintely stay hotel future visit London , feel like hustle bustle Central London without far attraction . highly recommend good value money . 
 Aug 6 2008 	 live rating 	 no6 Trip Advisor time , could not believe find nearly come within budget . comfortable room ( little spacious normal London ! ) . good gym facility , good travel South ( commute Croydon ) . food excellent . much well hotel stay tie Hyde Park area . downside not easy find ( come Underground ) - shopkeeper not hear ! 
 Aug 6 2008 	 fantastic hotel great value 	 hotel superb standard . room lovely , comfortable clean . lovely toiletry good range magazine , robe slipper add touch luxury much appreciate . breakfast excellent good range choose well replenish throughout morning . staff friendly , efficient welcoming . definitely stay highly recommend other ! 
 Aug 5 2008 	 Best Place relax holiday 	 think London Bridge Hotel good hotel town . friendly hotel good location . comfortable room tea coffee facility . excellent breakfast fantastic atmosphere . recommend hotel everyone without doubt ! 
 Aug 5 2008 	 handy 	 find hotel clean comfortable . first check find room assign extremely small , find 2 suitcase take floor space room stand upright ! request large room , within 15 minute give large room perfect 5 day stay . bed extremely comfortable , location quiet , even though beside railway station , breakfast substantial . much view though ! would recommend anyone want close City , Globe theatre , Guys Hospital . 
 Aug 4 2008 	 could well 4 star hotel 	 book hotel two night stay go Motor Show Kylie 02 . upon check - in allocate room & quot ; new wing & quot ; second floor thought would benefit we ! sadly involve long trip heavy bag lift not go second floor new wing . room modern view sadly nearby Tower Bridge station noisy - thought might get river view . order morning newspaper not show first morning enquire reception say would get sort would not charge . evening newspaper still arrive next morning day 's paper not arrive either big disappointment . breakfast quite limited situate small room ever . morning sit virtually top next table little bit close comfort first thing morning people not know . location hotel good get Thames Clipper boat tube station . disappointed hotel think 4 star hotel would give well service will not stay . 
 Aug 2 2008 	 Excellent Service 	 one favourite hotel . staff excellent , always smile , always willing help hotel perfect . the room impeccable , clean , roomy enough unless course expect play american football room . please remember hotel back garden ( yard ) .this time fortunate enough upgrade thankful . the check - in quick stress free . the check - out grateful . the hotel excellent location next London Bridge main line underground station give easy access London surround . borough Market 5 minute walk great place wander later people watch either nice coffee beer . would stay - yes.would recommend - YES 
 Jul 31 2008 	 Nice hotel great location 	 spend night London Bridge Hotel watch Kylie O2 . stayed 5th Floor superior double really nice , smallish nicely furnish decorate perfect rail underground connection . public area good breakfast service food good . problem safe swiftly pleasantly deal concierge / front desk . do not spend long enough Hotel give 5 , reserve anyway special hotel ( like Park City ) , definitely stay need central London . 
 Jul 31 2008 	 treat 	 great hotel everything perfect 
 Jul 30 2008 	 great hotel good value 	 great hotel . stay mum two night July year either side holiday France . hotel great location near London Bridge railway station - station noise . good area walk around see main London sight - River Thames , Tower Bridge etc . good twin room , find room safe working immediately move spacious room many apology hotel staff . quiet location handy taxi station . first morning stay leave early order go holiday hotel give we pack breakfast breakfast include online rate . next time stayed make include full breakfast really nice . we book online hotel website pay £ 120 we nice room full breakfast . I stay London many time work hotel nicer less expensive many other stay in . hotel staff friendly . food Georgetown Malaysian Restaurant hotel excellent friendly service . room modern flat screen tv , modern soft furnishing etc . bathroom clean good quality shampoo , shower gel etc . we would definitely stay due good service , good rate quality hotel . 
 Jul 28 2008 	 good hotel - get good room 	 first room break window right next sort ventilation shaft . ask different room , night staff tell hotel full tha would send someone shut window . 45 min , one porter one night manager later window still not shut magically another room available . move . point onwards complaint ; fact apart - hotel good . 
 Jul 26 2008 	 Lovely Hotel 	 speak highly enough London Bridge Hotel . room delightful , service brilliant breakfast superb . stay three night July wish long ! ! ! thank staff . 
 Jul 25 2008 	 great stay 	 check bit slow due annoying guest hotel staff , hotel staff helpful friendly . room really nice good bathroom bed comfortable . breakfast good great . location excellent , near sightseeing bus london bridge underground . love walk along southbank . 
 Jul 21 2008 	 great Stay LBH 	 find hotel Hotelsclick.com . great price . hotel convienient location . borough market close , well many London sight . London Bridge tube station stone 's throw away . also many taxi right front hotel . even though hotel fabulous breakfast include price , many place eat nearby . post office right around corner well . room cozy quiet . also little small , Europe way . stay 3 night Mediterranean cruise . would stay . nice staff well . 
 Jul 21 2008 	 great location great hotel 	 stay London Bridge Hotel one January weekend back 2006 . would definitely stay London Bridge Hotel . actually would say 's real find.+ great location , 5 minute underground+ Nice & amp ; well keep room .. comfy beds.+ clean bathroom- poor service . unlucky . service reception definitely average . 
