nice 	 visit hotel 7 night November , pleased service receive relative good price pay stay . hotel relatively central location , minute away tube . room basic whatever necessary make stay good one , clean fresh towel provide daily basis . breakfast good one , fresh fruit really fresh , whilst hotel environment staff extremely helpful . hotel ideal anyone look centrally locate budget hotel london good price , would recommend hotel anyone . 
 oct 9 2005 	 good budget hotel 	 hotel nice ... budget hotel . conveniently locate near two tube stop ( 5 minute walk bayswater 10 minute walk Paddington ) . breakfast buffet large diverse . single room small , well furnish many room ' ve stay Europe : tv , desk , wardrobe , even balcony . staff helpful friendly . with say , agree complaint reviewer : could get warm water sink , A / C , could hear guest walk hallway . 40 pound night central London , really can not picky . hostel stay early week cost ! thing consider , think good value money , would stay . 
 Oct 2 2005 	 good location 	 persuade attractive website , reason stay close Notting Hill reasonable price . staff sweet incompetent , non - smoking " grove room " tiny still smell smoke , bed lumpy , shower small little water pressure ... much well place stay London . 
 Sep 29 2005 	 Excellent Location 	 look old english hotel great location friendly staff certainly find Westminster Hotel . the Hotel old musty odor stairwell , elevator use avoid . trick flush toilet bathroom clean be fifth floor , large tub . bathroom second floor small shower . the staff friendly eager help we direction , bus tour , etc . breakfast room downstairs serve cereal , bread , fruit , yogurt , coffee . small bar upstairs . the Bayswater Tube Station short walk away neighborhood surprisingly quiet great location . go explore first day end Kensington Gardens ... eventually Oxford Street . nice walk , although take tube back Bayswater Bond Street . there mall around corner , complete Starbucks , Burberry movie theater . many cafe 's restaurant within couple block . lot souveni shop many western fast food place like KFC , Pizza Hut , McDonalds , etc . within block . as say ... Excellent Location . 
 Aug 25 2005 	 Sub Standard 	 warm water run cold toprooms hot air conditioningnoise surround street appaule ( loud music resident early hour ) poor maintenance roomsshower run trickleNo mineral water provide room even though website indicate provide - perhaps evaporated heat ! clean staff make much noise consideration guest disturb sign . wall thick room sometimes hear next door tv ! ! room serious need update . 
 Aug 5 2005 	 average 	 hotel look ok get like hotel always try make reception area look good hope arrive room . room pretty average somerespect date however sign management endevouring update partd it . the corridor really outdate look , wiring be not hide way clip call paint number time . the floor board creek matter step floor uneven place . the Staff reception really friendly helpful deserve top mark . the housekeeping staff however barge room one knock door do not give time respond , also make much noise possible unknown reason go room room , move equipment shout colleague case totally ignore disturb sign , fact later day sign still door still knock can not get strat ring telephone - really stupid . the hotel say face quite garden area bayswater , however garden park next use hotel , addition resident round play lot loud music till early hour depend weather condition outside time year . problematic air conditioning room ( get hot ) open window permanantly try get air move . window original sash type often drop u least expect . double glaze either . the bathroom could call cupboard contane shower toilet . big person havnt hope hell get . cupboard small room sink place main bedroom area . the wardrobe small , ok size contain 4 hanger exactly enough today traveller . iron board iron provide really useful . there extra charge use inroom safe deposit box bit naff , service within daily rate addition . the internet access laptop user £ 7.5 24 hour period however warn 24 hour period run mid day mid day mid day hotel 11.00 buy 10.00 get hour - - pathetic . overall hotel good previous user say get pay however hotel get alot price . 
 May 3 2005 	 Decent 	 Westminster dump , Ritz either . basically , get pay for . the room small side , comfortable fairly clean . complaint weird odor , would not doubt furnace rather moldy . complimentary breakfast nice bonus . although nothing special , ( juice , bread , milk , cereal , coffee , tea , yogurt ) nice start morning . the staff friendly helpful , location great quiet area Notting Hill Gate overlook courtyard . comfortable , nice - look , job . thank , Westminster Hotel ! 
 May 3 2005 	 GVFM ! 	 ok , five star hotel advertise one . get great rate room one night stay bank holiday weekend ( pay 40 pound single room ) . room pretty basic say least could benefitted refurb pay alot London accomodation happy enough . en suite shower facility , pretty basic clean . the location pretty good bayswater tube station minute walk away good place eat close hotel . hotel set quiet square gardens middle make quiet . one word warn though ...... place make international phone call . quick flick hotel brochure bring light three minute call Australia cost 23 pound hotel ! ! ! ! ! excuse nowadays get low cost call company charge 3p minute Oz ! ! would stay need bed night London want seriously pocket . staff pretty friendly good value money . 
 Apr 29 2005 	 would definitely go back Westminster Bayswater 	 two sister stay Westminister Hotel , 16 Leinster Square , Bayswater go London last week 2 night Dublin . book online stay triple room bright , spacious , smoke - free , warm comfortable bed - 1 double bed plus 2 single bed . 3 wardrobe room normal sized bathroom . everything clean important us hotel staff provide bottled water tea / coffee make facility ( well , ask water advertised website ) . continental breakfast really lovely , plentiful serve big breakfast room . one sister vegan staff kindly store dairy free milk int fridge near reception ! come couple drink remember open window turn radiator room get quite warm night ! Bayswater & amp ; Queensway Tube Stations 10 minute stroll away around corner hotel beautiful organic store sell everything include freshly cook take - away organic food . definitely stay Westminster Hotel would recommend anyone . price work Eur56 per person per night incl . breakfast - perfect ! 
 Mar 12 2005 	 ok 	 hotel ok . particularly , room small strange odour come bathroom , reckon . smell pleasant . also , floor keep crack neighbour upper floor get morning could not sleep long . one problem housekeeper keep break room early morning make loud noise cleaning . hotel average will try find something else next time . 
 Mar 3 2005 	 fairly basic ok 	 room single , really quite small , clean everything would expect price star rating . radiator full not seem able turn open window night otherwise 's fine night 's stay trip , though perhaps good staying long want hotel memorable feature holiday . nevertheless staff friendly , complimentary breakfast ok , bed comfortable location safe close tube variety restaurant . 
 Feb 10 2005 	 recommend 	 westminster hotel excellent price . twin room large bright , although bathroom quite small . staff really friendly breakfast adequate . lot choose eat much want ! disadvantage find distance tube station . get taxi Paddington station get around London . location nice , quiet street lot shop walk distance . would definately stay . 
 Feb 9 2005 	 Good Value London Hotel 	 stay Feb 2005 . good quiet location , 15 minute walk Paddington , 5 minute bayswater Tube Stop . tiny room , clean , bed comfy decorate . breakfast adequate , continental breakfast include price pay additional £ 3 also fry breakfast . staff indiffernt . however pay £ 61 two we , can not really complain . 
 Feb 6 2005 	 Nice Place Stay 	 spend weekend July Westminster lovely stay . share room two friend , triple nice size . linen fresh room well keep . bathroom , small , clean . someone else comment , toilet not always flush first try , find pretty common toilet UK ... really work differently american toilet . breakfast much well expect several tasty option instead typical toast - and - jam & quot ; continental breakfast & quot ; ' ve UK hotel . staff polite helpful give we direction help we plan outing around town . location great , hotel quiet street short walk away variety restaurant shop . inconvenience encounter elevator go fourth floor , room fifth . bit hassle drag luggage extra flight stair , elevator either slow working . besides , great stay would recommend Westminster anyone look decent , not - overly - price place stay London . 
 Dec 19 2004 	 surely good affordable 	 easy find Hotel London afford clean . westminster . room small , old house , connect , view yard backside absolutely awful , close eye , curtain . bathroom pretty clean , white tile , spacy , really ! ! warm water appear & quot ; quarter hour & quot ; , walk room lot different level floor , not drink walk . 2 room , one mum , room terrible small , one single small bed , even problem store luggage . the breakfast pretty good , ok , fully cook , order 3 pds . , buffet , continental , well equip . this Hilton , stay week , one day rate . way tube 5 - 10 minute walk , area busy , step away hotel , hotel calm , even adjoining youth hostel not bother we . if would stay ? ? think , decrease quality . 
 Dec 8 2004 	 Westminster Hotel 	 Good price hotel nice location . room bit shaby need repair , clean everything work . 
 Dec 5 2004 	 Great Value Money 	 read hear many horror story 2 3 - star hotel London , choose hotel good comment read . disappoint , great stay . hotel well - locate , service - orient , spacious cozy room . guest combination UK - business man , young american european adult . see hotel category look like London , felt get great value money one . 
 Jul 6 2004 	 good value 
 Jun 17 2004 	 enjoy stay 
 Mar 26 2004 	 Loved - Perfect student traveler 
 Dec 10 2003 	 give one miss 
 Oct 23 2003 	 good breakfast 
 Jul 30 2003 	 small cute 
 May 21 2003 	 definitely tourist class hotel 
 Mar 4 2003 	 theme hotel 
 Nov 16 2009 	 Muy bueno 
 Nov 9 2009 	 Buona base di partenza per visitare Londra 
 Oct 20 2009 	 Trevlig personal på lungt hotell med turiststandard . 
 Sep 20 2009 	 Hôtel pas mal bien situé mais un peu cher pour ce qu'il est réellement 
 Aug 12 2009 	 Buon hotel basso budget 
 Jul 22 2009 	 Accogliente 
 May 29 2009 	 Bon rapport qualité / prix et quarti calme et sympa 
 May 17 2009 	 Buon rapporto qualità prezzo hotel carino e comodo 
 Apr 19 2009 	 Buena ubicación mejor limpieza 
 Mar 31 2009 	 bella sorpresa 
 Mar 17 2009 	 Mauvaise expérience à LONDRES 
 Mar 11 2009 	 Excelente relación calidad - precio limpieza 
 Feb 25 2009 	 Tipico Inglese 
 Feb 8 2009 	 Hotel en maravilloso barrio de londre 
 Feb 5 2009 	 hotel très bon rapport qualité prix 
 Dec 26 2008 	 très bon rapport qualité / prix 
 Oct 31 2008 	 umi - perfecto 
 Oct 23 2008 	 Alles perfekt ! 
 Mar 30 2008 	 Más ventajas que inconveniente 
 Mar 5 2008 	 Génial ! 
 Jan 17 2008 	 Non male 
