great 	 great hotel location transport link . room large New York , clean , large clean bathroom . use iron board free safe room - would definitely return next NYC . 
 Nov 20 2006 	 bad NYC 	 spend three night BPH celebrate wife 's & quot ; 10th 30th birthday & quot ; . expect tiny room clean enough . impressed size room 7th floor NW corner side building . queen bed , small sofa , write desk spacious bathroom . 3 6 foot window look alley way building behind we add light . room well light , nice tv comfy bed . shower small , plastic dark not spend whole lotta time care ! think pay $ 189 ? bit pricier normal due US Open Tennis final 5th year 9/11 rememberance event think . the location ideal want , see touron sight lot Broadway show . subway entrance 50 step outside hotel entrance . walk everywhere take subway everywhere else . hotel garment district lot businessman buy sell wholesale chinese junk day . go day friendly accomodate touron roam street . night place street pretty quiet buttoned . walk 2.5 mile ( ? ) home theatre district nightly feel perfectly safe . the staff nice friendly always ask could help . hit breakfast adequate , coffee , fake juice lot bagel . about New York . city alive , vibrant great shape ! people friendly overly helpful seem real sense community 9/11 . right 9/11 5th year anniversary remeberance city seem go 's business rest U.S .. New Yorkers live live seem touch everyone around whether native . see homeless people , matter fact approach panhandler suburb central Texas one morning commute whole 4 day NYC ! great show see : Wicked , Color Purple , Jersey Boys . trip Rainbow Room atop 30 Rockafeller Center view city Empire State Builidng night worth $ 12 glass wine .... not forget go man 's restroom high view city urinal ! 
 Nov 16 2006 	 leave lot desire ! 	 stay Broadway Plaza Hotel November 2006 business trip . hotel marginal area city , appear quite deserted seedy evening . hotel obviously much old , appear recently remodel . clean , seem bit rundown . continental breakfast consist danish , bagel , doughnut serve tiny room table . hotel restaurant bar . also upscale even midscale restaurant close vicinity . definitely place would choose stay , even low price . Broadway Plaza , get pay ... 
 Nov 6 2006 	 strictly budget hotel 	 stay three night . problem benefit . benefit : excellent nice staff . helpful . decent location , though night much open around hotel , single woman , not thrill walk around . inexpensive . room attractive . room service local restaurant ... good . problem : near office someone smoke day , hall way smell like smoke . the window seem like go fall sill ; almost ask move window would not close noisy , not go room much anyway.no coffee maker.no internet service . the continental breakfast not hot . the whole place pretty old , since , find kind dark depressing . glad leave ... budget , affordable hotel Manhattan . would stay desparate . 
 Nov 1 2006 	 clean reliable 	 nothing fancy , clean realiable . positive : 1 . room bathroom large . 2 . room / bathroom , clean . 3.great view Empire State Building . 4 . quiet ! ! 5.complimentary continental breakfast plentiful fresh . 6 . shower water pipe hot pressure strong . 7.24 / hr . coffee / tea breakfast room . 8 . staff friendly accomodate . 9.they happy store bag check out . negative : 1.room bit need spruce . 2.breakfast room tiny , 4 table , people haul food back room . 3.immediate environ bit seedy , fine couple block . 4.no lobby speak , reception desk . 5 . last week , one peak travel period , grossly overprice . staff tell 's half low season . would definitely go back low season , would excellent value . 
 Oct 13 2006 	 Broadway Plaza Hotel Rocks ! 	 never NYC , lot research hotel , like review BPH , book . review right . hotel clean , nicely price , staff polite helpful , view Empire State Building room spectacular . not put one elevator go past 7th floor , surround neighborhood seem times shady - rest hotel nice feel plenty safe . stay BPH , get deal ! 
 Oct 10 2006 	 great little hotel 	 Mum stay Broadway Plaza hotel 5 night September . first trip city one enjoyable hotel experience . reason end majority available room hotel time either hugely expensive 1 bed . read number differ review make choice hotel please . address review , yes quiet night around hotel look little scary , problem feel safe walk around . time pass front door hotel door man friendly happy offer helpful advice question . location fantastic , walk town Times Square beyond also Greenwich Village China Town find easy enjoyable walk . subway station nearby frequent service take we anywhere else want go . room large 2 double bed large bathroom bathtub nice long day walk . view amazing , empire state building feel close window could almost touch ! ' m sure every room view like ask check . airconditoning little bit noisey , one one high floor open window . breakfast nice touch , choose take breakfast back room eat enjoy view , need sit small room lot people walk around . tea coffee available time really good well . thing like good hotel small , staff friendly helpful experience long . lose money vend machine thought would not get back , problem , tell person front desk promptly refunded money give direction nearest convenience store . people interested spend money designer bed fancy toiletry , might hotel , thing spend money want classic hotel breakfast friendly staff probably good choice . come back New York will stay . 
 Oct 3 2006 	 good value 	 room clean tidy great view empire state building staff friendly . breakfast convenient consist pastry muffin use ( would ' ve nice cereal toast ) . price affordable compare hotels city ( $ 169 night ) . great location - real close subway pretty dodgy part city though . otherwise great place stay . 
 Sep 30 2006 	 First Time New York Great Experience ! 	 first time New York little skeptical hotel . read reviews Trip Advisor book decide stay . location scary first , people actually nice . hotel staff friendly helpful room great . hotel locate near Subway take Subway everywhere . Definitly subway pass plan staying day , worth . hotel locate Flat Iron district . far Empire State Building , ride subway get anywhere else want go . overall , would recommend hotel anyone come New York day , great experience first time visit . stay . also attach pic room , hope help . 
 Sep 13 2006 	 bad 	 staff friendly courteous . the location great . room clean , large comfortable ( mini bar would not go amiss ) .good value money overall . the bad thing token breakfast . it ' serve ' 7 9 am . make time coffee room small table ( occupy ) . selection donut / bagel / pastry side look ok . try pour coffee weak tasteless end go cafe road 5th avenue . I would say get breakfast cafe part New York experience anyway ! would stay . 
 Aug 12 2006 	 great short stay 	 stay two night Boradway Plaza first family holiday United States end July . read review prior select Hotel , well prepared hotel prime location . however , time feel unsafe . first trip Manhatten , hotel kindly provide we room view ( Empire State Building ) 11th Floor . room large , clear functional . although breakfast could compare breakfast serve hotel Europe ( even small B & amp ; B would probably well ) least well nothing . the Hotel well position easy reach subway station , Time Square , ESB Flatiron Building . even walk distance Hotel World Trade Centre site Battery Park . staff friendly efficient . one last word ... look good pint large reasonably price food go O'Reilly 's bar block Broadway . 
 Aug 3 2006 	 good bad ugly ... 	 's story . the good : Broadway Plaza great room . be clean , be comfy , be princess will fine . think Holiday Inn pre - makeover . nothing super special , fine . place small 's nothing room make cringe . certainly well deal Pennsylvania Hotel bathroom look like something horror film . worker generally friendly slight snappiness front desk be busy . the bad : lobby tiny . big deal , unless be check time guest . elevator take forever sometimes , since 1 guest use . ' free breakfast ' room pretty overrated . be like lounge back bank employee drink cheap , bad coffee mid - morning toast bread toaster grandma throw 5 year ago . the ugly : New York pretty city . generally feel unsafe anywhere city , especially be use . say , neighborhood touristy whatsoever be New Yorker be go feel place possibly weary surrounding first day two . go upstairs pizza place next door . seat venture find drug deal go around we . keep mind New York happen anyway - maybe noticeably place . be go night , desk guy flag car . walk straight car issue . be group , huge deal . nice affordable hotel hard find NYC one not horrible , be first timer be & quot ; street savvy & quot ; favor spend couple extra buck close Times Square light always bright nothing lurk shadow . also , note Expedia overrate hotel . mean 3 star . . 
 Jul 29 2006 	 right location Right price 	 look hotel Midtown good price two adult , one teen , one child . hotel fill bill . stay four night June 2006.it one block subway station within walk distance Flatiron Building , Empire State Building , Times Square , etc . take train NYC able walk five six block Penn Station hotel . broadway , walk north south quite interesting . area little bit scary night , much unsavory character , street dark . room two queen bed nice size . bathroom small , clean . plenty towel bed linen we . staff neither friendly nasty , functional . skip breakfast . worth climb stair take elevator . go Starbucks street coffee croissant . for wife , would choose hotel little upscale romatic . however , child , hotel right . 
 Jul 6 2006 	 great view - good value 	 stay hotel july 2005 3 nigth husbond . get room 4 th floor great view Empire State Building . 's walk distance attraction . breakfast allright , staff helpfull . negative thing surround street seem bit unfriendly . however , problem . the value good , consider N.Y. price . 
 Jul 5 2006 	 second visit good 	 second stay Broadway Plaza hotel , say disappointed time . good part double bed comfortable , staff friendly always downtown location convenient love downtown . bad part air conditioner turn five minute loud noise , bathtub stand water shower drain slowly elevator slow . stay 7th floor one elevator , slow . bad part go get extra pillow shelf , look like ceiling tile pillow . look see ceiling look chew scratch . piece carboard tape , could still see hole ceiling . see rodent , appear problem . eventhough build old like NYC hotel , still able control rodent problem . even problem still mostly enjoy stay , disappointed problem room . would consider stay hotel , could not find anything else . 
 Jun 23 2006 	 perfectly fine 	 clean , large quad room large bathroom ; friendly , helpful staff ; breakfast breakfast room bit disappointing , job ; lift slow , must patient ; close subway ; typical new yok neighborhood ( ie , busy potentially dangerous be aware surrounding , otherwise fine ) ; one big complaint : pigeon rodent seem scratch vigorously day night wall hotel room -- bit disconcert 
 May 7 2006 	 Good Hotel great price 	 bug animal love room lot space worth stay 
 May 6 2006 	 friendly comfortable . 	 friendly staff , clean tidy hotel / room . 24hr tea coffee great idea , ( buy mug not like polystyrene cup ) . breakfast donut toast Bagels cream cheese / jam , unusual us Brits tasty week . overall great place stay central attraction . if read previous poor review note follow : -1 ) People outside black plastic bin liner buy ' minimum 10 item ' wholesale shop line street that s package . try sell mean people tme safe else , ( worrier ) . look ominous first get problem.2 ) toilet block that s design , plumbing , carefull.3 ) lift , call waitng , patience work fine.4 ) bed comfortable . compare Hotels country good would definiteley stay . 
 Apr 25 2006 	 Garbage Dump 	 first time US absolutely love NY . come back city way ever stay hotel . neighbourhood good hotel make look scruffy garbage bag people outside . girlfriend actually scare walk around area outside hotel . the morning breakfast consist plate dry cup cake cream cake . never eat hotel first day . also get rip vend machine work properly . the room scruffy , carpet ancient bathroom ( quite clean ) date . bed disaster bad time sleep stay . first night thought could hear rat / mouse scratch wall ! total rip money spend , know could much well money . 
 Apr 10 2006 	 Excellent Hotel 	 arrive hotel late night St Patrick 's Day , initially stay one night . staff excellent , accomodate request extend stay . great hotel , great price . room massive clean . location excellent . would definitely stay Broadway Plaza next time ' m New York . 
 Mar 21 2006 	 price could probably well . 	 expect hotel alot well . pay $ 1200 4 night stay week Christmas price expect something bit upmarket . room fair size mark wall , chip mismatched furniture decor generally drab . however enjoy fact within walking distance Times Square , Fifth Avenue Empire State building . lot street seller around hotel selling assume steal counterfeit good . intimidate we first day accept NYC . problem walk all . the staff hotel helpful . need internet cafe one day guy behind desk give three address . know opening time price handy ! ! hotel ideal want place rest head wash without far attraction . hotel may expensive Christmas price pay bit disappointed . 
 Mar 16 2006 	 Broadway Plaza Hotel 	 first trip NYC , ' ve always tell can not get decent hotel room town $ 200 / night . naturally bite suspicious rate Broadway Plaza Hotel quote $ 119 / night Travelocity , review , part , pretty good location seem acceptable , decide give shot . man , glad ! love hotel ! staff friendly helpful , room HUGE , continental breakfast 24 hour coffee great ! true , griped neighborhood bit 's true hotel locate northern part Garment district , absolutely love colorful area town . neighborhood genuine feel - NYC , phony tourist creation ! ! ! area clear night shop close , be tranquil peaceful . way ever feel even slightly unsafe . also , Times Square Flatiron building short walk away , be subway station right 28th Street convenient ! place rock plan stay next NYC adventure ! high recommendation ! ! ! 
 Mar 1 2006 	 job couple night 	 need overnight hotel stop move apartment ny - book via Orbitz , well cheap . $ 98 night plus say offer room service . arrive tell hotel overbooke find room - large room 2 double bed simply enormous bathroom NY standard suspect would get $ 98 room thing may different . good thing room quiet outside , literally odd car go past beep horn NY noise . & quot ; Room service & quot ; turn restaurant next door hotel hook stay closed renovation get menu bring room plus food arrive security man call first let know etc , think good . stay NY 3 night would probably pick another location happen need place crash recommend hotel . PS reviewer criticise neighborhood - yes geezer hang around try sell sunglass whatever 1 . go home shop shut 2 . single woman UK living ny tell threaten neighborhood ; need look like know go not mark muppet 3 . far far bad area Manhattan . try Port Authority want dodgy geezer . 
 Dec 22 2005 	 great budget hotel 	 book hotel internet bit wary mixed review site . nothing fear . upon arrival offer room view look Empire State . room spacious 2 we bathroom certainly large Howard johnson stay last year . room clean service friendly efficient . the neighbourhood great New York . certainly crowd young man sell fur , watch sportswear black bag street outside day not encounter problem apart busy sidewalk . area clear walk back hotel night certainly feel threaten despite couple late night walk back . never approach anyone . ' ve scary journey home many city uk.the subway close hotel easy walking distance Flatiron Midtown area . 
 Dec 9 2005 	 Hell Broadway ! 	 hotel terrible . it trap - appear like less expensive option stay Manhattan - trust usually manhattan pay $ 300 night stay $ 150 night hotel - pay $ 150 stay $ 40 night hotel.1 . ) awful smell permeate entire hotel describe somewhere rot food cheap cleaning agent . can not overemphasize bad smell ruin entire stay . 2 . ) elevator not work . mention prevously 7th floor ( vend machine ) essentially unreachable elevator - unless crowbar break elevator door . way staircase smell disgusting - find trap 7th floor . 3 . ) neighborhood scary . fairly season traveller even scared ( mention wife fearful stepping hotel door ) . postive drug sell outside hotel door purse snatcher prowl . ask cabbie tell tourist area . website point close hotel major attracttion - run gauntlet aggressive peddler get them.4 . ) bathroom recently rennovate - shower pressure terrible - would well splashing sink . it not bad 1 . ) Doorman really good . area tough get cab great job - go work well hotel.2 . ) wireless internet work great . stay away not fall TRAP 
 Dec 5 2005 	 Chemical soup 	 try prepare neighborhood , not . Black Hole Calcutta isolate 2 block direction , fight way door across near intersection . People street self - absorb incredibly beyond - ny rude , stand still stop suddenly & amp ; veer unexpected direction , carry roll black garbage bag . ' m use vendor table - people stand way , hawk pull merchandise garbage bag . discount parking garage 3.5 block away , other close 24 - hr parking . the nightmare inside . initially give room 508 . stench fragrance carpet re - odorizer & quot ; make smell like something else & quot ; unbearable . ask another room , get 506 problem . still smell . man - make fragrance give asthma seizure - double medication . lobby fine , hall smell , elevator smell , someone continue spray / treat elevator first one strong odor , . spray room bed linen repeatedly & quot ; Smells B - go & quot ; still could not sleep first night due reaction . clean staff loud , problem already awake . follow direction clean room night . stay late order avoid room . could not sleep night leave window open fresh air cold . why would need many fragrance ? hotel one time accept pet . accord staff member many garbage bag ' vendor ' keep room restock ware . wall around air conditioner mildewy . husband think carpet odorizer cover smell vomit , not see stain . the toilet stop . towel rough small wrap around husband wear size small shirt . small plastic shower light fixture , dark . towel bar hook within reach shower generously sized bathroom , 1 storage rack ( cheap easy fix ) . vent fan . the melamine not even completely cover particle board sink cabinet . the door one elevator would not open 7th floor vend machine . internet access additional $ 10 / night $ 280 / night room . give code , also provide tech support number , know would need - never need assistance hotel , sure secure connection . call desk turn phone could call tech support know would need . small continental breakfast room everyone look miserable although not speak anyone . the room clean ( accept AC mildew ) stinky , bellhop wonderful , sew kit room useful . suspect review write staff may adequate experience , rave review would impossible . 
 Dec 2 2005 	 love ` ` gritty '' area - safe . 	 fly 22 hrs arrive NYC first visit , greet wonderful Doorman , & quot ; Richard & quot ; front desk staff evening . need anything do info . Richard man ask ! fact staff pleasant . stayed 7 glorious night . read reviews & quot ; grittiness & quot ; area , welcome part true NYC experience , oppose staying touristy area . bustle day , however surprisingly quiet night . never feel unsafe all . our room 6th floor ( 606 ) look straight Empire State Building . large Superior Room ( 2 bed ) , small dining table , desk , load cupboard hang space , large bathroom & amp ; heated . clean , plenty towel available . room personal safe also ... add bonus . excellent access Subways , eatery , taxi , bar & amp ; club many many NYC attraction . think perfect place stay & amp ; would definitely stay again . the negative find , house - keep staff tend little noisy morning . little bit door bang go chat hallway amongst , become annoying try sleep - in . 
 Nov 24 2005 	 Great experience 	 stay hotel 3 night . travel two kid well another couple . room 4th floor - 403 couple face street roomy street noise night . 408 back quiet . huge room although tiny shower . room clean . breakfast consist pastry , bagel , tea , coffee , juice ( toaster available butter jam ) . always seem plenty available . staff extremely helpful question etc . arrive hotel ( 7.30pm ) bit unsure would like neighbourhood not look good excellent neighbourhood fine . hotel handy tourist sight on / off bus suit we fine . 
 Nov 15 2005 	 would definitely recommend 	 read nearly hotel review NY TripAdvisor , go one , reasonably price largish room . go mother , first - time trip ny please hotel . one superior room ( not want we fall ) clean room two double bed , freshly decorate , good size bathroom plenty towel , great view esb plenty space . staff pleasant helpful , traffic noise ( 9th floor ) much quieter expect , breakfast unlimited bagel , cake muffin fatal waistline ! Liked 24hr tea coffee available breakfast room ( not miss kettle room ) .easy get around , plenty cab 6th 5th ave . Broadway hotel rather dark quiet late , unnerved mum bit - would recommend walk up / down 5th ave , turn 27th st hotel , rather walk latter part Broadway . day time hassle ( hassle night either - fact quiet ! ) would definitely recommend someone want decent , fancy schmancy hotel sensible price . 
 Nov 15 2005 	 nice hotel ... bad billing policy . abusive management . 	 Untill recently always nothing good expierience hotel . make reservation mid october . arrive check rate quote change . though may fair rate time year . fact different quote . point gladly agree orignial quote rate would stand . work do thi elevator weekend thus minor inconvienience due noise availability . also clean staff never actually clean room . none affect Opinion hotel . always stay visit new york figure grow pain part enterprise . go check find change rate . signifigantly high originally quote agree upon . tell must misunderstood . since misunderstand possible offer split difference . stand thi increase rate . find actually change room rate day check , low comprimise offering . give . outright deny complaint noise cleaning staff stand fast thi rate . tell leave option file grievence credit card company management get mad abusive . leave . file greivance addition plan file review expierience right . not matter helpfull staff managment unruly unyeilding . regardless rightous feel thi rate . satisfied ignore complaint . stand never stay can not recomend expierience anybody . 
 Nov 8 2005 	 Excellent Value 	 four we stay 3 night October think excellent hotel . small might spacious comfortable great location Manhattan . room extremely clean find staff helpfull . return New York , stay Broadway Plaza hotel . 
 Nov 3 2005 	 Great Place Stay ! 	 stay October 28 one night junior suite , two queen bed , living room area , large bathroom . nice quiet room . second floor , really not experience much noise . staff helpful hail cab we recommend good place eat breakfast . subway close line access Times Square Central Park . yes , cheap shop around , care ? 's part New York . would definitely stay ! 
 Oct 28 2005 	 well expect 	 spend 5day 's hotel staff could nicer edward doorman team clean team front desk team helpfull ! hotel make despite people say pub 's area ask look ! ! find irish bar 31st call o'rielly 's find food attatche restaraunt superb , nice bar relax chill staff nice , stay 9th floor good view 's empire state building , also subway 1 min away , attraction minute away subway.overall would stay hotel go new york would recomend anyone . 
 Oct 18 2005 	 think - Broadway Plaza 	 book hotel base picture way look deceive . not look closly miss hotel entrance among gate store front . lobby size small apartment dinning room . room clean good size could not look self mirror bathroom door open . breakfest talk bad coffee old donut . breakfast / coffee room 4th floor small hotel room . staff friendly man door man first day front desk person next night . bar resturant area night street dark abandon . 
 Oct 12 2005 	 central comfortable good value 	 pick hotel reading review money one central high recommend place go . disappointedthe room good size , clean , comfortable everything work . really need sleeping spending day foot see sight . maybe romantic weekend break could go bit upmarket go one big hotel view central park nearer time square . the hotel bit tourist centre mean quiet nightime try get sleep , though 2 stop subway times square 15mins walk empire state macys . day shop around sell cheap watch t - shirt , not feel bad walk city . big bonus subway one block away broadway line get place want go quickly easily . feel quite safe use subway never crowd intimidate like london underground . want delis 6th avenue block away , plus mcdonald milkshake 11 pm want . excellent jazz club barbecue style restaurant 27th lexington ' jazz standard ' . also good view empire state building room check visibility observation deck go . breakfast fine . bagel , doughnut pastry . tea / coffee orange juice available day good . vend machine well not enough . we happy hotel really suit need 
 Oct 7 2005 	 gem ! 	 stay business . , hotel location ideal . familiar city , think , fine location . familiar want stay touristy area would probably pass .... except fact staff helpful sure could get anywhere want go . room large NY standard , clean . also impress selection cleanliness breakfast room . become NYC hotel choice . 
 Oct 7 2005 	 great find . 	 book hotel directly read many review website . stay week would definitely recommend good value money , especially compare similarly price hotel New York . room big , clean ( maid come every day fresh towel ) concierge really polite helpful . not first time New York feel perfectly safe area ( contrary review ) think recommend first time visitor , would say area fairly quiet night much happen might prefer staying bit uptown Soho however , not really bad word say experience . breakfast adequate not mind take room . be well situated brisk 20 minute walk soho , 10 minute walk direction Times Square . would definitely recommend stay ( ' m fairly fussy ! ) 
 Sep 27 2005 	 pleased choice hotel 	 thank really good rate Travelocity , stay Broadway Plaza 4 night end August . 8th floor room direct view Empire State Building , nicely light evening . carpet clean first night ( need vacuuming ) leave note housekeeping take care next morning . , room bathroom clean spacious ( much large another NYC hotel husband stay early year ) a / c low keep room comfortable . must also drown city noise sleep well 4 night . staff friendly 4 day . continental breakfast limit , least get bagel ( pastry ) , juice coffee morning . breakfast area crowd , take food room . hotel convenient subway station ( go door turn leave ; walk 1 block ) . hotel subway station & quot ; wholesale & quot ; store sell clothe , perfume electronic . addition , certain time day , lot sidewalk vendor , walk luggage challenge , never seem dangerous , crowded . pleased choice . similarly sized room nice area NYC would easily cost twice pay . 
 Sep 22 2005 	 many shortcoming 	 hotel clean . , say would want stay again . the room noisy due fact night long truck move freight many counterfeit merchandise business surround hotel , room ' window sound proof . room hot could turn air conditioning old even noisy . although hotel advertise would get either king size bed two queen , get either . give room one queen size bed . choose hotel other baby need space , tell see request reservation system blame travel agency . state full capacity could offer we different room . Friday night New York City , would difficult we find another room another hotel . therefore , stay consequence . if want cheap hotel , planing stay much time , not mind sleep well travel child , might good choice . we , ever alternative future . 
 Sep 19 2005 	 highly recommend 	 spend 4 night Broadway Plaza find well keep , clean hotel large room . staff nice always willing help . suite stay two queen size bed sit area fold couch . bathroom HUGE . could see Empire State Building window . admittedly , hotel street appeal . doorway awning flank wig shop clothing store . immediate neighborhood one import / export store sell clothe , perfume , shoe etc . ' real & quot ; New York neighborhood might put first time visitor safe never find reason concern . night store shut make one quiet ever stay visit Manhatten . within block two numerous nice restaurant . subway one block away . would stay highly recommend . 
 Sep 14 2005 	 stay - beware bad customer service ! ! ! ! ! ! 	 not stay , ever . book online re . Sept 3rd . call aug 15th see could add another person room . manager want charge way much add one child tell cancel . call Sept 1st make sure cancel tell be not could not phone book online . even though tell clerk did't access internet . call back speak manager gave run aound . charge credit card 1 night ( $ 160 ) call back get refund tell quickly . recommend place , rude & amp ; mean . plus give folk run around cna keep money . 
 Sep 8 2005 	 great stay 	 back second stay Broadway Plaza , match standard last stay . time get room 11th floor , give brilliant view Empire State Building beautiful Chrysler Building well . room nice size , clean , service every day . breakfast well worth get , although would use tray provide room take back rather eat small dining area . staff extremely helpful plesant , many recognise last year . location pretty much could wish , Macys , Times Square , Empire State Building , Chrysler Building Grand Central Station within easy walk distance , Battery Park financial district short bus ride corner outside hotel , plenty place eat close . area outside busy day many street trader , never bother anyone , female travelling never feel anything completely safe time NYC . 
 Sep 2 2005 	 Location Location 	 family stay hotel 10 day August 4th-14th.2005 need hotel room large enough accomodate five adult , be exactly get , large room low floor two Queen Beds lounge area sofa sleeper . room service day , large & amp ; comfortable . Coffee , juice & amp ; pastry available morning include tariff , doormen knowledgeable & amp ; helpful . think may overcharged one extra person check fully . room , although overlook street , quiet , small fridge , certainly one large hotel room stay . area busy , although clean night city cleaner , number business area create lot litter crowd sad say detract hotel , city keep area clean . 
 Aug 25 2005 	 Beware rodent room 	 check pleased size room ( large NYC standard ) . final night , rodent ( sure mouse rat ) run across room floor couch . call , maintenance man not overly surprised . one job , tell , inspect fill hole rodent . get change room , attempt compensate incident . would not stay . 
 Aug 24 2005 	 Great Hotel ! ! 	 Broadway Plaza Hotel really average . the room ( esp . bathroom ) spacious , clean , staff helpful polite . lobby breakfast room small , yes hey ... care . take food coffee room breakfast : ) ok , lot street seller around hotel location , atmosphere really far threaten . within ten minute Macys Empire State Building . Metro Station minute away , reach almost every location within minute ... highly recommend hotel ! ! ! great stay ! 
 Aug 19 2005 	 Good Location 	 stay 5 night March 2005 . Room look pic website except little wear & amp ; tear . good sized room , light poor slept shower fine . agree street outside little put none vendor approach we make we feel way threaten . location excellent Macy 's 5 - 10 min walk . breakfast area joke however , people trip across cup coffee doughnut breakfast . take advice give breakfast miss . morning person enjoy experience . overall hotel good shop around something little less pricey probably get standard . generous 7/10 
 Aug 14 2005 	 Broadway Plaza EXCELLENT ! ! 	 spend lot time seache hotel web NYC finally settle Broadway Plaza , thank large part review website . disappointed . location could well , block walk everything . arrive Sat . area outside hotel off - put part stay , crowded street front small entrance lot bootlegged dvd display . prompty forgot see room . clean large bathroom wonderful view Empire State Building ( 8th floor ) . staff friendly quite helpful , New York . definately return NYC would stay Broadway Plaza . 
 Aug 12 2005 	 highly recommend Broadway Plaza Hotel ! 	 book hotel basis previous review Trip Advisor member , right ! friend stay Aug. 8 - 11 disappointed ! first impression bit unsettling , see sidewalk vendor right outside hotel entrance , New York , never bother we . staff always polite , helpful . entire place clean , even stairwell ! room quite spacious , comfortable bed plenty pillow . tastefully decorate appear new tub , sink toilet . , everything spotless ! great hair dryer , little bottle lotion shampoo , forget mine ! offer continental breakfast pastry unlike ' ve ever hotel ! fresh roll HUGE , easily could fed two people ! unlike review complain long wait crowded room , never stand line , plenty everyone ! real treat save we spend time look restaurant , go early morning late evening . negative tv not seem work well , never say anything , actually tired watch anyway . ask washcloth one night , notice not replenish , bring within minute ! also quiet hotel ' ve ever stay ! ' m light sleeper one time hear anything . know many guest , feel like place ! convenient subway , one block away , block Empire State Building . half hour walk theatre district , little way , great price , book cheapticket , wonderful room staff , worth walk ! highly recommend hotel ! 
 Aug 10 2005 	 Large Rooms Friendly Service 	 true be not great neighborhood lobby entrance way ultra small - room huge accord NYC standard ! find room clean , spacious , well air condition full length bathtub ! nieghborhood bit dicey Starbucks chic shop block away . the staff friendly accommodate request early check - in ( $ 20 extra ) . high speed internet access available modest fee 800 call free . I would stay . 
 Aug 3 2005 	 nice nothing special 	 stay one week , book two room together , pay extra one room three separate bed . room several floor apart , wait 24hour move together . 3 bed room -only get room two double bed .... complain tell not room 3 bed ... given fold away bed , not foot space bed wall . climb bed get bathroom . try one night , uncomfortable gave , Brother sister teen share double bed . imagine suprise read one two double bed sofa bed ! ! request extra pillow 63 yr old mum several time , tell would bring , not arrive week . cleaner repeatedly ignore & quot ; disturb & quot ; sign wake mum several time unwell . also one kid new mp3 player mysteriosly dissapear room without trace , breakfast . , hotel clean , facility good , desk staff helpful excellent location . 
 Aug 1 2005 	 Great New York Hotel ! 	 get back New York stay Broadway Plaza Hotel Manhattan . find hotel via web , include Trip Advisor . great stay hotel would recommend it . the room quite large ( two double bed ) three we . plenty drawer space , desk , chair . bathroom spacious include tub , shower , plenty light , hair dryer . room non - smoking smell fresh . carpet clean . we problem iron ( something scorch ) hotel replace iron brand - new one right away . maid service prompt , efficient , friendly . the good part : fabulous view Empire State Building 9th - floor room . the neighborhood seem fine , block block north busy day people sell shoe bag . ignore & quot ; vendor & quot ; ignore we . we one block subway , easy get around city . 
 Jul 27 2005 	 wonderful truly wonderful 	 not believe everything read ! that s advice . we spend hour look hotel New York reading review website , finally decide Broadway . price probably good decision ever make . take account review book via internet . SUGGESTION - , request 13th Floor ...... whole floor one room ( help lift queue anyway ) room gigantic , big kingsize bed . 6 ft 5 feel lose ! important factor room unbelievable view Empire State ! ( even see hotel room top Empire State ! ! sad know ) yes lot street seller people around hotel location , atmosphere far threaten . 10 minute walk see centre time square ....... price hotel , that s pretty damn good location . if return New York , would hesitation whatsoever book Broadway Plaza . 5 5 , 10 10 I . whatever decide , safe journey : ) 
 Jun 23 2005 	 interest garment district Hair emporium 	 locate next Hair emporium ( sell 100 % real hair 100 % synthetic hair BLENDS ! ! ) unfashionable garment district , Broadway Plaza budget mind . downside : street vendor New York must meet outside hotel work ' good thing . hotel room clean bit dingy . drop ceiling florescent lighting make hotel experience feel like night office instead night hotel — complete lumpy bed . Guest feel safe know lot sprinkler room — mine 5 . elevator apparently must run top bottom hour always wait get one . upside : hotel cheap , locate close area might want visit , room great view Empire State building – want jump instead return hotel room . 
 Jun 22 2005 	 Clean Adequate 	 spend two night Broadway Plaza . arrive day early , hotel room available , want charge $ 55 rate confirm - , spend one night Edison ( accomodate we last minute ) two night Broadway Plaza . front desk businesslike , neither add subtract anything stay . concierge Richard friendly helpful . room clean comfortable . long wait elevator routine . breakfast nothing remarkable . Broadway Pizza next door serve nice breakfast $ 3.00 . subway convienient . like neighborhood . loud , vulgar , sweaty people crowd sidewalk . 's feel unsafe , unpleasant . plus , hotel close much anything . , 's price reasonable . overall , like Edison well . 
 May 31 2005 	 Middle Garment District 	 Husband satisfied service room . arrive early , fine leave luggage Hotel Receptionist went shop right outside hotel . time walk 1 block , purchase cologne , purse , walk suit leather wallet . we even satisfied food street cart ( chicken gyro pita bread ) . great hotel manage keep upscale look among action right outside door . keep great service Broadway Plaza . return ! 
 May 29 2005 	 Great Hotel 	 return 3 night New York Broadway Plaza Hotel . stay suite 2 double bed sofa bed . room large clean .All staff talk extremely helpfull . request room high floor booking , book 2nd floor arrive . mention check say first thing morning leave luggage ready would move we 5th floor , like room much tell bother .We tour 9 , back 6 change back midnight bed , price pay 4 people excellent . yes area outside hotel full vendor day 2 block however hassle actually add something trip , mostly go 6 pm . subway block away , exit subway see hotel . the breakfast Holiday Inn Express 1 block buffet restaurant serve breakfast charge much plate .I recommend hotel family friend 
