recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Jul 31 2007 	 4 night ' Algonqin ' 	 love New York . this hotel 's great New York . it also people expect USA hotel ; include US citizen . the room adequate , clean fairly small : hell - Allan J Lerner could write lyric & quot ; Fair Lady & quot ; , surely compose postcard rather nice desk . the Oak Room restaurant well price ' destination ' dining room , eat good steak ' ve ever there . the breakfast menu good classic american hotel . the lobby Blue Bar possibly good place meet date Manhattan . if know , care , Dorothy Parker hotel . 
 Jul 27 2007 	 Thumbs ! 	 stay Algonquin five night read forum report hotel , bit nervous lay ahead we . but pleasantly surprised friendliness staff room attendant front desk staff bellman . my wife touch fussy say would problem stay probably next summer back NYC . can not beat location room spacious quiet . so , conclusion hotel perfect perspective . 
 Jul 22 2007 	 wonderful old hotel ! ! 	 husband return week NYC Algonquin . LOVED hotel second walk gorgeous old lobby ! character hotel ! staff delightful - go way helpful kind . room small , hotel room NYC small unless be Donald Trump . room immaculate , bathroom . a / c work great , shower small comfy water nice hot good spray . bed amazingly comfortable ! ! ! 7th floor back hotel also quiet ( view , sleep ) . definitely stay go back ! location perfect - 1/2 block 5th Ave close enough everything Midtown convenient still street quiet peaceful . order room service stay , eat breakfast Red Flame couple door street every morning bargain ( delicious ! ) . first night , thunderstorm sit gorgeous cozy lobby couple glass wine absorb ambience . lovely ! ! ! ! 
 Jul 21 2007 	 tiny yet lovely 	 fiance stay Algonquin one weekend night July lark , see like tourist city . greet Matilda , resident & quot ; rag doll & quot ; cat upon arrival find deluxe room tiny charming . ( New York , one not intend spend much time one 's room anyhow . ) hall decorate New Yorker cartoon entire hotel full little nook cranny . remind Claridge Buenos Aires : gracefully aged . one thing impressed -- room entirely soundproof . could hear nothing street noise , fellow guest . overall , bed bit soft like view consist office face we across 44th street ; however , Algonquin Lobby serve tasty breakfast lunch overall ambiance totally elegant . one tip : ignore dine advice concierge ; instead , walk street Akdeniz Turkish Cuisine 46th 5th 6th , delicious Prix - Fixe Dinner $ 19.95 . 
 Jul 7 2007 	 Blue Bar 	 not stay hotel visit 's bar ( Blue Bar ) one thing say get raspberry chilli cosmo . Mmmmmmmmm ! ! oh cocktail good . 
 Jun 30 2007 	 Quriky New York 	 really quirky hotel , right guest hate high rise , plastic style hotel ! old world comfort , excellent staff , small comfortable room , plus hotel cat , Matilda ... even website ! one tip , food available 11.30 pm , late arrival , not expect feed . 
 Jun 19 2007 	 Nice Discounted Price 	 get $ 199 / night room special Algonquin 's website . hotel gloriously old fashioned locate block east Times Square , parking garage across street . convenient midtown location . the hallway narrow room get quite small ( 10x12 ' ) small bathroom ( stall shower ) , wall mount LCD TV , small desk view brick wall . definitely fine reasonable price room hang , one sleep , shower launch . nice touch- first night throw complimentary continental breakfast ( one night will never know be well none ! ) two sore spot : write info WIFI internet available room , though ethernet cable box . thank god call front desk find WIFI free plug ethernet $ 10 /day . simple sign ethernet cable box would nice idea ! ask NY Times lobby say get 50 / day run early . Hmmm .... order 75 paper ? , fine hotel $ 199 / night . pay would look elsewhere , though . 
 Jun 14 2007 	 uh small pricey 	 great location clean . main floor lobby place work hour . nice evening crowd drink great jazz music . staff top notch . room small comfortable - sleep anyway . stay city time . 
 Jun 14 2007 	 terrible experience 	 NegativesThe reception staff little pretentious ' make feel welcome . the room tiny . shuffle around end bed sideways get bathroom order avoid bump head plasma tv.the bathroom date look grubby . the first evening 2 year old son pick tablet ( liquid capsule ) floor ( leave another guest ) bit spend first evening & amp ; E. partner check floor discover old crisp , coin thick dust furniture bed . hotel compensation offer we breakfast appal with . we wake build work back hotel 7.30am every morning . we order bottle wine one afternoon lobby bar . get bill shock cost double expect . turn two version wine waiter automatically bring we vintage bottle . feel bit sly trick . positive hotel lobby lovelyThe location central 
 Jun 12 2007 	 must two - dimensional comfortable room ! ! ! 	 book room discount package Travelzoo . hotel great location - 44th st 5th 6th Avenues , convenient Times Square , Theatre District , Grand Central Terminal . hotel distinguish look ... bellman concierge great , although front desk people really not seem friendly . our room king size bed - great ! problem , 12 & quot ; clearance around bed , make cramp . bathroom postage - stamp sized , closet small . call room service ice , ice soda machine available guest . some thing aware of:1 . get confirmation hotel indicate total price $ xxx.xx , not believe ; add $ 60 / day & quot ; incidentals & quot ; amount guarantee card . 's customary hotel swipe card slightly actual room cost thing like long distance , etc , think $ 60 / day excessive.2 . wi - fi free , connectivity nearly impossible . actually get connect , will cost $ 9.95 / day broadband access.3 . Skip ridiculously overprice meal go . Breakfast especially overprice ; go diner next door . food good , service lightning quick , reasonable . be go theatre , Carmine 's close food amazing . bring huge appetite , though . several restaurant block hotel.4 . hotel not shuttle service airport ( anywhere else ) , bellman happy arrange car hail taxi . expect pay around $ 35 ( include tip ) hotel LaGuardia . 
 Jun 2 2007 	 impressed 	 stay 1 night week ago say impressed decoration cleaniness room . get great deal search engine base review expect bad . contrary room superb ! flat screen tv , small cozy room , free wi - fi brand new bath ! location fantastic , block Grand Central right midtown . if get deal definetly stay Algonquin next visit . 
 May 29 2007 	 lovely hotel fab location 	 back short break love hotel . lobby great place drink relax sight shopping . room huge big expect , queen bed full bathroom . entire hotel tastefully decorate far cry major chain 's personal touch . short stroll Times Square easy walk distance shop Central Park , would definitely stay . 
 May 28 2007 	 history atmosphere 	 stay hotel many time . love location character hotel . yes , be always slick other , little touches- New Yorker wallpaper , witty quote door room , cat history make little oddity . agree comment Red Flame next door- great inexpensive quick breakfast . side , dinner DB Moderne- stylish good , largely french style , food . 
 may 22 2007 	 PHENOMENAL 	 room Algonquin gorgeous huge . lobby cozy , short walk Times Square . would stay second . 
 May 14 2007 	 enjoy Algonquin 	 room small , clean comfortable . staff nice , especially bellhop doorman . disappointed coffeemaker promise room not . ask desk , say coffeemaker could , not coffee filter go . advice , not say 's amenity not . also change time lobby coffee available , miss day . would definitely go back stay . comfortable close theatre . diner next door , Red Flame Diner , perfect place inexpensive meal anytime , open 6 am stay til midnight . 
 May 12 2007 	 comfy room great restaurant fun bar 	 stay friend . room small , extremely comfortable . great music bar . lobby area lot fun . Loved & quot ; resident & quot ; cat . 
 May 8 2007 	 ok 	 great location . small room ; husband difficulty walk around king size bed time . bed comfy though . trouble air conditioning . keep trip surge protector . maintenance person quickly answer call tell we turn protector back ; night . I feel pay premium beautiful lobby/ restaurant/ bar area . next time stay two door Sofitel . 
 May 5 2007 	 italian perspective Algonquin 	 fist time NYC decide stay Algonquin famous italian writer dedicate one chapter & quot ; segreti di New York & quot ; Dorothy Parker , curious . we stay 8 night 2 room premier suite , rather expensive ( 560USD av . per night tax ) , also nice comfortable ; con bed sofa 20yr old daughter sleep : quite tough bumpy , , even room elegant spacious , well equip fridge , huge plasma tv set amenity , daughter keep complain . sleep room bit small , queen bed really soft , husband enjoy . bathroom bite small , small bathtub , look old fashioned , strange draining system , course bidet ... must really lucky find one Italy ... lolfor clothe small cabinet medium sized piece furniture nice could not define wardrobe , anyhow managed put thing order . the staff really nice kind : doorman bellboy always ready useful we , concierge , receptionist bit hasty , efficient . maid keep room well clean not refresh afternoon happen luxury hotel . they even complimentary laptop , great daughter keep touch friend Italy , really need pc , well bring cause one two often take . Breakfast not include price expensive , specially since buffet anyhing order extra standard Continental american breakfast serve add already high price ( 15/21 usd plus tax tip ) . nevertheless worth Round Table room elegant full historical reminiscence , besides waiter fun : small bit fussy , strangely alike Humpa Lumpas movie & quot ; chocolate factory & quot ; Johnny Depp . we not dinner menu nothing appeal delicate italian palate could not tea lobby afternoon cause explain we not tea time , not serve , obviously strike beauty charm wonderful Matilda , famous Algonquin cat . nice caress hotel guest move around like real queen supervise everything . overall wondeful time New York enjoy nice stay hotel , well locate quiet comfortable , con minor thing not spoil holiday . if would come back ? maybe would rather stay another area different taste New York , ... know ... Matilda invite we .... 
 Apr 21 2007 	 Disappointing around 	 stay Algonquin sit New York State Bar Exam July 2006 , despite fact live around corner Murray Hill . reasoning need pamper relax incredibly stressful 2 - day exam - something unlikely happen cramp & amp ; noisy studio Lexington Avenue . choose Algonquin rich literary history , lovely ambiance , wonderful experience previously enjoy bar / restaurant hotel . I check evening exam , show decrepit room peel wallpaper stain carpeting - room also noisy , despite request room back hotel . see another queen deluxe room across hall clean , call front desk ask could move room , woman condescendingly reply & quot ; price range & quot ; since book Priceline - despite fact identical queen deluxe room - New York noisy city ( know ' ve live 8 year ) . also state hotel book & amp ; would stay room . eventually , several phone call later , request speak supervisor , move acceptable room - obviously , hotel fact book up . I plan stay extra evening bar exam relax recuperate , base unpleasant experience , choose check immediately bar exam . upon approach valet request luggage ( leave final morning exam ) , ignore chit - chat another worker . another woman take Bar also , wait luggage . valet tell we something along line & quot ; girl wait . & quot ; girl ? unbelievable . bad part write letter manager hotel , detail experience , never receive response . thoroughly disappoint incredibly unpleasant experience already stressful time life . thank Algonquin , pass Bar , never recommend hotel anyone . 
 Mar 27 2007 	 good price 	 get back Algonquin . chose hotel location price . travelzoo great rate 179 continental breakfast . worry construction next door mention recent review . arrive woman desk ask minded waiting moment want put we front room avoid noise construction . mention anything first never hear noise , except dining room morning . everyone nice reception area . lobby vintage look husband feel depress dark . ( renovate look way ) like vintage charm . room pretty small actually difficulty put cosmetic bathroom , however , everything new comfortable . bed linen good . location fabulous . would definitely stay rate , sure lot high . 
 Mar 24 2007 	 Blue Room Bar 	 Blue Room bar staple trip NYC . live Philadelphia , go whim . eccentric waiter Blue Room bar always part charm . ... validate ... word ? ... read recent review , customer say Blue Room bar service terrible waiter congregate around bar talk . true . but , drink great ( even $ 15 pop signature Cocktail ) , free snack fresh . long live Matilda ! cheer , QOTD 
 Mar 23 2007 	 Home Away home 	 husband getaway New York Christmas . book room Algonquin call directly . feel uncomfortable internet . tell agent speak special internet price see , honor price . absolutely trouble check get room , excellent service . room small , New York , room small . really cozy , need . comfortable bed comfortersand plenty soft fluffy pillow . lovely stand shower , plenty wonderful hot water . algonquin exciting , dinner show go , lounge always buzz activity . location could not well , walk distance everything , close show , Times Square , New York Public Library , historical fame . breakfast serve lobby truly delicious , ws $ 60 tip , two people . rest trip , breakfast cute din next door , Red Flame , pefect we . morning get dawn start day sight seeing , fresh food hot coffee next door really hit spot . go New York , stay Algonquin mean ! ! ! ! ! 
 Mar 21 2007 	 Disappointing 	 stay Algonquin something always dream , Dorothy Parker fan , love fact hotel resident cat ( Matilda ) . arrive hotel mid afternoon , 8 hour flight UK ( pretty jetlagge , body think late evening ) . awful noise vibrate construction work build behind hotel . receptionist assure we would stop 6 pm ( confess start 7 am ) . follow day birthday dishearten think would wake unpleasant way ! noise fault hotel , decide try make good . room small noisy . go bar around 5 pm tea ( way noisy room service ) . bar manager sniffy say & quot ; not serve tea & quot ; . actually bring tea bag , want hot water milk . explain guest impossible relax upstairs room . begrudgingly let we sit dining area ( said & quot ; charge tea even use tea bag ... & quot ; GEE thank .. ) noise stop 6 pm bliss . next morning , start 7 am order tea toast room service . end cost nearly $ 40 outrageous . booking stay Algonquin 2 day later , cancel check , due noise . hotel offer we discount compensation disturbance , perhaps would decide stay 2nd night , not interested . experience spoil whole concept Algonquin . 
 Mar 19 2007 	 55 + Clientele Neo - Con Newspaper Rude Concierge Algonquin 	 also take advantage Winter/2007 $ 179 TravelZoo promotion wish not . switch another hotel charge twice nightly pay one night Algonquin , glad . Algonquin go come hotel 's historical legacy -- renovate architecture , legend Round Table wonderful gentleman run bell service . unique special hotel offer unmatched hotel NYC indeed U.S . unfortunately , current owner package incredible american historical venue theme park mentality instead subtlety taste previous literary clientele enjoy hotel early year . thank historical sensitivity new owner 1980 's hotel ' first major renovation , much hotel 's architecture style restore period remain intact beautiful . however current owner reduce cosmetic decor caricature history put wallpaper & quot ; New Yorker & quot ; cartoon . also white paint room , instead former richly color edwardian wallpaper , mars sense period hotel 's glory day . room small dated charm appeal come history , aspect damage -- although could reversed new wallpaper . life hotel emanates legendary bellstaff , hotel decade . good NYC personality . outside friendly wonderful doorman ( wonderful , authentic smile ) , accomodate bellstaff , courteous front desk , excellent housekeeping , rest service dicey . hostesse waitstaff lobby area inattentive patronizing . reviewer note , 's age discrimination play hotel . restaurant staff seem focus late middle - aged man . not know management intentionally market hotel ultraconservative 55/60+crowd like drink lot alcohol . ANYC friend come see lobby nolstagic reason ( last visit father bring Algonquin 20 year ago 16 ) confirm sense odd political atmosphere hotel . be traditional politically moderate . mainstream medium executive familiar NYC medium scene , friend confirm free neo - conservative , rightist newspaper offer Algonquin lobby & quot ; Sun & quot ; indeed take well - know adversarial stance paper use work , & quot ; New York Times . & quot ; think discrepancy tout hotel 's legacy association liberal & quot ; New Yorker , ' hotel provide , hide drawer room , rather creepy . also , be thirty even forty , health - conscious , family - value orient , might feel out - of - place . much lobby crowd later middle - aged people intoxicate . man woman table next we make loud drunken off - color remark witty like Round Table Literary group , instead vulgar offensive . conclude place dinner child teenager , prefer proper decorum . concierge encounter March 2007 rude , incompetent , coarse . represent opposite legendary Algonquin service manner . obviously want help direction . room bathroom miniscule compare hotel comparable price NYC . hotel offer competitive basis history aspiration legendary service tout . management really need rethink full utilization hotel 's history -- change approach exploitation respect . need retrain hotel 's waitstaff find new concierge . this three - star hotel well suit old neo - con crowd like drink ; writer draw history not mind chasm hotel 's past liberal literary glory day present ; people not mind well - wear room problem get promotional & quot ; bargain . & quot ; room worth full price -- 's much well vicinity . although draw hotel 's literary history , end con outweigh pro . switch hotel area ( non - promotional ) price range truly luxurious ( 4 - diamond ) , staff consistent good manner . there be reason wildly vary opinion Trip Advisor . recommend reading carefully see fall kind category fit hotel . 's everyone . time , hope management get act together , remove & quot ; Sun & quot ; lobby , revive past consistent greatness Algonquin , still alive , friendly wonderful personality gentleman door bellservice . wish good deserve . make hotel along architecture history . will return management acquire consistent chop clear apolitical ( politic not belong hotel market general public ) tone like hotel lounge 's great jazz singer demonstrate . 
 Mar 18 2007 	 Eardrum shatter noise 	 nice , expensive hotel great location . however , check , person front desk tell we would ' chisel ' noise construction outside 6 pm . not tell we would , loud noise jackhammer make staying room intolerable 6 pm . furthermore , not tell we noise would begin 7 ! $ 380 night totally acceptable . complain book agent hotel send email manager hotel website , receive response . 
 mar 12 2007 	 favorite place stay NYC 	 thank special travelzoo.com , decide head NYC weekend march stay Algonquin . 's hip fashionable , familiar , old charm cosiness find anywhere else Manhattan . love comfy lobby bar area , room , though large , amenity need . also quiet , even think location midtown Manhattan , easy walk distance score restaurant popular tourist detination . never eat hotel , way -- note many traveler food nothing special -- many great option within block radius , not bother . would prefer coffee machine martini shaker room , be part ambience . New Yorker theme wall paper ancient resident cat -- Matilda -- also add experience . 
 Mar 8 2007 	 Excellent hotel close everything 	 spend long weekend Algonquin Hotel perfect location . Times Square theater block away . lot sight want visit within walk distance quick metro ride away . compare NY hotel room rather spacious . hotel room come refrigerator call room service ice . eat hotel restaurant drink bar look rather posh . 
 Mar 5 2007 	 Matilda rule 	 friend Penny mention Algonquin great cocktail bar , decide take look hotel , never imagine would meet budget ( £ 100 per night two ) great price offer late Feb visit . public room fabulous - little bit New York literary history . love wallpaper ( hallway ) NY Times cartoon . warn room would small twin room normal size Europeans , well furnish well equipped . comfortable bed good flat screen tv / the Oak Room close two night , think miss opportunity something special Oscar night ( New York generally seem less interested oscar , jealous LA focus night ? ) . Blue Room famous cocktail bar - definitely go one , go find somewhere interesting , well service , next one . lobby much atmosphere . bar food recommend - tired flight London eat bar , would not go far get well food well price location good . and decide check , say hello Matilda , Algonquin cat . even business card ! 
 Feb 25 2007 	 Noisy ! ! 	 return one night stay Algonquin . history hotel make worth visit , not expect much . hotel build right behind noise construction equipment dig day long enough drive crazy . room small , sweetly decorate , plumbing might imagine old fixture mean give & quot ; old fashioned & quot ; look , luxury bathroom . bed super comfortable linen great quality . elevator painfully slow cramp . must posess patience stay . location however excellent , close . catch great deal will not room much , try Algonquin . 
 Feb 17 2007 	 Cheery homey wish 	 first real visit New York City . first thing venerable Algonquin : Location . and 's location . really . able speedwalk run late make choose play ( Spamalot - see , be great ) . end sight seeing day , great restaurant , , thing see , Times Square - ever - welcome bellman front desk staff . really recognize we , come go , cab wait almost door . think wait , , 40 second cab . 's even actual breakfast cafe close hotel . excellent carryout deli - style place 5th 6th , little walk Californians use , entire area safe , catch glimpse Empire State Building proceed - 's perfect . so many thing truly within walk distance . we check quickly , staff friendly intrusive . love Mathilda , cat , really help make we feel home . lobby attract tourist , business people , people town meet friend - well dress trendy , mix sophistication hominess , . room small , expect , small New York . lack window seat see stock photo - extra 10 sf picture . not matter . look onto backside office building - could watch fellow deal phone day long - . air conditioning work great , quiet . backside hotel , obviously - quiet ' m light sleeper . closet adequate , surprised . desk close bed , okay - ample use dressing table . couple extra electrical outlet , not struggle . internet work greate . I love little bathroom - shiny Art Deco style porcelain fixture ( brand new Kohler ) , great faucet , beautiful shelving , great shower , soak tub spotless fill quickly really hot water . subway tile , tiny window - good light . tv armoire inset wall , perfectly sized point view ( watch tv NYC anyway ? ) hall paper New Yorker cartoon , ' m great fan Dorothy Parker New Yorker , bored insomnia , wander around read cartoon . suite look fab . , wish could one . room service fine - one time forgot morning coffee call couple time ( expensive get small pot , 's Starbucks coffee stand close - coffee service room , totally understand - not really like make in - room coffee anyway ) . coffee great splurge lox several time ( expensive , compare coffee ) . time bring coffee late apologetic . all recommendation dine make staff great - although soon discover 46th Street series great brazilian ( cuban ) restaurant - vary menus great service keep go back . walk guitar store , walk jewelry mart , buy rare ( we ) sheet music , way dinner . ah , fun . never worried whether would get airport time - know would cab we , somehow , doorman check cabby tell destination time make feel secure . not ever felt really insecure neighborhood , day night . be three short block Grand Central ( couple short block Waldorf , want true grandiosity ) . smile ( laugh ) people ensconce relative sterility Harvard Club , block , wonder many people stay Royalton across street ( big , modern ) , think Iroquois similar look , perhaps service , Algonquin . we be plan another trip would course like variety life - Algonquin cool , hard time think stay anywhere else . love walk Bryant Park , never even make door NY Public Library - one block away . go Bryant Park Hotel cocktail - want club hiphopper ( p Diddy private room - layer bouncer ) be two block away . furnishing throughout hotel type appeal - warm color , cozy , not feel afraid touch move around . visit several hotel , fun ( get break unseasonable heat ) - none feel like home , like Algonquin , minute get there . be downside ? well , think next time would take extra piece luggage hold bottled water , couple bottle wine , snack - 's place really close buy thing . be in - room fridge , can not remember ice machine - must , floor . hotel - provide shampoos etc . great . 
 Feb 11 2007 	 old style charm 	 Excellent hotel cheap well worth money . room small functional describe remember old property . staff friendly efficient nothing much troubleMatilda cat keep eye coming going front desk . I think really one charge 
 Feb 11 2007 	 Small Treasure Algonquin 	 find hotel Expedia . always stay Penninsula Ritz needed room reasonable rate . need space 3 adult . booked suite 2 night . loved . hot apple cider staff eager assist request . taxi easy get time day . Fifth Avenue shopping within walking distance . great cocktail lounge . affordable , timely room service . small , treasure . never stay anywhere else NYC . 
 Jan 27 2007 	 Algonquin Hotel Dump 	 Algonquin Hotel bill old operate hotel New York City , surely appear be . firstly , claim website do renovation hotel , could tell include slap plasma tv wall call day . room abominable - dirty furniture , 19th century plumbing ancient , broken climate control . secondly , charm & quot ; luxury & quot ; hotel lie & quot ; Algonquin round table & quot ; legendary author gather talk literature . & quot ; round table & quot ; room possibly dreadful food experience New York . french onion soup burn hamburger raw . thirdly , mystic hotel lie 's purport impeccable service . well apparently , service involve collection untrained pseudoadolescent apparently mistake hotel management / worker . young girl greet arrival could not find reservation proceed ask actually right hotel . consider arrive late- ( not make mistake - you end one unsued room keep emergency - translate & quot ; unused & quot ; dirty poor repair ) call ahead let hotel know , concerned smarmy prepubescent could not find reservation . fourthly , call repeatedly ( three time one night ) report complete disrepair air conditioning / climate control , tell fault - apparently allow guest control climate control unacceptable - and unit freeze could repair . yet , bring rectification matter . attempt open window room reprimand staff allow . I leave soon could book another hotel street . interestingly , submit dispute charge Algonquin credit card , Algonquin Hotel offer two free night one suite . response , old saying go , & quot ; would not stay pay & quot ; . 
 Jan 25 2007 	 Fabulous experience 	 stay Algonquin Hotel November - expensive amazing . history feel place make really worthwhile . bit treat , restaurant expensive little uninspiring - hotel make . Cocktails Blue Room experience remember . staff lovely could helpful . would definately go back . 
 Jan 12 2007 	 beautiful slow boring 	 hotel marvelous condition . lobby lush red carpet furniture dark wood . hallway famous New Yoker wallpaper cool well . room though small ordinary . overall feel property cozy service frigid . front desk doorman job without much personality fine efficient . waitstaff however terrible . cold , slow . food drink restaurant bar expensive , especially consider rotten service . neighborhood good planning Times Square theater stuff 's pointless stay . 
 Jan 11 2007 	 Good Expensive 	 book stay Algonquin special treat new year break general get however experience series incident one really expect type class hotel , especially pay high premium stay there . the hotel jewel art deco architecture , suite stay excellent . well furnish clean , good facility , comfortable bed , remarkably quiet since two block times square broadway . little niggle start however soon arrive , wait nearly two hour room make ready good , although let we try hotel Blue Boar bar serve excellent hamburger drink . wait compensate free bottle water . after great night next day niggle arrive back mid afternoon find room still service would expect hotel prestige , put holiday period staff shortage . bad happen evening well advance partner book meal hotel fame Oak room cabaret bar . dress well inform table book we record booking despite partner confirm phone call day . offer table later sit decide take offer , instead hotel main restaurant present excellently cook food . overall experience good , little niggle stop perfect New York experience . 
 Dec 28 2006 	 good hotel great location 	 stay Algonquin short - break three night stay Thanksgiving . I book hotel basis previous review Tripadvisor visitor , location feel value money price ... ' m pleased say not disappoint everything meet expectation . the location perfect - couple block 10 min walk Times Square five minute walk 5th Avenue . the hotel great ... although ' m typically low maintenance sort visitor little call help / service hotel staff , service receive good . check - in quick , smooth friendly , although arrive quite early , room available we straight away . similarly check - out easy quick service look luggage day require . the bedroom bathroom ok size , clean , tidy everything work should . all good hotel good price great location . would recommend people ? - YesWould stay ? - yes 
 Dec 19 2006 	 Lax room service 	 go NYC annual shopping / show weekend Christmas decide stay Algonquin . everything hotel certainly first class except room service ! forewarned , room service operate 7 11 pm . go show might like coffee little something afterwards , get back hotel , room service close 11 p.m . would not even bring bucket ice . tell want ice , could go lobby get .... imagine ! also , flight early one , not depend Algonquin coffee leave ... room service 7 am . complimentary coffee lobby , drink decaf none tell regular coffee horrible ! anyway , room service issue , stay fine . might try somewhere else next year , though . 
 Dec 15 2006 	 Fair value ! ! 	 stay dec9 til dec13 2006 experience : stay premier suite , average price 500 $ per night . suite quite big , bedroom separate living room . bed comfortable , bathroom clean large enough living room 1 large couch , 2 other seat . room include 2 flat screen tv , hbo . staff friendly helpful ( need ) . location hotel convenient tourist visit nyc . relative other hotel category nyc , one fairly price maybe notch well locate other . would warmly recommend one stay . 
 Dec 1 2006 	 fab time Algonquin 	 come back 5 night Algonquin love much can not wait go back . suite husband two son . two room adequate size small pokey like people lead believe hotel room New York . son sleep bed settee living room big double bed . bed really fabulously comfortable . staff friendly especially doorman porter . hotel cat Matilda novelty like cat ! not eat preferred go local deli breakfast however restaurant bar look fab . would highly recommend ' m definitely go back . hotel good position , easy walk Theatre district two minute 5th Avenue . 
 Nov 27 2006 	 Thanksgiving New York 	 daughter book hotel could spend week view sight New York serious shopping . quite unique character , comfortable staff friendly , although bit unsure tip , tell first morning breakfast compulsory . lounge ideal area return busy day Thanksgiving meal could possibly eat . Got recommend Red Flame restaurant next door - eat every day - popular food brilliant . downside hotel coffee tea facility bedroom . would definitely recommend hotel anyone come New York - disappoint . 
 Nov 21 2006 	 love every moment 	 spend long time look somehwere stay first trip NYC say disappointed Algonquin . suite fantastic mod con huge flat screen tv bedroom lounge . blue bar lovely place nightcap long night lounge like step back time . partner love hotel cat staff courteous helpful time especially need practical advise mistake make luggage airport . believe return NYC would go anywhere else holds treaure memory we . oh must breakfast Red Flame next door , real NYC diner doorstep well rest city .. definitely come back ! 
 Nov 20 2006 	 Favorite New York Hotel 	 Algonquin not perfect , love place . stay whenever ' m New York ' m always happy , although CHEAP . staff friendly helpful 's small intimate rather huge corporate . ( be even lovely hotel cat ... ) location ideal -- easy walk theatre MOMA . decor self - consciously historical , endless reference 1920s Round Table heyday -- include New Yorker cartoon - theme wall paper hallway large portrait Benchly , Parker , Wolcott & amp ; crew dining room . overall , tone classic rather contemporary ( plenty wood little plastic ) although modern amenity expect price range -- internet access flat screen television . room lovely ( high ceiling molding ) immaculate bed incredibly COMFORTABLE . 's lovely knit wool blanket foot .. ( view not much speak , window treatment lovely . ) actually room pleasant 's tempting spend lot time loaf around room . room character good art wall , wood desk lamp good reading light . comfy plush terry cloth robe provide loaf pleasure . water always hot enough water pressure always terrific . algonquin lack coffee ice . ice room none available unless phone desk ask bring room . silly inconvenient . even worse , , MORNING COFFEE AVAILABLE unless , , want pay fortune get small ( ) pot bring room . either in - the - room coffee maker complimentary coffee lobby morning . ! ( two Starbucks within block . restaurant next door , Red Flame , good place get reasonably price adequate breakfast . ) observation : check always breeze . always request early check far room always available get mid day . room quieter other room small other . KING SIZE BEDS . twins queen . lobby / bar DIE . great atmospheric place nightcap . ( although often noisy babble many happy drinker socialize . ) pricey delicious drink on - the - table munchie addictively delicious .. last stay , room -- Room 416 -- lovely TINY ( noisy -- constant blow sound guess neighboring building 's exhaust system , well occasional whistle doorman summon taxi ) ( advice : ask high floor ) bathroom even small ( not slim , would not able fit shower . ) room chilly heater not work . front desk responsive -- send two different engineer within moment try fix problem , could not fix , offer another room use space heater . need two bed , two bed room available , go space heater . ) make two minute long distance call room cost $ 10 ! special writer 's discount available date -- ask make reservation writer . 
 Nov 16 2006 	 history cost ! ! ! ! 	 famous hotel less professional standard . cell phone miss / steal room stay . report upon leave , two day later , management & quot ; RECORD & quot ; . four week later several phone conversation hotel determine done request insurance claim place , say would take care . never contact . room cost $ 300 curtain filthy , rug tattered . history cost ! ! ! 
 Oct 26 2006 	 small room great service 	 husband get back 1 night impromptu stay Algonquin . try get NYC time year quick overnight , always get great deal Priceline . reason , deal time . pay full price room , first we , babysitter lined not go pass chance ! room , warn , small ..... however , clean tastefully do . ceiling real high , not feel like box . location great . really turn place excellent service . able check early arrive . front desk , doormen , bell hop nice helpful . one good perk get back hotel dinner Saturday night , feel late trek another place . happy find nice cozy couch lobby lounge drink turn . perfect . would definetely stay . 
 Oct 25 2006 	 wonderful experience 	 stay Algonquin much search internet , first visit New york , first requirement hotel centrally locate sight also important us welcome give staff Hotel . live work hotel trade know important . arrive long flight show room wonderful porter take time give we advice surround area well facility offfere Hotel . point could mention wonderful person call Johnson prior arrival contact ensure two boy room close , arrange also upgrade importantly leave message welcome telephone duty arrvie ( beyond call duty , much appreciated , Thank ) drink food lobby evening due lateness arrival find staff extremely helpful pleasant . room spacious comfortable , expect much room everyone advise New York room small side , experience Algonquin . also ideally situate main sight , Times Square , Central Park , Rockafella Centre , Grand Central Station Empire State building also shop , walk every , even back financial district one afternoon , feel energetic . would love go back New York stay Algonquin would bonus . oh yes bed far comfortable ! ! 
 Oct 25 2006 	 Building site ! 	 read review wife head NY ( 3rd visit ) high spirit , continue check right opening room door ! building site alert ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ROOMS BACK HOTEL FACED MASSIVE BUILDING site WORKING 7AM TIL 6 ! ! ! ! ! ! ! ! ! ! ! ! not mention website algonquin /expedia even chat staff prior stay . basically keep quiet work do . we complain threatened go elsewhere get move & quot ; quieter & quot ; room , air con vent look dilapidate office block . stay Sofitel Iroquois huge let , cam across pretentious rate . lobby nice Agatha Christie like , date stuffy . ny , people like pretend something not . my advice stay Sofitel £ 50 per night av worth ! 
