can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Jan 5 2008 	 comfortable convenient 	 stay getaway weekend holiday time . pick location near theater district , Covent Garden , etc . enjoy walk Picadilly Street Green Park , Buckingham , etc . Priceline give we four - star , be , like well expect Holiday Inn . Old - fashioned , fussy furnishing , clean comfortable . quiet lodge side street Picadilly Street . desk folk concierge perfectly nice . night arrive , order room - service dinner , pretty good expensive . work well we , get good price . exceptional perfectly satisfactory nice weekend base . 
 Jan 4 2008 	 ok really posh hotel 	 get good rate hotel , still quite disappointed ordinary hotel , consider rack rate £ 495 per room . room standard Holiday Inn size . bathroom amenities shampoo conditioner soap ( always provide day , squeeze bottle ) . bathroom small ; tv quite small . good point : splendid location right near Green Park tube station ; quiet room despite central location ; clean . single element take hotel regular Holiday Inn category , not expect anything posh will not disappoint . 
 Dec 9 2007 	 nice room central location pay .. 	 stay overnight dinner dance another hotel . hotel seem bit impersonal strangely old fashioned decor room comfortable clean two decent chair table . got really good night sleep . not stay breakfast go St Martin - in - the - Fields Trafalgar Square fantastic breakfast crypt . room rate £ 145 pre - booked PLUS vat - trick hotel website playing add another 17.5 % onto bill might realise compare hotel include vat.just couple problem hotel - ask book taxi 7 concierge say would call come . take 15 minute hail taxi freeze death - Holiday Inn not seem taxi run , probably pretend posh hotel still run like Holiday Inn ! buy couple whisky bar - £ 16 would well value bring bottle we ! 
 Nov 4 2007 	 4 star 	 hotel great location hart london room 4star mean like 3 * * * , staff great food good although warm could keep put fresh food morning , bedroom bite shabby price pay bed soft also tea 's maid tv , bathroom look recently face lift ........ would stay price pay ....... 
 Oct 9 2007 	 Fantastic Location 	 read review leave hotel make trip London apprehensive would greet arrive find need worry all . the hotel staff pleasant helpful ( british origin many point ! ) . hotel location fantasic , 1 minute Ritz Langans Brasserie virtually opposite lot cash , 2 minute Green Park underground want eat away Mayfair easily get anywhere London . the hotel offer deal breakfast whereby buy voucher reception breakfast £ 10.95 , still bit pricey buffet fill need anything large lunchtime . room clean well maintain nightly turndown service ( free chocolate Platinum Priority Club member ) .i return without worry future . 
 Sep 6 2007 	 nice room fabulous location 	 stay hotel five night complaint whatsoever . room clean well appoint , staff helpful friendly . use restaurant , many place nearby eat take away . tube bus doorstep , many major attraction within walking distance . park right across street . 
 Sep 3 2007 	 dignified place stay . 	 second visit well situated hotel near Green Park . 's expensive , London hotel , get weekend Leisure Break free breakfast thing look much reasonable . friendly , efficient reception concierge staff . room good size ( London ) nicely furnish equipped . comfortable bed . use smallish restaurant breakfast -- rather dark corner table close together , pleasantly furnish food good . dinner available evening plenty place eat nearby . 10 minute walk Piccadilly circus , 15 minute Leicester Square -- get Tube round corner . walk Green Park Buck Palace Mall . 
 Aug 9 2007 	 family trip london 	 excellent location , staff helpful problem , room clean facility expect 3 star hotel , check in - check problem , dinner breakfast per standard Holiday inn ( know expect ) kid eat free adult book evening meal.easy find piccadilly ( 5 min green park station ) .very close attraction , would stay . room back onto piccadilly quiet . arrive early check time problem could leave luggage . overall family friendly . note place UK majority staff outside UK ( one big happy EEC family ) feel little bit patience require overcome language problem . 
 Aug 6 2007 	 Excellent Location Nice Hotel ! 	 stay hotel New Year 's 2006 5 night absolutely love ! review state , location unbeatable . close shopping Piccadilly Oxford Streets within block . west end Piccadilly Circus 10 minute walk great show , restaurant nightlife . boot within one block Starbucks directly across street . get rest London problem Green Park underground stop within 1 block . London New Year 's Day parade essentially end hotel could sit room watch parade . want close look , go outside hotel walk one block Piccadilly . room clean decent size since hotel block Piccadilly St. noise problem time . hotel staff fabulous ! friend 's passport steal manager immediately provide we information need include Police Embassy phone number . make several phone call night passport steal add quite bit take bill not even ask . excellent ! ! 
 Aug 5 2007 	 Great Value 	 finish ' holiday ' cousin 7/28 - 8/4 . overall really good hotel augment fantastic locale . able walk Picadilly Circus even little ( Soho / Leicester square ) . obviously key factor hotel mere step away Green park tube american tourist large agenda key . room good well expect curtain really help keep trace light room ( yes know Las Vegas help be late ) . 2 double bed helpful wait / front desk staff though English could improve . however able speak language applaud . conclusion good hotel GREAT location - would strongly consider stay ' m fortunate enough return London . 
 Aug 1 2007 	 great weekend go back 	 thank help make day London enjoyable , could not praise staff enough helpfull . I go back London check availability hotel thank Seámus Ireland 
 Jul 30 2007 	 terrific Value Nice Place 	 return 5 night stay . hotel good shape . bed fine , linen fine , bathroom clean . room fine - spacious european standard . even incredibly hard find international configuration 2 double bed ! hotel staff efficient terribly friendly . major complaint call place room order service 10:45pm . kitchen suppose open 11 pm , yet would let order overnight menu -- full menu . not see much seem even remotely worth price walk Burger King Piccadilly Circus instead . LOLOverall , terrific bargain area FABULOUS shopping sightseeing . hotel one block Ritz ( fraction cost . , ) one block Tube Station , within walk distance Buckingham Palace . close underground make hotel convenient Heathrow , even tote luggage . : ) return London , hotel one first place consider . american electrical socket - bring converter ! ! ! ! 
 Jul 30 2007 	 great location 	 hotel fantastic location Picadilly Green Park tube station , make easy get around . like guest though , find room need overhaul . soft furnishing look like have fairly recently replace - could really new bathroom suit fit increase water pressure ! have pay full price hotel have leave disappointed . wait staff breakfast time pretty awful . generally comfortable hotel though , location can not fault . 
 Jul 28 2007 	 Holiday Inn - Mayfair 	 stay hotel year ago expectation . live expectation beyond . go friend hotel / show weekend ' praise hotel enough . staff friendly attentive many go way ensure stay pleasant one . ' planning see West end show stay Holiday Inn … ' regret . 
 Jul 17 2007 	 Perfect Location 	 back 2 night stay Holiday Inn Mayfair . 2 child age 8 & amp ; 12 , location good access public transport essential . hotel fit bill perfectly . Green Park tube station around corner , numerous bus stop . hotel perfect we . stay spacious room 2 double bed . room air - condition , big plus ! breakfast include rate . fine - buffet style good choice . not eat night .The staff pleasant & amp ; helpful . unlike previous reviewer , happy standard cleanliness room . all perfect base tourist . be nice , safe , upmarket area London . walk across road lovely park . Buckingham Palace within easy walk distance via park . 
 Jul 11 2007 	 great location London 	 return Holiday Inn -Mayfair . it great location - you walk many place bus tube network right outside . we breakfast good include £ 149 rate . the room great view look sideways famous Ritz hotel . the air condition great hot London may warm room . we 2 double bed , everything tidy clean . I would happily stay again - check Mail Sunday offer hotel cheap website - ask leisure rate . 
 Jul 7 2007 	 Bugs disconcert ! ! beware ! ! 	 teenage daughter stay hotel July 3 - 6 , 2007 . pull back comforter , bug crawl daughter 's bed . hope fluke , stay room . mistake , later bed bug appear- bed mine . room dirty travel year business never encounter bed bug . would highly warn stay hotel- ever . Holiday Inn contact see come . 
 may 11 2007 	 enjoy stay ! 	 although Holiday Inn need update eg.decor , furniture bedcover ( personally prefer contemporary design ) location great . walk Piccadilly Circus 10 min Oxford Street 15 min . staff really nice helpful . voucher £ 10.95 use breakfast fine . if stay nice modern cafe around corner might go instead . opposite Ritz , quite nice look onto window ! ! stay Holiday Inn near Oxford Street , much difference find staff accomodate pleasant Mayfair .... would definately stay 
 Apr 20 2007 	 Location brilliant ! 	 family ( 2adults + 1 child ) return hotel stay 5 day . although hotel need updating , beat location - round corner Green Park tube station ideal come Heathrow ( need change line cost £ 4 ) . picadilly , Leicester Square , Buckingham Palace within walk distance . we find staff restaurant pleasant hard working , breakfast adequate , minor complaint find dining area small size hotel . our room 2 double bed , tv , minbar bathroom shower mention , room although clean , well use need refurbishing . problem check would stay hotel problem . 
 Apr 14 2007 	 great stay Holiday Inn Mayfair 	 return 6 night stay Holiday Inn Mayfair , Easter holiday . yes -- location fabulous ! yes -- room little & quot ; tired & quot ; , find 3 room clean comfortable -- -quite large London . yes , lobby quite small staff clueless . know poster ask concierge Ritz information ! find rate low hotel 's website honored & quot ; low price quarantee & quot ; pay 90 pound per night per room , breakfast vat inclusive . breakfast mediocre -- coffee great . you walk almost anywhere hotel . Recommend Henry 's Bar Picadilly , 1 block hotel & quot ; Running Footman & quot ; pub -- non - smoking good food -- Charles Street Berkeley Square -- 4 min walk hotel . also Wolseley Resturant next Ritz quite nice . also love Osterio Basilico Nottinghill lunch dinner . I ' ve stay Reuben 's Palace -- staff Reuben 's much nice , find Holiday Inn Mayfair 's location room amenitie far superior . 
 Apr 12 2007 	 Perfect location - back 	 spend 4 night Easter holiday Holiday Inn Mayfair . location impossible beat . walk distance everything . Green Park tube station around corner . book family room four we pay average £ 140 per night . stay last year around May second stay . enjoy much occasion . check fast friendly , check . problem leave luggage concierge hour late flight home . breakfast reservation problem . starbuck across street . room clean everything work fine . Green Park , St. James Park Hyde Park close need relax bit city life . certainly return hotel next time . 
 Apr 10 2007 	 not pay full price ! 	 unfortunately , 4 * hotel , not think 4 * hotel quite while . the hotel well locate 5 minute Green Park Underground Station . hotel front entrance , side entrance . reception area dark arrive smell smoky . the reception staff quite unhappy refuse credit card authorise £ 50.00 worth extras not consume , not even check room ! request speak Duty Manager discuss & quot ; let & quot ; , however , tell unable use video film mini bar facility - feel like naughty little child ! ( not want use anyway ) .We 5th floor . bedroom corridor dark dreary dark wood dark green wallpaper . room dark dreary wallpaper rip . two chair table window one arm chair someone doodle ! ! ! paint window flake woodwork cupboard absolutely disgusting . bathroom look like could work do recently , however , door frame dire need painting gap bottom bathroom door 4 & quot ; rather strange ! nice display mould bath sealant well . we decide meal Restaurant , strange set . bar area set table , sit want put cutlery front ! meal ok like Little Chef 4 * hotel . staff run around like headless chicken , shout - fact , restaurant management poor . breakfast bar like area - standard breakfast unhappy staff serve . seem like badly manage hotel reflect staff . not think see one member staff smile . hotel need close complete refurbishment serious training staff . surprised establishment like Holiday Inn would put name foul hotel . luckily , not pay full price stay ( price board reception indicate room start £ 345.00 ! ! ! ! ! ) . would stay disgrace . 
 Apr 6 2007 	 Bed Bugs ! beware ! 	 travel London Boston business several time month recently stay Holiday Inn Mayfair ( 5 - 6 stay year far ) . hotel decent , location great , always get executive King room , cheap . service horrible hotel - never pleasant experience front desk staff , & quot ; concierge & quot ; clueless person barely speak English . get becuase vacation . what get ( mentally physically ) happen last stay fon March 22 , 2007 . wake morning COVERED bed bug bite . one disgusting thing ever experience . arm , neck , face , part back leg cover horrendous bite . say bite really mean huge , red ugly welt . travel time fortunately never happen . one uncomfortable thing ever experience . itch incredible last almost 2 week . nothing help , even steroid doctor prescribe . 3 week later although intense itching bleeding stop , still mark arm . doctor say possibly scar bad . even wear t - shirt gym still becuase look like freak show . never stay hotel . 
 Apr 5 2007 	 Great Location - Great Choice family 	 Holday Inn Mayfair great choice family . location beat -- simple . room bit tired . positive side spacious two double bed fit 3 even 4 people travel kid . concierge attentive find staff nice service good -- include turn - down service every night . 
 Mar 21 2007 	 Great Hotel 	 party 3 stay holiday Inn , Mayfair 3 night . find stay pleasant nice clean warm room . Breakfast not include deal although not eat hotel visit bar , location excellent not walk far order find plenty restaurant . Green Park tube station around corner like walk , Piccadilly Circus 5 minute walk away be feel energetic walk Leicester Square , Trafalgar Square Convent Garden ( clearly signpost ) . could not really get well hotel location staff hotel speak courteous . would hesitation book hotel recommend anyone 3 we thoroughly enjoy stay . 
 Mar 20 2007 	 bad customer service ' ve ever ! ! ! ! 	 let start say PRO hotel 's location brand name . hotel situate right next Green Park tube station within walk distance Picadilly Square , Leister Square , Trafalgar Square major sight within London . 's stop ! arrive London Sat . March 10th morning . fly Toronto evening flight , extremely tired feeling well . time arrive hotel , 11:00am . approach front desk staff greet , smile , make feel welcome , rather , feel intruder . upon give passport i d purpose , collateral , tell room ready . explain girl desk travel night feel well , could see anything could . receive immediate response & quot ; , check time later day , wait & quot ; ... not even finish speak interrupted say & quot ; & quot ; . get upset , not even check housekeeping see room ready . ask call housekeeping staff . , person end upset bothered request . needless say , allow room . check bag , send , way . personnel front desk exchange glance one another , indicate bothersome . , manager hotel Niagara Falls , Ontario , live . WAY ! would staff ever act way guest ! ! accustomed treat guest welcome manner , travel , expect service ! ! ! well , bellman , bad . seemed & quot ; bothered & quot ; store luggage , observe incident front desk , like little & quot ; cult & quot ; front line . extremely UNHELPFUL UNFRIENDLY ! ! assist luggage , ask require assistance room . alot baggage , travel business , give luggage send ! anytime , we walk hotel , staff glare we , unfriendly face . quite annoying . one point , really want say something ! , could not bother , less interaction & quot ; people & quot ; well . I go day , time return hotel , exhausted . finally get room , acceptable , rather tired looking . equip hairdryer , tv , air conditioning , ample closet space . ( share colleague mine , arrive London Sunday ) . space wise , room adequate . Decor tired , need update , not bother much . I town conference , colleague another hotel . try make local call , difficult get phone . call front desk inquire much local call , body know . ' m sorry , work front desk not know ? shocked . call back . wait 40 minute receive call back . start reprimand , say card room pricing . get upset , tell card room , know fee call , especially work front desk ! ! ! ! WATCH FOLKS ... charge .55 penny PER minute local call . charge 12pounds 1 local call ! ! ! money MAKER HOTEL HUGE RIP ! ! ! kitchen close early , room service limit selection like . nothing around hotel stay open later 9:00pm dinner , coffee , anything . therefore , look dine , look around area hotel , past 9:00pm . evening , engaged event day , could eat later evening , find place Leister Square . nothing convenient around area . upon check - out , , RUDE FRONT DESK STAFF ! ! charge several phone call get , dispute charge . girl desk argumentative . , much argue back forth supervisor finally come take charge . please , urge stay hotel , due lack customer service . management hotel need really look staff 's attitude , par ! unhelpful , act like guest bother , plain rude , type service expect , pay money receive . London expensive city , travel , expect treat manner treat Holiday Inn Mayfair . stay ! stay anywhere else ! ! ! 
 Mar 18 2007 	 's location ... 	 spend 5 night Holiday Inn Mayfair book stay hotel website . pay 112 pound night London standard inexpensive , since budget reading review Tripadvisor property , take chance book Holiday Inn Mayfair First hotel easily accessible London Heathrow airport via tube train Green Park station around corner hotel . starbuck across street hotel enjoy breakfast ! boot Drugstore Marks & amp ; Spencer Foods around corner well . Buckingham Palace short walk away . walk St. James Park Parliament Buildings Westminster Abbey Trafalgar Square . harrod high - end shop short bus ride away hotel well . there 2 internet terminal hotel purchase internet plan quite reasonable . pay 10 pound 90 minute time - good option we travel laptop still want keep email . concierge hotel fairly friendly not seem porter service , be load luggage . front desk staff competent enough . not impress restaurant however - find small crowded little smoky taste , eat . room 4th floor quiet . bed comfortable , linen clean , bathroom roomy enough . not complaint room except say complimentary shampoo offer bathroom horrible . bring shampoo go pick small bottle boot around corner . I would problem stay Holiday Inn Mayfair . 
 Mar 4 2007 	 Great Location - Poor Service Attitude 	 great location . couple minute Green Park Underground station . 10 minute walk Buckingham Palace , Piccadilly Circus , Bond Street , etc . really like location … and . check bill almost everyday . check high rate find well rate internet 15 pound less include breakfast . make we check - in , log - in computer , reserve line print give allow we get low rate breakfast two . save 30 pound day two . get rate 114 pound plus vat . double booking come back bite we charge one night show line booking ask we . could fix Saturday call long distance Europe follow week try get fix . next day charge service charge lunch , get take , charge mini bar use take charge internet access twice one day fight about . seem every item ask time get address never friendly . porter non - existent hotel . watch ( guest ) drag bag stand . watch one day family child try get elevator push bag elevator leave fend own . overall attitude rude . room ok small bathroom outdate clean guess ok give location . next time would stay area know well good location . 
 Feb 18 2007 	 get pay 	 short review not spend hour property . book standard room . price sub £ 150 money reasonable value . spend night West end , easy stroll back hotel . price , therefore , justified location . room comfortable , clean , average - sized small tv . bathroom quite small poor product ( Dove Lux dispenser - hate stuff ! ) . staff general polite courteous . check swift . hotel door lock point night wave card get ( someone would unlock door ) .Breakfast average buffet service fine . I good stay major issue . be fussy , hotel fine . be look luxury impress , would suggest look elsewhere . stay alone room suit need . would stay mainly due excellent location hotel . 
 Feb 18 2007 	 never 	 stay Dec wife & amp ; 2 kid , room ok , bar smokey , pleasant bar staff , refuse serve 01.30,2 star hotel would say , checkout leave bag foyer contain pair Lacoste boot & amp ; new Ted Baker top , realise contact hotel forward , never recieve . 
 Feb 4 2007 	 Good 	 stay hotel last night ( Saturday ) say brilliant . we book executive room king size bed huge . facility within rooom superb . order breakfast room - thoroughly recommend . the advice would give would recommend request room overlook main street & quot ; Piccadilly & quot ; . room directly opposite Ritz hotel traffic noise , blare horn ( ? ) shout go night untill 3 am . thoroughly impressed stay . 
 Jan 30 2007 	 do not bother unless upper class ! ! 	 hotel ok upper class ! like many we girlfriend middle class thought would pay little bit extra stay fancy setting . wrong ! none staff work hotel english bear ! state middle class get look upon say sort right hotel ! ! absolute disgrace bother hotel go something lot cheap people treat respect ! ! 
 Jan 23 2007 	 Loved Hotel- Excellent Stay ! 	 friend Gemma stay hotel December last year ( 2006 ) overnight stay London . we want hotel central ( previously stay hotel within London although easily accesible tube transport ' central ' ) . purpose stay pleasure- want good location nightlife central follow day want head lunch shopping city next day ( sushi precise ! love sushi ! ! ) . say ? pleased- tube across road literally 1 - 2 minute walk ! Ritz hotel ( upmarket expensive top range well - know hotel place central ! ) across road too- point excellent location really be . the hotel not easy find not know going find end ! couple blonde moment bit help people within area ! ! hotel clean , nice reception area nice staff friendly , welcome polite . unfortunately can not comment bar / restaurant not get time use see look nice . we check approximately 8 pm book standard room ( twin ) . however , feel like complete princess ever lucky evening man reception upgrade we free ! assume executive upgrade actually end suite ! ! ! think check late evening oppose day suite free lucky Christmas time feel generous ! not think will ever know exactly get free upgrade god gorgeous ! ! top floor little lovely decorate hallway , small bathroom right , leave living room ( beautifully decorate ) sofa , large mirror , large table , hi - fi system , dvd system , tv etc , another small table window two chairs- various spread magazine . also fridge ( mini - bar ) room next bedroom ( bed HUGE ! ) would sleep 4 sure ! large wardrobe , iron board , iron facility , wardrobe huge mirror , also table chair , coffee make facility complimentary hot chocolate , tea , coffee , shortcake biscuit ( real yummy ! ) 2 Kit Kats ! bathroom great ! ! luxurious ! 2 bath robe , slipper neatly present use , two stool , think even scale ( weight conscious guess ! ? ) , worktop huge- two sink , huge mirror , two everything couple could even brush tooth together ! jacuzzi bath shower facility ! ! like apartment certainly ample size ! amazing thankful free upgrade ( suite would £ 550 odd night usually ) . friend would quite happily stay another extra night- cosy ! would IDEAL night ! dvd faciltie , tv etc- everything could possibly want cosy- couple would really love suite ! comparison Ritz price road really could not ask ! ! tip think take partner suite one night weekend treat prepared blow cash want bit extra meal jewellery Holiday Inn Mayfair suit stunning exact location bit cheap ample ! ! ! ! room service guy excellent too- bottle wine happily obligue bring we bottle opener well bring tray bucket ice couple wine glass ! 4 am drunk could not find spoon ( spoon though plenty ! ) cheerfully bring we spoon we within minute call ! ! also manage grab free paper way club prepare morning room delivery ! include photo room trip- downside take disposible camera ( buy evening ! ) therefore good quality undergone process digital transfer disc aswell quality poor- however , assure room stunning go Holiday Inn website Mayfair hotel see picture suites- think one exactly one stay look identical- unless look exactly . obviously happy stay due upgrade hotel , location , staff everything else also live standard . as human know people always first complain something go wrong often never give great feedback thing go right ' assume ' right write hotel thank staff excellent stay leave e - mail address . reply e - mail receive letter thank letter lovely- staff service hotel really great- although say ' well ' often know life sometimes case lovely deserve recognition spread good word ! Brief Summary Opinion Holiday Inn Mayfair : Rooms- ( Comment Suite ) Gorgeous , spacious , Roomy & amp ; CleanCustomer Service - Friendly Staff , helpful , PoliteHotel General - very nice , nicely Decorated , Nice AtmosphereHotel Location - Excellent- Totally Central , 1 minute Tube- Central Station & amp ; Public Transport practically immediately OutsideRecommend To - People look Central Location & amp ; Willing spend Extra Pounds Added Bonuses Location & amp ; Niceties , Couples , Families & amp ; Couples look Medium - high Budget HotelsMe friend go try Holiday Inn Central Amsterdam couple week time back review soon ! then - Happy New Year Holiday Inn ! BIG THUMBS ! 
 Jan 14 2007 	 really good ! go hotel . 	 situate ultra - chic fashionable area London , Holiday Inn Mayfair one hidden gem London . reasonably price £ 355 per night uber - cool location , Holiday Inn literally round corner London ' fashionable delectable hotels- Ritz . standard room , little £ 110 night suitable really pleasant style accommodation . mini - bar , digital television plush curtain pelmet galore , hotel really excellent place stay whether business , family simply mini - break . city center right doorstep , might expect area loud disruptive . simply case , especially request back hotel and/or high . hotel ' restaurant bar , Nightingales , excellent place enjoy pleasant English Breakfast spending hour vigorously travel round shopping hotspot London . nightingale also suitable atmosphere enjoy G & amp ; love one going enjoy dinner one London ' many posh restaurant . decide go nightingale one night happy food , way serve atmosphere restaurant . overall , food great price . hotel ' pool spa , truly one good hotel type . use internet pc hotel times- averagely price £ 3 fifteen minute ' accept coins- use pre - pay card credit card . overall , hotel really delightful- everything might expect four star hotel center London . hotel family friendly disabled access . overall , would award hotel eight point ten . 
 Jan 7 2007 	 expect 4 star hotel Mayfair . 	 like hotel location , disappointed run state hotel , dining room small table quite close together , breakfast bar table use well normally smoky bar , rear chair restaurant soil well seating , breakfast moderate , service carry professionally , go get hot food buffet , find table clear waitress even though touch tea , tablet table ready take , watch thing do another customer . our bedroom quite marked worn carpet , clean staff do reasonable job cleaning , bed comfortable amenity fine tired look thing , bathroom seal around basin miss place mouldy , wife stay hotel reduce rate , expect pay full rate 
 Nov 22 2006 	 pretty good ( London ) 	 stay last night Holiday Inn Mayfair , use Priority Club point accrue , could night London . pleasantly surprised room ( 541 ) U shape good size ( expect , pay point rather money , would allocate inferior room ! ) . Decor good condition perhaps one recently refurbish room other speak - picky , piece furniture small chip , obviously noticeable . bathroom clean pleasant , Dove shower gel creme wash dispenser . staff contact reception probably eastern european origin pleasant efficient - language problem . general atmosphere/ ambience place welcome . not eat hotel like try new restaurant cook breakfast accord card room c.£15 . cheap cheerful alternative Benjys next side street full English breakfast £ 4 also sell bacon egg muffin etc pound seating , also lot Starbucks , Costa Coffee type place close vicinity wish go one step up . overall would qualm recommend hotel , especially give great location 100 metre Green Park tube station , side street Piccadilly , opposite Ritz , far cheap ! 
 Nov 20 2006 	 Good Choice 	 Excellent location lovely area . room clean good decorative order . breakfast good staff helpful , good choice would stay 
 Nov 17 2006 	 Standard Holiday Inn fare - Mayfair luxury 	 stay Holiday Inn Mayfair one night early November , choice , hotel regularly use London overnight stay fully book . normal hotel Westminster taxi ride away , inconvenient see many would consider HI Mayfair ideally situate . although ' pay hotel company work pay 17 % extra cost normal hotel . honest pay location hotel match regular 4 * .The build old although sign recent refurbishment . check - in go smoothly – queue - ask quiet room allocate room 106 . appear 2 lift also rather old , small slow - moving . signage lift exit room could improve . room fair size clean décor leave quite bit desire . furniture rather fade old - fashioned decoration appear date 60 picture wall ( cheap print ) 50 ! sound insulation exterior excellent , room face inward triple glazing . sound insulation adjacent room however sadly lacking , inter - connecting room separate next room 2 wooden ( non sound insulate ) door substantial gap around . could hear every word make phone adjacent room , fortunately business man late - night noise early morning commotion . could different room contain row couple mother cry baby . main problem however A / C , respondent point barely warrant description air conditioning . people complain unable control room temperature downward , well could move room temp upwards ! 2 fan speed slow slow although turn temp max ( 32c ) air come nowhere near temp lack force air mean although high area room reach temp acceptable air near floor stay cold time . bathroom small although clean however nasty smell present , presumably come drain sign mould . soap shampoo dispense wall - mount squeeze dispenser rather hold bottle prefer . notice warn financial consequence guest spill water onto floor fasten shower curtain properly suggest floor far waterproof hotel bathroom . plastic mug present rather glass . there lot read info leave room welcome pack . tv rather lack channel . self - brew tea cheap brand , Earl Grey English Breakfast Tea use . tea cup seem half size supply hotel . ' eat hotel english breakfast price £ 18 Continental £ 16 , par course , other state , far cheap eatery available short walk away . internet connection present cause use ' comment price speed . the bed comfortable , good choice pillow plenty warmth inside quilt ( lowly temp room need ) ! excellent night ' sleep aid earplug . check next morning quick – fact serve 2 people , one appear trainee . say struggle English language . ask print copy invoice even though bill direct booking agency – discussion amongst state could supply one ! offer make get taxi . summary : hotel perfectly ok one 2 night ' stay would want stay week . price pay primarily location – hotel undoubtedly grandiose rather jade move market Holiday Inn standard fare . 
 Nov 7 2006 	 room fine location great 	 disappoint stay Holiday Inn Mayfair . room clean well bathroom . bed fine , decor typical Holiday Inn ( nothing fancy , kind plain ) . anyway care lampshades furniture - be London location can not beat ! ! walk every sight accessse tube across street Green Park . see construction renovation go stay , not see previous poster complain hotel shabby complain try renovate . hallway clean , bathroom spotless , bothersome noise , price quite reasonable London standard . agree helpful concierge would plus , rely great recommendation . one last thing worth mention hotel charge we full stay ( 3 night ) pay cost full online prior arrival . however , reimburse we immediately mention error , apologize . want decent hotel great location without pay arm leg , consider hotel . 
 Oct 22 2006 	 Shabby Rundown 	 like previous reviewer can not anything praise location . sainsbury two minute away starbuck across road . however hotel need knock start again . my first criticism hotel undergo refurbishment . fair enough not work night , want relax room hour two afternoon think twice - could hear drill . I think could decency pre - warn guest book undergo refurbishment three quarter hotel entrance would block , well noice . even check not mention . talk check staff know smile - also know speak clearly - issue foreign staff . go put Customer Service role , least make sure speak understand english ! ! last issue room . Yuck Yuck Yuck . bathroom disgusting , not even feel safe venture bath / shower , fear might catch . room also well - carpet clean wall crack scuff - defin see well day . next time come back London go back usual hotel Thistle Marble Arch 's bathroom totally gorgeous ! ! defin return hotel - shame since location good . 
 Oct 15 2006 	 pros- Location ! ! ! con : Conceirge not clue 	 can not add location - great ..... one downside . conceirge not idea thing , far away , unable provide suggestion . get city map guy major task . ironically , plan trip , somehow give phone number holiday inn London , conceirge booking ... know exactly job . Tip HI Mayfair , send concerige train school hotel across town . 
 oct 4 2006 	 Perfect Location 	 recently spend three night Holiday , first visit capital city 50 year . price wise hotel competative certainly get value money , room spacious well present , cleanliness seem key word hotel . friendly staff . location though win , walk main site , 5 min Buckingham Palace , 10 min Oxford Street , 5 min Leicester Sq , Theartres bus tour around corner , excellent say . get chance go see Billy Elliott show , wow . 
 Oct 3 2006 	 good ... much encouraged 	 stay Executive room Holiday Inn Mayfair 3 night last week . Location London hotel hard beat , price reasonable - least London standardsThe room large comfortable let bit tired . tell many refurbish old one .... unlucky . paint chip housekeeping could well . Breakfast be not much write home though sure bad . overall okay great . do not inspire try evening meal comment . excellent italian Fish restaurant arch rear , Dover St , call Pescatori though Beryl Cook gallery worthy visit . on leave hotel fill guest satisfaction form leave , mixed review . leave Friday Monday hear operation manager email . correspond twice since much encourage point take board address . guy try hard initial reservation repeat experience , likely deal acceptable time . impressed management see good thing happen follow , look forward another stay check . 
 Oct 3 2006 	 Great Location 	 recently stay Holiday London Mayfair two night late September really enjoy stay . come early first morning Paris get hotel 10:00 get room right away beautiful view Picadilly directly accross Ritz Hotel . meal include stay eat like King . room great along hotel staff . would stay , give Holiday Inn Mayfair 4 star . 
 Sep 28 2006 	 love hotel 	 trawl internet hotel review finally settle Holiday Inn Mayfair due location . book hotel 3 day advance booking ( inc breakfast ) £ 112.00 ex vat 1 night 23 sep 2006 . occasion hubby 's birthday . arrive hotel 9 able leave luggage concierge room ready . first impression hotel lobby clean nice comfy seat area friendly staff . bedroom lovely - spacious , extremely clean , nicely decorate ( wear / scratch furniture saggy bed see review ) aircon good working order . eat nice dinner hotel restaurant clean nicely decorate lovely comfy armchair sit . food overly expensive cook well hubby leave clean plate course . breakfast really nice ( plenty ) . location excellent - 1 minute walk Green Park tube station , Theatreland 10 min walk , shop district within walking distance . overall really enjoy stay stay next year . 
