bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 may 21 2008 	 absoultely awesome stay value 	 be obviously go get Bellagio Wynn , hey .. do not pay big buck either ! 2 joint jacuzzi suit live space enormous , staff make sure room clean , neccesitie ( extra towel , even toothbrush / toothpaste , cup etc ) whenever need , bachelor party spend 5 day anyways , amount time spend room great . ( location pretty sweet near MGM , NYNY , Luxor etc ) POOL , definately one good vegas , volleyball net , waterfall , bar , can not ask much . not care say stay megaresort , wan na save dollar still blast , tropicana totally recommend ! 
 May 20 2008 	 much well elsewhere 	 stay Tropicana May 13 – 16 , 2008 Island Tower room – this suppose upgrade room . smell heavily chemical clean day . overall room semi - clean , old kind disgusting . bathroom tub scum sink tap black mold grow inside . day pass , noticed bathroom floor sweep . bath towel quite thin small – need bring use 2 towel day . gum ceiling bed food stain ( ketchup maybe ) wall . door would lock properly security assist we , since staff would move we different room . it ' also long walk Island Tower front casino . ' hear Paradise Tower ( recently renovated ) okay . avoid standard room 4 -5 story high close busy road full traffic . the casino old smoky / not well ventilate . staff friendly . location okay – ' end strip MGM . find end strip lively . hotel seem suited youth look crash cheap room night heavy drinking ' care cleanliness . stay Imperial , price range . find hotel clean well location ( middle strip ) . 
 May 15 2008 	 great stay ! 	 return 3 night stay Tropicana . real nervous reading review post . want say would recommend stay . staff friendly helpful . the room clean quite large price pay . would upgrade Paradise Tower . strip view , refrigerator , room safe . 9 group put we together area . gambling late night dealer cocktail waitress great make really fun ! 's Ritz perfect $ 100.00 / night strip , weekend ! ! would stay ! 
 May 10 2008 	 Impressed 	 stay 4 night Tropicana enough we . 19 year old 10 year old we . agree review say ok place & quot ; crash & quot ; money grab tear . overall disappointed . the good : location . right strip easy access everything . airport close . room clean spacious . the bad : escalator elevator break throughout entire weekend , somewhat run two weekday . staff member recommend take freight elevator use duration trip get up / down room day . the food alright Buffet , however , resturant hotel find hair food not eat hotel that . the staff hit miss helpfulness friendliness . overall friendly bunch . Definelty smoky smell hit walk hotel linger throughout . hotel smoke , smell clean , hotel . the pool family close 7:00pm adult pool stay open . would nice use pool facility kid 's sake little later evening . the one bed room slant ( break ) . mattresse thin old . patch job wall coverup outlet use obvious . normally would not write review , warrant one . shop around stay . much nice place cost . hotel 3 star . 
 may 9 2008 	 good money 	 review read , little nervous . money ( $ 42 / not ) room fine . charge extra $ 7.99 / nt . resort fee get . room bathroom large clean . drape chair little shabby towel quite thin , pay , not bother . inexpensive room hard find , Trop excellent value great location . 
 Apr 30 2008 	 $ 25 / Night Worth every penny ! 	 first ... 's Vegas actually room ? 's boy figure book baby little jaunt . pool really big , lot chair hot tub get little scummy end day . 's thing non - smoking room place 's definitely someone 's look luxury . shower decent pressure maid good could condition tub . ( quite scratch old . ) reception staff quick courteous check . phone not work room door slam make sure locked . 's end strip walk quite way see show Treasure Island Bellagio , weather sweet not matter . be right close tram Luxor ( will stay next time ! wow ) not play table always seem busy ... Lucky Larry 's Lobstermania pay trip $ 5 can not really complain anything else . would stay simply 's place shower , change pass . would not book romantic couple 's weekend unless plan come home single anyway ... Boydo 
 Apr 30 2008 	 SPA Tropicana- gross 	 do not stay Tropicana , book two swedish massage spa aroma therapy tan boyfriend . facility gross . 's old nasty tile place . amenity tiny gym , shower , 1 jacuzzi , steam room sauna . also room relax sit , right next gym hear everything . also next locker . place tiny . can not blow dry hair massage room right next door . 3 massage one room . music place go , exactly tranquil . staff un helpful , do not bother even mention bathingsuit optional . guest sure . get massage Kim good . really like massage . pay ahead time opt put tip later . try , say run credit card tip amount . look like spend addional $ 50 instead tip . really hope give Kim . tan bed single person stand bed run 12 minute need 12 minute . decide do get . 's way pre set time . overall , cheap $ 90 massage ... $ 60 . would even use facility , get nothing go . be not relaxed except get massage . spend additional money try new spa . 
 Apr 24 2008 	 would go back 	 recently stay Tropicana , nervous make reservation b / c know hotel date review read scary .. check Friday night ( 4/18/08 ) @ 10:30pm ( Vegas time ) – line little long bad . room ok , big thought would – entire place definitely date bad , smoky , tolerate smell cigarette ok ( ' smoker , deal ) – staff cordial – strange part room mirror around bed , make wonder many people " dee " bed ( ha - ha ) – overall would say ok experience – really enjoy casino , waitress quick cocktail card dealer nice . would stay ; wish control smoke . ' beat location price ! worth it . we book hotel vegas.com 
 Apr 14 2008 	 Great Trip 	 love Trop . first time stay , ' ve visit property many previous trip . can not beat location ( share intersection MGM , New York New York Excalibur ) . price location , be steal . might mega resort , be pay either . nothing friendly people . would recommend place anyone except high maintenance . 
 Apr 13 2008 	 bad ! 	 Tropicana need complete overhaul immediate destruction . stay Tower 4 . room smelly barely furnished . agree reviewer management see place cash grab tear . visible patch hole room staff patch plumbing . furniture old musty . barely decor television small bad picture . room way price . never write review . place compel write complaint . stay ! 
 Apr 8 2008 	 show Age 	 stay 3 night Tropicana . ' feel like ' step back time , Vegas Cheese kind way , also goodness place show age kind way . the positive : Location , Staff , inexpensive taxi fare airportnegative : overall bit dingy , thing disrepairOn positive note , every single staff member come contact beyond friendly go way assist . special note check - in housekeeping . exception one gal Casino Java snack stand . bit rude customer . room bit rough . blanket fray , towel rather cheap & amp ; thin , mattress … well ' look closely . one bed distinct list one side . lighting bit desire bathroom exhaust fan might well nonexistent help clear steamy mirror . stay Island tower , unfortunately second floor . view strip , ' say actually room look window much . the Escalator wing broken entire time , sign repairman . also oddly , grill café break . eliminate good portion meal option . food good garden café . so - so buffet … though pasta bar stand , dessert bar disappointment . casino nothing fancy . ' complain . Vegas kind I . for reason would book Expedia . would hotel . Expedia customer service leave lot desire . although okay stay , probably would look elsewhere next trip one ' send ground build back . want good location , nothing fancy , look room crash hour night , okay choice . 
 Apr 6 2008 	 happy stay 	 sure , resort not nice many strip . especially casino , quite & quot ; dowdy & quot ; . Vegas six night certification class , budget want stay strip . price right Tropicana . overall pleasantly surprised happy stay . room large , balcony overlook pool area , love . room & quot ; tired & quot ; old furniture , flower print bedspread original print wall - almost old Vegas & quot ; kitsch & quot ; factor ! bed comfy , sheet decent , room clean . staff guest friendly down - to - earth . pool nice . place huge 's anything could want either Tropicana across street MGM Grand . keep mind everything expensive - cigarette gift shop twice much strip , example - find true everywhere strip Tropicana . not happy dinge & quot ; resort fee & quot ; $ 7 per night have already pay full , not go argue check - in long flight . be snobby hotel would say safe choice . cab driver tell be soon go impolode whole place except one tower nice huge couple year . 
 Mar 27 2008 	 Implode ASAP ....... 	 's time put resort 's misery . arrive 8:30 , tell checkin would noon . noon , tell check 3 pm . , gamble wait , finally get upgrade Island Tower , old , dirty , room 1143 face airport . air not work , leave window open since nice , plane keep night . Escalaters hotel not work , pool drain painting ...... slowly . look room crash strip , go , look something little nicer , not go . not happy could not use pool area . casino , staff rude , dealer would not speak even acknowledge drink service horrible . 
 Mar 24 2008 	 Implode ! ! ! 	 hotel , resort , casino definitely near end . every day open cash grab inevitable destruction . if price stay reflect much dump place become might actually tolerable . guess bank past reputation convenient 4 corner location continue charge much . still list many site 3 star , worthy 2 star year . we fantastic stay 12 year ago even could see near end . we stay well hotel like Luxor MGM , well similarly rate hotel like Excalibur Sahara . would stay return Tropicana . our last stay abysmal . much go wrong absolutely nothing go right . instead let ruin vacation decide laugh ridiculous room staff ' care less make part whole experience . I think even staff know work dive . probably wish work well resort . sure seem way . the main reason stay Tropicana convenient location pool . pool area still pretty good location location . important cost , place . otherwise , many choice price little much offer . 
 Mar 24 2008 	 nice 	 fine place stay get whole Vegas experience . hotel old , not & quot ; pretty & quot ; rest , still nice . food service good . casino nothing spectacular . would certainly stay one low price hotel , would prefer hotel middle strip rather end ! 
 Mar 22 2008 	 never stay ! ! ! 	 never stay hotel ever . staff front desk rude . tell could check certain time one employee yell another employee come back time tell . pool swimup bar blackjack heavily advertise online book room never tell we go closed day . tell suppose know ask pool go open booked room . justify tell we pool go close say another pool 2 hot tub open ( open pool basically kiddie pool ) . end go excalibur pool swim . elevator order . hallway room room smell awful . would never recommend hotel anyone . pay little stay somewhere else ! 
 Mar 21 2008 	 Pools repair 	 stay hotel beautiful picture pool , keep mind small pool open . large pool connect indoor pool repair . also room clean last two day stay . goood price room come price . would stay pool open . overall , bad , wish know pool . 
 Mar 16 2008 	 $ 7 daily ` ` resort fee '' 	 aware $ 7 per day per room & quot ; resort fee & quot ; . charge even though give basically nothing non - summer season . hotel even service charge show hotel . stay Paradise Tower room acceptable . the location really good . for buffet spend extra $ 5- $ 10 well hotel . 's well worth . not bother buffet Paris , be always lineup . other hotel free airport shuttle , Tropicana not . cab from / to airport $ 10 . not tell cab driver 's first time Vegas otherwise get $ 20 ride . - ) Grand Canyon - South Rim bus tour find $ 100 , shop around ( advertise $ 150 ) .Hoover Dam bus tour around $ 50.If be Canada sport check UNLV college game . bring comfortable shoe might walk lot . the deuce bus $ 5 24 hour bargain good service . 
 Mar 11 2008 	 need Improvement 	 Room satisfaction . sofa bed seat stain dingy . bedspread blanket different piece hair stick . bathroom floor spot residue hair . grout shower little black spot paint peel wall next light switch . use cell phone call front desk room phone not work properly . receive long distance fee upon check . hotel fee addition room fee supposse 6.99 actually 7.63 . hotel ground construction lot street noise . window filthy could not even enjoy view strip . try get new room staff tell not anything available evening . share king bed really two bed push together . 
 Mar 10 2008 	 price right stay look elsewhere 	 read previous review serious trepidation book 3 - night stay Tropicana . end $ 66 / night Island Tower room good pass . room terribly spectacular , user submit photo fair representation . room 8th floor fabulous view airport . room high enough bothered noise HVAC equipment roof . room typical king bed room , two rather smallish nightstand , small desk / dresser combo , full - sized sofa bed coffee table , pair armchair , 19 & quot ; tv channel . oh let us forget mirror ... mirror behind bed , bed , beside bed . great like watch sleep enjoy bask classic Vegas tackiness . bed ok . mattress new good condition , slightly hard taste . linen bed typical cheapo hotel fare one place could do much well , especially give cost conscious chain like Holiday Inn Express , Hampton Inn , etc really put together nice bedding package lately . first night measly 3 pillow bed , however maid kindly give we 2 remain night . the bathroom rather large roomy vanity large mirror . island tower room get soak tub . actual property interesting mix old new . casino rather small cramp look . wind way get Island tower . pool Tropicana 's strong suit , go find well pool setup money strip . sure place nice pool , & lt ; $ 75 . unfortunately main pool indoor pool resurface stay . head checkout final day actually notice heated outdoor pool open . dining option rather limited . sample breakfast buffet first morning come away rather disappointed . sure cheap $ 9.99 variety pretty limited , service slightly average , quality marginal . could get well breakfast Waffle House Denny 's . plus side beat location . within walking distance MGM Grand , New York New York , Excalibur , Luxor , Mandalay Bay , Showcase Mall , etc .... duece , right front door strip . overall Tropicana decent value long sleep . go elsewhere eat fun . doubt stay , especially give attractive rate nicer hotels strip offer . 
 Mar 5 2008 	 Mirror mirror ... 	 book Island Tower room one night $ 52.00 . receive room 360 Tower . Island Wing long tiresome walk far away front desk . elevator slow appear 1 5 run . always elevator always pack brim full people . the room adequate need King bed , Non - smoking . view speak except part Hooters HVAC equipment roof . actually really like tacky Island theme room fake bamboo furniture ugly drape bedspread . not understand need mirror , , around bed . perhaps would fun video tape adult movie sexy , athletic body , not enjoy see different angle . my favorite part room bathtub . deep perfect soaking . make long walk casino , across river pool get room . soak big tub end day wonderful . overall , price great not complain . would stay would pay $ 20 different Paradise Tower near front propeerty . 
 Mar 2 2008 	 great location tired hotel 	 stay 7 night husband , find whole vegas experience surreal one . however travel 20 hour get imagine pretty severe jet lag , unlike many people Vegas spend quite bit time room . similar , offer upgrade $ 10 night decline first , garden room allocate awful , overlook air conditioning unit , garden , broken furniture , genrally shabby , trapse back check upgrade island tower ( check take we nearly hour altogether queue ! ) . island tower room 11th floor clean , maid come every day amazing view strip . not noisey find room service prompt pretty tastey . we find Tropicana 's decor date esculator casino floor tower lift break . child like drawing parrot lift amuse we , use lift always make feel sick outside window look like never clean , whizz past make look like raining make dizzy ! pool amazing well worth day , sip ' football ' sized cocktail . Foiles Bergere worth , get BOGOF ticket resident . enjoy japanese restaurant restaurant , tend find place eat , breakfast Mandalay Bay awesome , pasta casino venetian joy sausage mash irish bar NYNY also brilliant ( inlude live music , feel like home ! ) .All Tropicana tired hotel awesome location brilliant value money . talk pull replace usual mega resort way quite sad . ever go back Vegas would stay downtown , probably Golden Nugget ( like swimming pool 's amazing ) .i guess expectation polished hotel like we pleasant enough stay ! word warn , not use tour desk hotel , be run expensive trip Canyon ever come across ! 
 Mar 1 2008 	 Ewwe 	 go vegas friend plan day night like ok place . however , plan room 1 hour would suggest look else . first part hotel stayed remodle since diciple roam earth . paint peel wall , chair room tear , curtain hole , bathroom vent do not work let sure mention air time year . time year hot hade outside . two girlfriend take shower room sweaty heat ridiculous . hard we get dress . aside stay 4000 wing walk two mile get room . price location could expect . 
 Feb 26 2008 	 Fine price 	 stay Tropicana February 21 - February 24 . great time , especially pay $ 71 / night lasvegas.com ( match hotels.com 's price give we 10 % back ) . book Garden Room , get upgrade charge junior suite Island Tower . ( also $ 7 / day charge upon check ) .The room large couch , comfortable king size bed , tacky mirror ceiling . bathroom clean , tub / shower great . room make day sheet towel replace time . the issue elevator one afternoon . 2 5 working hour , long line people try make room . , issue all . I would definitely stay , give comment garden room , not see . would probably pay extra 10 - 15 per night upgrade tower room , great little needed . 
 Feb 21 2008 	 Tropicana = bad : ( 	 vacation go cheap route take in - law we . want something strip something cheap $ 92 / night , think Tropicana would . not mean picky people really want comfy bed nice bathroom since Vegas not really room much anyway . ask 2 room 1 king bed non - smoking . basically tell one 2 double want together . feel offer free / discount upgrade trouble . think dumb hotel website can not guarantee room type ask . never come across hotel . least not get room , offer upgrade ! would good customer service . front desk clerk act big deal not care much . now room .... garden room ( hear knock thankfully ) . room part tower room hear nicer . least could do room stayed get comfy bed . terrible ! back neck hurt whole time Vegas ! plus , shower good , bathroom fall apart , somewhat clean . overall , not good experience far Tropicana go offer room long , need low price $ 20 / night ( ) be worth . 
 Feb 19 2008 	 nice Stay Tropicana 	 bad review read Tropicana , bit leery , get awesome deal thru travelocity go . pleasantly surprised . room Paradise Tower 20th floor clean comfortable . thing really upset husband check , room not ready , nice lady walk offer we free food show . ploy get we visit timeshare . minor mishap , enjoy stay . one cab driver tell we Trop would tear condo build property . old hotel , one uppity snobby rich people use nothing good , will not happy . 
 Feb 13 2008 	 not stay 	 Desk clerk rude not want upgrade well room ; give we substandard room ; room window dirty ; view look air conditioning HVAC hummed night ( 2nd floor ) ; room hot even February due poor air circulation ; find use condom hallway near elevator - Yuck ! not stay 
 Feb 13 2008 	 shabby price .. 	 pleasantly surprised regard value quality receive Tropicana . service great , however , advise stay away island buffet . unless enjoy quality quality food , recommend buffet @ Luxor Mandalay bay . room , see picture , quaint . look frugal vegas trip , recommend Tropicana ! ! ! 
 Feb 11 2008 	 well bad either 	 stay Tropicana Hotel Casino past weekend , say review bad , think know . book cheap room , like , get basic room look well would get chain motel like super 8 bad view . want room trip Vegas , go front desk ask upgrade . charge $ 10 per night put Paradise tower . 16th floor , view airport , know ? room bad . bed comfortable , hardly sleep anyway ( Vegas style ) . mirror ro side top bed make decide need lose weight , walk strip instead take taxi bus . light bright , tv small , hardly spend time room . black jack table mostly good , ever make black jack table , slot wild poker take right back . buffett worth money , look somewhere else eat . excalibur Luxor buffetts way well , close , go Caesar 's Palace really good food , maybe bit expensive , think worth price . dealer table great , Lee & quot ; Nish & quot ; super cool . help understand game ask . management mostly helpful , Karaoke night night , blast . also , may want check Dirk Arthur , put good show . get comp ticket see , get autograph end show . overall Tropicana bit old , fancy place , fun . remember , room upgrade worth , management employee helpful 
 Feb 9 2008 	 pretty decent price 	 stay Tropicana 3 night . get pretty good deal Canada Vegas.com . last minute vacation , not whole lot money spend package . choose Tropicana location ( price ) spite bad review TA.We stay ground level Garden Room . yes , be date . curtain bedspread hideous , care ! room clean . stain floor , obviously not renos quite time . bathroom pretty clean . complaint tub not drain quickly . take shower , would end couple inch water . oh well , drain couple minute . the room safe break , front desk staff let we put everything safe behind desk . inconvenience we . the front desk staff super friendly , clean staff . the garden middle resort pool would quite beautiful summer ' m sure . the hotel close everything . show MGM NYNY , perfect . slept room , be , perfect . really .... spend 100 $ plus swank hotel probably will not spend huge amount time . , budget - hotel fine . 
 Jan 27 2008 	 avoid next time 	 look like hotel give update . around time Dean Martin Jerry Lewis first hit Vegas ! 5000 wing sad . end list one hotel CES 2008 like attendee opinion , will not come back . course be look place crash not mind old , mothball smell room go . 
 Jan 26 2008 	 clean room price 	 boyfriend decide go town time want something clean central location .... . come want resort five diamonf hotel . come simply want clean room nice view suffice . room clean spacious staff give we free upgrade check qualm . great view Excalibur Luxor 22nd floor . advise anyone pleasant front desk staff get great room . great place young folk want something affordable well part strip . 
 Jan 20 2008 	 cheap get pay 	 be Las Vegas be essentially look room bed get do . be one old hotel strip may want expect much . casino inside not bad , come Vegas be probably look little well experience . room not clean upon arrival , , room sleep time . lot around casino locate right strip lot great casino nearby . 
 Jan 16 2008 	 good base holiday Las Vegas 	 stay Tropicana couple night 2000 , know ' fancy up - to - date Strip hotel , quite nervous read review . however , husband ( Vegas recently ) reassure ' bad . and ' . stay Island Tower room sixth floor . room little date , clean comfortable everything need . would stay again . positive * ' great location Strip , within easy walk distance casino resort . compare price Strip hotel , ' bargain , . * room clean , comfortable , huge , use safe free ( hate pay extra use room safe ! ) – , ideal base . * staff friendly helpful . * eat - all - you - can - for - a - set - price breakfast buffet good . strange see apple pie offer breakfast hey , husband enjoy ! * maybe slightly strange one … really like casino floor ceiling ! negative * room ' clean afternoon – fact one day , ' clean 5 pm . would nice make early . * charge structure opaque ! oh ' flat rate per night , instead room rate , resort charge ( suppose cover ? ) , tax ? * would love kettle , cup , tea coffee room . pretty much standard UK ' use able make cuppa wake without wait go breakfast . * idea indoor pool appeal , go look , really disappointed . feel like somebody ' garage – concrete - y inviting . * & quot ; Trop shop & quot ; bit tacky ( , Vegas ! ) one thing really surprise smoking allow casino . think , understand ' allow point view casino owner , non - smoker , ' really annoying feature holiday Las Vegas . 
 Jan 14 2008 	 good location Nice Hotel price 	 find hotel pefect we , get good rate $ 65 night , great location , even get upgrade Paradise Tower room extra cost check really late , sell . 21st floor , great view face MGM Grand . eat breakfast dinner place , even restaurant Trop pretty good , decent price . what must remind everyone , be pay $ 99 night less , not expect Wynn Venetian ! basically hotel great location strip , pretty damn cheap , mean dump ... ' ve stay way bad place Trop . room clean , quiet , in - room safe , A / c work great , fridge room ( think cost $ 10 per night fridge anyways not pay extra ) , problem room tv poor reception care , basically get room sleep shower , that s , not travel Vegas hang hotel room . friend Island Tower room seem ok well , actually think bit large , large bathtub , mirror bed etc ... bad . garden room even see , can not comment those . the casino pretty good we , not care much high roller table like Wynn Bellagio , feel right home play Tropicana , atmosphere bit quieter , drink service good , $ 5 table open day long , probably casino strip offeree $ 5 blackjack . casino pretty good size ... however pokerroom quite small 2 maybe 3 table go time , sometimes one , buy - in cheap good action , dealer nice make feel comfortable beginner play . play limit limit game , think min buy $ 50 ? bad part Casino would sportsbook , even find ! 's hide somewhere still use old board , nothing electronic , tv 's maybe 2 teller ... small ! guess kind neat see thing back day use dry erase marker change odd , lol . the hotel pool really nice , large ( August +110 , HOT ! pool busy pack kid , perfect . also gamble swim blackjack table , kinda neat . the restaurant decent , typical buffet , nothing special not bad ... restaurant sit , upscale , steak / crab leg dinner excellent . we also check Comedy Stop , hilarious stand comedian , Dirk Arthur Magic Show , really good show ( quite good Lance Burton ) .Overall , satisfied Tropicana , know stay low budget hotel compare big hotel strip . choose Trop Imperial Palace glad . location great , walkway Excalibur , NYNY MGM , plus monorail take Mandalay Bay , Luxor minute . would stay sure .... 
 Jan 11 2008 	 Funky Tropicana 	 stay business trip couple day stay Tropicana price , location . learn take review grain salt , not expect much basically read review get . convention adjacent casino / hotel $ 400 night . Tropicana $ 100 . price even keep come upgrade ' deluxe ' accomodation Paradise Tower read , tell , completely renovate . maybe band aid get demolition new construction old , funky , absolutely trace class anything new . jacuzzis outdoor pool close tile plaster discolored chunky . ' Business Center ' basement Arcade . kid . Venture anywhere beat path place get really scary . meet Monte Carlo discover drop rate last minute $ 400 night $ 89 place gorgeous . hate place would stay begin like want . bummed lie dumpy room , ' good ' Tropicana , listen neighbor every movement , coming going hour . would recommend low budget partying . 
 Jan 10 2008 	 date ripe replacement 	 stay CES show January 08 book cheap thing strip decent location . rest big - name hotel $ 500 night , pick Trop $ 180 night cut cost business . unfortunately , impressed Tropicana feel like update way since late 70 early 80 . casino hallway Island Tower old , dark , full smoke , music 50 60 play ( presume 's hotel popular ) , wear carpet . elevator lobby hard find Island Tower tacky grungy . room different would get Motel 6 ( exception : large bathroom ) . tv small handful channel . window filthy . bed hard . room clean though , Trop 's credit . $ 5.99 & quot ; resort & quot ; fee crock- get absolutely nothing . not even health club could find . overall , place date old - time feel place sit next MGM Grand , across New York New York , Luxor , even Excalibur . time implode build something new , nobody obviously care update . 
 Jan 10 2008 	 Absolute dump unbelieveable 	 spend night CES 2008 . place dump . reek many year over - use . basic amenity would expect , e.g . WiFi , passable breakfast lounge etc . break . think decrepit word . can not believe spend $ 200 . 
 Jan 8 2008 	 location great room terrible ! 	 book three night hotel package usairwaysvacations.com get great deal . pay get old smokey tropicana though ! room terribly outdate ...... garden room mirror everywhere old tropical coverlet bed . carpet stain , hall smokey .... thing positive hotel location . nice step outside casino be right strip . room place sleep feel need shower 10 time day rinse grime ! food eat casino breakfast buffet terrible well ...... say would never stay Tropicana .. 
 Dec 29 2007 	 do not stay ! 	 boyfriend get back Boston spend Christmas Las Vegas . trip would amazing not mistake booking room Tropicana ! first arrive flight hour check , staff incredibly rude ask checking bag . give we time frame room would ready , room still unavailable long time . end talk several staff member one kind enough reassign room . there several different kind room get Tropicana . cheapest & quot ; Garden & quot ; room locate motel type atmosphere . hear good thing room , upgrade & quot ; Tower & quot ; room . place 12th floor . first thing go use bathroom . hard water stain make toilet look like cake fece reminent , find several hair hand towel side tub . picky customer , find every hotel experience spectacular excited different place , disturb I . the room extremely outdate dirty . stain carpet couch , window cover dirt . something people might enjoy find creepy bed ( room one King size , unsure different 2 queen size bedroom ) surround mirror . headboard one big mirror go way ceiling , another mirror start headboard stop stretch entire bed . another mirror take whole wall one side bed , basically surround reflection . have horror memory & quot ; Bloody Mary & quot ; & quot ; Candyman & quot ; , ask room change . staff move we another room , & quot ; mini suite & quot ; swear not mirror . mirror . mini suite slightly large room put corner , throw open curtain view Tropicana Blvd / MGM Grand , Hooters . recommendation : save money , mini suite worth extra money , whatever cost difference might . actually hate room change bathroom reek sulfer toilet make weird gurgling noise every ten minute . room next exit stairway , every time door open , door would make weird clicking sound sound like someone break room . the bed disgusting . sheet feel grimey , itchy end sleep sock , sweatpant , sweatshirt hood pull head . cover sheet reddish blood ( ? ) stain it . we order room service one morning , say one positive thing . quick , food decent warm . Phew ! speak food , dont EAT BUFFET ! ! ! ! ! price may good budget , worth money save . & quot ; freshly carve meat & quot ; serve cover gizzard fat , even though one least picky eater world , leave least 90 % meal plate . suggest suck spend extra $ 10 buck person , go across walk way MGM , eat like royalty buffet . difference two buffet like .... well , think two extreme . they two cafe name & quot ; Java Java & quot ; . order hot chocolate hotdog . two thing disgusting . can not imagine anything else much well , ' m plan find out . overall , unhappy stay , luckily , spend little time possible hotel , rest trip great ! summary : spend extra money different hotel . Tropicana may one cheap hotel stay strip , mean worth ! 
 Dec 27 2007 	 Great Time 	 first let say book prior check review site . read review worried condition room . arrive friday night midnight staff excellent . remember always help friendly front desk staff . give room rear tower sure name please . definitely old early 80 's great deal . view Hooters casino airport . room CLEAN , safe work , mirror ceiling need weekend . would definitely stay . remember not expect Bellagio $ 40 per night . 
 Dec 25 2007 	 Disappointed ! ! ! never stay . 	 get back Vegas , book Expedia.com think pretty good deal , spend X'mas weekend total $ 190 ( include tax ) 3 night . course expect & quot ; fantastic & quot ; room hotel old one along strip . get room , fact , last one 2nd floor . first , difficulty get door . , water shower not flow . call front desk send plumber . third , tv not work well , disturbance throughout program , line screen electrician send say cable 's problem . suggest call front desk change new room . not happen . night , heater run loud woke we several time . last day check , lady say extra & quot ; Resort charge & quot ; $ 5.99 ( exclude tax ) per night . tell explain we , thing tell we withdraw early , $ 5.99 charge . pay tell sign first check . recall , wonder upset couple first arrive . not kind & quot ; Service & quot ; hotel . never stay . 
 Dec 17 2007 	 great time Trop 	 stay Trop . 6 nite early November year really enjoy stay .. good rate Garden room want stay hear come soon want experience & quot ; old Vegas & quot ; . room clean , spacious , mostly quiet , patio , first floor short walk casino liked never wait elevator .... yes place old could use update , wish would sorry see go . there many place like leave Vegas strip , shame mega resort part rate , big , worth extra expense . all employee friendly helpful , food coffee shop good , room service prompt pizza wonderful ............... slot TIGHT ..... ........ visit many casino never see anyone win anything never use case ... machine gave play trop small bank video poker machine still accept quarter .... ? would problem stay ....... still .. 
 Dec 10 2007 	 LIked 	 read other review worried make mistake book Tropicana . pleasantly surprised resort comfortable . get King - sized bed smoking room request . check - in fast check - in person nice . room clean spacious . although resort old , well maintain . great place stay not need glitz new hotel . 
 Dec 4 2007 	 Time take ! 	 stay hotel last 8 - 10 year . reason : price room good Vegas , location great love pool ! however every year little bit run , last year & quot ; upgrade & quot ; jaccuzi suite . room wet bar area sink really counter , window filthy room smell oddly musty thing make we check huge cockroach wall ! ! ! year stay Wynn .... great ! even be little away everything be worth . 
 Dec 2 2007 	 one Fine Hotel 	 other mention , , little skeptical reading review site . however , find Tropicana fine place stay . great location . great history . great service . my husband stay Nov 28 - dec 1 . garden room , friendly conversation Franne check - in , find celebrate anniversary husband 's birthday . immediately work get we upgrade room jacuzzi suite , free charge , hook we reservation birthday dinner Lawry 's Prime Rib .. come free dessert . room fine , little date , clean spacious . dinner excellent ! find casino friendly $ 5 Blackjack table strip . 's secret hotel old . 's due renovation , hear Garden room come soon tower remodel . first trip Vegas please . great time would stay . 
 Nov 30 2007 	 go fast 	 return week long stay Tropicana . stay April year problem want give another chance . arrive get room Garden area . walk room look beautiful . however look decive . call housekeeping reclean bathroom dirty bath tub ( black hair everywhere ) . came take care . go plug laptop plug look like scorch ... like shorted replace . go another outlet go plug , outlet come hand . sound great far right . husband pull bed guess black hair . husband call front desk speak manager duty . want move we . really not want already 9 pm tired finally agree . move we room Pavillion Tower nice . housekeeper take wonderful care we . front desk people part standoffish rude first part week think hire whole new staff Wednesday ... atmosphere totally change front desk area . sevice Garden Cafe excellent , food good . Island Buffet price food , server also excellent . think say great certainty last visit Tropicana . 
 Nov 30 2007 	 good time ! 	 husband go vegas couple year back enjoy location hotel . tropicana old one old hotel strip . typical hotel little corny museum . get great rate extremely happy location . room clean . 
 Nov 29 2007 	 still Kickin ' 	 stay & quot ; Trop & quot ; Thanksgiving weekend wonderful time . Easter Island statue loom Tropicana 's facade long go , replace neon waterfall tumble side hotel . despite place leftover old Vegas yesteryear , find keep adequately need amenity . stay 15th floor Island Tower -- comfortable -- quiet w / an extraordinarily comfortable king - size mattress -- must add mirror ceiling bed add extra pizzaz ( thought go 1970 's pleasantly surprised ! ) . bathtub huge -- perfect size intimate bath two . also , LOCATION , LOCATION , LOCATION -- argue right across street five brand new casino -- Mandalay Bay , Luxor , Excaliber , MGM Grand , New York New York . complaint would mediocre food situation . fairness dine Garden Restaurant Island Buffet preferring go outside hotel expensive meal . Garden Restaurant food horrible -- waiter disintereste snotty ( though assistant sweet attentive ) . Island Buffet grossly overprice , crowd noisy . gardens pool area hotel still lush one mail pond drain subtract use perfect rendition island paradise . overall , however , would stay . 
