expensive 	 extremely expensive consider state . public area beautiful , however room terrible . stay two night previously Harrington Hall ( 4 * ) far well half price . room need total renovation . tea coffee make facility . bathroom poor shower gel shower attachement tap therefore could stand . corridor extremely noisy well . great location . 
 lovely building great location beware ` ` extra '' 	 first qualifi : stay Starwood point . lovely hotel great location - walker runner , Green Park , Hyde Park , Kensington Gardens doorstep . also easy walk Underground West end theater . beautiful area serve tea day drink night . grand space . pay privilege . one gripe layout hotel nowhere lounge sit lobby . health club nice - nothing special certainly adequate . this old building , room type size vary . room clean spacious - London - nicely appoint . bathroom especially nice . service good , great - find level concierge service unpredictable . one thing one qualifier & quot ; extras & quot ; really overprice . ok , certainly great breakfast restaurant 23 pound ( be $ 40 today 's exchange rate ) . Starbucks street Marks & amp ; Spencer wonderful pastry buy less pound . also , Internet Access 18 pound per night - huge ripoff . nearly $ 500 / night hotel , breakfast internet access cost $ 75 . 
 excellent service 	 stay three night great period hotel service give staff excellent ! ! ! stay many london hotel past twenty year would problem recomende , breakfast one good london ! ! , bed heavenly want take home staff helpful I ve happy time 
 Nov 3 2007 	 Love Sheraton Park Lane 	 not get bad review site Park Lane . 2001 wonderful experience know would stay return . read review Trip Advisor afraid would disappointed . not . hotel great second time around . room huge clean . staff friendly helpful . location exceptional . ' ve post picture room . amazing . another great trip absolutely stay whenever return London . 
 Nov 3 2007 	 urgently need refit 	 book hotel last minute web site discount rate . know outside look good great location . strange entrance Piccadilly . travel bar get reception desk poor sign . I book pay double room give single . end long day could bothered arguing . the room ok size single poor condition except good bed . bathroom tired grubby . nor reccomende - would stay . 
 Oct 23 2007 	 Great Location Tired decor Indifferent staff 	 location : wonderful . walk kind attraction shopping . other mention Picadilly Decor : Omigosh ! everything wear sagging - except bed , great . room spacious , dark . carpet wear spotty . single , small , old school tv top minibar attempt locate centrally room serve sit sleep area . bad not put swivel base scuff wooden cabinet want move tv . book in - room massage . not show no - one ever call let know happen . call concierge explain time visit re - book , continually ask want reschedule . not think would stay unless 1 ) remodel 2 ) run great special many hotel London nearly always find decent deal . 
 Oct 19 2007 	 Disgusting . 	 one bad room ' ve London . disgust dirty carpet wall ( ! ) , primitive bathroom barely function toilet , unsecured window directly adjoin flat roof mean ventilation £ 180 / night breakfast include . ask direction , concierge 2 crony scratch head suck tooth & quot ; oh , not really know , mate . & quot ; also , offer map set search address . starwood preferred guest ? way way way par Starwood . 
 Oct 11 2007 	 poor property poor service 	 know London expensive , 250 pound rate central location London fine . be get amount due name , nothing else . even people London know shabby Park Lane Sheraton be . we ask crib , reserving , follow - up e - mail manager couple day advance ( response confirm crib would room ) . arrive 11 pm transatlantic journey crib . wait 45 min send , go front desk tell search hotel one . tell find one would 10min . long story short , 2 hour arrival crib show ( 1 am ) . get free breakfast ( thank goodness , 40 pound couple ) .what else : - Room never clean well ( dust , etc ) . use glass rarely replaced.- heating system not work room , need request portable heaters- internet access available first two days- overall , property okay lobby level , bit tired everywhere elseOn hand , staff pleasant / courteous . bed comfortable . lot place London much well value . 
 Sep 24 2007 	 Average Hotel - great bad 	 stay first two night two week european trip . get early able get room right away walk Hard Rock Cafe around corner get beer hour wait - big deal . the reception people fine - concierge helpful . overall give staff positive point . hotel pretty nice inside - cool lounge area sit drink tea , hang . location really picadilly park lane nice . short 5 - 10 minute walk picadilly circus information center , 2 min walk park lane tube station . not buy breakfast though choice american full english breakfast range 18 - 25pounds per person roughly 40 - 50 dollar - way hope spend . instead walk street Pret Manger next starbuck get sandwhiche drink 8 pound - far well wallet . the room lose little bit . room get somewhat roomy old looking . want clean look room not show wear - . basically room look old not really like . pro 's cable give lot channel view - whereas give 10 . recap- pro 's location , staff , lounge / bar area . Con 's overall condition room , food price . 
 Sep 22 2007 	 God Save .... Park Lane 	 wonderful location across Green park , thus name . bizarre entrance , . go revolving door employee ask need help . man not ask need help . perhaps try weed & quot ; work woman & quot ; . look part . make , reasonable shoe . seem russian woman & quot ; work & quot ; London . one traverse dark Palm Court get reception tuck side rather unceremoniously . near small back entrance lead alley . thing locate weird angle . decor ugly get except dark Palm court . dark , make needed lady . walk drab hall room . teal blue carpet hideous floral ? design fail tempt we . room ikea cheap furniture .... e bay & quot ; buy & quot ; quality . travel across pond expect semblance charm , elude we Park lane . shower absolute joke . tub extremely narrow shower curtain impossible navigate . plug use bathroom use adapter stuck try dry long hair pathetic weak wall unit . make room day record time nice job cleaning . concierge tolerate we Yanks . may say , quiet polite demand . underwhelme effort offer make reservation ask recommendation dining . like location much hotel one would recommend . rather stink lack effort accommodate , attractive appealing . would give 1 star rating suggest try little hard . 
 Sep 20 2007 	 okay get right room 	 third time stay Park Lane past year . generally agree negative comment regard decor ( outdate / boring ) time since last rehab ( easily 20 year - although bed new ) . however , get right room great experience . check late Saturday night tell upgrade suite overlook park ( # 192 ) . sound great get room realize mean heavy street traffic outside window room not air conditioning . next morning nice offering change room - even go far give we key four five room let we pick . new room ( # 322 ) big , air condition , quiet . staff nice , location convenient Mayfair , Green Park tube station , Hyde Park , Buckingham Palace , bit walk , Soho . not take advantage hotel dining opportunity afternoon tea seem popular . 
 Sep 19 2007 	 great location 	 read upto date review hotel slightly nervous visit hotel go hotel mother 60th birthday . however extremely surprised ! ! ! ! ! ! room allocate good size 3 we staying room ( also standard room ) .The decor condition room good standard . when check room 3rd bed make speak reception do immediately give free bottle wine trouble . hotel fantastic location could ask well location see sight London . all staff encounter pleasant , courteous happy help . in summary want stay nice unique hotel one good location London hotel perfect . however hotel probably typical Sheraton hotel London would much prefer stay hotel aware country stay rather hotel could hotel world 
 Sep 11 2007 	 room live public area 	 one night London stay Shertaon Park Lane StarPOints -- Studio Suite . wedding anniversary hotel send aus chill wine welcome gift -- nice touch . the public area hotel stunning -- especially Palm Court . suite -- end service hallway , underwhelming . room may bnewly - decorate dull , dull , dull , view alley back building help . small issue detract well -- beautiful marble bathroom well lay -- heat towel rod turn phone jack phone . like hotel stepping backwards term luxury . absolutely huge walk closet great surprise , King Bed highly comfortable -- good job . air condition central air work perfectly -- suite . imagine standard room would look like . the morning breakfast bracewell -- beautiful old room tha tlooks like light elegant restaurant formal meal . anyhow -- excellent breakfast , beautiful china warm service . Palm Court lovely place tea live harpist good service . watch additional phone charge -- call Canada Direct -- free 1 - 800 service -- result 9 pound charge room -- willingness remove cost . overall , hotel mediocre could much little love care . 
 Sep 6 2007 	 Pathetic 	 Sheraton ? Park Lane conjure image grandeur excellence . hotel fall far short . room must last refurbish 30 year ago . bathroom lock ' vacant ' ' occupy ' sign 50 's . believe SheratonThe room pathetically small . decor outdate . airconditione unit portable unit ducte window . safe room . general decor beyond bad nightmare ... WAY stay , even pay 
 Sep 5 2007 	 much enjoy Park Lane hotel . 	 wife , daughter , stay Park Lane Sheraton London 5 day July . read negative review TripAdvisor , concerned hotel might disappoint . fact , Park Lane Sheraton delightful . room large , clean , quiet , comfortable . hotel staff superb , attentive , helpful . room service good , restaurant , tea service lobby . other note , location perfect ; easy walk distance Picadilly Herrods . neighborhood behind hotel , Mayfair , wonderful restaurant shop well . though dollar historically weak , Park Lane good value fabulous address . we definitely revisit . 
 Aug 31 2007 	 5 Pounds 15 minute compose Word document ? 	 room could use little updating , though quite comfortable . the staff pleasant , breakfast nice . while plan trip web site mention business center , decide travel UK laptop . surprised see charge 5 pound ( $ 10.00 ) per 15 - minute use business center computer - even wish simply upload photo draft word document . tube many ad Virgin High Speed around 20 pound per month , may good margin service . I begrudge turn profit ... would suggest indication cost service web site . use service enough could possible repair leaky faucit guest room . overall , love location great visit . 
 Aug 14 2007 	 like Sheraton Park Lane 	 spend total 5 night ( four night first stay one night week later ) hotel really enjoy experience . room werre nice comfortable . large bathroom separate shower . enjoyable tasty lunch Citrus locate hotel 's lobby . hotel 's location great think staff friendly helpful . would stay hotel without hesitation . 
 Aug 7 2007 	 Shabby 3 star need work 	 come back stay Park Lane August 3 - 5 , 2007 . agree many review hoel great public space shabby bedoom need work . however , hotel convenient tube 24 service great business traveller . the front hotel face Green Park proper hotel entrance back . fine come taxi driver know , come Tube , end carry luggage across hall tea room / restaurant bar . porter help get back hotel official entrance locate . see many tourist obviously stumble overseas flight try figure go ! desk staff typical bored nature hotel staff porter concierge helpful pleasant . first give room first floor ask change high floor , change third floor easily enough . book Priceline not give preferred room starwood floor reviewer mention . room pretty shabby clean except carpet . paint peel marks wall carpet filthy contrast hall carpet new clean . bathroom shabby crack tile , paint peel , old . clean big enough huge tub . save grace bed brand new , clean , comfortable . bed great . obviously room large room divide two tiny one . european hotel room always small not really bother much furniture room size . desk table push perpendicular another console could not use -- computer plug light not work -- desk chair rub shoulder room 's easychair right next wall . consequently , could not get use room 's mirror console table use hairdryer . like english hotel , not bathroom outlet . closet huge think place dresser -- tiny Ikea cheap thing -- inside room . tv tiny poor reception not room enough watch . I fortunate one portable airconditioner evident room -- could see tube snake window , since cool , not need run fortunate since seem noisy old . hot outside , could see would problem . the location good . hotel street Green Park stop convenient two line also near & amp ; Simpley Food ( remarkably open late London -- least 8:30 pm ) , Boots chemist , starbuck convenient quick food necessity . hotel locate Picadilly -- bit walk certainly easy . female travel alone , find street bit quiet taste walk back alone 9 pm ( Park one side empty office surround hotel ) feel little sketchy . would stay ? would fine -- easy , shabby room seem outnumber one starwood prefer guest lot point seem matter luck get refurbish room . 
 Aug 5 2007 	 great location really need refurbishing 	 stay twice last 15 month , combine 10 day . experience mixedfirst good thing . great location - walk distance short train ride Hyde Park , Buckingham Palace , Piccadilly , Trafalgar Square touristy place . primary purpose trip business , nearby Green Park Underground station put City establishment 20 minute Canary Wharf area 30 minute . Heathrow abou 30 minute taxi . staff quite helpful , get feel small , boutique hotel . breakfast great , WiFi room . bad part . property really old . though lobby check area great , room need serious work . pretty much like see 2 star establishment . small , cramp bathroom tile fixture show sign age . old carpet . small 22 & quot ; tv . light 80' . after first trip , promise would come back , come back starwood property London book . refurbish place , would great place return . 
 Aug 1 2007 	 good experience Park Lane 	 husband return stay Park Lane . originally stay another hotel outside city , decided want close sight , etc . pick Park Lane location Starwood property . book standard room 219 GBP . room fine -- nice king bed , good size bath closet , clean well attend , . portable air conditioner see review . really suprise picture review -- sure would choose hotel see book . , think hotel great price location ( fantastic ! ) 
 Jul 9 2007 	 bad 5 star ever 	 stay hotel 2 night , last minute decision . since hotel room quite expensive ( Wimbledon+Tour de France town ) decide stay & quot ; nice hotel & quot ; like happen ~150 night year work purpose book five star one . man , disappointment . reception back hotel basically go tea area luggage ( feel great ! ) course everything cause staff see . stay Starwoord Preferred Guests floor ( woohoo joy ) : bed small could indeed huge air conditioning room make terrible noise ( : shut well ... not bother cause outside huge airco system make even noise ) . bathroom old ugly morning want adjust shower head whole bar stuff come wall ) . never experience bad 5 star hotel wonder long nowhere around hotel see official accreditation . letter complaint way Sheraton . my advice : want stay luxury BOOK another HOTEL , really ( even cost bit ) else SAVE money go hostel , Park Lane offer hostel service anyway 
 Jul 2 2007 	 Loved Park Lane 	 quite recently stay Parklane Hotel 1 week . experience excellent . hotel staff could not enough . location perfect , walk distance main attraction . several meal hotel , include high tea . food service fabulous . would highly recommend hotel anyone travel London . Debbie Ontario , Canada 
 Jun 29 2007 	 Reviews wrong Park Lane Lovely . 	 read review scared expect hotel . well think wonderful . stay preferred level due starpoint . beautiful suite , great view Big Ben London Eye . staff lovely . afternoon tea breakfast hotel great . conceirage helpful . hotel old charm . like say begin shock harsh review hotel . typically stay good hotel hotel lovely . complain . 
 Jun 25 2007 	 great time Park Lane Sheraton Hotel 	 get hotel Priceline.com worry read terrible review . stay May 27 - 30 2007.surprisingly enough ... great time . room great London new service always polite helpful . bathroom clean room . really can not think one bad thing say place . it also close Green Park tube station convenient . we pay AMEX maybe be get really good room , ' m sure ( american express dort affiliation Sheraton Hotels ) .All good experience . 
 Jun 20 2007 	 awful experience 	 upon arrival , place smoke - fill non - smoking room . room clean , hotel aware place room anyway . guess hoping would need inhale there . I request move land room creature . yes , portable air conditioner huge tube tail place window operation . first night , awoke sweat , find creature 's tail dismembered , leave creature puddle 's excretion . next , attempt approach shower hole , bathtub extend behind lavoratory wall . the floor wall sadly dirty stain . to top , leave hotel one day early , tell pay full extra night 's fee leave early . imagine that . Sheraton strip name sad little nightmare Picadilly Lane . please see photo creature . 
 Jun 14 2007 	 bad Hotel Room ever stay ! 	 book London Five Star Hotel last Minute.com soecial price £ 100 per night allocate Park Lane Sheraton Hotel Piccadilly . enter Hotel impressed Art Deco public room Foyer . however enter room promptly crash back well back street doss house accommodation . carpet stain , crack miss tile bathroom , drawer handle wall see paint since probably Art Deco period . window look onto internal enclose void accompany din air con unit etc . good side bed sheet look clean dare look mattress case match room decor put we sleep it . on complain receptionist , speak little English , meet sympathy remind special deal ! later complain LastMinute.com initially refuse responsibility pass complaint Hotel . remind tlastminute pay £ 100 therefore entitle satisfaction . make feeble excuse Hotel reply back complaint credit £ 50 credit card . 
 Jun 8 2007 	 Great Hotel Point reward stay 	 first foremost , please note stay property Starwood Reward point , therefore , price shop London hotel prior stay . thus , please not view evaluation comment relative value compare luxury property London . the hotel locate beautiful area across Hyde Park walk distance Piccadilly Circus West End Theatre District . also convenient Tube access ( , roll luggage , take tube Heathrow hotel ) . area also host nice breakfast spot ( convert usd , plan spend $ 40 decent breakfast 2 ! ) .The front desk staff quite nice par hotel quality level . upon request , upgrade junior suite hassle . the lobby objectively beautiful . appear business hotel , property maintain romantic feel . large quite fancy bar / sit area directly past front entrance hotel . drink price steep . the room provide great . bathroom enormous lovely , steam - drive towel warm strong shower . the sleep chamber , likewise , quite large comfortable : nice furnishing large bed . window close , room , face street , quiet peaceful . suite contain study adequate serve second bedroom short stay , cot pull - out sofa - bed . if book reward stay , hotel winner . 
 Jun 2 2007 	 great location ... 	 stay Park Lane Hotel 31 May 1 June 2007 . little odd arrive rear hotel attractive art deco feature . highlight Palm Court , worth visit although food / drink expensive . inform reception allocate lovely room first floor . yes , king size bed lovely big room . room odd shape - tv locate unit side bed interior wardrobe look like cheap 1980 wallcovering used - probably decorate since 1980 . small detail matter . trouser press . the carpet stain . dresser label one drawer say & quot ; hairdryer & quot ; . air conditioning instruction phone instruction get heat , old fashioned convector heater bring room - extraordinary . tv old . bathroom spacious well equip little old fashioned , public area around first floor level distinctly tired . lighting room eccentric . the cooked breakfast steep £ 21 - service excellent - , , decoration tired . the location hotel excellent - redeeeme feature , hotel need complete overhaul . 
 may 30 2007 	 nice staff poor food dirty room 	 SPG member get stay quite sheraton around world . one poorly maintain Starwood property ' ve come across past 11 year . get standard Sheraton benefit , clean bed helpful staff , room hotel poor condition , lack cleaning , dire need revamp . appear room not repair quite number year . dirty spotty worn carpet , layer layer chip paint corner , crack floor molding , stale smell rickety sound A / c heating system . quite surprised observe mouse dropping hallway , also flee rodent help room service leftover set outside room door collection . ... wait ... bed bug , first ever ! finish 6 - night stay . half stay place & quot ; please change linnen & quot ; card bed linen replace , end call housekeeping day later , card somehow overlook . the cleaning ok , great . Bathroom clean well . dirty glass not replace . dust crumb minibar Twix remain desk day . blank breakfast order form not provide first night . big deal set aside extra 5 minute morning 5 min could slept . fair , breakfast deliver within 15 min calling order . food average , quite pricey . when enumerate issue service checkout , get fairly blank stare & quot ; apology & quot ; clerk . will not stay hotel , price find much well place central London . 
 May 28 2007 	 would happily eat - sleep somewhere else . 	 arrive concierge staff helpful . however gettingto reception 8 people queue one person book guest . head bar wait book 11 room ! lounge really live art deco 1920 's design give real feel luxury .. staff friendly efficient expensive . then big let . room second floor leavingthe lift smell describe stale urine . room small need refurbishment . carpet wasclearly show age dark colour around edge . bathroom stark need refurbishment , could bring use bath . request upgrade prepared pay . however hotel full choice . the room also hot large air conditioning unit room without instruction use . room small usingthe aircon small area practical noisy . I feel let disapointed friend convince stay hotel also . opinion star rating room high 3 4 starbreakfast service restaurant excellent costsin region £ 25 cook breakfast would expect . however favour freshly cook excellent standard . boil egg cook minute request perfect . on try check , queue 16 people include party , one member staff carry checkout . WhenI approach another member staff area ask assist rude unhelpful . also one member staff insist book separtly whilst collegue eventually come assist allow we put multiple room one bill make fast efficient . feel uncomfortable keeping guest wait whilst check out . but leave door staff wonderful . 
 May 28 2007 	 Brother 's wedding 	 attend brother 's wedding Park Lane Hotel . afford we opportunity sample lot hotel offer . despite live London , decide stay hotel rest wedding party . standard double room rate £ 187 . impossible we secure sort discount despite book 12 room hire ballroom evening . the hotel entrance Piccadilly main access rear - car park . point bring car hotel . tube station minute away return cab fare within central London cost 4 hour carpark charge . the hotel seem cramp . lack spacious opulence one would expect 5 * hotel one London 's premium thoroughfare . entrance full Art Deco feature marble , could impressive , light design show . could say bar area , leave feel cavern , dark stone , high ceiling subdue lighting . corridor also dark could forgive think 3 * hotel Eastern Europe . remember stay Art Deco hotel Manhattan feel , cost half price . run theme , however , work extremely well ballroom . two floor underground balcony circle three side . lovely area , well proprotione fitting special event . odd part actually hear Piccadilly Line train run beneath you . the suite brother hire beautiful . not know much cost , full overstuffed opulence one deserve wedding night . the & quot ; classic & quot ; room totally different experience . Sheraton promote new sweetsleeper bed . 6 ' wide leave rest room cramp . walk around bed . bed fantastic sleeping . bathroom full white mable , also tired feel . usual spread international tv channel + pay movie + expensive wifi access provide . the Breakfast room small restaurant side bar . feel old english guest house - quite twee design modern european marked . Breakfast include command £ 21 fee buffet & quot ; full English & quot ; . full English not include black pudding bean other table leave half full . I would not choose hotel stay go function . read numerous review adjacent hotel much high rating Tripadvisor . would stay ? . sometimes want treat hotel room attend special function happily occasion would suggest other look elswhere Mayfair 5 * hotel . 
 may 26 2007 	 get preferred floor ! 	 plan trip London meet friend come Switzerland . book room use husband 's Sheraton point . able make , use room . problem check , happy find preferred floor ( read terrible review . ) fact , going stay third night would pay nearly $ 400 us dollar . decide , stay near airport last night great hotel $ 75 via hotwire great option . anyway -- hotel treat free . room old English , clean spacious , great bed linen nice bathroom . terry cloth robe heavy luxurious . concierge helpful day go sight seeing ( 36 year old female ) .I could ask well location -- beautifully situatie park near palace . so - not mind $ 300 - 400 night , get preferred floor . go . not food wanting spend much . great option Pret Manger street like organic cafe get & quot ; go & quot ; & quot ; take away & quot ; piece fruit , water , sandwhich cheap . 
 may 19 2007 	 Pleased Park Lane 	 read negative review , really apprehensive hotel , receive Priceline bid . stay four night April , arrive late Saturday evening . put room 514 Sheraton preferred Guest floor . not know make difference complaint room . large , bed comfortable , linen fresh crisp , huge walk closet shelf . bathroom nice , modern mean shabby . window ledge window could open . shower powerful see evidence dirty , crack tile unsavory thing say hotel . location absolutely fabulous room quiet . face Picadilly park , fine mean traffic noise ( view either ok ) . staff friendly . stain carpeting , negative think . book hotel , join Sheraton preferred club ask room one preferred floor . actually think room smoking room notice smoky smell room corridor . 
 May 12 2007 	 unsafe : money steal room 	 hotel good location however need lot brushing . serious security breach . safe box provide room double lock many room break . somebody steal cash room go 10 minute . hotel take responsibility although confirm theft hotel . apart room small shabby condition . room service incredibly expensive . something simple tea 7 pound . dont stay hotel even last one earth . 
 May 8 2007 	 Quintessentially English 	 book hotel long weekend away wife three daughter use Star Alliance point . read review , gear ready demand room change , hotel change etc ..... actually not bad not mind old quirky hotel look something character . ok 's little dated round back entrance hardly inspire ( old hotel Park Lane entrance move front back ) . reception pure art deco marble wood , service great . arrive noon expect store luggage 3 pm check time , however apologise room ready give we complimentary coffee voucher fabulous Palm room whilst wait necessary 20 min . room 7th floor good bad point . good - huge spacious room , original ' edwardian ? ' tile unit bathroom ( monster bath ) , vast comfortable ' sweet sleeper ' bed , well stock mini bar , desk . bad - like bathroom antiseptic shiny would hate . shower obvious late addition hang bath one curtain stick . Basin little cramp . tile little crack . natural light viewless window , furniture little date . the location fantastic mere 200 metre across green Palace , palm room awesome like olde world tea afternoon can not many well place . live harpist early eveningbreakfast Restaurant ( £ 21 ) Palm Room ( £ 12.00 ) tad pricey side breakfast Henrys Bar , 100 metre road around £ 7.00 - great value full english . overall , 's bland hotel , want stay modern Hiltonesque room not stay , not mind quirk genuine antiquity not bad place stay Central London 
 May 3 2007 	 5 Stars location 3 1/2 star hotel room 	 hotel great location . be 7 minute Buckingham Palace ( Green Park , right across street ) . 's 10 - 15 minute -- pleasant walk , Covent Garden and/or Picadilly Square and/or Trafalgar Square . like say , location fantastic ! ! hotel room Sheraton level . not hot water pot coffee tea . king bed actually 2 bed place together . the Brits great bunch people helpful . exchange rate absolutely terrible we USA folk . 's useful info . currency -- currency arrive London . train takescredit card . get town , go bank get change favorable ratetransportation -- Heathrow airport zone 6 sightseeing stuff zone 1 - 2 . airport , buy one day Zone 1 - 6 pass . 's 6,50 euro use day get Park Lane hotel . kid free upto 11 year old . take Picadilly line Green Park station . exit Picadilly North exit . make right go 100 yard . hotel right side . sightseeing -- instead buy bus tour , buy one day travel card zone 1 - 2 ride city bus Tube around sightsee . stay # 11 , # 12 # 15 take famous site . Hop , hop . zone 1 - 2 pass cost 4.75 euro . child free . 
 Apr 12 2007 	 5 star Hotel 	 5 star Hotel 5 star service . breakfast average , cook price £ 21 . corridor room smell sewage , talking manager , know anything ! room £ 199 per night 3 star quality old fitting none match furniture . position near Ritz garage parking value could see hotel . 
 Mar 26 2007 	 not let fraudster credit card number ! 	 stay hotel year ago vow never come back . hotel great location public area actually certain amount nostalgic charm , bedroom dire need renovation even clean , bathroom simply terrible . five star hotel ; even four . how surprised recently get whopping charge American Express bill , year stay . prepay stay Orbitz . turn think not get pay Orbitz ( something Orbitz deny ) find credit card number file , simply help payment . refuse talk Orbitz anything -- problem . steer wide berth ! insist stay , pay cash ! 
 Mar 5 2007 	 much satisfied 	 stay hotel last week February three night . room date bathroom okay . seem problem water system since though change first room switch another one difficulty balance hot water cold water . room AC , room overlook odd dam anothre building . good thing hotel location . FYI , wall thin easily waken slam door room . 
 Mar 3 2007 	 good location . 	 locate 3 min walk underground , overlook Green Park rather well area , expectation high . entry lounge downstair area disappoint , however , 6th floor two roomed suite , although spacious , look tired need make - over . sofa bed break noise level low good night sleep . gym disappointment rather small equipment lacking . starwood Platinum Guest complimentary bowl fruit turn well mature large bunch grape . try restaurant various alternative within walking distance . expectation guess well room . 
 Feb 20 2007 	 bad Sheraton ' ve stay 	 hotel serious need refurbishment bedroom . yes know 's old building yes 's great location not mitigate fact room well past good . date decor bedroom bathroom ( 1970 's good beathroom ) room look grubby crack tile bathroom , stain carpet etc . overheated room way change temperature able open window mean uncomfortable night . good front desk staff , overall would stay . stay previous week Holiday Inn Kensington much well condition much well value . 
 Feb 18 2007 	 Fabulous Wedding Venue Ballroom Bedrooms date 	 get marry last May ballroom simply stunning . search many hotel venue beat grosvenor , Mayfair Carlton - fact good London . food service top class really wow factor . night stay deluxe room nice little date . also noisy ( think near generator ) . bridal suite follow night beautifuly traditional big oak door , massive bathroom , four poster bed , large lounge area beautiful view park . cost however room date overprice . staff pleasant language barrier problem , english first language . top location , prestigious super wedding venue perhaps standard expect booking room stay visit . onsite restaurant informal pleasant pricey 
 Feb 12 2007 	 one bad Central London Properties 	 bad stay ever London . make least one trip year great city usually stay within West End London . recent SPG member think stay consider great location . , right word go quite bad . day arrive long delay flight , weather London extremely stormy . taxi Paddington drop main road , i.e. , Piccadilly . find doorman welcome . proper reception within hotel front entrance . instead utter dismay find casual dining area people drink eat , stare struggle suitcase , laptop hand bag . sometime hotel staff come forward guide reception back ground floor . discover main entrance small lane main road arrow sign show right way . book executive room high expectation . , allot room without view stuffy . ask change refuse . afterwards speak Duty Manager insist change room find absolutely suffocate . hence , would possible spend two full day night . anyway , much insistence oblige allocate well room good view . however , find hotel staff every area quite stiff unfriendly . hotel Sheraton class standard appear highly neglect . front entrance area lead dining hall stink . aircon controls room work , hence , keep window open throughout night . even towel bathroom desire freshness . nightmarish experience , never Sheraton Park Lane . 
 Feb 9 2007 	 Great Location could use spruce 	 hotel great location , not seem quality Sheraton property ' ve . feel little run , hallway dark dreary . overall , get good price hotel bad , ownership could stand spruce bit . room & amp ; bathroom pretty standard . nice look lounge & amp ; restaurant lobby , not eat . close subway ... really great location . 
 Jan 15 2007 	 well 	 stay January 2007 3 day , top - secret hotel lastminute.co.uk & quot ; picadilly hotel overlook green park 5 * & quot ; , pay 109gbp per night inclusive VATThe location great , minute walk Green Park close tube station . warning letter radiation find Litvinenko case bit disconcert check - in , kind thing would stay mind good stay elsewhere . room fairly small , king - size bed two twin push together fairly uncomfortable . staff insist type king available hotel , sure true . Bathroom cramp , shower bit hard handle jet stay still . Room look date , need renovation . view drab gray building right across way . generally hotel nice , Citrus restaurant lobby good , jazz band evening elegant palm court . elevator break one evening leave bit hike 6th floor . cleaning staff noisy slam door throughout morning weekday , make quite difficult sleep . date door building think leave soundproof lacking . overall would probably stay although area certainly nice , bit polluted - feeling preferred stay close gloucester road area . 
 Jan 1 2007 	 favorite hotel 	 stay one night suite . hard reach front desk phone ; 2 hour could not get . concierge well other . service fairly good . food beverage taste ok wife get stomach sick right eat breakfast may food . room size decent bathroom large old English tub quite dangerous get room poor air conditioning heating sleep night without clothe could not open window could not control room temperature . engineering might solve problem midnight baby sleeping live . hotel need major HVAC overhaul modernizing bathroom . 
 Dec 18 2006 	 nice location 	 end enjoy stay Park Lane . location great . wife enjoy tea , family really enjoy english breakfast . able experience two - face Park Lane . check tell connect room hotel . give two small room without doubt bad hotel room ever stay . bathroom antiquate unkept ridiculous . tell night manager need change room , help . next day tell day manager would depart early 4 night stay would search new hotel . ask could pay additional 40gbp per night per room , could get we two suite . agree , go stay like homeless shelter two nice hotel suite . amazing . fitness center good -- look like get equipment torture chamber Spanish Inquisition . 
 Dec 2 2006 	 overall o.k . well avoid 	 Park Lane Sheraton good day 1930 appear refurbish since . could say charming , could also say 's rip - off . hotel category price range least clean carpet wallpaper contemporary sanitary faciltiie . Park Lane Sheraton , least room stay . will not try . 
 Nov 27 2006 	 bad ... 	 reading post , contact hotel directly voice concern reservation . hotel return email assure hotel absolutely standard . starwood member frequent visitor Starwood property , trade point trip - not want waste ! overall , bad experience . hotel old , bad shape . complaint would noise hotel staff . room Starwood level next service area . abruptly awaken 7 morning noisey staff . besides however , find room clean large , european standard . twin bed bit challenge , make do . I admit , price , 's bit stretch . can not beat central location generally hotel offer pleasant experience . 
 Nov 27 2006 	 luxurious adequate 	 stay hotel week towards end November . upon arrive 8:30 a.m. overnight flight fear long wait check , tell pleasant surprise room would ready 20 minute . room nice , somewhat large , oddly , dresser . large bathroom nice plenty towel . anyway , overlook Green Park three block either Green Park Hyde Park Corner underground / subway station . view great , face east rise sun would quickly brighten room force we awake . staff hotel generally friendly , concierge assure we could arrive 30 minute early change guard still get good view . wrong . get 45 minute hour early . 
 Nov 5 2006 	 favorite London hotel 	 stay Park Lane numerous time past 6 year . always clean comfortable room bed . love come back theatre sit beautiful elegant Palm Court tea snack excellent service . set like London . breakfast buffet great too . great service receive staff routinely . excellent location well . not hesitate stay . 
 Oct 29 2006 	 Great Stay 	 SPG Gold member , get large room 8th floor . immaculate roomy . bug , stain , smell . the concierge helpful , staff courteous attentive . wonderful location . short walk Green Park tube station . easy walk Green Park Buckingham Palace . I sure not see & quot ; hotel & quot ; people describe . 
 Oct 24 2006 	 new carpet little paint would help tremendously . 	 read prior review , apprehensive staying hotel . decide contact Sheraton directly arrival receive email assistant manager Park Lane . assure we nothing worry . check wonderful room huge marble bath confortable king size bed . staff gracious helpful . enjoy continental breakfast morning . , can not beat location . absolutely fabulous . . bottom line . hotel well worn need fresh paint carpet . desperately . bath towel complimentary robe almost ratty . european hotel , quiet room face street guest hear traffic outside . view less desirable backside hotel , quiet never disturb . overall , enjoy stay would choose hotel . fairly confident management aware comment circulate hotel , hopefully , continue bring hotel 5 star standard . 
