much 	 travel train QC daughter , 7 5 . walk across street station . check - in easy . room 2139 . average . 's room here . great location . pool great . go swim , inside entry swim deck enter great White North . [ cold . ] Pony - tail lifeguard zero personality , efficient . girl love swim . freeze . concierge staff remarkable . 45 minute face - off , Roberto get ticket ( $ 220 ) 7 row ice scalper . pay pick ticket nearby gas station . thanksgiving ? american ? concierge book we Globe . incredible . the restaurant . breakfast one day . expensive . friendly . good . Waiter make recommendation girl day . problem ? return one day -- door ajar . Maid shut . nothing take . reasonably secure . bar good drink . arrive . wife sort send cocktail . much well . a great location . non - Hilton . personable . Unique . I use point pay spend , good . good . well expect Hilton . kid winter , pool gem . class French - speak child watch one afternoon swam . want jump steamy outdoor pool . and ' m runner . Old Montreal short run . long walk . 
 Sep 26 2006 	 Quiet room 	 hotel situate excellent , safe location downtown Montreal . near train station within walk distance tourist attraction . metro conveniently locate basement . our room quiet , clean , comfortable ; however , one & quot ; non - smoking & quot ; room smell like ash tray ( apparently frequent occurrence Hilton Montreal Bonaventure accord previous review ) .The carpeting wear ( cigarette hole ) . afraid lay clothing bed comforter appear old ( decade ? ) dingy . furnishing date . bed comfortable get great night sleep . the good thing hotel quiet . the sheet fresh not reek bleach . bathroom clean typical ( low ) hotel water pressure . free in - room coffee excellent . awesome view window open fresh air ! individual climate control work great not noisy . it difficult locate hotel due minimal signage . lobby hard - to - find take elevator top floor check - in ; however , signage indicate fact . also difficult navigate way back hotel metro due lack signage . staff friendly part , bit pretentious . we recommend eating & quot ; Keg & quot ; Old Montreal . corner & quot ; window seat & quot ; overlook historic St. Paul Street romantic . food amazing . also recommend & quot ; Plein Jus & quot ; juice available IGA store Complex des Jardins . Avoid & quot ; light show & quot ; Notre Dame 's total tourist trap . mostly cheesy & quot ; film & quot ; really & quot ; light & quot ; show . would rate 3 - star hotel well . 
 Sep 21 2006 	 good right price 	 stay 2 room property Labor day weekend . find early review fairly accurate . nice , clean hotel good location efficient staff . concierge helpful though really busy weekend ( one concierge desk throughout 3 day stay ) . reception staff corteous helpful . pool small satisfactory . 
 Aug 15 2006 	 great conference hotel 	 husband return conference Montreal . first visit city love . bonaventure great location , close Metro station close enough walk conference site ( Old Montreal ) . charming layout hotel - room 2 - 3 floor , elevator ride arrive lobby . hotel small quieter hotel suggest conference organizer . room large clean . service front desk staff terrific , especially Chantal , concierge duty week . 
 Jul 23 2006 	 good hotel price right 	 husband ( age 30 ) stay 3 night good price priceline 60 % advertised price . would rate 3.5 5 . room comfortable , large , clean , outdated . would return hotel one reason- pool ! ! exceptionally nice ... small child go 4 - 6 ft quickly . staff helpful . 
 Jul 11 2006 	 great . 	 experience not devistate , not good hotel mean expect Hilton name . Delta next door look like superior hotel . although Hilton top high building , hotel 2 floor mean limited number room busy time . non - smoking room reserve . mention desk , check , walk room find smoking room . call front desk inquire descrepancy tell hotel full night non - smoking room available . read review , seem happen number people . suppose rather common occurence . the hotel date retain original look decade go expose concrete wall hallway , though update include hallway ashtrays fill concrete . door room look original complete faux wood veneer . all say , staff friendly . doorman front graciously allow leave car couple hour . bed comfortable bathroom great marble tile througout . 
 Jul 9 2006 	 nice quiet hotel great pool 	 husband , daughter stay Bonaventure 2 night week . self park car ( $ 17 day ) trouble find reception desk . friendly helpful . W e 1/2 hour early wait prepared room . request non - smoking room 2 bed city view possible . get non - smoking room king bed ( fine ) overlook garden . seem quite full . room decent size , nice garden view , bathroom large well appoint , bed comfortable , room clean . decor seem nice hotel room . see strip 2 room bare update paint , carpet , fixture , vanity etc . room quiet even though low floor room hear nothing around we . bellman , front desk staff , concierge etc . , professional ready help we occasion map , direction , recommendation place eat etc . not eat restaurant since fairly pricey . love pool . heat swam night almost hour . provide free pool towel locker . thing could improve fuzzy t.v . pictures mini bar fridge not seem get cold ( could not find temperature guage adjust ) . hotel 10 minute walk Old Montreal . pleased overall would stay . 
 May 22 2006 	 Exceptional Honeymoon Stay 	 wife spend 4 day Bonaventure exceptional . year since Montreal disappoint . moment arrive , greeete professional dapper Doorperson , Front Desk staff extremely friendly equally conversant french English ( ' m bilingual wife ) Bell Concierge service quick knowlegeable . 's service Bonaventure certainly high standard . suite , must try one next visit , simply breathtake . marble foyer , two bathroom ( wife happy ) , premium bed still talk comfortable pillow , dining room comfortably seat 6 favourite -- wide - screen tv livingroom . decor rich classic feel like royalty - way feel honeymoon . food restaurant scrumptious must eat least . pleasure access Club Bonaventure morning continental breakfast selection fresh baked good , fresh fruit , cereal , juice , etc . delicious staff member serve we ( believe name Guy ) outstanding . definitely back service - orient , classy hotel near future . 
 May 13 2006 	 Sterling Star oh stair ! 	 not know fuss . clean , QUIET , well locate hotel good food available choose hotel food . doorman , Sterling , delightful helpful direction advice type . stair could problem anyone disabilty . room linen product average . staff attentive . priority cleanliness , quiet , well maintain room hotel fulfil three . 
 Apr 16 2006 	 much pay 	 , place simply much pay . get priceline hotwire deal $ 70 - 90 , would say go . 's tough find hotel half decent quality Montreal price . , pay anything , much nice hotel Montreal . simply put . hotel good location ( walk everything ) , room clean minimal , pool nice , think staff friendly enough . however , stay one Hilton , difference like compare Econo Lodge Four Seasons . bonaventure not even league seem like two different hotel chain . enjoy . 
 Mar 2 2006 	 despite 's negative review always satisfied Bonaventure 	 must rise defense Hotel Bonaventure . let preface comment say regular visitor wonderful city childless year often stay Ritz Carlton Sherbrooke suppose encapsulate essence Montreal . onset child call change venue ( pearl swine ) time live Hilton idyllic rooftop swimming pool become Montreal hotel choice . yes , people ( other , ) swimming weekend . change clothe small area pool swim short passageway outdoors . assure , water temp 100 degree , quite comfy . first hand knowledge source reliable . the first selling point Hilton , ease access . drive Montreal U.S. expressway St. Lawrence River ( Autoroute 10 ) drop we almost door step Bonaventure ... valet parking always hand . self park also available underground garage . perhaps 's vicissitude advance year ' m happy rid car will gladly fork dough valet parking head room . when child could make way pool club room , fact hotel reception , well entire facility , locate seven story air top office complex ... security point view ... reassuring . also , get outside room , view city night terrific . prospect garden view room look ornamental pool surround shrubbery occupy mallard duck bob food also quite pleasant sort zen - like way . now , children college swimming pool long relevant , continue patronize Hilton . , two kid college probably could not afford return RitzThis hotel perfect visit Montreal , like we , willing forgo taxi travel Metro . lose valet parking , make occasionally take taxi . Metro underground Montreal readily accessible inside hotel / office building complex without necessity brave Montreal 's winter weather ... -20 degree wind chill weekend . Metro access Ritz ... may intentional ! 10th 11th stay hotel past 3 year gold Hilton Honors card get access club lounge small modest , scale offering , compare Hiltons . , would reason stay hotel . occasional upgrade executive floor room , high floor ( two level hotel ) remove activity surround lobby , pool , dine reception area . personal experience difference , excessive , executive room standard room . distinction lie essentially room situate . having read review complain 60 's decor , weekend walk lobby , ask wife think lobby furnishing seem & quot ; date & quot ; . answer affirmative . opinion : & quot ; prosaic & quot ; perhaps & quot ; date & quot ; . honestly , really not spend much time sit lobby hotel ... except Manoir Richelieu eastern Quebec .. could spend hour book coffee look St. Lawrence River . Montreal either sleep town ... long lobby visit ... much see do . the bed comfortable wife remark linen recently improve ... polyester . pillow still pretty hard though maybe be european thing . room comfortably furnish deep , soft , arm chair foot stool , write desk - contrary review - must say , experience , always clean . bathroom spotless ... although may always case . believe number room refurbish ... perhaps problem complain rectified . regard food food service : eat hotel food Montreal ? Cruise St. Denis Street Sherbrooke Mount Royal , find meal equal top & quot ; foodie & quot ; destination planet . be stuff gill , waddle near Metro station train punctually conveniently drop door step hotel . one minor difficulty . apparently , construction take place upper floor office building hotel , distance , could occasionally hear sound like like high speed hand drill . one night , however , seem like jackhammer beaver away right underneath room . one call front desk & quot ; sicce & quot ; security people construction worker . peace serenity follow shortly thereafter . so , back begin : top three reason stay Hilton Bonaventure : Location , Location , Location . , note Fairmont Queen Elizabeth right across street share Metro stop . unquestionably , QE high grade hotel , , significant price differential . Hilton chic , romantic - host numerous convention , party wedding - cozy . good hotel good price good location great city . like return . N.B . throw bouquet gratuitously , ie . read review last summer.of stay Toronto Hilton . 
 Jan 15 2006 	 bad Hotel ever ! ! ! ! 	 agree majority concern hotel .... horrendous ! originally check 3 day check first night . right start staff horrible , rude , not experience standard . think stay Econo Lodge would ' ve find well service quality ! ' ve stay hotel across every major continent almost 95 % either 4/5 star , hotel close four star . carpet stain several place , sheet hole , decor tire / overuse / dingy good tv not work . since come back meeting late night , not discover problem till late . call tell one available till morning . decor hotel wear hotel breadspread something figure use least 5 year . complain staff politely next morning find not care rectify situation . do not recommend hotel anyone definitely waste money questionable establishment . 
 Dec 26 2005 	 great bad 	 stay overnight night away kid visit in - law . room king size bed -- room pretty plain bare . frill ! clean . two separate occasion two different housekeeper let room present . good ! view room assume gardens snow room ground level , half view garden ( meaning , view ) . front desk staff helpful direction recommendation shop dining . common area nice clean -- nice room . definitely four star hotel , Priceline , get decent price nonetheless . 
 Nov 16 2005 	 good enough 	 nothing special hotel first appearance service make difference . staff friendly anxious please . do beware , however , use Executive Lounge . drink run C $ 6.50 plus tax expect tip top ( self - serve , honor bar -- attendant bring canape count cocktail ) . 
 Nov 8 2005 	 Great Convenient Hotel 	 Excellent hotel , great friendly staff . next train station within wake distance attraction Montreal employ Hilton . room clean date . pool , though outdoors October nice entrance indoor . 
 Oct 12 2005 	 feel like poorly decorate bomb shelter ... 	 would recommend stay hotel need heat pool rooftop garden , almost total isolation ( seem ) city . room / hallway dark dank , 60 's , clean , really drab . would not pay $ 50 stay even , would try get . try charge twice expensive internet access ( Holiday Inn move next time free wireless ! ) . find nothing appeal place . bad , hike empty , strange convention center corridor get little vestibule get elevator go lobby ( enter Metro side ) . drive hotel , bit well side ... still goofy . GOOFY , that s good word describe place . avoid . PS , enjoy neutrogena soaps Crabtree Evlyn stuff ..... real reason return . someone explain put many little step hotel ? make pull suitcase seem like hike . well stop ... place be not right . 
 Sep 26 2005 	 hotel unmitigated disaster 	 anyone write good review hotel must employ Hilton . bad hotel experience ever . enter & quot ; non - smoking & quot ; room full smoke . reception admit & quot ; technically smoking room , believe adequate us & quot ; . summarize : rude staff , bad food , date room terrible surrounding . 
 Sep 16 2005 	 good value priceline 	 ok place stay , pretty lobby , excellent value priceline , view speak , pool different .. outside heated open year , hot tub , nice bar , valet parking service excellent . 
 Sep 13 2005 	 need rub start 	 place date pull rebuilt . 60's/70 's style . concrete structure lay bare see inside hotel give distinctly strange feeling . could deal fact first 20 odd floor office space . stay October 2004 priceline - price good think hotel merit 4 star ! staff right rude - first hotel year travel refuse ( aggresive french speak waitress ) glass milk take room retire evening couple drink bar . nothing fact french poor - rude . room grubby tired distressing , female traveller , door safety chain could eaily undo outside . mean room change initial disbelief problem attitude well 's problem anyway ! value safety , even slip chain ! food poor main restaurant wait staff could not bother . n unenjoyable stay . 
 Aug 20 2005 	 Outstanding 	 albeit little difficult find , location perfect ! situate away noisy street 3 minute walk bustle Ste Catherine acceptable . hotel amenity service outstanding . staff attitude gracious accommodating . require little extra attention vehicle - meet complete satisfaction wihout extra charge . room service - post 23.30 closing - issue attentive staff . hotel feel like ground floor locale peer window . pool sun - deck offer plenty play area teenager . layout hotel give intimate feel wide hallway , step level , present elegant atmosphere . read negative review consider hotel stay , certainly glad change reservation . 
 Aug 13 2005 	 terrible hotel ! 	 usually stay Hilton hotel really Hilton ? ? positively bad hotel experience since stay one - star hotel Athens 1977 . staff Hilton Bonaventure welcoming put gently , room refurbish 30 year filthy breakfast absolutely nothing write home . situated top completely dead , empty sometimes bit scary underground shopping mall . avoid hotel . 
 Jul 9 2005 	 abolutely fabulous 	 amazing hotel ever stay in.it absolutely gorgeous wake look outside see nothing beautiful green landscape ' forest ' , complete duck fish.the breakfast buffet sufficient keep we satisfied hour , waiter happy oblige every request.great location - right underground shopping ' city ' , within walk distance anywhere , include old port , chinatown , even St. Catherine Street . next time Montreal would even consider stay anywhere else .. [ sorry leave ] 
 Jul 4 2005 	 4 star hotel 	 husband book Hilton Hotwire birthday . June 30 July 2 . check around 3:30 drive around Place Bon Aventure try locate entrance hotel . pull parking lot find right place . when arrive reception counter gentleman take forever check we . even get help . 15 minute check room prepay , end get non - smoking room . after get correct room start adventure . long day walk , come back hotel loud clanking noise ever hear . think air conditioning . turn noise still . call front desk tell security would come check . half hour wait get head ache , husband go reception answer . tell solution switch room . bell boy send take we new room . bell boy nice temporarily fix noise problem current room , want take chance could wake we 2 . get new room , surprise , surprise , place non - smoking room . hassle care anymore . smoke . apologize non - smoker offend end get non - smoking room smell smoky , enough crap dish we . hotel room pool nice , location great , wish service lot attentive , efficient organize 4 star hotel . fact long holiday really apply . far enough away touristy place pricey enough hotel not even busy . 
 Jun 8 2005 	 great place stay ! ! ! 	 stay past Memorial Day weekend PLACE AMAZING ! ! ! ! ! ! ! ! ! ! ! ! hotel eastern ( feng shui ) look feel . invite immaculately clean . staff EXTREMELY accommodate request see room could choose one well suit fancy . choose one third level overlook beautifully serene garden . room ample size come standard amenity one would expect ( super comfortable king size bed , mini - bar , tv ; recliner , etc ) room service great restaurant food delicious ( average $ 10 US dollars/ entree ) . prepare restaurant stop serve food 11 pm last call drink midnight . nevertheless , everything everyone work give impression high - class hotel . 
 May 25 2005 	 well average 	 Montreal many time year find Hilton average hotel . be build like average hotel city 's high rise rather low rise be fairly well spread . room clean bathroom although small clean meet need .. plenty mirror room . view either city court yard beautiful , remember high rise . indoor outdoor pool heat allow start inside swim outdoors even snow storm . fitness room adequate . eat hotel restaurant within walk distance downtown underground City right underneath hotel .. 's short taxi ride $ 6C Old Montreal Old Port close everything . 's good place stay ... overwhelming nice need city going spend much time room . park car underneath hotel $ 17c Valet parking $ 24c . give 10 - 15 min get car Valet parking . easy find come Champlain Bridge Rte 10 turn Rue University enter city Hilton sign right front . 
 May 24 2005 	 Good Hotel Good Service 	 select hotel location relative Trade Show attend week . hotel nice accommodation fine . service though , make great impression . staff helpful pleasant deal with . I upgrade executive floor come FREE high Speed Internet . connection problem special log procedure deal . nice amenity . the location convenient access subway system railway station . underground shop dining area also accessible . Old Port area city quick cab ride nice walk away . fame Crescent Street , safety sake , dark travel cab . couple thing keep mind select hotel:1.parking - Parking anywhere interest city next impossible ; go hotel well . 2 choice neither cheap . Self Park 4 6 level underground tight turn tight space . sign tell accept Visa MasterCard- AMEX.2.Once get lobby , elevator . manage luggage stair , stairs steep high . able problem 1 bag . there heat pool , nice middle city . overall , good hotel would stay Trade Show . 
 Apr 12 2005 	 Better Hotel Reviews Indicate 	 prepare average experience base past review Hilton Bonaventure . receive Priceline room ( obstruct view ) check - in desk service fine . room large comfortable king - size bed pillow . small bathroom nice amenity . concierge helpful providing information Montreal , public transportation general direction . we use outside pool though people swim heat pool though 55 degree . we also eat restaurant Hilton . if go , try Le P'tit Plateau restaurant italian district . small ( BYO wine ) 15 table restaurant serve southern french food casual atmosphere . food outstanding appetizer dessert . overall , would hesitate stay Hilton . 
 Dec 2 2004 	 80 's retro hotel 	 recently stay Bonaventure last week - sport event hold adjacent Convention Center . the hotel unique top office building . be hey day - probably awesome - put $ $ $ hotel year . first room give corner alcove suite - bed - coffee table chair armoir tv impossible see bed . stark miss furniture . we ask another room - show bi - level suite - design square footage nice , however decor right 80 's - modern fixture amenity . stay nice road side motel nice furnishing 1/3 price pay . convenience location close casino convention center - 's - staff coffee shop - lobby bar - awful - beg service speak fluent french kind friendly service . hotel charge expect four season Ritz Carlton - fine everything else go along - need put lot $ $ $ back hotel really justify price 5 star rating . would look elsewhere next year - probably give convenience take cab convention centre.we would say hotel 3 star good 5 star price . for charge - seriously kiss provide service - drop attitude ! 
 Oct 23 2004 	 avoid cost 	 bad hotel ever stay . put smoking room despite booking clearly read non - smoking . upon arrival even double - check front desk assure room indeed non - smoking turn case . staff unfriendly job . breakfast small selection choiche , one cook ( fry ) bacon . stay away avoid cost . many much well hotel montreal well location price . 
 Sep 30 2004 	 return sure 	 husband one couple stay Hilton four night ( 9/19 - 9/23 ) could delight hotel . staff wonderful go way see look . room clean make breakfast . unfortunately executive lounge remodelle well compensate . garden beautiful well keep . hard belive 18 floor ! ! would certainly stay return Montreal . 
 Sep 1 2004 	 nice hotel 	 Nice hotel staff could nicer helpful . room little small could use decor update , clean . pool public area nice clean . lucky room away construction noise see would disruptive . would stay . 
 Aug 30 2004 	 bonaventure deserve 5 * rating 	 recently stay Bonaventure 7 day . would consider Hotel Bonaventure 5 Star hotel mean . arrive , would accept Hilton Platinum number . know . first hotel refuse Platinum card . request non smoking room short walking distance , preferably ADS room . first room end hotel , walk approximately ¾ mile . second room change front hotel . construction go bull . inform call hotel day early . room jack hammering . unacceptable . want change wait next day . Jack hammering start 10 last 9 pm . since go Casino , come rather late . really want sleep . oh well ! got room change next day , room acceptable , dimly light , tv go , maid service leave wash clothe . inquire , guest information tell short wash clothe , hit miss distribution . also find front desk rather rude . disturb sign room . call one . seem matter . disturb sign place door , awaken knock 8 . much sleep . next afternoon husband use bathroom facility , marche maid , without knock . thank goodness , bathroom door partially close . aware breakfast serve hotel $ 40.00 CAD know get bill . think extremely overpriced . addition , helpful direction . ever say take taxi . find free Casino bus night someone tour , hotel . Gray Line tour great . make sure take day tour Quebec City . worth price . go Notre Dame Basilica pay price admission . save ticket , honored time want return . happen , Sunday 2 - 4 , organ play exceptional . oh , Casino give good exchange rate . way , win , give back . important thing fun . also quite surprised general cost meal . eat Jacques Cartier one night 2 burger , 2 fry , 2 ice - tea $ 39.19 CAD . would stay quaint Quebec City , lot shop , place eat attraction . would go Montreal day trip . 
 Aug 30 2004 	 Pleasant Stay Hilton 	 family stay Aug 17 21 . front desk staff friendly . lovely room . clean . buffet breakfast wonderful . ( nice staff ) kid enjoy gardens pool . perfect hotel family child . concierge right recommendation restaurant family ( range quick bite elegant family - friendly spot . ) location convenient metro walk Downtown even old Montreal . warning : construction noise evening 5 pm 8:45pm . not effect stay dinner time . overall , nice stay . 
 Aug 23 2004 	 well locate helpful hotel 	 stay Thursday 19 Sunday 22 August 2004 . hotel wide drive Gauchetiere ( street ) splendid entrance lead immediately lift top two floor skyscraper . reach hotel bus terminal train station ( serve Dorval Airport ) easy hotel link Montreal 's extensive underground walkway system . HH Honors card give upgrade room 1338 may well average . huge bed , desk , armchair generally well equipped . bathroom small size , door open inward almost touch wc . everything spotless arrival stay . reception staff friendly helpful answer several question . outdoor heated pool 15 metre long open 06.30 every morning . Business Centre close weekend : nearest internet access coin machine railway station Chapters Bookshop . one dinner hotel . restaurant close refurbishment . kitchen pressure due wedding reception though service friendly , would rate food average . overall would certainly stay hotel 's location , friendliness outdoor pool . 
 Aug 11 2004 	 may come back ! 	 recently spend 4 day Hilton Bonaventure . hotel ok . deserve 5star rating grant website . room could use upgrade . executive room well regular room . compare Hilton Millenium New York Hilton Beijing , Hilton Bonaventure like Motel 6 . front desk staff rude time . location pretty good though . executive lounge close . suppose re - open stay get indefinitely delay . 
 Aug 7 2004 	 room could use update 	 room small , great view . top high - rise directly train track , noise . lighting room really bad , make room decor look bad . room service good . front desk service not . it be also rather hard find , outside build big Hilton sign anything . tiny placard front gate . also , 1st floor area construction , sign actual hotel lobby misleading . 
 Jul 26 2004 	 Hate service ! 	 go 4th July weekend . choose Hilton reputation importantly outdoor pool . definitely unpleasant experience we . receptionist unpolite unhelpful , room extremely noisy first night ask change , least fine . hotel extremely crowd , probably festival . impossible go pool , family kid ( ton ) , also dine area right next pool make pool area extremely crowd noisy . needless say fun . plus check person really unprofessional report . manager responsive though . one bad vacation 5 star hotel . service receive definitely even 1 star . would never go . 
 Jul 17 2004 	 great hotel 	 beautiful hotel . ground well keep . tree waterfall give feeling be anyplace top building Montreal . bad feature one restaurant open necessarily convenient time . husband diabetic could find anything open immediate vicinity Saturday late afternoon . staff overall wonderful - except restaurant . could use & quot ; friendly & quot ; training . 
 Jul 14 2004 	 great Weekend Hilton 	 arrange trip 2 couple go Montreal Canada Day weekend . jazz festival wonderful time . stay Montreal Bonaventure Hilton Hotel many time never fail please . room clean quiet . staff friendly , helpful professional . would definitely stay . 
 Jul 12 2004 	 Nice hotel great location 	 really like hotel , although minor problem reservation . however , quickly resolve satisifaction . everyone friendly go way helpful . location great pool really nice . not notice construction noise previous reviewer mention . 
 Jul 10 2004 	 Nice 	 book thru Priceline happy see get 4 * Hilton good location . Hilton convenient part downtown nice ammenitie . not use pool , look great . room large , bathroom upscale , mini bar big enough store bottled water have buy day . one BIG downside drilling / pound noise go day room 6 - 8pm . walk many hour , look forward quiet time head evening . chance . call front desk inquire , say construction go 17 floor , affect room hotel , construction permit allow go 9 pm -- day , give quite headache . hotel nice , may want ask status construction . 
 Jun 30 2004 	 Hilton Bonaventure good 	 Hilton Bonaventure nice hotel . management friendly , good , nice weather . hotel & quot ; seedy & quot ; area , Metro underneath hotel , bunch beggar hang . hotel completely Non - smoking , part smell bad . Hilton offer Non - smoking room , take advantage . room service ok , really not care take plate back kitchen get wash , ( room service . ) plate sit outside room two day cake food . talk front desk several time , nothing happen . maid one actually call room service personel pick . bathroom clean wide variety bathing oil , etc . shower head Grohe , ( sp ? ) many nice setting . nice touch LOVED , tv speaker hook bathroom , not miss favorite show 's audio . bed comfortable , light florescent , energy efficient , bright . bad thing room though , ask get heat turn , even though summer ( AC know long ? ) Hilton & quot ; HotSpot & quot ; pool area , bring wireless router card , luck , free internet . not , get high speed Internet $ 10.00 day , like $ 5.00 dial . rate may change though , rate . , come Hilton Bonaventure , good time ! ! ! 
 Apr 23 2004 	 hard categorize 
 Feb 20 2004 	 can not beat ! 
 Oct 30 2003 	 Unimpressive 
 Oct 20 2003 	 guarantee room 
 Sep 19 2003 	 Hilton Bonaventure Fine Hotel 
 May 26 2003 	 book Hilton 
 May 26 2003 	 Les Remparts Parc du Riviere Nord stuff love ... 
 Jan 23 2003 	 enjoy Bonaventure 
 Oct 20 2002 	 Bonaventure Best Bet 
 May 25 2002 	 business style hotel 
 Oct 19 2009 	 Expérience très agréable 
 Sep 18 2009 	 Hotel importante pero bastante gastado 
 Sep 10 2009 	 Genial 
 Aug 26 2009 	 Spettacolo 
 Jul 26 2009 	 Gerne wieder 
