Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Jan 6 2009 	 great value money 	 stay four night early January business . room book colleague honestly horrify see room rate ... figure stay dump rate . : ' } , hotel favorite travel companion highly recommede . for money , can not imagine well choce . other note , location phenomenal . room small city , perfectly expect NYC . certainly luxury selection , comfortable clean . spend good amount time room work not overly crowd . I not bother restaurant many great choice meal around hotel . seem like shame eat hotel food NYC . minor complaint housekeeping not great job first day . soap , floor vaccuume , coffee maker leave dirty un - empty , privacy hanger leave room . call customer service line politely explain . next service much well . sure , elevator slow crowd , experience old hotel . room 25th floor , even wait , always get spot hotel . felt sorry folk low floor luggage try get . make sure get room top floor consider check early checking bag wait much inconvenience . 
 Jan 4 2009 	 average confused staff 	 select & quot ; all - in - one & quot ; package deal include breakfast , free self parking 30 % discount hotel bar . accomodation , food fine . location great . hotel centrally locate close everything want see tourist . hotel staff idea promotion package find website repeatedly ask / challenge specific package . luckily print detailed confirmation page whenever book online present thepage staff least four time make 2 copy . get little ridiculous . however , deal great make stay extrmely affordable . reccommend print confirmation sheet detail package likely receive sign . 
 Jan 4 2009 	 Nightmare ... 	 look nice hotel locate centrally New York City , close Central Park , Columbus Circle , subway line . Park Central seem perfect match need , advertise online price $ 99 , could love , right ? read reviews Hotels.com although think room bit small , everyone review keep rave location , value price . well , none matter reservation ' ve make honored . upon arrive front desk around 2 pm Friday afternoon , front desk clerk ask step line walk hallway manager 's desk two man woman wait front . tell problem hotel 's website reservation make hotel oversell 80 room . make arrangement we another hotel city ( Carlton Madison Avenue - BEAUTIFUL hotel , certainly anywhere near location list central trip ) , parking garage next Park Central , hotel offer we $ 20 get vehicle garage transportation Carlton . the attitude employee Park Central seem indicate ordinary hotel , although apology offer inconvenience , think understand disappointed staying reservation , also notify problem arrival . hotel cell phone number email address attempt contact prior arrival make . would gladly drive Carlton instead , park garage Manhattan offer $ 20 get car ( would charge half hour garage ) completely unacceptable . I wish could give detail room Park Central look old yet beautiful hotel , never get see room . be stay well hotel trip pleasure , think hotel 's service every bit important physical attrbute , hotel can not live end bargain , least hotel mistake , Park Central fail . 
 Jan 1 2009 	 Park Central - Good Stay 	 buddy & amp ; spend 6 hrs . @ local coffee house reviewing hotel various site trip NYC . friend & amp ; book 6 - day stay ( 12/17 - 12/22 ) Park Central ; many review great , hate , would give shot . arrive , be greet Saleem , friendly counter clerk . fast , polite & amp ; answer question . get room ( # 1029 ) , ( 2 ) double - bed , face dread center core bldg . ( view often norm NY ' m tell ) & amp ; faceplate closet safe tear ; could not use safe , need . call & amp ; speak rep , request another room due safe issue ; say not . friend call & amp ; speak man understand problem , patch we thru Customer Manager . friend explain use Concierge safe impractical . CM say another room ; come desk . & amp ; Wa - lah , saleem we another room ( # 1119 ) New York minute . get new room ; double bed , slightly large view city , fridge & amp ; safe work . discover tv work . call & amp ; 5 minute maintenance rep show & amp ; fix problem jiffy ; back plug set . day room clean & amp ; question answer staff . polite we . need print itinerary stuff & amp ; promptly direct we Business Center . would leave room housekeepers smile wish good day . the one draw back new elevator system ; enter floor keypad & amp ; assign elevator . one problem , not ask # party , folk arrive elevator , everyone assign one . would 20 folk one elevator not work well . one overloaded ground 's way lobby . still work kink . reach lobby one morning , suit standing & amp ; chat ; turn elevator company . having experience risk Management later contact hotel return home speak manager work elevator service . identify flaw system ; great push floor assign particular car , everyone assign car , 4 elevator . additionally , keypad front lobby , allow bored kid push button , adult push floor , side track use elevator . floor pick keypad , automatically light button elevator . , many folk not show , remain passenger leave stop floor one get off . since system not ask # passenger group , hotel overload elevator . risk Management point view , prepared sue one elevator , overweight , snap free shut trap folk . could hear pin drop . rep actually hear say , take note ask okay contact follow question thought . hey , sure , not . the Park Central Ritz Carlton , stay city , even SF , impressed . , InterContinental impress anytime . anyway , Park Central old hotel , find clean , remodeled floor , Business Center , Gym area other . lobby nice truly everyone pleasant we accommodate we quickly . do not eat hotel restaurant ; LINE long average food . go Brooklyn Diner Europa block , great food good price . another tip tell ; TIP HOUSEKEEPER DAILY . not assume housekeeper day . many folk tip last day pay . be assume HK get tip last day share even HK one clean room week . plus assume Hotel pass money along housekeeping . give tip year ago result ; return evening bed turn chocolate pillow , large towel , bath robe , well toiletry , extra blanket , flower table , belonging always stayed put . even find dirty clothe launder . this trip , tip day , would return Thank note , wish we well , thank we generosity & amp ; God Bless , get new large bath towel ( though necessary opt clean choice ; linen stay reduce water use ) folk not get pay well lot , return favor ensure HK get 's tip . all , nice stay Park Central . would recommend 's close everything , clean , polite staff , etc . 
 Jan 1 2009 	 want 	 stay christmas romantic break . get great deal Opodo . the hotel great , location amazing problem sort immediately . key stop last day ( seem like happen lot ) get lock call security free phone hall come straight away . also toilet block first day sort within 20 minute . the elevator really quick , never wait 1 minute ( elevator side lobby use maybe people havnt realise ! ) get aiport easy cost $ 7 ( drop almost corner hotel ) simply get AIR TRAIN jamaica E train 53rd street oretty much outside . much cheap taxi much long busy . I definately recommend hotel . nothing grand fancy comfy , warm , beautiful lobby excellent location . 
 Dec 29 2008 	 disappoint 	 able book one night hotel enough . luckily get special rate ( half ) price $ 280 disappointed stay would never pay full price . go NYC see Xmas decoration hotel seem good deal breakfast include free charge . however , be block away Times Square 3 block Central Park . hotel lobby pretty spacious always long line front desk . clerk mention need use machine around lobby find elevator get floor . hotel room okay seem shabby . frig , microwave , extra blanket 2 tiny bottle shampoo & amp ; lotion . 3 bath towel 2 we washcloth handtowel . bed comfortable though , extra fluffy pillow , alarm clock . wake next morning fire alarm blare 5 firetruck pull front hotel ( false alarm ) .The breakfast cafe variety food & quot ; accidentially & quot ; charge breakfast & quot ; glitch & quot ; computer . buffet breakfast charge $ 61 2 people ! unbelievable ! want charge $ 5 print reservation computer proof free breakfast . refuse able & quot ; waive & quot ; charge . usually not check line front desk time via phone go desk get receipt charge breakfast ! finally speak management get charge reverse . 's hope charge not magically appear credit card . would definitely recommend check bill leave . I realize hotel heart city price , hotel nothing special . 
 Dec 28 2008 	 Good Value 	 price reasonable NYC prime location . room comfortable well equip . disappointed support service overwhelm guest . ' free ' breakfast big draw wait dine 30 minute line snaking thru lobby . restaurant serve 60 people 945 room hotel ! ! ! elevator wait get room fine . , come wait elevator least 10 minute often 15 - 20 minute . several packed elevator stop , room guest . walk 15 flight several time . also annoyed pay bag storage day check . hotel provide voucher early check - ins checkout day . 
 Dec 24 2008 	 avoid cost ! 	 ' ve stay much well quality hotel Park Central , pay less . cold , dark room continuous draught come window make unbearable sleep side bed . hotel clearly unable cope amount people stay . first morning foolishly queue hour breakfast find food run orange juice water . real bargain $ 30 , eh ? restaurant need quadruple current size cope demand . batter old hoover leave outside door duration stay ; ironic considering room clearly show hoover duster time . write name dust tv screen . city never sleep , room service finish 10 pm Park Central . plus side , great cardio - vascular workout every day rather endure 15 minute wait lift . block toilet light work intermittently . not fool flash lobby area . dire . 
 Dec 23 2008 	 First Class 	 Dad book we stay park central hotel weekend 28th November 18th Birthday . arrive appear classy hotel superb location right next central park let find inside either . foyer look beautiful festive decoration staff door welcome . arrive rather early flight timing problem lady reception happy check we . must say unfortunately remember name lady reception help we check extremely helpful throughout stay . give choice room excellent first room show exactly want ( first time big apple want good view window ) receptionist happy give we another room high superb room ! mean wait little bit wait around room clean happy shop hour : ) overall hotel accomodate really enjoy stay , thankyou staff make birthday weekend special ! tourist information also helpful us new subway . 
 Dec 19 2008 	 great location could use upgrade 	 Booked Priceline . hotel date , yet functional . great location easy access Central Park midtown Manhattan . room large enough . could use update furnishing . typical old NYC hotel . would stay long price right . 
 Dec 16 2008 	 would surprised 	 good hotel New York City pre - christmas week , really great deal . book Hot Wire concerned read less great review , get inside info brother say stay fine . after hoof 20 block 7th Avenue Christmas gawker pedestrian traffic near freeze weather , happy get inside . lobby splendid NYC hotel standard check prepaid room fast reception cordial . take elevator 25th floor get car find code allow pick floor assign car . big deal , reception miss telling . encounter mystify traveler problem . as put key door , hear woman 's voice inside room sasy : & quot ; be dat ? & quot ; say : & quot ; guest assign room , & quot ; go find two maid goof easy chair . said & quot ; finish room , & quot ; clearly not expect I . the rest 2 night stay go fine . room good well one find major chain hotel three time Hotwire price . Flatscreen tv , coffee maker , nice king bed linen fit , plenty new towel , marble top bathroom sink , clean , new shower curtain , plenty hot water bad view either . key $ 109 night , plus tax fee , hotel great location : block Central Park 59th Street , reasonable walk Grand Central Penn Station , plenty nearby deli restaurant overall , great place stay . great deal get it . I would love stay , will bet not find rate ! 
 Dec 9 2008 	 second stay Park Central ! 	 second time ok ! adjoining room request . House keeping need serious help .... dirty glass remain room take .... find item behind dresser ... could see go room room .... one see .... .... house keeping ! none less .... great place stay . Location N , Q , R , W line .... make easy get around ..... staff always gracious friendly ..... baggage check problem $ 1.50 per bag .... bad pay ! would stay ... would prefer housekeeping well job ! 
 Dec 9 2008 	 bad place money 	 find hotel Hotel Club get great price per night .... $ 161 . room clean good sized NYC . staff helpful check , helpful next morning . run desk staff rag think reason snippy attitude morning . bed comfortable , heating / AC unit terrible . room hot could not get cool air work cool . make sleeping bit difficult hot room . love flat screen tv . would recommend avoid lounge drink price outrageous ! $ 14 cocktail bit pricey liking . smell enter lobby bit offensive , even sure smell . would stay . 
 Dec 9 2008 	 Park Central Nice Stay 	 Park central nice place stay . return girl weekend trip . the location great , staff friendly , problem . the room little small hear normal nyc.location walk distance major attraction . 
 Dec 8 2008 	 Park Central Easter - great stay 	 although review accommodation stay around year half ago , second time New York , great place stay . we stay five night , want majority sight , plan mostly foot ( occasional subway journey uptown / downtown lengthy distance away ) . want somewhere comfortable , high quality locate near good sight - Park Central perfect . lovely bed bathroom , great tv facility need ( really use room sleep ! ) . would highly recommend hotel look safe secure place stay , 's clean well - maintain . bit pricey , probably average amongst place ( especially great location Fifth Ave , Central Park stone throw away , Times Square food , bar shop good ) .Big thumb , especially young couple . 
 Dec 1 2008 	 Dust Mites ? 	 stay Park Central nearly week business . book room fairly good discount directly hotel website not expect anything fancy , decent place sleep . rather bad experience : first , need extend stay extra night ask possibility , front desk staff rude say absolutely availability . however , upon check HOTEL 'S WEBSITE , appear many room available . book directly online go back front desk reservation ask keep room . apologize mistake take long 10 minute persuasion able keep room . clearly , hotel major organizational service problem . secondly , power go last day stay staff quite rude unhelpful resolve explain problem . strict check time despite fact impossible see take hot shower . finally , never allergic anything stay night hotel , go emergency room severe allergic reaction cause something come contact hotel , doctor say likely dust mite . call hotel ask explanation rude unhelpful , someone transfer security . call back many time resolve ; clear hotel many organizational problem good service guest . I would reccommend hotel . 
 Nov 28 2008 	 simply bad mannered staff ' ve ever encounter 	 simply bad mannered staff ' ve ever encounter , exception two nice chap work front door .. overprice , rude , bad mannered uncaring staff , avoid cost ... 
 Nov 24 2008 	 bad hotel service clean ! 	 vistite NY NYC marathon , stay week . unfortunatly stay Park Central Hotel . room terribel , dirty , bathroom even . bathroom , hade lot stain , nailclipping ( disgusting ) mold shower curtain . beyon lot dust , believe last vaccumed room 3 month ago . the managemnet reception employee , extremely impolite . willing provide service , arogant . addition , lobby teribly busy , wioth l ; ots people , belong . security no - one seem care safety guest relate issue . the elevator , througout whole week maintance , therfore long wait ( upto 15 minute ) .We never go back hotel ! nice thing hotel , location , 2 block away park , near timessquare ! 
 Nov 22 2008 	 pay much hotel much problem 	 although ' ve reserve & quot ; refurbish & quot ; room several problems:1 . bathroom not clean - drape moldy2 . shower tap come wall3 . could partially transfer water low tap upper one.4 . elevator - always problem hotel . wait like 8 - 10 minute elevator one top floors5 . room dark ( maybe lamp miss ) 
 Nov 21 2008 	 home NYC ! ! ! 	 first time NY Park Central Hotel truly home sweet home stay Big Apple 2 - 13 October 2008 . overall , hotel exceed expectation . later find Singaporean Airlines crew also stay hotel regularly , guess hotel provide high service quality amongst many hotel ny . location : 8th Ave , W 58th St , hotel close Central Park , Columbus Circle , Carnegie Hall ( within walking distance ) subway station 57th St hotel corner . surround area hotel safe , bright rather crowded till late , never hear noise street room . 24 hour cheap delis near hotel nice restaurant along street . even walk Times Square 42nd St. hotel . fun , easy walk many thing see along way . many yellow cab stand front hotel wave one pass . book check - in : book hotel via website get affordable rate usd 300 ( incl . tax ) per night . worried whether rate worth room service , read mix review hotel tripadvisor . enter room stay , think rate really good deal worth every cent . check - in process quick hassle . initially book superior king room , arrive , friend ask whether could twin queen - sized bed room . front desk say " problem " politely , get twin queen - sized bed room without additional charge ( even though later read website , double bed room rate high superior king ) . rate incl . breakfast , need pricey breakfast hotel buy coffee bread nearby deli starbuck cheap price ? .room : happy get twin queen - sized bed room , room spacious ( think NY standard , room rate indeed spacious , could say huge ! ! ! ' even believe first time see ) . Bathroom standard size , cramp , bonus , get shower bathtub ! ! ! clean , taps shower function well , incl . hot cold water pressure . relieve feel lucky room . bed quite pleasant . sheet ok , eventhough suspect change daily . yeah , fine we . course , minor downside . first , window face brick wall hotel ' wing . second , mobile phone reception room least room area poor ( maybe signal block hotel ' inside wall ) . third , complain traveller , air - con . work , really give fresh cold like normal air - con adjust temperature . since autumn , still alright air - con , temperature outside quite cold windy . ' sure air - con would issue stay summer . however , easy - to - be - pleased fella want ruin NYC trip minor thing hotel , regard stay room sleep get shower . staff : overall , staff courteous , polite , helpful , although friendly hotel staff Asia , example . NYC , ' ok . problem extend stay another night , front desk mistakenly put 9 night database instead 10 night , say pay another 2 night instead one , book confirmation clearly state already pay 10 night ( 2 - 12 October want another night extension ) . assist another hotel staff ( think supervisor front desk staff ) help we problem resolve within minute . ( beautiful american - lithuanian lady name Lina ) become friend stay hotel . thank , Lina ! facility : Beside restaurant try stay , hotel also decent - size gym decent equipment open 24 hour . fleet hire car use go JFK USD 70 one way . know exactly , car hire kinda like Toyota Harrier similar comfortable . another downside handle fee usd 3.50 charge we pick order book amazon.com deliver hotel . understand charge us luggage deposit ( usd 3.75 per bag / luggage ) , handle fee package ? type handling work ? pick concierge instead book deliver room . elevator : read complaint traveller elevator , kind worry also first . stay , lift work fine never wait long elevator . yes , last day , maintenance 2 elevator ( prior notification send we couple day ) day , guest wait long usual . fair , stay low season ( hotel might crowd holiday season ) , say problem elevator stay . we happy Park Central Hotel , make trip ny fantastic ! NYC amazing , pleasant stay hotel truly double excitement . nothing ' perfect , want get hotel spacious room , good location , helpful staff affordable rate , really recommend hotel . read negative review hotel , think lucky get experience , easy pleased ? come , people , want treatment like royal , go 5 star hotel pay ! definitely return hotel next trip " city never sleep " ! ! ! tip : use subway ! ' easy cheap ( especially weekly pass USD 25 ) take anywhere quick , . never use taxi , except JFK Manhattan arrive . yes , use hotel ' car practicality 4 luggage we want everything ready desire time . 
 Nov 21 2008 	 Amazing ! 	 stay Park Central hotel New York 5 Nights love every second . hotel incredible ... fault ever ! staff polite always willing help . location well ... second away Central Park , Times Square & amp ; Broadway . overall , good time life devaste leave . would recommend hotel anyone ! 
 Nov 16 2008 	 Great Hotel 	 quite shock many negative review . great hotel - great price , prime location , large room . room clean huge . rare find NY hotel large room . rate incredibly low . hotel quite . average NY hotel . hotel 's room big NY 5 star hotel . check early time . first stay left bag without charge second stay check late- 3 pm ! additional charge . staff friendly helpful . highly recommend hotel . fact , love hotel much first stay week October 20th return . 
 Nov 10 2008 	 bring light bulb 	 stay two night could not wait check . first room get mold bathroom , tear wall paper , break flicker bathroom light , sheer curtain cover window people build across plain view ( assume could see ) , noisy due street . numerous complaint finally give another room . within minute re - assigned room another embarrassed couple walk room pack move next room . hotel could give 3 minute pack bag ? next room stain wall dark could barely see ( bring lamp need apply make - up night town ) . talk guest learn room quite dark . cell phone reception use hotel phone make 4 minute call home charge $ 10 . awoken middle night vacuuming hall . 
 Nov 10 2008 	 Fix elevator ! 	 stay , nearby hotel type comfortable room cost lot . location terrific . elevator chronic problem get bad . weekend , one sometimes two elevator work . morning & quot ; rush , & quot ; elevator take many minute come . stop , full , every floor , exasperate people stand luggage nowhere go . real way get use service elevator , stream people . management post sign service outage , apology , explanation , nothing . advice : stay -- price right -- need use elevator 7 - 10 a.m. , scout service elevator . 
 Nov 8 2008 	 Nice Location So - so Service 	 hotel great location pay . Central Park Times Square . room & quot ; okay & quot ; nothing special attach photo show . breakfast disappointing expensive . find nearby restaurant well value . verrrryyyy long wait elevator . attend conference hotel . end one day return room 4:00pm find room make . call front desk assure would take care immediately . leave find place read hour return 5:00pm room still clean . call front desk tell clean & quot ; shift change . & quot ; hotel management remind staff customer not know care & quot ; shift change . & quot ; high price pay clean room provide guest return especially guest inconvenience . night 11/5 fire 4th floor hotel . loudspeaker tell guest stay room . well , 9/11 , many people ready stay room know fire floor . hotel staff little deal situation could see . nothing special property except location . willing able pay , hotel meet need nothing . 
 Nov 1 2008 	 great fun amazing NYC 	 stay hotel park central 8 night two teenage daughter . book ' superior double double ' sleep four . recieve dark , small narrow room two queen size bed . even kid fit bed , parent sleep almost beside bed ... food test , nearby delis , excellent . elevator like snail : wait 15 min elevator work four . heating work house keeping decide . employee front desk friendly kind even workload big . location hotel superb , several step time sq , moma , 5th ave central park . door keeper also kind aid transfer jfk . internet available room extremely low bps rate 14 dollar per day . bathroom dark old fashioned . water come shower slow , toilet must pump several time . one small bottle shower gel offer every day 4 person . absolutely fun teenage kid hotel building . nice fitness room available . hotel lobby elegant , build old fashioned nice , clean maintanance could well . employee friendly . overall opinion : price value poor ( price new york average ) 
 Oct 31 2008 	 Excellent hotel front desk staff politer 	 book room six night . upon arrival , tell hotel book , assign high category room ( 355 ) charge . follow day , put excellent one ( 2512 ) . however , due heavy rain NYC three day , two leak room , prevent we sleep relocate . occasion , room 1833.staff sympathetic help we lot . big outrageous situation , ordeal moment check . literally strove explain receptionist ( code number ' 17 ' ) happen stay view make sure extra charge would make we . surprise , tell want hear , hand bill revision . thank , nothing pay almost $ 2000.i know bad attitude one person , needless say , sometimes , last impression count , unfortunately , may make hotel good souvenir fade away . I leave reader judge happen we . 
 Oct 29 2008 	 so - so 	 lobby nice . people , part , pretty nice . actual room , leave little desire . bathroom pretty gross . mold shower . air conditioning room hot musty . several switch plate electrical outlet either break work . food restaraunt good ! pop machine break floor . 
 Oct 27 2008 	 do not stay 	 second time stay park central . go check tell check 4 pm . offer pay say nothing available . ok . understand , give ticket check bag . find pay ! ! ! hotel pay check bag ? ! choose hold computer , extra bag ask password wifi . nope , wifi available , use computer business room . room bland , need update , little dirty appearance . dont stay . many good hotel nyc offer good customer service much well . 
 Oct 25 2008 	 Loved Park Central ! ! can not understand negative review . 	 slightly apprehensive way hotel due negative review read . however , arrive hotel lobby superb really plesantly surprised . virtually queue check . first room two queen bed reserve superior king room . slight criticism lady phone rang question slightly rude say not available would try move we morning . suspect may case way call reception manage speak lady call Drita Oroshi absolutely brilliant , polite helpful , move we straight away much well room king bed want . room clean spacious . super base anyone go like expore sight sound New York would definately recommend anyone . 
 Oct 24 2008 	 great hotel 	 stay hotel 2 friend girly week sight seeing , eating & amp ; drink . hotel suprise we get get great deal room not expect & quot ; ritz & quot ; . first impression great . could not check straight away go bar . meet incredibly friendly irish barman neck wood . give we tip travel around city see . when check , find room ( 2double bed ) spacious clean . hotel great location , busy / noisy yet close enough foot see great attraction - especially Central Park . we one issue room deal immediatly great efficiency . not much dealing hotel staff check in / out friendly enough - job ! ! 's nice place eat close hotel ( restaurant hotel slightly expensive ) , subway short walk away . 
 Oct 22 2008 	 great hotel 	 return 3 day stay last weekend . thrilled hotel . room nice staff cordial . stand line check - in 3 minute , kid . room recentaly remodel . window keep noise A / c work well , yes Oct. Housekeeping great job room make 10:00 every morning . complaint overprice hotel bar . not go , lot bar within block . location great plus . 
 Oct 22 2008 	 solid hotel budget -- use 	 recently stay Park Central Hotel 5 night overall pleased . old hotel could use cosmetic work major complaint . 16th floor corner room ( 1621 ) two double bed . room average sized bathroom quite small , everything clean ( bug description ) . wallpaper bit tired bathroom sink crack apart room good repair . read report slow elevator brace worst apart one morning around 10 a.m. wait 3 minute elevator , wait 30 second . staff friendly helpful . & quot ; honeymoon hotel & quot ; luxury property . real draw Park central fantastic location . situate diagonally across Carnegie Hall Seventh Ave , 10 - 15 minute walk 5th Ave . , Central Park , Times Square , Restaurant Row . almost impossible find hotel centrally locate $ 400 per night . I would note hotel bar nothing special quite overpriced . eat restaurant get go russian Tea Room step away . breakfast Carnegie Deli . large omelet ' ve ever see friend bagel come amount half package cream cheese . also breakfast Park Cafe , good less expensive ( small portion ) Fluffy 's ( cheap option , plastic cutlery paper plate ) . dinner one night Molyvos , greek restaurant across street , would recommend . food vastly overprice portion small good . 
 Oct 20 2008 	 overprice - Rude Front Desk Staff 	 stay 2 night September business . check front desk , specifically remind clerk - who lack form personality- want room elevator ( due noise people get / . ) get room , directly across elevator ! call front desk , say room type ( King Bed ) available . select concierge rate $ 50 per night thought would sort evening snack / morning breakfast . call front desk inquire , tell lounge . ask include concierge rate , say would able free breakfast restaurant hotel . well , breakfast buffet ( include egg , cereal , pastry , juice , coffee , bacon , etc . ) , $ 18 . therefore , completely overcharge & quot ; concierge & quot ; aspect room ! agree other decent location , never stay due feeling like completely rip . 
 Oct 17 2008 	 bad service unpleasant stay 	 unfortunately recomand hotel , mainly poor service attitude get . book hotel hotel ` website two adult 1 year old baby . go book process specifically ask write age child , also ask crib section & quot ; special request & quot ; . also get confirmation reservation . surprise - get hotel ask pay extra 40 $ per night order get crib ( ` know - pay around 340 $ per night ) . nothing help even though mistake hotel ansewr get : & quot ; New York , expect ? & quot ; well - certainly expect questin hotel expect book room two adult baby ? ! ! . get room realize even though book lux . king room - small couple baby anyhow room crib even would pay thode exstra 40 $ per night , baby sleep bed . course ` convinient . - hotel good location want touristic area ( 5 min . walk Time Squre Centrl Park ) , thogh spend time NY think good location mind area good restuarant . area hotel mostly get diner self - service restaurant . nice restaurant two block Hotel Maison ` - good brassary good food reasonable price . next surprise check - out ask pay 3.75 $ per item want leave hotel day . never life ask pay anything leave laugage hotel check . impression hotel welcome guest reason ` stay hotel . 
 Oct 15 2008 	 Park Central Hotel - stay away ! 	 stay hotel 3 night month , change room twice ! cochroache one room , mold next staff friendly , one person name George . would never recommend hotel will not return . 
 Oct 8 2008 	 get bit tired tired look hotel 	 recently stay Park central business . probably 5th last stay hotel . although location good hotel start feel age think true staff also . be always good port call New York 's easy find bearing however think 's time try somewhere else . check always problem . either join lengthy queue , queue , receptionist go walkabout still end queue . exaggeration , 5 check - in ' ve never experience anything else . the reception , bar restaurant area quite nicely lay serve disappointment find room . leaky ceiling bathroom uncommon decor furnishing tired . window not keep noise draught whatsoever . internet connection need bit DIY get work ( basically disconnect modem glue table plug laptop straight wall socket ) $ 15 night connection 's pretty pricey compare hotel . bar hotel also quite pricey . one customer complain bill space one hour . across street past Wellington Deli Irish Bar ( conveniently call ' Irish Bar ' ) . always friendly place , be pretty small play good cross section music . snack go 's 55th street deli , sit would recommend deli directly opposite call Benash . 's also famous Carnegie Deli ( next 55th street deli ) sign photo load famous people ( president etc ) wall . place get reputation not know food nothing special although portion extremely large . all , hotel 's good location use base not expect high level comfort 's ideal although cheap hotel similar standard area . 
 Oct 8 2008 	 good hotel good location 	 wife stay early Oct 08 four night . already state good location want touristy location close Times Square Central Park top tube stop connection low Manhattan . one reasonably price ( ny anyway ! ) hotel find money get good sized room , clean , quiet comfortable . lift work complaint way control room temp . however , hotel budget would recommend - trust will not see much ! 
 Oct 7 2008 	 Great Hotel Great Location 	 husband go NYC anniversary Aug 21 - 26th stay park central . great hotel . 1st go NYC relax think . . room sleep that s . bed great . nice firm stay standard room . RM 1404 . pleased . clean , mold like read review . slight smokey smell ( even though non smoking room ) nothing overbearing . never hotel . Cafe Metro one block north south GREAT breakfast place . location hotel make FABULOUS ! exit hotel go leave .... central park . exit hotel go right time square . subway right infront well . price could not beat park central . return NYC likely go back unless stay different part town . front desk helpful concierge help we reservation . downfall sometimes wait 10 - 15 able speak . great rest pleace finally rest , city never sleep . oh good tip .... book hotel since say offer low price guarenteed . do not find low price anyone else .... look hard . 
 Oct 5 2008 	 Served 's purpose 	 first time New York , want stay somewhere central happening , yet pricey . Park central great location Manhattan . block great attraction . accommodation , however , similar $ 100- $ 150 / night hotel & quot ; regular & quot ; city . room thermostat adjustment . fact , little chilly comfort , hotel staff advise we & quot ; City New York , activate heating system 40 degress outside & quot ; . HUH ? , instead , provide one extra flannel blanket ... one bedside light fixture permanently broken- bit nuisance . at one point , hot water entire hotel work , promptly remedied situation ( take hour ) .The towel SCRATCHY cheap . bed linen 80count . spend time & quot ; street & quot ; New York , really use room & quot ; crash & quot ; . , serve 's purpose , money , expect nicety come standard ( working fixture , well towel & amp ; sheet ) ... will stay somewhere else next time . 
 Sep 30 2008 	 lovely hotel 	 stay park central one week early september happy choice hotel . hotel recommend friend week earkly . quite worried see bad review , although first time New york , certainly do not low standard type hotel stay satisfied park central hotel . pay high enough price staying week , look around bit other seem along price would rathered stay somewhere friend recommend get somewhere decent . arrive check problem . original room put slightly cramp nicely furnish importantly clean . slight glitch air conditioning break , phone front desk immediately give we room next door , lot spacious amount furniture , different layout . room bathroom clean never problem housekeeping do . the problem encounter stay key card room . 3 seperate occasion key stop work . second time happen advise fact keep bag cell phone credit card , find hard believe consider people stay NYC go carry either one , also never happen hotel I ve stay ! also , third occasion stop work keep key bottom suitcase go overnight trip , have not near either phone credit card ! apart minor problem would certainly recommend hotel . review maybe bit hit miss , sightseeing holiday ( idea business trip ! ) think great place stay . hotel 2 min central park 5 min walk times square . broadway subway station right beside . find staff friendly helpful , especially organise ticket place tour . would definitely stay ! 
 Sep 26 2008 	 good location 	 stay business trip end August 2008 . hotel extremely well locate Central Park , Times Square midtown attraction . load restaurant nearby , plus health food shop , night pharmacy tourist tat . there plenty space front cab pull . not see porter help bag whole time , prepare carry yourself . the lobby large , need heave people whole time , independent traveller big tour group . check - in straighforward , bit lengthy - staff seem go - slow , reasonably friendly New York hotel . colleague get standard room , fine - huge , also bad size central NY . arrive quite late due delayed flight , get upgrade suite , positively palatial . 3 room : sit room sofas , plasma screen , plus fridge , coffee machine microwave . internal lobby writing desk , lead enormous bedroom , window 2 side , marvellous view surround skyscraper . another tv watch bed . finally , bathroom , really nice . obviously not especially new , excellent condition , clean grouting , nice marble surface , big bathtub / shower , plenty fluffy towel . aircon work well - blast day keep room cool , turn night quite noisy . windows double glaze , keep almost traffic noise - would never know central NY , 's first hotel NY ' ve ever sleep need earplug . we breakfast hotel one day - nice , plenty variety , cost extortionate . would recommend go road pancake egg instead . check also slow , nip big group , , staff friendly helpful . niggle lift - quite slow , not quite seem enough , minute wait around breakfast time go . minor issue , think rest hotel fine . not perhaps nice nearby hotel , much cheap , honest , prefer . price pay , would definitely use , location superb . 
