maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 Apr 16 2008 	 Rockabilly Weekender 	 husband book room Viva Las Vegas Rockabilly Weekender . event hold one partner hotel , Gold Coast . choose Orleans discount rate event offer free shuttle . shuttle great way travel strip Gold Coast . personally think extend time shuttle service . last pickup 12:30am change least 2 am . midnight thing really happen Vegas . room put we far away walk forever . last thing want walk strip walk mile casino another mile room . make sure put room close elevator . room open cramp smell smoke overwhelming . non smoking room stale scent cigarette fill room . must due poor air circulation old casino . thing help fresh air small bathroom window . keep open entire time . we order room service one evening 2 am . affordable , quick good . pool area nice . bar . hot tub large waterfall . palm tree center . problem child flock hot tub . sign post child 12 use hot tub . nobody hotel enforce . get several mouth full hot tub water inconsiderate youth . budget hotel . 
 Apr 16 2008 	 Nice hotel 	 husband stay Orleans last week . room large nice setting area . bathroom big , good lighting . even instant coffee pot . the room clean staff friendly helpful . the thing would say pillow sensitive , bring . pillow terrible . also door automatic closure slam . the pool area great , casino food . I would stay . 
 Apr 14 2008 	 Nascar 	 great race [ ackage , food good reasonable , Lots option , try Big Als great gumbo , etc . transportation track time , shuttle strip , 
 Apr 12 2008 	 good Casnio .... bad hotel 	 make short sweet ... care clean , bug free hotel stay ... do not stay . first room find 2 large beetle run across floor . Complained downgrade we low floor level ... find jsut want clean room . both husband wake next morning bug bite arm leg ... suprise suprise ... review bed bug correct . another reviewer complain water ... correct ... sink water smell like fry egg . bed sheet old mattress uncomfortable . I never complain hotel , though worth complae would want anyone else go . thought would save money book orleans ... bad idea . the people work casino GREAT 24 hour dinner . hotel HORRIBLE . 
 Apr 12 2008 	 quite good 	 conference April happy off - strip hotel . good food , decent drink free shuttle bus strip whenever need . room large good housekeeping friendly staff . price , can not complain ! 
 Apr 11 2008 	 great 	 nature visit : Stayed Orleans play poker tournament , run three time daily . talk poker room manager , tournament struture great price 80 buck , give good gamble . remember , tournament nothing turkey shoot . blind go fast round short , play two card hope well . ORLEANS . blind struture Orleans excellent 30 min round , give lot lot play . poker skill pay here . room : room neat clean . huge , come Vegas spend time room . service . call security twice . time room within 10 min ( mess safe room need open ) .The strip : nice free shuttle service strip . pay , less ? stay Orleans , strip 5 min be - free . the food : sub - way open 24 / hour lot place eat . food good . I stay Orleans recommend anyone . poker room everything read would ( good stuff ) . staff friendly , room clean food good reasonable . ' m look forward next trip June . see table ....... 
 Apr 9 2008 	 always - Great Stay 	 stay hotel many time find spacious room clean quiet . pool area large well landscape hot tub open year round . mention previous review , number kid sport team stay , March , Spring Break way city prepare . definitely return . 
 Apr 9 2008 	 not stay Strip enjoy Vegas 	 like Vegas not stay right strip enjoy getaway . decide Orleans time mainly price spectacular . find hotel Vegas awesome . big difference location . stay strip , get well deal lodging leave we money spend thing . gamble every day , see least one show day , eat great restaurant . room good size , well maintain , staff encounter courteous . not need leave Orleans not want . plenty action hotel . even go bowling ! 
 Apr 3 2008 	 Fabulous 	 2nd time stay Orleans , great place stay , long day walk beautiful strip 's nice go back adorable hotel gamble , eat drink go right upstairs relax , trust 's worth ... j.c.-chicago 
 Mar 31 2008 	 Great Family Stay ! ! 	 stay 14 year old son husband March 17 20th , 2008 . weather hot ! 80 great room comfy clean . quiet ! Perfect strip hotel can not wait go back . crowd . line ups buffet morning short arrive 10 am . food good plentiful . $ 7 person . good value . pool great . one toddler pool , one longish one huge circular hot tub ... beautiful . on last day come pool water room . call explain emergency water entire tower 2 hour . husband quickly call Spa / Fitness Centre say could use facility problem ! ! part resort $ 5 day fee pay ! make use folk ! ! gorgeous facility ! besides huge shower stall sauna huge whirlpool nobody ! free use toiletry ice cold water fridge ! ! anyway , come back room still water . husband call manager leave voice mail concern since way formal dinner still could not use water . next day check manager credit account one free night stay ! ! ! think acceptable since hassle go spa shower ! ( even nice spa ! ) also rent car Budget conveniently locate accross street . hotel get well rate , go Bell Desk .Took son Gameworks awesome arcade strip next MGM . pay $ 35 day pass . want LEAVE even 5 hour . take back dinner hour . great game age . when take cab hotel strip pay $ 10 mid day . also take cab back airport cost around $ 17 . early . traffic course . great would recommend hotel . 
 Mar 31 2008 	 disappoint 	 return 4 night stay Orleans , standard room - two double bed .... stay , find Coast Hotels Nevada okay money . however time disappoint ... room need bit update . bedspread really old smell bathroom sink . ? stop could actually smell room sit bed .... horrible smell - could even smell sewerage walk elevator . problem pipe ? tell one rate charge another friday sit eve 's . fight get $ 50.00 take bill ..... ask confirmation number ... go crazy look ... call back speak supervisor tell could anything ? need paper work ? ? ? paper work ? ? ? confirmation send via email not show price , number .... upset . tell spend lot money casino gambling could look point player card ! ! ! call back 5 min . later say speak hostess would delete $ 50.00 taxis ... will see really happen soon check credit card ... top , see really pick bad time go Vegas , since spring break hotel host Cheerleaders competition arena ... oh ! ! never life see many kid casino Las Vegas . stay Circus Circus .... course blame Orleans , really allow child sit wall play toy mom dad gambling slot machine .... really surprize kid stand around casino , talk gang teen ... floor alarm system break police , glass shatter housekeeper go vacuum midnight one evening .... door decorate name school represent .... feel like dorm ... experience , think stay Orleans .... mostly advice check go arena bad sence smell room will not bother .... 
 Mar 31 2008 	 Love hotel ! 	 stay Orleans March 17th 21st first time . though business time get little bit fun . check quick access elevator get room convenient . room huge perfect ! Maid service great everyday couple time call front desk employee helpful nice . tell husband go back Vegas vacation stay ! buffet great food great price breakfast dinner Miguel 's happy hour noon 5 pm $ .99 margarita 1/2 price appetizer . perfect ! pool though small side clean quiet . end gambling can not comment dealer bar tender . really like casino / hotel not enormous overwhelming taking forever get need go . fact free shuttle strip convenient well . drive rental parking quick close ... not even need use valet service ! loved atmosphere would definitely recommend ! 
 Mar 30 2008 	 Stayed Orleans 	 good place stay not need immediate access glitz new old strip . fitness center / spa top notch . good work room , good shower / locker accomodation , good be free ! casino hotel Vegas charge $ 10 $ 20 fitness center . shuttle new strip seem appropriately frequent cycle . price : attractive , pay less $ 100 last minute busy Friday night . see $ 56 rate weeknight . general look feel : feel like stay less - glitzy , strip casino hotel . furniture room wear look , bad . housekeeping seem good . pool : look good , lot kiddy though . gaming area : certainly serviceable gaming area , chandelier gaming area wild cool looking . sport book look good . eat : buffet one well ' ve Vegas consider cost , think pay $ 8 lunch buffet , good variety good layout access buffet bar . 
 Mar 30 2008 	 Great Rooms Staff 	 stay 6 night . room simple , adequate - 2 queen sized bed love seat chair area great . enough room 2 adult 2 ( active ) child get 's space much 7 day . staff great - bell desk housekeeper , everyone friendly accomodating . Kids Tyme child care awesome - child ask go , enough couple hour make new friend . pay $ 7 / hr ( $ 6 / hr houseguest ) per child , reasonably price food child order ( parent ' prior consent ) - well experience take arcade Adventuredome . I would recommend hotel room ; however casino less generous we often machine ( entire one Megabucks carousel quite bit day ) crap table cold time check , end gamble much less planned . need drive casino , , part arrange gambling time around child 's bed time ( switch , go downstairs one time ) , part hold hostage Orleans . 
 Mar 29 2008 	 big Clean Room Poor Housekeeping 	 family 3 stay hotel several day March 2008 . drive hotel Sunday 4 pm . easy get airport . unfortunately , designate space hotel guest unload luggage front hotel . valet guy tell could park curb spot across 5 lane car hotel front entrance , unload stuff , give car key ( sense , valet parking ) unless least one we stay car register . want pay valet parking register unload luggage , park spot point , go inside hotel register wife son stay car . soon enter hotel , smell cigarette , strong expect , registration counter fringe casino area smoke generate smoking gambler distribute ground floor . cigarette smell barely tolerable . Las Vegas appear cigarette smoking capital U.S. every go ground floor Las Vegas hotel area outside Las Vegas hotel , run people smoke . wait 5 minute turn register inside hotel . woman check friendly . get computer card room key , return car , unload luggage tell wife son wait luggage outside hotel . drive park parking lot Orleans Arena next door hotel . walk 8 minute back front entrance hotel meet wife son , proceed room luggage . wife son comment strong cigarette smell & quot ; lobby & quot ; hotel . elevator room locate 5 minute walk hotel front entrance , fringe casino . thus , Orleans Hotel bad large hotel strip term distance hotel entrance elevator go guest room . get elevator , quite walk room room near end long hallway . one thing notice cigarette smell hallway room , living quarter ground floor casino two separate building serve two separate air conditioning system . walk elevator room , see carpet lining hallway obvious stain number area show carpet really need replace . happy cleaniness room . give strip - view non - smoking standard room 2 queen size bed . room big . stay number hotel coast , would rate room big standard hotel room stay . view strip also nice . however , brass collar lamp next window break . inform housekeeping problem say would send engineer fix . go dinner . eat hotel night . several people know eat buffet restaurant hotel night tell we food good . get back room evening , see engineer put paper tape around broken brass collar lamp hold . engineer , would replace lamp least fix insulate plastic tape . tired , complain housekeeping quality repair , figure stay several day . merely tell son touch lamp . wife take shower tell bath tub drain water well . tired call houskeeping , go bed . bed pillow average term comfort , bed sheet small queen size bed . air conditioner rather noisy . get use quite soon fall asleep without trouble . next morning , take shower find water rise half inch bath tub drain shower pool water foot . water hot enough water pressure quite good . shower , call housekeeping complain water drainage problem say would send engineer fix . put $ 3 envelope marked & quot ; House Keeper & quot ; next tv leave sight seeing . return evening , bath tub drainage problem fix . addition , housekeeper replace plastic water cup paper coffee cup use . call housekeeping complain water drainage problem tell send engineer next day fix problem . second morning , leave $ 3 house keeper go sight seeing . return , drainage pproblem stay water cup coffee cup replenish . call housekeeping complain drainage problem . person take call recognize voice say would write big note engineer . request send engineer follow day fix problem . go downstairs meet 4 people know dinner Prime Rib Loft ( sort second floor hotel ) without reservation 7:30 pm . Prime Rib Loft connect casino without wall , notice cigarette smell Prime Rib Loft strong casino . might cigarette smoke rise air smoke concentrate loft casino downstairs . hostess tell we open table 7 time would wait till 8:45 pm next table . cigarette smell strong , want dine . instead , go Canal Street downstairs . Canal Street restaurant inside hotel fringe casino area . Canal Street connect casino close door , cigarette smell inside Canal Street much light casino area registration area . prime ribs sea bass , good . service also good . third morning , leave money house keeper happy house keeper 's repeat failure replenish cup room . go sight seeing . return later afternoon , find drainage problem stay . situation worse last two day house keeper replenish cup , also leave we fresh roll bathroom tissue . notice lack bathroom tissue fourth morning , call housekeeping tell staff unfixed drainage problem lack water cup . offer send engineer right away . tell bother check next day anyway . tell job way hotel engineer , would fire long time ago . also wonder engineer job . tell need water cup . say would send someone bring we new water cup . return room dinner , see stack 10 precious , plastic water cup room . finally , least one complaint result resolution housekeeping problem . stay Orleans Hotel , know plastic water cup could precious . get fourth morning 7:30 , notice house keeper leave we fresh roll bathroom tissue . patience run , call housekeeping demand someone bring we bathroom tissue . say someone would bring we tissue shortly . 8:10 woman bring we two roll bathroom tissue . 8:17 , somebody knock door . recognize house keeper every morning time past several day , house keeper ( one every morning ) knock door . could figure house keeper want wake hotel guest early every morning . may anxious get room clean early could go home early . patience run concern housekeeping Orleans Hotel , open door ask house keeper want . dare tell want clean room moment . also apologize either . walk away knock door room next we . poke head hallway , raise voice say : & quot ; 8:17 , god sake ! & quot ; look direction facial expression tell likely understand say . waste time , close door , take shower pack trip home . check go smoothly . wait 3 minute turn check counter . opinion , Orleans Hotel definitely housekeep problem . want hotel low rate , willing put housekeeping problem , think Orleans would work stay Las Vegas . room size low rate could beat strip hotel . room clean room stay 3 - star hotel across country . 
 Mar 27 2008 	 everything strip 1/2 	 book room directly hotel email receive Clubcoast . bed king size comfortable , heat air conditioning control thermostat set desire temperature . room overlook pool , spacious quiet . pay $ 30 1 night Easter Sunday . casino everything Strip hotel . property several different restaurant , dine comment food . friendly staff room clean good working order . 
 Mar 24 2008 	 Fab Stay 	 return 7 night stay Orleans thoroughly enjoy it . this first time Vegas . check - in quick , ask high floor strip view fortunate place huge room 15th floor fab view strip especially night . room 2 queen bed comfy 2 seater sofa , chair coffee table . the bathroom spacious , shower bath powerful . standard cleanliness exceptional . towel large fluffy complimentary toiletry good standard . room quiet never hear guest . TIP - always place & quot ; disturb & quot ; sign door otherwise maid knock 7 am clean room ! .The shuttle bus great , frequent drop side Bills gambling hall middle strip . never wait 10 min . facility hotel adequate . $ 5 daily resort fee ( per room ) include 30 min internet access ( business centre nr reception ) however ewa much long someday one ever say charge anything ! free use gym , free local telephone call . the choice eat place within hotel good . eat Courtyard Cafe good . play slot do not clue gambling ! cocktail waitress much frequent taking order casino Orleans casino visit . the pool area really well keep lovely relax environment , provide free towel . resident enter pool area . security guard always sit lift one get guest room without show key card . there great shop within hotel purchase toiletry , gift , snack well alcohol terrific price . chill bottle decent rise wine $ 4 ! morning check - out ( 12.00 ) leave luggage bell boy eat lunch hotel step outside take cab back airport , always cab wait . we absolutely love Orleans save approx £ 200 stay strip hotel . nice get away noise hustle bustle strip . 
 Mar 24 2008 	 Great Value Great Rooms 	 head Vegas every six month , not stay Orleans 5 year . mom visit holiday , decide head Vegas day . usually like stay different place time , tight budget holiday , decide go cheap . $ 25 / night ( season ) thought would try Orleans . not remember ever bad experience , prefer stay strip . everything perfect . room big , comfortable , clean . wait staff attentive , drink never empty . bartender friendly , bar drink overly price ( like strip casino bar ) . plenty choice meal , several restuarant . the shuttle run every 30 minute , stop midstrip . actually find take taxi back Orleans cheap stay strip hotel cab driver use back road , Orleans locate mid - strip , off - strip , almost direct shot anywhere strip . it November , pool cold , , pool area hot tub open , really appreciate like sit outside read daytime ( & quot ; recovering & quot ; ) . all - in - all impressed Orleans , would recommend anyone visit Vegas . 
 Mar 18 2008 	 Orleans - big room good value money ! 	 please note review base June 2007 detail good . this 2nd time stay Orleans must say extremely good value money . stay 6 night ( $ 40 per night ) .I ask complimentary upgrade use $ 20 tip do not work say room fully book try tomorrow . give back $ 20 . do not bother try room book good enough anyway . however manage get $ 5 per day resort waivere .... result ! room quite big - 450 sq ft . clean regular complaint whatsoever . able hear thing outside room wall quite thick . the buffet good definitely well Paris hotel ! minimums casino table low make enjoyable . cocktail waitress pretty strip hotel also quick service . pool average ... nothing special . the hotel strip problem free shuttle service strip run every 15 30 min usually time . I would definitely recommend hotel tight budget want try hotel strip . stay Ballys 4 night Orleans must say Orleans much well ! next stay would venetian summer expect big thing : ) 
 Mar 18 2008 	 good value 	 hotel good value . bit warn place room clean staff attentive . would stay future . slightly strip cost $ 10 - $ 20 way cab strip . 
 Mar 16 2008 	 favorite yearly trip Vegas 	 ok everyone try one BIg Strip hotel get system . go Vegas frequently stay ! strip u get easily . room basic , clean comfy . room service yummy ! spa workout room pretty good . ' ve several massage Orleans ok , be hard find good masseuse . eat establishemnt good Orleans . not use hotel amentite . 
 Mar 14 2008 	 great hotel price ! ! 	 not understand people complain hotel . cheap hotel close strip . expect Mandalay Bay . ' ve stay Riviera Flamingo similar . room large yes need update , everything clean . two bed . first one door far comfortable second bed , wonderful . a / c loud louder hotel price range . love give white noise sleep . CITY .. stop complain can not sleep total silence . shuttle always timely never problem full . super convenient . drop right cesar palace . Courtyard Cafe hotel BEST sticky bun french toast ' ve every . ( well ' ve actually never see 's actually first ' ve ever ) fantastic . one problem , hot water 20 minute 11 pm Tuesday . call front desk say fix leak would back 20 min . promptly . 
 Mar 11 2008 	 Orleans pass test 	 usual , find Orleans one good value Las Vegas . big room , clean , good gaming odd , lot , far enough Strip convenient . strong selection good restaurant . movie theater , bowling , . smoke removal problem , discontinue guest coupon book . 
 Mar 9 2008 	 Excellent stay Orleans 	 absolutely love Orleans . value touch strip property . rental car navigate 2 mile trip LVBLVD really issue . find staff friendly helpful . housekeeping excellent . parking plentiful . standard room huge . hotel exceptionally clean . negative find : 1 . french Market Buffet mediocre good . 2 . room could soundproof little bit well . though great off - strip property . 
 Mar 8 2008 	 wow could not beat price . 	 find place stay cheap hurry book thru i4vegas.com get room $ 33 Thurs $ 54 Fri Sat nite . ask fridge hold medicine , prompt friendly . $ 5 resort fee entrance spa fitness center use . fee also cover local phone call coffee maker computer useage business center . say get 30 min free computer use , DH go waaaayyyy time not say anything . room nice clean , dd wear white sock still pretty white walk around room . yes , bed bit hard , clean . n / s king , desk sofa another chair nice coffee table . bathroom nice goody . Shampoo , soap , conditioner , lotion , shower gel mouthwash . shower cap ! safe bathroom plenty big secure electronic . nice view strip . although , would try get room bit elevator , drunken fight go around 4:45 - ugh . housekeeping not quite understand say need shampoo towel , keep try make room . sign club card , get coupon free breakfast lunch buffet . breakfast buffet pretty average , powered scrambled egg , busy omlette station . impressed sweet potato pancake . parking bit difficult , attribute large convention valet not bad . would say hotel good someone Vegas wheel . shuttle drop Bill 's ( formerly Barnaby Coast ) across Caesars . wait food TGIF bit much . apparently brand new menu still learn cook . never get chance try slot . line check pretty good check , go check late Sat afternoon , line long . apparently , bowling center child care center guest use . dd young , must 2.5 potty train , may helpful other . call service Concierge another property quote $ 45 hour , 4 hr min . price , feel like get excellent deal would not mind stay Orleans . 
 Mar 4 2008 	 good choice Strip Hotel 	 stay Orleans past know nice property large clean room pleasant casino . check smooth recieved room 10th floor strip view . clean room , good climate control , safe bolt . read previous review safe secure . address . the gaming quite prior Boyd take , table busy , enjoy VP bar good bartender service . I rent car , recommend stay strip . allow much flexibility shuttle strip provide . eat late night coffee shop service quick pleasant . also eat Miguels 1/2 price appetizer . service nice , food good . ' ve good experience dinner past . Overall Orleans good choice want strip hotel flashy like Rio Palms , dump like terrible . 
 Mar 3 2008 	 great hotel price ! 	 fifth time Vegas . stay Bellagio , Mirage Stratosphere past . spend little time room , room want hotel room - clean , roomy , good safe , coffee maker , iron , etc . rest time go whatever hotel want gamble go see show . price pay take taxi want go Orleans add large amount money save booking room still come much cheap staying strip . still spend time strip hotels day pay huge room fee stay there . the Orleans free shuttle , try it . we arrive late Thursday night wait 10 minute check - in . room pre - booked ( King nonsmoking ) available , give we offer switch 2 queen n / s well view . fine . the room safe plenty big ( laptop fit inside ) . business office use computer ( charge per minute print ) . want print boarding pass use business office , notice machine could use ( fee ) boarding pass check - in main casino way elevator . it busy weekend ( Nascar ) could always find room table game ( even $ 5 minimum black jack ) . hotel live band night . cover music ( 70 , 80 , 90 , current ) good . the 24 hour courtyard cafe excellent breakfast either line short one go . Miguels 99 cent margaritas half price appetizer 2 - 6 . great deal . appetizer good big enough meal . spend total $ 12 get 2 margarita , nachos queisedas . the sport book nice enough . plan go another hotel want nice one , meet need . pay $ 2 Daily Racing Form , turn back do , get $ 2 back . check easy never wait line catch taxi . not swim pool ( still little early season ) , go look area sit chair seem like nice pool area . our room clean promptly day . toilet , shower bathroom mirror sink area one , kind stink someone go bathroom , can not really hair / make - up whatever . also use slide door bathroom area not great . shower nice hot lot water always important ! price pay , satisfied Orleans . next time go Vegas , get good price , would definately stay . 
 Mar 2 2008 	 go downhill 	 stay hotel 2004 2005 . enjoy well decide trip 08 would . room clean wear . bed hard . lot complaint key room work properly . also happen we . go spa message therapyst late appointment . quit regular time . use hot tub steam room need mold knock . please note not complain issue minor mount large issue . get pay . pricey limited budget 's clean enough . stay away spa . machine also tight . 
 Feb 29 2008 	 little far 	 thought would book hotel try save pound , backfire slightlyFirst far hotel go ok . huge complex completely ( majority hotel LV ) . clean room service price reasonable . casino like every casino LVHere 's go wrong . hotel around 40 minute walk strip , summer heat easy could manage oncep- slike walk next motorway whole way ! around $ 10 taxi strip- journey twice day . think hotel slightly cheap strip hotel , however fasle economyI would give hotel 75/100 cleanliness , location staff friendliness 
 Feb 29 2008 	 Roomy quiet 	 stay come Vegas Las Vegas Bikefest motorcycle rally . room large hotel quiet . complaint ask smoking room king size bed arrive could provide non smoke two queen sized bed . couple mile strip liked rent Harley want easy access parking plus somewhere could keep eye bike . staff pleasant friendly housekeeping speak whenever see hallway . would stay . 
 Feb 28 2008 	 good stay 	 enjoy everything hotel . room spacious , housekeeping prompt , food good staff courteous . check - in list 3 pm let check 9 am . pay 50 dollar night seem like rate going go later well check - in soon . kid hotel mostly buffet area . low bed little hard place smokey . would love return hotel . 
 Feb 22 2008 	 still one good value 	 orlean one good choice valley good quality accommodation , amenity service competitive price , require car since couple mile Las Vegas Boulevard ( though free shuttle service centre LVB ) . parking plentiful involve long walk hotel tower . dining choice many varied , reasonable standard although unremarkable . Prime Rib Loft good value mid - range offering . 2500 + room tourist path , deal although hotel popular regular visitor . available & lt ; $ 80 bargain , season away major convention go low $ 35 direct ( undisclosed ) even less consolidator . regular room 500sqft writing desk , separate seat area easy chair , three seat couch marble table , plenty storage , conventional tv armoire setting , king two queen size ( comfortable ) bed , bathroom hang storage , granite counter top , separate toilet shower , slide door main room . only couple criticism : pillow particularly poor . air conditioning stand alone window noisy - problem winter troublesome otherwise . may find New Orleans theme little cheesy , context Las Vegas far offensive . interestingly common Boyd property , soundproof hotel tower Orleans exceptional . highly recommend budget conscious traveller expect good , reliable full service hotel standard . 
 Feb 21 2008 	 implode already 	 write hotel . stay Feb. 13 - 17 19th floor . plus side , 's clean shuttle service good ( change mind bus go ) . front desk admit bed bug never see . not concierge service hotel , although people room say help refuse book tour . lazy could . go another hotel get co - operation . nickel dim we . take first night credit back less money can not find 's wrong book . bartender rude ( especially complimentary ticket drink ) . food terrible restaurant go hotel . try couple . see anyone win table slot . everyone admit tight hotel . plus side , room cheap really quiet , although ton kid run around . agree get $ 5 day tax ( resort fee ! ! ! ) take ( ask nicely ) disrespectful later tell next time thing would different . way talk guest . would stay even mean pay money somewhere else . never know , next time may bed bug ! yuck ! 
 Feb 20 2008 	 nice 	 spend long weekend Orleans Las Vegas . first time stay Strip nice . room large , king - sized bed area sofa easy chair . bathroom plenty space nice toiletry , keep clean . try cafe Rib Loft excellent food . price weekend lot less expensive anything would find Strip . call housekeeping clean blanket prompt bring we clean one apologetic dirty blanket . would recommend hotel would stay . 
 Feb 19 2008 	 February Good Time 	 arrive Orleans Wednesday February 13 . check fast friendly . 19th floor . room nice clean . stay Orleans last five trip Vegas , tell feel place . use town people ( Golden Nugget ) decide give Orleans try . town two year . Wednesday windy loud 19th floor wind finally calm . remote work call room service new remote room within 10 minute . eat five eat establishment - compliant . stay Orleans , plan next trip . 
 Feb 16 2008 	 Great Las Vegas Hotel 	 take Valentine trip Las Vegas stay Orleans . satisfied hotel . room spacious include sofa chair . bed pillow comfortable . the important thing CLEAN staff quite efficient . check check easy quick . mexican restaurant casino floor . 2 - 6 pm appetizer half price margarita 99 cent . else get quesadilla $ 3.50 , plus tasty ! ! ! , stay Orleans enjoyable will go back . 
 Feb 13 2008 	 Hated Orleans ! 	 return back stay Orleans . cheer competition course 5 day . lot teenager child competition top already numberous amount child vacation family . first day get Orleans , arrive 6:30 morning . could not check later morning , 10 a.m. , front desk we turn luggae bell hop hold room bag would deliver room able get room . bad vibe come instantly . luggage group put designate room , everyone scramble get suitcase . someone group bag lose ask bell hops rude say wait another hour look bag ! smell hotel herrendous ! smell stale cigerette smoke sewer ! sewage smell come angle ! bathroom sink water smell like come straight septic system ! mention hallways public space smell llike sewer ! bunch people group cought bug . hotel staff claim not food , something air conditioning . someone group report burn smell come outlet wall . report twice problem look . , good one yet , child not allow stand close poker machine slot . , escalator go arcade movie theatre 15 ft . away machine ! family would wait bottom escalator people security make move else rest party ! service suck , housekeep not good job make sure enough towel leave room front desk people move slow impossible get information ! 
 Feb 3 2008 	 Tired Vegas 	 First , would like say stay Orleans NYE 2006 . first night arrive , discover bed hard wake sore back neck . upon report problem reception , immediately apologize , moved & quot ; soft & quot ; room comfortable bed , trouble over . I book another stay Orleans package deal USAirways last weekend January 2008 . prior confirm reservation , call Coast Casinos reservation line ask bed situation . representative inform every bed Orleans Casino recently change replace comfortable pillow top mattress , problem . upon arrival , check bed first thing could not believe mattress hard ! call reception , time 's & quot ; nothing & quot ; since Casino new management ( Boyd Gaming ) bed room . call USAirways try upgrade different hotel , & quot ; nothing could & quot ; it . after toss turn night wake stiff back , Saturday around 7 a.m . keep hear slamming rattle sound every 5 - 10 minute . another hour , convinced room next hallway door constantly open closing , look hallway , number room . apparently , door slam shut rattle back forth time close completely . exhausted first night Vegas , call Orleans reception . & quot ; nothing do . & quot ; call USAirways escalate situation supervisor , informed & quot ; nothing do . & quot ; go business center , look available hotel book second night Paris Casino . , call Paris Housekeeping tell could put & quot ; cell foam pad & quot ; bed feel hard . take , work perfectly second night . unfortunately , forfeit second night Orleans since & quot ; nothing anyone could do . & quot ; be accustomed & quot ; pillow top & quot ; mattress need soft bed quiet room sleep well , Casino likely leave disappoint . hotel Strip expensive , always stay one well service accommodate need next time . lastly , ' m attach picture & quot ; pillow top & quot ; mattress assure would sleep book reservation . honestly , law ! 
 Feb 1 2008 	 great Stay 	 recently spend 2 night Orleans complaint . check - in quick . room large . alone two bed , couch chair . bathroom also good size . room include free safe internet access price . park big issue since slow time lot never full . hotel plenty eat option free shuttle strip not car . pay $ 60 per night felt get good value $ . would return future . 
 Jan 29 2008 	 Orleans clean basic accommodation 	 return three night . Stayed Orleans first 2 night . first good : check quick efficient . staff friendly . room spacious like pic website . lot dining option property . not car , still eat . ( car strip shuttle available need . ) bad : bed comfortable . hard mattress comfy many hotel stay . pillow BAD . kind like airplane pillow steroid . ask three deliver room courteous housekeeping staff member bring promptly . , bet pay buck pillow . bring ! bathroom slide door spacious enough , door potty room sink privacy . sure close bathroom door night else wonder light stream bathroom morning come . come cute little window bathroom ! overall good budget hotel book hotel several time play . time could win nothing several day slot playing . ton video slot people seem win nothing . know must pay , not trip . busy good poker room . overall good value , stick strip next time hotel portion trip unless want give really really cheap rate . 
 Jan 27 2008 	 good Value 	 nice property , little old good value price . room big nice . drawback weird smell bathroom sink heating system noisy ( not need summer ; ) .They shuttle go strip convenient not want drive night . unfortunately , often full . 
 Jan 21 2008 	 ew ! Bed Bugs ! 	 book hotel company meeting . arrive , casino registration desk look ok , like strip hotel much nice . the second night stay , wake find bed bug shoulder . immediately go back bed find two . contact hotel desk - seem like probably get time not really react problem . move another room ( stay entire company ) . feel like thing crawl rest stay . the bathroom kind dingy - sink room shower two people really could not get ready . mold grow ceiling next bathroom door ( assume people keep door shut take shower ) .The bathroom door would not lock either . overall impressed . move NY NY next day ( time ) MUCH well experience . 
 Jan 13 2008 	 large room Beautiful Decor ... 	 husband & amp ; stay Orleans 5 night , first trip Vegas want see strip spend alot time / money wait shuttle via taxi . nothing bad say Orleans . go Bowling , movie , spa , sauna , & amp ; plenty dining choice without leave hotel . Excellent Hotel ! ! ! would stay close strip next trip .... 
 Jan 12 2008 	 good value - large room 	 already Las Vegas condo need stay 1 night . Orleans great rate 1 night need . room large . nice decor . not expect anything like Wynn 's . stay hi end hotels strip . average price pay . room clean . noise . smell smoke . housekeeping provide extra linen request . front desk people friendly helpful . make reservation tell resort fee . make clear . ask fee could waived say . front desk sign post advise $ 5 resort fee . fee include use pool , business center , free local toll free number , room coffee . a - list hotel strip charge $ 1 per call phone . internet free business center . use unlimted local call dial internet access . condone resort fee always ask waive . buffet average low budget buffet . eat Sahara buffet early week . prime rib dining room good . room coffee Starbucks quality . machine new require run many cup water thru eliminate plastic taste . coffee seem hi quality . comparision , coffee Marriott Hotel room well , still near Starbucks . want good cup coffee , go lobby buy Seattle Best . cost SBC hotel street price . find case hotel . hotel provide transportation strip , wait long . much well car stay . summary , find hotel pleasant good value would recommend stay . 
