Best 	 stay Langham 5 day Thanksgiving holiday . good service moment walk door check . place clean , bed great , service amazing . ask bucket ice one time , get 5 minute . watch service charge , though . order room service , will get service charge well tray charge . coffee water cost 15 GBP . also charge use internet - 7gbp 40 mintue computer center , 20 GBP hook laptop . need internet , 's internet cafe 2 block away 1gbp 1 hour . need water ( beverage ) , 's newstand block away leave side Regent St , 1.5l evian cost 1.45gbp . avoid eat hotel 's expensive . be many good restaurant within walking distance . Soho 20 minute away foot ... will not even feel long since be many thing see way . 
 great service amazing room 	 stay Langham first wedding anniversary . room amazing , staff great make we feel really special . there two thing let hotel , long wait cab fact key card disable first night . oh , watch service charge , be add * everything * 
 good London hotel stay ! 	 moment arrive outside hotel 's grand facade , feel though special treat ... nothing Langham disappoint . book room 2 night celebrate partner 's birthday . room upgrade arrival , receptionist wish happy birthday ; escort suite . find fresh flower fruit , gorgeous little cupcake ' happy birthday ' ice plate , handwritten welcome manager hotel sumptuous look bed would ever see ( not disappoint either - like sleep air ) ! set tone wonderful weekend . breakfast morning - room , ' the Landau ' - meal fantastic . ambience Artesian Bar wonderful ; champagne chill perfection . nothing much trouble . really treat like royalty . location hotel fantastic ... couple minute walk Oxford Circus tube , able walk theatre , good restaurant , shopping Regents Oxford Street . could not ask anything , not want leave ! disappointment forgot take swimwear , not experience spa . will save next time ! 
 Apr 10 2006 	 great night away 	 decide Saturday night town stay read hotel review . overall enjoyable stay . service excellent , quick friendly . ask additional item room housekeeping deliver 5 minute . dinner & quot ; English & quot ; breakfast Memories dining room . dinner enjoyable good informal service inexpensive . wine list price particularly high side . breakfast excellent : remember high quality variety anywhere stay . buffet contain exactly want prepared cook specially you . the room quite spacious London bathroom shower excellent . only downside distance sound music midnight Lloylds TSB sale function ballroom . could hear 5th floor ! wife use beauty message parlour . treatment good equipment ( e.g . pedicure chair ) date location type . we shall back get good rate . 
 Mar 20 2006 	 highly recommend 	 double twin room share daughter surprisingly spacious , well appoint good condition . large bathtub excellent shower equally spacious bathroom . rate include & quot ; continental breakfast & quot ; fact complete , delicious breakfast . staff uniformally pleasant helpful . location short 2 block Oxford tube stop convenient . assume rate not go roof , would certainly book return stay . 
 Mar 5 2006 	 pleasantly surprised 	 Travel frequently London want give Langham try . pleasantly surprised : hotel nice , great entry , large room bath , friendly staff , etc . thing not like nothing hotel . tired walk Oxford Regent Street return hotel -- massive number shopper crowd get past . crowd not bother , hotel quite nice . good price would consider stay . 
 Mar 3 2006 	 good comne across London 	 pleasant stay Langham . hotel ideally locate business traveller tourist alike . smooth service check checkout , good room service , nice clean large room , lot amenity , comfortable bed would expect member " Leading Hotels World " .Since member " Leaders Club " , get room upgrade nice . spa large fitness pool facility also large London standard although closed renovation stay . try restaurant bar quick peek , say look really nice try next time . sure , hotel bargain , none nice London hotel get pound many luxury accommodation . I definitely return . 
 Feb 21 2006 	 Insulting treatment 	 good friend check two night stay & quot ; upgrade & quot ; chance arm request friend birthday . well , room upgrade I m glad get one . tired need referbishment . on inspection discover bath full -- - hair unwrapped boil sweet floor . very poor five star hotel . when reception inform offer we drink bar accept decide avail go out . after swim discover bath still clean get frustrated dial direct management . her appeasemaent & quot ; upgrade & quot ; breakfast full English . I unaware rate include full English state & quot ; breakfast include & quot ; .Eventually room clean go lobby drink . we lead bar sit down . we tell choice soft drink only . I insult beyond belief . my friend 38 year old ! ! decline offer . breakfast good selection hot cold available guest . the management upgrade breakfast nonsense . the follow day 3 pm room have not service check bag bring looby promise . I rename Langham Member Misleading Hotels World . 
 Feb 13 2006 	 excellent hotel location 	 daughter buy stay christmas present show great weekend . say hotel . beautiful room reception staff friendly helpful . gym spa also good . thoroughly enjoy stay hotel would recommend highly 
 Feb 5 2006 	 great Stay 	 thank good price ( 11 pound ) decide go hotel . first go category . surprise quality atmosphere palace . arrive receive superior room instead standard . full - equip luxurious furniture . ( play station , internet Pay - tv ) . get everything need , not take toothpasta , comb , .. ) , provide . room large , comfortable kingsize bed , desk , table , dress large bathroom . the swimming pool beautiful fitness area . also cosmetic shower cream , ... morning receive free newspaper . the hotel close Oxford Circus conveniant want go even walk shop . the staff please welcome offer quality service ' ve never have . so afford hotel good price , not hesitate enjoy wonderfull stay Langham hotel . 
 Feb 5 2006 	 wonderful hope stay 	 lucky enough receive night 's stay present say brilliant . service unbelievable , room bathroom amazing , everything could want 5 * hotel . I hope money stay someday ! 
 Feb 2 2006 	 well far 	 stay one night last week , excellent though pricey well value many 5 * london hotel . excellent staff service though feel bed little hard side would like see modern shower unit fit . room service well come across UK beware automatic mini bar .. easy get charge look . need refridgeration medication kindly put mini fridge room ... that s service ! ! wonderful breakfast spread superb cocktail . hiccup relate panic luggage leave concierge that s something happen many .. hope . 
 Jan 30 2006 	 well far London 	 stay twice hotel far good London . Pricey ( not London ? ) , lot amenity include , value money bad . good West End location , think central . good size , comfortable room . good service . definitely good choice negotiate price . 
 Jan 21 2006 	 good hotel rather 4 5 star ... 	 friend stay Langham 10th dec- 15.dec . good hotel , rather 4 5 * . location perfect shopping , oxford street 2 block away , short walk Covent Garden . room hallway need upgrade . however get new crisp sheet every day , although bed bite hard . breakfast wonderful , resturant colonial charm , excellent food attentive staff . would recommend Langham get good deal , full price ` worth it . Bergen , Norway 
 Jan 19 2006 	 beautiful hotel 	 stay Langham New Years Eve boyfriend , really wonderful time . check smooth move quickly . choose executive room king size bed marble bathroom . beautifully decorate homely hotel room could ever ! think morning paper offer turn bed nice touch ( although imagine almost expect , 5 * hotel treat ! ! ) also provide bathrobe big pair slipper ' ve ever see life ! everything lovely clean , complaint shower unadjustable low wall anyone 5 ' 8 ! venture bar evening , service slow less attentive would like , unfortunately often attitude encounter female early 20 's . , staff pleasant efficient , cocktail great ! although eat restaurant , hear report food lovely . personally recommend Sri Thai Soho food gorgeous service excellent . I would definately return Langham try spa take advantage brilliant location , stone 's throw Oxford Street , would not hesitate recommend . lovely time ! 
 Jan 18 2006 	 pleasant stay 	 Langham start life hotel mid - nineteenth century , use studio BBC , revert back . ( nicely renovated ) .It locate couple minute north Oxford Circus , good shopper central tourist ( barely mile Regents Park north , Picadilly & amp ; Trafalgar Square south ) .I stay one night conference . find staff excellent , without exception : pleasant , efficient , warm helpful . food good , room generously - sized central London standard . would definitely stay again . one gripe , charge people use gym already pay top notch seem bit mean ... 
 Jan 9 2006 	 memorable Christmas 	 spend lovely Christmas Holiday Langham Hotel London . we stay 11 night Langham Club floor additional amenity come upgrade well worth price , consider everything London sooo expensive . Langham Club include breakfast , afternoon cake sandwich evening hot cold munchie drink well ! room good size , well equip , small sofa arm chair , beautiful marble bath . staff gracious helpful . location wonderful shopping,2 block Oxford St. Oxford St. tube well . a nice surprise Christmas Stocking & quot ; goody & quot ; leave pillow Christmas Eve ! extra touch , quality room , graciousness staff , Langham Hotel surely list return visit . 
 Jan 1 2006 	 worth every penny ! ! 	 return home stay hotel last night feel write review say lovely time partner stay hotel new year eve . spend lot time deliberate hotel stay London ' m 100 % happy choice . staff helpful friendly , nothing much touble . room beautiful . swim pool also delightful . reccommende hotel other town . pay £ 175 1 night worth every penny . 
 Dec 26 2005 	 will go 	 yeah , room bit smallish , clean well appoint . the service terrific staff , multi - national gregarious . the price ok location , within pretty easy walk well shop London . therefore require take wife return . one thing - cab ride Gatwick one half hour . be 1.5 . not let anyone tell otherwise . take we long Sunday morning traffic . 
 Dec 15 2005 	 nice place - shame reception staff 	 familar good hotel London , decide give langham go change . hotel nice - elegant central . good stay , also entry club bar , free champagne food ( free house champagne Laurent Perrier - nice ) problem room rude reception staff . pay around £ 220 vat two room book . friend 's room twice size , keep wait 1830 room , someone ill . room end corridor bed end nearly wall begin . assume ( never assume anything ! ) would give discount cupboard room , receptionist none deal we brusque , rude manner . go stick Sanderson Berkely service recieve otherwise , good hotel . 
 Dec 13 2005 	 great location .... 	 want stay hotel near shopping centre London , Langham ideal choice ..... prepared keep put hand pocket . everything extra charge , even item would received free hotel call 5 star one ' Great Hotels World ' . water dining table cost extra , bicuits coffee / tea room , use leisure facility additional cost , whisky ( nothing special ) ginger charge £ 9.00 , etc . , etc . hand , staff extremely helpful , nothing seem much bother . Langham great 4 star hotel , certainly not compare ' Great Hotels ' Claridge , Paris , Michelango , New York . try , aware ! may expect ! 
 Dec 6 2005 	 love 	 wife stay quick work / pleasure get away London . room nice , staff helpful gym / spa first rate . pleasant surprise high quality dinner Memories hotel restaurant . exhausted decide eat instead venture . fantastic meal . Langham first rate every respect . would highly recommend . 
 Oct 8 2005 	 Nice price 	 nice clean hotel great restaurant facility . room great size miss edge really elevate hotel full potential . would stay right deal available . 
 Sep 25 2005 	 Great Choice 	 Langham great hotel great location . one block south put start tourist zone shop . one block east put quiet residential area nice restaurant choice . block west business area good eat shopping choice . room average London small quite plush comfortable . plus pool - nice place relax full day walk . would definitely look stay . 
 Sep 21 2005 	 good hotel london 	 go london always stay hotel last time stay claridge change opinion worth extra cost . the Langham always mind good hotel london friendly staff superb decor comfortable room . it do not matter always feel million buck arrive outside superp hotel . hope enjoy stay doubt will . DS 
 Sep 15 2005 	 Outstanding service ! excellent location 	 find staff Langham outstanding . travel alone feel though everyone want take special care . Breakfast Langham little pricey find cost room reasonable compare hotel category cost breakfast not bother . room well appoint convenience would expect fine hotel . surprised find not need convertor battery charger course , hair dryer . would definitely stay Langham ... become home away home 3 day . 
 Sep 14 2005 	 Splendid 	 excellent Langham great location make access Oxford Regent Streets easy walk ; even Soho West End manageable without cab , give suitable shoe / sock combination . impressive building interior well match staff exceptionally courteous efficient throughout stay ; something sadly guarantee London , even hotel calibre . room nicely decorate traditional style , good size comfortable bed , room clean , bright airy effective aircon . seek minimize cost additional extra , prove plenty local establishment catering breakfast , drink dinner , despite opinion previous reviewer ; Langham 200 yard Oxford Circus , anything far away ? certainly go back become one visit favorite London hotel ; search worthy successor Waldorf since ' disappointing makeover , think ' find . 
 Sep 13 2005 	 L stangham flaw 	 stay three night way home 2 wk . Europe stay 5 star hotel . upon check tell reservation Queen standarde room upgrade King room . room 6th . floor nice vew . amenity beyond . luggage mis- send hotel check 's whereabout several time , arrive 1:00 A.M. call room send . also find room service affordable wjhen use room beverage service . the staff young think account friendly service great attitude . 
 Sep 4 2005 	 Brilliant value money 	 excellent location 5 min Oxford circus tube , stone 's throw cafe , bar , restaurant shop lot city put together . promotional rate hotel exceptional value money - worth upgrade superior / deluxe room . mine 8th floor Mary Poppins rooftop view - v quiet , road noise , v. little neighbour noise . watch 5 star price mini bar , bar restaurant hotel - easy find alternative . can not really comment service use pitstop special occasion love traditional hotel good bet . lover contemporary - place Classic . 
 Aug 29 2005 	 exceptional 	 recently stay 2 child night say good hotel ever stay London Europe . even beat one favourite stays New York boutique hotel business last year . whenever stay London hotel sometimes find staff pretentious aloof . however , staff without exception Langham polite , friendly attentive without invasive . thing impress friendly child generally child friendly 5 star hotel ( always norm ) . facility excellent boy say comfortable bed ever sleep agree . pay extra use spa pool facility get complimentary Elizabeth Arden skin product use price . location excellent lot really good cafe restaurant near . dinner Strada 9 - 10 Market Place one good italian restaurant eat . good quality food reasonably price . overall wonderful stay regret not stay long . 
 Jul 30 2005 	 Great Hotel ! 	 stay four night July 2005 . staff friendly warming . convenient location hotel . I definitely stay ! 
 Jul 10 2005 	 Good Value Price 	 stay 3 night Langham , compare major city world ' ve stay , say feel value cost hotel definitely worth . find location convenient , clean , lobby area nice . extent anything good say . book Hotels , also never use , sure receive one bad room hotel - least assume review like place . hotel management assure we book standard , basic room , receive , even though show confirmation say book superior room . $ 400 night taxis , think ridiculous gouge every turn - pay extra fitness center , breakfast , & quot ; calling & quot ; taxi we instead motion taxi queue directly across street , catch . book Langham want nice , comfortable hotel London feel , room nondistinct impressive least . much , much well value London , would strongly urge look elsewhere unless want spend money without get quality . 
 Jun 27 2005 	 Langham Hotel 	 18 year old daughter spend 6 night Langham early June . could ask nice hotel . room large bed heavenly . eat restaurant , concierge able sell we ticket many London attraction tour . complaint bit far near tube stop- 2 blocks- trouble find resonable place breakfast . settle Starbucks McDonalds . would definitely stay . 
 Jun 1 2005 	 impressive 	 Langham Hotel wonderful every way . especially impressed hotel staff . everyone attentive , courteous , friendly , cheerful could not enough . facility beautifully restore opulent 's people make hotel truly comfortable . next time return London stay Langham -- 's Americans say , & quot ; no - brainer . & quot ; 
 May 24 2005 	 Luxury Great Price ! 	 want book short trip London weekend last minute , really shock price hotel London ... hear London expensive , not realize expensive could saw room go . like stay nice place not want become poor destitute process , search around good deal , stumble upon Langham hotel . among low price category hotel could find , seem pretty decent well locate . still , bit cautious despite good review , think must catch . end , find hotel look . location great , especially shopaholic like , far walk get west end Picadilly Circus . even walk major tourist site like Westminster Abbey hotel . service EXCELLENT ! example , day arrive , lovely woman work reception inform computer system , check - in manually . well , would think would irritate stress ... contrary , extremely cheerful friendly . furthermore , go room , discover give room 2 bed , request King - size bed make reservation . call reception , almost immediately someone came bring new key escort new room . staff , include room service , bell staff housekeeping , courteous friendly ( welcome change cold service come expect Paris live ) . room immaculately clean bed comfortable . , be funny quirk mine , thing really put hotel top fact fully function iron ironing board closet ! obsessive iron , hate hotel either not iron room , iron give triangular piece metal handle warm clothe . honest - to - goodness steam iron . part hotel not check restaurant pool , since busy shopping watch great show West end . ( little story : decide last minute go see Les Miserables ... pass box office Saturday afternoon check see ticket night 's show ( sound impossible , right ? ) . lucke -- able get seat right behind conductor , front row , center . show fantastic memorable part trip . , even not book ticket advance , be worth ask box office . ) finally , thing confirm everything make right choice see friend mine stay ... book room Regent Palace Hotel Picadilly Circus . not pay much , hotel complete dump ! ! ' ve never see depress disgusting hotel . could not understand many people stay ! room tiny dirty , friend go hall take shower use toilet , staff MEAN , hotel absolutely character whatsoever ... like public housing slum big city . , really happy choice , would definitely recommend hotel anyone want luxury accomodation price will not leave bankrupt ! 
 Apr 13 2005 	 warm welcoming . 	 book six room Langham friend 40th Birthday . staff exceptionally friendly helpful , even arrange complimentary champagne ice friend room . use spa afternoon virtually . be five minute walk Oxford circus fantastic shopping . negative comment would price drink hotel . would definately recommend excellent place stay london . 
 Mar 23 2005 	 lovely stay ! 	 boyfriend stay Langham hotel 3 day ( 19 mar - 22 mar ) . book really cheap internet deal Langhams home page ( 99 pound / night / room excl tax breakfast ) . treat extremly well although student book cheap internet ratea non smoke standard room 8th floor ( room 813 ) . room great ; clean proper condition nice view towards small park . bathroom also great condition bathrobe , slipper scale . we also use pool jacuzzi ( charge 7 pound / each ) great . jacuzzi pool ! change room sauna steam room Elisabeth Arden toilettrie available free . gym look nice well , regret didn´t bring gym clothe . the negative thing breakfast include deal . breakfast one morning Memories restaurant . buffé top class , also cost fortune 23 pound / person ! traditional hot meal scrabble egg , grill tomato , bean etc , large selection freshly bake bread , different kind yoghurt , cheese ( feta , ricotta , cheddar , philadelfia , low fat , etc ) , ham , fish ( salmon , herre etc ) last least - fresh fruit ( strawberry , pineapple , melon etc ) . freshly squezze juice . location also terrific , 3 minute walk Oxford Circus bus stop 2 minute hotel . usually stay Baywater area much convinient , since could walk almost everything . also get see true side London live traditional tourist quarter great ! would absolutly stay Langham Hotel viste London recommend ! 
 Feb 5 2005 	 Ostentatiously British 	 stay early 2004 . ' m sure hotel deserve star rating , ideal people want high class service high price . get room substantial discount , although location good room small room service charge extortionate . spacious hotel around London low cost , will not concierge call taxi ! 
 Jan 9 2005 	 good overpriced 	 ok , hotel deserve 5 star , ' m give three sort money be charge room spotless fitting work . yes , be great place stay , dig around lastminute will find place equal £ 100 less . ( Stayed December 2004 ) 
 Jan 1 2005 	 Great Hotel wonderful location 	 great hotel , wonderful location , quiet , nice room espessialy deluxe room . amazing bed . breakfast room small , waiter welcome . stayed time last time 8.2003 . use Hilton , . , top class hotel . 
 Dec 14 2004 	 Great Hotel Grand traditional 	 ' ve stay many occasion , member family , never reason complain service quality room . staff friendly respectful , nice change expensive hotel , door man partial nice car drive something nice prepared questioning veiwing . 's good intention though . great bar , hotels london pay premium , none less 's great atmosphere . room service quick food good quality , breakfast hugly price , go join que starbuck around corner rest guest half BBC coffe cake ! nice short walk main toursit shopping destination , taxi 's plentiful be one walk ! find gym bit joke .. 's good health club , well bet head hotel , take right follow path around come public entrance club , save least 10 minute time wonder hallway ! ! stay late October .. be document one haunt hotel England ... take advantage haloween stay rather cruel manner , frightening life girlfriend .. follow day 's silence ! ! ! lesson learn ! 
 Dec 13 2004 	 solid performance concierge Club room luxury 	 stay 2 night November upgrade Concierge Club room despite book low regular room . ( £ 199 per night midweek ) & quot ; concirege club & quot ; essentially separate hotel within main hotel offer plush room decor lounge room complementary breakfast daytime nibble serve . study geography hotel show concierge club room annex main hotel modern building rear , hence room view whatsosver , despite 5th 8 floor . essentially ' walk ' main hotel get concierge club separate check - in . night stay , room cost £ 330 . room spacious well decorate large bathroom upgrade toiletry . would pay £ 330 . hence £ 130 extra , receive free breakfast upgrade roomroom service punctual , tasty thorough . laundry efficiently handle . concierge get restaurant book local restaurant seem know good place . use Gym pool ( cost £ 7 extra ) find well equip . massage beauty treatment availavle look reasonably price . note also Langham favourable frequent stayer programme reward upgrade additional feature 3 visit ( late checkout water / wine room arrival ) . conclusion , would stay get frequent stayer benefit would pay £ 130 extra concierge room aim expense account exec . though complementary use gym might include concierge room fork another £ 7 pay £ 330 tad rich . would take chance low rate hope upgrade . 
 Sep 6 2004 	 wonderful public area disappointing room 
 Jul 25 2004 	 great hotel 
 Jun 17 2004 	 search Fitness center 
 Apr 14 2004 	 Nice hotel 
 Dec 23 2003 	 high Tea 
 Sep 10 2003 	 Bad ! 
 Aug 20 2003 	 Langham Hilton 
 May 7 2003 	 great hotel 
 Jan 13 2003 	 Perfect shopping location 
 Nov 18 2002 	 horrible service 
 Nov 23 2009 	 ? ? ? ? 
 Nov 16 2009 	 Acogedor centrico 
 Nov 4 2009 	 ? ? ? ? 
 Oct 14 2009 	 che lusso ! 
 Sep 16 2009 	 Hélas trop parfait ! 
 Aug 15 2009 	 ? ? ? ? ? ? 
 Jul 7 2009 	 Hôtel confortable et spacieux au centre de Londres 
 Jan 30 2009 	 Un vero grand hotel con qualche problema 
 Oct 29 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 3 2008 	 agréable Weekend à londre 
 Dec 29 2007 	 Top Hotel mit Spa perfekter lage 
