Excellent 	 Neighborhood nothing much , be great location get everything , near Penn Station Bolt / Megabus stop . new clean . Saturday night noise not factor , base print notice room , & quot ; white noise & quot ; generator room , etc . could problem , especially garbage truck , weekday morning - would ask high floor staying night Saturday . staff extremely pleasant helpful . room decent size NYC . restaurant bar premise ( dinner possibly lunch - breakfast ) . continental breakfast average quality include room rate . 
 Jun 8 2009 	 newly renovate hotel great price NYC 	 husband stay Wyndham May 28th - May 31st [ 2009 ] four night stay celebrate 15th wedding anniversary . call hotel 's 800 number receive great rate -- $ 149 night , include continental breakfast two ( $ 7.99 up - charge full breakfast buffet ) complimentary cocktail drink two ( first floor bar the10th floor terrace ) . room lovely -- comfortable ( new ) bed lovely linen ( yes , girl thing ) ; wonderful bathroom , in - room coffee tea pot , bottled water , flat screen tv , free wi - fi ( bring laptop ) . also , computer internet access available guest ' use first floor behind elevator , outside restaurant . * con * side , room small , par course NYC , two elevator . be ride elevator peak check - in -out time day , would recommend punch button get elevator room . be easy ride back , space available -- wait extended period elevator go space . enjoy hotel 's breakfast . continental breakfast include blueberry bran muffin , fruit ( apple banana ) , cereal , yogurt , toast ( white wheat bread bagel ) , along coffee fresh juice ( orange apple cider ) . $ 7.99 up - charge , * indulge * big breakfast , include scramble egg ( husband say really good ) , potatoe red green pepper onion , pancake waffle , bacon sausage , grill tomato . plan long day tour NYC , highly recommend splurge big breakfast -- 's money well spend . surprised reviewer critical hotel 's location ( 36th street 8th 9th ) . find location convenient -- six block Port Authority ( access affordable bus shuttle major airport ) . hotel , be also easy walk Theater District Theater restaurant , well large selection neighborhood restaurant along 9th Ave . ( walk * * 9th toward theater district ) . location work perfectly we , since use subway traverse length Manhattan shopping excursion bus short trip . I heartily recommend hotel . frankly , Wyndham one nice property Manhattan ' ve stay -- certainly price . truly great deal . 
 Jun 5 2009 	 good hotel - good location 	 stay 6 night get good rate internet . book , description say hotel Chelsea - really . really particular neighborhood . totally agree previous reviewer say great place walk around night . true hotel facility ( free newspaper deliver free internet lobby etc ) room make . find staff friendly helpful quick check . room really well equip little small size . good bathroom , proper hairdryer ( pathetic wall mount one ! ) nice toiletry . think hotel good location not great . 
 Jun 2 2009 	 Great Place Tough Location 	 stay New York many many year . try hotel rate . place great , service wonderful room typical New York City . location good , love walk wife , day time fine , night time tough . enjoy local area place , like 9th street , north 42nd , well 9th street 38th 42nd good , behind port authority . place great want cab night . 
 Jun 1 2009 	 cheap rate worth aggravation 	 clerk check phone entire time , not receive explanation , could use breakfast drink voucher give . hotel 's website say room service available 11 pm ( check specifically arrive later night ) attempt order around 10 pm tell restaurant close . offer see anyone kitchen could whip something , leave fend sparsely - populate neighborhood far after - hour restaurant go . room small good shape plenty workspace flat - screen tv , complaint room bathroom sink literally small sink wetbar home , annoying 's plenty vanity space large sink . restaurant service friendly efficient food pretty decent . forget one item room service order quickly bring . free WiFi throughout hotel nice amenity place charge . neighborhood not much offer way dining , shopping , etc . stay area often never uncomfortable walk around dark . within 10 - 15 minute one walk Korea town , Times Square Chelsea . hotel manageable business travel probably well suit single couple already somewhat familiar area look clean safe place stay cheap rate . 
 May 30 2009 	 one week stay - perfect spot son 's graduaion ! 	 Excellent hotel . perfect location , Penn Central , Port Bus Terminal , & amp ; Times Sq . - near 8th , 2 block subway . fantastic Thai Resturant ( Royal Thai ) across street ( well SF ! ! ) walk everywhere ; heart action without crowd . small room , squeaky clean new - everything work perfectly . small elevator , problem ' rush hour ' . great , new king size bed , big plasma tv , superior air conditioning , well - appoint bathroom . great soundproofing keep outside inside noise room . generous & amp ; friendly staff . almost surly go back visit NYC 
 May 29 2009 	 Excellent Hotel Hidden Location 	 -- wonderful front desk staff ! ! ! ! -- good location Midtown -- quiet area 
 May 28 2009 	 Great Value - Slow elevator 	 pick location reason . open last year , good review , free wireless internet access , low rate , short walk Penn Station ( LIRR train ) . may much within block hotel , plenty see within 5 - 10 minute walk include Times Square . everything go well last minute stay . leave hotel Friday morning grab food catch LIRR train previous 4 day . however , Friday take 10 minute elevator show 23rd floor another 10 minute stop every floor way lobby . end miss train catch another train 30 minute later . never think would complain elevator review , guess . want give everyone head case important meeting . 
 May 28 2009 	 Perfect location NYC 	 stay boyfriend one night April service superb . arrive early check bag quick efficient . upon check - in , concierge ticket complimentary breakfast cocktail ; however , everything make sure get . night free wine taste chat bartender also nice . room bathroom bite tight ( typical NYC ) , bed super comfortable . location awesome ! close Times Square several subway . definitely recommend ! 
 May 27 2009 	 good all - around hotel ( right price ) midtown Manhattan 	 Wyndham Garden TImes Square South ( hotel 's ' official ' name ) conveniently locate block Penn Station close subway line . neighborhood little down - and - out , be fine safe , even night , though look bit seedy light night . lobby small utilitarian . room 6th floor street view ( overlook building behind we , small rooftop seat area we ) relatively quiet city room . window actually open -- rarity hotel room day . nice ! room small king - sized bed fill -- little room walk move . bed high - quality comfortable . mount flat screen tv lovely . Wifi work well . bathroom decent size well appoint , large walk - in shower great water pressure . ( heed warning review use towel front shower door ) . a / C keep room comfortably cool . , good deal $ 125 / night holiday weekend Priceline . thing mar visit hotel actually charge $ 195 credit card have use security upon check - in ( room prepay via Priceline bid ) . not notice have leave NYC . call hotel say $ 195 charge permission check , ensure smoking would take place room ( true -- never inform hold would place credit card ) . desk say would refund money would take day process ! unacceptable . felt dupe still angry audacity charge credit card ( place hold ) . please favor confirm upon check - in credit card charge . 
 May 27 2009 	 Trendy without attitude 	 great hotel ! clean room great flatscreen tv & amp ; Super Comfy Beds ! COOL roof - top bar lot potential become hot - spot . hotel decor new & amp ; modern great photograph city hang around . aside garden restaraunt ( definitely try next time ) serve Starbucks lobby delicious danish selection . staff friendly & amp ; helpful . Valet parking ! definitely stay ! 
 May 26 2009 	 good deal cozy stay 	 score great deal hotel Priceline , especially give memorial day weekend rate . check little hectic arrive early ( like many other ) . lobby area desk small , free lemonade nice gesture . check bag come back noticed reviewer mention .... elevator ! oh word . feel sympathetic cleaner bellhop use . hotel two elevator , one seem constant use employee 's imagine wait busier come go time . stay 14th floor choose walk time wait elevator . sure might remedy situation . our first reaction room small , sit bed minute feel kind cozy . layout plan well , large window definitely help . stay floor terrace fear would noise , could hear single thing street ! even single siren car horn . the complimentary high speed internet reliable extremely quick give free . bathroom spacious , fan though get quite warm keep open use garbage . definitely fold towel place shower door use ( turn show head towards wall ) . otherwise step nice big puddle exit shower . a normal sized laptop fit in - room safe , nice . the area definitely ritzy , traveler look nice polished neighborhood might put , problem whatsoever ( even 2 am ) . need quick bite fast food chain , number available 24/7 . penn station quick walk away , Duane Reade . tasty meal Thai Select around corner 9th street . , would stay . could however understand pay high rate might put small downside ( like shower leak elevator wait ) . 
 May 24 2009 	 two day visit New York 	 Great Hotel 135.00 night . modern lobby decor . helpful staff friendly . room small clean efficient . bed comfortable great view . one complaint , room & quot ; smart room & quot ; feature . two sensor room one bath control bathroom light fan door control main room a / c . go sleep cool comfortable awaken hot sweaty . notice a / c would cycle , independently temp , go bed quit trigger motion sensor . sensor bathroom would leave dark soon start shower . shower wth shower door open lined floor towel . great Green idea need little tweaking . overall would gladly stay , could figure trick a / c sensor 
 May 21 2009 	 Great Location Amenities Service 	 hotel great location block Penn Station Port Authority . block Javitz Center Time Square . lobby full bar , sit area , computer printer , well restaurant ( greenhouse style ) back patio sit dining area . be also decent workroom basement dumb - bell , exercise cardio machine . staff friendly helpful . 10th floor terrace bar amazing view , though be always open -- - seem like be work detail new space . compact room well lay large bathroom , comfortable bed , soundproof operable window , large flatscreen tv , free wi - fi . though small , closet , small dresser , desk bedside table read lamp . build almost brand new . restaurant serve organic food , healthy continental buffet breakfast . 
 May 21 2009 	 Nice Newer Hotel industrial side street near convention center 	 choose hotel due 's age proximity convention center . 10 minute walk convenient . 3 night business serve purpose . stay Millenium two night convention room much big wanted convenience walk convention center . plussess : -clos convention center - new modern - good lcd tv - very close train station - good shower bed - free internet / wi fi room free internet printer lobby ( Hate hotel charge ) - nice deli coffee shop lobby charge $ .54 hot tea WOW- good Thai restaurant right 9th make right turn modern- walk theatre district times square probably fast subway - good internet rate $ 149 trazel zoo inc breakfast Cons- Room tiny wife two piece luggage cramped- two tiny elevator crowd mornings- location - 36th street fine day would want wife walk late night herself- room 16th floor face across another building host party quite noisy one night 
 May 20 2009 	 Disappointing hotel terrible service ! 	 start ? book hotel 7 day read positive review , expect stay clean , modest hotel friendly staff . get cleanliness , staff hotel ruin entire experience we . maybe whole New York attitude thing , find staff downright rude , unhelpful , uncomfortable deal with . we make move room middle night 3rd night stay due malfunctioning door -- help hotel staff though even multiple request , apology either , except generic apology card housekeeper people . take we 2 hour gather belonging , grab luggage trolley concierge , make multiple trip elevator ( slow ! ) make change ... madness start midnight ! stay cap concierge refuse flag taxi we ( & quot ; job & quot ; , hotel front desk also refuse ( & quot ; doorman 's job & quot ; ) , hotel doorman see leave post disappear see we approach ... , hotel laughable excuse staff service level , would strongly suggest future traveler avoid one . plenty hotel choose ... 
 May 19 2009 	 surprised expect 	 reading review hotel decide try . frequent traveler NYC business familiar small hotel room . review not big deal hotel review NYC say room small . read remark location figure not ever big city could not bad , could ? surprise hotel locate lonely street uneasy walk back hotel train . hardly anybody not single shop deli block . female traveler , happy location go back , especially alone . addition alley - feel location , staff seem rather rude helpful . felt bother uncomfortable . come NYC often go back hotel . 
 May 19 2009 	 TOP NOTCH ....... 	 stay hotel 3 night ...... clean , staff top help . food great location excellent . fourth trip NYC definately good value . nice quiet , bed comfortable compare hotel comfortable two . book baseball ticket throught consiere really pleased . convenient helpful . would definately recommend .... happy . 
 May 15 2009 	 Modern hotel central location - good value @ $ 150 per night 	 Booked Travelzoo , good value offer , central sightseeing near W34th Street Penn station subway . travel England slightly unsure expect , happy find . room clean hardly spacious ! two small elevator serve 25 floor result could slow arrive . cook breakfast good value & quot ; stewed & quot ; sit cover long . eat evening meal . staff friendly helpful . would recommend weekend stay ( ) towner . wonderful weather also help ! 
 May 11 2009 	 Competent Compact Close Penn Station 	 bit sterile , room small . Wyndham Garden pleasant , competently - run place , location near Penn Station make ideal place weekend traveller come Amtrak -- fly Newark Airport . good restaurant neighborhood ( try korean place 32nd street ) be get decent access subway . could lot bad ... 
 May 11 2009 	 Awesome trip~ Great Hotel 	 stay Wyndham April 15 - 17th 2009 long weekend site see NYC . hotel great , read mixed review site . street hotel lot old building hotel practically brand new , worry ! great location , easy get everything around city . starbucks lobby , bath bodywork ammenitie room . room small nice , clean comfortable big day walk city . love , would stay anytime planning trip NYC . find hotel booking trip Orbitz . 
 May 10 2009 	 good deal 	 recently stay 2 night Wyndham Garden Hotel world tour trip . I get deal 120 usd + tax Hotwire , pretty good compare usual NYC price . the environmentthough 36th street exciting street Manhattan , convenient , block Times Square , Macy 's , West Midtown location . the lobby / staffthe lobby reduce mininum ( , not sleep lobby ! ) . & quot ; starbuck style & quot ; coffee lobby . the staff , though bit understaffed checking - in , friendly efficient . the roomthe room locate 21st floor , impressive bow - window offer nice typical view Manhattan building . although room tiny ( even NYC standard ) , cosy , provide confortable bed many pillow . travel alone 2 night , size room ok , maybe feel uncomfortable plan stay 1 full week shopping partner ... feature expect : large LCD screen , coffee maker , safe , iron free internet access ( way , mini - bar ) .The bathroom rather large ( compare room ) , feature pleasant walk - in shower . I not know hotel new recently refurbish , generally modern . I use facility ( fitness / restaurant / business center , etc . ) conclusion , feel stay quite remarkable , would probably come back catch good rate ( pay full fare , would maybe choose place & quot ; funky & quot ; ) . 
 may 7 2009 	 perfectly lovely hotel middle City 	 stay May 2 - 5 business pleasure . got room Priceline $ 110 night . although street exactly pretty , easy walk Times Square , theater , restaurant , transportation hub , etc . hotel nice still new - look . room small , New York City ! although small , room pristine , comfy bed , big flat screen tv sharp looking bathroom . room face onto 36th Street could see across river beyond 21st floor . time need anything staff extremely helpful pleasant . I highly recommend hotel individual couple business weekend retreat . 
 May 6 2009 	 good hotel average neighborhood 	 room nice clean , good sized bed good tv . room kind small fine weekend trip . Theatre District much else area , close metro Penn Station . Btw Thai restaurant 37th street excellent ! 
 May 4 2009 	 moderately good hotel depress location 	 stay couple night hotel April disagree previous rave review give mix one . room quite new , clean well equip small climb bed ( move pass ) get side . hallway quite claustrophobic ventilation feel suffocate time wait elevator . while staff quite attentive , other rather unfriendly , specially young morning receptionist , make we feel welcome all . as mention reviewer hotel reasonably close Times Square attraction unfortunately area full cheap wholesale store unattractive building quite depressing return visit area city . would recommend hotel get great internet deal ( ) need close either Penn Station Convention Center . 
 May 1 2009 	 Wonderful Wyndham hotel 	 stay Wyndham Garden Hotel 5 day . look clean modern hotel good price meet criterion . room good size walk shower " Bath Body work " product . facility include 32 " flat screen tv , coffee machine , air conditioning , humidifier , hairdryer , iron , safe ice machine hall every second floor . the room street view fine give time noise level outside bearable night . for continental breakfast include price , include two item selection fruit , cereal , bread ( toast ) , bagel muffin . hot breakfast include upgrade whole selection ( eat much want plus doggie bag need ) $ 7.99 – well worth afford it . staff helpful friendly . concierge - useful source information happy help query . the hotel short walk Penn Station ( absolutely fine walking suitcase ) slightly Times Square . negative – .... restaurant staff busy early morning . two lift / elevator , , busy morning , good take stair save wait . thing free around 10.30 – 11.00am . finally , hotel hold full cost stay credit card point hand check , oppose deposit ; worth bear mind plan use card shopping , activity etc . final amount confirm actually take account check . 
 Apr 29 2009 	 nice hotel small room 	 3 night . hotel new . room clean nice small 2 people.even NYC hotel ( stay hotel trip ) elevator bussy specialey morning . the location good close penn staion medison squar garden nice walk night . 
 Apr 28 2009 	 nice clean hotel midtown Manhattan 	 stay hotel 2 night , via Priceline great rate . hotel fairly new clean important thing . offer free wireless internet room appreciate . able check noon instead wait 3:00 pm check great . room fairly small common New York City . short walk subway Penn Station . the negative hotel were:1 . slow elevator times- 15 min . wait , 2 . street attractive . I would stay get good rate . 
 Apr 26 2009 	 Nice hotel good location 	 hotel great , within walk distance main atraction . close penn metro station nice room . choose room big bed view fine . friend go small bed view tell truth good view although high . free wifi thoughout whole hotel computer downstairs use free charge . two complaint hotel . room shower leak baddly water go bathroom floor . brand new shower , plastic bottom short doesn´t stop water spilling . another pet peve breakfast include room price , get downstair tell allow hot breakfast allow two peice continetial breakfast hot cold drink . felt rip eat one peice toast banana cup tea . tell could upgrade 7.95 point . tell get breakfast include breakfast , otherwise might well go somewhere else ... think count . one last thing mention , biggie get anoye . two lift service lift hurry use stair . long frustating wait morning . nice hotel , good room , good internet great location . even pet pevse , would stay . 
 Apr 20 2009 	 Spotless well design brand new 	 admit bit problem come hotel . want polished pristine . not fancy spotless wear . gravitate towards brand new hotel . hotel exactly - spotless . room beautifully design clear modern line , warm cozy . room small not matter feel light spacious due floor ceiling window . bathroom , however spacious . receive great promotional rate , double bed since fine . two people would cozy ths New York afterall space premium . would rather small well design pristine room dark , large badly decorate one . staff helpful gracious beautiful flower garden back . give low score location be look convention center area . 's & quot ; Hell 's Kitchen & quot ; area NYC charming place walk around especially night . one would travel get consider great neighborhood New York - Soho , W. Village , Gramercy , Upper West East Side . however good location Macy 's fabric shopping . 
 Apr 19 2009 	 Great Hotel Money . Great Location . 	 bargain ! 's nice hotel great area . 's clean , staff friendly , room comfortable . room small , small expected Manhattan . 
 Apr 15 2009 	 great place stay clean affordable NYC ! 	 return long weekend fun friend NYC . first time stay hotel please . 's small hotel efficient offer everything need . surprised small room brief moment , instantly relaxed see clean , well - decorate , comfortable room . bed comfy , good lighting , like ability control room temperature . hotel bar coffee cocktail , well restaurant . room service excellent . small market two door tylenol , newspaper etc . many restaurant shop within walking distance . busy traffic area notice noise room night . 
 Apr 14 2009 	 clean quaint mid - town hotel 	 stay Wyndham Garden need close Convention Center . hotel 's excellent location within easy block walk cc , Madison Square Garden , Macy 's , Empire State Building NYC attraction . upon arrival , elevator service , offer complimentary drink cute bar area wait . check smooth folk front desk friendly accomodating . the room typical smallish NY room , bath generous well appoint . hotel seem recently renovate - sure - everything clean , modern luxurious . bed comfortable , tv flat panel , adequate space luggage . restaurant feature indoor garden setting menu offer tapas - style meal , salad , entree sandwich . also breakfast available . the rate reasonable , especially book & quot ; third party . & quot ; short , hotel great option business leisure traveler look nice midtown location fresh , clean decor . 
 Apr 13 2009 	 Pleasant Surprise 	 recently stay hotel overnight meet people city , know would late not want drive home liquor . book thru Priceline therefore pay $ 100 include tax . location great restaurant worth eat anything see great hotel need bed sleep . hotel open spotlessly clean . front desk staff friendly welcoming . room , small , well appoint . chic furnishing , comfortable bed clean , modern bath . would stay . 
 Apr 12 2009 	 love new Wyndham Garden restaurant- Greenhouse 36 ! 	 stay new Wyndham fabulous ! love room overall feel hotel . brand new space ideal location , central everything , especially be visit ny.besides modern decor , great NY vibe inviting staff , also LOVED Greenhouse 36 , hotel 's newly open restaurant . nice actually good food locate hotel ! , mention great talent singing couple night week . nice touch hotel ... even hear music be lobby , bar use hotel 's convenient lobby computer . live music always add bonus . hotel definitely worth check ... even restaurant music be area ! 
 Apr 8 2009 	 great Choice ! 	 boyfriend stay hotel two night end March . hotel book , get great deal Travelzoo choose place . pleased king sized bedroom spacious bathroom . breakfast buffet good plenty choice . also nice see spring flower bloom greenhouse area restaurant . staff friendly helpful , especially enjoy talk Massy . look forward next trip NYC stay lovely new hotel . 
 Apr 4 2009 	 Perfect place stay be go MSG 	 book two room four night hotel Priceline awesome price . attend three Rangers games want stay close MSG without break bank . hotel squeaky - clean , great brand new amenity free wi - fi . room small , be fairly common NYC . restaurant good ( vegan / vegetarian option ) little slow . soy milk coffee though - yeay ! service outstanding . bell captain run road get us cab freeze evening , check - in / check pleasant ( Priceline snark ) , everyone staff encounter smile / friendly greeting . the downside first night rave sort floor build across alley ( 23 floor think ) . loud , happen one night . overall road pretty quiet . one small nit pick - tv not get MSG channel , darn . 
 Apr 1 2009 	 great value staff sympathetic complaint 	 cllean , affordable , location hotel great . close 9th Ave . sketchy place 1st time NYC visitor . Valet parking HORRIBLE . apparently hotel rent garage / valet next door share staff neighboring hotel . take almost 45 minute get car ( call ahead 15 min , that s total 1 hour ) . casually ask concierge problem , get defensive , unpleasant , frustrated defensive . casually tell concierge everything hotel great poor service Valet company look badly upon staff Wyndham consider talk management problem . he turn around say & quot ; someone yell thing & quot ; & quot ; people not seem understand need call ahead time car & quot ; get defensive obviously idea trying say not insult hotel . see roll eye front desk , concierge , bell desk . 
 Mar 30 2009 	 terrific new hotel 	 spend weekend . new hotel . clean . bathroom beautiful . staff helpful still try figure everything . check deal .. continental breakfast 2 free drink bar . great deal .2 store improve theatre GREAT . teenage friendly edgy . can not beat price location 
 Mar 28 2009 	 NYC 's Best Kept secret 	 hotel open November brand spank new , clean extremely afforable . thrilled get AAA rate $ 158 ; another guest speak get rate $ 119 . location central , near Penn Station , nice restaurant bar hotel staff unusually cheery helpful . book room super last minute good decision . room small comfortable , CLEAN NEW . another plus : window secure tightly even major construction project across street do not bother . thoroughly recommend ( shill Wyndham ) 
 Mar 28 2009 	 good location price custom service 	 stay NYC week , reason stay cuz bet decent hotel price online , pay half regular stay per night . hotel not match neighbourhood building , look strange . room small 2 people ( big person ) , space luggage shopping bag . main concern shower door never close properly , take shower , water leak bathroom everywhere . end clean floor 3 day . call front desk ask maintain staff come fix , ask 3 time , action take . finally , ask change another room , problem . think one room , probably shower door bathroom problem . overall , NYC crowd , good shopping , live . 
 Mar 25 2009 	 Great experience 	 hotel new staff friendly helpful . room small queen size bed . bed comfortable . bathroom quite nice . loved shower ! complaint would size room . return would get king 'd space . location block Times Square area . feel safe comfortable . would stay . 
 Mar 24 2009 	 good value NYC 	 Hotel brand new facility . comfortable clean , rate great . include wifi , must day . two full sized bed crowded room bit . decent gym . 
 Mar 23 2009 	 nice affordable hotel 	 new hotel ( open 6 month ) cozy affordable . stay $ 200 night find good value . hotel block away penn station convenient commuting via train empire state building madison square garden right well . hotel room kinda small clean nice tv 's bathroom . complaint elevator take forever ! two elevator entire hotel guest hotel employee use . overall , good experience good price . 
 Mar 20 2009 	 finally home away home NYC ! 	 town presentation Midtown weekend March 13th employer book stay new Wyndham Garden Hotel 36th Street . stay Midtwon area hotel expect . honestly think boss complement stay BEAUTIFUL hotel . greet door several time , check rapidly pleasantly surprised overall decor room . bed draw comfortable well rest presentation evening . Wydham 's Staff Top Notch need cater greatly . whether be town business leisure , highly recommend hotel already ask employer use Midtown Wyndham future stay . 
 Mar 16 2009 	 Nice hotel good value small room ! 	 family book 2 room stay 3 night . staff great , hotel clean new - open 11/08 . complaint would room size - small , even NYC standard . room handle 2 people , barely .... not even think add third ! computer available lounge area , nice restautant . great location attend event Madison Square Garden . also close Macy 's Empire State Building . 
 Mar 12 2009 	 Fantastic Value 	 wow , could stay , $ 119 without tax get 2 cocktail coupon continental breakfast . everyone friendly extremely convenient . room small , be expect , well outfitted , great clean streamlined bath . restaurant tasteful bright . would highly recommend go back . 
 Mar 9 2009 	 great room good price- stay . 	 extend family stay 3 room 24th floor past week- clean , comfortable bed , great bath ( though glass shower door leak close properly- problem 20 - something girl ) . easy walk cab shopping , nightlife , restaurant , tourist attractions- staff good . call be head last minute- get one rate Travelzoo pretty good , even well rate last minute Wyndham . 
 Mar 7 2009 	 Hidden Gem - Excellent Value NYC 	 stay Wyndham International FoodService Restuarnt show . little leary stay near convention center , area not greastest hotel hide gem great value NYC . hotel fairly new clean . king room small typical NYC , comfortable . great bathroom use space well clean flatscreen tv wall free lot room space , not lot room sit desk bed . enough work , much relaxing . not spend lot time room , afterall New York . hotel convienent sight many fine resturant . skyline diner ( breakfast ) , Uncle Jack 's steakhouse ( dinner ) Tick Tock Diner ( 24x7 ) close good place grab bite . Penn Station , Time Square , Madison Square Gardern Empire State Building ( Javits Center ) easy walk . hotel staff friendly helpful bar good happy hour full food menu . computer bar area great checking email eat make flight reservation . street hotel , not pretty , never feel unsafe walk around hotel night . would hesitate stay Wyndham Garden . 
 Mar 3 2009 	 great clean 	 boyfriend stay past weekend 1 night romantic little getaway . room clean & amp ; invite get , maybe little small , 25th floor view amazing . ate & amp ; drank bar downstairs , service super friendly , food good ... drink little pricey that s kind expect . downside claim soda & amp ; snack vending machine & amp ; go look could not find . go front desk & amp ; tell not arrive yet & amp ; give snack & amp ; bottle water , obviously nice , make false advertising snack ; ) everything great , would definitely stay ! highly recommend ! 
 Mar 2 2009 	 Brand new - excellent service - near Amtrak / Penn Station 	 please hotel . hotel 2 - 3 month old hotel immaculate . bed excellent . room small New York . nice sized shower excellent ventilation system , bathroom mirror never fog although take hot shower . location great travel Amtrak . excellent food choice nearby 9th Avenue ( definitely go Giovanni 's W 44th near 9th Ave . ) definitely stay . 
 Mar 1 2009 	 Diamond Rough ! ! 	 hotel brand new ( tell three month old ) absolutely gorgeous , though small ; , hey , Midtown Manhattan ... everything small ! ! : ) surround area bit rough , not fool . one gem . room nicely decorate , multitude pillow fine bed . bathroom nicely do tile way around . shower surprisingly large small room . I recommend hotel highly ; matter fact , friend living area comment well nice . 
 Feb 22 2009 	 place gem NYC real 	 stay mom come city visit -- stay two night . room small clean bed linen awesome , make want snuggle day ! staff friendly welcoming make quite snafu -- hotel open 3 month think still work kink . get amazing deal travel zoo -- 129 night plus 20 dollar coupon put towards food . say -- -- restaurant sooo good -- hat chef . wish eat meal , tapa mouthwatering breakfast perfect . since new everything really clean lobby nice chill -- computer booth colorful couch chair -- really nice compare place stay city . 
 Feb 22 2009 	 enjoy stay ! would come back . 	 fiance stay hotel one night please cleanliness , decor , service . room 12th floor . experience long elevator wait . room perfect size 2 people- decent bathroom ( great water pressure lighting ! ) comfortable bed , relax palate color . internet work fast easy establish . convenient location- walk destination subway 4 block away . easy walk Grand Central . eat @ restaurant tapas menu look delicious . great night sleep would come back next time city . 
 Feb 20 2009 	 Great Price . Great Location 	 quick romantic getaway weekend . room little small , make bed flat screen . can not imagine room ny much big , especially value . bar relax area nice . not eat hotel , place crash long day sight seeing . internet weekend , major bummer . speak Manager take little bill inconvenience . advice always ask speak manager problem somewhere ( Restaurant , Hotel , wherever ) . would definitely stay price . 
 Feb 19 2009 	 Great Location new hotel 	 stay Wyndham Valentine 's weekend . check - in quick staff extremely nice . great rate ( find travelzoo.com ) include $ 20 voucher restaurant . room small many people post , 's New York . 's well decorate , clean , bathroom nice size well . go concert Madison Square Garden take five minute walk , perfect ! also dinner restaurant agree food great price . would def . stay ! 
 Feb 19 2009 	 great little hotel ... friendly service nice bed good location . 	 husband bring two child , age ten twelve , day fun NYC . arrive hotel seem quite bit small imagine picture . nice contemporary decor . great booth flat screen computer internet access well counter serve Starbucks coffee ( hot tea 50 cent ) . restaurant lovely , overpriced , never try . room SMALL . however , since typical NYC hotel room , adjust . two we store thing drawer cabinetry store luggage closet area give we lot space . hotel would suitable infant toddler . can not imagine find space crib . bed great comforter pillow . awesome walk shower plenty hot water Bath Body work toiletry . loved contemporary look sink , not great function due design . , hotel facility really great little complain . elevator slow busy time ( mainly morning ) , case many hotel . time , little issue elevator slow . vacation , wait minute busy time really big deal . room 20th floor extremely quiet . never hear noise kind . would definitely recommend stay upper level floor avoid street noise . thrilled find excellent little cafe call amici corner 8th 36th ( step hotel ) . fantastic food amazingly reasonable price . breakfast great ! egg / cheese sandwich freshly make croissant $ 2.95 . husband fabulous California omelet serve potato toast $ 5 . deli / cafeteria style make fresh grill wait . bread bagel make fresh cafe . fresh fruit great look hot bar / salad bar . find little gem last day vacation wish know early . , would breakfast daily . far location hotel ... fifteen minute walk Times Square we . area necessarily lovely . look upscale area stay , would . however , really not feel like safety ever issue . actually nice staying little bit beat path away noise Times Square . would definitely stay ! 
 Feb 18 2009 	 definitely stay . 	 stay go audition 2 day row Ripley Grier studio close hotel studio . get city 8:20am walk Penn Station hotel ( easy walk ) hope would let let bag 9 am audition . well ! let check room right ! extremely helpful able finish get ready , warm - up , relax second walk audition . speak , Ripley Grier block away , really could not close . next morning 's audition early helpful Starbucks lobby . go pjs get coffee food back upstairs finish get ready . hotel nice . bed sooo comfortable , bathroom nice , exercise room , , quite like . will definitely stay next time ' m NY ! 
 Feb 18 2009 	 Excellent service nice room great restaurant really nice dog enter Westminster . 	 stay Wyndham Garden Midtown Convention Center , several friend , 2009 Westminster Kennel Club Dog Show . service wonderful moment pull door . parking extremely convenient , room great . staff helpful friendly , restaurant fabulous breakfast dinner ... important thing warm welcome give Labrador Retriever , & quot ; Recon & quot ; . great time thrilled find STARBUCKS right lobby ! Recon would highly recommend hotel anyone , either two foot four footed ! 
 Feb 18 2009 	 new nice New York City 	 receive Wydham email January special NYC , decide try . leery hotel , sign 2 double bed show getting switch one rollaway ( bring grow daughter us ) . get 2 nice bed , Travelzoo deal free drink / food coupon promise we , well tray fruit , flower , candy bottle good wine upon arrival room . hotel new , great NY reasonable price , wireless internet , close Times Square . Staff obviously try hard great , nice neighborhood . 
 Feb 17 2009 	 Great Hotel Painfully Slow elevator 	 stay Wyndham two night Valentine ' Day weekend $ 129 / night rate find travelzoo . rate pay feel like get great value . good : hotel open last month still shine . standard room 12th floor . would guess room approximately 15'x15 ' = 225sq foot ( incld bathroom ) . however , room well design functional . king bed heavenly . flat screen tv HD great . bathroom sparkle shower one good hotel shower ' experience . free Wi - Fi service one day work like charm second day . bad : Saturday night notice music hall dance club locate building directly across room . music go night able drown heater fan . two elevator service 26 - floor hotel . equate long annoying wait elevator pickup . time walk 12 flight instead wait . maid tell we one morning wait 45 minute get cart elevator could start round . ' m sure hotel could differently , people aware problem . location / parking : approximately 10 minute walk Time Sq . 20 min Central Park . parking $ 40 / day garage across street . street parking limit 4 - 6 hour time . eating / drinking : not eat restaurant rarely see anyone eat . drink bar enjoy . enjoy hotel would definitely consider stay . 
 Feb 13 2009 	 Perfect 	 hotel clean , staff polite helpful price amazing ... New York City can not beat hotel 
