stay 	 begin ? .... believe rat hole still business ( excuse language ) . instead use profit receive we unfortunate customer upgrade refurbish & quot ; hole & quot ; , instead remold lobby attract unsuspecting tourist . ' m sure other fall victim one nice picture show lobby . explain lack ammenitie receive discomfort feel , call thug , hoodlum ( wear business suit ) , warn police would call ! source problem . wife give & quot ; continental breakfast & quot ; , & quot ; free internet & quot ; , towel , heat , toilet paper , service , respect ! please contribute scam run . risk health sanity . Save . , , stay ! 
 Aug 24 2007 	 Back packer flea pit // avoid 	 place look ok web site read review web site leave home happy visit San Francisco . base Hotwires 2 Star rating not expect Ritz expect clean & amp ; somewhat modernise room . hotel back packer flea pit . assign room # 340 , see mention someone else . upon see room immediatley contact front desk ask move ... & quot ; sorry , full & quot ; ... decide leave walk past several appear empty room realise keep 340 Hotwire customer maybe ? place [ -- ] HOLE ... hotwire state 2 star would national brand like day Inn & quot ; quality & quot ; hotel . remember stay place like back pack across US 1980 young student . be young student travel tight budget maybe would think ok .... ! read review 99 % similar opinion place . hotwire , please remove Heritage Marina list hotel . 
 Aug 13 2007 	 need work 	 ' ve read mixed review hotel go know . room equal . able switch room light bathroom not work fire sprinkler head leak . scary , small , dingy room ' ve ever see ' ve stay plenty . front desk staff friendly ask would move we inside room versus room face parking lot . not feel safe first room two young niece . room give we pool least 2 - 1/2 time big , new furniture , large bed , table . sadly , still pretty run , acceptable . stain carpet drape . another review mention find hair bed well , linen smell fresh , assume stray hairs maid make bed . electricity go a.m. circuit luke warm shower . 's hard believe actually remodel 2003 . not think remodel entire hotel . would go back truly remodel - include upgrade electrical wiring . kid enjoy heated pool . 
 Aug 11 2007 	 dirty go 	 Date : August 8 , 2007worst hotel 3 wks stay USA . lobby ok , personnel friendly . get room back yard . room : ugly , clean , two different cover bed , sheet clean iron , powder insect everywhere , window closing properly , shower door close : water everywhere , one lamp work . the rest : elevator indicate validity certificate oct 2005 , stairs horrible , use carpet , swimming pool use : water extremely dirty , breakfast like eat canteen . two positive point : free parking , good location public transportation 
 Aug 1 2007 	 high Cost - Low Standards 	 think hotel 's location good - however , hotel dire need work . property information list hotel build 1958 renovation 2003 . look place - thing renovate hotel lobby . wall , carpet , door , etc . dirty dire need replacement and/or repair . hallway door room big chip paint miss . something would see low rent district . plan stay 3 day - end check day early . want spend least amount time room possible . request rollaway check . tell would room . not . - request one next day . tell would one room morning . return evening - rollaway . morning leave room - stay long could come back sleep . would recommend hotel . location really not worth poor conditoin money spending . 
 Jul 10 2007 	 well 	 stay hotel end June 2007 . yes location good 's end . room shabby ( 2 ) .. insect powder around corner room , cock roach , window lock work , mould shower curtain , hot water . lift lift lobby scary grubby . hall carpeting look like lay great fire / earthquake . glad move easliy bad location stay 3 week vacation California . 
 Jul 9 2007 	 Urine smell 	 list problem : Urine smell elevator ; hot water , toilet keep run ; ice machine leak large puddle hallway ; fly screen window ( claim break ) ; room dirty cleaning ; call get clean towel ; hooker hallway ( kid ) ; clerk rude poor English ; front desk will not answer call . nothing personal , dump . 
 Jun 30 2007 	 Fleas 	 hotel flea infestation , complain , response front desk aware problem , not realize happening room , apology issue , attempt fix problem . top linen dingy often stain , grey spot , even blood stain . shower curtain mold grow . would reccomend avoid hotel . spend little , least will not undergo uncontrollable itching day . 
 Jun 27 2007 	 well crack house TJ ! 	 picture make hotel justice ! ! contrary , pay photographer make hotel look like amazement ! parking trash , non smoking room smell like cigerette , broken wall , light switch do not work , kid drink smoking marijuana , walk key program three time , cause key will not open room . Finalyy someone come open show trick use key , top manager remorse , listen hardcore rap music front desk class ever , put cherry top management look one 's wrong ! ! Lets put way ... well motel third world country . 
 Jun 18 2007 	 never go back . 	 trip Field Ecology class ( age 19 - 40 ) book 6 room . something wrong . thing wrong room - one bathtub & quot ; shower area & quot ; , ceiling fan miss two blade , window would not open , mismatch bed spread , daily maid service one room , not leave clean towel another , expire elevator permit ( one expire 2005 ) , split group floor room available floor , room key would work keep go front desk new key . make reservation two room look golden gate bridge classroom activity morning - give room someone else . complained property manager continue problem - nothing resolve . back class go future . whatever find nice place pay stay someplace else . office San Fran investigate place . purely dump , long people stay force fix clean place . 
 Jun 16 2007 	 Great Location ... 	 stay one week great close FISHERMAN 'S WHARF LOMBARD ST . staff amazing kind even give small refrigerator : ) defently return hotel wonderful . always ask room view golden gate bridge.here 's picture enjoy : ) 
 Jun 4 2007 	 avoid Room 340 outside next fire excape 	 hotel make leave come back check room . ask several time clean room something hard get partial handicap prevent climbing . leave bag mean bring around front desk place among 50 bag leave . tag identify bag provide . come back later offer room 1 hour early check . Desk clerk mention would able partake breakfast leave 4:30 . book shuttle back airport $ 15.00 . accept room begin quest find room . elevator , dirty , scary , dark , scuff mark , smelly . arrive first floor center courtyard inside section hotel . look distance not seem bad . close , 's terrible . follow signe 340 not find . walk opposite direction not find . finally ask maid room point exit door end corridor . exit walkway outside lead fire excape . ladder escape door . yes , room 340 . dump . Old whitewash armoir , side table , desk , countertop . dirty rug , old bathroom shower not drain normal . air conditioner . Remote control tv tape together . exhausted not energy walk back complain . tour night crash early rize fly home . get sleep , not get bug bite , make safely . 
 may 14 2007 	 Forget hotel 	 one right mind ever stay hotel . place pig sty . move room nothing change . first room dead snake skin place . find piece skin beside bed look bed find 8 piece snake skin . ask move second room well . food wrapper old sock bed . believe vacuum bed . hotel restaurant lead believe . carpet filthy hall way well . old gum stick carpet room . window offer security open winder fall . carry luggage one flight stair get front desk . door ramp open two foot door scrape floor . regret not ask money back . 
 Apr 19 2007 	 basic comfortable 	 hotel basic comfortable . everything work nice area ( feel safe come back night ) great three female travel together ... staff friendly plenty leaflet reception information thing see place go ... taxis outside wait take ! ! there s restaurant next door , Little Joes Diner think call ... food nice guy friendly ... show we make dressing use ... simple nice lol ! getting know San Francisco hotel around would probably try one next time would not rule Heritage ! 
 Apr 17 2007 	 Overpriced Flophouse 	 god , say hotel not say already ? ' m picky traveler travel world -- mean ' ve stay really dodgy area place dive . surpass far . accommodation fall , leave day find decent hotel Friday night , 4/13 . since thing area sell completely price range , settle hotel $ 150 / night . ' ve never felt rip make way leak outer corridor ghetto - type inner corridor see abomination room . it smell , carpet crunchy , look like bedspread not wash since 1960 , dirt everywhere , afraid shower head go fall head brave shower . positive , would say location superb , even though every pass cab keep going wait front 1/2 hr -- presume type clientele would frequent establishment . front desk people also helpful feel badly represent decrepit property . oh , also get park free , plus , . continental breakfast passable , even though hold moldy conference room . all , complete total rip - off quite literally bad place ' ve stay entire life . 's say LOT . 
 Apr 15 2007 	 shabby dirty room 	 husband stay Heritage Marina Hotel San Francisco two night many . 's good point convenient Fisherman 's Wharf area . smart reception area belie lie behind ; corridor fit ancient sticky filthy carpet room grimey . chemical smell room , include sheet towel ( spray bug ) . dirt thick along tops tile bathroom . conclusion , want room reasonable rate close main attraction San Francisco not expect clean room , place . 
 Apr 12 2007 	 possibly bad hotel ever ! 	 get back much needed vacation . stay heritage marina Easter Sunday April 8 9th . really tight budget Heritage Marina seem could want ... cheap rate , private bathroom , large bed , free breakfast , free parking , close fisherman 's warf . lie ! ! ! not anywhere close fisherman 's warf . continental breakfast joke ... old food barely enough . room seem okay first ... everything stain , hole , hair , plain disgusting ... thing bad ... bed bug bite get . course free parking ... not anything around area . spend much time walk hill much money taxi 's get place want see . would never reccommend hotel anyone . 50 buck , could stay close thing clean room . also , ask pillow case , pillow , sheet .... 40 minute pass nothing . finally , call front desk not even call housekeeping . 15 minute later , girl toddler son knock door ... two pillow . pillow filthy . UGH . ... entire peep hole ( 3 & quot ; wide cylinder ) entirely pull ! ! ! maid not clean room , leave two new stain towel ! con stay Heritage Marina1 . proximity anything say2 . everything stained- Towels , pillow , pillow case , sheet , etc.3 . thin , thin , walls4 . free breakfast nasty5 . bed BUGS ! ! ! ! ! ! 6 . bad service7 . elevator open streets8 . Unsafe9 . relax pleasantstaying nearly ruin vacation . still free souvenir give we ... bed bug bite ! YUCK ! 
 Apr 1 2007 	 Bedbugs 	 think hotel ok discover return home two night stay covered bedbug bit ! 
 Mar 18 2007 	 Excellent Value money ! 	 despite bad review book hotel 10 night stay San Francisco . room stay view pool although date , clean . flush toilet slightly dodgy make sure handle pull back stop water pour . avoid use lift possible many occasion sign say order . breakfast great though , eat bagel cereal , could take room popular guest . would definately stay , hotel close enough attraction good bus line right outside hotel . bad thing restaurant next door hotel awful meal would suggest avoid cost ! 
 Mar 11 2007 	 great value friendly atmosphere 	 stay Heritage Marina Hotel part Sixth form ( age 16 - 18 ) school trip San Francisco AAAS Science Conference hold Hilton Hotel Towers . I say hotel surprise , lovely , friendly atmosphere , room spacious budget hotel , clean . staff good make feel welcome - great . ( come someone stay 5 * star hotel around world ! ) one piece advice - not get room overlook car park 3rd floor - put first , however place hotel feel open public . find 2nd floor well , within easy distance breakfast room . break fast great - consist tea , coffee , fruit juice , cereal , bagel fruit . hotel within easy distance central shopping district San Francisco - number 47 49 bus stop outside hotel , get Oak - Market stop get numerous bus / tram / trolley take straight along street shop ( avoid walk dodgy Tenderloin district ) . easily walk Fisherman 's Wharf hotel , however be one bit hill walking , take 47 bus opposite direction go straight pier 41.honestly , ignore bad review - hotel fantastic value money , would stop take parent . 
 Feb 27 2007 	 good budget lodging 	 stay run SF marathon . budget minded traveler , take review context . I could bring spend exhorbitant amount money SF hotel cost , went look bargain find . previous posting bit concerned , worry.teh room ( hotel matter ) spartan , do not go expect ritz . clean . teh one stay teh front hotel , street noise could loud , especially since open window lack AC . room nice new furniture , view exactly webiste , nice view golden gate bridge . free parking - nice bonus.centrally locate anywhere would want go city.easy walk fisherman 's warf . walkable crissy field golden gate ( keep mind - run marathon ) . hard walk ( hill ) nearest cable cars.breakfast standard fare , bur crowd , even know many people hotel see line breakfast . I eat italian restaraunt night race , food good , great , price appropriate SF . great coffee tiramasu dinner . I say - save big buck would pay hotel stay , especially plan sightseeing day anyway . 
 Jan 21 2007 	 's smell ? ? ? 	 ' m picky guy ' ve stay questionable lodging , ' ve never feel compel check let luggage breath ... stay . first surprise pull 's akin motor lodge hotel ( hallway open air door face outward parking / courtyard ) . , picky ... check . Rode rickety elevator ( unsecured open street ) floor first notion maybe bad idea . hallway dimly light enough noticed stain carpet , scuff mark every wall multiple coat paint door / molding . compliment decor ever present smell cigarette mildew . maybe room well ? nope . broken furniture , tape tv remote , tear lamp shade ... could go . final straw yellow / brown stain pillow mattress . promptly return front desk get refund . say something nice ... guess 's well sleep street ? 
 Dec 12 2006 	 fine hotel price 	 book hotel location price . excellent location free cover parking . could walk Fisherman 's Wharf every day 15 minute . safe part town , never feel uncomfortable walking everywhere . staff helpful ... even put we suite first couple night even though book standard room 's leave show . however , room definitely & quot ; economy & quot ; . not go expect Hilton will not disappoint . everything clean room stay plenty room amenity need vacation . nothing special , also bad . care good location cleanliness get . 
 Dec 6 2006 	 Heritage HotelYou Get Pay 	 stay heritage hotel 11 year old son early nov attend 49er football game stay 3 night . pay 300 dollar room . hotel run elevator not work two thing want bed tv . hotel serve purpose not hang around hotel.take bus $ 1.50 fisherman wharf . go wharf get muni pass ride trolley day . breakfast go downtown eat place call lindas look like 50 's diner food good price resonable . go football stadium way get take # 47 bus go van ness take shuttle bus 47x california ave cost $ 6.00 round trip . 
 Dec 4 2006 	 avoid cost 	 hotel pull urgent matter health safety general public . smelly dirty unsafe generally fall piece unsafe mention unhelpful staff . regret pay money stay well hotel . another thing advertise close fisherman wharf well near . also say nice pool pool small dirty paint fall every part . sorry avoid cost ! ! 
 Nov 7 2006 	 possible bad hotel stay ! 	 stay hotel 2 night 19th/20th October 2006 , part 6 week around world trip , book stay hotel fall within price range . record even cheap stay , definately bad ! want cheap clean , not stay ! ! ! without try repeat comment review , go list complaint : - hotel close major tourist attraction , fair easy get around bus cable car . ( hotel fault , bus driver rudest people come across travel ! ! ) - room small feel look dirty , almost not want sleep bed- decor dated- feel safe hotel lift stair access form outside great area - also need climb steep hill get lift- breakfast dissappointing like canteen dining room- big problem hotel bathroom . apart clean , toilet flush properly water drain bath / shower properly ! ! would strongly recommend do not stay MAJOR revenovation do 
 Oct 30 2006 	 give one miss ! 	 return trip San Francisco , CA . stayed & quot ; Heritage Marina & quot ; hotel 5 day . first choice , everything book week . less pleasant experience . look anything like website ! check first horrify room find overlook trash & amp ; homeless person go thru . include fridge microwave request . move second room neither desk person could enter . third room smoking room ( request non - smoking ! ) . finally move fourth room overlook pool , comparison much well other . next problem- t.v work ? take care , notice room remarkably hot . want complain deal . never get 85 degree strange bottom floor- heat rise ? construction going mention book . woken bright & amp ; early every morning sound hammer ! also , wall thin ! ! could hear want neighbour ( beware child ) . room clean . fact not think clean stay except make bed . not think ever vaccuume ( not look bed behind anything ) . yellow 70 's bathroom bother dirty . example shower curtain & amp ; tub mold & amp ; towels grey & amp ; old . forget hot water morning . not book hotel hang want clean comfortable place spend night ! overall good thing go hotel location . central everything , close bus stop & amp ; seem fairly safe area- make sure expectation low ! mine , still disappointed . maybe room nice other ...... 
 Oct 30 2006 	 avoid 	 enough breakfast table people stand sit floor . People actually eat , stand outside food balanced railing next construction work near pool area . this place also dirty . be careful manage case steep hill side reach room ! least twenty minute walk bay do not let Marina name fool .Our bad experience sixteen trip state . 
 Oct 30 2006 	 keep open mind 	 hotel safe part town , close fisherman wharf state not right next . use muni bus get van ness walk wharf . free PARKING , hotel $ 20/ night . usually stay hotel value , free parking , safe neiborhood , fairly convienent location , free cont . breakfast . GREAT VALUE.It bit run , may smell ( ' ve never notice ) ' ve stay 3 time last year room clean remodel . room next van ness noisy though . plan stay future , you re budget minded hotel , especially car . do not car would stay close union square keep tenderloin district night riddle drug crime unfortunetly , day time not bad would not bring kid know mean . 
 Oct 14 2006 	 clean spacious room / Good Location 	 husband choose hotel base previous review cheap centrally locate . free parking free internet access . hallway little dirty stain carpet . however , room clean spacious . walk block Fisherman 's Wharf buy $ 18 three Day Travel Pass bus cable car ( highly recommend . ) bus stop across hotel take Van Ness catch California cable car towards downtown Union Square . also catch bus go & amp ; Park watch Dodgers beat Giants ! ! meet guest hotel town attend baseball game well . the great shop restaurant Union street couple block away . would definitely stay again . Valley Village , CA 
 Oct 13 2006 	 never stay ! 	 never stay hotel . hotel nothing like advertise . room dirty smell . feel dirty staying hotel . hotel staff rude unprofessional . ask staff question act favor answer . would rather sleep car stay hotel ! another problem enough parking car hotel . cause guest double park behind car , even though several sign state Double Parking . hotel way move car car become block guest come back move car . guest evening , wait return hotel like cause problem people car move . never ever stay Hotel . awful experience . 
 Oct 8 2006 	 ok barely 	 agree previous post , web site & quot ; creatively & quot ; do . the room clean , worn , bathroom tile chip , toilet make odd piece many kind color toilet . also stay two night clean room first night take soil towel not leave new one ... HuH ? ? ? hallway elevator shabby grungy , lot chip paint dirty carpet . one real concern deadbolt door miss door viewer blurry could not see stand outside door . also be noisy hotel , right Van Ness lot traffic . front desk help unenthusiastic . continental breakfast fair . apple , stale bagel , coffee . 's . will not go back , reason stay regular hotel already book . 
 Sep 11 2006 	 great 	 arrive , disappoint exterior motel like quality ( door open outside ) . place seem low class represent well hotels.com picture . furniture room nice , however room dirty visible dirt hair bathroom floor hair sheet . breakfast nice good selection seem sanitary enough . 
 Aug 27 2006 	 House meat 	 price , much complain . however , hotel list & quot ; Fisherman 's Wharf area & quot ; . truth , 3 4 mile walking distance Wharf . visit San Francisco April unseasonably warm . hotel air conditioning , ceiling fan window open tiny bit . room stay must back restaurant property , morning room fill aroma cook meat onion . travel look place shower sleep , perfect . honestly say never stay . 
 Aug 3 2006 	 hey Free Parking ! 	 choose hotel save little money stay San Francisco area free parking . stay fall somewhere terrible okay , major problem . know problem guest ahead we check find AIR Conditioning . ( several people tell we not need area normally , however , heat wave . ) parking tight limit free . walk warf area , however , would recommend afternoon early evening hour . room 4th floor little patio area slinde door . however , slide door rip screen lock . window open ceiling fan little use cool room . think heat even floor register feel warm even warm weather . even though hotel site say renovate 2003 think miss several room . room look grungy worn , however , not seem dirty . my mother even see one guest take window go room way wife watch . make we want leave door window open try cool room . redeem factor hotel potential , free parking great view Golden Gate Bridge . bottom line want save money stay would not stay alone . take picture room try add soon . 
 Aug 1 2006 	 bad smell 	 sorry say room give bad smell ( strong chemical type smell ) thebe cover dirty . hotel general run . would recommend anyone stay matter inexpensive . 
 Jul 19 2006 	 good location basic 	 look budget hotel close attraction Heritage Marina seem ok especially discover hotel ( formerly Vagabond Inn ) stay 18 year ago good . want hotel close attraction ok , basic . arrive late , tell push luggage hill get lift get room . key not work . go back reception still not work . young night worker came open tell we would wait till tomorrow key ! ! ! ! get key later . day staff much helpful night staff seem interested . room basic . clean enough badly need refurbishment . piece miss radiator wire loose room . elevator bit rough ready . get use slow thought break . breakfast adequate , pool small San Francisco not weather would want use pool . go move stay 2 night stayed put . hotel basic . suffice need , , will not back . positive side , location good , can not understand not decorate . much potential location look like hotel ready knock . 
 Jul 17 2006 	 not expect much ... 	 live San Francisco , family member tell booked bit wary- know budget never actually hear anything bad place hotel safe , uninteresting neighborhood outside look like number inexpensive . boxy hotel build people want something well ' motel ' can not afford stay good chain hotel nearer center thing . perhaps bit large . figure would fine night . wrong . the lobby nice enough , first begin doubt way room . place build around central courtyard ( pool area ) , door open directly onto courtyard expose corridor ( like motel ) , pretty much everything need fresh paint job . carpet wear corridor , wall patch paint . overall look like cheap motel freeway anywhere america- big ( 4 5 floor ) . still , want clean , servicable room night town not expect Ritz Carlton anyway .It open door room heart sink . room absolutely stank disinfectant odd smells- mean overpower ! unusable ! kid ! dirty towel throw bathtub , dirty comforter bed . carpet wear , wall paint concrete , baseboard heater cover fall . truly depressing room begin , smell make possible stay there . I call desk explain problem without jump throat . tell we book solid , suggest open window . sorry , nothing do . quite polite absolutely unhelpful . since book -- -- , call explain situation . get to give credit , really jump hoop find another place stay . one point three people work , eventually find another place nearby . even eat ' cancelation fee ' ( one - night charge ) place refuse waive . so are- maybe get bad room , doubt . place claim renovate 2003 certainly not look like . not expect much , expect much well . consider review fair warning- absolutely honest aboveboard , would much rather take time write ! 
 Jun 15 2006 	 would stay 	 Heritage Marina Hotel safe neighborhood within walking distance several place ( ie : Fishermans Wharf & amp ; Chinatown ) . room clean & amp ; bed comfortable . view Golden Gate Bridge small balcony . continetal breakfast bagel , cereal , danish , muffin , milk , juice & amp ; coffee ; need get go morning . price reasonable . 
 Jun 11 2006 	 complaint 	 book room thru internet base key factor . one : Location . this hotel fairly central location good end town . two : price . book reasonably price & amp ; thing require . three : requirement . requirement fairly straight forward . need room two adult & amp ; two kid , need fairly central location & amp ; want pool & amp ; breakfast include . this place . old stye hotel , old fitting & amp ; bathroom - clean , fresh smelling , mould bathroom anything nasty etc . & amp ; staff happy offer assistance help . basically get pay & amp ; place exactly , let us face , accomodation see beautiful city ? would happily stay . want something budget & amp ; Heritage Marina . P.S . read reviews trip advisor & amp ; decide would book anyway , 90 % review negative . ' m glad decide take punt & amp ; stay , can not expect champagne beer budget .. thank Trip Advisor & amp ; Heritage Marina . 
 May 31 2006 	 Beat expectation price . 	 definitely place find nothing special resting place center almost everything . basic fact : pro : Ghirardelli Square beach five block away , Dowtown / Unionsquare / Chinatown 10 minute bus cable car ride , Hyde Street cable car two block away , Fisherman 's Wharf ten minute ride . free first - come first - serve parking comp - ed breakfast small outdoor pool . finally - CHEAP ! con : room old dirty carpet drap ; however , maid service provide fresh towel everyday . internet almost non - existent room , use internet lobby cost $ 2 depend long use . overall , give place & quot ; well expectred & quot ; due location weight pro con . motel hotel , price convenience - would stay . 
 May 31 2006 	 good budget could use update 	 read many review hotel hesitant stay decide thearea want price right . brochure describe thehotel update show nice room picture , unfortunately not looklike picture show . old hotel definately need freshen up . we complain 1st room show , need update . 2nd room wasok face busy Van Ness Ave , noisy . show 3rd room 5thfloor facing towards pool fabulous view , much well room decidedto stay . room face towards pool seem much nice . avoid back thehotel face private residence , room nice need major update . the room 5th floor much nice , bed comfortable , full bath / shower , fridge microwave . fridge nice 5 night . area great , 15 - 20min walk Fisherman 's Wharf , transportation close , get Munitransit pass , well worth money , travel city . take walkone block Polk St , many restaurant , shop , trendy area youngercrowd . walk many nice area hop bus front hotel . they good continental breakfast : cereal , toast , bagel , friut , danish , etc . nicepool area , noisy evening quiet quickly 10:30pm . our5 day stay decide hotel not bad other complain , yes hasit 's fault hotel not would rather spend half money ahotel spend rest enjoy fabulous city 's friendly people . hardly spend time hotel day find comfortable good night sleep , place Ritz Carlton , stay elsewhere expect well ! 
 May 30 2006 	 Ware 	 hotel beautiful picutre hotels.com book base information - hotel dirty , tub stop dirty water , location noisy overall hotel dirty unacceptable stay even one night . 
 May 26 2006 	 Clean Tidy 	 review supply people fair . perhaps unreasonable expectation get money nowadays . okay room share wife cabinet door require 4 hinge 2 hang carpet date care place sleep essentially , clean tidy . I could see Golden Gate Bridge window wonderful surprise . cousin husband travel Scotland , view pool . pool although small nice enough least sheltered wind pick . well though continental breakfast part price . truly wonderful . expect cup tea coffee toast addition bagel , cereal , muffin , fruit etc . the staff helpful party other see lobby . it certainly within walk distance Fishermans Wharf etc . anyone state otherwise must use car travel everywhere . the Heritage Marina potential averge hotel would require maintenance so . at end day expect stay rather tired , clean hotel good location great breakfast start day , will not disappoint . 
 May 24 2006 	 need help ! 	 arrive Hotel staff so - so get room shock . get worse bad . walk hotel lobby right move close room get bad . shower moldy showerhead high enough Ii bend quite bit . ( 6 foot ) . friend stay another room problem toliet . bed ok sleep well . one thing excellent hotel close public transportation . also within walking distance Lombard Street do not mind climb hill . ( walk bad ) overall want cheap place SF do not mind much place , never stay . 
 May 23 2006 	 hostel call hotel 	 good way describe hotel hostel need repair . lucky , ' get room overlook car park woman sort rubbish . hotel poorly construct hear people stay around , . leave one sleepless night . positive note – ' far Fisherman ' Wharf tv reception good . 
 May 9 2006 	 Good 	 stay could afford . hotle staff friendly location awesome . one quick bus ride Whole Foods . hotel give we fridge free room share balcony type thing smokey neighbor ( quiet request ) fine place stay . safe ( kid ) room peekaboo view teh Golden Gate . would pay $ 100 night place would pay less place . 
 Mar 16 2006 	 great certainly bad 	 upon book room hotel , read review TripAdvisor . certainly negative review concern . however , great deal get internet , certainly worth try . expect worst , wife enter room . freshly paint , new carpet , king size bed , mildly impressed . yes , cosmetic flaw . electric radiant heater bit worn , window jimmied bit . cigarette stain toilet seat , shower door slightly awkward opening closing . but room reasonably spacious , view golden gate bridge unparrelled . continental breakfast feature good variety food beverage . ample free parking , small feat San Francisco . locate good part town , within reasonable walking distance thing , say hotel , old showing age , really deliver expectation . the Ritz not . good value buck . fine place stay , complaint . 
 Jan 23 2006 	 hotel decent run - down motel 	 anyone expect nice , classy hotel , definitely place . room pretty run somewhat clean . plus side , parking hotel free safe , free continental breakfast nice feature , location not bad although advertised short walk Fisherman 's Wharf not exactly accurate ... really 15 minute walk . motel seem safe area . nothing much right around hotel five block shop restaurant cow hollow area Van Ness bus stop right front hotel . walk around various time day night never feel uncomfortable . overall , would suggest motel people not plan spend time except sleep . double room pretty small bathroom serious need upgrade ( toilet flush slowly seat old scuff ... also shower never get hot shower door not fully close ) . conclusion : kind dumpy motel bad price long not expect much . 
 Jan 20 2006 	 u get u pay 	 make reservation 3 week ahead time expedia , call twice make sure everything go well reservation , assure take care . needless say get not room ! ! ! place stay ... send we even cheap motel ! ! ! middle tenderloin ( ghetto ) reservation 2 night we come back room u would expect price ... front desk agent one lady helpfull , guy work rude , night arrival girl working desk poorly train keep say , & quot ; not know & quot ; question not room .. Manager end stay tried make ok saying next time would get deal rate .... ( will not next time ) 
 Jan 5 2006 	 go please ! 	 3rd trip United States bad motel ever . want ratter stay SF go ! hotel dirty ( waste go elevator last step wash ) , inscription wall , heating function , window date let pass air . go PLEASE ! 
 Nov 21 2005 	 good location price 	 travel budget hotel fit need . close ( walk distance ) Fisherman 's Wharf . feel safe area . room spacious . drain shower clog repeat request finally bring handyman room - however speak English drain never fix . never change sheet although change garbage . air conditioner work . open walkways lot outside noise . breakfast free - good want quick something eat . be go luxury hotel serve purpose - place crash long day sight - seeing . ( warning : hear front desk tell someone phone room although reserve one ) 
 Oct 22 2005 	 Good Value price 	 book hotel read review , little aprehensive staying , decide give try . room large , beautifully decorate clean - maybe good luck - not know . continental breakfast good plentiful . parking problem . within walk distance bay fisherman 's wharf . some staff friendly , . would stay would recommend other especially San Fransico see sight . good value SF pay . 
 Oct 3 2005 	 fine hotel 	 recently make trip state California . forehand make reservation hotel want stay . make reservation hotel , read comment site . expectation low . good experience . room newly decorate , lot parking space . breakfastbuffet soso , be unusual state . television order , curtain didnot close , give notice & quot ; complaint & quot ; take care . definitely want go back San Francisco , donot reason stay another hotel . 
 Sep 10 2005 	 Pro - Hotel Location / Con - Room Quality 	 good thing first , location good thing hotel money pay go ; walk able access important place sfo.for side , quality room satisfaction - insufficient lighting , undone wire unclean quilt ; overall room look ' old ' seem maintain occasionally . 
 Sep 1 2005 	 hate 	 although room prepay , room available arrive 11 pm . hotel book room twice ! therefore send another hotel eeven shoddy Marina Heritage ! 
 Aug 11 2005 	 good place stay 	 hotel probably build quite year ago , find place enough clean . reservation two day , late come Northern California . surprised still hold room we . complaint parking garage full bit difficult navigate , , common happenstance San Francisco one really complain . hotel central courtyard swimming pool centre . first floor , bar restaurant , probably account & quot ; partying & quot ; noise . not really bother we , expect loud location close downtown . we able walk place hotel : Chinatown , Fisherman 's Wharf , North Beach , etc ... also bus stop front hotel , able easily go japantown bus , 5 10 minute away bus . would come back place look economic place stay . 
 Aug 11 2005 	 stay somewhere else 	 next time spend extra dollar stay somewhere else . , family four , unpleasant experience though hardly ever room . book room two queen receive room two double , towel rack break , window break close outside room , lamp shade break . stain bed spread . attempt problem address front desk ignore fact , treat rudely . section hotel , whenever adjoining room would turn shower , terribly loud noise would emanate pipe wake every one room adjoining room . the hotel great location , breakfast first come first serve free parking nice bonus , enough overcome unpleasant experience room poor shape inattentiveness rudeness staff . spend extra dollar enjoy somewhere else . 
 Jul 9 2005 	 cheap adequate 	 room small , neat clean . old reasonably price stay . well within close distance area attraction . although pool close 10:00 p.m. child extremely loud midnight . one night couple & quot ; make love & quot ; pool early hour management around . place work want place sleep & quot ; tourist & quot ; thing , noisy ! ! 
 Jun 25 2005 	 Unfriendly dirty 	 hotel may good deal , place dirty staff rude . addition , two member group room break ( force entry , police suspect card key use - possibly employee ) lose clothing personal item . hotel management completely unconcerned unresponsive event . never stay . 
 Jun 23 2005 	 reasonable budget hotel annoyance 	 stay 3 night . room clean spacious reasonably well - equip . reasonable place spend night , really need . problem however- arrive shower work , annoying 12 hour flight NZ hang shower . also break latch window ask fix never . staff seem lack knowledge area- ask several staff get bus pass direct we several different place never right place . location pretty good though , short steep walk get tram take centre town Fisherman 's Wharf 2 bus route right outside . breakfast free , would disappoint pay . reasonable range , want healthy food struggle- danish , 2 cereal full sugar , bagel butter grape jelly . final annoyance wake drunk guest shout 2 am . hotel 's fault , appear anything . 
 Jun 19 2005 	 come San Francisco stay room ... 	 .... well , do not travel City stay hotel room . find Heritage nice room clean sheet . live San francisco many year find laughable see posting complain air conditioning ! ! do not believe person ever City Summer . Mark Twain say , & quot ; cold winter ever spend summer San Francisco .. & quot ; Mr Clemens point . parking adequate little tight may less space room never much problem . warning : drive large vehicle manuever parking area may require ground guide lend hand . pool area family orient really cup tea want quick dip look clean well maintain . do not know bar resturant stay neighborhood famous 's food least well know local great eat . walk 1 block hill Polk street , make right least 7 8 great resturant include one Best Thai Houses City .... neighborhood people live laundry pick dry cleaning walk dog ... sit cafe enjoy . say ... location perfect many thing area safe . stay room forget ... stay Hilton San Francisco see City ... right place . 
