recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Jan 16 2008 	 Great Hotel 	 book hotel location . arrive London late night Saturday , Sunday walk around city leave , via Heathrow , Monday afternoon . stay near Paddington station crucial wanted make hour city ' want waste time transportation to - from Heathrow . Hilton Paddington conveniently locate next Paddington train station take Heathrow express easy hotel connect station . want take 3:20pm airport . leave room 3:05 , drop express check - out envelope inside box seat seat train 3:10 . ' get easy . access Executive Lounge , ' nice view inside Paddington Station . stay one Executive room extremely spacious . bathroom excellent two shower , one inside bathtub another one side bathroom . ' excellent two people hurry show time use separate shower . the hotel also near Hyde Park , block , Paddington Tube station literally front hotel . the bad thing say dinner include rate book . find food horrible end easte bread dessert . also , pay 12 pound ( almost $ 25 U.S. dollar ) small bottle water outrage . waiter friendly make whole dinner experience pleasant one . ' waste money that . aside minor incident , stay Hilton Paddington worth every single pound pay ' definitely stay next time return London . 
 Jan 9 2008 	 Great London 	 switch hotel rundown B B love . travel young brother parent enjoy . London family room decide could fit suite . upon arrival bump us executive suite enable we use executive lounge ! never opportunity even though hotel business people feel like royalty . include breakfast drink small appetizer near dinner time . save us lot money time able explore London . hotel part train station would go stair able go food court grocery store . perfect location ( across street underground ) beautiful room good place stay London . 
 Dec 22 2007 	 Perfect Location Good Value 	 enjoy weekend stay . central location express train Heathrow step hotel . take 10 - 15 minute reach Piccadilly Circus via tube . large room ( especially London standard ) good condition . fly Heathrow , want large pretty well appoint room reasonable rate , hotel . 
 Dec 21 2007 	 convenient location Heathrow 	 Heathrow Express make hotel great choice stay London . able find hotel 15 minute leave airport big relief stick plane previous 10 hour due weather delay . also make use Sainsbury 's drink snack ( & amp ; simply Food also good selection ) since minibar overprice . also recommend ( ) use internet cafe across street instead 15 pound / day wireless room . Paddington convenient station get many place London since four different Tube line ( especially come handy delay certain line ) . also would recommend get Oyster Card Tube station since save ton money buy ticket seperately . West Cornwall Pasties station not bad alternative typical fast food like McDonald 's Burger King . room pretty standard ( even though told get deluxe room Gold Hilton Honors member ) . decent sized bathroom , nothing really special . could use renovation , sufficient stay four night . staff helpful kind question . 
 Dec 18 2007 	 pretty rough price good location 	 not book hotel be look something special typical run overprice London hotel . if want base Paddington night may consider 's location - book online agent get well price ( use booking.com ) . otherwise not bother . Anne 
 Dec 16 2007 	 overprice greedy 	 stay hotel , arrive early , 7 , early check inn possible , hotel always full . also lobby full busy , rent conference room 6 people meet . price 90 Euro per hour ! ! use room till 16:00 day , get upset charge we full night rate instead day rate . sure sell room twice ! ! bill 2 normal room , use hour , include 4 hour conference room total 1000 Euro , exclude meal , trhey representative restaurant . comment accept , cashier authority respond , power charge right away credit card . hotel well position end Heathrow express station , guess afford act like . 
 Dec 11 2007 	 bad . 	 Ill keep short . this hotel , opinion , sum everything bad corporate travel . rate £ 297 B & amp ; b supposedly ugrade type room ........ put perspective rate almost € 400 put four season / ritz cartlon bracket Dublin . on arrival hotel greet extremely rowdy rough party crowd ....... ok xmas staff do full flow - surely simple party should not cause hotel litterally look like bomb go . people stagger everywhere , bottle , pint glass , people asleep ..... could go . room typical Hitlon drab , wannabe art deco - surprise - wait ! charge almost £ 300 - room basic . even Hilton standard - shower poor , product cheap - mention price everything luxurious . it certainly be not . bed large uncomfortable ..... lip around outside matress hard wood . odd . Tv etc mid 90 's tack . next morning hungry - plan availing breakfast . dressing - three time staff knock door ( 830am btw ) twice ask could clean room ask could re - stock mini bar ........ seriously go away .. ! ! ! breakfast crap . I m sorry will not waste time - hard rubbery bacon , awful & quot ; fresh fruit & quot ; , tar like coffee etc etc . serve glaringly bright , cheaply desgine dinge room . we could not get quick enough.you might read say - well Hilton hotel expect . remember rate - £ 297 ! ! ! ! ! ! disgrace get away . 
 Dec 7 2007 	 great home 4 night 	 great 4 - night stay Hilton London Paddington . staff courteous . reserve double room hotel leave , request room two bed . hotel say could not accomodate tour group already book 2 - bed room , give nice room top floor overlook station . might seem noisy , totally quiet , think much quiet overlook Praed St front ( alternative one interior - face room face another room ) .The room bright clean call get extra blanket change break floor lamp quickly address . thing temperature / water pressure could dodgy shower sometimes - think close - by room flush toilet ! get complimentary breakfast ( HHonors Gold member - access Executive Lounge upgrade , think breakfast good value ) ... great could load plentiful food last we past lunch expensive city ! course location super , especially be fly to / from Heathrow . not even go outside get train , be across street block 3 underground line . plus , 's Sainsbury market around corner inside station ( not walk outside ) drink , snack , etc . like previous poster , use internet internet cafe across street ( Reload internet - basement ) . 5 pound 5 hour . would definitely choose stay . 
 Nov 28 2007 	 great stay Hilton London Paddington 	 wife spend 5 night Hilton London Paddington way home trip Greece . greet warmly efficiently - give room upgrade check - in nice & quot ; double - double & quot ; . ( whatever mean Hilton Hotel speak - still help join loyalty program . ) room spacious room chair , desk , dresser , king size bed . bathroom also roomy London . great view onto front hotel - room quiet . breakfast include rate , enjoy immensely - convenience food choice . travel connection via Tube great easy . travel to / from Heathrow breeze Heathrow Express minute room . lot good restaurant choice rail station nearby . short walk Hyde Park bit long Kensington area . staff extremely friendly helpful . know big chain hotel - great experience would definitely consider stay . reservation make hotel website two month advance . charge arm leg telephone internet - go across street unlimited internet phone week local internet cafe $ 20 . 
 Nov 27 2007 	 nightmare experience 	 stay London Paddington Friday 23rd November . book stay use hotel website Nov. 20th one night . try pay use debit card accept use Visa credit card , however date change default date 21st 22nd . realise try check hotel Friday 23rd . explain error staff manager still charge wednesday Friday night come £ 166.33 per night . to make matter bad Friday night give room ( number 212 ) night club keep awake 3.30am . phone reception nothing do reduce noise . despite use earplug noise unbearable . ' m sure other would find also . soundproof window old double glaze therefore street traffic also clearly audible . ogive £ 13 price room make lack sleep find completely unsatisfactory . experience would turn stay one hotel ever again . if anyone else similar experience would like inform fault website may ground refund . 
 Nov 12 2007 	 Loved Location etc . 	 come back trip England two stay Hilton London Paddington - arrival leave UK . time mixed feeling - would still book stay future trip . to clear & quot ; breakfast problem & quot ; let say , outset , breakfast far expensive buy outright ( 20 GBP ) unless include price deal . breakfast room Manager act aggressive doorman - let people & quot ; list & quot ; inclusive breakfast ( poor soul willing pay $ 80 two breakfast ! ! ) admittedly starbuck right outside door - cover weather etc . - try year ok usual Starbucks fare - space busy - busy make breakfast uncomfortable crowd . be aware - breakfast include room rate hotel make sure ask pre - booked room include breakfast . work . howver - year one pre - booking ( include breakfast ) make several month ahead detail somehow foul ' system ' . mention room breakfast include challenge Breakfast Manager - & quot ; send back & quot ; Reception - Reception Manager also challenge Room / Breakfast booking . let know copy confirmation Email regard book detail - & quot ; send upstairs & quot ; 6th Floor retrieve Email show ! ! ( moral : always travel paper confirmation thing ) .To say least think insult prove honesty , rude send woman ( seasoned traveler certainly stroppy kid ) upstairs & quot ; proof breakfast & quot ; , apology ( ask ) unprofessional behaviour Reception Manager . must enormous problem people try steal breakfast ! ! say , book next year hotel right Heathrow / Paddington travel plan - bed clean comfortable . 
 Oct 28 2007 	 Sludge Tour Mk III 	 part group book coach party , hence name Sludge arrange ! think around £ 140 2 night stay , include breakfast . not know ; especially we Southend v Carlisle football game , Carlisle . whoopee ! not know anyone like hotel room . spacious understand people say . downside everyone get King Size bed regardless whether couple . seem 2 single ... 2 double ! strange ! however , bed oh , comfy , white . nice duvet cleanliness fantastic . whole hotel extremely clean always good sign . apparently , renovate cost £ 60 million 10 year ago ! ! ! money well spend opinion ! top notch hotel like one always expensive , mini bar leave well alone . however , price display top , plus menu eating bed want . thank ! breakfast include bit wrangle chap show us table say not list ( coach party 2nd class citizen UK ) fiance ok . glad not fork £ 16 breakfast - whatever . Extortionate ! everything though , fair , full cook english variety continental style .. tea coffee flow nicely , always good night ! teaspoon though ; first morning . odd ! & quot ; big hotel not cutlery & quot ; boyfriend say . think be right ! someone place early review seem think hairdryer . well , find one drawer ! take , swich , put back little & quot ; housing & quot ; be do . ace ! bathroom expect ; massive ! ! complaint whatsoever big bath , shower ( german make beginning & quot ; G & quot ; never remember ) easy use , large sink de - misted glass . take get water hot sink manage manouvere mixer tap around bit ! lovely toiletry include ( Crabtree & amp ; Evelyn ) amazingly - smell soap . love ! lot towel , etc change daily wonderful ( think Polish ) clean . boss come round check everything ok , nice touch . got extra toilet roll request hotel never , ever give enough . always cheap stuff well ! funniest time venture Steam Bar / Night Club attach hotel . funny price unbelievably massive . even Red Bull ( foul ) cost £ 3.50 ! John buy 3 bottle magner Cider ( small bottle ) cost £ 18 ! ! ! ! ! ! ! unfortunately , want drink late choice go Steam Bar . think ridiculous 24 hour drinking suppose come force place seem shut 11 pm still . Charles Dickens pub nearby ( Longest Pub London ) close door 11 pm Saturday night . unacceptable view . before go go Scotch Scotch Steak House virtually next door above - mention pub . price reasonable beware 10 % surcharge add onto bill see receipt , include price see menu . food lovely though , complaint there . I would recommend hotel anyone wish good night 's sleep , lovely food breakfast time , relax , lay - back atmosphere , oh must buy Paddington Bear . ' ve get one ( price John Casino next door ) be adorable . different size display see - through case front reception desk , price top . mine £ 22 big bear . cute . 's worth stay hotel come one ! ! seriously though , fault hotel would definitely go back . 
 Oct 26 2007 	 dull convenient 	 hotel convenient nothing special . nothing stand except conceirge go beyond assist . front desk quote price high . call Hilton # 800 line get half - price . price internet ridiculous . 15 pound $ 30 ! 
 Oct 21 2007 	 Boring convenient 	 many meeting location 's right top Paddington Station , first time stay . write review 4 week stay , recall get room higgledy - piggledy , room clean ( bit small ) sleep well . otherwise , fairly non - descript . hence , neutral rating . 
 Oct 12 2007 	 Perfect hotel fly visit capital 	 hotel attach Paddington Station , fantastic sneaky entrance avoid London rain . also starbuck next station entrance good know stay include breakfast ( never book cheap last minute ) - Starbucks doorstep whole host eatery within station . upon enter hotel pass lovely plush recepion , smooth check process pleasant staff . part good . the room beautifully decorate corner room , mod con , fantastic coffee make facility - filter coffee - yum . complimentary biscuit present correct well stocked , expensive , mini bar . fact , one complaint whole stay 's minor ... mini bar , go store bottle water space allocate stuff , already half drunk bottle leave previous occupant . 's , entire sum negative . the positive - great check check - quick friendly staff , lovely room , great facility , air con heating require . can not really list one night ! value money . 
 Oct 12 2007 	 Service ok Rooms GREAT Location GREAT ! 	 first impression hotel call 7 morning ask could leave large suitcase concierge couple day take side trip weekend . ( not want check luggage due strict regulation Heathrow . ) guy front desk say fine . spend next hour get hotel , find new guy front desk tell we absolutely possible . really quite jerk , insistent . ask speak manager , somehow get sort - store luggage . persistent pay ! come back , pay 25 pound upgrade Executive Suite ( part business trip - company - pay . ) first thing see huge flat screen plasma 360 - rotate pole middle room ! touch - button light , sit area , large terrace furniture view London Eye church , separate ( fabulous ) shower great toiletry ! comfortable . also get free breakfast Executive Lounge , along hor d'oeuvres throughout day , free internet , drink . ( internet service room 15 pound noon noon . ) not reserve hotel last part trip b / c not know would stay London . decide , go lastminute.uk see available . ( btw , go stay London , book lastminute.uk hotel selection plentiful price low would find US lastminute.com website . ) find & quot ; Mystery Hotel & quot ; ( not tell name , get see location amenity ) . description state art deco hotel recently renovate ; 4 star hotel 2 star price . overall , service , happy . location great ( literally attach Paddington station - underground / tube railway service , along Paddington Express Heathrow 15 minute . ) station also Marks & amp ; Spencer Sainsbury grocery store 's open midnight , want soda not want pay 4 pound , go station pick one 1.50.another head - tell much lift item designate spot mini bar , 's computer mainframe detect change weight charge . double check final bill check ! everything London pricey , not think hotel comparatively overprice room get . would definitely stay . 
 Oct 3 2007 	 surprised quality 	 hotel attach Paddington Station convenient location be stay briefly London -- take express train back forth Heathrow . the hotel immaculate well appoint room pleasant staff . business traveler look quiet , hassle - free place stay , perfect . 
 Sep 26 2007 	 Great Location 	 stay 2 week stay west end . good location - great train Heathrow . large room - add rollaway bed plenty room . : previous comment - hairdryer desk drawer ! ! complaint - phone call cost fortune ( charge minute calling card call ) pay phone hotel . Phones Paddington station take credit debit card cost exhibit . bummer . overall , would stay ease travel . clean room comfortable bed ( even rollaway ) . hot water tricky early morning . 
 Sep 19 2007 	 could well ! ! ! ! 	 stay Paddingto Hilton twice european holiday 2006 . time room large & amp ; service excellent . perfectly locate train & amp ; Hop Hop bus around corner . time weekend deal include 2 x breakfast & amp ; one dinner excellent . nice hotel & amp ; would go back heartbeat . 
 Sep 12 2007 	 great value weekend package 	 spend weekend Hil ; ton , Paddington impressed value , courtesy immaculate room . the staff friendly concierge helpful . a weekend deal include two night full english breakfast dinner night choice . the latter little disappointing - restaurant rather souless despite warn need book - share three couple ! room spacious , clean , comfortable surprisingly quiet . the central location fine choose catch train Paddington fancy drag baggage across london . after take cost breakfast dinner room actually cost £ 80 night . the snag - everything else cost fortune eg £ 5 small bar chocolate mini bar 
 Sep 5 2007 	 dump rip 	 use hilton web get deal .... room low standrd like motel price even london worth night room 169 pound ( 400 aussie ) fee . much noise traffic road ... bad reception staff , pirce food bearable .. would rather stay awake night train station sleep .... go thsi hotel ! ! oh yeah internet extra 15 ound slow connection late check offer past 12 pm .... 
 Aug 31 2007 	 Perfect Hotel Night Heathrow Express 	 hotel perfect place stay night take Heathrow Express 6 a.m . hotel connect Paddington Station ; roll luggage across interior footbridge lobby lift track . room large London standard clean well - appoint . book hotel & quot ; top secret hotel & quot ; lastminute.com 's UK site ( look & quot ; High Quality Hotel Art Deco Style & quot ; ) save substantial amount ( 85 pound per night include taxis -- think sometimes get room less ) . Paddington Station everything would want -- Sainsbury 's grocery store , Marks & amp ; Spencer Simply Food , Starbucks , . would consider stay departure arrival point Heathrow , also long stay . 
 Aug 21 2007 	 rude staff - bad service ! 	 location great room big without hair dryer , bathrobe little extra would expect 4 star hotel . staff rude serviceminde . stay include dinner first night breakfast . since know would able dinner hotel first night write email 8 day arrival ask could dinner follow night instead . get email back problem . arrive check - in slow could see anything we dinner night . felt accuse lie since bring e - mail could remember write get dinner ( actually pay beforehand ! ) staff anything try solve problem . really care ! never stay hotel always choose Hyatt , normally . time decide try Hilton never ! 
 Aug 18 2007 	 overprice poor value . 	 stay one night business need close Paddington arrive late . even book ahead room cost stagger £ 350 - not get breakfast , mini bar even bathrobe . despite book double get twin room . I buy breakfast Starbucks save £ 25 ! room nice , price would expect . fact half price London would expect similar room . this hotel overprice week get way purely due location - avoid possible . 
 Aug 17 2007 	 good 4 star great location 	 stay business couple night . price reasonable expensive city - 140 ppn . Breakfest & amp ; internet expensive . location beat anyone come Heathrow need travel multiple destination within city . staff excellent & amp ; helpful . get upgrade double deluxe , clean & amp ; comfortable , albeit rather small outdated decor . get amazing view wall airconditione pipe ... overall , heartily recommend hotel business traveler , want good access throughout city . 
 Aug 10 2007 	 Love Hilton 	 stay rental two night treat . never stay Hilton Hotel absolutely love ! room immaculate , huge , bed comfie ( enormous ) , bathroom great love Crabtree Evelyn toiletry . minor thing remember keen water temp control ( fluctuate temp ) major issue . loved hilton def book ever want treat . staff great . 
 Aug 7 2007 	 especially convenient trip include train to / from Paddington 	 stay four night July 2007 , divide one stay three night one one night , separate week . overall good experience would happily stay . positive : - great location ; enter hotel directly Paddington rail Underground station without go outside . since come Heathrow Connect ( midnight ) leave return London train from / to Paddington , ' convenient . Paddington three tube line ( District , Circle , Hammersmith City ) , although Hammersmith City bit hike train station ' reach directly District / Circle line , Circle line close weekend plan maintenance.- Paddington rail station everything need , include two grocery store ( Sainsbury ' Marks & amp ; Spencer ) open late , drugstore , bookstore , numerous fast - food establishment , mailbox . - room fourth floor ( first stay ) third floor ( second stay ) , face Praed Street ( like view - major sight , nice urban overlook ) . although prae fairly busy street , bus , emergency vehicle siren , drunk customer emerge nearby pub , close window hear noise whatsoever . ( noise - sensitive . ) - bed firm comfortable , nice comforter / duvet many pillow . ( like duvet approach much well linen / blanket approach . ) room quite large . first one " suite " , would consider suite U.S. – tiny additional alcove main room desk uncomfortable upright chair . - executive lounge recently upgrade , include large , full breakfast ( egg , potato , meat , yogurt , cereal , fruit , cheese , etc . ) , free internet access , newspapers.- staff friendly helpful , although check first time present someone else ' bill ( clerk enter room number one digit mine , although pointed error , struggle find right bill ) . - room keep quite clean.- bag ' make London , return hotel first night , deliver Heathrow deposit directly room.- come back out - of - London travel , arrive hotel 9.30 – know early check , clerk encourage leave bag relax breakfast executive lounge . ' expect , since ' time eat catch early - AM train back London , really appreciate ! - much enjoy book room history hotel Paddington rail station . plan thumb end read whole thing . negative : - see fair amount minor trash floor hallway room on.- room maintenance issue . first room shower door noisy painful hear , second room ' shower miss soap tray . a / c first room great , second room ' work . good thing cool enough July night ' need open window , noise Praed street.- water pressure okay ( great , acceptable ) . water temperature tend fluctuate bit around set temperature ( cold warm ) , much leap spray . I stay use Hilton Honors point ' comment value money . also ' explore immediate area around hotel , use hotel ' restaurant gym . in summary , good stay , would happily stay , especially trip focus around Paddington rail station one . 
 Aug 3 2007 	 great location short stay 	 hotel great choice short weekend stopover London . arrive late Friday night Heathrow , leave early Sunday morning . give , fact hotel attach directly Paddington Station perfect -- could heathrow easily within 30 minute get bed . other location , find room surprisingly large , comfortable , quiet , especially London standard , although see pay $ 300 US include tax , expect something pretty decent . the downside hotel location great business trip short stay , 's tourist - friendly -- figure walk lot , ride bus , take Underground be London family trip . the hotel also appear attach sort trendy club / restaurant , complete scary - look bouncer Saturday night . imagine room near club might less quiet one ... 
 Jul 29 2007 	 RUDE staff RIP phone call 	 hotel fantastic location , entrance directly Paddington station get train Heathrow airport . room nice hotel modern clean . positive end . staff hotel rudest encounter 4 month travel Europe . ask spare key room quiz many people stay room require show ID . ask travel adaptor require pay 5 pound deposit . internet access available , cost something like 20 pound day ( ridiculous ) . 5 minute phone call London mobile phone charge 20 pound ! ! ! question charge tell ' yes , ' ve lot complaint cost nothing contract 10 year use external agency phone call . ' room 's minibar charge soon remove something , whether consume product ( could not even work open door mind ) .wheelchair access via side entrance lift require staff member operate key . come hotel several time 1 night stay time take 10 minute get staff member assist we . time ask could leave key lift could operate reply give dirty look . 
 Jul 27 2007 	 Excellent location- great altenative airport hotel 	 stay Paddington Hilton rather airport happy . past , connect London , stay Heathrow airport Hilton think ' give Paddington try . ( airport Hilton technically locate & quot ; " airport still take 40 minute walk terminal 3 -- Heathrow ridiculous airport/ impossible get around ) . take Heathrow Express train airport ( £ 28.50 GBP round trip ) great . entire journey – from time exit plane terminal one time arrive hotel one hour fifteen minute ( include time pick luggage ) . train ride 15 min travel directly Paddington Station . hotel locate immediately inside station – lawn level . good : hotel traditional design yesr old . room clean staff attentive many restaurant shop locate immediately outside hotel , offer variety food choice . also small grocery station open midnight . use grocery alternative high drink food price hotel . London Underground ( tube ) service station well , make excellent location get anywhere city . the good . price steep . pay £ 119 GBP , see price location much high . air conditioning room minimal good , end open window cool room . health club small offer pool . close 10:30 arrive late luck . tip : use tube - buy day ticket ( zone 1 & amp ; 2 address shopping/ touring/ restaurant need ) . cost £ 5.10 allow travel tube bus day . hotel offer Executive Lounge Lobby level , use require separate fee , include refreshment meeting space , may worth look . Heathrow express ticket 2 pound purchase train . schedule permit , consider day trip London Paris Eurostar . 
 Jul 10 2007 	 wonderful hotel 	 stay hotel , want close Paddington Station , catch train morning . walk side hotel train station , great . room lovely , clean . breakfast include price , excellent , great choice , hot fresh . attentive staff , would defintely stay . 
 Jul 8 2007 	 pleased ! 	 book hotel via another website & quot ; top secret hotel & quot ; ( pretty confident have figure ) good rate approx £ 60 one night , room . please hotel . travel Oxford step train straight lobby ! reception staff pleasant check - in little waiting . standard double 6th floor can not really fault . room good size , especially London . spotlessly clean good size sparkle bathroom , complete full set Crabtree Evelyn toiletry . reviewer not like duvet bed prefer blanket especially happy see also provide top sheet . bed extremely comfortable sleep like log . tv channel usual terrestrial one ... much London not really bother . mini bar price totally exorbitant ... 's easy solution - do not use ! little space personal use plenty shop downstairs ( & amp ; open 11 pm Sainsburys midnight ) keep go . lot tea coffee provide delight proper coffee maker too - hurrah ! not use internet connection can not comment , appear expensive . difficult find internet café nearby though . also not breakfast , can not really imagine pay £ 20 privilege . lot cafe London Street across road full English £ 4-£4.50 want coffee shop starbuck station continental . location fantastic travel - Paddington station great rail service , include Heathrow express . lovely run Hyde Park get morning stroll Oxford Street along park fancy bit exercise . much way shopping immediate vicinity , 15min tube ride Oxford CIrcus ! leisure centre small , usual treadmill , stepper , elliptical bike weight machine . enough keep go . 2 sauna - one male one female , shower attach . perfectly adequate really . finally , issue whatsoever staff . everyone helpful entirely pleasant , even say hello pass corridor . expect large hotel central London honest ! would absolutely stay . 
 Jul 7 2007 	 great value great hotel 	 get cut price rate ( £ 84 double ) via web . all round excellent hotel . good location , good facility efficient staff . 
 Jun 29 2007 	 great hotel ! 	 stay fiance night June . hotel perfect us - fantastic location next door Paddington tube station . check easy room comfortable - clean , spacious comfortable bed ! would definitely look stay return London . 
 Jun 25 2007 	 Great Hotel Great Location 	 Hotel would expect Hilton , room clean well present . everything need . central London room quiet . the good part hotel location . Paddington station allow access london attraction . buy day ticket zone 1 & amp ; 2 £ 5.10 let travel train , underground bus central london day . hotel perfect visitor want good hotel quick easy travel link . look around online good deal save upwards £ 100 per night ! 
 Jun 24 2007 	 nice hotel pity staff 	 room , location service good , find factor over - shadow performance ( lack ) staff member . upon arrival , check clerk abrupt unhelpful little attention give we , indeed people , restaurant . overall , Hilton Paddington good value quality hotel convenience expect service smile . 
 Jun 21 2007 	 Great Hotel Great Location 	 great hotel great location . room good size clean . ' ve stay several time . room ' ve quite . convenient close heathrow express paddington bus stop underestimate . great hotel especially get special discount rate website . 
 Jun 7 2007 	 convenient train moderately nice 	 ' ve stay Paddington Hilton 2 - 3 time per year since open . real reason stay proximity train west ( include Heathrow Express ) underground -- literally upstairs Paddington station . station find quite restaurant shop , include liquor store grocery store . particularly handy want avoid minibar charge extensive , expensive , breakfast buffet ( 20 pound ) .The hotel purpose - build year ago , everything generally clean good condition , however hotel start show sign wear . example , minibar room break empty . ( be probably good thing , give price charge ! ) additionally , machine front desk programs room key break , every guest escort room valet master key . ( security - wise , ask see ID , retrospect woul make situation much aggravate additional waiting time . ) location hotel design , room view . look onto large central light wells office building , good job lighting . other comment room : internet connection room ( also expensive 15 pound ) unreliable peak hour ( people wake people get back day ) . tv selection basic , nothing exciting . bathroom large , poor ventilation . fortunately mirror heated , not clear steam shaving . like many european hotel , king size bed , yes , two small bed push together . disappointing twist , decide save money housekeeping replace regular bed linen loose duvet / comforter tuck side foot bed . fairly standard scandinavian german hotel , ' ve never see UK . clearly save time maid save laundry cost , step otherwise nice hotel . the staff friendly pleasant . arrive hotel around 8:00 , expect room ready . sure enough , not happily store luggage go meeting . room ready return mid - day . the area around hotel great . nice restaurant pub , ask recommendation setting . go wrong direction will residential area shop food . underground accessable station , be often well option want go outside immediate area . when meeting west via train ( Slough , Reading , Oxford , Newbury , Bath , Bristol , etc . ) always try stay hotel , get to / from Heathrow easy . thumb ! 
 Jun 6 2007 	 love 	 ( stay hotel August 2006 never get around writing review . however feel need read recent negative comment . ) stay several b & amp ; Bs guest house throughout England andEurope , decide treat hotel return London . manage get good rate Paddington Hilton ( include breakfast ) , otherwise would price range . yes - normal room rate cost - drink etc etc , high high hotel quality London . one realise London expensive place visit . yes - room quite walk lift problem we . big hotel . yes - king size bed 2 single mattress together importantly extremely comfortable . yes - bed duvet two sheet make easy peel un - needed layer . yes - breakfast expensive one 's include rate . however excellent buffet cereal , huge variety fruit , juice , bread , muffin , croissant , yoghurt etc etc . plus cook - bacon , sausage , black pudding & amp ; white pudding ( adventurous ) , bake bean , tomato , variety egg etc etc . plus individually make omelette choice filling well bottomless cups coffee , tea , milo etc . constantly replenish throughout morning . what could one want breakfast buffet ? ? ? ( also experience ' full english breakfast ' many B & amp ; Bs stay absolutely complaint . english food typically great Hilton 's breakfast buffet exceptional ) . find hotel fantastic . room ' classically English ' decor extremely comfortable extremely clean . bathroom really lovely shower perfect . the3rd floor overlook Praed St problem noise . the location fantastic extremely convenient public transport many other mention . the hotel staff really friendly could not helpfulin area . so enjoyable treat would definitely stay possible . 
 Jun 4 2007 	 awful brilliant 	 choose hotel convenience aspect couple minute away Heathrow Express . we arrive busy time queue quite long check . give room third floor situate ( seem ) mile lift . the room cleanish ( lot debris carpet ) mineral water . when come back room later evening eat tired . go bed wake strange noise come bathroom . close inspection noise come bath ! strange whirring , spit noise . toss complain neither one we could face long walk reception . the follow morning speak reception change room we Delux Room . room lovely really impressed . unfortunately close inspection bedroom not lovely first thought . lovely ' kingsize ' bed infact two single bed hold together make lie middle ( next partner ) near impossible . duvet duvet cover sandwich two sheet find rather horrible . ask reception lack duvet cover tell standard practise two sheet sandwich thing . today come back room , clean , find duvet cover bed ! ! breakfast okay 's good go breakfast earlyish not seem replenish food . overall okay stay stay quite Hiltons London draw hotel ease factor Heathrow . 
 May 10 2007 	 Excellent ... price 	 turn day obtain walk rate 150 pound ( incl breakfast ) , seem typically Hilton , ' ve want try hotel time .... check staff pleasant , ask quiet room high floor place floor 7 overlooking station roof building . may sound inspire , silent perfect 24 hour travel . front face room busy Praed St contend , virtually 24 hour non - stop traffic ! ! find room excellent , everything would expect , bathrobe , top class toiletry , large luxurious bed , tea / coffee , bath / shower room service . sleep undisturbe 10 hour ! Breakfast professionally serve 's load choose , impressed . pretty much have hope , naturally low price would guarantee return , happy pleasant one - off visit . 
 May 10 2007 	 Nice room reasonably Priced would stay ! 	 stay Hilton Paddington half week business trip . room decently size clean . bed good . would definitely stay London . the hotel connect one paddington train station accross street tube stop . conveniently locate . also starbuck hotel go train station , decent food . always wonder people say british food suck . two breakfast hotel , wholeheartedly agree . british food horrible . unless know like british breakfast , recommend go Starbuck 's coffee shop train station . train station also grocery store great . complaint internet charge around 15 pound per day . $ 30 / day internet , crazy ! 
 May 7 2007 	 extension station 	 although be quite smart , slightly feel still station ( , fact , ! ) - quite London . Standard Hilton operation , rather souless price . lobby ground floor busy due people meet travel . 
 Apr 25 2007 	 great room convenient location 	 Hilton Gold vip hhonor member treat we well . check late due business meeting day remember hold room ( past midnight ! ) upgrade suite , per status . bedroom large , LR sofabe linen blanket , problematic since room freeze cold . always , nice bottle still bottle spark water -- fave perk ( quite necessary dehydrated frequent traveller ) . bathroom enormous , modern pretty . overall , clean usable room . would definitely stay , wish another night two spend . however , steep ( 250gbp night fora regular room , upgrade ) , have willing use point . 
