Beautiful 	 spend four night two adjoining room 5th floor hotel last week could not happy . spacious well appoint room typically beyond comfortable Marriott bed bed large , though bit retro , bathroom . complaint , know prior arrive , would wi - fi room ( although breakfast pre - dinner drink executive lounge give we enough time laptop ) . staff helpful friendly ( lovely lady front desk go way accomodate request early check - in ) . within walking distance Shepard 's Market , Buckingham Palace , Oxford / Bond Street shopping convenient . would love chance go back stay ... 
 old grande dame get facelift . 	 stay Grosvenor several night conference November 2009 pleasantly surprise much improved previous stay 2002 . back , give tiny broom closet room bed old lumpy certain use Queen Victoria . hotel use look smell old lady see well day decade ago . Grosvenor apparently undergo major rehab glow polished . everything hotel nice , all - marble bath deluxe bed bath linen . room time huge super comfy King bed . despite large hotel , room extremely quiet . ' ve London dozen time stay different hotel new , improve Grosvenor hotel return . hotel bar really warm inviting . location short walk Oxford Street shopping . one tip : hotel Theatre Ticket service main lobby purchase theatre ticket immediately upon arrival . gentleman desk nice good recommendation . also get half - price , day theatre ticket Leicester Square , long walk hotel take chance ticket available . 
 great location Spacious Room 	 Grosvenor House , confused Marriott hotel also Park Lane , well situate across Hyde Park . historic hotel not offer many amenity ( think gym renovation ) , staff gracious helpful . arrive red - eye flight , well check - in time , promptly give room . excellent location major metropolitan city , surprised spacious room ( 820 ) . breakfast buffet grossly overprice ( 30 pound ) . Red Bar bit scene beautiful people London , complete Kevin Spacey sighting . 
 Oct 28 2008 	 TripAdvisor 's no.1 	 5 Star Hotel , would expect everything excellent .... . Grosvenor House 2 night , initially occupe 3 room smoke non - smoking section hotel . room stunning . hotel recently revamp , area lobby dining area individual room & amp ; bathroom flawless . welcome service young enthusiastic team staff set hotel apart . instance , would additionally book fourth room 1 night brother new wife ( wedding day check en route Istanbul ) . despite book reduce rate , informed hotel occasion , immediately up - grade brother 's room fabulous suite view Hyde Park . similarly , check - in request twin , king queen size room immediately accomodate . likewise , staff breakfast diningroom courteous & amp ; eager please , take geniune interest guest meet dietary qwerk . location - wise , hotel perfect ; 5 minute stroll Selfridges & amp ; Oxford Street , immediately overlook Hyde Park . despite proximity busy Park Lane , room sound - proof window , 's concern street - noise sleepless night ! ' ve really search find fault Grosvenor House , be nothing much find ; erratic elevator , maybe , be . defintely will back . 
 Oct 28 2008 	 slightly disappointing ... 	 Grosvenor House JW Marriott Hotel . Pk Lane London W1 . 5 * rated.2 night weekend stay . hotel review base personal subjective opinion . what may acceptable , may , vice versa . location : Premium . Upscale Park Lane . marble Arch Tube 5 min . Oxford St shopping 5 min away . safety : good 8/10 . although big city common sense always apply . check : good . look several room choose . staff helpful , mostly european . property : London icon . re - brand JW Marriott Sept 08 . refurbish high ( ish ) standard . period furnishing mate modern technology . wifi ... shock true . well furnish comfortable small bedroom . luxurious bathroom marble , excellent rain shower , quality personal care product , quality towel , bathrobe etc . room : bed well 5 * hotel . good pillow choice high thread count sheet duvet set . true pillow - top , rather add - on soft top traditional mattress . actually find uncomfortable . Starwood Heavenly bed quality . 6/10conclusion : wish could say great , overall , live legendary reputation JW Marriott standard . slightly disappointing experience . US rating : solid 4 starstay ? probably . value : poor . 6/10 
 Oct 15 2008 	 beautiful hotel great location 	 stay 8 night month , use Marriott Rewards point . hotel beautiful elegant . fact , feel apologize way dress , since people see lobby common area much dress we ! room ( # 568 ) small ( typical european hotel ) nicely furnish . view awful , not bother we , since sightseeing day anyway . bed not seem standard Marriott Reviva bed , little firm , separate pillow top covering . large closet chest drawer clothe , nice tv ( think 42 & quot ; screen ) .The marble bathroom actually large expect , lot counter space nice thick towel . real complaint shower . standard overhead showerhead tub , nonfunctioning . instead , replace hand hold contraption difficult use , way attach wall anything . make matter bad , way flexible metal hose make , tend crimp happen , startling change water temperature would occur . couple day , settle method work , share sake woman - would wash hair bath faucet , put plug drain , shave leg , take plug , , , turn show head rinse get conditioner hair . seem work okay , say , really happy get back shower ! several restaurant lounge hotel . small breakfast little cafe morning , pastry , coffee ( nasty ) tea ( wonderful ) . place , Bord'eaux , sit - down restaurant well , breakfast one day light meal one afternoon , be pricey ( everything London ) nice enough . also afternoon tea Park Room one day , wonderful . couple lounge , drink Library one night , nice atmosphere . the hotel locate right Park Lane Hyde Park Corner Marble Arch undergroud station . neighborhood nice , upper class quiet . 
 Oct 13 2008 	 Place Pampered 	 every positive thing say hotel true . stay wonderful experience , staff seem everything pamp . would place hotel category fine hotel stay , certainly disappoint . the small problem access internet . travel computer , seem two way access internet . one television room . charge access . mind charge , however , manuvere internet television keyboard difficult clumsy . way access internet computer locate ground floor . problem one computer , never able find computer free user . 
 Sep 19 2008 	 Grosvenor House Marriott London England 	 recently stay hotel , Grosvenor House , impress personal service receive . can not say enough quality hotel . location great , service exceptional , food world GREAT hotel . thank , Grosvenor House make 8 day wonderful ! ! Barbara Harlan HighsmithDenver , Colorado 
 Sep 18 2008 	 love ! 	 good experience since long time usually London hotel compare destination always good . think talk service , 5 star plus really feel home , think property deserve JW MarriottThere doubt stay new JW Marriott next time , service , food room stuff 5 star 
 Sep 15 2008 	 good bed ... ever 	 stay two night Sept 08 birthday celebration , give upgrade free chocolate due special occasion . front desk staff friendly helpful . the hotel recently undergo refurbishment , result area feel clean smart . room large clean , bed fabulous ... absolutely huge comfortable cloud . not eat hotel , couple drink bar end evening . public area hotel , find bar spacious pleasant . complementary selection nibble drink nice touch . the hotel 's location good ( although little far tube carry heavy bag ) : close Oxford Street , Bond Street , Knightsbridge etc , easy get west end . by coincidence hotel host Mercury Music Prize stay . have pay full price would little disappointed couple small thing , , secure great deal via Priceline , happy 3 * price 5 * stay . would definitely return . 
 Sep 8 2008 	 dirty rude staff expensive snooty 	 book 5 star hotel priceline £ 105 give we grosvenor . book fiancee 's birthday make hotel aware contact request king bed . also request room sort view say could offer available check . price seem good fiancee excite . one tip arrive tube ... go marble arch hyde park corner . on check greet desk . enter Park Lane main entrance . main entrance side road greet porter dress top tail . reception friendly give we key room complete paperwork . offer anyone take bag show we room . enter room small , expected , view . bed pull one side room bed plaster wrappers rubbish floor . fiancee contact reception 5 minute later male ahd check we arrive room . give we key another room & quot ; upgrade & quot ; tell we find . still offer take bag show room . enter second room slightly large time view hyde park . happy move still slightly disappointed level service . thirty minute later get ready go dinner . boxer short fiancee take trouser walk maintenance man change one outside light bulb . knock door , let introduce shocked fiancee explain housekeeping send . want ruin night away decide complain continued get ready dinner . look forward nice shower go bathroom go take bath mat corner bath roll find cover large number pubic hair line top bath . become disaster still wish spoil fiancee 's birthday constantly complain wash away . consider whether order breakfast bed contact reception confirm price extremely unclear order form . turn english breakfast £ 53 two people continental breakfast £ 42 . rest night go without problem lovely sleep large comfy bed 8 am yet unwanted guest . time form maid knock simply let challenge simply reply & quot ; maid service & quot ; . quickly order leave decide put & quot ; disturb & quot ; form outside attempt get back sleep . 30 minute later wake , least time decency knock obviously decided not matter disturb sign display . needless say could wait leave duly fill customer comment card . positive give comfort bed . nothing make hotel special . sick corridor carpet , room dirty , staff rude inconsiderate . music pay even though hotel 3 star provide free music come cheap little nice touch tea coffee . 
 Sep 8 2008 	 great bed skip breakfast ! 	 stay time , usually part function package . weekend stay private tourist hotel & quot ; Discounted Escape & quot ; package . room bad value give location star rating hotel nice size well appoint . bed huge fabulous ! excellent quality bed linen , fantastic mattress plenty pillow . even though book superior room bathroom rather small disappointing shower bath rather separate walk shower . however big complaint breakfast bill . even though book weekend package , rate include breakfast . however ok realise situation . ok charge £ 3.50 * cup * coffee breakfast £ 2.95 glass juice ! even round toast order go poach egg charge separately ! also naughty hotel add 12.5 % service leave space bill & quot ; gratuity & quot ; ! definitely rip - off let hotel end nice stay . 
 Sep 5 2008 	 Nice London Hotel 	 book 6 people 3 room 2 night stay Grosvenor House end 2 week trip Europe . already visit Italy France arrive London , want nice , luxurious hotel end trip know would get tired dreading trip back home . certainly make right decision ! be difficult enough find nice , affordable hotel London think find nice one within budget would difficult . sit computer one night name - your - price website british husband laugh enter $ 250 / night 5 - star hotel Bloomsbury / Soho area . never expect offer accept , especially 3 room , lucky enough get Grosvenor House ! ! room 3 exquisite comfortable bed ' ve ever sleep . front desk staff helpful location superb . bit stressful check taxi drop we wrong entrance , one help we luggage ( 6 people , suitecase carry - on bag ) . wait outside luggage bellman able bring trolley around we take 10 minute , make note , not get drop Park Lane entrance ! issue restaurant / lounge hotel . theater want simple snack hot chocolate . 6 maybe 10 people , certainly busy . order 6 hot chocolate cost 5 pound , cheese tray dessert tray , 12 pound . take nearly half hour get hot chocolate , powder mixed hot water , nothing like hot chocolate accustom throughout Europe . 20 minute cheese dessert arrive , never see server . cheese suppose serve fruit , nut , honey bread . cheese bread literally could break . dessert tray several type small dessert , large slice chocolate torte . could find anyone restaurant complain , go front desk take care we , still disappointing go bed hungry ! everything else hotel wonderful , would definitely stay , bother try lounge theater ! 
 Aug 8 2008 	 Beauty elegance 	 stay Grosvenor House special night away , certainly . hotel beautiful elegant , bedroom absolutely wonderful . staff great ; seem dissapear background ' need , appear right moment order another drink , food . eat Bord'eaux outside Park Lane terrace lovely , fault food . know London well , ' sure close thing , everything seem doorstep , Oxford Street 5 min walk ! stay Marriott hotel , one thing sure ... bed amazing bed ever sleep . huge everso comfortable ! ! , luxury 5 Star hotel , quite rightly , definitely worth stay . 
 Aug 1 2008 	 luxury well 	 get back wonderful 5 night stay excellent hotel . I live lot hotel , Grosvenor House top list come room comfort service . huge kingsize bed comfortable , bed linen top quality , place always spotless clean , one top Marriott Hotel . breakfast buffet dream , wide array fresh food fruit start theday right . quite pricey definitely worth price . staff friendly except one drag , young man ( forgive though ) reception check want know exactly much money credit card , bless soul . not think business must good reason ask . overall , would definitely come back hotel , love come back room day 's shopping night theater . sleep like baby , 5 night stay . 
 Jul 15 2008 	 great experience 	 hotel undergo major renovation . room use already renovate , spacious , well equip room . staff friendly extremely helpful . facility outstanding . would recommend hotel highly anyone want great location luxury hotel . 
 Jun 8 2008 	 excellent choice London 	 wife get back wonderful hotel . reviewer already address great thing hotel location want address concierge lounge . incredible staff ! woman make stay much well average kindness outgoing personality . the breakfast spread fantastic even serve complimentary high tea afternoon cost $ 60 per person downstairs . early evening complimentary cocktail ( premium liquor ) canape . dinner , incredible dessert serve access cocktail well . absolutely superb ! 
 Jun 1 2008 	 greatly improve 	 have couple event hotel couple year ago , although not stay occasion , think public area bite shabby fade . so provide room courtesey large computer company not really look forward it . but be dramatic transformation recently : large , spacious public area beautifully decorate ; although 20 we turn check - in service efficient friendly create all - important good first impression . my room spacious abd beautifully - decorate , lovely marble bathroom * * comfortable bed , size small swimming pool . luxury ! breakfast good , although £ 30 would expect be . if stay London usually try save Claridge 's , become expensive may try Grosvenor House . 
 may 27 2008 	 Beautiful Old World Hotel Park Lane Mayfair 	 Grosvenor House perfect choice enjoy experience old world , luxury hotel . property stately elegant . London night , find want leave Hotel ... wonderful ! stay Grosvenor House like stay one original Ritz - Carlton 's .... formal , elegant , relaxed . dine restaurant terrace breakfast dinner . staff wonderful overly attentive ... make stay perfect weekend experience . hotel wonderful hotel anyone look refined experience Mayfair . 
 May 27 2008 	 impeccable standard 	 return long weekend impeccable Marriott property London . absolutely fabulous , find reminscent Plaza ( NYC ) many way . time usher door time check , service excellent . doorman always helpful friendly , front desk staff everything ensure pleasant stay , even maid friendly encounter . one night , rush back hotel change dinner , maid process turn room night -- gracious understanding , even though interupte work . lobby area beautiful scent , front desk staff go beyond find name contact information distributor , well name fragrance . excellent service . the room HUGE , especially european standard . well appoint , well lit , extremely comfortable . bed update Marriott bed , enjoy long day explore London . bathroom beautiful well -- dual shower head comfortably size bathtub . well lit , outlet bathroom , except razor . 2 restaurant , bar , small cafe site . bar close early , hotel bar London , unless guest . cafe offer pastry , coffee , small thing take away . not tea restaurant , afternoon tea service look delicious ! location also excellent . Marble Arch ( central line ) close tube station , although Hyde Park Corner station close , . directly across Hyde Park posh neighborhood , not trouble noise night . everywhere went seem short tube ride away one direction another . this far away good hotel stay London , understand not rate high . extremely impressed enjoy stay immensely . 
 May 26 2008 	 great service ! 	 boyfriend stay hotel use Marriott Rewards . arrive upgrade we right away . room big expected view get not great hope ( face Hyde Park ) . front desk absolutely wonderful . receive letter let we know tv outtage middle night appologie give we free chocolate . follow day tv still work phone front desk send someone help immediately ; problem fix less 5 minute . the hotel also supply umbrella come handy whole trip rain visit . also supply robe slipper ( believe take slipper home leave room ) .overrall , would deffinitely use point stay hotel visit next time ( much US dollar spend ! ! ! ) 
 Apr 30 2008 	 Best London 	 Partner stay Grosvenor House last minute trip London glad do . the Hotel charming elegant - truly jewel . upon entry greet like Royalty . upon check receive room type want gracious smile front desk agent even give we quick lesson British Money . we love scent pump lobby great well - feel clean welcoming . we get Coffee Pastry morning restaurant always treat wonderfully . the Concerige also great never give we bad advice thi great knowledge , amazing trip . the location also beat - next Hyde Park , Underground , US Embassy , great shopping minute away London offer . the Grosvenor House worth extra money , patronize without question . 
 Apr 29 2008 	 decadent elegance ... 	 stay one night part birthday celebration combine West End show nice hotel . the attention detail , luxury & amp ; customer experience second none . as part booking could take advantage ' Executive Lounge ' serve complimentary Continental breakfast . afternoon tea & amp ; evening snack include wine / champagne . what luxury & amp ; hotel ... well do Marriott ( shall back one day ) 
 Mar 19 2008 	 favorite hotel London ! fabulous service 	 stay Grosvenor House birthday weekend February past three year . acquire Marriott & amp ; undergo multi - year , multi - million $ $ renovation finish late 2008 / early 2009 . majority do . renovation complete rebrande JW Marriott JW Grosvenor House . this favorite hotel London . service / staff excellent . 's Mastercard ad ? priceless ! truly go & amp ; beyond make sure guest happy , meet need , solve problem ( ' ve experience problem ) . can not speak highly enough staff . the property quite lovely . be one grand dame hotel London Park Lane , overlook Hyde Park . lobby large elegant . well actually entire hotel elegant , especially post renovation . take photo tour property / room / bar / restaurant hotel 's website . the room remodel , quite nice . especially bed ! totally comfy ; wish one home . large flat screen tvs room . room size vary , depend type room reserve . bathroom marble . hairdryer provide . internet room , charge . mini - bar room . room service 24/7.i elite status Marriott , entitle access executive lounge . staff , per norm , cheerful & amp ; helpful . continental breakfast morning , pastry mid - day , afternoon tea w/ sandwich , cocktail hour hor d'eouvres , evening pastry . free internet terminal lounge , free wifi available laptop . lounge long , far room flat - screen tv . lot chair & amp ; couch sit & amp ; relax . when open Bord'eaux , parisian brasserie . food wonderful , atmosphere . Bord'eaux also patio overlook park , imagine quite popular spring / summer / early autumn , sit & amp ; drink meal . later year be open another restaurant , run Richard Corrigan ( evidently famous chef ) . addition , LeP'tit Cafe , small french cafe get coffee , tea , scrumptious pastry . plus area sit & amp ; read newspaper , provide stand . also Park Room , overlook Hyde Park . decide afternoon tea , get table window . lovely view . also Champagne Bar Park Room , Red Bar ( yes 's red ) , Library drink , meal snack . the location good one . 's 5 - 10 minute walk Marble Arch tube stop , 10 - 15 minute Hyde Park tube stop depend fast walk & amp ; much luggage . ' ve stayed ' ve take Heathrow Express Paddington & amp ; cab hotel . easy access tube make get around London easy , w/ location easy access pub , restaurant , shop & amp ; sight . hotel couple block US Embassy , far Oxford Street . 's residential area . later year go open full spa . can not wait try next time ' m . addition be also bring back hair salon . pool / health club renovation taking long expect , probably will not open early ' 09 . short - term ' ve locate health club ( think ) 2nd floor , make arrangement w/ property pool access . I highly recommend property anyone stay London ! 
 Mar 18 2008 	 good service .... 	 Attended & quot ; Black Tie Dinner & quot ; hotel & amp ; kindly book host - arrive computer still seamlessly check in . once get room none electric work sort less 5 minute though brilliant . all staff friendly & amp ; help & quot ; touristy & quot ; question ( including find Buckingham Palace ! ! ) however know pay premium good location Park Lane certainly would not say 5 * & amp ; would not choose hotel luxury . 
 Jan 24 2008 	 little London luxury ... 	 decide take highly excited 3 year old see Father Christmas London . nightmare journey , arrive wonderful hotel , challenge journey soon become distant memory . staff hotel child friendly , remember daughter name time see really help make stay memorable . location fantastic easy access Hyde Park well shop Oxford Street . room service breakfast , abolute treat we ! 
 Jan 22 2008 	 nice hotel 	 Booked hotel couple month advance manage get room include breakfast 2 200 quid , arrive midday , pleasantly surprised room ready , get business room , not massive clean , tidy everything need , check easy quick , problem language barrier , impressive lobby area , 5 min stroll oxford street opposite hyde park . drink not cheap , vodka orange £ 9.50 , bottle bud £ 5.25 bring plenty money , not eat , oxford st close , plenty place outside eat , bar staff helpful , check easy , grand room grand ... building work not impede stay , would not know go ... good place stay .. 
 Jan 17 2008 	 comfortable great location 	 stay Grosvenor House Christmas 2007 . hotel undergo remodel . remodel room , clean , well maintain , comfortable , . pleasant helpful staff . great location want quiet area respite tumult London , easy access action want . ' ve stay five different London hotel last thirteen month . two favorite Chancery Court ( special . ) area preferable walk ( cc area pretty dead weekend , excellent tube access . ) 
 Jan 12 2008 	 moderate 	 5 star location face onto Hyde Park . hotel renovation . room decent small . public area grand . hotel miss something special . maybe renovation . hotel seem empty New Years London . 
 Jan 7 2008 	 disaster ... Eevn Second Time 	 let us get good bad . aa competitive city many great hotel , charge good need deliver . the good executive club staff . club great , nice wine canape evening , great pre theatre drink , good breakfast every morning . staff also top notch . unfortunately , bad overwhelm . service generally awful ... example , highlight noise air conditioning reception one evening , woken knock enginerre early morning ( ie 5 am ! ) rectify ! ! ! can not real ; this s time want sleep ! also , room poor confition yet renovate ; hotel hard get around hotel upgrade . , stay several good hotel London . price , bad . 
 Dec 18 2007 	 Hyde Park Heaven ? almost . 	 reception little chaotic confusion reservation . endure politely describe communication problem staff reception would benefit overcome english language barrier . however , dissuade reception fine hotel offer comfortable stay , please read on . the hotel overlook Hyde Park across road therefore ideally locate early morning exercise . large inside look outside . room 8th floor take good 5 10 minute reach accommodation ! would recommend porter guide room could easily become lose ! superior room clean spacious , feature flat screen television , three fit wadrobe storage space , well stocked mini bar large en - suite bathroom offer wide range high quality toiletry . also feature powerful , rainfall shower leave feeling refresh dinner evening departure morning . the food good quality restaurant staff professional service . the checkout morning fall short would expect hotel standard . consider reception desk hotel potential confirm guest gain first impression hotel , shame leave misguide much well service facility offer within . I would like extend special praise Matthew front door hail taxi , mean feat Friday morning rush hour ! 
 Dec 4 2007 	 Grand hotel 	 stay parent young sister parent attend charity event hotel . good location good parking facility nearby . entrance hotel large grand . whilst half room renovate . unfortunately one old room pass lot dusty building work get . say room large comfortable clean , bathroom really need renovate . room adjoining room 2 bathroom two huge bedroom , one large sit area 2 big sofas . hotel massive also seem take week walk room ! ! breakfast good large variety food . problem hotel full due charity event , breakfast busy , parent seem know everyone ! ! ! good impression look forward return . 
 Dec 4 2007 	 massively overrate 	 supposedly classic world class property . certainly charge world class price . sadly , design fatally undermine promise . half room look inward 1920s light well , line grimy wash brick , ground floor nest air conditioning plant hum 24 hour day . no - one would build hotel way today . apart view ( ! ) background noise , room ( junior suite ) basically comfy well appoint , small price . bedroom ok , sit room narrow cell ( four foot wide ) sofa one wall tv perch , hardly space entertain anyone . bit pointless suite really . I eat , go wander downstairs . red bar icy cold - 15 degree . either intentional no - one care . frankly , going spend £ 400 room London stay Landmark , presidential suite Marriott County Hall . grosvenor day need complete rebuild ground . 
 Nov 28 2007 	 Brilliant service Great Room 	 stay whilst attend British Hairdressing Awards 26th November . everything great , service amazing room lovely . Executive Floor , ( well worth extra cost ) , daughter normal room even great - feel like princess . 
 Nov 14 2007 	 amazing wedding Day ! ! 	 get married reception Grosvenor September . arrive day warm welcome , esorte room surprise pleased upgrade suite . suite complimentary night wedding . room beautiful , bed comfortable . day wedding deliver beautiful breakfast complimentary box chocolate lovely fruit platter . actual wedding ceremony go without htich everything ask do high standard , room lay decorate perfectly . ceremony endless staff go around make sure guest glass not empty . reception also amazing . food , wine , table display , menu , flower perfect . honestly could not believe well come together , expect couple gitche one thing go wrong . meal , staff attentive intrusive . floor manager announce everything time helpful . visit hotel least month 8 month prior wedding . concern 5 star hotel might seem intimidate never bad experience , staff always warm welcome attentive . prior wed many meeting wed co - ordinator friendly efficient always set mind rest , always return call email keep date even small detail . hotel recommend band ( fab ) inhouse florist flower beautiful everyone want take away wedding . long perfect day get back room find decorate rise petal bed , floor bath leave we bottle champagne ice chocolate cover strawberry wonderful card ! perfect wedding day would not change thing . since honeymoon ' ve lot card email guest say good wedding ' ve , good food , band venue ! ! not put think maybe extremely expensive . visit lot venue London 4 star nice hotel expensive Grosvenor , big hotel cater small number ! check will not disappoint . 
 Nov 6 2007 	 Great Time 	 wife stay one night end September . great time . check breeze . room clean comfortable . express review , bed comfortable bed ' ve ever sleep . bathroom nice , shower quite confusing ! overhead shower head nice , must 10 different lever pull turn order get everything work right . nice flat / widescreen room plenty channel . drawback : one computer lobby , always take . also , food room ridiculously expensive . end walk gas station block away order buy chocolate bar . would think would lower price bit - bit insulting ! , construction hotel quite noisy cause pool close . website not suprise . we great time would definitely go back . although soon JW Marriott , much expensive . 
 Nov 6 2007 	 Fantastic Place 	 stay long weekend . bed comfortably ever sleep . ever . beautiful room , fantastic service staff , premium price . expect mark - up minibar £ 2.50 chocolate bar ? complaint would lack tea / coffee make facility room . 
 Sep 5 2007 	 1st Class Hotel 	 ' disappoint stay Grosvenor House ! ! moment walk door look like royalty hotel look fantastic much needed renovation . hotel fantastic location sightsee , shop gorgeous view across Hyde Park . 
 Aug 16 2007 	 first class 	 great hotel , service second none staff could enough help , room refurbish high standard bed one comfortable slept hotel . great location 5 min walk Oxford street shop one way , Hyde park across road 10 min walk way bring Hyde Park corner . want hotel bit special treat one go even though hotel still renovate ( due finnish march 08 ) would know go . 
 Aug 12 2007 	 superb hotel 	 stay Grosvenor house 8th August three night say one good hotel ever stay . hotel refurbishment moment impinge upon we way . room newly decorate good size say bed - magnificent comfortable . housekeep excellent discreet room clean day evening straighten bed turn night etc . location brilliant five minute Marble Arch tube station 7 minute Hyde Park station . really nice bar restaurant vicinity try Benares Berkeley square fabulous indian cuisine - book essential . spoil lunch Petrus magnificent experience one good restaurant London . would not hesitate reccomend Grosvenor house anyone look top class London hotel - cheap worth . 
 Aug 12 2007 	 nice Stay Grosvenor House 	 nice stay Grosvenor House Hotel . location perfect sight see London . able early check 2 room much appreciate long flight . bed delightfully comfortable well towel robe . barely notice hotel renovate . issue , big one , check bill incorrect profusely apologize .. make we coffee we early departure morning ! 
 Jul 25 2007 	 Stylish Place 	 say , great experience moment arrive , swift polite check , great bedroom well equip , delightful food , despite attend convention 1000 guest . Buffet cook breakfast morning , one thing overpower , aware though , drink expensive , £ 4.50 bottle water , £ 6.00 coffee . libve once . Located Park Lane , tourist site within walk distance . will stay long lottery come ! 
 Jul 6 2007 	 Grosvenor House - fantastic ! 	 arrive hotel , chap Reception charming check smooth . suite splendid . lucky experience newly decorate room - luxurious beautifully finish . really astonish lovely new room – quite delightful . bathroom one huge shower head could stand forever ! really enjoy breakfast next morning - great selection fruit , cereal , pastry hot selection . mention great coffee ! lovely thought fill hotel Reception pink peony – favourite flower ! find thing ? stay simply lovely hotel really make weekend special , would certainly choose hotel . 
 Jul 1 2007 	 english elegance 's good 	 husband stay Grosvenor last night confirm hotel look fantastic renovtion nearing completion . room oustanding , hear noise see evidence work apart part corridor board away problem . afternoon tea listen piano quintessentially english recommend selection scrummy pastry ! bed amazingly confortable pillow linen make feel like sleep cloud . Bliss . staff friendly attentive without overbear great time . real piece english elegance history . 
 Jun 26 2007 	 great hotel - worth money ! 	 OK 's bit pricey London 's Park Lane ! Location Grosvenor House Hotel perfect sightseeing shopping locate immediately opposite Hyde Park short walk Oxford St. I read previous negative comment ' m happy report renovation appear complete . room ( superior class ) spacious tastefully refurbish en suite bath / shower room . staff polite helpful . food great excellent public area . recommend hotel highly - parking also bonus . criticism tea / coffee make facility room provide immediately via reception free charge . 
 Jun 22 2007 	 Nice hotel great location 	 get back four night Grosvenor House . positive experience , couple minor hiccup . , would recommend Grosvenor House comfortable , convenient place stay London . first , hotel fantastic location . 's locate street Marble Arch tube stop right across street Hyde Park . mayfair neighborhood one London 's nice ( expensive ) offer lot term restaurant nightlife . Oxford Street great shopping short walk ( 2 - 3 minute ) hotel also . as review note , hotel undergo top - to - bottom renovation schedule last two year ( although one bellman ask say thought would take extra year ) . area hotel still unrenovate , see previous review negative . hotel 's former condition pretty sad . fact , think photo Expedia site pre - renovation . lobby really gorgeous many public area renovate well . hotel hip bar call RedBar , may gather name , do completely red . be cool . seem construction currently take place floor hotel , hear much noise day . maybe lucky , find noise issue . I believe room provide guest time renovate . first room nicely decorate , although little small . little difficult maneuver around bed get window . bathroom really huge great overhead & quot ; rain & quot ; shower . unfortunately , stay toilet broke could not fix hotel move nice room top floor . room large first room ( plus work toilet ) limited view city , Big Ben Westminster Abbey . room also nicely decorate Marriott 's new bed ( renovated room , believe ) , really great . the staff friendly accommodating . everyone say hello go way assist request . breakfast buffet serve one dining room ( yet renovate ) morning . choose hot cold buffet food quite good . price , everything London , high well deal certainly find wander neighborhood bit . in summary , would definitely recommend Grosvenor House . renovation complete , think hotel fabulous . meantime , think enough renovate make comfortable stay . positive experience would definitely go back . 
 Jan 16 2007 	 Hope change ... 	 overall wife disappoint stay New Year . aware renovation take place advance . exception dinner warm due location dining area far away kitchen greatly affect renovation - could unlikely contractor work New Years Eve ! disappointment really poor service - something excusable even refurb . dining service standard expect price charge - two course wife 's meal bring table good 2 - 3 minute mine . also request copy menu advance provide , yet subsequently find set 6 - course meal include thing not like . ask could order ala carte menu decline , subsequently find could order room service fairly good menu ! hindsight ... Gordon Ramsey two restaurant within 5 minute walk ! credit card also charge check - out something . notification - find saw charge statement . I take time trouble write complain receive honest good response Hotel Manager . placate somewhat belief may taken feedback improve service offer . on positive side , stay Executive Room , good size large bathroom . whilst obvious decor date good order still present grandeur would expect 5 - star hotel . upgrade Executive Room cost we £ 70 extra standard room well worth excellent value money . include access Exec Lounge intimate privacy , lovely setting overlook Hyde Park free drink ( include alcoholic 6 pm ) , afternoon tea , sandwich , canape ... could want anymore - highly recommend . the location fantastic - cross road Hyde Park ... take 5 minute get Oxford Street ... bus run past front hotel head Westminster , Trafalgar Square etc ... 
 Jan 1 2007 	 warn 	 loyal Marriott fan timeshare owner sorely disappoint terrible state property . book directly Marriott warn us renovation , lack amenity , awful condition room . perhaps 2008 complete , nice warn condition visitor . number one complaint ( ignore plastic floor , noise , etc ) flimsy lock door loose screw come ! bad , bad , bad . wish camera battery die would include descriptive photo . 
 Jan 1 2007 	 Thirsty Traveller 	 experience stay hotel good expect . Lunch - ' library ' consist stale sandwich . express surprise bottle water tea / coffee make facility room reponse standard London ? ! 
 Dec 17 2006 	 absolutely awful 	 express disappointed hotel . stay one night attend function Great Room . pay £ 218 standard room expect luxury , however , get mediocre , dirty , price hotel . I stay third floor , first impression smell like old hospital . wake 6 am morning refurbishment work ( drill , hammer , etc ) , rang reception 4 time nothing do . the breakfast limit option , cold tasteless . take ten minute get toast ! also queue get breakfast house tiny room . on checkout present pre - printed voucher worth £ 150 say sorry inconvenience . fact voucher pre - print especially refurbishment say . staff seem indifferent compliant state known hotel refurbish . could understand swim pool shut woken morning ! hotel trading name quality service - stay away ! ! ! ! ! 
 Dec 10 2006 	 Great Experience Grosvenor House 	 temporary loss dining room due renovation , stay would rate Excellent . lobby lounge double hotel dining room , make somewhat uncomfortable meal ( imagine food serve small cocktail table , cocktail table height ) . be aware price large scale renovation often bad guest , really huge deal we . welcome hotel several helpful attentive bellman assist bag , give easy , explicit direction rental car return . check seamless , especially thank Christopher . room category overbooke , offer we upgrade virtually hesitation . superior room spacious , comfortable attractive decor . bathroom large luxurious , shower excellent water pressure temperature . minibar / room service temporary dining room price typically Marriott price , would expect desirable city center location . and location ... fantastic ! Hyde Park right across street , shop Oxford Street , chaos Piccadilly charm Marylebone within healthy walking distance rest London available tube , stop block away . 
