hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Aug 17 2007 	 enjoyable stay 	 spend 7 day attend conference enjoyment probably add spending time friend . certainly large , impressive building . view bedroom bathroom large clean . surprised find could plug hairdryer right next sink choose use bedroom plug . disappointing use fridge unless pay extra . coffee make machine work tea bag , tea taste coffee ! use Pavilion eat lot impressed buffett . good , varied choice include much fresh fruit want . one morning tempt order menu - chocolate toast maple syrup - delicious expensive pay extra tea , orange juice etc . also use Kitty O'Sheas snack drink . it lovely able step outside hotel across park break ; hotel excellent location park , sculpture , fountain , Art museum . many attraction walk distance . the pool nice look hotel picture , adequate . disappoint close 9 pm instead 11 . last one day room fresh toiletry towel provide , empty tissue refill , thought bit mean , still 24 hour stay . bellboy busy want leave electrician knock door take case service elevator clearing floor maintenance feel bit rush . the last night large number Conference attendee take ill . food poisoning suspect closing banquet , since Chicago Dept Public Health inform probably noroviru . apart unfortunate ending , great time would personally probably prefer Hilton Garden Inn Chicago personal use , could eat Pavilion ! 
 Aug 15 2007 	 ok hotel - awful lift ! 	 generally enjoy stay , major side lift . get room easy enough - get lift back 17th floor much ! although look like plenty , lift go every floor . mean wait 10 minute one day get lobby ! ! hotel huge - plenty see nice little shop good value breakfast buffet . staff friendly accommodate location good museum , transport tour stop outside . also stop outside airport shuttle - handy flat fare worry awful traffic raise cab fare ! fitness centre nice sized swimming pool ( though long way ' olympic ' sized quote information see ) day go full family flaunt rule small infant spa dive lane - not bother go . 
 Aug 7 2007 	 Beautiful hotel - fantastic stay 	 room gorgeous ! request king bed , give large room overlook Lake Michigan ! could see Navy Pier Soldier Field window . the bed comfortable ! room also two tv 's , couch , armchair , desk , bar ( sink refrigerator ) , lock minibar ( request key ) , fabulous bathroom . the bathroom stock namebrand shampoo lotion well soft towel . the staff always friendly cab always wait outside hotel . 's walk distance millenium park lot restaraunt . also visit 2 onsite bar excellent service . price little high , relative area ( Downtown Chicago ) .if look relax stay - would recommend stay ! semi - negative long line front desk . wait check - in , use automate machine express check - out problem . 
 Aug 6 2007 	 Beautiful Hotel Great Staff 	 husband attend convention hotel three day extend visit Chicago three day , hotel generous offer & quot ; convention & quot ; rate room additional day . love hotel , decor reminder early day luxury hotel , staff still treat gem tender , love care . friendly reception staff sweet housekeeper , feel though leave friend check . not miss opportunity experience grand dame hotel downtown Chicago ! 
 Aug 4 2007 	 Great Priceline Deal - large slightly aged room . 	 Hilton Chicago beautiful common area ball room . , guest room bite old . upgrade $ 25 / night huge 1 - bedroom suite ( bedroom plus main sitting room ) lake view . sell lake view , able see lake not fool like expect full 180 - degree view . like say , room decor bathroom nice bit aged . bed quite comfortable though , lots window . end hall disturb noise . room wise , really not complaint not anything rave either . ok . two complaint . bathroom sink drain well . , bathroom large frosted window let lot wonderful , natural light . also , wife find lot spider ( 6 - 8 ) room . the guy check we nice give we misinformation finding late night dining . rest staff quite pleasant except grumpy gentleman work baggage check counter . watch . even nice tip hardly evoke friendliness . we one meal hotel . eat Buckingham 's . service friendly slow , food tasty , end make we ill . complain check - out , hotel manager credit we back half dining bill nice . the hotel decent location right next Grant Park . everything include get food , walk quite way . hotel slightly convenient location Palmer House . Chicago recommendation : love Chicago summer ! many great event . recommend one thing , would rent bike . city flat excellent walk bike path navigate park lake front . firework fun . watch Navy Pier next Alder Planetarium charter sail boat . really enjoy sail Windy City Sailing ! also check free dance lesson dance Grant Park . arrive early miss start lesson grab chair . if want grab cheap bite eat close Hilton Chicago , good little bar call South Loop Club corner Balboa State open late . good steakhouse Chicago Chop House . make re . eat there . we take Blue Line Loop cab probably could walk . fun take train , avoid traffic save money . for great deal pricey Chicago hotel , use Priceline.com . great success . check biddingfortravel.com bid tip . 
 Jul 31 2007 	 Loved ! ! ! ! 	 beautiful ! front desk great ! room immaculate .... , great stay ! 
 Jul 25 2007 	 overall good stay ! ! 	 stay group girlfriend taste chicago ! get deal priceline well . problem checkin staff extremely helpful pleasant ! room small compare 4 star hotel plus side 2 bathroom clean ! location perfect directly acrross street taste ! ! downside - internet $ 20 day parking expensive . housekeeping come clean room one day ask come back . say would come back later afternoon never . call housekeeping next day someone come clean get new towel . overall would stay ! 
 Jul 22 2007 	 Great Hotel Great City 	 book stay Priceline.com get great deal . staying one night 2 year old we . check - in , upgrade suite lake view Lake Michigan . beautiful . suite king bed living room bar mini - fridge not need , stay long , would godsend . hotel close proximity Grant Park beautiful Buckingham Fountain . walk around park even see movie film .... look hotel lot restaurant around , not one . end eat Irish Pub inside hotel ( Kitty O'Shea 's ) great food . ( stay always end eat . ) lot attraction within mile include Field Museum , Shedd Aquarium , Soldier Field , Navy Pier . may walk distance could see hotel window . overall , another wonderful stay Chicago Hilton . ( 4th stay ) downside expensive parking within hotel ..... 41 dollar night kind ridiculous . 
 Jul 16 2007 	 enough truly nonsmoke room 	 Chicago Hilton decent place , enough truly nonsmoke room . get evening shortly sunset , two & quot ; nonsmoking & quot ; room leave . smell smoke , less stinky two bed ( executive floor living - room large suite ) . take hotel 1 hour get rollaway bed another 1.5 hour get pillow blanket . claim rollaway good regular bed front desk well promise would complimentary . reality , actually low sofabe quality go person front desk checkout get charge remove . credit , front desk give complimentary breakfast coupon generally helpful . addition , location convenient Park , bus , far El station . echo one reviewer , spider outside window even 20 + floor , outside window clean . charge WiFi access . basically , hotel need enforce nonsmoking room . stand , even prominently place & quot ; smoking & quot ; sign & quot ; $ 500 cleaning fee smoke room & quot ; sign . hotel fix smoke problem , would solid 4 * hotel . , give 2 star . 
 Jul 15 2007 	 get great deal priceline impress ........... 	 worry review read boy shock . get 3 night $ 88.00 night priceline get double room 2 bathroom . room clean ( trust picky ) . think look picture tripadvisor would old date pic not hotel justice . staff nice . parking little high park garage $ 6.25- $ 10.00 across street . love share bathroom husband . 
 Jul 11 2007 	 Keep Movin ' 	 far impressse . appropriate hotel tourist . impersonal way vast . also charge arm leg everything . even go far charge keep luggage three lousy hour ! course tip guy top $ 2.00 fee per luggage piece . outrageous . charge everything might okay unlimited expense account traveler . even charge use internet totally uncalled . never experience hear typical large hotel chain . room large enough bed comfortabel . say , bathroom wear old looking . well maintain light chip sink . Hilton standard , be sure . location good enough however , could wait get kaos everyday convention go massive stream people cut way elevator exiting . would stay , be sure . pass one quite frankly , keep move . 
 Jul 9 2007 	 ok nothing write home . 	 stay go concert CharterOne Pavilion farily close . nice room , especially bed . lovely bathroom . parking much expensive . 's lovely hotel pet friendly , 's great wall thin hear neighbor 's yappy dog ! bad , charge late check out . tacky . would stay town conference . 
 Jul 5 2007 	 one bad hotel world 	 ok . need hotel somewhat reasonable rate everyone quite kind . book . well , get Tuesday eve , late , 3 July one person reception simply crazy going lobby . low class people . white trash , other figure . like circus . 19 , might fun . sorry , , do that . we go room . jr . suite . well , get floor 's dimly lit . Bordello 's well light joint . stink . get room smell like fee , & amp ; & amp ; cigarette . Mindyou non - smoking room . room dimly light , spider hang outside window , furniture old , carpet reek wet foot I - don't - know - what - else . can not go . simply stay . pay stay , say thank you.absolute pit . implode start . flagship hotel hole . period . 
 Jul 4 2007 	 Convention paradise 	 company convention Chicago Hilton . massive hotel many function room facility . room amazingly large ( nice ) city centre hotel . conveniently locate Michigan close Millenium Park attraction . big call anything functional . food bland . 
 Jul 3 2007 	 nice place stay 	 book use hotwire get good deal . enjoyable night would highly recommend facility available hotel location . short walk Millenium park short walk El system . 
 Jun 28 2007 	 elegant old show 	 town conference McCormick Place ( btw , be $ 8 cab ride McCormick + tip ) . hotel big lobby area quite posh , almost nice resort hotel Las Vegas . service polite upper crust snooty sort way , concierge guy really helpful finding restaurant provide map downtown area . I get room 21st floor . 3 bank elevator ( 1 set go 13th floor , another set really 13 - 20 , third set 20 + [ Executive Floors ] ) . colleague 7th floor smoking room ( FYI : floor hallways & quot ; non - smoking & quot ; , nearly choke cigarette smell embed wall . could even see smoke cloud hallway ) .The bedroom bathroom rather small . however , could tell hotel everything could make & quot ; luxurious & quot ; . big , NIIIICE king bed . oversized tv . gold plate fixture bathroom . still , water pressure really weak , air conditioner stick corner effective ( e.g . digital temperature setting ) .If want spend lot time hotel room ... find somewhere else . be look comfortable bed upscale brand great location right Michigan Ave , choose Chicago Hilton . 
 Jun 24 2007 	 Excellent hotel staff 	 excellent hotel . luxurious staff efficient . despite wait check , staff quick get desk end form positive first impression . hotel BIG however easy get around . room lovely spacious get upgrade one overlook museum area city . stay - hesitation . unless not like big hotel . 
 Jun 24 2007 	 chicago hilton- excellent 	 go chicago week may , decide good stay hilton , disapointe . perhaps becuse quite convention go lot people stay 1 2 night get upgrage exceutive level . 2 double bed bathroom . bedsand pillow die , comfy ant end day seem walk mile . staff helpful . lot guest seem ignore staff especially chamber maids seem think way perhaps thatwhy people feel people rude unhelpful . 2 block away Harrison cafe call & quot ; Orange & quot ; make place breakfast , cafe staff suberb . expect 15 min wait sat & amp ; sun morning . 
 Jun 11 2007 	 Friendly Staff 	 stay Blues Festival happen within walk distance hotel Grant Park . stay nice ! hotel clean , staff friendly pool , hot tub , sauna tanning bed enjoyable . lemonade service lobby afternoon nice add touch ! room regular room two double bed two bathroom side room NICE add convenience . toiletry Crabtree & amp ; Evelyn , , good stuff . the hotel beautiful ; especially realize old much history within wall . Grand Ballroom would perfect place fancy party wedding reception 's gold gild ornamentation , drape crystal chandelier . the property also easily accessible red line via Harrison stop . , not want take subway , hop complimentary shopping shuttle take shop along Magnificent Mile . a improvement would allow complimentary use exercise equipment guest ( apparently extra fee use gym equipment ) . would also like pool hot tub remain open least midnight . ( close 9 pm . ) think free continental breakfast would really add extra - nice touch stay well . 
 Jun 5 2007 	 Great Hotel well worth money 	 hotel ideal location . really lovely , clean hotel good bar resturant . really enjoyable stay . 
 Jun 4 2007 	 Great Hotel Great Rates 	 stay Chicago Hilton Towers , Hilton Chicago call , time count ! agree poster say hotel pricey thing , early poster say hit Walgreens munchie ! neighborhood eatery meal . say , must disagree something . I read complaint closeness hotel shopping ... must take el , subway taxi . ever take complimentry hotel shuttle ! ! drop close major shopping museum .. tip driver way . as room , always beyond lovely . get somewhat annoyed get look rooftop lake can not always get way ? staff ... always suprise nice staff stay . lot time stay hotel like snotty beyond belief ! never experience here . I guesstimate , since 1988 , stay Hilton Chicago least 15 maybe 20 time . can not always afford plan come Chicago first hotel look . 
 may 23 2007 	 look elsewhere ! 	 nice hotel overall ... find equally nice nice hotel ( amenity ) spend far less money . arrive surprised nice room , SHOCKED price ! drink vend machine cost $ 3.00 ! coffee packet in - room brewing system $ 3.25 ( single serve pod ) ! also cost $ 3.50 seven minute internet . bottle water next television dresser $ 6.00 price tag ! ' m surprised not charge ice ice machine . hotel boast four great restaurant , price also radically high . friend eat dinner Kitty O'Sheas hotel surprise realize beer cost $ 6.50 piece ! ( expensive beer White Sox game ) . Chicago relatively cheap city . reason charge price . one would expect first - rate hotel like Hilton least offer free internet access ! ( know Holiday Inn ! ) .I also must complain unfriendliness staff . several employee arrogant plain rude . ask key mini - bar , attendant ask I.D . ( fine ) , insist not 21 ( ' m 26 ) . turn read expiration date license instead birthdate . claim I.D . look fake . guess be never see Texas driver 's license . town professional conference not appreciate treat like kid try sneak r rate movie . speak kid , first day stay , hotel crawl teenager ! ( sort High School Student Government convention go hotel ) . everywhere ! goof around elevator , sleep couch lobby , running hall scream giggle 2 am ! group teenager follow equally troublesome adult chaparone , scream yelled order kid . mayhem . ( realize not hotel 's fault , annoyance ) . hotel also host local prom Saturday night . near subway stop closed force either walk five block next stop take cab . concierge inform particular subway stop always seem close weekend . if must stay hotel ( be attend conference instance ) tip : stop Walgreen 's couple block away buy drink snack stock hotel room . also , not eat hotel , instead , eat eleven city diner , restaurant locate nearby . 
 May 18 2007 	 Great Cave Lovers 	 month prior 5 - night reservation Hilton Chicago request room allow lot natural light , face open view , close building . ( reservation make conference travel agency . ) confirm request telephone day advance directly hotel check - in clerk note record . tell would difficult find , consult chart appear satisfied room assign . surprised open door onto room inside one tower , tuck dark corner , face wall room . call desk immediately tell hotel sell hard tell room still available suited request , " sit tight " someone would call . one . call yield similar result . one point tell could " parlor room , " sofa bed , reduce rate , could go see room commit move . ' real hospitality . worried bad sofa bed could bad rooming cave , end stay dreadfully dark room . ( ask bright room one bed get dark room two bed . ) redeem feature room 2 bathroom . , tight quarter tiny closet , two uncomfortably low chair , desk ( dark ) corner . light fixture ' much brighten thing . since conference , really want bright environment wake early start workday cheerful office mid - day call e - mail , instead get cave . consequently , spend little time possible room next time Chicago , conference , absolutely stay another hotel . much well location Hilton Chicago look percentage " inside tower " room , place much well chance bright room well well customer service . Shame Chicago Hilton . 
 May 17 2007 	 good hotel conference - goer tourist ! 	 stay Hilton Chicago six night one list hotel conference attend McCormick Place . Hilton Chicago one old hotel Chicago one word would describe & quot ; stately . & quot ; Chandeliers , elegant staircase , marble front desk , etc hotel quite huge , expect attentive personable atmosphere hotel -- might get Hilton Chicago . room 2 double bed 21st floor , well furnish clean . minibar remind good thing life always free ... quite expensive . bottled water $ 6 ! reviewer mention ... everything Hilton Chicago come premium -- water , phone call , internet ... take much would expect pay convenience triple . location convenient , 20 - 25 minute walk city center -- regular bus route near subway line ( Harrison Street metro ) within walk distance millennium park . attend conference need hotel near McCormick , Hilton bad place stay . sightseeing budget , would recommend central location ! 
 May 15 2007 	 good time Chi - ca - go 	 stay week late April , early May . hotel historic Hilton flagship . locate near lakefront park , financial district downtown school / university . easy 1 mile walk Magnif . mile area . impressive decor Michigan Ave entrance , lobby , staircase leading ballroom . room neat , two bed two bathroom . lots street level pub , bookstore , student theater , museum , shop nearby . safe night , lot student people . jogger , walker , biker along lakefront . week ( M - R ) . would like bring wife teenager next time . ' ve place , Chicago well keep secret . 
 Apr 21 2007 	 luxurious ... 	 Beautiful Hotel fair price however warn ; extra not come cheap . parking , Internet , MiniBar restauant expensive . also charge additional exercise room . surprized not charge $ flush toilet ! thankfully lot local cheap eat . right subway line . 
 Apr 16 2007 	 Good Business Convention Hotel 	 stay Hilton Chicago conference begin April . conference Palmer House Hilton Chicago serve overflow hotel . find room small , single traveler , space adequate . Hilton Honors member give coupon 2 small bottle water mini bar ( free charge ) take advantage service . otherwise , find Hilton tend charge almost everything . example , note key packet check $ 25 / hour charge late checkout ( rarely encounter travel ) charge $ 15 / day use gym / fitness center unless Hilton Honors Silver member high . hotel bit isolate spot Michigan Avenue . approximately 10 minute walk center Loop . walk perfectly safe day , feel uncomfortable night . area unsafe , bit isolated lot parking lot office building surround hotel . 
 Apr 12 2007 	 old Room Beautiful Facilities Good Location 	 stay 3 night conjunction conference . 's huge hotel excellent conference facility . love fact hotel close symphony , Field Museum , Art Museum . public space & quot ; grand & quot ; historic . the main issue room quite outdated . furniture old , bed old , even bedspread date look ( nice stylish one see Chicago Hilton website ) . workspace terrible - chair old could adjust . way short narrow , uncomfortable work long period time . since much work laptop travel , alone would definitely keep come back . many people will not really mind , not mind possibility get old , date room , hotel might fine . btw , ' m Hilton Silver Honors member , not think stuck date room b / c low frequency guest .... tell perhaps lot room date ? 
 Apr 11 2007 	 love love love 	 Old world grandeur well - Chicago Hilton abundance - really count comfort , peace quiet , excellent service . thankfully hotel outshone area , much surprise . idea place big first arrive brace ' conference hotel ' service one comes expect . could wrong ; check swift efficient , despite busy . room quiet , warm comfortable . take maybe 10 min feel completely relaxed . night trip travel alone order room service treat - wait staff punctual , attentive food lovely . really feel like stay somewhere beautiful historic without pay price cut qualty service . will go back Hilton next lucky enough visit Chicago . thank Hilton wonderful break , 
 Apr 5 2007 	 Hilton Chain Way Landfill 	 Hilton Chicago 720 South Michgan total dump . entire staff seem completely demoralize . moment arrive find bellman door moment try check room find someone speak English trying set , perfectly wrong room , back front desk round two desperately seek asylum . the restaurant decent food . service , like everywhere else hotel , horrible . pavillion sit nearly empty , yet upon arrival , guest treat though place burst customer find one seat cause potential collapse seat limit . room strangely arrange , furniture smack dab front window . get room clean require several call Housekeeping , time hear familiar refrain , & quot ; ' m sorry , MISCOMMUNICATION regard cleaning room . & quot ; entire hotel exude sadness makes never want return hotel Hilton Hotel anywhere . I shareholder Hilton Corporation . long . hear many people Hiltons scrape staff beyond bone , right . place really dump friend describe . long support financially socially institution . I think tart Paris hold lantern thing come . 
 Mar 31 2007 	 Favorite Hotel Chicago 	 stay Hilton St. Patrick 's day . child University Chicago Chicago lot try 6 different hotel . favorite far . like lot reason people not like . prefer large building roam around rather boutique hotel . especially city like Chicago roam around outside not always comfortable wind , rain , cold , panhandler . lobby floor long central hall eat dinner St. Patrick 's day bagpipe band come march hall . entertain . prefer 10 20 minute walk away center everything rather right middle everything . prefer museum shop near museum rather middle Magnificent Mile shopping area plus . like blue music one good blue club , Buddy Guy 's legend , right next door hotel . like open space stay room front hotel magnificent view Grant park , museum campus , Navy pier , lake wonderful . lucky extremely clear weather view stunning day night Navy pier Museum Campus light . watch St. Patrick 's Day parade room . key rent suite since suite front building . pricey worth . suite two bedroom four full bathroom 4 people . great get quickly morning . other great thing hotel . right Michigan Avenue come Lakeshore drive right without fight city traffic . self park car garage attach main building easy access car without go valet service . easy go Hyde Park frequently . build beautiful 3 restaurant choose plus lounge . 10 20 minute walk museum center loop prefer peace quiet night . plus need exercise . public space hotel beautiful look picture website show . another nice feature reasonable amount money choose check 2pm 4pm.i would definately sign online Hilton Honors member stay get quick check benefit . separate front desk Hilton Honors member . plus Hilton Honors free . this not go everyone 's favorite hotel , especially shopper people want center Loop Magnificent Mile . right fit . two thing would suggest . suite come refrigerator sink microwave . also dvd player attach TV . would add . fun watching & quot ; Fugitive & quot ; Harrison Ford large laptop computer though . Chicago Hilton one main setting film . 
 Mar 29 2007 	 great location - elegant hotel 	 recently attend conference host hotel ( Feb 07 ) spend 3 night . first time Chicago Hilton . must say hotel elegant " old school " charm . ballroom huge second floor reception area beautiful . say , feel sheer size hotel make little bit impersonal . ' summary experience - check - in- long line get line move fast ' wait long . lady counter professional seem impersonal ( yes … I use word ) . room- room little small ( plus get stuck view AC vent ) bathroom really need renovate . , remind old hotel room 80 little . room tastefully decorate bed comfortable ( although king bed much small king ' see ) . food – must say disappointed food hotel . first , call room service 11 pm one night tell close . try Pavilion food mediocre say least . try Kitty ' Sheas one night place get quite crowded get smoky night progress ' stick around long . ' many restaurant walk distance ' good take cab explore city great place eat . go place call MK Restaurant , would highly recommend . eat NY time seldom find place outside NY impress by … this place one . location – absolutely love location hotel ! park right front hotel walk distance lot tourist attraction . even provide free shuttle Magnificent Mile . ' one really good reason pick hotel , ' say ' location . ' middle thing therefore ' noisy , yet get almost anywhere walk ( 5 minute cab ride ) .Overall , pleasant stay hotel . lot see Chicago . hotel well locate décor / overall feel hotel elegant , ' always nice return back hotel . one thing keep mind hotel host lot convention ' always busy people everywhere . 
 Mar 25 2007 	 Older Elegant 	 stay Chicago Hilton 5 day March 2007 . old hotel well take care . lobby ballroom elegant . many room view - either city Lake Michigan - many . example , view hotel buidle - hotel exterior & quot ; flat & quot ; , room view room . ( see photo see mean ) .The Hilton prime location museum - within walking distance Field Museum Natural History , Shedd Aquarium , Adler Planetarium . ( Hint - admission 3 , plus , $ 49.50 Chicago CityPass ) . Hilton offer & quot ; Shopping Shuttle & quot ; downtown Magnificent Mile , make 6 7 stop along way . every hour 10 am - 5 pm free . Hilton also across bus stop would use go Museum Science Industry . the Chicago Hilton 3 main restaurant - Kitty O'Sheas ( Irish ) , Buckinghams ( American / Steak , dinner ) , Pavilion ( American , 24 - hour ) . surprised soda / coffe / tea $ 3 Pavilion ! & quot ; Exotic Fruit & quot ; dessert Buckingham 's fantastic - huge plate exotic fruit chocolate souce dipping - well worth $ 8 price large enough share . 4th & quot ; restaurant & quot ; Lakeview Lounge , serve Starbucks coffee morning alcohol night . , enjoy visit . since trip involve museum site - see shopping , pleased location . 
 Mar 22 2007 	 great price good location amazing comfort 	 book UK website get cheap rate long weekend St. Patrick 's Day . room 22nd floor fantastic , definately one good hotel ' ve stay . bed comfortable , room come equip mini bar , large tv game console , clock radio etc . view great . housekeeping staff friendly helpful . only couple slightly offputting thing ..... location little way downtown , maybe 15 20 minute walk hit main spot . also hotel exceptionally busy although several check desk check Friday night 2 open , mean long queue . ' m sure bar restaurant facility adequate hotel size lobby always crowded overflow . business center expensive , time stay order no - one indicate swipe credit card find later . otherwise be little pricey worth - two sharing room 's easy pocket experience will not forget ! 
 Feb 19 2007 	 Bravo Hilton ! 	 Flew DC , Dulles Midway Airport ( would fly O'Hare next time ) arrive beautiful hotel time dinner . doorman take bag taxi walk we lobby . check - in breeze get info Chicago . staff helpful courteous . 12 year old son get away Columbus day weekend Hilton make fantastic trip . hotel beautiul layout , good irish bar / restaurant site ( other not eat ) , room elegant well equip coffee maker , bar 2 bathroom ! reserve room Hilton website pay $ 249 night ( face building , view ) within walk distance much ( restaurant ) close Bear 's Soldiers Stadium , museam ( see King Tut ) aquarium . great site see . room service little pricey ordinary . great full Sunday morning breakfast $ 50 . short taxi ride everything Chicago await . double decker bus stop front hotel well worth fare $ 20 we . check - out effortless time ready leave airport morning . be town Bears game schedule recomme go . even though wait 90 min line available ticket , worth . Chicago Bears fan loyal excitement player contagious . pay $ 95 ticket tell obstruct view turn 50 yard line 20 row . obstruction . beautoful city wonderful people . go back Chicago , stay . Hilton 's good . 
 Feb 19 2007 	 Hilton Staff Disrespectful woman 	 last weekend husband 's anniversary twenty year . company host three day annual meeting , arrive last day , enjoy celebration dinner , spend time city Sunday . husband leave envelope name front desk case arrival prior meeting 's end . politely ask desk , refuse hand envelope claim not . send bell captain say would allow meet husband without call ask consent . husband reply & quot ; course come , & quot ; attendant wait , walk toward elevator laugh say surprise , & quot ; say be okay let ! ' half hour later , come downstairs dress dinner , husbnad ask envelope name write reach pick . say would add name hotel room refer , woman . ask name . much insulting go ? hard believe formerly high caliber hotel year make debut , attend many respectable function . Conrad 's Hilton become house Ill repute ? d.p . Lake Forest , IL 
 Feb 14 2007 	 Georgeous Hotel 	 stay Hilton Chicago 2nd January 2007 - 4th January 2007 . let tell huge oppulent hotel perfect location overlook park water . staff helpful . room spacious amentitie high standard would expect . want use mini bar room need get key front desk though . pay movie available . coffee machine room fridge , ice bucket . king size bed comfy . write desk chair room well big screen tv . complaint party next door not stop till well 3 am . respect anyone else . eat Kitty O'Sheas irish pub hotel one night . Menu dissappointe meal atmosphere staff great . plenty restaurant nearby venture check . plenty shopping locate nearby also . purchase hop hop trolley ticket $ 25 . great way see sight pace . great little place eat 5 block away . take 20 minute walk great feed . call Grace ; Malleys Irish Pub past Michigan Avenue 14th Street . Salmon $ 14 husband pork $ 14 . meal excellent . would highly recommend stay Hilton eat Grace O'Malleys . Parking Hilton dear . $ 38 per night self park $ 41 valet . everything within easy walk away . book stay online save heap room pay $ 89 per night ex tax total cost $ 205 night include taxis . great value high classy hotel . would definately stay . love Chicago beautiful city . 
 Feb 7 2007 	 Busy Hotel Convention Hotel 	 stay convention - request 2 bedroom 2 bath room . first room give Thurs - Sunday stay & quot ; back side & quot ; hotel & quot ; View City & quot ; view include & quot ; L & quot ; ( elevate train ) stop - every 5 minute 16th floor grate nerve . call find could change room . able accommodate - come front desk , assign room nearer elevator bank - view , mean - quiet ! ! ( transfer luggage etc ) take advantage Chicago Bus System . go website http : //www.transitchicago.com/ plan trip . also find read sign bus stop helpful . take # 4 train front HIlton Art Institute , would walk block west State Street shopping , Macy 's would take # 151 Mag Mile , American Girl Place block Water Tower Place . Bell Hop station wonderful map information ! ! disappoint Pool close 9 pm , charge extra everything , internet servcie , use gym / machine , Disney Channel ... probably standard operating procedure Convention hotel City ! 
 Feb 4 2007 	 Hilton surpise hit ! 	 visit Chicago often decide stay Hilton last week , change pace . locate Michigan Ave , away Magnificent Mile , close Art Institute Field Museum . great place turn ! front desk agent helpful , polite accommodating . immediately get upgrade upon arrival . bed completely comfortable bathroom perfect - probably big bathroom home , combine ! room service dinner , arrive within 30 minute . breakfast . Coffee deliver promise , promptly 6:30am newspaper . look forward stay future . 
 Jan 31 2007 	 Happy Hilton 	 Chicago Hilton little Barbara Bush much Paris Hilton -- reliable , comfortable , practical , classy . be look sexy flashy , not place . experience Hilton largely determine many unique room end book . 's historic hotel , wealth famous customer , wide variety room layout , unlike cookie cutter hotel today . some room indeed small one would expect -- lot big expect , , unusual perk ( two full bathroom room two double bed ) . Hilton Honors member seem get good pick litter , view overlook lake Soldier Field . service reliable efficient . ' ve order room service time , consistent . food anything exciting ( , Emeril 's -- little TGI Fridays ) . location ok -- close shopping area downtown Chicago , free shuttle service run guest area . 
 Jan 29 2007 	 like ! 	 would never stay Hilton Chicago . first good section . walk guiet way get restaurant shop . room stay small good condition . rug wear furniture kind shabby . also strong smell cheap cologne room . smell make sick . think hotel could well remolded update . say though staff pleasant helpful . 
 Jan 28 2007 	 great ! ! ! ! 	 GREAT experience . go Chicago pleasure . location hotel great spot want tourist thing . close Shedd Aquarium , Field Museum Soldiers ' Field . short taxi ride away great restaurant . bit far United Center , Lincoln Park Navy Pier , though . service exceptional . room large . not see anyone could complain place . 
 Jan 3 2007 	 great hotel great stay 	 stay Hilton Towers 720 Michigan Ave , Chicago , IL middle December 2006 . one night stay , trip part business ( trade show ) part fun . room great bed , two bathroom clean well take care . check in / out effortless . self parking seem bit high , $ 38 + tax per night ; however , room rate Hilton web site great mid- week downtown Chicago , $ 126 per night + tax . ( rate NONrefundable ) .We spend well part night hotel 's bar , Kitty O'Sheas , food , drink irish entertainment great . we breakfast lobby , buffet price , stock worth it . over stay average . 
 Jan 3 2007 	 wonderful Stay 	 stay 5 night NYE . Front desk , concierge clean staff exceptionally friendly helpful ( get extra pillow , book dinner reservation we ) . time feel like stay small hotel b / c great service . hotel beautiful . location great ok center thing . standard King room bite small side still nice . bathroom large . bed comfy . view amazing , corner room overlook lake everything light night . order room service one night , quick delicious $ . hotel staff even deliver lobby we ( b / c rest . close ) . lot common area sit relax , drink eat ( fireplace great view street ) lobby hotel . one bar open pretty late bring drink room like . all would stay next visit . 
 Dec 27 2006 	 excellent - highly recommend ! 	 staff incredibly accomodating ! get we room last minute concierge help we find local place eat print boarding pass we . room great bed comfy . never eat hotel ( save money ) walk Mich. Ave find excellent place . great location . free shuttle service Magnificent Mile . could not ask well stay . ( well ... maybe elevator little bit timely . ) 
 Dec 16 2006 	 little disappointing 	 do research stay Hilton . location convenient hang Magnificent Mile walk around city see plenty interesting option . also , find room small little stale - renovation might order . plus side , service good hotel clean . , bad little disappointing . 
 Dec 3 2006 	 Decent hotel - look elsewhere first 	 review base 7 - night stay November 2006 , write traveler frequent Marriott - chain Hilton - chain hotel throughout us.tagline : decent hotel , look elsewhere first Magnificent Mile important you . feature / benefit : - Hotel apparently renovate 1985 . - two - bed room feature two twin ( double queen ) bed two bathroom . - one bathroom small , house small vanity sink , toilet , bath tub . - bathroom small , house even small vanity sink , toilet , small shower . - huge 32 & quot ; Phillips flat - screen tv . - fast elevator . - Crabtree & amp ; Evelyn toiletry provide . - digital thermostat room . con : - one small closet ( 10 hanger ) two - bed room . - small bathroom . - room surprisingly bright two light , still leave little desire . - prepare walk distance want food shopping . - Kitty O'Shea 's irish pub / restaurant hotel leave something ( well food ) desire . summary : imagine hotel build character styling 1920 's , upgrade way ( linen / sheet - wise , tv ) styling present day . Hilton Chicago . old , classic styling new white sheet big - screen tv.depending room rate , either pricey ( give distance restaurant Mag Mile ) , put close position out - of - downtown core location like Field Museam , Shedd Aquarium , Soldier Field , Alder Planetarium . 
