pleasant 	 Westin Chicago River North well - run chain establishment centrally locate downtown Chicago . room , view Chicago River , mean over - the - top luxurious , well - design spacious , good light comfortable seating . quiet room Westin & quot ; Heavenly Bed & quot ; make excellent sleeping condition someone often sleep well even well hotel . service hotel polite efficient . what keep hotel receive top rating : ( 1 ) lack & quot ; wow & quot ; factor : room , comfortable , also generic ; ( 2 ) free wi - fi ; ( 3 ) food serve banquet room ( wedding ) fairly indifferent quality , even banquet food . still , price right , hotel offer good deal . 
 Feb 26 2007 	 exceed expectation 	 return Westin Chicago River North attend conference . decide stay ' on - site ' save travel . consider attractive hotel like Mandarin Oriental Peninsular think hail cab rushhour day . experience excellent would hesitation stay again . their attention detail surpass many 5 star hotel ' ve stay . often maid service room omit little thing like thoroughly replace bathroom item ( nearly empty box tissue etc ) . often guest wait age housekeeping/ reception etc answer phone/ act upon request ? bellhop almost count tip leave ? Westin ( maybe say Westin ! ? ) must score almost 10 . phone answer within ring , query delt courteously , bellhop never ( seem ) expect tip show appreciation gesture . request coat hangers/ help luggage respond almost instantly ! point oversight breakfast problem immediately corrected- often one ' complain ' solution improvement origional ! hotel clean ; ' heavenly ' bed ok , nice decent coffee facility in - room ( Starbucks ) reception helpful meeting request high floored room . to trueful , low expectation Westin hotel one good advertisment group . 
 Feb 23 2007 	 nice stay 	 take one - day trip Superbowl Sunday Chicago friend huge bear fan . book last minute spg.com get decent rate one night 4 o'clock checkout . sheraton four - point twice never Westin . find hotel nice area . room clean spacious river view . location outstanding bar - hop super sunday . many choice within block two especially important outside temperature -2 without wind chill . complaint hotel seem promotion Bears / superbowl bar area empty 1 hour kickoff . not smoke personally , maybe non - smoking lounge hurt area , bar / restaurant packed whole day . read reviews regret check house blue bar accross street , look alternate parking bit high 38 $ per day . overall would stay sure . 
 Feb 19 2007 	 business travel 	 stay business meeting , convenient loop . many excellent restaurant nearby . bed great , room clean well appoint . nice tv , remote not work . fitness center nice terribly busy , cost extra $ 10 per day -- not eat well might forgone use . staff varied bit aloof ( front desk ) helpful ( bell boy , valet , maid ) . lose glove not really seem want look . would stay , especially rate good . 
 Nov 30 2006 	 nice view ... 	 find average hotel - check overly - friendly , concierge friendly , room large ( nice office area large desk working space ) , great view river , average amenity . great location walk around city see site . breakfast good cafe . room service & quot ; ok & quot ; ... nothing special . probably would stay somewhere else next time . 
 Oct 30 2006 	 nice would go back 	 husand stay Westin night head South Bend Notre Dame football game . location good , little bit walk shopping , river cruise , restaurant , etc . room nice clean , comfortable bed , flat screen tv , ipod dock / alarm clock ( love able recharge ipod ) , nice lobby . eat bar lobby first night since arrive late , food good . thing not know would reserve room club floor . due late evening arrival , sleep next morning , miss extra amenity food offer due schedule , end worth extra money pay ( rate $ 260 ) . however , husband like quiet place work check e - mail morning . thing aware $ 40 daily parking rate , likely find city hotel . otherwise , nice , relax stay . 
 Oct 6 2006 	 Location location location ... 	 live Chicago suburb stay Westin meeting . happy read Tripadvisor first know room flatscreen TV 's . though type room available , give Executive Lounge access instead turn great free WiFi access not spend $ 11 internet room . my room lovely immaculate , sign peel wallpaper etc mention another review . bed live name & quot ; heavenly & quot ; appearance comfort . bathroom large nicely appoint , though not think showerhead special . room partial river view nice . Front desk car valet fine . eat three meal hotel part meeting ; good , great . location hotel truly excellent . walk many place interest include Loop , theater district , Millenium Park ( ) , North Michigan Avenue , restaurant River North . would highly reccommend Westin River North wekend getaway close everything . 
 Sep 25 2006 	 central location reasonable staff pretty standard room 	 property benefit great central location Chicago River , plenty shopping restaurant within walking distance . staff generally competent friendly . decor bit skewed towards W side Starwood 's portfolio - 's 1970 's vintage era hotel refurbe kind retro / chic way appeal 25 - 35 target market . room fairly standard , other note , overall light level low room . heavenly Bed present comfortable , lamp bit dusty , minibar console room miss inset panel . bathroom include tub / shower combo curve shower rod sag due improper installation . odd double showerhead oversized tub / shower enclosure can not imagine people successfully use showerhead time . toilet seat lid plastic yellow age white porcelain bowl . frameless mirror hide fluorescent light not light one 's face well . massive armoire enclose 20 & quot ; tv space could easily accommodate 32 & quot ; regular tv 36 & quot ; widescreen flat panel . desk large desk chair tiny straight - back , dig one 's backbone like small torture device . closet enclose light insde . my room several minor error amenity placement maintenance . upon entry remote tv inoperative , probably due dead battery ; call guest service bring replacement six minute . next morning endure slow drain tub water past ankle time shower do ; call guest service bring engineer 15 minute . evening , want shirt launder could not find valet ticket plastic valet bag ; call guest service promise response , 30 minute later , call , second call , staff member arrive plastic bag ... valet ticket . another five - minute delay finally get little problem resolve . with reasonable CapEx effort , room hotel could stunning . , be typical Westin property compelling advantage like - kind Marriotts , Hiltons Hyatts . redeem feature location . SPG Gold Platinum , want seriously consider property . , location may enough offset average $ 350 rate property . 
 Aug 21 2006 	 Perfect Weekend Getaway 	 return great weekend stay . hotel formerly Hotel Nikko . nice property , stay club floor ( 19 ) include use executive lounge 2 time breakfast & amp ; cocktail . nice sort crowded breakfast . room huge , nice view river & amp ; Marina City tower , comfortable heavenly bed , temp set 65 request ( starwood point member ) usual amenity . use minibar fridge supply napkin clean glass replenish . not think get turndown service one 3 night probably ok pretty get home night ( drink , steak dinner & amp ; drink ! ) Chicago really great city - can not wait go back ! 
 Jul 24 2006 	 Great City - Great Hotel - Okay Service 	 Chicago great City . never cleaner friendly large city , like Chicago . hotel review ..................... Westin River NorthThis hotel would get 5 star not check - in . call 3 day row request early check bring dog stay we . call morning tell everything , guarantee . never problem Marriotts / Hiltons . upon arrive around 11:30 tell room not ready . okay , walk around dog . tell would put rush room would first clean . upon come back 2 , tell different person room still ready . tell tell , etc , rude said & quot ; not know tell & quot ; check not 3 may room available time ! ! ! ! type customer service ridiculous type hotel . say do , manager come right , ask problem , we great river view corner room within 30 second . room gorgeous . flat panal LCD tv , Great Bed , Great Shower .... Big Room . hotel nice , kind wierd minimulistic theme though . Room Service good . concierge nice helpful . look dog friendly accommodation Chicago , Westin good . well would Kimpton 's , particular Hotel Burnham . service friendliness Westin kinda cold compare high end hotel stay . the location perfect . walk distance everything . ask room 1624 . perfect view location . Architecture River Cruise great ... highly recommend . Hugos Frog Bar good always be . I love Chicago , never , really miss out . thank , Nathan 
 Jul 11 2006 	 amazingly central ... yet quiet ! 	 stay Westin one night Road trip Carolina Montana , book via internet approche town . want hotel bit north , pleasantly surprised enjoy location close Loop . rate cheap , lodge low floor ( third ) wonderfully proximate river view . side away street , street ( otherwise ) noise . never hear noise - peacedul , river view enhance that . our interaction staff minimal- check - in efficient friendly . doorman courteous warm . bell man fast friendly . staff appear well train accessible , unobtrusive . readily point Self - Park next hotel , confirm cost $ 20 . in - and - out privilege , need car Chicago ? speak , Harry Carey across street Smith & amp ; wollensky around corner ; dine & amp ; W since could take we right away . House Blues hop , make big city even interesting kid . we beakfast Starbucks behiind Merchandise Mart , four block away . the lobby sleek beautiful - room less . room small side clean two beautifully make queen bed . ( disgusting bedspread joint - freshly wash duvet cover sheet . ) upholstered chair gross stain wallpaper bit old fray place near rhe furniture . otherwise clean . occasion use internet television . the bath clean roomy enough , shower function well - that really disappointing . adequate number towel , although stale tobacco smell hate can not believe guest still encounter . USA Today deliver paper ( please ! ) complimentary Starbuck 's lobby make . would stay , particularly great online rate . 
 Jun 6 2006 	 potential nice hotel miss mark .... 	 husband stay Westin River North May 26th May 27th . ( back story- normally stay across street House Blues LOVE , trip end Westin River North . work block live Chicago North side . husband 's birthday weekend want something nice plan birthday weekend . recently turn 30 give age range ) first night hotel seem host type prom similiar function . teen run hotel 8 o'clock . check 1 pm incident . front desk staff friendly attentive upon check - in . after arrive back dinner first evening go room come back lounge drink . big mistake ! three separate attempt get drink order watch listen security chase prom - goer lobby hotel . time security not care come lounge order drink . finally leave , seem maybe chaperone 's evening come evening clearly happy left stress WAY loud yell drink order . not go minute could understandable , least 10 minute time leave . we go back room , hope put event lounge / lobby / hotel behe we enjoy shower sleep . we turn shower find hot water . 30 minute fight shower water setting make sure not error hop frustrated , tired fed husband call front desk . the front desk call engineering , check temperature hour later husband finally hot shower . tell , point ' m shiver bed half asleep thoroughly disgust Westin . much & quot ; Heavenly Shower & quot ; Day 2 . hope get well , discuss check totally scrap plan weekend decide try give another shot . long prom last ? one night event right ? stop front desk speak brunette . help everyone site include random people walk even though clearly wait line , finally choice help . explain event past evening . proceed smile point giggle tell story . ask source amusement get confused , say not understand want . ask problem go continue another day begin say & quot ; Security try .... & quot ; let sentence trail never finish .... minute ask want & quot ; complain manager & quot ; . tell lot learn deal customer walk off . we head day events- massage , shopping , lunch , etc . arrange meet back time get ready Tut Twilight Tickets Field Museum arrange week ago . at 5 o'clock surprised find room still clean house keeping . husband jump shower keep watch maid . after 15 min . venture hall search , find speak English . finally write room number say 5 min . at 5:30 husband head lounge try hope return room FINALLY clean . leave take use towel place pile floor room , put note bed ask 2 extra large 30x60 Westin bath towel since two we would like bath towel get shower . I leave tip note . we come back half hour later find room finaly clean , YAY . not 2 bath towel , seem endless supply small hair towel ( probably 20x12 ) 2 robe . seem like nice thought , quite mark . I call housekeeping request ASKED already head shower . husband wait towel . 5 minute shower hear phone ring . husband come tell call back telling & quot ; problem would right towel & quot ; none . they explain 1 per room 's late day get . try explain not , 1 dirty maid took leave little ago , not help . towel we . I ' m still try figure how / when shower become & quot ; heavenly shower & quot ; ... think whole thing laughable . no hot water , towel . nothing heavenly shower , trip matter . after dry postage stamp towel apparently luck get husband finish get ready . head valet catch cab head Field Museum . we arrive Valet find absolute free - for - all . valet anyone Westin site . 8 + people try either get cab unload luggage get cab . cab not willing take people since need take cab & quot ; cab stand & quot ; , since nobody valet nobody know get cab cab stand . chaos go 5 minute . we walk across street House Blues valet get we cab . upon return museum , dinner foundation room head room unwilling take chance lounge again . we get room settle . relax time order pizza local pizza restaurant . hour later front desk call tell will not let deliver driver come room come front desk get food . hang annoy . information disclose anywhere see . I arrive lobby find NOBODY front desk delivery driver pizza place . not know need credit card , front desk certainly not mention . delivery driver walk room give imprint credit card . nobody say anything since nobody lobby anywhere , front desk . the front desk inconvenience reason , seem par course Westin . perhaps business model . I get bill slip door , review bill . extra $ 30 phone call never make . purposely make call , except 1 cell due cost call . husband . interaction front desk not worth deal , fill survey sign check - out form . ( surprisingly total charge credit card even high slip sign check see bank statement day later ) want do Westin . never stay , never recommend anyone . would never consider city . clearly not seem care regardless member staff . send email Westin , fill satisfaction question check - out form , fill automate form Westin website , never hear word . 
 Jun 6 2006 	 Prime Location ! 	 Westin River North absolutely 4 star ! room plush , comfortable , believe view Chicago River . secure terrific price Priceline make stay much sweet . aware BUSINESS hotel . therefore , extra charge everything . wireless internet free lobby area unavailable room . instead , high - speed internet access charge $ 20 per day $ 1.50 per hour . parking hotel $ 38 per day , adjacent public lot charge $ 20 per day . breakfast include room . Dunkin Doughnuts trendy breakfast restaurant nearby . what please hotel LOCATION ! ! ! spend 3 day 2 night explore Chicago student Germany . Westin smack middle everything ! prepare purchase metro pass WALKED everywhere problem ! Navy Pier destination locate farth hotel , free shuttle provide nearby corner . use shuttle Navy Pier return via taxi cost $ 4 plus tip . CHEAP ! sure check numerous tour offer Chicago 's achitectural society visit Buckingham Fountain dark ! feel , safe tour Chicago hour ! ENJOY ! ! ! 
 Jun 5 2006 	 would definitely stay 	 stay hotel twice really like . find relatively quiet wonderful view river -- try get room river view ! ! switch loop w bit kinetic like hotel 's convenient right middle everything location . tend take blue line ohare short work clark lake stop . my room always spacious , attractive someone else write top . hotel formally Nikko still slight zen asian look . 
 May 21 2006 	 nice hotel would hesitate Stay 	 stay three half day attend conference time please hotel . although room little dark , unusually large quite comfortable . Westin River North sleek modern ambiance much well hotel Westin Michigan Avenue , seem somewhat run - down stay last fall . even though Michigan Avenue hotel well location Chicago shop , like location Westin River North right river , easy access Loop , also lot good restaurant nearby , ' easy walk shop Michigan Ave . the one aspect hotel really bother charge extra $ 10 use fitness facility . stay Westin hotel country never encounter additional charge use one gym . since already pay top dollar stay , think highly line submit guest additional charge . lot hotel choose Chicago , would probably go elsewhere next business trip . 
 May 2 2006 	 great hotel 	 daughter , friend , Aunt , , stay hotel 4/28 - 4/30 . surprise daughter 's 16th bday . already book club level , give we upgrade corner room beautiful view water city . club level good , great . breakfast continental snack ( pretzel , fresh fruit , etc ) day . evening , hor d'oeveres ( sp ) little pizza , fry artichoke ( yum ) . alcoholic bevs extra . first experience pay alcohol club . spacious plasma tv 's computer . the room nice . clean , appear new . bathroom nice , nothing top . separate shower tub . the conceirge helpful . front desk people delightful . fun time , great hotel . would stay . 
 Mar 2 2006 	 Great Hotel City Great hotel 	 wow -- always love westin -- heavenly bed really . , thousandth ( ? ) trip Chi town , always stay somewhere different , many fantastic hotel . long -- stay Westin . cool -- sleek contemporary , zen like . feel relax quiet . river view awesome , bed , perfect . also hear Sushi great , not yet try . Rock -- ! 
 Feb 27 2006 	 central restaurant site 	 great hotel , particularly get river view ( ask ) . room spotless , bed fantastic , shower even well . bar spacious relaxing . staff everything please . try Bin 36 road , amazing restaurant cheese bar novel opportunity try numerous wine one sit . highly recommend hotel whether business pleasure . 
 Feb 21 2006 	 New Year 's Weekend 	 travel Fort Lauderdale Chicago New Year 's weekend . could please Westin Chicago River North . Chicago May 2005 stay Hotel 71 . comparison . Westin much well . Cleaner , well elevator , nice lobby , well room . New Year 's Eve security tight one not stay hotel could not get elevator . great location walk Marshall - Fields , Ford Theatre pretty much everywhere want go . 2 block Lou Malnati 's -some good Chicago deep dish pizza ! definitely stay Westin Chicago River North . 
 Feb 12 2006 	 Elegant Front Desk Issues 	 really enjoy elegant , spare asian decor public area hotel . room nice , nice . water damage ceiling disrepair corner wall bathroom , room comfortable wth romantic view river . restaurant great breakfast & amp ; service impeccable . bar area nice . bellhop quick helpful -- really gracious . front desk staff weirdly ball . person front desk rather rude , brush . get room , though , turn actually give we room already occupy ! people asleep bed ! bellman horrify rush phone hallway straighten thing . could hear , rude . day later find check date wrong ( get bill door day early , though date right check ) . lastly , check , discover bill room charge proper credit card . note location really great theatre - going , though little far walk Water Tower shopping area . 
 Jan 24 2006 	 good business hotel 	 hotel would expect Westin . typical 4 - star hotel . service good , room comfortable , clean provide good work environment . style building seem japanese , think japanese chain use building . staff polite helpful . do not eat restaurant site , bar fine . nothing special . would probably return work would stay another location pleasure . 
 Jan 21 2006 	 Love River North . 	 stay hotel 30 time along many downtown Chicago . beat location service . great restaurant within walking distance . little pricey worth . 
 Dec 21 2005 	 great weekend westin ! 	 return long weekend shopping celebrate Chicago . Westin prove great home base . room large comfortable bathroom , do black marble , also quite large stylish . hotel gym far superior never crowd . lobby overlooks bar area create great atmosphere drink / appetizer . staff friendly location ideal Michigan Ave . loop . would suggest take 2 block walk Mambo Grill start evening mojito walk 2 block Fado perfectly pour Guinness . mention celebrate ? 
 Dec 12 2005 	 pleasant getaway 	 book two - night & quot ; Romance Package & quot ; shop play Chicago . include king bed , river view room , coupon american breakfast , bottle champagne strawberry , 4 p.m. late - checkout . room spacious view nice . bathroom also luxurious , & quot ; heavenly & quot ; showerhead . ( sure be set like step ! be powerful . ) minor glitch . champagne strawberry request never arrive first night , decide go dinner anyway , send next night . morning find decaf coffee one paper cup room . also bathrobe room . full american breakfast coupon worth $ 10 could select menu ( 2 egg , sausage bacon , toast , etc . ) fine use coupon first morning - go brunch Palmer House Sunday instead . pleasant stay like late check - out - give we time squeeze shopping ( without hassle packing retrieve car right away ) head home . staff quite friendly . usually stay corner room Swissotel try change . like location Swisshotel well , always find staff pretty chilly . 
 Dec 6 2005 	 Westin River North Redefines Class 	 recently truthfully , middle expect pleasant experience Westin River North Hotel Chicago . ' ve stay numerous time past year , even old Nikko - but improve dramatically past year felt compel write . Front Desk Manager Steve Johnson personally check , maybe Platinum member thought , see pitch overall check - in process make even large crowd people 's check experience smooth mine unhurried period . use lobby quite bit work internet connectivity well room , nice loungelike atmosphere . food drink fine , nothing spectacular fine nonetheless . Mr. Johnson invite SPG lounge 19th floor - I think reserve SPG Gold Platinum member , ' m sure , really make feel like Ritz Carlton oppose Westin get well . stay greet name many staff range bellman Allen James well Mr. Johnson make otherwise normally pleasant experience one make feel VIP start finish . great job Westin thank make feel like honor guest act way say redefine word class . 
 Nov 16 2005 	 go home ! 	 wife Chicagoans currently live Switzerland , stay Westin recent business / visit family friend trip back Windy City October 2005.overall , really enjoy hotel . check - in offer access business level ( can not really remember 's call ) $ 60 / day . think give we unlimited high - speed internet , access business level fitness room . business lounge ok . guess 's nice place unwind , food not great , charge drink . think price LEAST include free drink . the positive : fitness room excellent . actually , rank top three fitness room ' ve ever encounter hotel . the open - plan bar / lounge area bustle loud , nice place meet friend / colleague work . room generous size bed furniture comfortable . the staff friendly attentive need . the marble bathroom little dark , pretty well appoint . our view look Marina City Chicago River good ( unlike previous reviewer experience ) . would probably request river view advance . otherwise might view rooftop parking lot . the concierge helpful offer brochure - a - plenty ask touristy thing . the location hotel good . be next Chicago River 5 - 7 minute walk Michigan Wacker . stop double - decker tour bus be interested . also , many restaurant within walking distance ( i.e . Harry Carry 's pretty much right across street ) . , five - ten minute taxi ride take plethora restaurant sight . negative : mention , rather surprised find pay beer business lounge pay $ 60 / day right go first place . I find housekeep sub par . specifically , room dusty . not feel need dust hotel room housekeeping clean room . ' m talk thick dust nightstand dresser . overall , pleasant stay average ( 5 - star quality ) hotel . find good value money , would recommend business traveler tourist alike . one note : hotel Magnificent Mile . be look walk door experience shopping galore be well stay hotel N. Michigan Avenue . 
 Nov 5 2005 	 Nice Hotel 	 stay Westin property , evening Chicago Marathon . book room Chicago Sheraton Towers , misunderstanding , could stay last night Chicago move Westin . well , a - not - so pleasant stay Sheraton , pleasantly surprise Westin . soon taxi pull front door , greet cheerful doorman , luggage take hold aside get room . receptionist lukewarm efficient . platinum member , update club level floor . Room nicely appoint , wonderful bed bathroom amenity . oh , love computer free internet room ! think hotel 's good asset concierge , Bell Staff Doormen . cheerful anyone eager help ( ought teach hospitality course sister hotel , Chicago Sheraton Towers ! ) .The fitness centre wonderful trainer duty extremely helpful . too bad not stay four night stay wonderful place . highly recommend . 
 Nov 1 2005 	 dream come true 	 nice Hotel . Stayed World Series fulfil father 's life dream watch Whitesox world series . Got upgrade excutive floor room ( Gold Member ) . service executive lounge nice cordial . good location , near everything downtown . heavenly bed great . 
 Oct 11 2005 	 Chicago marathon 	 stay Westin Chicago marathon , impressed ! check staff excellent , even provide we suggestion dinner , also allow we late check race , allow we shower long drive home . room great , nice view Chicago River . room spacious , include bathroom , bed comfortable . would definitely stay ! fact , stayed base another recommendation , be glad . 
 Oct 3 2005 	 nice discreet business hotel 	 stay hotel 3 night late Sep . location convenient Michigan Avenue - 10 min walk away . also good downtown Sears tower 20 min walk away . check rapid smooth . room nice - decent size , good controllable air conditioning , standard comfortable Westin bed . breakfast quick reasonable . standard continental breakfast include small buffet good selection fresh fruit , pastry , yogurt cereal US $ 14 . also hot breakfast selection la carte . order dinner room service one evening prompt food actually rather good , pleasant surprise . concierge helpful ask help buy chocolate ( suggest ) . 3 minus , pretty minor . telephone room annoying hum . get upgrade normally Starwood Platinum card explanation mention , room susceptible traffic noise . say , prefer W Chicago W Lakeshore , intend stay next time Chicago . 
 Sep 30 2005 	 Love hotel except Service ! 	 stay hotel lot . part great -- room nice spacious , folk check good , restaurant great , location awesome , service lobby HORRIBLE . odd reason , lobby bar RUDE non - attentive . point not even like sititng . fact , travel sale team can not stand . Unfortunatley , experince lobby bar area ruin hotel . 
 Aug 29 2005 	 Great Hotel Poor Service 	 friend plan trip Chicago see Cubs / Marlins game Saturday 27th reserved room two bed evening 27th . arrive Chicago 9:30 , call land inquire early check . tell room would available hotel plan room would ready ( even though confirm reservation ) & quot ; least hour & quot ; , good could single roll away ; go say check early , may able accomodate we ( even though call tell we come 3pm check ) . 6PM dinner plan friend , accept give we need ready go . make effort apologize , make mistake ( , confirm reservation ) . even though hotel typical Westin , not think return . 
 Aug 24 2005 	 good room nice service terrible view . 	 room typical Westin , namely nice furnishing include heavenly bed , big tub , marble bathroom , etc . look like place recently renovate everything new . lobby bar great place meet friend lounge . concierge terrific . suggestion restaurant activity want . one negative view hotel next door . could sort see Chicago river . room nice view . another problem check - in staff not seem honor Starwood Gold benefit upgrade not much upgrade . overall , be fine ' m ache go back . 
 Jul 22 2005 	 quiet oasis 	 tough day airport wait delay flight , arrive Westin July 20 , 2005 . hotel modern friendly doorman pleasant staff . room extremely clean comfortable lovely bath . be convenient great restaurant House Blues . get wonderful night 's sleep Heavenly bed love quiet . would recommend hotel . 
 Jul 12 2005 	 wonderful hotel ! 	 stay Westin July 9 , 2005 . plan bachelorette party Chicago , girl stay . wonderful experience . lobby beautiful high class . employee extremely friendly helpful . lady front desk let we check early make sure river view , amazing . , ' m former flight attendant , stay million different hotel world . room clean nice size . heavenly bed comfortable heavenly bath two shower head bow shower curtain rod provide extra elbow room wonderful . not want get show ! , absolutely wonderful experience , definitely recommend . 
 Jul 3 2005 	 fantastic time . 	 stay Westin June 23 - June 28 , 2005 . hotel staff provide outstanding service . Allen , helpful friendly doorman / bellman Chicago . concierge well experience , behavior enough give hotel low rate . arrive approximately two hour early . staff considerate call we cell phone room ready . room clean excellent view river . bed shower heavenly . darken drape provide enough darkness we sleep little later morning . location convienent area . 
 Jun 22 2005 	 Hotel okay ......... 	 room quite small , compare hotel room . clean , though . great location staff nice . here problem ........... go stair ask could get 4 plate 4 fork we eat delivery dinner . one desk attendant looked say , & quot ; go ahead waive fee & quot ; . ask fee . say normally $ 25 fee use hotel plate flatware order hotel encourage patron eat outside hotel . shock ( face show ) . look desk attendant state , & quot ; well , Westin & quot ; arrogant tone . the restaurant hotel sushi / very upscale restaurant . hotel encourage , eating , QUESTION : conceirge recommend several delivery place eat hotel room ? guess hope Chicago - style pizza place would supply plate fork . tell non - arrogant desk attendant , thank waive fee . end need plate cancel & quot ; room order & quot ; plate . in addition , misquote cab fare several bell - hop airport compare cab driver charge ( large amount difference ) . 
 Jun 4 2005 	 well good Chicago ! ! check new Westin Workout Rooms ! 	 frequently stay starwood hotel especially Westins across world business leisure purpose . however , stay Westin River North Chicago , remind superiority Westin term product service . Westin River North truly engage staff member professional , curteous , friendly ! doorman , bellman concierge front desk , everyone care attentive . course , bed shower heavenly always . recent stay , opportunity upgrade room new Westin Workout room addional $ 60 . wow ! nothing like ' ve ever experience ! treadmill , workout equipment ( weight , stability medicine ball , etc . ) , fitness library , dvd player workout dvd convenience hotel room . fitness buff thoroughly enjoy Westin 's Reebok Westin Workout fitness center , real treat ! definitely reccommend property business pleasure traveler alike ! 
 Jun 4 2005 	 find Perfect hotel 	 travel Chicago year recently find Perfect hotel . Westin River North everything need business traveler great price . begin stay hotel get two thumb . stepping cab greet friendly doorman assist luggage . walk front entrance checkin desk think celebrity staff member greet . approach least three different employee good afternoon friendly welcome . front desk equally great perfect attitude ' m busy help attitude . even offer upgrade river view room additional $ 40 . strongly suggest room unbelievable view - good city . plus perfect since go working room evening enjoy great view work . escort room bellman , mention wonderful massage service hotel offer . long make appointment . perfect $ 55 able get Hot Stone Therapy Massage rejuvenate massage long time . return Chicago next month guarantee stay Westin River North . 
 May 31 2005 	 fabulous vacation Westin River North ! 	 wow . wonderful experience husband last weekend Westin River North . choose hotel attend conference conference room rate reasonable . husband go along much needed R & amp ; R. Westin RN turn perfect place mix business pleasure . conference facility riverfront ballroom outstanding . even food provide attendee good ! accommodation exquisite service unbelievably good . inquire riverview , hesitate pay extra $ 40 per night opt . however , give room southeast side hotel look river anyway additional charge ! could see two bridge , pleased view river , Dearborn , Wacker Drive ( include Memorial Day Parade ! ) . bed & quot ; heavenly , & quot ; advertise , room much spacious expect location . everything need already room , declicious - smell toiletry corkscrew wine glass ! husband get great massage hotel impress gym wish one nice back home . everyone hotel friendly helpful . desk staff personable gave feel much small hotel . concierge direct we fabulous restaurant within block . location unbeatable . walk block east catch architecture boat tour sunset see great show House Blues across street . Michigan Avenue , Millenium Park , museum , train stop get Midway Airport easy walk . get good deal room , Westin River North definitely first choice hotel next trip Chicago ! 
 May 20 2005 	 great Time Westin River North 	 stay hotel May 06 - May 08 2005 . hotel awesome location , close great area Chicago ( walk everywhere go ) ! ! ! train station airport 2 block , save money cabfare . hotel inside well keep stylish . room clean , contempoary , comfortable - not mention pretty big hotel room . view awesome Chicago River many bridge wind city . bathroom large tub , plenty room ( stand alone shower though ) .We try enjoy drink bar breakfast hotel . dissapointment . bartender sassy rude , food way overprice - and even taste good . plenty good bar resturant near ( Clark street ) , suggest go there . overall hotel great , service ( expept food beverage ) wonderful well , typical starwood hotel stay . photo attatche Deluxe River View Room . would highly recommend . 
 may 12 2005 	 must get well ! 	 think thing must get well . ' ve sample several Chicago Hotels go business often . , stay Westin Michegan Ave . , decide convenient . Westin River North convenient everything ' m look find staff helpful . nice large lobby relax , find nice . room large ( small ) everything order . mind , ' ve stay , hopeuflly experience problem . head June will let know , , would highly recomme hotel . 
 May 4 2005 	 beautiful lounge garden 	 know nothing hotel area . surprised nothing complain . lobby nice , lounge perfect room wonderful , clean , view , bed advertise heavenly sheet pillow coffee nice touch . wish could stayed long . 
 Mar 20 2005 	 great value location nice hotel . 	 nice hotel . complain anything regard hotel . able get room hotel steal , get great rate use Hotwire . ever Chicago Westin River North hotel look . 
 Mar 13 2005 	 great Stay ! 	 Westin River North luxurious hotel . room view spectacular look Chicago River . hotel center Chicago , near Merchandise Mart , Magnificent Mile . would deffinatley stay . staff helpful , kind . would reccomend family short ride Shed Aquarium Field Museum . stay Westin excellent ! 
