mediocre 	 good thing hotel price receive Orbitz ( $ 160 / double inc vat ) . location near tube keep mind tube extensive renovation , extremely crowded day , may run weekend . , take tube hotel Heathrow . easy trip -- hotel directly across Gloucester Rd tube station -- virtual nightmare due overcrowding tube . literally stand one foot part way insufficient floor space . District Cicle line -- also across hotel -- close weekend . hotel particularly close many tourist attraction exception Kensington Palace south Kensington museum . look like straight shot th Tower London require we ride 4 different train . beware review extoll easy access tube . also could find satisfactory breakfast spot nearby . hotel want $ 25 continental breakfast nearby spot mostly bakerie coffee shop . want reasonably price , old fashioned English breakfast close hotel , good luck . room small , par course London guess , although recently seem trend toward large room . apparently trend yet reach Baily woefully inadquate drawer space . husband use small drawer availiable live suitcase . hotel claim room service idea two people could eaten room . floor ? plumbing also issue . husband force use public bathroom would decide flush day . occasionally wonder pay private bath take lift 4 floor use lobby facility . hotel ok price fine guess , although always deal available stay much nice , convenient hotel price . 
 Excellent hotel miss extra touch 	 Bailey 's excellent hotel , authentic english atmosphere charm , great location across street Underground . give four star , be really four star minus . time little extra touch miss : one receptionist make line short , one maid room clean would thorough instead leave something day , one doorman would actually someone door , etc . room nicely furnish quite comfortable , unmistakably English . way , hotel difference room category really make difference , avoid really small entry category room spring high category ( top category non - suite room huge , even american standard ) . buffet breakfast quite good room rate include ; otherwise try starbuck dozen place across street . 
 Felt like home ! 	 return 7 day stay Bailey . first , say , location great ! wonderful walk underground hotel directly across street . could easier get back Heathrow . splurge Deluxe Room ( L119 ) include internet stock wet bar . nice additional item purchase local Waitress Grocery . room spacious comfortable . want feel Old World exactly get . bathroom quaint wonderful deep tub towel warm ! room , 322 , end long hallway quite entire stay . cold , wet day always nice get room feel right home . staff check , concierge , maid service pleasant efficient . question answer smile ! could please stay . even receive special desert upon arrival celebrate 20th anniversary . area around hotel wonderful . family orient within walk distance many resturant , grocery store , ATM . husband go Cafe Forum every morning coffee free croissant . , location underground perfect get various part London . we would highly recommend hotel one strongly consider get chance visit London future . 
 Feb 7 2008 	 excellent birthday treat 	 Stayed Millennium Baileys Jan 27 28th 40th birthday . location could not well journey train Yorkshire . Got tube king Cross Gloucester Road hotel immediately right come . could not close ! look nice outside , generally speak , maintain inside . friendly reception staff ( foreign , good command English ) able check we room even though 11.30am ( also let we check hour late ) .room compact ( typical lot old London hotel ) smart . General decor hotel 3.5 star rating book , quite 4 star rate . building work go not inconvenience . have drink night hotel 's Olives bar nice enough . Breakfast ( full english include book £ 100 night ) adjoin Olives restaurant . overall , enjoyable stay . 
 Jan 26 2008 	 could not well 	 sister - in - law always want London Christmas book two week Bailey ; s. arrive , room assign rather cool , upgrade spacious room sit area overlook Gloucester Road . warm confortable thermostat easy control . room bathroom spotlessly clean staff friendly helpful . bed super comfortable -- much , fact often sleep later intend . Christmas , find gift candy small bottle -- else -- Baileys Sherry . room service fast , courteous food tasty great bargain London . be also nice dining room day Christmas seat front fireplace present & quot ; Christmas cracker . & quot ; hotel attach Millennium Gloucester facility open Bailey 's guest . I can not say enough staff , especially & quot ; Debbie & quot ; nice accommodating . become ill New Years Day arrange doctor come hotel . pneumonia , give medication recover day . concierge arrange several tour us transportation back Gatwick . the location perfect . right across street Gloucester Road Tube station well wonderful grocery store -- Waitrose 's kind baked treat , must admit , overdid little dieting . I London many time stay number hotel even rent flat several week . far concerned will not back LOndon winter , go summer , definitely , stay else . american , always feel welcome comfortable England trip different respect . thank wonderful staff helping make stay outstanding . 
 Jan 17 2008 	 honestly ? ... overrated ! 	 stay Millenium Bailey 's Christmas New Years year . read nice 4 star hotel friendly staff . think big disappointment fact hotel room rundown shabby . room everything tear wallpaper , loose dislodged tile bathroom . stay 9 day also plenty interaction staff not pleasant . everyone little surly unhelpful come solve little problem toilet paper send room stock . stay must ... 
 Jan 14 2008 	 good location 	 hotel literally next Gloucester Road tube station make easy get around London . area lot nice restaurant . the hotel ok value London standard . cosy bar ok restaurant . room front building little noisy early morning otherwise room fine . 
 Jan 10 2008 	 Recomended get price right ! 	 sayed 3 night January . got good deal Travelzoo - £ 95 per double room , per night , include full english breakfast . we early room not ready , ( kindly ) upgrade Superior Executive room , available immediately . room spacious poorly light . light beside wardrobe , full length mirror hair dryer . one spotlight large bathroom little light around one bathroom mirror . make difficult apply makeup etc ( even bad wife ! ) . room little noisy , squeakiest floorboard ever ! , overall , London , bad accommodation . breakfast excellent . bar welcoming . staff fine , friendly professional . great location , next Gloucester Road tube station close museum etc . lot restaurant around include chinese , indian etc . all , recommend hotel . would suggest ask see room beforehand unclear difference standard , superior executive room might ( particularly pay anything like full price ) . 
 Dec 22 2007 	 sadly far expect pay . 	 Reception staff keep we wait whilst argue phone another member staff clean room . could also say please thank , would rather nice . Room - Decor fade date . fridge patch bacteria it . Bathroom - Shower old could not adjust . fit around bath come away rotten water damage , mould could seen sealant bath wall . shame style 1930 's great potential . room service - ring three time second bath towel , one two people stay . arrive five hour later . bar- nice staff decor , expensive . Breakfast - Adequate . overall - great location potential . need extensive overhaul . . 
 Dec 16 2007 	 impressed 	 stay Millenium Baileys business ask travel book people hotel Gloucester Rd area becuase convenient location well light street plenty restaurant etc . hotel convenient Tube metre exit fortunately side road ie tube noise . check efficient . receptionist ask want double bed , say yes please , mention would extra £ 50 per night - feel bit annoying . ask room bath ( room bath , shower ) give room opposite lift . make feel slightly uneasy lot traffic throughout night also shrill beep lift audible not sleep well . air con working though - anything ( surprise ) room slightly chilly . the hotel need refurb , everywhere look rather date shabby . single room small poorly light - two lamp overhead light make working awkward . seem fairly clean although I d rinse two curly hair bath - ick ! miss breakfast can not comment food , although bar menu look good value London . to summarise - would not actively avoid hotel - convenient , service ok fairly clean - neither would actively seek . 
 Dec 3 2007 	 convenient tube station 	 hotel convenient get around right next gloucester road tube station . adequate room london standard although like we guest complain room far hot . could turn heating 10degree , advise open window difference . contrast full english breakfast stone cold serve cold plate . advice would stay room tariff plenty place nearby serve breakfast reasonable price ( £ 16.95 millenium ) staff pleasant , okay 2 night break due heating problem 2 sleepless night 
 Nov 20 2007 	 livable staff 	 arrive hotel around 1pm wait bar hour advise hotel full room get prepare we . book Club Room locate one corner hotel second floor . the staff excellent , friendly , helpful always smile . breakfast include hotel rate ( 211 GBP incl . VAT ) consider high rate room upto mark . old fashioned room basic amenity basic bathroom . room spacious much London standard expect since Club Room . bathroom big also basic layout old . major downside room safe working . complain arrival even three day nobody turn rectify it . the airconditioning work . room like oven . turn temperature 10 Deg thermostat maximum speed blower keep heat . finally call engineer arrive perfectly time . Checked Unit say valve break since would take time could morning . ask end it . call evening ( half hour back since still ) advise since heating turn cool . wierd since situation change overnite . gentleman reception advise open window case require could send pedestal fan . one would expect hotel also somebody pay extra club room . other two problem stay excellent . room bathroom clean overall good experience would recommend CLub Room since worth rate also Internet Connection charge extra ( 20 gbp ) . 
 Nov 17 2007 	 good consider alternative 	 location Millennium can not beat -- literally step Gloucester Rd tube station . hotel ... hmm ... nice enough . rate pay bit absurd ( $ 350 US ) , decent hotel London ( hard thing find ! ) , probably comparable anything else area . the room bit tired , clean . hot water -- well , never really ' hot ' water . warm , good . thank goodness heat towel rack ! breakfast include rate . $ 10 ' take - away ' breakfast ( consist cup coffee , piece fruit pastry ) lobby . expensive ( darn exchange rate moment ) across street Paul 's , Starbucks , one shop -- not eat lobby Millennium , see someone get reprimand ! internet access lobby free ( sure suppose able connect . ) access room something like 25 pound / day . wow . my one concern somehow London credit card number steal ... expect hotel place actually hand anyone length time ... either someone desk ... one day realize free internet access lobby , pay TMobile internet online . beware . I would stay . overwhelmed hotel , perfectly adequate . note entrepreneur ... incredible market central london super clean , decent business hotel new furnishing free internet access . hard come . 
 Nov 16 2007 	 one step tube 	 catch trip report old stay . we stay extended weekend stay ( 5 day ) come state . primary reason select property location tube line direct Heathrow . pleasure get long flight short tube ride find stand doorstep hotel . we arrive early States still able accommodate check - in . upon request quiet location give fairly spacious room absolutely noise . ( not view ok - look window ! ) also offer we free breakfast upon arrival generous well . within suitable walk distance plenty small interesting bar restaurant - one restaurant like much go back second time . also numerous nearby tourist attraction . use tube also able venture afar ( include day trip Stonehenge ) .The next time London will likely choose hotel . 
 Nov 6 2007 	 Superb Location 	 stay saturday night - visit theatre sightseeing . got great rate Travelzoo £ 95 double room include full english breakfast , good value hotel city . great location main road city hastle driving . opposite entrance Gloucester Rd tube station great getting . also shop restaurant accross road hotel . staff friendly helpful . breakfast many waiter 's waitress - service excellent . breakfast good resonable selection food . room average size , bathroom bite small adequate night stay . bed lovely comfy . tea coffee make facitlie mini bar . overall would definately stay go back London . 
 Nov 1 2007 	 outstanding 	 stay Millennium Bailey 4 day October . visit excellent . front desk staff welcome knowledgable . upgrade club room large well equip . bathroom British love towel warm . arrive evening England play rugby final bar alive fan . breakfast room lovely large room overlook street . husband please full english breakfast buffet . location terrific , step tube walk distance V & amp ; Museum . Tesco across street pub restaurant . recommend Black & amp ; Blue , steak house . stay London several time good price range [ pay 95 pound ] return . 
 Oct 26 2007 	 great location ` ` English . '' 	 two great thing hotel : location , right next Gloucester Road Tube station pleasant bit ofroad shop cafe ; & quot ; English & quot ; feel . arrive , know London , grand ( small ) lobby maze hallway . unlike standardized look modern chain hotel . plus . breakfast good andserve elegant room -- , & quot ; English & quot ; -- include rate Paul cafe / bakery opposite ! room small -- small -- two stay , one teenyroom one quite spacious apparently luck draw . otherwise , standard comfort cleanliness fine room quiet . staff pleasant although not keen store bag away day even though website advertise & quot ; luggage storage . & quot ; overall wouldl certainly stay although would hesitate pay rate get $ 240 & quot ; standard & quot ; room . 
 Oct 26 2007 	 Great Location Staff fabulous 	 stay October 12th 14th family visit London Travelzoo . book two room , one standard double executive twin . room adequate , Mini bar Tea / coffee make facility . bed comfortable , bathroom spacious , shower powerful . executive room also sofa chair little bit spacious double room . arrive hotel reception staff fantastic , helpful even phone we later find everything ok room . small problem - tv one lamp work , within minute hotel engineer room fix . room service reasonable delicious , however breakfast next day disappointment . full english breakfast package , food hot , keep run , wait staff slow . main lure hotel would lovely location , close shop , restaurant far Albert Hall , Natural History Museum Victoria Albert . also across road bus stop , London bus tour commence . people say ideal Underground - literally across road . ( get Oyster card go , save money not hunt cash bus tube . ) would stay location staff , end day hotel nothing special , albeit clean comfortable . need trip London , would return location reasonably price room . 
 Oct 24 2007 	 ok hotel good location 	 Stayed day couple week ago . hotel situate nice part London . center , easy get anywhere , include particularly easy get airport ( Picadilly line ) . also close Science Museum Natural History Museum , , good . the room small side hotel feel impersonal . mean , ok , nothing special . would stay convenient want London , would really prefer alternative . 
 Oct 19 2007 	 good location nice staff run room 	 stay 1 night September . locate almost across street tube station . arrive 11 am morning , staff let we check - in ! really nice since travel . room show age blanket really dirty several stain . bathroom show age well , could use good deep clean . since stay one night make big deal cleanliness room . 
 Oct 13 2007 	 one Best London 	 Bailey 's Hotel well - locate hotel , across Gloucester Road Tube Station . stay perhaps 20 time past several month . what distinguish hotel friendly staff , particular porter particular member front desk team . price wise , hotel offer excellent value money , give London , central location . internet service room generally reliable , though need , make sure room go check , many room problem time time . what less good hotel , make positive stride , particularly notice rate creep lately quality furnishing fitting bedroom bathroom . the & quot ; King & quot ; bed always two bed push together -- good good circumstance , , one always find substantial gap , mattresse different height . sheet cheap , poly feeling sheet , pillow synthetic nice . the bathroom functional , rarely enough shelf space put thing , room shower not seem get hot other , towel rack heater often blink ... in - room temperature control often not work ( whether heat AC ) .That say , not rip internet charge , give often live hotel , yet find place offer well overall value money London . Book ahead , often sell . 
 oct 9 2007 	 Excellent location service reasonable price 	 across street Gloucester Road subway station ; Station 3 subway line - Circle , District Picadilly one take London Heathrow ; save 45 pound taxi ride airport ; good 3 line case one service , especially weekend ; day subway pass 5 pound 10 penny ; across street Fun Pub , grocery store , Starbuck 's , Fish Chips place , internet Cafes ( 1 - 2.5 pound per hour ) ; compare Hilton Kensington , service well Baileys lot tour offer ; Baileys offer many sightseeing tour hotel - Windsor , Stonehenge Bath trip awesome ; Friends Hilton come book tour Baileys ; casino behind hotel , open till 6am ; room clean - small , typical european hotel ; safe neighbourhood . reasonable price ; walkable famous place ; internet access ; would definitely stay Baileys price less 100 pound per night double room ! ! ! highly recommend friend tripadvisor viewer ... 
 Oct 6 2007 	 large Boutique Style Hotel 	 Millenium Bailey 's reasonably price well locate hotel want stay near downtown budget mind . staff quite friendly , room clean although date , location - across street Gloucester Road Station excellent . I fortunate unfortunate difficulty get aninternet connection . result see 5 6 different room shape size escort around find room functional internet . tell room unique , thus & quot ; boutique & quot ; comment title . large room quite nice small room bit cramp ( enough space walk around bed ) . king bed actually twosingle bump one another . bathroom semi - functional . toilet not always flush well . say , internet functional room . say , staff accomodate help locate room work internet move additional cost . the area around Bailey 's ok . 's nice pub across street . restaurant area fairly decent Covent Gardens Soho area short train ride away . across street Gloucester Road station quite nice . be budget fine place stay . want spend bit less boutique style environment could go next door Millenium Gloucester . great location traditional fine hotel appearance . 
 Oct 3 2007 	 Outstanding ! 	 wife stay Millennium Baileys 4 night September 07 . stay Millennium simply marvelous . follow format review previous one regard Hotel Abbatial , Paris FR ; negatives ; ~ ' think anything negative regard hotel read review , ' help ask folk stay place do . POSITIVES ; ~BUILDING : simply WOW … .. beautiful victorian building successfully convert modern hotel yet elegance décor keep close original possible . pay close attention ambiance , lobby LCD computer screen put wooden case match desk rest décor.~STAFF : front lobby housekeeping , everyone attentive , friendly willing help whatever could . want attend soccer match Wembley Stadium sell , fellow front desk go way try get ticket black market.~AREA : safe , lively , busy , close main attraction definitely one well part London . nice restaurant within stone ' throw away hotel . try thing local , little café directly across front door , seem pick cab driver hangout . Owner friendly food reasonable taste good . ' leave town without try English breakfast.~room : clean , comfortable , cozy everything work include towel warmer think nice touch . bed comfortable plenty big . ~TRANSPORTATION : another WOW hotel . count ; within 50 step tube entrance bus stop . cab around time , especially café across street open.~price : would definitely include Millennium Bailey ' reasonable category staying may change " good bang buck , Euro Pound " ~SUMMARY : one sentence- someday hope go back stay . 
 Sep 26 2007 	 Great Location 	 neice stay Millennium Bailey 's early September pleased hotel location . would recommend eat breakfast property , plenty place area eat include Starbucks . black Blue retaurant across street great steak . say Nancy concierge well - recommend great place eat , secure theatre ticket extremely friendly . would stay without hesitation . 
 Sep 23 2007 	 Nice Hotel - Pity Staff 	 Nice hotel , somewhat need paint . 4th floor end corridor get flight stair elevator , easy two large suitcase haul . the staff try helpful , desk grasp English language understanding , find leave ask underground station across road direction get place . I make one phone call confirm tour book Australia cost 2 pound 50 per minute , think bit rich . the breakfast include price quite adequate although not know would want pay 20 pound english breakfast include . the hotel great location , tube literally across road , plenty place eat vicinity pub directly across it . we would likely stay . 
 Sep 19 2007 	 Wonderful Hotel -- except nickel dime stuff ( shill penny ? ) 	 great little hotel fantastic location . certainly pay much stay ( 179 pound night ) London completely full hotel charge way much ! ( huge Arms convention London time ) . ' ve book hotel other recent past around 100 pound seem much sane . London expensive city -- strike -- & quot ; world 's expensive city & quot ; pay pay . the bailey first one good location London . literally step Glouchester Road Tube station everything could possibly want right -- lot place eat , good pharmacy , 24 - hour grocery store , pub , pub , pub .... hotel quite nice . room stay small ( one bed ) great bath nice furnishing . also great light decor quite comfortable . closet space quite small , lot clothe put away , may want go upgrade room . coffeemaker water boiler teabag instant coffee ( disappointment ) , instant coffee good . tv 25 channel excellent London hotel . hallway nice lobby , though small comfortable . also surprised discover leave safe wide open one day 100 pound . maid touch , bless heart ! ( get tip ! ) problem extra charge quire ridiculous . two - and - a - half pound call toll free number ? twenty pound use internet day ? least staff able suggest alternative one not force use overpriced service . still , small irritation make incredibly nice staff . ' ve stay lot hotel around world , ' ve never see one staff concern make sure stay nice finding way help guest . ultimately make break hotel staff Bailey 's staff top notch . I will stay ! 
 Sep 17 2007 	 Excellent value money 	 stay one night end August 2007.Great location , perfect get around London . great value , pay £ 111.00 , book hotel website . arrive hotel early , 1215 still allow check offer smoke non - smoking room . staff meet friendly helpful . room slightly small side , enough problem . really comfortable bed noise problem second floor room . room slightly shabby , eg bath panel crack around edge , nothing cause problem . room clean . slight problem return room evening . locked room door card pass not work . take 2 trip reception , call hotel maintenance hotel security duty manager turn pass key let we room half hour later . fair hotel , thing happen member reception staff stay we whole time . 
 Sep 17 2007 	 great location 	 two we stay overnight . hotel beside underground great get theatre land . three underground line pass way visit other area london option . room spacious two - twin bed . staff courteous friendly . definite place stay overnight London . not eat hotel eatery bar nearby . 
 Sep 8 2007 	 Loved Bailey 's 	 stay Bailey 's 5 night , August 22 - 27 , 2007and wonderful old hotel . lobby beautifulchandeli 2 lift restaurant . concierge , Raymond , real jewel . helpful anddid everything us restaurant reservation BigRed bus ticket . upgrade standard deluxeroom large modern bath 2large window could open . air condition thelocation great , right across street GloucesterRoad tube station bus stop across street . therewere several wonderful restaurant pub within walkingdistance . would recommend highly . ClaireSlidell Louisiana 
 Aug 28 2007 	 Fab hotel 	 recently pleasure stay hotel family , book stay equally stunning hotel Millenium Gloucester hope quality . disappointed , room huge ( room 435 , 433 , 437 ) bed comfortable want take one home . breakfast good although good Gloucester ( would hard beat anyway ) . bar price bit shock although beer reasonable spirit .. hey London plenty bar price find hotel hotel ! Tube 10 second away 24hr Tesco opposite well excellent patissierie offer great service good meal . back one hotel next stay London . 
 Aug 21 2007 	 Charming hotel ritgh next tube 	 Bailey 's charm old , reasonably well - take - care - of hotel : build beautiful nice lobby old - fashioned decor lift wallpaper bathroom design . floor quite even squeak bit , hole carpet wall place clean . we pay £ 107 standard double room undeniably rather small . possibility update executive superior room provide check - in extra charge budget intend stay room much stay standard level . maybe quite four star quality , , look price pay well - connect London hotel , deal reasonable . still , could use least couple drawer clothe rather mini - bar . the underground station three tube line 30 hotel door . area around pleasant convenience store pub nearby . price include continental breakfast happy : croissant fresh orange juice ( good quality indicator hotel breakfast ) tasty strong . still , £ 16 morning snack £ 20 british breakfast seem simply ridiculous stylish pub nearby offer £ 5 ! staff really friendly help we several time need within hotel question concern wandering around city . important , room silent sleep well . nice extra get room arrival 11 , 3 hour usual check - in time . all - in - all recommend Bailey 's reasonably price quality hotel - get deal good . guest use large room consider option standard room . 
 Aug 8 2007 	 need get 	 first , go charge price Millenium Bailey charge , least modern internet facility traveler . mean wireless internet least . computer guest use cram stuffy , overly heated closet , not cost pound per ten minute not run idiotic program ever design make read mail virtually impossible , block pop - up allow one window open time . email program require new mail read write open new screen , program prevent one window open time , see title new email , want read compose , screw . might way around , pound per ten minute , going go broke find . course , toilet paper situation . Bailey 's CHEAPEST horrid toilet paper ever misfortune use . sick visit ill go first two day oblige use sandpaper roll provide . rub poor nose raw , mention tender area . stay $ 25 night roadside crapshack well paper good place . get start $ 30 continental breakfast . Bailey be go ( besides way high opinion ) fantastic location , professional staff well appoint , well organize spacious room . linen need overhaul bed spread hole towel mangy side overall , room accomodation adequate . 
 Jul 11 2007 	 Excellent location value 	 hotel directly across street tube - additional walking , tube across street . take tube directly Heathrow Glouchester road abolutely challenge . vert easy direct . we stay club room King size bed . comfortable , large roomy Europe . excellent shower good pressure . drawback tube bathroom high side young child person low mobility ssue challenge . receive bruise low extremity vertically challenge ( i.e . short ) . inside courtyard view also street noise . good trade opinion . Room always clean well . elevator 2 person luggage . unusual Europe . expect large . Hotel 's age ( old hotel wrinkle lot character ) . staff desk extremely helpful . however , staff Oliver 's need lesson two customer service . go Pub across street . cheaper realistic britian well customer service . remember need order bar . pub always pack , good sign ! check TESCO be across street . avoid italian restaurant tube side road little mall . price great food service . easy access London - Enjoy ! 
 Jul 10 2007 	 definitely work we ! 	 recently stay Baileys sort 20th anniversary present . 8 night get rate 129 pound per night think pretty decent London hotel . room club level room , spacious - even generous . queen size bed great comfy nice linen . 2 club chair desk plenty room spare . the bathroom fine - towel great ! problem first time get shower - fall ! ha ! elevated bit short , much big step tub thought go flat . harm do ! use concierge get ticket Globe we . everything else . eat several local restaurant fine . would hesitate recommend location , size room , room amenity niceness staff . pleasant experience ! 
 Jul 8 2007 	 overall nice ... 	 spend 10 day Bailey be must say worth it . I Standard Queen , think small room available . see 's available elsewhere , cheap ( often tiny scary ) expensive ( luxurious nice prepared pay £ 200.00 ) think rate room fair . the bedroom good size bathroom . write desk chair armchair . furniture tired , greasy armrest fray fabric - look closely , overall impression nice . I ask quiet room complain room face interior space make fire escape misc . pipe etc . make room dark . even light read difficult . there noise outside adjoining room . bed comfortable sleep well . however , door room close loud bang neighbour come go lot annoying night . the location wonderful . everything post office , dry clean , internet cafe , Waitrose , 24hr Tesco , bank machine , pub , restaurant tube stop acess 3 useful line outside hotel Gloucester Road . the pièce de résistance Paul 's Café across street . I , , heartily recommend Bailey 's good value anyone seek medium range accommodation excellent location . 
 Jul 4 2007 	 would stop 	 stay one night book last minute.com secret hotel . our two room 116 122 good size , comfortable large bathroom powerful shower . the bed comfortable room quiet night . we eat hotel many cafe across road breakfast etc . mini bar expensive complaint . recommend . 
 Jun 26 2007 	 fade gentility need TLC 	 excellent location hotel , usually excellent place evening meal . smoking ban come force lounge area excellent place drink afternoon assignation . the overall impression pleasing – wonder ' time spruce fade gentility , replace age carpet paint wall . bedroom good little scruffy , bathroom obviously refurbish , bed comfortable , shower excellent room quiet meet one aim Millennium group ' boss provide good night ' rest . ( quote 25 June 07 travel mag BA lounge ) .my evening meal good staff attentive friendly usual - excellent rhubarb - base pud . breakfast little disappointing though – dry uninspire soggy toast orange - juice need thorough mix … …… .. BA air mile though . 
 Jun 26 2007 	 great location lovely hotel 	 book hotel londontown website , good rate continental breakfast . the location could not well , want visit west end hyde park concert , get Gloucestor Road station literally across road , brilliant . 24 hour Tescos opposite various shop , cafe restaurant near . we arrive half hour early check attend immediately , room ready we , also give £ 20 voucher spend food hotel ! ! ! unpacked ate bar come £ 20 drink lovely . the room perfect , like one show web site , standard room large tea coffe make facility , iron ironing board , mini bar , seating , pay per view movie . bed large comfortable everything spotlessly clean . breakfast nice get seat straight away even though busy . it definately well expect , power shower wonderful travelling . one moan would expense item mini bar be not like ! ! ! ! stay London would definately book hotel , fussy use work hotel business always find something moan belive praise ! ! ! ! ! indeed ! ! ! 
 Jun 16 2007 	 pricey accessible location 	 family five stay MB June wife attend convention . first time London . the hotel old mention review not expect modern amenity furnishing . location Gloucester Road perfect family whose main purpose visit Natural History Museum , Victoria Albert Museum nearby Kensington Gardens . tube station literally across street nearby cafe , Tesco store , KFC Boots pharmacy make life go convenient . proximity underground allow access rest central London . be pretty easy even three child 9 go Tate Modern , cross Millennium Bridge St. Paul 's Cathedral , London Eye , attraction . the room price Millennium Club room much , though . internet access free , June 2007 price 8 pound per hour 20 pound per 24 hr , ridiculous necessary unless want go net withdrawal . wireless access . room antiquarian tired look clean adequate temperature control hot water . warn towel heater rail appropriate , get hot . tv CRT dvd player watchable channel least three foreign language one . bed soft comfortable . room keep clean staff , uniformly courteous helpful . breakfast serve buffet style get old eat almost daily . sufficient selection free . nearby cafe one venture . try room service able evaluate . sample sumptuous asian fare singaporean restaurant Bugis block away , actually still part Millennium complex . path lead , try fry rice . again , proximity nearby attraction underground station attractive . hotel average stellar , keep unassuming facade . amenity par US standard hotel price may norm London peer . 
 May 1 2007 	 Great Location ! ! 	 great location ! ! glad close Gloucester Road tube stop , 45 minute ride Heathrow ( Picadilly Line ) . easy get anywhere 4 night . yes , old creaky floor - 's London . CLEAN water pressure shower nice strong ( always one test hotel ) , plenty hot water , . large room ( 219 ) end non - smoking hall . late go eat one night , sirloin room service good . go good french restaurant within walk distance - La Bouchee ( 56 Old Brompton Road ) . Salad Paysanne delicious - could make meal . , scallop haddock excellent . truly delicious restaurant worth try - Entree 's plus salad total 47pound , little pricey , really nice evening . 
 Apr 30 2007 	 would go back ! 	 return 2 night stay hotel . certainly would stay . book club room , take one look walk , floor board squeak groan soon walk , really noisy ! bathroom still hair lie around toilet ! go reception ask another room , apologise upgrade we executive suite . room lot large , still not anything whow ! carpet furniture wear well . breakfast hotel okay nothing great though . go 10.20am sunday morning hardly anything leave . good thing say hotel bed comfortable . 
 Apr 12 2007 	 Great Hotel 	 stay London hotel 1 2 time year normally end cramp room be budget . need bit space comfort time 4 month old baby money tighter ever ! book lastminute.com ' top secret ' hotel have look lot hotel quite confident description one booking . pay £ 156.00 two night . reception staff great - efficient chatty friendly make we feel welcome . room large - plenty floor space even travel cot - clean . decorate traditional ratherthan contemporary style . bathroom decent . not hear noise , either room outside . would definitely stay . 
 Apr 5 2007 	 fantastic london hotel 	 ihave take oppurtunity write review hotel . come london weekend away mum , choose hotel location review read trip advisor ! ! handy site ! ! ! dissopointe , arrival promptley check also give free room upgrade ! ! room beautiful , spacious , clean throughout bed incredibly comfy come duvet ! ! . staff friendly helpful ask about certain location give helpful advice even give we map contain major site shop ! ! ! could 2 lady want ! ! ! would highly recommend hotel anyone want bit luxury fab location good price . much mum planning next trip upto london ! ! ! 
 Apr 4 2007 	 Loved ! ! ! 	 book via lastminute.com brilliant stay - room spacious , clean comfortable describe . large bathroom bath shower spotlessly clean , fresh towel leave day . very convenient Tube , wonderful museum , nearby . excellent time certainly good value money . Front house staff - polite efficient . lounge lovely lot period atmosphere- like step back bygone era . use local cafe feature one review ( next cleaner ) wonderful , build breakfast 2 come £ 7.50 include coffee -superb value ! ! ! ! ! ! ! ! ! ! ! definitely use hotel , ever return part Kensington - love ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Apr 3 2007 	 wonderful 	 stay Bailey 's recently night . say prefer modern hotel , Bailey be never really going hit . even , particularly impressed . room reasonable ( huge ) size , furnishing look tired . one chair room shabby grubby bit reluctant sit . bathroom large modern standard , even upper floor decent flow water ( slightly rusty ) showerhead . however , problem sink drain . turn either tap leave , sink would overflow . report reception morning leave promise take look . come back evening , nothing change . fit overall impression place - bit tired , bit need attention . please not read mean Bailey 's terrible hotel . certainly not . be good , hotel market London crowd fall compare place use . 
 Mar 25 2007 	 another Enjoyable stay 	 ' ve choose Bailey 's last 2 trip love location hotel . trip , even though book thru Londontown get excellent rate , pleased welcome Guest Relations rep . , Diane , tell since repeat customer stay 9 night upgrade we Club room full breakfast . we pleasantly surprise room , least 400 sq.ft . nicely furnish . always spotlessly clean comfortable . duvet far superior home replace mine ! always find staff pleasant efficient . never pass member staff greet smile welcome . the breakfast extensive good . dish frequently replace keep fresh . even continental breakfst adequate . guest also give discount bar restaurant associate hotel . tube bus connection , nearby shop service make ideal place new visitor London old hand . 
 Mar 21 2007 	 1 Night enjoyable 	 stay hotel overnight business trip February . great area , Tube station right next door make sure London reachable ( need Circle & amp ; Picadilly line get around good bit town ) . staff excellent , provide new room internet not work well . room exquisite big . plenty restaurant bar neighbourhood ' ve get plenty choice . 
 Mar 17 2007 	 Great Place 	 ' ve stay Millenium Bailey number occasion great price . spotlessly clean time . room ' ve stay varied extremely spacious average sized . decor lovely bed comfortable . well locate right opposite Gloucester Road tube station . last time stay though , problem shower temperature - lack temperature . hotel bar lovely - fairly expensive though - want drink late , tend get busy may find can not get seat . local area ok - least 3 4 decent restaurant - try organic restaurant road - nice food . pub across road little run , great cheap ( ish ) drink . average price hotel £ 90 - £ 115 night - whole lot bad money London ! 
 Mar 15 2007 	 3rd Great Stay 	 third stay Baileys , time 8 night . always book club room , small increase price make difference regard space room ( sofa , armchair large coffee table ) bathroom ( large window ) . small plumbing problem room , hotel staff respond immediately helpful . read negative review say experience & quot ; treat wish treat & quot ; & quot ; get pay & quot ; . thank bailey another great visit , see summer ! 
