disappointment 	 high expectation hotel give reputation , really wow architecture upon enter . thing go mostly downhill . staff lack warmth willingness assist would expect four season . obvious moment check , get worse notify front desk hot water . say would flip switch get hot water run , happen . call , finally send repairman ( rather simply send we room hot water ) . still get fix . call one time getting blow , shiver rest visit ( snow outside ) . small issue , one would expect hotel : dirty dish stack abandon tray next us restaurant ; 45 - minute wait room service bring granola coffee , explanation offer . room big NY standard course location great , St. Regis Ritz - Carlton far superior term appointment room service area . 
 Sep 5 2005 	 Excellent Stay Excellent Property ! ! ! ! 	 love Four Seasons ! ! ! ! ! ! return stay Four Seasons love every minute stay . stay Deluxe Room room spacious comfortable - everything could want home away home ! ! ! king size bed , separate change area , seat area w/ desk couch , marble bath w/ stall shower separate bath . flat screen tv ( w/ swivel ) bed area , well small flat screen bath . aside wonderful accomodation , staff friendly attentive request . room service treat , especially love breakfast - food always deliver time state serve perfect serve temperature . we absolutely love every minute stay can not wait go back ! ! ! 
 Jul 25 2005 	 good 	 many people point Four Seasons , ny good hotel country can not really argue . ' ve stay countless number time never find another hotel half good . everything well everyone . room magnificent , fairly simple . luxorious , like Ritz - Carleton every room look like living room Bel - Air mansion . bathroom every single room to - die - for . never want leave shower bathtub full like 60 second . the bed amazing even order pillow bed home . the staff unbelievably courteous help anything . not know else say . ' ve never meet anyone like hotel . 's close perfect . 
 Jul 12 2005 	 World Class charge . 	 really enjoy stay spend previous night nearby , call , trendy hotel . beautiful lobby Four Seasons huge flower arrangement make want sit take in . luxurious room 27th floor view Central Park . loved bathroom dress area could use second sink . bedroom nice little austere . wonderfully comfortable king bed . weekend rate around $ 575 well weekday $ 700 something . not think would bother stay week rate . breakfast excellent main dinning room lunch lobby lounge way average . ask Concierge Executive pass Empire State Building . ( get skip line ) 
 Jul 5 2005 	 Best Hotel USA ... 	 honestly , do not even know begin talk Four Seasons New York . fine , luxurious , beautiful hotel ever stay . moment walk tower hotel , lobby almost take breath away . know , Four Seasons Hotels pride pamper client . hotel bring whole new level . be not single person not address name include chamber maid . due hotel less busy weekend give luxurious upgrade suite high floor . room amazing , plasma screen tv 's , dvd player , electronic switch control window shade . really say enough great thing hotel , travel world stay many fine hotel , nothing come close four Seasons New York . 
 Jun 28 2005 	 Presidential Suite 	 husband get back weekend getaway trip new york city . stay luxurious presidential suite 5101 . always always stay four season come new york great location . right heart action ... high end shopping , great restaraunt central park . however , trip decide treat stay newly design presidentail suite . second walk room amazed . view suite believe . every little detail room amazing . would highly recommend suite guest look try something new four season even want expirience new york high degree . 
 Jun 18 2005 	 Fabulous Hotel 	 fantastic hotel . great location Central Park Fifth Avenue . service standard excellent room wonderful . large double room overlook front hotel . beautifully clean great attention detail . bathroom wonderful . claim bath fill 60 second true Bulgari product favourite . gym spa low ground floor good . bar main ground floor great experience , although cost gin tonic expensive . great three day stay definitely back . 
 Feb 20 2005 	 not bother 	 return lunch Lobby Bar Four Seasons . disappoint stark decor small size public room . service poor considering suppose five star hotel . lunch three people , without alcohol , $ 200 . princely sum receive average service . 10 year old son not provide place set ask . forget husband 's beverage dessert small annoying . also almost 10 minute difference get dessert son husband serve 's . table next us full figured woman . hear order club sandwich lousy waitress tell could make low calorie version . woman ask . feel embarrassed . live New York life eat almost every 5 star restaurant town . four Seasons Hotel substandard . 
 Jan 13 2005 	 great room 	 stay New Year period hotel , first room look two huge air conditiong shaft next building ( close could touch window open ! ! ! ) move great room view Central Park beyond . room great size bathroom great soak tub . good service maid invisible room get make do expertly ( unlike Mandarin oriental - bad service ) . room service good expensive $ 100 breakfast . come sure get roomwe want . 
 Jan 12 2005 	 another 5 star hotel - 2005 Review 	 connoisseur 5 star hotel worldwide , marketing specialist , know quality . opinion , attention detail make hotel memorable forgettable .. several disappointment hotel , least feel number , another guest . I stay 2 week Xmas & amp ; New Year 's Eve Dec 2004 - Jan 3 , 2005 . staff greet lovely , everything mediocre . appreciate lot thing deal , job need exceptional person .. firstly , room ( apparently recently renovate ) clean tidy ' modern ' , warmth , ( although bathroom spacious lovely ) bland color ; like neutral tone , combine minimalist design , comfortable . movie block regularly , call 3 time switch could watch movie . ask dvd player attend , not work . turn not multi - zone dvd player , not one use . ( expect guest Americans ? ... ) send bunch flower doughnut front desk & amp ; concierge thank assistance , gesture gain respect ; give , get - . call next day see even receive ( ' thank ' ) , tell & quot ; oh yes , arrive . ok ? & quot ; Lovely ... order room service many time , one dish arrive have order . every dish mistake , even though specifically ask certain thing ( eg skim milk , vinegar instead oil etc ) ask pasta bosciaola , & quot ; chef & quot ; idea ! explain common italian dish , like Cabonara mushroom instead egg , send bowl plain pasta jug cream mushroom soup ... 5 star ? think not . twice attepted order room service , put call hold answer another call , leave hold till hung ! call back , course . far know , professional reception involve place second caller hold & amp ; come back first .. concierge also constantly put call hold extended amount time , obviously under - staff . the concierge nice rather powerless ; several time request assistance unable help . also need car send stuck city cab 2 hour night . say would wait hour cold car , would 2 hour minimum . $ 170 $ 8 cab ride ! call 24 - hour limos ( 212 - 712 - 9000 ) , great company good rate town , get car 10 minute . similarly , NYE need transport Rainbow Room , concierge tell would 6 hour minimum @ $ 190 hour ! please ! ! order car 24 hr limos , arrange , $ 77 way ... avoid ask concierge assistance . mediocre , take full advantage . the ' do disturb ' sign continually ignore , buzz 3 - 4 time day , never mind jet - lag sleeping ... awake privacy sign , bother 14 time day , cleaning , mini - bar check , simple ' do tray table collect ? ' - would one , have call collect ! over - do service wrong way . chamber maid friendly polite , though . there comments/ gifts/ mention Xmas day , expect least note door wish merry Xmas , perhaps chocolate something ! special little touch make difference . fact entire stay anyone contact ask stay , whether happy/ need anything etc . expect little 5 star hotel : - ) location hotel ok , however set back bit midtown , great Barney 's & amp ; Bloomingdales etc , find Plaza nice location park open space , block . personal preference . the four season ny lobby small tasteful , restaurant bar , small nice . however never stay hotel , good enough consider second home travel . stay Four Seasons hotel , favourite George V Paris , superb totally unrivalled , New York branch sorely disappointing - try Four Seasons Pierre next time , see well : - ) 
 Jan 11 2005 	 luxurious Wonderful Stay 	 spend 3 night Four Seasons New York Jan 05 amazing experience . moment step lobby , know go great stay . book Bed Breakfast package . upon arrival , upgrade moderate Superior room . either enjoy breakfast room restaurant . room big NY . bathroom beautiful tub fill 60 second . Loved Bulgari bath product . stay FS property Hualalai Santa Barbara never disappoint . look luxurious hotel , place . great location like shop Madison 5th Ave . museum also close . 
 Jan 9 2005 	 hoping 	 husband stay hotel first week December 2004 reserve suite . arrive room seem mostly hallway ( 1500 dollar night hallway ) . get room evening light we chore try find light room turn . seem search 10 minute dark try get we could see room . room neutral tone exciting . bedroom , bathroom , front room ( small ) lot hallway . impressed lobby either , small exciting . order room service one night , get bowl soup , small individual pizza tea coke hundred dollar . appreciate hotel pricey new going ridiculous . go get massage sure ask price normal regular 1 hour massage $ 200 , be not even great ! love conciere hotel nicest helpful gentleman hook we show ticket great sushi restaraunt noho . restaraunt 5757 wonderful although check front desk tell reservation next hour need get bag upstairs asap , tell wear wear ( rude ) wear pair nice jean , boot long nice black coat . call restaraunt cancel ( need suit press , do not time ) ask tell upset say would guest treat we wonderfully ( nice ) . hotel may perfect we hotel , nothing special , worth money . 
 Dec 14 2004 	 Flawless 	 flawless experience . space intimate glamorous . exceptionally courteous staff 's hard find new york day . 
 Nov 8 2004 	 Superb Luxury 
 Oct 13 2004 	 great location shopping Hotel need little work 
 Oct 12 2004 	 like exquisite Marble Palace 
 Aug 22 2004 	 Four season NY Hotel Pampered Traveler 
 Aug 7 2004 	 sophisticated luxury 
 Jul 13 2004 	 Perfect ! 
 Jun 4 2004 	 Best Service 
 Mar 21 2004 	 will back 
 Mar 16 2004 	 definitely good hotel New York 
 Oct 3 2003 	 Four season : ` ` highly recommend ! '' 
 Nov 19 2009 	 Muy bueno 
 Jun 9 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Sep 13 2008 	 ? ? ? ? ? ? ? ? ? ? 
 Jul 13 2008 	 für eine Enttäuschung .... 
 Jul 30 2007 	 Todo lo grande 
 Jan 17 2007 	 Ausgezeichnetes Hotel 
