good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Dec 1 2008 	 love 	 ok , second review . first stay Buffalo Bills Primm . first trip las Vegas want see . would recommend way ' ve never give opportunity see adjacent hotel not feel like be go far hotel . ok , review . arrive 3 hour early intention gambling bit check . get desk check early problem . counter staff nice helpful . make sure check get coupon book hotel great value . think use almost every coupon 3 day stay , everything buffet coupon , bowl coupon . get room amazed size cleanliness room . non smoking room , surprise not smell smoke like rest seem . everything need room , nice tv , nice shower , really nice bed . view great able look build right beside , nothing else go look window right ? pool hot tub beautiful . unfortunately close 5 pm want go swim make sure be early . always clean towel , even feel safe leave stuff chair go swim . casino quite large offer nice variety game . service really fast casino well . drink still cold get . gamble good well , win lose , ' m say million , enough keep casino good time . the food choice good , eat buffet probably good week Vegas far selection quality go . also eat deli , coupon check . upon look menu , seem price be really , portion huge . also bowl lot fun . coupon check 2 we bowl 3 game 13 dollar include shoe rental . casino nice stay week , price right ' m already book return next year . stay week instead bounce around . 
 Dec 1 2008 	 ideal location gambling 	 apart provide everything need earn loose money true Las Vegas style , hotel provide time affordable excellent restaurant , pleasant outdoor swimming pool , fast , friendly efficient service . stay wife two night October 2008 , we real bargain . choose hotel wish visit strip city , also Hoover Dam , Lake Mead , Valley Fire sight vicinity city . 
 Nov 29 2008 	 Luxury every wallet 	 previous stay Vegas stay resort strip time want try strip resort . it good visit Vegas ever . get hold 49 $ rate per night hotel website . after day gambling siteseee nice crash spacious en luxurious hotelroom . make sure get room 1 high floor though . at first put we room 6th floor end face wall parkinggarage . within 10 minute book new room complain view room . checkin rapid breakfast buffet good consider price charge ( 6,99 $ ) .Look want enjoyable stay offstrip resort . 
 Nov 25 2008 	 South Point - Great Value Off - Strip Hotel 	 husband stay South Point August 08 one week . know book South Point 15 minute drive south Strip think would fine take shuttle provide hotel . unfortunately , not bargain temperature 113 degree shade find hire air - condition car far suitable we ! able visit hotel , casino mall Strip parking free self - park garage available Strip hotel . the South Point great hotel easy navigate , despite size . room clean , spacious well equip . especially like complimentary Bath & amp ; body work toiletry , try purchase UK ! plenty eatery hotel , deli great value food really good . host amenity hotel - pool , cinema , bowling alley not use wanted base explore Vegas . , great time South Point would definitely use return Las Vegas . 
 Nov 24 2008 	 love place 	 read ton review hotel decide give try . somewhat apprehensive stay far strip see straight shoot las Vegas Blvd decide give shot . check problem , clerk nice efficient , room key hand less five minute . room surprise everything discuss forum , large view not come Vegas look window . whole experience room food casino top notch well worth small amount pay room , would recommend stay anyone not mind short drive catch hotel bus strip . think may enjoy stay much ! 
 Nov 24 2008 	 Good issue 	 stay South Point Hotel September 2008 . visit nice comfortable issue hotel , mainly customer service . hotel : hotel family friendly nice looking , ' expect extravagant look Vegas hotel . new absolutely okay - look , décor plain . reason choose child ’ entertainment . movie theatre , bowling arcade . arcade lot fun kid , never get bowl – wait Saturday night 90 minute . casino , pool gift shop good . room : room clean comfortable , surprise , spacious . good kid ' feel crowded . agree another reviewer – towel small / thin , sheet especially soft luxurious . however , furniture décor plain simple . ' care travel friend interested company fancy look . restaurant : first night eat Coronado Café . disaster . 11 entree , one edible . we ' touch food , cold tasteless . dish ' arrive together , service extremely slow sloppy , waiter hardly understand English . even forgot item order , ' big loss anyway . price cheap , good ' eat food ? ' waste time . morning eat Garden Buffet . much well experience night . breakfast , ' completely okay , expensive . selection rich food good+ . different section ( mexican , italian , american , Asian , etc . ) , everybody find something eat - absolutely recommend breakfast . service well café . night eat primarily Prime Rib . nice . problem ' accommodate large group ( 24 people ) , sit two separate table , worth . although experience well food fine dining restaurant , one absolutely great food price . portion big wine good , selection average , food good++ , extraordinary unique . however , one disappointed . service wonderful extra quick , waiter super nice . husband ask jalapeno , ' , run restaurant next door get . ' want leave hotel spend big buck hotel , Prime Rib totally acceptable nice dinner . customer service : hotel need improvement . size party , make multiple phone call / reservation . every representative give we different information everything , unprofessional phone . make error give someone group key someone else ' room . outrageous . luckily , people know , ' never hear error like – stranger get key room ! guest originally room try get , key deactivate lock . take front desk long time figure error fix , barely apologize mistake . go high management . really train staff well . summarize , hotel nice recommend , especially travel kid , keep expectation low side avoid Coronado Café . hotel 's low rate - 's worth . 
 Nov 20 2008 	 would love return South Point 	 stay South Point Oct 5 9 , 2008 . could believe large room price pay . watch internet special rate even book . long book online hotel 's site , will honor special offer post time frame . buffet wonderful breakfast dinner , especially coupon free bottle wine ( full size ) . book facial spa another friend spend hour enjoy pool shower do . staff spa particular extremely helpful whenever ask something extra . group 20 dinner Vito 's restaurant . not happy seat arrangement hostess totally redo section restaurant could sit together . food first rate . use shuttle go airport departure - leave time smooth ride airport . drawback might distance strip - would say 15 minute car - ' ve stay strip not feel need close time . go two night strip , private bus group 20 , another night cab . overall , could not please . 
 Nov 19 2008 	 go dog 	 title refer fact huge convention folk herd dog take place equestrian center , South Point Hotel Casino Resort . show interesting show big screen tv room , even well visit person . really enjoy spacious room , easy parking ( use valet parking trip ) able quickly check , use express checkout wireless . room quiet , staff responsive , find quick freeway . huge top scale outlet mall nearby , able shuttle strip area want drive . network folk University Wyoming football team , also appear enjoy stay South Point , despite lose game . would definitely come back property . find great room rate ( $ 52.50 plus tax ) shop around would advise . food good , thing find miss doorperson front . two Oregon Travelers 
 Nov 17 2008 	 Pleasent stay lay back Great Staff 	 stay 3 night end February , begin November . follow observation comment . arrival : Shuttle LAS appoint time 1:30pm . flt arrive early wait bit , nothing major . ( comment shuttle ( ) end review . ) check - in : fast , courteous extremely friendly . give hotel map , coupon book , personable woman . give we feel really glad choose South Point . ( unfortunately name slip mind ) room : clean , spacious , nice view pool . bed linen comfy . bathroom great , sink , mirror etc separate toiler bath / shower . room spotless every day . impressed , track housekeeper , thank , give little extra spending money . casino : usual slot / game / table big casino , great walk far anything . enjoy , especially since take & quot ; & quot ; money home we ... woohoo . ( cocktail waitress frequent ) Buffets / restaurant : problem choice something eat . find something buffet like , simply try another item . deli make killler Pastrami sandwich , big enough two . also , 75 cent hotdog Sunday football nice treat , cold beer . complaint food department . Bowling Alley / theatre : look , use . think would nice something like kid young , could cut loose . alot kid , good time . Pool Area : lay outside couple hour , weather nice . pool area nicely lay , big whirlpool jetted spa really relax . a couple comments:1 . alot mention review Shuttle service . reserve & quot ; Airport & quot ; shuttle 24 hour advance pick - up . problem . return airport . shuttle drop / pick - up main entrance hotel . the & quot ; Mandalay Bay & quot ; shuttle run approximately hour South Point . shuttle leave north side casino . depend traffic , real problem . ( note : accord Mandalay Bay shuttle driver , service end December 14th . ) feel hotel keep , nice selling point able hop aboard catch tram Excalibur . taxi , go to cost $ 45 return.2 . Smokey Casino . much casino Mandalay Bay . attribute casino pack Saturday Sunday night . maybe system keep , non - smoker notice.3.Internet free . cost approx $ 12 24 hour , look around couple hotel seem norm . would nice selling point , not charge give hour free day , something like that . overall good time . agree staff hotel one accomodate friendly deal sometime . another trip pipe ... later Ladner 
 Nov 12 2008 	 Pleasant stay annoyance 	 stay South Point two child , age 8 11 . whole pleased experience . Valet parking quick prompt drop pick . check fast . room large comfortable four we . bathroom large separate room toilet shower / tub . nice plus travel family . the pool area large well lay . buffet restaurant fine enough . spectacular , still okay . we enjoy bowl never family beforehand though quite pricey . enjoy casino experience well . the sides:1 ) surprise extra guest first two room , age 5 , charge additional & quot ; adult & quot ; guest . never experience low cut age stay Westins , Ritz Carltons , Fairmonts etc . 2 ) child charge full adult fare buffet . much 8 11 year old eat ? 3 ) extra fee use gym . understand hotel want everyone table rather gym still.4 ) internet charge . recall around $ 12 / day . know often norm still annoying . I would stay would prefer management nickel dime family . could surmise management interested family stay . 
 Nov 4 2008 	 totally satisfied customer 	 spend one week South Point October 27 november 3rd . great . room big spacious , bathroom . in - room safe useful since come Canada lot money passport put away . check take 5 minute , staff friendly helpful need something . eat Silverado Steakhouse , buffet , Vito 's , Coronado Cafe Del Mar deli . food good everywhere . pool area nice bingo room fun , even game little bit boring . shuttle airport good thing , shuttle bring we strip . never wait 10 minute shuttle . poker room tiny 's really fun relax play . give coupon book check , use , will save money ! ! recommend hotel everyone , be great quiet place stay will not hesitate come back ! ! 
 Nov 4 2008 	 Overall Fine ` ` Value Strip - Style '' Las Vegas Resort / Hotel / Casino / Spa 	 stay Hotel / Resort / Casino 4 night part business trip along number colleague . overall stay fine , impression get South Point attempt & quot ; value & quot ; resort like one strip , much low room rate , slightly low amenetie . specific notice . positive : • reasonable rate LV Strip style mega - casino / hotel . room average $ 100 / night 4 nights.• like Strip hotel , many entertainment dining option on - site , course full casino . three , however , slightly limited compare on - the - Strip mega - hotel . bowling lane full movie theater , live entertainment theater equestrian / rodeo / dirt bike venue building . negative : • South Point aim compete Strip mega - hotel , décor style little bland ( could refresh Vegas ) . theme , everything clean modern enough , lack character , Vegas famous for.• South Point Las Vegas Strip , actually seem . free shuttle provide South Point Strip Airport , convenient encourage people stay fine hotel otherwise . shuttle Strip actually run Mandalay Bay resort , southernmost point Strip , transportation need arrange point Strip . shuttle run frequently ( every 25 minute , think ) , last one back hotel 1 am – particularly late Las Vegas . would suggest run multiple shuttle time , stop 3 location Strip , keep run 3 am – least Friday Saturday . free airport shuttle require reservation beforehand , also run infrequently . ( also note shuttle leave " Shuttle Stand " , find Strip Shuttle , almost miss airport shuttle , leave front hotel . ) • see prominent concierge desk hotel LV hotel . perhaps miss , front desk provide similar service , consider busy front desk , dedicated concierge necessity Las Vegas , many people need assistance reservation , activity , transportation ( especially far action ) .• exorbitant rate internet access . believe roughly $ 12 per day . travel business need access email , sign regardless . company pay , feel like robbed . go Business Center see could use printer print boarding pass , find pay minimum 1 hour computer time , plus amount page print . unfortunately , think common many hotel on / near LV Strip – hotel stay Strip last year . • sure watch tv common pastime Vegas , find puzzle South Point tv offer even basic cable channel , let alone HBO , Showtime , etc . people ’ care tv , guess , premiere hotel , least try match Red Roof Inn ' selection . 
 Nov 3 2008 	 hide gem 	 stay southpoint 10 - 14 thru 10 - 21 2008 4th stay southpoint always wonderful experience always maid service excellent check 4:00 pm breeze desk staff helpful book 4 night special deal 107.00 2 night 4 drink 2 free buffet 3 night comp would not playt much check talk slot host pleasure deal , also eat vito 's everything excellent breakfast buffet good money rent car never use shuttle hotel provide strip hear lot people brag also slot machine bad seem little tight last time usually play 1.00 slot lot replace penny one nickle one thatwa complaint want CLEAN FRIENDLY place stay vegas try 
 Oct 28 2008 	 great property ! awesome staff . 	 one night stay , look forward go back weekend . place bit way , need right ... room clean quiet , flat screen tv plenty room . 
 Oct 28 2008 	 wonderful option 	 stay Caesar 's conference 3 day , take national park . need night end trip fly home , book South Point base review phenomenal rate ( around $ 60 Monday night ) . room beautiful , bathroom extraordinary . everything clean comfortable . restaurant hotel good value pleasant . nice heart strip - nothing interest we , not gamble feel overpriced . go Vegas , South Point great . 
 Oct 28 2008 	 Great Place 	 return car auction Las Vegas . hold different site stay South Point . shuttle would drop we auction site attract South Point first place . not sure make right decision book trip soooo glad give place try . beautiful room , wonderful food , loose slot . people bend backwards make sure everything could ask . back ! ! ! 
 Oct 23 2008 	 Liked South Point 	 conference past week . really like South Point Hotel overall . shuttle service great , render car rental unnecessary unless plan sightseeing Strip . thing keep give hotel excellent rating would restaurant . husband not go -- Garden Buffet , Coronado Cafe , Del Mar Deli Baja Miguel 's . Garden Buffet pretty good . Coronado so - so . Del Mar pretty tasty -- really good cheesesteak sandwich , Baja Miguel yuck . chicken husband 's dinner obviously process give square edge 90 - degree angle . not eat meal , waiter smile say & quot ; okay & quot ; say not care food . lousy customer service . & quot ; get something else ? & quot ; credit offer . 
 Oct 22 2008 	 OMG Excellent ! ! ! 	 1st trip Las Vegas Hotel describe one word ... excellent ! ! ! JB PR 
 Oct 21 2008 	 pleased return 	 review basically right South Point . stay 4 night large conference enjoy stay . first time stay off - strip hesitate stay South Point . everything price well $ 1 roulette minimum drink going set back $ 8- $ 10 pop . coupon book hand upon check - in save least $ 25 course stay . when conference relate activity , enjoy bowling alley , sport book gaming . not time lie pool , look , would get nice relaxation time . at check - in , ask room high floor give room 24th floor ( new wing ) face strip . room large standard , spacious bathroom match . never seem wait 10 second elevator . overall , think food good ( buffet food serve conference ) , special night something strip still good bet . as drawback , quite bit strip everyone state hear complaint shuttle . rent car problem get around . parking free almost everywhere Strip worry park there . and smoke , not seem filtration system casino level good . overall , minor irritant . 
 Oct 20 2008 	 Loved South Point 	 get back weekend spend freind South Point Resort love . first time stay . check quick easy staff friendly . ask high room good view give beautiful room amazing view new wing 20th floor face strip . room spotless well appoint . bathroom large everything decorate nicely . like hallway well lit security officer night checking room key get elevator . the casino seem little smoky normal think seem huge number smoker compare casino visit . rarely could sit machine without someone next lighting . not problem casino . guess visit weekend lot smoker ( not smoke , sensitive ) .The casino huge number fun penny slot . like penny slot bet 1 cent $ 2.10 depend whim . actually money trip huge variety machine play . casino fun vibe everyone seem relaxed good time . table game always pretty full fun slot not partake . play bingo really nice bingo hall good time . not visit pool , bowling alley , theatre , can not comment . we eat Baja Miguels , not like food , husband . eat buffet coffee shop . food service good . husband hung casino bar girlfriend gamble great time bartender say friendly personable . say one bartender even take time teach patron play video poker machine . staff encounter friendly helpful except one cashier gift shop extremely surly , one bad apple everyone else great . I would highly recommend hotel anyone visit Las Vegas . hectic hotels strip want go 10 minute drive . room nice spacious , staff friendly , casino great . love . 
 Oct 20 2008 	 good ! 	 third time stay hotel think one good . far strip problem always rental car . like other , always cigarette smell pass casino floor way room ask non - smoking room . new wing complete lucky get brand new room without ask . 
 Oct 17 2008 	 Excellent Value Money 	 wife originally intend stay one night Southpoint stopover head Death Valley National Park . change plan decide spend one day Vegas recuperate long road trip . hotel great 3D2N & quot ; South Point Favourite Package & quot ; come free cocktail buffet . upon request , receptionist immediately change original booking , question ask . 's service sense welcome ! unlike hotel Strip , Southpoint much well lay , whole place seem spacious . much like decor , yellow / orangey lighting make place bright cheerful compare & quot ; ever nightime & quot ; feel get Strip hotel . room superbly maintain . would not thought have get room money would pay . as casino , game pretty much standard , though find variety quite limited , albeit asian perspective . would prefer dice game . the multi - storey car park well within reach main building lift lobby room , plenty parking space . unless soak Strip atmosphere , southpoint oasis hustle bustle activity . good place relax pool , enjoy round table , take option hit Strip night , easy 10min drive northward along Las Vegas Boulevard . get go past & quot ; Fabulous Las Vegas & quot ; sign . = ) southpoint indeed extremely good bargain value money Las Vegas . highly recommend ! multi - national staff Southpoint , keep good work ! 
 Oct 15 2008 	 Excellent Customer Relations 	 wife want fairly close airport car rental facility morning flight home book South Point one night . unfortunately , make mistake booking room on - line agency call National Reservation Bureau Inc. pay full advance . upon check - in hotel , politely tell company go business pay hotel stay . even though mishap hotel ' fault , give unbelievably low rate stay think first - class . reviewer note , room spacious well - appoint . plan stay commend hotel management excellent customer relation . 
 Oct 15 2008 	 stay 	 look hotel good review , good price clean date room well full service hotel . find wtih Southpoint . clean , modern room great comfortable bed . breakfast buffet hotel great dinner . full service casino well . location problem vehicle hit highway strip matter minute . only thing would like fridge room . everything else great . huge bathroom / full length mirror / small sitting area large room . great stay ! 
 Oct 14 2008 	 Great Stay 	 stay indian Rodeo weekend , fantasic . hotel buzz long line anywhere . the room beautiful , large , bathroom likewise . we eat buffet , cafe & amp ; deli excellent cheap use coupon book get check in . the atmosphere brilliant . the price weekend bargain $ 170 two night , great value . we $ 25 free play new member , $ 103 free play , cash pay balance room , that s call value ! ! 
 Oct 13 2008 	 Great Price ! 	 find hotel lot offer ( bowling alley , movie theater , gift shop , etc . ) . room really big , comfortable bed , plasma tv really nice bathroom . safe really large . husband love sport book , play football game sunday . love Del Mar Deli , amazing bagel sandwich really cheap price . coupon book give we upon check - in , 2 1 buffet ticket , free dessert , free drink , etc . draw back location . be close anything , car drive strip everyday , 10 min away . price amazing type hotel would definately stay ! 
 Oct 12 2008 	 definitely stay ... 	 visit Las Vegas many time , stay good hotel Strip , decide give South Point try trip . honest bit sceptical rate seem good true , need not worry slight ! ! hotel , staff , customer service , food pool excellent . room larger well equip , much expensive , ' ve stay whole experience second none . even panoramic view Strip room well ' ve ever have . we can not fault anything entire two week stay , South Point definitely ' our ' hotel future . 
 Oct 11 2008 	 Great Hotel 	 Jewel ! ! ! hotel friendly staff , wonderful room , fun casino great food even great price . shuttle service airport Mandelay Bay problem Dec. replace Mass Transit . first time leave Vegas wish stay least one night . great property see stay anywhere else come Vegas hope return Feb. birthday . celebrate anniv . wonderful place good time ! ! ! ! ! ! ! ! ! ! 
 Oct 9 2008 	 pleasant stay South Point ! 	 pleasant stay relatively new South Point Hotel last month . room excellent spacious , nicely decorate , great bed , huge tv screen wall good A / C , loud . nice full bath granite detail . room well - isolate , not case several hotel stay trip ... housekeeping friendly assist promptly . got coupon check , example , could use free drink bar 2 breakfast buffet price 1 , i.e . US $ 7.50 total 2 people ! breakfast buffet excellent , service too . at night , use free shuttle Mandalay Bay , not even take 10 minute . stroll Strip couple hour , shuttle take we back peaceful South Point Hotel good night great bed ! great quality - price ratio , highly recommend ! 
 Oct 5 2008 	 enjoyable stay 	 back week South Point turn advertised - very enjoyable . ' ve ever stay Orleans , know expect , similar , use part group . would score high Orleans straightforward layout , , particular , much less smoky casino . would perhaps score low buffet , could describe average . sample food place find good quality reasonable price . free shuttle airport also Mandalay Bay , Strip . not really advertise Strip shuttle find casino entrance parking garage pick point , run every 30 minute ten minute ride . temperature mid ninety really enjoy relax pool every day . nothing fancy pleasant , clean well maintain . room great . comfortable king size bed , nice bathroom , quiet efficient air conditioning perfectly clean room staff every day . 42 & quot ; tv wall good watch Baseball Playoffs ( shame not HD though ) . downer room ( 5th floor ) & quot ; view & quot ; wall another building , perhaps mention book , want see something / anything window . casino well lay good selection game . stick slot video poker end spend half budget . 's worth join Players Club get back $ 120 end week . review mention poor service , honestly say problem staff . seem friendly efficient . general place appear well run . first half week mostly middle aged elderly visitor family child . later week native american rodeo event equestrian centre . Brit find interesting many wear Cowboy hat ( like old movie ) also speak language . far could see , everyone whatever background get well together , good time nice relaxed atmosphere casino . true South Point mile south main Strip , want middle action , probably place . look good quality reasonable price thoroughly recommend hotel / casino . 
 Oct 5 2008 	 full point South Point 	 would prefer peace quiet , South Point excellent stay first 2 night Vegas , believe travel 12 hour peace quiet need . we find staff accommodate , friendly pleasant . room nice , would recommend South Point anyone want stylish , clean , comfortable accommodation . 
 Oct 5 2008 	 South Point special place stay 	 love hotel ! south Strip easy get hotel property much traffic . room really nice , plasma tv screen . easy find everything -- hotel go large get overwhelmed . eat deli sandwich soup good . special . Seattle 's Best Coffee great . exit freeway nearby make easy get around . feel price right definitely would stay . complaint hotel . oh , get early still allow check early nice . oh , upon check - in get coupon book give saving restaurant hotel . 
 Oct 4 2008 	 Great Value Money 	 get back 3 night South Point Hotel . find great rate $ 57 / night Expedia . even though property around & quot ; big hotel & quot ; Strip , room service offer equal well Strip . parking plentiful easy get hotel parking lot . check quick & amp ; efficient -- - arrangement order . room 9th floor great view , otherwise great . roomy , clean , large flat screen , clean comfortable bed ; free in- room safe ; separate vanity area bath / toilet ; room service . definitely use coupon book provide check . really save buck ! make sure sign Slot Club card , & quot ; Club & quot ; . rack point quickly cash $ $ $ . 's good variety sit restaurant plus quick service deli outrageous sandwich dessert . ice cream parlor Seattle 's Best Coffee great pick . 's bit smoky side , be sensitive smoke , may concern . otherwise great property would definitely recommend stay next time & quot ; Vegas . not negative thing say shuttle service Mandalay Bay . long wait 15 - 20 minute . be worth since take cab , would cost approx . $ 20 + tip ( one way ) . 
 Oct 4 2008 	 Great Place Strip 	 come back 4 night enjoyable stay South Point . Airport shuttle pick quarter hour ( think ) Bus Bay # 17 low Level . check reasonably quick front desk staff courteous . room spacious comfortable . big 42 & quot ; plasma tv bonus need watch television holiday . large pool back . great swimming , great quiet time seem want continuously play loud music day . large bowling alley ( something like 64 lane ) , great kid . multiplex theater , great kid . casino ... REALLY SMOKEY ! ! ! ... great kid adult . Buffet ... reasonably price ... good food . ( want truly great buffet experience , try Spice Market Buffet Planet Hollywood . get $ 5 coupon register casino player 's club card ) .Shuttle Mandalay Bay great . run frequently 1:00 a.m. shuttle , escalator , hotel , escalator Tram Excalibur . 2 tram . inside one stop Luxor head Excalibur , outside one go direct . outside tram , short walk New York , New York , MGM Grand , block away Planet Hollywood , Paris , Ballys , Bellagio Caesars . for adventure , hop deuce ( double decker bus ) strip , take Fremont area . will not disappoint ( make sure hang around evening Fremont street experience ) . deuce bus ride $ 2 one way $ 5 day pass . 's great A / c ride will give bit tour strip . go upstairs bus ... well view ... less people . 
 Oct 4 2008 	 disappoint 	 book reservation hotel website give special good rate buffet ( 2 ) , cocktail ( 4 ) , access fitness room . upon arrival , front desk personnel rude not tell we anything buffet / cocktail / fitness . not know reservation change different rate checkout . show receipt amount charge , supervisor front desk keep say not rate refuse . finally agree not honor buffet / cocktail / fitness . seem personnel not know rate give website rate change without notification ? ? ? ? question , clinch internet . reservation take website - go hotel reservation ( be got change ) deposit . ? ? ? ? ? answer give . Personnel RUDE . never plan stay . stay location front desk personnel always RUDE . 
 Oct 3 2008 	 great location can not beat price 	 get good rate theu expedia . expect nice room since hotel relatively new disappointed . room spacious clean . pool cold even though temperature hot , luckily kiddie pool heat daughter still short enough enjoy shallow water kiddie pool . breakfast buffet great . standard breakfast fare , quality not . use 2 1 coupon price wise reasonable . pay full price would even disappoint . eat cafe one late night midnight 6 am special great . hash brown , toast , egg bacon $ 2.95 . hubby steak egg $ 5.95 . service not good not mind since rush . order root beer float lot ice cream , much root beer . eat deli one night , food deli good . large portion reasonable price . casino big , enjoy play bingo . use loyal plaza bingo fan play south point . look forward return . 
 Oct 1 2008 	 good stay away hustle 	 come back 3 night stay group 10 people . choose hotel value go rent couple car group issue 5 mile south Strip . end good choice 1 group complaint . nice get back hotel 1 2 morning find quieter place sit get drink . big hotels strip pack time also drink price double . room 5th floor view brick wall . , well appoint roomy . try buffet cafe breakfast , go cafe one dinner also prime rib restaurant one night . three place great food great price . Deli also hit lunch late night snack . the location hotel little far action , unless plan rent car , cabbe back town , much else area outher outlet mall . car cheap rent airport parking plentifull free every casino big deal drive strip park walk casino move next block whenever pleased walk more . the pool area large enough crowded . movie theatre large selection movie like large city bowling lane busy always something available . check equestrian portion comment . disappointing amenity think gym cost $ 20 need excercise walk day long . tip everyone .... check give coupon book .... use . 2 1 breakfast buffet , weekend use one day double price $ 14 . many discount coupon use within hotel property plan eat drinking come handy . the whole group we go see & quot ; & quot ; cirque de soleil awsome . girl ticket Cher one night cancel guy go one night Criss Angel Beleive horrible dozen people walk show stay away one . all great place stay Vegas long not heart action time . 
 Sep 30 2008 	 Loved South Point 	 great place stay strip . nice room , quiet atmosphere . shuttle airport strip save we rent car . 
 Sep 30 2008 	 Nice Far Strip like 	 first time Las Vegas stay & quot ; Strip & quot ; say would much prefer stay & quot ; Strip & quot ; . South Point hotel / casino much nicer expect room pleasant surprise . request King Smoking Queen smoking check . since room not really care decided not like room would check later see King Smoking open . room fine not change . smoking room not stale , old cigarette smell . air conditioner awesome get room really nice & quot ; cold & quot ; . flat screen tv huge nice touch coffee / tea machine bathroom . Vegas hotel not offer long . good thing room in - room safe charge ! lock valuable , dvd player money time leave room able complete peace mind . absolutely good feature room . the casino comfortable estatic see $ 1 minimum roulette ! ! casino feel completely comfortable safe . complaint roulette dealer not personable - would hurt smile crack joke ? ? needless say leave tip dealer pleasant experience part experience attitude dealer . seem like 's chore table 's chore leave little something something . oh , 's bead hang table , assume give player make feel welcome , give ? actually someone must work casino day come play roulette table jokingly give pit boss hard time hand beads- then- give bead . Granted seem like stupid petty complaint add fun & amp ; atmosphere casino . not eat resturant can not comment . Seattle Coffee Company wonderful morning people work always happy smile face . real treat try face morning- kudo Seattle Coffee Company barista ! pool area small pleasant . astroturf hotter concrete not fool think walk fake grass without sandle ! imagine crowded summer 800 hotel room add go add crowd pool . overall say hotel & amp ; casino pleasant without rental car ( ) would real pain wait take shuttle Strip real expense take taxis . would definately stay option finance tight ' m & quot ; Strip & quot ; kinda girl would much rather close glitz light ! would still recommend South Point , can not go wrong get nice low rate like . 
 Sep 29 2008 	 not let price sway ... 	 hotel everything picture show . nice . 's nice thing say whole South Point experience . staff incredibly rude unwilling take responsibility service provide . shuttle run hour , find sit pick drop point 30 minute . be expect catch last shuttle back strip midnight , beware ! must make sure be stand correct location Mandalay Bay , staff Mandalay not familiar Share Point shuttle pick location . seat room shuttle , be willing shove way crowd , may spend time wait nothing . kick apology option whatsoever . end take cab nearly every night due awful experience shuttle . say , hotel take responsibility issue shuttle . shuttle service contract Bel Trans , even though South Point 's name bus , could care less rude service . be plan take shuttle airport , back plan . , shuttle run hour accord hotel , need make reservation shuttle airport . something hotel make we aware upon check . security hotel extremely rude , inconsistent . allow 2 room key , even though 3 we stay . well , security choose job 's convenient request see room key enter elevator area . be without room key , make show proof be stay . happen maybe 2 time entire stay prepared inconsistency . vend machine sodas sodas , prepared spend upwards $ 4.00 per soda . food mediocre , well bet go someplace else . the hotel fill cigerette smoke , be sensitive , stay somewhere . overall , good experience ... oh yea , urine toilet upon arrival . 
 Sep 25 2008 	 great room … beware extra ! 	 spend 2 night South Point September 2008 . let ' start good stuff . rate $ 75 , quite bit low major hotel Strip ( day ) . room spacious modern . AC work well quiet . bathroom separate section toilet shower room full size couch next king - sized bed . another great thing find mega - hotels Strip park car right front main entrance . ( also parking garage never go . ) respect location , South Point advertise 7 minute Strip … . need fact 10 minute get welcome Fabulous Las Vegas sign begin Strip must budget another 10 - 15 minute minimum get car park one major mega - complex Strip . one way shorten bit take truck road right welcome Fabulous Las Vegas sign . avoid traffic light Strip . south Point offer shuttle Mandalay Bay resort , , first complex Strip lot walk intend visit complex north . the disappointing point follow . nice Sunday afternoon 108 degree outside , pool close " special event " … .we glad travel kid … also , beware extra . WI - FI $ 12.00 per day gym ( seem quite nice ) whoppy $ 15 per day ( base another experience , uncommon Las Vegas … ) finally , booklet room set coupon . booklet include 2 1 coupon breakfast buffet , pretty good ( definitely good buffet major hotel strip ) . nevertheless , breakfast 2 total $ 6.95 + tx difficult complain . 
 Sep 25 2008 	 nice place relax strip 	 second time Vegas first stay strip . room large clean comfortablepool clean quitefood buffet alright , restaurant try good . the shuttle strip convenient usually timewould stay look relaxif look party another casino would better 
