5 	 travel 13 hour trip abroad decide stay London night . look online hotel near Angel station one nice one could see price range . arrive hotel 10:15 intention dropping case well check time . mention staff 13 hour flight find room let check could get rest freshen . felt go bit extra make day . room lovely , spacious clean . everything need comfortable reasonable price . 
 Nov 15 2006 	 good value great location 	 stay Jury ' Islington 1 night October whilst London attend conference . hotel booking last minute & amp ; pleasantly surprised get money pay hotel London ! room clean & amp ; spacious amenity would expect . also lovely view bedroom front hotel & amp ; could spot lot London tourist attraction ! breakfast , include price pay , buffet style & amp ; basic sufficient . good thing hotel though location – trendy Islington & amp ; within walk distance tube & amp ; lot bar & amp ; restaurant . would hesitate stay . 
 Oct 24 2006 	 frill Whatsoever . 	 find easily direction car park good . room bare , cheap curtain , small bed , bathroom basic . first room reject due uncleaned toilet ( use imagination ! ) tell come back reception change room give room next door ( could not come give we keycard new room beyond ) .On sunday morning , housekeeping knock door 3 time 10.30am . checkout 12 noon . hotel ? can not housekeeping wait reception tell guest check ? ok night suppose . £ 69 cheap london suppose . Wish have pay bit something bit well though . 
 Oct 19 2006 	 Central Location 	 stay one night part football package trip . spotlessly clean , huge reception area , large bedroom tv , tea / coffee , etc . standard nice . staff friendly although English not good couple get end ! bar downstairs favourite - love stone decor nice pint ! good breakfast - could pile much want plate include price . perfect heavy night ! hotel 5min walk Angel tube Northern Line - link line go central London 15 min . Upper Street around corner full shop , restaurant , bar street market . perfect spot tourist overnighter alike . 
 Oct 8 2006 	 good value London 	 stay 4 night October . like Jury 's Inns 's low frill bedroom large well keep expensive hotel use London . staff helpful efficient . Broadband access extra £ 10 24 hour connection really fast easy set . nice touch irish guest Irish Independent Belfast Telegraph available . complaint breakfast - pallid toast make batch turn luke - warm soggy quickly . coffee seem instant - unforgivable 2006 . 
 Oct 3 2006 	 great accidental discovery ! 	 stay first time June 2006 business trip , hotel normally use full . not look back . a great location , close Angel tube station , bus route outside front door . Islington pretty trendy part town , lot nice restaurant bar . the hotel nice welcoming foyer , staff attentive . food restaurant great , food bar good , well price . bar homely open late . room quite basic , clean , bathroom great . hotel choice London , combine great location good food drink , lovely staff , good value money . 
 Sep 21 2006 	 great hotel 	 stay one night business week . handy , minute walk Angel tube station , one stop king cross ten minute walk . room absolutely fine . everything hotel clean staff helpful welcoming . breakfast fine good value . there lot little restaurant , shop pub close . altogether pleasant , interesting relax experience . great value price . 
 Sep 5 2006 	 okay short stay 	 partner stay 2 night Sep 1st - Sep 3rd attend wed London . overall decor hotel okay , room communal area clean . we stay double room , small hotel room ever stay . 2 night , not much problem . bathroom clean room come tv , air conditioning , hairdryer kettle . extra pillow / blanket require they . we continental breakfast Saturday morning , unimpressive . consist bread roll , fruit , yoghurt , various cereal , cheese croissant . eat croissant , partner enjoy breakfast . eat next morning ! plenty cafe 's restaurant serve reasonably price full english vegetarian breakfast nearby . we find staff pleasant helpful , nothing much trouble . Islington wonderful area , plenty shop , restaraunt , bar etc . would probably stay hotel , reason would room small . be bother , go ahead ! 
 Aug 27 2006 	 comfortable hotel friendly helpful staff 	 family four stay hotel total two night week long european vacation . pleased . front desk staff incredibly helpful , answer question , let we borrow front desk phone call Virgin Airlines lobby phone order arrange & quot ; extras & quot ; within reasonable time . husband need special adapter laptop - & quot ; worry & quot ; . need taxi reserve us - & quot ; worry & quot ; . need sofa bed pull , set make - & quot ; worry & quot ; . tell would crib room , not , show within 5 minute crib , set we , put sheet bring we everything else request ( extension cord , extra towel etc ) within minute . decide order food bar first night family four eat 20 pound . next night order dinner dessert restaurant good reasonably price well . even bartender friendly helpful . 5:30 wake call time , air conditioning easy use work great . room clean . wall little thin , stressed bit daughter cry night , not bother much guest stay room near we . elevator large enough we luggage , hard come Europe . walk Anglel tube station not far luggage quite pain , opted pay extra taxi next time need get Paddington Station . overall , please Jury 's Inn would recommend family . 
 Aug 14 2006 	 good location good hotel 	 book hotel look information see worth money . come website , positive review good feeling go hotel . we travel Eurostar , book journey hotel come € 300 4 night ( 2 person ) . arrive early , simple get hotel , be close angel tube station . think 's 3/4 minute walk slow tempo . we wait till 2 ' clock check , offered keep lugage storage room give we 2 smartsave street map ( retail price £ 2,95 ) free indicate could walk shop surround area . also , map get code save 20 % restaurant attraction . ( recommend Bella Italia ) small street behind hotel market , little shopping centre lot lot restaurant . great location stay . even game arcade across tube station . clean big room airconditione , friendly people . also ice - machine every floor , not know last evening . too bad 's not little refrigerator room . also , reservation , not all - in . breakfast , price £ 9,50 per person full english breakfast not heart spend much breakfast . want cheap good breakfast , go street behind hotel mention early get breakfast . 
 Aug 2 2006 	 great experience 	 former trip London , stay hotel 10 pace Victoria Station , little disappointed saw location Jurys Islington . another reviewer state , hotel short walk Angel tube station find convenient . also , short walk front door lead great variey resturants shop turn great location ! arrive little early ( 11:00 a.m. ) tell hour 's wait room . however , 10 minute later , front desk rep take time find we lobby give we good news room ready . room , find suitcase lock key attach handle check baggage . call front desk within 10 minute , friendly member maintenance team door get lock . great customer service ! room good size double single bed . linen clean bed comfortable . bathroom little lacking space toiletry sink , tub / shower large roomy . tour obviously purchase full breakfast , lady work buffet literally bark take spoonful bean , ask coupon . feel like fool , spoon bean back bin . end prepackage cheese , butter , roll , cereal , milk , watered juice . wholly adequate get day start . as every european hotel ' ve stay , television limit . grant spend much time room , not expect come room day find familiar programming . kind strange day satellite , etc . exception inebriate guest wandered hall underwear finally end sleep hall outside door ( front desk staff great job corralling guy get back room ) , really good stay . would definately recomme family , friend , business associate . 
 Jul 4 2006 	 would stay 	 daughter stay last 3 night Trafalgar tour . hotel clean , food good , staff courteous helpful , room big , clean , comfortable ( compare really small room hotel Italy ) . hotel near Angel entrance Tube walk small shop restaurant . next trip London , would definitely stay Jurys Islington . 
 Jun 21 2006 	 clean 	 boyfriend & amp ; stay hotel one night go party nearby . book £ 39 room ( ) well - know last minute website . budget price reservation , go sleep party , figure could tolerate hovel hour . actual fact pleasantly surprised- although room would describe luxurious , new comfortable . decor fairly plain inoffensive , room really immaculately clean . definitely grade typical ' travel - motel ' smart & amp ; comfortable lobby relax little checking . bathroom tiny bath , excellent shower , room air condition & amp ; tv , hairdryer usual thing would expect . single bed & amp ; double bed , ( hard mattresses- find comfy ) could incredibly cheap three sharing . hotel set back fairly busy road , would not problem request room back hotel , shut window air - con summer . pay lot money stay similar hotel chain outside london , prove nowhere near clean pleasant . deal not include breakfast go great turkish cafe round back hotel leave chapel market full breakfast drink around £ 5 . 
 Jun 13 2006 	 service leave lot desire 	 book Jurys Inn Friday evening room fine - nothing special clean adequate . window look yard back hotel quite quiet . Saturday morning 7 am hear voice sound quite loud - turn guest give key room hallway , scurry apologise break english rang reception could not find booking system apologise . result mix room not service day . rang reception towel hour later still sign track housekeeping . also cancel japanese guest key cancel seperate time time come key not work would cancel provide we one new key . go breakfast inform one person staying room , reception confirm . get take book confirmation list we short apology receive . whole hotel nice love location , lovely shop bar around Islington , service bad would not stay . 
 May 26 2006 	 amongst good deal London 	 London last week 3 night . due last minute nature trip highly limited hotel availability across central London week , stay different hotel night . Jurys Inn Islington well three , 69 gbp , less half price pay hotel first night ( pretty decent hotel begin ) . hotel immaculate , room average term space ( european hotel ) , clean , seem fresh . room color little loud , be hardly giant complaint . decent restaurant onsite , friendly bar . dozen pub restaurant within 2 block radius . 4 minute walk Angel Tube . 
 Apr 27 2006 	 nice place 	 stay bank holiday couple week ago . booked room directly website get excellent last minute price £ 39 ( total ) - please this . hotel close Angel tube stop ( minute walk ) bus stop literally 30 second hotel - great ' ve night not fancy try flag black cab prepared get & quot ; illegal & quot ; cab either . hotel reception decor nice modern looking - expect somehing & quot ; shabby & quot ; pay . room pleasant also , fairly decent size 3 we . large double sized bed large sofa bed could easily sleep 2 . shower / bath nice size , must powerful shower ever experience ! nice . the side check , ' m sure many other experience thing . book room hour arrive , book show reason . quickly remedie 5 minute . overall , would definitely stay . sure check website day intend stay get , good price . 
 Mar 16 2006 	 excellent every way 	 stay March year impressed price £ 39 triple ! ! late website quality staff room . staff could helpful try . well do 
 Mar 13 2006 	 somewhere crash 	 four we stay saturday night November travel friend 's 30th birthday party . hotel really well positioned , walk distance ( although hill ! ) king Cross , really reasonable ( think pay abut £ 35 head one nght , room ) . Jury 's Inn functional clean hotel , perfect somewhere recover hangover will not break back . would recommend place be budget , many London hotel disappoint one say tin . 
 Mar 4 2006 	 good value money helpful staff 	 Thanksgiving vacation yound daughter travel London visit family . choose Jury 's Inn base favorable review disapointe . o.k , luxury hotel american standard , room small without lavish amenity . however , profesionalism attititude staff make . front desk saff extremely helpful allow we check morning night flight States . huge perk daughter exhaust . the location honestly little challenging . little shop within easy walk distance , least ' r find any . this not problem though public transportation frequent take right central London . know London well , stay slightly way hotel fine . first time visiter , might easier stay somewhere little central . 
 Nov 26 2005 	 Lovely Hotel Good Location 	 stay 2 night last weekend mother , sister brother . check fine . ask could adjoin room family do not seem problem . room fairly large , one room double bed & amp ; single bed room double bed fold sofa plenty room we . pay continental breakfast booking however hassle upgrade full english want . warn , continental breakfast 7.50 full english 9.50 however upgrade cost 2.50 . know 50p display anywhere , price breakfast . breakfast fantastic . anything could think available food delicious . location brilliant , Angel tube station literally 5 min walk . handy . room service hotel however rang second night order food bar ring back ready collect . food tatsy also . check quick , pay bill ( breakfast upgrade & amp ; food ) cash . upon check creditcard bill online week notice hotel still hold Euro113 card even though pay everything cash . contact hotel ask remove . take yesterday , 5 day leave hotel . stay hotel previously that s pick hotel . think next time though might try somewhere else . 
 Nov 19 2005 	 Great Hotel Great location 	 get great bargain hotel last minute £ 80 Friday Saturday night . clean spacious room spare bed good power shower room clean high standard stay . helpful staff large restaurant available great pub within hotel stay open late weekend . good thing location 5 min Angel Tube 10 min walk king cross great choice restaurant pub shop Islington . definately stay London . 
 Nov 8 2005 	 expensive hard mattress 	 far expensive , hard mattress ( think sleep bed base ) right bed fire sensor 2 red flashing light ( indicate flat battery ) . furnishing appear fairly new , carpet think probably responsible odd smell . however , window open sufficiently give room good airing . also , be another hotel wide gap bottom room door floor despite hook outside newspaper delivery . there ice machine floor , big plus , machine sell cold bottle mineral water . the staff helpful pleasant limited English . suggest take something cover flash light & amp ; block door gap . well locate tube , bus short taxi ride king Cross Station . 
 Sep 5 2005 	 excellent value 	 stay 2 night , great hotel , new modern nice room , good airconditioning . breakfast good . bar meal one night hotel pub nice good value . 5 min walk angel tube station 38 19 bus take picadilly circus , take 15/20 min . would stay highly recomend hotel . 
 Jun 7 2005 	 great value money 	 stay Jury 's Inn Chelsea early June 2005 . book web site get great deal . room clean nicely furnish . would rate 4 star . problem location . quite walk subway . breakfast downstairs little confusing . 9 quid continental breakfast 12 complete breakfast egg . bus nearby course can not use already ticket . thing consider even take cab subway back hotel visa versa still good value . 
 Jun 5 2005 	 comfortable cheap watch credit card 	 book internet , moment check - in trainee desk , room large comfortable husband , small child . problem come check credit card bill afterwards - find charge twice ! ( book we two room ) - get money back like pull tooth occur end ( apology ) .would stay would * * careful many people get touch card check credit card statement carefully afterwards . 
 Apr 4 2005 	 bad hotel experience ever 	 use hotel extensively bad experience ever . turn Saturday evening room prepay tell room overbooke . could , say , go substandard hotel nasty area . that leave , female , heavy luggage , Saturday night , leave alone find accommodation . I would storngly advise book customer service ethos feel responsibility customer . 
 Mar 21 2005 	 Islington Jury 's Inn 	 contrary previous post , think one good thing hotel neighborhood . close Angel tube stop , neighborhood 's shop scene go , well number restaurant , pub , even movie theater . 5 min walk get transport anywhere everywhere . room average , great shake , awful . hotel pub stay open til 1:30 , common . 
 Mar 18 2005 	 eh .... like glorify motel 	 check jury 's inn Islgington business purpose . lobby nice enough ( gourgeous , basic nice ) , room like glorify dorm room college - pretty color paint wall . drab small , basic ammenitie . bathroom nice part , drastically not match rest room - since rest room basic . like pension hotel . bed uncomfortable small , sheet feel like sandpaper . hotel loud , paper thin wall . hotel would pay money , let lone company 's . check one night . later find good part town . would recommend hotel anyone expect 2 star hotel . would compare 2 - 3 star hotel state - quite holiday inn , maybe like motel fancy bathroom . 
 Mar 16 2005 	 great business trip 	 stay recent business trip , staff attentive , attach pub nice touch well . pity ice machine landing 
 Mar 10 2005 	 great place 
 Mar 6 2005 	 fantastic ! ! ! ! 
 Nov 9 2004 	 comfortable Clean Friendly ( be reviewer ) 
 Oct 20 2004 	 great Stay 
 Sep 25 2004 	 pleasant 
 Aug 22 2004 	 comfortable clean pub close 1:30am 
 Jul 22 2004 	 Decent hotel good location 
 Apr 27 2004 	 love much ! ! ! ! ! 
 Mar 2 2004 	 great rate great hotel ! 
 Aug 23 2003 	 excellent central location 
 Nov 26 2009 	 fantastico 
 Oct 14 2009 	 Tres bon hotel ! 
 Sep 6 2009 	 Buena relación calidad - precio 
 Aug 25 2009 	 Es muy buen hotel 
 Aug 20 2009 	 Divertimento economia Londra e un grazie Mario dagli amici Siciliani ! ! ! 
 Aug 19 2009 	 un albergo pulito londra ? è possibile 
 Aug 15 2009 	 super quarti et proche de st pancras 
 Aug 14 2009 	 Valeur sûr 
 Apr 2 2009 	 Ottimo sotto tutti punti di vista 
 Jun 20 2008 	 muy recomendable . 
 Nov 16 2007 	 De lo mejor de la ciudad 
