great 	 Location ideal , right Old Town close great street restuarant , museum . hotel old well keep . suite small view brick wall , get bargain deal . would come , much character modern hotel near McGill . 
 Jun 22 2006 	 big room nice hotel good location explore old montreal 	 get back 2 night visit really nice stay . get king deluxe room huge . nicely decorate clean . large bedroom area tv , separate sitting room sofa another tv ( impressed large selection on - demand movie ) , room desk , fridge , microwave coffee maker . bathroom nice plenty toiletry ( replenish everyday ) . one hotel remember offer mouthwash . little thing nice thing . location great explore old montreal . bit far downtown bad . metro place d'armes 5 minute away good get downtown area . walk would bout 20 min . . lot restaurant nearby . pasta place call pizzedelic notre dame surprisingly good reasonable . nice hotel offer buffet breakfast morning . nice variety bread , muffin cereal fruit yogurt . also offer hot egg , meat side ( sausage / ham ) , potato tater . not impressed quality hot offering certainly plenty thing eat . amazing house cleaning service . leave room breakfast 20 min come back room completely clean . nice . not deal staff much quite friendly . though bit pricier want pay perhaps book cheap room king deluxe . small room would fine . would stay hotel know would relax pleasant stay . 
 Jun 4 2006 	 Great Little Gem 	 stay US Memorial Day weekend . husband love location , staff room . everything walk distance wonderful restaurant neighborhood . Paris & quot ; light & quot ; 
 May 31 2006 	 wee gem 	 recently return three night stay hotel happy fact much could not find fault anything , would definately recommend hotel suitable age group would hesitation stay 10 10 staff 
 May 23 2006 	 love 	 stay 3 nite would highly recommend . location great , room spacious clean . staff courteous always helpful . place stay Old Montreal ! will back Springhill Suites next trip Montreal ... gem ! 
 Apr 21 2006 	 good explore Old Montreal 	 location Spring Hill Suites Montreal certainly good asset want explore Old Montreal . husband stay upper floor suite balcony comfortable clean . & quot ; living room & quot ; space small , window , provide we couple comfortable location relax end long day walk . pool also small whirlpool size bathtub . first morning opt breakfast & quot ; package & quot ; quite unappealing . find great chinese restuarant west end Chinatown , Kam Fung . food abundant delicious ... would highly recommend . 
 Mar 23 2006 	 middle party 	 really enjoy stay hotel . right middle Old Montreal always something go . ' ve stay return Montreal look forward stay ! 
 Mar 20 2006 	 Great Hotel 	 tuck away narrow side - street charming Old Montreal Springhill Suites Montreal not look like much outside . however lobby lovely , room huge ( suite ) breakfast average . Suite ( one partially seperate room ) consist 2 queen sized bed , pullout sofabe suitable 2 child 1 adult small office area fridge , microwave sink . internet access free . breakfast include egg , meat , pasterie , yogurt , fruit , waffle , cereal etc ... 2 downside hotel . one pool hot tub small day pool water frigid hot tub lukewarm good ( however another guest say different day ) . hotel 6 story high suite first 2 3 level , striking view Montreal must - not hotel . charming hotel great location price . would definitely stay ! 
 Mar 19 2006 	 nice reliable 	 nice hotel . mention prior review , locate alley type street . several restaurant nearby , small market , etc . turn Service nice . small useful indoor pool hot - tub , adjacent work - out room . $ 18can valet parking . very nice hotel English French speak employee . Typical Marriott ( Residence Inn / Springhill Suites ) buffet breakfast serve nice room fireplace . nothing complain , family like Sprinhill Suites brand large room ability sleep five . I note Marriott recently raise quality category hotel Category 4 category 5 . can not specifically state believe unwarranted , would almost impossible think Springhill Suites brand , know value , Near Luxury Category 5 . might cheapen category 5 hotel , use think luxury category . like say , turn service want anything , would think category 5 might reach Springhill Suite . 
 Jan 13 2006 	 Location Location Location 	 stay hotel least 10 time past 5 year . always impressed staff ; polite , helpful , knowledgeable , eager please . always request early check - in usually arrive around 11 . wait time leave bag desk go tourist info office , purchase 3 day metro / bus pass ( give free map show bus route , metro station street ... need map ) , pick coupon book helpful info . return , room ready . great little retaurant call Keg end street meet Rue St Paul hotel . 's great place sit corner window overstuff chair people - watch . Martinis appetizer first - rate ever get . open 2 pm be open assure good seat Old Montreal . back hotel ... right heart Old Montreal 5 minute walk Metro . catch bus block away . Valet parking cost $ 18.00 day real bargain parking expensive Old Town . room terribly big certainly adequate . ask 2 double bed room bit big . buffet breakfast ( include ) get till dinner . room always spotlessly clean . qualify government discount 's real bargain we . not expect view . 's side street good view . favorite restaurant Old Montreal Vieux de Port , two block hotel . inclusive lunch deal Monday Friday can not beat . money , good hotel Montreal . 
 Dec 29 2005 	 nice ! 	 look nice quiet hotel , . tuck one side street Old Montreal , quaint . room generous size , seperate sit work area . food hotel restaurant excellent . would stay hotel next time . 
 Nov 26 2005 	 lovely 	 Fantastic - room spacious & amp ; pack everything mini kitchen ( microwave fridge & amp ; sink ) include travel 6 month old baby great benefit Breakfast include typical american buffet load choose & amp ; even take back room later ! ! ! major tour / day trip pick door right around corner notre dame etc quite far main city least 20 min walk railway station also many place eat night except restaurant ( v good baby ) definitely recommend hotel 
 Nov 8 2005 	 sooo nice ! ! ! 	 hotel fantastic . really nice location quiet street ( fact , not think ever stay quieter hotel ) . staff friendly room quaint clean . the breakfast pretty good ( although suspect cook egg microwave ... yuck ) , include waffle iron lot different pastry . love ! ! 
 Nov 1 2005 	 Great suit great price ! 	 stay Springhill Suites Old Montreal last weekend must say pleased . large suite 2 double bed , fold couch , fridge , microwave sit area . hotel quite posh price location ideal . breakfast buffet include include fruit , cereal , varitie bread bun , oatmeal , scramble boil egg , sausage , make waffle . service throughout stay lovely . would go back minute ! 
 Sep 30 2005 	 pleasantly surprised ! 	 friend stay week ago excellent rating receive TripAdvisor . still , little wary Springhill Suites since be use large , standard Marriott's . this location perfect - literally block Old Montreal walk distance cool part town . like gamble , Casino Montreal shuttle bus - free - stop two block hotel . but back room ... large , airy clean killer air conditioning unit ( perfect , unseasonably hot ! ) . little kitchen area never use , happy fridge . the room equip free high - speed internet , not schlep laptop , use computer business center - free ! one , however , sometimes wait . we also take advantage exercise room , small ( one bike , one treadmill , free weight all - in - one weight machine ) , also free . one day breakfast - include price - fantastic . could make waffle choose standard assortment cereal , bagel hard - boil egg . it be also worth check hotel bar , cozy combination ski lodge retro - chic furniture . we receive excellent service patient front desk clerk , always happy give we direction deal stupid american tourist question . tiny drawback parking -- exactly cheap $ 18 day . otherwise , would stay heartbeat . great value , great location . 
 Sep 11 2005 	 good choice ( help Trip Advisor ) 	 stay August 2005 select hotel excellent review certainly not disappoint . excellent breakfast , large room free internet connection . also , centrally situate old port handy lot bar restaurant . 
 Sep 2 2005 	 Loved hotel ! ! 	 return Springhill Suites LOVED hotel . originally book Clarion Suites downtown Montreal , disappointed arrive - stay one night switch Springhill . difference ! springhill staff courteous helpful , reception staff people park car . room ample husband two daughter . two double bed single pull couch livingroom area . room clean furniture nice . area extremely close everything . Metro couple short block , Old Port block shop restaurant short walking distance . hot breakfast every morning include great variety food . next time come Montreal stay Springhill Suites . great hotel lot amentitie . enjoy also . 
 Aug 24 2005 	 comfortable friendly Old Montreal hotel 	 stay Springhill August 19 - 21 . studio suite clean lack important amenite . breakfast provide room rate ample great selection expect . staff front desk breakfast room friendly , courteous helpful . enjoy Old Montreal , great location . hotel tend expensive & quot ; boutique & quot ; hotel like Gault , St. James Place D'Armes , charming renovation Old Montreal buildiing two three time price compare Springhill . the major drawback springhill distance attraction , dine etc . outside Old Montreal . almost exactly midway two Metro ( subway ) station mean be particularly close either Old Montreal bit remote many part Montreal interest visitor . former Montrealer , problem navigate around part city know distance expect visitor familiar city expect get everywhere walk might find drawback . in summary , look decent quality , clean friendly palce reasonable rate , Springhill well recommend . 
 Aug 5 2005 	 great location overall disappointed 	 main plus point Springhill Suites location - 's perfect summer month , although perhaps little far metro winter . plus point charming staff , free breakfast free internet . but disappointed room two teenager . , read Tripadavisor , request high room view . request acknowledge fulifille , instead allocate dreary first floor room - view , dark frankly bit depress wallpaper fall wall sink . value money would find hard positively recommend . 
 Jul 27 2005 	 Perfect location perfect hotel 	 return MontrealWe stay Marriot , Spring Hill , Old MontrealIt perfect locationoff side street 2 block water cafe / restaurant / store . there even McDonalds , 2 block away . we suite living room area balcony ! everything immaculate . breakfast include price hotelwhich $ 180 CanadianMontreal require lot walk perfect spot couple / adult . lot history learn . 
 Jul 19 2005 	 like hotel ... 	 really nice 4 day stay hotel , great location , central many many thing . room spacious clean , inclusive breakfast surprisingly substantial , quite good . complaint staff unfailingly polite attentive , 2 separate desk clerk give we terrible direction . one send we metro stop many mile destination ( several would convenient ) , another give incomplete inaccurate direction restaurant spend good 45 minute try locate , find closed Sundays . 
 Jul 17 2005 	 fantastic location quiet street heart Old Montreal 	 Springhill Suites Montreal could not well location . hotel easy find , signage end street . street quiet minute walk many restaurant Old Montreal - Chez Suzette Creperie corner incredible ! stock bottled water snack convenience store corner well . ton souvenir shop , gallery , course famous Notre Dame cathedral minute walk . breakfast decent - typical Springhill selection . stay 6 night , try area restaurant breakfast night - Eggspectation perfect spot breakfast . Metro 7 - 10 minute walk provide easy access point island Montreal . hotel clean staff generally pretty friendly . highly recommend ! 
 Jul 17 2005 	 great family 	 Springhill Suites great location excellent value money . ambiance ? much , family business traveler , much recommend . clean neat , little kitchenette , free , fabulous breakfast . 14 - yr . old – ' good 6 ' tall -- sleep reasonably well twin sleeper sofa . laundry facility small pool w / hot tub nice touch . annoyance never resolve – one two wall - unit air conditioner roar like jet engine , come immediately work , nothing change , use A / C high , work . staff friendly courteous . request light bulbs extra pillow handle quickly cheerfully . travel lot , one good hotel ' ve visit . would definitely stay . 
 Jul 13 2005 	 great ! 	 third stay Montreal , first Springhill Suites . forewarned might hard find , kid watching carefully find first approach problem whatsoever . street either side ( hotel connect restaurant two entrance ) narrow quaint . view office building guess expect city . important , might request another room view not priority . be type view , make sure request . nervous parking b / c last trip , nightmare . last time get hotel , virtual riot occur busy street b / c woman want wait we unload 15 minute zone . , leave could not find one car one would help we . pretty weird walk around underground parking garage 20 minute look car . anyway , little nervous parking thing pull Springhill Suites . attendant direct we quiet side street right garage . give we ticket say would need want car , problem . get us luggage cart way . not use car need couple thing leave locate immediately . checkout , front desk call car bring door immediately . relieve impressed . parking attendant courteous , happy friendly . front desk staff helpful friendly . treat teenager well ask question get one place another . mean lot b / c want thing . breakfast great , lot choose , egg , cereal , yogurt , bread , danish , waffle , coffee good . not use pool teen boy use gym small enough equipment good working order not complain . location terrific , two minute walk many restaurant small shop , ice cream , crepe , souvenir , pub , historic building , church , etc . small grocery corner beer , etc . ( takeout beer 11 pm ) also exchange ATM . Metro couple block away , bad . rely review prior Marriott experience glad . great stay . internet access free flawless , kid like I m friend able use internet figure thing , get , etc . every staff member encounter friendly , happy courteous . room huge , walk 's small kitchenette , desk chair , leave , right another chair fold couch . , room divider wall two double bed closet . two tvs clock radio . will try add photo get . one thing , much quieter hotel downtown term traffic , pedestrian etc . plenty action step away . 
 Jul 4 2005 	 Springhill Suites amazing 	 stay : Jun 30 - July 3the hotel really nice . service great , free breakfast amazing ( egg , sausage , tater , waffle , etc ) service excellent . complaint balcony . balcony face office building really not much view enjoy lounge night . I really think staff exceptional . cater every need extremely polite . even though location hard find ( two taxi driver lot problem look ) nice secluded area , away noise old montreal . overall give hotel 2 thumb . perfect couple , family group . 
 Jun 29 2005 	 Comfortable quiet 	 visit June 27 28 2005 . direction website clear . hotel street look like alley . cobblestone street . parking list valet , tell park , still charge valet rate . hotel refuse correct bill . pool extremely small , bathtub big hot tub . regardless staff extremely pleasant . suite small , pleasant . clean ! ! ! ! room 401 big balconey least 25 ft 10 ft . beautiful view river . ask room will not regret . hotel peaceful never hear door slam people talk . walk everywhere problem . not forget ask corner room balcony will love . 
 Jun 29 2005 	 good value 	 wife , 2 kid , spend 2 night hotel 6/21 - 6/23/05 . room clean comfortable-2 double bed plus additional fold - out couch . staff courteous , helpful , bilingual . hotel within walk distance Old Montreal Metro make easy get around . think good hotel reasonable price . Breakfast include , well , fun kid could make waffle self - serve waffle iron . would definitely stay . 
 Jun 27 2005 	 Nice Accommodations 	 spend 6 night Springhill Marriott 's Studio Suite second choice request smoking room . Deluxe Suite available smoker . pleasantly surprised suite . king bed , bureau tv top swivel could see either bed couch area . also desk comfortable chair . beside small couch easy chair . kitchenette small , sink , microwave oven couple paper plate & amp ; plastic utensil inside , & amp ; fridge . coffeemaker & amp ; supply coffee , tea , sugar . could also get creamer breakfast room Mezzanine . newspaper door week . room clean . ice available floor room . breakfast include price room much extensive free buffet get hotel . even box could take item back room . 3 different juice , 2 different coffee plus decaffeinated & amp ; hot chocolate . scramble egg , sausage patty , potato , hard boil egg , 2 waffle maker cook waffle couple minute . machine toast bagel , english muffin , & amp ; raisin bread . muffin ( fruit & amp ; type ) & amp ; also pastry . cereal , milk , banana , apple & amp ; orange . big saving family . Turn leave leave hotel & amp ; next block one main shopping & amp ; dining street Old Montreal ( Rue St. Paul E. ) & amp ; block two away Place Jacques Cartier 's many outdoor cafe 's , street vendor & amp ; street entertainment . waterfront within walking distance . turn right leave hotel & amp ; corner small restaurant ( Rue Notre Dame ) regular breakfast , O.J. , fry egg , bacon , ham sausage & amp ; home fry reasonable price . Notre Dame Cathedral nearby . take 3 hour tour city & amp ; go back place interest we . get Casino & amp ; Biodome & amp ; course , Downtown Montreal . enjoy appetizer 's & amp ; cocktail Chez Brandy 's part Le Keg Restaurant Rue St. Paul E. need checkout since bill slip door night . leave keys room leave . front desk helpful call Airport transportation . think hotel excellent value especially family . 
 Jun 14 2005 	 incredibly attentive staff 	 stay Springhill Suites Montreal 4 night June 9 - 13 Montreal Grand Prix . staff helpful friendly . come Montreal Grand Prix past 10 year . first time stay Springhill Suites . breakfast include rate . never see breakfast - many type coffee tea , numerous cereal , & quot ; make & quot ; waffle , egg - scramble hard boil , sausage , type bread , bagel sweet roll , fresh juice - extensive array ! room king size bed , kitchenette , & quot ; hide bed & quot ; quiet . metro stop three block away - handy go Grand Prix . the staff pleasant ever encounter . leave hotel race Sunday , hand snack water take - new welcome experience . attention detail extra caring make stay enjoyable . 
 Jun 8 2005 	 great place stay 	 get back 2 night stay follow cruise . room roomy clean . place perfectly locate Old Montreal . never montreal front desk staff helpful give information surround attraction . breakfast great ! receive early check - in request late checkout get problem . go airport tell front desk staff need taxi take credit card . get phone immediately call cab we . highly recommend property . 
 may 21 2005 	 Springhill Suites Old Montreal great location Cirque fan 	 return 4 night stay Springhill Suites Old Town Montreal . great place , great staff , great location many choice resturant around , shop , walk thru cobble stone street . go see new Cirque du Soleil show , cirque fan , place stay . 5 minute walk show . clean , spacious room . 
 Apr 21 2005 	 wonderful Stay Old - Montreal hotel 	 great time SpringHill Suites . staff helpful hotel clean efficiant . price hotel exceptional Old Montreal amenity great . pool unexpected bonus morning breakfast great start day . hotel perfect explore city quick ride downtown heart Old City . 
 Mar 16 2005 	 Perfect Place stay Montreal Summer 	 stay Spring Hill Suites Old Montreal , last summer , Grand Prix Week - end , nothing perfect . go Grand Prix site early morning , day always start breakfast serve mezzanine , go , fresh fruit salad , montreal bagel , waffle , cereal , egg .... really give day good jump start . , race arrive late afternoon would walk Place Jacques - Cartier everyone enjoy , clown artist gather . choice go back hotel big smile face ... especially Schumacher race ! ! ! , throw sofa realize room perfectly clean feel like king . swim , exercise , mean 's need go anywhere else , really perfect place stay Montreal summer . plus , many many restaurant step away , amazing , try l'Épicier , food perfect . staff Spring Hill Suites friendly make feel like home . not even ticket year Grand Prix , room already book ! ! ! 
 Jan 31 2005 	 great hotel 	 return 2 night stay , wonderful time . good point hotel : 1 ) great staff .... accomodate 2 ) room clean spacious 2 us 3 ) alot free breakfast figure .... egg , sausage , oatmeal , muffin , pastry , cereal ..... etc 4 ) right heart Old Montreal , beautiful . top - notch restaurant 1/2 block away St Paul . bad thing experience not really anything hotel . 1 ) not close Metro hope ... 5 - 6 block walk . walk would beautiful summer time , 0 f wind blow . 2 ) like big city ... original price hotel not bad , start add parking taxis realy add . montreal cheap city hotel . 3 ) first time Montreal , trouble find place . tuck away street would not think could hotel . Old Montreal be not big , find couple minute . , stay hotel hope , would recommend anyone . 
 Dec 7 2004 	 Great Service nice hotel 	 stay seven night Nov / Dec 2004 . staff really make difference hotel , friendly , welcome also knowledgeable . go Quebec city 3 night train decide stay Montreal much see . front desk suggest day tour bus good help book . room large warm ! must winter . kitchen helpful bonus could make tea morning . room keep spotlessly clean . breakfast adequate always seem coffee hot water mezzanine level . find hotel impressive really complement great team staff especially front desk . 
 Nov 30 2004 	 well Run Marriott Property ! 	 stay Springhill Suites Old Montreal November 2004 . checkin , night auditor friendly accomodating , room within minute . brisk checkin appreciate , 7 hour car ride due traffic weather ! room spacious comfortable , well quiet . king size room Kitchenette sink , microwave minifridge . pullout couch coffee table , recliner , TV . bathroom large well , everything clean new . comfortable king size bed . include breakfast nice , atmosphere mezzanine level always busy guest , still relax quiet . great way start day ! use spa restaraunt , order room service . front desk staff always friendly accomodate throughout stay . one instance supply excellent customer service ask front desk switch lightbulbs room 45 watt bulb , 100 watt bulb much bright taste . make request desk , engineer switch bulb 45 minute later ! opportunity stay Full Service Chateau Champlain Marriott , property make astounding impression . great room , great rate , free internet breakfast , impeccable front desk staff . property also atypical Springhill suite , restaraunt , room service , spa connect hotel . get service full service hotel without add surcharge room rate , really great deal . Mor like full service hotel moderately price quality business hotel . checkout , desk staff split folio friend effortlessly , correctly charge credit card . also , parking attendant patient lose parking stub - twice ! great hotel ! 
 Aug 23 2004 	 stay location - surely hotel 	 stay 2 night August . overall , location great would reason would choose stay . aside location , room nice enough - microwave fridge include . however , noise garbage truck outside room wake family 6 am morning . sheet old , hole . front counter staff nice enough make we feel welcome - intrusion already busy day . argue $ 2 difference room rate , end , gave not worth it . we move 2nd night Hilton Bonaventure - difference ... alas , be different story . 
 Jul 17 2004 	 Fantastic 	 make reservation honeymoon base review . disappoint . room spacious clean , staff way average , free breakfast excellent . location ideal , short walk almost anywhere . request late check - out answer & quot ; problem . & quot ; go back . 
 Jul 14 2004 	 good location price staff room 
 Jul 7 2004 	 WONDERFUL 
 Jun 23 2004 	 can not wait give praise ! 
 Jun 16 2004 	 SpringHill Suites 
 Apr 16 2004 	 great hotel 
 Apr 11 2004 	 well choice full - service Marriott 
 Aug 9 2003 	 Excellent 
 Aug 7 2003 	 well keep secret Montreal ! 
 Jun 8 2003 	 Peaceful Perfection 
 Jan 28 2003 	 well hide secret ! ! 
 Jul 18 2009 	 Très bon hôtel mais qui manque un peu de lumière 
 Nov 23 2007 	 Cocooning au coeur du Vieux - Montréal 
 Jun 22 2007 	 Merveilleux ! 
