nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Mar 15 2008 	 Great Hotel 	 return New York . book online reading review several hotel trip advisor . pleased choice . staff pleasant especially Ian & amp ; Frank reception Gerard bar . orange cocktail must . read review since arrive home wonder stay hotel complaint . one person say like fact queue lift . never queue lift . think lobby 7th floor great idea . find room comfortable spacious . like decor . fantastic view Times Square . think design lobby & amp ; bar create nice feeling space comfort . Stayed New York , Upper West Side , two year ago next time definitely return Novotel . would highly recommend . 
 Mar 11 2008 	 big room ; good price ; A / C ; cold water 	 find good location ( attend two Broadway musical & amp ; go Metropolitan Opera ) . handy subway . large room compare other ' ve Times Square / Midtown area . first room 80 degree arrive ( outside temp mid-50s ) , not get cool hour thermostat set 68 . contact front desk & amp ; wait 1/2 hour someone arrive remedy situation , ask another room , give . marginally well -- 74 degree ( never cool ) .The second room also issue lack cold water . come sink & amp ; bath faucet scald hot , make impossible shower . correct next morning , occur late afternoon second day . room clean & amp ; quiet . attractive lobby . could great find mention issue . 
 Mar 11 2008 	 Nice hotel - everything need 	 stay week Feb . impressed room - good furnishing , comfy bed , clean room / bathroom . view fantastic room window ( top floor ) . staff friendly helpful . good location near subway stop . I would definitely stay / go back ny . 
 Mar 3 2008 	 Outstanding ! 	 husband spend three night Novotel impress . staff reception welcoming room within 2 -3 minute arrive . room 24th floor ( room 2408 ) . surprisingly spacious although decor little tired , clean good order . bed comfortable large , ice cake definately view Times Square Broadway . novotel excellent location , lot attraction within walk distance - empire State , Macy 's , Grand Central , Times Square etc . concierge hotel extremely helpful , although french humour not really & quot ; travel & quot ; ! assist we book minibus back Newark airport also tell we could find particular brand shoe hubby not want traipse around shoe shop ! round extremely good would definately recommend people budget not necessarily want compromise room size , quality location . 
 Feb 27 2008 	 street ! : ) 	 first long distance holiday away home , little apprehensive nervous hotel could welcome ! staff warm friendly partner settle immediately . hotel ideal location , right time square ! beautiful breathtaking view ... wow ! room ample space , lovely shower tv major plus . annoyance hotel street entrance . lift , take reception , little slow time , ' fault . definitely think go back next year . 
 Feb 25 2008 	 highly recommend 	 native NY'er move away year ago , always reticent stay hotel come & quot ; home & quot ; visit . however , holiday gift family include Broadway play . never Novotel live Manhattan pleasantly surprise . the staff friendly accommodating . room nicely sized ( have stay Paramount time last year room nearly large ) . view extraordinary . sound bad Manhattan ( either adjacent room street - partially 25th floor . ) outstanding characteristic , would say , however , overall cleanliness room , common area , even business center . check in / check easy . nice weather ( snow ) , would suggest avail outdoor patio lobby level overlook Times Square . negative : time upgrade bed linen bedspread wool blanket old . lot bleach mark stain carpet outside room . General - could probably use slight update , really offensive . room temperature really adjustable via thermostat permanently register 76 degree F ( matter whether change heat air setting . ) open window ( do 2 & quot ; top ) provide relief , enough sheer drape close night . 
 Feb 25 2008 	 hot 	 condition room 18th floor bad shape . linen old well mattress . Shower head spray water , rather drizzle water . would say hotel experience equal stay medium low end Best western . hotel staff make wait 10 minute checkin & quot ; care ? & quot ; attitude . check not well . use electronic checkout room ask copy receipt front desk clerk , roll eye make big sigh complete task print receipt . ' ve stay several Manhattan hotel far bad . Times Square Marriott Marquis favorite . 
 Feb 24 2008 	 Novotel fit right fabulous trip ny ! 	 boyfriend stay Novotel January 3rd 3 day . fabulous experience can not recommend hotel enough . see review hotel , wary NY hotel general , see picture small , drab room . room Novotel much big cleaner expect massive bed - could easily fit another person bed ! ! hotel situate brilliantly , right 52nd Broadway overlook Times Square . eat restaurant buffalo chicken wing die ! ! thing get tiresome lift - swap travel floor lobby get another set lift room not let small thing put . definitely look go NY stay Novotel . 
 Feb 24 2008 	 EXCELLENT HOTEL ! 	 return morning NY stay Novotel brilliant . room 27th floor amazing view Times Square . hotel centrally locate restaurant , shop , attraction pleasure stay . room clean daily constantly spotless clean towel also provide day . check long wait airport delay London quick - plus ! staff helpful . would definitely recommend definitely return ! Loved Hotel love NY 
 Feb 23 2008 	 Great Hotel 	 Via local travel agent book trip New York City father , not NYC 45 year . despite fact hotel offer we would made trip quite lot cheap , decide book Novotel New York mainly review Trip Advisor , location ( Broadway 52nd ) fact Novotel , belong Accor chain , would certainly comfortable clean hotel due reputation whole Accor group need uphold . not disappointed . room 1501 provide we two large comfortable queen bed , convenient bathroom view Broadway . room clean , staff , front desk concierge security people , friendly helpful , find stay Novotel extremely pleasant . if be look grandeur ultimate luxury city trip NYC , not come Novotel . however , be look wonderful place come home sleep exhaust day New York , hotel shortlist . excellent value money great location . 
 Feb 21 2008 	 second time back hotel love 	 travel Mid February , take Brother 16th birthday 1st time 4th time . stay Hotel 18 month ago . hotel clean right Times sqaure great shopping . reception 7th floor good safety child can not run onto street . room big clean . lovely italian Restarant times Square call Olive Garden Planet Hollywood lovely well . like designer shopping go Woodbury Common go Port Authority get bus hour bus New Jersey . 220 shop good shopping village see . anyway well go , do not forget book trip Novotel Time Sqaure visit New York . come back soon . 
 Feb 20 2008 	 Excellent Location 	 spend month review numerous website - finally decide Novotel - great choice ! ! location hotel fantastic - 28th floor , view right times square - brilliant ! hotel clean , comfortable definately good value money - really fussy person come hotels cleanliness etc , perfectly fine ! deco could update money pay , can not expect Ritz ! ! check ease , check ease - staff extremely helpful , well concierge bar staff seem fine well ( not use often ! ) .We organise limo return journey airport - concierge organise - excellent - would definately recommend ! , great hotel definately return later year - hopefully room view ! ! would definately recommend hotel . 
 Feb 19 2008 	 Great Hotel 	 great hotel anyone travel New York . first time New York great location , base Times Square broadway show walk distance . room excellent , good view time sqaure room bathroom really spacious & amp ; clean . would go back . 
 Feb 18 2008 	 would definitely return 	 return 4 night Novotel would definitely recommend . location excellent Times Square fifth avenue minute away along numerous Broadway show . subway stop 50th street exceptionally handy get Macys 34th . room hotel small bit old fashion spotlessly clean comfortable , noise stage outside stay great view Times Square . staff friendly helpful stage . Breakfast Cosmic Diner end street leave second none . would stay withouot hesitation 
 Feb 16 2008 	 hotel great location great Value 	 stay Novotel four night start Feb 2008 , read lot mixed report hotel intreste see actually book . on arrival go street level lift reception , meet helpful staff book we quickly . we twin double 2210 look onto broadway , room great , clean , tidy standard hotel room uk ( price range ) .The hotel probably decorate mid late 90 's . bath sealant maybe slightly discoloured nothing think would want leave unpack bag . if want top class hotel book Marriot etc . novotel good hotel right price . the room clean everyday , window open slightly bit fresh air . the hotel do not kettle go restaraunt give hot water nice flask take room make coffee . the taxi JFK hotel $ 49 set price include toll . the hotel conceirge get we we 4x4 black window , leather seat , limo type car go JFK cost we $ 55 , extra $ 6 completely worth it . the location hotel great , right middle thing , Times square visibly south central park 5 minute walk north . 5th Avenue 5 min walk away . Rockerfellor centre around 5 minute away ( top rock must ) .The Taxis expensive , cost around $ 13 form wall street area times Sq . if use tourist hop hop bus , get two day pass $ 50 eachwhch give 3 route , must haggle sales men street ( Broadway red coat ) get free extra day , sign top ticket you . the beer cost around $ 5.00 per pint place . if go mace go customer service 1st floor 11 % discount card overseas visitor ( ID require ) . 
 Feb 14 2008 	 Great Hotel Great Location 	 stay hotel Dec 07 / Jan 08 . arrive pure chaos street level doorman handle chaos brilliantly . find checking take time see holiday find understandable . staff front desk multi - lingual quick provide information may require . find hotel great location . restaurant , shop , museum , bar anything might look within minute walk . restaurant serve affordable meal tasty . room typical hotel room . though bit date style clean . clean staff wonderful job everyday . find quiet night , actually quiet even window open . view amazing area hotel whether look 52nd St , look Broadway face Times Square ! one thing not explain us expense use phone room . receive call call cost we $ 1.42 , fine tell charge check out . all , fabulous hotel would definitely stay ! gym facility internet printer available guest anytime day night . 
 Feb 14 2008 	 great location need major revamp 	 impressed book well advnce . sell room 1st night locate another hotel road . help locate bear mind 2 am morning . room poor state repair . location great near time square good value money . diner underneath hotel excellent . 
 Feb 10 2008 	 Brilliant location 	 stay hotel Jan 08 . although room bit basic require spacious . room clean daily hotel lobby lovely . price excellant location fault hotel ( unless right moaner ! ) . location nearby theatre district/ Times Square great base explore . do not bother breakfast find fab diner round corner call Cosmic ( come hotel , turn leave , walk street right hand side corner ) . blueberry pancake maple syrup .............. yum . if thinking stay , book , Mabye staff be not overly friendly room need retouch be not would give 5/5 ! Morven , Glasgow 
 Feb 7 2008 	 heart city 	 recently stay Novotel NY three time Priceline booking . pay bit usually like since seem high quality hotel . location tourist - friendly , right 7th Avenue north Times Square . lobby restaurant / bar area chic modern , hotel floor room date . king room large , pull sofa . great view river building , especially sun come . Mattress hard pillow flat . Bathroom look part - way remodel , couple different decor theme . room - service menu relatively reasonably price , although great restaurant 8th , never feel need try food . staff accomodate ( problem priceline booking ) quickly upgrade resolve situation . 
 Feb 7 2008 	 great pay . 	 book hotel expedia get good price 5 night . generally think New York hotel really pricey want somewhere clean , comfortable , expensive great location . tick box . pick little thing like say carpet need change , not expect Ritz . staff generally helpful double twin room get spacious . room clean everyday thing would expect - iron , hairdryer , tv , minibar . 's small gym business centre internet free . bar nice . really not get complaint . location really excellent find stay comfortable . 
 Feb 4 2008 	 good holiday ever ! 	 hotel lovely , room big clean . absolutely brilliant location right broadway times square . hotel staff friendly could not enough we . room 32nd floor brilliant view times square . 2nd time NYC would definitely stay hotel . 
 Jan 29 2008 	 can not knock location ! 	 hotel fantastic location get around Manhattan - subway short stroll , bus cab door . staff great - doormen street level entrance wonderful check staff . accessible king 23rd floor great view Broadway . however , say , furnishing bed ( especially linen ) see well day . plumbing fixture seem recently experience Red Roof Inn - Accor own Red Roof , probably share many fixture . also , unusually temperate January room get quite hot . keep try adjust thermostat , never really cool room comfortable level - open window - nice ( many hotel not ' work ' window ) get street noise ( , , Broadway ) . perfectly fine night . check , find plan major renovation property near future . 
 Jan 29 2008 	 fabulous location - highly recommend 	 look luxurious hotel frill not place . however , like , look comfortable , welcome clean hotel locate right heart thing absolutely right place stay . having read mixed review go , nervous would find . arrival greet big smile , helpful information speedy efficient service . lift people complain problem we . lift street level lobby get room need walk across lobby different set lift . suppose summer hotel pack might wait lift occasionally not issue off - peak season not something would even think not look review . lobby bar / restaurant elegant magnificent view Times Square . room , whilst plush , perhaps start wear corner , extremely spacious clean unfussy decoration . also safe room nice hotel ' ve come across US previously . photo Novotel website whole fair representation find trip . contrary popular advice also opt hotel breakfast glad . course thousand delis diner try , time , Novotel offer good quality buffet breakfast could help little much want ( cold hot food well good range drink ) enjoy view leisure head mayhem , fuel day . stay really right heart - top edge Times Square never far home long day walk mile around sight , able see Novotel sign shine neon haze comfort inspire ! also worth mention hotel conveniently locate across block 7th Avenue subway stop e line . ( although not appear mention website anywhere . ) mean transfer JFK airport hotel actually easy ( Air Train Sutphin Blvd [ end line ] straight subway e line , get 7th Avenue . ) . total $ 7 per person LOT cheap take taxi shuttle bus possibly quicker 45 min door door . not panic find Airtrain platform JFK ticket - ticket purchase end let ! even buy single tichet cover air train subway one go . overall , can not recommend hotel enough certainly stay whenever next return . service excellent , location perfect great price - everything look . 
 Jan 28 2008 	 Great Hotel 	 room spacious two double bed great view time square ! great location aswell great vaule money ( time year ) . staff friendly except reception team . gerard bar great crack . would diffently recommend hotel everyone . 
 Jan 28 2008 	 good place stay New York 	 wife stay Jan year 4 night find quite pleasant hotel - people state bit pricey drink location service good . decor bit date honest somewhere sleep 4 night spend time . generally speak good value money worthwhile place stay want right middle close action . 
 Jan 23 2008 	 great hotel ! 	 book trip Dreamticket source various hotel info Tripadvisor order choose hotel - Novotel New York . review bit mixed bag , comment whole fairly good compare other decide plum Novotel . to credit make great choice ! room 32nd floor 34 . initial greeting reception check fault hotel . grant venture meal drink facility spot . due pack much day never get past 10.30 comfy bed beneath we . room look Times Square , comfortable clean seating area relax . bathroom extremely adequate quick shower relax bath . thank make trip enjoyable one . hopefully back visit sometime ! Jane & amp ; Chris Ilkeston Derbyshire 
 Jan 22 2008 	 Shabby decor thin wall lumpy bed old bathroom 	 Novotel pretty lobby , attraction end . room date well - wear decor , thin wall ( hear neighbor clear throat ) , uncomfortable lumpy bed , shabby old bathroom . broken machine fitness center , dirty bathroom maid clean , etc . however , location terrific - right middle everything - not care stuff , might ok place stay ( except price high ! ) . staff respond request professionalism - quickly . 
 Jan 21 2008 	 good hotel great location 	 hotel locate right Time square . room spacious well maintain . service good . bit pricey worth . 
 Jan 21 2008 	 Great Hotel Fantastic Location 	 arrive Novotel 11th January 5 o'clock . the concierge tell we go straight lift reception 7th floor . reception staff extreamly helpful friendly soon check room 31st floor . room clean tidy plenty room , good fantastic view Broadway surround area's . we quickly unpacked go sample delight bar . disappoint . barman lovely , really friendly serve we drink definatley hit spot flight . our friend eat hotel restaurant say food great . the concierge fantastic , wealth knowledge everything , advice soon direct lovely little italian restaurant . hotel central able sight . do not afraid use subway , friend find staff really helpful even do not clue go , soon use like & quot ; native New Yorker & quot ; .I would love go back New York would definatley stay . 
 Jan 19 2008 	 fantastic location tourist 	 debate whether go somewhere bit glam hotel , opt pleased ! ever hotel sleep , well shower / get ready night need add extras hotel may offer . the hotel excellent value money superb location - right heart thing . pleased do not pay ( odd ) breakfast hotel , rather sample somewhere different day real taste nyc.tip - go Hells Kitchen ( turn leave hotel rather noto broadway keep walk block , far honest ! ! ) superb restauranst rather price chain restaurant around broadway area . & quot ; top rock & quot ; observation deck see Empire state Empire state , night . be movie , movie tour good , touch long . open top bus worth ride , WRAP WARM ! ! ! also , hop on / off 48hours , would recommend 5 ( 7 ? ) day subway card really good value go touristy thing , not want pay odd time cab ( get stuck traffic time ! ! ) . finally , be spend shop , consider get subway airtrain back JFK $ 7 ( $ 2 one way subway journey , $ 5 air train ) oppose taxi $ 45 , expect tip top .... ! ! ! 
 Jan 19 2008 	 Novotel Times Square Great hotel Great Location 	 stay business . good hotel location ideal . close subway station , be convenient get JFK E train + Airtrain Jamaica station . room overlook time square . clean pleasant . staff lack enthusiasm . btw , could manage get normal tv , pay - for tv . disappointment , glad NYC , certainly find well way entertain . 
 Jan 14 2008 	 Great Location Views Times Square Fantastic ! 	 spend 5 night Novotel Times Square Hotel mum late December . find live read . reception area spacious modern staff extremely helpful . lucky enough room 11th floor ( crane neck slightly ) view Times Square . cleanliness room excellent maid arrive everyday tidy room make bed etc . thing rip restaurant bar , UK go buy drink bar go overprice food . spend fortune first night not repeat experience . view restaurant area amazing , look Times Square great vantage point , worth go hotel alone . we find good place eat , one particular like thing irish pub call ' Oldcastle ' . serve great breakfast also great atmosphere . locate couple block north Sheraton Hotel ( see Novotel ) .another thing apart shop eat see show get Staten Island Ferry . free ferry service ( commuter ferry ) allow take fabulous picture New York city skyline chance take photo Statue Liberty free . battery park really nice area city , hop ferry . relaxed park that s good chill bit . hope help someone , could not fault Novotel , 6th visit New York apart Roosevelt Hotel favourite . 
 Jan 13 2008 	 Novotel heart new york 	 arrive Novotel jan 3rd 2008 . u first go door tiny reception area think oh . tell take lift next floor . door open beautiful reception area . staff really welcome nice new york hotel staff be not friendly . room great size king size bed also lucky enough city view times square . clean every day fresh towel also . bathroom small nice clean . room tv minibar iron iron board room safe . great location shopping , eating , etc . prefer eat hotel cafe nicole resturant bar floor ceille window look onto times square nice way relax watch world go . sum novotel fabulous , fantastic def hotel stay . 
 Jan 7 2008 	 Novotel great stay 	 hotel wonderful location . block Times Square . hotel upgrade we room view Times Square birthday . like review say , lift little slow 's nothing really . not breakfast hotel diner across road call Stardust . waiters/ waitress sing whilst be breakfast . definitely one go , especially be much cheap hotel . room standard , nothing shout clean 's main thing . the thing not like leave hotel ask taxi , stretch limo wait outside whilst wait taxi , doorman trying get we take limo say cheap taxi . stick taxi turn taxi cheap limo . 
 Jan 2 2008 	 great location staff terrible 	 book hotel , partner parent location . go book hotel around corner butafter read review see beautiful picture online wentfor . pretty much moment step room regret it . if expect anything place rest book . hotel lobby impressive , especially massive window look onto Times Square highlight . staff entire hotel leave lot desire . concierge incredibly unhelpful , ask simple transport solution simply say & quot ; take subway & quot ; . bar staff also rude . one waiter take offence request food bar area simply walk away we . one hotel seem tohave sense urgency , constantly leave wait around take time simple task . the room basic terribly date . 27th floor nice view Times Square apart leave underwhelmed . price hotel could stun boutique hotel . say , want rest head probably find well deal elsewhere , want nice room . Ifyou be amazing view , trust 's worth hassle ! 
 Jan 2 2008 	 Great Location Great Room Friendly Staff . 	 stay Novotel wife 2 child 9 day July . stay great , bellhop front desk clean staff everything . room spacious functional , view Broadway great , staff friendly , exercise room , although small , quite adequate ( free fresh fruit nice touch ) . location could not well , Gallagher 's Steak House couple door excellent . we would DEFINITELY stay , highly recommend . 
 Dec 28 2007 	 Location location location 	 room low floor , still good view Times Square believe room give good view bright light . bed comfortable , room large NY standard bathroom clean . despite busy location , room quiet . we not eat hotel restaurant , understand quite expensive , front desk , room service housekeeping staff give fantastic service . see review complain price , peak season pay reasonable usd 299 per night , think reasonable compare less comfortable hotel . I love Novotel definitely come back . highly recommend ambience , location right middle New York glory . 
 Dec 27 2007 	 great view times square 	 Novotel heart time square offer room view price tough beat anybody weekend getaway . service great . font desk , bell boy maid respond well request . breakfast ok price avg budget . would recommend walk 2 block broadway diner song dance square meal . bed bathroom great room size enough . wooden board floor bathroom give feel suana water pressure excellent . pay $ 420 per night NYC marathon weekend . 
 Dec 18 2007 	 Great Hotel Fantastic Location . 	 stay Novotel New York 2 night August fantastic trip . with much see New York hotel less use holiday yet still time admire Novotel . the Minor irritation go 2 set lift get room make fantastic location lucky superb room view bright light Manhatten . the room large ( New York standard ) clean everything would need stay could really fault anything . hotel concierge desk always man need advice although not eat hotel ( let face New York much else try ) menu look good bar spectacular view . the central location hotel mean good site nightlife easily accessible along subway foot start get tired . I would stay Novotel flash although slightly expensive hotel central location suberb view safe relaxed atmosphere prove well worth money . 
 Dec 8 2007 	 great stay 	 great time , go parent , wonderful room time square , location great . go breakfast every day , overall breakfast good , busy . dinner list three night row dining room , food good , love shrimp bisque . evening waiter nice . Front Office welcoming . will come back sure . 
 Dec 6 2007 	 great hotel pity staff 	 second time New York Christmas .. last year stay Park Central ( great hotel ) Novotel close th center town try . hotel good great view Time Square . side ... staff terrible . bar staff pit ! take age serve seem like effort . guy table service bar worst ! bar , lobby cafe merge one .. sit table read menu pick table .. wait 20 min go bar tell return table wait waiter , came say read wrong menu delt bar food . rude .. whole staff act like could not give crap everything inconvienence . people street helpfull ! ! 
 Dec 4 2007 	 good value honest hotel right Times Square 	 go family 4 night stay New York hallowe'en 07 , first time ' ve back 30 year - 's happen rubbish , grime rude people meanwhile ? 's clean , friendly feel lot safe city UK . people brilliant ; proud city keen help strange . ball - even teenage boy ( normally easy please ) sweep away place . the Novotel , guess , bit tired need revamp sometime soon , yes , lift need use get reception main street , bit slow irritating . really need look level detail think be miss point NYC . look past detail see servicable hotel , reasonably price ( New York ! ) clean , friendly perfectly situated . other say , not come NYC mope around hotel . the reception staff really helpful polite ; ian reception gem worthy special mention , yve concierge . eat breakfast hotel boy eat free , otherwise would go one many delis area lot less . view good breakfast feel little herded . we go back Novotel - certainly , price right . however , would not feel urge stay Times Square next time ; anywhere near subway near almost anywhere Manhattan , will want chill little next time already do ' must - see ' 
 Dec 2 2007 	 well worth 	 reading reviue New York hotel small pleased size room . king size bed plus two seat sofa , coffee table still room , view Time Square well say breath take would go back recomend anyone . the one thing miss though tea/ coffee make facility room . hurry closing renovation February although see problem stay . 
 Dec 2 2007 	 central 	 friend go NY Christmas shopping November stay Novotel . fantastic location close shopping area show Broadway . subway station also close . hotel also great . lobby 7th floor problem . room 14th floor far quiet ever stay . ok , carpet not put last year furniture room little date room spotless towel change every day . staff reception really friendly , especially Ian . bar restaurant relax lovely view . would problem recommend hotel plan stay next visit NY 
 Nov 30 2007 	 frill ; convenient location 	 stay one night Novotel business . location great first - timer NYC , Times Square area ( Broadway 52nd ) block Rockefeller Center , Stage Deli Ray 's Pizza . 24 - hour business center free computer / internet access nice , lobby bar area sleek . however , first room give dirty need clean -- - bed make , hangar empty plastic bag bed ; empty bread basket room service ; bathroom clean . second room okay , definitely frill room -- - motel feel $ 300 + per night hotel room . bed pillow comfortable wall thin . okay one - night stay , long length time . 
 Nov 28 2007 	 Great 	 Novotel great location nice lobby . stay double room great . everything outdate . stain carpet - bedspread ugly kind gross . heat really work . travel business pay $ 9.99 use wireless internet . would recomment hotel stay . 
 Nov 28 2007 	 Fantastic 	 Hi , come home new york yesterday stay Novotel Hotel Times Square . bit concerned regard stay novotel due wide difference review . simple . location fantastic , hotel good standard , view room Times square absolutely fantastic , Room 2301 . eat restaurant , eat applebe 's ( good ) . reception staff helpfull polite . review mention lift main street need we get reception , yes abit slow important . we good enjoyable time would definately stay novotel again . one thing would recommend plan New York great leave New York ( opt great choice ) . great someone take be around sight NYC free charge . thing pay lunch . husband weary first . meet Ellen Saturday fun fill time . 
 Nov 27 2007 	 wonderful location clean accomodation ..... good overall 	 return home stay Novotel . find really nice hotel . other state ... lobby 7th floor not bother we all . , stay 18th floor overlook Times Square . loved view ! ! accomodation adequate . room clean ... bathroom clean overall really enjoy stay . eat resturant time ... food okay .... fine dining .... adequate . ... view room resturant wonderful . hotel commercialize other city . enjoy reason . not overly crowded . staff wonderful . conceirge accomodate . many question resturant , beauty saloon etc .... could not helpful . bed ... feel fine however 3rd night .... neck feel great . would stay . nothing bad say hotel . 5 * * * * * hotel look good , clean , convenient place stay .... . price wise , .... pay $ 360 night .... manhattan ... can not expect stay less . 
 Nov 22 2007 	 Great Location 	 Novotel locate David Letterman show , near subway , room overlook Times Square ( must pay ) across street Ellens Stardust Diner . room 2 double bed plenty room 4 we . 3 star rating , accurate . complaint mattresse old . ( assure staff replace , trip book Dec. 07 ) eat restaurant . Broadway show short walk . room date . care though , money hotel adequate . location safety important . 
 Nov 22 2007 	 Unbelievable incompetence 	 location hotel great , king size bed fine view pretty nice , across building still overlook Times Square . staff nice everything overall okay ... ... concierge desk totally incompetent come charge stay . really long story short , make many error processing payment , end charge entire stay wrong charge card - give debit card hold room use credit card pay . end charge entire stay DEBIT card leave credit card empty - even though confusion desk take credit card say charge room . result check account totally wipe clean put red - rest vacation decline everywhere try use card stupid error . humiliate actually money . mistake , error part , completely due whatever mistake make people reservation desk . nice , completely unacceptable . work rectifying damage do credit sour reason . also clock room not change since daylight saving time , end wake wrong time . good thing plan , would screw rely wrong time clock . overall nice hotel decent price location , etc , security good overall bit nice place . half light room not work heat blast uncontrollably one able figure turn .... stay , make sure use one card reserve pay make sure confusion happen payment , else will get screw like . cheer 
 Nov 19 2007 	 great hotel would definately go back 	 think great hotel . location perfect - right Times Square . stay room 2004 ( 20th floor ) fantastic view Time 's Square . roomy clean , ' ve stay Wolcott tiny scruffy expect room novotel massive comfy bed , sofa coffee table , big desk decent sized bathroom . reception staff friendly helpful concierge able answer question quickly efficiently . bar open 12 am handy early night . do not eat restaurant hotel can not comment menu look good - do not get chance ! would definately go back without hesitation . 
 Nov 19 2007 	 Superb Location 	 Novotel superbly locate middle Times Square . rather worried first arrive review read mixed . upon arrival 2.30 pm room ready , thay give we complimentary cocktail keep we go , welcome . give room key . Porter service , fine four lift . room floor 24 . room clean huge double bed load wardrobe space nice bathroom . two criticisim would coffee / tea make facility room hot despite turn air con cold ! drink expensive would expect Hotel . we eat Hotel hundred place eat . try Carnegie Deli fab . Times Square fantastic see believe . eating drink around expensive even good USD / GBP exchange rate . however , get immediate area eat cheap . I would recommend use Gray Lines go two three day bus tour . guide informative hop wish . three different loop enable see major site . we would recommend Empire State , Grand Central Station , Helicopter Ride , Gray Lines Hop Bus Tour , Greenwick Village course Central Park last night drink rotate bar Mariotte Hotel ( make sure go 9 pm unless want pay additional usd 7 charge per person ...... expensive wirth every dollar ! ) .We also go basketball game UK good fun we . we walk place far think . 
 Nov 18 2007 	 perfect .. 	 stay three night wife 4 yr old daughter . reception smooth pleasant check , daughter hand welcome pack , nite light cuddly toy etc , check out . room 21st floor , brilliant view Times Sqre & amp ; Broadway , everything doorstep , theatre , deli 's , chemist 24rs subway . room goodsize bath & amp ; shower . stay Hilton Times sqre , Plaza Waldorf . Novotel rank alongside excellent hotel . staff excellent . would stay , problem . Charlie , Dundee , Scotland . 
 Nov 17 2007 	 great location great stay 	 first thing notice probably real downfall whole place . lobby 7th floor . two slow elevator go lobby . busy time little bit pain . location walk distance Rockefeller Square , theatre district ( right Wicked , Mama Mia , Jersey Boys , Color Purple Ed Sullivan theatre ) Times Square . perfect location first time New Yorker ! next thing notice french hotel . lot french speak people . take french high school , little excited ! room perfect size . one king bed . bathroom great . slight problem fixture , not think would widespread problem . report bet fix . room Times Square side , 31st floor . AWESOME ! ! 
 Nov 13 2007 	 love novotel 	 stay last christmas amase time ny ! also summer choose stay westin times sq would say novotel far . amase view times square staff excellent . room pretty huge bonus , would recommend any1 infact I m go stay xmas ! ! 
 Nov 13 2007 	 NY NY ... Amazing Stay Novotel 	 stay Novotel week Christmas 2005 , ny.this excellent choice make . ok , room quite expensive worth ! excellent location , right front Times Square , subway near hotel ( block ) , plenty restaurant near hotel ... room nice spacious , comfy . nice souvenir we . would definitely stay visit ny ! 
 Nov 12 2007 	 Nice though perfect 	 reviewer point , location Novotel big plus , certainly come handy , one night early November . check - in fast easy . room fine -- bad , nothing fancy either , though nice westward view Hudson . ' m tall ( 6 ' 4 & quot ; ) find sink , well shower head , low even standard ' m use . 's slight exaggeration say sink almost seem design midget mind . upon check , could not get heat work properly ( blow cool air ) , call maintenance . impressed someone door less five minute . sort fix , still not work quite right . not bad feel need change room , still less ideal . water pressure shower also rather weak . compe free buffet breakfast upon check nice ( except soggy waffle ) . view Times Square dining room pretty nifty , even 7 a.m . go give Novotel three start , complete online survey mention complaint , receive note specifically acknowledge , suggest hotel commit customer service usual . would stay ? probably . 
 Nov 11 2007 	 Great Location first visit NY 	 recently return first visit New York . Booked hotel location base review Trip Adviser & amp ; let down . the hotel clean & amp ; efficient ; receive free upgrade basic room 32nd floor Times Square view room ( previously inform hotel celebrate 20th anniversary ) . room little basic quiet & amp ; clean , make excellent view window ( see photo 's ) . couple nice drink cosy bar , restaurant look nice take meal city . the big plus ( review comment ) fantastic location , right Broadway / Times Square & amp ; easy walk distance Central Park ( 15 min ) , Rockefeller Centre ( 10 min ) & amp ; Empire State Building / Macy's / Madison Square Garden ( 25 min ) .if bit cycling , would highly recommend . around $ 40 day city . . . extremely safe cycling ( cycle path ) around much island , include Central Park & amp ; across Brooklyn Bridge . we intend another visit , hopefully next year . . . can not wait ! 
 Nov 7 2007 	 Filthy room 	 many hotel NYC , reason stay . thankfully , one night . carpet filthy not shower , not want step floor . it be bad , 's great location be see show . also , thermastat room not work solution bring extra blanket . people nice , room sooo dirty . furniture dirty . carpet sticky grimey . mere price $ 350 / night . Disgusting . will never stay . 
