fine 	 quality room service expect Hilton : average . location make perfect stay . right edge China Town 10min walk many good restaurant Columbus Avenue . much well location Embarcadero around Union Squaire . defintely would stay . 
 Jan 8 2008 	 Good Choice 	 Good Choice ! wife stay Hilton SF Financial District 4 night New Years getaway . trip pour review hotel San Fran decide rather spend lot money dumpy hotel Wharf Union Square , would rather get nice hotel amount select place outside tourist trap area . turn good decision ! hotel edge financial district next China Town North Beach district , short walk Union Square . 5 minute walk waterfront , jump trolley car , couple minute later Fishermans Wharf Pier 39 . California Line Cable Car short block away hotel . problem get anywhere SF , compact city . ask Bayview Room , request high floor away elevator . room huge , comfortable , bay view blow away ! grant window single pane hear bit noise street , not find big deal . issue elevator , staff accomdate . stay take look hotel could choose , honest , think make good choice . hotels Union Square district edge Tenderloin District ( sketchy part city ) good idea walk around late night . hotel near Fishermans Wharf convenient tourist trap , see SF tourist trap . find fault hotel , ask high floor reserving , insist check late ( midnight ) us 9th floor room , ask high room , end 17th floor . not let door man talk take town car airport check , cab SF International $ 36 town car willing come $ 50 . eat hotel seem pricy , area surround incredible restaraunt lunch dinner , breakfast try Mamma 's North Beach , short walk . Union Square less 10 minute walk Kearny St Market St. Tip : Purchase Muni - Pass either airport information booth , Cable Car ticket booth , give unlimited ride Cable Cars , bus , Trolley Cars etc . stay . drive , warn parking SF nightmare expensive . we love SF would stay hotel . 
 Jan 6 2008 	 Great Location Great View 	 wife enjoyable 3 night Christmas New Years . 14th floor view Telegraph Hill Bay wonderful . time could not see Coit Tower fog , allway magical . meal breakfast restaurant excellent . waiter times , friendly do not intrude . think negative review post priceline - type guest may get room high bayside . single - pane window let bit street noise , complete silence would not right either . SF city ! another nice feature pedestrian bridge directly hotel major park Chinatown . hotel western edge financial district nearest big hotel Chinatown , narrow , crowded sidewalk perhaps good people - watch city . one thing , Hiltion Honors membership , may account good room location . 
 Jan 3 2008 	 Average 	 parking offensively expensive ! $ 48.00 per night vs. $ 26.00 across street . location bellow average . heart Chinatown , car ride everything vacation family would like see ( Fisherman 's Wharf , Union Square , Shopping , non chinese food etc .... ) cott roll away bed available double room . room nice , clean comfortable . 
 Jan 3 2008 	 4 night stay 	 stay 4 night break england choose hotel get great deal orbitz want stay central hotel brand . union sq shopping be not thing take 10 - 15 min walk . hotel next friscos landmark build Transamerica pyramid can not appreciate view distance . chinatown next door hill , broadway many adult club like 2 minute walk away ; ) hotel clean hilton standard expect , staff always helpful give direction etc . get ' bay view ' room awesome , have not would faice building oit would bland request bay view . room spacious , usual amenity , bathroom nice modern , shower great . Ididnt eat hotel late beer bar staff nice like flirt , expecially woman ! bit trek fisherman wharf enjoyable walk . take 20 minute walk pier 33 alcatraz ferry . use taxi must will not get frisco experiance . would stay definately far away castro area get drift ! 
 Dec 28 2007 	 Terrible Hotel 	 hotel service terrible . housekeeping provide use old bed sheet use day . try stay hotel . 2 star less terrible terrible teriible ....................................................................................................................................................................................................................................................................................................................................................... 
 Dec 28 2007 	 Perfect central location - well avg hotel 	 stay hotel end October would suggest other location value . walk everywhere hotel think perfect central location . eat restaurant stop bar night quite nice good bartender . downside , mention review , elevator slow peak time wall paper thin . shower room next door sound like room . room size good amenity average . bay view room beautiful . 
 Dec 24 2007 	 great hotel value ! 	 recently stay hotel financial district . usually , go San Francisco , stay Union Square , look last minute weekend deal decide try area . second time stay area city . the hotel nice - room nice modern , bit cozy . San Francisco - , much like Chicago New York , room small . amenity top notch , free internet access bonus . thing notice elevator slow way - especially core check hour . bar staff could not bother question . , decent location . couple block Embarcadero Center , be 10 - 15 minute walk Union Square , right next Transamerica building . stay weekend , street not busy probably week . one plus since Saturday night stay , able park street . hear hotel parking $ 48 , pay $ 3 / hour street 6 pm , meter free , well day Sunday . would stay not mind walk look little value comfort . would not stay walk not something be look much . get pretty scarce later night streets Union Square hotel , always seem someoone walk . issue walk home 2 morning . recently discover area cheap alternative Union Square week stay another close property well . 
 Dec 16 2007 	 great hotel ! 	 pleasantly surprise Hotwire assign we hotel . pay ~ $ 120 total , worth every penny . the location excellent . north beach , chinatown financial district literally block away . BART bit walk , be San Francisco ... 's . fly , not deal parking . would recommend use valet interested save money . couple lot street fraction cost , hard find . read reviews noise thin wall ... neighbor next door bit obnoxious . not yell someone top lung , probably would never hear he . the decor hotel awesome . modern , bright clean . eat hotel , can not comment room service restaurant hotel . room city view ( mention pay $ 120 ; - ) ) , clean , comfortable roomy . bed super comfy . service great . check breeze , every hotel employee talk stay personable willing help out . overall , experience great . 
 Dec 11 2007 	 so - so hotel 	 spend 3 night hotel . front desk not inform we check - in regard use card elevator . parking expansive ( $ 48 per night ) quite dissappointe continental breakfast . not even hot breakfast ! ! ! present frontdesk confirmation # check , insist need print copy ? ? ? impressed hotel , be so - so hotel . convenient walk chinatown well food . 
 Dec 10 2007 	 Loved Hilton ! 	 despite scary review , finace love hotel ! location ideal , room clean , view nice ! location great . 2 minute walk Chinatown , 5 minute walk North Beach ( italian place ) 15 minute walk Union Square . the thing not great fact could not get room one king bed , get two double , 's chance take booking priceline . the view great ! 21st floor , could see entire city beneath we . the concierge helpful . always good reccomendation ask go , map everythign detail ! fabulous . the staff actually pretty nice . get busy , try well accomadate you . cute coffe place inside morning cofee pastry ! will stay ! 
 Dec 9 2007 	 excellent location excellent hotel 	 - excellent location . right across street Chinatown , convenient go good cheap food.- room good order . hotel free WiFi.- staff professional , competent friendly . 
 Dec 3 2007 	 3 - star . avoid ! 	 book one night stay Hotwire , think would get Hyatt Regency , disappointed see Hilton Finacial District show . know old concrete building use Holiday Inn , could ? hotwire surprise zone Embarcadero rather Union Square East ! anyhow , check Sat , Dec 1 4 pm , tell right away Monica , dark - skin lady front desk , room 2 double - bed available , upgrade bay - view room King - szie bed would cost $ 50 . wife stand right beside , take even though know rip - off ( pay $ 85 Hotwire ) . room kind small , great view face Coit Tower bay . bed comfortable other suggest . everything else standard 4 - star hotel . bath room really small single sink . tub small . recent face - lift do poor quality cheap material . 25 - inch tv ? even worse , noisy even 18th floor . constant noise even turn heater / AC . build poor sound insulation , waken real early morning first shower next room vacume floor above . all , 2.5 star opinion ! first time stay Hilton US , never . guess Hotwire either . 
 Dec 2 2007 	 pro outweigh con 	 husband plan one - night getaway San Francisco first time ever overnight away two young kid . decide spontaneous book hotel Hotwire - get great deal Hilton ( $ 85 ) decide whatever happen , would enjoy could actually get good night 's sleep ! well ... not . around 12:30 , awaken LOUD people side room ( room either side room ) . call hotel service claim would send security deal . sure ever , noise continue intermittently 2 ! ! ! extremely sad turn event . on pro side , bed comfortable view great . beware : $ 46 valet parking fee apply even want park drop bag . park front , tell vaelt would back soon check , still tried charge we $ 46 20 minute ! ! ! overall , would stay . 
 Nov 28 2007 	 Superb view ( modern furnishing ! ) 	 wonderful experience . pal help book get room $ 90 . even $ 200 , would still give place great mark . first , place truly modernize really fresh , design - y furniture , bedding , accessory . second , view - think 20 - something floor - magnificent . beautiful wide view north side city , include North Beach , Golden Gate Bridge , etc . wonderful wake . main complaint high cost parking - $ 42 valet self - parking . 's downtown SF . find lot - 's one across street - pay bit less . 
 Nov 14 2007 	 Outstanding 	 second stay Hotel 2 month . returned enjoy much first time . view wonderful Bay side . executive lounge breakfast satisfactory ( omlette waffle / pancakes hey , not eat anyway ) . yogurt , cereal , cottage cheese , toaster asortment bread muffin , bagel , two type juice , coffee , tea , water , fresh fruit . we like particular location proximity North Beach , China Town , also 15 minute walk Union Square . would pay rack rate get thru priceline use Hilton Points likely happy choice . front desk , bell desk , valet staff helpful . you not pay $ 46 day valet parking . continue Kearny past hotel one block turn right , parking garage . also parking garage across street Portsmouth Square less expensive . $ 46 per day valet parking go rate hotel park car San Francisco . 
 Nov 12 2007 	 good price pay hotwire ! would not pay much ! 	 get hotel room via hotwire price $ 110.00 . really would pay much . check - in slow , front desk staff seem bit apathetic . valet seem bit unprofessional seemed bit rude decide not want pay ridiculous price $ 46 dollar valet ( park across street ) room bathroom really nice modern , like Hilton chain . room nice view well . hotel great location touristy thing close North Beach , great get delicious italian . pretty much stay room night get late ( fly barcelona ) enjoy comfy bed a / c not 6 week ( go backpack Asia / Europe / africa_.there far well hotel San Francisco well customer service reasonable parking fee . say , get hilton hotwire last minute really would pay much . 
 Nov 8 2007 	 love location decent room 	 room via Priceline $ 150 - ish / night + taxis . Agree w / previous poster average average price , would not thrilled pay rack rate ( astound $ 429 / night ) . room nice , like build - in desk area fill whole bottom half window - serve make - up area , bar , storage place , etc . find bed comfortable . no wait elevator , friendly guest - chat we ASN conference , run along wharf , etc . lobby staff fine , one offer help we bag way ( 12:30 a.m. , staff stand around ) bellman check bag last day ( red - eye flight home ) basically beg tip & quot ; will not return , take care bag & quot ; . shower short decent water pressure . slide door bathrooom slightly odd someone get use facility night , light bright opaque glass rest we ! price location ( walk everywhere except ride back cable car one time ) would definitely stay . 
 Nov 7 2007 	 good stay hilton 	 Hilton SF Financial District good hotel stay weekend . glad book w/ Priceline pay $ 200 per night would worth . doormen / valet service great always willing get cab . parking w / the hotel way expensive ! room comfortable , not get king size bed request . instead get two double w/ great view Coit tower enjoy not bad compromise ! bed comfortable would expect , call & quot ; Serenity Beds & quot ; . location great , block North Beach , Little Italy . sure hit Trattoria Pinocchio Colombus good italian food city ! stay hotel , deal priceline . 
 Nov 6 2007 	 problem 	 stay 2 night combine business / family getaway ( 2 preteen ) . read review know love property , also problem report . happy report significant problem . think long hard rating , though . range & quot ; average & quot ; & quot ; average & quot ; . generally favorable experience overall . , however , pay & quot ; rack rate & quot ; , think would less happy . location , general price flavor seem line would expect similar property area . personally , usually choose different type property ( like fridge microwave - neither standard room ) , hotel suit need well - enough trip . the room book online via hotel website , AAA discount . process extremely easy . book hotel ( rather & quot ; blind site & quot ; Priceline ) , get Bay view , & quot ; concierge level & quot ; floor lounge access . also help make pleasant stay could get breakfast morning , appetizer evening ( approximate hour 6 - 10am - ish 5 - 9pm - ish , think ) . selection actually fairly good . bar service concierge lounge available additional fee . frankly , though multiple complaint previously list : speed elevator , think great . fact , occasion , want look window view different vantage point room ( window elevator ) , elevator arrive quickly . slot swipe room key elevator take ( certain ? ) floor small , take fair amount finesse work smoothly . perhaps part delay other mention . check quick ( arrive around 6 - 7pm ) . staff nice , first try result access concierge lounge . quick return trip lobby take resolve . check also problem final bill provide door timely manner . room clean . bathroom small , bathtub noticeably small / short . slide door bathroom not close tightly , make privacy potential issue several staying room . flat screen tv nice , could not figure hook dvd player ( usually problem ) . Beds & quot ; full & quot ; size , comfortable . bay view 24th floor good ( would not say & quot ; astounding & quot ; , good ) . easy walk Kearney Montgomery California St. catch cable car ( aware pack certain times day ) . rest family also use bus system one day . aware many street one - way figure bus go . also rental car happy parking across street ( literally ACROSS street ) Portsmouth Square garage . rate $ 26 / day substantially well Hilton , not get in / out privilege . we , absolutely fine - may good everyone plan come go often . garage website Google info . while eagerly plan next trip , would willing stay circumstance similar . 
 Nov 6 2007 	 good solid business hotel 	 stay new Hilton San Francisco China Town / Financial District business . enjoy stay staff find friendly engaging . room light airy - furniture seem little cheap ( Hilton standard ) . price location would stay . 
 Nov 2 2007 	 absolutely fine good concierge 	 first hotel stay San Francisco , experience positive . arrive door staff take case , check - in process fine happy upgrade travel agent make mistake . room clean adequate . free wireless room , add bonus . hotel locate doorstep chinese quarter great get chinese food short walk shopping district . hotel serve well public transport . as first visit San Francisco , approach concierge helpful man ever meet . provide great anecdote various stay around world . spend almost half hour guide we map San Francisco . ask ' no ' area . really make stay . the decor hotel pleasant bar atmospheric evening . 
 Oct 29 2007 	 helpful hint ( hope ... ) 	 base previous review , happen experience allow give tip . write review accordingly . location : 5 block away anything tourist would want . , walk 5 block edge tourist area , market st , etc . will keep walk . area directly around hotel pretty not feel unsafe . know first minute walk get hotel basically nothing . Montgomery BART / MUNI station 10 minute walk , Montgomery St. behind hotel 's much nice atmosphere walk . SF many time , reason stay location confluence 3 convention weekend make hotel unavailable expensive , get place Priceline cheap . the lobby nice also experience disorganized check process other write . get room , happy guest service line go unanswered 10 minute , go downstairs cut long line already wait one check in . the odd # room face bay even # one face Union Square area SF . first give -01 room beautiful bay windows expansive view water . cozy handicapped room spacious bathroom wardrobe closet . right next soda / ice machine elevator . -01 room handicap imagine size . can not vouch noise 15 minute morning . thing wrong handicapped shower head low 6 ' 1 height go high . mood kabuki shower . note shower head next room much high , 5 foot will bend over / lean back wash hair property ! switch -25 room enter tuck corner building . view still bay window much small . closet large chest . desk area corner great , shelf underneath tv since armoire easily adjustable see anywhere room . room , like -01 room slightly small room pass think fact -25 sequester away room next make ideal like quiet . negative be right next housekeeping closet 5 pm 9 hear constant open / close door prepare work . my bathroom small completely adequate . bed comfortable , room clean . really enjoy cozy room stay prepared ! 
 Oct 23 2007 	 expect Hilton 	 expect Hilton arrive 4 week holiday US first stop San Fransisco , arrive Hilton , husband 2 small child look doorman struggle get luggage transportation get trolley load take reception offer help . wait 10 Min 's check staff busy chat among , disappointed service especially country rely tip show good customer service , room ok nothing fancy location nothing around except business much offer close . 
 Oct 20 2007 	 Valet leave car sit street - burglarize decline comp 	 check Hilton Financial District around 10:00 pm long drive handed car valet park . check room , nice view well appoint . wake next morning , slightly shocked find valet parking charge $ 46 , easily qualify high valetcharge ever pay , . , call valet prepare car , could not seem find valet number . tell worry , manage . make way , check step front hotel pick car , find mycar still sit exact spot turn valet night , right sidewalk , passenger window smash personal item steal . , pay $ 46 valet , park car parking structure would reasonably safe , leave sit sidewalk well visible passerby , even inform crime walk right car . bad part begin : Hilton disclaim responsibility Valet operate ACE parking , seperate company . ACE parking explicitly valet ticket disclaim responsibility damage car - one clause always encounter andask : guy total car ? - apparently , disclaimer even cover situation valet severly screws simply leave car sitting sidewalk $ 46 . 
 Oct 19 2007 	 unimpressive hotel 	 hotel look nice , 's plesant experience end . staff unexceptional , fridge room . hotel four star without fridge room ? room otherwise tiny , valet parking 42 dollar night ! ! 4 star appropriate rating place , 3 star appropriate . 
 Oct 18 2007 	 Build lift ! 	 spend 5 day work book 389 night . minibar , fridge , swimming pool decent room service . also agree lift , feel like spend stay lift . 
 Oct 18 2007 	 Nice hotel noisy 	 hotel great location within walk distance North Beach , Chinatown downtown area . room well equip comfortable facility hotel good . however , big problem noise hotel reffere another reviewer . wall paper thin wake various stage 4 - night stay room side . two occassion need call front desk send somebody reaction seem occur regularly . certainly business traveller ( lot guest appear ) would want stay due noise . addition lot street noise . area outside safe appear trouble one bar directly underneath room police call . total , get one uninterrupted night 's sleep four night reason would recommend stay elsewhere . 
 oct 9 2007 	 Nice 	 stay ten night . hotel clean newly refurnish . room quite big . minibar room , coffee make facility . icemaker every floor . gym quite small modern . personally like stay hotel middle union square . besides walk union square ten minute . would not stay need minbar . 
 Oct 5 2007 	 great hotel great location 	 friend stay hotel 2nd half stay SF . able get great deal priceline room $ 85 + tax . the check fast , clerk friendly professional . able give we request 2 adjoining room 2 bed . room 20th floor great view city skyline walk room dark . bed extremely comfortable , room really spacious ' m use downtown hotel . good location Market Street shopping , Chinatown , Little Italy thing area . easy access airport way BART Market Street . 10 block walk Bart , $ 5.15 airport ( 30 minute train time ) . 
 oct 4 2007 	 Comfortable 	 stay Hilton September 2007 5 night find Club room stay comfortable , clean quiet . problem coudnt get room 3:15 . realize check 3 pm sit plane 13 hour would nice get room 1:30pm arrive . apart find everyhtihe else satisfactory staff courteous helpful . would definitely stay anytime .. 
 Oct 1 2007 	 Nice Hotel Nice Price 	 get hotel priceline 70 night . check 2 without problem . snotty attitude book priceline . thing odd check one offer take bag room not big deal use ask . hotel within walk distance North Beach right China Town . parking really expensive 45 . 12th floor find street noise problem like people sleep windows open . overall good experience would definitely stay . 
 Sep 25 2007 	 stay away - far away ! ! 	 book room thru Priceline pay $ 90 . check 2:15 room we remind we 3 time use priceline . not room we thay 20 people check in- behind we ! ! tell wait couple hour even though check -in 3:00 . go get room hour half later , without husband . tell could not checkin . person helping tell we come back know husband meeting . long story bad customer service . talk front hotel manager everyone story - blah , blah , blah . say bad service start top really hotel . a / C stop work 2 time . phone not work problem shower drain . would never recommend one stay ! would ? read review look elsewhere ! sooo many great hotel San Francisco ! not waste time money . hotel old . location so - so . service awful . would recommend priceline area . 
 Sep 18 2007 	 Satisfactory reasonably price 	 find staff exceptionally polite helpful . check - in , even 3 hour early , breeze ( otoh , check - out button room phone not work , minor annoyance ) . not much care furnishing / color scheme room corridor , everything comfortable , immaculately maintain , professionally manage . seem lot meeting conference . see might strain property resource review mention , stay , everything well run . minor quibble : other mention , high level neighborhood / external noise .. bring earplug . elevator slow quite crowded peak hour . property technically & quot ; central , & quot ; be far enough away Union Square / cable car / Market St traveler ( elderly , small child ) might find walk bargain . other problem , SFO nothing walk city . overall , reliable choice leisure business traveler , especially discount rate available one online service ( & lt ; $ 100 / night bargain * * & gt ; 3star San Francisco hotel ) . 
 Sep 18 2007 	 Poor Value Money 	 attend conference September 2007 stay five night . hotel well situate Chinatown , Union Square shopping restuarant . Embarcadero Fishermans Warf within 20 minute walk . find staff helpful pleasant . Hilton undergo major refit : bed bed extremely comfortable wireless email work fine . bathroom compact tidily decorate . unfortunately , wall extremely thin , could hear phone call , wake alarm general discussion room either side ( despite wife tell deaf time ! ) . reasonably well - travel feel able say hotel meet expectation four star hotel one pay premium - $ 329 / night . disappointing . 
 Sep 17 2007 	 Ew . 	 definitely four star hotel . shower not work , tv break stay get elevator floor huge hassle . call front desk , first two problem eventually fix . customer service go far . companion actually one hotel representative down - right rude . 
 Sep 14 2007 	 Great Location / Noise problem 	 stay 7 night happy stay . book priceline $ 85 / night . room clean little bit small . location great ; within walk distance lot city 's attraction . Columbus Ave . couple block away lot great italian restaurant walk way street Fisherman 's wharf ( though bit long walk ) . 10th floor street noise noticeable ; especially trash truck 5 am ! heavy sleeper not bother we bad . seem attract young / party crowd weekend weekend leave hotel seem full frat brother reunion . weekend concierge unhelpful rude head concierge nice helpful car reservation . overall would use hotel book priceline . would disappoint pay full price . 
 Sep 11 2007 	 veryvery poor service average hotel ... 	 really two positive thing say hotel : * concierge polite helpful ; * rate Priceline ( $ 100 / £ 50 p.night ) reasonableAm sorry say everything else start finish 3 day stay ( aftermath ) poor . specifically : ) despite three phone call prior arrival Hotel refuse book we king room ( and/or bay view room ) , say ask arrivalb ) check - in clerk say king room , bay view room room 5th floor . thank ! c ) arrive ' full - size ' room discover : one ' phone work , bath plug work , noisy . ' wireless internet ' work room signal weak ; ) ' city - view ' room double glaze ( 21st century ? really ? ) highly susceiptible street noise ; e ) many say , elevator slow queue literally 10 - 15 people ( appear college student worst wear ) regularly gather reception wait get room ; f ) last night ( Sunday ) need get early night ( ie . 10:00pm ) prior 6:00am flight next day . return room find noise karaoke conference room two floors loud hope get sleep . 40 minute complain ( try ring reception 15 minute without success , phone apparently hook ) take emergency stair lift slow , tell noise would stop 11:30 security notify ; partner stress reception want return room find noise abate would take long contact reception again . having get back room , discover noise bad ever . after 20 min phone , tell hotel could nothing party permission continue midnight . tell room elsewhere hotel move . on continue compain eventually put Mr. Mark Everton ( general manager ) magically discover new room 11th floor offer we grand sum $ 50 cash incompensation pay taxi airport next morning . time 12:30 .... g ) unbelievably , check 6:00am discover Hilton gall charge $ 50 room . waste 15 min explain situation desk clerk issue we credit note apology.h ) return UK discover Hilton charge we $ 50 honoured credit note . a FAX Mr. Everton yield result follow - up phone call ( expense ! ! ! ! ) fail prompt apology . to date yet receive credit ....... 
 Sep 10 2007 	 Service count 	 hotel look great surface . be clean ( unlike reviewer mention ) , modern , renovate . settle will fine many little annoyance . mention : bathroom outlet power , toilet flush work properly , coffee maker break etc . none big deal 4 star , recently renovate hotel , would expect . important problem build sound proof . window ' glass thin , leave window open . hear every little street sound . noisy area . sensetive city noise sleep , not even consider . noise adjacent room , street noise overshadow anyway . bed nice . shower great . room amall . main problem service . check late tell houskeepe run behind room ready . addition , request king bed say room double bed available . ask upgrade something ready , say nothing available . finally get room , wife diappointe view , call ask could least get bay view courtesy since king bed request . say since make reservation online , & quot ; low & quot ; priority able get anything well current room . find blunt customer servie 4 start hotel . final note , add $ 20 dollar room serive checkout bill , inquire ( couple time phone say look call back never finally person ) , say could find receipt waive . curious incident ! ... 
 Sep 7 2007 	 place hazardous health ! 	 place filthy ! empty wine alcohol bottle find top closet , use condom bed wall . ask change room tell none available . least send maid clean . closet door fall huge screw expose - could seriously cut . call front desk fix next day , never fix ! call second day request another room , tell thing . even offer upgrade . stay ! service , place fall apart , staff care safety . 
 Sep 6 2007 	 amazing view Great Location Fantastic People ! 	 stay two night Hilton end 10 day visit California . first , location pefect . edge Chinatown North Beach . Fisherman 's Wharf 15 - 20 minute walk get downtown easily . love room due modern furnishing amazing view skyline city . simply beautiful .. view worth .. especially upper floor . also , impressed staff . guy front bellstand / consierge always willing help we find get want go . friendly extremely helpful ... can not praise enough . we never eat anything hotel ( except sweet roll one morning ) lack pool hot tub even exercise room . mark , otherwise great place stay San Francisco . 
 Sep 6 2007 	 Hilton Financial Disctrict - Great Location ! 	 stay 7 night ( 8/29 - 9/5/07 ) get room Priceline $ 85.00 per night . Priceline consider hotel " Financial District " , though one may argue Chinatown . really think Hilton refer Financial District , Priceline well . either way , great location . car , comment parking / driving , although expensive . feel location make need car – husband walk everywhere . hotel offer shuttle airport , $ 26.00 per person ( plus tip ) . go hotel , cab cost $ 60.00 hotel airport . pro : great location ! cusp Chinatown , walk distance North Beach & amp ; Union Square . fantastic view ! give room view bay Coit Tower . know Priceline guarantee – lucky . book room old fashioned way , sure ask side hotel . well worth ! room décor trendy modern . general clean . conslow water pressure shower toilet . small spot mold bathroom . ceiling peel pant near window . slow elevator . use room key elevator get floor . stay 7 night hotel hold $ 1050 credit card incidental . call front desk amount lower $ 400.00 , struggle . loud , city loud general . hear people hall , hear car alarm car / truck / people outside . think loud matter stay city . overall , none " con " enough keep we come back . bidding room Priceline ( pay $ 100.00 per night ) , realize go get premium room hotel . hotel meet expectation would recommend other . 
 Sep 2 2007 	 Book high floor 	 stay long time ago , hope review useful anyway . location good , pretty central , would say 10 - 15 minute walk market street , Union sq , embarcadero , good restaurant , location OK . book high floor view bay Alcatraz fantastic . think pay pay 120 usd , price , , good . 
 Aug 30 2007 	 central 	 good service good room 
 Aug 28 2007 	 Wonderful Hotel 	 stay two night Hilton last week . location outstanding Chinatown start opposite side street . hotel excellent base hit Chinatown againa nd without worry parking . ( excellent Wok Wiz Chinatown go tour also start Hilton lobby ) . good tip hear view Bay Side hotel ( compare look back way ) excellent . therefore call prior stay request high room Bay Side . hotel happy oblige make think not ask stand great chance get bay Side view . view 21st floor stunning . room tastefully decorate felt & quot ; new & quot ; & amp ; trendy compare usual plain / average room . also free WIFI room service must good son say ridiculously fast ! not eat in - house restaurant Seven Fifty look appeal . Adjacent restaurant nice bar . enter bar pass shelf incase glass . within glass permanently burn fire come pebble nice look . please bar decent beer draft ( Anchor Steam ) . another tip use hotel valet expensive $ 42 day . public parking garage opposite hotel , Portsmouth Square Garage , self park less . fact , San Francisco two day stay elsewhere California . decide would not need car SF parking expensive challenge SF park Portsmouth Garage , check , immediately leave hotel , pick car ( $ 2.50 parking ) , drive & amp ; drop Avis Fisherman ' Wharf . remain taxi take stay , include airport , fraction would pay rental + parking charge keep rental car . all love stay Hilton Financial District question stay next time visit SF 
 Aug 27 2007 	 thin Walls 	 location great , decor nice enough , wall , agree thin could hear neighbor walk around . toilet flush real slow , like barely work . room seem rather small , think desk along wall take space . elevator irritate , enter key get room floor . not bad stay , definitly would spend money elsewhere future . 
 Aug 21 2007 	 Great Stay 	 stay Hilton Financial District . great hotel , staff nice good part playground park across street ! chinatown literally across street . everything easy walk . I not give five star room service menu limit , pool ( use one 1.5 year ago ) , gift shop / snack shop . bell service restaurant staff top notch . front desk staff friendly compare everyone else . view downtown window amazing . 
 Aug 20 2007 	 great location so - so hotel 	 review mention pool roof - closed . rust stain bathroom fixture , bathroom fan . staff spotty ; seem professional , seem like work Burger King counter . elevator incredibly slow - something never consider hotel , slow.but location good city . 
 Aug 15 2007 	 outstanding view SF skyline towards Coit Tower 	 necessarily obvious choice tourist much enjoy stay Hilton Financial District . location good middle China Town , within walk distance Little Italy close enough main attraction . room superb view Bay ( Alcatraz , Coit Tower , Bay Bridge , etc . ) . amenity good , certainly standard Hilton . need particular assistance staff , can not really comment , hotel seem operate well . overall , would certainly recommend . 
 Aug 14 2007 	 Nice Stay 	 book hotel hotwire.com $ 100 , definitely great money . room pretty luxurious great view bay . annoying part hotel elevator . 4 elevator always long line lobby go take long time get . ( maybe busy weekend maybe one elevator work ? ) location pretty good . right edge chinatown -nice visit little . walk Fisherman 's Wharf / pier probably 1.5 mile - get little long time . bus go front hotel $ 1.50 , cab $ 8 get waterfront area . hotel staff great ! ! helpful frontsWe not eat hotel restaurant , look nice . coffee shop lobby convenient . leave hotel : convenience store leave , chinese food straight , italian food american food right . there construction go hotel never bother . 
 Aug 12 2007 	 great stay Hilton Fin Dist 	 visit San Francisco first time family first week August . book Hilton Hotwire , already interested stay ' candid ' photo hotel room view Trip Advisor look great , location look convenient area want visit . pleased ' blind ' selection Hotwire Hilton . after read bit thinking , little worried size room family , include two young teen . call reservation desk hotel inquire upgrade large room , able additional fee . speak several time front desk reservation prior stay receive excellent service . the hotel room disappoint . many state , view ( least bay side ) SPECTACULAR . city view think good - good . decor room also nice ( 4 star opinion ) , nice bathroom , clean . we upgrade well worth . even dinner room evening ( take - out Tommaso 's street ) order enjoy view . our room large room 25th floor , King bed pull queen sofa bed . also kitchenette sink fridge use lot . bathroom large , nice walk shower - tub . we eat hotel ' club floor ' continental breakfast hor d'oeuvres serve 26th floor ( bfast little well typical Hampton Inn continental breakfast ) . use breakfast every morning free convenient . think eat ' 750 ' , many good option area . the location good give 's close walk location Chinatown , Union Square , North Beach , Coit Tower Embarcadero / Ferry Building . entrance hotel face Chinatown , side hotel face Financial District , 2 block North Beach . convenient cable car line California St , block away . there always lot people street around hotel , feel safe walk around time . block towards North Beach couple ' x - rate ' club . block easily avoid ( desire ) .my complaint hotel front desk concierge could difficult reach phone hotel . think could actually use second full time concierge . complaint management driveway front . totally control block extended period . drive ( rent car trip city ) , would recommend stop street rather pull drive get stuck . elevator busy , prepare quick draw room card necessary access floor . * * highly recommend anyone plan trip SF visit Forum page active helpful . a must Saturdays stroll Embarcadero Ferry Building Wharf . great time family . many suggestion Forum . 
 Aug 12 2007 	 Great Stay 	 extremely professional , courteous staff . excellent location , incredible bedding , great food restaurant . wonderful stay . 
 Aug 9 2007 	 wow ! room . view ! 	 really great hotel . first view spectacular -- Coit Tower foreground , Alcatrez leave slope Russian Hill Nob Hill leave . right bay Ferries . distance rise mountain . simply fantastic ! ( & quot ; bay view & quot ; room . obviously room view . ) location also wonderful . chinatown front hotel . North Beach start right Market Street Financial District leave . behind Embarcaderro . the room hotel decor stylish modern , give rather large hotel feel small upscale boutique hotel . room large , thoughtfully lay feel quite comfortable nice work space bathroom . love flat screen tv 's slide door bathroom . the staff fine , not food room service . I really enjoy stay -- bad one night . 
 Aug 4 2007 	 Best Hotel Room ever 	 stay hotel July 14th week . hotel completely modernise shiny new . style modern hip . book directly hotel book bay view room . upon check however bay view room avaiiable girl reception ask we wait check manager , return come back say manage get we room top floor hotel say would view bay . we aprehensive get room . amazing ! ! ! huge modern get french door lead balcony patio amaxe view coit tower entire San Francisco Bay . completely take breath away . room spectacular decoration fit finish , 32 inch wall mount t.v , marble bathroom incredibly comfortable bed lovely clean bed linen . even complimentary bath robe ... stay really incredible service staff fantastic , attentive would expect Hilton . would stay hotel minute could reccommend highly enough anyone . location wise 10 minute walk Union Square 20 min wharf .. 
