view 	 grand hotel . size current standard , ' high location result view provide . hotel host US president Hoover Ford , earn status top hotel San Francisco ~40 year . the hotel maintain classical elegance , keep good balance old look modem functionality . unbeatable feature hotel view beautiful San Francisco city . stay room 12th floor face Union Square ; view room already impressive . although many people afford set foot presidential suite 18th floor , one ' need rubber bank spend couple hour Top Mark restaurant top floor building . near 360 - degree view good part San Francisco city really breath take . may convenient hotel business traveler . hotel locate top Knob Hill . street lead towards hotel steep bus line go . form public transportation serve hotel cable car , tourist attraction reliable transportation . parking space limit cost $ 55 day park . besides , convenient go place city like San Francisco driving . taxicab easy find rush hour many cab want cruise steep Knob Hill spot available cab stand . hotel provide complimentary transportation service financial district union square district weekday , first - hand experience . ideal hotel tourist fit enough climb couple hundred yard steep hill . hotel serve three cable car line , take Market Street , Van Ness Ave , Fishman ' Wharf , Ferry Building Ghirardelli Square . 10 - 15 minute hill walking take China Town Union Square . cable car crow early morning dark . even busy hour , California Street cable car less crow , case one need go back hill afternoon take rest . major part enjoyment stay Mark Hopkins visit Top Mark restaurant bar , , ever - change San Francisco weather cooperate . opinion daytime view well nighttime one . extremely luck stay : marine layer clear strong wind early morning , bright sunlight illuminate Grace Cathedral building low angle , clear blue sky Golden Gate Bridge back drop . million dollar view we stare enjoy breakfast . ' high expectation food , turn much well expect . OJ good ; coffee ok ; fruit fresh plenty choose ; pastry good . top usual suspect hotel breakfast buffet , array cold meat , 10 kind cheese variety smoke salmon choose . even several kind chinese dim sum respectable quality present bamboo steamer , remind people San Francisco hotel . price breakfast buffet reasonable $ 28 per adult , $ 17 per child 12 year old . thing strange bill 15 % " service charge " another 15 % " service gratitude " . since total bill inline expectation satisfied view , ' bother ask two service item bill . thing cross " tip " line bill . little bit outrage ask tip charge 30 % service already ? give 5 value get good deal , probably bad economy . 
 Oct 21 2007 	 nice hotel steep price steep hill 	 hotel repute San Franciso # 1 . one , location , right top Nob Hill , beautiful . however also big drawback ... walk back hotel steep , long tiring ! unless drive ... room big , beautiful , clean ... nothing unexpected Mark Hopkins . the decor , lobby , etc grand . staff quite helpful . room pricey though . when Mark Hopkins , sure check famous & quot ; Top Mark & quot ; restaurant . great ambience , wonderful view , exquisite dining experience . to honest , would not stay , walk hill . cheap alternative , Hotel mayflow two street , third cost . would able walk two street along hill Top Mark , course ! 
 Oct 17 2007 	 excellent hotel 	 town medical convention stay Mark Hopkins three night . impressed overall elegance property . hotel thing would expect first class hotel . nice bathrobe closet without ask housekeeping . room make first time , come back find toiletry neatly arrange towel shelf - excellent service . location great - plenty great view . convention shuttle service Moscone center , cab ride take back hour reasonable ( $ 8 include tip ) . walk Hilton back hotel lot hard estimate . the front desk staff helpful . problem check bag last day check still conference attend . 
 Oct 16 2007 	 Nice Hotel 	 nice hotel & amp ; definitely enjoy stay . room lovely & amp ; partial view bay building . nice touch throughout ! notice several review state hill hotel . know SF lot hill totally underestimate huge hill really . will not want walk times assure ! bellman wonderful one concierge . concierge & amp ; act bother ask sightseeing question . top Mark beautiful & amp ; wonderful place drink . unfortunately Friday night dining experience bad . service Hostess area Servers amatureish & amp ; awful . bad become humorous . food much well either . unfortunately one ever come ask we thing & amp ; wait staff obviously inexperienced & amp ; overwhelmed tell would fruitless . good advice learn $ 220.00 + lesson & amp ; avoid dinner . 
 Oct 15 2007 	 First Class way . 	 third stay hotel . stay one two uneventful second stay 2005 . difference . staff , think rude unattentive 2005 , incredible . put test ! Ambassador member InterContinental service well ' ve west coast . room low floor , number one Nob Hill , everything view ! hotel guest get virtual no - wait table Top Mark , access small - but - well - equip gym , quick valet parking fee irreplaceable concierge . two note ... would like bell staff / door staff number increase . not enough folk around help we luggage greet us door friendly & quot ; welcome back & quot ; & quot ; get you . & quot ; second , little knowledge would go long way know Ambassador member , free access club floor lounge not need pay Club Intercontinental , available hotel guest fee , Ambassador Priority Club member . overall , comfortable place call home three night stay . 
 Oct 14 2007 	 two star service five star price 	 hotel beautiful location , convenient cable car Russian Hill . well - know fabulous Sunday brunch & quot ; Top Mark & quot ; . Top Mark clearly post cell phone policy . unfortunately , brunch spoil loud , lengthy cell phone conversation . make cell phone call annoying conduct general manager hotel , Jean Francois Gatti . one point , get move close table close window get well reception . brunch fantastic -- incredible array food , well - prepare . while hotel mean ripoff , not think would return . room oddly arrange ( bathroom door right foot bed ) , despite make reservation well advance , could not king bed . hotel offer ton amenity ( sauna whirlpool , example ; airport shuttle ) . check Fairmont right across street seem much nice slightly money . 
 Oct 14 2007 	 great place 	 stay hotel one week great time . room comfortable keep standard hotel . bar / restaurant top , call Top Mark fantastic view city . dine number time great meal atmosphere , albeit service may seem little slow busy time . weekend night live music fantastic , there s dance floor make good use . although budget getaway worth treat magnificent view . top Nob Hill walk hill get cab back . doorman bell boy helpful . car parking valet usual cost SF hotel . there dress code restaurant evening . 
 Oct 8 2007 	 great place stay SF 	 great place , great location , top line everything ! ! 
 Sep 25 2007 	 Good Bad ..... 	 overall , stay IMH pleasant one not think would stay return SF . will start good point . as far location , be really nice part city not feel uncomfortable touring neighbourhood evening . upon arrive , doormen bellman courteous quick get settle . lobby elegant old time charm . ' ve read review staff rude little snobby side not experience . however , guest interact obviously leave manner home vacation ! far room ( stay deluxe ) not anything tha deluxe . guess call deluxe view ' bad fog not . however , not go book online use be get well deal . room clean , bathroom decent size . plan order room service expect pay price . arrive late inconvenient venture force order hotel , expensive burger . helpful checkout get boarding pass we go airport also helpful arrange cab airport early morning . really & quot ; bad & quot ; thing say be walk back hotel prepared get quie workout . be able wait around cable car absolutely walk 's good health mobility issue . also think would stay somewhere close Union Sq . shopping . spend time inereste venture uphill grab travel pass use either bus cable car be . 
 Sep 17 2007 	 disappointing 	 call Hotel directly book room , impressed delightful agent call reservation 's manager compliment staff 's professionalism . too bad Mr. Douglas could take call problem . I rudely dismiss young man Concierge desk leave without show around carry luggage room . pay extra ' high ' floor view still wait hear Hotel clarification floor level / room rate . and $ 60 two , addition $ 30 per guest use Club room , yet single occupant must pay $ 40.i never receive phone message call clean glass . guest 5 night , yet 2 small drawer put clothe . positive side -- bed extremely comfortable spite top sheet hole big enough put fist . return San Francisco November stay Fairmont , stay many time never disappointed . 
 Sep 13 2007 	 Nice do not bank Ambassador benefit club lounge 	 stay Platinum Ambassador status , get upgrade , disappointed meant room 7th floor do not give we kind view hope . pay club lounge access day , feel waste facility not good ( private enough - within view check -in ) snack poor short supply , alcoholic drink unavailable day . 2 computer break keyboard , could get one ...... Top Mark lovely , book plenty time , one sit book well advance . expensive , food wonderful view . Overall Mark Hopkins ok , come SF , book new one building downtown . sorry , intercontinental standard time . 
 Sep 6 2007 	 great city spot 	 love Mark Hopkins . great location , beautiful hotel , amazing staff . wish not wait enjoy drink & quot ; Top Mark & quot ; busy night ( even not want / need table ) .decent fitness facility need pay small fee use nearby Club one . 
 Sep 3 2007 	 nice elegant hotel 	 book room via p - line one day arrive short get - away night City . location tippy top Nob Hll , mean serious downhill walk Union Square China Town ( anywhere ) even serious walk back hill . however , room great view . 6th floor room comfortable feather top bed , large bathroom , nice tv , desk , etc . internet $ 12.00 per day ( come on ! ) staff friendly . room clean . open window 6 inch let wonderful fresh air . sleep open , ready sound city , San Francisco mean least two siren per hour ... night . could also hear taxi whistle busman late night first thing morning . taxi whistle not bad , siren wake even heavy sleeper . room coffee maker , also free coffee near elevator lobby get early enough . bathroom large , tub one . lack counter space , surprising almost fit another bed bathroom extra space . small table bathroom would helpful keep place & quot ; stuff & quot ; floor . bar top hill & quot ; experience . & quot ; 100 different type martini 's price $ 12.00 . beer $ 6.00 . service excellent view breathtaking . arrive 9:30 15 minute wait . seat next window drink . thirty minute later wait 45 minute . parking anywhere City pricey . look spot street find one across hotel , beware street clean . like time use p - line , happy hotel . full price , quote $ 189.00 taxis / fee , still nice place stay . 
 Aug 28 2007 	 Excellent Hotel 	 definitely unexpected surprise first trip San Francisco . originally book hotel rating upon review ( booking ) find several bad review TripAdvisor . 's apparent people give bad review obviously expect & quot ; lap luxury & quot ; -type stay . Mark Hopkins luxurious hotel , top Nob Hill ( expect ) long walk major incline expect . perhaps previous reviewer do homework . extremely nice hotel much worth pay , would stay recommend numerous time since . excellent location superior service . complaint front desk associate night check would allow we extend stay , believe , pay discount rate . unfortunately , prepared pay double original rate , bad . let go lol , lose sale amazing hotel . 
 Aug 24 2007 	 fabulous stay love location staff great view amazing 	 stay three night deluxe room eleventh floor fantastic view city ( whenever Marine Layer lift ) . staff friendly professional , especially lady th Executive lounge . breakfast Top Mark enjoy 360 degree view city . also go drink night . one hundred martini ! location top Nob Hill without doubt good town . room tastefully furnish feel comfortable home . bed great . 
 Aug 16 2007 	 beware hotel 	 Mark Hopkins Intercontinental look good conveniently locate , 's amenity end . first , practice bait - and - switch we , promise we one rate , include free breakfast , claim ignorance promise check . late arrive , decide go elsewhere . later attempt correct error , rudely dismiss . addtion , upon check - out , informed have purchase bunch pay - per - view movie game never even turn tv stay . imply lying . want stay Nob Hill , go across street Fairmont instead . Mark Hopkins staff rude , unresponsive , dishonest . never stay . 
 Aug 15 2007 	 ok old fashioned - good way 	 set stay Sf 6 day want somewhere nice base . friend recommend Mark Hopkins book . on check - in , told & quot ; upgrade & quot ; business room . however , mean room big pointless fax / printer ( usb connection , pretty useless ) free internet access , wonder exactly & quot ; business & quot ; -like it . view 5th floor ok , room front building , could hear tram doorman whistle cab day long . single glaze window shut properly great ventilation ( need aircon ! ) lousy block noise . my room opposite lift next ice machine - also make noisy stay . bathroom - poorly lay infuriatingly shallow american style shower bath . realize Americans prefer shower , want bath actually soak enjoy . either put proper bath not bother - put good shower stall ! ugly marble luxury bathroom make . low shower pressure - also hear another guest complain , problem room . bed comfy , apart noise , decent night 's sleep . general service - standard ' m afraid . late riser , must cause havoc housekeeping , manage change bed day eventually leave , no - one ever get around restock minibar . I consider check early move different hotel , pre - pay order get well internet rate . doh ! want avoid hassle confrontation , stayed put . in summary : great location , old fashion without charming . expect hotel ranking . 
 Jul 23 2007 	 elegant great view 	 wife stay lot company tag along time time . always amazed quality room view window . not good location world walk SF , afford nice room , wonderful choice . we , however , walk SF get little wind way back , since one , high point sf.i can not say lot normal room , since get suite , living room , dining area , usually bed / bath , say suite stay excellent . lush fabric granite counter norm . if pay room , would likely stay somewhere else , since company buy block room , happy stay . 
 Jul 20 2007 	 nice stay 	 stay 5 night July business . book via Priorityclub.com usual , problem . nice deal include parking ( $ 45 / nite ) breakfast Top Mark every morning ( $ 26 / person / day ) . upgrade corner room upon check - in . room : nice clean ; great bed ; bathtub could big / show water pressure could improvedinternet : LAN connection - nice stable throughout stayhousekeepe : friendly flexible needsbreakfast : full american breakfast buffet ; food nice service good ( could hear staff yell ) concierge : helpfulvalet parking : slow ( take 10 minute average ; sure call room advance ) overall : great place stay not mind hill 
 Jul 10 2007 	 Excellent customer service romantic charming hotel 	 stay one night room 11th floor . room small , well maintain . problem bathroom , though . floor hair also amenitie kit use . ( cotton swab packet , originally seal , open missing swab . ) contact front desk immediately send crew include front desk manager , housekeeping supervisor clean person . way say would clean time return . come back , leave bottle champagne , chocolate cover strawberry , nice note apology . room spotless . ( new amenity kit problem cotton swabs open oh well . ) impressed . bed room comfortable clean . duvet cover clearly freshly replace look like guest 's stay . hotel old charming wonderful bar top floor ( Top Mark ) band dance lot fun cocktail . view unbelievable . great romantic hotel . concierge great able pull string get we reservation Boulevard unable . great location , right cable car line within walk distance Union Square , lot great shopping . easy get taxi . parking expensive ( $ 50 ) internet room $ 13 . classic San Francisco landmark would highly recommend kind stay SF . 
 Jul 10 2007 	 Superb Hotel 	 stay way QM2 . superb first class hotel nice view top hill . trolly outside Fishermans Warf . one would expect horel address Nob Hill ! 
 Jul 9 2007 	 old - style snobbery 	 San Francisco last minute trip week stay Marriott comment cheesy jukebox architecture fabulous price location - service also fantastic snobbery give book priceline think incredibly good value rate ( 80 usd / night ) .unfortunately weekend trp Las Vegas , Marriott fully book book last minute online - pretty expensive anyway , since manage bid room usd200 without know hotel . ( afraid can not remember site , priceline though get Marriott ) end get Intercontinental Mark Hopkins - promise full old - world charm plushness . what disappointment . hotel quite inconveniently place - 's quite steep walk Market Street , really kill snobbery staff . check , manager reception literally throw credit card back desk back ( get last minute rate ? ! pay usd 200 night anyway ! ! ! ) sooo impersonal . boyfriend even though boyfriend stand right next , actually ask & quot ; person & quot ; need key . good grief . think , maybe be particular guy , next day check settle bill breakfast charge incur business centre , , card get flick back ... room decent , clean , nice view ( since hotel hill ) nothing special , bathroom little date . smile , & quot ; nice stay ? & quot ; - never go back hotel . compare Wynn Marriott stay staff simply wonderful , hotel actually cost less . exception though porter really kind old man despite we leave small tip coin ( boyfriend lose wallet small change check ) extremely sweet still ! maybe porter remnant must great hotel . 
 Jul 1 2007 	 Beautiful View 	 's top hill , across street Grace Cathedral . view spectacular room even top hotel ( bar / restaurant ) . staff friendly helpful . although , knowledge staff come advice not great . however , would depend ask ! would stay , would probably prefer central place . 1 block trolley pickup head Fisherman 's Wharf , Chinatown . ride ( $ 5 piece ) decide $ $ , take taxi . 
 Jun 20 2007 	 enjoyable stay 	 stay hotel 4 night priceline $ 115 night May , big convention town , get great deal ! Ambassador member Intercontinental , even though book Priceline , still get upgrade ! ! book hotel website , would cost $ 400 night ! hotel locate Nob Hill , 10mins walk Union Square downhill , steep hill , get taxi ( $ 7 ) go back hotel every time . room service promt excellent . I use internet room $ 15 day , reception not good . staff great , bell - hop greet every morning , return would say & quot ; welcome back ! & quot ; overall , would recommend hotel $ 180 cus there s alot choice w/ well location Mark Hopkins . 
 Jun 13 2007 	 Hotel view ! 	 San Francisco several time last year business usually stay W Clift assign company little skeptial stay old hotel top hill ... however , pleasantly surprised find hotel amiable , well maintain hard get taxi . 's world apart W Clift since loud abnoxious party scene two hotel . - 's family hotel rather party hotel ! room exceptionally big standard CLEAN ! bathroom size bedroom home good stock cotton swab ! ! every room absolutely amazing panaromic view downtown San Francisco look leave room every morning work . hotel staff friendly informative ( manager get snobby reception clerk checking since stand next - random ! ) key contain inside map local area . hotel also old world charm absolutely adore ! ' ve ask leave message colleague , concierge hand piece hotel stationary paper matching envelope write message promptly put envelope old hotel wooden mail slot behind tell hand delivery ! 's usage modern technology human touch hotel really amaze . negative thing say be really hard walk almost 75 degree hill unless extremely athletic mind sweat , try walk Union Square back hotel 7 block away drench sweat change clothe ! 
 may 16 2007 	 nothing smile 	 stay wife 3 night . overall great experience geat city . previous poster make great point homework prior book trip San Fran . the hotel top Nob Hill walk hotel mostly uphill . however , walk location fine walk downhill . hotel offer limit courtesy transportation - well worth . cab ride scenic area cost less 7 buck . we get hotel $ 140 per night hotwire.com . well worth price . staff attentive helpful . clean well appoint . room little small - comfortable . I stay . 
 May 15 2007 	 Mark GREAT ! 	 bite nervous hotel reading review , pleasantly surprised write good review hotel . I book hotel trip San Francisco thru Priceline 115.00 per night ... steal since several convention city week . may 7 - 11 , 2006 . treat well staff Mark . concierge helpful , everyone greet we smile , bellhop , driver , etc ... top rate friendly . room great ! get corner room great view . bed soooooo comfortable clean . great air heat system room well light display & quot ; disturb & quot ; & quot ; please make room & quot ; .I would recommend highly recommend hotel . 
 Apr 28 2007 	 Thumbs round ! 	 couteous , friendly effcient staff . check - in great - we arrive couple hour early give room immediately - without even ask . fly Australia , much appreciated . room spacious clean , although bathroom small side . concierge arrange tour book we efficient helpful . one thing downside hotel locate hilly part San Francisco , venture eat always least 2 block steep walk return hotel . not rely cable car pull hill ... always full come impossible get ! number eatery vicinity include Mexican , pizzeria Loris ' diner extremely good value . we would certainly go back hotel next San Francisco pleasant time . 
 Apr 23 2007 	 touch style 	 stay Mark Hopkins three night March pleasant stay . room well appoint maid service first class . expect tiny room read review ( particularly book hotwire pay $ 109 night ) room spacious enough city centre hotel . staff helpful could not rerally ask much & amp ; would certainly recommend other stay Mark . 
 Apr 16 2007 	 elegant hotel good service great breakfast location 	 stay Mark Hopkins four night April , enjoyable stay , . entrance lobby hotel elegant . service check - in ok . receptionist effective , bit attentive friendly . general , however , pleased service hotel . many former reviewer complain wait long time elevator arrive . never experience problem , however . our room , deluxe corner room , eight floor quite nice good view northern part city . difference size classic room deluxe room quite minimal , however . ( parent - in - law brother , also stay hotel , stay classic room ) . usually deluxe room well view classic room . bath room also nice . include large tub little son enjoy much . knob shower , however , tip - top condition . night arrive , wife want take shower , use type knob , pull wrong direction , result knob braking . could clearly see glue inside knob first time happen . front desk immediately send plummer fix problem , however . negative aspect room quite poorly sound isolate , many other point . could couple occasion clearly hear tv program neighbour watch . nice surprise breakfast serve Top - of - the - mark , bar top hotel fantastic 360 - degree view city . service , quality range food serve also good . location hotel opinon , perfect . top Nob Hill , room good view . take five minute walk Union Square Chinatown . nice park , Huntington Park , 50 meter hotel , also child ` playground . 
 Apr 11 2007 	 continue Outstanding 	 wife come San Francisco infrequently , - maybe every 3 year - stay Mark Hopkins . staff service outstanding . 
 Apr 11 2007 	 Disappointing 	 read review TripAdvisor , prepare problem encounter Mark Hopkins still hope good experience . like reviewer , disappointingly small room tiny bathroom , main issue noise . like reviewer room interconnect door next room , increase transfer noise loud enough come wall - could hear every conversation ( 3 a.m. argument ) fellow guest . little thing also disappoint : fray bath towel , closet door open fully bed , view financial district promise . $ 220 good enough ; old hotel trading reputation reality . 
 Apr 8 2007 	 Royal Ambassador stay less average 	 Royal Ambassador ( high level priority club ) expect Jr suite upgrade . luck even speak front desk last stay . seem linen service suite weekend . hard believe every room affect .... room price high hotel date . parking Ridiculous $ 55 . Internet Service $ 12.95 plus tax ... another disincentive . also Sunday paper deliverd .... even Royal Ambassador .... let buy copy front desk .... however deliver room .... bad service . would stay unless could confirm suite adavance wise room small outdated . oh yes do not lose bill check will not fax copy without write request . nice service .. ! 
 Apr 2 2007 	 wonderful stay 	 read horrible review almost cancel stay Mark Hopkins . glad not ! hotel beautiful . yes , room bit small , historical 's build . find decor tasteful service fantastic . stay club level pay cocktail hour , dessert presentation breakfast . love location fabulous view . find price reasonable ( $ 289 ) consider pay $ 300 hotel Union Square without club level . also , Union Square cable car ride away . definatly stay . 
 Mar 25 2007 	 Worth price 	 lobby grand Top Mark must see , room not really luxurious number boutique european - style hotel Union Square , third cost . 
 Mar 24 2007 	 Tired Hotel - outdate 	 tired outdated hotel live former reputation . good value money . drab decor poor quality linen , etc . every turn 2.5 start well . spend money wisely W even Omni downtown . 
 Mar 22 2007 	 top game 	 first , warn people enough difficult life become location . go three really steep hilly street reach Union Square . take cable car , crowd cable car huge . hotel 's store miniscule overprice . room , decent , stay low floor , sleep 1:00am-6:30am cable car run . would problem hotel price Courtyard rate . luxury hotel , ridiculous . 
 Mar 13 2007 	 Lacking Service 	 second stay Mark . stay corner suite long - weekend late Janaury . service lacking - concierge bell service . room fine - pricey get lack thereof . elevator line long . not get room near elevator . top Mark experience - view - drink price high , expect . lot dine within walk distance - top hill . view great upper floor room . need get cable car cab dinner . low room get cable car vibration noise . check - out line long , staff really task front desk come speed . Saturday , try market Ferry Building . 
 Mar 12 2007 	 scratch ! ! 	 quite disappointed overall hotel . certainly good representation Intercontinetal Hotel . room drab , awful colour terrible cheap tacky bedspread curtain would even close properly light come room morning wake . small adequate bathroom shower well ! Breakfast Buffet $ 25 plus tax tip ! ! ! husband neither eat big breakfast cereal , fruit , juice / coffee ridiculous pay $ 60.00 ! would even offer al carte ask explain do not want can not eat full buffet breakfast ! anyway eat GREAT breakfast place street call ' Sears ' fine food popular place , oatmeal banana maple syrup coffee husband french toast strawberry orange juice total bill $ 23.00 food good quality ! $ 65 use club roon total rip . ' Top Mark ' quite tacky touristy sophisticated , romantic classy ! experience similar hotel bar restaurant view Japan example ( 80 floor high ) amazing ! ! ! choose eat hotel menu limit nothing grab fancy eat great restaurant include ' Anzu ' Nikko hotel couple time food delicious especially ' Fillet steak ' wasabi / mustard sauce sweet potatoe . ' roy ' always great ! hindsight wish stay ' Nikko ' hotel smart decor ' l.c.ds ' room also swim pool , either W hotel we next year ! 
 Mar 6 2007 	 great hotel ... 	 spend week Mark Hopkins Hotel end February really enjoy stay . old hotel character go along hotel build different era . wall thin , room bit small , ventilation bathroom place exude history . staff friendly , need , knowledgable . never bad meal restaurant recommend . climb back hill dinner let we eat well ! top Mark fun place cocktail dinner may find bit over - price . central tourist site real bonus . yes , hill steep workout . quite enjoy challenge time day . I would certainly recommend hotel friend family long aware idiocyncracie . 
 Feb 26 2007 	 Nice Staff - Great Concierge 	 return Panama 6 day vacation two son . first time visit hotel enjoy every moment stay . access Club Lounge well stock day long , nice breakfast , drink , wine , champagne , etc . enjoy much staff Club , polite every detail order make feel well . concierge also nice . recommend hotel mostly adult , noy much family hotel , bad thing , location set orient towards adult . 
 Feb 8 2007 	 would not stay 	 husband spend day honeymoon Mark Hopkins . hotel impressive staff helpful , room pretty bad . looke like not renovate quite . location Mark Hopkins also bad be spend time foot . distance alone close many attraction area , since 's top hill , must either get good workout travel cable car . say Top Mark excellent , however . later find dad actually take mother honeymoon . 
 Feb 8 2007 	 typical InterContinental 	 hotel nothing special . 's review reputation base tradition reality . arrival , noticed professionalism courtesy doormen concierge . unfortunately , lobby guest room impressive . sheet bed poor quality , housekeeping staff tuck top sheet tightly bottom sheet . result ball lump sheet soon crawl bed . bathroom clean , unimpressive . note hotel top Nob Hill , prepare either climb descend 45 degree hill every time want go anywhere ( fork money cable car pass . ) fall Top Mark gimmick . view nice , drink worth half $ 12 tariff . legend break hearted lady weep corner deploy soldier boyfriend overcome inherent cheesiness joint . grand wooden bar would expect . instead , Top Mark generic open - space force lounge lifestyle 270 degree view great city ( 360 degree view advertise . ) unless get great deal hotel , recommend look elsewhere . 
 Feb 2 2007 	 average 	 hotel average deserve reputation . hardly lobby speak non - existent atmosphere . room DRAB , sheet poor quality bedspread polyester blend . whole place read tired . also , wall paper thin . & quot ; nominal & quot ; fee ( word use ) use first floor club room $ 60 per day . regret staying wish stay W , Omni somewhere else . spend money wisely someplace else . 
 Jan 7 2007 	 good hotel devote cash extraction 	 Mark Hopkins , top Nob Hill San Francisco , good hotel spectacular view . be even well Top Mark bar , though not go . might go , champagne brunch $ 59 -- 's right five nine -- dollar per person . price reflect unseemly emphasis cash extraction Mark Hopkins -- $ 60 use club room , $ 51 park ( need car -- not one ) . unlike many historic hotel , be almost free public space . even set bottle water room , mark $ 5.95 , pretty tacky hotel & quot ; cheap & quot ; room cost $ 200 . leave bad taste detract experience . room pleasant enough ( though nether historic artistically design , though nice photo wall ) , great view Golden Gate Bridge . central San Francisco location another building adjacent , Mark Hopkins not , maximize view . the king bed big acceptably firm , darkness ( lighting ) adequate . W eclearly hear cable car outside 15 floor , not bothersome . bathroom modest size well - equip , though tub not look great taking bath . somebody raise issue hotel 's 3 elevator cause wait , not problem we . location good get North Beach , Chinatown , Russian Hill restaurant , Union Square . many location block away , people aware be steep hill hotel . flatter Union Square , hotel like Nikko , might convenient plesant . 
 Dec 26 2006 	 Wrap SF trip around good hotel 	 go 7th wedding anniversary . book hotel flight end plan time around . know hotel would highlight trip . posh 5 star service include free limo ride hotel center SF normal business hour . decide rent car rely cab limos . limo ( usually wait time 10 min ) handy knowledgeable driver . concierge service also top notch give we great tip interesting attraction ( traditional Fisherman Warf ) helpful ticket . hotel offer ' president club ' ( think ' name ) $ 30 per person per day use club laptop w / internet , tv , game , fireplace . serve delicious self - serve breakfast ( lox , delicatessen cold cut , fresh pastry , cereal ) , afternoon tea evening cockatiel . also light snack variety non - alcoholic drink ( bottled ) think day . also feature special concierge ( wait line well service ) variety newspaper . everything include price . like nice breakfast morning run door find club great feature . room nice deserve special note good mattress see hotel soft luxury bedding . hotel locate top hill view magnificent high - floor room . famous ' top mark ' restaurant top floor . location wise think ' good neighborhood want see walking distance ( lady hill SH hill steep ) . 
 Dec 8 2006 	 one good city 	 gem hotel gem city . atop Nob Hill , excellent view make San Francisco wonderful . short walk China Town , Financial District Union Square . room old world charm 's hard match . top Mark truly unique restaurant . breakfast buffet way overprice , consider view ! complaint bathroom small . I chuckle review praise view critical hotel 's hilltop location ! 
 Nov 11 2006 	 fall love Mark Hopkins ! 	 love stay Intercontinental Mark Hopkins Hotel ! room amenity great ! club lounge excellent ! location great ! staff excellent ! mini home away home week . although , be top hill Nob Hill , walk hill Mason California street crazy , will great leg muscle afterwards . make sure bring walking shoe ! thing disappoint ability go Top Mark . lot private party schedule stay unable visit . definitely plan stay hotel ' m San Francisco . 
 Nov 2 2006 	 Complaints 	 Hotel ok . room spacious , decor little stuffy color scheme could use update . basically , average hotel ... could anywhere world . convenient trolley . easy 7 block downhill walk Union Square Market Street . Restaurant Top Mark great . breakfast buffet enjoy panoramic view city - even Alcatraz ! 
 Nov 2 2006 	 still one good 	 great choice gracious hotel central location Union Square . five Star service friendly greeting front doorman , speedy check continue throughout stay . room clean well care plenty room two . ask extra hanger another luggage rack drawer clothe . take time enjoy visit Top Mark wonderful view city sunset . . . not ' e San Francisco ? leave rental car airport . . . expensive park garage overnight difficult drive hilly street San Francisco . take Trollys inexpensive cab instead . 
 Oct 30 2006 	 Club Level extra add great touch 	 second stay intercontinental , time opt Club level room . truth , room lucke upon first stay much big well view , unhappy time . the room modest size , king - size bed one would gladly never leave . great quality linen , comfortable . bathroom attractive nicely functional . but really , 's perk courtesy extend Club Level make price worthwhile . spend good bit time Club Lounge leisurely breakfast early evening cocktail . call continental breakfast , array fruit , cold meat , cheese , pastry , cereal put many breakfast shame . similarly , evening cocktail offer choice several wine ( not explore spirit beer ) enough food good dinner . other courtesy attention good care similarly evident . , yes , pay , two night end deliberately fine vacation , still feel like great treat . 
 Oct 24 2006 	 Great experience -- book Club Level ! ! ! 	 currently stay Mark Hopkins Intercontinental 2 1/2 year old . everything wonderful , check - in staff doorman . STRONGLY advise pay extra book club level , though . : book internet pre - pay option . club level 30 dollar per day extra . worth money four - fold . reason : private Club Lounge lobby table , couch , large tv , water bottle , soda , snack . there food available Club Lounge 6:30 10 pm . Continental Breakfast ( include import cheese , smoke salmon , bread , berry , etc . ) , Fruit Snacks day , Afternoon Tea ( cake scone ! ) , Cocktails Hors d'oeuvres evening ( premium brand champagne ) , cookie sweet evening . could actually eat lounge never spend penny food . lounge also locate kiddo watch California St. cable car come go . the good room give club level member . room leave Club Level check , upgrade junior suite 12th floor . hear occasional water pipe noise , noise adjoining room , etc . free internet club level member . attentive service . complimentary overnight shoe shine service . send Clarks clog fun . complimentary press 2 item per day . so see Club Level pay . highly recommend it . with regard & quot ; big hill , & quot ; yes , Mark Hopkins big hill will not want walk back direction . advice take cable car . buy 3 day pass California line cable car stop right front hotel . trouble get daughter , even laden Chinatown purchase . this one good hotel experience ' ve ever . far cost much , look bargain San Francisco wrong destination . 
 Oct 23 2006 	 great stay - crack ! 	 since one colleague swear hotel stay every time go San Francisco , thought would give shot . tell , walk door , impressed . nice lobby , good service outset . get lucky one club room . say , room quite expect . clean comfortable , admit , little small have hope . concern fade away walk bathroom hall discover private , rooftop solarium view city . absolutely spectacular . recommend bar / restaurant top floor ( aptly name Top Mark ) . cheap , great place buffet breakfast , dinner , drink friend . 
 Oct 19 2006 	 Overpriced . 	 decide stay Mark Hopkins 3 night October 2006 . terrific review tripadvisor quite excited ! check slow , confusing , clerk overly friendly . arrive room shock could hear everything go room around we . someone else 's alarm clock wake next morning 6 ! room service food often overly salty , sparse , do . order dinner twice give food salty even want finish it . when spend $ 350 / night would hope internet service free not . this hotel historic beautiful , include amenity . spa , pool , etc . we tell book hotel complimentary town car service train station etc . however , try use town car service tell available weekend . pay exceptional amount food , internet , parking , feel recieve exceptional service . when request extra soap , towel housekeeping take 30 minute deliver . the service exceptional , staff seem bored , lack customer service skill . win point hotel 's beauty location . 
