beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Jan 8 2009 	 Lied ! 	 Oct 23rd 2008 book 2 room concierge level suite good negotiate rate $ 399+taxe . I concern e mail confirmation say & quot ; King Bed Concierge Level & quot ; phone question tell , & quot ; not worry Sir 's way print , reservation suite discuss & quot ; .On the7th Jan recieve e mail offer cut price upgrade investigate find suite upgrade offer I . I phone Waldorf speak without rancour have obviously make mistake . no mistake , want extra $ 150 per night . I point $ 399 rate actually rate king bed concierge level available internet would not budge . I ' ve cancel achieve good deal Sofitel report later . 
 Jan 7 2009 	 classic beauty 	 main entry reflect elegance time go by . we Hilton Diamond member use Hilton Award celebrate special anniversary . room newly renovate corner room low floor . heating system work perfectly . room large boudoir adjacent well sized bedroom . bathroom marble stud gem . location Waldorf perfect tour NYC . theater district , MOMA 5th Ave shopping locate close enough walk quick cab ride . oscar , wonderful breakfast place low floor hotel , long perk Diamond Gold member . starbuck new breakfast benefit . starbuck locate base hotel . good , bring food hotel want sit breakfast . Sir Harry 's bar cozy place go drink . order champagne glass . diamond desk staffing problem . second time year excessive wait get register . someone Diamond desk problem staff alert hotel management additional help need take care Diamond member . get beautiful room please . house keep staff beautiful job keep clean . exceptionally friendly courteous . 
 Jan 7 2009 	 well visit stay 	 husband book surprise three night stay NYC Waldorf pair we . hotel breathtaking upon entrance definitely worth look around beautiful regard bar / restaurant / lobby etc etc . however room disappointing . whilst appreciate hotel old , room give small ' fade ' even though pay upgrade . addition right next service area noisy 5.30am ! request move arrive Xmas night tell hotel full would offer well room next day 3 pm . return move thing time disappointed find room ready hang around , bit annoying return hotel move thing think could freshen rest c ould ' in limbo ' room . give well room yes nice part build ie quieter yes big size pretty much way ' tiredness ' room make sense ! overall love New York spoil stay certainly would not pay money husband stay cheap hotel much well accommodation New York see / hear . ( fifth trip NYC ) make time visit Waldorf even drink Harry 's bar ( albeit expensive good Apple Martini ever ! ! ) worth trip treat museum visit rather somewhere choose stay . 
 Jan 2 2009 	 retrospective 5 stay 	 last decade wife stay Waldorf = Astoria 5 sepatate time , Christmas week . experience accomodation category executive room tower king one - bedroom suite main hotel . much surprise , never recognize repeat client check . hotel frequent , well room routinely give return client . experience Waldorf . overall , never unacceptable experience ( standard ) . one stay tower remember mostly rude unhelpful tower staff . room expereince main hotel hit - and - miss postives negative . term room alone , good experience assign corner suite high floor . suite spacious basic decor classic . yet , furniture break ( bedroom ) back literally fall nightstand . wall paper parlor waterstaine bubble around window . mention case specifically typical 5 Waldorf expereince -- mix postiive negative find acceptable ( least tolerable ) other judge totally unacceptable . this past year ( 2008 ) Lexington Ave side king- suite -- significantly small corner mention overall well appoint well condition . oddity bathroom plumb large entertainment console fit well parlor . quite noisy time due Lex Ave emergency vehicle garbage truck . mix again . the queen Astor suit Lexington Ave side hotel redecorate year ago overall would expect suite well condition other . early mini - suite excellent bed otherwise need furniture replacement -- top 2 bathroom great view St. Barts dome across 50th street . always mixed experience . over year find reception housekeeping staff polite willing help ask . native New Yorker , never use concierge staff . present , appear occupancy ( hotel significantly less busy previous year ) staff reduction already occur . problem make -- sure . so return numerous occassion ? main reason mostly good time Waldorf , large part able enjoy positive put negative aside . many way great classic hotel . term cost , suite nicely price late Dec. ( relative many hotel ) . other frequently mention , public space magnificent . start review bit negative tone think one aware Waldorf experience . give , rate hotel average overall judge collective experience hotel . forum indicate , many other different view . reason think general situation sketch change bettter bad . like modern impeccably appoint hotel look elsewhere . comfortable history , classic decor , flexible many little detail may well enjoy stay Waldorf . believe two room / suite , part dependent luck draw far accomodation concern . return ? -- not decide yet.h 
 Jan 1 2009 	 unforgettable holiday 	 stay Waldorf Christmas , great expierence . concern read negative comment traveler , stay Waldorf . say not see one stay Historic Hotel elegant appeal , happy . room ready arrival spotless , much large expect bed comfortable . maid come daily excellent job . concierge staff helpful nothing much trouble . room 17th floor request smoking room , much view not expect one , New York . people city helpful , even photo take policeman Harley Davidson . eat hotel many Delis serve excellent food fraction cost , highly recomend Scottys Diner Lexington Avenue , wonderful food great service . decide spend money Maceys . shop easy get lose . iceskate Rockafella Center look rather small go Central Park , rink much big less busy . helpful tip , want go Empire State building get early , go straight 9.a.m , 10a.m . queue go round block . would recomend beautiful hotel friend could find fault single thing . 
 Dec 31 2008 	 Great Time NY 	 1st time NY book Waldorf . staff excellent . porter helpful friendly , cocktail bar man advise we couple place eat ( ' eat family ' ) disappoint . stay great , hotel beautiful keep old charm . cheap nice place stay area business like overly populate tourist ( we ) . remember room book manhattan small unless pay fortune not expect huge room , time spend asleep anyway . hotel great would stay recommend . first visit NY hotel staff make we welcome . 
 Dec 29 2008 	 would expect 	 first walk lobby fabulous . room , however , disappointment . understand age hotel expect small room ( one King bed ) room none amenity would expect $ 389 per night . robe , small tv , thermostat control temp ( open window frequently keep temperature uncomfortably hot ) . Decor also dissapointment . bar nice , sonny great bartender . sandy ( waitress ) consistently complain job front customer , always scowl face . get change cab fare next impossible line guest service frequently quite long ( 10 minute ) .concierge service unimaginative say least . could not recommend restaurant new Waldorf open past 10 pm two request . ( City never sleep ? ) Sunday brunch ok ( $ 95 per person would expect ) Bull Bear turn acceptable steak , pale comparison Del Friscos street . all , will not stay Waldorf . 
 Dec 28 2008 	 sad state affairs 	 unbelievably awful depressing . use grand dame hotel NY , like crappy Hilton . wait 40 minute behind rope register , las vegas style mob scene hotel decide 4 desk open . lobby convert crappy las vegas style buffet , mob stand beside steam tray wilt roast beef . hotel seem service hoard tourist push people . room picture / describe . & quot ; one bedroom suite & quot ; cramp , shoddy , depressing room look brick wall . bathtub drain not work , temp controller broken room insufferably hot . free wireless , like mcdonald red roof inn . crowded , touristy , depressing hellhole outrageous price . sad , use gorgeous lovely hotel . Whomever ruin hotel ashamed . 
 Dec 22 2008 	 like stay Grandma 's - not love . 	 travel NY business good bit . spend quick weekend pre - xmas NY enjoyment want use Hilton point . see could book fabled Waldorf Astoria - ? know bit gamble figure location right , plus not require much , else would get check ? go fine . need . location indeed good . room good enough . pay $ would disappoint . like good western guess .. except think keep 1990s minimum . can not think much compare . old school vegas , maybe . think freemont street . frozen time . everything bit musty dank . build today use styling might call retro give good laugh . actual item 60 , however , bit grimy dirty . room full carpet oldness . massive draft poorly seal 1954 window . temperature control pretty shoddy . think motel 6 . 600 uniformed employee watch walk around hallway ... large chandelier ... thing true - note . mini bar not autodetect take . really lucky give coupon free tiny bottle water mini bar . instruct place coupon minifridge lieu water .. really ... 1984 - style . riot . showerhead literally font beatle album . neat ... .. good showering . the business center literally FLOPPY disks sale . kid . hear tell someone could lend charger laptop - $ 50 / day . funny stuff . Wifi ? get to kid ... nothing close . lucky power . 2 - prong power . ground plug . can not believe mag card think - would expect bunch skeleton key hand front desk . Kiosk checkin ? hahahaha . way . oh get well ... get PERK .. free breakfast ! checkin person mention 2 restaurant would honor , backtrack apparent embarrassment print vouch stipulate ' breakfast ' .. starbuck . yup ... one cookie coffee . control oldschool old - fashioned cheapness seem ignorant real hotel customer service dot city . oh yeah ... went run . want hot tub . call around inquire one gym ... .. maybe spa ? ... ... nowhere . hot tub entire palace . ok . in sum , without doubt bad hotel ' ve stay year - certainly New York . definitely demolish replace something useful . still exist reason racism Varsity restaurant Atlanta - sometimes people value ' tradition ' actual quality / benefit . do not stay . 
 Dec 15 2008 	 good hotel New York ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 husband due go New York 4th Dec 2008 5 night book hotel expedia bog standard 2 star property however upon arrival find darling husband secretly change hotel Waldorf absolute delight ! ! ! ! Bless , surprise xmas gift know always want stay think new york ! ! ! hotel amazing luxurious gorgeous room lovely . hotel always busy full people always something go award ceremony wedding etc posh ! ! ! hotel great location find easy enough get everywhere . busy New York december never see anything like shop complete nightmare que get everywere maybe would not reccommend dec busy hand would not see fabulous xmas decoration light unbelievable ! brilliant hotel think hell we probably would not visit new york want special ! 
 Dec 11 2008 	 great place three - generation New York vacation 	 take three - generation July 4th trip NYC , stay Waldorf New York , also hotel father would stay , except Plaza close renovation . oldster thrill hotel , accommodation , food , service . teen pre - teen find endless wonder daily around hotel . us middle happily block Bloomingdale 's . room really large seem brand new New York old - money kind way , unexpected great . doorman front would get limo cab blink , glorious , glorious lobby bouquet , stiffly - press bellman , front - desk staff seem belong UN much hotel front desk ... perfect New York . little concerned stay right middle midtown trip like , great location , flavor comfort want . 
 Dec 10 2008 	 Park Avenue 's Historic Hotel 	 stay Waldorf - Astoria since 2002 interested see anything change hotel . service hotel excellent breakfast ' eat restaurant & quot ; Oscar 's & quot ; good well . check - in swift . complaint first night suppose suite room locate near elevator shaft hear make noise night . room 22nd floor . move another room let staff know noise much quieter- however , suite . would recommend use Lexington Street exit hail cab 5 PM-6:30 PM cab line Park Avenue way long . miss dinner reservation . 
 Dec 10 2008 	 really enjoy stay 	 stay 5 night Waldorf Astoria November . upgrade King suite check , great . negative stay . Room clean high standard . breakfast tower lounget continental variety , would pay really want convenience . spend time hotel although make use Harry 's Bar early evening quick drink bed , great ambience , good service 
 Dec 2 2008 	 relive golden era 	 Ya get to love grand old New York ! arrive cab Park Ave side . hotel quite busy tote luggage short flight stair enormous lobby . enter long lose era . lobby feature high ceiling big chandelier rarely find contemporary building . checkin quick .. front desk team friendly . take bag room . booked corporate travel , basic room . decor bit date plush . king bed sleep well . big flat screen tv . furniture good condition . nice , clean well appoint marble bathroom shower , bathtub . , book basic room .. give Waldorf big thumb not dark dank closet instead well appoint space . drink lobby bar . pricey ( 16 ) well make . come good bar snack . bar clubby would might expect old grande dame hotel though . bit disappointing . check via service television . bellhop us wait inside ( warmth ) car arrive . overall pleasant experience . well many new boutigue hotel tiny room darken hallway . would go stay business visit keep east side NYC . 
 Nov 27 2008 	 wonderful hotel experience 	 girlfriend stay week 19th November . arrive hotel 245pm , bag helpfully take taxi , underground entrance lexington avenue . go grand lobby check straight deluxe room . staff whole hotewl stay good , doormen reception staff , concierge desk , travel desk clean people nicve helpful . our bag deliver deluxe room promptly . room fantastic , definetley bit big expecting . bed huge super comfortable kingsize bed , really good . room quite big three large window face bed , room way cold , fact even turn heating night . also two large separate build wardrobe . bathroom marble shower good . wireless signal room strong , length time use , use free service lobby . the hotel location fantastic . near subway entrance 150yards away , fith avenue shop five minute walk away times square 15 minute walk quick ride subway . be hotel brand new shiny ... . charm charisma everything spotlessly cleana working order stay . would definitely stay New York holiday . 
 Nov 26 2008 	 upgrade ! 	 want say Cunnard book organisation Cunnard good also add feel really well treat Hotel staff enjoy stay majestic old style hotel . hotel say room would avaialble 3 pm , know prior arrival go sight seeing . return 3 pm go straight reception desk book straight . know Cunnard guest wait reception room long time feel information get tour guide good . ask travel agent arrange two room together available get upgrade junior suite . wonderful large room recently decorate huge really comfy bed . room see also excellent . appear experience hotel depend standard room allocate , unhappy ask move ! find really helpful staff go way help throughout Hotel . the Cunnard group 300 people check go easy , say well wre look . great hotel , close action . 
 Nov 25 2008 	 QM2 crossing 	 book via Cunard transatlantic crossing QM2 . hotel disaster start . arrive early ( sure blame ) 11.45 ticket say room ready 3 pm . luggage take coach put pavement outside hotel . we put hot room give coffee advise large party - 300 - room may take time allocate . sense long wait husband leave hotel begin sightseeing trip . we arrive back hotel 4 pm see little change . load party get agitated room allocate luggage still outside pavement ! nothing drink despite request water . representative hotel say room would release soon possible.5pm come go production 3 jug iced water paper cup room release . despite tell wait key / room allocate join short queue main reception hotel . check normal give room key advise luggage room ! ! ! quite obviously hotel able cope Cunard guest show utterly unprepared . next morning receive letter management apologise delay give credit room account 50 dollar . even cover cost buffet breakfast two . our room draughty , sash window clean whole room air fade charm . the reception / lobby hotel magnificent magnate tourist New York miss , way would stay again . some blame problem lay foot Cunard also address . 
 Nov 24 2008 	 dreadful welcome door everything else fab 	 dreadful welcome . taxi pull , help taxi driver get luggage . doorman see we bark & quot ; be early check ! & quot ; promptly ignore we help luggage / door etc . 2 30 pm ! however everything else fab . diamond desk sort double bedded room separate dressing area 4 girl . Jackie Mary welcome helpful , give we info shopppe trip . assist obtain late checkout well . lovely lady . the public area spotless full wonderful Art Deco touch . the wedding flower foyer fabulous ( though overhear security say Saturday night wedding guest fight ! ) love read history hotel display . staff smiley , approachable take pride job . doormen luggage collection point complete contrast front door colleague . sort luggage , smile chat find extra large taxi . excellent . our room spotlessly clean large enough 4 adult . plenty hot water bed bed super comfortable . the hotel excellent spot sightseeing would certainly stay agin 
 Nov 17 2008 	 good Stay would not come back ... 	 Booked Waldorf Astoria weekend November 17th Ladies weekend NY . hope lovely large room have see write many time review alas ... . room one small have ever stay .. tight 3 woman . bathroom like hotel bathroom except also maybe small . nothing inside room make think anything large dime dozen chain hotel . course lobby public space nice worth huge upcharge ... no . there wireless internet except lobby wire internet pricey . also shoot hotel store . crazy man try rob Cellini jewelry store shoot security guard , retire NYPD officer ... sad crazy ! interaction staff pleasant , nothing brag about . the Sunday brunch quite shock . set lobby look nice although much elegant posh local resteraunt town . cost $ 95 per person ... ouch ! 
 Nov 10 2008 	 Charming Full Character 	 three girlfriend share one room hey - stay Waldorf ! room large two generous sized comfortable bed . separate dressing room wall wall mirror wardrobe , double door lead large bathroom complete huge mirror marble washstand . read several review people disappointed room - thrilled . staff extremely friendly helpful , service could not fault . room clean tidy , 's turn service not leave stuff bed go evening . towel change twice day , even would leave dry . one side we English lady tea - make facility bring travel kettle tea - bag fore - warn review . take time look exhibition old photo memorabilia lobby visit Ballroom Starlight Bar - fabulous art decco decor . apparently be guide tour hotel Thursdays miss . one rather decadent night drink champagne piano bar spoil rotten lovely waiter bring we complimentory savoury nibble , dainty cake , chocolate dessert champagne glass - third bottle champer also & quot ; house & quot ; lovely memorable evening - hic ! 
 Nov 9 2008 	 course great ... 	 first , W - A , amazing ( amazingly historic ) hotel . room HUGE , especially heart Manhattan . ok - sized bathroom , nice sized living room , bedroom w/ King walk - in closet . BAM ! ! ! service great staff come across helpful . but .... thing crazy , like bathroom door big swung open w / in inch toilet - convenient . hotel , historic , also old ... dark hallway w/ old carpet remind & quot ; shining , & quot ; kid . great stay weekend . truly awesome stay 1 America 's historic luxurious hotel . 
 Nov 7 2008 	 Beatiful elegant fantastic stay . 	 Waldorf Astoria hotel beautiful elegantstayed Manhattan three day whilst visit friend New Jersey .Family four ( two girl 14 & amp ; 10 ) . lobby area must see even stay . staff friendly helpful . good look round ballroom unbelievable . our room two double bed although large comfortable . the location great short walk Rockefeller top rock must . it well worth pay extra experience stay Waldorf . 
 Nov 6 2008 	 living 's past 	 second time ' ve stay Waldorf , first time upgrade fantastic suite , time give small hotel room ' ve ever see , three we ! ask move room give certainly large peel wallpaper , rip cushion furniture unusual smell . originally book four night check next day go London Hotel 54th 7th breath fresh air . the Waldorf great history rare presence , need quality accommodation price lot well . wireless internet room wire service expensive . 
 Nov 4 2008 	 great service old - world charm 	 husband stay Waldorf NYC marathon since find great rate ( $ 275 / night ) book nearly year advance hotel 's website . we love attentive service , especially appreciate free upgrade large King room . quality service history put hotel 5 - star category . however , ' ve stay hotel nice room 4 - star hotel . we recommend Bear & amp ; Bull bar nightcap . bartender hilarious & amp ; attentive . prepare spend $ 30 - 40 two drink ( unless drink $ 6 pint beer ) .We would definitely stay Waldorf find another great rate , 's way would pay going rate $ 700 / night . 
 Nov 1 2008 	 overprice over - hype 	 hotel staff really good , location excellent hotel fade glory , room ( poart large ocnference ) serious need redecoration upgrade , pay $ 100 per night might acceptable , $ 600 certainly not . I would go way stay 
 Oct 26 2008 	 Classic charm . . . 	 stay business mid October 2008 . stay couple year ago find little dreary price range . time room seem recently renovate , bring line expect reputation price range ( low $ 400s per night taxis ) . several thing hotel bug . first , bit maze elevator go floor . meeting hotel frustrating . probably big deal - part charm . second , wallpaper bathroom peel sink chip . would expect price range . third , hot water one morning go take shower . definitely would expect . last , price cocktail bar astounding . two basic cocktail , although excellent , set back $ 40 , even Manhattan seem beyond pale . positive : great location , classic charm lobby public area , fast bell hop service come go , friendly concierge help reservation without pause even couple day check , personal wake call real human , nice quiet room , least upper floor . 
 Oct 25 2008 	 Wonderfull old world nyc glamour 	 stay Waldorf Astoria 3 occasion .... love location hotel .... Park Avenue . great location 5th Avenue shopping ... although close area deff visit . hotel room stardard size NY .... room large book std room . Hotel ' Old World Glamour ' feel still original feature hotel first build . I see many celebs hotel , watch first hand hollywood movie film lobby ! ! ! 
 Oct 23 2008 	 exactly say tin 	 Waldorf Astoria . classic piece NYC . do really , ( ) visit NYNY . glad stay . yes , trendy boutique hotel village , piece history , like live , piece history . great service , refrigerator deliver room FOC - great keep beer ! - wonderful service front house , great bar - could resist manhattan manhattan ! ! - great place spend long weekend . would recommend . room fine , litlle date , expect . everything clean working order . great alarm clock ipod docking station . stole toiletry stationery , well , not ! ! go , experience , will not disappoint - not ! 
 Oct 23 2008 	 Time Warp positive way 	 couple stay NYC classic i´m pleased service also room provide . request meet good attitude , although mix - up misinformation occur , nothing serious nothing effect stay . as usually mention wonderful historic place importance iconic status NYC . Alfred E. Smith Foundation it´s annual dinner feature Barack John make decent joke . didn´t get dinner , though ... don´t mind age spot wan´t experince tradition good sense today , I´d say go ! 
 Oct 19 2008 	 stunning hotel find well price . 	 stunning hotel piece NYC history . $ 500 night though find grand hyatt nicer , large room service well . Grand Hyatt usually fall $ 350 - 450 night . 
 Oct 19 2008 	 pleasantly surprised 	 stay Waldorf 4 day last week , read several negative review , say pleasantly surprised . note use Hilton Honors point book room , basically free -- also low category room available . large ( NYC standard ) room decent furnishing , nice bathroom , great , comfy bed . ' ve stay several historic / landmark hotel , say one seem much cookie - cutter other . , notice musty smell sign shabbiness report reviewer . notify , check , water system need maintenance would water guest room midnight 5 next day ! problem we , see could major problem other . room terrible view low rooftop utility equipment , turn blessing away city traffic noise . wall bite thin , tend hear 's go room ( honeymooner , please keep mind ) . hotel staff pleasant , helpful , professional . Waldorf 's location great -- mid - town , two block Rockefeller Center , two subway stop nearby Lexington Ave . 's lot go hotel ... seem every evening people mill around lobby black - tie attire . really feel like be center action . New York . 
 Oct 14 2008 	 trip back time 	 celebrate 10th anniversary Waldorf recently book Hilton Honors customer service due complex itinerary . first , lobby , bar area Bull Bear restaurant lovely disappoint . upgrade suite ( two room + wet bar room , bath vanity area ) due gold status . era , seem nothing free , Waldorf management really come surprise gift full size champaign chocolate dip strawberry wait room acknowledge anniversary . really mean lot . make mistake , however . review something . room seem lack pizzazz and/or not seem convey $ 500 / nt value somehow . may dollar not go far NYC . stop consider would ask differently . unfortunately , reality may stay true hotel 's history art deco style may mean living feel extent like stay grandma 's living room . update decor luxury standard ' ve come expect , would another hotel vs. trip back time ? 
 Oct 13 2008 	 Waldorf fine shabby place 	 look forward one night stay Waldorf past weekend . say highpoint low point . lobby wonderful . angel reception patient kind check early . room - 1060 - good . bed great comfy , wallpaper separate problem . white curtain dirty , cable tv seem problem , , station little snowy . the service , however , impeccable room service maid turn bed Bull & amp ; Bear guest service manager handle complaint wall paper , etc . ( hope room get looked leave ) . give free breakfast Oscar 's $ 75 room price . yes , thing pricy Waldorf ( $ 95 Sunday brunch ) treat Waldorf Salad ( appetizer size ) glass house champagne come $ 34.00 . Room Service onion soup hot chocolate . enjoy people watch - dowager tiara -but several rather formal event take place night hotel . surprised lack doorman front assist cab , etc . , whole , pleasant experience . would stay ? get good rate - would make sure not get room 1060 . 
 Oct 4 2008 	 live reputation 	 spend week honeymoon . find experience somewhat lacking . go straight check 10 hour flight . staff apprehensive assist we , serve several people we , discover stay suite entire attitude change . find approach mercernary good . room extremely large , however bathroom small terribly moden . whole hotel give we impression must something time modernise need . 27th floor still find street noise problem , however soon learn new york thing therefore hardly fault hotel . lift work properly 2 day high , take stair dreadful , especially walk around whole manhattan day . new york experience somewhat disappointing round . find soulless , money hungry city . 
 Sep 29 2008 	 's Waldorf ? 	 break spend extra $ 115 per night take wife Waldorf - Astoria , instead cheap NYC hotel read bad review hotel TripAdvisor concere bed bug . Main Lobby floor Waldorf opulent , room significantly less . room stay nothing special , lack feature would expect high class hotel . flat screen television , t.v bathroom , queen size bed small , light poor . not get wrong , nice hotel room . , expect great disappointed . always seem bustle main lobby comprise well dress foreignor corporate type . good thing hotel lobby location . hotel situate easy walking distance mid - town site surround impressive building . NYC mid - town hotel un - godly expensive , Waldorf actually fairly good bargain . room , unfortunately , near elevator shaft , keep hear swoosh elevator cable night try sleep . 's fault trust reception staff pick room , go cheap option room select upon arrival . 
 Sep 26 2008 	 great stay 	 begin honeymoon New York , Waldorf Astoria really great ! bottle champagne strawberry wait we room ( deluxe one queen bed ) spacious clean . hotel huge charming . position comfortable . staff king help we trouble luggage . word : marvellous ! hope will able visit soon later ! 
 Sep 23 2008 	 Great Hotel 	 recently lucky spend one night Waldorf , thanks sister & amp ; brother - in - law book we Hilton point . great king size superior room corner hotel - like suite separate dressing room . like old decor charm , room comfortable far luxurious ' ve ever stay . also large . many cupboard wardrobe - meagre overnight bag looked lose ! housekeeper attentive regard make sure happy everything room . we use Starbucks snack arrival Bull & amp ; Bear cocktail go evening . email hotel day advance menus husband special dietery requirement unfortunately not bother reply - not eat there . we also find hot water supply room not great . neverthless , enjoy overnight stay think grand hotel . 
 Sep 20 2008 	 historic unique aging 	 stay Waldorf find charming authentic , show age . Waldorf service top notch , lot extremely helpful staff ready time . great food , location , fitness center well . starbuck lobby - yay ! accommodation necessarily deluxe might expect price point ( $ 700 / night ) - bathroom suite tiny , pedestal sink shower / tub combo . could open shampoo bottle save life , outlet hard find . upside , though , towel , sheet robe fabulous , love alarm clock iPod docking station , view Chrysler building window priceless . whole treat stay , not expect flat screen tv , jetted tubs update fixture . place character ! 
 Sep 16 2008 	 Fantastic 	 stay Waldorf back 2004 get marry truly wonderful . glamorous , admittedly fade glamour add charm . hotel really enhance New York experience staff kind we , upgrade we room fantastic view Chrysler building send strawberry dip chocolate bottle Champagne room wedding night . , wonderful special time go back probably special wedding anniversary expensive ! 
 Sep 13 2008 	 Historic Hotel 	 stay small double bed room 14th floor even though bad view window , room comfortable , clean elegantly decorate . small problem seem though would occassionally hear bang scrape noise come room above . the staff helpful eager please . I would also suggest eat breakfast around corner since expensive eating . 
 Sep 10 2008 	 piece ny history ! 	 hotel pure New York history , always want stay huge movie fan fascinated hotel ! hotel display heritage interesting walk around " old money " clientele experience ! location great get 5th Avenue NY tourist attraction via subway cheap convenient via open top bus tour highly recommend stop outside , really good value lot fun plus hop attraction want ! also go Central Park full day , lot see ' big think ! hotel staff friendly give free champagne honeymoon ! Bull Bear good steak ever eat recommend go Gordon Ramsey ' restaurant London also . hotel expensive much NY ' really spend lot time around hotel , ' recommend visit infamous Sunday brunch tour stay somewhere little cheap ! New York amazing ! 
 Sep 8 2008 	 Loved ! 	 Waldorf cheap worth . hotel grand imagine . stay basic room ( upgrade ) still fantastic . room comfortable size , black drape great , marble bathroom lovely . , perfect luxury hotel experience . never enjoy hotel stay , not want leave room ! 
 Sep 7 2008 	 Corner Suite 	 ' ve stay Waldorf = Astoria four five time past two year . Hilton Diamond VIP , preferred Hilton full - service property NYC . separate check - in lounge diamond , leave looooooong registration desk , nice touch . the Waldorf truly historic gem , rich period detail . book one bedroom suite $ 529 receive upgrade corner suite 13 - a ( yes , 13th floor ) . nice room non - working fireplace living room , crystal sconce , small nice marble bath , comfortable bedroom walk - in closet , suite 13 - a overlook St. bart's . room service prompt cordial . housekeeping staff pleasant attentive . bathroom amenity par Four season . Peacock Alley great spot lunch cocktail . Kenny 's give upscale man 's haircut private salon , price ( $ 125 ) . avoid Bull & amp ; Bear - want steak , go town . if love historic hotel , will not disappoint Waldorf . 
 Sep 3 2008 	 like movie 	 Waldorf Astoria everything would expect 5 star New York City Hotel . absolute luxury first class service . personally speak , location little tourist friendly can not fault hotel . service fantastic . 
 Sep 3 2008 	 Wowie Waldorf 	 use Trip Advisor review number hotel prior book stay NYC . Waldorf mix review , decide take chance anyway book - keep finger cross hope well . need worried , experience utterly fantastic ! yeah , doorman bit distract step taxi carry case yeah wee queue check breakfast 's rush - ' m holiday ! ! ! Nothing Waldorf experience dissapointe - room luxurious , particularly mattresse pleasure hotel environmental conscience . order room service one evening service food second none . work quality customer focus environment tend suffer bit occupational hazard - Waldorf need . would return , certainly contribute wonderful NYC experience ! thank ! 
 Aug 31 2008 	 enjoy stay 100 % 	 stay overnight Sat - Sun August 2008 . everything want smooth . times Hotel Chains standardized product Waldorf Astoria good surpise . still style old Grand Hotel , every member staff treat like important guest , even room one cheap available . enjoy stay . breakfast could little well accord standard hotel . expect must say want high tech & amp ; modern design room . want enjoy stay 
 Aug 29 2008 	 World ! ! ! 	 stay hotel last year choose first time New York hearing Waldorf see many movie see ! disappointed ! ! friend hire Limo take we hotel think may well really do not cost much ( £ 30 return trip 3 we ) limo pull underground car park waldorf greate staff member immediately load luggage trolley guide we reception desk check , quick ! ! show we hotel room ( 2 double bed deluxe room ) . room beautiful ! ! ! ! spacious corner room view park ave , really feel heart city ! room look nice afraid touch anything warm inviting compare hotel room feel quite impersonal clinical ! bathroom clean , great shower ( nothing bad shower power ) overall great standard ! ! also find staff fantastic ! go shop within waldorf buy sewing kit find hole jumper hotel staff offer fix free ! ! overall staff helpful ! ! I ve never hotel ' ve feel well look ! begin end hotel truely experience yes expensive afford save really hard like haha well worth ! order room service last morning much fun do think $ 25 silver service would deffinately treat ! staff perfect ! room perfect ! door man friendly love stay nice talking morning , staff credit hotel . I really hope stay , give hotel 11 10 ! think anyone find fault hotel hard please ! ! 
