good 	 wish 3.5 option overall rating hotel . 4 seem high , 3 low . this hotel much op be describe . find good value . pro : large room also clean , lot closet space , light - block window shade , good bed good quality linen , friendly multi - lingual staff , good location ( altho personally prefer west side easy get around ) , excellent access computer printers- think may 8 stations- WIFI fast dependable . con : really could use another bath half - bath ( 3 woman 1 man ) , Breakfast much- yogurt , cottage cheese , coffee , juice , rather dry pastry .. probably one bad & quot ; continental breakfast & quot ; anywhere . Noise- street noise bother much , daughter husband comment . old daughter say , & quot ; mom , noisiest place ' ve stay NY & quot ; . sure problem street front really busy street , seem great deal honk hour . think might annoy , ask room face street . we try ' Mint & quot ; , eat establishment connect hotel- impressed . my husband , two 20 - something daugther , visit NYC look way avoid 2 hotel room $ 275 - $ 325 / night room weekend Thanksgiving . the San Carlos suite 2 queen bedroom pullout sleeper LR , along small & quot ; kitchenette & quot ; ( microwave , sink , refrigerator utensil ) $ 300 / night . review TA favorable , book 3 night . thank member helpful review hotel . accurate review ! save we hundred dollar 2 separate room without sacrifice much way comfort space . 
 May 17 2007 	 Brilliant ! ! ! 	 place . listen negative comment . stay large city Europe business good ( price ) . staff unbelievable bend backwards . one example , arrive group want beer . Bobby door tell we hotel quite expensive give we direction reasonable irish bar round corner ... become ' local ' stay . great example customer come hotel ! ! location , everybody already state , great . far enough away mad busy street close enough walk ' life ' 5th ave 3 - 5 min away . central park 5 - 10mins etc etc .... People site complain breakfast . however , hotel even offer , understand would mark hotel ! standard good . try diner road , worth price . breakfast fine return hotel breakfast duration stay . another small pleasing benefit free internet pc printer 2nd floor . handing check return flight line receive extra leg room exit seat ! ! ! $ 290 pay per room per night already recommend other continue . If/ return NYC stay hotel . 
 May 16 2007 	 beautiful hotel wonderful staff . 	 get back New York delight stay San Carlos . use pay much hotel room , ( $ 269 ) splurge celebrate 60th birthday . hotel great splurge . beautiful lobby absolutely terrific people -- welcome bellman , front desk crew housekeeper owner cruise breakfast room chat guest make sure stay go well . the bed bite hard . ( go across street Affinia 50 well weekend rate find bed superb . ) room free internet , nice little kitchen nook microwave refrigerator , large enough bathroom two great location . use bus subway get around convenient stop close hotel .. 
 Apr 30 2007 	 Great Location 	 first time NY visitor great hotel key . San Carlos fit bill great location attraction subway . room nicely size personnel helpful friendly . would definitely stay . 
 Apr 29 2007 	 Wonderful Hotel ! 	 come back weekend San Carlos . pay $ 269 / night quickbook.com . love hotel . room large include fridge , microwave , utensil , coffee maker . bathroom large large counter . backside hotel minimal street noise ... ( except car alarm continue go 30 minute Saturday night ! ) staff extremely nice helpful . umbrella available rain . complimentary breakfast great . toast , muffin , danish , yogurt , cottage cheese , etc . recommend choose option go across street diner breakfast today spend $ 60 include tip ! 2 adult 2 child . child 's menu , 5 year old get 2 scramble egg , pancake , bacon $ 11.95 ! want way make combination cheap price . hotel great location . close american Girl Doll store Build Bear kid . sub station close ( # 6 ) take part NY . complaint unfortunately big enough not know will stay . bed extremely firm . , know people like , husband ! ' m curious know poster feel . second complaint wall rather thin . family child stay beside we could hear everything 7:00 choose get . could hear kid bounce bed . could even hear kid push light switch bed ... . could hear alarm clock go also hear go already leave room . call front desk get turn . may seem like big deal , would sacrifice space big room comfortable bed . walk ... want sleep good night ! : ) 
 Apr 27 2007 	 fantastic staff . 	 great stay @ San Carlos . room spotlessly clean everything could possibly want ! ! location excellent . breakfast good indeed plenty , nit - pick air - con Breakfast room rather fierce . the staff excellent happy helpful nothing much trouble . we DEFINATLEY return SAN CARLOS . 
 Apr 25 2007 	 great palce stay 	 first visit NY could ask well location hotel . room larger experience clean comfortable . the location perfect explore NY foot close Central Park , 5th Avenue etc . also metro close want travel afield door step . I agree comment breakfast - stale , lack choice always full house ! would suggest miss head something nice . the staff friendly helpful . would highly recommend hotel make stay . 
 Apr 8 2007 	 Quiet Convenient Classy 	 meet people Palace Hotel street could not fathom pay rate , search TripAdvisor lead meto San Carlos . stay across street Affinia 50 , know neighborhood nice . San Carlos even quieter soothe Affinia property watchful lobby staff speedy elevator lead quiet comfortable room plenty space . spotlessly clean care , get roomat back hotel low floor hear thing street . across street New York Deli , inexpensive , pleasing diner style great service . at $ 250.00 per night , San Carlos great bargain upscale set yet close midtown . 
 Apr 3 2007 	 comfortable .... 	 positive : lovely hotel great location negative . room nicely appoint , bathroom spotlessly clean granite countertop Aveeda product . staff friendly helpful information - concierge desk . location great - easy walk Rockefeller Plaza theater district . close subway ( 6 train ) one stop Grand Central transfer subway line . would stay . negative : & quot ; Continental breakfast & quot ; terrible . bread pastry dry quite stale , third morning 9:30 ( breakfast run 7 - 10am ) nothing leave nothing going put . ( fortunately luncheonette across street . ) ask room back side away housekeeping closet . noisy bar across street smoking law , bar patron poor onto street smoke . lastly , big nuisance guest room door slam . guest room door spring close bang . . . annoy especially light sleeper want sleep . 
 Mar 30 2007 	 great location 	 group three adult stay San Carlos March . room 2 double bed . clean spacious , staff friendly helpful . would stay . close subway station , MOMA , Museum Television , delicious french restaurant block away ( La Bonne Soup ) . hotel little pricey - worth great location nice room . 
 Mar 24 2007 	 Warmly recommend ! 	 fantastic hotel . helpful pleasant staff . nice basic breakfast ( pastry , bread , butter , cottage cheese , yogurt , coffee , orange juice ) lovely room ! room street view , little noisy , New - York ! internet connection work well . air conditioning help we cold weather suddenly land New - York March ... 
 Mar 21 2007 	 outstanding staff 	 friendly , helpful staff meet boutique hotel . start bellman continue front desk staff , impressed friendliness . even housekeeper meet elevator charming . Mint , restaurant next door terrific ( indian cuisine ) . room nicely appoint clean , however , bit small window locate high wall , could not see outside . also , would request room back next time since find siren honking horn NYC bite much . overall , seem good location appreciate accommodate staff . 
 Feb 20 2007 	 Wonderful Hotel 	 husband recently go NY City attend show taping . stay San Carlos hotel wonderful place ! great room extremely clean full amenity . staff quick accomodate request something send room . also friendly . price little wanted spend , stay , worth . room spacious entire hotel quiet . would definitely recommend hotel ! would stay be ever ny . overall , good hotel ' ve ever stay ! 
 Feb 19 2007 	 Cozy Little Gem 	 return 4 night stay San Carlos NY gem ! ! fly much early flight book airline try avoid major snow storm EastCoast , walk hotel soon noon , not expect able get room , check time 3 pm . Gabriel front desk check we problem , 8th floor go . comfy bed , complimentary internet , cable tv , microwave , coffee maker , cutlery small fridge , importanly clean quiet room . aveda toiletrie nice touch . their complimentary continental breakfast great . yes , , continental style , pastry , toast , bagel , coffee , tea , yogurt fruit . right quick bite venture city . inhouse restaurant , room service restaurant next door , Mint . Mint hip , cool food yummy . indian cuisine , popular good . location ideal visit museum , Madison 5th Ave . shopping , great restaurant . service great , Bobbie bellman , room attendant Front Desk , always helpful informative . after many past visit NY many different hotel , base price service , San Carlos definitely future choice we ! 
 Feb 16 2007 	 Great Choice ! ! 	 really comfort hotel , great great location . whole staff friendly , good breakfast . believe picture be able see homepage . , first choice NYC San Carlos . 
 Jan 21 2007 	 Great Hotel ! 	 great hotel . one big & quot ; must have & quot ; hotel clean update decor furnishing . hotel . impressed . take advantaged & quot ; season & quot ; promotion ... stay two night get third free , think pay $ 260 night ? ? deal score we one bedroom suite king size bed . plenty big husband would actually say large enough family four girl trip 4 . actually not really even take advantage space . full bath half bath make get ready great . staff friendly continental breakfast nice perk . location good . subway station close seem walk Central Park / 5th Avenue Shopping Times Square pretty much equal time .. give take . elevator super fast small hotel . Maid service turn service great . complaint would bed firm ( people like ) , however linen comfortable . also , street noise distract ( mainly horn come nearby intersection ) , front side hotel 10th floor . room back may less noisy . last visit NYC , year early , girl trip stay Doubletree Suites locate Times Square . would recommend hotel well , want stay Times Square crowd visit . enjoy location San Carlos Hotel , feel little less like tourist . say Doubletree , hotel room high assume build new sound proof , hear noise street ... bed way comfortable . would highly recommend hotel , especially rate receive . 
 Jan 18 2007 	 Great Service Location 	 great stay San Carlos last week 2006 family five , 2 adult three child age 10 , 8 2 . service perfect room unusually large NYC . highly recommend family small child friendly helpful nature staff also perfectly locate attraction family small kid . 
 Jan 9 2007 	 good location 	 fifth trip NYC stay large hotel one small famous . truthfully , hotel top good experience . entire staff seem want make visit success surely . reserve four room small wedding party quiet clean , though exceptionally large adequate . love locatiion find extremely easy get around major attraction . like speed elevator last boutique hotel stay slow one . 15th floor front building still could hear noise NYC . always able hear siren horn matter stay . free breakfast real bonus lot choice continental style . I would highly recommend hotel staff . 
 Dec 24 2006 	 Excellent hotel . terrific stay . terrific staff 	 wife make New York City annual event first week December last 5 year . stay large hotel year stay , friend recommend boutique hotel year say nice small enough avoid wait anything . the location excellent shopping show . staff incredibly friendly helpful . room quiet bed excellent . back 2007 ! ! ! 
 Dec 12 2006 	 Gem Hotel New York City 	 return three - night stay New York City two friend stay wonderful San Carlos Hotel . three woman , 40 's , celebrate completion Masters Adult Education program trip Big Apple . select San Carlos base information provide traveler . disappointed ! room quite large , spotlessly clean well appoint . warm reception receive upon check - in consistent staff doorman clean staff . complimentary continental breakfast nice start day . never disturb external noise , even though hotel appear quite busy . really appreciate small business centre check e - mail make tour booking on - line . location wonderful - far enough madness within walk distance Times Square , Broadway , Rockefellow Centre , Central Park , museum amazing shopping . neighborhood feel safe often walk dark . many good restaurant within easy walk distance . check , delight introduce hotel owner , gracious , warm gentleman . would certainly return San Carlos . 
 Dec 5 2006 	 hype ... 	 place room overlook ugly , dirty , noisey alley . my room handicap room . & quot ; BATHTUB . & quot ; handicapped . neither friend . at & quot ; check & quot ; time ... rudely take care of . send multiple e - Mail San Carlos Hotel . Thry never respondedcontacte & quot ; YES NETWORK & quot ; sponsorsthe hotel receive response . 
 Dec 5 2006 	 Thanksgiving Stay 	 Thanksgiving stay terrific . room clean large New York standard . staff helpful courteous . location plus . subway station 1/2 block . easy catch # 6 train get uptown town easily . walk Times Squire Central Park 10 - 15 minute walk ( walk slow ) .When business usually stay Westin , Loews Ritz Carlton . hotel rival sure try . overall positive . definitley stay . 
 Dec 4 2006 	 wonderful find 	 recently stay San Calos Hotel could ask well experience . I mention wife 's birthday , hotel complementary bottle wine waiting room travel friend book time stay another well establish hotel . double price , problem problem , constantly face negative issue overly dissatisfied stay . amazed level care get . I definately stay next time city . the San Carlos help make stay New York one good trip ' ve year . 
 Nov 23 2006 	 Great Hotel unlike previous comment 	 first , every pleased experience great , stay San Carlos every 2 - 3 week past 3 year , therefore , say . . .breakfast - breakfast orange juice toaster , past 3 year least know serve yogurt , cereal , milk , pastry , bagel , toast apple . also juice , coffee milk . last time check continental breakfast . consisent clean frequent business traveler , important . room - room age , boutique hotel old building , yet ever get dirty room decor modern . oh , tuck every night chocolate every seem mention , definately something get Marriott , nearby hotel . also , generous toiletry ( Aveda hair product , mouthwash , ear clean , hair cap , cotton ball , etc . ) line 4 star hotel . also , bathroom & amp ; linen always clean decent decor . last , room pretty roomy 50 % flat screen LCD tv flat screen tv . mini bar basic like decent hotel ( coffee maker , blow dryer , robe , etc . ) . security - security camera EVERYWHERE , bad place , make sure guest feel always safe . think super important . gym - although hotel gym like Leows hotel Philly like gym club , roomy gym decent cardio equipment water , towel bathroom . noise - true , noise avoid , heck Lexington 3rd , choose hotel location unfortunately , lot traffic & amp ; noise . ok , b / c want get coffee snack 1 morning , always people around , , safety overrule noise , admit work . service - yet bad service , numerous collegue recommend stay . time , super friendly door man , boy get taxi give direction anytime . computer - 3 computer printer 2nd floor use free . also free high speed broadband room . couple time project crunch , front guy help hold send package fax , abuse , nice emergency . location - OK , within minute anywhere worth visit NYC . business traveler , fed ex kinkos 3 block 3rd also another Lexington 2 block Lexington Staples . also , several subway near , like 1 - 2 short ny block away get virtually anywhere NYC . Shopping & amp ; restaurant galor , need say ! ! ! agree , much nice hotel , hefty price , like Waldorf , $ 300'ish night great deal less comparable hotel like Benjamin Affinia 50 ( trust , , pretty much ! ) . San Carlos treat loyal customer , something see less day economy . stay every 2 - 3 week owner 's email let know come , hotel 300'ish range go care one person ? ? ? ? hotel treat regular like super star feedback receieve visit 1 - 2 time , feel way . 
 Nov 17 2006 	 wonderful place stay 	 recently stay San Carlos Hotel , entire experience extremely positive . hotel centrally locate , staff helpful friendly . room contain mini bar , small refrigerator , microwave , coffee maker . workout room equip cardio machine tv machine . hotel room immaculate , lobby workout room . would definitely recommend hotel anyone , stay . overall experience outstanding ; kudos management ( staff ) San Carlos Hotel ! 
 Nov 16 2006 	 Exercise Caution consider San Carlos Hotel 	 recently return another New York City visit , think necessary provide another insight hotel seemingly garner good top review . say . hotel quite less other say it . first , property neither elegant charming defnitely sophisticated . reality property nothing bit Holiday Inn Express similar hotel may find airport strip , Second , Hotel trumpet offer free continental breakfast one would well advise brace view selection confine offer . close spartan room table chair accompany orange juice dispenser toaster , continental breakfast make . third , previous commentary Trip Advisor laud staff friendliness desire accommodate . experience . arrival , confront ATTITUDE plenty front desk representative pre - emptory fashion dictate one two room book change . discussion advance advisement . challenge representative ask speak Manager , able arrive compromise . the room ( ) elegant sophisticated rather would expect hotel definitely 4 star hotel . interior room 10th floor ( Junior Suite Exec King ) well worn bathroom show distinct sign use need good painting , finally , previous writer Trip Advisor reference street noise . agree plenty . hotel spend significant amount money refurbishment ( word ) notwithstanding New York noisy city , noise street hour quite incredible . for money ( hotel cheap ) say San Carlos seem say extent , say exercise caution choose San Carlos Hotel . well hotels area price . Ottawa , Ontario 
 Nov 9 2006 	 can not beat 	 spend alot time trying find modern hotel could accommodate 4 friend one roon central location NYC.We book one bedroomed suite great price , even well share 4 ! bedroom 2 double bed lounge double sofa bed . hotel also offer spare bed go lounge need . also two large wardrobe plenty drawer space . decor modern clean essential need , ie small kitchen area , fridge , iron , etc . the staff helpful include whistle taxi need . we stay front hotel 2nd floor get street noise maybe ask room higher . although be not really problem hotel fairly quiet street corner avenue traffic limit . central hotel NYC noisy major city never sleep , yet find quiet one . we do not go night club opposite night book thing although look cool ( call NIKKI midtown ) .Well do San Carlos get everything right . say would stay reccommend friend . 
 Nov 7 2006 	 fantastic hotel close New York 's famous attraction ! 	 fantastic hotel , within easy walk distance New York 's famous attraction - 5th Avenue , Empire State Building Rockerfeller centre . we stay 4 night 's end October wait go back NYC . would defintely consider San Carlos hotel again . very clean hotel , friendly staff room huge ( normal room ! ) . Breakfast consist pastry , bread , coffee , orange juice & amp ; yoghurt . big US breakfast imagine , many cafe deli 's nearby ! disappointed stay : ) 
 Nov 6 2006 	 great hotel fab location 	 not mean stay ! book Bedford Hotel E40th get hotel water leak flood room , Bedford staff transfer we sister hotel - San Carlos . even give we $ 5 could catch cab 10 block . the San Carlos great little hotel - nice entrance , great friendly staff benefit free buffet breakfast free internet business lounge . specifically request suite 3 us Bedford end suite San Carlos . good sized bedroom , seperate lounge pull sofa bed , small kitchenette area seem well equip good bathroom . we could happy ! idea much place cost obviously must costly Bedford - get lucky ! next door trendy indian restaurant call ' Mint ' look really nice . Traditional New York bagel breakfast available 3rd Ess - a Bagels - complete insult New York attitude ! 
 Nov 2 2006 	 enjoy stay San Carlos 	 really enjoy stay San Carlos . staff friendly helpful , especially doorstaff . room clean spacious plenty towel tolietrie . microwave coffee - maker useful . continental breakfast nice touch , although yogurt not good , good start day OJ , fruit bagel . San Carlos central , walk destination . would stay . 
 Oct 17 2006 	 Lots Street Noise ! 	 hotel nice staff great room front hotel bombard street noise night club across street 3:00 4:00 Friday Saturday night . aslo street pave 2:00 Friday night . bad street noise experience NYC travel lot . stay San Carlos , ask room back hotel . 
 Oct 8 2006 	 Gem Midtown ..... 	 San carlo provide we great week accomodation New York . hotel lot little thing right . staff superb helpful , bed turn nightly nice touch . room clean relatively spacious New York . bathroom new water pressure shower great ! 's complimentary business centre continental breakfast , miss 7 day .... be quiet well . price point , clientele little old . we love definitely stay . 
 Sep 6 2006 	 stay San Carlos ! ! ! ! ! ! 	 read many review many NYC hotel , choose Thanks previous Tripadvisor reviewer , stay San Carlos August , 2006 8 wonderful night . previously reservation Avalon hotel , review Avalon start get bad , take advantage Tripadvisor 's review find San Carlos . San Carlos PERFECT . travel two grandchild ( age 10 7 year ) love hotel . take advantage business center 2nd floor & quot ; play & quot ; internet evening kid use workout room lot ( always supervision ) . enjoy continental breakfast available ... nice quick bite eat journey morning . Gabriel front desk teach grandson magic trick ( hit ! ) Matthew door wonderful . housekeeping staff friendly fabulous job . also see quite bit hotel owner , find charming . kid really impress HOTEL OWNER know ! not get kind attention chain hotel . we adore room ( one bedroom suite ) , appreciate two television . refrigerator microwave come handy able bring leftover home restaurant enjoy later . hotel quiet , great neighborhood . Seattle feel lot safe walk around NYC dark city . be also extremely close subway entrance . we lucky enough Arlene Dunn Big Apple greeter ( great thing schedule ... will learn much be free ! ) . feel like family we . take day Royal tour New York wonderful . Steve , owner , informative make we feel like old friend show we around home town . tour cost little other , think well worth . not book lot people tour not spend half time wait someone show go next stop . thing tourist NYC , think Top Rock well view Empire State building . highlight : Tony Tina 's wedding ( interactive play ) . love ! Statue LibertyTrinity Church , rescuer go 9 - 11 ( prepared cry ) .St . Patrick 's CathedralA New York Yankee gamebronx ZooConey Island ( everyone need go ) Canal Street Chinatown ... get barter , believe , 's addicting . a cruise around Manhattan Circle Line tour ( informative dapper narrator ) . [ -- ] eat Mickey Mantle 's restaurant pj Clarkes . know ' m forget thing love . bottom line .. come back visit NYC , stay San Carlos . one good hotel stay . 
 Aug 21 2006 	 Great Place stay 	 San Carlos Hotel one nice place ever stay . service trememdous , room spotless , well within walking distance area attraction . highly reccomend San Carlos anybody want stay Midtown Manhattan . 
 Jul 25 2006 	 San Carlos great . 	 family stay San Carlos 4 night July wonderful experience . special rate 1 bedroom suite get one night free book four night . room nice well keep . kitchenette bathroom nice beautiful marble countertop . nice real coffe cup use morning . hotel staff courteous helpful . breakfast bar nice could use little variety 3rd morning . convenient location tour city foot , subway , doubledecker tour bus . would recommend hotel other would stay again . BW , Lexington , KY 
 Jul 18 2006 	 Thumbs San Carlos Hotel 	 enjoy relax week - long stay San Carlos Hotel . location could not beat ( walk distance 5th Avenue shop , wonderful 2nd Street restaurant , theatre , etc . ) . frontdesk staff doorman friendly provide excellent recommendation nearby restaurant . complaint extra firm bed bother back . be New York , time sleep ! 
 Jul 13 2006 	 Unmatched NYC experience 	 San Carlos wonderful hotel outstanding value . immaculately clean recently redecorate understate , yet elegant decor , provide supreme comfort every amenity require - in - room safe , well - light magnifying mirror bathroom , firm bed good pillow , delicious continental breakfast every morning include orange juice , coffee , yogurt , cottage cheese , fresh fruit , pastry , good bagel ever taste . quiet - never hear first siren horn blow - city noise ! travel two friend ; act great online offer one - bedroom suite - stay two night , receive third night free . divide three way , excellent deal we ! cost per person first - class property New York ( include tax ) around $ 106 per night ! delightful lodging experience perfect graciousness , humor unfaile helpfulness staff obviously take great pride work . owner delightful gentleman visit breakfast room every morning , banter guest , set tone relaxed charm efficient service fine hotel . never lodge anywhere else New York ! 
 Jul 8 2006 	 San carlos winner ! 	 find San Carlos via review website , lot research one look good side NYC . hotel great , great location , great staff , great room , great room rate give expensive neighbourhood . travel 2 kid , request quiet room away lift give exactly , room 910 . room clean , housekeep ere noon day , guy front desk good doormen excellent . rain couple day plenty umbrella guest take day . downside room service available indian restaurant locate ground floor , irrespective 24hour convenience store also serve great selection cook fresh food . complimentary breakfast serve ground floor right , serve pastry , coffee , yoghurt , toast . excellent hotel recommend 100 % . thank . 
 Jun 27 2006 	 clean spacious quiet friendly hotel prime NYC location 	 read many review many NYC hotel , choose San Carlos 5 night stay NY -- be glad . we ( two woman late 40 ) perfect : room quiet , comfortable , large , spotlessly clean ; high - speed internet access room ( WiFi Business lounge 2nd floor ) . appreciate , well , small fridge countertop . staff ( desk front door housekeeper ) friendly professional intrusive . return NY , will definitely check San Carlos first . review note , be decent grocery store 2nd , numerous restaurant within walking distance . satisfied restaurant residential area ( N , E , NE ) hotel . thank previous reviewer tip we San Carlos -- not know would find w/o TripAdvisor ! great place ! 
 Apr 30 2006 	 nice would return work well kid 	 get room Expedia hope king size bed , sell , queen . room great -- well appoint , sit room , kitchenette , nice bathroom , tv bedroom sit room work well kid short amount tim room . location great , easy access subway , nice walk time square , also walk central pk metropolotin mus . art ( long , fun walk Lex . ) would return w/o hesitation . staff polite helpful . continental breakfast ( pastry , toast , juice , coffee , yogurt ) 
 Apr 19 2006 	 great little hotel definitely worthy consideration ! ! 	 stay number different Manhattan hotesl mini - getaways course past several year , San Carlos one ' ve decide will return not wish indulge big splurge . locate across street comparable Kimberly Affinia 50 , ike well either . San Carlos offer lobby ample & amp ; comfy seating ( unlike Kimberly ) ; well equip , sunny & quot ; fitness center & quot ; individual tv screen treatdmill , recumbent bike , stepper ( workout room not huge , not large hotel , place one occasion ) ; attractive breakfast room ; computer center mezzanine 4 PC 's high speed internet service laser printer absolutely charge ( also WiFi ) .The high - ceilinge room generously proportion , airy serene window open ( always plus book ) cover semi - sheer drapery marble sill & quot ; blackout & quot ; roman shade operate smoothly . climate control bedroom LR & amp ; variety lighting throughout -- little & quot ; downlight & quot ; frame artwork living room bedroom ( 1 - bedroom suite ) , wall sconce , table lamp , overhead light good desk lamp -- notable . contemporary furnishing tasteful , comfortable upscale find room Affinia Kimberly . addition well - stock & quot ; honor bar & quot ; ( less outrageous price content many Manhattan hotel ) , under - the - counter refrigerator , microwave , small sink kitchenette / wet bar area whose cupboard drawer hold glassware , dishware & amp ; flatware . two closet number deep drawer give we enough storage space clothe & amp ; luggage . drawer cupboard bathroom , counter wide run length room , find perfectly acceptable & amp ; Aveda toiletrie nice touch . lastly , everything scrupulously clean & amp ; well - maintain ; never hear noise fellow guest hallway room around / above we ; sleep disrupt street noise often case Manhattan . the free breakfast not spread will find Embassy Suites , not pretend continental breakfast : pastry skippable , coffee & amp ; OJ average . since number eatery outside door hotel not offer anything guest , ' m go knock SC score . experience intermittent problem in - room internet access , short - live , computer center 2nd floor , will never & quot ; stranded & quot ; .Where San Carlos fall bit short front - end service . exception Gabriel ( think manager seem topnotch ) , desk clerk doorman quite young ... pleasant , super polished , could use bit training & amp ; level information 's neighborhood . check - in / check - out , however , efficient error billing . in short , give location , quality accommodation amenity , San Carlos exceptional value . recommend highly ! 
 Mar 30 2006 	 Loved San Carlos 	 return San Carlos can not think one fault hotel . room large NYC standard absolutely spotless . staff friendly helpful especially old gentleman front desk . hotel good area feel really safe good location major attraction . business suite free use computer internet . indian restaurant ajoine hotel excellent . breakfast good toast , pastry , yoghurt etc ; definitely go back . 
 Mar 28 2006 	 average 	 honesty say anything really bad stay ( 4 day ) . perhaps , web description review read get well part expectation . arrive ( 5:30p.m . ) one curbside greet say & quot ; welcome San Carlos & quot ; , matter fact , carry lugage inside ( three we ) , doorman look we move finger . check process average special attention welcome provide . room fine ( one bedroom suite ) a / c unit within inside room , look bulky occupying space . kitchenette plus . flat screen tv 's mean flat screen tv 's ( plasmas ) . pillow foam confortable . bath towel small ver thin . bed ok linnen potraye . bathroom inside master bedroom independent entry living room . request ice couple time deliver promptly courteous . young lady desk recomende Italian Restaurant & quot ; Pescattore & quot ; turn excellent . map available front desk . breakfast somewhat simple , paper cup , plastic fork / spoon / knife ( expect ) .I go visit Benjamin , Kimberly , Affinia 50 , locate block across street . humble opinion , price San Carlos charge , well , confortable luxurious accomodation obtain three suite hotel . say good part stay reservation process . attentive person ( susan ) handle reservation outmost proffesional amicable manner . stay ? do not know . 
 Feb 14 2006 	 delightful little gem 	 return four day stay San Carlos , Blizzard 2006 ! ! find delightful , comfortable , well locate gem slightly high reasonable rate . room large typical NYC , decorate nicely comfortable wonderful reading chair ottoman , along desk two double bed . ample closet space . bathroom little small side little room store toiletry , makeup , etc , nicely do . internet room mezzanine charge , wonderful checking email , etc . four computer little wait . also nicely do small fitness room . staff courteous helpful , suggest alternate transportation subway cab abundance snow storm . bar restaurant directly hotel , Indian Restaurant attach provide room service . not try , can not comment . however , great little luncheonette across street use breakfast lunch . also eat steak place directly across street - fabulous . Wish try soon . breakfast buffet provide hotel adequate - coffee , juice , pastry , bagel toast . nothing write home , nice touch day not want eat heavy early day . small refrigerator , microwave , plate , silverware coffee bar room , along honor bar , much appreciated . hotel definitely charm typical large chain hotel . welcome homey . location great , 20 - 25 minute walk Broadway play Times Square , block St. Pat 's , shopping Radio City Music Hall . Felt safe neighborhood even late night . would definitely stay . 
 Jan 14 2006 	 fantastic stay San Carlos 	 Mum travel alone 2 boy age 12 10 , would thoroughly recommend San Carlos hotel . extremely comfortable absolutely spotlessly clean . staff really friendly helpful make feel welcome . room fridge , microwave coffee make facility . plate cutlery . sheet bed change daily unless mindful enviromental issue ! towel fluffy dress gown ! continental breakfast day . gym small well equip good condition . free access internet . location good . walk Central Park 15 minute close train bus . couple cafe nearby good meal reasonable price . think stay , go . one friend stay couple month ago really impressed . would stay without doubt . 
 Jan 10 2006 	 wonderful 	 san carlos hotel wonderful . although small hotel friendly staff , great room , clean , comfortable bed , excellent service . location great , 50th street , lexington 3rd , quiet street , trash can collect night , bliss new york . although restaurant irish bar across road provide good room service late night drink . room spacious warm everything microwave oven flat screen tv . would strongly recommend hotel anyone . definately go return hotel . everything could want . well do san carlos , make holiday great ! ! ! ! 
 Nov 12 2005 	 gem 	 stay four night . room small , excellent condition . staff extremely friendly . free computer internet , helpful . house nice atmosphere completely renovate , although old hotel . compare Hotel Chelsea , real adventure , good starting point NY vacation . Hotel Chelsea much rougher unique , also much less luxury appeal amenity . one weakness clearly breakfast , basic . 
 Nov 2 2005 	 great surprise ! ! ! 	 book Bedford Hotel arrive rude man tell we problem room we . give we $ 5 dollar address San Carlos ... wow ! luck ! nice , clean comfortable hotel . room spacious well bathroom . staff friendly . locate WONDERFUL zone . definitely stay future ! 
 Sep 23 2005 	 wonderful ! 	 upset read review person post complain old man hotel . seem review question would prefer staff grumpy offer friendly assistance whatsoever . well know 's look hotel ... stay San Carlos two relative week September think experience wonderful . hotel friendly homely feel guess be relatively small compare hotel around city . first time New York staff really helpful advise we worth see stay . always someone wait outside hotel open door come back hotel staff always say hello ; nothing seem much trouble . I guess lack facility compare giant firm , pool hotel bar / restaurant , New York step outside hotel find whatever looking bother . gym small thought brilliant , station equipt tv watch work . cyber lounge brilliant idea really useful ; even printer need print anything off . the room comfortable bed keep immaculately clean everyday wonderful housekeeping staff ; Aveda bath product great addition . tv fab - pretty big flatscreen - wonderful ! get complimentary newspaper every morning complimentary breakfast . people complain breakfast find pretty fine . basically coffee , orange juice , yoghurt , bread , pastry toast ; find wonderful though not interested anything heavy breakfast . definitely worth money definitely worth stay . ' m go miss hotel ! 
 Sep 8 2005 	 try make eye contact shift ..... 	 travel business past 30 year first time stay last year disappoint annoy old gentleman front desk . first try check - in need get ready business meeting keep make make small talk annoying . upon check - out insist use particular car service , turn nightmare ! recently could get anywhere else book old gentleman annoying ( not retire already ) thank god afternoon staff , pleasant overly talkative ! hotel lovely great location ( hopefully ) retire next year will not back ! 
 Aug 20 2005 	 Terrible Services 	 treat theif hotel . see housekeeping laziness stay hotel . room dusty , amenity kit seem like use already , white towel not white . Turndown service mess . housekeeper come room around 10:30pm . reviewer say & quot ; kidding & quot ; , guess . not care problem see stay since one night . however , get charge $ 170 hotel , call tell take two bathrobe room stay . never see BATHROBES room ! office manager keep tell two bathrobe miss . charge customer , not check housekeeper ? ridiculous . point want treat pay , want treat customer , theif . 
 Aug 16 2005 	 absolutely love 	 stay 2 night San Carlos Hotel - 3 adult & amp ; 2 child . rave enough hotel . hotel staff extremely friendly & amp ; helpful . room 1 bedroom suite & amp ; quite large , clean & amp ; elegant . Loved Aveda product . hotel great location . would hesitate book especially consider price large room - seem like bargain . 
