incredibly 	 unbeatable location well bad asset hotel . just across road Victoria Station , situate strategically , especially arrive London Gatwick . drawback ... room ( 4th fl ) face Victoria Station INCREDIBLY noisy night . believe , design , nobody realize close Victoria room , least extent , soundproof . stay 2 nigth . first one barely sleep . get bed several time double check window closed could believe much noise could come room . second night sleep much well ... previously buy earplug . by way , internet connection free , slow . 
 Sep 17 2006 	 well worth stay . 	 brilliant location next Victoria Station . handy theatre nearby good pre theatre dinner . breakfast pricey go many place nearby . very clean comfortable . pool area gym bonus unwind end long day . 
 Sep 17 2006 	 bit Disappointing 	 first , good news . hotel locate one quieter side Victoria Station , convenient London underground train . parliament 10 minute walk . room comfortable nicely furnish . now , bad news . nonsmoke room smell smoke . hot week London , air conditioning work repeat request fix ( broken light ) go unanswered . colleague trouble hotel laundry ask basic like extra towel room . so , stay good hotel business leisure trip overshadow poor customer service . 
 Aug 29 2006 	 would stay 	 find good hotel London decent price difficult , esp . since city expensive ! Hesperia great hotel price find ( $ 350 two night ) . location Westminster .... within walk distance Underground Victoria Station , Buckingham Palace , Big Ben , Westminster Abbey , London Eye many attraction . several Pubs shop nearby . staff friendly allow we drop luggage prior check could sight see bit . conceirgie help we find way airport helpful question . room clean well bathroom . Bathroom looked recently remodel . complaint would view ... overlook train / underground station . however not view price / accommodation right . also .... suggest breakfast buffet . pricey $ 18 person , however large selection choose fill midafternoon / dinner time . well worth ! definately suggest Hesperia . 
 Aug 24 2006 	 good choice get good deal 	 London Victoria HESPERIA good choice need & quot ; homebase & quot ; London . across street Exit 1 ( Hudson Place ) Victoria Station , ideally , centrally locate bus- , train- taxi service . plus , station offer wide variety snack opportunity , Marks & amp ; Spencer Food market right also Sainsbury Supermarket reach within 5 minute walk distance . the HOTEL modern , clean , nice , comfortable . ROOMS bathroom pretty pretty spacious London standard find bed comfy , . NOISE Victoria Station not bother . fact , could hardly hear , wonderful surprise ( consider previous reviewer ' complaint ) . also , build site next door never problem . window definitely soundproof ! BUSINESS center lack bit privacy since consist two pc terminal & quot ; lobby & quot ; meet room facility , mean : step lift right computer desk . internet access cost 4 pounds/15 minute . the FITNESS center disappointing . dark taste , give & quot ; wellness area & quot ; rather dingy , shady air , confused mood lighting . not look well keep , unfortunately . exercise room freeze ( feel like 16 ° c ) temperature could adjust . water temperature cozy warm pool not look invite ( , light problem ) . pity , would like try really , pool one factor base decision stay hotel rather another one . also , flood two day stay change room . really little care well lighting , maybe plant ( show hotel 's flyer ) area great potential , though . at check , initial impression STAFF not well , since receptionist Luisa seem slightly bother fact could not immediately understand everything tell . see poor command english language could problem ( state previous reviewer ) . 's Luisa rude , seem unsure maybe bad day top . anyway , smile would help lot . desk manager take much friendly accommodate nicely . check , Sara ( young italian lady perfect command English Spanish ) real pleasure explain apologetically since staff member Spanish ( lot guest , ) , speak much frequently hotel English . not problem , see people might annoyed & quot ; get & quot ; staff . my last really substantial complaint would , general , staff take long respond question / request ( extra pillow , e.g. ) . upon arrival , though August 19th , room freezing . try figure in - room air control system could not . take four phone call housekeeping front desk two hour waiting time get problem take care . finally though , friendly young man maintenance bring individual heating unit room could adjust temperature like , happy ! standard high 's give Hesperia & quot ; & quot ; 3 5 point . overall , would definitely recommend hotel get good deal ! check website : get double room ( breakfast , taxis include ) 102 Pounds / night . ( regular room rate 254 Pounds ! ! ) . London outrageously expensive , will hard press find decent accommodation less . good thing shop around compare price ! 
 Aug 23 2006 	 Convinient Hotel Heart London 	 scour Tripadvisor hour search comfortable decently price accommodation , eventually choose Hesperia London Victoria . upon spend first night hotel , realize endeavour pay . follow paragraph comment location , room , service , breakfast hotel . situate opposite Victoria Station , Hesperia Victoria hotel offer easy access London ' main tourist attraction . many attraction , Buckingham Palace , accessible foot . underground ride airport Victoria station take 40 60 minute . Victoria Station equip escalator , one might experience hardship carry heavy luggage . hotel guest also take advantage tourist information centre , locate station . centre provide assistance direction , sell ticket many attraction . need help direction , preferred stay queue pose question information clerk oppose hotel receptionist , accord Tripadvisor commentator , assistance . hop - on Hop - off bus station five minute walk hotel . unfortunately , proximity station always accompany disadvantage . instance , room , open parking lot station , often irritated noise vehicle loading unload cargo around clock . mask noise , resort fan ; hence freeze temperature middle summer ! apart noise , room agreeable . fact , compare european hotel room , room Hesperia spacious . room equip mini - bar , i.e , small fridge contain overpriced beverage chocolate bar could place small sandwich drink , buy Mark & amp ; Spencer locate station . also kettle , tea bag , instant coffee , sweetener , biscuit . noticing rust bar electric kettle , informed cleaning lady provide brand new kettle instantly . bed comfortable sheet look clean . like guest report , toiletry adequate ; contain toothbrush , toothpaste , comb , shower cap , shoe sponge , soap bar , shower gel . hotel one receive Dove popular brand , soap bar gel unique ; pleasant Aloe Vera fragrance . canadian resident first trip England , hope hear British accent time , would imitate later ! ! slight disappointment , none hotel crew originally british . hardly able converse English . time , difficulty make request understand member . nonetheless , always helpful smiling . everyday , 16:00 18:00 , clean lady would knock door enquire whether need anything . service make feel privileged . claim stay Hesperia London Victoria enjoy great customer service . one could also avail free daily newspaper magazine place table elevator . never consider big breakfast eater , walk breakfast room contempt . upon see various type food smell tantalize aroma , could resist copious amount food every morning . breakfast cater taste , even vegetarian like find plenty eat . different brand cereal complement many type dry fruit place next big bottle milk . explore two - shelve breakfast self - service table , please come across several type muffin , bread , jam , compote , fruit , cheese , yogurt , well hot food scramble egg grill tomato . summarize , must say find Hesperia London Victoria agreeable hotel heart London . 
 Aug 17 2006 	 Loved Hesperia 	 stay hotel start August mother . get excellent rate £ 333 total three night B & amp ; b -- full price per night £ 254.we love hotel , room good size two single bed , plenty wardrobe space , fabulous bathroom divine toiletry , course take home bathroom ! breakfast delicious -- wait two morning seat expect long weekend hotel full . the maid service good , use swimming pool go look look fine although pool quite small . it totally deserve 4 * status -- friendly helpful staff reception restaurant . plenty lift ( 4 think ) always quite busy . proximity Victoria train station perfect also Victoria bus station use time trip central London . and Gatwick express bring right Victoria train station perfect location flight too . you can not go wrong hotel perfectly honest can not understand anyone would give hotel bad review -- fairly high standard stay plenty hotel around world -- give bad review hotel -- standard must right richter scale ! ! 
 Jul 31 2006 	 can not understand review good place ! ? 	 stay Oceania Hotel Paris , head London Hesperia 4 * Hotel ! dissapointment ! maybe Oceania good ? ? either way 4 * expect . arrive 10 pm drink bar nice . room stay cost stagger £ 275 per night get last minute deal online £ 97 . would refuse pay £ 275 place , soon go upstairs leak corridoor roof . inform reception send someone put bucket night ! ! ? ? arrive room nothing special like travelodge really ! noisy due helicopter plane fly ! ! morning breakfast superb , choice continental full english ! breakfast go swim ! well really , like dip foot walk ! pool dark bit dingey jacuzzi fail work ! change room small shower hot water ! poor 4 * ! one advantage 2 minute away Victoria Station accessibility city good ! overall dissapointed would stay ! ! 
 Jul 24 2006 	 Excellent 	 girlfriend stay night . find room really nice , imaginative decor great large LCD tv . bathroom nice , toiletry actually really good - Molton Brown anything , think hotel 's brand , shower gel soap smell great ! bed massive comfortable . great location access Victoria station . 
 Jul 12 2006 	 highly Recommend 	 wife stay hotel 2 night . room lovely . single hotel other stay London year excellent service . maybe chain spanish English run ? say british person ! breakfast buffet extensive . cereal pastry good old full english Breakfast . close Victoria rail underground station well bus coach station . lot place eat . easy access Central London . go travelie around London buy Day Pass . would definitely stay . room overlook building site , troubled noise . 
 Jul 4 2006 	 good location nice stay 	 stay 4 night pleased stay . book via Hotels.com get great rate ( $ 135 per night ) . rate do not include breakfast , enough place within walk distance eat . room roomy , clean , A / c great relief walk city day heat . bathroom large , great LCD tv room . room back hotel , do not hear noise , although see hear construction checking . could see room near construction might problem day noise , construction stop 5:00 . great location travel via tube , hotel right across station . overall , pleased accomodation . 
 Jul 3 2006 	 good second time round 	 second time stay hotel yet thrilled accomodation , service , cleanliness etc . breakfast fantastic . location fantastic not understand complain noise station . room fully double glaze never hear sound . ' m look forward next trip hopefully night . want excellent clean hotel easily worth money recommend one . fantastic ! 
 Jun 12 2006 	 great weekend break 	 return weekend hotel . delightlul . hotel modern clean . staff friendly helpful . room overlook station aware noise . air conditioning blessing , especially hot weekend London year ( far ) . buffet breakfast good . location ideal , across Victoria train , underground bus station . make easy getting . hot day London bliss get back hotel cool pool . , ` fault hotel . 
 May 31 2006 	 relief ! 	 first trip London , research everything ( hotel , area , tour , etc . ) thoroughly could 5th anniversary , want comfortable entire week husband . want stay away plaid bedding , musty old smoky room , unsafe location , etc . something expensive , gross old place old City . book hotel reservation department month trip ( use Trip Advisor , helpful ! ) , knowledge could cancel anytime , pay upfront . reservation department easy deal answer question ( website not tell ) . know , american lot question , use lot thing other world ... not snobby , use get lot money , work much , not want headache , especially one vacation ! People interpret way , opinion , speak want something ( want water ice , ask large ICE Water - SPECIFIC , else get small glass warm tap water ) everything will not get want , ask , relaying & quot ; unsatisfie American & quot ; syndrome ) ! fact matter people seem deal thing would deal States . since use Trip Advisor much planning trip , want return favor try answer additional question may , reservation photo answer . first , fly Heathrow Amsterdam leg trip , tired . take train straight Victoria Station . maybe 30 minute trip . elevator escalator , pack light , people ! glad ! thing ADA ( disability friendly ) anywhere , except maybe bus museum . get train go platform 1 - literally , across street hotel . could not convenient ! happy walk hotel like boutique style hotel , clean modern . want . check problem . get room ( 7th floor ) disappoint minute walk . room seem old red ugly stain carpet . small , bed small , view well . construction next hotel room overlook construction . call front desk ask room large bed ( bed equivalent full sized american bed - sleep King home ) . woman check we say not large bed like States . think country century history , KINGS Queens , not large bed ? not go work , especially 6 night ! yes , London run around room , room , want comfortable . make reservation , ask fully refurbish non smoking Queen King room high floor , away elevator , etc . , hot room , air conditioner working . call front desk tell A / C . send nice guy see happen - end burn arm try fix ... not fixable ! suggest tell supervisor burn - say need . imagine ! say want move another room . come back show room floor . MUCH well ! ! big King size bed , non - red ugly floor , etc . different decor , well view , much fresher cleaner ( move Room 711 ) everything good . point ASK not like . anything , ask room - satisfied , say lot . make sure ASK stay BACK HOTEL , VICTORIA STATION NOISE BOTHER ! also , minute arrive need something , like pillow towel , sure ask ASAP , get & quot ; un satisfy American ask thing & quot ; issue way . tv option room bore . look fall asleep , watch tv option . BBC 1 , 2 , 3 , 4 , german , dutch spanish channel - mostly news stuff ! plus , Al Jazeera , could BELIEVE ! little annoyed would give we channel something decent like movie channel , etc . plus , offend would & quot ; negative totally bias anti western / american / jewish / every person world & quot ; channel . good american English speaking program ( BBC channel ) - wrestle Hall Mark Channel . not watch wrestle ever ! think like watch ? comedy movie ? wrestle ? ? get breakfast include room . Buffet service , good . go early morning , later . food fine , get old week . nothing new different everyday - stuff . croissant , Fruit , meat , egg , cereal , etc . never touch meat hot bar stuff . little scared , especially blood patty , people seem love . , much . keep simple morning . table small menu - order fresh make order egg want . twice . opt breakfast include stay , always go train station get coffee , pastry , etc . either way , end eat stuff ! tell need something different day , like pancakes french toast . doubt ever happen ... get poach kipper ! yum ! kid ! never drink bar eat dinner restaurant . much outside choose ! never go pool conference center , sorry . concierge helpful , ever . one barely speak English ( okay , France , would not expect excellent English , London ... expect ! ) ask close Marks Spencer ( part grocery , part clothing store ) try send we expensive & quot ; restaurant . not ask much . much energy waste ! use travel book instead . even hotel reception not know much way area , go , etc . look get VAT refund , sure hotel give form . girl checkout say would get airport , not know , airport , say hotel give we form . lose $ vat . good noodle ever ( seafood black oyster sauce ) , go Jenny Lo 's Tea House ( recommendation come book ) 14 Eccleston Street . yummy ! ! ! 10 minute walk . try ask great pasta ( love mushroom cream sauce ! ) . go Masala Zone SOHO great indian food - Lamb curry excellent . Mr. Kongs Chinatown - get beef pepper dish . want Fish Chips , favor share travel companion - save $ something else- almost $ 30 fish chip pub , bland ! check Nandos Pimlico great Peri Peri chicken . not bother Bella Italia . get steak pasty somewhere - good ! ice cream gelato store Victoria area . ask people , look like crazy . want , go Sainsbury 's ( next Nandos ) - grocery store . buy 6 pack bottled water , fun pay $ 4 bottle water London . also , find EAT PRET MANGER become good friend , especially budget ! hotel 's area busy ! Victoria Station major station , much go . always feel safe , problem . hotel close everything , really fantastic ! Buc Palace 15 minute walk . tube fast , hectic . try use non rush hour time . swear , time could get tube many people little scare many people small crowded area . smart . watch bag ! wait another train crowd . also , way find ( sign , etc . ) tough , sure map time . People friendly reserve . not get London Pass unless really intend visit everything - get 3 day card . spend much time walk visit free stuff , pass would worth - 6 night ! get Oyster card airport ( zone 1 & amp ; 2 , pay difference another zone go Windsor something ) travel tube bus . never get cab . never feel need , could not bring spend money . go Windsor , London Eye , Tower London - worth ! not St. Pauls ( expensive , go several church free ) . go free museum , etc . walk main path adventurous ! amazed city ! London huge small . old new . clean dirty . nice rude . check Thames walk Tower London also side river , near London Eye . anything trip , sure go park - fantastic ! Hyde St James favorite . swan amazing ! prepare spend lot money simple thing .... US $ exchange rate terrible - almost double ! bring scarf glove - windy cold / rainy , end May ! lady , bring cute hat hair blow everywhere ! everything casual , not sloppy , especially Windsor museum . beware eat basement give restaurant . not - wait another table go elsewhere . Gatwick express easy - 30 minute airport station . problem ! plus much cheap cab , really not want take tube . recommend hotel convenient , clean , modern inside . bathroom fine . plenty space . not match decor - refurbish hotel year ago , cheap not get bathroom . oh well ! housekeeping fine . everything say do , happy get , go London , would probably check Victoria Park Plaza , another option we leave London - little $ , look awesome ... also close station . mean take photo room , etc . forget ! sorry ! hope help ! 
 May 9 2006 	 handle unexpected problem professionally politely 	 hotel average average , although be difficult compare UK hotel objectively since not stay many . pay 589 US dollar ( inclusive 17.5 % tax ) three night book hotel 's web site . say room clean , contemporary sufficent size . everything perfect working order , , AC break . switch another room , thing happen room , switch executive suite ! first two room front hotel face railroad track Victoria Station , directly across street . window provide sufficient noise insulation railway noise loudspeaker announcement . final room , suite , face rear hotel , quieter , great view . ask rear facing room , staff great . helpful polite . 's great supermarket ( great quality low price ) within five minute walk 's surround nontouristy restaurant . great fish chip meal Seafresh . 
 May 5 2006 	 excellent accommodation 	 stay 2 night April , definitely back . book thru Hotels - london - pay 1/3 hotel price upgrade single twin check . cheap reasonable London - stay awful place price past . concern noise Victoria station disturb . friendly , efficient staff , lovely accommodation . 
 May 1 2006 	 convenientfantastic breakfast 	 book Hotel Superbreaks special deal . love Hotel . convenient underground train enthusiast love able see Victoria Station . noise station . room clean excellent television . breakfast superb , huge choice . Spanish Chain , many staff spanish good command English . chance sample leisure facility . 
 Apr 13 2006 	 OK 	 stay 3 time period 2 - 3 day time . it be conventient business traveller tourist , literally 100 m Victoria Station . area bit heel safe anywhere else central LondonHotel totally refurbish bit spanish style . reception efficient breakfast superb . hotel look great good niggle . if travel business room light awful - could not read document desk room , dark . bed awful . soft wobbly ! also underneath 1960 's tower block noisy ( work ) air con date phone system . nice veneer though do not look closely fine ! fairly good value 
 Apr 8 2006 	 lovely way start New Year 	 stay hotel celebrate Sons 21st Birthday - New Years Eve book 2 jacuzzi suite - special treat , son fiancee love . location great , really close victoria station buckingham palace . everything clsoe tube really close . follow night move - would prefer stay original room - however staff ensure luggage move without need we come back day . drink hotel bar - cosmopolitan cocktail fantastic . breakfast really nice morning . complaint room hot - note feedback form give . would stay hotel London . 
 Mar 29 2006 	 lovely hotel convenient ! 	 great location ( handy everything ) , lovely room , friendly staff great breakfast start day , would definately stay ! 
 Mar 26 2006 	 pleasant weekend 	 find Hesperia pleasant . place next Victoria station ( perfect fly Gatwick ) .Rooms quite spacious clean , like bathroom , you ll find kind amenity clean crip towel . bedroom really confortable pillow & quot ; menu & quot ; . room first floor overlook Victoria station ( love train ) dislike noise morning people mooving & quot ; cargo & quot ; .The staff , reception bar really kind . 
 Mar 24 2006 	 worth money 	 Noise level build work next hotel . we book hotel four star rating , along leisure facility . as far view room forget it . location well far security exist . lot vagarent street . the leisure facility leave lot desire . no heating pool dress room area . Jacuzzi lot miss tile sharp edges.pool tiny size dirty . Shower area seweage water appear time child use shower .Water pour floor area . no panic button evident sauna . water main problem second day stay . no sanitary facility room . request meet duty manager take fifteen minute . eventually arrive ask problem tell take three hour fix . we tell use hotel around corner need basic sanitary facility . why contact situation , reply duty manager Sir two hundred guest stay hereit possible . at one time count four five staff reception . maybe do not use telephone . we pack bag move another hotel within vinicity , exellent . we decline offer return hotel problem resolve . we pay bill recieve twelve pound fifty per person , total fifty pounds.this feel insult.talke local follow morning inform since hotel change lot problem include electricity mention one problem . having spend amount money stay , feel get service facility . 
 Mar 13 2006 	 differ room quality 	 Superb hotel . stay . quality room vary though . find book room discount price give one awful room . however , book directly website get terrific room . 
 Mar 6 2006 	 Hesperia London 	 absolutely first class location directly beside victoria train station centre london . closeness real advantage anyone tend tour london . room hotel exactly have expect although receptionist inform , real difference executive room standard room big wardrobe , free bottle water mini bar free kit kats fridge would advise anyone book standard room . staff extremly helpful friendly able reccommend good restaurant place eat . avoid pay extra money breakfast walk across road starbuck victoria station coffee toast . great spot . number 24 nbus leave leicester square every ten min nite stop outside hotel . could not get well location . 
 Mar 6 2006 	 Hospitable Hesperia 	 return short weekend break London .. stay Hotel , Hesperia Victoria , 2 Bridge Place . lovely time . check - in smooth straight forward , time waste . staff friendly & amp ; courteous helpful . seemed genuinely happy greet we . the accommodation splendid , comfortable room immaculately clean . bathroom little small side perfectly adequate , plenty soft fluffy white towells washroom essential provide . the bed comfy plenty pillow like ! ! bar facilite also good altho use pool , venture look around . the location superb , right close Victoria station Victoria Underground . also useful going theatre , Palace Appollo right doorstep . all central hotel choose superb weekend London . highly recommend ! ! 
 Mar 3 2006 	 impressed 	 whilst room comfortable & amp ; clean , definately small side - extra foot round would make difference . room 8th floor quiet members party floor complain external noise ( train , station announcement , workman ) internal noise ( air conditioning ) . breakfast ok nothing special . good position Victoria would recommend get room good price . 
 Mar 2 2006 	 good hotel good location 	 stay two night February 06 ( Sat Sun ) book Superbreaks website . pay £ 99 per night double room include breakfast . strength - clean modern room , spacious well equip ( grumble biscuit ! ) consider proximity Victoria station , room quiet . friendly helpful staff ( although minor language difficulty ) tv room full Sky sport channel weakness - nothing significantbreakfast - good selection hot cold food ( although pastry selection could well ) - item well stock replenish . average breakfast standard hotel . hotel busy Sunday morning breakfast seat area inadequate number guest . staff good manage situation . wait bar approx 15 min - guest seated order arrive , although initially situation appear bit chaotic . would recommend hotel price . 
 Feb 27 2006 	 pleasant comfortable 	 one night , would happy stay long , staff helpful , location regard sight great , would reccomend undoubtly . 
 Feb 17 2006 	 Great wanted 	 always use tripadvisor help book hotel think also contribute site . stay Hesperia Valentines day pay 108 pound inc . tax exclude breakfast standard room . go see Billy Elliott ( teach boy play Billy ! ) location brilliant . wander around London easily find way back use map underground . 6th floor face station rarely hear noise ` bother we . bed fine ... little soft like three pillow find little odd ! anyway room modern clean needed hour actually spend room . slight problem air conditioning ` working room get little warm night we quite hot blooded . report check apologize . would definately return hotel next visit London . 
 Feb 14 2006 	 excellent location careful 	 family stay hotel weekend . give 2 nice adjoining room . location convenient close Victoria . stay Holiday Inn . refurbish . spannish hotel , many tv station spannish , magazine room . day breakfast wait . Saturday lay table bar , Sunday wait 10 minute . a hot chocolate bar , luke warm , powder packet completely stir in . what upset daughter perfume steal room . staff accept responsibility , almost doubt anything take . whereas put many thing room safe , really think necessary place perfume . great disappointment would otherwise nice weekend . 
 Jan 15 2006 	 perfect location 	 stay hesperia 30th jan 2nd jan girlfriend.we 22 19.we find hotel perfect location.literally 20 metre victoria station , right load bar , restaurant , bus stop etc . within walk distance buckingham palace big ben . train extremely easy use people willing help.train bus cheap efficient.get day pass zone 1 2 need £ 4the room comfortable clean large flat screen tv massive bed . criticism mirror far plug girlfriend hair use straightener / hair dryer , would recommend take small mirror case.the staff friendly would highly recommend breakfast buffet.fresh juice , tea , coffe everything could possibly want eat , high standard.didnt problem noise people complain about.we fourth floor though do not know help 
 Jan 5 2006 	 convenient lovely stay 	 arrive late December get great deal , £ 89 per night room , breakfast , inclusive tax . room lovely , average size , nice texture brown theme one wall , flat screen tv , lovely bed , average bathroom , pretty organza seperate bed clothe area . location convenient , be literally outside Victoria station come Gatwick really make ideal . buy breakfast station , could keep minibar morning- make good saving . within easy walk distance Westminster , Big Ben , Eye , Buckingham Palace , manageable Downing St , Trafalgar Sq / Leister Sq etc , plus bus tour company operate round block . Victoria Palace theatre , 4 minute walk , go see Billy Elliot fantastic . know worried try book hotel leave , say one genuine gem term proximety , amenity general niceness- really enjoy stay . 
 Dec 21 2005 	 great palce start shop trip 	 Hesperia London Victoria Hotel shopping break ( two night ) , book 99 £ superbreak.com ( include everything - breakfast , vat , taxis ) .room modern , spaciously clean , breakfast ok , famouse spoil swiss traveller . staff polite . everything work fine , compare former hotel pricelevel Hesperia London Victoria great deal . location opposite victoria station perfect point reach famous london shopping location within minute . would definitely recommend ! 
 Oct 25 2005 	 extremely well place hotel - great weekend ! ! 	 spend 3 night Hesperia London great weekend . breakfast excellent lobby , bar dining room clean well keep . staff quite helpful pleasant disappointment first room allocate scaffold right outside window . query reception inform man would work early morning naturally request change room . offer upgrade extra £ 75 - disappoint discover going charge pay upfront hotel August use money almost 3 month annoying think put room first place ! however , eventually allocate another room small bed pay unpacked resolved & quot ; make - do & quot ; stay great . hotel currently refurbish complete ' m sure even well . 
 oct 22 2005 	 lovely Stay ! 	 wife lovely 2 night stay . staff friendly helpful , place convenient huge range London attraction room spacious ( huge bed ) , clean comfortable . recommend place highly . 
 Sep 29 2005 	 love 	 stay one night fabulous . room modern clean . staff extremely friendly helpful . handy train tube station . breakfast excellent load choice available suit everyone 's requirement . can not wait return would certainly recommend . 
 Aug 29 2005 	 great breakfast nice functional hotel 	 room size good London suppose ( executive room ) . Buffet breakfast fab ! really good range ( 10 different fruit , full english continental , cereal ..... ) . complaint room corridor hot , air - con ineffective , hot London . pay £ 105 double incl . breakfast get free upgrade polite . would stay , reflection would probably prefer somewhere character . ' holiday - inn ' style hotel , be excellent . like reviewer recommend , stay back quiet . 
 Jun 22 2005 	 beat expectation 	 fault hotel- v reasonably priced,2 minute walk metro , decent size room spotless , nice aircon v quiet altho 6th floor always helpsstaff helpful polite nice variety breakfast- recommend highly enough 
 Jun 13 2005 	 CLEAN / COMFORTABLE ACCOMODATION ! 	 husband stay Hesperia last month choose location ticket see billy Elliot theatre Victoria . directly opposite train station 5 minute walk Buckingham Palace , ideal location . the breakfast great , excellent choice friendly staff facility brilliant . ( sauna / jacuzzi / pool ) .Our room bit disappointing hotel advertise 4 star room similar travelodge / travel room clean comfortable . the lobby bar rest facility 4 star , room 3 overall good . 
 may 10 2005 	 Ready go back ! 	 husband return London . Hesperia London Victoria make vacation much pleasant . staff friendly helpful , breakfast buffet superb . room cozy quiet three night . love large bathroom hugh bathtub . yes , also telephone bathroom ! ! ! hotel close main attraction like Buckingham Palace , Big Ben , West Minister Abby , one half block well know tour company day sightseeing . take maybe two minute walk Victoria Station catch train back airport . go back London look forward stay ! 
 May 4 2005 	 would rather sleep tent 	 stay hotel one week . shure never absorb floor room . room uncomfortableness . food bad.neighbourhood catastrophic ! unreasonable price ! ! ! - nothing ... go ... 
 Mar 6 2005 	 Hesperia exceed expectation 	 get back London agree last reviewer . hotel staff friendly , room clean organize modern . stay one night problem . would stay . location convenient - next Victoria Station . 
 Feb 8 2005 	 ' m buy 	 either lot change hotel , previous reviewer make stuff . stay Hesperia London Victoria week January . hotel convenient location . be clean , staff friendly helpful , feel completely safe around hotel . money , be great choice visitor London . 
 Sep 29 2004 	 Better Average 	 stay hotel London business say , rename , Hesperia London Victoria one well one . yes room little date , yes get little noisey face station window open , price charge , London hotel , rarely find well . real complaint regard hotel leisure facility . gym equipment appear bit shoddy room equipment locate bit cramp piece try stuff . still , overall would stay . 
 Sep 25 2004 	 excellent hotel 	 stay hotel many occaision always find accomodation service high standard . get hotel easy . hotel right beside Victoria station - offer easy connection Underground National Rail network . ( Tourist Tip : be leave mainline station , leave exit 1 will see hotel across road . ) rate London city centre hotel excellent . also receive upgrade executive room suit several time . I sorry learn hotel long franchisee InterContinental Hotels Group 's Holiday Inn brand . member Hesperia hotel group . however , ' m sure hotel still delight excellent service warm welcome , choose stay . 
 Aug 16 2004 	 Hotel Pits ! 	 reservation Holiday Inn Victory part group 23 14 night . London heat wave air conditioning . tell we 3 day fix minute .. lie , wait cool weather . toilet work , phone work . rude we . ask fan tell . ask move another hotel , front desk manager tell we typical british condescending manner & quot ; go anywhere & quot ; . lie travel agent say air 100 % work . finally get move another hotel first three day ruin . hotel good location right next Victoria Station apparently feel treat client way choose . would never recommend hotel . 
 Aug 11 2004 	 nice place ! 	 ' ve stay business extensively 's nice hotel , staff friendly gym ok ( hotel Gym ) . be convenient place London next tube station near park like . I agree 's noisy next station ( beep night drive mad ) ask room 's station side will find much nice . ( Holiday Inn Platinum card member helps - get Christmas card last year ! ) 
 Jul 29 2004 	 one Major Problem 	 nice room . quiet close station . convenient loaction . excellent breakfast buffet . however - air conditioner work three request front desk ignore . 
 Jul 21 2004 	 so - so hotel 
 May 31 2004 	 good standard large suite 
 May 20 2004 	 lovely clean hotel great location 
 May 18 2004 	 Superb Location Quiet 
 May 4 2004 	 good bad exchange rate terrible 
 Mar 9 2004 	 need 
 Jan 19 2004 	 parking 
 Oct 13 2003 	 bargain London 
 May 18 2003 	 superb hotel 
 Apr 24 2003 	 get skin rash swimming pool 
 Nov 22 2009 	 merece lo que cuesta 
 Nov 13 2009 	 muy buena ubicacion 
 Nov 7 2009 	 Bien situado cerca de Victoria Station . 
 Sep 24 2009 	 Equilibré . 
 Sep 5 2009 	 Todo un acierto 
 Aug 29 2009 	 ? ? ? ? ? ? 
 Aug 28 2009 	 perfecto 
 Aug 21 2009 	 Un poco decepcionado 
 Jul 29 2009 	 Excelente elección 
 Apr 14 2009 	 Perfecta Ubicación - Personal Amable Eficiente 
 Mar 11 2009 	 EU ? ? ? ? ? WI - FI ? NET ? ? ? ? 
 Jan 7 2009 	 Buen hotel bien situado 
 Dec 22 2008 	 éviter 
 Dec 12 2008 	 Buen Hotel 
 Oct 4 2008 	 Ottima posizione per trasporti e buoni servizi 
 Feb 5 2008 	 Buen hotel te preocupe por tu inglés 
 Jan 2 2008 	 Un buen hotel 
 Jun 29 2007 	 Gerne wieder 
 Feb 26 2007 	 la suite para familia estupendo ! 
