great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Feb 20 2008 	 room average good service 	 stay training course work . room pretty average - small fairly sterile decor , job . not impressed cost internet access though . service good though - staff friendly ask help , pro - forma . wall thin - wake least one occasion someone next room pack . 
 Feb 15 2008 	 Average Business Hotel 	 average hotel . doube normal Hilton standard . price , well many London hotel stay . hotel location good access central line underground . however , 10min walk station . catch bus front station day . breakfast amazing . breakfast include room rate . gbp19.99 per person charge . alot money breakfast ! ! ! ! ! traditional english breakfast place outside hotel would charge approx GDP5 - 6 . give rennovated room . sure rennovate , maybe late 90 ? give room face back hotel nice quiet . bedroom small side expect european hotel . shower joke , I m 6 ' 3 tall ( 191 cm ) head would touch ceiling I m show . also sign bathroom say , please overflow shower drain bathroom . drain bathroom ? ? ? would stay HIlton Kensington ? maybe . dispite annoyance , bareble stay many bad hotel London price range . 
 Feb 13 2008 	 character - less 	 chain hotel set expectation certain level . we fullfille purpose : need nice place stay . room nice clean show effect long - term lack cleaning , eventhough think refurbish room ( mention previous review ) .Another thing not like noise little much night ( thin wall , hallway ) . strange enough lobby advert executive floor , want calm tranquility , find bit strange ' normal ' room not even ' normal ' standard . want complain much , definitely good thing . room indeed comfortable staff friendly efficient . experience good one , special one . location good well , fairly close underground ( although Shepard 's Bush shut building work ) area nice quiet . for business guest likely good option , tourist look atmospheric experience would suggest go , basic chain hotel . 
 Feb 4 2008 	 Book room refurbish ! 	 book Hilton Kensington 1 night stay attend work party town . hotel be get nice location near Holland Park , outside hotel look ok . well , be typical Hilton ( never look cool trendy spot & quot ; H & quot ; sign everywhere world ) . lobby area ok , tidy complaint . upgrade executive floor room still small old - fashioned ( decor wise ) . however , hotel undergo refurb floor seal away . ' m assume hope room decor update make modern . good stay , nothing complain rave . rate hotel quite good refurb , may return ! breakfast provide executive lounge pretty good . not visit lounge evening not know canape cocktail . 
 Feb 2 2008 	 small clean 	 like Hilton chain , get expect , except room much small US . extend family stayed enjoy recently renovate room , small , clean bathroom . restaurant also decent , nice area hang family . would definitely stay . 
 Feb 1 2008 	 great value quiet neighborhood tiny room 	 hotel locate quiet residential area Kensington ( near Notting Hill ) . numerous pub , shop , restaurant area . sedate , plenty do . directly outside hotel door stop numerous double - decker bus tour ; ticket purchase consierge desk . tube station 10 - 12 block away hotel . room quite small , normal european standard . stayed & quot ; regular & quot ; queen room could barerly walk edge bed wall . television hung wall space , watch head ! breakfast buffet incredible include price . include traditional english breakfast food ( sausage , bean , egg , tomato , etc . ) , american treat , international food fish , deli meat , etc . value great . internet wire quite expensive - $ 20 / day US . purchase pay - per - use card front desk allow use internet lobby computer . arrive 11 am 10 - hour flight give room immediately additional cost - 's worth 's weight gold ! 
 Jan 29 2008 	 cold water 	 stay tainted estate agent booking February 28th instead January 28th . hotel full find room £ 169 instead £ 115 . room smoking room floor refurbe . room cold water flush toilet , cold water clean tooth boiling shower . the room smell smoke air con nothing apart keep awake slash light control . the clock wrong radio . room service bring white wine instead red wine dinner . 
 Jan 13 2008 	 average ' chain ' hotel - stay purely location ! 	 hotel average typical chain hotel - would recommend complete complete renovation standard high may stay . good quality bed / linen , bathroom / towel / toiletry good supply tea / coffee room - would expect . not bother pay extra expensive room ( try request upgrade HHonors card holder ) get bath robe slipper ! high point breakfast bar - service quick efficient standard food drink good ( can not comment food serve hotel restaurant ) . hotel offer parking - underground car park run NCP - bit pricey car safe ! not forget part Holland Park within congestion zone ! hotel easy find easy navigate way ! Best Holland Park tube station 5 minute walk ( 10 minute stroll ) be straight town line change minute . try explore Holland Park Avenue way tube - lot top notch grocery ( Tesco open til 11 pm ) , cafe , bar etc , superb bookshop ( Daunts ) , hair / nail salon etc everything need doorstep ! low point hotel heavily use flight staff room often not ready unitl 4/5pm flight staff still asleep ! try get guarantee room ready need demand expensive room ! work ! 
 Jan 7 2008 	 lovely hotel really nice staff ....... 	 boyfriend stay New Year 's great time . arrive Ireland around ten clock morning , tired one staff member really nice let we check room delight ! room bit cramp not mind lot sight - seeing not intend spend much time . eat restaurant New Year 's Eve absolutely delicious , pricey well worth it . the Tube station five minute walk hotel also bus stop frequent service across road . also Hyde Park 15 minute walk away nearby Science Museum , fantastic ! London place New Year 's ! ! 
 Dec 22 2007 	 Moldy bathroom 	 go London shop 3 day . choose hotel 's Kensington Hilton . first 2 night , husband 5th floor , renovate clean , bed narrow . , third night , ask room double bed . give Room # 1078 . wall corner bath tub cover mold , sink black mold belt around . close bathroom door , could not open inside . door look like water damage . call husband , open outside . wonder would happen alone ! report bathroom condition front desk , tell room one good room floor . 
 Dec 5 2007 	 good night 's rest 	 visit London many time 1960 1990 stay mid - price budget accommodation fairly near centre . typically so - call " hotel " convert house room cramp , cheaply furnish limit en - suite bathroom perhaps share facility . although usually clean serve adequate hot breakfast , main complaint amount noise street traffic frequently guest , mean difficult get good night ' sleep . on 5 - day trip , since wife , decide treat something little well . shock price rise since last visit year ago ; even " budget hotel " surprisingly expensive . end settle 4 - night deal Kensington Hilton full English breakfast two evening meal include £ 488 . sleep well night - time noise either traffic guest . air - condition room good size , probably fairly recently decorate , sign bad workmanship . service breakfast excellent . table ' Hote dinner ( include deal ) good value London , albeit choice limit . La Carte menu much extensive prepared pay lot more . the hotel convenient people - centre easily reach public transport . return theatre West end Tottenham Court Road tube station via Shepherd ' Bush take less 30 minute door - to - door include 5 - minute wait train . 3 - day Travelcard economic way get around without expense taxis . I ' see review critical hotel – guess people accustom much high standard we , maybe unlucky , maybe ' little bit " picky " . stay hotel similar well standard pay lot less – London ! ! ! 
 Nov 11 2007 	 stay Way Boring Inefficient Hotel 	 Hilton Diamond member stay ay many hilton / conrad around world . stay see mouse run across bar area , lack fruit simple glass Pimms , right hand know leave hand generally poor ill position second rate hotel . excec upgrade room like go low class bar upgrade difference dirty wet table cloth table dry one . need stay side town somewhere else . Hilton would expect . forget get decent food matter decent bottle wine . room date hot rubbish view . people review o.k presume stay half decent hotel . leave poor review reflect totally poor experience encontere . 
 Nov 11 2007 	 Satisfying Stay 	 review hotel accurate . upscale neighbourhood tube stop -- exactly & quot ; hub & quot ; thing , want nice hotel good value London , think good choice . package breakfast one dinner include . breakfast room ( also dinner room ) nicely do breakfast dinner nice . staff friendly helpful . walker able walk Kensington High street Holland Park . 25 minute walk , beautiful neighbourhood park . the room bathroom nicely renovate . flat screen tv , comfy bed , nice clean modern bathroom . 
 Nov 5 2007 	 good choice good value money 	 stay Hilton Kensington weekend November 1 - 4 , book two double room via Londontown.com . I send mail hotel , would glad early check - in celebrate birthday there . arrive hotel 10.30 original room ready , get two alternative room immediately . check staff vewry friendly efficient . location : hotel locate Holland Park Avenue , 10 minute walk distance Holland Park District Line Station . really centrally , 3 bus line direct city access stop right front door . love location , nice upscale living area , close Portobello Road Notting Hill , lot nice shop restaurant closeby . Hotel:60 's style outside lobby need re - decoration . room newly renovate . size average London standard , bathroom small . bed comfortable bathroom amenity availablke , turndown service offer . definitively come back . food : one dinner english breakfast include rate . Breakfast delicious , expect english breakfast . breakfast room small size hotel , come early , always enough seating , otherwise wait minute . dinner perfect , 3 course meal , good choice excellent food . extra : come back room surprise find bottle champagne two glass room . next letter General Manager , wish we happy celebration ( refer mail send hotel ) . really great experience show spirit entire staff . overall : look central location 5 star luxury , stay away . if look good service , nicely renovate ( non - smoking ) room good value money do not mind take bus central location like hotel . 
 Nov 4 2007 	 Excellent Choice 	 October 18 , 2007 five night : rather disappointing eight night stay KK Hotel George May 2007 , base part determine overly positive review , vow give Hilton London Kensington chance upon return London . experience pleasing . ' know stay enhance lowly status Hilton Honors Silver Member staff could accommodate . though ' receive immediate early check - in , hour , provide room ready provision could change request room rest . blessing . , life - saver ! double perfect . flat screen tv , bathroom tub / shower , chair , room move , nice size window open comfortable bed deep mattress . matter ; important buffet breakfast , housekeeping , concierge , front desk , truly exceptional surprising considering size hotel . indeed every aspect , efficiency expect . though set certainly bit hotel , ' short walk Holland Park tube station beautiful residential neighborhood . tesco essential tube station . suppose bottom line location : get around tube , location bonus like benefit quieter residential location . respect hotel amenity , could please definitely return . 
 Oct 23 2007 	 good hotel good experience little far away ! 	 recently spend 2 night pre - cruise Hilton , Kensington . able get group 4 room Priceline $ 99 usd per night ! check fine , problem , room small , small thought MIGHT , enough room luggage ( LOT ) move . room clean , yes old hotel , wear & amp ; tear see , , nice & amp ; clean . we washcloth provide ! one complaint 1 & amp ; electrical outlet could get ! ! ! need power strip able plug thing . bathroom counter space small lighting little dim , manage . safe room maid service good . we eat hotel comment . continental breakfast offer bar area look pretty nice lot selection . offer buffet breakfast dining room . dinner menu look decent . location busy , beautiful tree - line street many restaurant within walking distance . tube 4 - 5 block . however , 20 pound ( $ 40 usd ) cab ride & quot ; main & quot ; attraction ! ! ! ( ie : Buckingham , Westminster , Eye ) tube good way take 30 minute quite bit walk & amp ; stair climb ! ! & quot ; & quot ; main attraction first timer London , would stay far , hotel centrally locate might convenient & amp ; time save term transportation . GREAT location wish thing within area . 
 Oct 2 2007 	 second time hotel 	 second time year , stay Hilton Kensington . find fantastic , great area London . nice get hustle bustle London . staff lovely reception restaurant . breakfast fabulous , every single thing could ask . love porridge ! ! number 94 bus right across street take right town , Oxford Street . prefer bus underground . 
 Sep 21 2007 	 Good Place Stay ! 	 spend 6 night Hilton Kensington happy stay . choose base value review read post other stay . locate really nice area far Holland Park Tube Station bus stop outside hotel door . ( Buses 31 , 94 , 148 stop . ) purchase ticket hotel concierge Original London Tour ( Hop on / Hop ) $ 38 . catch tour right across street hotel . book Golden Tours , also pick hotel . take Windsor / Sonehenge /Bath Tour . ( pick hotel not return - drop central point find way back ! room clean bed comfortable . nice pillow ! room 1st floor face Holland Park hear road traffic , unbearable . warning : not open mini bar not want pay top $ item inside ... not use place item . sensor charge remove anything ! not exchange money hotel . convenient , get lousy exhange rate . $ 2.25 per pound ... money exhange site see cheap $ 2.07 . successfully use debit card everywhere exception tube station use credit card . recommend take along extension cord adapter equipment need plug . outlet head bed husband use cpap sleep night . contact housekeeping within 3 minute extension cord plug desk place machine chair next bed well . able use extension cord plug curling iron . look hair dryer desk drawer . hold button whole time hand get little tired work great . room small refrigerator would perfect since not use gallon size zip lock bag put ice ( ice machine floor ) place item want keep cool . probably would good take small soft side thermal bag purpose . since find price breakfast hotel extravagant ( $ 40 per person ) , would go Tesco street evening buy roll / yogurt fresh fruit next morning . use Hotelink get Gatwick hotel . buy ticket online pay $ 50 per person worth tired night flight nice someone meet , get train train station , put mini bus drive door hotel . come home booked Hotelink hotel concierge return ride Gatwick $ 40 per person . advise rush hour subway treacherous . litterally jammed . since one - way trip subway $ 8 advise get oyster card travel card . buy 3 day travel card ( Approx $ 33 ) allow we ride subway and/or bus much like time period . weekend must go Portobello Market ( locate Knottinghill area bad walk hotel ) addition antique , street fill vendor sell fruit / vegetable / flower / souveneir etc . etc ... 
 Sep 13 2007 	 Appalling soundproofing 	 stay two night hotel deal see Ricky Gerais Live . the first night include dinner , fine , pay . room small adequate , comfy bed , nice flat screen tv . but second night , group tourist go room , opposite next door we , two hour eleven thirty one thirty , noise door slam . I actually go corridor complain fair , shut door quietly . the door room self shut fire door , do not shut , bang . it sound like people room . I mention reception say nothing do . I would stay hotel , purely noise corridor . borderline four star hotel , although breakfast good . 
 Sep 10 2007 	 Fantastic 	 use hotel , ungrade arrival executive room , large clean full use free bar . also first time use Sauna / Steam room unaware , tell check . mix use , arrival sauna greet 2 young girl totally naked , say shock first , start conversation feel ease , inform normal hotel mixed area yet see people wear costume , actually ask remove mine . overall great hotel friendly staff facility . 
 Sep 2 2007 	 good Stay Hilton Kensington 	 stay 5 day mid August . book disabled room twin room . disabled room wasvery small faced lift area unusual open wardrobe . shower also small someone need use wheelchair . 3rd floor . room turn King size bed big improvement disabled room . staff friendly helpful find breakfast selection good plentiful , weekend breakfast 11.30 . book deal Dinner include 2 night find set menu slightly restrict , good value extra £ 2 per night . definitely good idea book Hilton Dinner Bed Breakfast deal . drawback noise excite people wake we middle night twice , reception staff soon quieten . pleasant experience want hotel big room , try London Metropole slightly expensive also pool shop useful . would like congratulate staff Kensington Hilton mostly kind helpful we would recommend stay anyone want short break London fairly reasonable price . 
 Aug 24 2007 	 Nice Hotel Small room 	 nice hotel helpful staff . Minutes Shephard 's Bush tube stop nice get around . complaint room tight , breakfast good price . however , definately recommend hotel , great staff easy get around London . 
 Aug 21 2007 	 kensington hilton hotel holland park 	 great hotel ! ! staff helpful polite . room small , suppose . clean , shower well ever . water pressure terrific ; never see hotel great shower . the neighbor wonderful . lot great shop , pub , grocery store . walk night problem . we would definitely return . 
 Aug 7 2007 	 Substandard Hilton 	 return long weekend stay Hilton Kensington . compare Hilton hotel stay , definitely Hilton 's usual high standard result will not go back hotel again . first room big cruise ship cabin bath although make we laugh even big enough child comfortably bath , let alone adult . bed really uncomfortable air conditioning seem blow hot air - fact family stay wake flu like symptom . the idea trip watch rugby match Twickenham upon return match , make feel distinctly unwelcome hotel , dressed rugby top . hotel bar staff question we several occasion whether ) guest hotel b ) whether swipe credit card behind reception take 35 minute make drink claim bar busy , . question bar supervisor matter , assure we Hilton look people wear much allay fear consider poor service receive . luckily spend weekend sightseeing would want spend time hotel . 
 Aug 7 2007 	 Nice Hotel 	 Kensington Hilton great location Holland Park . upscale London Neighborhood instead brave crowd Central London . room small , clean quiet . get kettle tea , even give cookie enjoy pick - I - up . find concierge helpful . recommend nearby pub food like Crown ( friendly service , good food ) Miter little street ( disorganized service , table outside smoke ) . negative hotel ( call one ) scary price food week dollar . forty dollar breakfast ! $ 7.50 cup coffee ! discover Tesco street buy premade sandwich snack . learn 148 bus friend , go almost everywhere 24/7 . 
 Aug 6 2007 	 great ok 	 roome update even though small . common area need good update , concierge staff look like not see shower day .... would also recommend dry cleaning suit often . room clean quiet air conditioning adequate .... sure would helped heat wave . location good convenient . 
 Aug 4 2007 	 great two night break 	 use hotel several year ago , aware location , slightly outside main hotel area . us bonus - good bus service centre tube station 5 minute walk away connect directly Oxford Street theatre district . find really good chinese restaurant - Singapore - road selection pub nearby , price half rip - off centre London . good room overlook main road & amp ; little sound due excellent double glaze substantial tree , seem soak sound . find staff charming pleasant , generally smile . room smallish clean & amp ; bed quite comfy . book two night break dinner first night breakfast morning include . rate get £ 94.00 per night outstanding London hotel calibre Hilton Hotels congratulate offer , ( apply UK Hiltons ) . Dinner first night ok - food well cook & amp ; ample , breakfast usual Hilton buffet every conceivable item breakfast available . criticism dinner restaurant soul - less , jazz music play background , sound like cat strangle . taker dinner not surprise bill extras arrive show £ 3.35 one cup coffee ! carvery - type restaurant would much sensible would get punter . excellent hotel short break London want avoid rip - off hotel offer poor value money . 
 Jul 23 2007 	 week London 	 want introduce daughter London know expect hotel pleasantly surprised . bed comfy , room quiet overslept , hair dryer ironing board room . convenient Holland park tube bus take we tube station daily pass . neighborhood seem safe food street need . complaint would cost & quot ; extras & quot ; ... avoid hotel restaurant price . internet 3 pound 15 minute 5 pound 30 minute ! cheap go internet cafe one pound hour . arrive noon sleep flight California wait 3 pm room . possibly early check time would nice people come across world ! ! , enjoy hotel . central tube line change line need line get somewhere . 
 Jul 23 2007 	 Disappointed Hilton 	 give US dollar pitiful United Kingdom not willing spend $ 250 / night bed bug ride hotel room , went look esteem , establish brand hotel London close Central London many obvious reason . stumble good rate ( London ) Hilton 's website book without hesitation give outstanding success Hilton past . extremely disappointed hotel , however . room strong smell stale smoke , half bed severely tilt lay , feel go fall , room handicap excessible fine except shower enclosure not keep water shower like be suppose , light room not work , concierge extremely rude ask check Wicked Wimbledon ticket we . list go ... London expensive get , would not stay $ 100 / night . one plus good location , close central line station Hyde Park ( beautiful set talk walk jog ) . find reputable brand hotel stay London be look find good deal . not stay . 
 Jul 20 2007 	 Decent Value 	 exchange rate pound , Americans look value . hotel fit bill . place stay dive . hotel average room consistent european standard , i.e. , , small . nothing room luxurious , pay luxury . place would describe decent business hotel . something find reveal Thai Airway pilot flight attendant use hotel overnight stay . experience observation , airline book decent wonderful hotel . I disagree claim hotel centrally locate . hotel area central London map ' ve see . say location inconvenient . tube , get location reasonable amount time , however , within walk distance & quot ; sight . & quot ; realize distance pay taxi fare theater district hotel seeing play . also disagree hotel & quot ; near & quot ; tube stop . near Holland Park , zone two , one . luggage , take eight ten minute walk hotel . 
 Jul 14 2007 	 Good Value 4 Star 	 pleasant modern hotel nice room . will not disappoint . beware mini bar automatically charge even simply remove bottle take look ! complain charge waive immediately . device un - English ban . really hate they . front face room cooler get afternoon sun . however AC pretty good anyway . if come Heathrow , take Heathrow Express Paddington . taxi cost 10 pound . the HotelLink bus service also good . avoid tube heavy suitcase need change line . overall , positive experience . 
 Jul 6 2007 	 ok .... Loo 	 pro : good facility , great breakfast , perfect central London location - close proximity tube station right opposite bus stop . fantastic concierge service - well informed , courteous competent . con : dirty toilet , even complain , ' clean ' , still appal state ( see photo ) . cheap B & amp ; B London offer free / complimentary room internet access , Hilton disappoint + wifi : - ( . could bathroom small ? water spill shower drainage ! 
 Jul 6 2007 	 Definately recommend 	 Hilton @ Kensington tick box look middle price hotel good location attraction london . its couple hundred yard near tube station make really handy get around . room expect . good size , eqippe well clean tidy . Booking take little long would like obviously pick busy time arrive . staff friendly helpful throughout stay . we book one Hiltons 2 night & quot ; deal & quot ; competitive . would recommend hotel . stay comfy , pleasant hassle free . 
 Jul 4 2007 	 great place stay budget 	 although visit hotel year ago , finally get around posting review . wife stay hotel last week August , 2006.this great little hotel quiet area . need quiet , clean comfortable place sleep day , every day . although building bit old non - descript outside , interior fully remodel modern . room quite large european standard ( see photo ) , nice flat screen tv . bathroom solid ... great high quality soap shampoo . staff quite attentive concierge helpful . issue hotel come cost - room quite reasonable , restaurant within . London expensive , doubt , Hotel greatly expand . breakfast buffet , example , high quality cost $ 80 US two people . not eat first breakfast hotel . instead , eat chippie much time shop Tesco thing like sandwich , etc . ( fridge room , eat right away . ) tesco grocery store street - short 8 - 10 min walk - reasonable price even US ( Boston ) standard . this hotel well locate want quiet place stay posh street Holland Park area town . right next Notting Hill area well . locate two tube stop , though Holland Park stop bit hotel ( 10 min less walk ) , one use much nicer close little shop . lazy , take bus stop directly front hotel run 24 hour . transport issue location - subway ride short get pretty much everywhere need go quickly , cleanly , safely . ( highly recommend purchase oyster card - & quot ; touch go & quot ; pass - plan travel lot subway bus ; little newsstand street sell . ) great place call & quot ; home & quot ; tour city . highly recommend budget . 
 Jun 15 2007 	 good price excellent condition handy location 	 stay two interconnect room child one we ( 50 % second room Hilton ! ) visit family nearby . the hotel good condition think room look newly refurbish clean excellent condition . think back hotel though fetch view load aircon pipe ! communal part hotel good condition , gym not use pool shame . breakfast usual Hilton brilliant buffet breakfast good choice , well cook plenty everyone . staff efficient friendly . when book central reservation advise roll - away bed available check - in rollaway available - possible would check hotel discount it . location wise think excellent - lovely leafy Holland Park within easy walk distance Holland Park tube 10 min walk away get theatreland direct 15 - 20 min . easy get central London nice leafy area congest . speak congestion hotel literally 5 meter inside congestion zone little annoying parking cost bomb . have know may look nearby car park outside zone save bit money . all would definately stay think great hotel . 
 Jun 12 2007 	 do not waste money ! 	 hotel terrible . staff extremely unproffesional unhelpful . travel night want check 11 , tell Hilton customer service could hotel book / busy . be not get irrate front desk staff check early . hitlon honors membership still rude give preferential treatment . room really small do not view anything . hotel locate close landmark . 
 May 29 2007 	 comfortable nest 	 look hotel London price make we pause . settle Hilton Kensington compromise affordable . location semi - residential area convenient Tube . accomodation comfortable quiet . room come small refridgerator convenient . Breakfast delicious . around pleasant quite satisfactory stay . btw , locate conveniently near small supermarket sandwich fruit - nice light dinner . 
 may 23 2007 	 Hilton Kensington - Nice facility 	 book Hilton London Kensington Expedia stay 4 night .. May 18th - May 21st . ask Expedia early check , response call ask , not information . arrive 11 , desk clerk able accommodate request gracious . check Hilton Honors account , never see benefit know . hotel residential area , within 10 minute walk Holland Park Tube Stop ( door turn right . ) . 's small supermarket essential - fruit , sandwich , drink be minute Starbucks . bus 94 run hotel Oxford Circus . room small , clean include small fridge lcd tv . not try continental breakfast look good bar / lounge hopping every night . wall thin side get hear neighbor discuss parent marital problem . keep hair dryer desk drawer vs. bathroom . fitness center nice , 3 piece cardio equipment couple weight machine well good selection free weight . addition 's coed sauna steam room . like get morning run , neighborhood safe give pretty wide range terrain . two issue hotel . check ask get credit card guarantee minibar , ask turn credit room . , lock refrigerator use remote control . unfortunately put soda , unable rescue morning leave . issue Concierge , unfortunately not get name . go assistance booking tour , cab , etc . extremely efficient - almost point caricature pompous action . however ask confirm return trib Gatwick via Hotelink poie have already make arrangement , change simply call get confirmation number . neither significant negative impact trip even hotel experience . 
 May 20 2007 	 good exceptional 	 first time stay Hilton hotel , although good experience fall short high expectation esteem Hilton chain . honesty , hotel remarkable anything : area locate ( busy road residential area 4 km center ) , exterior building ( average though well - maintain plain brick facade ) , room reception area service provide . nice good , find many 3 4 star hotel throughout city . room smallish , bathroom even . room recently refurbish , light color , modern lighting , flat screen tv main benefit . ' ve see non - renovated room , difference big need make scene find get old one . airconditione work fine window well isolate hardly noise nuisance busy street front hotel . bed supersoft , selection pillow . I not take breakfast quite expensive ( 12 pound continental , 16 british breakfast ) , many good sandwich place close Shepherd 's Bush tube station ( 5 min walk ) believe also option along road Holland Park tube station ( 10 min walk ) . other note , walk Holland Park bit long nicer . scenice option go center course stay ground take real London double decker bus : line 94 148 stop opposite hotel run frequently daytime every half hour throughout night . I would hesitate stay Hilton Kensington next visit London , time will benefit realistic expectation . long price right ( pay 80 pound per night though hotel 's website ) good place stay . 
 may 17 2007 	 nice place stay ! ! ! 	 wife stay week may really enjoy . check - in fast able check early , nice consider 8 hour flight . gold vip Hilton although upgrade available , give we free breakfast every morning stay . concierge also knowledgeable helpful . room newly renovate comfortable . shower little small , pretty normal european standard . breakfast buffet every morning good ! ! ! nice assortment food , traditional english fare waflle , pastry , fruit make - to - order omelet . really enjoy walk hotel Holland Park tube stop , nice part London tree - line street unique shop restaurant . especially like Nicholas wine shop italian restaurant call Edera . another tube stop ( Shepherd 's Bush ) close hotel , nice walk . tube convenient central London easy navigate . enjoy stay much would definitely stay ! ! ! like hustle bustle downtown London , hotel , not mind away madness , place beautiful neighborhood definitely meet need ! ! ! 
 may 16 2007 	 excellent experience not listen negative ! 	 stay hotel great experience begin end . walk near tube station , beautiful one . primarily walk past home shop . journey , Starbucks , Tesco ( grocery store ) , restaurant . help we stay make walk enjoyable too . once get hotel , problem check . find desk staff pleasant helpful , understand say . hotel travel desk helpful we get information . main lobby , also little shop sell souvenior stamp , plus 5 computer access internet expensive price . get room , continually pleased . everything clean , flat screen tv perk , bed comfortable . bathroom also great . honestly , not bad thing say place . seem quiet allow lot privacy . buffet breakfast morning cheap , well worth . would recommend pay extra not lot around breakfast food otherwise , plus help get day start good foot . food good - breakfast . go stay . yes , be little way , will not disappoint . 
 May 13 2007 	 great hotel little way 	 Hilton great hotel stay London . far major site , transportation easy . bus stop directly side front door hotel . room clean staff friendly . bathroom average . type hotel would expect US Hilton . place eat outside hotel . one indian one Greek restaurtant . grocery store 6 - 7 block away drink snack . hotel restaurant , expensive open late . overall , great hotel price . easy get would stay 
 May 12 2007 	 disappointing experience 	 stay hotel , primarily price . although hotel bit way Holland Park / Shepherd 's Bush residential area , Shepherd 's Bush tube station couple block away bus stop outside hotel go west End . find room comfortable clean quite small toilet flush properly . overall , accommodation staff Hilton standard United States . initial room give even clean -- bed unmade cigarette butts fill ashtray ( request smoking room ) . subsequently give another room ; however experience power failure . staff unable resolve problem within hour one - half ( 1:30 ) give another room tell manager duty hotel would refund one night 's stay . however , check , desk clerk renege , check duty manager , say book Expedia , could obtain refund . offfere extra Hilton reward point negotiation , free breakfast waiver 15 pound bill telephone call soft drink mini - bar , 15 pound bill charge American Express card . write Hilton issue receive courtesy reply . other complaiint include inability print document business center computer unconscionable 20 pound ( $ 40 ) charge hotel bar mediocre Caesar salad small beer . fortunately , number good restaurant area charge significanlty less full meal . would stay . 
 May 11 2007 	 well ... ok 	 outside 's depressing ! get think & quot ; oh gosh , hope 's one ! & quot ; . obviously , . fortunately , get , find pretty pleasant modern . check amazing , want thank Ian friendly helpful . go room ( executive ) get ... surprise ! small ... exactly standard go hotel . bit depressing , coz hope luxury week end away Manchester boyfriend ... anyway , happy bed confy bath . executive lounge bit upsetting . small , view roof ... mmmh ... alcoholic drink saturday night ! well # ... tea . , end , be worth visit breakfast . amaaaazing ! plenty everything mean . ' ve almost get sick try stuff , tastefull nice , bacon waffle ! ... would not come back , honestly , ' m sure find real executive London . PS : also noise ... sound like enormous washing machine run corridor , night day . weird .... 
